ko:K18928	bpsd:BBX_5391
ko:K11960	bpsd:BBX_1193
ko:K11959	bpsd:BBX_1194
ko:K00822	bpsd:BBX_1195
ko:K00573	bpsd:BBX_1197
ko:K06940	bpsd:BBX_1200
ko:K06153	bpsd:BBX_1202
ko:K05807	bpsd:BBX_2014
ko:K06180	bpsd:BBX_2015
ko:K05810	bpsd:BBX_2016
ko:K03821	bpsd:BBX_2017
ko:K00626	bpsd:BBX_2018
ko:K00023	bpsd:BBX_2019
ko:K14441	bpsd:BBX_2022
ko:K00874	bpsd:BBX_2023
ko:K00626	bpsd:BBX_2024
ko:K01760	bpsd:BBX_2026
ko:K01079	bpsd:BBX_2027
ko:K02069	bpsd:BBX_2029
ko:K02068	bpsd:BBX_2030
ko:K07290	bpsd:BBX_2031
ko:K00128	bpsd:BBX_2034
ko:K00459	bpsd:BBX_2035
ko:K07275	bpsd:BBX_2036
ko:K06938	bpsd:BBX_2037
ko:K03322	bpsd:BBX_2038
ko:K11073	bpsd:BBX_2039
ko:K11076	bpsd:BBX_2040
ko:K11075	bpsd:BBX_2041
ko:K11074	bpsd:BBX_2042
ko:K07090	bpsd:BBX_2043
ko:K17218	bpsd:BBX_2044
ko:K07727	bpsd:BBX_2048
ko:K03281	bpsd:BBX_2055
ko:K00874	bpsd:BBX_2060
ko:K00090	bpsd:BBX_2062
ko:K02525	bpsd:BBX_2063
ko:K03466	bpsd:BBX_2869
ko:K05973	bpsd:BBX_2872
ko:K03616	bpsd:BBX_2874
ko:K10773	bpsd:BBX_2875
ko:K09989	bpsd:BBX_2881
ko:K05782	bpsd:BBX_2882
ko:K00616	bpsd:BBX_2883
ko:K04750	bpsd:BBX_2884
ko:K03307	bpsd:BBX_2885
ko:K03181	bpsd:BBX_2889
ko:K04079	bpsd:BBX_2890
ko:K05825	bpsd:BBX_2894
ko:K07240	bpsd:BBX_2898
ko:K06016	bpsd:BBX_2900
ko:K02621	bpsd:BBX_2906
ko:K02622	bpsd:BBX_2907
ko:K15738	bpsd:BBX_2908
ko:K02518	bpsd:BBX_2913
ko:K08325	bpsd:BBX_3713
ko:K04780	bpsd:BBX_3721
ko:K03088	bpsd:BBX_3731
ko:K00231	bpsd:BBX_3735
ko:K01754	bpsd:BBX_3736
ko:K13408	bpsd:BBX_3741
ko:K13409	bpsd:BBX_3743
ko:K12340	bpsd:BBX_3746
ko:K03724	bpsd:BBX_3751
ko:K16263	bpsd:BBX_3752
ko:K01626	bpsd:BBX_3755
ko:K02623	bpsd:BBX_3761
ko:K00449	bpsd:BBX_3763
ko:K00448	bpsd:BBX_3764
ko:K16203	bpsd:BBX_3765
ko:K01266	bpsd:BBX_3766
ko:K01281	bpsd:BBX_4572
ko:K14645	bpsd:BBX_4573
ko:K07665	bpsd:BBX_4574
ko:K07644	bpsd:BBX_4575
ko:K07243	bpsd:BBX_4582
ko:K10001	bpsd:BBX_4586
ko:K14257	bpsd:BBX_4591
ko:K00820	bpsd:BBX_4596
ko:K08068	bpsd:BBX_4603
ko:K03717	bpsd:BBX_4606
ko:K09981	bpsd:BBX_4609
ko:K00854	bpsd:BBX_4616
ko:K13774	bpsd:BBX_4620
ko:K13778	bpsd:BBX_4621
ko:K11731	bpsd:BBX_4622
ko:K13779	bpsd:BBX_4623
ko:K07115	bpsd:BBX_5429
ko:K00019	bpsd:BBX_5431
ko:K00832	bpsd:BBX_5432
ko:K03702	bpsd:BBX_5433
ko:K07230	bpsd:BBX_5434
ko:K07243	bpsd:BBX_5436
ko:K06911	bpsd:BBX_5441
ko:K03559	bpsd:BBX_5443
ko:K03561	bpsd:BBX_5444
ko:K03832	bpsd:BBX_5445
ko:K02192	bpsd:BBX_5446
ko:K01776	bpsd:BBX_5447
ko:K03594	bpsd:BBX_5448
ko:K01676	bpsd:BBX_5449
ko:K01895	bpsd:BBX_5452
ko:K14393	bpsd:BBX_5454
ko:K09803	bpsd:BBX_5462
ko:K03771	bpsd:BBX_3292
ko:K04744	bpsd:BBX_3293
ko:K07102	bpsd:BBX_3294
ko:K06147	bpsd:BBX_3296
ko:K10806	bpsd:BBX_3297
ko:K02379	bpsd:BBX_3299
ko:K07516	bpsd:BBX_3302
ko:K08310	bpsd:BBX_3306
ko:K01876	bpsd:BBX_3307
ko:K03688	bpsd:BBX_3311
ko:K03690	bpsd:BBX_3312
ko:K03183	bpsd:BBX_3314
ko:K01754	bpsd:BBX_3318
ko:K06879	bpsd:BBX_3319
ko:K06015	bpsd:BBX_3321
ko:K01753	bpsd:BBX_3323
ko:K05520	bpsd:BBX_3324
ko:K01991	bpsd:BBX_3334
ko:K03606	bpsd:BBX_3335
ko:K03228	bpsd:BBX_4143
ko:K00836	bpsd:BBX_4154
ko:K00156	bpsd:BBX_4155
ko:K18288	bpsd:BBX_4156
ko:K18290	bpsd:BBX_4157
ko:K18292	bpsd:BBX_4158
ko:K07152	bpsd:BBX_4169
ko:K08195	bpsd:BBX_4172
ko:K05349	bpsd:BBX_4175
ko:K01426	bpsd:BBX_4177
ko:K03833	bpsd:BBX_4178
ko:K01042	bpsd:BBX_4179
ko:K02380	bpsd:BBX_4180
ko:K00127	bpsd:BBX_4181
ko:K00124	bpsd:BBX_4182
ko:K00123	bpsd:BBX_4183
ko:K00123	bpsd:BBX_4184
ko:K02030	bpsd:BBX_4187
ko:K02028	bpsd:BBX_4188
ko:K02029	bpsd:BBX_4188
ko:K02030	bpsd:BBX_4191
ko:K06987	bpsd:BBX_4193
ko:K07058	bpsd:BBX_4195
ko:K00537	bpsd:BBX_4997
ko:K00639	bpsd:BBX_5005
ko:K00060	bpsd:BBX_5006
ko:K09958	bpsd:BBX_5009
ko:K07246	bpsd:BBX_5011
ko:K16135	bpsd:BBX_5012
ko:K00799	bpsd:BBX_5014
ko:K07001	bpsd:BBX_5016
ko:K00019	bpsd:BBX_5017
ko:K01574	bpsd:BBX_5018
ko:K09930	bpsd:BBX_5026
ko:K06895	bpsd:BBX_5030
ko:K05596	bpsd:BBX_5031
ko:K01053	bpsd:BBX_5036
ko:K00640	bpsd:BBX_5039
ko:K01495	bpsd:BBX_5041
ko:K00481	bpsd:BBX_5043
ko:K01031	bpsd:BBX_5044
ko:K01032	bpsd:BBX_5045
ko:K01857	bpsd:BBX_5046
ko:K01055	bpsd:BBX_5047
ko:K01607	bpsd:BBX_5048
ko:K02027	bpsd:BBX_5849
ko:K02025	bpsd:BBX_5850
ko:K02026	bpsd:BBX_5851
ko:K03534	bpsd:BBX_5853
ko:K01685	bpsd:BBX_5855
ko:K00064	bpsd:BBX_5856
ko:K07046	bpsd:BBX_5857
ko:K18335	bpsd:BBX_5858
ko:K16856	bpsd:BBX_5859
ko:K01266	bpsd:BBX_5869
ko:K10974	bpsd:BBX_5876
ko:K01485	bpsd:BBX_5878
ko:K00428	bpsd:BBX_5885
ko:K01114	bpsd:BBX_5886
ko:K10538	bpsd:BBX_5894
ko:K13874	bpsd:BBX_5895
ko:K06995	bpsd:BBX_5896
ko:K18383	bpsd:BBX_5899
ko:K12508	bpsd:BBX_5901
ko:K03530	bpsd:BBX_332
ko:K15461	bpsd:BBX_333
ko:K06048	bpsd:BBX_335
ko:K01951	bpsd:BBX_337
ko:K07117	bpsd:BBX_339
ko:K01724	bpsd:BBX_343
ko:K00500	bpsd:BBX_344
ko:K00140	bpsd:BBX_348
ko:K01995	bpsd:BBX_350
ko:K01996	bpsd:BBX_351
ko:K01999	bpsd:BBX_352
ko:K01997	bpsd:BBX_353
ko:K01998	bpsd:BBX_354
ko:K01999	bpsd:BBX_356
ko:K01997	bpsd:BBX_357
ko:K01995	bpsd:BBX_358
ko:K01998	bpsd:BBX_358
ko:K01996	bpsd:BBX_359
ko:K03495	bpsd:BBX_360
ko:K03501	bpsd:BBX_361
ko:K02116	bpsd:BBX_365
ko:K02108	bpsd:BBX_366
ko:K02110	bpsd:BBX_367
ko:K02109	bpsd:BBX_368
ko:K02113	bpsd:BBX_369
ko:K02111	bpsd:BBX_370
ko:K02115	bpsd:BBX_371
ko:K02112	bpsd:BBX_372
ko:K02114	bpsd:BBX_373
ko:K00666	bpsd:BBX_375
ko:K06929	bpsd:BBX_376
ko:K01713	bpsd:BBX_377
ko:K01599	bpsd:BBX_378
ko:K04066	bpsd:BBX_379
ko:K13821	bpsd:BBX_381
ko:K01999	bpsd:BBX_382
ko:K03439	bpsd:BBX_1203
ko:K06199	bpsd:BBX_1208
ko:K02221	bpsd:BBX_1210
ko:K06895	bpsd:BBX_1214
ko:K03182	bpsd:BBX_1215
ko:K03625	bpsd:BBX_1218
ko:K00794	bpsd:BBX_1219
ko:K14652	bpsd:BBX_1220
ko:K00793	bpsd:BBX_1222
ko:K11752	bpsd:BBX_1223
ko:K01845	bpsd:BBX_1224
ko:K07552	bpsd:BBX_1227
ko:K02028	bpsd:BBX_1230
ko:K10009	bpsd:BBX_1231
ko:K02424	bpsd:BBX_1232
ko:K00845	bpsd:BBX_1233
ko:K01057	bpsd:BBX_1234
ko:K00036	bpsd:BBX_1235
ko:K17315	bpsd:BBX_1236
ko:K17316	bpsd:BBX_1237
ko:K17317	bpsd:BBX_1238
ko:K10112	bpsd:BBX_1239
ko:K00384	bpsd:BBX_1242
ko:K03466	bpsd:BBX_1243
ko:K03634	bpsd:BBX_1244
ko:K07478	bpsd:BBX_1245
ko:K01875	bpsd:BBX_1247
ko:K03610	bpsd:BBX_1251
ko:K03609	bpsd:BBX_1252
ko:K03608	bpsd:BBX_1253
ko:K03284	bpsd:BBX_2076
ko:K09780	bpsd:BBX_2077
ko:K07218	bpsd:BBX_2089
ko:K00376	bpsd:BBX_2090
ko:K03734	bpsd:BBX_2091
ko:K01990	bpsd:BBX_2092
ko:K01992	bpsd:BBX_2093
ko:K03406	bpsd:BBX_2094
ko:K13954	bpsd:BBX_2102
ko:K07345	bpsd:BBX_2106
ko:K07347	bpsd:BBX_2108
ko:K07345	bpsd:BBX_2109
ko:K07687	bpsd:BBX_2113
ko:K07677	bpsd:BBX_2114
ko:K15125	bpsd:BBX_2925
ko:K07262	bpsd:BBX_2928
ko:K08276	bpsd:BBX_2929
ko:K06910	bpsd:BBX_2934
ko:K08169	bpsd:BBX_2935
ko:K00697	bpsd:BBX_2938
ko:K02049	bpsd:BBX_2941
ko:K02050	bpsd:BBX_2942
ko:K07638	bpsd:BBX_2945
ko:K07659	bpsd:BBX_2946
ko:K06911	bpsd:BBX_2948
ko:K10014	bpsd:BBX_2949
ko:K10016	bpsd:BBX_2950
ko:K10015	bpsd:BBX_2951
ko:K10017	bpsd:BBX_2952
ko:K04751	bpsd:BBX_2954
ko:K01950	bpsd:BBX_2955
ko:K09919	bpsd:BBX_2956
ko:K07461	bpsd:BBX_2958
ko:K01507	bpsd:BBX_2959
ko:K00128	bpsd:BBX_2960
ko:K00059	bpsd:BBX_2961
ko:K02498	bpsd:BBX_2963
ko:K01749	bpsd:BBX_2965
ko:K01595	bpsd:BBX_2966
ko:K13891	bpsd:BBX_3767
ko:K13890	bpsd:BBX_3768
ko:K13889	bpsd:BBX_3769
ko:K13892	bpsd:BBX_3770
ko:K13051	bpsd:BBX_3771
ko:K02168	bpsd:BBX_3773
ko:K01114	bpsd:BBX_3776
ko:K01870	bpsd:BBX_3779
ko:K03710	bpsd:BBX_3792
ko:K07112	bpsd:BBX_3802
ko:K07112	bpsd:BBX_3803
ko:K11717	bpsd:BBX_3807
ko:K00640	bpsd:BBX_3810
ko:K01322	bpsd:BBX_3812
ko:K03543	bpsd:BBX_3813
ko:K12990	bpsd:BBX_3815
ko:K18100	bpsd:BBX_3817
ko:K02167	bpsd:BBX_3818
ko:K13777	bpsd:BBX_4624
ko:K00574	bpsd:BBX_4629
ko:K07045	bpsd:BBX_4631
ko:K00823	bpsd:BBX_4648
ko:K03566	bpsd:BBX_4649
ko:K03406	bpsd:BBX_4651
ko:K10004	bpsd:BBX_4652
ko:K02029	bpsd:BBX_4653
ko:K02029	bpsd:BBX_4654
ko:K02030	bpsd:BBX_4655
ko:K02052	bpsd:BBX_4656
ko:K02053	bpsd:BBX_4657
ko:K02054	bpsd:BBX_4658
ko:K02055	bpsd:BBX_4659
ko:K01652	bpsd:BBX_4661
ko:K10013	bpsd:BBX_4662
ko:K12255	bpsd:BBX_4664
ko:K00466	bpsd:BBX_4666
ko:K11904	bpsd:BBX_4673
ko:K01652	bpsd:BBX_5477
ko:K00978	bpsd:BBX_5483
ko:K01709	bpsd:BBX_5484
ko:K12452	bpsd:BBX_5485
ko:K06911	bpsd:BBX_5495
ko:K07262	bpsd:BBX_5516
ko:K02347	bpsd:BBX_5517
ko:K07156	bpsd:BBX_5523
ko:K07245	bpsd:BBX_5524
ko:K03406	bpsd:BBX_5525
ko:K09471	bpsd:BBX_5526
ko:K11074	bpsd:BBX_5529
ko:K11075	bpsd:BBX_5530
ko:K12508	bpsd:BBX_383
ko:K09456	bpsd:BBX_384
ko:K10013	bpsd:BBX_387
ko:K01534	bpsd:BBX_392
ko:K03735	bpsd:BBX_397
ko:K03736	bpsd:BBX_398
ko:K00138	bpsd:BBX_400
ko:K04033	bpsd:BBX_401
ko:K01652	bpsd:BBX_403
ko:K01752	bpsd:BBX_405
ko:K00281	bpsd:BBX_407
ko:K02437	bpsd:BBX_408
ko:K00605	bpsd:BBX_409
ko:K03656	bpsd:BBX_415
ko:K03406	bpsd:BBX_428
ko:K02841	bpsd:BBX_1257
ko:K03832	bpsd:BBX_1260
ko:K02428	bpsd:BBX_1265
ko:K00989	bpsd:BBX_1266
ko:K00942	bpsd:BBX_1268
ko:K03060	bpsd:BBX_1269
ko:K04760	bpsd:BBX_1273
ko:K03704	bpsd:BBX_1277
ko:K02342	bpsd:BBX_1278
ko:K04093	bpsd:BBX_1279
ko:K02014	bpsd:BBX_1282
ko:K03841	bpsd:BBX_1289
ko:K03576	bpsd:BBX_1290
ko:K00549	bpsd:BBX_1291
ko:K01256	bpsd:BBX_1292
ko:K01487	bpsd:BBX_1295
ko:K06901	bpsd:BBX_1296
ko:K07402	bpsd:BBX_1298
ko:K03611	bpsd:BBX_1299
ko:K02433	bpsd:BBX_1300
ko:K00126	bpsd:BBX_1306
ko:K00123	bpsd:BBX_1307
ko:K00124	bpsd:BBX_1308
ko:K00128	bpsd:BBX_2129
ko:K02055	bpsd:BBX_2131
ko:K02054	bpsd:BBX_2132
ko:K02053	bpsd:BBX_2133
ko:K02052	bpsd:BBX_2134
ko:K00135	bpsd:BBX_2136
ko:K13472	bpsd:BBX_2143
ko:K12541	bpsd:BBX_2144
ko:K12542	bpsd:BBX_2145
ko:K00860	bpsd:BBX_2148
ko:K03088	bpsd:BBX_2158
ko:K15977	bpsd:BBX_2161
ko:K09930	bpsd:BBX_2163
ko:K01434	bpsd:BBX_2167
ko:K00612	bpsd:BBX_2168
ko:K01620	bpsd:BBX_2171
ko:K01755	bpsd:BBX_2172
ko:K01738	bpsd:BBX_2173
ko:K07346	bpsd:BBX_2972
ko:K07347	bpsd:BBX_2973
ko:K01755	bpsd:BBX_2974
ko:K01584	bpsd:BBX_2977
ko:K01494	bpsd:BBX_2978
ko:K03593	bpsd:BBX_2980
ko:K01874	bpsd:BBX_2982
ko:K09800	bpsd:BBX_2985
ko:K05896	bpsd:BBX_2988
ko:K01918	bpsd:BBX_2989
ko:K01579	bpsd:BBX_2990
ko:K02232	bpsd:BBX_2992
ko:K02231	bpsd:BBX_2993
ko:K02227	bpsd:BBX_2994
ko:K02225	bpsd:BBX_2995
ko:K02016	bpsd:BBX_2996
ko:K02226	bpsd:BBX_2999
ko:K02233	bpsd:BBX_3000
ko:K00768	bpsd:BBX_3001
ko:K02013	bpsd:BBX_3002
ko:K02015	bpsd:BBX_3003
ko:K16092	bpsd:BBX_3004
ko:K09888	bpsd:BBX_3007
ko:K13292	bpsd:BBX_3010
ko:K01687	bpsd:BBX_3012
ko:K08738	bpsd:BBX_3013
ko:K02339	bpsd:BBX_3015
ko:K01255	bpsd:BBX_3016
ko:K07091	bpsd:BBX_3017
ko:K11720	bpsd:BBX_3018
ko:K02303	bpsd:BBX_3023
ko:K08369	bpsd:BBX_3825
ko:K07675	bpsd:BBX_3826
ko:K03704	bpsd:BBX_3834
ko:K01633	bpsd:BBX_3835
ko:K00305	bpsd:BBX_3836
ko:K01881	bpsd:BBX_837
ko:K00760	bpsd:BBX_839
ko:K03106	bpsd:BBX_840
ko:K06950	bpsd:BBX_842
ko:K03806	bpsd:BBX_843
ko:K06077	bpsd:BBX_848
ko:K00856	bpsd:BBX_849
ko:K11065	bpsd:BBX_850
ko:K02687	bpsd:BBX_852
ko:K01961	bpsd:BBX_853
ko:K02160	bpsd:BBX_854
ko:K03786	bpsd:BBX_855
ko:K02558	bpsd:BBX_858
ko:K07000	bpsd:BBX_859
ko:K01147	bpsd:BBX_860
ko:K00014	bpsd:BBX_861
ko:K03814	bpsd:BBX_862
ko:K00883	bpsd:BBX_866
ko:K01631	bpsd:BBX_867
ko:K10537	bpsd:BBX_869
ko:K10539	bpsd:BBX_870
ko:K10538	bpsd:BBX_871
ko:K01591	bpsd:BBX_874
ko:K03743	bpsd:BBX_875
ko:K01095	bpsd:BBX_876
ko:K00946	bpsd:BBX_877
ko:K00029	bpsd:BBX_878
ko:K09761	bpsd:BBX_881
ko:K00797	bpsd:BBX_883
ko:K00615	bpsd:BBX_884
ko:K00134	bpsd:BBX_885
ko:K01725	bpsd:BBX_887
ko:K01673	bpsd:BBX_888
ko:K11921	bpsd:BBX_889
ko:K01092	bpsd:BBX_1694
ko:K02533	bpsd:BBX_1695
ko:K00640	bpsd:BBX_1696
ko:K03269	bpsd:BBX_1697
ko:K03768	bpsd:BBX_1698
ko:K03767	bpsd:BBX_1699
ko:K01883	bpsd:BBX_1701
ko:K01247	bpsd:BBX_1702
ko:K01962	bpsd:BBX_1703
ko:K04075	bpsd:BBX_1704
ko:K00928	bpsd:BBX_1705
ko:K00860	bpsd:BBX_1712
ko:K03119	bpsd:BBX_1718
ko:K00615	bpsd:BBX_1722
ko:K00615	bpsd:BBX_1723
ko:K00831	bpsd:BBX_1726
ko:K00957	bpsd:BBX_1728
ko:K01755	bpsd:BBX_1731
ko:K01265	bpsd:BBX_1733
ko:K05524	bpsd:BBX_1736
ko:K00528	bpsd:BBX_1737
ko:K00208	bpsd:BBX_1740
ko:K13893	bpsd:BBX_1741
ko:K13894	bpsd:BBX_1742
ko:K13895	bpsd:BBX_1743
ko:K05973	bpsd:BBX_2551
ko:K16147	bpsd:BBX_2552
ko:K05343	bpsd:BBX_2553
ko:K00700	bpsd:BBX_2554
ko:K01236	bpsd:BBX_2556
ko:K00705	bpsd:BBX_2557
ko:K00375	bpsd:BBX_2562
ko:K00303	bpsd:BBX_3839
ko:K01752	bpsd:BBX_3840
ko:K09915	bpsd:BBX_3843
ko:K00799	bpsd:BBX_3844
ko:K00426	bpsd:BBX_3846
ko:K00425	bpsd:BBX_3847
ko:K07507	bpsd:BBX_3849
ko:K03219	bpsd:BBX_3860
ko:K03228	bpsd:BBX_3862
ko:K03224	bpsd:BBX_3864
ko:K03223	bpsd:BBX_3865
ko:K03222	bpsd:BBX_3867
ko:K03229	bpsd:BBX_3870
ko:K03230	bpsd:BBX_3871
ko:K18381	bpsd:BBX_3872
ko:K01424	bpsd:BBX_4679
ko:K02056	bpsd:BBX_4688
ko:K02057	bpsd:BBX_4689
ko:K02058	bpsd:BBX_4690
ko:K07407	bpsd:BBX_4702
ko:K02026	bpsd:BBX_4703
ko:K02025	bpsd:BBX_4704
ko:K02027	bpsd:BBX_4705
ko:K10111	bpsd:BBX_4706
ko:K11904	bpsd:BBX_4721
ko:K11907	bpsd:BBX_4722
ko:K11896	bpsd:BBX_4724
ko:K11897	bpsd:BBX_4725
ko:K06887	bpsd:BBX_4726
ko:K11076	bpsd:BBX_5531
ko:K11073	bpsd:BBX_5532
ko:K12256	bpsd:BBX_5533
ko:K01915	bpsd:BBX_5534
ko:K07010	bpsd:BBX_5535
ko:K01480	bpsd:BBX_5538
ko:K04078	bpsd:BBX_5540
ko:K04077	bpsd:BBX_5541
ko:K08295	bpsd:BBX_5544
ko:K00648	bpsd:BBX_5547
ko:K03387	bpsd:BBX_5554
ko:K03386	bpsd:BBX_5555
ko:K00375	bpsd:BBX_5565
ko:K07552	bpsd:BBX_5566
ko:K03430	bpsd:BBX_5570
ko:K01841	bpsd:BBX_5572
ko:K18118	bpsd:BBX_5577
ko:K11902	bpsd:BBX_5579
ko:K11900	bpsd:BBX_5581
ko:K11903	bpsd:BBX_5582
ko:K11897	bpsd:BBX_5583
ko:K06153	bpsd:BBX_2570
ko:K01895	bpsd:BBX_2574
ko:K03327	bpsd:BBX_2576
ko:K08296	bpsd:BBX_2580
ko:K01524	bpsd:BBX_2589
ko:K00937	bpsd:BBX_2590
ko:K07636	bpsd:BBX_2591
ko:K07657	bpsd:BBX_2592
ko:K02039	bpsd:BBX_2593
ko:K02036	bpsd:BBX_2594
ko:K02038	bpsd:BBX_2595
ko:K02037	bpsd:BBX_2596
ko:K02040	bpsd:BBX_2597
ko:K03431	bpsd:BBX_2598
ko:K00796	bpsd:BBX_2599
ko:K06861	bpsd:BBX_3391
ko:K03092	bpsd:BBX_3393
ko:K05808	bpsd:BBX_3394
ko:K02806	bpsd:BBX_3395
ko:K06023	bpsd:BBX_3396
ko:K06958	bpsd:BBX_3397
ko:K07157	bpsd:BBX_3398
ko:K03575	bpsd:BBX_3399
ko:K10563	bpsd:BBX_3400
ko:K02494	bpsd:BBX_3402
ko:K00919	bpsd:BBX_3403
ko:K00948	bpsd:BBX_3405
ko:K02897	bpsd:BBX_3406
ko:K01056	bpsd:BBX_3407
ko:K00817	bpsd:BBX_3408
ko:K00954	bpsd:BBX_3410
ko:K03110	bpsd:BBX_3412
ko:K00362	bpsd:BBX_3414
ko:K00363	bpsd:BBX_3415
ko:K00372	bpsd:BBX_3416
ko:K01649	bpsd:BBX_3419
ko:K03089	bpsd:BBX_3422
ko:K00425	bpsd:BBX_3425
ko:K00426	bpsd:BBX_3426
ko:K12373	bpsd:BBX_3428
ko:K02803	bpsd:BBX_3429
ko:K02804	bpsd:BBX_3429
ko:K02768	bpsd:BBX_3430
ko:K08483	bpsd:BBX_3430
ko:K11183	bpsd:BBX_3430
ko:K01443	bpsd:BBX_3432
ko:K03710	bpsd:BBX_3433
ko:K01586	bpsd:BBX_3442
ko:K01681	bpsd:BBX_4246
ko:K15125	bpsd:BBX_4248
ko:K05998	bpsd:BBX_4257
ko:K02053	bpsd:BBX_4258
ko:K02054	bpsd:BBX_4259
ko:K02055	bpsd:BBX_4260
ko:K02052	bpsd:BBX_4261
ko:K00375	bpsd:BBX_4262
ko:K02014	bpsd:BBX_4266
ko:K12262	bpsd:BBX_4268
ko:K06194	bpsd:BBX_4270
ko:K00033	bpsd:BBX_4273
ko:K03457	bpsd:BBX_4276
ko:K11903	bpsd:BBX_5103
ko:K11906	bpsd:BBX_5104
ko:K11893	bpsd:BBX_5105
ko:K11892	bpsd:BBX_5106
ko:K11891	bpsd:BBX_5107
ko:K11904	bpsd:BBX_5109
ko:K11902	bpsd:BBX_5114
ko:K11895	bpsd:BBX_5115
ko:K11896	bpsd:BBX_5116
ko:K11897	bpsd:BBX_5117
ko:K11898	bpsd:BBX_5118
ko:K11907	bpsd:BBX_5120
ko:K07677	bpsd:BBX_5121
ko:K07687	bpsd:BBX_5122
ko:K18475	bpsd:BBX_5126
ko:K02406	bpsd:BBX_5131
ko:K02556	bpsd:BBX_5132
ko:K02557	bpsd:BBX_5133
ko:K03413	bpsd:BBX_5134
ko:K03407	bpsd:BBX_5135
ko:K03408	bpsd:BBX_5136
ko:K03406	bpsd:BBX_5137
ko:K00575	bpsd:BBX_5138
ko:K03411	bpsd:BBX_5139
ko:K03412	bpsd:BBX_5140
ko:K03412	bpsd:BBX_5141
ko:K02400	bpsd:BBX_5142
ko:K02401	bpsd:BBX_5143
ko:K02421	bpsd:BBX_5144
ko:K02420	bpsd:BBX_5145
ko:K02419	bpsd:BBX_5146
ko:K02417	bpsd:BBX_5147
ko:K02408	bpsd:BBX_5150
ko:K02409	bpsd:BBX_5151
ko:K02410	bpsd:BBX_5152
ko:K02411	bpsd:BBX_5153
ko:K02412	bpsd:BBX_5154
ko:K02407	bpsd:BBX_5156
ko:K02422	bpsd:BBX_5157
ko:K18369	bpsd:BBX_5967
ko:K07044	bpsd:BBX_5977
ko:K00852	bpsd:BBX_5981
