ko:K18929	hpyk:HPAKL86_06315
ko:K00942	hpyk:HPAKL86_03465
ko:K02393	hpyk:HPAKL86_03485
ko:K00912	hpyk:HPAKL86_03505
ko:K00053	hpyk:HPAKL86_03515
ko:K03609	hpyk:HPAKL86_03520
ko:K03608	hpyk:HPAKL86_03525
ko:K04096	hpyk:HPAKL86_03530
ko:K07447	hpyk:HPAKL86_03535
ko:K06180	hpyk:HPAKL86_03555
ko:K07462	hpyk:HPAKL86_03560
ko:K01937	hpyk:HPAKL86_03565
ko:K02409	hpyk:HPAKL86_03575
ko:K02410	hpyk:HPAKL86_03580
ko:K02411	hpyk:HPAKL86_03585
ko:K01662	hpyk:HPAKL86_03590
ko:K03596	hpyk:HPAKL86_03595
ko:K02469	hpyk:HPAKL86_03620
ko:K00901	hpyk:HPAKL86_03625
ko:K01028	hpyk:HPAKL86_03640
ko:K01029	hpyk:HPAKL86_03645
ko:K02106	hpyk:HPAKL86_03650
ko:K01695	hpyk:HPAKL86_00290
ko:K03841	hpyk:HPAKL86_00335
ko:K10856	hpyk:HPAKL86_03675
ko:K07791	hpyk:HPAKL86_03685
ko:K02343	hpyk:HPAKL86_03695
ko:K06925	hpyk:HPAKL86_03700
ko:K06861	hpyk:HPAKL86_03705
ko:K03092	hpyk:HPAKL86_03710
ko:K07023	hpyk:HPAKL86_03720
ko:K03438	hpyk:HPAKL86_03735
ko:K03701	hpyk:HPAKL86_03745
ko:K07043	hpyk:HPAKL86_03750
ko:K07270	hpyk:HPAKL86_03755
ko:K14652	hpyk:HPAKL86_03760
ko:K15846	hpyk:HPAKL86_03775
ko:K03545	hpyk:HPAKL86_03785
ko:K01358	hpyk:HPAKL86_03790
ko:K01462	hpyk:HPAKL86_03795
ko:K07391	hpyk:HPAKL86_03800
ko:K01534	hpyk:HPAKL86_03805
ko:K03070	hpyk:HPAKL86_03830
ko:K03634	hpyk:HPAKL86_03835
ko:K00215	hpyk:HPAKL86_03875
ko:K01915	hpyk:HPAKL86_03885
ko:K02939	hpyk:HPAKL86_03895
ko:K01419	hpyk:HPAKL86_03900
ko:K03667	hpyk:HPAKL86_03905
ko:K01776	hpyk:HPAKL86_03925
ko:K03628	hpyk:HPAKL86_03930
ko:K02909	hpyk:HPAKL86_03935
ko:K09457	hpyk:HPAKL86_00185
ko:K01783	hpyk:HPAKL86_00340
ko:K01476	hpyk:HPAKL86_00430
ko:K01875	hpyk:HPAKL86_00535
ko:K01012	hpyk:HPAKL86_00595
ko:K07056	hpyk:HPAKL86_03940
ko:K03218	hpyk:HPAKL86_03945
ko:K01962	hpyk:HPAKL86_03965
ko:K09458	hpyk:HPAKL86_03970
ko:K02078	hpyk:HPAKL86_03975
ko:K02970	hpyk:HPAKL86_03985
ko:K01778	hpyk:HPAKL86_04005
ko:K02392	hpyk:HPAKL86_04015
ko:K03466	hpyk:HPAKL86_04025
ko:K00615	hpyk:HPAKL86_04035
ko:K11753	hpyk:HPAKL86_04040
ko:K06442	hpyk:HPAKL86_04045
ko:K00609	hpyk:HPAKL86_04055
ko:K10716	hpyk:HPAKL86_04080
ko:K02902	hpyk:HPAKL86_04085
ko:K15846	hpyk:HPAKL86_04090
ko:K01000	hpyk:HPAKL86_04095
ko:K01925	hpyk:HPAKL86_04100
ko:K07107	hpyk:HPAKL86_04110
ko:K03308	hpyk:HPAKL86_04115
ko:K03308	hpyk:HPAKL86_04120
ko:K02338	hpyk:HPAKL86_04135
ko:K02470	hpyk:HPAKL86_04140
ko:K02415	hpyk:HPAKL86_04170
ko:K00997	hpyk:HPAKL86_04175
ko:K01972	hpyk:HPAKL86_04180
ko:K03415	hpyk:HPAKL86_04185
ko:K01876	hpyk:HPAKL86_04190
ko:K07270	hpyk:HPAKL86_04200
ko:K09710	hpyk:HPAKL86_00190
ko:K01142	hpyk:HPAKL86_00245
ko:K09824	hpyk:HPAKL86_00435
ko:K03306	hpyk:HPAKL86_00480
ko:K07058	hpyk:HPAKL86_00600
ko:K07270	hpyk:HPAKL86_04210
ko:K07277	hpyk:HPAKL86_04240
ko:K02434	hpyk:HPAKL86_04255
ko:K03685	hpyk:HPAKL86_04275
ko:K01736	hpyk:HPAKL86_04280
ko:K11473	hpyk:HPAKL86_04295
ko:K00812	hpyk:HPAKL86_04320
ko:K07090	hpyk:HPAKL86_04335
ko:K04042	hpyk:HPAKL86_04350
ko:K02419	hpyk:HPAKL86_04355
ko:K04759	hpyk:HPAKL86_04360
ko:K07501	hpyk:HPAKL86_04365
ko:K06895	hpyk:HPAKL86_04380
ko:K06920	hpyk:HPAKL86_04405
ko:K03620	hpyk:HPAKL86_04440
ko:K03923	hpyk:HPAKL86_04455
ko:K03703	hpyk:HPAKL86_04470
ko:K00003	hpyk:HPAKL86_04475
ko:K07460	hpyk:HPAKL86_04480
ko:K03671	hpyk:HPAKL86_04485
ko:K00384	hpyk:HPAKL86_04490
ko:K07270	hpyk:HPAKL86_04495
ko:K00791	hpyk:HPAKL86_00195
ko:K01696	hpyk:HPAKL86_00295
ko:K03657	hpyk:HPAKL86_00545
ko:K01924	hpyk:HPAKL86_04525
ko:K07456	hpyk:HPAKL86_04535
ko:K05847	hpyk:HPAKL86_04540
ko:K02557	hpyk:HPAKL86_04565
ko:K02556	hpyk:HPAKL86_04570
ko:K03781	hpyk:HPAKL86_04600
ko:K01955	hpyk:HPAKL86_04620
ko:K00134	hpyk:HPAKL86_04630
ko:K01845	hpyk:HPAKL86_04655
ko:K00783	hpyk:HPAKL86_04670
ko:K01963	hpyk:HPAKL86_04675
ko:K13292	hpyk:HPAKL86_04700
ko:K02527	hpyk:HPAKL86_04710
ko:K07164	hpyk:HPAKL86_04715
ko:K01878	hpyk:HPAKL86_04725
ko:K00057	hpyk:HPAKL86_04730
ko:K11720	hpyk:HPAKL86_00445
ko:K02386	hpyk:HPAKL86_00550
ko:K01338	hpyk:HPAKL86_00640
ko:K05807	hpyk:HPAKL86_00645
ko:K13626	hpyk:HPAKL86_00655
ko:K02372	hpyk:HPAKL86_00660
ko:K00677	hpyk:HPAKL86_00665
ko:K03544	hpyk:HPAKL86_00670
ko:K03569	hpyk:HPAKL86_00675
ko:K03570	hpyk:HPAKL86_00680
ko:K03587	hpyk:HPAKL86_00695
ko:K02408	hpyk:HPAKL86_00700
ko:K02388	hpyk:HPAKL86_00705
ko:K02387	hpyk:HPAKL86_00710
ko:K03588	hpyk:HPAKL86_00715
ko:K02016	hpyk:HPAKL86_00720
ko:K02073	hpyk:HPAKL86_00730
ko:K05515	hpyk:HPAKL86_00735
ko:K03978	hpyk:HPAKL86_00745
ko:K09774	hpyk:HPAKL86_00750
ko:K15726	hpyk:HPAKL86_04765
ko:K01879	hpyk:HPAKL86_04780
ko:K15633	hpyk:HPAKL86_04790
ko:K02435	hpyk:HPAKL86_04795
ko:K02217	hpyk:HPAKL86_04800
ko:K01079	hpyk:HPAKL86_04805
ko:K01744	hpyk:HPAKL86_04820
ko:K00790	hpyk:HPAKL86_04825
ko:K00963	hpyk:HPAKL86_04835
ko:K08309	hpyk:HPAKL86_04840
ko:K02221	hpyk:HPAKL86_04845
ko:K04075	hpyk:HPAKL86_04855
ko:K01095	hpyk:HPAKL86_04895
ko:K01921	hpyk:HPAKL86_04900
ko:K01929	hpyk:HPAKL86_04910
ko:K00948	hpyk:HPAKL86_04925
ko:K05837	hpyk:HPAKL86_04930
ko:K06180	hpyk:HPAKL86_04945
ko:K03439	hpyk:HPAKL86_04955
ko:K09812	hpyk:HPAKL86_04960
ko:K09811	hpyk:HPAKL86_04965
ko:K02407	hpyk:HPAKL86_04980
ko:K02422	hpyk:HPAKL86_04985
ko:K12251	hpyk:HPAKL86_05005
ko:K07084	hpyk:HPAKL86_05010
ko:K01993	hpyk:HPAKL86_00495
ko:K03270	hpyk:HPAKL86_00760
ko:K03642	hpyk:HPAKL86_00765
ko:K08307	hpyk:HPAKL86_00770
ko:K03424	hpyk:HPAKL86_00775
ko:K00793	hpyk:HPAKL86_00780
ko:K04061	hpyk:HPAKL86_00785
ko:K02071	hpyk:HPAKL86_00790
ko:K02072	hpyk:HPAKL86_00795
ko:K03760	hpyk:HPAKL86_00800
ko:K13747	hpyk:HPAKL86_00810
ko:K03415	hpyk:HPAKL86_00815
ko:K09859	hpyk:HPAKL86_00820
ko:K00428	hpyk:HPAKL86_00840
ko:K02337	hpyk:HPAKL86_00845
ko:K06178	hpyk:HPAKL86_00850
ko:K03470	hpyk:HPAKL86_00870
ko:K07133	hpyk:HPAKL86_00880
ko:K02946	hpyk:HPAKL86_00885
ko:K02906	hpyk:HPAKL86_00890
ko:K02926	hpyk:HPAKL86_00895
ko:K02892	hpyk:HPAKL86_00900
ko:K02886	hpyk:HPAKL86_00905
ko:K02965	hpyk:HPAKL86_00910
ko:K02890	hpyk:HPAKL86_00915
ko:K02982	hpyk:HPAKL86_00920
ko:K02878	hpyk:HPAKL86_00925
ko:K02904	hpyk:HPAKL86_00930
ko:K02961	hpyk:HPAKL86_00935
ko:K02874	hpyk:HPAKL86_00940
ko:K02895	hpyk:HPAKL86_00945
ko:K02931	hpyk:HPAKL86_00950
ko:K02954	hpyk:HPAKL86_00955
ko:K02994	hpyk:HPAKL86_00960
ko:K02933	hpyk:HPAKL86_00965
ko:K02881	hpyk:HPAKL86_00970
ko:K02988	hpyk:HPAKL86_00975
ko:K02876	hpyk:HPAKL86_00980
ko:K03076	hpyk:HPAKL86_00985
ko:K01265	hpyk:HPAKL86_00990
ko:K02518	hpyk:HPAKL86_00995
ko:K02919	hpyk:HPAKL86_01000
ko:K02952	hpyk:HPAKL86_01005
ko:K02948	hpyk:HPAKL86_01010
ko:K02986	hpyk:HPAKL86_01015
ko:K03040	hpyk:HPAKL86_01020
ko:K02879	hpyk:HPAKL86_01025
ko:K03110	hpyk:HPAKL86_05035
ko:K06940	hpyk:HPAKL86_05040
ko:K03639	hpyk:HPAKL86_05055
ko:K03752	hpyk:HPAKL86_05060
ko:K02401	hpyk:HPAKL86_05065
ko:K01682	hpyk:HPAKL86_05075
ko:K01448	hpyk:HPAKL86_05090
ko:K00459	hpyk:HPAKL86_05095
ko:K01866	hpyk:HPAKL86_05100
ko:K03060	hpyk:HPAKL86_05110
ko:K09903	hpyk:HPAKL86_05115
ko:K00833	hpyk:HPAKL86_05120
ko:K03770	hpyk:HPAKL86_05125
ko:K03590	hpyk:HPAKL86_05130
ko:K03531	hpyk:HPAKL86_05135
ko:K15257	hpyk:HPAKL86_05205
ko:K01772	hpyk:HPAKL86_05210
ko:K01874	hpyk:HPAKL86_05215
ko:K00574	hpyk:HPAKL86_05220
ko:K16052	hpyk:HPAKL86_05225
ko:K02396	hpyk:HPAKL86_05245
ko:K03775	hpyk:HPAKL86_05270
ko:K03640	hpyk:HPAKL86_05280
ko:K03641	hpyk:HPAKL86_05285
ko:K01056	hpyk:HPAKL86_00450
ko:K03186	hpyk:HPAKL86_00560
ko:K07337	hpyk:HPAKL86_01035
ko:K03650	hpyk:HPAKL86_01060
ko:K03217	hpyk:HPAKL86_01070
ko:K03536	hpyk:HPAKL86_01080
ko:K02914	hpyk:HPAKL86_01085
ko:K03561	hpyk:HPAKL86_01095
ko:K03664	hpyk:HPAKL86_01100
ko:K00919	hpyk:HPAKL86_01105
ko:K03563	hpyk:HPAKL86_01110
ko:K04773	hpyk:HPAKL86_01145
ko:K01433	hpyk:HPAKL86_01150
ko:K07787	hpyk:HPAKL86_01180
ko:K08311	hpyk:HPAKL86_01195
ko:K00928	hpyk:HPAKL86_01200
ko:K02341	hpyk:HPAKL86_01210
ko:K00796	hpyk:HPAKL86_01215
ko:K09804	hpyk:HPAKL86_01240
ko:K01956	hpyk:HPAKL86_01245
ko:K06199	hpyk:HPAKL86_01250
ko:K00806	hpyk:HPAKL86_01270
ko:K01945	hpyk:HPAKL86_01280
ko:K04744	hpyk:HPAKL86_01290
ko:K00962	hpyk:HPAKL86_01300
ko:K02114	hpyk:HPAKL86_05305
ko:K02112	hpyk:HPAKL86_05310
ko:K02115	hpyk:HPAKL86_05315
ko:K02111	hpyk:HPAKL86_05320
ko:K02113	hpyk:HPAKL86_05325
ko:K02109	hpyk:HPAKL86_05330
ko:K02109	hpyk:HPAKL86_05335
ko:K03524	hpyk:HPAKL86_05350
ko:K00604	hpyk:HPAKL86_05355
ko:K03979	hpyk:HPAKL86_05380
ko:K12372	hpyk:HPAKL86_05385
ko:K12370	hpyk:HPAKL86_05395
ko:K12368	hpyk:HPAKL86_05405
ko:K02899	hpyk:HPAKL86_05410
ko:K02888	hpyk:HPAKL86_05415
ko:K02397	hpyk:HPAKL86_05420
ko:K06193	hpyk:HPAKL86_05425
ko:K03781	hpyk:HPAKL86_05440
ko:K01159	hpyk:HPAKL86_05450
ko:K03550	hpyk:HPAKL86_05465
ko:K03980	hpyk:HPAKL86_05475
ko:K01883	hpyk:HPAKL86_05480
ko:K01961	hpyk:HPAKL86_05500
ko:K02160	hpyk:HPAKL86_05505
ko:K01494	hpyk:HPAKL86_05510
ko:K09761	hpyk:HPAKL86_05520
ko:K01772	hpyk:HPAKL86_05530
ko:K00262	hpyk:HPAKL86_05550
ko:K03655	hpyk:HPAKL86_00260
ko:K13498	hpyk:HPAKL86_00300
ko:K02110	hpyk:HPAKL86_01305
ko:K02358	hpyk:HPAKL86_01320
ko:K02913	hpyk:HPAKL86_01325
ko:K03073	hpyk:HPAKL86_01330
ko:K02601	hpyk:HPAKL86_01335
ko:K02867	hpyk:HPAKL86_01340
ko:K02863	hpyk:HPAKL86_01345
ko:K02864	hpyk:HPAKL86_01350
ko:K02935	hpyk:HPAKL86_01355
ko:K02950	hpyk:HPAKL86_01365
ko:K02992	hpyk:HPAKL86_01370
ko:K02355	hpyk:HPAKL86_01375
ko:K01892	hpyk:HPAKL86_01390
ko:K00133	hpyk:HPAKL86_01395
ko:K13821	hpyk:HPAKL86_01435
ko:K03190	hpyk:HPAKL86_01510
ko:K03189	hpyk:HPAKL86_01515
ko:K03188	hpyk:HPAKL86_01520
ko:K03187	hpyk:HPAKL86_01525
ko:K01428	hpyk:HPAKL86_01540
ko:K03101	hpyk:HPAKL86_01550
ko:K03431	hpyk:HPAKL86_01555
ko:K02968	hpyk:HPAKL86_01560
ko:K02493	hpyk:HPAKL86_05555
ko:K15846	hpyk:HPAKL86_05575
ko:K01951	hpyk:HPAKL86_05580
ko:K02503	hpyk:HPAKL86_05600
ko:K01889	hpyk:HPAKL86_05605
ko:K01890	hpyk:HPAKL86_05610
ko:K00800	hpyk:HPAKL86_05615
ko:K03527	hpyk:HPAKL86_05620
ko:K02945	hpyk:HPAKL86_05625
ko:K03182	hpyk:HPAKL86_05640
ko:K06997	hpyk:HPAKL86_05645
ko:K03269	hpyk:HPAKL86_05650
ko:K03415	hpyk:HPAKL86_05655
ko:K03407	hpyk:HPAKL86_05660
ko:K03408	hpyk:HPAKL86_05665
ko:K01428	hpyk:HPAKL86_05685
ko:K01625	hpyk:HPAKL86_05715
ko:K01690	hpyk:HPAKL86_05720
ko:K00036	hpyk:HPAKL86_05725
ko:K01057	hpyk:HPAKL86_05730
ko:K13979	hpyk:HPAKL86_05740
ko:K00172	hpyk:HPAKL86_05760
ko:K00171	hpyk:HPAKL86_05765
ko:K00169	hpyk:HPAKL86_05770
ko:K00170	hpyk:HPAKL86_05775
ko:K01756	hpyk:HPAKL86_05780
ko:K00766	hpyk:HPAKL86_00305
ko:K02066	hpyk:HPAKL86_00610
ko:K02835	hpyk:HPAKL86_01565
ko:K02996	hpyk:HPAKL86_01580
ko:K02871	hpyk:HPAKL86_01585
ko:K00116	hpyk:HPAKL86_01595
ko:K03086	hpyk:HPAKL86_01605
ko:K00645	hpyk:HPAKL86_01615
ko:K04079	hpyk:HPAKL86_01640
ko:K03495	hpyk:HPAKL86_01655
ko:K14445	hpyk:HPAKL86_01660
ko:K00981	hpyk:HPAKL86_01665
ko:K00099	hpyk:HPAKL86_01670
ko:K04487	hpyk:HPAKL86_01685
ko:K13819	hpyk:HPAKL86_01690
ko:K04485	hpyk:HPAKL86_01695
ko:K12267	hpyk:HPAKL86_01700
ko:K07090	hpyk:HPAKL86_01705
ko:K01733	hpyk:HPAKL86_01740
ko:K09765	hpyk:HPAKL86_01750
ko:K03168	hpyk:HPAKL86_01760
ko:K02406	hpyk:HPAKL86_01765
ko:K01628	hpyk:HPAKL86_01775
ko:K03705	hpyk:HPAKL86_01780
ko:K03687	hpyk:HPAKL86_01785
ko:K04043	hpyk:HPAKL86_01790
ko:K07173	hpyk:HPAKL86_01810
ko:K03702	hpyk:HPAKL86_05790
ko:K00573	hpyk:HPAKL86_05805
ko:K07091	hpyk:HPAKL86_05810
ko:K06173	hpyk:HPAKL86_05815
ko:K11065	hpyk:HPAKL86_05830
ko:K04564	hpyk:HPAKL86_05835
ko:K15256	hpyk:HPAKL86_05840
ko:K04066	hpyk:HPAKL86_05845
ko:K06200	hpyk:HPAKL86_05860
ko:K02029	hpyk:HPAKL86_05865
ko:K02029	hpyk:HPAKL86_05870
ko:K02429	hpyk:HPAKL86_05890
ko:K06901	hpyk:HPAKL86_05895
ko:K01839	hpyk:HPAKL86_05910
ko:K08159	hpyk:HPAKL86_05940
ko:K00648	hpyk:HPAKL86_05965
ko:K03621	hpyk:HPAKL86_05970
ko:K02911	hpyk:HPAKL86_05975
ko:K00940	hpyk:HPAKL86_05985
ko:K00789	hpyk:HPAKL86_05990
ko:K02536	hpyk:HPAKL86_06010
ko:K00208	hpyk:HPAKL86_06015
ko:K01803	hpyk:HPAKL86_06020
ko:K00246	hpyk:HPAKL86_06025
ko:K08973	hpyk:HPAKL86_00515
ko:K00954	hpyk:HPAKL86_00565
ko:K01868	hpyk:HPAKL86_01845
ko:K02520	hpyk:HPAKL86_01850
ko:K02916	hpyk:HPAKL86_01855
ko:K02887	hpyk:HPAKL86_01860
ko:K16091	hpyk:HPAKL86_01895
ko:K06942	hpyk:HPAKL86_01905
ko:K01255	hpyk:HPAKL86_01910
ko:K00759	hpyk:HPAKL86_01920
ko:K01808	hpyk:HPAKL86_01930
ko:K03100	hpyk:HPAKL86_01940
ko:K01491	hpyk:HPAKL86_01945
ko:K01465	hpyk:HPAKL86_01965
ko:K02417	hpyk:HPAKL86_01980
ko:K10773	hpyk:HPAKL86_01985
ko:K07082	hpyk:HPAKL86_02000
ko:K00176	hpyk:HPAKL86_02005
ko:K00174	hpyk:HPAKL86_02010
ko:K00175	hpyk:HPAKL86_02015
ko:K00177	hpyk:HPAKL86_02020
ko:K03611	hpyk:HPAKL86_02040
ko:K02406	hpyk:HPAKL86_02080
ko:K01599	hpyk:HPAKL86_02095
ko:K00600	hpyk:HPAKL86_06070
ko:K04567	hpyk:HPAKL86_06075
ko:K03558	hpyk:HPAKL86_06080
ko:K03820	hpyk:HPAKL86_06085
ko:K02356	hpyk:HPAKL86_06120
ko:K01624	hpyk:HPAKL86_06125
ko:K02421	hpyk:HPAKL86_06145
ko:K02836	hpyk:HPAKL86_06150
ko:K08303	hpyk:HPAKL86_06160
ko:K01698	hpyk:HPAKL86_06180
ko:K00891	hpyk:HPAKL86_06215
ko:K01689	hpyk:HPAKL86_06230
ko:K00406	hpyk:HPAKL86_06270
ko:K00407	hpyk:HPAKL86_06275
ko:K00405	hpyk:HPAKL86_06280
ko:K00404	hpyk:HPAKL86_06285
ko:K03575	hpyk:HPAKL86_06295
ko:K02897	hpyk:HPAKL86_00455
ko:K03183	hpyk:HPAKL86_00520
