ko:K14222	aan:D7S_t00689
ko:K00757	aan:D7S_01799
ko:K01914	aan:D7S_01801
ko:K05539	aan:D7S_01802
ko:K00611	aan:D7S_01804
ko:K00926	aan:D7S_01805
ko:K02106	aan:D7S_01809
ko:K01034	aan:D7S_01811
ko:K02946	aan:D7S_01813
ko:K02906	aan:D7S_01814
ko:K02926	aan:D7S_01815
ko:K02892	aan:D7S_01816
ko:K02886	aan:D7S_01817
ko:K02965	aan:D7S_01818
ko:K02890	aan:D7S_01819
ko:K02982	aan:D7S_01820
ko:K02878	aan:D7S_01821
ko:K02904	aan:D7S_01822
ko:K02961	aan:D7S_01823
ko:K03086	aan:D7S_01829
ko:K02970	aan:D7S_01831
ko:K01972	aan:D7S_01836
ko:K03528	aan:D7S_01838
ko:K06203	aan:D7S_01839
ko:K01738	aan:D7S_01840
ko:K06942	aan:D7S_01844
ko:K01056	aan:D7S_01845
ko:K09767	aan:D7S_01846
ko:K01079	aan:D7S_01847
ko:K07568	aan:D7S_00526
ko:K00817	aan:D7S_00527
ko:K00773	aan:D7S_00529
ko:K03210	aan:D7S_00530
ko:K03072	aan:D7S_00531
ko:K03074	aan:D7S_00532
ko:K04072	aan:D7S_00535
ko:K00140	aan:D7S_00541
ko:K15342	aan:D7S_00548
ko:K01737	aan:D7S_00549
ko:K00208	aan:D7S_00552
ko:K01147	aan:D7S_00553
ko:K04047	aan:D7S_00554
ko:K03446	aan:D7S_00558
ko:K01873	aan:D7S_00564
ko:K09900	aan:D7S_00565
ko:K02339	aan:D7S_00566
ko:K03834	aan:D7S_00574
ko:K03477	aan:D7S_00582
ko:K03651	aan:D7S_01494
ko:K06920	aan:D7S_01497
ko:K07133	aan:D7S_01498
ko:K12297	aan:D7S_01500
ko:K00246	aan:D7S_01502
ko:K04568	aan:D7S_01505
ko:K02013	aan:D7S_01506
ko:K02015	aan:D7S_01509
ko:K02016	aan:D7S_01510
ko:K06187	aan:D7S_01513
ko:K03075	aan:D7S_01516
ko:K03814	aan:D7S_01520
ko:K03720	aan:D7S_01521
ko:K08309	aan:D7S_01522
ko:K09780	aan:D7S_01523
ko:K10806	aan:D7S_01524
ko:K06190	aan:D7S_01525
ko:K03631	aan:D7S_01529
ko:K00858	aan:D7S_01530
ko:K03687	aan:D7S_01532
ko:K07648	aan:D7S_01537
ko:K02529	aan:D7S_01543
ko:K00965	aan:D7S_01544
ko:K00849	aan:D7S_01545
ko:K03319	aan:D7S_01550
ko:K02016	aan:D7S_02442
ko:K02013	aan:D7S_02443
ko:K02015	aan:D7S_02444
ko:K07261	aan:D7S_00157
ko:K01736	aan:D7S_00158
ko:K05802	aan:D7S_00159
ko:K01911	aan:D7S_00160
ko:K03645	aan:D7S_00161
ko:K03839	aan:D7S_00163
ko:K02469	aan:D7S_00165
ko:K03113	aan:D7S_00167
ko:K01591	aan:D7S_00168
ko:K05788	aan:D7S_00171
ko:K02945	aan:D7S_00172
ko:K00945	aan:D7S_00173
ko:K09824	aan:D7S_00174
ko:K03576	aan:D7S_00179
ko:K00549	aan:D7S_00180
ko:K15342	aan:D7S_00182
ko:K00982	aan:D7S_00191
ko:K01940	aan:D7S_00197
ko:K02380	aan:D7S_00206
ko:K02016	aan:D7S_00208
ko:K02015	aan:D7S_00209
ko:K02015	aan:D7S_00210
ko:K02013	aan:D7S_00211
ko:K09817	aan:D7S_00213
ko:K09816	aan:D7S_00214
ko:K03308	aan:D7S_00215
ko:K02528	aan:D7S_01132
ko:K03771	aan:D7S_01133
ko:K02825	aan:D7S_01134
ko:K07153	aan:D7S_01136
ko:K01756	aan:D7S_01137
ko:K01070	aan:D7S_01141
ko:K03106	aan:D7S_01143
ko:K03561	aan:D7S_01148
ko:K03832	aan:D7S_01150
ko:K03835	aan:D7S_01153
ko:K03788	aan:D7S_01156
ko:K01419	aan:D7S_01157
ko:K03667	aan:D7S_01158
ko:K15584	aan:D7S_01159
ko:K04754	aan:D7S_01160
ko:K09161	aan:D7S_01161
ko:K03773	aan:D7S_01174
ko:K01613	aan:D7S_01175
ko:K00833	aan:D7S_01176
ko:K09789	aan:D7S_01178
ko:K02169	aan:D7S_01179
ko:K01935	aan:D7S_01180
ko:K07040	aan:D7S_01181
ko:K02911	aan:D7S_01182
ko:K03621	aan:D7S_01183
ko:K00648	aan:D7S_01184
ko:K00645	aan:D7S_01185
ko:K02078	aan:D7S_01187
ko:K03628	aan:D7S_01190
ko:K03732	aan:D7S_01191
ko:K09710	aan:D7S_01192
ko:K00783	aan:D7S_01193
ko:K02020	aan:D7S_02083
ko:K02018	aan:D7S_02084
ko:K03813	aan:D7S_02086
ko:K03568	aan:D7S_02087
ko:K06894	aan:D7S_02088
ko:K05367	aan:D7S_02090
ko:K00615	aan:D7S_02101
ko:K00615	aan:D7S_02102
ko:K07320	aan:D7S_02103
ko:K01734	aan:D7S_02107
ko:K01512	aan:D7S_02109
ko:K11606	aan:D7S_02110
ko:K11605	aan:D7S_02111
ko:K00941	aan:D7S_02131
ko:K02064	aan:D7S_02132
ko:K02063	aan:D7S_02133
ko:K01012	aan:D7S_02135
ko:K03466	aan:D7S_02138
ko:K03634	aan:D7S_02139
ko:K07478	aan:D7S_02140
ko:K04487	aan:D7S_00704
ko:K04082	aan:D7S_00707
ko:K04044	aan:D7S_00708
ko:K04755	aan:D7S_00709
ko:K01874	aan:D7S_00711
ko:K11991	aan:D7S_00721
ko:K13292	aan:D7S_00723
ko:K08311	aan:D7S_00725
ko:K06726	aan:D7S_00726
ko:K10441	aan:D7S_00727
ko:K03704	aan:D7S_00731
ko:K01755	aan:D7S_00737
ko:K00262	aan:D7S_00738
ko:K03781	aan:D7S_00739
ko:K02337	aan:D7S_00743
ko:K03424	aan:D7S_00750
ko:K01883	aan:D7S_00754
ko:K14392	aan:D7S_01672
ko:K04095	aan:D7S_01673
ko:K02687	aan:D7S_01674
ko:K03557	aan:D7S_01677
ko:K05809	aan:D7S_01679
ko:K03310	aan:D7S_01680
ko:K06975	aan:D7S_01682
ko:K01919	aan:D7S_01690
ko:K01358	aan:D7S_01693
ko:K03544	aan:D7S_01694
ko:K03046	aan:D7S_01704
ko:K03043	aan:D7S_01706
ko:K02935	aan:D7S_01707
ko:K02864	aan:D7S_01708
ko:K02863	aan:D7S_01709
ko:K02867	aan:D7S_01710
ko:K02601	aan:D7S_01711
ko:K03073	aan:D7S_01712
ko:K02505	aan:D7S_01721
ko:K02504	aan:D7S_01722
ko:K02682	aan:D7S_01723
ko:K03806	aan:D7S_01724
ko:K00766	aan:D7S_00038
ko:K01657	aan:D7S_00041
ko:K03270	aan:D7S_00042
ko:K06041	aan:D7S_00043
ko:K03799	aan:D7S_00044
ko:K01889	aan:D7S_00045
ko:K01890	aan:D7S_00046
ko:K04764	aan:D7S_00047
ko:K13926	aan:D7S_00052
ko:K01993	aan:D7S_00053
ko:K01256	aan:D7S_00056
ko:K07053	aan:D7S_00058
ko:K03168	aan:D7S_00059
ko:K14055	aan:D7S_00061
ko:K02217	aan:D7S_00064
ko:K02217	aan:D7S_00065
ko:K01141	aan:D7S_00066
ko:K03632	aan:D7S_00068
ko:K03804	aan:D7S_00069
ko:K05939	aan:D7S_00070
ko:K03633	aan:D7S_00072
ko:K07262	aan:D7S_00073
ko:K02897	aan:D7S_00075
ko:K00688	aan:D7S_00077
ko:K00703	aan:D7S_00078
ko:K00975	aan:D7S_00079
ko:K15738	aan:D7S_00086
ko:K01129	aan:D7S_00090
ko:K07726	aan:D7S_00095
ko:K06186	aan:D7S_01009
ko:K06899	aan:D7S_01010
ko:K09904	aan:D7S_01011
ko:K07014	aan:D7S_01012
ko:K01872	aan:D7S_01017
ko:K03563	aan:D7S_01018
ko:K00963	aan:D7S_01020
ko:K03764	aan:D7S_01021
ko:K09761	aan:D7S_01023
ko:K07735	aan:D7S_01024
ko:K07447	aan:D7S_01025
ko:K01689	aan:D7S_01026
ko:K00566	aan:D7S_01028
ko:K05952	aan:D7S_01029
ko:K03734	aan:D7S_01030
ko:K00351	aan:D7S_01031
ko:K00350	aan:D7S_01032
ko:K00349	aan:D7S_01033
ko:K00348	aan:D7S_01034
ko:K00347	aan:D7S_01035
ko:K00346	aan:D7S_01036
ko:K05527	aan:D7S_01039
ko:K07286	aan:D7S_01040
ko:K08306	aan:D7S_01044
ko:K03575	aan:D7S_01046
ko:K03439	aan:D7S_01047
ko:K09923	aan:D7S_01048
ko:K02012	aan:D7S_01049
ko:K02011	aan:D7S_01050
ko:K05541	aan:D7S_01052
ko:K05801	aan:D7S_01053
ko:K00762	aan:D7S_01054
ko:K00989	aan:D7S_01055
ko:K06980	aan:D7S_01058
ko:K02967	aan:D7S_01060
ko:K02357	aan:D7S_01061
ko:K03215	aan:D7S_01064
ko:K00901	aan:D7S_01066
ko:K03648	aan:D7S_01968
ko:K09861	aan:D7S_01969
ko:K00850	aan:D7S_01972
ko:K01207	aan:D7S_01975
ko:K00656	aan:D7S_01979
ko:K04069	aan:D7S_01980
ko:K00655	aan:D7S_01983
ko:K03269	aan:D7S_01984
ko:K03834	aan:D7S_01987
ko:K02356	aan:D7S_01989
ko:K03554	aan:D7S_01993
ko:K00286	aan:D7S_01994
ko:K03545	aan:D7S_01996
ko:K04087	aan:D7S_01998
ko:K04088	aan:D7S_01999
ko:K06133	aan:D7S_02000
ko:K01733	aan:D7S_02001
ko:K00872	aan:D7S_02003
ko:K12524	aan:D7S_02004
ko:K05847	aan:D7S_02008
ko:K07287	aan:D7S_02010
ko:K01714	aan:D7S_02011
ko:K03564	aan:D7S_02012
ko:K06207	aan:D7S_02014
ko:K01915	aan:D7S_02015
ko:K03573	aan:D7S_02017
ko:K06076	aan:D7S_02019
ko:K00790	aan:D7S_02021
ko:K07122	aan:D7S_02023
ko:K07323	aan:D7S_02024
ko:K01008	aan:D7S_00339
ko:K00325	aan:D7S_00343
ko:K00324	aan:D7S_00344
ko:K06206	aan:D7S_00345
ko:K01866	aan:D7S_00346
ko:K02834	aan:D7S_00350
ko:K02519	aan:D7S_00351
ko:K02600	aan:D7S_00352
ko:K09748	aan:D7S_00353
ko:K01845	aan:D7S_00372
ko:K00990	aan:D7S_00373
ko:K01265	aan:D7S_00374
ko:K15724	aan:D7S_00375
ko:K05365	aan:D7S_00377
ko:K07243	aan:D7S_00378
ko:K07230	aan:D7S_00379
ko:K02003	aan:D7S_00383
ko:K03578	aan:D7S_00389
ko:K07390	aan:D7S_00393
ko:K00075	aan:D7S_01317
ko:K07674	aan:D7S_01318
ko:K02570	aan:D7S_01320
ko:K02573	aan:D7S_01323
ko:K02568	aan:D7S_01325
ko:K01460	aan:D7S_01327
ko:K03274	aan:D7S_01330
ko:K09458	aan:D7S_01337
ko:K07107	aan:D7S_01344
ko:K02078	aan:D7S_01350
ko:K02078	aan:D7S_01351
ko:K03733	aan:D7S_01357
ko:K01778	aan:D7S_01358
ko:K01933	aan:D7S_01360
ko:K03695	aan:D7S_01362
ko:K02237	aan:D7S_01363
ko:K00133	aan:D7S_01364
ko:K07400	aan:D7S_01367
ko:K03311	aan:D7S_01369
ko:K01937	aan:D7S_01370
ko:K01879	aan:D7S_01371
ko:K06918	aan:D7S_02267
ko:K08990	aan:D7S_02268
ko:K03721	aan:D7S_02270
ko:K03666	aan:D7S_02272
ko:K00791	aan:D7S_02273
ko:K03572	aan:D7S_02274
ko:K01448	aan:D7S_02275
ko:K06925	aan:D7S_02276
ko:K13288	aan:D7S_02311
ko:K06949	aan:D7S_02312
ko:K01414	aan:D7S_02316
ko:K09790	aan:D7S_02317
ko:K03078	aan:D7S_00586
ko:K03338	aan:D7S_00594
ko:K03336	aan:D7S_00596
ko:K03335	aan:D7S_00597
ko:K02562	aan:D7S_00599
ko:K00009	aan:D7S_00600
ko:K11003	aan:D7S_00602
ko:K11004	aan:D7S_00603
ko:K00600	aan:D7S_00607
ko:K02344	aan:D7S_00612
ko:K03789	aan:D7S_00614
ko:K03583	aan:D7S_00615
ko:K02681	aan:D7S_00616
ko:K02680	aan:D7S_00618
ko:K02679	aan:D7S_00619
ko:K03640	aan:D7S_00623
ko:K03641	aan:D7S_00624
ko:K03562	aan:D7S_00627
ko:K07107	aan:D7S_00628
ko:K00426	aan:D7S_00629
ko:K00425	aan:D7S_00630
ko:K03551	aan:D7S_00632
ko:K03550	aan:D7S_00633
ko:K01159	aan:D7S_00634
ko:K08310	aan:D7S_00637
ko:K01643	aan:D7S_01552
ko:K01644	aan:D7S_01553
ko:K01646	aan:D7S_01554
ko:K01910	aan:D7S_01555
ko:K06189	aan:D7S_01557
ko:K03820	aan:D7S_01558
ko:K02518	aan:D7S_01559
ko:K07751	aan:D7S_01561
ko:K00940	aan:D7S_01562
ko:K06194	aan:D7S_01566
ko:K03787	aan:D7S_01569
ko:K06176	aan:D7S_01570
ko:K00991	aan:D7S_01571
ko:K05589	aan:D7S_01572
ko:K01783	aan:D7S_01573
ko:K01091	aan:D7S_01574
ko:K01867	aan:D7S_01575
ko:K03308	aan:D7S_01577
ko:K06181	aan:D7S_01578
ko:K07507	aan:D7S_01579
ko:K02769	aan:D7S_01590
ko:K02770	aan:D7S_01590
ko:K02768	aan:D7S_01592
ko:K11183	aan:D7S_01592
ko:K03752	aan:D7S_01594
ko:K09896	aan:D7S_01595
ko:K03673	aan:D7S_01596
ko:K09897	aan:D7S_01597
ko:K15984	aan:D7S_01599
ko:K03555	aan:D7S_01605
ko:K01246	aan:D7S_00888
ko:K04744	aan:D7S_00889
ko:K07124	aan:D7S_00892
ko:K03753	aan:D7S_00893
ko:K03598	aan:D7S_00895
ko:K03597	aan:D7S_00896
ko:K03088	aan:D7S_00897
ko:K09159	aan:D7S_00898
ko:K01881	aan:D7S_00900
ko:K01042	aan:D7S_00901
ko:K03833	aan:D7S_00902
ko:K03831	aan:D7S_00916
ko:K00981	aan:D7S_00917
ko:K00995	aan:D7S_00919
ko:K03470	aan:D7S_00921
ko:K00748	aan:D7S_00922
ko:K00677	aan:D7S_00923
ko:K02372	aan:D7S_00924
ko:K02536	aan:D7S_00925
ko:K06142	aan:D7S_00926
ko:K07277	aan:D7S_00927
ko:K11749	aan:D7S_00928
ko:K00981	aan:D7S_00929
ko:K00806	aan:D7S_00930
ko:K00099	aan:D7S_00931
ko:K02838	aan:D7S_00932
ko:K09903	aan:D7S_00934
ko:K07085	aan:D7S_00935
ko:K02471	aan:D7S_00936
ko:K02444	aan:D7S_00939
ko:K02439	aan:D7S_00942
ko:K09760	aan:D7S_00944
ko:K07479	aan:D7S_00945
ko:K07566	aan:D7S_00946
ko:K02968	aan:D7S_01849
ko:K03980	aan:D7S_01850
ko:K11753	aan:D7S_01851
ko:K01870	aan:D7S_01854
ko:K03101	aan:D7S_01855
ko:K03527	aan:D7S_01856
ko:K02237	aan:D7S_01857
ko:K01807	aan:D7S_01861
ko:K02016	aan:D7S_01863
ko:K01625	aan:D7S_01864
ko:K01812	aan:D7S_01865
ko:K00874	aan:D7S_01867
ko:K01686	aan:D7S_01874
ko:K03321	aan:D7S_01877
ko:K01338	aan:D7S_01879
ko:K03770	aan:D7S_01880
ko:K00761	aan:D7S_01881
ko:K10763	aan:D7S_01884
ko:K01892	aan:D7S_01887
ko:K15539	aan:D7S_01889
ko:K02656	aan:D7S_01890
ko:K06941	aan:D7S_01891
ko:K01752	aan:D7S_01894
ko:K03837	aan:D7S_01895
ko:K02742	aan:D7S_01896
ko:K00029	aan:D7S_01906
ko:K04564	aan:D7S_01907
ko:K07071	aan:D7S_00224
ko:K03402	aan:D7S_00225
ko:K00024	aan:D7S_00227
ko:K00826	aan:D7S_00229
ko:K06968	aan:D7S_00231
ko:K07738	aan:D7S_00232
ko:K11752	aan:D7S_00233
ko:K04691	aan:D7S_00234
ko:K14445	aan:D7S_00236
ko:K02019	aan:D7S_00237
ko:K02020	aan:D7S_00238
ko:K02018	aan:D7S_00239
ko:K01255	aan:D7S_00241
ko:K07091	aan:D7S_00242
ko:K11720	aan:D7S_00243
ko:K00297	aan:D7S_00244
ko:K00014	aan:D7S_00246
ko:K04654	aan:D7S_00250
ko:K02007	aan:D7S_00254
ko:K03673	aan:D7S_00259
ko:K07462	aan:D7S_00260
ko:K03981	aan:D7S_00261
ko:K02836	aan:D7S_00262
ko:K04567	aan:D7S_00263
ko:K05515	aan:D7S_01194
ko:K05837	aan:D7S_01195
ko:K03642	aan:D7S_01196
ko:K09158	aan:D7S_01198
ko:K03801	aan:D7S_01199
ko:K03644	aan:D7S_01200
ko:K07001	aan:D7S_01203
ko:K07237	aan:D7S_01208
ko:K07236	aan:D7S_01209
ko:K07235	aan:D7S_01210
ko:K03745	aan:D7S_01213
ko:K04761	aan:D7S_01215
ko:K03071	aan:D7S_01222
ko:K00057	aan:D7S_01223
ko:K00640	aan:D7S_01224
ko:K09892	aan:D7S_01227
ko:K06205	aan:D7S_01228
ko:K03495	aan:D7S_01229
ko:K03501	aan:D7S_01234
ko:K02108	aan:D7S_01236
ko:K02110	aan:D7S_01237
ko:K02109	aan:D7S_01238
ko:K02113	aan:D7S_01239
ko:K02111	aan:D7S_01240
ko:K02115	aan:D7S_01241
ko:K02112	aan:D7S_01242
ko:K02114	aan:D7S_01243
ko:K07106	aan:D7S_01245
ko:K09001	aan:D7S_01246
ko:K04042	aan:D7S_01247
ko:K11534	aan:D7S_01249
ko:K01875	aan:D7S_02142
ko:K03808	aan:D7S_02150
ko:K03607	aan:D7S_02151
ko:K03797	aan:D7S_02153
ko:K00164	aan:D7S_02158
ko:K00658	aan:D7S_02159
ko:K01903	aan:D7S_02161
ko:K01902	aan:D7S_02162
ko:K08315	aan:D7S_02167
ko:K12142	aan:D7S_02171
ko:K12141	aan:D7S_02172
ko:K12140	aan:D7S_02173
ko:K12139	aan:D7S_02174
ko:K12138	aan:D7S_02175
ko:K04656	aan:D7S_02178
ko:K00123	aan:D7S_02183
ko:K02379	aan:D7S_02184
ko:K06145	aan:D7S_02185
ko:K03657	aan:D7S_02188
ko:K07270	aan:D7S_02196
ko:K06211	aan:D7S_00773
ko:K03834	aan:D7S_00776
ko:K02879	aan:D7S_00777
ko:K03040	aan:D7S_00778
ko:K02986	aan:D7S_00779
ko:K02948	aan:D7S_00780
ko:K02952	aan:D7S_00781
ko:K02919	aan:D7S_00782
ko:K03076	aan:D7S_00783
ko:K02876	aan:D7S_00784
ko:K02988	aan:D7S_00785
ko:K02881	aan:D7S_00786
ko:K02933	aan:D7S_00787
ko:K02994	aan:D7S_00788
ko:K02954	aan:D7S_00789
ko:K02895	aan:D7S_00791
ko:K02874	aan:D7S_00792
ko:K01698	aan:D7S_00794
ko:K03118	aan:D7S_00795
ko:K03117	aan:D7S_00796
ko:K03116	aan:D7S_00797
ko:K04083	aan:D7S_00804
ko:K04762	aan:D7S_00805
ko:K08312	aan:D7S_00807
ko:K00036	aan:D7S_00813
ko:K01057	aan:D7S_00814
ko:K03284	aan:D7S_00819
ko:K02221	aan:D7S_00820
ko:K09131	aan:D7S_00821
ko:K05810	aan:D7S_00828
ko:K00962	aan:D7S_01727
ko:K05803	aan:D7S_01728
ko:K05592	aan:D7S_01729
ko:K02647	aan:D7S_01732
ko:K00865	aan:D7S_01734
ko:K00760	aan:D7S_01735
ko:K03592	aan:D7S_01736
ko:K09889	aan:D7S_01737
ko:K14445	aan:D7S_01738
ko:K02553	aan:D7S_01739
ko:K02548	aan:D7S_01740
ko:K09811	aan:D7S_01747
ko:K09812	aan:D7S_01748
ko:K03110	aan:D7S_01750
ko:K11936	aan:D7S_01763
ko:K07783	aan:D7S_01766
ko:K00275	aan:D7S_01767
ko:K00134	aan:D7S_01774
ko:K00942	aan:D7S_01775
ko:K03060	aan:D7S_01776
ko:K03655	aan:D7S_01778
ko:K03181	aan:D7S_01779
ko:K01776	aan:D7S_01780
ko:K01462	aan:D7S_01785
ko:K01772	aan:D7S_00397
ko:K11065	aan:D7S_00398
ko:K01443	aan:D7S_00400
ko:K00885	aan:D7S_00404
ko:K02565	aan:D7S_00428
ko:K02492	aan:D7S_00429
ko:K09946	aan:D7S_00434
ko:K01809	aan:D7S_00435
ko:K09136	aan:D7S_00436
ko:K09908	aan:D7S_00437
ko:K03702	aan:D7S_00441
ko:K02622	aan:D7S_00447
ko:K02621	aan:D7S_00448
ko:K01118	aan:D7S_00452
ko:K03885	aan:D7S_00454
ko:K00111	aan:D7S_00455
ko:K07056	aan:D7S_00456
ko:K07121	aan:D7S_00457
ko:K07460	aan:D7S_00458
ko:K01878	aan:D7S_01377
ko:K07306	aan:D7S_01382
ko:K05995	aan:D7S_00101
ko:K03151	aan:D7S_00102
ko:K07821	aan:D7S_00103
ko:K03319	aan:D7S_00106
ko:K06173	aan:D7S_00110
ko:K02996	aan:D7S_00111
ko:K02871	aan:D7S_00112
ko:K03581	aan:D7S_00114
ko:K03582	aan:D7S_00115
ko:K01716	aan:D7S_00118
ko:K04770	aan:D7S_00119
ko:K09911	aan:D7S_00120
ko:K03704	aan:D7S_00121
ko:K09917	aan:D7S_00122
ko:K06879	aan:D7S_00126
ko:K02012	aan:D7S_00136
ko:K02011	aan:D7S_00138
ko:K09906	aan:D7S_00140
ko:K03798	aan:D7S_00141
ko:K01433	aan:D7S_00143
ko:K02343	aan:D7S_00153
ko:K00759	aan:D7S_00154
ko:K02560	aan:D7S_00155
ko:K07090	aan:D7S_00156
ko:K03591	aan:D7S_01072
ko:K04066	aan:D7S_01073
ko:K07270	aan:D7S_01076
ko:K02909	aan:D7S_01077
ko:K07270	aan:D7S_01078
ko:K02913	aan:D7S_01082
ko:K03630	aan:D7S_01084
ko:K05501	aan:D7S_01091
ko:K07115	aan:D7S_01095
ko:K05366	aan:D7S_01096
ko:K02507	aan:D7S_01101
ko:K00891	aan:D7S_01102
ko:K01735	aan:D7S_01103
ko:K03701	aan:D7S_01113
ko:K03070	aan:D7S_01121
ko:K02340	aan:D7S_01123
ko:K03643	aan:D7S_01124
ko:K01869	aan:D7S_01126
ko:K02066	aan:D7S_02026
ko:K02065	aan:D7S_02027
ko:K11719	aan:D7S_02029
ko:K09774	aan:D7S_02030
ko:K06861	aan:D7S_02031
ko:K06958	aan:D7S_02033
ko:K03601	aan:D7S_02034
ko:K09801	aan:D7S_02036
ko:K08304	aan:D7S_02043
ko:K02558	aan:D7S_02045
ko:K03841	aan:D7S_02046
ko:K00147	aan:D7S_02050
ko:K02011	aan:D7S_02053
ko:K02012	aan:D7S_02054
ko:K02012	aan:D7S_02055
ko:K00876	aan:D7S_02056
ko:K01494	aan:D7S_02057
ko:K08159	aan:D7S_02059
ko:K03977	aan:D7S_02060
ko:K05516	aan:D7S_02061
ko:K01939	aan:D7S_02063
ko:K15257	aan:D7S_02064
ko:K08301	aan:D7S_02066
ko:K03675	aan:D7S_02067
ko:K12410	aan:D7S_02068
ko:K00995	aan:D7S_02072
ko:K03686	aan:D7S_02077
ko:K04043	aan:D7S_02078
ko:K03656	aan:D7S_01387
ko:K07173	aan:D7S_01395
ko:K07733	aan:D7S_01419
ko:K06158	aan:D7S_01426
ko:K03565	aan:D7S_01428
ko:K01665	aan:D7S_02328
ko:K01868	aan:D7S_02333
ko:K00528	aan:D7S_02339
ko:K02520	aan:D7S_02340
ko:K02887	aan:D7S_02342
ko:K09974	aan:D7S_02343
