ko:K00130	bsul:BSUA_03320
ko:K02911	bsul:BSUA_01638
ko:K00077	bsul:BSUA_01641
ko:K03925	bsul:BSUA_01643
ko:K03438	bsul:BSUA_01644
ko:K08724	bsul:BSUA_01646
ko:K08384	bsul:BSUA_01647
ko:K01928	bsul:BSUA_01648
ko:K03888	bsul:BSUA_02421
ko:K03887	bsul:BSUA_02422
ko:K03886	bsul:BSUA_02423
ko:K00800	bsul:BSUA_02427
ko:K04517	bsul:BSUA_02428
ko:K00817	bsul:BSUA_02429
ko:K01695	bsul:BSUA_02430
ko:K01696	bsul:BSUA_02431
ko:K01817	bsul:BSUA_02432
ko:K01609	bsul:BSUA_02433
ko:K00766	bsul:BSUA_02434
ko:K01657	bsul:BSUA_02435
ko:K06208	bsul:BSUA_02436
ko:K01735	bsul:BSUA_02437
ko:K01736	bsul:BSUA_02438
ko:K00575	bsul:BSUA_02439
ko:K00940	bsul:BSUA_02440
ko:K00805	bsul:BSUA_02441
ko:K03183	bsul:BSUA_02442
ko:K00805	bsul:BSUA_02443
ko:K06285	bsul:BSUA_02444
ko:K01495	bsul:BSUA_02445
ko:K03530	bsul:BSUA_02446
ko:K06398	bsul:BSUA_02447
ko:K00057	bsul:BSUA_02450
ko:K03977	bsul:BSUA_02451
ko:K05739	bsul:BSUA_02453
ko:K01823	bsul:BSUA_02456
ko:K02945	bsul:BSUA_02457
ko:K00945	bsul:BSUA_02458
ko:K06313	bsul:BSUA_02461
ko:K01449	bsul:BSUA_02462
ko:K00384	bsul:BSUA_02464
ko:K00260	bsul:BSUA_02465
ko:K16511	bsul:BSUA_02466
ko:K17319	bsul:BSUA_03203
ko:K17318	bsul:BSUA_03205
ko:K17320	bsul:BSUA_03206
ko:K01012	bsul:BSUA_03209
ko:K01935	bsul:BSUA_03210
ko:K00652	bsul:BSUA_03211
ko:K02529	bsul:BSUA_03215
ko:K10117	bsul:BSUA_03216
ko:K10118	bsul:BSUA_03217
ko:K10119	bsul:BSUA_03218
ko:K07406	bsul:BSUA_03219
ko:K01869	bsul:BSUA_03221
ko:K11632	bsul:BSUA_03226
ko:K11631	bsul:BSUA_03227
ko:K11629	bsul:BSUA_03228
ko:K11630	bsul:BSUA_03229
ko:K16918	bsul:BSUA_03230
ko:K16920	bsul:BSUA_03231
ko:K16919	bsul:BSUA_03232
ko:K16919	bsul:BSUA_03233
ko:K07979	bsul:BSUA_03235
ko:K07139	bsul:BSUA_03238
ko:K16188	bsul:BSUA_03240
ko:K01048	bsul:BSUA_03241
ko:K01953	bsul:BSUA_03244
ko:K00789	bsul:BSUA_03245
ko:K01610	bsul:BSUA_03246
ko:K02051	bsul:BSUA_03249
ko:K02049	bsul:BSUA_03250
ko:K02050	bsul:BSUA_03251
ko:K04047	bsul:BSUA_03254
ko:K06314	bsul:BSUA_03998
ko:K03298	bsul:BSUA_03999
ko:K16869	bsul:BSUA_04000
ko:K00625	bsul:BSUA_04002
ko:K02205	bsul:BSUA_04012
ko:K00294	bsul:BSUA_04014
ko:K00260	bsul:BSUA_04015
ko:K01790	bsul:BSUA_04017
ko:K00067	bsul:BSUA_04018
ko:K00973	bsul:BSUA_04020
ko:K07257	bsul:BSUA_04022
ko:K06305	bsul:BSUA_04028
ko:K00128	bsul:BSUA_04032
ko:K03648	bsul:BSUA_04033
ko:K00868	bsul:BSUA_04038
ko:K01193	bsul:BSUA_04040
ko:K02809	bsul:BSUA_04041
ko:K02810	bsul:BSUA_04041
ko:K02598	bsul:BSUA_04042
ko:K03488	bsul:BSUA_04043
ko:K14647	bsul:BSUA_04045
ko:K02313	bsul:BSUA_00001
ko:K02338	bsul:BSUA_00002
ko:K03629	bsul:BSUA_00004
ko:K02470	bsul:BSUA_00006
ko:K02469	bsul:BSUA_00007
ko:K02013	bsul:BSUA_00823
ko:K02015	bsul:BSUA_00824
ko:K02015	bsul:BSUA_00825
ko:K02016	bsul:BSUA_00826
ko:K01728	bsul:BSUA_00830
ko:K03319	bsul:BSUA_00831
ko:K11637	bsul:BSUA_00832
ko:K00491	bsul:BSUA_00838
ko:K01512	bsul:BSUA_00839
ko:K01265	bsul:BSUA_00844
ko:K02803	bsul:BSUA_00845
ko:K02804	bsul:BSUA_00845
ko:K03310	bsul:BSUA_00849
ko:K06295	bsul:BSUA_00853
ko:K02818	bsul:BSUA_00854
ko:K02819	bsul:BSUA_00854
ko:K01226	bsul:BSUA_00855
ko:K03486	bsul:BSUA_00856
ko:K08693	bsul:BSUA_00858
ko:K05520	bsul:BSUA_00859
ko:K01104	bsul:BSUA_00862
ko:K07058	bsul:BSUA_00864
ko:K07300	bsul:BSUA_00867
ko:K01000	bsul:BSUA_01649
ko:K01925	bsul:BSUA_01650
ko:K03588	bsul:BSUA_01651
ko:K02563	bsul:BSUA_01652
ko:K00075	bsul:BSUA_01653
ko:K03589	bsul:BSUA_01654
ko:K03590	bsul:BSUA_01658
ko:K03531	bsul:BSUA_01659
ko:K13276	bsul:BSUA_01660
ko:K06383	bsul:BSUA_01661
ko:K03091	bsul:BSUA_01662
ko:K03091	bsul:BSUA_01663
ko:K02013	bsul:BSUA_01664
ko:K05810	bsul:BSUA_01667
ko:K06997	bsul:BSUA_01668
ko:K09772	bsul:BSUA_01669
ko:K02221	bsul:BSUA_01670
ko:K04074	bsul:BSUA_01672
ko:K01870	bsul:BSUA_01673
ko:K03101	bsul:BSUA_01675
ko:K06180	bsul:BSUA_01676
ko:K02825	bsul:BSUA_01677
ko:K02824	bsul:BSUA_01678
ko:K00609	bsul:BSUA_01679
ko:K01465	bsul:BSUA_01680
ko:K01956	bsul:BSUA_01681
ko:K01955	bsul:BSUA_01682
ko:K02823	bsul:BSUA_01683
ko:K17828	bsul:BSUA_01684
ko:K01591	bsul:BSUA_01685
ko:K00762	bsul:BSUA_01686
ko:K00390	bsul:BSUA_01688
ko:K16331	bsul:BSUA_01689
ko:K00958	bsul:BSUA_01690
ko:K00860	bsul:BSUA_01691
ko:K02303	bsul:BSUA_01692
ko:K03794	bsul:BSUA_01693
ko:K02304	bsul:BSUA_01694
ko:K01537	bsul:BSUA_01696
ko:K09777	bsul:BSUA_01698
ko:K00942	bsul:BSUA_01699
ko:K03060	bsul:BSUA_01700
ko:K13038	bsul:BSUA_01701
ko:K04066	bsul:BSUA_01702
ko:K07052	bsul:BSUA_02470
ko:K03654	bsul:BSUA_02471
ko:K05337	bsul:BSUA_02473
ko:K00058	bsul:BSUA_02476
ko:K03785	bsul:BSUA_02477
ko:K03088	bsul:BSUA_02479
ko:K07651	bsul:BSUA_02480
ko:K07775	bsul:BSUA_02481
ko:K07399	bsul:BSUA_02483
ko:K06178	bsul:BSUA_02485
ko:K06374	bsul:BSUA_02486
ko:K06373	bsul:BSUA_02487
ko:K06024	bsul:BSUA_02490
ko:K05896	bsul:BSUA_02491
ko:K09763	bsul:BSUA_02492
ko:K02859	bsul:BSUA_02493
ko:K00794	bsul:BSUA_02494
ko:K14652	bsul:BSUA_02495
ko:K00793	bsul:BSUA_02496
ko:K11752	bsul:BSUA_02497
ko:K03100	bsul:BSUA_02500
ko:K07069	bsul:BSUA_02502
ko:K03768	bsul:BSUA_02506
ko:K01586	bsul:BSUA_02508
ko:K06408	bsul:BSUA_02509
ko:K06407	bsul:BSUA_02510
ko:K06407	bsul:BSUA_02511
ko:K06406	bsul:BSUA_02512
ko:K06405	bsul:BSUA_02513
ko:K06404	bsul:BSUA_02514
ko:K06403	bsul:BSUA_02515
ko:K03091	bsul:BSUA_02516
ko:K06379	bsul:BSUA_02517
ko:K07173	bsul:BSUA_03257
ko:K08998	bsul:BSUA_03258
ko:K01673	bsul:BSUA_03259
ko:K02909	bsul:BSUA_03260
ko:K00425	bsul:BSUA_03261
ko:K00426	bsul:BSUA_03262
ko:K11709	bsul:BSUA_03264
ko:K11708	bsul:BSUA_03265
ko:K11710	bsul:BSUA_03266
ko:K11707	bsul:BSUA_03267
ko:K02549	bsul:BSUA_03268
ko:K01911	bsul:BSUA_03269
ko:K01661	bsul:BSUA_03270
ko:K08680	bsul:BSUA_03271
ko:K02551	bsul:BSUA_03272
ko:K02552	bsul:BSUA_03273
ko:K00963	bsul:BSUA_03275
ko:K00012	bsul:BSUA_03276
ko:K00688	bsul:BSUA_03284
ko:K00703	bsul:BSUA_03285
ko:K00975	bsul:BSUA_03286
ko:K00975	bsul:BSUA_03287
ko:K00700	bsul:BSUA_03288
ko:K05837	bsul:BSUA_04048
ko:K02829	bsul:BSUA_04050
ko:K02828	bsul:BSUA_04051
ko:K02827	bsul:BSUA_04052
ko:K02826	bsul:BSUA_04053
ko:K00965	bsul:BSUA_04055
ko:K00849	bsul:BSUA_04056
ko:K16301	bsul:BSUA_04064
ko:K07224	bsul:BSUA_04065
ko:K07243	bsul:BSUA_04066
ko:K00788	bsul:BSUA_04067
ko:K00878	bsul:BSUA_04068
ko:K06518	bsul:BSUA_04070
ko:K05820	bsul:BSUA_04072
ko:K06969	bsul:BSUA_04074
ko:K01759	bsul:BSUA_04075
ko:K02761	bsul:BSUA_04077
ko:K02809	bsul:BSUA_04079
ko:K02810	bsul:BSUA_04079
ko:K03488	bsul:BSUA_04080
ko:K01866	bsul:BSUA_04084
ko:K02548	bsul:BSUA_04087
ko:K03367	bsul:BSUA_04089
ko:K03739	bsul:BSUA_04090
ko:K14188	bsul:BSUA_04091
ko:K03740	bsul:BSUA_04092
ko:K14189	bsul:BSUA_04093
ko:K00826	bsul:BSUA_04094
ko:K01222	bsul:BSUA_04095
ko:K02759	bsul:BSUA_04096
ko:K02761	bsul:BSUA_04097
ko:K02760	bsul:BSUA_04098
ko:K03491	bsul:BSUA_04099
ko:K03321	bsul:BSUA_00202
ko:K02015	bsul:BSUA_00205
ko:K02015	bsul:BSUA_00206
ko:K02016	bsul:BSUA_00207
ko:K01207	bsul:BSUA_00210
ko:K02809	bsul:BSUA_00212
ko:K02810	bsul:BSUA_00212
ko:K07106	bsul:BSUA_00214
ko:K03088	bsul:BSUA_00222
ko:K18672	bsul:BSUA_00224
ko:K03431	bsul:BSUA_00226
ko:K00820	bsul:BSUA_00227
ko:K01247	bsul:BSUA_00229
ko:K13530	bsul:BSUA_00230
ko:K13531	bsul:BSUA_00231
ko:K05577	bsul:BSUA_00232
ko:K09822	bsul:BSUA_00233
ko:K00820	bsul:BSUA_00239
ko:K01990	bsul:BSUA_00243
ko:K03294	bsul:BSUA_01041
ko:K03308	bsul:BSUA_01042
ko:K00375	bsul:BSUA_01043
ko:K03088	bsul:BSUA_01047
ko:K00655	bsul:BSUA_01049
ko:K11358	bsul:BSUA_01052
ko:K06199	bsul:BSUA_01055
ko:K06199	bsul:BSUA_01056
ko:K01126	bsul:BSUA_01057
ko:K16052	bsul:BSUA_01059
ko:K12410	bsul:BSUA_01060
ko:K00824	bsul:BSUA_01062
ko:K03315	bsul:BSUA_01063
ko:K03455	bsul:BSUA_01080
ko:K07228	bsul:BSUA_01081
ko:K01990	bsul:BSUA_01085
ko:K01992	bsul:BSUA_01086
ko:K03698	bsul:BSUA_01089
ko:K07533	bsul:BSUA_01091
ko:K01448	bsul:BSUA_01872
ko:K06413	bsul:BSUA_01873
ko:K03665	bsul:BSUA_01874
ko:K03713	bsul:BSUA_01876
ko:K01915	bsul:BSUA_01877
ko:K03292	bsul:BSUA_01889
ko:K01198	bsul:BSUA_01890
ko:K01805	bsul:BSUA_01892
ko:K00854	bsul:BSUA_01893
ko:K00088	bsul:BSUA_00014
ko:K07258	bsul:BSUA_00015
ko:K06215	bsul:BSUA_00016
ko:K08681	bsul:BSUA_00017
ko:K01875	bsul:BSUA_00018
ko:K15519	bsul:BSUA_00020
ko:K15518	bsul:BSUA_00021
ko:K06306	bsul:BSUA_00022
ko:K11991	bsul:BSUA_00024
ko:K02343	bsul:BSUA_00025
ko:K09747	bsul:BSUA_00026
ko:K06187	bsul:BSUA_00027
ko:K06317	bsul:BSUA_00029
ko:K00943	bsul:BSUA_00039
ko:K09770	bsul:BSUA_00041
ko:K02341	bsul:BSUA_00042
ko:K07461	bsul:BSUA_00046
ko:K07056	bsul:BSUA_00047
ko:K06284	bsul:BSUA_00048
ko:K01874	bsul:BSUA_00049
ko:K03424	bsul:BSUA_00050
ko:K05985	bsul:BSUA_00052
ko:K02528	bsul:BSUA_00053
ko:K06436	bsul:BSUA_00054
ko:K06423	bsul:BSUA_00056
ko:K00919	bsul:BSUA_00057
ko:K09685	bsul:BSUA_00058
ko:K09022	bsul:BSUA_00059
ko:K06412	bsul:BSUA_00060
ko:K04042	bsul:BSUA_00061
ko:K00948	bsul:BSUA_00062
ko:K02897	bsul:BSUA_00063
ko:K01056	bsul:BSUA_00064
ko:K03723	bsul:BSUA_00066
ko:K04769	bsul:BSUA_00067
ko:K02499	bsul:BSUA_00069
ko:K03284	bsul:BSUA_00874
ko:K01247	bsul:BSUA_00875
ko:K03215	bsul:BSUA_00876
ko:K00627	bsul:BSUA_00883
ko:K00382	bsul:BSUA_00884
ko:K06425	bsul:BSUA_00886
ko:K09771	bsul:BSUA_00887
ko:K01232	bsul:BSUA_00893
ko:K03481	bsul:BSUA_00894
ko:K02749	bsul:BSUA_00895
ko:K02750	bsul:BSUA_00895
ko:K07104	bsul:BSUA_00899
ko:K01992	bsul:BSUA_00907
ko:K01992	bsul:BSUA_00908
ko:K14205	bsul:BSUA_00917
ko:K02016	bsul:BSUA_00918
ko:K02015	bsul:BSUA_00919
ko:K02015	bsul:BSUA_00920
ko:K01462	bsul:BSUA_01703
ko:K00604	bsul:BSUA_01704
ko:K03500	bsul:BSUA_01705
ko:K06941	bsul:BSUA_01706
ko:K06949	bsul:BSUA_01709
ko:K01783	bsul:BSUA_01710
ko:K00949	bsul:BSUA_01711
ko:K06414	bsul:BSUA_01712
ko:K02902	bsul:BSUA_01713
ko:K07030	bsul:BSUA_01715
ko:K01752	bsul:BSUA_01716
ko:K01752	bsul:BSUA_01717
ko:K03655	bsul:BSUA_01718
ko:K03621	bsul:BSUA_01720
ko:K00645	bsul:BSUA_01721
ko:K00059	bsul:BSUA_01722
ko:K02078	bsul:BSUA_01723
ko:K03685	bsul:BSUA_01724
ko:K03529	bsul:BSUA_01725
ko:K03110	bsul:BSUA_01726
ko:K09787	bsul:BSUA_01728
ko:K03106	bsul:BSUA_01729
ko:K02959	bsul:BSUA_01730
ko:K06960	bsul:BSUA_01731
ko:K02860	bsul:BSUA_01733
ko:K00554	bsul:BSUA_01734
ko:K02884	bsul:BSUA_01735
ko:K14540	bsul:BSUA_01736
ko:K03470	bsul:BSUA_01737
ko:K04061	bsul:BSUA_01739
ko:K01903	bsul:BSUA_01740
ko:K01902	bsul:BSUA_01741
ko:K04096	bsul:BSUA_01742
ko:K03168	bsul:BSUA_01743
ko:K04094	bsul:BSUA_01744
ko:K03733	bsul:BSUA_01745
ko:K01419	bsul:BSUA_01746
ko:K03667	bsul:BSUA_01747
ko:K03706	bsul:BSUA_01748
ko:K02387	bsul:BSUA_01749
ko:K02388	bsul:BSUA_01750
ko:K01775	bsul:BSUA_01896
ko:K03116	bsul:BSUA_01906
ko:K06310	bsul:BSUA_01911
ko:K06311	bsul:BSUA_01912
ko:K06312	bsul:BSUA_01913
ko:K11210	bsul:BSUA_01920
ko:K01356	bsul:BSUA_01921
ko:K00615	bsul:BSUA_01925
ko:K02038	bsul:BSUA_02674
ko:K02037	bsul:BSUA_02675
ko:K02040	bsul:BSUA_02676
ko:K08222	bsul:BSUA_02678
ko:K04564	bsul:BSUA_02679
ko:K09793	bsul:BSUA_02680
ko:K05967	bsul:BSUA_02686
ko:K02076	bsul:BSUA_02687
ko:K01151	bsul:BSUA_02690
ko:K18692	bsul:BSUA_02691
ko:K03527	bsul:BSUA_02693
ko:K06967	bsul:BSUA_02695
ko:K13300	bsul:BSUA_02696
ko:K03086	bsul:BSUA_02697
ko:K09768	bsul:BSUA_02699
ko:K09773	bsul:BSUA_02700
ko:K01879	bsul:BSUA_02702
ko:K01878	bsul:BSUA_02703
ko:K03584	bsul:BSUA_02704
ko:K01489	bsul:BSUA_02707
ko:K07042	bsul:BSUA_02709
ko:K07037	bsul:BSUA_02710
ko:K06438	bsul:BSUA_02712
ko:K07403	bsul:BSUA_02716
ko:K09117	bsul:BSUA_02717
ko:K02970	bsul:BSUA_02718
ko:K03324	bsul:BSUA_02719
ko:K18707	bsul:BSUA_02720
ko:K09761	bsul:BSUA_02721
ko:K02687	bsul:BSUA_02722
ko:K03686	bsul:BSUA_02723
ko:K04043	bsul:BSUA_02724
ko:K03687	bsul:BSUA_02725
ko:K03705	bsul:BSUA_02726
ko:K10112	bsul:BSUA_03474
ko:K10711	bsul:BSUA_03475
ko:K10710	bsul:BSUA_03476
ko:K10119	bsul:BSUA_03477
ko:K10118	bsul:BSUA_03478
ko:K10117	bsul:BSUA_03479
ko:K10708	bsul:BSUA_03480
ko:K00285	bsul:BSUA_03482
ko:K09014	bsul:BSUA_03487
ko:K04488	bsul:BSUA_03488
ko:K11717	bsul:BSUA_03489
ko:K09015	bsul:BSUA_03490
ko:K09013	bsul:BSUA_03491
ko:K02073	bsul:BSUA_03494
ko:K02072	bsul:BSUA_03495
ko:K02071	bsul:BSUA_03496
ko:K07476	bsul:BSUA_03499
ko:K02437	bsul:BSUA_03501
ko:K00537	bsul:BSUA_03502
ko:K07516	bsul:BSUA_03505
ko:K00318	bsul:BSUA_03507
ko:K00059	bsul:BSUA_03513
ko:K00059	bsul:BSUA_03514
ko:K02013	bsul:BSUA_03517
ko:K04047	bsul:BSUA_03522
ko:K07770	bsul:BSUA_03524
ko:K07650	bsul:BSUA_03525
ko:K16916	bsul:BSUA_04259
ko:K16917	bsul:BSUA_04260
ko:K16922	bsul:BSUA_04261
ko:K04041	bsul:BSUA_04264
ko:K00783	bsul:BSUA_04268
ko:K01476	bsul:BSUA_04279
ko:K02205	bsul:BSUA_04280
ko:K00819	bsul:BSUA_04281
ko:K06714	bsul:BSUA_04282
ko:K07652	bsul:BSUA_04287
ko:K07668	bsul:BSUA_04288
ko:K01939	bsul:BSUA_04293
ko:K03449	bsul:BSUA_04299
ko:K02939	bsul:BSUA_04301
ko:K06329	bsul:BSUA_04305
ko:K15986	bsul:BSUA_04307
ko:K02408	bsul:BSUA_01751
ko:K02409	bsul:BSUA_01752
ko:K02410	bsul:BSUA_01753
ko:K02411	bsul:BSUA_01754
ko:K02412	bsul:BSUA_01755
ko:K02413	bsul:BSUA_01756
ko:K07258	bsul:BSUA_02519
ko:K03783	bsul:BSUA_02520
ko:K01839	bsul:BSUA_02521
ko:K04763	bsul:BSUA_02522
ko:K03711	bsul:BSUA_02524
ko:K06384	bsul:BSUA_02525
ko:K00027	bsul:BSUA_02527
ko:K03315	bsul:BSUA_02528
ko:K01744	bsul:BSUA_02529
ko:K01424	bsul:BSUA_02530
ko:K01515	bsul:BSUA_02533
ko:K06889	bsul:BSUA_02537
ko:K02346	bsul:BSUA_02544
ko:K00867	bsul:BSUA_02549
ko:K01753	bsul:BSUA_02550
ko:K07124	bsul:BSUA_02551
ko:K00286	bsul:BSUA_02553
ko:K00784	bsul:BSUA_02557
ko:K00036	bsul:BSUA_02558
ko:K00033	bsul:BSUA_02559
ko:K02346	bsul:BSUA_02560
ko:K03217	bsul:BSUA_02562
ko:K09166	bsul:BSUA_02563
ko:K01966	bsul:BSUA_02565
ko:K05606	bsul:BSUA_02566
ko:K02028	bsul:BSUA_02570
ko:K02029	bsul:BSUA_02571
ko:K16789	bsul:BSUA_03313
ko:K07192	bsul:BSUA_03315
ko:K11440	bsul:BSUA_03319
ko:K03499	bsul:BSUA_03323
ko:K03498	bsul:BSUA_03324
ko:K06153	bsul:BSUA_03330
ko:K01813	bsul:BSUA_03333
ko:K03534	bsul:BSUA_03334
ko:K00848	bsul:BSUA_03335
ko:K03406	bsul:BSUA_03338
ko:K03406	bsul:BSUA_03339
ko:K03406	bsul:BSUA_03340
ko:K03406	bsul:BSUA_03341
ko:K00686	bsul:BSUA_03342
ko:K01187	bsul:BSUA_03345
ko:K06973	bsul:BSUA_03347
ko:K10716	bsul:BSUA_03350
ko:K01810	bsul:BSUA_03353
ko:K09779	bsul:BSUA_03356
ko:K07570	bsul:BSUA_03357
ko:K10907	bsul:BSUA_03358
ko:K14155	bsul:BSUA_03362
ko:K07697	bsul:BSUA_03363
ko:K06347	bsul:BSUA_03364
ko:K06348	bsul:BSUA_03365
ko:K03652	bsul:BSUA_04101
ko:K03781	bsul:BSUA_04102
ko:K01992	bsul:BSUA_04104
ko:K01990	bsul:BSUA_04105
ko:K03088	bsul:BSUA_04109
ko:K03457	bsul:BSUA_04110
ko:K17758	bsul:BSUA_04111
ko:K16012	bsul:BSUA_04112
ko:K16013	bsul:BSUA_04113
ko:K00426	bsul:BSUA_04114
ko:K00425	bsul:BSUA_04115
ko:K10112	bsul:BSUA_04120
ko:K00128	bsul:BSUA_04122
ko:K01784	bsul:BSUA_04125
ko:K06910	bsul:BSUA_04126
ko:K01258	bsul:BSUA_04131
ko:K00549	bsul:BSUA_04136
ko:K00019	bsul:BSUA_04137
ko:K01029	bsul:BSUA_04138
ko:K01028	bsul:BSUA_04139
ko:K00563	bsul:BSUA_04141
ko:K16323	bsul:BSUA_04142
ko:K03781	bsul:BSUA_04145
ko:K03300	bsul:BSUA_04146
ko:K03488	bsul:BSUA_04148
ko:K06902	bsul:BSUA_04150
ko:K07571	bsul:BSUA_00074
ko:K06382	bsul:BSUA_00077
ko:K07114	bsul:BSUA_00078
ko:K04075	bsul:BSUA_00080
ko:K00760	bsul:BSUA_00081
ko:K03798	bsul:BSUA_00082
ko:K03525	bsul:BSUA_00083
ko:K04083	bsul:BSUA_00084
ko:K01738	bsul:BSUA_00086
ko:K01665	bsul:BSUA_00087
ko:K01664	bsul:BSUA_00088
ko:K02619	bsul:BSUA_00089
ko:K00796	bsul:BSUA_00090
ko:K01633	bsul:BSUA_00091
ko:K00950	bsul:BSUA_00092
ko:K04567	bsul:BSUA_00095
ko:K03708	bsul:BSUA_00111
ko:K03696	bsul:BSUA_00114
ko:K04485	bsul:BSUA_00115
ko:K07067	bsul:BSUA_00116
ko:K00991	bsul:BSUA_00118
ko:K01770	bsul:BSUA_00119
ko:K09698	bsul:BSUA_00120
ko:K00640	bsul:BSUA_00121
ko:K01883	bsul:BSUA_00122
ko:K11145	bsul:BSUA_00123
ko:K03218	bsul:BSUA_00124
ko:K06962	bsul:BSUA_00125
ko:K03091	bsul:BSUA_00126
ko:K09682	bsul:BSUA_01095
ko:K02913	bsul:BSUA_00127
ko:K03073	bsul:BSUA_00128
ko:K02601	bsul:BSUA_00129
ko:K07071	bsul:BSUA_00925
ko:K03565	bsul:BSUA_00926
ko:K06428	bsul:BSUA_00929
ko:K07038	bsul:BSUA_00936
ko:K03575	bsul:BSUA_00937
ko:K10780	bsul:BSUA_00939
ko:K06422	bsul:BSUA_00940
ko:K07586	bsul:BSUA_00942
ko:K11085	bsul:BSUA_00943
ko:K01845	bsul:BSUA_00945
ko:K03564	bsul:BSUA_00946
ko:K09825	bsul:BSUA_00947
ko:K06377	bsul:BSUA_00969
ko:K03147	bsul:BSUA_00973
ko:K03781	bsul:BSUA_00976
ko:K15555	bsul:BSUA_00977
ko:K15553	bsul:BSUA_00978
ko:K15554	bsul:BSUA_00979
ko:K04091	bsul:BSUA_00980
ko:K02954	bsul:BSUA_00982
ko:K02414	bsul:BSUA_01758
ko:K02389	bsul:BSUA_01759
ko:K02390	bsul:BSUA_01760
ko:K02385	bsul:BSUA_01761
ko:K02415	bsul:BSUA_01762
ko:K02416	bsul:BSUA_01763
ko:K02417	bsul:BSUA_01764
ko:K03413	bsul:BSUA_01765
ko:K02418	bsul:BSUA_01766
ko:K02419	bsul:BSUA_01767
ko:K02420	bsul:BSUA_01768
ko:K02421	bsul:BSUA_01769
ko:K02401	bsul:BSUA_01770
ko:K02400	bsul:BSUA_01771
ko:K02404	bsul:BSUA_01772
ko:K04562	bsul:BSUA_01773
ko:K03412	bsul:BSUA_01774
ko:K03407	bsul:BSUA_01775
ko:K03408	bsul:BSUA_01776
