ko:K02495	send:DT104_40111
ko:K14225	send:DT104_t00030
ko:K14225	send:DT104_t00081
ko:K14225	send:DT104_t00079
ko:K14225	send:DT104_t00080
ko:K14225	send:DT104_t00052
ko:K14232	send:DT104_t00036
ko:K14232	send:DT104_t00060
ko:K14232	send:DT104_t00068
ko:K14231	send:DT104_t00053
ko:K14231	send:DT104_t00078
ko:K14234	send:DT104_t00073
ko:K14234	send:DT104_t00076
ko:K14238	send:DT104_t00061
ko:K07459	send:DT104_09151
ko:K14742	send:DT104_17881
ko:K00884	send:DT104_12001
ko:K03767	send:DT104_34571
ko:K01271	send:DT104_39971
ko:K06518	send:DT104_22411
ko:K02483	send:DT104_10781
ko:K02809	send:DT104_26211
ko:K02810	send:DT104_26211
ko:K17758	send:DT104_43451
ko:K17759	send:DT104_43451
ko:K11928	send:DT104_11051
ko:K06714	send:DT104_24171
ko:K01515	send:DT104_31811
ko:K12340	send:DT104_31821
ko:K07238	send:DT104_31861
ko:K03673	send:DT104_31901
ko:K03611	send:DT104_31911
ko:K02858	send:DT104_31921
ko:K09806	send:DT104_31931
ko:K03272	send:DT104_31971
ko:K00982	send:DT104_31981
ko:K07184	send:DT104_32001
ko:K00974	send:DT104_32011
ko:K06153	send:DT104_32021
ko:K01633	send:DT104_32031
ko:K08591	send:DT104_32041
ko:K01409	send:DT104_32051
ko:K02970	send:DT104_32061
ko:K03086	send:DT104_32081
ko:K03649	send:DT104_32091
ko:K07229	send:DT104_32101
ko:K03776	send:DT104_32131
ko:K09251	send:DT104_32141
ko:K00219	send:DT104_32151
ko:K11391	send:DT104_32161
ko:K07043	send:DT104_32171
ko:K07862	send:DT104_32211
ko:K15977	send:DT104_32271
ko:K07393	send:DT104_32281
ko:K06911	send:DT104_32311
ko:K01825	send:DT104_39961
ko:K03498	send:DT104_39991
ko:K00230	send:DT104_40001
ko:K03753	send:DT104_40011
ko:K03752	send:DT104_40021
ko:K09896	send:DT104_40031
ko:K03673	send:DT104_40051
ko:K03978	send:DT104_40081
ko:K09894	send:DT104_40101
ko:K07712	send:DT104_40121
ko:K07708	send:DT104_40131
ko:K01915	send:DT104_40141
ko:K06207	send:DT104_40161
ko:K15922	send:DT104_40261
ko:K01671	send:DT104_40291
ko:K08318	send:DT104_40301
ko:K07058	send:DT104_40341
ko:K07560	send:DT104_40351
ko:K02380	send:DT104_40411
ko:K00127	send:DT104_40421
ko:K00124	send:DT104_40431
ko:K12147	send:DT104_11321
ko:K08161	send:DT104_11331
ko:K02517	send:DT104_11341
ko:K07146	send:DT104_11351
ko:K02846	send:DT104_11391
ko:K12148	send:DT104_11401
ko:K12149	send:DT104_11411
ko:K01465	send:DT104_11421
ko:K03675	send:DT104_11441
ko:K08162	send:DT104_11451
ko:K03790	send:DT104_11461
ko:K09915	send:DT104_11471
ko:K03810	send:DT104_11481
ko:K03980	send:DT104_11491
ko:K02399	send:DT104_11501
ko:K02398	send:DT104_11511
ko:K02386	send:DT104_11521
ko:K02387	send:DT104_11531
ko:K02388	send:DT104_11541
ko:K02389	send:DT104_11551
ko:K02390	send:DT104_11561
ko:K02391	send:DT104_11571
ko:K02392	send:DT104_11581
ko:K02393	send:DT104_11591
ko:K02394	send:DT104_11601
ko:K02395	send:DT104_11611
ko:K02396	send:DT104_11621
ko:K02397	send:DT104_11631
ko:K08300	send:DT104_11641
ko:K06179	send:DT104_11661
ko:K07040	send:DT104_11701
ko:K02911	send:DT104_11711
ko:K03621	send:DT104_11721
ko:K00648	send:DT104_11731
ko:K00645	send:DT104_11741
ko:K00059	send:DT104_11751
ko:K00995	send:DT104_19571
ko:K03703	send:DT104_19581
ko:K07689	send:DT104_19591
ko:K10010	send:DT104_19631
ko:K10009	send:DT104_19641
ko:K02424	send:DT104_19661
ko:K02425	send:DT104_19671
ko:K02405	send:DT104_19681
ko:K07491	send:DT104_19691
ko:K02406	send:DT104_19711
ko:K02407	send:DT104_19721
ko:K02422	send:DT104_19731
ko:K02423	send:DT104_19741
ko:K01176	send:DT104_19751
ko:K07112	send:DT104_19771
ko:K02408	send:DT104_19801
ko:K02409	send:DT104_19811
ko:K02410	send:DT104_19821
ko:K02411	send:DT104_19831
ko:K02412	send:DT104_19841
ko:K02413	send:DT104_19851
ko:K02414	send:DT104_19861
ko:K02415	send:DT104_19871
ko:K02416	send:DT104_19881
ko:K02417	send:DT104_19891
ko:K02418	send:DT104_19901
ko:K02419	send:DT104_19911
ko:K02420	send:DT104_19921
ko:K02421	send:DT104_19931
ko:K07781	send:DT104_19941
ko:K07026	send:DT104_19971
ko:K09781	send:DT104_20001
ko:K07458	send:DT104_20021
ko:K06950	send:DT104_20041
ko:K03704	send:DT104_20071
ko:K07017	send:DT104_27781
ko:K09824	send:DT104_27831
ko:K07241	send:DT104_27851
ko:K07649	send:DT104_27861
ko:K07774	send:DT104_27871
ko:K07795	send:DT104_27881
ko:K07793	send:DT104_27901
ko:K15737	send:DT104_27911
ko:K15736	send:DT104_27921
ko:K00135	send:DT104_27931
ko:K07250	send:DT104_27941
ko:K11735	send:DT104_27951
ko:K15735	send:DT104_27961
ko:K00375	send:DT104_28051
ko:K03647	send:DT104_28081
ko:K02000	send:DT104_28111
ko:K02001	send:DT104_28121
ko:K02002	send:DT104_28131
ko:K15974	send:DT104_28151
ko:K03543	send:DT104_28161
ko:K03446	send:DT104_28171
ko:K07173	send:DT104_28191
ko:K01919	send:DT104_28201
ko:K03563	send:DT104_28231
ko:K01872	send:DT104_28241
ko:K07058	send:DT104_35911
ko:K07290	send:DT104_35931
ko:K00874	send:DT104_35951
ko:K11103	send:DT104_35971
ko:K00694	send:DT104_36021
ko:K12372	send:DT104_36121
ko:K12371	send:DT104_36131
ko:K12370	send:DT104_36141
ko:K12369	send:DT104_36151
ko:K12368	send:DT104_36161
ko:K12975	send:DT104_36201
ko:K07347	send:DT104_36231
ko:K01246	send:DT104_36271
ko:K03826	send:DT104_36281
ko:K00090	send:DT104_36311
ko:K07726	send:DT104_36331
ko:K03704	send:DT104_36341
ko:K03830	send:DT104_36381
ko:K01507	send:DT104_44021
ko:K03841	send:DT104_44031
ko:K02558	send:DT104_44041
ko:K03337	send:DT104_44081
ko:K00140	send:DT104_44091
ko:K03335	send:DT104_44121
ko:K00010	send:DT104_44131
ko:K01201	send:DT104_44141
ko:K06606	send:DT104_44151
ko:K03338	send:DT104_44171
ko:K03336	send:DT104_44181
ko:K00010	send:DT104_44191
ko:K06606	send:DT104_44211
ko:K06605	send:DT104_44221
ko:K09889	send:DT104_44231
ko:K03592	send:DT104_44241
ko:K15536	send:DT104_44251
ko:K01465	send:DT104_44321
ko:K01042	send:DT104_44331
ko:K01226	send:DT104_44421
ko:K03485	send:DT104_44441
ko:K01531	send:DT104_44451
ko:K09022	send:DT104_44471
ko:K00610	send:DT104_44481
ko:K00609	send:DT104_44491
ko:K00611	send:DT104_44541
ko:K00926	send:DT104_44551
ko:K01478	send:DT104_44561
ko:K00344	send:DT104_42391
ko:K00658	send:DT104_07591
ko:K01903	send:DT104_07601
ko:K01902	send:DT104_07611
ko:K00425	send:DT104_07621
ko:K00426	send:DT104_07631
ko:K07107	send:DT104_07661
ko:K03562	send:DT104_07671
ko:K03560	send:DT104_07681
ko:K03641	send:DT104_07701
ko:K03640	send:DT104_07711
ko:K03517	send:DT104_07731
ko:K03811	send:DT104_07741
ko:K16264	send:DT104_07751
ko:K01626	send:DT104_07771
ko:K01678	send:DT104_07781
ko:K01677	send:DT104_07791
ko:K01571	send:DT104_07831
ko:K01572	send:DT104_07841
ko:K02015	send:DT104_07861
ko:K02013	send:DT104_07871
ko:K01834	send:DT104_07881
ko:K01785	send:DT104_07891
ko:K00849	send:DT104_07901
ko:K00965	send:DT104_07911
ko:K01784	send:DT104_07921
ko:K05776	send:DT104_07941
ko:K02019	send:DT104_07951
ko:K02020	send:DT104_07971
ko:K02018	send:DT104_07981
ko:K02017	send:DT104_07991
ko:K07404	send:DT104_08011
ko:K01051	send:DT104_08021
ko:K01468	send:DT104_08031
ko:K01479	send:DT104_08041
ko:K05836	send:DT104_08051
ko:K01712	send:DT104_08061
ko:K01745	send:DT104_08071
ko:K06910	send:DT104_08081
ko:K14587	send:DT104_15881
ko:K03929	send:DT104_15941
ko:K05876	send:DT104_15971
ko:K00121	send:DT104_15981
ko:K02030	send:DT104_16041
ko:K02029	send:DT104_16051
ko:K02028	send:DT104_16061
ko:K02029	send:DT104_16071
ko:K12262	send:DT104_16101
ko:K03578	send:DT104_16121
ko:K01118	send:DT104_16131
ko:K09978	send:DT104_16151
ko:K03778	send:DT104_16181
ko:K03737	send:DT104_16221
ko:K14061	send:DT104_16231
ko:K14058	send:DT104_16251
ko:K05591	send:DT104_16261
ko:K16074	send:DT104_16271
ko:K00567	send:DT104_16301
ko:K14055	send:DT104_16321
ko:K16052	send:DT104_16341
ko:K00764	send:DT104_24181
ko:K03558	send:DT104_24191
ko:K03749	send:DT104_24201
ko:K11754	send:DT104_24211
ko:K01963	send:DT104_24221
ko:K03975	send:DT104_24231
ko:K06173	send:DT104_24241
ko:K03473	send:DT104_24261
ko:K07052	send:DT104_24331
ko:K00647	send:DT104_24341
ko:K15461	send:DT104_24351
ko:K09906	send:DT104_24371
ko:K07090	send:DT104_24381
ko:K07261	send:DT104_24391
ko:K01736	send:DT104_24401
ko:K07320	send:DT104_24411
ko:K08296	send:DT104_24431
ko:K01782	send:DT104_24441
ko:K06076	send:DT104_24471
ko:K04754	send:DT104_24481
ko:K08477	send:DT104_24501
ko:K08476	send:DT104_24511
ko:K08475	send:DT104_24521
ko:K08478	send:DT104_24531
ko:K11382	send:DT104_24541
ko:K12974	send:DT104_24581
ko:K14261	send:DT104_24591
ko:K00845	send:DT104_24611
ko:K03322	send:DT104_24661
ko:K11535	send:DT104_24671
ko:K01752	send:DT104_32351
ko:K00656	send:DT104_32361
ko:K00932	send:DT104_32371
ko:K03838	send:DT104_32381
ko:K01754	send:DT104_32391
ko:K07592	send:DT104_32401
ko:K00865	send:DT104_32421
ko:K01630	send:DT104_32441
ko:K08302	send:DT104_32481
ko:K16370	send:DT104_32491
ko:K02769	send:DT104_32501
ko:K02770	send:DT104_32501
ko:K11189	send:DT104_32511
ko:K16371	send:DT104_32521
ko:K02773	send:DT104_32531
ko:K02774	send:DT104_32541
ko:K02775	send:DT104_32551
ko:K00094	send:DT104_32561
ko:K02436	send:DT104_32571
ko:K07056	send:DT104_32581
ko:K07121	send:DT104_32591
ko:K07460	send:DT104_32601
ko:K12961	send:DT104_32611
ko:K05520	send:DT104_32641
ko:K09979	send:DT104_32651
ko:K07461	send:DT104_32661
ko:K03824	send:DT104_32671
ko:K08303	send:DT104_32691
ko:K03835	send:DT104_32741
ko:K05592	send:DT104_32751
ko:K05803	send:DT104_32761
ko:K00962	send:DT104_32771
ko:K02956	send:DT104_32781
ko:K03177	send:DT104_32791
ko:K02834	send:DT104_32801
ko:K02519	send:DT104_32811
ko:K02600	send:DT104_32821
ko:K09748	send:DT104_32831
ko:K01940	send:DT104_32841
ko:K02379	send:DT104_40451
ko:K03534	send:DT104_40511
ko:K01629	send:DT104_40531
ko:K01813	send:DT104_40541
ko:K00848	send:DT104_40551
ko:K02855	send:DT104_40561
ko:K02854	send:DT104_40571
ko:K02856	send:DT104_40581
ko:K07491	send:DT104_40601
ko:K04564	send:DT104_40641
ko:K07640	send:DT104_40671
ko:K06006	send:DT104_40691
ko:K13283	send:DT104_40701
ko:K00850	send:DT104_40711
ko:K02048	send:DT104_40721
ko:K01521	send:DT104_40731
ko:K00847	send:DT104_40751
ko:K11216	send:DT104_40811
ko:K11531	send:DT104_40821
ko:K10558	send:DT104_40831
ko:K10556	send:DT104_40841
ko:K10557	send:DT104_40851
ko:K10555	send:DT104_40861
ko:K08321	send:DT104_40871
ko:K11530	send:DT104_40881
ko:K01783	send:DT104_40891
ko:K01803	send:DT104_40901
ko:K00528	send:DT104_40931
ko:K02446	send:DT104_40941
ko:K00864	send:DT104_40951
ko:K02440	send:DT104_40961
ko:K01703	send:DT104_03731
ko:K01704	send:DT104_03741
ko:K01561	send:DT104_03761
ko:K07347	send:DT104_03821
ko:K07345	send:DT104_03841
ko:K07213	send:DT104_03991
ko:K02078	send:DT104_11761
ko:K09458	send:DT104_11771
ko:K02619	send:DT104_11781
ko:K07082	send:DT104_11791
ko:K00943	send:DT104_11801
ko:K02341	send:DT104_11811
ko:K03424	send:DT104_11821
ko:K02778	send:DT104_11831
ko:K02779	send:DT104_11831
ko:K16088	send:DT104_11841
ko:K02503	send:DT104_11851
ko:K07337	send:DT104_11871
ko:K07251	send:DT104_11881
ko:K01207	send:DT104_11891
ko:K07000	send:DT104_11901
ko:K03885	send:DT104_11911
ko:K12151	send:DT104_11941
ko:K03723	send:DT104_11961
ko:K09808	send:DT104_11971
ko:K09810	send:DT104_11981
ko:K09808	send:DT104_11991
ko:K12410	send:DT104_12011
ko:K11069	send:DT104_12021
ko:K11070	send:DT104_12031
ko:K11071	send:DT104_12051
ko:K11072	send:DT104_12061
ko:K07637	send:DT104_12101
ko:K07660	send:DT104_12111
ko:K01756	send:DT104_12121
ko:K07153	send:DT104_12131
ko:K00566	send:DT104_12141
ko:K12152	send:DT104_12151
ko:K06181	send:DT104_12171
ko:K00031	send:DT104_12181
ko:K03704	send:DT104_12231
ko:K07804	send:DT104_12251
ko:K09933	send:DT104_20621
ko:K03565	send:DT104_28251
ko:K03743	send:DT104_28271
ko:K08305	send:DT104_28281
ko:K02783	send:DT104_28291
ko:K02782	send:DT104_28301
ko:K02783	send:DT104_28301
ko:K02781	send:DT104_28311
ko:K00068	send:DT104_28321
ko:K02466	send:DT104_28331
ko:K02468	send:DT104_28341
ko:K02467	send:DT104_28351
ko:K12266	send:DT104_28361
ko:K12264	send:DT104_28371
ko:K12265	send:DT104_28381
ko:K04656	send:DT104_28391
ko:K05796	send:DT104_28401
ko:K08315	send:DT104_28421
ko:K15834	send:DT104_28431
ko:K15832	send:DT104_28441
ko:K15831	send:DT104_28451
ko:K15830	send:DT104_28461
ko:K15829	send:DT104_28471
ko:K15828	send:DT104_28481
ko:K15827	send:DT104_28491
ko:K15833	send:DT104_28501
ko:K04651	send:DT104_28511
ko:K04652	send:DT104_28521
ko:K04653	send:DT104_28531
ko:K04654	send:DT104_28541
ko:K04655	send:DT104_28551
ko:K15836	send:DT104_28561
ko:K11604	send:DT104_28581
ko:K11607	send:DT104_28591
ko:K11605	send:DT104_28601
ko:K11606	send:DT104_28611
ko:K03221	send:DT104_28701
ko:K01879	send:DT104_36391
ko:K01878	send:DT104_36401
ko:K00854	send:DT104_36431
ko:K01805	send:DT104_36441
ko:K02529	send:DT104_36451
ko:K03796	send:DT104_36461
ko:K01176	send:DT104_36471
ko:K00835	send:DT104_36481
ko:K08092	send:DT104_36511
ko:K00880	send:DT104_36571
ko:K09955	send:DT104_36621
ko:K00138	send:DT104_36631
ko:K03833	send:DT104_36651
ko:K01042	send:DT104_36661
ko:K02798	send:DT104_36681
ko:K02799	send:DT104_36681
ko:K02800	send:DT104_36681
ko:K00009	send:DT104_36691
ko:K02562	send:DT104_36701
ko:K14762	send:DT104_36721
ko:K00427	send:DT104_36751
ko:K14348	send:DT104_36761
ko:K00101	send:DT104_36771
ko:K03216	send:DT104_36781
ko:K06145	send:DT104_36791
ko:K03535	send:DT104_36811
ko:K00640	send:DT104_36821
ko:K00057	send:DT104_36831
ko:K03071	send:DT104_36841
ko:K15633	send:DT104_36871
ko:K09798	send:DT104_36891
ko:K00611	send:DT104_44591
ko:K09893	send:DT104_44601
ko:K06169	send:DT104_44611
ko:K03828	send:DT104_44631
ko:K01873	send:DT104_44651
ko:K02339	send:DT104_44661
ko:K01255	send:DT104_44671
ko:K07091	send:DT104_44691
ko:K11720	send:DT104_44701
ko:K06146	send:DT104_44711
ko:K06157	send:DT104_44721
ko:K00046	send:DT104_44731
ko:K00098	send:DT104_44741
ko:K00851	send:DT104_44751
ko:K12957	send:DT104_44761
ko:K01338	send:DT104_44801
ko:K09982	send:DT104_44911
ko:K13637	send:DT104_44971
ko:K01867	send:DT104_44981
ko:K06887	send:DT104_44991
ko:K01779	send:DT104_45001
ko:K01305	send:DT104_45021
ko:K00135	send:DT104_45101
ko:K12524	send:DT104_00011
ko:K00872	send:DT104_00021
ko:K01733	send:DT104_00031
ko:K09861	send:DT104_00041
ko:K03310	send:DT104_00051
ko:K00616	send:DT104_00061
ko:K03831	send:DT104_00071
ko:K07034	send:DT104_00081
ko:K04043	send:DT104_00111
ko:K00833	send:DT104_08091
ko:K01012	send:DT104_08101
ko:K00652	send:DT104_08111
ko:K02169	send:DT104_08121
ko:K01935	send:DT104_08131
ko:K03702	send:DT104_08141
ko:K03639	send:DT104_08181
ko:K03638	send:DT104_08191
ko:K03637	send:DT104_08201
ko:K03636	send:DT104_08211
ko:K03635	send:DT104_08221
ko:K06890	send:DT104_08231
ko:K06890	send:DT104_08241
ko:K07027	send:DT104_08271
ko:K01993	send:DT104_08341
ko:K11927	send:DT104_08361
ko:K06970	send:DT104_08411
ko:K10037	send:DT104_08441
ko:K10036	send:DT104_08451
ko:K04047	send:DT104_08461
ko:K11939	send:DT104_08471
ko:K11934	send:DT104_08481
ko:K11924	send:DT104_08501
ko:K07757	send:DT104_08571
ko:K00656	send:DT104_08581
ko:K04069	send:DT104_08591
ko:K15580	send:DT104_16491
ko:K14054	send:DT104_16501
ko:K11065	send:DT104_16521
ko:K03721	send:DT104_16531
ko:K08990	send:DT104_16541
ko:K06918	send:DT104_16551
ko:K03972	send:DT104_16561
ko:K03971	send:DT104_16571
ko:K03970	send:DT104_16591
ko:K03969	send:DT104_16601
ko:K03974	send:DT104_16611
ko:K00208	send:DT104_16711
ko:K01147	send:DT104_16731
ko:K14051	send:DT104_16741
ko:K03113	send:DT104_16761
ko:K01591	send:DT104_16771
ko:K08992	send:DT104_16791
ko:K01681	send:DT104_16821
ko:K13634	send:DT104_16831
ko:K03168	send:DT104_16851
ko:K04774	send:DT104_16871
ko:K06178	send:DT104_16901
ko:K07053	send:DT104_16921
ko:K01885	send:DT104_24711
ko:K03815	send:DT104_24751
ko:K14347	send:DT104_24781
ko:K09954	send:DT104_24791
ko:K01972	send:DT104_24801
ko:K03528	send:DT104_24811
ko:K06203	send:DT104_24821
ko:K08178	send:DT104_04001
ko:K07316	send:DT104_04011
ko:K01156	send:DT104_04021
ko:K00425	send:DT104_04041
ko:K00426	send:DT104_04051
ko:K02014	send:DT104_04081
ko:K03329	send:DT104_04091
ko:K02688	send:DT104_04111
ko:K03417	send:DT104_04121
ko:K01720	send:DT104_04141
ko:K01908	send:DT104_04151
ko:K01698	send:DT104_04161
ko:K01921	send:DT104_04241
ko:K08161	send:DT104_04261
ko:K00286	send:DT104_04301
ko:K09768	send:DT104_04311
ko:K00891	send:DT104_04321
ko:K14591	send:DT104_04341
ko:K09913	send:DT104_04351
ko:K03554	send:DT104_04361
ko:K00847	send:DT104_04371
ko:K03547	send:DT104_04401
ko:K07657	send:DT104_04411
ko:K07636	send:DT104_04421
ko:K07491	send:DT104_04431
ko:K03311	send:DT104_04441
ko:K11736	send:DT104_04451
ko:K03386	send:DT104_04471
ko:K08682	send:DT104_04481
ko:K07568	send:DT104_04491
ko:K00773	send:DT104_04501
ko:K03210	send:DT104_04511
ko:K03072	send:DT104_04521
ko:K03074	send:DT104_04531
ko:K04080	send:DT104_12281
ko:K02035	send:DT104_12321
ko:K02033	send:DT104_12331
ko:K02034	send:DT104_12341
ko:K04093	send:DT104_12471
ko:K11250	send:DT104_12481
ko:K09712	send:DT104_12511
ko:K03449	send:DT104_12541
ko:K09786	send:DT104_12591
ko:K07180	send:DT104_12601
ko:K06871	send:DT104_12621
ko:K01792	send:DT104_12641
ko:K00134	send:DT104_12661
ko:K07305	send:DT104_12671
ko:K09916	send:DT104_12681
ko:K08281	send:DT104_12691
ko:K01424	send:DT104_12701
ko:K04773	send:DT104_12711
ko:K01008	send:DT104_12731
ko:K00262	send:DT104_12751
ko:K08320	send:DT104_12771
ko:K01142	send:DT104_12781
ko:K06996	send:DT104_04541
ko:K05517	send:DT104_04581
ko:K01738	send:DT104_24831
ko:K02784	send:DT104_24841
ko:K08483	send:DT104_24851
ko:K00868	send:DT104_24881
ko:K01951	send:DT104_24901
ko:K12339	send:DT104_24931
ko:K02045	send:DT104_24941
ko:K02047	send:DT104_24951
ko:K02046	send:DT104_24961
ko:K02048	send:DT104_24971
ko:K07223	send:DT104_24991
ko:K01448	send:DT104_25031
ko:K00228	send:DT104_25041
ko:K04033	send:DT104_25071
ko:K04025	send:DT104_25081
ko:K04026	send:DT104_25091
ko:K03736	send:DT104_25101
ko:K03735	send:DT104_25111
ko:K04019	send:DT104_25121
ko:K04023	send:DT104_25131
ko:K04022	send:DT104_25141
ko:K04024	send:DT104_25151
ko:K04021	send:DT104_25161
ko:K03075	send:DT104_32861
ko:K03431	send:DT104_32871
ko:K00796	send:DT104_32881
ko:K03798	send:DT104_32891
ko:K02427	send:DT104_32901
ko:K07574	send:DT104_32911
ko:K03624	send:DT104_32921
ko:K07259	send:DT104_32931
ko:K03979	send:DT104_32941
ko:K02899	send:DT104_32961
ko:K02888	send:DT104_32971
ko:K02523	send:DT104_32981
ko:K00790	send:DT104_33001
ko:K07122	send:DT104_33021
ko:K07323	send:DT104_33031
ko:K02067	send:DT104_33041
ko:K02066	send:DT104_33051
ko:K02065	send:DT104_33061
ko:K07301	send:DT104_33071
ko:K06041	send:DT104_33081
ko:K03270	send:DT104_33091
ko:K11719	send:DT104_33101
ko:K09774	send:DT104_33111
ko:K06861	send:DT104_33121
ko:K03092	send:DT104_33131
ko:K05808	send:DT104_33141
ko:K02806	send:DT104_33151
ko:K06958	send:DT104_33161
ko:K03814	send:DT104_33191
ko:K07648	send:DT104_33211
ko:K07139	send:DT104_33221
ko:K00265	send:DT104_33231
ko:K00266	send:DT104_33241
ko:K10974	send:DT104_33261
ko:K00885	send:DT104_33291
ko:K01788	send:DT104_33301
ko:K03290	send:DT104_33311
ko:K01639	send:DT104_33321
ko:K03600	send:DT104_33341
ko:K03599	send:DT104_33351
ko:K09892	send:DT104_40971
ko:K02553	send:DT104_40981
ko:K02548	send:DT104_40991
ko:K03667	send:DT104_41001
ko:K01419	send:DT104_41011
ko:K03591	send:DT104_41021
ko:K05499	send:DT104_41031
ko:K04066	send:DT104_41041
ko:K02909	send:DT104_41051
ko:K03764	send:DT104_41081
ko:K12525	send:DT104_41101
ko:K00297	send:DT104_41151
ko:K03782	send:DT104_41161
ko:K09974	send:DT104_41171
