ko:K07171	efq:DR75_1948
ko:K00790	efq:DR75_1311
ko:K02114	efq:DR75_1313
ko:K02112	efq:DR75_1314
ko:K02115	efq:DR75_1315
ko:K02111	efq:DR75_1316
ko:K02113	efq:DR75_1317
ko:K02109	efq:DR75_1318
ko:K02110	efq:DR75_1319
ko:K02108	efq:DR75_1320
ko:K03664	efq:DR75_1321
ko:K12573	efq:DR75_1322
ko:K03928	efq:DR75_1323
ko:K03075	efq:DR75_1324
ko:K06975	efq:DR75_1325
ko:K01916	efq:DR75_1328
ko:K00763	efq:DR75_1329
ko:K07668	efq:DR75_1333
ko:K04077	efq:DR75_1334
ko:K04078	efq:DR75_1335
ko:K07052	efq:DR75_1337
ko:K01926	efq:DR75_1338
ko:K06158	efq:DR75_1339
ko:K03402	efq:DR75_2140
ko:K03402	efq:DR75_2141
ko:K01478	efq:DR75_2142
ko:K00611	efq:DR75_2143
ko:K00926	efq:DR75_2144
ko:K12373	efq:DR75_2150
ko:K07075	efq:DR75_2168
ko:K01951	efq:DR75_2198
ko:K00867	efq:DR75_2199
ko:K00564	efq:DR75_2201
ko:K01488	efq:DR75_2202
ko:K01938	efq:DR75_724
ko:K03704	efq:DR75_725
ko:K03469	efq:DR75_727
ko:K03976	efq:DR75_728
ko:K03785	efq:DR75_729
ko:K09976	efq:DR75_732
ko:K01151	efq:DR75_733
ko:K01866	efq:DR75_736
ko:K03693	efq:DR75_737
ko:K01992	efq:DR75_738
ko:K01990	efq:DR75_739
ko:K02529	efq:DR75_740
ko:K00963	efq:DR75_744
ko:K00057	efq:DR75_745
ko:K13292	efq:DR75_746
ko:K06023	efq:DR75_747
ko:K03703	efq:DR75_748
ko:K08972	efq:DR75_749
ko:K02039	efq:DR75_752
ko:K02036	efq:DR75_753
ko:K02036	efq:DR75_754
ko:K02038	efq:DR75_755
ko:K09710	efq:DR75_1563
ko:K00969	efq:DR75_1565
ko:K07574	efq:DR75_1566
ko:K06948	efq:DR75_1567
ko:K07015	efq:DR75_1568
ko:K01962	efq:DR75_1569
ko:K01963	efq:DR75_1570
ko:K01961	efq:DR75_1571
ko:K02372	efq:DR75_1572
ko:K02160	efq:DR75_1573
ko:K09458	efq:DR75_1574
ko:K00059	efq:DR75_1575
ko:K00645	efq:DR75_1576
ko:K02371	efq:DR75_1577
ko:K02078	efq:DR75_1578
ko:K00648	efq:DR75_1579
ko:K07570	efq:DR75_1591
ko:K14155	efq:DR75_1593
ko:K03768	efq:DR75_1594
ko:K01119	efq:DR75_1597
ko:K02027	efq:DR75_1598
ko:K02026	efq:DR75_1600
ko:K02025	efq:DR75_1601
ko:K10112	efq:DR75_1602
ko:K03305	efq:DR75_2433
ko:K01661	efq:DR75_2435
ko:K01911	efq:DR75_2436
ko:K02552	efq:DR75_2437
ko:K02551	efq:DR75_2438
ko:K08680	efq:DR75_2439
ko:K02549	efq:DR75_2440
ko:K07090	efq:DR75_2444
ko:K02795	efq:DR75_2445
ko:K02794	efq:DR75_2447
ko:K07106	efq:DR75_2449
ko:K02793	efq:DR75_2451
ko:K04564	efq:DR75_2453
ko:K01778	efq:DR75_2454
ko:K02564	efq:DR75_2456
ko:K07507	efq:DR75_2457
ko:K03744	efq:DR75_2458
ko:K06872	efq:DR75_2459
ko:K03647	efq:DR75_2462
ko:K04758	efq:DR75_2464
ko:K04759	efq:DR75_2465
ko:K07035	efq:DR75_2471
ko:K00077	efq:DR75_2472
ko:K17686	efq:DR75_2481
ko:K01533	efq:DR75_2483
ko:K00939	efq:DR75_2484
ko:K00036	efq:DR75_64
ko:K03709	efq:DR75_65
ko:K06206	efq:DR75_67
ko:K02760	efq:DR75_71
ko:K02761	efq:DR75_72
ko:K02760	efq:DR75_76
ko:K02759	efq:DR75_77
ko:K02761	efq:DR75_78
ko:K01223	efq:DR75_79
ko:K01006	efq:DR75_84
ko:K09773	efq:DR75_86
ko:K14205	efq:DR75_87
ko:K00940	efq:DR75_95
ko:K09758	efq:DR75_96
ko:K06901	efq:DR75_100
ko:K02337	efq:DR75_103
ko:K00850	efq:DR75_104
ko:K00873	efq:DR75_105
ko:K07040	efq:DR75_106
ko:K02911	efq:DR75_107
ko:K00033	efq:DR75_108
ko:K04487	efq:DR75_972
ko:K00948	efq:DR75_973
ko:K02073	efq:DR75_979
ko:K02072	efq:DR75_980
ko:K02071	efq:DR75_981
ko:K12554	efq:DR75_987
ko:K00820	efq:DR75_988
ko:K16785	efq:DR75_989
ko:K16786	efq:DR75_990
ko:K16787	efq:DR75_990
ko:K16924	efq:DR75_991
ko:K03431	efq:DR75_992
ko:K03737	efq:DR75_995
ko:K01915	efq:DR75_996
ko:K03713	efq:DR75_997
ko:K03665	efq:DR75_998
ko:K00791	efq:DR75_999
ko:K01126	efq:DR75_1000
ko:K01784	efq:DR75_1003
ko:K09153	efq:DR75_1020
ko:K02035	efq:DR75_1818
ko:K02034	efq:DR75_1819
ko:K02033	efq:DR75_1820
ko:K02078	efq:DR75_1823
ko:K03621	efq:DR75_1824
ko:K03655	efq:DR75_1825
ko:K07030	efq:DR75_1826
ko:K07707	efq:DR75_1828
ko:K07706	efq:DR75_1829
ko:K01992	efq:DR75_1830
ko:K01990	efq:DR75_1831
ko:K02902	efq:DR75_1832
ko:K00949	efq:DR75_1833
ko:K01783	efq:DR75_1834
ko:K06949	efq:DR75_1835
ko:K03500	efq:DR75_1838
ko:K00604	efq:DR75_1839
ko:K01462	efq:DR75_1840
ko:K04066	efq:DR75_1841
ko:K03060	efq:DR75_1842
ko:K00942	efq:DR75_1843
ko:K01625	efq:DR75_1849
ko:K01686	efq:DR75_1850
ko:K02793	efq:DR75_1851
ko:K02794	efq:DR75_1852
ko:K02795	efq:DR75_1854
ko:K08317	efq:DR75_1855
ko:K00033	efq:DR75_1857
ko:K00995	efq:DR75_1860
ko:K02028	efq:DR75_2714
ko:K02029	efq:DR75_2715
ko:K02030	efq:DR75_2715
ko:K03702	efq:DR75_2716
ko:K03701	efq:DR75_2717
ko:K06958	efq:DR75_2719
ko:K09762	efq:DR75_2721
ko:K01358	efq:DR75_2724
ko:K01126	efq:DR75_2730
ko:K03574	efq:DR75_2731
ko:K03704	efq:DR75_2732
ko:K03092	efq:DR75_2734
ko:K00789	efq:DR75_2736
ko:K03930	efq:DR75_2738
ko:K02004	efq:DR75_2744
ko:K02003	efq:DR75_2745
ko:K07139	efq:DR75_2747
ko:K01869	efq:DR75_2752
ko:K02030	efq:DR75_2755
ko:K02028	efq:DR75_2756
ko:K02029	efq:DR75_2757
ko:K15580	efq:DR75_2758
ko:K02897	efq:DR75_2761
ko:K06183	efq:DR75_2762
ko:K01560	efq:DR75_2763
ko:K00876	efq:DR75_2765
ko:K05349	efq:DR75_302
ko:K02529	efq:DR75_304
ko:K01223	efq:DR75_307
ko:K01989	efq:DR75_316
ko:K05832	efq:DR75_317
ko:K05833	efq:DR75_318
ko:K06969	efq:DR75_328
ko:K03471	efq:DR75_329
ko:K09748	efq:DR75_332
ko:K02600	efq:DR75_333
ko:K07742	efq:DR75_334
ko:K02519	efq:DR75_336
ko:K02834	efq:DR75_337
ko:K03177	efq:DR75_358
ko:K11753	efq:DR75_359
ko:K02809	efq:DR75_1181
ko:K02810	efq:DR75_1181
ko:K07106	efq:DR75_1182
ko:K09963	efq:DR75_1183
ko:K06153	efq:DR75_1185
ko:K07220	efq:DR75_1187
ko:K03306	efq:DR75_1188
ko:K02968	efq:DR75_1189
ko:K00077	efq:DR75_1191
ko:K02238	efq:DR75_1194
ko:K02237	efq:DR75_1196
ko:K07177	efq:DR75_1197
ko:K00954	efq:DR75_1198
ko:K01958	efq:DR75_1203
ko:K03588	efq:DR75_1204
ko:K03654	efq:DR75_1206
ko:K06207	efq:DR75_1207
ko:K01092	efq:DR75_1208
ko:K06950	efq:DR75_1218
ko:K01887	efq:DR75_1219
ko:K01409	efq:DR75_1220
ko:K03789	efq:DR75_1221
ko:K03789	efq:DR75_1222
ko:K06872	efq:DR75_1227
ko:K01091	efq:DR75_1229
ko:K09693	efq:DR75_1233
ko:K05966	efq:DR75_2032
ko:K00027	efq:DR75_2033
ko:K01571	efq:DR75_2034
ko:K05964	efq:DR75_2035
ko:K01643	efq:DR75_2036
ko:K01644	efq:DR75_2037
ko:K01646	efq:DR75_2038
ko:K01910	efq:DR75_2039
ko:K01572	efq:DR75_2041
ko:K03300	efq:DR75_2044
ko:K03217	efq:DR75_2049
ko:K03536	efq:DR75_2050
ko:K02914	efq:DR75_2051
ko:K02313	efq:DR75_2052
ko:K02338	efq:DR75_2053
ko:K03629	efq:DR75_2055
ko:K02470	efq:DR75_2056
ko:K02469	efq:DR75_2057
ko:K02990	efq:DR75_2058
ko:K02963	efq:DR75_2060
ko:K02939	efq:DR75_2062
ko:K01939	efq:DR75_2064
ko:K02794	efq:DR75_2068
ko:K02793	efq:DR75_2069
ko:K02794	efq:DR75_2069
ko:K02795	efq:DR75_2070
ko:K14155	efq:DR75_2077
ko:K09022	efq:DR75_2078
ko:K14205	efq:DR75_2079
ko:K04750	efq:DR75_2084
ko:K13292	efq:DR75_2963
ko:K03325	efq:DR75_2974
ko:K01551	efq:DR75_2975
ko:K03574	efq:DR75_595
ko:K03781	efq:DR75_597
ko:K01669	efq:DR75_602
ko:K02808	efq:DR75_604
ko:K02809	efq:DR75_604
ko:K02810	efq:DR75_604
ko:K01187	efq:DR75_605
ko:K01193	efq:DR75_606
ko:K03484	efq:DR75_607
ko:K01223	efq:DR75_609
ko:K02755	efq:DR75_610
ko:K02756	efq:DR75_610
ko:K02757	efq:DR75_610
ko:K06131	efq:DR75_611
ko:K15986	efq:DR75_614
ko:K04069	efq:DR75_615
ko:K00656	efq:DR75_616
ko:K02621	efq:DR75_617
ko:K02622	efq:DR75_618
ko:K06929	efq:DR75_619
ko:K04030	efq:DR75_620
ko:K04023	efq:DR75_621
ko:K04027	efq:DR75_626
ko:K04026	efq:DR75_629
ko:K03736	efq:DR75_630
ko:K03735	efq:DR75_631
ko:K04019	efq:DR75_632
ko:K04031	efq:DR75_635
ko:K04029	efq:DR75_638
ko:K02013	efq:DR75_639
ko:K02015	efq:DR75_640
ko:K02016	efq:DR75_641
ko:K08591	efq:DR75_642
ko:K03706	efq:DR75_644
ko:K03667	efq:DR75_645
ko:K01419	efq:DR75_646
ko:K03733	efq:DR75_647
ko:K04094	efq:DR75_648
ko:K02003	efq:DR75_1446
ko:K02346	efq:DR75_1449
ko:K02069	efq:DR75_1450
ko:K02068	efq:DR75_1451
ko:K07056	efq:DR75_1452
ko:K02341	efq:DR75_1455
ko:K00943	efq:DR75_1457
ko:K06187	efq:DR75_1458
ko:K03707	efq:DR75_1459
ko:K16785	efq:DR75_1460
ko:K16786	efq:DR75_1461
ko:K16787	efq:DR75_1461
ko:K16925	efq:DR75_1462
ko:K00941	efq:DR75_1467
ko:K00788	efq:DR75_1468
ko:K00878	efq:DR75_1469
ko:K09747	efq:DR75_1471
ko:K02343	efq:DR75_1472
ko:K00965	efq:DR75_1473
ko:K01784	efq:DR75_1474
ko:K00845	efq:DR75_1479
ko:K01934	efq:DR75_1482
ko:K06889	efq:DR75_1483
ko:K01223	efq:DR75_2321
ko:K13530	efq:DR75_2324
ko:K13531	efq:DR75_2325
ko:K01246	efq:DR75_2326
ko:K06950	efq:DR75_2327
ko:K00208	efq:DR75_2330
ko:K09458	efq:DR75_2331
ko:K02372	efq:DR75_2332
ko:K00226	efq:DR75_2333
ko:K02356	efq:DR75_2335
ko:K01738	efq:DR75_2337
ko:K01760	efq:DR75_2338
ko:K01223	efq:DR75_2339
ko:K02761	efq:DR75_2340
ko:K03498	efq:DR75_2343
ko:K17686	efq:DR75_2346
ko:K01372	efq:DR75_2350
ko:K15975	efq:DR75_2352
ko:K00928	efq:DR75_2360
ko:K06286	efq:DR75_2362
ko:K04487	efq:DR75_2363
ko:K07341	efq:DR75_2372
ko:K09684	efq:DR75_2375
ko:K03648	efq:DR75_2
ko:K02884	efq:DR75_867
ko:K00554	efq:DR75_868
ko:K02860	efq:DR75_869
ko:K03322	efq:DR75_870
ko:K01126	efq:DR75_873
ko:K06890	efq:DR75_874
ko:K01924	efq:DR75_876
ko:K08998	efq:DR75_881
ko:K03978	efq:DR75_883
ko:K03544	efq:DR75_884
ko:K07404	efq:DR75_885
ko:K03326	efq:DR75_887
ko:K12700	efq:DR75_888
ko:K00852	efq:DR75_889
ko:K02440	efq:DR75_893
ko:K00105	efq:DR75_894
ko:K00864	efq:DR75_895
ko:K01537	efq:DR75_902
ko:K01426	efq:DR75_1713
ko:K02004	efq:DR75_1715
ko:K02003	efq:DR75_1716
ko:K02005	efq:DR75_1717
ko:K09684	efq:DR75_1724
ko:K14977	efq:DR75_1725
ko:K02083	efq:DR75_1726
ko:K01466	efq:DR75_1727
ko:K10975	efq:DR75_1728
ko:K03321	efq:DR75_1732
ko:K01442	efq:DR75_1733
ko:K01154	efq:DR75_1736
ko:K01154	efq:DR75_1738
ko:K03427	efq:DR75_1739
ko:K01153	efq:DR75_1740
ko:K07862	efq:DR75_1750
ko:K06173	efq:DR75_1752
ko:K01727	efq:DR75_1758
ko:K00783	efq:DR75_1759
ko:K06878	efq:DR75_1761
ko:K01261	efq:DR75_1764
ko:K07078	efq:DR75_2602
ko:K07104	efq:DR75_2603
ko:K15975	efq:DR75_2614
ko:K06999	efq:DR75_2615
ko:K05362	efq:DR75_2617
ko:K06183	efq:DR75_2619
ko:K05845	efq:DR75_2625
ko:K05846	efq:DR75_2625
ko:K03402	efq:DR75_2626
ko:K06180	efq:DR75_2629
ko:K12555	efq:DR75_2630
ko:K03698	efq:DR75_2634
ko:K07533	efq:DR75_2635
ko:K02503	efq:DR75_2638
ko:K01990	efq:DR75_2639
ko:K01992	efq:DR75_2640
ko:K03439	efq:DR75_2642
ko:K00882	efq:DR75_2644
ko:K02769	efq:DR75_2645
ko:K02770	efq:DR75_2645
ko:K02768	efq:DR75_2646
ko:K01635	efq:DR75_2647
ko:K07586	efq:DR75_2648
ko:K03699	efq:DR75_2651
ko:K02837	efq:DR75_2652
ko:K04763	efq:DR75_2653
ko:K03703	efq:DR75_479
ko:K01990	efq:DR75_481
ko:K01992	efq:DR75_482
ko:K01222	efq:DR75_484
ko:K07007	efq:DR75_487
ko:K07504	efq:DR75_488
ko:K00262	efq:DR75_489
ko:K01810	efq:DR75_490
ko:K03647	efq:DR75_492
ko:K02123	efq:DR75_494
ko:K02124	efq:DR75_495
ko:K02121	efq:DR75_496
ko:K02119	efq:DR75_497
ko:K02122	efq:DR75_498
ko:K02117	efq:DR75_499
ko:K02118	efq:DR75_500
ko:K02120	efq:DR75_501
ko:K03088	efq:DR75_503
ko:K17836	efq:DR75_506
ko:K04041	efq:DR75_507
ko:K01586	efq:DR75_508
ko:K06889	efq:DR75_510
ko:K15580	efq:DR75_516
ko:K03488	efq:DR75_517
ko:K02802	efq:DR75_518
ko:K02803	efq:DR75_518
ko:K02804	efq:DR75_518
ko:K02806	efq:DR75_520
ko:K02769	efq:DR75_521
ko:K02768	efq:DR75_522
ko:K02770	efq:DR75_523
ko:K17195	efq:DR75_524
ko:K03086	efq:DR75_528
ko:K00243	efq:DR75_530
ko:K03711	efq:DR75_531
ko:K00134	efq:DR75_532
ko:K03979	efq:DR75_533
ko:K02761	efq:DR75_535
ko:K02000	efq:DR75_1341
ko:K02647	efq:DR75_1346
ko:K00865	efq:DR75_1347
ko:K03299	efq:DR75_1348
ko:K11069	efq:DR75_1350
ko:K11070	efq:DR75_1351
ko:K11071	efq:DR75_1352
ko:K11072	efq:DR75_1353
ko:K01598	efq:DR75_1357
ko:K05363	efq:DR75_1359
ko:K03581	efq:DR75_1362
ko:K03216	efq:DR75_1364
ko:K00563	efq:DR75_1365
ko:K06201	efq:DR75_1366
ko:K06213	efq:DR75_1367
ko:K06180	efq:DR75_1368
ko:K00858	efq:DR75_1369
ko:K07816	efq:DR75_1370
ko:K08602	efq:DR75_1374
ko:K06198	efq:DR75_1375
ko:K16511	efq:DR75_1376
ko:K16509	efq:DR75_1377
ko:K01867	efq:DR75_1378
ko:K06147	efq:DR75_1379
ko:K07025	efq:DR75_1380
ko:K03547	efq:DR75_1389
ko:K00655	efq:DR75_1390
ko:K07461	efq:DR75_1392
ko:K01243	efq:DR75_1393
ko:K02529	efq:DR75_2203
ko:K00756	efq:DR75_2204
ko:K01619	efq:DR75_2205
ko:K01489	efq:DR75_2206
ko:K07335	efq:DR75_2207
ko:K07335	efq:DR75_2208
ko:K02056	efq:DR75_2209
ko:K02057	efq:DR75_2210
ko:K02057	efq:DR75_2211
ko:K01839	efq:DR75_2213
ko:K03783	efq:DR75_2214
ko:K03784	efq:DR75_2215
ko:K02016	efq:DR75_2216
ko:K02013	efq:DR75_2217
ko:K02015	efq:DR75_2218
ko:K02015	efq:DR75_2219
ko:K01834	efq:DR75_2221
ko:K01807	efq:DR75_2223
ko:K02950	efq:DR75_2224
ko:K02992	efq:DR75_2225
ko:K02355	efq:DR75_2226
ko:K02358	efq:DR75_2227
ko:K00868	efq:DR75_2228
ko:K00574	efq:DR75_2229
ko:K02946	efq:DR75_2230
ko:K02906	efq:DR75_2231
ko:K02926	efq:DR75_2232
ko:K02892	efq:DR75_2233
ko:K02886	efq:DR75_2234
ko:K02965	efq:DR75_2235
ko:K02890	efq:DR75_2236
ko:K02982	efq:DR75_2237
ko:K02878	efq:DR75_2238
ko:K02904	efq:DR75_2239
ko:K02961	efq:DR75_2240
ko:K02874	efq:DR75_2241
ko:K02895	efq:DR75_2242
ko:K02931	efq:DR75_2243
ko:K02954	efq:DR75_2244
ko:K02994	efq:DR75_2245
ko:K02933	efq:DR75_2246
ko:K02881	efq:DR75_2247
ko:K02988	efq:DR75_2248
ko:K02907	efq:DR75_2249
ko:K02876	efq:DR75_2250
ko:K03076	efq:DR75_2251
ko:K00939	efq:DR75_2252
ko:K02518	efq:DR75_2253
ko:K02919	efq:DR75_2254
ko:K02952	efq:DR75_2255
ko:K02948	efq:DR75_2256
ko:K03040	efq:DR75_2257
ko:K02879	efq:DR75_2258
ko:K02037	efq:DR75_756
ko:K02040	efq:DR75_757
ko:K09811	efq:DR75_758
ko:K09812	efq:DR75_759
ko:K02836	efq:DR75_760
ko:K03070	efq:DR75_761
ko:K02242	efq:DR75_763
ko:K02240	efq:DR75_764
ko:K02760	efq:DR75_765
ko:K00059	efq:DR75_769
ko:K01945	efq:DR75_773
ko:K00602	efq:DR75_774
ko:K11175	efq:DR75_775
ko:K01933	efq:DR75_776
ko:K00764	efq:DR75_777
ko:K01952	efq:DR75_778
ko:K01952	efq:DR75_779
ko:K01952	efq:DR75_780
ko:K01923	efq:DR75_781
ko:K01589	efq:DR75_782
ko:K01588	efq:DR75_783
ko:K15580	efq:DR75_786
ko:K00826	efq:DR75_788
ko:K17624	efq:DR75_793
ko:K02793	efq:DR75_794
ko:K02795	efq:DR75_796
ko:K02794	efq:DR75_797
ko:K12308	efq:DR75_798
ko:K00917	efq:DR75_799
ko:K01635	efq:DR75_800
ko:K02082	efq:DR75_801
ko:K03710	efq:DR75_802
ko:K03499	efq:DR75_1605
ko:K11618	efq:DR75_1606
ko:K11617	efq:DR75_1607
ko:K03624	efq:DR75_1609
ko:K07082	efq:DR75_1610
ko:K01091	efq:DR75_1611
ko:K01791	efq:DR75_1612
ko:K09790	efq:DR75_1616
ko:K12574	efq:DR75_1618
ko:K03704	efq:DR75_1619
ko:K03427	efq:DR75_1654
ko:K01788	efq:DR75_2497
ko:K02778	efq:DR75_2498
ko:K02779	efq:DR75_2498
ko:K03320	efq:DR75_2504
ko:K01811	efq:DR75_2509
ko:K02795	efq:DR75_2510
ko:K02794	efq:DR75_2512
ko:K02793	efq:DR75_2513
ko:K01805	efq:DR75_2514
ko:K00854	efq:DR75_2515
ko:K01153	efq:DR75_2518
ko:K01625	efq:DR75_2522
ko:K02773	efq:DR75_2523
ko:K02774	efq:DR75_2524
ko:K02775	efq:DR75_2525
ko:K01684	efq:DR75_2526
ko:K03492	efq:DR75_2532
ko:K07862	efq:DR75_2533
ko:K02821	efq:DR75_2534
ko:K02822	efq:DR75_2535
ko:K03475	efq:DR75_2536
ko:K03475	efq:DR75_2538
ko:K01834	efq:DR75_2539
ko:K07166	efq:DR75_2540
ko:K09157	efq:DR75_2541
ko:K15580	efq:DR75_2544
ko:K02049	efq:DR75_128
ko:K03322	efq:DR75_133
ko:K04750	efq:DR75_141
ko:K00661	efq:DR75_142
ko:K01785	efq:DR75_144
ko:K00849	efq:DR75_145
ko:K01784	efq:DR75_146
ko:K00965	efq:DR75_147
ko:K02529	efq:DR75_148
ko:K00657	efq:DR75_161
ko:K07284	efq:DR75_168
ko:K09779	efq:DR75_170
ko:K00782	efq:DR75_182
ko:K03100	efq:DR75_183
ko:K16899	efq:DR75_184
ko:K16898	efq:DR75_185
ko:K01889	efq:DR75_187
ko:K00067	efq:DR75_1022
ko:K01790	efq:DR75_1024
ko:K00973	efq:DR75_1025
ko:K02851	efq:DR75_1029
ko:K07058	efq:DR75_1030
ko:K01265	efq:DR75_1031
ko:K11991	efq:DR75_1037
ko:K06973	efq:DR75_1041
ko:K02818	efq:DR75_1060
ko:K02819	efq:DR75_1060
ko:K08234	efq:DR75_1061
ko:K07720	efq:DR75_1065
ko:K07718	efq:DR75_1066
ko:K17318	efq:DR75_1068
ko:K17320	efq:DR75_1069
ko:K17319	efq:DR75_1070
ko:K06147	efq:DR75_1073
ko:K06147	efq:DR75_1074
ko:K03282	efq:DR75_1870
ko:K01838	efq:DR75_1875
ko:K00948	efq:DR75_1878
ko:K07305	efq:DR75_1879
ko:K06287	efq:DR75_1880
ko:K03572	efq:DR75_1881
ko:K03555	efq:DR75_1882
ko:K09769	efq:DR75_1884
ko:K03742	efq:DR75_1888
ko:K07118	efq:DR75_1890
ko:K01439	efq:DR75_1894
ko:K03088	efq:DR75_1896
ko:K05339	efq:DR75_1908
ko:K05338	efq:DR75_1909
ko:K07705	efq:DR75_1910
ko:K07704	efq:DR75_1911
ko:K02073	efq:DR75_1912
ko:K02072	efq:DR75_1913
ko:K02071	efq:DR75_1914
ko:K02954	efq:DR75_1916
ko:K02913	efq:DR75_1917
ko:K09815	efq:DR75_1920
ko:K01992	efq:DR75_1922
ko:K01990	efq:DR75_1923
ko:K02761	efq:DR75_2774
ko:K09963	efq:DR75_2776
ko:K01465	efq:DR75_2777
ko:K01042	efq:DR75_2778
ko:K09768	efq:DR75_2783
ko:K01921	efq:DR75_2784
ko:K01929	efq:DR75_2785
ko:K05592	efq:DR75_2786
ko:K00997	efq:DR75_2788
ko:K01775	efq:DR75_2789
ko:K03100	efq:DR75_2793
ko:K01104	efq:DR75_2795
ko:K01421	efq:DR75_2797
ko:K05846	efq:DR75_2801
ko:K05845	efq:DR75_2802
ko:K05846	efq:DR75_2803
ko:K05847	efq:DR75_2804
ko:K07568	efq:DR75_2806
ko:K07729	efq:DR75_2807
ko:K03549	efq:DR75_2810
ko:K01533	efq:DR75_2812
ko:K10563	efq:DR75_2816
ko:K00859	efq:DR75_2817
ko:K07738	efq:DR75_2818
ko:K03346	efq:DR75_2819
ko:K11144	efq:DR75_2820
ko:K03588	efq:DR75_364
ko:K05837	efq:DR75_365
ko:K01531	efq:DR75_368
ko:K03705	efq:DR75_370
ko:K03687	efq:DR75_371
ko:K04043	efq:DR75_372
ko:K03686	efq:DR75_373
ko:K06959	efq:DR75_375
ko:K03095	efq:DR75_376
ko:K14260	efq:DR75_378
ko:K01443	efq:DR75_381
ko:K15051	efq:DR75_383
ko:K02003	efq:DR75_384
ko:K02004	efq:DR75_385
ko:K07192	efq:DR75_387
ko:K03710	efq:DR75_394
ko:K03466	efq:DR75_401
ko:K00384	efq:DR75_414
ko:K15772	efq:DR75_419
ko:K15771	efq:DR75_420
ko:K15770	efq:DR75_421
ko:K00075	efq:DR75_1237
ko:K00981	efq:DR75_1241
ko:K00806	efq:DR75_1242
ko:K02073	efq:DR75_1243
ko:K02072	efq:DR75_1244
ko:K02071	efq:DR75_1245
ko:K02437	efq:DR75_1246
ko:K00537	efq:DR75_1247
ko:K05837	efq:DR75_1248
ko:K00761	efq:DR75_1259
ko:K00600	efq:DR75_1260
ko:K07566	efq:DR75_1261
ko:K02493	efq:DR75_1262
ko:K02835	efq:DR75_1263
ko:K00244	efq:DR75_1265
ko:K03737	efq:DR75_1267
ko:K00266	efq:DR75_1268
ko:K00528	efq:DR75_1269
ko:K07402	efq:DR75_1271
ko:K01008	efq:DR75_1275
ko:K07141	efq:DR75_1277
ko:K02019	efq:DR75_1281
ko:K09022	efq:DR75_1283
ko:K01751	efq:DR75_1288
ko:K01464	efq:DR75_1289
ko:K00147	efq:DR75_2086
ko:K00931	efq:DR75_2087
ko:K04485	efq:DR75_2089
ko:K01770	efq:DR75_2091
ko:K09698	efq:DR75_2092
ko:K00640	efq:DR75_2093
ko:K01883	efq:DR75_2094
ko:K11145	efq:DR75_2095
ko:K03218	efq:DR75_2096
ko:K06962	efq:DR75_2097
ko:K03091	efq:DR75_2098
ko:K00919	efq:DR75_2100
ko:K09815	efq:DR75_2101
ko:K09817	efq:DR75_2102
ko:K09816	efq:DR75_2103
ko:K09685	efq:DR75_2104
ko:K04042	efq:DR75_2105
ko:K15580	efq:DR75_2107
ko:K03550	efq:DR75_2110
