ko:K19745	cgx:SB89_11905
ko:K04485	cgx:SB89_12545
ko:K07067	cgx:SB89_12550
ko:K00128	cgx:SB89_12560
ko:K00873	cgx:SB89_13720
ko:K00016	cgx:SB89_13725
ko:K07025	cgx:SB89_13735
ko:K00101	cgx:SB89_13760
ko:K07304	cgx:SB89_13800
ko:K04564	cgx:SB89_13805
ko:K08224	cgx:SB89_13815
ko:K07146	cgx:SB89_13865
ko:K03217	cgx:SB89_13880
ko:K06177	cgx:SB89_13910
ko:K01673	cgx:SB89_12565
ko:K03575	cgx:SB89_12570
ko:K03366	cgx:SB89_12580
ko:K00088	cgx:SB89_12630
ko:K03380	cgx:SB89_12645
ko:K18926	cgx:SB89_12655
ko:K04567	cgx:SB89_12660
ko:K01918	cgx:SB89_12665
ko:K00950	cgx:SB89_12685
ko:K01633	cgx:SB89_12690
ko:K00796	cgx:SB89_12695
ko:K01495	cgx:SB89_12700
ko:K03798	cgx:SB89_12705
ko:K00760	cgx:SB89_12710
ko:K04075	cgx:SB89_12715
ko:K07259	cgx:SB89_12720
ko:K01507	cgx:SB89_12725
ko:K00797	cgx:SB89_12730
ko:K07483	cgx:SB89_12745
ko:K04077	cgx:SB89_12800
ko:K01533	cgx:SB89_14020
ko:K07483	cgx:SB89_14070
ko:K18320	cgx:SB89_14090
ko:K01534	cgx:SB89_14100
ko:K07156	cgx:SB89_14120
ko:K02351	cgx:SB89_14125
ko:K07245	cgx:SB89_14125
ko:K00520	cgx:SB89_14185
ko:K18320	cgx:SB89_14200
ko:K08982	cgx:SB89_14220
ko:K01534	cgx:SB89_14245
ko:K03671	cgx:SB89_14255
ko:K08369	cgx:SB89_14265
ko:K02939	cgx:SB89_14290
ko:K03111	cgx:SB89_14295
ko:K02990	cgx:SB89_14300
ko:K02313	cgx:SB89_00005
ko:K02338	cgx:SB89_00010
ko:K03629	cgx:SB89_00015
ko:K02470	cgx:SB89_00025
ko:K02469	cgx:SB89_00060
ko:K02077	cgx:SB89_00150
ko:K02074	cgx:SB89_00160
ko:K02058	cgx:SB89_00165
ko:K02057	cgx:SB89_00170
ko:K02056	cgx:SB89_00175
ko:K03767	cgx:SB89_00185
ko:K03190	cgx:SB89_00500
ko:K01241	cgx:SB89_00525
ko:K13821	cgx:SB89_00555
ko:K12942	cgx:SB89_00565
ko:K00389	cgx:SB89_00575
ko:K08296	cgx:SB89_00600
ko:K00045	cgx:SB89_00605
ko:K00854	cgx:SB89_00620
ko:K01918	cgx:SB89_00625
ko:K00606	cgx:SB89_00630
ko:K03652	cgx:SB89_00640
ko:K07025	cgx:SB89_00655
ko:K05786	cgx:SB89_00690
ko:K01579	cgx:SB89_00705
ko:K07120	cgx:SB89_00715
ko:K07090	cgx:SB89_00725
ko:K03579	cgx:SB89_00735
ko:K00661	cgx:SB89_00740
ko:K03919	cgx:SB89_00745
ko:K01246	cgx:SB89_00750
ko:K06996	cgx:SB89_00765
ko:K07386	cgx:SB89_00795
ko:K03338	cgx:SB89_00815
ko:K00140	cgx:SB89_00825
ko:K03337	cgx:SB89_00830
ko:K03336	cgx:SB89_00835
ko:K03335	cgx:SB89_00840
ko:K00010	cgx:SB89_00845
ko:K06605	cgx:SB89_00850
ko:K03704	cgx:SB89_00900
ko:K02011	cgx:SB89_00905
ko:K02012	cgx:SB89_00910
ko:K02010	cgx:SB89_00915
ko:K02529	cgx:SB89_00940
ko:K00265	cgx:SB89_00960
ko:K00266	cgx:SB89_00965
ko:K07694	cgx:SB89_00975
ko:K02003	cgx:SB89_00985
ko:K00059	cgx:SB89_00995
ko:K11387	cgx:SB89_01005
ko:K13686	cgx:SB89_01010
ko:K16652	cgx:SB89_01015
ko:K16653	cgx:SB89_01020
ko:K16649	cgx:SB89_01060
ko:K01990	cgx:SB89_01070
ko:K01992	cgx:SB89_01075
ko:K03088	cgx:SB89_01390
ko:K03781	cgx:SB89_01395
ko:K03325	cgx:SB89_01430
ko:K18701	cgx:SB89_01435
ko:K05571	cgx:SB89_01440
ko:K05570	cgx:SB89_01445
ko:K05569	cgx:SB89_01450
ko:K05568	cgx:SB89_01455
ko:K05567	cgx:SB89_01460
ko:K05565	cgx:SB89_01465
ko:K09117	cgx:SB89_01510
ko:K00666	cgx:SB89_01545
ko:K00059	cgx:SB89_01555
ko:K07045	cgx:SB89_01560
ko:K00252	cgx:SB89_01565
ko:K10773	cgx:SB89_01590
ko:K02283	cgx:SB89_01630
ko:K12510	cgx:SB89_01635
ko:K06877	cgx:SB89_01660
ko:K03704	cgx:SB89_01665
ko:K03168	cgx:SB89_01670
ko:K05565	cgx:SB89_12860
ko:K05567	cgx:SB89_12865
ko:K05568	cgx:SB89_12870
ko:K05569	cgx:SB89_12875
ko:K05570	cgx:SB89_12880
ko:K05571	cgx:SB89_12885
ko:K06048	cgx:SB89_12895
ko:K01462	cgx:SB89_12910
ko:K01142	cgx:SB89_12920
ko:K06131	cgx:SB89_12925
ko:K07552	cgx:SB89_12930
ko:K14683	cgx:SB89_12935
ko:K03574	cgx:SB89_12955
ko:K02030	cgx:SB89_12965
ko:K14949	cgx:SB89_12970
ko:K00925	cgx:SB89_12975
ko:K13788	cgx:SB89_12980
ko:K00528	cgx:SB89_12985
ko:K08289	cgx:SB89_13010
ko:K01939	cgx:SB89_13015
ko:K01624	cgx:SB89_13035
ko:K00762	cgx:SB89_13050
ko:K01011	cgx:SB89_13060
ko:K18833	cgx:SB89_13070
ko:K03695	cgx:SB89_13080
ko:K03312	cgx:SB89_13085
ko:K02013	cgx:SB89_00205
ko:K00135	cgx:SB89_00290
ko:K01069	cgx:SB89_00300
ko:K07090	cgx:SB89_00305
ko:K03284	cgx:SB89_00345
ko:K03811	cgx:SB89_00360
ko:K07175	cgx:SB89_00365
ko:K03300	cgx:SB89_00375
ko:K01012	cgx:SB89_00400
ko:K08170	cgx:SB89_00430
ko:K01430	cgx:SB89_00470
ko:K01429	cgx:SB89_00475
ko:K01428	cgx:SB89_00480
ko:K03187	cgx:SB89_00485
ko:K03188	cgx:SB89_00490
ko:K03189	cgx:SB89_00495
ko:K03310	cgx:SB89_01105
ko:K03635	cgx:SB89_01125
ko:K03637	cgx:SB89_01135
ko:K03750	cgx:SB89_01140
ko:K02018	cgx:SB89_01145
ko:K02020	cgx:SB89_01150
ko:K08972	cgx:SB89_01165
ko:K00817	cgx:SB89_01170
ko:K06213	cgx:SB89_01185
ko:K14445	cgx:SB89_01190
ko:K04517	cgx:SB89_01200
ko:K06994	cgx:SB89_01230
ko:K00773	cgx:SB89_01235
ko:K01885	cgx:SB89_01265
ko:K02343	cgx:SB89_01300
ko:K09747	cgx:SB89_01305
ko:K06187	cgx:SB89_01310
ko:K07009	cgx:SB89_01330
ko:K02342	cgx:SB89_01340
ko:K01649	cgx:SB89_01360
ko:K00928	cgx:SB89_01370
ko:K00133	cgx:SB89_01375
ko:K09692	cgx:SB89_02015
ko:K07483	cgx:SB89_02050
ko:K02472	cgx:SB89_02070
ko:K00382	cgx:SB89_02075
ko:K00963	cgx:SB89_02080
ko:K03976	cgx:SB89_02085
ko:K07110	cgx:SB89_02095
ko:K00241	cgx:SB89_02100
ko:K00239	cgx:SB89_02105
ko:K00240	cgx:SB89_02110
ko:K01433	cgx:SB89_02160
ko:K01619	cgx:SB89_02165
ko:K17686	cgx:SB89_02180
ko:K02016	cgx:SB89_02195
ko:K02015	cgx:SB89_02200
ko:K02013	cgx:SB89_02205
ko:K00075	cgx:SB89_02235
ko:K01897	cgx:SB89_02245
ko:K15521	cgx:SB89_02250
ko:K01834	cgx:SB89_02255
ko:K07768	cgx:SB89_02260
ko:K07776	cgx:SB89_02265
ko:K02004	cgx:SB89_02275
ko:K02341	cgx:SB89_01685
ko:K06179	cgx:SB89_01710
ko:K05349	cgx:SB89_01725
ko:K00153	cgx:SB89_01730
ko:K01784	cgx:SB89_01750
ko:K09153	cgx:SB89_01755
ko:K01081	cgx:SB89_01775
ko:K15342	cgx:SB89_01800
ko:K19125	cgx:SB89_01810
ko:K19124	cgx:SB89_01815
ko:K19123	cgx:SB89_01825
ko:K07012	cgx:SB89_01830
ko:K13979	cgx:SB89_01840
ko:K01470	cgx:SB89_01845
ko:K03762	cgx:SB89_01850
ko:K00973	cgx:SB89_01855
ko:K02016	cgx:SB89_01875
ko:K01322	cgx:SB89_01895
ko:K01791	cgx:SB89_01935
ko:K07483	cgx:SB89_01955
ko:K07146	cgx:SB89_14350
ko:K02004	cgx:SB89_14355
ko:K02003	cgx:SB89_14360
ko:K02005	cgx:SB89_14365
ko:K01858	cgx:SB89_14370
ko:K04047	cgx:SB89_14385
ko:K14415	cgx:SB89_14395
ko:K00567	cgx:SB89_14400
ko:K00027	cgx:SB89_14420
ko:K00851	cgx:SB89_14425
ko:K00285	cgx:SB89_14445
ko:K09019	cgx:SB89_14460
ko:K01869	cgx:SB89_14470
ko:K09790	cgx:SB89_14475
ko:K16163	cgx:SB89_14485
ko:K00450	cgx:SB89_14495
ko:K05548	cgx:SB89_14505
ko:K01657	cgx:SB89_14535
ko:K01658	cgx:SB89_14540
ko:K00766	cgx:SB89_14545
ko:K13498	cgx:SB89_14550
ko:K01696	cgx:SB89_14555
ko:K01695	cgx:SB89_14560
ko:K03475	cgx:SB89_14565
ko:K01990	cgx:SB89_14575
ko:K01992	cgx:SB89_14580
ko:K14347	cgx:SB89_14595
ko:K09164	cgx:SB89_14600
ko:K02863	cgx:SB89_02635
ko:K09684	cgx:SB89_02640
ko:K07250	cgx:SB89_02645
ko:K00135	cgx:SB89_02650
ko:K02864	cgx:SB89_02675
ko:K02935	cgx:SB89_02680
ko:K03043	cgx:SB89_02690
ko:K03046	cgx:SB89_02695
ko:K02950	cgx:SB89_02715
ko:K02992	cgx:SB89_02720
ko:K02355	cgx:SB89_02725
ko:K02358	cgx:SB89_02730
ko:K02013	cgx:SB89_02740
ko:K02015	cgx:SB89_02745
ko:K02015	cgx:SB89_02750
ko:K02946	cgx:SB89_02765
ko:K02906	cgx:SB89_02770
ko:K02926	cgx:SB89_02775
ko:K02892	cgx:SB89_02780
ko:K02886	cgx:SB89_02785
ko:K02965	cgx:SB89_02790
ko:K02890	cgx:SB89_02795
ko:K02982	cgx:SB89_02800
ko:K02871	cgx:SB89_03120
ko:K02996	cgx:SB89_03125
ko:K03431	cgx:SB89_03130
ko:K01775	cgx:SB89_03160
ko:K06925	cgx:SB89_03165
ko:K07085	cgx:SB89_03170
ko:K03789	cgx:SB89_03185
ko:K01409	cgx:SB89_03190
ko:K04078	cgx:SB89_03205
ko:K04077	cgx:SB89_03210
ko:K03088	cgx:SB89_03220
ko:K00088	cgx:SB89_03235
ko:K00088	cgx:SB89_03240
ko:K11939	cgx:SB89_03245
ko:K01951	cgx:SB89_03255
ko:K14161	cgx:SB89_03300
ko:K06994	cgx:SB89_03340
ko:K13789	cgx:SB89_03345
ko:K03098	cgx:SB89_03355
ko:K01669	cgx:SB89_03365
ko:K02003	cgx:SB89_03380
ko:K02072	cgx:SB89_03385
ko:K02071	cgx:SB89_03390
ko:K02073	cgx:SB89_03395
ko:K14162	cgx:SB89_03400
ko:K09167	cgx:SB89_03405
ko:K08981	cgx:SB89_03410
ko:K03709	cgx:SB89_03415
ko:K12410	cgx:SB89_03425
ko:K02016	cgx:SB89_03435
ko:K03216	cgx:SB89_03440
ko:K01491	cgx:SB89_03445
ko:K07192	cgx:SB89_03455
ko:K00641	cgx:SB89_03465
ko:K01740	cgx:SB89_03470
ko:K06200	cgx:SB89_03475
ko:K01720	cgx:SB89_03485
ko:K03417	cgx:SB89_03490
ko:K00031	cgx:SB89_03515
ko:K02013	cgx:SB89_03525
ko:K02015	cgx:SB89_03530
ko:K02015	cgx:SB89_03535
ko:K02016	cgx:SB89_03540
ko:K01142	cgx:SB89_03550
ko:K02016	cgx:SB89_03565
ko:K02013	cgx:SB89_03570
ko:K02015	cgx:SB89_03575
ko:K01867	cgx:SB89_03580
ko:K07058	cgx:SB89_03585
ko:K07258	cgx:SB89_03595
ko:K00761	cgx:SB89_03615
ko:K01840	cgx:SB89_03625
ko:K00382	cgx:SB89_03635
ko:K01958	cgx:SB89_03640
ko:K01720	cgx:SB89_03665
ko:K03417	cgx:SB89_03670
ko:K11263	cgx:SB89_03695
ko:K01011	cgx:SB89_03700
ko:K03657	cgx:SB89_04055
ko:K10716	cgx:SB89_04060
ko:K03426	cgx:SB89_04065
ko:K03657	cgx:SB89_04070
ko:K07043	cgx:SB89_04080
ko:K07177	cgx:SB89_04090
ko:K09118	cgx:SB89_04105
ko:K00375	cgx:SB89_04110
ko:K06215	cgx:SB89_04115
ko:K08681	cgx:SB89_04120
ko:K05602	cgx:SB89_04175
ko:K02836	cgx:SB89_04185
ko:K09812	cgx:SB89_04190
ko:K09811	cgx:SB89_04195
ko:K03664	cgx:SB89_04200
ko:K01489	cgx:SB89_04210
ko:K15772	cgx:SB89_04220
ko:K15771	cgx:SB89_04225
ko:K15770	cgx:SB89_04230
ko:K10112	cgx:SB89_04235
ko:K02016	cgx:SB89_04275
ko:K02015	cgx:SB89_04280
ko:K02015	cgx:SB89_04285
ko:K02013	cgx:SB89_04290
ko:K14267	cgx:SB89_04320
ko:K03405	cgx:SB89_05520
ko:K06193	cgx:SB89_05550
ko:K04487	cgx:SB89_05565
ko:K00767	cgx:SB89_05570
ko:K03517	cgx:SB89_05575
ko:K09936	cgx:SB89_05585
ko:K03800	cgx:SB89_05600
ko:K04750	cgx:SB89_05605
ko:K00481	cgx:SB89_05615
ko:K16925	cgx:SB89_05620
ko:K16786	cgx:SB89_05625
ko:K16787	cgx:SB89_05625
ko:K16785	cgx:SB89_05630
ko:K07300	cgx:SB89_05640
ko:K11065	cgx:SB89_05660
ko:K09781	cgx:SB89_05670
ko:K00077	cgx:SB89_05675
ko:K09956	cgx:SB89_05680
ko:K00537	cgx:SB89_05700
ko:K09146	cgx:SB89_05710
ko:K06207	cgx:SB89_05720
ko:K15525	cgx:SB89_05730
ko:K00674	cgx:SB89_05760
ko:K16237	cgx:SB89_05765
ko:K00674	cgx:SB89_05770
ko:K01439	cgx:SB89_05775
ko:K06966	cgx:SB89_05780
ko:K00796	cgx:SB89_05785
ko:K13693	cgx:SB89_05790
ko:K00563	cgx:SB89_05805
ko:K01193	cgx:SB89_05810
ko:K16148	cgx:SB89_05815
ko:K00975	cgx:SB89_05820
ko:K03088	cgx:SB89_05830
ko:K03117	cgx:SB89_05840
ko:K03593	cgx:SB89_05845
ko:K01616	cgx:SB89_05875
ko:K06147	cgx:SB89_05880
ko:K00014	cgx:SB89_05890
ko:K03929	cgx:SB89_05895
ko:K00549	cgx:SB89_05925
ko:K18277	cgx:SB89_05950
ko:K02619	cgx:SB89_12135
ko:K06980	cgx:SB89_12140
ko:K01933	cgx:SB89_12150
ko:K00764	cgx:SB89_12155
ko:K11068	cgx:SB89_12170
ko:K01952	cgx:SB89_12175
ko:K01952	cgx:SB89_12180
ko:K01952	cgx:SB89_12185
ko:K00432	cgx:SB89_12190
ko:K07004	cgx:SB89_12195
ko:K06986	cgx:SB89_12200
ko:K11103	cgx:SB89_12205
ko:K01354	cgx:SB89_12210
ko:K01923	cgx:SB89_12215
ko:K01756	cgx:SB89_12225
ko:K00138	cgx:SB89_13160
ko:K13640	cgx:SB89_13165
ko:K03686	cgx:SB89_13170
ko:K03687	cgx:SB89_13175
ko:K04043	cgx:SB89_13180
ko:K01243	cgx:SB89_13190
ko:K13953	cgx:SB89_13215
ko:K07090	cgx:SB89_13235
ko:K00956	cgx:SB89_13245
ko:K00957	cgx:SB89_13250
ko:K00390	cgx:SB89_13255
ko:K00392	cgx:SB89_13260
ko:K00528	cgx:SB89_13265
ko:K04750	cgx:SB89_13275
ko:K07793	cgx:SB89_13285
ko:K07794	cgx:SB89_13290
ko:K07795	cgx:SB89_13295
ko:K16786	cgx:SB89_13325
ko:K16787	cgx:SB89_13325
ko:K16785	cgx:SB89_13330
ko:K16923	cgx:SB89_13335
ko:K01246	cgx:SB89_13360
ko:K05916	cgx:SB89_13365
ko:K06988	cgx:SB89_13375
ko:K02013	cgx:SB89_13395
ko:K14260	cgx:SB89_13400
ko:K00012	cgx:SB89_13410
ko:K01494	cgx:SB89_13415
ko:K16012	cgx:SB89_05975
ko:K16013	cgx:SB89_05980
ko:K00426	cgx:SB89_05985
ko:K00425	cgx:SB89_05990
ko:K05592	cgx:SB89_06035
ko:K11928	cgx:SB89_06050
ko:K02106	cgx:SB89_06080
ko:K01534	cgx:SB89_06115
ko:K07816	cgx:SB89_06120
ko:K01887	cgx:SB89_06135
ko:K01586	cgx:SB89_06140
ko:K00872	cgx:SB89_06160
ko:K00374	cgx:SB89_06170
ko:K00373	cgx:SB89_06175
ko:K00370	cgx:SB89_06185
ko:K02575	cgx:SB89_06190
ko:K03750	cgx:SB89_06225
ko:K03639	cgx:SB89_06230
ko:K00666	cgx:SB89_06235
ko:K03628	cgx:SB89_06240
ko:K02835	cgx:SB89_06245
ko:K02493	cgx:SB89_06250
ko:K02851	cgx:SB89_06260
ko:K02108	cgx:SB89_06275
ko:K02110	cgx:SB89_06280
ko:K02109	cgx:SB89_06285
ko:K02113	cgx:SB89_06290
ko:K02111	cgx:SB89_06295
ko:K02115	cgx:SB89_06300
ko:K02112	cgx:SB89_06305
ko:K02114	cgx:SB89_06310
ko:K07503	cgx:SB89_06320
ko:K05606	cgx:SB89_06330
ko:K05838	cgx:SB89_06340
ko:K04091	cgx:SB89_06345
ko:K15554	cgx:SB89_06350
ko:K15555	cgx:SB89_06355
ko:K15553	cgx:SB89_06360
ko:K00700	cgx:SB89_06365
ko:K16147	cgx:SB89_06370
ko:K02013	cgx:SB89_06375
ko:K02342	cgx:SB89_06675
ko:K02361	cgx:SB89_06690
ko:K01885	cgx:SB89_06695
ko:K07727	cgx:SB89_06700
ko:K03147	cgx:SB89_06755
ko:K00688	cgx:SB89_06765
ko:K01069	cgx:SB89_06775
ko:K01703	cgx:SB89_06800
ko:K01704	cgx:SB89_06805
ko:K03574	cgx:SB89_06810
ko:K00057	cgx:SB89_06820
ko:K01921	cgx:SB89_06825
ko:K00946	cgx:SB89_06835
ko:K03648	cgx:SB89_06840
ko:K07030	cgx:SB89_06845
ko:K03655	cgx:SB89_06850
ko:K08316	cgx:SB89_06860
ko:K00954	cgx:SB89_06865
ko:K02028	cgx:SB89_06870
ko:K02029	cgx:SB89_06875
ko:K02030	cgx:SB89_06880
ko:K08974	cgx:SB89_06890
ko:K07483	cgx:SB89_06920
ko:K02945	cgx:SB89_07010
ko:K02755	cgx:SB89_07015
ko:K02756	cgx:SB89_07015
ko:K02757	cgx:SB89_07015
ko:K00859	cgx:SB89_07020
ko:K02342	cgx:SB89_07025
ko:K00852	cgx:SB89_07050
ko:K02529	cgx:SB89_07055
ko:K03702	cgx:SB89_07070
ko:K03701	cgx:SB89_07105
ko:K02520	cgx:SB89_07115
ko:K02916	cgx:SB89_07120
ko:K02887	cgx:SB89_07125
ko:K05814	cgx:SB89_07140
ko:K05815	cgx:SB89_07145
ko:K05813	cgx:SB89_07150
ko:K10112	cgx:SB89_07155
ko:K01126	cgx:SB89_07160
ko:K03437	cgx:SB89_07165
ko:K01889	cgx:SB89_07170
ko:K01890	cgx:SB89_07175
ko:K00145	cgx:SB89_07195
ko:K00620	cgx:SB89_07200
ko:K00930	cgx:SB89_07205
ko:K00611	cgx:SB89_07215
ko:K03402	cgx:SB89_07220
ko:K01940	cgx:SB89_07225
ko:K01755	cgx:SB89_07230
ko:K07114	cgx:SB89_07235
ko:K09791	cgx:SB89_07245
ko:K01866	cgx:SB89_07250
ko:K06442	cgx:SB89_07290
ko:K00858	cgx:SB89_07295
ko:K03631	cgx:SB89_07300
ko:K01937	cgx:SB89_07315
ko:K01515	cgx:SB89_07320
ko:K04763	cgx:SB89_07325
ko:K18230	cgx:SB89_07330
ko:K03496	cgx:SB89_07335
ko:K05896	cgx:SB89_07340
ko:K01011	cgx:SB89_07350
ko:K06024	cgx:SB89_07355
ko:K06178	cgx:SB89_07360
ko:K00945	cgx:SB89_07365
ko:K03977	cgx:SB89_07370
ko:K07238	cgx:SB89_07400
ko:K03316	cgx:SB89_07405
ko:K09858	cgx:SB89_07420
ko:K06889	cgx:SB89_07425
ko:K07397	cgx:SB89_07425
ko:K03070	cgx:SB89_07430
ko:K08999	cgx:SB89_07445
ko:K00033	cgx:SB89_07490
ko:K01990	cgx:SB89_07505
ko:K02042	cgx:SB89_07520
ko:K02042	cgx:SB89_07525
ko:K02041	cgx:SB89_07530
ko:K02044	cgx:SB89_07535
ko:K14153	cgx:SB89_07545
ko:K00878	cgx:SB89_07550
ko:K03885	cgx:SB89_07555
ko:K00574	cgx:SB89_07560
ko:K07101	cgx:SB89_07570
ko:K03321	cgx:SB89_07595
ko:K00721	cgx:SB89_07625
ko:K03820	cgx:SB89_07630
ko:K07113	cgx:SB89_07635
ko:K00595	cgx:SB89_07660
ko:K03727	cgx:SB89_07685
ko:K03118	cgx:SB89_07690
ko:K03116	cgx:SB89_07695
ko:K13573	cgx:SB89_07700
ko:K13571	cgx:SB89_07710
ko:K13570	cgx:SB89_07715
ko:K13527	cgx:SB89_07725
ko:K07442	cgx:SB89_07730
ko:K01267	cgx:SB89_07735
ko:K01744	cgx:SB89_07755
ko:K00765	cgx:SB89_07760
ko:K01523	cgx:SB89_07765
ko:K00548	cgx:SB89_07775
ko:K03325	cgx:SB89_07790
ko:K18701	cgx:SB89_07795
ko:K15526	cgx:SB89_07810
ko:K06153	cgx:SB89_07815
ko:K00254	cgx:SB89_07830
ko:K06910	cgx:SB89_07845
ko:K07588	cgx:SB89_07880
ko:K01847	cgx:SB89_07885
ko:K01847	cgx:SB89_07890
ko:K01772	cgx:SB89_07925
ko:K01681	cgx:SB89_07940
ko:K01951	cgx:SB89_07950
ko:K07166	cgx:SB89_07965
ko:K09157	cgx:SB89_07970
ko:K04488	cgx:SB89_08020
ko:K11717	cgx:SB89_08025
ko:K09013	cgx:SB89_08030
ko:K09015	cgx:SB89_08035
ko:K09014	cgx:SB89_08040
ko:K14339	cgx:SB89_08050
ko:K01990	cgx:SB89_08055
ko:K01992	cgx:SB89_08060
ko:K02259	cgx:SB89_08065
ko:K00615	cgx:SB89_08085
ko:K00616	cgx:SB89_08090
ko:K00036	cgx:SB89_08095
ko:K01057	cgx:SB89_08105
ko:K03320	cgx:SB89_08120
ko:K03075	cgx:SB89_08125
ko:K01595	cgx:SB89_08130
ko:K01803	cgx:SB89_08135
ko:K00927	cgx:SB89_08140
ko:K00134	cgx:SB89_08145
ko:K09762	cgx:SB89_08150
ko:K06958	cgx:SB89_08160
ko:K03703	cgx:SB89_08165
ko:K00794	cgx:SB89_08175
ko:K14652	cgx:SB89_08180
ko:K00793	cgx:SB89_08185
ko:K11752	cgx:SB89_08190
ko:K01783	cgx:SB89_08195
ko:K03500	cgx:SB89_08200
ko:K00604	cgx:SB89_08205
ko:K01462	cgx:SB89_08210
ko:K04066	cgx:SB89_08215
ko:K00789	cgx:SB89_08220
ko:K13038	cgx:SB89_08225
ko:K03060	cgx:SB89_08230
ko:K00942	cgx:SB89_08235
ko:K01591	cgx:SB89_08245
ko:K01955	cgx:SB89_08250
ko:K01956	cgx:SB89_08255
ko:K01465	cgx:SB89_08260
ko:K00609	cgx:SB89_08265
ko:K02825	cgx:SB89_08270
ko:K07071	cgx:SB89_08275
ko:K03625	cgx:SB89_08295
ko:K02356	cgx:SB89_08300
ko:K01735	cgx:SB89_08310
ko:K00891	cgx:SB89_08315
ko:K01736	cgx:SB89_08320
ko:K02654	cgx:SB89_08325
ko:K02015	cgx:SB89_08335
ko:K02016	cgx:SB89_08340
ko:K02013	cgx:SB89_08345
ko:K00014	cgx:SB89_08350
ko:K07082	cgx:SB89_08355
ko:K07447	cgx:SB89_08360
ko:K01872	cgx:SB89_08365
ko:K07478	cgx:SB89_08370
ko:K01876	cgx:SB89_08380
ko:K07054	cgx:SB89_08385
ko:K01421	cgx:SB89_08395
ko:K00299	cgx:SB89_08420
ko:K01752	cgx:SB89_08425
ko:K00111	cgx:SB89_08430
ko:K01892	cgx:SB89_08435
ko:K03768	cgx:SB89_08445
ko:K00951	cgx:SB89_08460
ko:K00759	cgx:SB89_08465
ko:K02035	cgx:SB89_08470
ko:K03074	cgx:SB89_08475
ko:K03072	cgx:SB89_08480
ko:K03210	cgx:SB89_08485
ko:K03551	cgx:SB89_08490
ko:K03550	cgx:SB89_08495
ko:K01159	cgx:SB89_08500
ko:K10805	cgx:SB89_08510
ko:K08256	cgx:SB89_08525
ko:K01945	cgx:SB89_12235
ko:K03305	cgx:SB89_12250
ko:K00833	cgx:SB89_12255
ko:K01935	cgx:SB89_12260
ko:K02484	cgx:SB89_12265
ko:K00995	cgx:SB89_08535
ko:K01868	cgx:SB89_08545
