ko:K06896	efs:EFS1_0783
ko:K00648	efs:EFS1_2294
ko:K03630	efs:EFS1_2382
ko:K11754	efs:EFS1_2384
ko:K01873	efs:EFS1_2387
ko:K11065	efs:EFS1_2388
ko:K01926	efs:EFS1_2389
ko:K03151	efs:EFS1_2390
ko:K06901	efs:EFS1_2391
ko:K06726	efs:EFS1_2396
ko:K02529	efs:EFS1_2398
ko:K07862	efs:EFS1_2459
ko:K06173	efs:EFS1_2461
ko:K00783	efs:EFS1_2469
ko:K06878	efs:EFS1_2471
ko:K15580	efs:EFS1_2476
ko:K02747	efs:EFS1_2477
ko:K02746	efs:EFS1_2478
ko:K01443	efs:EFS1_2479
ko:K01246	efs:EFS1_2485
ko:K03571	efs:EFS1_2496
ko:K03570	efs:EFS1_2497
ko:K00962	efs:EFS1_2498
ko:K02956	efs:EFS1_2499
ko:K01462	efs:EFS1_2500
ko:K02986	efs:EFS1_2504
ko:K05339	efs:EFS1_2616
ko:K05338	efs:EFS1_2617
ko:K07704	efs:EFS1_2619
ko:K02073	efs:EFS1_2620
ko:K02072	efs:EFS1_2621
ko:K02071	efs:EFS1_2622
ko:K02954	efs:EFS1_2624
ko:K02913	efs:EFS1_2625
ko:K02996	efs:EFS1_2644
ko:K02871	efs:EFS1_2645
ko:K04047	efs:EFS1_2646
ko:K03046	efs:EFS1_2650
ko:K03043	efs:EFS1_2651
ko:K03524	efs:EFS1_2656
ko:K06147	efs:EFS1_1887
ko:K04488	efs:EFS1_1920
ko:K07009	efs:EFS1_2063
ko:K06147	efs:EFS1_2069
ko:K06147	efs:EFS1_2070
ko:K02755	efs:EFS1_2074
ko:K02756	efs:EFS1_2074
ko:K02757	efs:EFS1_2074
ko:K03488	efs:EFS1_2075
ko:K03810	efs:EFS1_2199
ko:K02342	efs:EFS1_2201
ko:K03386	efs:EFS1_2204
ko:K02004	efs:EFS1_2215
ko:K07570	efs:EFS1_2302
ko:K03768	efs:EFS1_2305
ko:K01119	efs:EFS1_2308
ko:K02025	efs:EFS1_2312
ko:K03499	efs:EFS1_2316
ko:K11618	efs:EFS1_2317
ko:K11617	efs:EFS1_2318
ko:K03475	efs:EFS1_2400
ko:K02822	efs:EFS1_2401
ko:K01077	efs:EFS1_2408
ko:K01426	efs:EFS1_2418
ko:K02004	efs:EFS1_2420
ko:K02005	efs:EFS1_2422
ko:K09684	efs:EFS1_2429
ko:K01466	efs:EFS1_2432
ko:K01258	efs:EFS1_2512
ko:K07032	efs:EFS1_2523
ko:K09705	efs:EFS1_2524
ko:K02035	efs:EFS1_2529
ko:K02033	efs:EFS1_2531
ko:K07030	efs:EFS1_2538
ko:K07706	efs:EFS1_2541
ko:K00949	efs:EFS1_2546
ko:K00805	efs:EFS1_2668
ko:K00805	efs:EFS1_2669
ko:K00383	efs:EFS1_2676
ko:K03708	efs:EFS1_2686
ko:K00088	efs:EFS1_2694
ko:K10254	efs:EFS1_2703
ko:K19975	efs:EFS1_1738
ko:K19973	efs:EFS1_1736
ko:K00939	efs:EFS1_0170
ko:K07105	efs:EFS1_0192
ko:K00016	efs:EFS1_0195
ko:K02793	efs:EFS1_2564
ko:K02795	efs:EFS1_2567
ko:K00033	efs:EFS1_2570
ko:K03486	efs:EFS1_2582
ko:K07305	efs:EFS1_2588
ko:K01439	efs:EFS1_2602
ko:K02782	efs:EFS1_2706
ko:K02783	efs:EFS1_2706
ko:K02783	efs:EFS1_2707
ko:K03491	efs:EFS1_2709
ko:K00068	efs:EFS1_2710
ko:K05966	efs:EFS1_2715
ko:K00027	efs:EFS1_2716
ko:K01571	efs:EFS1_2717
ko:K01572	efs:EFS1_2724
ko:K06346	efs:EFS1_2730
ko:K02313	efs:EFS1_0001
ko:K02338	efs:EFS1_0002
ko:K03629	efs:EFS1_0004
ko:K02470	efs:EFS1_0005
ko:K02469	efs:EFS1_0006
ko:K02990	efs:EFS1_0007
ko:K02963	efs:EFS1_0009
ko:K02939	efs:EFS1_0011
ko:K01939	efs:EFS1_0013
ko:K14155	efs:EFS1_0026
ko:K02761	efs:EFS1_0029
ko:K14205	efs:EFS1_0032
ko:K00147	efs:EFS1_0038
ko:K00931	efs:EFS1_0039
ko:K04485	efs:EFS1_0041
ko:K01770	efs:EFS1_0043
ko:K00640	efs:EFS1_0045
ko:K01883	efs:EFS1_0046
ko:K11145	efs:EFS1_0047
ko:K03218	efs:EFS1_0048
ko:K06962	efs:EFS1_0049
ko:K03091	efs:EFS1_0050
ko:K00919	efs:EFS1_0052
ko:K02761	efs:EFS1_0368
ko:K00077	efs:EFS1_0401
ko:K03777	efs:EFS1_0412
ko:K16137	efs:EFS1_0418
ko:K01866	efs:EFS1_0481
ko:K03315	efs:EFS1_0484
ko:K03800	efs:EFS1_0496
ko:K07078	efs:EFS1_0501
ko:K15975	efs:EFS1_0512
ko:K06999	efs:EFS1_0513
ko:K05847	efs:EFS1_0521
ko:K03402	efs:EFS1_0523
ko:K06180	efs:EFS1_0526
ko:K02503	efs:EFS1_0534
ko:K01534	efs:EFS1_0602
ko:K07507	efs:EFS1_0603
ko:K03702	efs:EFS1_0606
ko:K03701	efs:EFS1_0607
ko:K06958	efs:EFS1_0609
ko:K01358	efs:EFS1_0614
ko:K01126	efs:EFS1_0620
ko:K03704	efs:EFS1_0622
ko:K03092	efs:EFS1_0623
ko:K00789	efs:EFS1_0625
ko:K02003	efs:EFS1_0633
ko:K07139	efs:EFS1_0635
ko:K01869	efs:EFS1_0640
ko:K02029	efs:EFS1_0645
ko:K15580	efs:EFS1_0646
ko:K02897	efs:EFS1_0649
ko:K00859	efs:EFS1_0705
ko:K07738	efs:EFS1_0706
ko:K08317	efs:EFS1_0721
ko:K00773	efs:EFS1_0722
ko:K03210	efs:EFS1_0723
ko:K04072	efs:EFS1_0725
ko:K15580	efs:EFS1_0732
ko:K15581	efs:EFS1_0734
ko:K02520	efs:EFS1_0739
ko:K02916	efs:EFS1_0740
ko:K02887	efs:EFS1_0741
ko:K08987	efs:EFS1_0743
ko:K03827	efs:EFS1_0744
ko:K03321	efs:EFS1_0746
ko:K05340	efs:EFS1_0753
ko:K02755	efs:EFS1_0209
ko:K02756	efs:EFS1_0209
ko:K02757	efs:EFS1_0209
ko:K03498	efs:EFS1_0236
ko:K01372	efs:EFS1_0243
ko:K01874	efs:EFS1_0755
ko:K03657	efs:EFS1_0758
ko:K03424	efs:EFS1_0759
ko:K05985	efs:EFS1_0760
ko:K01000	efs:EFS1_0819
ko:K01925	efs:EFS1_0820
ko:K02563	efs:EFS1_0821
ko:K03589	efs:EFS1_0822
ko:K03590	efs:EFS1_0823
ko:K03531	efs:EFS1_0824
ko:K06997	efs:EFS1_0825
ko:K09772	efs:EFS1_0826
ko:K02221	efs:EFS1_0827
ko:K04074	efs:EFS1_0829
ko:K01870	efs:EFS1_0830
ko:K00036	efs:EFS1_0831
ko:K06206	efs:EFS1_0834
ko:K02760	efs:EFS1_0839
ko:K02761	efs:EFS1_0840
ko:K02760	efs:EFS1_0844
ko:K02759	efs:EFS1_0845
ko:K02761	efs:EFS1_0846
ko:K01223	efs:EFS1_0847
ko:K09773	efs:EFS1_0853
ko:K14205	efs:EFS1_0854
ko:K00940	efs:EFS1_0864
ko:K09758	efs:EFS1_0865
ko:K06901	efs:EFS1_0869
ko:K09779	efs:EFS1_0923
ko:K00782	efs:EFS1_0937
ko:K03100	efs:EFS1_0939
ko:K01889	efs:EFS1_0943
ko:K01890	efs:EFS1_0944
ko:K10040	efs:EFS1_0946
ko:K10039	efs:EFS1_0947
ko:K01776	efs:EFS1_0949
ko:K07095	efs:EFS1_0951
ko:K05823	efs:EFS1_0962
ko:K07010	efs:EFS1_0966
ko:K06885	efs:EFS1_0970
ko:K07447	efs:EFS1_1028
ko:K01652	efs:EFS1_1037
ko:K01575	efs:EFS1_1038
ko:K02054	efs:EFS1_1042
ko:K02053	efs:EFS1_1043
ko:K01486	efs:EFS1_1046
ko:K03734	efs:EFS1_1049
ko:K01060	efs:EFS1_1059
ko:K05349	efs:EFS1_1061
ko:K02529	efs:EFS1_1063
ko:K01223	efs:EFS1_1066
ko:K03710	efs:EFS1_1146
ko:K00384	efs:EFS1_1158
ko:K15772	efs:EFS1_1163
ko:K15771	efs:EFS1_1164
ko:K01531	efs:EFS1_1171
ko:K00161	efs:EFS1_1172
ko:K00162	efs:EFS1_1173
ko:K00627	efs:EFS1_1174
ko:K00382	efs:EFS1_1175
ko:K00005	efs:EFS1_1178
ko:K05878	efs:EFS1_1180
ko:K05879	efs:EFS1_1181
ko:K03704	efs:EFS1_1187
ko:K03088	efs:EFS1_1254
ko:K04041	efs:EFS1_1257
ko:K01586	efs:EFS1_1258
ko:K15580	efs:EFS1_1266
ko:K02802	efs:EFS1_1268
ko:K02803	efs:EFS1_1268
ko:K02804	efs:EFS1_1268
ko:K03086	efs:EFS1_1279
ko:K00243	efs:EFS1_1281
ko:K00134	efs:EFS1_1283
ko:K03979	efs:EFS1_1284
ko:K02761	efs:EFS1_1286
ko:K05896	efs:EFS1_1295
ko:K06024	efs:EFS1_1296
ko:K06178	efs:EFS1_1297
ko:K04096	efs:EFS1_1408
ko:K03470	efs:EFS1_1409
ko:K14540	efs:EFS1_1410
ko:K00077	efs:EFS1_1411
ko:K09699	efs:EFS1_1414
ko:K00167	efs:EFS1_1415
ko:K00166	efs:EFS1_1416
ko:K00382	efs:EFS1_1417
ko:K15973	efs:EFS1_1424
ko:K15975	efs:EFS1_1425
ko:K06999	efs:EFS1_1426
ko:K02003	efs:EFS1_1429
ko:K03100	efs:EFS1_1435
ko:K03797	efs:EFS1_1436
ko:K11068	efs:EFS1_1442
ko:K00759	efs:EFS1_1444
ko:K07462	efs:EFS1_1445
ko:K07124	efs:EFS1_1447
ko:K06960	efs:EFS1_1450
ko:K02959	efs:EFS1_1451
ko:K03106	efs:EFS1_1455
ko:K01867	efs:EFS1_1888
ko:K03596	efs:EFS1_1889
ko:K03695	efs:EFS1_1892
ko:K15977	efs:EFS1_1893
ko:K01756	efs:EFS1_1894
ko:K01589	efs:EFS1_1895
ko:K16169	efs:EFS1_1896
ko:K03816	efs:EFS1_1897
ko:K01893	efs:EFS1_1903
ko:K03763	efs:EFS1_1910
ko:K01881	efs:EFS1_1917
ko:K11749	efs:EFS1_1918
ko:K09014	efs:EFS1_1919
ko:K11717	efs:EFS1_1921
ko:K09015	efs:EFS1_1922
ko:K09013	efs:EFS1_1923
ko:K02838	efs:EFS1_1924
ko:K09903	efs:EFS1_1925
ko:K02357	efs:EFS1_1926
ko:K02967	efs:EFS1_1927
ko:K03826	efs:EFS1_1928
ko:K03437	efs:EFS1_1929
ko:K01512	efs:EFS1_1930
ko:K03217	efs:EFS1_1931
ko:K03737	efs:EFS1_2037
ko:K00266	efs:EFS1_2038
ko:K00528	efs:EFS1_2039
ko:K07402	efs:EFS1_2041
ko:K01008	efs:EFS1_2045
ko:K07141	efs:EFS1_2047
ko:K07402	efs:EFS1_2049
ko:K02019	efs:EFS1_2050
ko:K00926	efs:EFS1_2053
ko:K01751	efs:EFS1_2057
ko:K01464	efs:EFS1_2058
ko:K12527	efs:EFS1_2059
ko:K01928	efs:EFS1_2062
ko:K01809	efs:EFS1_2066
ko:K00942	efs:EFS1_2072
ko:K01223	efs:EFS1_2073
ko:K01118	efs:EFS1_2076
ko:K02781	efs:EFS1_2078
ko:K00790	efs:EFS1_2080
ko:K02114	efs:EFS1_2082
ko:K02112	efs:EFS1_2083
ko:K02115	efs:EFS1_2084
ko:K02111	efs:EFS1_2085
ko:K02113	efs:EFS1_2086
ko:K02109	efs:EFS1_2087
ko:K02110	efs:EFS1_2088
ko:K02913	efs:EFS1_2195
ko:K00075	efs:EFS1_2198
ko:K01142	efs:EFS1_2200
ko:K00384	efs:EFS1_2203
ko:K03800	efs:EFS1_2206
ko:K03740	efs:EFS1_2210
ko:K14188	efs:EFS1_2211
ko:K03739	efs:EFS1_2212
ko:K03367	efs:EFS1_2213
ko:K02003	efs:EFS1_2216
ko:K02346	efs:EFS1_2220
ko:K02069	efs:EFS1_2221
ko:K02068	efs:EFS1_2222
ko:K07056	efs:EFS1_2223
ko:K02341	efs:EFS1_2226
ko:K00943	efs:EFS1_2228
ko:K06187	efs:EFS1_2230
ko:K03707	efs:EFS1_2231
ko:K00941	efs:EFS1_2239
ko:K00788	efs:EFS1_2240
ko:K00878	efs:EFS1_2241
ko:K09747	efs:EFS1_2243
ko:K02343	efs:EFS1_2244
ko:K00965	efs:EFS1_2245
ko:K14155	efs:EFS1_2303
ko:K03624	efs:EFS1_2320
ko:K07082	efs:EFS1_2322
ko:K01091	efs:EFS1_2323
ko:K09790	efs:EFS1_2328
ko:K03704	efs:EFS1_2331
ko:K01042	efs:EFS1_2411
ko:K02003	efs:EFS1_2421
ko:K14977	efs:EFS1_2430
ko:K02083	efs:EFS1_2431
ko:K10975	efs:EFS1_2433
ko:K03321	efs:EFS1_2438
ko:K01442	efs:EFS1_2439
ko:K01154	efs:EFS1_2446
ko:K01154	efs:EFS1_2448
ko:K03427	efs:EFS1_2449
ko:K01153	efs:EFS1_2450
ko:K03523	efs:EFS1_2505
ko:K03100	efs:EFS1_2506
ko:K02016	efs:EFS1_2514
ko:K02013	efs:EFS1_2515
ko:K02015	efs:EFS1_2516
ko:K02015	efs:EFS1_2517
ko:K01919	efs:EFS1_2520
ko:K03110	efs:EFS1_2525
ko:K03529	efs:EFS1_2527
ko:K03685	efs:EFS1_2528
ko:K02034	efs:EFS1_2530
ko:K02078	efs:EFS1_2535
ko:K03621	efs:EFS1_2536
ko:K03655	efs:EFS1_2537
ko:K07707	efs:EFS1_2540
ko:K02902	efs:EFS1_2545
ko:K01783	efs:EFS1_2547
ko:K06949	efs:EFS1_2548
ko:K03500	efs:EFS1_2551
ko:K00604	efs:EFS1_2552
ko:K01462	efs:EFS1_2553
ko:K04066	efs:EFS1_2554
ko:K03060	efs:EFS1_2555
ko:K00942	efs:EFS1_2556
ko:K03734	efs:EFS1_2664
ko:K02988	efs:EFS1_0166
