ko:K04042	bmt:BSUIS_B0579
ko:K02013	bmt:BSUIS_A1395
ko:K02015	bmt:BSUIS_A1396
ko:K02016	bmt:BSUIS_A1397
ko:K01430	bmt:BSUIS_A1407
ko:K01429	bmt:BSUIS_A1408
ko:K01428	bmt:BSUIS_A1409
ko:K03187	bmt:BSUIS_A1410
ko:K02048	bmt:BSUIS_A1380
ko:K08717	bmt:BSUIS_A1414
ko:K02007	bmt:BSUIS_A1416
ko:K02008	bmt:BSUIS_A1418
ko:K02006	bmt:BSUIS_A1419
ko:K06199	bmt:BSUIS_A1421
ko:K00833	bmt:BSUIS_B0489
ko:K03602	bmt:BSUIS_A0457
ko:K03665	bmt:BSUIS_A1159
ko:K00371	bmt:BSUIS_B0304
ko:K09699	bmt:BSUIS_B0521
ko:K03553	bmt:BSUIS_A1250
ko:K00337	bmt:BSUIS_A0848
ko:K00339	bmt:BSUIS_A0850
ko:K01430	bmt:BSUIS_A0290
ko:K00373	bmt:BSUIS_B0303
ko:K08303	bmt:BSUIS_B0296
ko:K11381	bmt:BSUIS_B1081
ko:K03060	bmt:BSUIS_A0679
ko:K01448	bmt:BSUIS_A0955
ko:K01447	bmt:BSUIS_A1497
ko:K03111	bmt:BSUIS_A1151
ko:K14980	bmt:BSUIS_A1934
ko:K03469	bmt:BSUIS_A0504
ko:K00340	bmt:BSUIS_A0851
ko:K03572	bmt:BSUIS_B0222
ko:K02417	bmt:BSUIS_B0129
ko:K13786	bmt:BSUIS_A1342
ko:K05366	bmt:BSUIS_A0956
ko:K03814	bmt:BSUIS_B1252
ko:K00604	bmt:BSUIS_B1029
ko:K00963	bmt:BSUIS_B0076
ko:K00567	bmt:BSUIS_A0186
ko:K02231	bmt:BSUIS_A1358
ko:K09922	bmt:BSUIS_A1564
ko:K01756	bmt:BSUIS_A0887
ko:K03046	bmt:BSUIS_A1290
ko:K02493	bmt:BSUIS_A1709
ko:K02234	bmt:BSUIS_A1357
ko:K03470	bmt:BSUIS_A0414
ko:K02621	bmt:BSUIS_A0789
ko:K01939	bmt:BSUIS_B1158
ko:K03424	bmt:BSUIS_A1040
ko:K01696	bmt:BSUIS_A1950
ko:K03584	bmt:BSUIS_A0692
ko:K06966	bmt:BSUIS_A0465
ko:K02078	bmt:BSUIS_A0485
ko:K02361	bmt:BSUIS_B0018
ko:K01483	bmt:BSUIS_A0535
ko:K02502	bmt:BSUIS_B0191
ko:K03186	bmt:BSUIS_B0299
ko:K04756	bmt:BSUIS_B0693
ko:K07091	bmt:BSUIS_A0715
ko:K02528	bmt:BSUIS_A0710
ko:K07115	bmt:BSUIS_A0735
ko:K01933	bmt:BSUIS_A0741
ko:K03640	bmt:BSUIS_B1170
ko:K03724	bmt:BSUIS_B0818
ko:K03631	bmt:BSUIS_A1472
ko:K01255	bmt:BSUIS_A0717
ko:K03635	bmt:BSUIS_A0724
ko:K03641	bmt:BSUIS_B1172
ko:K03655	bmt:BSUIS_B0577
ko:K03530	bmt:BSUIS_A1155
ko:K00864	bmt:BSUIS_B0444
ko:K00901	bmt:BSUIS_A1057
ko:K06206	bmt:BSUIS_A1331
ko:K00525	bmt:BSUIS_B0322
ko:K03760	bmt:BSUIS_A1788
ko:K06042	bmt:BSUIS_A1337
ko:K07090	bmt:BSUIS_B0815
ko:K01142	bmt:BSUIS_A0911
ko:K03303	bmt:BSUIS_A0751
ko:K00525	bmt:BSUIS_A1086
ko:K02837	bmt:BSUIS_B1058
ko:K03497	bmt:BSUIS_A1899
ko:K03496	bmt:BSUIS_A1900
ko:K01883	bmt:BSUIS_A0705
ko:K00764	bmt:BSUIS_A0472
ko:K02314	bmt:BSUIS_A0476
ko:K00253	bmt:BSUIS_A0021
ko:K02258	bmt:BSUIS_A0498
ko:K10439	bmt:BSUIS_A0573
ko:K02945	bmt:BSUIS_A0029
ko:K00820	bmt:BSUIS_B0578
ko:K02435	bmt:BSUIS_B0592
ko:K00526	bmt:BSUIS_B0323
ko:K07042	bmt:BSUIS_A1993
ko:K00425	bmt:BSUIS_B0507
ko:K09812	bmt:BSUIS_A1838
ko:K02160	bmt:BSUIS_A0946
ko:K03624	bmt:BSUIS_A1560
ko:K03686	bmt:BSUIS_A1966
ko:K00790	bmt:BSUIS_A0277
ko:K06446	bmt:BSUIS_B0224
ko:K03685	bmt:BSUIS_A0689
ko:K00954	bmt:BSUIS_A1142
ko:K10764	bmt:BSUIS_A0331
ko:K01689	bmt:BSUIS_A1181
ko:K01647	bmt:BSUIS_A1196
ko:K03919	bmt:BSUIS_B0529
ko:K18893	bmt:BSUIS_A1603
ko:K06190	bmt:BSUIS_A1775
ko:K03110	bmt:BSUIS_A1774
ko:K01903	bmt:BSUIS_A1766
ko:K01902	bmt:BSUIS_A1765
ko:K02884	bmt:BSUIS_A1747
ko:K02115	bmt:BSUIS_B1276
ko:K01703	bmt:BSUIS_A1746
ko:K01433	bmt:BSUIS_B0902
ko:K02948	bmt:BSUIS_A1258
ko:K00640	bmt:BSUIS_A1310
ko:K09005	bmt:BSUIS_A1313
ko:K03704	bmt:BSUIS_A1315
ko:K01921	bmt:BSUIS_A1320
ko:K00003	bmt:BSUIS_A1323
ko:K09956	bmt:BSUIS_A1330
ko:K01265	bmt:BSUIS_A1332
ko:K03630	bmt:BSUIS_A1333
ko:K01999	bmt:BSUIS_A1343
ko:K02227	bmt:BSUIS_A1344
ko:K02225	bmt:BSUIS_A1345
ko:K05895	bmt:BSUIS_A1349
ko:K02408	bmt:BSUIS_B0157
ko:K02392	bmt:BSUIS_B0158
ko:K02386	bmt:BSUIS_B0159
ko:K02394	bmt:BSUIS_B0160
ko:K02393	bmt:BSUIS_B0162
ko:K02419	bmt:BSUIS_B0164
ko:K09709	bmt:BSUIS_B0170
ko:K09794	bmt:BSUIS_B0178
ko:K00765	bmt:BSUIS_B0192
ko:K04078	bmt:BSUIS_B0199
ko:K01870	bmt:BSUIS_B0205
ko:K03666	bmt:BSUIS_A1160
ko:K01956	bmt:BSUIS_A1539
ko:K10441	bmt:BSUIS_A0571
ko:K10440	bmt:BSUIS_A0572
ko:K01845	bmt:BSUIS_B0434
ko:K02338	bmt:BSUIS_A0002
ko:K00374	bmt:BSUIS_B0302
ko:K00344	bmt:BSUIS_B0567
ko:K01419	bmt:BSUIS_A1921
ko:K02533	bmt:BSUIS_A1244
ko:K03701	bmt:BSUIS_A1154
ko:K03707	bmt:BSUIS_A0211
ko:K03427	bmt:BSUIS_B0833
ko:K03702	bmt:BSUIS_A1568
ko:K02313	bmt:BSUIS_A0001
ko:K02335	bmt:BSUIS_A0128
ko:K02342	bmt:BSUIS_A1912
ko:K03168	bmt:BSUIS_B0601
ko:K03628	bmt:BSUIS_A1905
ko:K03501	bmt:BSUIS_A1901
ko:K03667	bmt:BSUIS_A1920
ko:K03703	bmt:BSUIS_A0727
ko:K02030	bmt:BSUIS_A0995
ko:K03551	bmt:BSUIS_B1178
ko:K02470	bmt:BSUIS_A0130
ko:K03832	bmt:BSUIS_B1146
ko:K03734	bmt:BSUIS_B0286
ko:K07447	bmt:BSUIS_B0594
ko:K01997	bmt:BSUIS_B1267
ko:K01998	bmt:BSUIS_B1266
ko:K03723	bmt:BSUIS_B0575
ko:K00537	bmt:BSUIS_A1033
ko:K07722	bmt:BSUIS_B0797
ko:K01153	bmt:BSUIS_B0835
ko:K01915	bmt:BSUIS_A1047
ko:K02073	bmt:BSUIS_B0952
ko:K02071	bmt:BSUIS_B0953
ko:K02072	bmt:BSUIS_B0954
ko:K01963	bmt:BSUIS_A1947
ko:K00645	bmt:BSUIS_A0483
ko:K02300	bmt:BSUIS_A0048
ko:K09800	bmt:BSUIS_A0052
ko:K03593	bmt:BSUIS_A0060
ko:K07002	bmt:BSUIS_A0884
ko:K07104	bmt:BSUIS_A0886
ko:K01783	bmt:BSUIS_A0888
ko:K02517	bmt:BSUIS_A0889
ko:K09458	bmt:BSUIS_A0891
ko:K09458	bmt:BSUIS_A0892
ko:K00874	bmt:BSUIS_A0896
ko:K06162	bmt:BSUIS_A0898
ko:K05539	bmt:BSUIS_A0901
ko:K06985	bmt:BSUIS_A0902
ko:K06938	bmt:BSUIS_A0903
ko:K02233	bmt:BSUIS_A0904
ko:K05800	bmt:BSUIS_A0906
ko:K01129	bmt:BSUIS_A0914
ko:K01887	bmt:BSUIS_A0915
ko:K03116	bmt:BSUIS_A0920
ko:K03117	bmt:BSUIS_A0921
ko:K03118	bmt:BSUIS_A0922
ko:K01875	bmt:BSUIS_A0923
ko:K03282	bmt:BSUIS_A0347
ko:K00643	bmt:BSUIS_A0348
ko:K01918	bmt:BSUIS_A0360
ko:K00606	bmt:BSUIS_A0361
ko:K00528	bmt:BSUIS_A0362
ko:K03327	bmt:BSUIS_A0370
ko:K03750	bmt:BSUIS_A1191
ko:K01356	bmt:BSUIS_A1192
ko:K01885	bmt:BSUIS_A1195
ko:K09949	bmt:BSUIS_A1198
ko:K00677	bmt:BSUIS_A1199
ko:K02536	bmt:BSUIS_A1201
ko:K07277	bmt:BSUIS_A1202
ko:K00981	bmt:BSUIS_A1204
ko:K00806	bmt:BSUIS_A1205
ko:K02838	bmt:BSUIS_A1206
ko:K09903	bmt:BSUIS_A1207
ko:K02357	bmt:BSUIS_A1208
ko:K02967	bmt:BSUIS_A1209
ko:K03562	bmt:BSUIS_B1175
ko:K07107	bmt:BSUIS_B1177
ko:K03550	bmt:BSUIS_B1179
ko:K00788	bmt:BSUIS_B1183
ko:K02557	bmt:BSUIS_B1189
ko:K02909	bmt:BSUIS_B1191
ko:K03523	bmt:BSUIS_B1194
ko:K09769	bmt:BSUIS_B1197
ko:K00615	bmt:BSUIS_B1202
ko:K02034	bmt:BSUIS_B1076
ko:K02033	bmt:BSUIS_B1077
ko:K00627	bmt:BSUIS_B1079
ko:K02035	bmt:BSUIS_B1080
ko:K02035	bmt:BSUIS_B1086
ko:K02033	bmt:BSUIS_B1087
ko:K02031	bmt:BSUIS_B1089
ko:K02032	bmt:BSUIS_B1090
ko:K02035	bmt:BSUIS_B1092
ko:K02033	bmt:BSUIS_B1093
ko:K02034	bmt:BSUIS_B1094
ko:K02031	bmt:BSUIS_B1095
ko:K02032	bmt:BSUIS_B1096
ko:K03609	bmt:BSUIS_B0327
ko:K02199	bmt:BSUIS_A0102
ko:K06024	bmt:BSUIS_A0919
ko:K03610	bmt:BSUIS_B0326
ko:K01154	bmt:BSUIS_B0834
ko:K00574	bmt:BSUIS_A0477
ko:K02426	bmt:BSUIS_A0604
ko:K02229	bmt:BSUIS_A1336
ko:K00303	bmt:BSUIS_A0229
ko:K06191	bmt:BSUIS_B0320
ko:K07007	bmt:BSUIS_A1083
ko:K01673	bmt:BSUIS_B1306
ko:K08223	bmt:BSUIS_A0684
ko:K00997	bmt:BSUIS_A0687
ko:K03100	bmt:BSUIS_A0688
ko:K06980	bmt:BSUIS_A0695
ko:K03322	bmt:BSUIS_A1493
ko:K05801	bmt:BSUIS_A1498
ko:K07088	bmt:BSUIS_A1501
ko:K09988	bmt:BSUIS_A1513
ko:K06193	bmt:BSUIS_A1516
ko:K09799	bmt:BSUIS_A1518
ko:K01442	bmt:BSUIS_A1521
ko:K09807	bmt:BSUIS_A1530
ko:K09160	bmt:BSUIS_A1532
ko:K03086	bmt:BSUIS_A1534
ko:K00858	bmt:BSUIS_A0978
ko:K00573	bmt:BSUIS_A0984
ko:K09991	bmt:BSUIS_A0986
ko:K01873	bmt:BSUIS_A0987
ko:K03753	bmt:BSUIS_A0996
ko:K03752	bmt:BSUIS_A0997
ko:K03639	bmt:BSUIS_A0998
ko:K01761	bmt:BSUIS_A1805
ko:K03522	bmt:BSUIS_A1810
ko:K03521	bmt:BSUIS_A1811
ko:K06920	bmt:BSUIS_A1812
ko:K01737	bmt:BSUIS_A1813
ko:K07058	bmt:BSUIS_A1818
ko:K09768	bmt:BSUIS_A1819
ko:K01586	bmt:BSUIS_A1823
ko:K00939	bmt:BSUIS_A1261
ko:K02876	bmt:BSUIS_A1263
ko:K02907	bmt:BSUIS_A1264
ko:K02988	bmt:BSUIS_A1265
ko:K02881	bmt:BSUIS_A1266
ko:K02933	bmt:BSUIS_A1267
ko:K02994	bmt:BSUIS_A1268
ko:K02954	bmt:BSUIS_A1269
ko:K02931	bmt:BSUIS_A1270
ko:K02895	bmt:BSUIS_A1271
ko:K00573	bmt:BSUIS_A0925
ko:K06923	bmt:BSUIS_A0927
ko:K03210	bmt:BSUIS_A0928
ko:K02291	bmt:BSUIS_A0932
ko:K04094	bmt:BSUIS_A0933
ko:K03545	bmt:BSUIS_A0938
ko:K02434	bmt:BSUIS_A0939
ko:K00554	bmt:BSUIS_A1754
ko:K00382	bmt:BSUIS_A1758
ko:K00164	bmt:BSUIS_A1763
ko:K01778	bmt:BSUIS_A1772
ko:K09919	bmt:BSUIS_A1214
ko:K03694	bmt:BSUIS_A1216
ko:K01752	bmt:BSUIS_A1223
ko:K07080	bmt:BSUIS_A1242
ko:K01776	bmt:BSUIS_A1243
ko:K01872	bmt:BSUIS_A1249
ko:K01997	bmt:BSUIS_B0027
ko:K01998	bmt:BSUIS_B0028
ko:K01995	bmt:BSUIS_B0029
ko:K01996	bmt:BSUIS_B0030
ko:K00627	bmt:BSUIS_B0035
ko:K00014	bmt:BSUIS_B0036
ko:K01531	bmt:BSUIS_B0039
ko:K07507	bmt:BSUIS_B0042
ko:K01845	bmt:BSUIS_B1103
ko:K03777	bmt:BSUIS_B1109
ko:K00135	bmt:BSUIS_B1120
ko:K01638	bmt:BSUIS_B1126
ko:K03823	bmt:BSUIS_B1127
ko:K03089	bmt:BSUIS_B1128
ko:K06180	bmt:BSUIS_B1129
ko:K03088	bmt:BSUIS_B1137
ko:K00134	bmt:BSUIS_B1203
ko:K00927	bmt:BSUIS_B1204
ko:K01908	bmt:BSUIS_B1206
ko:K02919	bmt:BSUIS_B1222
ko:K00873	bmt:BSUIS_B1224
ko:K02961	bmt:BSUIS_A1273
ko:K02904	bmt:BSUIS_A1274
ko:K02878	bmt:BSUIS_A1275
ko:K02982	bmt:BSUIS_A1276
ko:K02890	bmt:BSUIS_A1277
ko:K02965	bmt:BSUIS_A1278
ko:K02886	bmt:BSUIS_A1279
ko:K02892	bmt:BSUIS_A1280
ko:K02926	bmt:BSUIS_A1281
ko:K02906	bmt:BSUIS_A1282
ko:K02946	bmt:BSUIS_A1283
ko:K02355	bmt:BSUIS_A1285
ko:K02992	bmt:BSUIS_A1286
ko:K02950	bmt:BSUIS_A1287
ko:K02935	bmt:BSUIS_A1292
ko:K02864	bmt:BSUIS_A1293
ko:K02867	bmt:BSUIS_A1295
ko:K03073	bmt:BSUIS_A1297
ko:K03218	bmt:BSUIS_A1303
ko:K02020	bmt:BSUIS_B0093
ko:K02018	bmt:BSUIS_B0094
ko:K03980	bmt:BSUIS_A0144
ko:K00990	bmt:BSUIS_A0145
ko:K03101	bmt:BSUIS_A0150
ko:K03437	bmt:BSUIS_A0151
ko:K06969	bmt:BSUIS_A0152
ko:K04773	bmt:BSUIS_A0155
ko:K09774	bmt:BSUIS_A0157
ko:K06861	bmt:BSUIS_A0158
ko:K03687	bmt:BSUIS_A0172
ko:K00989	bmt:BSUIS_A0174
ko:K07460	bmt:BSUIS_A0179
ko:K00381	bmt:BSUIS_A0182
ko:K00390	bmt:BSUIS_A0183
ko:K04761	bmt:BSUIS_B0696
ko:K03335	bmt:BSUIS_B0704
ko:K03337	bmt:BSUIS_B0705
ko:K02011	bmt:BSUIS_B0708
ko:K02012	bmt:BSUIS_B0709
ko:K02437	bmt:BSUIS_B0716
ko:K00605	bmt:BSUIS_B0717
ko:K01915	bmt:BSUIS_B0724
ko:K02025	bmt:BSUIS_B0740
ko:K02026	bmt:BSUIS_B0741
ko:K02015	bmt:BSUIS_B0746
ko:K02016	bmt:BSUIS_B0747
ko:K03435	bmt:BSUIS_B0268
ko:K00376	bmt:BSUIS_B0281
ko:K07218	bmt:BSUIS_B0282
ko:K07234	bmt:BSUIS_B0289
ko:K02051	bmt:BSUIS_B0290
ko:K01945	bmt:BSUIS_A0440
ko:K03179	bmt:BSUIS_A0441
ko:K00275	bmt:BSUIS_A0442
ko:K03704	bmt:BSUIS_A0449
ko:K01736	bmt:BSUIS_A0454
ko:K06911	bmt:BSUIS_A0461
ko:K01662	bmt:BSUIS_A0462
ko:K06442	bmt:BSUIS_A0463
ko:K03215	bmt:BSUIS_A0464
ko:K03549	bmt:BSUIS_A1433
ko:K03474	bmt:BSUIS_A1435
ko:K01652	bmt:BSUIS_A1440
ko:K00791	bmt:BSUIS_A1441
ko:K07007	bmt:BSUIS_A1443
ko:K04087	bmt:BSUIS_A1447
ko:K04088	bmt:BSUIS_A1448
ko:K00287	bmt:BSUIS_A1449
ko:K00560	bmt:BSUIS_A1450
ko:K09970	bmt:BSUIS_A0778
ko:K09971	bmt:BSUIS_A0779
ko:K09972	bmt:BSUIS_A0780
ko:K00937	bmt:BSUIS_A0783
ko:K01876	bmt:BSUIS_A0786
ko:K01698	bmt:BSUIS_A0792
ko:K00600	bmt:BSUIS_A0799
ko:K07738	bmt:BSUIS_A0800
ko:K00793	bmt:BSUIS_A0802
ko:K00648	bmt:BSUIS_A0811
ko:K01991	bmt:BSUIS_A0819
ko:K07275	bmt:BSUIS_A1620
ko:K01649	bmt:BSUIS_A1623
ko:K00796	bmt:BSUIS_A1073
ko:K01633	bmt:BSUIS_A1074
ko:K00950	bmt:BSUIS_A1075
ko:K08990	bmt:BSUIS_A1077
ko:K06918	bmt:BSUIS_A1078
ko:K06204	bmt:BSUIS_A1080
ko:K00769	bmt:BSUIS_A1089
ko:K03809	bmt:BSUIS_A1092
ko:K01738	bmt:BSUIS_A1097
ko:K02259	bmt:BSUIS_A0824
ko:K00145	bmt:BSUIS_A0825
ko:K01480	bmt:BSUIS_A0826
ko:K02996	bmt:BSUIS_A0827
ko:K02871	bmt:BSUIS_A0828
ko:K00335	bmt:BSUIS_A0846
ko:K00336	bmt:BSUIS_A0847
ko:K01881	bmt:BSUIS_A0861
ko:K09808	bmt:BSUIS_A0862
ko:K02986	bmt:BSUIS_A0868
ko:K07552	bmt:BSUIS_A0872
ko:K07390	bmt:BSUIS_A0874
ko:K01952	bmt:BSUIS_A0876
ko:K01952	bmt:BSUIS_A0879
ko:K01810	bmt:BSUIS_A0310
ko:K06987	bmt:BSUIS_A0311
ko:K00773	bmt:BSUIS_A1138
ko:K05774	bmt:BSUIS_A1148
ko:K02043	bmt:BSUIS_A1149
ko:K03544	bmt:BSUIS_A1157
ko:K07712	bmt:BSUIS_A1166
ko:K01284	bmt:BSUIS_B0871
ko:K00325	bmt:BSUIS_B0963
ko:K00324	bmt:BSUIS_B0964
ko:K07010	bmt:BSUIS_B0977
ko:K06999	bmt:BSUIS_B0984
ko:K07147	bmt:BSUIS_B0985
ko:K09117	bmt:BSUIS_A1538
ko:K07054	bmt:BSUIS_A1541
ko:K01955	bmt:BSUIS_A1545
ko:K02471	bmt:BSUIS_A1547
ko:K03704	bmt:BSUIS_A1549
ko:K00384	bmt:BSUIS_A1555
ko:K03498	bmt:BSUIS_A1556
ko:K01711	bmt:BSUIS_B0422
ko:K03818	bmt:BSUIS_B0426
ko:K01790	bmt:BSUIS_B0438
ko:K00978	bmt:BSUIS_B0440
ko:K07305	bmt:BSUIS_B0447
ko:K01462	bmt:BSUIS_B0455
ko:K09781	bmt:BSUIS_B0456
ko:K07112	bmt:BSUIS_B0458
ko:K07112	bmt:BSUIS_B0459
ko:K00817	bmt:BSUIS_A1827
ko:K00655	bmt:BSUIS_A1835
ko:K09811	bmt:BSUIS_A1837
ko:K06188	bmt:BSUIS_A1842
ko:K01142	bmt:BSUIS_A1844
ko:K02902	bmt:BSUIS_A1856
ko:K00548	bmt:BSUIS_A0189
ko:K00957	bmt:BSUIS_A0193
ko:K02444	bmt:BSUIS_A0200
ko:K00111	bmt:BSUIS_A0201
ko:K01581	bmt:BSUIS_B0106
ko:K00033	bmt:BSUIS_B0116
ko:K02401	bmt:BSUIS_B0127
ko:K02416	bmt:BSUIS_B0131
ko:K02556	bmt:BSUIS_B0132
ko:K02391	bmt:BSUIS_B0134
ko:K02387	bmt:BSUIS_B0155
ko:K02388	bmt:BSUIS_B0156
ko:K03543	bmt:BSUIS_A1104
ko:K01868	bmt:BSUIS_A1115
ko:K01495	bmt:BSUIS_A1119
ko:K01496	bmt:BSUIS_A1120
ko:K07001	bmt:BSUIS_A1121
ko:K09761	bmt:BSUIS_B0754
ko:K01919	bmt:BSUIS_B0755
ko:K01915	bmt:BSUIS_B0760
ko:K09471	bmt:BSUIS_B0762
ko:K00036	bmt:BSUIS_B0770
ko:K01057	bmt:BSUIS_B0771
ko:K00286	bmt:BSUIS_B0774
ko:K02033	bmt:BSUIS_B0777
ko:K02035	bmt:BSUIS_B0778
ko:K01812	bmt:BSUIS_B0804
ko:K01686	bmt:BSUIS_B0806
ko:K06199	bmt:BSUIS_B0809
ko:K06199	bmt:BSUIS_B0810
ko:K09937	bmt:BSUIS_A1446
ko:K01805	bmt:BSUIS_A0576
ko:K02167	bmt:BSUIS_A0582
ko:K07341	bmt:BSUIS_A0585
ko:K03284	bmt:BSUIS_A0587
ko:K06915	bmt:BSUIS_A0591
ko:K01354	bmt:BSUIS_A0597
ko:K02433	bmt:BSUIS_A0603
ko:K06904	bmt:BSUIS_A0617
ko:K09137	bmt:BSUIS_B0811
ko:K01952	bmt:BSUIS_A0880
ko:K01923	bmt:BSUIS_A0881
ko:K05879	bmt:BSUIS_A1684
ko:K05878	bmt:BSUIS_A1685
ko:K05879	bmt:BSUIS_A1686
ko:K05878	bmt:BSUIS_A1687
ko:K03695	bmt:BSUIS_A1705
ko:K02835	bmt:BSUIS_A1710
ko:K00928	bmt:BSUIS_A1712
ko:K03676	bmt:BSUIS_A1717
ko:K03743	bmt:BSUIS_A1170
ko:K03644	bmt:BSUIS_A1173
ko:K00382	bmt:BSUIS_A1175
ko:K00627	bmt:BSUIS_A1176
ko:K01627	bmt:BSUIS_A1182
ko:K01937	bmt:BSUIS_A1183
ko:K01803	bmt:BSUIS_A1186
ko:K03770	bmt:BSUIS_A1187
ko:K00766	bmt:BSUIS_A1188
ko:K01609	bmt:BSUIS_A1189
ko:K03637	bmt:BSUIS_A1190
ko:K06217	bmt:BSUIS_A1992
ko:K00789	bmt:BSUIS_A1997
ko:K03439	bmt:BSUIS_A1998
ko:K09748	bmt:BSUIS_A1999
ko:K07742	bmt:BSUIS_A2001
ko:K02519	bmt:BSUIS_A2002
ko:K02834	bmt:BSUIS_A2003
ko:K02956	bmt:BSUIS_A2005
ko:K00962	bmt:BSUIS_A2006
ko:K00208	bmt:BSUIS_A2008
ko:K01716	bmt:BSUIS_A2010
ko:K09826	bmt:BSUIS_A2011
ko:K01255	bmt:BSUIS_A2018
ko:K02014	bmt:BSUIS_B0994
ko:K02342	bmt:BSUIS_B1001
ko:K00239	bmt:BSUIS_A1742
ko:K02031	bmt:BSUIS_B1004
ko:K02034	bmt:BSUIS_B1005
ko:K02033	bmt:BSUIS_B1006
ko:K02035	bmt:BSUIS_B1007
ko:K08169	bmt:BSUIS_B1012
ko:K02914	bmt:BSUIS_B1017
ko:K03536	bmt:BSUIS_B1018
ko:K03217	bmt:BSUIS_B1019
ko:K03978	bmt:BSUIS_B1020
ko:K00930	bmt:BSUIS_B1021
ko:K06966	bmt:BSUIS_B1023
ko:K01439	bmt:BSUIS_B1026
ko:K01462	bmt:BSUIS_B1030
ko:K09760	bmt:BSUIS_B1031
ko:K07401	bmt:BSUIS_B1032
ko:K07461	bmt:BSUIS_B1033
ko:K03596	bmt:BSUIS_B1034
ko:K06153	bmt:BSUIS_B1037
ko:K07261	bmt:BSUIS_B1042
ko:K01734	bmt:BSUIS_B1043
ko:K00845	bmt:BSUIS_B1044
ko:K04719	bmt:BSUIS_B1050
ko:K02276	bmt:BSUIS_A0499
ko:K03594	bmt:BSUIS_B0561
ko:K04485	bmt:BSUIS_A0475
ko:K02193	bmt:BSUIS_A0098
ko:K10806	bmt:BSUIS_A1566
ko:K01961	bmt:BSUIS_A0945
ko:K02600	bmt:BSUIS_A2000
ko:K06147	bmt:BSUIS_B1045
ko:K03592	bmt:BSUIS_B0215
ko:K01159	bmt:BSUIS_B1180
ko:K03629	bmt:BSUIS_A0003
ko:K03608	bmt:BSUIS_B0328
ko:K09973	bmt:BSUIS_A1757
ko:K03601	bmt:BSUIS_B0756
ko:K00305	bmt:BSUIS_A0232
ko:K02275	bmt:BSUIS_A0494
ko:K01993	bmt:BSUIS_A1403
ko:K02346	bmt:BSUIS_B0612
ko:K03040	bmt:BSUIS_A1257
ko:K08296	bmt:BSUIS_A1079
ko:K03684	bmt:BSUIS_A0785
ko:K01965	bmt:BSUIS_A1237
ko:K00162	bmt:BSUIS_A1177
ko:K04751	bmt:BSUIS_A1048
ko:K04561	bmt:BSUIS_B0254
ko:K03786	bmt:BSUIS_A0947
ko:K13541	bmt:BSUIS_A1339
ko:K00794	bmt:BSUIS_B0680
