ko:K01961	cju:C8J_1233
ko:K00334	cju:C8J_1472
ko:K02032	cju:C8J_1477
ko:K02031	cju:C8J_1478
ko:K02034	cju:C8J_1479
ko:K02033	cju:C8J_1480
ko:K02035	cju:C8J_1481
ko:K07306	cju:C8J_1482
ko:K07308	cju:C8J_1485
ko:K02518	cju:C8J_1492
ko:K02919	cju:C8J_1493
ko:K02952	cju:C8J_1494
ko:K02948	cju:C8J_1495
ko:K02986	cju:C8J_1496
ko:K02879	cju:C8J_1498
ko:K00765	cju:C8J_1499
ko:K00013	cju:C8J_1500
ko:K01814	cju:C8J_1503
ko:K03593	cju:C8J_1507
ko:K02968	cju:C8J_1512
ko:K02835	cju:C8J_1513
ko:K07226	cju:C8J_1514
ko:K02415	cju:C8J_1322
ko:K02556	cju:C8J_0314
ko:K06178	cju:C8J_1613
ko:K04654	cju:C8J_0585
ko:K04653	cju:C8J_0584
ko:K03703	cju:C8J_1189
ko:K02108	cju:C8J_1147
ko:K03624	cju:C8J_0263
ko:K04651	cju:C8J_0587
ko:K01159	cju:C8J_1630
ko:K03550	cju:C8J_0750
ko:K03980	cju:C8J_0752
ko:K01883	cju:C8J_0753
ko:K04517	cju:C8J_0123
ko:K01955	cju:C8J_0255
ko:K06187	cju:C8J_1207
ko:K06176	cju:C8J_1363
ko:K03787	cju:C8J_0270
ko:K01878	cju:C8J_0671
ko:K03590	cju:C8J_0662
ko:K03531	cju:C8J_0663
ko:K02970	cju:C8J_0346
ko:K09767	cju:C8J_0350
ko:K07147	cju:C8J_0355
ko:K01591	cju:C8J_0356
ko:K03625	cju:C8J_0357
ko:K01627	cju:C8J_0359
ko:K03977	cju:C8J_0361
ko:K00891	cju:C8J_0362
ko:K01867	cju:C8J_0363
ko:K01875	cju:C8J_0364
ko:K00873	cju:C8J_0367
ko:K00116	cju:C8J_0368
ko:K03525	cju:C8J_0369
ko:K03455	cju:C8J_1174
ko:K03474	cju:C8J_1181
ko:K00097	cju:C8J_1182
ko:K01599	cju:C8J_1186
ko:K01951	cju:C8J_1191
ko:K01945	cju:C8J_1194
ko:K01772	cju:C8J_0467
ko:K01872	cju:C8J_0470
ko:K06287	cju:C8J_0471
ko:K03695	cju:C8J_0473
ko:K03797	cju:C8J_0475
ko:K01923	cju:C8J_0476
ko:K01952	cju:C8J_0477
ko:K01952	cju:C8J_0478
ko:K00655	cju:C8J_0480
ko:K06199	cju:C8J_0481
ko:K04079	cju:C8J_0482
ko:K07082	cju:C8J_0490
ko:K00820	cju:C8J_1283
ko:K00990	cju:C8J_1284
ko:K06901	cju:C8J_1288
ko:K00769	cju:C8J_1289
ko:K07323	cju:C8J_1291
ko:K01042	cju:C8J_1296
ko:K03833	cju:C8J_1297
ko:K03981	cju:C8J_1298
ko:K03839	cju:C8J_1300
ko:K03326	cju:C8J_1307
ko:K01756	cju:C8J_1309
ko:K01714	cju:C8J_0757
ko:K00912	cju:C8J_0762
ko:K00681	cju:C8J_0033
ko:K09797	cju:C8J_0037
ko:K07552	cju:C8J_0038
ko:K06207	cju:C8J_0042
ko:K00566	cju:C8J_0050
ko:K06966	cju:C8J_0051
ko:K00950	cju:C8J_0058
ko:K06942	cju:C8J_0867
ko:K01755	cju:C8J_0868
ko:K03308	cju:C8J_0872
ko:K07088	cju:C8J_0880
ko:K03182	cju:C8J_0507
ko:K02356	cju:C8J_0512
ko:K00147	cju:C8J_0519
ko:K02314	cju:C8J_0523
ko:K09117	cju:C8J_0535
ko:K02536	cju:C8J_0538
ko:K03118	cju:C8J_0540
ko:K03117	cju:C8J_0541
ko:K08311	cju:C8J_0543
ko:K00928	cju:C8J_0544
ko:K00796	cju:C8J_0547
ko:K01972	cju:C8J_0548
ko:K06442	cju:C8J_0550
ko:K01008	cju:C8J_1407
ko:K02379	cju:C8J_1411
ko:K03634	cju:C8J_0886
ko:K05801	cju:C8J_0896
ko:K01952	cju:C8J_0897
ko:K03650	cju:C8J_0898
ko:K06346	cju:C8J_0899
ko:K03217	cju:C8J_0900
ko:K00826	cju:C8J_0246
ko:K01821	cju:C8J_0247
ko:K01995	cju:C8J_0952
ko:K03657	cju:C8J_1042
ko:K03563	cju:C8J_1044
ko:K03300	cju:C8J_0192
ko:K06153	cju:C8J_0194
ko:K01868	cju:C8J_0195
ko:K00145	cju:C8J_0202
ko:K00930	cju:C8J_0204
ko:K00573	cju:C8J_0206
ko:K00763	cju:C8J_0208
ko:K00762	cju:C8J_0211
ko:K02838	cju:C8J_0212
ko:K02916	cju:C8J_0221
ko:K02887	cju:C8J_0222
ko:K03637	cju:C8J_0229
ko:K01142	cju:C8J_0232
ko:K00901	cju:C8J_0234
ko:K01465	cju:C8J_0236
ko:K07238	cju:C8J_0240
ko:K03532	cju:C8J_0242
ko:K01689	cju:C8J_1573
ko:K03553	cju:C8J_1574
ko:K00075	cju:C8J_1577
ko:K01647	cju:C8J_1580
ko:K02493	cju:C8J_0689
ko:K03831	cju:C8J_0692
ko:K03284	cju:C8J_0693
ko:K03705	cju:C8J_0708
ko:K03687	cju:C8J_0709
ko:K04043	cju:C8J_0710
ko:K00640	cju:C8J_0714
ko:K00943	cju:C8J_0717
ko:K02386	cju:C8J_0720
ko:K01154	cju:C8J_1451
ko:K05516	cju:C8J_1172
ko:K02501	cju:C8J_1249
ko:K06151	cju:C8J_0390
ko:K05837	cju:C8J_1225
ko:K03498	cju:C8J_1226
ko:K03499	cju:C8J_1227
ko:K00761	cju:C8J_1229
ko:K01885	cju:C8J_1231
ko:K01494	cju:C8J_1235
ko:K00662	cju:C8J_1239
ko:K06941	cju:C8J_1617
ko:K10806	cju:C8J_0851
ko:K02914	cju:C8J_0903
ko:K07107	cju:C8J_0907
ko:K09861	cju:C8J_0923
ko:K00426	cju:C8J_0075
ko:K00123	cju:C8J_1414
ko:K00123	cju:C8J_1415
ko:K03635	cju:C8J_1421
ko:K03750	cju:C8J_1422
ko:K09952	cju:C8J_1425
ko:K03326	cju:C8J_1426
ko:K01933	cju:C8J_1428
ko:K00859	cju:C8J_1429
ko:K01778	cju:C8J_1430
ko:K03796	cju:C8J_1431
ko:K01810	cju:C8J_1434
ko:K00963	cju:C8J_1435
ko:K05773	cju:C8J_1438
ko:K05772	cju:C8J_1439
ko:K07160	cju:C8J_1440
ko:K03098	cju:C8J_1446
ko:K01153	cju:C8J_1448
ko:K03427	cju:C8J_1452
ko:K07089	cju:C8J_1456
ko:K03325	cju:C8J_1459
ko:K01733	cju:C8J_0763
ko:K00979	cju:C8J_0764
ko:K00806	cju:C8J_0771
ko:K02654	cju:C8J_0772
ko:K07091	cju:C8J_0773
ko:K01754	cju:C8J_0775
ko:K01772	cju:C8J_0784
ko:K04758	cju:C8J_1311
ko:K04759	cju:C8J_1312
ko:K00208	cju:C8J_1314
ko:K01803	cju:C8J_1315
ko:K00927	cju:C8J_1316
ko:K00134	cju:C8J_1317
ko:K00969	cju:C8J_1318
ko:K09710	cju:C8J_1319
ko:K00997	cju:C8J_1323
ko:K07265	cju:C8J_1327
ko:K07266	cju:C8J_1328
ko:K01841	cju:C8J_1331
ko:K00012	cju:C8J_1345
ko:K03558	cju:C8J_0374
ko:K00600	cju:C8J_0377
ko:K03749	cju:C8J_0379
ko:K00014	cju:C8J_0380
ko:K02600	cju:C8J_0433
ko:K01744	cju:C8J_0079
ko:K09859	cju:C8J_0082
ko:K07337	cju:C8J_0084
ko:K02888	cju:C8J_0087
ko:K03979	cju:C8J_0089
ko:K00931	cju:C8J_0090
ko:K00604	cju:C8J_0091
ko:K03559	cju:C8J_0103
ko:K03832	cju:C8J_0104
ko:K03641	cju:C8J_0105
ko:K03775	cju:C8J_0108
ko:K00645	cju:C8J_0109
ko:K07042	cju:C8J_0114
ko:K06204	cju:C8J_0118
ko:K00783	cju:C8J_0119
ko:K07277	cju:C8J_0122
ko:K01698	cju:C8J_0932
ko:K03501	cju:C8J_0934
ko:K02557	cju:C8J_0561
ko:K03308	cju:C8J_0563
ko:K09795	cju:C8J_0572
ko:K02040	cju:C8J_0575
ko:K02037	cju:C8J_0576
ko:K02038	cju:C8J_0577
ko:K02036	cju:C8J_0578
ko:K07043	cju:C8J_0580
ko:K04656	cju:C8J_0582
ko:K04655	cju:C8J_0586
ko:K07504	cju:C8J_0588
ko:K00053	cju:C8J_0591
ko:K09798	cju:C8J_0592
ko:K04096	cju:C8J_0593
ko:K01507	cju:C8J_0597
ko:K00939	cju:C8J_0598
ko:K01876	cju:C8J_0599
ko:K00858	cju:C8J_0600
ko:K03631	cju:C8J_0601
ko:K03424	cju:C8J_0603
ko:K03642	cju:C8J_0605
ko:K03270	cju:C8J_0606
ko:K09774	cju:C8J_0608
ko:K03978	cju:C8J_0609
ko:K01262	cju:C8J_0612
ko:K03305	cju:C8J_0613
ko:K03305	cju:C8J_0614
ko:K03595	cju:C8J_0617
ko:K03310	cju:C8J_0840
ko:K01775	cju:C8J_0842
ko:K07152	cju:C8J_0847
ko:K01738	cju:C8J_0848
ko:K03530	cju:C8J_0849
ko:K06200	cju:C8J_0854
ko:K00948	cju:C8J_0855
ko:K00759	cju:C8J_0864
ko:K01255	cju:C8J_0866
ko:K07084	cju:C8J_0006
ko:K01687	cju:C8J_0012
ko:K08996	cju:C8J_0013
ko:K07023	cju:C8J_0014
ko:K06920	cju:C8J_0015
ko:K00428	cju:C8J_0019
ko:K01756	cju:C8J_0022
ko:K01714	cju:C8J_1378
ko:K02453	cju:C8J_1379
ko:K01091	cju:C8J_1382
ko:K02996	cju:C8J_1384
ko:K02871	cju:C8J_1385
ko:K03582	cju:C8J_1386
ko:K00406	cju:C8J_1392
ko:K00405	cju:C8J_1394
ko:K00404	cju:C8J_1395
ko:K09792	cju:C8J_1398
ko:K01939	cju:C8J_1403
ko:K07112	cju:C8J_1404
ko:K02523	cju:C8J_0502
ko:K02492	cju:C8J_0503
ko:K01881	cju:C8J_0504
ko:K01649	cju:C8J_0505
ko:K01749	cju:C8J_0506
ko:K01439	cju:C8J_0989
ko:K01924	cju:C8J_0996
ko:K00088	cju:C8J_0999
ko:K01870	cju:C8J_1002
ko:K00995	cju:C8J_1008
ko:K02990	cju:C8J_1011
ko:K03111	cju:C8J_1012
ko:K02963	cju:C8J_1013
ko:K01338	cju:C8J_1014
ko:K05807	cju:C8J_1015
ko:K00286	cju:C8J_1017
ko:K01719	cju:C8J_1021
ko:K00788	cju:C8J_1022
ko:K07457	cju:C8J_1024
ko:K06923	cju:C8J_1025
ko:K03723	cju:C8J_1026
ko:K01869	cju:C8J_1032
ko:K03074	cju:C8J_1033
ko:K03072	cju:C8J_1034
ko:K03210	cju:C8J_1035
ko:K00789	cju:C8J_1037
ko:K08602	cju:C8J_1040
ko:K07164	cju:C8J_0673
ko:K03106	cju:C8J_0676
ko:K02959	cju:C8J_0677
ko:K06960	cju:C8J_0678
ko:K02860	cju:C8J_0679
ko:K00554	cju:C8J_0680
ko:K02884	cju:C8J_0681
ko:K07127	cju:C8J_0682
ko:K01626	cju:C8J_0683
ko:K06997	cju:C8J_0686
ko:K01752	cju:C8J_1526
ko:K03837	cju:C8J_1527
ko:K03559	cju:C8J_1531
ko:K03832	cju:C8J_1532
ko:K01736	cju:C8J_1536
ko:K01928	cju:C8J_1543
ko:K09747	cju:C8J_1544
ko:K00795	cju:C8J_1546
ko:K00615	cju:C8J_1547
ko:K02066	cju:C8J_1548
ko:K02065	cju:C8J_1549
ko:K02067	cju:C8J_1550
ko:K01265	cju:C8J_1553
ko:K01776	cju:C8J_1554
ko:K03313	cju:C8J_1556
ko:K03313	cju:C8J_1557
ko:K07243	cju:C8J_1560
ko:K07230	cju:C8J_1561
ko:K02003	cju:C8J_1565
ko:K03465	cju:C8J_0025
ko:K01937	cju:C8J_0026
ko:K07462	cju:C8J_0027
ko:K00946	cju:C8J_1364
ko:K02454	cju:C8J_1376
ko:K09816	cju:C8J_0135
ko:K09817	cju:C8J_0136
ko:K09815	cju:C8J_0137
ko:K07093	cju:C8J_0139
ko:K00384	cju:C8J_0143
ko:K03671	cju:C8J_0144
ko:K07460	cju:C8J_0145
ko:K00003	cju:C8J_0146
ko:K03218	cju:C8J_0150
ko:K07056	cju:C8J_0151
ko:K09761	cju:C8J_0153
ko:K03639	cju:C8J_0158
ko:K00791	cju:C8J_0162
ko:K02011	cju:C8J_0168
ko:K02012	cju:C8J_0169
ko:K06193	cju:C8J_0174
ko:K07391	cju:C8J_0179
ko:K01462	cju:C8J_0180
ko:K03545	cju:C8J_0182
ko:K01495	cju:C8J_0183
ko:K00764	cju:C8J_0185
ko:K07478	cju:C8J_0187
ko:K03154	cju:C8J_0984
ko:K03761	cju:C8J_1520
ko:K01940	cju:C8J_0621
ko:K06925	cju:C8J_0623
ko:K06861	cju:C8J_0624
ko:K03092	cju:C8J_0625
ko:K03702	cju:C8J_0632
ko:K02456	cju:C8J_0635
ko:K04066	cju:C8J_0636
ko:K07010	cju:C8J_0638
ko:K00860	cju:C8J_0653
ko:K00925	cju:C8J_0657
ko:K03438	cju:C8J_0660
ko:K03770	cju:C8J_0661
ko:K01915	cju:C8J_0666
ko:K03753	cju:C8J_0788
ko:K02221	cju:C8J_0791
ko:K01885	cju:C8J_0792
ko:K01613	cju:C8J_0794
ko:K04061	cju:C8J_0795
ko:K01845	cju:C8J_0800
ko:K03100	cju:C8J_0803
ko:K03750	cju:C8J_0804
ko:K00790	cju:C8J_0805
ko:K03673	cju:C8J_0811
ko:K03611	cju:C8J_0812
ko:K03673	cju:C8J_0814
ko:K02956	cju:C8J_0822
ko:K02945	cju:C8J_0830
ko:K03527	cju:C8J_0831
ko:K00800	cju:C8J_0832
ko:K03152	cju:C8J_0836
ko:K01925	cju:C8J_0407
ko:K01000	cju:C8J_0408
ko:K02078	cju:C8J_0416
ko:K09794	cju:C8J_0422
ko:K02902	cju:C8J_0423
ko:K01783	cju:C8J_0424
ko:K03147	cju:C8J_0426
ko:K09778	cju:C8J_0430
ko:K06041	cju:C8J_1350
ko:K02836	cju:C8J_1361
ko:K00549	cju:C8J_1145
ko:K04485	cju:C8J_1148
ko:K03110	cju:C8J_1149
ko:K02238	cju:C8J_1154
ko:K07058	cju:C8J_1155
ko:K05810	cju:C8J_1160
ko:K04078	cju:C8J_1163
ko:K04077	cju:C8J_1164
ko:K03701	cju:C8J_0319
ko:K01817	cju:C8J_0324
ko:K01633	cju:C8J_0333
ko:K08591	cju:C8J_0334
ko:K00428	cju:C8J_0335
ko:K03431	cju:C8J_0336
ko:K03101	cju:C8J_0337
ko:K08973	cju:C8J_0338
ko:K03585	cju:C8J_0343
ko:K03086	cju:C8J_0938
ko:K01735	cju:C8J_0945
ko:K00773	cju:C8J_0947
ko:K01996	cju:C8J_0951
ko:K01999	cju:C8J_0955
ko:K03564	cju:C8J_0248
ko:K09765	cju:C8J_0249
ko:K00919	cju:C8J_1045
ko:K03664	cju:C8J_1046
ko:K06891	cju:C8J_1048
ko:K03694	cju:C8J_1049
ko:K00684	cju:C8J_1050
ko:K01613	cju:C8J_1056
ko:K02517	cju:C8J_1074
ko:K00973	cju:C8J_1076
ko:K02843	cju:C8J_1092
ko:K02073	cju:C8J_0723
ko:K02072	cju:C8J_0724
ko:K02071	cju:C8J_0725
ko:K01873	cju:C8J_0726
ko:K03657	cju:C8J_0728
ko:K02573	cju:C8J_0732
ko:K02568	cju:C8J_0734
ko:K01433	cju:C8J_0741
ko:K01929	cju:C8J_0746
ko:K01012	cju:C8J_1582
ko:K02026	cju:C8J_1587
ko:K02876	cju:C8J_1593
ko:K02988	cju:C8J_1594
ko:K02881	cju:C8J_1595
ko:K02933	cju:C8J_1596
ko:K02994	cju:C8J_1597
ko:K02954	cju:C8J_1598
ko:K02931	cju:C8J_1599
ko:K02895	cju:C8J_1600
ko:K02874	cju:C8J_1601
ko:K02961	cju:C8J_1602
ko:K02904	cju:C8J_1603
ko:K02878	cju:C8J_1604
ko:K02982	cju:C8J_1605
ko:K03628	cju:C8J_1102
ko:K00677	cju:C8J_0251
ko:K03544	cju:C8J_0252
ko:K03570	cju:C8J_0254
ko:K00616	cju:C8J_0257
ko:K03408	cju:C8J_0259
ko:K03415	cju:C8J_0261
ko:K03269	cju:C8J_0262
ko:K03830	cju:C8J_0272
ko:K01579	cju:C8J_0273
ko:K01918	cju:C8J_0274
ko:K00606	cju:C8J_0275
ko:K02018	cju:C8J_0278
ko:K02020	cju:C8J_0280
ko:K02169	cju:C8J_0281
ko:K01935	cju:C8J_0285
ko:K02897	cju:C8J_0288
ko:K01586	cju:C8J_0291
ko:K00052	cju:C8J_1624
ko:K01649	cju:C8J_1625
ko:K01921	cju:C8J_0749
ko:K00817	cju:C8J_0294
ko:K01662	cju:C8J_0298
ko:K09825	cju:C8J_0299
ko:K03183	cju:C8J_0301
ko:K00831	cju:C8J_0303
ko:K03621	cju:C8J_0306
ko:K02911	cju:C8J_0307
ko:K00940	cju:C8J_0309
ko:K09981	cju:C8J_1108
ko:K01887	cju:C8J_1119
ko:K03116	cju:C8J_1120
ko:K00942	cju:C8J_1121
ko:K02357	cju:C8J_1125
ko:K02967	cju:C8J_1126
ko:K00574	cju:C8J_1127
ko:K03893	cju:C8J_1131
ko:K03495	cju:C8J_1132
ko:K03306	cju:C8J_1138
ko:K01465	cju:C8J_1139
ko:K00057	cju:C8J_1140
ko:K07173	cju:C8J_1142
ko:K03602	cju:C8J_0998
ko:K02890	cju:C8J_1606
ko:K02965	cju:C8J_1607
ko:K02886	cju:C8J_1608
ko:K02892	cju:C8J_1609
ko:K02926	cju:C8J_1610
ko:K02906	cju:C8J_1611
ko:K02946	cju:C8J_1612
ko:K02563	cju:C8J_0976
ko:K11085	cju:C8J_0754
ko:K02387	cju:C8J_0489
ko:K06603	cju:C8J_0508
ko:K02404	cju:C8J_0057
ko:K02409	cju:C8J_0295
ko:K02407	cju:C8J_0509
ko:K01959	cju:C8J_0974
ko:K10938	cju:C8J_0268
ko:K09458	cju:C8J_0417
ko:K03786	cju:C8J_0059
ko:K02341	cju:C8J_0546
ko:K04084	cju:C8J_0565
ko:K07447	cju:C8J_0594
ko:K01419	cju:C8J_0619
ko:K08303	cju:C8J_0668
ko:K02527	cju:C8J_0674
ko:K02337	cju:C8J_0685
ko:K02392	cju:C8J_0664
ko:K02392	cju:C8J_0665
ko:K01892	cju:C8J_0716
ko:K02390	cju:C8J_0046
ko:K02408	cju:C8J_0487
ko:K00958	cju:C8J_1510
ko:K03043	cju:C8J_0451
ko:K03040	cju:C8J_1497
ko:K02567	cju:C8J_0731
ko:K04744	cju:C8J_1196
ko:K00962	cju:C8J_1197
ko:K03686	cju:C8J_1204
ko:K02411	cju:C8J_0297
ko:K02557	cju:C8J_0313
ko:K02417	cju:C8J_0328
ko:K02388	cju:C8J_0488
ko:K02422	cju:C8J_0510
ko:K02393	cju:C8J_0655
ko:K03407	cju:C8J_0260
ko:K02435	cju:C8J_0373
ko:K00246	cju:C8J_0383
ko:K00244	cju:C8J_0384
ko:K00245	cju:C8J_0385
ko:K00241	cju:C8J_0414
ko:K03046	cju:C8J_0452
ko:K06917	cju:C8J_0462
ko:K01903	cju:C8J_0494
ko:K01902	cju:C8J_0495
ko:K00174	cju:C8J_0497
ko:K00177	cju:C8J_0499
ko:K04567	cju:C8J_0376
ko:K01095	cju:C8J_1511
ko:K03620	cju:C8J_1209
ko:K01866	cju:C8J_1215
ko:K09811	cju:C8J_1220
ko:K09812	cju:C8J_1221
ko:K03439	cju:C8J_1222
ko:K04652	cju:C8J_0583
ko:K07501	cju:C8J_1072
ko:K02841	cju:C8J_1073
ko:K03271	cju:C8J_1095
ko:K02343	cju:C8J_1103
ko:K00413	cju:C8J_1128
ko:K00411	cju:C8J_1130
ko:K06152	cju:C8J_0389
ko:K03148	cju:C8J_0983
ko:K02456	cju:C8J_1259
ko:K01409	cju:C8J_1260
ko:K00099	cju:C8J_1262
ko:K00981	cju:C8J_1263
ko:K03752	cju:C8J_1266
ko:K02015	cju:C8J_1268
ko:K03385	cju:C8J_1275
ko:K00937	cju:C8J_1277
ko:K03407	cju:C8J_1279
ko:K06886	cju:C8J_0438
ko:K02358	cju:C8J_0443
ko:K03073	cju:C8J_0445
ko:K02601	cju:C8J_0446
ko:K02867	cju:C8J_0447
ko:K02863	cju:C8J_0448
ko:K02864	cju:C8J_0449
ko:K02950	cju:C8J_0453
ko:K02992	cju:C8J_0454
ko:K02355	cju:C8J_0455
ko:K06940	cju:C8J_0458
ko:K01609	cju:C8J_0460
ko:K04047	cju:C8J_1433
ko:K03466	cju:C8J_0823
ko:K02566	cju:C8J_0292
ko:K01874	cju:C8J_0785
ko:K01890	cju:C8J_0833
ko:K00567	cju:C8J_0783
ko:K06926	cju:C8J_1449
ko:K07090	cju:C8J_1374
ko:K02017	cju:C8J_0277
ko:K04042	cju:C8J_0768
ko:K07792	cju:C8J_0626
ko:K03561	cju:C8J_1530
ko:K01091	cju:C8J_1590
ko:K07270	cju:C8J_1088
ko:K01091	cju:C8J_1176
ko:K03186	cju:C8J_0719
ko:K03274	cju:C8J_1097
ko:K06173	cju:C8J_0774
ko:K07304	cju:C8J_0596
ko:K01270	cju:C8J_0919
ko:K11752	cju:C8J_1524
ko:K12251	cju:C8J_0890
ko:K02242	cju:C8J_0965
ko:K11928	cju:C8J_1405
ko:K11742	cju:C8J_1118
ko:K11743	cju:C8J_1117
ko:K01916	cju:C8J_0761
ko:K01854	cju:C8J_1343
ko:K08307	cju:C8J_0604
ko:K00812	cju:C8J_0713
ko:K00265	cju:C8J_0007
ko:K11014	cju:C8J_0071
ko:K11103	cju:C8J_1136
ko:K11065	cju:C8J_0730
ko:K00175	cju:C8J_0498
ko:K11013	cju:C8J_0072
ko:K03412	cju:C8J_0861
ko:K02416	cju:C8J_0053
ko:K03076	cju:C8J_1592
ko:K02410	cju:C8J_0296
ko:K02406	cju:C8J_0687
ko:K02419	cju:C8J_0767
