ko:K13060	yee:YE5303_14421
ko:K02193	yee:YE5303_10571
ko:K02194	yee:YE5303_10581
ko:K02195	yee:YE5303_10591
ko:K02196	yee:YE5303_10601
ko:K02197	yee:YE5303_10611
ko:K02198	yee:YE5303_10621
ko:K02199	yee:YE5303_10631
ko:K02200	yee:YE5303_10641
ko:K04754	yee:YE5303_10661
ko:K06076	yee:YE5303_10681
ko:K01782	yee:YE5303_10711
ko:K08296	yee:YE5303_10721
ko:K07320	yee:YE5303_10741
ko:K01736	yee:YE5303_10751
ko:K07261	yee:YE5303_10761
ko:K07090	yee:YE5303_10771
ko:K09906	yee:YE5303_10781
ko:K15461	yee:YE5303_10801
ko:K00647	yee:YE5303_10811
ko:K01779	yee:YE5303_10831
ko:K02024	yee:YE5303_10841
ko:K02759	yee:YE5303_10851
ko:K01223	yee:YE5303_10861
ko:K02761	yee:YE5303_10871
ko:K02760	yee:YE5303_10881
ko:K01085	yee:YE5303_10901
ko:K08344	yee:YE5303_10941
ko:K03473	yee:YE5303_11011
ko:K06173	yee:YE5303_11031
ko:K03975	yee:YE5303_11041
ko:K05539	yee:YE5303_00841
ko:K01775	yee:YE5303_00881
ko:K00832	yee:YE5303_00891
ko:K03701	yee:YE5303_00911
ko:K03111	yee:YE5303_00921
ko:K00799	yee:YE5303_00931
ko:K06901	yee:YE5303_00941
ko:K03316	yee:YE5303_00951
ko:K09972	yee:YE5303_00981
ko:K09971	yee:YE5303_00991
ko:K09970	yee:YE5303_01001
ko:K09969	yee:YE5303_01011
ko:K12974	yee:YE5303_01031
ko:K03319	yee:YE5303_01051
ko:K03704	yee:YE5303_01061
ko:K03704	yee:YE5303_01071
ko:K03704	yee:YE5303_01081
ko:K03557	yee:YE5303_01111
ko:K05540	yee:YE5303_01121
ko:K02687	yee:YE5303_01131
ko:K14392	yee:YE5303_01141
ko:K01961	yee:YE5303_01161
ko:K02160	yee:YE5303_01171
ko:K02426	yee:YE5303_05921
ko:K01766	yee:YE5303_05931
ko:K03566	yee:YE5303_05951
ko:K06968	yee:YE5303_05971
ko:K01146	yee:YE5303_05981
ko:K06966	yee:YE5303_05991
ko:K06879	yee:YE5303_06001
ko:K15723	yee:YE5303_06011
ko:K06175	yee:YE5303_06031
ko:K00674	yee:YE5303_06061
ko:K00990	yee:YE5303_06071
ko:K02967	yee:YE5303_06091
ko:K02357	yee:YE5303_06101
ko:K09903	yee:YE5303_06111
ko:K02838	yee:YE5303_06121
ko:K00099	yee:YE5303_06131
ko:K00806	yee:YE5303_06141
ko:K00981	yee:YE5303_06151
ko:K11749	yee:YE5303_06161
ko:K07277	yee:YE5303_06171
ko:K06142	yee:YE5303_06181
ko:K02536	yee:YE5303_06191
ko:K02372	yee:YE5303_06201
ko:K00677	yee:YE5303_06211
ko:K00748	yee:YE5303_06221
ko:K03470	yee:YE5303_06231
ko:K02337	yee:YE5303_06241
ko:K01962	yee:YE5303_06251
ko:K08234	yee:YE5303_06271
ko:K04075	yee:YE5303_06281
ko:K19000	yee:YE5303_06301
ko:K15034	yee:YE5303_06331
ko:K06079	yee:YE5303_06341
ko:K01881	yee:YE5303_06351
ko:K06080	yee:YE5303_06371
ko:K02073	yee:YE5303_06381
ko:K02072	yee:YE5303_06391
ko:K02071	yee:YE5303_06401
ko:K03273	yee:YE5303_06411
ko:K01690	yee:YE5303_11571
ko:K05594	yee:YE5303_11562
ko:K02552	yee:YE5303_11581
ko:K02551	yee:YE5303_11591
ko:K08680	yee:YE5303_11601
ko:K01661	yee:YE5303_11611
ko:K02549	yee:YE5303_11621
ko:K01911	yee:YE5303_11631
ko:K03781	yee:YE5303_11641
ko:K03834	yee:YE5303_11661
ko:K08276	yee:YE5303_11681
ko:K11107	yee:YE5303_11691
ko:K00568	yee:YE5303_11721
ko:K02469	yee:YE5303_11731
ko:K07677	yee:YE5303_11741
ko:K07687	yee:YE5303_11751
ko:K07676	yee:YE5303_11761
ko:K12543	yee:YE5303_11801
ko:K12541	yee:YE5303_11811
ko:K12542	yee:YE5303_11821
ko:K09475	yee:YE5303_11831
ko:K18988	yee:YE5303_11841
ko:K16210	yee:YE5303_11851
ko:K03406	yee:YE5303_11871
ko:K03673	yee:YE5303_43311
ko:K03978	yee:YE5303_43291
ko:K09894	yee:YE5303_43281
ko:K07712	yee:YE5303_43261
ko:K07708	yee:YE5303_43251
ko:K01915	yee:YE5303_43241
ko:K01465	yee:YE5303_14641
ko:K08300	yee:YE5303_14661
ko:K06179	yee:YE5303_14671
ko:K07040	yee:YE5303_14691
ko:K02911	yee:YE5303_14701
ko:K03621	yee:YE5303_14711
ko:K00648	yee:YE5303_14721
ko:K00645	yee:YE5303_14731
ko:K00059	yee:YE5303_14741
ko:K02078	yee:YE5303_14751
ko:K09458	yee:YE5303_14761
ko:K02619	yee:YE5303_14771
ko:K07082	yee:YE5303_14781
ko:K00943	yee:YE5303_14791
ko:K02341	yee:YE5303_14801
ko:K03424	yee:YE5303_14811
ko:K02778	yee:YE5303_14821
ko:K02779	yee:YE5303_14821
ko:K00014	yee:YE5303_14841
ko:K02503	yee:YE5303_14851
ko:K07337	yee:YE5303_14871
ko:K07251	yee:YE5303_14881
ko:K01207	yee:YE5303_14891
ko:K07000	yee:YE5303_14901
ko:K03885	yee:YE5303_14911
ko:K03723	yee:YE5303_14931
ko:K09808	yee:YE5303_14941
ko:K09810	yee:YE5303_14951
ko:K09808	yee:YE5303_14961
ko:K00884	yee:YE5303_14971
ko:K12410	yee:YE5303_14981
ko:K01258	yee:YE5303_14991
ko:K18850	yee:YE5303_15001
ko:K07637	yee:YE5303_15011
ko:K07660	yee:YE5303_15021
ko:K01756	yee:YE5303_15041
ko:K07153	yee:YE5303_15051
ko:K00566	yee:YE5303_15061
ko:K12152	yee:YE5303_15071
ko:K06181	yee:YE5303_15081
ko:K00031	yee:YE5303_15091
ko:K02532	yee:YE5303_15141
ko:K01193	yee:YE5303_15151
ko:K03386	yee:YE5303_36321
ko:K00681	yee:YE5303_36331
ko:K01187	yee:YE5303_36351
ko:K11736	yee:YE5303_36361
ko:K06207	yee:YE5303_43231
ko:K07058	yee:YE5303_43211
ko:K07560	yee:YE5303_43201
ko:K16345	yee:YE5303_43141
ko:K03312	yee:YE5303_43131
ko:K03655	yee:YE5303_43121
ko:K00556	yee:YE5303_43111
ko:K03060	yee:YE5303_43091
ko:K00942	yee:YE5303_43081
ko:K01972	yee:YE5303_43071
ko:K03317	yee:YE5303_43041
ko:K13816	yee:YE5303_43031
ko:K14051	yee:YE5303_43021
ko:K06897	yee:YE5303_43011
ko:K00989	yee:YE5303_42891
ko:K00762	yee:YE5303_42881
ko:K05501	yee:YE5303_42871
ko:K13038	yee:YE5303_42851
ko:K03630	yee:YE5303_42841
ko:K02902	yee:YE5303_42831
ko:K02913	yee:YE5303_42821
ko:K10563	yee:YE5303_42811
ko:K09161	yee:YE5303_01731
ko:K04096	yee:YE5303_01741
ko:K03592	yee:YE5303_01761
ko:K15536	yee:YE5303_01771
ko:K06140	yee:YE5303_01781
ko:K01465	yee:YE5303_01841
ko:K01042	yee:YE5303_01851
ko:K01531	yee:YE5303_01891
ko:K03485	yee:YE5303_01901
ko:K02818	yee:YE5303_01911
ko:K02819	yee:YE5303_01911
ko:K01226	yee:YE5303_01921
ko:K07395	yee:YE5303_01931
ko:K09022	yee:YE5303_01971
ko:K00610	yee:YE5303_01981
ko:K00609	yee:YE5303_01991
ko:K08485	yee:YE5303_02001
ko:K06958	yee:YE5303_02011
ko:K02806	yee:YE5303_02021
ko:K05808	yee:YE5303_02031
ko:K03092	yee:YE5303_02041
ko:K06861	yee:YE5303_02051
ko:K09774	yee:YE5303_02061
ko:K11719	yee:YE5303_02071
ko:K03270	yee:YE5303_02081
ko:K06041	yee:YE5303_02091
ko:K07301	yee:YE5303_02101
ko:K02065	yee:YE5303_02111
ko:K02066	yee:YE5303_02121
ko:K02067	yee:YE5303_02131
ko:K07323	yee:YE5303_02141
ko:K07122	yee:YE5303_02151
ko:K00790	yee:YE5303_02171
ko:K04691	yee:YE5303_02181
ko:K09908	yee:YE5303_02201
ko:K06916	yee:YE5303_02211
ko:K02871	yee:YE5303_02221
ko:K02996	yee:YE5303_02231
ko:K03599	yee:YE5303_02241
ko:K02035	yee:YE5303_06891
ko:K02033	yee:YE5303_06901
ko:K02034	yee:YE5303_06911
ko:K01430	yee:YE5303_06941
ko:K01429	yee:YE5303_06951
ko:K01428	yee:YE5303_06961
ko:K03187	yee:YE5303_06971
ko:K03188	yee:YE5303_06981
ko:K03189	yee:YE5303_06991
ko:K03190	yee:YE5303_07001
ko:K08717	yee:YE5303_07011
ko:K07241	yee:YE5303_07021
ko:K10716	yee:YE5303_07041
ko:K06199	yee:YE5303_07051
ko:K06199	yee:YE5303_07061
ko:K02760	yee:YE5303_07081
ko:K02761	yee:YE5303_07091
ko:K01223	yee:YE5303_07101
ko:K02759	yee:YE5303_07111
ko:K03490	yee:YE5303_07121
ko:K02004	yee:YE5303_07161
ko:K02003	yee:YE5303_07171
ko:K05792	yee:YE5303_07241
ko:K03503	yee:YE5303_12641
ko:K07014	yee:YE5303_12661
ko:K09904	yee:YE5303_12671
ko:K06899	yee:YE5303_12681
ko:K02897	yee:YE5303_12701
ko:K06183	yee:YE5303_12721
ko:K07552	yee:YE5303_12731
ko:K13896	yee:YE5303_12751
ko:K13895	yee:YE5303_12761
ko:K13894	yee:YE5303_12771
ko:K13893	yee:YE5303_12781
ko:K13694	yee:YE5303_12811
ko:K13637	yee:YE5303_12851
ko:K00040	yee:YE5303_12861
ko:K01686	yee:YE5303_12881
ko:K02356	yee:YE5303_12891
ko:K03835	yee:YE5303_12901
ko:K06940	yee:YE5303_12911
ko:K07812	yee:YE5303_12931
ko:K03532	yee:YE5303_12941
ko:K02768	yee:YE5303_12961
ko:K11183	yee:YE5303_12961
ko:K00882	yee:YE5303_12971
ko:K02769	yee:YE5303_12981
ko:K02770	yee:YE5303_12981
ko:K07347	yee:YE5303_13031
ko:K01151	yee:YE5303_13041
ko:K11733	yee:YE5303_13071
ko:K02015	yee:YE5303_13081
ko:K02013	yee:YE5303_13091
ko:K16089	yee:YE5303_13101
ko:K15835	yee:YE5303_02741
ko:K01207	yee:YE5303_02751
ko:K03086	yee:YE5303_02781
ko:K02970	yee:YE5303_02801
ko:K01409	yee:YE5303_02811
ko:K08591	yee:YE5303_02821
ko:K01633	yee:YE5303_02831
ko:K06153	yee:YE5303_02841
ko:K00974	yee:YE5303_02851
ko:K07184	yee:YE5303_02861
ko:K18446	yee:YE5303_02871
ko:K00982	yee:YE5303_02881
ko:K03272	yee:YE5303_02891
ko:K16263	yee:YE5303_02901
ko:K09806	yee:YE5303_02911
ko:K02858	yee:YE5303_02921
ko:K12340	yee:YE5303_02961
ko:K01515	yee:YE5303_02971
ko:K09920	yee:YE5303_02981
ko:K03651	yee:YE5303_02991
ko:K07000	yee:YE5303_03001
ko:K02622	yee:YE5303_03011
ko:K03923	yee:YE5303_03041
ko:K02621	yee:YE5303_03051
ko:K03311	yee:YE5303_36371
ko:K02040	yee:YE5303_36381
ko:K07636	yee:YE5303_36391
ko:K07657	yee:YE5303_36401
ko:K03547	yee:YE5303_36411
ko:K00847	yee:YE5303_36431
ko:K03554	yee:YE5303_36441
ko:K09913	yee:YE5303_36451
ko:K00891	yee:YE5303_36461
ko:K02014	yee:YE5303_36471
ko:K02016	yee:YE5303_36481
ko:K13688	yee:YE5303_36541
ko:K01232	yee:YE5303_36561
ko:K02749	yee:YE5303_36571
ko:K02750	yee:YE5303_36571
ko:K03482	yee:YE5303_36581
ko:K00147	yee:YE5303_36591
ko:K00931	yee:YE5303_36601
ko:K11926	yee:YE5303_36611
ko:K11750	yee:YE5303_36621
ko:K00769	yee:YE5303_36631
ko:K01270	yee:YE5303_36641
ko:K02346	yee:YE5303_36651
ko:K01921	yee:YE5303_36691
ko:K05952	yee:YE5303_36711
ko:K03734	yee:YE5303_36721
ko:K00351	yee:YE5303_36731
ko:K00350	yee:YE5303_36741
ko:K00349	yee:YE5303_36751
ko:K00348	yee:YE5303_36761
ko:K00347	yee:YE5303_36771
ko:K00346	yee:YE5303_36781
ko:K03271	yee:YE5303_36811
ko:K01676	yee:YE5303_25101
ko:K01999	yee:YE5303_25111
ko:K01997	yee:YE5303_25121
ko:K01998	yee:YE5303_25131
ko:K01995	yee:YE5303_25141
ko:K01996	yee:YE5303_25151
ko:K01999	yee:YE5303_25171
ko:K02812	yee:YE5303_25211
ko:K02813	yee:YE5303_25221
ko:K02814	yee:YE5303_25231
ko:K02815	yee:YE5303_25241
ko:K02355	yee:YE5303_25271
ko:K07483	yee:YE5303_25292
ko:K09967	yee:YE5303_25321
ko:K06016	yee:YE5303_25331
ko:K02028	yee:YE5303_25341
ko:K02029	yee:YE5303_25351
ko:K02029	yee:YE5303_25361
ko:K02030	yee:YE5303_25371
ko:K01753	yee:YE5303_25381
ko:K13629	yee:YE5303_25391
ko:K13636	yee:YE5303_25401
ko:K00059	yee:YE5303_25421
ko:K02078	yee:YE5303_25431
ko:K09458	yee:YE5303_25451
ko:K05685	yee:YE5303_25471
ko:K13888	yee:YE5303_25481
ko:K03673	yee:YE5303_25511
ko:K05365	yee:YE5303_26101
ko:K03579	yee:YE5303_26111
ko:K01975	yee:YE5303_26121
ko:K06206	yee:YE5303_26131
ko:K06204	yee:YE5303_26141
ko:K01894	yee:YE5303_26151
ko:K00970	yee:YE5303_26161
ko:K00950	yee:YE5303_26171
ko:K00606	yee:YE5303_26181
ko:K01918	yee:YE5303_26191
ko:K01579	yee:YE5303_26201
ko:K01992	yee:YE5303_26221
ko:K01990	yee:YE5303_26231
ko:K01673	yee:YE5303_26241
ko:K00760	yee:YE5303_26251
ko:K14588	yee:YE5303_26271
ko:K00797	yee:YE5303_26291
ko:K01611	yee:YE5303_26301
ko:K15125	yee:YE5303_26361
ko:K09910	yee:YE5303_26391
ko:K01682	yee:YE5303_26401
ko:K00382	yee:YE5303_26431
ko:K00627	yee:YE5303_26441
ko:K00163	yee:YE5303_26451
ko:K11734	yee:YE5303_26471
ko:K03807	yee:YE5303_26481
ko:K03806	yee:YE5303_26491
ko:K00767	yee:YE5303_26501
ko:K02682	yee:YE5303_26511
ko:K02504	yee:YE5303_26521
ko:K00364	yee:YE5303_26541
ko:K00859	yee:YE5303_26551
ko:K18778	yee:YE5303_26561
ko:K09862	yee:YE5303_26571
ko:K03574	yee:YE5303_26581
ko:K03070	yee:YE5303_26591
ko:K13301	yee:YE5303_26601
ko:K06195	yee:YE5303_27091
ko:K01525	yee:YE5303_27101
ko:K01955	yee:YE5303_27151
ko:K01956	yee:YE5303_27161
ko:K00215	yee:YE5303_27171
ko:K03527	yee:YE5303_27181
ko:K03774	yee:YE5303_27191
ko:K03101	yee:YE5303_27201
ko:K01870	yee:YE5303_27211
ko:K11753	yee:YE5303_27221
ko:K02968	yee:YE5303_27231
ko:K03717	yee:YE5303_27241
ko:K03313	yee:YE5303_27251
ko:K03686	yee:YE5303_27261
ko:K04043	yee:YE5303_27271
ko:K07034	yee:YE5303_27281
ko:K03831	yee:YE5303_27311
ko:K00616	yee:YE5303_27321
ko:K09861	yee:YE5303_27331
ko:K01733	yee:YE5303_27341
ko:K00872	yee:YE5303_27351
ko:K12524	yee:YE5303_27361
ko:K07773	yee:YE5303_27381
ko:K05805	yee:YE5303_27391
ko:K05804	yee:YE5303_27401
ko:K03720	yee:YE5303_27431
ko:K08309	yee:YE5303_27441
ko:K06211	yee:YE5303_27521
ko:K04485	yee:YE5303_27531
ko:K01079	yee:YE5303_27541
ko:K07186	yee:YE5303_27551
ko:K03784	yee:YE5303_27561
ko:K01839	yee:YE5303_27571
ko:K00758	yee:YE5303_27581
ko:K02043	yee:YE5303_28621
ko:K06166	yee:YE5303_28631
ko:K06165	yee:YE5303_28641
ko:K06164	yee:YE5303_28651
ko:K06163	yee:YE5303_28661
ko:K05781	yee:YE5303_28671
ko:K05780	yee:YE5303_28681
ko:K06162	yee:YE5303_28691
ko:K05774	yee:YE5303_28701
ko:K06167	yee:YE5303_28711
ko:K09979	yee:YE5303_28741
ko:K10112	yee:YE5303_28761
ko:K02026	yee:YE5303_28771
ko:K02025	yee:YE5303_28781
ko:K02027	yee:YE5303_28791
ko:K01581	yee:YE5303_28821
ko:K03756	yee:YE5303_28831
ko:K07461	yee:YE5303_28841
ko:K03824	yee:YE5303_28851
ko:K08303	yee:YE5303_28871
ko:K18139	yee:YE5303_28911
ko:K03585	yee:YE5303_28931
ko:K05592	yee:YE5303_28961
ko:K05803	yee:YE5303_28971
ko:K00962	yee:YE5303_28981
ko:K02956	yee:YE5303_28991
ko:K03177	yee:YE5303_29001
ko:K02834	yee:YE5303_29011
ko:K02519	yee:YE5303_29021
ko:K02600	yee:YE5303_29031
ko:K09748	yee:YE5303_29041
ko:K03075	yee:YE5303_29051
ko:K03431	yee:YE5303_29061
ko:K00796	yee:YE5303_29071
ko:K03798	yee:YE5303_29081
ko:K02427	yee:YE5303_29091
ko:K07574	yee:YE5303_29101
ko:K03630	yee:YE5303_30261
ko:K18838	yee:YE5303_30271
ko:K18837	yee:YE5303_30281
ko:K07644	yee:YE5303_30351
ko:K07665	yee:YE5303_30361
ko:K07796	yee:YE5303_30371
ko:K07810	yee:YE5303_30381
ko:K07798	yee:YE5303_30391
ko:K07787	yee:YE5303_30401
ko:K17686	yee:YE5303_30421
ko:K07233	yee:YE5303_30461
ko:K07156	yee:YE5303_30471
ko:K07245	yee:YE5303_30481
ko:K07665	yee:YE5303_30491
ko:K07644	yee:YE5303_30501
ko:K07227	yee:YE5303_30561
ko:K16087	yee:YE5303_30591
ko:K07225	yee:YE5303_30601
ko:K02016	yee:YE5303_30611
ko:K02015	yee:YE5303_30621
ko:K02013	yee:YE5303_30631
ko:K02014	yee:YE5303_30651
ko:K02992	yee:YE5303_37631
ko:K02950	yee:YE5303_37641
ko:K07237	yee:YE5303_37651
ko:K07236	yee:YE5303_37661
ko:K07235	yee:YE5303_37671
ko:K03772	yee:YE5303_37691
ko:K03745	yee:YE5303_37701
ko:K03775	yee:YE5303_37711
ko:K07070	yee:YE5303_37721
ko:K11747	yee:YE5303_37731
ko:K11748	yee:YE5303_37741
ko:K06158	yee:YE5303_37751
ko:K03119	yee:YE5303_37781
ko:K15552	yee:YE5303_37791
ko:K10831	yee:YE5303_37801
ko:K15551	yee:YE5303_37811
ko:K07019	yee:YE5303_37841
ko:K09898	yee:YE5303_37851
ko:K00855	yee:YE5303_37861
ko:K07397	yee:YE5303_37871
ko:K10914	yee:YE5303_37881
ko:K01664	yee:YE5303_37911
ko:K06915	yee:YE5303_37921
ko:K03767	yee:YE5303_37931
ko:K01222	yee:YE5303_37941
ko:K06141	yee:YE5303_37961
ko:K01485	yee:YE5303_37971
ko:K01056	yee:YE5303_16231
ko:K00948	yee:YE5303_16251
ko:K00919	yee:YE5303_16261
ko:K02494	yee:YE5303_16271
ko:K02492	yee:YE5303_16281
ko:K02835	yee:YE5303_16291
ko:K02493	yee:YE5303_16301
ko:K01627	yee:YE5303_16331
ko:K03321	yee:YE5303_16341
ko:K18967	yee:YE5303_16351
ko:K12972	yee:YE5303_16371
ko:K04477	yee:YE5303_16381
ko:K08162	yee:YE5303_16411
ko:K03790	yee:YE5303_16451
ko:K03980	yee:YE5303_16471
ko:K01887	yee:YE5303_16481
ko:K09907	yee:YE5303_16491
ko:K06201	yee:YE5303_16501
ko:K15257	yee:YE5303_16511
ko:K15256	yee:YE5303_16521
ko:K07136	yee:YE5303_16531
ko:K01876	yee:YE5303_16561
ko:K08310	yee:YE5303_16571
ko:K01159	yee:YE5303_16591
ko:K03550	yee:YE5303_16601
ko:K03551	yee:YE5303_16611
ko:K03305	yee:YE5303_16621
ko:K09816	yee:YE5303_16631
ko:K09817	yee:YE5303_16641
ko:K09815	yee:YE5303_16651
ko:K02560	yee:YE5303_16671
ko:K00873	yee:YE5303_16681
ko:K00036	yee:YE5303_16701
ko:K01625	yee:YE5303_16711
ko:K11743	yee:YE5303_16721
ko:K00134	yee:YE5303_17461
ko:K07305	yee:YE5303_17471
ko:K09916	yee:YE5303_17481
ko:K08281	yee:YE5303_17501
ko:K01424	yee:YE5303_17511
ko:K04773	yee:YE5303_17521
ko:K01008	yee:YE5303_17541
ko:K03169	yee:YE5303_17551
ko:K08320	yee:YE5303_17571
ko:K01142	yee:YE5303_17581
ko:K01433	yee:YE5303_17601
ko:K09858	yee:YE5303_17611
ko:K07001	yee:YE5303_17631
ko:K00012	yee:YE5303_17651
ko:K03746	yee:YE5303_17661
ko:K04072	yee:YE5303_17691
ko:K15580	yee:YE5303_17711
ko:K15580	yee:YE5303_17721
ko:K15581	yee:YE5303_17731
ko:K15582	yee:YE5303_17741
ko:K15583	yee:YE5303_17751
ko:K10823	yee:YE5303_17761
ko:K09901	yee:YE5303_17771
ko:K06131	yee:YE5303_17781
ko:K01147	yee:YE5303_18321
ko:K10773	yee:YE5303_18371
ko:K03613	yee:YE5303_18381
ko:K03612	yee:YE5303_18391
ko:K03614	yee:YE5303_18401
ko:K03615	yee:YE5303_18421
ko:K03616	yee:YE5303_18431
ko:K03617	yee:YE5303_18441
ko:K01938	yee:YE5303_18461
ko:K12530	yee:YE5303_18471
ko:K12532	yee:YE5303_18481
ko:K12531	yee:YE5303_18491
ko:K01804	yee:YE5303_18501
ko:K00853	yee:YE5303_18511
ko:K10537	yee:YE5303_18521
ko:K10539	yee:YE5303_18531
ko:K10538	yee:YE5303_18541
ko:K02099	yee:YE5303_18551
ko:K14347	yee:YE5303_18571
ko:K01488	yee:YE5303_18581
ko:K14155	yee:YE5303_18591
ko:K16136	yee:YE5303_18611
ko:K18234	yee:YE5303_18621
ko:K01809	yee:YE5303_18641
ko:K01679	yee:YE5303_18651
ko:K10748	yee:YE5303_18671
ko:K17836	yee:YE5303_18681
ko:K08224	yee:YE5303_18701
ko:K15545	yee:YE5303_18721
ko:K01935	yee:YE5303_18731
ko:K03281	yee:YE5303_18741
ko:K09771	yee:YE5303_18781
ko:K16066	yee:YE5303_18791
ko:K00655	yee:YE5303_03061
ko:K06221	yee:YE5303_03091
ko:K08325	yee:YE5303_03101
ko:K01760	yee:YE5303_03131
ko:K03561	yee:YE5303_03141
ko:K03559	yee:YE5303_03151
ko:K12515	yee:YE5303_03161
ko:K12514	yee:YE5303_03171
ko:K12513	yee:YE5303_03181
ko:K12512	yee:YE5303_03191
ko:K12511	yee:YE5303_03201
ko:K12510	yee:YE5303_03211
ko:K02283	yee:YE5303_03221
ko:K02282	yee:YE5303_03231
ko:K07715	yee:YE5303_07911
ko:K01950	yee:YE5303_07921
ko:K04751	yee:YE5303_07931
ko:K07048	yee:YE5303_07961
ko:K05916	yee:YE5303_08001
ko:K00600	yee:YE5303_08011
ko:K05820	yee:YE5303_08021
ko:K01092	yee:YE5303_08061
ko:K15396	yee:YE5303_08071
ko:K13643	yee:YE5303_08081
ko:K04487	yee:YE5303_08091
ko:K04488	yee:YE5303_08101
ko:K13628	yee:YE5303_08111
ko:K04082	yee:YE5303_08121
ko:K04044	yee:YE5303_08131
ko:K04755	yee:YE5303_08141
ko:K07751	yee:YE5303_08161
ko:K06894	yee:YE5303_08191
ko:K05367	yee:YE5303_08201
ko:K00940	yee:YE5303_08221
ko:K06941	yee:YE5303_08231
ko:K02656	yee:YE5303_08241
ko:K15539	yee:YE5303_08251
ko:K03526	yee:YE5303_08261
ko:K01892	yee:YE5303_08271
ko:K17713	yee:YE5303_08291
ko:K03977	yee:YE5303_08301
ko:K07088	yee:YE5303_08311
ko:K03601	yee:YE5303_08331
ko:K00088	yee:YE5303_08341
ko:K01951	yee:YE5303_08351
ko:K00941	yee:YE5303_08421
ko:K00384	yee:YE5303_13631
ko:K03719	yee:YE5303_13641
ko:K03466	yee:YE5303_13651
ko:K03634	yee:YE5303_13661
ko:K07478	yee:YE5303_13671
ko:K01875	yee:YE5303_13681
ko:K08219	yee:YE5303_13691
ko:K04069	yee:YE5303_13701
ko:K00656	yee:YE5303_13711
ko:K06212	yee:YE5303_13721
ko:K09136	yee:YE5303_13731
ko:K01424	yee:YE5303_13741
ko:K00831	yee:YE5303_13761
ko:K00800	yee:YE5303_13771
ko:K00945	yee:YE5303_13781
ko:K02945	yee:YE5303_13791
ko:K05788	yee:YE5303_13801
ko:K02238	yee:YE5303_13811
ko:K11085	yee:YE5303_13821
ko:K00912	yee:YE5303_13831
ko:K03704	yee:YE5303_13851
ko:K03704	yee:YE5303_13861
ko:K09791	yee:YE5303_13871
ko:K00979	yee:YE5303_13881
ko:K06219	yee:YE5303_13911
