ko:K00130	sauy:SAI8T7_1019490
ko:K03320	sauy:SAI8T7_1014990
ko:K07112	sauy:SAI8T7_1015000
ko:K01926	sauy:SAI8T7_1015010
ko:K06158	sauy:SAI8T7_1015020
ko:K01409	sauy:SAI8T7_1015040
ko:K06925	sauy:SAI8T7_1015060
ko:K01687	sauy:SAI8T7_1015070
ko:K01652	sauy:SAI8T7_1015080
ko:K00053	sauy:SAI8T7_1015090
ko:K01649	sauy:SAI8T7_1015100
ko:K00052	sauy:SAI8T7_1015110
ko:K01703	sauy:SAI8T7_1015120
ko:K01704	sauy:SAI8T7_1015130
ko:K01754	sauy:SAI8T7_1015140
ko:K02803	sauy:SAI8T7_1012640
ko:K02804	sauy:SAI8T7_1012640
ko:K00655	sauy:SAI8T7_1012650
ko:K11936	sauy:SAI8T7_1019980
ko:K11755	sauy:SAI8T7_1020020
ko:K02500	sauy:SAI8T7_1020030
ko:K01814	sauy:SAI8T7_1020040
ko:K02501	sauy:SAI8T7_1020050
ko:K01693	sauy:SAI8T7_1020060
ko:K00817	sauy:SAI8T7_1020070
ko:K00013	sauy:SAI8T7_1020080
ko:K00765	sauy:SAI8T7_1020090
ko:K16785	sauy:SAI8T7_1020130
ko:K16786	sauy:SAI8T7_1020140
ko:K16787	sauy:SAI8T7_1020140
ko:K16924	sauy:SAI8T7_1020150
ko:K02352	sauy:SAI8T7_1020180
ko:K07146	sauy:SAI8T7_1020190
ko:K01304	sauy:SAI8T7_1020200
ko:K03319	sauy:SAI8T7_1020230
ko:K05786	sauy:SAI8T7_1020240
ko:K07241	sauy:SAI8T7_1020260
ko:K11631	sauy:SAI8T7_1020290
ko:K11632	sauy:SAI8T7_1020300
ko:K03501	sauy:SAI8T7_1020330
ko:K03495	sauy:SAI8T7_1020340
ko:K03650	sauy:SAI8T7_1020350
ko:K01534	sauy:SAI8T7_20020
ko:K08167	sauy:SAI8T7_20080
ko:K13012	sauy:SAI8T7_1001160
ko:K01784	sauy:SAI8T7_1001170
ko:K02472	sauy:SAI8T7_1001180
ko:K01791	sauy:SAI8T7_1001190
ko:K00128	sauy:SAI8T7_1001200
ko:K16264	sauy:SAI8T7_1001210
ko:K02049	sauy:SAI8T7_1001230
ko:K02051	sauy:SAI8T7_1001240
ko:K02050	sauy:SAI8T7_1001250
ko:K00122	sauy:SAI8T7_1001270
ko:K08996	sauy:SAI8T7_1001310
ko:K00930	sauy:SAI8T7_1001320
ko:K00620	sauy:SAI8T7_1001330
ko:K00145	sauy:SAI8T7_1001340
ko:K00819	sauy:SAI8T7_1001350
ko:K03311	sauy:SAI8T7_1001360
ko:K09963	sauy:SAI8T7_1001400
ko:K07106	sauy:SAI8T7_1001410
ko:K02809	sauy:SAI8T7_1001420
ko:K02810	sauy:SAI8T7_1001420
ko:K01153	sauy:SAI8T7_1001440
ko:K02005	sauy:SAI8T7_1001460
ko:K02003	sauy:SAI8T7_1001470
ko:K02004	sauy:SAI8T7_1001480
ko:K01990	sauy:SAI8T7_1001510
ko:K02031	sauy:SAI8T7_1001520
ko:K02032	sauy:SAI8T7_1001520
ko:K02033	sauy:SAI8T7_1001530
ko:K02034	sauy:SAI8T7_1001540
ko:K02035	sauy:SAI8T7_1001550
ko:K01118	sauy:SAI8T7_1001580
ko:K10112	sauy:SAI8T7_1001600
ko:K15770	sauy:SAI8T7_1001610
ko:K15771	sauy:SAI8T7_1001620
ko:K06168	sauy:SAI8T7_1009300
ko:K03555	sauy:SAI8T7_1009320
ko:K03572	sauy:SAI8T7_1009330
ko:K02443	sauy:SAI8T7_1009340
ko:K02440	sauy:SAI8T7_1009350
ko:K00864	sauy:SAI8T7_1009360
ko:K00111	sauy:SAI8T7_1009370
ko:K00791	sauy:SAI8T7_1009390
ko:K00432	sauy:SAI8T7_1009400
ko:K03665	sauy:SAI8T7_1009410
ko:K01915	sauy:SAI8T7_1009440
ko:K01620	sauy:SAI8T7_1009450
ko:K06131	sauy:SAI8T7_1009460
ko:K01990	sauy:SAI8T7_1009470
ko:K01992	sauy:SAI8T7_1009480
ko:K07778	sauy:SAI8T7_1009490
ko:K00928	sauy:SAI8T7_1009540
ko:K00003	sauy:SAI8T7_1009550
ko:K01733	sauy:SAI8T7_1009560
ko:K00872	sauy:SAI8T7_1009570
ko:K03781	sauy:SAI8T7_1009600
ko:K00364	sauy:SAI8T7_1009610
ko:K01356	sauy:SAI8T7_1009630
ko:K00615	sauy:SAI8T7_1009640
ko:K03547	sauy:SAI8T7_1009660
ko:K05020	sauy:SAI8T7_1009690
ko:K01681	sauy:SAI8T7_1009700
ko:K07107	sauy:SAI8T7_1009710
ko:K08591	sauy:SAI8T7_1009720
ko:K02622	sauy:SAI8T7_1009730
ko:K02621	sauy:SAI8T7_1009740
ko:K03310	sauy:SAI8T7_1009750
ko:K03480	sauy:SAI8T7_1009760
ko:K14205	sauy:SAI8T7_1009780
ko:K07304	sauy:SAI8T7_1009790
ko:K07052	sauy:SAI8T7_1017060
ko:K03453	sauy:SAI8T7_1017110
ko:K02749	sauy:SAI8T7_1017130
ko:K02750	sauy:SAI8T7_1017130
ko:K03481	sauy:SAI8T7_1017140
ko:K01468	sauy:SAI8T7_1017210
ko:K01712	sauy:SAI8T7_1017220
ko:K11210	sauy:SAI8T7_1017240
ko:K01479	sauy:SAI8T7_1017250
ko:K01807	sauy:SAI8T7_1017270
ko:K01785	sauy:SAI8T7_1017290
ko:K01992	sauy:SAI8T7_1017300
ko:K01990	sauy:SAI8T7_1017310
ko:K03652	sauy:SAI8T7_1017330
ko:K03312	sauy:SAI8T7_1017340
ko:K01823	sauy:SAI8T7_1017350
ko:K03284	sauy:SAI8T7_1017360
ko:K07107	sauy:SAI8T7_1017370
ko:K07552	sauy:SAI8T7_1017430
ko:K09814	sauy:SAI8T7_1017460
ko:K09813	sauy:SAI8T7_1017470
ko:K00116	sauy:SAI8T7_1017510
ko:K03303	sauy:SAI8T7_1017520
ko:K05577	sauy:SAI8T7_1003290
ko:K09822	sauy:SAI8T7_1003300
ko:K03928	sauy:SAI8T7_1003330
ko:K03308	sauy:SAI8T7_1003340
ko:K17216	sauy:SAI8T7_1003350
ko:K17217	sauy:SAI8T7_1003360
ko:K02071	sauy:SAI8T7_1003370
ko:K02072	sauy:SAI8T7_1003380
ko:K02073	sauy:SAI8T7_1003390
ko:K00265	sauy:SAI8T7_1003450
ko:K00266	sauy:SAI8T7_1003460
ko:K02818	sauy:SAI8T7_1003480
ko:K02819	sauy:SAI8T7_1003480
ko:K01226	sauy:SAI8T7_1003490
ko:K03486	sauy:SAI8T7_1003500
ko:K02343	sauy:SAI8T7_1003520
ko:K06187	sauy:SAI8T7_1003530
ko:K00943	sauy:SAI8T7_1003580
ko:K02341	sauy:SAI8T7_1003590
ko:K07056	sauy:SAI8T7_1003620
ko:K01874	sauy:SAI8T7_1003630
ko:K03424	sauy:SAI8T7_1003640
ko:K05985	sauy:SAI8T7_1003650
ko:K02528	sauy:SAI8T7_1003660
ko:K00919	sauy:SAI8T7_1003670
ko:K09685	sauy:SAI8T7_1003680
ko:K04042	sauy:SAI8T7_1003690
ko:K00845	sauy:SAI8T7_1011230
ko:K12553	sauy:SAI8T7_1011260
ko:K04564	sauy:SAI8T7_1011270
ko:K09816	sauy:SAI8T7_1011280
ko:K09817	sauy:SAI8T7_1011290
ko:K01151	sauy:SAI8T7_1011300
ko:K06967	sauy:SAI8T7_1011330
ko:K03086	sauy:SAI8T7_1011340
ko:K09773	sauy:SAI8T7_1011360
ko:K01880	sauy:SAI8T7_1011380
ko:K03584	sauy:SAI8T7_1011390
ko:K09761	sauy:SAI8T7_1011460
ko:K02687	sauy:SAI8T7_1011470
ko:K03686	sauy:SAI8T7_1011480
ko:K04043	sauy:SAI8T7_1011490
ko:K03687	sauy:SAI8T7_1011500
ko:K03705	sauy:SAI8T7_1011510
ko:K03596	sauy:SAI8T7_1011530
ko:K02340	sauy:SAI8T7_1011540
ko:K02238	sauy:SAI8T7_1011550
ko:K02237	sauy:SAI8T7_1011570
ko:K00969	sauy:SAI8T7_1011600
ko:K00014	sauy:SAI8T7_1011610
ko:K06948	sauy:SAI8T7_1011620
ko:K07015	sauy:SAI8T7_1011630
ko:K01243	sauy:SAI8T7_1011640
ko:K07160	sauy:SAI8T7_1011670
ko:K01961	sauy:SAI8T7_1011680
ko:K03624	sauy:SAI8T7_1011710
ko:K10209	sauy:SAI8T7_1019040
ko:K10208	sauy:SAI8T7_1019050
ko:K10211	sauy:SAI8T7_1019060
ko:K10210	sauy:SAI8T7_1019070
ko:K10212	sauy:SAI8T7_1019080
ko:K07035	sauy:SAI8T7_1019130
ko:K07045	sauy:SAI8T7_1019190
ko:K00226	sauy:SAI8T7_1019250
ko:K01258	sauy:SAI8T7_1005780
ko:K02851	sauy:SAI8T7_1005820
ko:K02240	sauy:SAI8T7_1005850
ko:K02242	sauy:SAI8T7_1005860
ko:K03070	sauy:SAI8T7_1005880
ko:K02836	sauy:SAI8T7_1005890
ko:K07023	sauy:SAI8T7_1005910
ko:K03702	sauy:SAI8T7_1005920
ko:K03701	sauy:SAI8T7_1005930
ko:K06023	sauy:SAI8T7_1005940
ko:K13292	sauy:SAI8T7_1005950
ko:K00384	sauy:SAI8T7_1005980
ko:K09762	sauy:SAI8T7_1006010
ko:K01358	sauy:SAI8T7_1006030
ko:K07071	sauy:SAI8T7_1006040
ko:K05311	sauy:SAI8T7_1006060
ko:K00134	sauy:SAI8T7_1006070
ko:K00927	sauy:SAI8T7_1006080
ko:K01803	sauy:SAI8T7_1006090
ko:K15633	sauy:SAI8T7_1006100
ko:K01689	sauy:SAI8T7_1006110
ko:K03928	sauy:SAI8T7_1006130
ko:K12573	sauy:SAI8T7_1006140
ko:K06895	sauy:SAI8T7_1006260
ko:K03785	sauy:SAI8T7_1006280
ko:K06180	sauy:SAI8T7_1013690
ko:K01679	sauy:SAI8T7_1013700
ko:K03216	sauy:SAI8T7_1013720
ko:K02028	sauy:SAI8T7_1013740
ko:K02029	sauy:SAI8T7_1013750
ko:K02030	sauy:SAI8T7_1013750
ko:K07035	sauy:SAI8T7_1013760
ko:K03564	sauy:SAI8T7_1014080
ko:K01845	sauy:SAI8T7_1014090
ko:K11085	sauy:SAI8T7_1014110
ko:K07586	sauy:SAI8T7_1014120
ko:K03575	sauy:SAI8T7_1014130
ko:K07038	sauy:SAI8T7_1014140
ko:K09693	sauy:SAI8T7_1014160
ko:K03565	sauy:SAI8T7_1014170
ko:K09765	sauy:SAI8T7_1019260
ko:K06978	sauy:SAI8T7_1019280
ko:K04763	sauy:SAI8T7_1019350
ko:K01918	sauy:SAI8T7_1019370
ko:K00606	sauy:SAI8T7_1019380
ko:K00077	sauy:SAI8T7_1019390
ko:K01575	sauy:SAI8T7_1019400
ko:K00016	sauy:SAI8T7_1019410
ko:K03294	sauy:SAI8T7_1019420
ko:K00823	sauy:SAI8T7_1019430
ko:K01623	sauy:SAI8T7_1019440
ko:K00116	sauy:SAI8T7_1019450
ko:K01895	sauy:SAI8T7_1019460
ko:K01745	sauy:SAI8T7_1000070
ko:K01875	sauy:SAI8T7_1000080
ko:K00641	sauy:SAI8T7_1000100
ko:K01939	sauy:SAI8T7_1000140
ko:K07668	sauy:SAI8T7_1000170
ko:K07652	sauy:SAI8T7_1000180
ko:K00783	sauy:SAI8T7_1000240
ko:K01126	sauy:SAI8T7_1000260
ko:K02545	sauy:SAI8T7_1000270
ko:K07090	sauy:SAI8T7_1000380
ko:K00712	sauy:SAI8T7_1000400
ko:K01929	sauy:SAI8T7_1000420
ko:K07090	sauy:SAI8T7_1000440
ko:K17218	sauy:SAI8T7_1000470
ko:K01771	sauy:SAI8T7_1000520
ko:K08170	sauy:SAI8T7_1000600
ko:K03324	sauy:SAI8T7_1000610
ko:K00611	sauy:SAI8T7_1008300
ko:K00926	sauy:SAI8T7_1008310
ko:K11041	sauy:SAI8T7_1008330
ko:K07025	sauy:SAI8T7_1008350
ko:K03438	sauy:SAI8T7_1008370
ko:K12552	sauy:SAI8T7_1008380
ko:K01000	sauy:SAI8T7_1008390
ko:K01925	sauy:SAI8T7_1008400
ko:K03589	sauy:SAI8T7_1008410
ko:K03590	sauy:SAI8T7_1008420
ko:K03531	sauy:SAI8T7_1008430
ko:K05810	sauy:SAI8T7_1008440
ko:K06997	sauy:SAI8T7_1008450
ko:K09772	sauy:SAI8T7_1008460
ko:K04074	sauy:SAI8T7_1008480
ko:K01870	sauy:SAI8T7_1008490
ko:K03101	sauy:SAI8T7_1008500
ko:K06180	sauy:SAI8T7_1008510
ko:K02825	sauy:SAI8T7_1008520
ko:K02824	sauy:SAI8T7_1008530
ko:K00609	sauy:SAI8T7_1008540
ko:K01465	sauy:SAI8T7_1008550
ko:K01956	sauy:SAI8T7_1008560
ko:K01955	sauy:SAI8T7_1008570
ko:K01591	sauy:SAI8T7_1008580
ko:K00762	sauy:SAI8T7_1008590
ko:K00942	sauy:SAI8T7_1008610
ko:K13038	sauy:SAI8T7_1008620
ko:K04066	sauy:SAI8T7_1008630
ko:K01462	sauy:SAI8T7_1008650
ko:K00604	sauy:SAI8T7_1008660
ko:K03500	sauy:SAI8T7_1008670
ko:K06941	sauy:SAI8T7_1008680
ko:K06949	sauy:SAI8T7_1008710
ko:K01783	sauy:SAI8T7_1008720
ko:K07030	sauy:SAI8T7_1008740
ko:K03655	sauy:SAI8T7_1008750
ko:K03621	sauy:SAI8T7_1008770
ko:K00645	sauy:SAI8T7_1008780
ko:K00059	sauy:SAI8T7_1008790
ko:K11068	sauy:SAI8T7_1016110
ko:K07038	sauy:SAI8T7_1016130
ko:K02015	sauy:SAI8T7_1016150
ko:K02015	sauy:SAI8T7_1016160
ko:K02016	sauy:SAI8T7_1016170
ko:K01220	sauy:SAI8T7_1016280
ko:K02787	sauy:SAI8T7_1016290
ko:K02788	sauy:SAI8T7_1016290
ko:K01635	sauy:SAI8T7_1016300
ko:K00917	sauy:SAI8T7_1016310
ko:K01819	sauy:SAI8T7_1016320
ko:K02530	sauy:SAI8T7_1016330
ko:K12410	sauy:SAI8T7_1016340
ko:K01727	sauy:SAI8T7_1016370
ko:K01575	sauy:SAI8T7_1016400
ko:K01652	sauy:SAI8T7_1016410
ko:K06173	sauy:SAI8T7_1016470
ko:K16785	sauy:SAI8T7_1016480
ko:K16787	sauy:SAI8T7_1016490
ko:K16786	sauy:SAI8T7_1016500
ko:K03040	sauy:SAI8T7_1016510
ko:K00939	sauy:SAI8T7_1016520
ko:K03076	sauy:SAI8T7_1016530
ko:K02988	sauy:SAI8T7_1016540
ko:K02933	sauy:SAI8T7_1016550
ko:K02931	sauy:SAI8T7_1016560
ko:K09936	sauy:SAI8T7_1004780
ko:K05565	sauy:SAI8T7_1004800
ko:K05568	sauy:SAI8T7_1004810
ko:K05569	sauy:SAI8T7_1004820
ko:K05571	sauy:SAI8T7_1004830
ko:K03316	sauy:SAI8T7_1004840
ko:K03709	sauy:SAI8T7_1004890
ko:K05946	sauy:SAI8T7_1004910
ko:K09693	sauy:SAI8T7_1004920
ko:K07258	sauy:SAI8T7_1004960
ko:K18104	sauy:SAI8T7_1004970
ko:K16323	sauy:SAI8T7_1004980
ko:K02013	sauy:SAI8T7_1005000
ko:K02015	sauy:SAI8T7_1005010
ko:K02015	sauy:SAI8T7_1005020
ko:K05878	sauy:SAI8T7_1005030
ko:K05879	sauy:SAI8T7_1005040
ko:K07220	sauy:SAI8T7_1005140
ko:K03306	sauy:SAI8T7_1005150
ko:K06890	sauy:SAI8T7_1005170
ko:K09705	sauy:SAI8T7_1005200
ko:K09793	sauy:SAI8T7_1005240
ko:K06966	sauy:SAI8T7_1005270
ko:K01866	sauy:SAI8T7_1012670
ko:K12551	sauy:SAI8T7_1012680
ko:K01938	sauy:SAI8T7_1012700
ko:K01895	sauy:SAI8T7_1012710
ko:K04766	sauy:SAI8T7_1012720
ko:K04768	sauy:SAI8T7_1012730
ko:K02529	sauy:SAI8T7_1012740
ko:K13853	sauy:SAI8T7_1012750
ko:K01924	sauy:SAI8T7_1012780
ko:K03466	sauy:SAI8T7_1012790
ko:K06878	sauy:SAI8T7_1012800
ko:K01261	sauy:SAI8T7_1012820
ko:K03439	sauy:SAI8T7_1012840
ko:K00824	sauy:SAI8T7_1012860
ko:K01439	sauy:SAI8T7_1012870
ko:K06183	sauy:SAI8T7_1012880
ko:K07007	sauy:SAI8T7_1012900
ko:K01869	sauy:SAI8T7_1012920
ko:K07139	sauy:SAI8T7_1012940
ko:K00318	sauy:SAI8T7_1012980
ko:K14652	sauy:SAI8T7_1012990
ko:K00793	sauy:SAI8T7_1013000
ko:K11752	sauy:SAI8T7_1013010
ko:K03893	sauy:SAI8T7_1013030
ko:K07052	sauy:SAI8T7_1013070
ko:K00616	sauy:SAI8T7_1013080
ko:K00789	sauy:SAI8T7_1013120
ko:K01610	sauy:SAI8T7_1013130
ko:K02003	sauy:SAI8T7_1007330
ko:K02016	sauy:SAI8T7_1007340
ko:K02548	sauy:SAI8T7_1007360
ko:K02552	sauy:SAI8T7_1007370
ko:K02551	sauy:SAI8T7_1007380
ko:K08680	sauy:SAI8T7_1007390
ko:K01661	sauy:SAI8T7_1007400
ko:K13715	sauy:SAI8T7_1007410
ko:K00841	sauy:SAI8T7_1007430
ko:K02828	sauy:SAI8T7_1007500
ko:K02827	sauy:SAI8T7_1007510
ko:K02826	sauy:SAI8T7_1007520
ko:K01491	sauy:SAI8T7_1007530
ko:K01588	sauy:SAI8T7_1007540
ko:K01589	sauy:SAI8T7_1007550
ko:K01923	sauy:SAI8T7_1007560
ko:K01952	sauy:SAI8T7_1007570
ko:K01952	sauy:SAI8T7_1007580
ko:K00764	sauy:SAI8T7_1007590
ko:K01933	sauy:SAI8T7_1007600
ko:K11175	sauy:SAI8T7_1007610
ko:K00602	sauy:SAI8T7_1007620
ko:K01945	sauy:SAI8T7_1007630
ko:K16785	sauy:SAI8T7_1007640
ko:K16786	sauy:SAI8T7_1007650
ko:K16787	sauy:SAI8T7_1007650
ko:K16925	sauy:SAI8T7_1007660
ko:K06969	sauy:SAI8T7_1007680
ko:K08483	sauy:SAI8T7_1007700
ko:K00425	sauy:SAI8T7_1007710
ko:K00426	sauy:SAI8T7_1007720
ko:K03499	sauy:SAI8T7_1007730
ko:K12574	sauy:SAI8T7_1007740
ko:K01462	sauy:SAI8T7_1007750
ko:K00161	sauy:SAI8T7_1007770
ko:K00162	sauy:SAI8T7_1007780
ko:K00627	sauy:SAI8T7_1007790
ko:K06959	sauy:SAI8T7_1015180
ko:K03090	sauy:SAI8T7_1015190
ko:K04757	sauy:SAI8T7_1015200
ko:K07315	sauy:SAI8T7_1015210
ko:K01775	sauy:SAI8T7_1015220
ko:K09167	sauy:SAI8T7_1015230
ko:K08981	sauy:SAI8T7_1015240
ko:K01548	sauy:SAI8T7_1015260
ko:K01547	sauy:SAI8T7_1015270
ko:K01546	sauy:SAI8T7_1015280
ko:K07646	sauy:SAI8T7_1015290
ko:K07667	sauy:SAI8T7_1015300
ko:K01929	sauy:SAI8T7_1015330
ko:K01921	sauy:SAI8T7_1015340
ko:K05837	sauy:SAI8T7_1015350
ko:K06131	sauy:SAI8T7_1015360
ko:K06950	sauy:SAI8T7_1015370
ko:K03217	sauy:SAI8T7_1015380
ko:K00788	sauy:SAI8T7_1015390
ko:K00878	sauy:SAI8T7_1015400
ko:K00941	sauy:SAI8T7_1015410
ko:K03707	sauy:SAI8T7_1015420
ko:K00790	sauy:SAI8T7_1015450
ko:K02112	sauy:SAI8T7_1015460
ko:K02115	sauy:SAI8T7_1015470
ko:K02111	sauy:SAI8T7_1015480
ko:K02113	sauy:SAI8T7_1015490
ko:K02109	sauy:SAI8T7_1015500
ko:K02108	sauy:SAI8T7_1015510
ko:K02116	sauy:SAI8T7_1015520
ko:K01791	sauy:SAI8T7_1015530
ko:K00761	sauy:SAI8T7_1015540
ko:K00600	sauy:SAI8T7_1015550
ko:K07566	sauy:SAI8T7_1015570
ko:K02493	sauy:SAI8T7_1015580
ko:K02835	sauy:SAI8T7_1015590
ko:K03628	sauy:SAI8T7_1015610
ko:K15772	sauy:SAI8T7_1001630
ko:K07784	sauy:SAI8T7_1001680
ko:K07720	sauy:SAI8T7_1001690
ko:K02012	sauy:SAI8T7_1001710
ko:K00656	sauy:SAI8T7_1001720
ko:K04069	sauy:SAI8T7_1001730
ko:K01126	sauy:SAI8T7_1001740
ko:K07516	sauy:SAI8T7_1001770
ko:K00252	sauy:SAI8T7_1001780
ko:K01897	sauy:SAI8T7_1001790
ko:K02035	sauy:SAI8T7_1001820
ko:K05916	sauy:SAI8T7_1001830
ko:K00016	sauy:SAI8T7_1001840
ko:K02773	sauy:SAI8T7_1001880
ko:K02775	sauy:SAI8T7_1001890
ko:K00008	sauy:SAI8T7_1001900
ko:K00008	sauy:SAI8T7_1001910
ko:K05352	sauy:SAI8T7_1001930
ko:K07322	sauy:SAI8T7_1002000
ko:K07704	sauy:SAI8T7_1002010
ko:K05339	sauy:SAI8T7_1002030
ko:K03489	sauy:SAI8T7_1002040
ko:K01223	sauy:SAI8T7_1002060
ko:K00852	sauy:SAI8T7_1002080
ko:K06726	sauy:SAI8T7_1002090
ko:K06216	sauy:SAI8T7_1002100
ko:K02529	sauy:SAI8T7_1002110
ko:K04517	sauy:SAI8T7_1009820
ko:K01657	sauy:SAI8T7_1009840
ko:K01658	sauy:SAI8T7_1009850
ko:K00766	sauy:SAI8T7_1009860
ko:K01609	sauy:SAI8T7_1009870
ko:K01696	sauy:SAI8T7_1009880
ko:K01695	sauy:SAI8T7_1009890
ko:K11694	sauy:SAI8T7_1009900
ko:K11695	sauy:SAI8T7_1009910
ko:K02034	sauy:SAI8T7_1009970
ko:K02033	sauy:SAI8T7_1009980
ko:K02039	sauy:SAI8T7_1010000
ko:K02036	sauy:SAI8T7_1010010
ko:K02038	sauy:SAI8T7_1010020
ko:K02037	sauy:SAI8T7_1010030
ko:K02040	sauy:SAI8T7_1010040
ko:K00243	sauy:SAI8T7_1010050
ko:K00928	sauy:SAI8T7_1010070
ko:K00133	sauy:SAI8T7_1010080
ko:K01714	sauy:SAI8T7_1010090
ko:K00215	sauy:SAI8T7_1010100
ko:K05822	sauy:SAI8T7_1010110
ko:K01775	sauy:SAI8T7_1010130
ko:K01586	sauy:SAI8T7_1010140
ko:K03311	sauy:SAI8T7_1010170
ko:K00658	sauy:SAI8T7_1010210
ko:K00164	sauy:SAI8T7_1010220
ko:K02563	sauy:SAI8T7_1010260
ko:K04763	sauy:SAI8T7_1006310
ko:K02071	sauy:SAI8T7_1006360
ko:K02072	sauy:SAI8T7_1006370
ko:K02073	sauy:SAI8T7_1006380
ko:K08974	sauy:SAI8T7_1006390
ko:K09013	sauy:SAI8T7_1006400
ko:K09015	sauy:SAI8T7_1006410
ko:K11717	sauy:SAI8T7_1006420
ko:K04488	sauy:SAI8T7_1006430
ko:K09014	sauy:SAI8T7_1006440
ko:K00459	sauy:SAI8T7_1006470
ko:K07090	sauy:SAI8T7_1006490
ko:K03644	sauy:SAI8T7_1006510
ko:K03367	sauy:SAI8T7_1006550
ko:K03739	sauy:SAI8T7_1006560
ko:K03740	sauy:SAI8T7_1006570
ko:K03885	sauy:SAI8T7_1006580
ko:K03885	sauy:SAI8T7_1006590
ko:K01255	sauy:SAI8T7_1006600
ko:K07084	sauy:SAI8T7_1006610
ko:K05569	sauy:SAI8T7_1006630
ko:K05568	sauy:SAI8T7_1006640
ko:K05565	sauy:SAI8T7_1006650
ko:K03768	sauy:SAI8T7_1006670
ko:K00819	sauy:SAI8T7_1006690
ko:K00260	sauy:SAI8T7_1006700
ko:K01126	sauy:SAI8T7_1006710
ko:K01755	sauy:SAI8T7_1006720
ko:K01940	sauy:SAI8T7_1006730
ko:K01810	sauy:SAI8T7_1006740
ko:K03100	sauy:SAI8T7_1006760
ko:K03100	sauy:SAI8T7_1006770
ko:K16899	sauy:SAI8T7_1006780
ko:K16898	sauy:SAI8T7_1006790
ko:K04478	sauy:SAI8T7_1014180
ko:K05520	sauy:SAI8T7_1014190
ko:K01104	sauy:SAI8T7_1014230
ko:K07058	sauy:SAI8T7_1014240
ko:K07694	sauy:SAI8T7_1014250
ko:K07681	sauy:SAI8T7_1014260
ko:K01265	sauy:SAI8T7_1014280
ko:K07009	sauy:SAI8T7_1014310
ko:K02217	sauy:SAI8T7_1014330
ko:K02342	sauy:SAI8T7_1014340
ko:K02346	sauy:SAI8T7_1014350
ko:K03215	sauy:SAI8T7_1014370
ko:K02434	sauy:SAI8T7_1014390
ko:K02433	sauy:SAI8T7_1014400
ko:K11928	sauy:SAI8T7_1014410
ko:K01972	sauy:SAI8T7_1014430
ko:K03657	sauy:SAI8T7_1014440
ko:K07094	sauy:SAI8T7_1014450
ko:K01756	sauy:SAI8T7_1014460
ko:K08258	sauy:SAI8T7_1014470
ko:K01916	sauy:SAI8T7_1014490
