ko:K11720	syt:SYNGTI_2879
ko:K06287	syt:SYNGTI_1851
ko:K00464	syt:SYNGTI_1854
ko:K06891	syt:SYNGTI_1855
ko:K05349	syt:SYNGTI_1860
ko:K01633	syt:SYNGTI_1862
ko:K06180	syt:SYNGTI_1866
ko:K02669	syt:SYNGTI_1869
ko:K03060	syt:SYNGTI_1872
ko:K03664	syt:SYNGTI_1875
ko:K03695	syt:SYNGTI_1881
ko:K00855	syt:SYNGTI_1883
ko:K02641	syt:SYNGTI_1884
ko:K08902	syt:SYNGTI_1887
ko:K03685	syt:SYNGTI_1888
ko:K02069	syt:SYNGTI_1889
ko:K03609	syt:SYNGTI_2699
ko:K03610	syt:SYNGTI_2700
ko:K06915	syt:SYNGTI_2711
ko:K01265	syt:SYNGTI_2727
ko:K06042	syt:SYNGTI_2739
ko:K01534	syt:SYNGTI_2740
ko:K09771	syt:SYNGTI_2741
ko:K01534	syt:SYNGTI_2743
ko:K01502	syt:SYNGTI_2753
ko:K03281	syt:SYNGTI_1218
ko:K02313	syt:SYNGTI_1225
ko:K08289	syt:SYNGTI_1227
ko:K03568	syt:SYNGTI_1230
ko:K00566	syt:SYNGTI_1231
ko:K06158	syt:SYNGTI_1234
ko:K00703	syt:SYNGTI_2053
ko:K02034	syt:SYNGTI_2060
ko:K00793	syt:SYNGTI_2063
ko:K02011	syt:SYNGTI_2065
ko:K09928	syt:SYNGTI_2068
ko:K06962	syt:SYNGTI_2069
ko:K02691	syt:SYNGTI_2072
ko:K07137	syt:SYNGTI_2090
ko:K00605	syt:SYNGTI_2094
ko:K04043	syt:SYNGTI_2095
ko:K13542	syt:SYNGTI_2099
ko:K01873	syt:SYNGTI_2917
ko:K05580	syt:SYNGTI_2920
ko:K05572	syt:SYNGTI_2921
ko:K02426	syt:SYNGTI_2923
ko:K01256	syt:SYNGTI_2927
ko:K01924	syt:SYNGTI_2929
ko:K00075	syt:SYNGTI_2930
ko:K03594	syt:SYNGTI_2932
ko:K06187	syt:SYNGTI_2934
ko:K06946	syt:SYNGTI_2937
ko:K02048	syt:SYNGTI_2946
ko:K02046	syt:SYNGTI_2948
ko:K02047	syt:SYNGTI_2949
ko:K02045	syt:SYNGTI_2950
ko:K07240	syt:SYNGTI_2952
ko:K02355	syt:SYNGTI_2958
ko:K00053	syt:SYNGTI_2961
ko:K01814	syt:SYNGTI_2963
ko:K00278	syt:SYNGTI_2964
ko:K02698	syt:SYNGTI_2966
ko:K03086	syt:SYNGTI_2967
ko:K06861	syt:SYNGTI_0141
ko:K05895	syt:SYNGTI_0142
ko:K02698	syt:SYNGTI_0143
ko:K05573	syt:SYNGTI_0145
ko:K03564	syt:SYNGTI_0150
ko:K00820	syt:SYNGTI_0151
ko:K03797	syt:SYNGTI_0155
ko:K02115	syt:SYNGTI_0158
ko:K02111	syt:SYNGTI_0159
ko:K02113	syt:SYNGTI_0160
ko:K02109	syt:SYNGTI_0161
ko:K02109	syt:SYNGTI_0162
ko:K02110	syt:SYNGTI_0163
ko:K02108	syt:SYNGTI_0164
ko:K03924	syt:SYNGTI_0169
ko:K02065	syt:SYNGTI_0173
ko:K00950	syt:SYNGTI_0175
ko:K00382	syt:SYNGTI_0179
ko:K03186	syt:SYNGTI_0182
ko:K06207	syt:SYNGTI_0188
ko:K07080	syt:SYNGTI_0189
ko:K00761	syt:SYNGTI_0192
ko:K02437	syt:SYNGTI_1026
ko:K13747	syt:SYNGTI_1028
ko:K00134	syt:SYNGTI_1035
ko:K00684	syt:SYNGTI_1037
ko:K03644	syt:SYNGTI_1038
ko:K03703	syt:SYNGTI_1046
ko:K01448	syt:SYNGTI_1047
ko:K07106	syt:SYNGTI_1051
ko:K02634	syt:SYNGTI_1053
ko:K02709	syt:SYNGTI_1055
ko:K09780	syt:SYNGTI_1057
ko:K00995	syt:SYNGTI_1893
ko:K03631	syt:SYNGTI_1895
ko:K09803	syt:SYNGTI_1899
ko:K02716	syt:SYNGTI_1902
ko:K00800	syt:SYNGTI_1905
ko:K01756	syt:SYNGTI_1909
ko:K01429	syt:SYNGTI_1911
ko:K02341	syt:SYNGTI_1914
ko:K04485	syt:SYNGTI_1916
ko:K03625	syt:SYNGTI_1920
ko:K04066	syt:SYNGTI_1922
ko:K08972	syt:SYNGTI_1932
ko:K02959	syt:SYNGTI_1936
ko:K06960	syt:SYNGTI_1937
ko:K01915	syt:SYNGTI_1938
ko:K09958	syt:SYNGTI_2757
ko:K03284	syt:SYNGTI_2781
ko:K00262	syt:SYNGTI_2792
ko:K09457	syt:SYNGTI_2793
ko:K00097	syt:SYNGTI_2798
ko:K00773	syt:SYNGTI_2800
ko:K01000	syt:SYNGTI_2804
ko:K03818	syt:SYNGTI_0362
ko:K01903	syt:SYNGTI_0368
ko:K03979	syt:SYNGTI_0372
ko:K01465	syt:SYNGTI_0375
ko:K03320	syt:SYNGTI_0376
ko:K00860	syt:SYNGTI_0381
ko:K03561	syt:SYNGTI_0382
ko:K03500	syt:SYNGTI_0384
ko:K07301	syt:SYNGTI_0386
ko:K00013	syt:SYNGTI_0387
ko:K09940	syt:SYNGTI_0396
ko:K03189	syt:SYNGTI_0397
ko:K00788	syt:SYNGTI_0407
ko:K06180	syt:SYNGTI_0412
ko:K01591	syt:SYNGTI_1237
ko:K03555	syt:SYNGTI_1245
ko:K02040	syt:SYNGTI_1261
ko:K02037	syt:SYNGTI_1262
ko:K02038	syt:SYNGTI_1263
ko:K02036	syt:SYNGTI_1264
ko:K06890	syt:SYNGTI_1269
ko:K02293	syt:SYNGTI_1271
ko:K02291	syt:SYNGTI_1272
ko:K01430	syt:SYNGTI_1274
ko:K07090	syt:SYNGTI_1280
ko:K00817	syt:SYNGTI_1285
ko:K06188	syt:SYNGTI_1287
ko:K03168	syt:SYNGTI_1288
ko:K03584	syt:SYNGTI_2106
ko:K00762	syt:SYNGTI_2113
ko:K01649	syt:SYNGTI_2115
ko:K06901	syt:SYNGTI_2117
ko:K06178	syt:SYNGTI_2118
ko:K07015	syt:SYNGTI_2119
ko:K07636	syt:SYNGTI_2126
ko:K01963	syt:SYNGTI_2127
ko:K00943	syt:SYNGTI_2134
ko:K04487	syt:SYNGTI_2144
ko:K03072	syt:SYNGTI_2153
ko:K03074	syt:SYNGTI_2154
ko:K02536	syt:SYNGTI_2155
ko:K02887	syt:SYNGTI_2156
ko:K02916	syt:SYNGTI_2157
ko:K03630	syt:SYNGTI_2158
ko:K07146	syt:SYNGTI_2159
ko:K09919	syt:SYNGTI_2970
ko:K00928	syt:SYNGTI_2971
ko:K01414	syt:SYNGTI_2973
ko:K00286	syt:SYNGTI_2974
ko:K03517	syt:SYNGTI_2980
ko:K01682	syt:SYNGTI_2984
ko:K03778	syt:SYNGTI_2989
ko:K01956	syt:SYNGTI_2990
ko:K15736	syt:SYNGTI_2993
ko:K00014	syt:SYNGTI_2994
ko:K02502	syt:SYNGTI_2995
ko:K05810	syt:SYNGTI_3009
ko:K09777	syt:SYNGTI_3010
ko:K06024	syt:SYNGTI_3013
ko:K03885	syt:SYNGTI_3017
ko:K00266	syt:SYNGTI_0201
ko:K01442	syt:SYNGTI_0204
ko:K00259	syt:SYNGTI_0214
ko:K03474	syt:SYNGTI_0215
ko:K06374	syt:SYNGTI_0222
ko:K06373	syt:SYNGTI_0223
ko:K00705	syt:SYNGTI_0224
ko:K00946	syt:SYNGTI_0226
ko:K08973	syt:SYNGTI_0232
ko:K00390	syt:SYNGTI_0233
ko:K03705	syt:SYNGTI_0234
ko:K00891	syt:SYNGTI_0235
ko:K07088	syt:SYNGTI_1083
ko:K00766	syt:SYNGTI_1086
ko:K06911	syt:SYNGTI_1092
ko:K07456	syt:SYNGTI_1094
ko:K01921	syt:SYNGTI_1101
ko:K06891	syt:SYNGTI_1103
ko:K02990	syt:SYNGTI_1105
ko:K06871	syt:SYNGTI_1108
ko:K03394	syt:SYNGTI_1113
ko:K00872	syt:SYNGTI_1115
ko:K03431	syt:SYNGTI_1117
ko:K11753	syt:SYNGTI_1120
ko:K01867	syt:SYNGTI_1124
ko:K09710	syt:SYNGTI_1127
ko:K06925	syt:SYNGTI_1943
ko:K00281	syt:SYNGTI_1944
ko:K00927	syt:SYNGTI_1949
ko:K01872	syt:SYNGTI_1951
ko:K00858	syt:SYNGTI_1958
ko:K04751	syt:SYNGTI_1961
ko:K01817	syt:SYNGTI_1964
ko:K01465	syt:SYNGTI_1967
ko:K02639	syt:SYNGTI_1978
ko:K14605	syt:SYNGTI_1983
ko:K02838	syt:SYNGTI_1985
ko:K09903	syt:SYNGTI_1986
ko:K03695	syt:SYNGTI_1988
ko:K02669	syt:SYNGTI_1992
ko:K01358	syt:SYNGTI_1994
ko:K01358	syt:SYNGTI_1995
ko:K03737	syt:SYNGTI_2810
ko:K02020	syt:SYNGTI_2813
ko:K06940	syt:SYNGTI_2817
ko:K00696	syt:SYNGTI_2818
ko:K03408	syt:SYNGTI_2820
ko:K00826	syt:SYNGTI_2828
ko:K02435	syt:SYNGTI_2829
ko:K09835	syt:SYNGTI_2834
ko:K05577	syt:SYNGTI_2845
ko:K03428	syt:SYNGTI_2848
ko:K00606	syt:SYNGTI_2849
ko:K06920	syt:SYNGTI_2850
ko:K01928	syt:SYNGTI_2851
ko:K08309	syt:SYNGTI_2858
ko:K14645	syt:SYNGTI_2859
ko:K01599	syt:SYNGTI_2860
ko:K13993	syt:SYNGTI_0420
ko:K03644	syt:SYNGTI_0423
ko:K02535	syt:SYNGTI_0431
ko:K03798	syt:SYNGTI_0434
ko:K07075	syt:SYNGTI_0440
ko:K02224	syt:SYNGTI_0446
ko:K02066	syt:SYNGTI_0453
ko:K03116	syt:SYNGTI_0454
ko:K02911	syt:SYNGTI_0458
ko:K00208	syt:SYNGTI_0460
ko:K02687	syt:SYNGTI_1301
ko:K13282	syt:SYNGTI_1313
ko:K03802	syt:SYNGTI_1314
ko:K03650	syt:SYNGTI_1320
ko:K11754	syt:SYNGTI_1323
ko:K02372	syt:SYNGTI_1331
ko:K05979	syt:SYNGTI_1332
ko:K01876	syt:SYNGTI_1334
ko:K08482	syt:SYNGTI_1346
ko:K00764	syt:SYNGTI_2167
ko:K07738	syt:SYNGTI_2169
ko:K02834	syt:SYNGTI_2172
ko:K01491	syt:SYNGTI_2174
ko:K01803	syt:SYNGTI_2179
ko:K02635	syt:SYNGTI_2183
ko:K03685	syt:SYNGTI_2187
ko:K04656	syt:SYNGTI_2188
ko:K03684	syt:SYNGTI_2191
ko:K03527	syt:SYNGTI_2193
ko:K02970	syt:SYNGTI_2203
ko:K01892	syt:SYNGTI_2207
ko:K01057	syt:SYNGTI_3021
ko:K01703	syt:SYNGTI_3031
ko:K01689	syt:SYNGTI_3042
ko:K01962	syt:SYNGTI_3047
ko:K08482	syt:SYNGTI_3055
ko:K02699	syt:SYNGTI_3066
ko:K02563	syt:SYNGTI_3068
ko:K02065	syt:SYNGTI_0474
ko:K00057	syt:SYNGTI_0477
ko:K03823	syt:SYNGTI_0478
ko:K01915	syt:SYNGTI_0479
ko:K01091	syt:SYNGTI_0484
ko:K05795	syt:SYNGTI_0487
ko:K03190	syt:SYNGTI_0492
ko:K06978	syt:SYNGTI_0497
ko:K07390	syt:SYNGTI_0502
ko:K09747	syt:SYNGTI_0503
ko:K00013	syt:SYNGTI_0504
ko:K01428	syt:SYNGTI_0507
ko:K01662	syt:SYNGTI_0514
ko:K02708	syt:SYNGTI_0518
ko:K00931	syt:SYNGTI_0521
ko:K02469	syt:SYNGTI_0527
ko:K01546	syt:SYNGTI_1352
ko:K01547	syt:SYNGTI_1353
ko:K01548	syt:SYNGTI_1355
ko:K07646	syt:SYNGTI_1356
ko:K09800	syt:SYNGTI_1357
ko:K09879	syt:SYNGTI_1358
ko:K05579	syt:SYNGTI_1363
ko:K13038	syt:SYNGTI_1368
ko:K03839	syt:SYNGTI_1371
ko:K14540	syt:SYNGTI_1373
ko:K06942	syt:SYNGTI_1374
ko:K02011	syt:SYNGTI_1387
ko:K02012	syt:SYNGTI_1388
ko:K01425	syt:SYNGTI_1391
ko:K02276	syt:SYNGTI_1396
ko:K04083	syt:SYNGTI_1398
ko:K03782	syt:SYNGTI_1399
ko:K07399	syt:SYNGTI_1400
ko:K03547	syt:SYNGTI_2215
ko:K03696	syt:SYNGTI_2216
ko:K00099	syt:SYNGTI_2217
ko:K01624	syt:SYNGTI_2218
ko:K01845	syt:SYNGTI_2219
ko:K08304	syt:SYNGTI_2220
ko:K03797	syt:SYNGTI_2223
ko:K07507	syt:SYNGTI_2228
ko:K00748	syt:SYNGTI_2230
ko:K02639	syt:SYNGTI_2231
ko:K00790	syt:SYNGTI_2233
ko:K07347	syt:SYNGTI_2236
ko:K10206	syt:SYNGTI_2239
ko:K03655	syt:SYNGTI_2241
ko:K04773	syt:SYNGTI_2242
ko:K01951	syt:SYNGTI_2244
ko:K06153	syt:SYNGTI_2246
ko:K02231	syt:SYNGTI_2247
ko:K00973	syt:SYNGTI_2252
ko:K01879	syt:SYNGTI_2253
ko:K04094	syt:SYNGTI_2256
ko:K03495	syt:SYNGTI_2258
ko:K07447	syt:SYNGTI_3073
ko:K01524	syt:SYNGTI_3074
ko:K01778	syt:SYNGTI_3078
ko:K04561	syt:SYNGTI_3088
ko:K01687	syt:SYNGTI_3100
ko:K01091	syt:SYNGTI_3108
ko:K04079	syt:SYNGTI_3114
ko:K00975	syt:SYNGTI_3115
ko:K09001	syt:SYNGTI_3118
ko:K02835	syt:SYNGTI_3119
ko:K03787	syt:SYNGTI_3121
ko:K09933	syt:SYNGTI_0529
ko:K09817	syt:SYNGTI_0536
ko:K09816	syt:SYNGTI_0537
ko:K05516	syt:SYNGTI_0547
ko:K04043	syt:SYNGTI_0548
ko:K00600	syt:SYNGTI_0549
ko:K01448	syt:SYNGTI_0556
ko:K03587	syt:SYNGTI_0568
ko:K11473	syt:SYNGTI_0570
ko:K06168	syt:SYNGTI_0578
ko:K01652	syt:SYNGTI_1401
ko:K01652	syt:SYNGTI_1408
ko:K11532	syt:SYNGTI_1412
ko:K06886	syt:SYNGTI_1415
ko:K03110	syt:SYNGTI_1420
ko:K08591	syt:SYNGTI_1423
ko:K00759	syt:SYNGTI_1425
ko:K03453	syt:SYNGTI_1428
ko:K01881	syt:SYNGTI_1432
ko:K03621	syt:SYNGTI_1441
ko:K00648	syt:SYNGTI_1442
ko:K02717	syt:SYNGTI_1443
ko:K07086	syt:SYNGTI_1444
ko:K00858	syt:SYNGTI_1446
ko:K04564	syt:SYNGTI_1451
ko:K00052	syt:SYNGTI_1452
ko:K02548	syt:SYNGTI_1454
ko:K03798	syt:SYNGTI_2265
ko:K01338	syt:SYNGTI_2266
ko:K03118	syt:SYNGTI_2267
ko:K01247	syt:SYNGTI_2270
ko:K04077	syt:SYNGTI_2275
ko:K09807	syt:SYNGTI_2278
ko:K07107	syt:SYNGTI_2283
ko:K02356	syt:SYNGTI_2286
ko:K02160	syt:SYNGTI_2287
ko:K00812	syt:SYNGTI_2296
ko:K01647	syt:SYNGTI_2297
ko:K08296	syt:SYNGTI_2298
ko:K03154	syt:SYNGTI_2301
ko:K01433	syt:SYNGTI_2305
ko:K01673	syt:SYNGTI_2306
ko:K07395	syt:SYNGTI_2307
ko:K01653	syt:SYNGTI_2311
ko:K07042	syt:SYNGTI_2313
ko:K00901	syt:SYNGTI_2314
ko:K04040	syt:SYNGTI_2316
ko:K08983	syt:SYNGTI_3127
ko:K12957	syt:SYNGTI_3133
ko:K01940	syt:SYNGTI_3134
ko:K01589	syt:SYNGTI_3137
ko:K00926	syt:SYNGTI_3146
ko:K00602	syt:SYNGTI_3154
ko:K00384	syt:SYNGTI_3159
ko:K02337	syt:SYNGTI_3163
ko:K03596	syt:SYNGTI_3164
ko:K11755	syt:SYNGTI_3168
ko:K01070	syt:SYNGTI_0588
ko:K01866	syt:SYNGTI_0592
ko:K01866	syt:SYNGTI_0595
ko:K03100	syt:SYNGTI_0608
ko:K00425	syt:SYNGTI_0610
ko:K00426	syt:SYNGTI_0611
ko:K03439	syt:SYNGTI_0612
ko:K00925	syt:SYNGTI_0613
ko:K01061	syt:SYNGTI_0614
ko:K01147	syt:SYNGTI_0628
ko:K03798	syt:SYNGTI_0630
ko:K04758	syt:SYNGTI_0632
ko:K04759	syt:SYNGTI_0633
ko:K09775	syt:SYNGTI_0636
ko:K03665	syt:SYNGTI_1457
ko:K07075	syt:SYNGTI_1462
ko:K01255	syt:SYNGTI_1463
ko:K07130	syt:SYNGTI_1482
ko:K01698	syt:SYNGTI_1491
ko:K01735	syt:SYNGTI_1493
ko:K03568	syt:SYNGTI_1498
ko:K02493	syt:SYNGTI_1499
ko:K01251	syt:SYNGTI_1504
ko:K07001	syt:SYNGTI_2323
ko:K04043	syt:SYNGTI_2326
ko:K03687	syt:SYNGTI_2327
ko:K02652	syt:SYNGTI_2328
ko:K07444	syt:SYNGTI_2329
ko:K11752	syt:SYNGTI_2331
ko:K01961	syt:SYNGTI_2334
ko:K00604	syt:SYNGTI_2337
ko:K02986	syt:SYNGTI_2340
ko:K00147	syt:SYNGTI_2342
ko:K03702	syt:SYNGTI_2345
ko:K11175	syt:SYNGTI_2348
ko:K03980	syt:SYNGTI_2355
ko:K01911	syt:SYNGTI_2358
ko:K01809	syt:SYNGTI_2359
ko:K00003	syt:SYNGTI_2361
ko:K06133	syt:SYNGTI_2362
ko:K01889	syt:SYNGTI_2364
ko:K03088	syt:SYNGTI_2370
ko:K02036	syt:SYNGTI_2373
ko:K06999	syt:SYNGTI_0643
ko:K06381	syt:SYNGTI_0644
ko:K01991	syt:SYNGTI_0649
ko:K01875	syt:SYNGTI_0652
ko:K02337	syt:SYNGTI_0667
ko:K05567	syt:SYNGTI_0676
ko:K05567	syt:SYNGTI_0678
ko:K05566	syt:SYNGTI_0684
ko:K02112	syt:SYNGTI_1512
ko:K02114	syt:SYNGTI_1513
ko:K09458	syt:SYNGTI_1515
ko:K07259	syt:SYNGTI_1530
ko:K02694	syt:SYNGTI_1533
ko:K02860	syt:SYNGTI_1535
ko:K07056	syt:SYNGTI_1538
ko:K00791	syt:SYNGTI_1540
ko:K02275	syt:SYNGTI_1544
ko:K03525	syt:SYNGTI_1545
ko:K00720	syt:SYNGTI_1546
ko:K07040	syt:SYNGTI_1550
ko:K03800	syt:SYNGTI_1553
ko:K03820	syt:SYNGTI_1556
ko:K01783	syt:SYNGTI_1562
ko:K02036	syt:SYNGTI_2374
ko:K02038	syt:SYNGTI_2375
ko:K02037	syt:SYNGTI_2376
ko:K02040	syt:SYNGTI_2377
ko:K02040	syt:SYNGTI_2378
ko:K02954	syt:SYNGTI_2380
ko:K03969	syt:SYNGTI_2381
ko:K03070	syt:SYNGTI_2383
ko:K03551	syt:SYNGTI_2386
ko:K03149	syt:SYNGTI_2387
ko:K06980	syt:SYNGTI_2389
ko:K02233	syt:SYNGTI_2391
ko:K01878	syt:SYNGTI_2393
ko:K01999	syt:SYNGTI_2400
ko:K02551	syt:SYNGTI_2402
ko:K07259	syt:SYNGTI_2405
ko:K01874	syt:SYNGTI_2407
ko:K01129	syt:SYNGTI_2409
ko:K02469	syt:SYNGTI_2416
ko:K02007	syt:SYNGTI_2420
ko:K00645	syt:SYNGTI_0694
ko:K00969	syt:SYNGTI_0698
ko:K00796	syt:SYNGTI_0700
ko:K12573	syt:SYNGTI_0706
ko:K01755	syt:SYNGTI_0709
ko:K02275	syt:SYNGTI_0713
ko:K02276	syt:SYNGTI_0715
ko:K03671	syt:SYNGTI_0716
ko:K04651	syt:SYNGTI_0722
ko:K01869	syt:SYNGTI_0727
ko:K03312	syt:SYNGTI_0728
ko:K00615	syt:SYNGTI_0736
ko:K09458	syt:SYNGTI_0737
ko:K02078	syt:SYNGTI_0738
ko:K02897	syt:SYNGTI_0743
ko:K01939	syt:SYNGTI_0744
ko:K02909	syt:SYNGTI_0746
ko:K02996	syt:SYNGTI_0747
ko:K02357	syt:SYNGTI_1571
ko:K02967	syt:SYNGTI_1572
ko:K07300	syt:SYNGTI_1573
ko:K01494	syt:SYNGTI_1574
ko:K06876	syt:SYNGTI_1583
ko:K02066	syt:SYNGTI_1586
ko:K01673	syt:SYNGTI_1591
ko:K00640	syt:SYNGTI_1592
ko:K01810	syt:SYNGTI_1593
ko:K10255	syt:SYNGTI_1594
ko:K01929	syt:SYNGTI_1596
ko:K02939	syt:SYNGTI_1598
ko:K04653	syt:SYNGTI_1605
ko:K02259	syt:SYNGTI_1607
ko:K14652	syt:SYNGTI_1615
ko:K02500	syt:SYNGTI_1617
ko:K00677	syt:SYNGTI_2427
ko:K03723	syt:SYNGTI_2431
ko:K03642	syt:SYNGTI_2433
ko:K00147	syt:SYNGTI_2435
ko:K01955	syt:SYNGTI_2439
ko:K02825	syt:SYNGTI_2441
ko:K01495	syt:SYNGTI_2442
ko:K07460	syt:SYNGTI_2444
ko:K01807	syt:SYNGTI_2449
ko:K02221	syt:SYNGTI_2457
ko:K02471	syt:SYNGTI_2460
ko:K08998	syt:SYNGTI_2473
ko:K03592	syt:SYNGTI_2479
ko:K03594	syt:SYNGTI_0741
ko:K02871	syt:SYNGTI_0748
ko:K06173	syt:SYNGTI_0749
ko:K02879	syt:SYNGTI_0750
ko:K03040	syt:SYNGTI_0751
ko:K02948	syt:SYNGTI_0752
ko:K02952	syt:SYNGTI_0753
ko:K02919	syt:SYNGTI_0754
ko:K02518	syt:SYNGTI_0755
ko:K03076	syt:SYNGTI_0757
ko:K02876	syt:SYNGTI_0758
ko:K02988	syt:SYNGTI_0759
ko:K02881	syt:SYNGTI_0760
ko:K02933	syt:SYNGTI_0761
ko:K02994	syt:SYNGTI_0762
ko:K02931	syt:SYNGTI_0763
ko:K02895	syt:SYNGTI_0764
ko:K02874	syt:SYNGTI_0765
ko:K02961	syt:SYNGTI_0766
ko:K02904	syt:SYNGTI_0767
ko:K02878	syt:SYNGTI_0768
ko:K02982	syt:SYNGTI_0769
ko:K02890	syt:SYNGTI_0770
ko:K02965	syt:SYNGTI_0771
ko:K02886	syt:SYNGTI_0772
ko:K02892	syt:SYNGTI_0773
ko:K02926	syt:SYNGTI_0774
ko:K02906	syt:SYNGTI_0775
ko:K04047	syt:SYNGTI_0776
ko:K00930	syt:SYNGTI_0782
ko:K03188	syt:SYNGTI_0783
ko:K03046	syt:SYNGTI_0790
ko:K03043	syt:SYNGTI_0791
ko:K03424	syt:SYNGTI_0792
ko:K02968	syt:SYNGTI_0793
ko:K03657	syt:SYNGTI_0796
ko:K03529	syt:SYNGTI_0797
ko:K02230	syt:SYNGTI_1621
ko:K03666	syt:SYNGTI_1623
ko:K03977	syt:SYNGTI_1631
ko:K00620	syt:SYNGTI_1633
ko:K06203	syt:SYNGTI_1642
ko:K02071	syt:SYNGTI_1651
ko:K02945	syt:SYNGTI_1653
ko:K07566	syt:SYNGTI_1656
ko:K06872	syt:SYNGTI_1657
ko:K06042	syt:SYNGTI_1664
ko:K02914	syt:SYNGTI_1666
ko:K03536	syt:SYNGTI_1667
ko:K03217	syt:SYNGTI_1669
ko:K03327	syt:SYNGTI_2482
ko:K01725	syt:SYNGTI_2485
ko:K03750	syt:SYNGTI_2486
ko:K03639	syt:SYNGTI_2487
ko:K03637	syt:SYNGTI_2488
ko:K03636	syt:SYNGTI_2489
ko:K07391	syt:SYNGTI_2492
ko:K02704	syt:SYNGTI_2494
ko:K01265	syt:SYNGTI_2502
ko:K01579	syt:SYNGTI_2505
ko:K00024	syt:SYNGTI_2506
ko:K01056	syt:SYNGTI_2509
ko:K01265	syt:SYNGTI_2514
ko:K03113	syt:SYNGTI_2523
ko:K02340	syt:SYNGTI_2525
ko:K04096	syt:SYNGTI_0802
ko:K03572	syt:SYNGTI_0806
ko:K02230	syt:SYNGTI_0819
ko:K03786	syt:SYNGTI_0824
ko:K06213	syt:SYNGTI_0825
ko:K03215	syt:SYNGTI_0831
ko:K01754	syt:SYNGTI_0832
ko:K09772	syt:SYNGTI_0833
ko:K01809	syt:SYNGTI_0834
ko:K09803	syt:SYNGTI_0835
ko:K04078	syt:SYNGTI_0836
