ko:K07492	bsuv:BSPT2_II0508
ko:K07341	bsuv:BSPT2_I1147
ko:K02167	bsuv:BSPT2_I1150
ko:K02529	bsuv:BSPT2_I1155
ko:K00854	bsuv:BSPT2_I1156
ko:K01805	bsuv:BSPT2_I1157
ko:K10439	bsuv:BSPT2_I1160
ko:K10440	bsuv:BSPT2_I1161
ko:K10441	bsuv:BSPT2_I1162
ko:K12995	bsuv:BSPT2_I1163
ko:K00971	bsuv:BSPT2_I1165
ko:K01840	bsuv:BSPT2_I1166
ko:K01711	bsuv:BSPT2_I1180
ko:K01284	bsuv:BSPT2_II0819
ko:K01644	bsuv:BSPT2_II0822
ko:K01644	bsuv:BSPT2_II0823
ko:K01704	bsuv:BSPT2_II0824
ko:K00133	bsuv:BSPT2_II0828
ko:K10778	bsuv:BSPT2_II0831
ko:K00052	bsuv:BSPT2_II0832
ko:K09791	bsuv:BSPT2_II0834
ko:K07157	bsuv:BSPT2_II0835
ko:K05838	bsuv:BSPT2_II0836
ko:K06886	bsuv:BSPT2_II0841
ko:K01476	bsuv:BSPT2_II0843
ko:K10680	bsuv:BSPT2_II0845
ko:K10680	bsuv:BSPT2_II0846
ko:K06959	bsuv:BSPT2_II0848
ko:K00128	bsuv:BSPT2_II0853
ko:K01433	bsuv:BSPT2_II0854
ko:K01443	bsuv:BSPT2_II0856
ko:K00820	bsuv:BSPT2_II0857
ko:K03710	bsuv:BSPT2_II0858
ko:K00101	bsuv:BSPT2_II0865
ko:K01775	bsuv:BSPT2_II0868
ko:K00285	bsuv:BSPT2_II0869
ko:K00822	bsuv:BSPT2_II0871
ko:K05836	bsuv:BSPT2_II0872
ko:K01468	bsuv:BSPT2_II0875
ko:K01745	bsuv:BSPT2_II0876
ko:K01479	bsuv:BSPT2_II0877
ko:K01712	bsuv:BSPT2_II0878
ko:K09975	bsuv:BSPT2_II0879
ko:K00824	bsuv:BSPT2_II0880
ko:K10547	bsuv:BSPT2_II0881
ko:K10548	bsuv:BSPT2_II0882
ko:K10546	bsuv:BSPT2_II0884
ko:K01631	bsuv:BSPT2_II0885
ko:K00883	bsuv:BSPT2_II0886
ko:K01687	bsuv:BSPT2_II0887
ko:K01652	bsuv:BSPT2_II0891
ko:K01652	bsuv:BSPT2_II0892
ko:K01266	bsuv:BSPT2_II0896
ko:K09969	bsuv:BSPT2_II0897
ko:K01999	bsuv:BSPT2_II0903
ko:K01995	bsuv:BSPT2_II0904
ko:K01996	bsuv:BSPT2_II0905
ko:K01997	bsuv:BSPT2_II0906
ko:K01998	bsuv:BSPT2_II0907
ko:K02073	bsuv:BSPT2_II0910
ko:K02071	bsuv:BSPT2_II0911
ko:K02072	bsuv:BSPT2_II0912
ko:K02970	bsuv:BSPT2_II0915
ko:K01483	bsuv:BSPT2_I1193
ko:K03523	bsuv:BSPT2_I1194
ko:K01006	bsuv:BSPT2_I1202
ko:K06996	bsuv:BSPT2_I1203
ko:K16264	bsuv:BSPT2_I1204
ko:K03529	bsuv:BSPT2_I1205
ko:K03575	bsuv:BSPT2_I1209
ko:K01560	bsuv:BSPT2_I1210
ko:K03281	bsuv:BSPT2_I1212
ko:K01733	bsuv:BSPT2_I1217
ko:K03790	bsuv:BSPT2_I1219
ko:K07735	bsuv:BSPT2_I1221
ko:K03469	bsuv:BSPT2_I1224
ko:K02204	bsuv:BSPT2_I1225
ko:K03527	bsuv:BSPT2_I1226
ko:K14998	bsuv:BSPT2_I1227
ko:K00764	bsuv:BSPT2_I1252
ko:K02276	bsuv:BSPT2_I1229
ko:K02258	bsuv:BSPT2_I1230
ko:K02274	bsuv:BSPT2_I1233
ko:K02275	bsuv:BSPT2_I1234
ko:K03568	bsuv:BSPT2_I1236
ko:K00942	bsuv:BSPT2_I1237
ko:K07082	bsuv:BSPT2_I1239
ko:K09458	bsuv:BSPT2_I1240
ko:K02078	bsuv:BSPT2_I1241
ko:K00059	bsuv:BSPT2_I1242
ko:K00645	bsuv:BSPT2_I1243
ko:K02990	bsuv:BSPT2_I1244
ko:K02963	bsuv:BSPT2_I1245
ko:K02939	bsuv:BSPT2_I1247
ko:K00574	bsuv:BSPT2_I1248
ko:K04485	bsuv:BSPT2_I1250
ko:K03558	bsuv:BSPT2_I1251
ko:K17103	bsuv:BSPT2_I1254
ko:K01613	bsuv:BSPT2_I1255
ko:K06147	bsuv:BSPT2_I1256
ko:K06966	bsuv:BSPT2_I1260
ko:K03215	bsuv:BSPT2_I1261
ko:K06442	bsuv:BSPT2_I1262
ko:K01662	bsuv:BSPT2_I1263
ko:K06911	bsuv:BSPT2_I1264
ko:K03602	bsuv:BSPT2_I1268
ko:K14652	bsuv:BSPT2_I1270
ko:K01736	bsuv:BSPT2_I1271
ko:K09778	bsuv:BSPT2_I1274
ko:K03704	bsuv:BSPT2_I1277
ko:K00208	bsuv:BSPT2_I1280
ko:K00275	bsuv:BSPT2_I1283
ko:K03179	bsuv:BSPT2_I1284
ko:K01945	bsuv:BSPT2_I1285
ko:K07566	bsuv:BSPT2_I1294
ko:K01879	bsuv:BSPT2_I1295
ko:K01878	bsuv:BSPT2_I1297
ko:K02523	bsuv:BSPT2_I1299
ko:K03313	bsuv:BSPT2_I1303
ko:K00919	bsuv:BSPT2_I1306
ko:K03470	bsuv:BSPT2_I1311
ko:K02109	bsuv:BSPT2_I1312
ko:K02109	bsuv:BSPT2_I1313
ko:K02110	bsuv:BSPT2_I1314
ko:K02108	bsuv:BSPT2_I1315
ko:K02116	bsuv:BSPT2_I1316
ko:K04046	bsuv:BSPT2_I1318
ko:K03977	bsuv:BSPT2_I1319
ko:K17938	bsuv:BSPT2_I1322
ko:K10778	bsuv:BSPT2_I1326
ko:K00404	bsuv:BSPT2_I1331
ko:K00405	bsuv:BSPT2_I1332
ko:K00407	bsuv:BSPT2_I1333
ko:K00406	bsuv:BSPT2_I1334
ko:K01533	bsuv:BSPT2_I1337
ko:K01487	bsuv:BSPT2_I1340
ko:K07712	bsuv:BSPT2_I0583
ko:K13598	bsuv:BSPT2_I0584
ko:K13599	bsuv:BSPT2_I0585
ko:K03499	bsuv:BSPT2_I0586
ko:K03499	bsuv:BSPT2_I0587
ko:K03666	bsuv:BSPT2_I0589
ko:K03665	bsuv:BSPT2_I0590
ko:K01358	bsuv:BSPT2_I0591
ko:K03544	bsuv:BSPT2_I0592
ko:K01338	bsuv:BSPT2_I0593
ko:K03530	bsuv:BSPT2_I0594
ko:K03701	bsuv:BSPT2_I0595
ko:K02043	bsuv:BSPT2_I0597
ko:K05774	bsuv:BSPT2_I0598
ko:K05595	bsuv:BSPT2_I0599
ko:K02469	bsuv:BSPT2_I0600
ko:K00954	bsuv:BSPT2_I0602
ko:K07568	bsuv:BSPT2_I0605
ko:K00773	bsuv:BSPT2_I0606
ko:K03585	bsuv:BSPT2_I0608
ko:K18138	bsuv:BSPT2_I0609
ko:K00252	bsuv:BSPT2_I0612
ko:K07001	bsuv:BSPT2_I0622
ko:K01496	bsuv:BSPT2_I0623
ko:K01495	bsuv:BSPT2_I0624
ko:K08998	bsuv:BSPT2_I0626
ko:K01868	bsuv:BSPT2_I0628
ko:K04765	bsuv:BSPT2_I0632
ko:K04765	bsuv:BSPT2_I0633
ko:K13895	bsuv:BSPT2_I0001
ko:K13894	bsuv:BSPT2_I0002
ko:K13893	bsuv:BSPT2_I0003
ko:K13893	bsuv:BSPT2_I0004
ko:K01999	bsuv:BSPT2_I0007
ko:K13766	bsuv:BSPT2_I0008
ko:K01640	bsuv:BSPT2_I0009
ko:K01968	bsuv:BSPT2_I0010
ko:K01969	bsuv:BSPT2_I0011
ko:K00253	bsuv:BSPT2_I0012
ko:K01907	bsuv:BSPT2_I0014
ko:K01907	bsuv:BSPT2_I0015
ko:K00800	bsuv:BSPT2_I0020
ko:K00945	bsuv:BSPT2_I0021
ko:K02945	bsuv:BSPT2_I0023
ko:K06187	bsuv:BSPT2_I0027
ko:K09747	bsuv:BSPT2_I0028
ko:K02343	bsuv:BSPT2_I0029
ko:K03426	bsuv:BSPT2_I0031
ko:K04518	bsuv:BSPT2_I0032
ko:K00979	bsuv:BSPT2_I0033
ko:K08738	bsuv:BSPT2_I0034
ko:K02297	bsuv:BSPT2_I0037
ko:K02298	bsuv:BSPT2_I0038
ko:K02299	bsuv:BSPT2_I0039
ko:K02300	bsuv:BSPT2_I0040
ko:K07278	bsuv:BSPT2_I0042
ko:K09800	bsuv:BSPT2_I0043
ko:K01759	bsuv:BSPT2_I0051
ko:K02048	bsuv:BSPT2_I0105
ko:K02046	bsuv:BSPT2_I0106
ko:K02047	bsuv:BSPT2_I0107
ko:K02045	bsuv:BSPT2_I0108
ko:K13688	bsuv:BSPT2_I0109
ko:K00763	bsuv:BSPT2_I0110
ko:K00847	bsuv:BSPT2_I0113
ko:K05366	bsuv:BSPT2_I0115
ko:K16079	bsuv:BSPT2_I0117
ko:K16079	bsuv:BSPT2_I0118
ko:K03684	bsuv:BSPT2_I0119
ko:K05592	bsuv:BSPT2_I0122
ko:K02470	bsuv:BSPT2_I0123
ko:K01070	bsuv:BSPT2_I0125
ko:K01070	bsuv:BSPT2_I0126
ko:K02348	bsuv:BSPT2_I0128
ko:K00121	bsuv:BSPT2_I0129
ko:K03579	bsuv:BSPT2_I0131
ko:K15011	bsuv:BSPT2_I0132
ko:K15012	bsuv:BSPT2_I0135
ko:K01867	bsuv:BSPT2_I0140
ko:K03980	bsuv:BSPT2_I0141
ko:K00990	bsuv:BSPT2_I0142
ko:K00029	bsuv:BSPT2_I0143
ko:K00029	bsuv:BSPT2_I0144
ko:K03555	bsuv:BSPT2_I0145
ko:K03101	bsuv:BSPT2_I0148
ko:K03437	bsuv:BSPT2_I0149
ko:K06969	bsuv:BSPT2_I0150
ko:K05788	bsuv:BSPT2_I0152
ko:K04773	bsuv:BSPT2_I0153
ko:K09959	bsuv:BSPT2_I0204
ko:K02529	bsuv:BSPT2_I0205
ko:K06147	bsuv:BSPT2_I0206
ko:K15599	bsuv:BSPT2_I0209
ko:K03707	bsuv:BSPT2_I0210
ko:K15598	bsuv:BSPT2_I0211
ko:K00788	bsuv:BSPT2_I0212
ko:K03149	bsuv:BSPT2_I0213
ko:K03154	bsuv:BSPT2_I0214
ko:K03153	bsuv:BSPT2_I0215
ko:K00941	bsuv:BSPT2_I0216
ko:K05846	bsuv:BSPT2_I0221
ko:K05847	bsuv:BSPT2_I0222
ko:K05846	bsuv:BSPT2_I0223
ko:K05845	bsuv:BSPT2_I0224
ko:K00262	bsuv:BSPT2_I0226
ko:K00303	bsuv:BSPT2_I0227
ko:K02027	bsuv:BSPT2_I0233
ko:K02025	bsuv:BSPT2_I0234
ko:K02026	bsuv:BSPT2_I0235
ko:K10112	bsuv:BSPT2_I0236
ko:K03534	bsuv:BSPT2_I0238
ko:K18335	bsuv:BSPT2_I0240
ko:K18334	bsuv:BSPT2_I0242
ko:K01897	bsuv:BSPT2_I0308
ko:K03577	bsuv:BSPT2_I0309
ko:K03585	bsuv:BSPT2_I0310
ko:K18138	bsuv:BSPT2_I0311
ko:K02030	bsuv:BSPT2_I0313
ko:K07636	bsuv:BSPT2_I0318
ko:K13583	bsuv:BSPT2_I0319
ko:K04083	bsuv:BSPT2_I0322
ko:K06195	bsuv:BSPT2_I0323
ko:K10764	bsuv:BSPT2_I0324
ko:K01494	bsuv:BSPT2_I0325
ko:K00254	bsuv:BSPT2_I0330
ko:K01259	bsuv:BSPT2_I0333
ko:K03282	bsuv:BSPT2_I0337
ko:K00643	bsuv:BSPT2_I0338
ko:K06518	bsuv:BSPT2_I0344
ko:K01918	bsuv:BSPT2_I0350
ko:K00606	bsuv:BSPT2_I0351
ko:K00528	bsuv:BSPT2_I0352
ko:K13747	bsuv:BSPT2_I0354
ko:K03327	bsuv:BSPT2_I0359
ko:K02480	bsuv:BSPT2_I0361
ko:K02048	bsuv:BSPT2_I0366
ko:K02046	bsuv:BSPT2_I0367
ko:K02047	bsuv:BSPT2_I0368
ko:K07002	bsuv:BSPT2_I0369
ko:K07027	bsuv:BSPT2_I0370
ko:K03455	bsuv:BSPT2_I0371
ko:K12257	bsuv:BSPT2_I0372
ko:K02232	bsuv:BSPT2_I0384
ko:K02231	bsuv:BSPT2_I0387
ko:K02234	bsuv:BSPT2_I0388
ko:K02230	bsuv:BSPT2_I0389
ko:K08978	bsuv:BSPT2_I0391
ko:K07090	bsuv:BSPT2_I0392
ko:K02189	bsuv:BSPT2_I0394
ko:K05936	bsuv:BSPT2_I0395
ko:K05895	bsuv:BSPT2_I0396
ko:K02188	bsuv:BSPT2_I0397
ko:K02303	bsuv:BSPT2_I0398
ko:K02224	bsuv:BSPT2_I0399
ko:K02225	bsuv:BSPT2_I0400
ko:K02227	bsuv:BSPT2_I0401
ko:K01999	bsuv:BSPT2_I0402
ko:K00684	bsuv:BSPT2_I0796
ko:K00684	bsuv:BSPT2_I0797
ko:K02434	bsuv:BSPT2_I0803
ko:K03545	bsuv:BSPT2_I0804
ko:K04094	bsuv:BSPT2_I0809
ko:K02291	bsuv:BSPT2_I0810
ko:K12257	bsuv:BSPT2_I0812
ko:K03210	bsuv:BSPT2_I0814
ko:K06923	bsuv:BSPT2_I0815
ko:K00573	bsuv:BSPT2_I0819
ko:K03787	bsuv:BSPT2_I0820
ko:K01875	bsuv:BSPT2_I0821
ko:K03118	bsuv:BSPT2_I0822
ko:K03117	bsuv:BSPT2_I0823
ko:K03116	bsuv:BSPT2_I0824
ko:K06024	bsuv:BSPT2_I0825
ko:K05896	bsuv:BSPT2_I0826
ko:K01207	bsuv:BSPT2_I0827
ko:K01887	bsuv:BSPT2_I0830
ko:K01129	bsuv:BSPT2_I0831
ko:K01142	bsuv:BSPT2_I0834
ko:K07126	bsuv:BSPT2_I0835
ko:K12574	bsuv:BSPT2_I0886
ko:K03524	bsuv:BSPT2_I0887
ko:K00343	bsuv:BSPT2_I0888
ko:K00342	bsuv:BSPT2_I0889
ko:K00341	bsuv:BSPT2_I0890
ko:K00340	bsuv:BSPT2_I0891
ko:K00339	bsuv:BSPT2_I0892
ko:K00338	bsuv:BSPT2_I0893
ko:K00337	bsuv:BSPT2_I0894
ko:K00334	bsuv:BSPT2_I0897
ko:K00333	bsuv:BSPT2_I0898
ko:K00332	bsuv:BSPT2_I0899
ko:K00331	bsuv:BSPT2_I0900
ko:K00330	bsuv:BSPT2_I0901
ko:K02871	bsuv:BSPT2_I0912
ko:K02996	bsuv:BSPT2_I0913
ko:K01480	bsuv:BSPT2_I0915
ko:K00145	bsuv:BSPT2_I0916
ko:K02259	bsuv:BSPT2_I0917
ko:K01991	bsuv:BSPT2_I0924
ko:K04764	bsuv:BSPT2_I0930
ko:K00648	bsuv:BSPT2_I0931
ko:K03621	bsuv:BSPT2_I0932
ko:K17662	bsuv:BSPT2_I0934
ko:K01784	bsuv:BSPT2_I0988
ko:K01933	bsuv:BSPT2_I0992
ko:K11175	bsuv:BSPT2_I0993
ko:K07115	bsuv:BSPT2_I1000
ko:K01166	bsuv:BSPT2_I1003
ko:K00799	bsuv:BSPT2_I1004
ko:K16079	bsuv:BSPT2_I1005
ko:K03703	bsuv:BSPT2_I1008
ko:K03636	bsuv:BSPT2_I1010
ko:K03635	bsuv:BSPT2_I1011
ko:K09914	bsuv:BSPT2_I1012
ko:K00940	bsuv:BSPT2_I1013
ko:K06158	bsuv:BSPT2_I1015
ko:K11079	bsuv:BSPT2_II1062
ko:K22616	bsuv:BSPT2_I1570
ko:K00108	bsuv:BSPT2_I1151
ko:K13786	bsuv:BSPT2_I0403
ko:K13541	bsuv:BSPT2_I0406
ko:K03394	bsuv:BSPT2_I0407
ko:K06042	bsuv:BSPT2_I0408
ko:K02229	bsuv:BSPT2_I0409
ko:K00595	bsuv:BSPT2_I0410
ko:K16079	bsuv:BSPT2_I0411
ko:K03630	bsuv:BSPT2_I0412
ko:K01265	bsuv:BSPT2_I0413
ko:K06206	bsuv:BSPT2_I0414
ko:K09956	bsuv:BSPT2_I0416
ko:K14261	bsuv:BSPT2_I0421
ko:K00003	bsuv:BSPT2_I0422
ko:K11532	bsuv:BSPT2_I0424
ko:K01921	bsuv:BSPT2_I0426
ko:K07462	bsuv:BSPT2_I0428
ko:K01759	bsuv:BSPT2_I0430
ko:K03704	bsuv:BSPT2_I0432
ko:K09005	bsuv:BSPT2_I0433
ko:K00640	bsuv:BSPT2_I0436
ko:K03218	bsuv:BSPT2_I0443
ko:K02358	bsuv:BSPT2_I0447
ko:K03073	bsuv:BSPT2_I0449
ko:K02601	bsuv:BSPT2_I0450
ko:K02867	bsuv:BSPT2_I0451
ko:K02863	bsuv:BSPT2_I0452
ko:K02864	bsuv:BSPT2_I0453
ko:K02935	bsuv:BSPT2_I0454
ko:K03043	bsuv:BSPT2_I0455
ko:K03046	bsuv:BSPT2_I0456
ko:K02950	bsuv:BSPT2_I0459
ko:K02992	bsuv:BSPT2_I0460
ko:K02355	bsuv:BSPT2_I0461
ko:K02358	bsuv:BSPT2_I0462
ko:K07402	bsuv:BSPT2_I1343
ko:K13482	bsuv:BSPT2_I1344
ko:K13481	bsuv:BSPT2_I1345
ko:K13481	bsuv:BSPT2_I1346
ko:K14977	bsuv:BSPT2_I1349
ko:K02431	bsuv:BSPT2_I1356
ko:K02056	bsuv:BSPT2_I1358
ko:K02057	bsuv:BSPT2_I1359
ko:K02058	bsuv:BSPT2_I1360
ko:K02013	bsuv:BSPT2_I1362
ko:K02015	bsuv:BSPT2_I1363
ko:K02016	bsuv:BSPT2_I1364
ko:K16092	bsuv:BSPT2_I1366
ko:K13926	bsuv:BSPT2_I1368
ko:K01993	bsuv:BSPT2_I1369
ko:K01430	bsuv:BSPT2_I1372
ko:K01429	bsuv:BSPT2_I1373
ko:K01428	bsuv:BSPT2_I1374
ko:K03187	bsuv:BSPT2_I1375
ko:K03188	bsuv:BSPT2_I1376
ko:K03189	bsuv:BSPT2_I1377
ko:K03190	bsuv:BSPT2_I1378
ko:K04771	bsuv:BSPT2_I1092
ko:K08717	bsuv:BSPT2_I1379
ko:K02009	bsuv:BSPT2_I1380
ko:K02007	bsuv:BSPT2_I1381
ko:K16915	bsuv:BSPT2_I1382
ko:K02008	bsuv:BSPT2_I1383
ko:K02006	bsuv:BSPT2_I1384
ko:K06199	bsuv:BSPT2_I1386
ko:K06998	bsuv:BSPT2_I1390
ko:K00053	bsuv:BSPT2_I1396
ko:K03549	bsuv:BSPT2_I1398
ko:K03474	bsuv:BSPT2_I1399
ko:K01653	bsuv:BSPT2_I1403
ko:K01652	bsuv:BSPT2_I1404
ko:K00791	bsuv:BSPT2_I1406
ko:K01079	bsuv:BSPT2_I1407
ko:K07007	bsuv:BSPT2_I1408
ko:K09937	bsuv:BSPT2_I1410
ko:K04087	bsuv:BSPT2_I1411
ko:K04088	bsuv:BSPT2_I1412
ko:K07552	bsuv:BSPT2_I1417
ko:K09985	bsuv:BSPT2_I1420
ko:K03657	bsuv:BSPT2_I1429
ko:K05805	bsuv:BSPT2_I1430
ko:K07152	bsuv:BSPT2_I1432
ko:K02687	bsuv:BSPT2_I1433
ko:K01262	bsuv:BSPT2_I1434
ko:K01972	bsuv:BSPT2_I1436
ko:K03631	bsuv:BSPT2_I1437
ko:K05807	bsuv:BSPT2_I1438
ko:K02535	bsuv:BSPT2_I1439
ko:K03531	bsuv:BSPT2_I1441
ko:K01442	bsuv:BSPT2_I1483
ko:K09807	bsuv:BSPT2_I1491
ko:K09160	bsuv:BSPT2_I1493
ko:K03086	bsuv:BSPT2_I1495
ko:K03324	bsuv:BSPT2_I1497
ko:K09117	bsuv:BSPT2_I1498
ko:K01956	bsuv:BSPT2_I1499
ko:K07054	bsuv:BSPT2_I1501
ko:K01955	bsuv:BSPT2_I1504
ko:K02471	bsuv:BSPT2_I1506
ko:K03704	bsuv:BSPT2_I1508
ko:K00799	bsuv:BSPT2_I1509
ko:K00812	bsuv:BSPT2_I1511
ko:K00384	bsuv:BSPT2_I1514
ko:K03498	bsuv:BSPT2_I1515
ko:K12989	bsuv:BSPT2_I1517
ko:K03624	bsuv:BSPT2_I1518
ko:K09922	bsuv:BSPT2_I1522
ko:K10806	bsuv:BSPT2_I1524
ko:K03702	bsuv:BSPT2_I1527
ko:K03704	bsuv:BSPT2_I1529
ko:K03719	bsuv:BSPT2_I1589
ko:K02002	bsuv:BSPT2_I1595
ko:K02001	bsuv:BSPT2_I1596
ko:K02000	bsuv:BSPT2_I1597
ko:K12372	bsuv:BSPT2_I1598
ko:K12370	bsuv:BSPT2_I1599
ko:K12369	bsuv:BSPT2_I1600
ko:K12368	bsuv:BSPT2_I1601
ko:K12368	bsuv:BSPT2_I1602
ko:K00566	bsuv:BSPT2_I1606
ko:K06975	bsuv:BSPT2_I1609
ko:K13588	bsuv:BSPT2_I1613
ko:K13584	bsuv:BSPT2_I1614
ko:K07270	bsuv:BSPT2_I1620
ko:K07289	bsuv:BSPT2_I1623
ko:K11074	bsuv:BSPT2_I1624
ko:K11075	bsuv:BSPT2_I1625
ko:K11076	bsuv:BSPT2_I1626
ko:K11073	bsuv:BSPT2_I1627
ko:K07110	bsuv:BSPT2_I1629
ko:K01637	bsuv:BSPT2_I1630
ko:K00076	bsuv:BSPT2_I1638
ko:K01409	bsuv:BSPT2_I1689
ko:K00057	bsuv:BSPT2_I1690
ko:K09780	bsuv:BSPT2_I1691
ko:K03466	bsuv:BSPT2_I1696
ko:K03320	bsuv:BSPT2_I1697
ko:K10805	bsuv:BSPT2_I1698
ko:K03185	bsuv:BSPT2_I1700
ko:K00240	bsuv:BSPT2_I1702
ko:K00239	bsuv:BSPT2_I1703
ko:K00242	bsuv:BSPT2_I1704
ko:K00241	bsuv:BSPT2_I1705
ko:K01703	bsuv:BSPT2_I1707
ko:K02884	bsuv:BSPT2_I1709
ko:K03457	bsuv:BSPT2_I1710
ko:K07090	bsuv:BSPT2_I1711
ko:K00554	bsuv:BSPT2_I1716
ko:K02860	bsuv:BSPT2_I1717
ko:K03733	bsuv:BSPT2_I1718
ko:K09973	bsuv:BSPT2_I1719
ko:K00382	bsuv:BSPT2_I1720
ko:K00658	bsuv:BSPT2_I1724
ko:K00164	bsuv:BSPT2_I1725
ko:K01902	bsuv:BSPT2_I1727
ko:K01903	bsuv:BSPT2_I1728
ko:K00024	bsuv:BSPT2_I1729
ko:K06916	bsuv:BSPT2_I1730
ko:K01778	bsuv:BSPT2_I1733
ko:K19270	bsuv:BSPT2_I0845
ko:K05801	bsuv:BSPT2_I1460
ko:K07273	bsuv:BSPT2_I1462
ko:K07088	bsuv:BSPT2_I1465
ko:K00297	bsuv:BSPT2_I1467
ko:K00598	bsuv:BSPT2_I1472
ko:K09988	bsuv:BSPT2_I1476
ko:K00479	bsuv:BSPT2_I1477
ko:K06193	bsuv:BSPT2_I1479
ko:K08281	bsuv:BSPT2_I1480
ko:K09799	bsuv:BSPT2_I1481
ko:K07659	bsuv:BSPT2_I1536
ko:K07638	bsuv:BSPT2_I1538
ko:K06878	bsuv:BSPT2_I1540
ko:K13292	bsuv:BSPT2_I1544
ko:K05810	bsuv:BSPT2_I1546
