ko:K18929	cjm:CJM1_0074
ko:K03536	cjm:CJM1_0938
ko:K02914	cjm:CJM1_0939
ko:K07107	cjm:CJM1_0943
ko:K15257	cjm:CJM1_0951
ko:K09861	cjm:CJM1_0959
ko:K02867	cjm:CJM1_0461
ko:K02863	cjm:CJM1_0462
ko:K02864	cjm:CJM1_0463
ko:K02935	cjm:CJM1_0464
ko:K03043	cjm:CJM1_0465
ko:K02950	cjm:CJM1_0467
ko:K02992	cjm:CJM1_0468
ko:K02355	cjm:CJM1_0469
ko:K06940	cjm:CJM1_0472
ko:K01609	cjm:CJM1_0474
ko:K06917	cjm:CJM1_0476
ko:K01772	cjm:CJM1_0481
ko:K13017	cjm:CJM1_0483
ko:K01872	cjm:CJM1_0484
ko:K06287	cjm:CJM1_0485
ko:K03695	cjm:CJM1_0487
ko:K03797	cjm:CJM1_0489
ko:K01923	cjm:CJM1_0490
ko:K01952	cjm:CJM1_0491
ko:K01952	cjm:CJM1_0492
ko:K00655	cjm:CJM1_0494
ko:K06199	cjm:CJM1_0495
ko:K04079	cjm:CJM1_0496
ko:K03324	cjm:CJM1_0499
ko:K03587	cjm:CJM1_0500
ko:K02408	cjm:CJM1_0501
ko:K02388	cjm:CJM1_0502
ko:K02387	cjm:CJM1_0503
ko:K07082	cjm:CJM1_0504
ko:K00031	cjm:CJM1_0506
ko:K02406	cjm:CJM1_1296
ko:K02456	cjm:CJM1_1300
ko:K01409	cjm:CJM1_1301
ko:K00099	cjm:CJM1_1303
ko:K00981	cjm:CJM1_1304
ko:K03752	cjm:CJM1_1308
ko:K01058	cjm:CJM1_1309
ko:K02015	cjm:CJM1_1310
ko:K02015	cjm:CJM1_1311
ko:K02013	cjm:CJM1_1312
ko:K02016	cjm:CJM1_1313
ko:K03385	cjm:CJM1_1318
ko:K15876	cjm:CJM1_1319
ko:K00937	cjm:CJM1_1320
ko:K03407	cjm:CJM1_1322
ko:K03551	cjm:CJM1_1323
ko:K01679	cjm:CJM1_1325
ko:K00820	cjm:CJM1_1326
ko:K00990	cjm:CJM1_1327
ko:K06901	cjm:CJM1_1329
ko:K00769	cjm:CJM1_1330
ko:K04754	cjm:CJM1_1331
ko:K07323	cjm:CJM1_1332
ko:K02428	cjm:CJM1_1336
ko:K01042	cjm:CJM1_1339
ko:K03833	cjm:CJM1_1340
ko:K03981	cjm:CJM1_1341
ko:K03839	cjm:CJM1_1343
ko:K03781	cjm:CJM1_1346
ko:K00024	cjm:CJM1_0507
ko:K01903	cjm:CJM1_0508
ko:K01902	cjm:CJM1_0509
ko:K00176	cjm:CJM1_0510
ko:K00174	cjm:CJM1_0511
ko:K00175	cjm:CJM1_0512
ko:K00177	cjm:CJM1_0513
ko:K02523	cjm:CJM1_0516
ko:K02492	cjm:CJM1_0517
ko:K01881	cjm:CJM1_0518
ko:K01649	cjm:CJM1_0519
ko:K01749	cjm:CJM1_0520
ko:K03182	cjm:CJM1_0521
ko:K06603	cjm:CJM1_0522
ko:K02407	cjm:CJM1_0523
ko:K02422	cjm:CJM1_0524
ko:K02356	cjm:CJM1_0526
ko:K00147	cjm:CJM1_0533
ko:K00384	cjm:CJM1_0534
ko:K14652	cjm:CJM1_0549
ko:K09117	cjm:CJM1_0550
ko:K01652	cjm:CJM1_0551
ko:K01653	cjm:CJM1_0552
ko:K02536	cjm:CJM1_0553
ko:K07568	cjm:CJM1_0554
ko:K03118	cjm:CJM1_0555
ko:K03117	cjm:CJM1_0556
ko:K08311	cjm:CJM1_0558
ko:K00928	cjm:CJM1_0559
ko:K02341	cjm:CJM1_0561
ko:K00796	cjm:CJM1_0562
ko:K01972	cjm:CJM1_0563
ko:K03326	cjm:CJM1_1350
ko:K01760	cjm:CJM1_1351
ko:K01756	cjm:CJM1_1352
ko:K04758	cjm:CJM1_1354
ko:K04759	cjm:CJM1_1355
ko:K00208	cjm:CJM1_1357
ko:K01803	cjm:CJM1_1358
ko:K00927	cjm:CJM1_1359
ko:K00134	cjm:CJM1_1360
ko:K00969	cjm:CJM1_1361
ko:K09710	cjm:CJM1_1362
ko:K15778	cjm:CJM1_1364
ko:K02415	cjm:CJM1_1365
ko:K00997	cjm:CJM1_1366
ko:K07265	cjm:CJM1_1370
ko:K07266	cjm:CJM1_1371
ko:K12452	cjm:CJM1_1379
ko:K00978	cjm:CJM1_1380
ko:K01854	cjm:CJM1_1383
ko:K01784	cjm:CJM1_1384
ko:K00012	cjm:CJM1_1385
ko:K06041	cjm:CJM1_1390
ko:K10107	cjm:CJM1_1392
ko:K09689	cjm:CJM1_1393
ko:K09688	cjm:CJM1_1394
ko:K09979	cjm:CJM1_1395
ko:K04075	cjm:CJM1_1399
ko:K02114	cjm:CJM1_0107
ko:K03832	cjm:CJM1_0110
ko:K03641	cjm:CJM1_0111
ko:K03640	cjm:CJM1_0112
ko:K03775	cjm:CJM1_0114
ko:K00645	cjm:CJM1_0115
ko:K07042	cjm:CJM1_0120
ko:K06204	cjm:CJM1_0124
ko:K00783	cjm:CJM1_0125
ko:K01963	cjm:CJM1_0126
ko:K01092	cjm:CJM1_0127
ko:K07277	cjm:CJM1_0128
ko:K04517	cjm:CJM1_0129
ko:K02535	cjm:CJM1_0131
ko:K00872	cjm:CJM1_0133
ko:K02519	cjm:CJM1_0135
ko:K02834	cjm:CJM1_0136
ko:K09748	cjm:CJM1_0137
ko:K09816	cjm:CJM1_0140
ko:K09817	cjm:CJM1_0141
ko:K09815	cjm:CJM1_0142
ko:K07093	cjm:CJM1_0145
ko:K06152	cjm:CJM1_0148
ko:K00384	cjm:CJM1_0149
ko:K03671	cjm:CJM1_0150
ko:K07460	cjm:CJM1_0151
ko:K00003	cjm:CJM1_0152
ko:K14261	cjm:CJM1_0153
ko:K03218	cjm:CJM1_0156
ko:K07056	cjm:CJM1_0157
ko:K02909	cjm:CJM1_0158
ko:K09761	cjm:CJM1_0159
ko:K01737	cjm:CJM1_0161
ko:K00611	cjm:CJM1_0967
ko:K01698	cjm:CJM1_0968
ko:K03501	cjm:CJM1_0970
ko:K03086	cjm:CJM1_0974
ko:K08296	cjm:CJM1_0975
ko:K01735	cjm:CJM1_0981
ko:K09944	cjm:CJM1_0982
ko:K00773	cjm:CJM1_0983
ko:K01996	cjm:CJM1_0988
ko:K01995	cjm:CJM1_0989
ko:K01998	cjm:CJM1_0990
ko:K01997	cjm:CJM1_0991
ko:K01999	cjm:CJM1_0992
ko:K01999	cjm:CJM1_0993
ko:K00133	cjm:CJM1_0997
ko:K09860	cjm:CJM1_1000
ko:K02469	cjm:CJM1_1001
ko:K02242	cjm:CJM1_1002
ko:K03596	cjm:CJM1_1004
ko:K03686	cjm:CJM1_1008
ko:K03588	cjm:CJM1_1013
ko:K02563	cjm:CJM1_1014
ko:K03449	cjm:CJM1_1015
ko:K03639	cjm:CJM1_0163
ko:K03179	cjm:CJM1_0166
ko:K00791	cjm:CJM1_0167
ko:K04564	cjm:CJM1_0171
ko:K02010	cjm:CJM1_0173
ko:K02011	cjm:CJM1_0174
ko:K02012	cjm:CJM1_0175
ko:K06193	cjm:CJM1_0179
ko:K11175	cjm:CJM1_0181
ko:K07391	cjm:CJM1_0184
ko:K01462	cjm:CJM1_0185
ko:K01358	cjm:CJM1_0186
ko:K03545	cjm:CJM1_0187
ko:K01495	cjm:CJM1_0188
ko:K02412	cjm:CJM1_0189
ko:K00764	cjm:CJM1_0190
ko:K00215	cjm:CJM1_0191
ko:K07478	cjm:CJM1_0192
ko:K03300	cjm:CJM1_0197
ko:K06153	cjm:CJM1_0199
ko:K01868	cjm:CJM1_0200
ko:K02520	cjm:CJM1_0201
ko:K00145	cjm:CJM1_0207
ko:K00930	cjm:CJM1_0209
ko:K00573	cjm:CJM1_0211
ko:K00763	cjm:CJM1_0213
ko:K00762	cjm:CJM1_0216
ko:K02838	cjm:CJM1_0217
ko:K03075	cjm:CJM1_0218
ko:K00788	cjm:CJM1_1018
ko:K03150	cjm:CJM1_1019
ko:K03149	cjm:CJM1_1020
ko:K03148	cjm:CJM1_1021
ko:K03154	cjm:CJM1_1022
ko:K01154	cjm:CJM1_1023
ko:K01439	cjm:CJM1_1027
ko:K06895	cjm:CJM1_1028
ko:K12410	cjm:CJM1_1029
ko:K07456	cjm:CJM1_1031
ko:K01924	cjm:CJM1_1033
ko:K03602	cjm:CJM1_1035
ko:K00088	cjm:CJM1_1036
ko:K02433	cjm:CJM1_1037
ko:K01870	cjm:CJM1_1038
ko:K00995	cjm:CJM1_1043
ko:K11749	cjm:CJM1_1044
ko:K09824	cjm:CJM1_1046
ko:K02990	cjm:CJM1_1047
ko:K06442	cjm:CJM1_0565
ko:K11753	cjm:CJM1_0566
ko:K15256	cjm:CJM1_0567
ko:K01173	cjm:CJM1_0571
ko:K10773	cjm:CJM1_0572
ko:K01624	cjm:CJM1_0574
ko:K02557	cjm:CJM1_0576
ko:K03308	cjm:CJM1_0578
ko:K04084	cjm:CJM1_0580
ko:K13888	cjm:CJM1_0583
ko:K05685	cjm:CJM1_0584
ko:K09795	cjm:CJM1_0587
ko:K02217	cjm:CJM1_0590
ko:K02040	cjm:CJM1_0591
ko:K02037	cjm:CJM1_0592
ko:K02038	cjm:CJM1_0593
ko:K02036	cjm:CJM1_0594
ko:K07043	cjm:CJM1_0596
ko:K04656	cjm:CJM1_0598
ko:K04652	cjm:CJM1_0599
ko:K04653	cjm:CJM1_0600
ko:K04654	cjm:CJM1_0601
ko:K04655	cjm:CJM1_0602
ko:K04651	cjm:CJM1_0603
ko:K07504	cjm:CJM1_0604
ko:K02340	cjm:CJM1_0605
ko:K12573	cjm:CJM1_0606
ko:K00053	cjm:CJM1_0607
ko:K09798	cjm:CJM1_0608
ko:K04096	cjm:CJM1_0609
ko:K07447	cjm:CJM1_0610
ko:K07304	cjm:CJM1_0612
ko:K01507	cjm:CJM1_0613
ko:K00939	cjm:CJM1_0614
ko:K01876	cjm:CJM1_0615
ko:K00858	cjm:CJM1_0616
ko:K03631	cjm:CJM1_0617
ko:K03424	cjm:CJM1_0619
ko:K08307	cjm:CJM1_0620
ko:K03642	cjm:CJM1_0621
ko:K02836	cjm:CJM1_1401
ko:K06176	cjm:CJM1_1403
ko:K00946	cjm:CJM1_1404
ko:K02394	cjm:CJM1_1408
ko:K02396	cjm:CJM1_1412
ko:K07090	cjm:CJM1_1414
ko:K02455	cjm:CJM1_1415
ko:K02454	cjm:CJM1_1416
ko:K01714	cjm:CJM1_1418
ko:K02453	cjm:CJM1_1419
ko:K03737	cjm:CJM1_1421
ko:K01091	cjm:CJM1_1422
ko:K03286	cjm:CJM1_1423
ko:K02996	cjm:CJM1_1424
ko:K02871	cjm:CJM1_1425
ko:K03582	cjm:CJM1_1426
ko:K00406	cjm:CJM1_1431
ko:K00407	cjm:CJM1_1432
ko:K02963	cjm:CJM1_1049
ko:K01338	cjm:CJM1_1050
ko:K05807	cjm:CJM1_1051
ko:K13626	cjm:CJM1_1052
ko:K00286	cjm:CJM1_1053
ko:K01719	cjm:CJM1_1057
ko:K00788	cjm:CJM1_1058
ko:K00941	cjm:CJM1_1059
ko:K07457	cjm:CJM1_1060
ko:K06923	cjm:CJM1_1061
ko:K03723	cjm:CJM1_1062
ko:K11754	cjm:CJM1_1065
ko:K01869	cjm:CJM1_1068
ko:K03074	cjm:CJM1_1069
ko:K03072	cjm:CJM1_1070
ko:K03210	cjm:CJM1_1071
ko:K01673	cjm:CJM1_0220
ko:K03406	cjm:CJM1_1450
ko:K00405	cjm:CJM1_1433
ko:K00404	cjm:CJM1_1434
ko:K02379	cjm:CJM1_1452
ko:K00127	cjm:CJM1_1453
ko:K00124	cjm:CJM1_1454
ko:K09792	cjm:CJM1_1437
ko:K01956	cjm:CJM1_1438
ko:K09804	cjm:CJM1_1439
ko:K01939	cjm:CJM1_1442
ko:K07112	cjm:CJM1_1444
ko:K13821	cjm:CJM1_1447
ko:K01008	cjm:CJM1_1448
ko:K04487	cjm:CJM1_0223
ko:K02916	cjm:CJM1_0226
ko:K02887	cjm:CJM1_0227
ko:K13819	cjm:CJM1_0222
ko:K03637	cjm:CJM1_0234
ko:K01142	cjm:CJM1_0237
ko:K03760	cjm:CJM1_0239
ko:K00901	cjm:CJM1_0240
ko:K01465	cjm:CJM1_0242
ko:K03406	cjm:CJM1_0245
ko:K07238	cjm:CJM1_0246
ko:K07238	cjm:CJM1_0247
ko:K03532	cjm:CJM1_0249
ko:K00826	cjm:CJM1_0253
ko:K01821	cjm:CJM1_0254
ko:K03564	cjm:CJM1_0255
ko:K09765	cjm:CJM1_0256
ko:K02372	cjm:CJM1_0257
ko:K00677	cjm:CJM1_0258
ko:K03544	cjm:CJM1_0259
ko:K03569	cjm:CJM1_0260
ko:K03570	cjm:CJM1_0261
ko:K01955	cjm:CJM1_0262
ko:K00616	cjm:CJM1_0264
ko:K01079	cjm:CJM1_0265
ko:K03408	cjm:CJM1_0266
ko:K03407	cjm:CJM1_0267
ko:K03415	cjm:CJM1_0268
ko:K03269	cjm:CJM1_0269
ko:K03624	cjm:CJM1_0270
ko:K00748	cjm:CJM1_0271
ko:K11382	cjm:CJM1_0273
ko:K03820	cjm:CJM1_1072
ko:K00789	cjm:CJM1_1073
ko:K07862	cjm:CJM1_1074
ko:K00609	cjm:CJM1_1075
ko:K08602	cjm:CJM1_1076
ko:K03657	cjm:CJM1_1078
ko:K03177	cjm:CJM1_1079
ko:K03563	cjm:CJM1_1080
ko:K00919	cjm:CJM1_1081
ko:K03664	cjm:CJM1_1082
ko:K06891	cjm:CJM1_1084
ko:K03694	cjm:CJM1_1085
ko:K00684	cjm:CJM1_1086
ko:K03406	cjm:CJM1_1087
ko:K05595	cjm:CJM1_1088
ko:K07305	cjm:CJM1_1089
ko:K01613	cjm:CJM1_1092
ko:K03798	cjm:CJM1_1093
ko:K02687	cjm:CJM1_1095
ko:K03413	cjm:CJM1_1096
ko:K01784	cjm:CJM1_1109
ko:K07501	cjm:CJM1_1110
ko:K02841	cjm:CJM1_1111
ko:K03270	cjm:CJM1_0622
ko:K09774	cjm:CJM1_0624
ko:K03978	cjm:CJM1_0625
ko:K05515	cjm:CJM1_0627
ko:K01262	cjm:CJM1_0628
ko:K03305	cjm:CJM1_0629
ko:K03305	cjm:CJM1_0631
ko:K03667	cjm:CJM1_0635
ko:K01419	cjm:CJM1_0636
ko:K02939	cjm:CJM1_0637
ko:K01940	cjm:CJM1_0638
ko:K06925	cjm:CJM1_0640
ko:K06861	cjm:CJM1_0641
ko:K03092	cjm:CJM1_0642
ko:K07792	cjm:CJM1_0643
ko:K01546	cjm:CJM1_0645
ko:K01547	cjm:CJM1_0646
ko:K01548	cjm:CJM1_0647
ko:K07646	cjm:CJM1_0648
ko:K03702	cjm:CJM1_0650
ko:K02456	cjm:CJM1_0653
ko:K04066	cjm:CJM1_0654
ko:K07010	cjm:CJM1_0656
ko:K00860	cjm:CJM1_0668
ko:K02393	cjm:CJM1_0670
ko:K13788	cjm:CJM1_0671
ko:K00925	cjm:CJM1_0672
ko:K03438	cjm:CJM1_0675
ko:K03770	cjm:CJM1_0676
ko:K03590	cjm:CJM1_0677
ko:K03531	cjm:CJM1_0678
ko:K00123	cjm:CJM1_1455
ko:K01895	cjm:CJM1_1478
ko:K06857	cjm:CJM1_1479
ko:K05773	cjm:CJM1_1480
ko:K05772	cjm:CJM1_1481
ko:K07160	cjm:CJM1_1482
ko:K03923	cjm:CJM1_1486
ko:K03098	cjm:CJM1_1488
ko:K13979	cjm:CJM1_1489
ko:K01153	cjm:CJM1_1490
ko:K01154	cjm:CJM1_1493
ko:K03427	cjm:CJM1_1494
ko:K01607	cjm:CJM1_1495
ko:K03406	cjm:CJM1_1500
ko:K00343	cjm:CJM1_1502
ko:K00342	cjm:CJM1_1503
ko:K00341	cjm:CJM1_1504
ko:K00340	cjm:CJM1_1505
ko:K00339	cjm:CJM1_1506
ko:K00338	cjm:CJM1_1507
ko:K00123	cjm:CJM1_1456
ko:K13747	cjm:CJM1_1459
ko:K03636	cjm:CJM1_1461
ko:K03635	cjm:CJM1_1462
ko:K03750	cjm:CJM1_1463
ko:K09952	cjm:CJM1_1467
ko:K03326	cjm:CJM1_1468
ko:K01933	cjm:CJM1_1470
ko:K00859	cjm:CJM1_1471
ko:K01778	cjm:CJM1_1472
ko:K03796	cjm:CJM1_1473
ko:K07133	cjm:CJM1_1474
ko:K04047	cjm:CJM1_1475
ko:K01810	cjm:CJM1_1476
ko:K00963	cjm:CJM1_1477
ko:K02392	cjm:CJM1_0679
ko:K02392	cjm:CJM1_0680
ko:K01915	cjm:CJM1_0681
ko:K08303	cjm:CJM1_0683
ko:K01588	cjm:CJM1_0684
ko:K01878	cjm:CJM1_0686
ko:K07164	cjm:CJM1_0688
ko:K02527	cjm:CJM1_0690
ko:K06180	cjm:CJM1_0691
ko:K00973	cjm:CJM1_1114
ko:K00604	cjm:CJM1_1118
ko:K02517	cjm:CJM1_1112
ko:K07270	cjm:CJM1_1125
ko:K02959	cjm:CJM1_0693
ko:K06960	cjm:CJM1_0694
ko:K02860	cjm:CJM1_0695
ko:K00554	cjm:CJM1_0696
ko:K02884	cjm:CJM1_0697
ko:K07127	cjm:CJM1_0698
ko:K01626	cjm:CJM1_0699
ko:K02337	cjm:CJM1_0701
ko:K06997	cjm:CJM1_0702
ko:K02406	cjm:CJM1_0703
ko:K02493	cjm:CJM1_0705
ko:K06013	cjm:CJM1_0706
ko:K03831	cjm:CJM1_0708
ko:K03284	cjm:CJM1_0709
ko:K02055	cjm:CJM1_0710
ko:K02054	cjm:CJM1_0713
ko:K02053	cjm:CJM1_0714
ko:K03106	cjm:CJM1_0692
ko:K02052	cjm:CJM1_0715
ko:K03705	cjm:CJM1_0731
ko:K03687	cjm:CJM1_0732
ko:K04043	cjm:CJM1_0733
ko:K00812	cjm:CJM1_0736
ko:K00640	cjm:CJM1_0737
ko:K01585	cjm:CJM1_0738
ko:K01892	cjm:CJM1_0739
ko:K00337	cjm:CJM1_1508
ko:K00334	cjm:CJM1_1511
ko:K00333	cjm:CJM1_1512
ko:K00332	cjm:CJM1_1513
ko:K00331	cjm:CJM1_1514
ko:K00330	cjm:CJM1_1515
ko:K02034	cjm:CJM1_1518
ko:K02033	cjm:CJM1_1519
ko:K02035	cjm:CJM1_1520
ko:K07306	cjm:CJM1_1521
ko:K07307	cjm:CJM1_1522
ko:K07308	cjm:CJM1_1523
ko:K06159	cjm:CJM1_1526
ko:K02518	cjm:CJM1_1529
ko:K02952	cjm:CJM1_1530
ko:K02948	cjm:CJM1_1531
ko:K02986	cjm:CJM1_1532
ko:K03040	cjm:CJM1_1533
ko:K02879	cjm:CJM1_1534
ko:K03787	cjm:CJM1_0275
ko:K07052	cjm:CJM1_0278
ko:K02017	cjm:CJM1_0279
ko:K02018	cjm:CJM1_0280
ko:K02020	cjm:CJM1_0282
ko:K02169	cjm:CJM1_0283
ko:K09789	cjm:CJM1_0284
ko:K00652	cjm:CJM1_0285
ko:K00833	cjm:CJM1_0287
ko:K01935	cjm:CJM1_0288
ko:K02897	cjm:CJM1_0291
ko:K01056	cjm:CJM1_0292
ko:K11720	cjm:CJM1_0293
ko:K01586	cjm:CJM1_0294
ko:K02566	cjm:CJM1_0295
ko:K14170	cjm:CJM1_0296
ko:K00817	cjm:CJM1_0297
ko:K02409	cjm:CJM1_0298
ko:K02410	cjm:CJM1_0299
ko:K02411	cjm:CJM1_0300
ko:K01662	cjm:CJM1_0301
ko:K09825	cjm:CJM1_0302
ko:K03183	cjm:CJM1_0304
ko:K03601	cjm:CJM1_0305
ko:K00831	cjm:CJM1_0306
ko:K00648	cjm:CJM1_0308
ko:K03621	cjm:CJM1_0309
ko:K02911	cjm:CJM1_0310
ko:K00940	cjm:CJM1_0312
ko:K03386	cjm:CJM1_0314
ko:K02401	cjm:CJM1_0315
ko:K02557	cjm:CJM1_0316
ko:K02556	cjm:CJM1_0317
ko:K03701	cjm:CJM1_0322
ko:K07090	cjm:CJM1_0323
ko:K01657	cjm:CJM1_0324
ko:K13497	cjm:CJM1_0325
ko:K01817	cjm:CJM1_0326
ko:K01696	cjm:CJM1_0327
ko:K01695	cjm:CJM1_0328
ko:K02417	cjm:CJM1_0330
ko:K02843	cjm:CJM1_1129
ko:K03271	cjm:CJM1_1132
ko:K03272	cjm:CJM1_1133
ko:K03274	cjm:CJM1_1134
ko:K03273	cjm:CJM1_1135
ko:K03628	cjm:CJM1_1140
ko:K02343	cjm:CJM1_1141
ko:K09981	cjm:CJM1_1146
ko:K00016	cjm:CJM1_1149
ko:K03768	cjm:CJM1_1153
ko:K11743	cjm:CJM1_1155
ko:K11742	cjm:CJM1_1156
ko:K01887	cjm:CJM1_1157
ko:K03116	cjm:CJM1_1158
ko:K00942	cjm:CJM1_1159
ko:K02421	cjm:CJM1_1161
ko:K02003	cjm:CJM1_1162
ko:K02357	cjm:CJM1_1163
ko:K02967	cjm:CJM1_1164
ko:K00574	cjm:CJM1_1165
ko:K00413	cjm:CJM1_1166
ko:K00412	cjm:CJM1_1167
ko:K00411	cjm:CJM1_1168
ko:K03893	cjm:CJM1_1169
ko:K03495	cjm:CJM1_1170
ko:K11103	cjm:CJM1_1174
ko:K03306	cjm:CJM1_1176
ko:K01465	cjm:CJM1_1177
ko:K00057	cjm:CJM1_1178
ko:K02434	cjm:CJM1_1179
ko:K07173	cjm:CJM1_1180
ko:K02835	cjm:CJM1_1549
ko:K07226	cjm:CJM1_1550
ko:K02014	cjm:CJM1_1551
ko:K00765	cjm:CJM1_1535
ko:K02015	cjm:CJM1_1552
ko:K02013	cjm:CJM1_1553
ko:K02016	cjm:CJM1_1554
ko:K03575	cjm:CJM1_1557
ko:K00013	cjm:CJM1_1536
ko:K01089	cjm:CJM1_1537
ko:K02501	cjm:CJM1_1538
ko:K01814	cjm:CJM1_1539
ko:K02500	cjm:CJM1_1540
ko:K11755	cjm:CJM1_1541
ko:K00674	cjm:CJM1_1542
ko:K03593	cjm:CJM1_1543
ko:K12506	cjm:CJM1_1544
ko:K00958	cjm:CJM1_1546
ko:K01095	cjm:CJM1_1547
ko:K02968	cjm:CJM1_1548
ko:K00806	cjm:CJM1_0797
ko:K02654	cjm:CJM1_0798
ko:K07091	cjm:CJM1_0799
ko:K06173	cjm:CJM1_0800
ko:K01754	cjm:CJM1_0801
ko:K09943	cjm:CJM1_0802
ko:K01682	cjm:CJM1_0807
ko:K00567	cjm:CJM1_0808
ko:K01772	cjm:CJM1_0809
ko:K01874	cjm:CJM1_0810
ko:K03841	cjm:CJM1_0812
ko:K03753	cjm:CJM1_0813
ko:K08309	cjm:CJM1_0815
ko:K02221	cjm:CJM1_0816
ko:K01885	cjm:CJM1_0817
ko:K07098	cjm:CJM1_0818
ko:K01613	cjm:CJM1_0819
ko:K04061	cjm:CJM1_0820
ko:K01845	cjm:CJM1_0825
ko:K01491	cjm:CJM1_0827
ko:K03100	cjm:CJM1_0828
ko:K03750	cjm:CJM1_0829
ko:K00790	cjm:CJM1_0830
ko:K01664	cjm:CJM1_0833
ko:K03342	cjm:CJM1_0835
ko:K04763	cjm:CJM1_0836
ko:K03673	cjm:CJM1_0837
ko:K03611	cjm:CJM1_0838
ko:K03673	cjm:CJM1_0841
ko:K02400	cjm:CJM1_0847
ko:K02956	cjm:CJM1_0849
ko:K03466	cjm:CJM1_0850
ko:K02420	cjm:CJM1_1621
ko:K00075	cjm:CJM1_1622
ko:K01082	cjm:CJM1_1624
ko:K01647	cjm:CJM1_1625
