ko:K08744	mbz:LH58_09780
ko:K01889	mbz:LH58_08865
ko:K01890	mbz:LH58_08870
ko:K00145	mbz:LH58_08880
ko:K00620	mbz:LH58_08885
ko:K00930	mbz:LH58_08890
ko:K00611	mbz:LH58_08900
ko:K03402	mbz:LH58_08905
ko:K01940	mbz:LH58_08910
ko:K01755	mbz:LH58_08915
ko:K16167	mbz:LH58_08920
ko:K16167	mbz:LH58_08945
ko:K02654	mbz:LH58_13625
ko:K00014	mbz:LH58_13630
ko:K07082	mbz:LH58_13635
ko:K07447	mbz:LH58_13640
ko:K01872	mbz:LH58_13645
ko:K07478	mbz:LH58_13665
ko:K02004	mbz:LH58_13685
ko:K02003	mbz:LH58_13690
ko:K07001	mbz:LH58_13695
ko:K01876	mbz:LH58_13730
ko:K00077	mbz:LH58_13735
ko:K07054	mbz:LH58_13745
ko:K01892	mbz:LH58_13770
ko:K03768	mbz:LH58_13780
ko:K00951	mbz:LH58_13785
ko:K00759	mbz:LH58_13790
ko:K02035	mbz:LH58_13795
ko:K03074	mbz:LH58_13800
ko:K03072	mbz:LH58_13805
ko:K03210	mbz:LH58_13810
ko:K07250	mbz:LH58_13815
ko:K12421	mbz:LH58_13820
ko:K03551	mbz:LH58_13830
ko:K03550	mbz:LH58_13835
ko:K01159	mbz:LH58_13840
ko:K00797	mbz:LH58_13875
ko:K00140	mbz:LH58_04095
ko:K02484	mbz:LH58_04130
ko:K00121	mbz:LH58_04145
ko:K05917	mbz:LH58_04160
ko:K00128	mbz:LH58_04180
ko:K01607	mbz:LH58_04195
ko:K01945	mbz:LH58_04200
ko:K00681	mbz:LH58_04205
ko:K01756	mbz:LH58_04225
ko:K01923	mbz:LH58_04240
ko:K01354	mbz:LH58_04245
ko:K06986	mbz:LH58_04265
ko:K07077	mbz:LH58_04275
ko:K01952	mbz:LH58_04290
ko:K01952	mbz:LH58_04295
ko:K03710	mbz:LH58_04315
ko:K00382	mbz:LH58_04325
ko:K00382	mbz:LH58_04330
ko:K07223	mbz:LH58_04345
ko:K01990	mbz:LH58_09055
ko:K03652	mbz:LH58_09060
ko:K01866	mbz:LH58_09065
ko:K06442	mbz:LH58_09090
ko:K00858	mbz:LH58_09095
ko:K03631	mbz:LH58_09100
ko:K01937	mbz:LH58_09115
ko:K01515	mbz:LH58_09120
ko:K04763	mbz:LH58_09125
ko:K00545	mbz:LH58_09145
ko:K11737	mbz:LH58_09150
ko:K03321	mbz:LH58_09170
ko:K05896	mbz:LH58_09180
ko:K06024	mbz:LH58_09185
ko:K06178	mbz:LH58_09190
ko:K00945	mbz:LH58_09195
ko:K03977	mbz:LH58_09200
ko:K08681	mbz:LH58_13895
ko:K10805	mbz:LH58_13900
ko:K06215	mbz:LH58_13905
ko:K00275	mbz:LH58_13910
ko:K08256	mbz:LH58_13925
ko:K00995	mbz:LH58_13935
ko:K01868	mbz:LH58_13945
ko:K14415	mbz:LH58_14045
ko:K18554	mbz:LH58_14075
ko:K09771	mbz:LH58_14090
ko:K06916	mbz:LH58_14190
ko:K01952	mbz:LH58_04365
ko:K07052	mbz:LH58_04370
ko:K00764	mbz:LH58_04390
ko:K01933	mbz:LH58_04395
ko:K06980	mbz:LH58_04405
ko:K02619	mbz:LH58_04410
ko:K01011	mbz:LH58_04430
ko:K15520	mbz:LH58_04450
ko:K02036	mbz:LH58_04455
ko:K02039	mbz:LH58_04460
ko:K03921	mbz:LH58_04475
ko:K08641	mbz:LH58_04575
ko:K01259	mbz:LH58_04585
ko:K00161	mbz:LH58_04600
ko:K07684	mbz:LH58_04605
ko:K02480	mbz:LH58_04610
ko:K01738	mbz:LH58_04625
ko:K01796	mbz:LH58_04660
ko:K02575	mbz:LH58_09340
ko:K01823	mbz:LH58_09385
ko:K00666	mbz:LH58_09415
ko:K01114	mbz:LH58_09445
ko:K14335	mbz:LH58_09450
ko:K00387	mbz:LH58_09455
ko:K06994	mbz:LH58_09460
ko:K00705	mbz:LH58_09565
ko:K16647	mbz:LH58_14205
ko:K07305	mbz:LH58_14210
ko:K00231	mbz:LH58_14225
ko:K01599	mbz:LH58_14230
ko:K01692	mbz:LH58_14235
ko:K03684	mbz:LH58_14245
ko:K01662	mbz:LH58_14250
ko:K16905	mbz:LH58_14270
ko:K16906	mbz:LH58_14275
ko:K16907	mbz:LH58_14280
ko:K03499	mbz:LH58_14295
ko:K03499	mbz:LH58_14300
ko:K01092	mbz:LH58_14345
ko:K00886	mbz:LH58_14350
ko:K03086	mbz:LH58_14355
ko:K07058	mbz:LH58_14375
ko:K03087	mbz:LH58_14390
ko:K03709	mbz:LH58_14395
ko:K00322	mbz:LH58_14405
ko:K07738	mbz:LH58_14430
ko:K01356	mbz:LH58_14440
ko:K05794	mbz:LH58_14455
ko:K03665	mbz:LH58_14465
ko:K14267	mbz:LH58_04675
ko:K00626	mbz:LH58_04680
ko:K01782	mbz:LH58_04685
ko:K10843	mbz:LH58_04690
ko:K03637	mbz:LH58_04705
ko:K03635	mbz:LH58_04715
ko:K03639	mbz:LH58_04730
ko:K03704	mbz:LH58_04740
ko:K00831	mbz:LH58_04805
ko:K00528	mbz:LH58_04815
ko:K04750	mbz:LH58_04820
ko:K01647	mbz:LH58_04835
ko:K01647	mbz:LH58_04875
ko:K07655	mbz:LH58_04905
ko:K07671	mbz:LH58_04910
ko:K01962	mbz:LH58_04915
ko:K01963	mbz:LH58_04915
ko:K01692	mbz:LH58_04920
ko:K06996	mbz:LH58_04955
ko:K11159	mbz:LH58_04970
ko:K14743	mbz:LH58_09635
ko:K07507	mbz:LH58_09720
ko:K03885	mbz:LH58_09725
ko:K02471	mbz:LH58_09765
ko:K01652	mbz:LH58_09770
ko:K03070	mbz:LH58_09775
ko:K02437	mbz:LH58_09800
ko:K08999	mbz:LH58_09815
ko:K00281	mbz:LH58_09830
ko:K06978	mbz:LH58_09845
ko:K01638	mbz:LH58_09855
ko:K00088	mbz:LH58_09890
ko:K01430	mbz:LH58_09915
ko:K01429	mbz:LH58_09920
ko:K01428	mbz:LH58_09925
ko:K00697	mbz:LH58_18910
ko:K18481	mbz:LH58_18920
ko:K18481	mbz:LH58_18925
ko:K02067	mbz:LH58_18930
ko:K02067	mbz:LH58_18935
ko:K02067	mbz:LH58_18940
ko:K02067	mbz:LH58_18945
ko:K02067	mbz:LH58_18950
ko:K02067	mbz:LH58_18955
ko:K02066	mbz:LH58_18960
ko:K02066	mbz:LH58_18965
ko:K00059	mbz:LH58_18970
ko:K05337	mbz:LH58_18975
ko:K00666	mbz:LH58_18990
ko:K01652	mbz:LH58_19010
ko:K07045	mbz:LH58_19015
ko:K18688	mbz:LH58_19035
ko:K01692	mbz:LH58_19040
ko:K16046	mbz:LH58_19050
ko:K16046	mbz:LH58_19055
ko:K07068	mbz:LH58_19070
ko:K00626	mbz:LH58_19080
ko:K15982	mbz:LH58_19095
ko:K01666	mbz:LH58_19145
ko:K04073	mbz:LH58_19150
ko:K02554	mbz:LH58_19155
ko:K15981	mbz:LH58_19200
ko:K00626	mbz:LH58_19205
ko:K01692	mbz:LH58_19225
ko:K00626	mbz:LH58_19255
ko:K00059	mbz:LH58_19270
ko:K18687	mbz:LH58_19280
ko:K00622	mbz:LH58_19305
ko:K16049	mbz:LH58_19325
ko:K16050	mbz:LH58_19330
ko:K16047	mbz:LH58_19335
ko:K15983	mbz:LH58_19340
ko:K03893	mbz:LH58_19380
ko:K03218	mbz:LH58_19385
ko:K01883	mbz:LH58_19390
ko:K01770	mbz:LH58_19395
ko:K00991	mbz:LH58_19400
ko:K07736	mbz:LH58_19405
ko:K04485	mbz:LH58_19415
ko:K07067	mbz:LH58_19420
ko:K01673	mbz:LH58_19430
ko:K03575	mbz:LH58_19435
ko:K03696	mbz:LH58_19470
ko:K04567	mbz:LH58_19480
ko:K03525	mbz:LH58_19490
ko:K01579	mbz:LH58_19495
ko:K01918	mbz:LH58_19500
ko:K00950	mbz:LH58_19520
ko:K01633	mbz:LH58_19525
ko:K00796	mbz:LH58_19530
ko:K01495	mbz:LH58_19535
ko:K03798	mbz:LH58_19540
ko:K00760	mbz:LH58_19575
ko:K04075	mbz:LH58_19580
ko:K07259	mbz:LH58_19590
ko:K01507	mbz:LH58_19595
ko:K09799	mbz:LH58_19600
ko:K09153	mbz:LH58_19615
ko:K01784	mbz:LH58_19630
ko:K04095	mbz:LH58_19665
ko:K02341	mbz:LH58_19690
ko:K03168	mbz:LH58_19700
ko:K03704	mbz:LH58_19710
ko:K06877	mbz:LH58_19715
ko:K02313	mbz:LH58_00005
ko:K02338	mbz:LH58_00010
ko:K03629	mbz:LH58_00015
ko:K02470	mbz:LH58_00025
ko:K02469	mbz:LH58_00030
ko:K03767	mbz:LH58_00070
ko:K01664	mbz:LH58_00090
ko:K00459	mbz:LH58_00135
ko:K00652	mbz:LH58_00195
ko:K07735	mbz:LH58_00225
ko:K01869	mbz:LH58_00240
ko:K01858	mbz:LH58_00265
ko:K02990	mbz:LH58_00300
ko:K02963	mbz:LH58_00310
ko:K02939	mbz:LH58_00315
ko:K00626	mbz:LH58_04975
ko:K02168	mbz:LH58_04990
ko:K03322	mbz:LH58_05035
ko:K00076	mbz:LH58_05050
ko:K02040	mbz:LH58_05055
ko:K02037	mbz:LH58_05060
ko:K02038	mbz:LH58_05065
ko:K02040	mbz:LH58_05075
ko:K02036	mbz:LH58_05085
ko:K02040	mbz:LH58_05090
ko:K02037	mbz:LH58_05095
ko:K02038	mbz:LH58_05100
ko:K10979	mbz:LH58_05105
ko:K10563	mbz:LH58_05140
ko:K01810	mbz:LH58_05150
ko:K04093	mbz:LH58_05170
ko:K03657	mbz:LH58_05175
ko:K01903	mbz:LH58_05185
ko:K01902	mbz:LH58_05190
ko:K11175	mbz:LH58_05210
ko:K00602	mbz:LH58_05215
ko:K03405	mbz:LH58_05220
ko:K03188	mbz:LH58_09930
ko:K03189	mbz:LH58_09935
ko:K03190	mbz:LH58_09940
ko:K03885	mbz:LH58_09945
ko:K02020	mbz:LH58_09960
ko:K02018	mbz:LH58_09965
ko:K02017	mbz:LH58_09970
ko:K13953	mbz:LH58_09985
ko:K07052	mbz:LH58_09990
ko:K00626	mbz:LH58_10010
ko:K00101	mbz:LH58_10035
ko:K03594	mbz:LH58_10055
ko:K01915	mbz:LH58_10070
ko:K07045	mbz:LH58_10075
ko:K04093	mbz:LH58_10105
ko:K07560	mbz:LH58_10180
ko:K03742	mbz:LH58_10200
ko:K08178	mbz:LH58_10205
ko:K08972	mbz:LH58_10210
ko:K09118	mbz:LH58_00365
ko:K00031	mbz:LH58_00380
ko:K01752	mbz:LH58_00400
ko:K00600	mbz:LH58_00405
ko:K02004	mbz:LH58_00420
ko:K14155	mbz:LH58_00435
ko:K12140	mbz:LH58_00495
ko:K12141	mbz:LH58_00500
ko:K01243	mbz:LH58_00525
ko:K12949	mbz:LH58_00530
ko:K12422	mbz:LH58_00565
ko:K02351	mbz:LH58_00580
ko:K07245	mbz:LH58_00580
ko:K12949	mbz:LH58_00585
ko:K02902	mbz:LH58_00595
ko:K12955	mbz:LH58_00605
ko:K03271	mbz:LH58_00635
ko:K03273	mbz:LH58_00640
ko:K12956	mbz:LH58_05285
ko:K01692	mbz:LH58_05295
ko:K01965	mbz:LH58_05305
ko:K02911	mbz:LH58_05350
ko:K07669	mbz:LH58_05360
ko:K07653	mbz:LH58_05365
ko:K08372	mbz:LH58_05370
ko:K03282	mbz:LH58_05380
ko:K02003	mbz:LH58_05385
ko:K00805	mbz:LH58_05400
ko:K00963	mbz:LH58_05420
ko:K03750	mbz:LH58_05425
ko:K03790	mbz:LH58_05430
ko:K01478	mbz:LH58_05475
ko:K07056	mbz:LH58_05485
ko:K01665	mbz:LH58_05495
ko:K01874	mbz:LH58_05510
ko:K03424	mbz:LH58_05515
ko:K02528	mbz:LH58_05525
ko:K00919	mbz:LH58_05530
ko:K00666	mbz:LH58_05540
ko:K01056	mbz:LH58_05545
ko:K02897	mbz:LH58_05550
ko:K00948	mbz:LH58_05560
ko:K04042	mbz:LH58_05565
ko:K03782	mbz:LH58_10240
ko:K06910	mbz:LH58_10250
ko:K06910	mbz:LH58_10255
ko:K01637	mbz:LH58_10275
ko:K00666	mbz:LH58_10320
ko:K09166	mbz:LH58_10330
ko:K11065	mbz:LH58_10355
ko:K01692	mbz:LH58_10370
ko:K14652	mbz:LH58_10395
ko:K00052	mbz:LH58_15930
ko:K00058	mbz:LH58_15935
ko:K02069	mbz:LH58_15960
ko:K00053	mbz:LH58_15970
ko:K01653	mbz:LH58_15975
ko:K01652	mbz:LH58_15980
ko:K15977	mbz:LH58_15990
ko:K02434	mbz:LH58_16010
ko:K02433	mbz:LH58_16020
ko:K02435	mbz:LH58_16025
ko:K01972	mbz:LH58_16035
ko:K00566	mbz:LH58_16090
ko:K04487	mbz:LH58_16095
ko:K03522	mbz:LH58_16110
ko:K03521	mbz:LH58_16115
ko:K16149	mbz:LH58_16125
ko:K16150	mbz:LH58_16130
ko:K01692	mbz:LH58_16170
ko:K02013	mbz:LH58_16180
ko:K01079	mbz:LH58_16185
ko:K02274	mbz:LH58_16190
ko:K02016	mbz:LH58_16200
ko:K03333	mbz:LH58_18535
ko:K00088	mbz:LH58_18540
ko:K00088	mbz:LH58_18545
ko:K03088	mbz:LH58_18560
ko:K04077	mbz:LH58_18575
ko:K04078	mbz:LH58_18580
ko:K01409	mbz:LH58_18585
ko:K03789	mbz:LH58_18590
ko:K06925	mbz:LH58_18600
ko:K01775	mbz:LH58_18605
ko:K01644	mbz:LH58_16375
ko:K13419	mbz:LH58_16400
ko:K00121	mbz:LH58_16430
ko:K09781	mbz:LH58_16460
ko:K07044	mbz:LH58_14745
ko:K00259	mbz:LH58_14760
ko:K00259	mbz:LH58_14765
ko:K00459	mbz:LH58_14770
ko:K00962	mbz:LH58_14780
ko:K02956	mbz:LH58_14790
ko:K11753	mbz:LH58_14795
ko:K03709	mbz:LH58_14805
ko:K03177	mbz:LH58_14830
ko:K01692	mbz:LH58_15030
ko:K05816	mbz:LH58_15035
ko:K05813	mbz:LH58_15040
ko:K05815	mbz:LH58_15045
ko:K02834	mbz:LH58_15065
ko:K02519	mbz:LH58_15070
ko:K02600	mbz:LH58_15080
ko:K09748	mbz:LH58_15085
ko:K01881	mbz:LH58_15100
ko:K02302	mbz:LH58_15110
ko:K02224	mbz:LH58_15115
ko:K03404	mbz:LH58_15125
ko:K02348	mbz:LH58_15130
ko:K00116	mbz:LH58_15135
ko:K17883	mbz:LH58_15150
ko:K07241	mbz:LH58_15155
ko:K04652	mbz:LH58_15160
ko:K04652	mbz:LH58_15165
ko:K07010	mbz:LH58_15180
ko:K01915	mbz:LH58_15185
ko:K01265	mbz:LH58_15190
ko:K06976	mbz:LH58_15225
ko:K00099	mbz:LH58_15240
ko:K06941	mbz:LH58_15290
ko:K00981	mbz:LH58_15295
ko:K02838	mbz:LH58_15300
ko:K09903	mbz:LH58_15305
ko:K01426	mbz:LH58_15330
ko:K02967	mbz:LH58_15340
ko:K03733	mbz:LH58_15370
ko:K04096	mbz:LH58_15380
ko:K07391	mbz:LH58_15385
ko:K07460	mbz:LH58_15390
ko:K02379	mbz:LH58_15395
ko:K03470	mbz:LH58_15410
ko:K03100	mbz:LH58_15415
ko:K02884	mbz:LH58_15420
ko:K00554	mbz:LH58_15430
ko:K02860	mbz:LH58_15435
ko:K06960	mbz:LH58_15440
ko:K02959	mbz:LH58_15445
ko:K07258	mbz:LH58_15455
ko:K03106	mbz:LH58_15480
ko:K00990	mbz:LH58_15490
ko:K04751	mbz:LH58_15495
ko:K03320	mbz:LH58_15500
ko:K03110	mbz:LH58_15505
ko:K03529	mbz:LH58_15510
ko:K01512	mbz:LH58_15515
ko:K10563	mbz:LH58_15525
ko:K03685	mbz:LH58_15530
ko:K07040	mbz:LH58_15535
ko:K02357	mbz:LH58_15335
ko:K01580	mbz:LH58_18640
ko:K00820	mbz:LH58_18660
ko:K03431	mbz:LH58_18685
ko:K02871	mbz:LH58_18695
ko:K03466	mbz:LH58_18715
ko:K14743	mbz:LH58_18725
ko:K06173	mbz:LH58_18750
ko:K02879	mbz:LH58_18755
ko:K03040	mbz:LH58_18760
ko:K02986	mbz:LH58_18765
ko:K02948	mbz:LH58_18770
ko:K02952	mbz:LH58_18775
ko:K02919	mbz:LH58_18780
ko:K02518	mbz:LH58_18785
ko:K01790	mbz:LH58_18800
ko:K01666	mbz:LH58_18815
ko:K01652	mbz:LH58_18820
ko:K13979	mbz:LH58_16205
ko:K03664	mbz:LH58_16505
ko:K09811	mbz:LH58_16510
ko:K09812	mbz:LH58_16515
ko:K02836	mbz:LH58_16530
ko:K00528	mbz:LH58_16535
ko:K00803	mbz:LH58_16540
ko:K03639	mbz:LH58_16555
ko:K01724	mbz:LH58_16560
ko:K03637	mbz:LH58_16565
ko:K03636	mbz:LH58_16570
ko:K01011	mbz:LH58_16595
ko:K05602	mbz:LH58_16690
ko:K04069	mbz:LH58_16695
ko:K00330	mbz:LH58_16730
ko:K00331	mbz:LH58_16735
ko:K00332	mbz:LH58_16740
ko:K00333	mbz:LH58_16745
ko:K00334	mbz:LH58_16750
ko:K00337	mbz:LH58_16770
ko:K03657	mbz:LH58_17045
ko:K02361	mbz:LH58_17125
ko:K03088	mbz:LH58_17180
ko:K00800	mbz:LH58_17210
ko:K06949	mbz:LH58_17215
ko:K00508	mbz:LH58_17220
ko:K03455	mbz:LH58_17250
ko:K07228	mbz:LH58_17255
ko:K03070	mbz:LH58_17270
ko:K07654	mbz:LH58_17295
ko:K07670	mbz:LH58_17300
ko:K00943	mbz:LH58_17305
ko:K01251	mbz:LH58_17310
ko:K10716	mbz:LH58_17040
ko:K12426	mbz:LH58_15555
ko:K12440	mbz:LH58_15560
ko:K12441	mbz:LH58_15565
ko:K12443	mbz:LH58_15575
ko:K12444	mbz:LH58_15580
ko:K01990	mbz:LH58_15585
ko:K01992	mbz:LH58_15590
ko:K01992	mbz:LH58_15595
ko:K11628	mbz:LH58_15605
ko:K12427	mbz:LH58_15610
ko:K06994	mbz:LH58_15615
ko:K12430	mbz:LH58_15645
ko:K12424	mbz:LH58_15655
ko:K14728	mbz:LH58_15670
ko:K00339	mbz:LH58_16780
ko:K00340	mbz:LH58_16785
ko:K00341	mbz:LH58_16790
ko:K00342	mbz:LH58_16795
ko:K00343	mbz:LH58_16800
ko:K03924	mbz:LH58_16840
ko:K00274	mbz:LH58_16870
ko:K01426	mbz:LH58_16895
ko:K07133	mbz:LH58_16920
ko:K09118	mbz:LH58_16990
ko:K07177	mbz:LH58_16995
ko:K03657	mbz:LH58_17025
ko:K00338	mbz:LH58_16775
ko:K03426	mbz:LH58_17035
ko:K00496	mbz:LH58_17330
ko:K03294	mbz:LH58_17335
ko:K01809	mbz:LH58_17345
ko:K01840	mbz:LH58_17355
ko:K11212	mbz:LH58_17375
ko:K12234	mbz:LH58_17380
ko:K00966	mbz:LH58_17400
ko:K16870	mbz:LH58_17405
ko:K00067	mbz:LH58_17410
ko:K12950	mbz:LH58_17430
ko:K01673	mbz:LH58_17445
ko:K01588	mbz:LH58_17455
ko:K01589	mbz:LH58_17460
