ko:K19405	ctlz:L2BAMS5_00711
ko:K02871	ctlz:L2BAMS5_00127
ko:K02996	ctlz:L2BAMS5_00128
ko:K02029	ctlz:L2BAMS5_00131
ko:K07058	ctlz:L2BAMS5_00134
ko:K06999	ctlz:L2BAMS5_00138
ko:K07566	ctlz:L2BAMS5_00139
ko:K09125	ctlz:L2BAMS5_00142
ko:K07039	ctlz:L2BAMS5_00143
ko:K01972	ctlz:L2BAMS5_00150
ko:K02913	ctlz:L2BAMS5_00154
ko:K09808	ctlz:L2BAMS5_00155
ko:K09810	ctlz:L2BAMS5_00156
ko:K03720	ctlz:L2BAMS5_00170
ko:K01696	ctlz:L2BAMS5_00171
ko:K01695	ctlz:L2BAMS5_00172
ko:K03611	ctlz:L2BAMS5_00176
ko:K00979	ctlz:L2BAMS5_00184
ko:K01937	ctlz:L2BAMS5_00185
ko:K07447	ctlz:L2BAMS5_00186
ko:K00036	ctlz:L2BAMS5_00187
ko:K01057	ctlz:L2BAMS5_00188
ko:K02343	ctlz:L2BAMS5_00189
ko:K00943	ctlz:L2BAMS5_00190
ko:K02469	ctlz:L2BAMS5_00191
ko:K02470	ctlz:L2BAMS5_00192
ko:K00773	ctlz:L2BAMS5_00195
ko:K06213	ctlz:L2BAMS5_00196
ko:K15580	ctlz:L2BAMS5_00200
ko:K15581	ctlz:L2BAMS5_00201
ko:K03319	ctlz:L2BAMS5_00206
ko:K00850	ctlz:L2BAMS5_00207
ko:K00895	ctlz:L2BAMS5_00209
ko:K02527	ctlz:L2BAMS5_00212
ko:K01869	ctlz:L2BAMS5_00213
ko:K01845	ctlz:L2BAMS5_00214
ko:K07735	ctlz:L2BAMS5_00215
ko:K08999	ctlz:L2BAMS5_00216
ko:K01807	ctlz:L2BAMS5_00217
ko:K03787	ctlz:L2BAMS5_00222
ko:K03179	ctlz:L2BAMS5_00223
ko:K03186	ctlz:L2BAMS5_00224
ko:K03308	ctlz:L2BAMS5_00237
ko:K02078	ctlz:L2BAMS5_00242
ko:K00645	ctlz:L2BAMS5_00244
ko:K00648	ctlz:L2BAMS5_00245
ko:K06187	ctlz:L2BAMS5_00246
ko:K07277	ctlz:L2BAMS5_00247
ko:K06142	ctlz:L2BAMS5_00248
ko:K02536	ctlz:L2BAMS5_00249
ko:K00161	ctlz:L2BAMS5_00251
ko:K00162	ctlz:L2BAMS5_00252
ko:K00627	ctlz:L2BAMS5_00253
ko:K00688	ctlz:L2BAMS5_00254
ko:K02313	ctlz:L2BAMS5_00256
ko:K03217	ctlz:L2BAMS5_00257
ko:K04487	ctlz:L2BAMS5_00264
ko:K07083	ctlz:L2BAMS5_00268
ko:K01962	ctlz:L2BAMS5_00271
ko:K01448	ctlz:L2BAMS5_00274
ko:K01928	ctlz:L2BAMS5_00275
ko:K03587	ctlz:L2BAMS5_00276
ko:K03438	ctlz:L2BAMS5_00278
ko:K02313	ctlz:L2BAMS5_00281
ko:K00347	ctlz:L2BAMS5_00284
ko:K00348	ctlz:L2BAMS5_00285
ko:K00349	ctlz:L2BAMS5_00286
ko:K00350	ctlz:L2BAMS5_00287
ko:K02437	ctlz:L2BAMS5_00288
ko:K03800	ctlz:L2BAMS5_00291
ko:K03696	ctlz:L2BAMS5_00292
ko:K00566	ctlz:L2BAMS5_00293
ko:K01963	ctlz:L2BAMS5_00299
ko:K04564	ctlz:L2BAMS5_00300
ko:K03685	ctlz:L2BAMS5_00303
ko:K04485	ctlz:L2BAMS5_00304
ko:K01749	ctlz:L2BAMS5_00305
ko:K01873	ctlz:L2BAMS5_00308
ko:K03046	ctlz:L2BAMS5_00320
ko:K03043	ctlz:L2BAMS5_00321
ko:K02935	ctlz:L2BAMS5_00322
ko:K02864	ctlz:L2BAMS5_00323
ko:K02863	ctlz:L2BAMS5_00324
ko:K02867	ctlz:L2BAMS5_00325
ko:K02601	ctlz:L2BAMS5_00326
ko:K03073	ctlz:L2BAMS5_00327
ko:K02358	ctlz:L2BAMS5_00329
ko:K02518	ctlz:L2BAMS5_00331
ko:K01803	ctlz:L2BAMS5_00338
ko:K03601	ctlz:L2BAMS5_00339
ko:K03602	ctlz:L2BAMS5_00340
ko:K01662	ctlz:L2BAMS5_00342
ko:K00873	ctlz:L2BAMS5_00343
ko:K03701	ctlz:L2BAMS5_00344
ko:K02343	ctlz:L2BAMS5_00345
ko:K09747	ctlz:L2BAMS5_00346
ko:K11381	ctlz:L2BAMS5_00352
ko:K03686	ctlz:L2BAMS5_00353
ko:K02970	ctlz:L2BAMS5_00354
ko:K01338	ctlz:L2BAMS5_00356
ko:K03733	ctlz:L2BAMS5_00359
ko:K06287	ctlz:L2BAMS5_00361
ko:K03075	ctlz:L2BAMS5_00364
ko:K01462	ctlz:L2BAMS5_00365
ko:K02528	ctlz:L2BAMS5_00366
ko:K06888	ctlz:L2BAMS5_00368
ko:K03523	ctlz:L2BAMS5_00372
ko:K01714	ctlz:L2BAMS5_00375
ko:K00928	ctlz:L2BAMS5_00376
ko:K00133	ctlz:L2BAMS5_00377
ko:K00215	ctlz:L2BAMS5_00378
ko:K00800	ctlz:L2BAMS5_00380
ko:K00891	ctlz:L2BAMS5_00381
ko:K01736	ctlz:L2BAMS5_00382
ko:K01735	ctlz:L2BAMS5_00383
ko:K13832	ctlz:L2BAMS5_00384
ko:K03758	ctlz:L2BAMS5_00388
ko:K00024	ctlz:L2BAMS5_00390
ko:K01810	ctlz:L2BAMS5_00392
ko:K03665	ctlz:L2BAMS5_00393
ko:K06167	ctlz:L2BAMS5_00394
ko:K09996	ctlz:L2BAMS5_00395
ko:K06966	ctlz:L2BAMS5_00402
ko:K09131	ctlz:L2BAMS5_00403
ko:K10206	ctlz:L2BAMS5_00405
ko:K01881	ctlz:L2BAMS5_00408
ko:K03705	ctlz:L2BAMS5_00409
ko:K03687	ctlz:L2BAMS5_00410
ko:K04043	ctlz:L2BAMS5_00411
ko:K12573	ctlz:L2BAMS5_00412
ko:K07164	ctlz:L2BAMS5_00413
ko:K06041	ctlz:L2BAMS5_00414
ko:K00658	ctlz:L2BAMS5_00415
ko:K00912	ctlz:L2BAMS5_00417
ko:K03437	ctlz:L2BAMS5_00418
ko:K06969	ctlz:L2BAMS5_00419
ko:K00793	ctlz:L2BAMS5_00420
ko:K07738	ctlz:L2BAMS5_00421
ko:K06204	ctlz:L2BAMS5_00422
ko:K03101	ctlz:L2BAMS5_00423
ko:K03310	ctlz:L2BAMS5_00424
ko:K00748	ctlz:L2BAMS5_00426
ko:K09817	ctlz:L2BAMS5_00432
ko:K09816	ctlz:L2BAMS5_00433
ko:K03979	ctlz:L2BAMS5_00434
ko:K02899	ctlz:L2BAMS5_00435
ko:K02888	ctlz:L2BAMS5_00436
ko:K07042	ctlz:L2BAMS5_00441
ko:K03183	ctlz:L2BAMS5_00447
ko:K01778	ctlz:L2BAMS5_00449
ko:K01358	ctlz:L2BAMS5_00450
ko:K00600	ctlz:L2BAMS5_00451
ko:K01770	ctlz:L2BAMS5_00453
ko:K02946	ctlz:L2BAMS5_00455
ko:K02355	ctlz:L2BAMS5_00456
ko:K02992	ctlz:L2BAMS5_00457
ko:K02950	ctlz:L2BAMS5_00458
ko:K03797	ctlz:L2BAMS5_00460
ko:K07462	ctlz:L2BAMS5_00467
ko:K12257	ctlz:L2BAMS5_00468
ko:K00806	ctlz:L2BAMS5_00470
ko:K00981	ctlz:L2BAMS5_00471
ko:K00945	ctlz:L2BAMS5_00472
ko:K00655	ctlz:L2BAMS5_00473
ko:K01887	ctlz:L2BAMS5_00474
ko:K00790	ctlz:L2BAMS5_00475
ko:K02836	ctlz:L2BAMS5_00479
ko:K00991	ctlz:L2BAMS5_00482
ko:K06173	ctlz:L2BAMS5_00483
ko:K07710	ctlz:L2BAMS5_00488
ko:K07714	ctlz:L2BAMS5_00489
ko:K03584	ctlz:L2BAMS5_00492
ko:K08998	ctlz:L2BAMS5_00496
ko:K01890	ctlz:L2BAMS5_00498
ko:K02034	ctlz:L2BAMS5_00501
ko:K01772	ctlz:L2BAMS5_00510
ko:K07099	ctlz:L2BAMS5_00513
ko:K00975	ctlz:L2BAMS5_00514
ko:K03628	ctlz:L2BAMS5_00516
ko:K00859	ctlz:L2BAMS5_00517
ko:K03301	ctlz:L2BAMS5_00520
ko:K00995	ctlz:L2BAMS5_00521
ko:K03495	ctlz:L2BAMS5_00524
ko:K03800	ctlz:L2BAMS5_00525
ko:K00940	ctlz:L2BAMS5_00526
ko:K03550	ctlz:L2BAMS5_00527
ko:K01159	ctlz:L2BAMS5_00528
ko:K00134	ctlz:L2BAMS5_00532
ko:K02879	ctlz:L2BAMS5_00533
ko:K03040	ctlz:L2BAMS5_00534
ko:K02948	ctlz:L2BAMS5_00535
ko:K02952	ctlz:L2BAMS5_00536
ko:K03076	ctlz:L2BAMS5_00537
ko:K02876	ctlz:L2BAMS5_00538
ko:K02988	ctlz:L2BAMS5_00539
ko:K02881	ctlz:L2BAMS5_00540
ko:K02933	ctlz:L2BAMS5_00541
ko:K02994	ctlz:L2BAMS5_00542
ko:K02931	ctlz:L2BAMS5_00543
ko:K02895	ctlz:L2BAMS5_00544
ko:K02874	ctlz:L2BAMS5_00545
ko:K02961	ctlz:L2BAMS5_00546
ko:K02904	ctlz:L2BAMS5_00547
ko:K02878	ctlz:L2BAMS5_00548
ko:K02982	ctlz:L2BAMS5_00549
ko:K02890	ctlz:L2BAMS5_00550
ko:K02965	ctlz:L2BAMS5_00551
ko:K02886	ctlz:L2BAMS5_00552
ko:K02892	ctlz:L2BAMS5_00553
ko:K02926	ctlz:L2BAMS5_00554
ko:K02906	ctlz:L2BAMS5_00555
ko:K00604	ctlz:L2BAMS5_00557
ko:K00677	ctlz:L2BAMS5_00558
ko:K02372	ctlz:L2BAMS5_00559
ko:K02535	ctlz:L2BAMS5_00560
ko:K03820	ctlz:L2BAMS5_00561
ko:K06925	ctlz:L2BAMS5_00564
ko:K03671	ctlz:L2BAMS5_00567
ko:K03216	ctlz:L2BAMS5_00568
ko:K01876	ctlz:L2BAMS5_00570
ko:K01892	ctlz:L2BAMS5_00571
ko:K07783	ctlz:L2BAMS5_00572
ko:K02337	ctlz:L2BAMS5_00573
ko:K03311	ctlz:L2BAMS5_00582
ko:K00382	ctlz:L2BAMS5_00585
ko:K03644	ctlz:L2BAMS5_00586
ko:K03222	ctlz:L2BAMS5_00587
ko:K03223	ctlz:L2BAMS5_00589
ko:K03226	ctlz:L2BAMS5_00590
ko:K03228	ctlz:L2BAMS5_00592
ko:K02455	ctlz:L2BAMS5_00598
ko:K02453	ctlz:L2BAMS5_00600
ko:K03572	ctlz:L2BAMS5_00603
ko:K01868	ctlz:L2BAMS5_00609
ko:K01867	ctlz:L2BAMS5_00613
ko:K03702	ctlz:L2BAMS5_00614
ko:K01689	ctlz:L2BAMS5_00615
ko:K00240	ctlz:L2BAMS5_00619
ko:K00239	ctlz:L2BAMS5_00620
ko:K03424	ctlz:L2BAMS5_00623
ko:K03562	ctlz:L2BAMS5_00625
ko:K03641	ctlz:L2BAMS5_00628
ko:K03640	ctlz:L2BAMS5_00629
ko:K03648	ctlz:L2BAMS5_00638
ko:K03657	ctlz:L2BAMS5_00639
ko:K03092	ctlz:L2BAMS5_00640
ko:K06137	ctlz:L2BAMS5_00641
ko:K13941	ctlz:L2BAMS5_00644
ko:K01633	ctlz:L2BAMS5_00645
ko:K03086	ctlz:L2BAMS5_00646
ko:K02968	ctlz:L2BAMS5_00648
ko:K03980	ctlz:L2BAMS5_00655
ko:K01151	ctlz:L2BAMS5_00656
ko:K02986	ctlz:L2BAMS5_00657
ko:K07146	ctlz:L2BAMS5_00658
ko:K13789	ctlz:L2BAMS5_00659
ko:K01698	ctlz:L2BAMS5_00665
ko:K00346	ctlz:L2BAMS5_00666
ko:K03582	ctlz:L2BAMS5_00672
ko:K03583	ctlz:L2BAMS5_00673
ko:K03168	ctlz:L2BAMS5_00676
ko:K02221	ctlz:L2BAMS5_00678
ko:K03581	ctlz:L2BAMS5_00685
ko:K06861	ctlz:L2BAMS5_00687
ko:K01627	ctlz:L2BAMS5_00689
ko:K06180	ctlz:L2BAMS5_00693
ko:K06960	ctlz:L2BAMS5_00694
ko:K02469	ctlz:L2BAMS5_00695
ko:K02470	ctlz:L2BAMS5_00696
ko:K02492	ctlz:L2BAMS5_00697
ko:K02028	ctlz:L2BAMS5_00132
ko:K15035	ctlz:L2BAMS5_00020
ko:K14222	ctlz:L2BAMS5_00804
ko:K01985	ctlz:L2BAMS5_00784
ko:K01985	ctlz:L2BAMS5_00797
ko:K01980	ctlz:L2BAMS5_00783
ko:K01980	ctlz:L2BAMS5_00796
ko:K17103	ctlz:L2BAMS5_00880
ko:K00059	ctlz:L2BAMS5_00243
ko:K07052	ctlz:L2BAMS5_00260
ko:K02342	ctlz:L2BAMS5_00267
ko:K02806	ctlz:L2BAMS5_00296
ko:K02806	ctlz:L2BAMS5_00297
ko:K02124	ctlz:L2BAMS5_00310
ko:K02123	ctlz:L2BAMS5_00311
ko:K02120	ctlz:L2BAMS5_00312
ko:K02118	ctlz:L2BAMS5_00313
ko:K02117	ctlz:L2BAMS5_00314
ko:K02121	ctlz:L2BAMS5_00316
ko:K00616	ctlz:L2BAMS5_00319
ko:K08483	ctlz:L2BAMS5_00347
ko:K11189	ctlz:L2BAMS5_00348
ko:K00784	ctlz:L2BAMS5_00358
ko:K03227	ctlz:L2BAMS5_00591
ko:K02454	ctlz:L2BAMS5_00599
ko:K01262	ctlz:L2BAMS5_00602
ko:K07315	ctlz:L2BAMS5_00616
ko:K00241	ctlz:L2BAMS5_00621
ko:K00241	ctlz:L2BAMS5_00622
ko:K00813	ctlz:L2BAMS5_00670
ko:K01934	ctlz:L2BAMS5_00682
ko:K00970	ctlz:L2BAMS5_00744
ko:K01596	ctlz:L2BAMS5_00751
ko:K00972	ctlz:L2BAMS5_00756
ko:K01834	ctlz:L2BAMS5_00763
ko:K06910	ctlz:L2BAMS5_00777
ko:K07117	ctlz:L2BAMS5_00778
ko:K01507	ctlz:L2BAMS5_00821
ko:K01082	ctlz:L2BAMS5_00823
ko:K01909	ctlz:L2BAMS5_00825
ko:K00652	ctlz:L2BAMS5_00826
ko:K01408	ctlz:L2BAMS5_00857
ko:K01679	ctlz:L2BAMS5_00913
ko:K14228	ctlz:L2BAMS5_00486
ko:K14233	ctlz:L2BAMS5_00522
ko:K14219	ctlz:L2BAMS5_00633
ko:K04084	ctlz:L2BAMS5_00624
ko:K03471	ctlz:L2BAMS5_00009
ko:K00033	ctlz:L2BAMS5_00066
ko:K11707	ctlz:L2BAMS5_00070
ko:K11710	ctlz:L2BAMS5_00071
ko:K11708	ctlz:L2BAMS5_00072
ko:K11709	ctlz:L2BAMS5_00073
ko:K03177	ctlz:L2BAMS5_00095
ko:K06179	ctlz:L2BAMS5_00107
ko:K00939	ctlz:L2BAMS5_00130
ko:K02035	ctlz:L2BAMS5_00141
ko:K06889	ctlz:L2BAMS5_00153
ko:K02035	ctlz:L2BAMS5_00175
ko:K02049	ctlz:L2BAMS5_00180
ko:K01409	ctlz:L2BAMS5_00199
ko:K15582	ctlz:L2BAMS5_00202
ko:K10823	ctlz:L2BAMS5_00203
ko:K15583	ctlz:L2BAMS5_00204
ko:K06889	ctlz:L2BAMS5_00208
ko:K03856	ctlz:L2BAMS5_00396
ko:K00970	ctlz:L2BAMS5_00425
ko:K09815	ctlz:L2BAMS5_00431
ko:K01719	ctlz:L2BAMS5_00452
ko:K00380	ctlz:L2BAMS5_00454
ko:K01885	ctlz:L2BAMS5_00465
ko:K07098	ctlz:L2BAMS5_00481
ko:K00567	ctlz:L2BAMS5_00500
ko:K02033	ctlz:L2BAMS5_00502
ko:K02035	ctlz:L2BAMS5_00503
ko:K02030	ctlz:L2BAMS5_00511
ko:K02342	ctlz:L2BAMS5_00563
ko:K07258	ctlz:L2BAMS5_00579
ko:K03386	ctlz:L2BAMS5_00632
ko:K02428	ctlz:L2BAMS5_00636
ko:K14236	ctlz:L2BAMS5_00145
ko:K14227	ctlz:L2BAMS5_00181
ko:K14218	ctlz:L2BAMS5_00669
ko:K14230	ctlz:L2BAMS5_00210
ko:K14230	ctlz:L2BAMS5_00336
ko:K14235	ctlz:L2BAMS5_00328
ko:K14233	ctlz:L2BAMS5_00369
ko:K14231	ctlz:L2BAMS5_00437
ko:K14221	ctlz:L2BAMS5_00226
ko:K14233	ctlz:L2BAMS5_00430
ko:K14228	ctlz:L2BAMS5_00530
ko:K14228	ctlz:L2BAMS5_00566
ko:K14219	ctlz:L2BAMS5_00490
ko:K14219	ctlz:L2BAMS5_00690
ko:K14232	ctlz:L2BAMS5_00663
ko:K14229	ctlz:L2BAMS5_00713
ko:K14224	ctlz:L2BAMS5_00714
ko:K14226	ctlz:L2BAMS5_00781
ko:K14223	ctlz:L2BAMS5_00848
ko:K14218	ctlz:L2BAMS5_00182
ko:K14234	ctlz:L2BAMS5_00710
ko:K14225	ctlz:L2BAMS5_00719
ko:K14228	ctlz:L2BAMS5_00494
ko:K14228	ctlz:L2BAMS5_00922
ko:K14232	ctlz:L2BAMS5_00062
ko:K14237	ctlz:L2BAMS5_00227
ko:K14230	ctlz:L2BAMS5_00211
ko:K01977	ctlz:L2BAMS5_00782
ko:K01977	ctlz:L2BAMS5_00795
ko:K14220	ctlz:L2BAMS5_00039
ko:K14234	ctlz:L2BAMS5_00144
ko:K14234	ctlz:L2BAMS5_00330
ko:K14225	ctlz:L2BAMS5_00748
ko:K04763	ctlz:L2BAMS5_00924
ko:K00700	ctlz:L2BAMS5_00926
ko:K14237	ctlz:L2BAMS5_00883
ko:K01840	ctlz:L2BAMS5_00301
ko:K06972	ctlz:L2BAMS5_00878
ko:K08274	ctlz:L2BAMS5_00391
ko:K07081	ctlz:L2BAMS5_00446
ko:K03625	ctlz:L2BAMS5_00886
ko:K01679	ctlz:L2BAMS5_00911
ko:K07125	ctlz:L2BAMS5_00333
ko:K01802	ctlz:L2BAMS5_00569
ko:K08275	ctlz:L2BAMS5_00082
ko:K08719	ctlz:L2BAMS5_00754
ko:K01829	ctlz:L2BAMS5_00829
ko:K01829	ctlz:L2BAMS5_00833
ko:K03309	ctlz:L2BAMS5_00416
ko:K07033	ctlz:L2BAMS5_00724
ko:K01214	ctlz:L2BAMS5_00044
ko:K03825	ctlz:L2BAMS5_00478
ko:K03496	ctlz:L2BAMS5_p7
ko:K03496	ctlz:L2BAMS5_00610
ko:K03497	ctlz:L2BAMS5_00728
ko:K03111	ctlz:L2BAMS5_00046
ko:K02626	ctlz:L2BAMS5_00387
ko:K11991	ctlz:L2BAMS5_00899
ko:K04771	ctlz:L2BAMS5_00877
ko:K19411	ctlz:L2BAMS5_00712
ko:K02031	ctlz:L2BAMS5_00730
ko:K22100	ctlz:L2BAMS5_00337
ko:K12132	ctlz:L2BAMS5_00307
ko:K20265	ctlz:L2BAMS5_00220
ko:K20074	ctlz:L2BAMS5_00265
ko:K11749	ctlz:L2BAMS5_00075
ko:K22099	ctlz:L2BAMS5_00642
ko:K00526	ctlz:L2BAMS5_00882
ko:K01520	ctlz:L2BAMS5_00298
ko:K03553	ctlz:L2BAMS5_00683
ko:K02316	ctlz:L2BAMS5_00842
ko:K02335	ctlz:L2BAMS5_00518
ko:K02314	ctlz:L2BAMS5_00523
ko:K00287	ctlz:L2BAMS5_00643
ko:K02314	ctlz:L2BAMS5_p3
ko:K02032	ctlz:L2BAMS5_00729
ko:K00525	ctlz:L2BAMS5_00881
ko:K02050	ctlz:L2BAMS5_00910
ko:K02051	ctlz:L2BAMS5_00910
ko:K01534	ctlz:L2BAMS5_00768
ko:K16239	ctlz:L2BAMS5_00086
