ko:K11749	dmx:X792_01775
ko:K00609	dmx:X792_05500
ko:K01465	dmx:X792_05505
ko:K01956	dmx:X792_05510
ko:K01955	dmx:X792_05515
ko:K02823	dmx:X792_05520
ko:K01495	dmx:X792_05525
ko:K01733	dmx:X792_05530
ko:K00003	dmx:X792_05535
ko:K00966	dmx:X792_05550
ko:K01895	dmx:X792_05555
ko:K02835	dmx:X792_05560
ko:K02493	dmx:X792_05565
ko:K02355	dmx:X792_05570
ko:K06384	dmx:X792_05575
ko:K04763	dmx:X792_05585
ko:K03703	dmx:X792_05590
ko:K03824	dmx:X792_05595
ko:K03555	dmx:X792_05605
ko:K01622	dmx:X792_05635
ko:K02428	dmx:X792_05640
ko:K02338	dmx:X792_05645
ko:K06218	dmx:X792_05660
ko:K01156	dmx:X792_05680
ko:K07316	dmx:X792_05685
ko:K01433	dmx:X792_05760
ko:K03325	dmx:X792_05775
ko:K07304	dmx:X792_05780
ko:K07305	dmx:X792_05785
ko:K09946	dmx:X792_06090
ko:K07478	dmx:X792_06100
ko:K06990	dmx:X792_06115
ko:K04069	dmx:X792_06120
ko:K09767	dmx:X792_06140
ko:K00859	dmx:X792_06185
ko:K00329	dmx:X792_06190
ko:K00356	dmx:X792_06190
ko:K02888	dmx:X792_06195
ko:K02899	dmx:X792_06200
ko:K02909	dmx:X792_06205
ko:K01814	dmx:X792_06225
ko:K02435	dmx:X792_06240
ko:K02433	dmx:X792_06245
ko:K07729	dmx:X792_06260
ko:K01990	dmx:X792_06265
ko:K01992	dmx:X792_06270
ko:K10907	dmx:X792_06280
ko:K01867	dmx:X792_06285
ko:K03527	dmx:X792_06290
ko:K01635	dmx:X792_06295
ko:K16370	dmx:X792_06300
ko:K03088	dmx:X792_06310
ko:K02454	dmx:X792_06325
ko:K02653	dmx:X792_06330
ko:K02662	dmx:X792_06360
ko:K02669	dmx:X792_06365
ko:K04075	dmx:X792_06670
ko:K06013	dmx:X792_06680
ko:K01409	dmx:X792_06695
ko:K04078	dmx:X792_06700
ko:K04077	dmx:X792_06705
ko:K04651	dmx:X792_06715
ko:K04652	dmx:X792_06720
ko:K04656	dmx:X792_06725
ko:K04653	dmx:X792_06730
ko:K04654	dmx:X792_06735
ko:K04655	dmx:X792_06740
ko:K05595	dmx:X792_06800
ko:K02897	dmx:X792_06820
ko:K07045	dmx:X792_06825
ko:K01975	dmx:X792_06830
ko:K05808	dmx:X792_06845
ko:K00567	dmx:X792_06850
ko:K14475	dmx:X792_06855
ko:K03630	dmx:X792_06860
ko:K02337	dmx:X792_06870
ko:K03790	dmx:X792_06905
ko:K01658	dmx:X792_06915
ko:K00766	dmx:X792_06920
ko:K01609	dmx:X792_06925
ko:K01817	dmx:X792_06930
ko:K03856	dmx:X792_06935
ko:K01696	dmx:X792_06940
ko:K01695	dmx:X792_06945
ko:K01915	dmx:X792_07300
ko:K03497	dmx:X792_07330
ko:K01915	dmx:X792_07450
ko:K07667	dmx:X792_07465
ko:K00145	dmx:X792_08140
ko:K07814	dmx:X792_07640
ko:K07034	dmx:X792_07660
ko:K06147	dmx:X792_07680
ko:K07667	dmx:X792_07765
ko:K04518	dmx:X792_07790
ko:K03075	dmx:X792_07800
ko:K02434	dmx:X792_07805
ko:K02469	dmx:X792_08160
ko:K00928	dmx:X792_08175
ko:K15635	dmx:X792_08185
ko:K02499	dmx:X792_08200
ko:K06973	dmx:X792_08205
ko:K02968	dmx:X792_08210
ko:K01356	dmx:X792_08215
ko:K01628	dmx:X792_08220
ko:K00604	dmx:X792_08225
ko:K03455	dmx:X792_08145
ko:K02313	dmx:X792_00005
ko:K03979	dmx:X792_00010
ko:K00969	dmx:X792_00015
ko:K02470	dmx:X792_00020
ko:K00951	dmx:X792_00025
ko:K01892	dmx:X792_00030
ko:K08591	dmx:X792_00040
ko:K00826	dmx:X792_00045
ko:K02346	dmx:X792_00055
ko:K01591	dmx:X792_00065
ko:K11754	dmx:X792_00080
ko:K07560	dmx:X792_00095
ko:K03711	dmx:X792_00100
ko:K02238	dmx:X792_00120
ko:K02237	dmx:X792_00125
ko:K03499	dmx:X792_00135
ko:K01990	dmx:X792_00755
ko:K03152	dmx:X792_00765
ko:K01960	dmx:X792_00770
ko:K01959	dmx:X792_00775
ko:K00766	dmx:X792_00800
ko:K02224	dmx:X792_00810
ko:K07636	dmx:X792_00855
ko:K01734	dmx:X792_00860
ko:K02040	dmx:X792_00865
ko:K02037	dmx:X792_00870
ko:K02038	dmx:X792_00875
ko:K02036	dmx:X792_00880
ko:K02039	dmx:X792_00885
ko:K00335	dmx:X792_00905
ko:K07043	dmx:X792_00930
ko:K01620	dmx:X792_00940
ko:K03499	dmx:X792_00140
ko:K03498	dmx:X792_00150
ko:K03499	dmx:X792_00155
ko:K07220	dmx:X792_00170
ko:K03306	dmx:X792_00175
ko:K00942	dmx:X792_00180
ko:K09777	dmx:X792_00185
ko:K00528	dmx:X792_00190
ko:K00266	dmx:X792_00195
ko:K06942	dmx:X792_00230
ko:K02340	dmx:X792_00240
ko:K00845	dmx:X792_00250
ko:K01872	dmx:X792_00255
ko:K07447	dmx:X792_00260
ko:K00773	dmx:X792_00265
ko:K03696	dmx:X792_00285
ko:K04485	dmx:X792_00295
ko:K00991	dmx:X792_00300
ko:K01770	dmx:X792_00305
ko:K01883	dmx:X792_00310
ko:K07006	dmx:X792_00355
ko:K04487	dmx:X792_00370
ko:K03399	dmx:X792_00410
ko:K03657	dmx:X792_01145
ko:K07459	dmx:X792_01150
ko:K01338	dmx:X792_01215
ko:K13993	dmx:X792_01250
ko:K07667	dmx:X792_01295
ko:K05794	dmx:X792_01325
ko:K02380	dmx:X792_01330
ko:K00123	dmx:X792_01340
ko:K00954	dmx:X792_01350
ko:K03558	dmx:X792_01360
ko:K09117	dmx:X792_01680
ko:K02970	dmx:X792_01685
ko:K03797	dmx:X792_01745
ko:K01889	dmx:X792_01750
ko:K01890	dmx:X792_01755
ko:K01507	dmx:X792_01760
ko:K01881	dmx:X792_01765
ko:K03526	dmx:X792_01770
ko:K00099	dmx:X792_01780
ko:K00981	dmx:X792_01785
ko:K00806	dmx:X792_01790
ko:K02838	dmx:X792_01795
ko:K09903	dmx:X792_01800
ko:K02357	dmx:X792_01805
ko:K02967	dmx:X792_01810
ko:K01952	dmx:X792_01815
ko:K01952	dmx:X792_01820
ko:K06215	dmx:X792_01825
ko:K00088	dmx:X792_01845
ko:K07056	dmx:X792_01850
ko:K01874	dmx:X792_01860
ko:K02523	dmx:X792_01865
ko:K03798	dmx:X792_01875
ko:K01151	dmx:X792_01880
ko:K09710	dmx:X792_01885
ko:K00940	dmx:X792_01890
ko:K06925	dmx:X792_01900
ko:K00946	dmx:X792_01905
ko:K03183	dmx:X792_01910
ko:K03183	dmx:X792_01915
ko:K01735	dmx:X792_01920
ko:K02548	dmx:X792_01925
ko:K02528	dmx:X792_01940
ko:K00919	dmx:X792_01945
ko:K00014	dmx:X792_02245
ko:K03785	dmx:X792_02250
ko:K01735	dmx:X792_02255
ko:K03856	dmx:X792_02260
ko:K02950	dmx:X792_02270
ko:K02992	dmx:X792_02275
ko:K02355	dmx:X792_02280
ko:K02946	dmx:X792_02285
ko:K02906	dmx:X792_02290
ko:K02926	dmx:X792_02295
ko:K02892	dmx:X792_02300
ko:K02886	dmx:X792_02305
ko:K02965	dmx:X792_02310
ko:K02890	dmx:X792_02315
ko:K02982	dmx:X792_02320
ko:K02878	dmx:X792_02325
ko:K02904	dmx:X792_02330
ko:K02961	dmx:X792_02335
ko:K02874	dmx:X792_02340
ko:K02895	dmx:X792_02345
ko:K02931	dmx:X792_02350
ko:K02954	dmx:X792_02355
ko:K02994	dmx:X792_02360
ko:K02933	dmx:X792_02365
ko:K02881	dmx:X792_02370
ko:K02988	dmx:X792_02375
ko:K02907	dmx:X792_02380
ko:K02876	dmx:X792_02385
ko:K03076	dmx:X792_02390
ko:K00939	dmx:X792_02395
ko:K01265	dmx:X792_02400
ko:K02518	dmx:X792_02405
ko:K02919	dmx:X792_02410
ko:K02952	dmx:X792_02415
ko:K02948	dmx:X792_02420
ko:K02986	dmx:X792_02425
ko:K03040	dmx:X792_02430
ko:K02879	dmx:X792_02435
ko:K06173	dmx:X792_02440
ko:K02871	dmx:X792_02445
ko:K02996	dmx:X792_02450
ko:K15916	dmx:X792_02465
ko:K00789	dmx:X792_02480
ko:K01251	dmx:X792_02485
ko:K07028	dmx:X792_02490
ko:K00772	dmx:X792_02505
ko:K08963	dmx:X792_02510
ko:K01990	dmx:X792_02520
ko:K03284	dmx:X792_02830
ko:K06187	dmx:X792_02835
ko:K09747	dmx:X792_02840
ko:K02343	dmx:X792_02845
ko:K00134	dmx:X792_02875
ko:K01689	dmx:X792_02890
ko:K06966	dmx:X792_02895
ko:K01056	dmx:X792_02900
ko:K01972	dmx:X792_02905
ko:K08681	dmx:X792_02915
ko:K00058	dmx:X792_02920
ko:K01866	dmx:X792_02930
ko:K11753	dmx:X792_02935
ko:K03043	dmx:X792_02940
ko:K03046	dmx:X792_02945
ko:K03551	dmx:X792_02950
ko:K09765	dmx:X792_02955
ko:K03789	dmx:X792_02960
ko:K07739	dmx:X792_02980
ko:K14128	dmx:X792_02985
ko:K14126	dmx:X792_02990
ko:K00442	dmx:X792_02995
ko:K06196	dmx:X792_03010
ko:K01843	dmx:X792_03055
ko:K01921	dmx:X792_03060
ko:K03711	dmx:X792_03065
ko:K09815	dmx:X792_03070
ko:K09817	dmx:X792_03075
ko:K09816	dmx:X792_03080
ko:K03531	dmx:X792_03090
ko:K03590	dmx:X792_03095
ko:K07130	dmx:X792_03115
ko:K07667	dmx:X792_00510
ko:K03111	dmx:X792_00620
ko:K03752	dmx:X792_00665
ko:K00185	dmx:X792_00680
ko:K00184	dmx:X792_00685
ko:K03605	dmx:X792_00715
ko:K06281	dmx:X792_00720
ko:K06282	dmx:X792_00725
ko:K00124	dmx:X792_00730
ko:K01992	dmx:X792_00745
ko:K00286	dmx:X792_01365
ko:K01869	dmx:X792_01370
ko:K07007	dmx:X792_01375
ko:K01843	dmx:X792_01440
ko:K13963	dmx:X792_01445
ko:K11068	dmx:X792_01450
ko:K06158	dmx:X792_01455
ko:K07007	dmx:X792_01465
ko:K07668	dmx:X792_01520
ko:K07667	dmx:X792_01535
ko:K07001	dmx:X792_01560
ko:K03790	dmx:X792_01565
ko:K06915	dmx:X792_01570
ko:K03074	dmx:X792_01600
ko:K03072	dmx:X792_01605
ko:K00970	dmx:X792_01610
ko:K04066	dmx:X792_01620
ko:K02884	dmx:X792_01625
ko:K00554	dmx:X792_01630
ko:K03925	dmx:X792_01635
ko:K03438	dmx:X792_01640
ko:K03590	dmx:X792_01645
ko:K03531	dmx:X792_01650
ko:K07738	dmx:X792_01655
ko:K10716	dmx:X792_01960
ko:K00974	dmx:X792_01965
ko:K09695	dmx:X792_01970
ko:K09694	dmx:X792_01975
ko:K02028	dmx:X792_02005
ko:K02029	dmx:X792_02010
ko:K02030	dmx:X792_02015
ko:K09125	dmx:X792_02040
ko:K09122	dmx:X792_02050
ko:K17758	dmx:X792_02055
ko:K17759	dmx:X792_02055
ko:K03525	dmx:X792_02060
ko:K13038	dmx:X792_02065
ko:K01873	dmx:X792_02070
ko:K03070	dmx:X792_02090
ko:K00948	dmx:X792_02095
ko:K00600	dmx:X792_02100
ko:K12574	dmx:X792_02110
ko:K03466	dmx:X792_02115
ko:K03702	dmx:X792_02125
ko:K03550	dmx:X792_02130
ko:K01159	dmx:X792_02135
ko:K00997	dmx:X792_02145
ko:K00334	dmx:X792_02150
ko:K01966	dmx:X792_02155
ko:K01703	dmx:X792_02160
ko:K01704	dmx:X792_02165
ko:K00030	dmx:X792_02170
ko:K00024	dmx:X792_02175
ko:K01677	dmx:X792_02185
ko:K01678	dmx:X792_02190
ko:K02503	dmx:X792_02195
ko:K01515	dmx:X792_02200
ko:K00619	dmx:X792_02205
ko:K00858	dmx:X792_02210
ko:K04517	dmx:X792_02220
ko:K14170	dmx:X792_02225
ko:K01736	dmx:X792_02230
ko:K00800	dmx:X792_02235
ko:K00891	dmx:X792_02240
ko:K07159	dmx:X792_02545
ko:K03592	dmx:X792_02550
ko:K03568	dmx:X792_02555
ko:K03431	dmx:X792_02560
ko:K04042	dmx:X792_02565
ko:K00973	dmx:X792_02570
ko:K00820	dmx:X792_02575
ko:K06910	dmx:X792_02580
ko:K07025	dmx:X792_02585
ko:K01586	dmx:X792_02590
ko:K02341	dmx:X792_02595
ko:K02939	dmx:X792_02625
ko:K00384	dmx:X792_02630
ko:K03621	dmx:X792_02635
ko:K03701	dmx:X792_02650
ko:K03086	dmx:X792_02670
ko:K01129	dmx:X792_02680
ko:K08999	dmx:X792_02690
ko:K02108	dmx:X792_02700
ko:K02110	dmx:X792_02705
ko:K02109	dmx:X792_02710
ko:K02113	dmx:X792_02715
ko:K02111	dmx:X792_02720
ko:K02115	dmx:X792_02725
ko:K02112	dmx:X792_02730
ko:K02114	dmx:X792_02735
ko:K02860	dmx:X792_02740
ko:K06960	dmx:X792_02745
ko:K02959	dmx:X792_02750
ko:K05982	dmx:X792_02755
ko:K02836	dmx:X792_02760
ko:K03630	dmx:X792_02770
ko:K15580	dmx:X792_02775
ko:K01875	dmx:X792_02800
ko:K04567	dmx:X792_02805
ko:K03584	dmx:X792_02820
ko:K01783	dmx:X792_03120
ko:K01808	dmx:X792_03125
ko:K00615	dmx:X792_03130
ko:K02016	dmx:X792_03150
ko:K02015	dmx:X792_03155
ko:K02013	dmx:X792_03160
ko:K02227	dmx:X792_03170
ko:K00768	dmx:X792_03185
ko:K02233	dmx:X792_03190
ko:K02226	dmx:X792_03195
ko:K02231	dmx:X792_03200
ko:K03671	dmx:X792_03205
ko:K00197	dmx:X792_03225
ko:K14138	dmx:X792_03230
ko:K00194	dmx:X792_03235
ko:K01491	dmx:X792_03240
ko:K07321	dmx:X792_03245
ko:K01938	dmx:X792_03255
ko:K01876	dmx:X792_03270
ko:K03545	dmx:X792_03275
ko:K01358	dmx:X792_03280
ko:K00852	dmx:X792_03285
ko:K02356	dmx:X792_03300
ko:K01262	dmx:X792_03305
ko:K03168	dmx:X792_03315
ko:K04096	dmx:X792_03320
ko:K00172	dmx:X792_03345
ko:K00171	dmx:X792_03350
ko:K00169	dmx:X792_03355
ko:K00170	dmx:X792_03360
ko:K00334	dmx:X792_03365
ko:K00335	dmx:X792_03370
ko:K00065	dmx:X792_03405
ko:K03665	dmx:X792_03410
ko:K10206	dmx:X792_03425
ko:K01778	dmx:X792_03430
ko:K00791	dmx:X792_03435
ko:K01803	dmx:X792_03440
ko:K15635	dmx:X792_03445
ko:K00927	dmx:X792_03450
ko:K01662	dmx:X792_03455
ko:K00760	dmx:X792_03470
ko:K02887	dmx:X792_03475
ko:K02916	dmx:X792_03480
ko:K02520	dmx:X792_03485
ko:K01868	dmx:X792_03490
ko:K06997	dmx:X792_03515
ko:K01462	dmx:X792_03525
ko:K15987	dmx:X792_03555
ko:K03624	dmx:X792_03575
ko:K07052	dmx:X792_03590
ko:K03147	dmx:X792_03600
ko:K03501	dmx:X792_03605
ko:K00943	dmx:X792_03615
ko:K00566	dmx:X792_03620
ko:K03470	dmx:X792_03625
ko:K07460	dmx:X792_03630
ko:K00788	dmx:X792_03635
ko:K07477	dmx:X792_03640
ko:K15987	dmx:X792_03645
ko:K01880	dmx:X792_03660
ko:K03547	dmx:X792_03665
ko:K06178	dmx:X792_03670
ko:K01486	dmx:X792_03680
ko:K00760	dmx:X792_03685
ko:K01990	dmx:X792_03695
ko:K07568	dmx:X792_03705
ko:K03787	dmx:X792_03710
ko:K01579	dmx:X792_03725
ko:K00606	dmx:X792_03730
ko:K01918	dmx:X792_03735
ko:K01990	dmx:X792_03780
ko:K09013	dmx:X792_03790
ko:K02013	dmx:X792_03800
ko:K14415	dmx:X792_03830
ko:K01649	dmx:X792_03840
ko:K00052	dmx:X792_03845
ko:K01704	dmx:X792_03850
ko:K01703	dmx:X792_03855
ko:K07507	dmx:X792_03860
ko:K01649	dmx:X792_03865
ko:K00053	dmx:X792_03870
ko:K01653	dmx:X792_03875
ko:K01652	dmx:X792_03880
ko:K01687	dmx:X792_03885
ko:K07566	dmx:X792_03890
ko:K01951	dmx:X792_03895
ko:K01945	dmx:X792_03905
ko:K01588	dmx:X792_03910
ko:K01756	dmx:X792_03915
ko:K01923	dmx:X792_03920
ko:K01693	dmx:X792_03925
ko:K00817	dmx:X792_03930
ko:K00013	dmx:X792_03935
ko:K00765	dmx:X792_03940
ko:K01892	dmx:X792_03945
ko:K03524	dmx:X792_03960
ko:K01990	dmx:X792_03970
ko:K01992	dmx:X792_03975
ko:K02004	dmx:X792_03995
ko:K02003	dmx:X792_04000
ko:K03596	dmx:X792_04010
ko:K00334	dmx:X792_04030
ko:K00335	dmx:X792_04035
ko:K04568	dmx:X792_04060
ko:K02356	dmx:X792_04065
ko:K06994	dmx:X792_04075
ko:K03893	dmx:X792_04100
ko:K07159	dmx:X792_04135
ko:K09740	dmx:X792_04150
ko:K02669	dmx:X792_04165
ko:K00330	dmx:X792_04170
ko:K00331	dmx:X792_04175
ko:K00332	dmx:X792_04180
ko:K00333	dmx:X792_04185
ko:K00337	dmx:X792_04190
ko:K05580	dmx:X792_04195
ko:K00339	dmx:X792_04200
ko:K00341	dmx:X792_04210
ko:K00342	dmx:X792_04215
ko:K00343	dmx:X792_04220
ko:K03424	dmx:X792_04225
ko:K10773	dmx:X792_04230
ko:K02232	dmx:X792_04235
ko:K02614	dmx:X792_04240
ko:K01995	dmx:X792_04245
ko:K01912	dmx:X792_04255
ko:K01996	dmx:X792_04260
ko:K01999	dmx:X792_04265
ko:K01998	dmx:X792_04275
ko:K01997	dmx:X792_04280
ko:K01897	dmx:X792_04285
ko:K00179	dmx:X792_04290
ko:K00336	dmx:X792_00910
ko:K19221	dmx:X792_00385
ko:K14226	dmx:X792_04360
ko:K14237	dmx:X792_05420
ko:K14222	dmx:X792_06770
ko:K14228	dmx:X792_06780
ko:K19302	dmx:X792_06510
ko:K07497	dmx:X792_07185
ko:K07497	dmx:X792_07190
ko:K14086	dmx:X792_04015
ko:K01992	dmx:X792_02515
ko:K01992	dmx:X792_03700
ko:K01992	dmx:X792_03785
ko:K07028	dmx:X792_04735
ko:K04771	dmx:X792_04760
ko:K13735	dmx:X792_05385
ko:K01734	dmx:X792_07890
ko:K08591	dmx:X792_08065
ko:K05919	dmx:X792_08125
ko:K08591	dmx:X792_06785
ko:K03712	dmx:X792_07550
ko:K07668	dmx:X792_07580
ko:K04771	dmx:X792_04765
ko:K14219	dmx:X792_06895
ko:K14219	dmx:X792_04355
ko:K14219	dmx:X792_03465
ko:K01978	dmx:X792_01730
ko:K14225	dmx:X792_03390
ko:K14225	dmx:X792_03980
ko:K14231	dmx:X792_03750
ko:K14228	dmx:X792_06890
ko:K14237	dmx:X792_06900
ko:K06884	dmx:X792_00625
ko:K19710	dmx:X792_08085
ko:K19689	dmx:X792_04110
ko:K03733	dmx:X792_00560
ko:K19244	dmx:X792_00835
ko:K07100	dmx:X792_03675
ko:K00334	dmx:X792_00900
ko:K00817	dmx:X792_03175
ko:K03733	dmx:X792_03310
ko:K14088	dmx:X792_04025
ko:K02016	dmx:X792_00360
ko:K00821	dmx:X792_05850
ko:K01977	dmx:X792_04685
ko:K12137	dmx:X792_07885
ko:K00525	dmx:X792_03030
ko:K00525	dmx:X792_00390
ko:K00525	dmx:X792_01660
ko:K06909	dmx:X792_05020
ko:K06904	dmx:X792_05030
ko:K03465	dmx:X792_06965
ko:K03553	dmx:X792_08040
ko:K01493	dmx:X792_01985
ko:K01520	dmx:X792_01995
ko:K02315	dmx:X792_02610
ko:K02314	dmx:X792_02620
ko:K03546	dmx:X792_02665
ko:K02316	dmx:X792_02675
ko:K00560	dmx:X792_03810
ko:K00091	dmx:X792_07910
ko:K05576	dmx:X792_04205
ko:K14090	dmx:X792_04050
ko:K02335	dmx:X792_06515
ko:K07033	dmx:X792_03795
ko:K11927	dmx:X792_01320
ko:K14091	dmx:X792_04055
ko:K10914	dmx:X792_00345
ko:K21929	dmx:X792_02105
ko:K13638	dmx:X792_07230
ko:K14232	dmx:X792_03530
ko:K03741	dmx:X792_00890
ko:K22044	dmx:X792_07900
ko:K03892	dmx:X792_04590
ko:K22205	dmx:X792_07795
ko:K22222	dmx:X792_02870
ko:K22222	dmx:X792_05165
ko:K22278	dmx:X792_05355
ko:K22299	dmx:X792_00965
ko:K07755	dmx:X792_06665
