ko:K08744	mbx:BCGT_1653
ko:K00116	mbx:BCGT_2684
ko:K17883	mbx:BCGT_2687
ko:K07241	mbx:BCGT_2688
ko:K04652	mbx:BCGT_2689
ko:K07010	mbx:BCGT_2692
ko:K01915	mbx:BCGT_2693
ko:K04095	mbx:BCGT_3498
ko:K02341	mbx:BCGT_3502
ko:K03168	mbx:BCGT_3504
ko:K03704	mbx:BCGT_3506
ko:K06877	mbx:BCGT_3507
ko:K12510	mbx:BCGT_3517
ko:K02283	mbx:BCGT_3518
ko:K02031	mbx:BCGT_3523
ko:K02032	mbx:BCGT_3523
ko:K15582	mbx:BCGT_3524
ko:K15581	mbx:BCGT_3525
ko:K15580	mbx:BCGT_3526
ko:K01895	mbx:BCGT_3527
ko:K10773	mbx:BCGT_3534
ko:K01738	mbx:BCGT_3546
ko:K09117	mbx:BCGT_3550
ko:K06994	mbx:BCGT_0287
ko:K02492	mbx:BCGT_0289
ko:K01749	mbx:BCGT_0290
ko:K13542	mbx:BCGT_0291
ko:K01698	mbx:BCGT_0292
ko:K11735	mbx:BCGT_0302
ko:K01845	mbx:BCGT_0304
ko:K06196	mbx:BCGT_0307
ko:K07399	mbx:BCGT_0308
ko:K11608	mbx:BCGT_0317
ko:K02548	mbx:BCGT_0318
ko:K00772	mbx:BCGT_0319
ko:K17947	mbx:BCGT_0320
ko:K09931	mbx:BCGT_0324
ko:K03306	mbx:BCGT_0328
ko:K01661	mbx:BCGT_0331
ko:K00666	mbx:BCGT_0335
ko:K02549	mbx:BCGT_0337
ko:K02551	mbx:BCGT_0339
ko:K01776	mbx:BCGT_1173
ko:K00989	mbx:BCGT_1175
ko:K02428	mbx:BCGT_1176
ko:K02078	mbx:BCGT_1179
ko:K01909	mbx:BCGT_1180
ko:K14698	mbx:BCGT_1182
ko:K14699	mbx:BCGT_1183
ko:K00059	mbx:BCGT_1184
ko:K18481	mbx:BCGT_1198
ko:K18481	mbx:BCGT_1199
ko:K16233	mbx:BCGT_1207
ko:K09136	mbx:BCGT_1209
ko:K02825	mbx:BCGT_1212
ko:K00609	mbx:BCGT_1213
ko:K01465	mbx:BCGT_1214
ko:K01956	mbx:BCGT_1216
ko:K01955	mbx:BCGT_1217
ko:K01591	mbx:BCGT_1218
ko:K07164	mbx:BCGT_2049
ko:K00817	mbx:BCGT_2051
ko:K01104	mbx:BCGT_2056
ko:K02227	mbx:BCGT_2058
ko:K03386	mbx:BCGT_2061
ko:K00163	mbx:BCGT_2064
ko:K00645	mbx:BCGT_2066
ko:K02078	mbx:BCGT_2067
ko:K11609	mbx:BCGT_2068
ko:K11609	mbx:BCGT_2069
ko:K18472	mbx:BCGT_2070
ko:K00111	mbx:BCGT_2072
ko:K00803	mbx:BCGT_2074
ko:K07029	mbx:BCGT_2075
ko:K00153	mbx:BCGT_2082
ko:K03820	mbx:BCGT_2084
ko:K00389	mbx:BCGT_2095
ko:K00104	mbx:BCGT_2102
ko:K02346	mbx:BCGT_2904
ko:K06200	mbx:BCGT_2912
ko:K15977	mbx:BCGT_2914
ko:K03297	mbx:BCGT_2915
ko:K01835	mbx:BCGT_2918
ko:K06199	mbx:BCGT_2919
ko:K06199	mbx:BCGT_2920
ko:K01644	mbx:BCGT_2925
ko:K13419	mbx:BCGT_2930
ko:K00121	mbx:BCGT_2936
ko:K09781	mbx:BCGT_2943
ko:K07171	mbx:BCGT_2950
ko:K03664	mbx:BCGT_2952
ko:K09811	mbx:BCGT_2953
ko:K09812	mbx:BCGT_2954
ko:K02836	mbx:BCGT_2957
ko:K00970	mbx:BCGT_3774
ko:K03980	mbx:BCGT_3777
ko:K03088	mbx:BCGT_3778
ko:K03671	mbx:BCGT_3780
ko:K03497	mbx:BCGT_3783
ko:K03496	mbx:BCGT_3784
ko:K03501	mbx:BCGT_3785
ko:K06346	mbx:BCGT_3786
ko:K03217	mbx:BCGT_3787
ko:K03536	mbx:BCGT_3788
ko:K02313	mbx:BCGT_3789
ko:K02338	mbx:BCGT_3790
ko:K03629	mbx:BCGT_3791
ko:K02470	mbx:BCGT_3792
ko:K02469	mbx:BCGT_3793
ko:K03767	mbx:BCGT_3799
ko:K01664	mbx:BCGT_3804
ko:K00459	mbx:BCGT_3812
ko:K18956	mbx:BCGT_3813
ko:K03639	mbx:BCGT_0674
ko:K03704	mbx:BCGT_0676
ko:K00831	mbx:BCGT_0691
ko:K00528	mbx:BCGT_0693
ko:K04750	mbx:BCGT_0694
ko:K01647	mbx:BCGT_0697
ko:K01647	mbx:BCGT_0704
ko:K16191	mbx:BCGT_0707
ko:K16192	mbx:BCGT_0708
ko:K16193	mbx:BCGT_0709
ko:K07655	mbx:BCGT_0710
ko:K07671	mbx:BCGT_0711
ko:K01962	mbx:BCGT_0712
ko:K01963	mbx:BCGT_0712
ko:K01692	mbx:BCGT_0713
ko:K06996	mbx:BCGT_0720
ko:K11159	mbx:BCGT_0723
ko:K00626	mbx:BCGT_0724
ko:K02168	mbx:BCGT_0727
ko:K00666	mbx:BCGT_1564
ko:K01114	mbx:BCGT_1572
ko:K06994	mbx:BCGT_1573
ko:K03768	mbx:BCGT_2426
ko:K00951	mbx:BCGT_2427
ko:K00759	mbx:BCGT_2428
ko:K02035	mbx:BCGT_2429
ko:K03074	mbx:BCGT_2430
ko:K03072	mbx:BCGT_2431
ko:K03210	mbx:BCGT_2432
ko:K07250	mbx:BCGT_2433
ko:K12421	mbx:BCGT_2434
ko:K03551	mbx:BCGT_2436
ko:K03550	mbx:BCGT_2437
ko:K01159	mbx:BCGT_2438
ko:K00797	mbx:BCGT_2446
ko:K08681	mbx:BCGT_2450
ko:K10805	mbx:BCGT_2451
ko:K06215	mbx:BCGT_2452
ko:K00275	mbx:BCGT_2453
ko:K08256	mbx:BCGT_2456
ko:K00995	mbx:BCGT_2458
ko:K01868	mbx:BCGT_2460
ko:K14415	mbx:BCGT_2477
ko:K00088	mbx:BCGT_3283
ko:K03088	mbx:BCGT_3286
ko:K04077	mbx:BCGT_3289
ko:K04078	mbx:BCGT_3290
ko:K01409	mbx:BCGT_3291
ko:K03789	mbx:BCGT_3292
ko:K06925	mbx:BCGT_3294
ko:K01775	mbx:BCGT_3295
ko:K01580	mbx:BCGT_3300
ko:K00820	mbx:BCGT_3305
ko:K03431	mbx:BCGT_3310
ko:K02996	mbx:BCGT_3311
ko:K02871	mbx:BCGT_3312
ko:K03466	mbx:BCGT_3316
ko:K14743	mbx:BCGT_3318
ko:K08095	mbx:BCGT_3319
ko:K02879	mbx:BCGT_3322
ko:K03040	mbx:BCGT_3323
ko:K02986	mbx:BCGT_3324
ko:K02948	mbx:BCGT_3325
ko:K02952	mbx:BCGT_3326
ko:K02518	mbx:BCGT_3327
ko:K01710	mbx:BCGT_3329
ko:K01790	mbx:BCGT_3330
ko:K01666	mbx:BCGT_3334
ko:K01652	mbx:BCGT_3335
ko:K13788	mbx:BCGT_0179
ko:K00925	mbx:BCGT_0180
ko:K14949	mbx:BCGT_0181
ko:K01607	mbx:BCGT_0571
ko:K01945	mbx:BCGT_0572
ko:K00681	mbx:BCGT_0573
ko:K01756	mbx:BCGT_0576
ko:K01923	mbx:BCGT_0579
ko:K01354	mbx:BCGT_0580
ko:K06986	mbx:BCGT_0583
ko:K01952	mbx:BCGT_0587
ko:K01952	mbx:BCGT_0588
ko:K03710	mbx:BCGT_0593
ko:K00382	mbx:BCGT_0596
ko:K07223	mbx:BCGT_0600
ko:K01952	mbx:BCGT_0604
ko:K07052	mbx:BCGT_0605
ko:K00764	mbx:BCGT_0608
ko:K01933	mbx:BCGT_0609
ko:K06980	mbx:BCGT_0611
ko:K02619	mbx:BCGT_0612
ko:K01011	mbx:BCGT_0615
ko:K15520	mbx:BCGT_0619
ko:K02036	mbx:BCGT_0620
ko:K02039	mbx:BCGT_0621
ko:K02945	mbx:BCGT_1443
ko:K00859	mbx:BCGT_1444
ko:K14340	mbx:BCGT_1447
ko:K03701	mbx:BCGT_1452
ko:K04567	mbx:BCGT_1454
ko:K02520	mbx:BCGT_1455
ko:K02916	mbx:BCGT_1456
ko:K02887	mbx:BCGT_1457
ko:K03437	mbx:BCGT_1458
ko:K01889	mbx:BCGT_1463
ko:K01890	mbx:BCGT_1464
ko:K00145	mbx:BCGT_1467
ko:K00620	mbx:BCGT_1468
ko:K00930	mbx:BCGT_1469
ko:K00611	mbx:BCGT_1471
ko:K03402	mbx:BCGT_1472
ko:K01940	mbx:BCGT_1473
ko:K01755	mbx:BCGT_1474
ko:K16167	mbx:BCGT_1475
ko:K12434	mbx:BCGT_1476
ko:K12439	mbx:BCGT_1478
ko:K16167	mbx:BCGT_1480
ko:K03822	mbx:BCGT_1497
ko:K06966	mbx:BCGT_2329
ko:K00627	mbx:BCGT_2333
ko:K00162	mbx:BCGT_2334
ko:K00161	mbx:BCGT_2335
ko:K01644	mbx:BCGT_2336
ko:K11263	mbx:BCGT_2339
ko:K01969	mbx:BCGT_2340
ko:K01028	mbx:BCGT_2341
ko:K00666	mbx:BCGT_2342
ko:K06902	mbx:BCGT_2345
ko:K07124	mbx:BCGT_2346
ko:K06915	mbx:BCGT_2347
ko:K13288	mbx:BCGT_2348
ko:K03564	mbx:BCGT_2359
ko:K00997	mbx:BCGT_2361
ko:K11533	mbx:BCGT_2363
ko:K07448	mbx:BCGT_2367
ko:K01488	mbx:BCGT_3177
ko:K00758	mbx:BCGT_3178
ko:K01489	mbx:BCGT_3179
ko:K00241	mbx:BCGT_3180
ko:K00242	mbx:BCGT_3181
ko:K00239	mbx:BCGT_3182
ko:K00240	mbx:BCGT_3183
ko:K03637	mbx:BCGT_3188
ko:K03639	mbx:BCGT_3189
ko:K03088	mbx:BCGT_3195
ko:K01443	mbx:BCGT_3199
ko:K07058	mbx:BCGT_3202
ko:K01867	mbx:BCGT_3203
ko:K00031	mbx:BCGT_3205
ko:K01740	mbx:BCGT_3207
ko:K00641	mbx:BCGT_3208
ko:K02030	mbx:BCGT_0182
ko:K03574	mbx:BCGT_0184
ko:K00788	mbx:BCGT_0185
ko:K03153	mbx:BCGT_0186
ko:K03154	mbx:BCGT_0187
ko:K03149	mbx:BCGT_0188
ko:K07020	mbx:BCGT_0193
ko:K00941	mbx:BCGT_0194
ko:K03147	mbx:BCGT_0195
ko:K01142	mbx:BCGT_0199
ko:K01462	mbx:BCGT_0201
ko:K04565	mbx:BCGT_0204
ko:K06048	mbx:BCGT_0205
ko:K07157	mbx:BCGT_0206
ko:K13525	mbx:BCGT_0207
ko:K17103	mbx:BCGT_0208
ko:K01613	mbx:BCGT_0209
ko:K03750	mbx:BCGT_0210
ko:K04077	mbx:BCGT_0212
ko:K03088	mbx:BCGT_0217
ko:K00574	mbx:BCGT_0219
ko:K09701	mbx:BCGT_0220
ko:K06994	mbx:BCGT_0222
ko:K02027	mbx:BCGT_1067
ko:K02025	mbx:BCGT_1068
ko:K02026	mbx:BCGT_1069
ko:K10112	mbx:BCGT_1070
ko:K03284	mbx:BCGT_1071
ko:K00024	mbx:BCGT_1072
ko:K01616	mbx:BCGT_1081
ko:K05592	mbx:BCGT_1087
ko:K01426	mbx:BCGT_1093
ko:K14955	mbx:BCGT_1102
ko:K06147	mbx:BCGT_1104
ko:K08296	mbx:BCGT_1107
ko:K02035	mbx:BCGT_1111
ko:K02031	mbx:BCGT_1112
ko:K02032	mbx:BCGT_1112
ko:K02034	mbx:BCGT_1113
ko:K02033	mbx:BCGT_1114
ko:K01673	mbx:BCGT_1116
ko:K11738	mbx:BCGT_1948
ko:K15526	mbx:BCGT_1951
ko:K01082	mbx:BCGT_1952
ko:K06153	mbx:BCGT_1956
ko:K00254	mbx:BCGT_1960
ko:K06910	mbx:BCGT_1961
ko:K19093	mbx:BCGT_1963
ko:K02221	mbx:BCGT_1968
ko:K09772	mbx:BCGT_1969
ko:K06997	mbx:BCGT_1970
ko:K05810	mbx:BCGT_1971
ko:K03531	mbx:BCGT_1972
ko:K03589	mbx:BCGT_1973
ko:K01924	mbx:BCGT_1974
ko:K02563	mbx:BCGT_1975
ko:K03588	mbx:BCGT_1976
ko:K01925	mbx:BCGT_1977
ko:K01000	mbx:BCGT_1978
ko:K01929	mbx:BCGT_1979
ko:K01928	mbx:BCGT_1980
ko:K03587	mbx:BCGT_1985
ko:K03438	mbx:BCGT_1987
ko:K03925	mbx:BCGT_1988
ko:K13787	mbx:BCGT_1993
ko:K14337	mbx:BCGT_1994
ko:K07089	mbx:BCGT_2800
ko:K01433	mbx:BCGT_2801
ko:K00954	mbx:BCGT_2803
ko:K01958	mbx:BCGT_2805
ko:K03655	mbx:BCGT_2813
ko:K07030	mbx:BCGT_2814
ko:K02902	mbx:BCGT_2815
ko:K03648	mbx:BCGT_2816
ko:K00946	mbx:BCGT_2817
ko:K01921	mbx:BCGT_2821
ko:K00057	mbx:BCGT_2822
ko:K14941	mbx:BCGT_2823
ko:K00937	mbx:BCGT_2824
ko:K03574	mbx:BCGT_2825
ko:K03530	mbx:BCGT_2826
ko:K01704	mbx:BCGT_2827
ko:K01703	mbx:BCGT_2828
ko:K01885	mbx:BCGT_2833
ko:K00052	mbx:BCGT_2835
ko:K00058	mbx:BCGT_2836
ko:K02069	mbx:BCGT_2842
ko:K00053	mbx:BCGT_2843
ko:K01653	mbx:BCGT_2844
ko:K01652	mbx:BCGT_2845
ko:K15977	mbx:BCGT_2847
ko:K12437	mbx:BCGT_3662
ko:K12428	mbx:BCGT_3663
ko:K18851	mbx:BCGT_3666
ko:K13687	mbx:BCGT_3667
ko:K14136	mbx:BCGT_3668
ko:K16650	mbx:BCGT_3670
ko:K01854	mbx:BCGT_3671
ko:K14952	mbx:BCGT_3682
ko:K06994	mbx:BCGT_3688
ko:K12431	mbx:BCGT_3690
ko:K12425	mbx:BCGT_3691
ko:K01875	mbx:BCGT_3699
ko:K04518	mbx:BCGT_3703
ko:K01126	mbx:BCGT_3706
ko:K01130	mbx:BCGT_0453
ko:K03043	mbx:BCGT_0456
ko:K03046	mbx:BCGT_0457
ko:K01151	mbx:BCGT_0461
ko:K03932	mbx:BCGT_0462
ko:K09456	mbx:BCGT_0463
ko:K01692	mbx:BCGT_0464
ko:K02616	mbx:BCGT_0465
ko:K01692	mbx:BCGT_0466
ko:K06994	mbx:BCGT_0467
ko:K02950	mbx:BCGT_0473
ko:K02992	mbx:BCGT_0474
ko:K02355	mbx:BCGT_0475
ko:K02358	mbx:BCGT_0476
ko:K00101	mbx:BCGT_0486
ko:K02946	mbx:BCGT_0493
ko:K02906	mbx:BCGT_0494
ko:K02926	mbx:BCGT_0495
ko:K02892	mbx:BCGT_0496
ko:K02886	mbx:BCGT_0497
ko:K02965	mbx:BCGT_0498
ko:K02890	mbx:BCGT_0499
ko:K02982	mbx:BCGT_0500
ko:K02878	mbx:BCGT_0501
ko:K02904	mbx:BCGT_0502
ko:K02961	mbx:BCGT_0503
ko:K01130	mbx:BCGT_0504
ko:K02874	mbx:BCGT_0508
ko:K02895	mbx:BCGT_0509
ko:K02931	mbx:BCGT_0510
ko:K07171	mbx:BCGT_1334
ko:K07588	mbx:BCGT_1335
ko:K09165	mbx:BCGT_1339
ko:K02805	mbx:BCGT_1343
ko:K06994	mbx:BCGT_1351
ko:K12433	mbx:BCGT_1357
ko:K01870	mbx:BCGT_1366
ko:K02346	mbx:BCGT_1367
ko:K03101	mbx:BCGT_1368
ko:K06180	mbx:BCGT_1369
ko:K06886	mbx:BCGT_1371
ko:K07124	mbx:BCGT_1373
ko:K02337	mbx:BCGT_1375
ko:K00631	mbx:BCGT_1378
ko:K00244	mbx:BCGT_1380
ko:K00245	mbx:BCGT_1381
ko:K00247	mbx:BCGT_1382
ko:K06994	mbx:BCGT_1385
ko:K01754	mbx:BCGT_1387
ko:K18481	mbx:BCGT_2215
ko:K00392	mbx:BCGT_2216
ko:K00390	mbx:BCGT_2217
ko:K00681	mbx:BCGT_2219
ko:K02045	mbx:BCGT_2225
ko:K02047	mbx:BCGT_2226
ko:K02046	mbx:BCGT_2227
ko:K02048	mbx:BCGT_2228
ko:K03596	mbx:BCGT_2233
ko:K00784	mbx:BCGT_2236
ko:K02968	mbx:BCGT_2241
ko:K02340	mbx:BCGT_2242
ko:K02238	mbx:BCGT_2243
ko:K02237	mbx:BCGT_2244
ko:K09710	mbx:BCGT_2250
ko:K00969	mbx:BCGT_2251
ko:K07161	mbx:BCGT_2256
ko:K03386	mbx:BCGT_2260
ko:K04756	mbx:BCGT_2261
ko:K03496	mbx:BCGT_3081
ko:K02361	mbx:BCGT_3083
ko:K03088	mbx:BCGT_3090
ko:K00800	mbx:BCGT_3094
ko:K06949	mbx:BCGT_3095
ko:K00508	mbx:BCGT_3096
ko:K03455	mbx:BCGT_3102
ko:K07228	mbx:BCGT_3103
ko:K03070	mbx:BCGT_3106
ko:K07654	mbx:BCGT_3112
ko:K07670	mbx:BCGT_3113
ko:K00943	mbx:BCGT_3114
ko:K01251	mbx:BCGT_3115
ko:K00496	mbx:BCGT_3119
ko:K03294	mbx:BCGT_3120
ko:K07304	mbx:BCGT_3937
ko:K06893	mbx:BCGT_3941
ko:K03281	mbx:BCGT_3943
ko:K00128	mbx:BCGT_3947
ko:K01104	mbx:BCGT_3954
ko:K09958	mbx:BCGT_3956
ko:K00324	mbx:BCGT_3957
ko:K00325	mbx:BCGT_3958
ko:K07107	mbx:BCGT_3965
ko:K00666	mbx:BCGT_3968
ko:K02066	mbx:BCGT_3969
ko:K02066	mbx:BCGT_3970
ko:K02067	mbx:BCGT_3971
ko:K02067	mbx:BCGT_3972
ko:K02067	mbx:BCGT_3973
ko:K02067	mbx:BCGT_3974
ko:K02067	mbx:BCGT_3975
ko:K02067	mbx:BCGT_3976
ko:K18481	mbx:BCGT_3977
ko:K18481	mbx:BCGT_3978
ko:K06911	mbx:BCGT_3981
ko:K03088	mbx:BCGT_3982
ko:K05349	mbx:BCGT_3985
ko:K01687	mbx:BCGT_3989
ko:K14743	mbx:BCGT_0061
ko:K00598	mbx:BCGT_0064
ko:K04719	mbx:BCGT_0075
ko:K01126	mbx:BCGT_0086
ko:K07238	mbx:BCGT_0088
ko:K01304	mbx:BCGT_0089
ko:K01494	mbx:BCGT_0091
ko:K00012	mbx:BCGT_0092
ko:K17218	mbx:BCGT_0099
ko:K00973	mbx:BCGT_0102
ko:K14260	mbx:BCGT_0105
ko:K11738	mbx:BCGT_0114
ko:K01006	mbx:BCGT_0954
ko:K01720	mbx:BCGT_0958
ko:K01647	mbx:BCGT_0959
ko:K00549	mbx:BCGT_0961
ko:K00626	mbx:BCGT_0964
ko:K16168	mbx:BCGT_0967
ko:K07052	mbx:BCGT_0969
ko:K01692	mbx:BCGT_0970
ko:K01692	mbx:BCGT_0971
ko:K01796	mbx:BCGT_0972
ko:K06994	mbx:BCGT_0975
ko:K12410	mbx:BCGT_0979
ko:K13669	mbx:BCGT_0990
ko:K01724	mbx:BCGT_0991
ko:K03574	mbx:BCGT_0992
ko:K00370	mbx:BCGT_0993
ko:K00371	mbx:BCGT_0994
ko:K00373	mbx:BCGT_0995
ko:K00374	mbx:BCGT_0996
ko:K06207	mbx:BCGT_0997
ko:K15525	mbx:BCGT_1002
ko:K11779	mbx:BCGT_1005
ko:K00219	mbx:BCGT_1007
ko:K16370	mbx:BCGT_1848
ko:K07001	mbx:BCGT_1857
ko:K10112	mbx:BCGT_1858
ko:K02026	mbx:BCGT_1859
ko:K02025	mbx:BCGT_1860
ko:K02027	mbx:BCGT_1861
ko:K08281	mbx:BCGT_1863
ko:K03929	mbx:BCGT_1865
ko:K03820	mbx:BCGT_1874
ko:K07113	mbx:BCGT_1876
ko:K01061	mbx:BCGT_1877
ko:K02963	mbx:BCGT_1879
ko:K02954	mbx:BCGT_1880
ko:K02913	mbx:BCGT_1881
ko:K02902	mbx:BCGT_1882
ko:K02077	mbx:BCGT_1884
ko:K07006	mbx:BCGT_1885
ko:K02230	mbx:BCGT_1886
ko:K07171	mbx:BCGT_1888
ko:K06042	mbx:BCGT_1889
ko:K13540	mbx:BCGT_1890
ko:K01265	mbx:BCGT_2694
ko:K06976	mbx:BCGT_2702
ko:K03526	mbx:BCGT_2703
ko:K00099	mbx:BCGT_2705
ko:K06941	mbx:BCGT_2716
ko:K00981	mbx:BCGT_2717
ko:K02838	mbx:BCGT_2718
ko:K09903	mbx:BCGT_2719
ko:K01426	mbx:BCGT_2724
ko:K02357	mbx:BCGT_2725
ko:K02967	mbx:BCGT_2726
ko:K03733	mbx:BCGT_2731
ko:K04096	mbx:BCGT_2733
ko:K07391	mbx:BCGT_2734
ko:K07460	mbx:BCGT_2735
ko:K02379	mbx:BCGT_2736
ko:K03470	mbx:BCGT_2739
ko:K03100	mbx:BCGT_2740
ko:K02884	mbx:BCGT_2741
ko:K00554	mbx:BCGT_2743
ko:K02860	mbx:BCGT_2744
ko:K06960	mbx:BCGT_2745
ko:K02959	mbx:BCGT_2746
ko:K03924	mbx:BCGT_3554
ko:K00864	mbx:BCGT_3558
ko:K18913	mbx:BCGT_3562
ko:K18911	mbx:BCGT_3563
ko:K07008	mbx:BCGT_3564
ko:K18912	mbx:BCGT_3565
ko:K01919	mbx:BCGT_3566
ko:K00133	mbx:BCGT_3570
ko:K00928	mbx:BCGT_3571
ko:K01649	mbx:BCGT_3572
ko:K02342	mbx:BCGT_3573
ko:K07009	mbx:BCGT_3575
ko:K06187	mbx:BCGT_3577
ko:K09747	mbx:BCGT_3578
ko:K01448	mbx:BCGT_3579
ko:K00574	mbx:BCGT_3582
ko:K02343	mbx:BCGT_3583
ko:K07001	mbx:BCGT_3591
ko:K06937	mbx:BCGT_3592
ko:K09129	mbx:BCGT_3600
ko:K03183	mbx:BCGT_0341
ko:K00805	mbx:BCGT_0345
ko:K03799	mbx:BCGT_0346
ko:K00057	mbx:BCGT_0347
ko:K09767	mbx:BCGT_0349
ko:K00763	mbx:BCGT_0357
ko:K07282	mbx:BCGT_0358
ko:K06996	mbx:BCGT_0361
ko:K09122	mbx:BCGT_0365
ko:K02066	mbx:BCGT_0374
ko:K02066	mbx:BCGT_0375
ko:K02067	mbx:BCGT_0376
ko:K02067	mbx:BCGT_0377
ko:K02067	mbx:BCGT_0378
ko:K02067	mbx:BCGT_0379
ko:K02067	mbx:BCGT_0380
ko:K07133	mbx:BCGT_0383
ko:K02484	mbx:BCGT_0386
ko:K02484	mbx:BCGT_0387
ko:K00942	mbx:BCGT_1223
ko:K03060	mbx:BCGT_1224
ko:K13038	mbx:BCGT_1225
ko:K00789	mbx:BCGT_1226
ko:K04066	mbx:BCGT_1236
ko:K00604	mbx:BCGT_1240
ko:K03500	mbx:BCGT_1241
ko:K01783	mbx:BCGT_1242
ko:K11752	mbx:BCGT_1243
ko:K14954	mbx:BCGT_1244
ko:K00793	mbx:BCGT_1245
ko:K14652	mbx:BCGT_1246
ko:K00794	mbx:BCGT_1247
ko:K03703	mbx:BCGT_1251
ko:K06958	mbx:BCGT_1252
ko:K09762	mbx:BCGT_1254
ko:K00134	mbx:BCGT_1266
ko:K00927	mbx:BCGT_1267
ko:K01803	mbx:BCGT_1268
ko:K03075	mbx:BCGT_1272
ko:K08351	mbx:BCGT_1274
ko:K03306	mbx:BCGT_2103
ko:K03316	mbx:BCGT_2110
ko:K01521	mbx:BCGT_2111
ko:K01011	mbx:BCGT_2113
ko:K14155	mbx:BCGT_2115
ko:K09925	mbx:BCGT_2117
ko:K04079	mbx:BCGT_2121
ko:K08095	mbx:BCGT_2123
ko:K07045	mbx:BCGT_2125
ko:K06889	mbx:BCGT_2130
ko:K03568	mbx:BCGT_2145
ko:K02026	mbx:BCGT_2146
ko:K02027	mbx:BCGT_2147
ko:K16785	mbx:BCGT_2152
