ko:K03559	ctry:CTRC46_03145
ko:K03980	ctry:CTRC46_03295
ko:K01151	ctry:CTRC46_03300
ko:K02986	ctry:CTRC46_03305
ko:K07146	ctry:CTRC46_03310
ko:K13789	ctry:CTRC46_03315
ko:K01698	ctry:CTRC46_03340
ko:K00346	ctry:CTRC46_03345
ko:K00813	ctry:CTRC46_03360
ko:K03582	ctry:CTRC46_03370
ko:K03583	ctry:CTRC46_03375
ko:K03168	ctry:CTRC46_03390
ko:K02221	ctry:CTRC46_03400
ko:K01934	ctry:CTRC46_03420
ko:K03581	ctry:CTRC46_03445
ko:K06861	ctry:CTRC46_03455
ko:K01627	ctry:CTRC46_03465
ko:K06180	ctry:CTRC46_03485
ko:K06960	ctry:CTRC46_03490
ko:K02469	ctry:CTRC46_03495
ko:K02470	ctry:CTRC46_03500
ko:K02492	ctry:CTRC46_03505
ko:K03224	ctry:CTRC46_03545
ko:K02417	ctry:CTRC46_03560
ko:K03219	ctry:CTRC46_03570
ko:K02838	ctry:CTRC46_03585
ko:K09903	ctry:CTRC46_03590
ko:K02357	ctry:CTRC46_03595
ko:K02967	ctry:CTRC46_03600
ko:K03162	ctry:CTRC46_03605
ko:K09013	ctry:CTRC46_03630
ko:K09015	ctry:CTRC46_03635
ko:K11717	ctry:CTRC46_03640
ko:K07220	ctry:CTRC46_03660
ko:K03306	ctry:CTRC46_03665
ko:K00927	ctry:CTRC46_03670
ko:K10773	ctry:CTRC46_03690
ko:K03650	ctry:CTRC46_03695
ko:K01613	ctry:CTRC46_03700
ko:K03070	ctry:CTRC46_03710
ko:K03977	ctry:CTRC46_03720
ko:K00970	ctry:CTRC46_03725
ko:K03544	ctry:CTRC46_03730
ko:K01358	ctry:CTRC46_03735
ko:K03545	ctry:CTRC46_03740
ko:K03569	ctry:CTRC46_03755
ko:K01596	ctry:CTRC46_03760
ko:K00057	ctry:CTRC46_03780
ko:K00972	ctry:CTRC46_03785
ko:K02806	ctry:CTRC46_01495
ko:K02806	ctry:CTRC46_01500
ko:K01963	ctry:CTRC46_01510
ko:K04564	ctry:CTRC46_01515
ko:K03685	ctry:CTRC46_01530
ko:K04485	ctry:CTRC46_01535
ko:K01749	ctry:CTRC46_01540
ko:K01873	ctry:CTRC46_01550
ko:K02124	ctry:CTRC46_01560
ko:K02123	ctry:CTRC46_01565
ko:K02120	ctry:CTRC46_01570
ko:K02118	ctry:CTRC46_01575
ko:K02117	ctry:CTRC46_01580
ko:K02121	ctry:CTRC46_01590
ko:K00616	ctry:CTRC46_01605
ko:K03046	ctry:CTRC46_01610
ko:K03043	ctry:CTRC46_01615
ko:K02935	ctry:CTRC46_01620
ko:K02864	ctry:CTRC46_01625
ko:K02863	ctry:CTRC46_01630
ko:K02867	ctry:CTRC46_01635
ko:K02601	ctry:CTRC46_01640
ko:K03073	ctry:CTRC46_01645
ko:K02358	ctry:CTRC46_01650
ko:K02518	ctry:CTRC46_01655
ko:K01803	ctry:CTRC46_01700
ko:K03601	ctry:CTRC46_01705
ko:K03602	ctry:CTRC46_01710
ko:K01662	ctry:CTRC46_01720
ko:K00873	ctry:CTRC46_01725
ko:K03701	ctry:CTRC46_01730
ko:K02343	ctry:CTRC46_01735
ko:K09747	ctry:CTRC46_01740
ko:K08483	ctry:CTRC46_01745
ko:K11189	ctry:CTRC46_01750
ko:K11381	ctry:CTRC46_01770
ko:K03686	ctry:CTRC46_01775
ko:K02970	ctry:CTRC46_01780
ko:K01338	ctry:CTRC46_01790
ko:K00784	ctry:CTRC46_01805
ko:K03733	ctry:CTRC46_01810
ko:K06287	ctry:CTRC46_01820
ko:K03075	ctry:CTRC46_01835
ko:K01462	ctry:CTRC46_01840
ko:K02528	ctry:CTRC46_01845
ko:K06888	ctry:CTRC46_01855
ko:K03523	ctry:CTRC46_01875
ko:K01714	ctry:CTRC46_01890
ko:K00928	ctry:CTRC46_01895
ko:K00133	ctry:CTRC46_01900
ko:K00215	ctry:CTRC46_01905
ko:K00800	ctry:CTRC46_01915
ko:K00891	ctry:CTRC46_01920
ko:K01736	ctry:CTRC46_01925
ko:K01735	ctry:CTRC46_01930
ko:K13832	ctry:CTRC46_01935
ko:K03758	ctry:CTRC46_01955
ko:K00024	ctry:CTRC46_01965
ko:K01810	ctry:CTRC46_01975
ko:K03665	ctry:CTRC46_01980
ko:K06167	ctry:CTRC46_01985
ko:K09996	ctry:CTRC46_01990
ko:K03856	ctry:CTRC46_01995
ko:K06966	ctry:CTRC46_02025
ko:K09131	ctry:CTRC46_02030
ko:K10206	ctry:CTRC46_02040
ko:K01881	ctry:CTRC46_02055
ko:K03705	ctry:CTRC46_02060
ko:K03687	ctry:CTRC46_02065
ko:K04043	ctry:CTRC46_02070
ko:K12573	ctry:CTRC46_02075
ko:K07164	ctry:CTRC46_02080
ko:K06041	ctry:CTRC46_02085
ko:K00658	ctry:CTRC46_02090
ko:K00912	ctry:CTRC46_02100
ko:K03437	ctry:CTRC46_02105
ko:K06969	ctry:CTRC46_02110
ko:K00793	ctry:CTRC46_02115
ko:K07738	ctry:CTRC46_02120
ko:K06204	ctry:CTRC46_02125
ko:K03101	ctry:CTRC46_02130
ko:K03310	ctry:CTRC46_02135
ko:K00970	ctry:CTRC46_02140
ko:K00748	ctry:CTRC46_02145
ko:K09815	ctry:CTRC46_02165
ko:K09817	ctry:CTRC46_02170
ko:K09816	ctry:CTRC46_02175
ko:K03979	ctry:CTRC46_02180
ko:K02899	ctry:CTRC46_02185
ko:K02888	ctry:CTRC46_02190
ko:K07042	ctry:CTRC46_02210
ko:K03183	ctry:CTRC46_02240
ko:K02412	ctry:CTRC46_03795
ko:K02411	ctry:CTRC46_03800
ko:K02409	ctry:CTRC46_03810
ko:K13819	ctry:CTRC46_03820
ko:K04487	ctry:CTRC46_03825
ko:K01834	ctry:CTRC46_03830
ko:K06178	ctry:CTRC46_03840
ko:K03524	ctry:CTRC46_03850
ko:K05837	ctry:CTRC46_03855
ko:K01875	ctry:CTRC46_03870
ko:K11752	ctry:CTRC46_03875
ko:K14652	ctry:CTRC46_03880
ko:K00794	ctry:CTRC46_03885
ko:K03310	ctry:CTRC46_03900
ko:K06910	ctry:CTRC46_03905
ko:K07117	ctry:CTRC46_03910
ko:K03466	ctry:CTRC46_03920
ko:K00351	ctry:CTRC46_03930
ko:K03210	ctry:CTRC46_03935
ko:K00231	ctry:CTRC46_03955
ko:K01599	ctry:CTRC46_03965
ko:K03723	ctry:CTRC46_03970
ko:K01872	ctry:CTRC46_03975
ko:K00615	ctry:CTRC46_03985
ko:K01241	ctry:CTRC46_03990
ko:K02356	ctry:CTRC46_04000
ko:K01778	ctry:CTRC46_02250
ko:K01358	ctry:CTRC46_02255
ko:K00600	ctry:CTRC46_02260
ko:K01719	ctry:CTRC46_02270
ko:K01770	ctry:CTRC46_02275
ko:K00380	ctry:CTRC46_02280
ko:K02946	ctry:CTRC46_02285
ko:K02355	ctry:CTRC46_02290
ko:K02992	ctry:CTRC46_02295
ko:K02950	ctry:CTRC46_02300
ko:K03797	ctry:CTRC46_02310
ko:K01885	ctry:CTRC46_02335
ko:K07462	ctry:CTRC46_02345
ko:K12257	ctry:CTRC46_02355
ko:K00806	ctry:CTRC46_02365
ko:K00981	ctry:CTRC46_02375
ko:K00945	ctry:CTRC46_02380
ko:K00655	ctry:CTRC46_02385
ko:K01887	ctry:CTRC46_02390
ko:K00790	ctry:CTRC46_02395
ko:K02836	ctry:CTRC46_02415
ko:K07098	ctry:CTRC46_02425
ko:K00991	ctry:CTRC46_02430
ko:K06173	ctry:CTRC46_02435
ko:K07710	ctry:CTRC46_02455
ko:K07714	ctry:CTRC46_02460
ko:K03584	ctry:CTRC46_02470
ko:K08998	ctry:CTRC46_02490
ko:K01890	ctry:CTRC46_02500
ko:K14237	ctry:CTRC46_t04780
ko:K14226	ctry:CTRC46_t04774
ko:K01840	ctry:CTRC46_01520
ko:K06972	ctry:CTRC46_04405
ko:K11645	ctry:CTRC46_01110
ko:K07081	ctry:CTRC46_02235
ko:K07125	ctry:CTRC46_01670
ko:K08275	ctry:CTRC46_00425
ko:K01921	ctry:CTRC46_04050
ko:K01924	ctry:CTRC46_04050
ko:K01802	ctry:CTRC46_02855
ko:K08719	ctry:CTRC46_03775
ko:K08274	ctry:CTRC46_01970
ko:K01829	ctry:CTRC46_04145
ko:K01829	ctry:CTRC46_04165
ko:K03309	ctry:CTRC46_02095
ko:K07033	ctry:CTRC46_03625
ko:K03825	ctry:CTRC46_02410
ko:K03111	ctry:CTRC46_00230
ko:K03496	ctry:CTRC46_03065
ko:K03497	ctry:CTRC46_03645
ko:K02626	ctry:CTRC46_01950
ko:K11991	ctry:CTRC46_04515
ko:K04771	ctry:CTRC46_04400
ko:K19411	ctry:CTRC46_03580
ko:K02031	ctry:CTRC46_03655
ko:K19405	ctry:CTRC46_03575
ko:K22100	ctry:CTRC46_01695
ko:K12132	ctry:CTRC46_01545
ko:K20265	ctry:CTRC46_01115
ko:K20074	ctry:CTRC46_01335
ko:K11749	ctry:CTRC46_00385
ko:K01214	ctry:CTRC46_00220
ko:K22099	ctry:CTRC46_03225
ko:K00526	ctry:CTRC46_04425
ko:K02335	ctry:CTRC46_02605
ko:K02316	ctry:CTRC46_04220
ko:K01520	ctry:CTRC46_01505
ko:K02314	ctry:CTRC46_02635
ko:K00287	ctry:CTRC46_03230
ko:K03553	ctry:CTRC46_03430
ko:K02032	ctry:CTRC46_03650
ko:K00525	ctry:CTRC46_04420
ko:K02050	ctry:CTRC46_04570
ko:K02051	ctry:CTRC46_04570
ko:K01534	ctry:CTRC46_03860
ko:K16239	ctry:CTRC46_00445
