ko:K19405	ctlm:L2BAMS3_00710
ko:K03800	ctlm:L2BAMS3_00290
ko:K03696	ctlm:L2BAMS3_00291
ko:K00566	ctlm:L2BAMS3_00292
ko:K01963	ctlm:L2BAMS3_00298
ko:K04564	ctlm:L2BAMS3_00299
ko:K03685	ctlm:L2BAMS3_00302
ko:K04485	ctlm:L2BAMS3_00303
ko:K01749	ctlm:L2BAMS3_00304
ko:K01873	ctlm:L2BAMS3_00307
ko:K03046	ctlm:L2BAMS3_00319
ko:K03043	ctlm:L2BAMS3_00320
ko:K02935	ctlm:L2BAMS3_00321
ko:K02864	ctlm:L2BAMS3_00322
ko:K02863	ctlm:L2BAMS3_00323
ko:K02867	ctlm:L2BAMS3_00324
ko:K02601	ctlm:L2BAMS3_00325
ko:K03073	ctlm:L2BAMS3_00326
ko:K02358	ctlm:L2BAMS3_00328
ko:K02518	ctlm:L2BAMS3_00330
ko:K01803	ctlm:L2BAMS3_00337
ko:K03601	ctlm:L2BAMS3_00338
ko:K03602	ctlm:L2BAMS3_00339
ko:K01662	ctlm:L2BAMS3_00341
ko:K00873	ctlm:L2BAMS3_00342
ko:K03701	ctlm:L2BAMS3_00343
ko:K02343	ctlm:L2BAMS3_00344
ko:K09747	ctlm:L2BAMS3_00345
ko:K11381	ctlm:L2BAMS3_00351
ko:K03686	ctlm:L2BAMS3_00352
ko:K02970	ctlm:L2BAMS3_00353
ko:K01338	ctlm:L2BAMS3_00355
ko:K03733	ctlm:L2BAMS3_00358
ko:K06287	ctlm:L2BAMS3_00360
ko:K03075	ctlm:L2BAMS3_00363
ko:K01462	ctlm:L2BAMS3_00364
ko:K02528	ctlm:L2BAMS3_00365
ko:K06888	ctlm:L2BAMS3_00367
ko:K03523	ctlm:L2BAMS3_00371
ko:K01714	ctlm:L2BAMS3_00374
ko:K00928	ctlm:L2BAMS3_00375
ko:K00133	ctlm:L2BAMS3_00376
ko:K00215	ctlm:L2BAMS3_00377
ko:K00800	ctlm:L2BAMS3_00379
ko:K00891	ctlm:L2BAMS3_00380
ko:K01736	ctlm:L2BAMS3_00381
ko:K01735	ctlm:L2BAMS3_00382
ko:K13832	ctlm:L2BAMS3_00383
ko:K09779	ctlm:L2BAMS3_00002
ko:K02435	ctlm:L2BAMS3_00003
ko:K02434	ctlm:L2BAMS3_00005
ko:K02517	ctlm:L2BAMS3_00011
ko:K00425	ctlm:L2BAMS3_00014
ko:K00426	ctlm:L2BAMS3_00015
ko:K07175	ctlm:L2BAMS3_00016
ko:K01870	ctlm:L2BAMS3_00021
ko:K03100	ctlm:L2BAMS3_00022
ko:K02909	ctlm:L2BAMS3_00024
ko:K03551	ctlm:L2BAMS3_00042
ko:K01255	ctlm:L2BAMS3_00047
ko:K02340	ctlm:L2BAMS3_00049
ko:K07056	ctlm:L2BAMS3_00050
ko:K00164	ctlm:L2BAMS3_00056
ko:K00658	ctlm:L2BAMS3_00057
ko:K05810	ctlm:L2BAMS3_00058
ko:K03526	ctlm:L2BAMS3_00059
ko:K02400	ctlm:L2BAMS3_00063
ko:K02405	ctlm:L2BAMS3_00064
ko:K01866	ctlm:L2BAMS3_00065
ko:K03596	ctlm:L2BAMS3_00067
ko:K03301	ctlm:L2BAMS3_00068
ko:K00099	ctlm:L2BAMS3_00074
ko:K03629	ctlm:L2BAMS3_00077
ko:K02835	ctlm:L2BAMS3_00025
ko:K02493	ctlm:L2BAMS3_00026
ko:K03106	ctlm:L2BAMS3_00027
ko:K02959	ctlm:L2BAMS3_00028
ko:K00554	ctlm:L2BAMS3_00029
ko:K02884	ctlm:L2BAMS3_00030
ko:K03470	ctlm:L2BAMS3_00031
ko:K00942	ctlm:L2BAMS3_00032
ko:K01874	ctlm:L2BAMS3_00034
ko:K03581	ctlm:L2BAMS3_00035
ko:K01494	ctlm:L2BAMS3_00041
ko:K03758	ctlm:L2BAMS3_00387
ko:K00024	ctlm:L2BAMS3_00389
ko:K01810	ctlm:L2BAMS3_00391
ko:K03665	ctlm:L2BAMS3_00392
ko:K06167	ctlm:L2BAMS3_00393
ko:K09996	ctlm:L2BAMS3_00394
ko:K06966	ctlm:L2BAMS3_00401
ko:K09131	ctlm:L2BAMS3_00402
ko:K10206	ctlm:L2BAMS3_00404
ko:K01881	ctlm:L2BAMS3_00407
ko:K03705	ctlm:L2BAMS3_00408
ko:K03687	ctlm:L2BAMS3_00409
ko:K04043	ctlm:L2BAMS3_00410
ko:K12573	ctlm:L2BAMS3_00411
ko:K07164	ctlm:L2BAMS3_00412
ko:K06041	ctlm:L2BAMS3_00413
ko:K00658	ctlm:L2BAMS3_00414
ko:K00912	ctlm:L2BAMS3_00416
ko:K03437	ctlm:L2BAMS3_00417
ko:K06969	ctlm:L2BAMS3_00418
ko:K00793	ctlm:L2BAMS3_00419
ko:K07738	ctlm:L2BAMS3_00420
ko:K06204	ctlm:L2BAMS3_00421
ko:K03101	ctlm:L2BAMS3_00422
ko:K03310	ctlm:L2BAMS3_00423
ko:K00748	ctlm:L2BAMS3_00425
ko:K09817	ctlm:L2BAMS3_00431
ko:K09816	ctlm:L2BAMS3_00432
ko:K03979	ctlm:L2BAMS3_00433
ko:K02899	ctlm:L2BAMS3_00434
ko:K02888	ctlm:L2BAMS3_00435
ko:K03559	ctlm:L2BAMS3_00625
ko:K02563	ctlm:L2BAMS3_00809
ko:K06960	ctlm:L2BAMS3_00811
ko:K00791	ctlm:L2BAMS3_00814
ko:K09710	ctlm:L2BAMS3_00817
ko:K09458	ctlm:L2BAMS3_00818
ko:K00263	ctlm:L2BAMS3_00821
ko:K00655	ctlm:L2BAMS3_00823
ko:K04066	ctlm:L2BAMS3_00826
ko:K04567	ctlm:L2BAMS3_00830
ko:K01883	ctlm:L2BAMS3_00831
ko:K03536	ctlm:L2BAMS3_00833
ko:K02919	ctlm:L2BAMS3_00834
ko:K02954	ctlm:L2BAMS3_00835
ko:K03703	ctlm:L2BAMS3_00839
ko:K03555	ctlm:L2BAMS3_00840
ko:K14164	ctlm:L2BAMS3_00844
ko:K00995	ctlm:L2BAMS3_00845
ko:K00703	ctlm:L2BAMS3_00846
ko:K02897	ctlm:L2BAMS3_00848
ko:K01056	ctlm:L2BAMS3_00849
ko:K02990	ctlm:L2BAMS3_00850
ko:K02963	ctlm:L2BAMS3_00851
ko:K02939	ctlm:L2BAMS3_00852
ko:K00919	ctlm:L2BAMS3_00853
ko:K00630	ctlm:L2BAMS3_00857
ko:K08301	ctlm:L2BAMS3_00858
ko:K02911	ctlm:L2BAMS3_00861
ko:K03621	ctlm:L2BAMS3_00862
ko:K07042	ctlm:L2BAMS3_00440
ko:K03183	ctlm:L2BAMS3_00446
ko:K01778	ctlm:L2BAMS3_00448
ko:K01358	ctlm:L2BAMS3_00449
ko:K00600	ctlm:L2BAMS3_00450
ko:K01770	ctlm:L2BAMS3_00452
ko:K02946	ctlm:L2BAMS3_00454
ko:K02355	ctlm:L2BAMS3_00455
ko:K02992	ctlm:L2BAMS3_00456
ko:K02950	ctlm:L2BAMS3_00457
ko:K03797	ctlm:L2BAMS3_00459
ko:K07462	ctlm:L2BAMS3_00466
ko:K12257	ctlm:L2BAMS3_00467
ko:K00806	ctlm:L2BAMS3_00469
ko:K00981	ctlm:L2BAMS3_00470
ko:K00945	ctlm:L2BAMS3_00471
ko:K00655	ctlm:L2BAMS3_00472
ko:K01887	ctlm:L2BAMS3_00473
ko:K00790	ctlm:L2BAMS3_00474
ko:K02836	ctlm:L2BAMS3_00478
ko:K00991	ctlm:L2BAMS3_00481
ko:K06173	ctlm:L2BAMS3_00482
ko:K07710	ctlm:L2BAMS3_00487
ko:K07714	ctlm:L2BAMS3_00488
ko:K03584	ctlm:L2BAMS3_00491
ko:K08998	ctlm:L2BAMS3_00495
ko:K01890	ctlm:L2BAMS3_00497
ko:K02034	ctlm:L2BAMS3_00500
ko:K01772	ctlm:L2BAMS3_00509
ko:K07099	ctlm:L2BAMS3_00512
ko:K00975	ctlm:L2BAMS3_00513
ko:K03628	ctlm:L2BAMS3_00515
ko:K00859	ctlm:L2BAMS3_00516
ko:K03301	ctlm:L2BAMS3_00519
ko:K00995	ctlm:L2BAMS3_00520
ko:K03495	ctlm:L2BAMS3_00523
ko:K03800	ctlm:L2BAMS3_00524
ko:K00940	ctlm:L2BAMS3_00525
ko:K03550	ctlm:L2BAMS3_00526
ko:K01159	ctlm:L2BAMS3_00527
ko:K00134	ctlm:L2BAMS3_00531
ko:K02879	ctlm:L2BAMS3_00532
ko:K03040	ctlm:L2BAMS3_00533
ko:K02948	ctlm:L2BAMS3_00534
ko:K02952	ctlm:L2BAMS3_00535
ko:K03076	ctlm:L2BAMS3_00536
ko:K02876	ctlm:L2BAMS3_00537
ko:K02988	ctlm:L2BAMS3_00538
ko:K02881	ctlm:L2BAMS3_00539
ko:K02933	ctlm:L2BAMS3_00540
ko:K02994	ctlm:L2BAMS3_00541
ko:K03664	ctlm:L2BAMS3_00079
ko:K03734	ctlm:L2BAMS3_00080
ko:K01491	ctlm:L2BAMS3_00081
ko:K02902	ctlm:L2BAMS3_00087
ko:K00705	ctlm:L2BAMS3_00088
ko:K04058	ctlm:L2BAMS3_00090
ko:K03230	ctlm:L2BAMS3_00091
ko:K03229	ctlm:L2BAMS3_00092
ko:K06942	ctlm:L2BAMS3_00093
ko:K11753	ctlm:L2BAMS3_00094
ko:K02834	ctlm:L2BAMS3_00096
ko:K02519	ctlm:L2BAMS3_00097
ko:K02600	ctlm:L2BAMS3_00098
ko:K02945	ctlm:L2BAMS3_00099
ko:K00384	ctlm:L2BAMS3_00100
ko:K00997	ctlm:L2BAMS3_00101
ko:K00208	ctlm:L2BAMS3_00105
ko:K03575	ctlm:L2BAMS3_00108
ko:K04077	ctlm:L2BAMS3_00111
ko:K04078	ctlm:L2BAMS3_00112
ko:K08602	ctlm:L2BAMS3_00114
ko:K03695	ctlm:L2BAMS3_00115
ko:K03431	ctlm:L2BAMS3_00867
ko:K00820	ctlm:L2BAMS3_00868
ko:K03834	ctlm:L2BAMS3_00869
ko:K03834	ctlm:L2BAMS3_00871
ko:K06890	ctlm:L2BAMS3_00872
ko:K03110	ctlm:L2BAMS3_00873
ko:K01903	ctlm:L2BAMS3_00874
ko:K01902	ctlm:L2BAMS3_00875
ko:K09760	ctlm:L2BAMS3_00878
ko:K00075	ctlm:L2BAMS3_00884
ko:K02520	ctlm:L2BAMS3_00886
ko:K02931	ctlm:L2BAMS3_00542
ko:K02895	ctlm:L2BAMS3_00543
ko:K02874	ctlm:L2BAMS3_00544
ko:K02961	ctlm:L2BAMS3_00545
ko:K02904	ctlm:L2BAMS3_00546
ko:K02878	ctlm:L2BAMS3_00547
ko:K02982	ctlm:L2BAMS3_00548
ko:K02890	ctlm:L2BAMS3_00549
ko:K02965	ctlm:L2BAMS3_00550
ko:K02886	ctlm:L2BAMS3_00551
ko:K02892	ctlm:L2BAMS3_00552
ko:K02926	ctlm:L2BAMS3_00553
ko:K02906	ctlm:L2BAMS3_00554
ko:K00604	ctlm:L2BAMS3_00556
ko:K00677	ctlm:L2BAMS3_00557
ko:K02372	ctlm:L2BAMS3_00558
ko:K02535	ctlm:L2BAMS3_00559
ko:K03820	ctlm:L2BAMS3_00560
ko:K06925	ctlm:L2BAMS3_00563
ko:K03671	ctlm:L2BAMS3_00566
ko:K03216	ctlm:L2BAMS3_00567
ko:K01876	ctlm:L2BAMS3_00569
ko:K01892	ctlm:L2BAMS3_00570
ko:K07783	ctlm:L2BAMS3_00571
ko:K02337	ctlm:L2BAMS3_00572
ko:K03311	ctlm:L2BAMS3_00581
ko:K00382	ctlm:L2BAMS3_00584
ko:K03644	ctlm:L2BAMS3_00585
ko:K03222	ctlm:L2BAMS3_00586
ko:K03223	ctlm:L2BAMS3_00588
ko:K03226	ctlm:L2BAMS3_00589
ko:K03228	ctlm:L2BAMS3_00591
ko:K02916	ctlm:L2BAMS3_00887
ko:K02887	ctlm:L2BAMS3_00888
ko:K01889	ctlm:L2BAMS3_00889
ko:K11720	ctlm:L2BAMS3_00892
ko:K07091	ctlm:L2BAMS3_00893
ko:K04075	ctlm:L2BAMS3_00894
ko:K03798	ctlm:L2BAMS3_00895
ko:K00962	ctlm:L2BAMS3_00896
ko:K02956	ctlm:L2BAMS3_00897
ko:K01265	ctlm:L2BAMS3_00906
ko:K03321	ctlm:L2BAMS3_00913
ko:K03527	ctlm:L2BAMS3_00916
ko:K01783	ctlm:L2BAMS3_00123
ko:K02356	ctlm:L2BAMS3_00124
ko:K02160	ctlm:L2BAMS3_00125
ko:K01961	ctlm:L2BAMS3_00126
ko:K02871	ctlm:L2BAMS3_00127
ko:K02996	ctlm:L2BAMS3_00128
ko:K02029	ctlm:L2BAMS3_00131
ko:K07058	ctlm:L2BAMS3_00134
ko:K06999	ctlm:L2BAMS3_00138
ko:K07566	ctlm:L2BAMS3_00139
ko:K09125	ctlm:L2BAMS3_00142
ko:K07039	ctlm:L2BAMS3_00143
ko:K01972	ctlm:L2BAMS3_00150
ko:K02913	ctlm:L2BAMS3_00154
ko:K09808	ctlm:L2BAMS3_00155
ko:K09810	ctlm:L2BAMS3_00156
ko:K03720	ctlm:L2BAMS3_00169
ko:K01696	ctlm:L2BAMS3_00170
ko:K01695	ctlm:L2BAMS3_00171
ko:K02455	ctlm:L2BAMS3_00597
ko:K02453	ctlm:L2BAMS3_00599
ko:K03572	ctlm:L2BAMS3_00602
ko:K01868	ctlm:L2BAMS3_00608
ko:K01867	ctlm:L2BAMS3_00612
ko:K03702	ctlm:L2BAMS3_00613
ko:K01689	ctlm:L2BAMS3_00614
ko:K00240	ctlm:L2BAMS3_00618
ko:K00239	ctlm:L2BAMS3_00619
ko:K03424	ctlm:L2BAMS3_00622
ko:K03562	ctlm:L2BAMS3_00624
ko:K03641	ctlm:L2BAMS3_00627
ko:K03640	ctlm:L2BAMS3_00628
ko:K03648	ctlm:L2BAMS3_00637
ko:K03657	ctlm:L2BAMS3_00638
ko:K03092	ctlm:L2BAMS3_00639
ko:K06137	ctlm:L2BAMS3_00640
ko:K13941	ctlm:L2BAMS3_00643
ko:K01633	ctlm:L2BAMS3_00644
ko:K03086	ctlm:L2BAMS3_00645
ko:K02968	ctlm:L2BAMS3_00647
ko:K03980	ctlm:L2BAMS3_00654
ko:K01151	ctlm:L2BAMS3_00655
ko:K02986	ctlm:L2BAMS3_00656
ko:K07146	ctlm:L2BAMS3_00657
ko:K13789	ctlm:L2BAMS3_00658
ko:K01698	ctlm:L2BAMS3_00664
ko:K00346	ctlm:L2BAMS3_00665
ko:K03582	ctlm:L2BAMS3_00671
ko:K03583	ctlm:L2BAMS3_00672
ko:K03168	ctlm:L2BAMS3_00675
ko:K02221	ctlm:L2BAMS3_00677
ko:K03581	ctlm:L2BAMS3_00684
ko:K06861	ctlm:L2BAMS3_00686
ko:K01627	ctlm:L2BAMS3_00688
ko:K06180	ctlm:L2BAMS3_00692
ko:K06960	ctlm:L2BAMS3_00693
ko:K02469	ctlm:L2BAMS3_00694
ko:K02470	ctlm:L2BAMS3_00695
ko:K02492	ctlm:L2BAMS3_00696
ko:K02338	ctlm:L2BAMS3_00078
ko:K03611	ctlm:L2BAMS3_00175
ko:K00979	ctlm:L2BAMS3_00183
ko:K01937	ctlm:L2BAMS3_00184
ko:K07447	ctlm:L2BAMS3_00185
ko:K00036	ctlm:L2BAMS3_00186
ko:K01057	ctlm:L2BAMS3_00187
ko:K02343	ctlm:L2BAMS3_00188
ko:K00943	ctlm:L2BAMS3_00189
ko:K02469	ctlm:L2BAMS3_00190
ko:K02470	ctlm:L2BAMS3_00191
ko:K00773	ctlm:L2BAMS3_00194
ko:K06213	ctlm:L2BAMS3_00195
ko:K15580	ctlm:L2BAMS3_00199
ko:K15581	ctlm:L2BAMS3_00200
ko:K03319	ctlm:L2BAMS3_00205
ko:K00850	ctlm:L2BAMS3_00206
ko:K00895	ctlm:L2BAMS3_00208
ko:K02527	ctlm:L2BAMS3_00211
ko:K01869	ctlm:L2BAMS3_00212
ko:K01845	ctlm:L2BAMS3_00213
ko:K07735	ctlm:L2BAMS3_00214
ko:K08999	ctlm:L2BAMS3_00215
ko:K01807	ctlm:L2BAMS3_00216
ko:K03787	ctlm:L2BAMS3_00221
ko:K03179	ctlm:L2BAMS3_00222
ko:K03186	ctlm:L2BAMS3_00223
ko:K03224	ctlm:L2BAMS3_00703
ko:K02417	ctlm:L2BAMS3_00706
ko:K03219	ctlm:L2BAMS3_00708
ko:K02838	ctlm:L2BAMS3_00714
ko:K09903	ctlm:L2BAMS3_00715
ko:K02357	ctlm:L2BAMS3_00716
ko:K02967	ctlm:L2BAMS3_00717
ko:K03162	ctlm:L2BAMS3_00720
ko:K09013	ctlm:L2BAMS3_00724
ko:K09015	ctlm:L2BAMS3_00725
ko:K11717	ctlm:L2BAMS3_00726
ko:K07220	ctlm:L2BAMS3_00730
ko:K03306	ctlm:L2BAMS3_00731
ko:K00927	ctlm:L2BAMS3_00732
ko:K10773	ctlm:L2BAMS3_00736
ko:K03650	ctlm:L2BAMS3_00737
ko:K01613	ctlm:L2BAMS3_00738
ko:K03070	ctlm:L2BAMS3_00740
ko:K03977	ctlm:L2BAMS3_00742
ko:K03544	ctlm:L2BAMS3_00744
ko:K01358	ctlm:L2BAMS3_00745
ko:K03545	ctlm:L2BAMS3_00746
ko:K03569	ctlm:L2BAMS3_00749
ko:K00057	ctlm:L2BAMS3_00754
ko:K03308	ctlm:L2BAMS3_00236
ko:K02078	ctlm:L2BAMS3_00241
ko:K00645	ctlm:L2BAMS3_00243
ko:K00648	ctlm:L2BAMS3_00244
ko:K06187	ctlm:L2BAMS3_00245
ko:K07277	ctlm:L2BAMS3_00246
ko:K06142	ctlm:L2BAMS3_00247
ko:K02536	ctlm:L2BAMS3_00248
ko:K00161	ctlm:L2BAMS3_00250
ko:K00162	ctlm:L2BAMS3_00251
ko:K00627	ctlm:L2BAMS3_00252
ko:K00688	ctlm:L2BAMS3_00253
ko:K02313	ctlm:L2BAMS3_00255
ko:K03217	ctlm:L2BAMS3_00256
ko:K04487	ctlm:L2BAMS3_00263
ko:K07083	ctlm:L2BAMS3_00267
ko:K01962	ctlm:L2BAMS3_00270
ko:K01448	ctlm:L2BAMS3_00273
ko:K01928	ctlm:L2BAMS3_00274
ko:K03587	ctlm:L2BAMS3_00275
ko:K03438	ctlm:L2BAMS3_00277
ko:K02028	ctlm:L2BAMS3_00132
ko:K15035	ctlm:L2BAMS3_00020
ko:K14222	ctlm:L2BAMS3_00803
ko:K14220	ctlm:L2BAMS3_00039
ko:K01985	ctlm:L2BAMS3_00783
ko:K01985	ctlm:L2BAMS3_00796
ko:K01980	ctlm:L2BAMS3_00782
ko:K01980	ctlm:L2BAMS3_00795
ko:K17103	ctlm:L2BAMS3_00879
ko:K14228	ctlm:L2BAMS3_00485
ko:K14233	ctlm:L2BAMS3_00521
ko:K14219	ctlm:L2BAMS3_00632
ko:K04084	ctlm:L2BAMS3_00623
ko:K14227	ctlm:L2BAMS3_00180
ko:K14218	ctlm:L2BAMS3_00668
ko:K14230	ctlm:L2BAMS3_00209
ko:K14230	ctlm:L2BAMS3_00335
ko:K14235	ctlm:L2BAMS3_00327
ko:K14233	ctlm:L2BAMS3_00368
ko:K14231	ctlm:L2BAMS3_00436
ko:K14221	ctlm:L2BAMS3_00225
ko:K14233	ctlm:L2BAMS3_00429
ko:K14228	ctlm:L2BAMS3_00529
ko:K14228	ctlm:L2BAMS3_00565
ko:K14219	ctlm:L2BAMS3_00489
ko:K14219	ctlm:L2BAMS3_00689
ko:K14232	ctlm:L2BAMS3_00662
ko:K14229	ctlm:L2BAMS3_00712
ko:K14224	ctlm:L2BAMS3_00713
ko:K14226	ctlm:L2BAMS3_00780
ko:K14223	ctlm:L2BAMS3_00847
ko:K14218	ctlm:L2BAMS3_00181
ko:K14234	ctlm:L2BAMS3_00709
ko:K14225	ctlm:L2BAMS3_00718
ko:K14228	ctlm:L2BAMS3_00493
ko:K14228	ctlm:L2BAMS3_00921
ko:K14232	ctlm:L2BAMS3_00062
ko:K14237	ctlm:L2BAMS3_00226
ko:K14230	ctlm:L2BAMS3_00210
ko:K01977	ctlm:L2BAMS3_00781
ko:K01977	ctlm:L2BAMS3_00794
ko:K14234	ctlm:L2BAMS3_00144
ko:K14234	ctlm:L2BAMS3_00329
ko:K14236	ctlm:L2BAMS3_00145
ko:K14225	ctlm:L2BAMS3_00747
ko:K14237	ctlm:L2BAMS3_00882
ko:K01840	ctlm:L2BAMS3_00300
ko:K06972	ctlm:L2BAMS3_00877
ko:K08274	ctlm:L2BAMS3_00390
ko:K07081	ctlm:L2BAMS3_00445
ko:K03625	ctlm:L2BAMS3_00885
ko:K01679	ctlm:L2BAMS3_00910
ko:K07125	ctlm:L2BAMS3_00332
ko:K01802	ctlm:L2BAMS3_00568
ko:K08275	ctlm:L2BAMS3_00082
ko:K08719	ctlm:L2BAMS3_00753
ko:K01829	ctlm:L2BAMS3_00828
ko:K01829	ctlm:L2BAMS3_00832
ko:K03309	ctlm:L2BAMS3_00415
ko:K07033	ctlm:L2BAMS3_00723
ko:K03825	ctlm:L2BAMS3_00477
ko:K03496	ctlm:L2BAMS3_00609
ko:K03497	ctlm:L2BAMS3_00727
ko:K03496	ctlm:L2BAMS3_p7
ko:K03111	ctlm:L2BAMS3_00046
ko:K02626	ctlm:L2BAMS3_00386
ko:K11991	ctlm:L2BAMS3_00898
ko:K04771	ctlm:L2BAMS3_00876
ko:K19411	ctlm:L2BAMS3_00711
ko:K02031	ctlm:L2BAMS3_00729
ko:K22100	ctlm:L2BAMS3_00336
ko:K12132	ctlm:L2BAMS3_00306
ko:K20265	ctlm:L2BAMS3_00219
ko:K20074	ctlm:L2BAMS3_00264
ko:K11749	ctlm:L2BAMS3_00075
ko:K22099	ctlm:L2BAMS3_00641
ko:K00526	ctlm:L2BAMS3_00881
ko:K00287	ctlm:L2BAMS3_00642
ko:K03553	ctlm:L2BAMS3_00682
ko:K02316	ctlm:L2BAMS3_00841
ko:K02314	ctlm:L2BAMS3_p3
ko:K02314	ctlm:L2BAMS3_00522
ko:K01520	ctlm:L2BAMS3_00297
ko:K02335	ctlm:L2BAMS3_00517
ko:K02032	ctlm:L2BAMS3_00728
ko:K00525	ctlm:L2BAMS3_00880
ko:K02050	ctlm:L2BAMS3_00909
ko:K02051	ctlm:L2BAMS3_00909
ko:K01534	ctlm:L2BAMS3_00767
ko:K16239	ctlm:L2BAMS3_00086
