ko:K19079	sut:SAT0131_00731
ko:K02356	sut:SAT0131_01622
ko:K03800	sut:SAT0131_01626
ko:K00283	sut:SAT0131_01628
ko:K00282	sut:SAT0131_01629
ko:K00605	sut:SAT0131_01630
ko:K00891	sut:SAT0131_01631
ko:K02913	sut:SAT0131_01645
ko:K04564	sut:SAT0131_01647
ko:K09816	sut:SAT0131_01649
ko:K09817	sut:SAT0131_01650
ko:K01151	sut:SAT0131_01651
ko:K03523	sut:SAT0131_02460
ko:K02016	sut:SAT0131_02462
ko:K08717	sut:SAT0131_02464
ko:K01430	sut:SAT0131_02465
ko:K01429	sut:SAT0131_02466
ko:K01428	sut:SAT0131_02468
ko:K03187	sut:SAT0131_02469
ko:K03188	sut:SAT0131_02470
ko:K03189	sut:SAT0131_02471
ko:K03190	sut:SAT0131_02472
ko:K03315	sut:SAT0131_02479
ko:K09940	sut:SAT0131_02481
ko:K00123	sut:SAT0131_02488
ko:K03453	sut:SAT0131_02503
ko:K02749	sut:SAT0131_02505
ko:K02750	sut:SAT0131_02505
ko:K03481	sut:SAT0131_02507
ko:K01738	sut:SAT0131_00560
ko:K00796	sut:SAT0131_00561
ko:K01633	sut:SAT0131_00562
ko:K00950	sut:SAT0131_00563
ko:K04567	sut:SAT0131_00564
ko:K00375	sut:SAT0131_00567
ko:K06215	sut:SAT0131_00568
ko:K08681	sut:SAT0131_00569
ko:K11535	sut:SAT0131_00571
ko:K03696	sut:SAT0131_00577
ko:K04485	sut:SAT0131_00578
ko:K00640	sut:SAT0131_00581
ko:K01883	sut:SAT0131_00582
ko:K11145	sut:SAT0131_00583
ko:K03218	sut:SAT0131_00584
ko:K06962	sut:SAT0131_00585
ko:K03091	sut:SAT0131_00586
ko:K03073	sut:SAT0131_00587
ko:K02601	sut:SAT0131_00588
ko:K02867	sut:SAT0131_00589
ko:K02863	sut:SAT0131_00590
ko:K02864	sut:SAT0131_00592
ko:K02935	sut:SAT0131_00593
ko:K03043	sut:SAT0131_00595
ko:K03046	sut:SAT0131_00596
ko:K07590	sut:SAT0131_00597
ko:K02950	sut:SAT0131_00598
ko:K02992	sut:SAT0131_00599
ko:K02355	sut:SAT0131_00600
ko:K02358	sut:SAT0131_00601
ko:K05523	sut:SAT0131_00604
ko:K00826	sut:SAT0131_00607
ko:K03311	sut:SAT0131_01485
ko:K00658	sut:SAT0131_01490
ko:K00164	sut:SAT0131_01491
ko:K02563	sut:SAT0131_01498
ko:K03797	sut:SAT0131_01500
ko:K09125	sut:SAT0131_01513
ko:K08170	sut:SAT0131_01522
ko:K01754	sut:SAT0131_01526
ko:K00259	sut:SAT0131_01527
ko:K07444	sut:SAT0131_01532
ko:K05366	sut:SAT0131_01539
ko:K10773	sut:SAT0131_01541
ko:K01893	sut:SAT0131_01543
ko:K02787	sut:SAT0131_02364
ko:K02788	sut:SAT0131_02364
ko:K12410	sut:SAT0131_02372
ko:K01575	sut:SAT0131_02382
ko:K01652	sut:SAT0131_02383
ko:K02996	sut:SAT0131_02389
ko:K02871	sut:SAT0131_02390
ko:K06173	sut:SAT0131_02392
ko:K02879	sut:SAT0131_02396
ko:K03040	sut:SAT0131_02397
ko:K02948	sut:SAT0131_02398
ko:K02952	sut:SAT0131_02399
ko:K02919	sut:SAT0131_02400
ko:K02518	sut:SAT0131_02401
ko:K03076	sut:SAT0131_02403
ko:K02876	sut:SAT0131_02404
ko:K02907	sut:SAT0131_02405
ko:K03800	sut:SAT0131_00332
ko:K02445	sut:SAT0131_00341
ko:K00299	sut:SAT0131_00344
ko:K03817	sut:SAT0131_00347
ko:K07224	sut:SAT0131_00348
ko:K07243	sut:SAT0131_00350
ko:K03118	sut:SAT0131_00353
ko:K03116	sut:SAT0131_00354
ko:K00549	sut:SAT0131_00363
ko:K06942	sut:SAT0131_00371
ko:K02990	sut:SAT0131_00373
ko:K02963	sut:SAT0131_00375
ko:K00609	sut:SAT0131_01247
ko:K01465	sut:SAT0131_01249
ko:K01956	sut:SAT0131_01250
ko:K01955	sut:SAT0131_01251
ko:K01591	sut:SAT0131_01252
ko:K00762	sut:SAT0131_01253
ko:K00942	sut:SAT0131_01258
ko:K03060	sut:SAT0131_01259
ko:K13038	sut:SAT0131_01260
ko:K04066	sut:SAT0131_01261
ko:K01462	sut:SAT0131_01264
ko:K00604	sut:SAT0131_01265
ko:K03500	sut:SAT0131_01266
ko:K06941	sut:SAT0131_01267
ko:K06949	sut:SAT0131_01270
ko:K01783	sut:SAT0131_01271
ko:K02902	sut:SAT0131_01273
ko:K03655	sut:SAT0131_01276
ko:K03621	sut:SAT0131_01279
ko:K00645	sut:SAT0131_01280
ko:K02078	sut:SAT0131_01282
ko:K03685	sut:SAT0131_01283
ko:K03529	sut:SAT0131_01284
ko:K03110	sut:SAT0131_01285
ko:K03106	sut:SAT0131_01287
ko:K02959	sut:SAT0131_01288
ko:K02860	sut:SAT0131_01289
ko:K00554	sut:SAT0131_01290
ko:K02884	sut:SAT0131_01291
ko:K14540	sut:SAT0131_01293
ko:K03470	sut:SAT0131_01294
ko:K01903	sut:SAT0131_01295
ko:K01902	sut:SAT0131_01296
ko:K04096	sut:SAT0131_01300
ko:K03168	sut:SAT0131_01301
ko:K01114	sut:SAT0131_02139
ko:K02016	sut:SAT0131_02146
ko:K04077	sut:SAT0131_02175
ko:K04078	sut:SAT0131_02176
ko:K07078	sut:SAT0131_02180
ko:K07813	sut:SAT0131_02183
ko:K13012	sut:SAT0131_00152
ko:K02472	sut:SAT0131_00154
ko:K09790	sut:SAT0131_00157
ko:K08996	sut:SAT0131_00172
ko:K00930	sut:SAT0131_00173
ko:K00620	sut:SAT0131_00175
ko:K00145	sut:SAT0131_00176
ko:K03311	sut:SAT0131_00178
ko:K07106	sut:SAT0131_00184
ko:K01153	sut:SAT0131_00189
ko:K02034	sut:SAT0131_00193
ko:K01118	sut:SAT0131_00196
ko:K15771	sut:SAT0131_00200
ko:K15772	sut:SAT0131_00201
ko:K02548	sut:SAT0131_01076
ko:K02551	sut:SAT0131_01078
ko:K01661	sut:SAT0131_01080
ko:K02829	sut:SAT0131_01093
ko:K02828	sut:SAT0131_01094
ko:K02827	sut:SAT0131_01095
ko:K02826	sut:SAT0131_01096
ko:K01491	sut:SAT0131_01099
ko:K01588	sut:SAT0131_01100
ko:K01589	sut:SAT0131_01101
ko:K01923	sut:SAT0131_01102
ko:K01952	sut:SAT0131_01104
ko:K01952	sut:SAT0131_01105
ko:K00764	sut:SAT0131_01106
ko:K01933	sut:SAT0131_01107
ko:K11175	sut:SAT0131_01108
ko:K00602	sut:SAT0131_01109
ko:K01945	sut:SAT0131_01110
ko:K06969	sut:SAT0131_01117
ko:K00425	sut:SAT0131_01122
ko:K00426	sut:SAT0131_01123
ko:K01462	sut:SAT0131_01128
ko:K03564	sut:SAT0131_01985
ko:K01845	sut:SAT0131_01986
ko:K03575	sut:SAT0131_01990
ko:K03565	sut:SAT0131_01996
ko:K05520	sut:SAT0131_01998
ko:K07058	sut:SAT0131_02007
ko:K01265	sut:SAT0131_02012
ko:K01153	sut:SAT0131_02861
ko:K09968	sut:SAT0131_02882
ko:K00926	sut:SAT0131_02898
ko:K03758	sut:SAT0131_02899
ko:K00611	sut:SAT0131_02900
ko:K01809	sut:SAT0131_02908
ko:K01421	sut:SAT0131_02910
ko:K08987	sut:SAT0131_00455
ko:K01154	sut:SAT0131_00471
ko:K05577	sut:SAT0131_00490
ko:K09822	sut:SAT0131_00491
ko:K03928	sut:SAT0131_00495
ko:K03308	sut:SAT0131_00498
ko:K02071	sut:SAT0131_00501
ko:K00432	sut:SAT0131_01361
ko:K03665	sut:SAT0131_01362
ko:K01915	sut:SAT0131_01366
ko:K01620	sut:SAT0131_01383
ko:K06131	sut:SAT0131_01385
ko:K07778	sut:SAT0131_01389
ko:K00928	sut:SAT0131_01396
ko:K00003	sut:SAT0131_01398
ko:K01733	sut:SAT0131_01400
ko:K00872	sut:SAT0131_01401
ko:K03781	sut:SAT0131_01405
ko:K02913	sut:SAT0131_01406
ko:K02954	sut:SAT0131_01407
ko:K00364	sut:SAT0131_01408
ko:K01356	sut:SAT0131_01410
ko:K00615	sut:SAT0131_01413
ko:K03547	sut:SAT0131_01416
ko:K03282	sut:SAT0131_01419
ko:K01681	sut:SAT0131_01421
ko:K07107	sut:SAT0131_01422
ko:K06131	sut:SAT0131_02246
ko:K06950	sut:SAT0131_02247
ko:K03217	sut:SAT0131_02249
ko:K00788	sut:SAT0131_02250
ko:K00878	sut:SAT0131_02252
ko:K00941	sut:SAT0131_02253
ko:K03707	sut:SAT0131_02254
ko:K02372	sut:SAT0131_02259
ko:K00790	sut:SAT0131_02260
ko:K02114	sut:SAT0131_02263
ko:K02112	sut:SAT0131_02264
ko:K02115	sut:SAT0131_02265
ko:K02111	sut:SAT0131_02267
ko:K02113	sut:SAT0131_02268
ko:K02109	sut:SAT0131_02269
ko:K02110	sut:SAT0131_02270
ko:K02108	sut:SAT0131_02271
ko:K00761	sut:SAT0131_02274
ko:K00600	sut:SAT0131_02275
ko:K07566	sut:SAT0131_02279
ko:K02493	sut:SAT0131_02280
ko:K02835	sut:SAT0131_02281
ko:K02909	sut:SAT0131_02283
ko:K03628	sut:SAT0131_02284
ko:K00790	sut:SAT0131_02287
ko:K01624	sut:SAT0131_02288
ko:K01937	sut:SAT0131_02291
ko:K07173	sut:SAT0131_02298
ko:K00756	sut:SAT0131_02300
ko:K03306	sut:SAT0131_00734
ko:K06890	sut:SAT0131_00736
ko:K09793	sut:SAT0131_00745
ko:K06966	sut:SAT0131_00751
ko:K09768	sut:SAT0131_00752
ko:K06153	sut:SAT0131_00754
ko:K01669	sut:SAT0131_00762
ko:K02768	sut:SAT0131_00770
ko:K02769	sut:SAT0131_00770
ko:K02770	sut:SAT0131_00770
ko:K01443	sut:SAT0131_00771
ko:K10681	sut:SAT0131_00775
ko:K10682	sut:SAT0131_00776
ko:K10026	sut:SAT0131_00780
ko:K01737	sut:SAT0131_00781
ko:K06920	sut:SAT0131_00782
ko:K01665	sut:SAT0131_00784
ko:K06967	sut:SAT0131_01654
ko:K03086	sut:SAT0131_01656
ko:K09773	sut:SAT0131_01658
ko:K01880	sut:SAT0131_01660
ko:K03584	sut:SAT0131_01661
ko:K07042	sut:SAT0131_01666
ko:K02970	sut:SAT0131_01671
ko:K09761	sut:SAT0131_01673
ko:K02687	sut:SAT0131_01674
ko:K03686	sut:SAT0131_01675
ko:K04043	sut:SAT0131_01676
ko:K03687	sut:SAT0131_01677
ko:K03705	sut:SAT0131_01678
ko:K03596	sut:SAT0131_01680
ko:K02968	sut:SAT0131_01681
ko:K02340	sut:SAT0131_01682
ko:K02237	sut:SAT0131_01685
ko:K09710	sut:SAT0131_01687
ko:K00969	sut:SAT0131_01689
ko:K07574	sut:SAT0131_01690
ko:K00014	sut:SAT0131_01691
ko:K07015	sut:SAT0131_01694
ko:K07160	sut:SAT0131_01701
ko:K01961	sut:SAT0131_01702
ko:K02160	sut:SAT0131_01703
ko:K03624	sut:SAT0131_01707
ko:K01468	sut:SAT0131_02514
ko:K01712	sut:SAT0131_02515
ko:K11210	sut:SAT0131_02517
ko:K01807	sut:SAT0131_02521
ko:K09771	sut:SAT0131_02525
ko:K03652	sut:SAT0131_02530
ko:K03312	sut:SAT0131_02531
ko:K03284	sut:SAT0131_02533
ko:K07107	sut:SAT0131_02534
ko:K07552	sut:SAT0131_02542
ko:K00116	sut:SAT0131_02554
ko:K03303	sut:SAT0131_02556
ko:K01091	sut:SAT0131_00609
ko:K15519	sut:SAT0131_00610
ko:K15518	sut:SAT0131_00611
ko:K14194	sut:SAT0131_00617
ko:K14194	sut:SAT0131_00621
ko:K14194	sut:SAT0131_00623
ko:K09007	sut:SAT0131_00627
ko:K03387	sut:SAT0131_00413
ko:K06956	sut:SAT0131_00416
ko:K03816	sut:SAT0131_00420
ko:K01951	sut:SAT0131_00424
ko:K04094	sut:SAT0131_01302
ko:K03733	sut:SAT0131_01303
ko:K01419	sut:SAT0131_01304
ko:K03667	sut:SAT0131_01305
ko:K03706	sut:SAT0131_01307
ko:K02967	sut:SAT0131_01308
ko:K02357	sut:SAT0131_01310
ko:K09903	sut:SAT0131_01311
ko:K02838	sut:SAT0131_01312
ko:K00806	sut:SAT0131_01313
ko:K00981	sut:SAT0131_01314
ko:K11749	sut:SAT0131_01315
ko:K01881	sut:SAT0131_01316
ko:K03763	sut:SAT0131_01317
ko:K09748	sut:SAT0131_01318
ko:K02600	sut:SAT0131_01319
ko:K07742	sut:SAT0131_01320
ko:K02519	sut:SAT0131_01322
ko:K02834	sut:SAT0131_01324
ko:K11753	sut:SAT0131_01326
ko:K02956	sut:SAT0131_01327
ko:K00962	sut:SAT0131_01328
ko:K03466	sut:SAT0131_01331
ko:K00995	sut:SAT0131_01339
ko:K09769	sut:SAT0131_01344
ko:K00174	sut:SAT0131_01345
ko:K00175	sut:SAT0131_01346
ko:K06168	sut:SAT0131_01348
ko:K03555	sut:SAT0131_01351
ko:K03572	sut:SAT0131_01352
ko:K02440	sut:SAT0131_01354
ko:K00864	sut:SAT0131_01355
ko:K00111	sut:SAT0131_01356
ko:K00791	sut:SAT0131_01359
ko:K03666	sut:SAT0131_01360
ko:K07707	sut:SAT0131_02189
ko:K00847	sut:SAT0131_02190
ko:K01193	sut:SAT0131_02191
ko:K03484	sut:SAT0131_02192
ko:K03320	sut:SAT0131_02193
ko:K07112	sut:SAT0131_02195
ko:K01926	sut:SAT0131_02197
ko:K06158	sut:SAT0131_02198
ko:K03789	sut:SAT0131_02203
ko:K06925	sut:SAT0131_02205
ko:K01687	sut:SAT0131_02206
ko:K01652	sut:SAT0131_02207
ko:K01653	sut:SAT0131_02208
ko:K00053	sut:SAT0131_02209
ko:K01649	sut:SAT0131_02210
ko:K00052	sut:SAT0131_02211
ko:K01703	sut:SAT0131_02212
ko:K01704	sut:SAT0131_02213
ko:K01754	sut:SAT0131_02214
ko:K06959	sut:SAT0131_02220
ko:K08094	sut:SAT0131_00632
ko:K03762	sut:SAT0131_00634
ko:K00868	sut:SAT0131_00640
ko:K03648	sut:SAT0131_00642
ko:K06885	sut:SAT0131_00670
ko:K01887	sut:SAT0131_00674
ko:K03524	sut:SAT0131_01545
ko:K06973	sut:SAT0131_01549
ko:K00800	sut:SAT0131_01553
ko:K01735	sut:SAT0131_01554
ko:K01736	sut:SAT0131_01555
ko:K00940	sut:SAT0131_01557
ko:K03183	sut:SAT0131_01559
ko:K03530	sut:SAT0131_01561
ko:K00057	sut:SAT0131_01562
ko:K03977	sut:SAT0131_01563
ko:K02945	sut:SAT0131_01564
ko:K00945	sut:SAT0131_01566
ko:K03654	sut:SAT0131_01571
ko:K07651	sut:SAT0131_01584
ko:K07775	sut:SAT0131_01585
ko:K06178	sut:SAT0131_01586
ko:K06024	sut:SAT0131_01587
ko:K05896	sut:SAT0131_01588
ko:K07124	sut:SAT0131_01595
ko:K00286	sut:SAT0131_01596
ko:K00036	sut:SAT0131_01599
ko:K02988	sut:SAT0131_02406
ko:K02881	sut:SAT0131_02407
ko:K02933	sut:SAT0131_02408
ko:K02994	sut:SAT0131_02409
ko:K02954	sut:SAT0131_02410
ko:K02931	sut:SAT0131_02411
ko:K02895	sut:SAT0131_02412
ko:K02874	sut:SAT0131_02413
ko:K02961	sut:SAT0131_02414
ko:K02904	sut:SAT0131_02415
ko:K02878	sut:SAT0131_02416
ko:K02982	sut:SAT0131_02417
ko:K02890	sut:SAT0131_02418
ko:K02965	sut:SAT0131_02419
ko:K02886	sut:SAT0131_02420
ko:K02892	sut:SAT0131_02421
ko:K02926	sut:SAT0131_02422
ko:K02906	sut:SAT0131_02423
ko:K02946	sut:SAT0131_02424
ko:K06901	sut:SAT0131_02426
ko:K07088	sut:SAT0131_02431
ko:K03639	sut:SAT0131_02445
ko:K03752	sut:SAT0131_02446
ko:K03636	sut:SAT0131_02447
ko:K03753	sut:SAT0131_02450
ko:K03750	sut:SAT0131_02451
ko:K03637	sut:SAT0131_02452
ko:K03638	sut:SAT0131_02453
ko:K02018	sut:SAT0131_02456
ko:K02020	sut:SAT0131_02457
ko:K02379	sut:SAT0131_02458
ko:K01775	sut:SAT0131_02227
ko:K00997	sut:SAT0131_02228
ko:K01548	sut:SAT0131_02232
ko:K01547	sut:SAT0131_02235
ko:K01546	sut:SAT0131_02236
ko:K07646	sut:SAT0131_02237
ko:K07667	sut:SAT0131_02238
ko:K01929	sut:SAT0131_02240
ko:K01921	sut:SAT0131_02241
ko:K05837	sut:SAT0131_02242
ko:K02072	sut:SAT0131_00502
ko:K02073	sut:SAT0131_00504
ko:K00266	sut:SAT0131_00514
ko:K02818	sut:SAT0131_00515
ko:K02819	sut:SAT0131_00515
ko:K02343	sut:SAT0131_00519
ko:K09747	sut:SAT0131_00520
ko:K06187	sut:SAT0131_00521
ko:K00943	sut:SAT0131_00525
ko:K02341	sut:SAT0131_00528
ko:K07461	sut:SAT0131_00533
ko:K07056	sut:SAT0131_00534
ko:K01874	sut:SAT0131_00535
ko:K03424	sut:SAT0131_00536
ko:K05985	sut:SAT0131_00537
ko:K02528	sut:SAT0131_00538
ko:K00919	sut:SAT0131_00540
ko:K06412	sut:SAT0131_00543
ko:K04042	sut:SAT0131_00545
ko:K00948	sut:SAT0131_00546
ko:K02897	sut:SAT0131_00547
ko:K01056	sut:SAT0131_00548
ko:K03723	sut:SAT0131_00549
ko:K07571	sut:SAT0131_00554
ko:K04075	sut:SAT0131_00555
ko:K00760	sut:SAT0131_00556
ko:K02012	sut:SAT0131_00211
ko:K00656	sut:SAT0131_00212
ko:K04069	sut:SAT0131_00213
ko:K01126	sut:SAT0131_00215
ko:K07516	sut:SAT0131_00219
ko:K00252	sut:SAT0131_00220
ko:K05916	sut:SAT0131_00230
ko:K02773	sut:SAT0131_00236
ko:K02774	sut:SAT0131_00237
ko:K05352	sut:SAT0131_00244
ko:K07322	sut:SAT0131_00252
ko:K07704	sut:SAT0131_00253
ko:K05338	sut:SAT0131_00255
ko:K05339	sut:SAT0131_00256
ko:K04561	sut:SAT0131_00257
ko:K03489	sut:SAT0131_00258
ko:K01223	sut:SAT0131_00260
ko:K00161	sut:SAT0131_01130
ko:K00162	sut:SAT0131_01131
ko:K00627	sut:SAT0131_01132
ko:K00382	sut:SAT0131_01134
ko:K03322	sut:SAT0131_01144
ko:K06207	sut:SAT0131_01148
ko:K03588	sut:SAT0131_01152
ko:K02259	sut:SAT0131_01154
ko:K08976	sut:SAT0131_01156
ko:K01126	sut:SAT0131_01159
ko:K00954	sut:SAT0131_01163
ko:K07040	sut:SAT0131_01165
ko:K02911	sut:SAT0131_01166
ko:K02016	sut:SAT0131_01172
ko:K02015	sut:SAT0131_01173
ko:K08600	sut:SAT0131_01175
ko:K03437	sut:SAT0131_01178
ko:K01889	sut:SAT0131_01179
ko:K01890	sut:SAT0131_01180
ko:K09888	sut:SAT0131_01183
ko:K02347	sut:SAT0131_01185
ko:K02217	sut:SAT0131_02018
ko:K02346	sut:SAT0131_02020
ko:K03215	sut:SAT0131_02022
ko:K02434	sut:SAT0131_02025
ko:K02435	sut:SAT0131_02027
ko:K01972	sut:SAT0131_02031
ko:K03657	sut:SAT0131_02032
ko:K01756	sut:SAT0131_02035
ko:K00763	sut:SAT0131_02041
ko:K00491	sut:SAT0131_02042
ko:K14445	sut:SAT0131_02045
ko:K03076	sut:SAT0131_02922
ko:K11936	sut:SAT0131_02945
ko:K11755	sut:SAT0131_02951
ko:K02500	sut:SAT0131_02952
ko:K01814	sut:SAT0131_02953
ko:K02501	sut:SAT0131_02954
ko:K01693	sut:SAT0131_02955
ko:K00817	sut:SAT0131_02956
ko:K00013	sut:SAT0131_02957
ko:K00765	sut:SAT0131_02958
ko:K07146	sut:SAT0131_02968
ko:K01304	sut:SAT0131_02969
ko:K03319	sut:SAT0131_02972
ko:K05786	sut:SAT0131_02973
ko:K07241	sut:SAT0131_02975
ko:K03798	sut:SAT0131_00558
ko:K04083	sut:SAT0131_00559
ko:K08591	sut:SAT0131_01424
ko:K02622	sut:SAT0131_01425
ko:K02621	sut:SAT0131_01426
ko:K03310	sut:SAT0131_01427
ko:K03480	sut:SAT0131_01428
ko:K14205	sut:SAT0131_01432
ko:K01821	sut:SAT0131_01435
ko:K01657	sut:SAT0131_01439
ko:K00766	sut:SAT0131_01441
ko:K01609	sut:SAT0131_01442
ko:K01817	sut:SAT0131_01443
ko:K01696	sut:SAT0131_01444
ko:K01695	sut:SAT0131_01445
ko:K02034	sut:SAT0131_01452
ko:K02039	sut:SAT0131_01456
ko:K02036	sut:SAT0131_01457
ko:K02038	sut:SAT0131_01459
ko:K02037	sut:SAT0131_01461
ko:K02040	sut:SAT0131_01462
ko:K00243	sut:SAT0131_01464
ko:K00928	sut:SAT0131_01467
ko:K00133	sut:SAT0131_01468
ko:K01714	sut:SAT0131_01469
ko:K00215	sut:SAT0131_01470
ko:K01775	sut:SAT0131_01474
ko:K01586	sut:SAT0131_01475
ko:K03704	sut:SAT0131_01477
ko:K01512	sut:SAT0131_01479
ko:K04047	sut:SAT0131_02304
ko:K01809	sut:SAT0131_02308
ko:K02013	sut:SAT0131_02317
ko:K00820	sut:SAT0131_02318
ko:K00009	sut:SAT0131_02322
ko:K03431	sut:SAT0131_02326
ko:K01476	sut:SAT0131_02329
ko:K11068	sut:SAT0131_02339
ko:K07038	sut:SAT0131_02341
ko:K02015	sut:SAT0131_02344
ko:K02015	sut:SAT0131_02345
ko:K02016	sut:SAT0131_02346
ko:K06726	sut:SAT0131_00264
ko:K02529	sut:SAT0131_00266
ko:K01442	sut:SAT0131_00270
ko:K03466	sut:SAT0131_00284
ko:K03311	sut:SAT0131_00308
ko:K02003	sut:SAT0131_00313
ko:K07456	sut:SAT0131_01186
ko:K03671	sut:SAT0131_01187
ko:K03703	sut:SAT0131_01188
ko:K00239	sut:SAT0131_01191
ko:K00240	sut:SAT0131_01192
ko:K01776	sut:SAT0131_01193
ko:K07095	sut:SAT0131_01195
ko:K11032	sut:SAT0131_01205
ko:K00611	sut:SAT0131_01213
ko:K00926	sut:SAT0131_01214
ko:K03925	sut:SAT0131_01223
ko:K03438	sut:SAT0131_01224
ko:K01000	sut:SAT0131_01227
ko:K01925	sut:SAT0131_01228
ko:K03589	sut:SAT0131_01229
ko:K03590	sut:SAT0131_01230
ko:K03531	sut:SAT0131_01232
ko:K05810	sut:SAT0131_01234
ko:K06997	sut:SAT0131_01235
ko:K09772	sut:SAT0131_01236
ko:K02221	sut:SAT0131_01237
ko:K04074	sut:SAT0131_01239
ko:K01870	sut:SAT0131_01240
ko:K03101	sut:SAT0131_01243
ko:K06180	sut:SAT0131_01244
ko:K02825	sut:SAT0131_01245
ko:K03704	sut:SAT0131_02987
ko:K03501	sut:SAT0131_02992
ko:K03495	sut:SAT0131_02993
ko:K03650	sut:SAT0131_02994
ko:K03536	sut:SAT0131_02995
ko:K02914	sut:SAT0131_02996
ko:K01126	sut:SAT0131_00032
ko:K07090	sut:SAT0131_00042
ko:K01534	sut:SAT0131_00046
ko:K08170	sut:SAT0131_00086
ko:K03324	sut:SAT0131_00088
ko:K03885	sut:SAT0131_00968
ko:K03885	sut:SAT0131_00971
ko:K01255	sut:SAT0131_00974
ko:K07084	sut:SAT0131_00975
ko:K05571	sut:SAT0131_00978
ko:K05569	sut:SAT0131_00980
ko:K05567	sut:SAT0131_00982
ko:K05566	sut:SAT0131_00983
ko:K06347	sut:SAT0131_00985
ko:K00260	sut:SAT0131_00990
ko:K01126	sut:SAT0131_00991
ko:K01755	sut:SAT0131_00993
ko:K01940	sut:SAT0131_00994
ko:K01810	sut:SAT0131_00995
ko:K03100	sut:SAT0131_00997
ko:K03100	sut:SAT0131_00998
ko:K03695	sut:SAT0131_01008
ko:K00648	sut:SAT0131_01016
ko:K09458	sut:SAT0131_01017
ko:K15581	sut:SAT0131_01019
ko:K00318	sut:SAT0131_01880
ko:K00794	sut:SAT0131_01882
