ko:K11707	ctz:CTB_0661
ko:K04058	ctz:CTB_0881
ko:K03230	ctz:CTB_0891
ko:K03229	ctz:CTB_0901
ko:K00800	ctz:CTB_3641
ko:K00891	ctz:CTB_3651
ko:K01736	ctz:CTB_3661
ko:K01735	ctz:CTB_3671
ko:K13832	ctz:CTB_3681
ko:K00024	ctz:CTB_3741
ko:K01810	ctz:CTB_3761
ko:K03665	ctz:CTB_3771
ko:K06167	ctz:CTB_3781
ko:K09996	ctz:CTB_3791
ko:K06966	ctz:CTB_3861
ko:K09131	ctz:CTB_3871
ko:K10206	ctz:CTB_3891
ko:K01881	ctz:CTB_3921
ko:K03705	ctz:CTB_3931
ko:K03687	ctz:CTB_3941
ko:K04043	ctz:CTB_3951
ko:K12573	ctz:CTB_3961
ko:K07164	ctz:CTB_3971
ko:K06041	ctz:CTB_3981
ko:K00658	ctz:CTB_3991
ko:K00912	ctz:CTB_4011
ko:K03437	ctz:CTB_4021
ko:K06969	ctz:CTB_4031
ko:K00793	ctz:CTB_4041
ko:K07738	ctz:CTB_4051
ko:K06204	ctz:CTB_4061
ko:K03101	ctz:CTB_4071
ko:K03310	ctz:CTB_4081
ko:K00748	ctz:CTB_4101
ko:K03319	ctz:CTB_1981
ko:K02527	ctz:CTB_2021
ko:K01866	ctz:CTB_0611
ko:K00349	ctz:CTB_2751
ko:K00350	ctz:CTB_2761
ko:K02437	ctz:CTB_2771
ko:K03800	ctz:CTB_2801
ko:K03696	ctz:CTB_2811
ko:K00566	ctz:CTB_2821
ko:K01963	ctz:CTB_2881
ko:K04564	ctz:CTB_2891
ko:K03685	ctz:CTB_2921
ko:K04485	ctz:CTB_2931
ko:K01749	ctz:CTB_2941
ko:K01873	ctz:CTB_2971
ko:K09817	ctz:CTB_4151
ko:K09816	ctz:CTB_4161
ko:K03979	ctz:CTB_4171
ko:K02899	ctz:CTB_4181
ko:K02888	ctz:CTB_4191
ko:K07042	ctz:CTB_4231
ko:K03046	ctz:CTB_3091
ko:K03043	ctz:CTB_3101
ko:K02935	ctz:CTB_3111
ko:K02864	ctz:CTB_3121
ko:K02863	ctz:CTB_3131
ko:K02867	ctz:CTB_3141
ko:K02601	ctz:CTB_3151
ko:K03834	ctz:CTB_8251
ko:K03834	ctz:CTB_8261
ko:K03527	ctz:CTB_8701
ko:K02926	ctz:CTB_5301
ko:K02906	ctz:CTB_5311
ko:K00604	ctz:CTB_5331
ko:K00677	ctz:CTB_5341
ko:K02372	ctz:CTB_5351
ko:K02535	ctz:CTB_5361
ko:K03820	ctz:CTB_5371
ko:K06925	ctz:CTB_5401
ko:K03671	ctz:CTB_5421
ko:K03216	ctz:CTB_5431
ko:K01876	ctz:CTB_5451
ko:K01892	ctz:CTB_5461
ko:K07783	ctz:CTB_5471
ko:K02337	ctz:CTB_5481
ko:K03311	ctz:CTB_5571
ko:K00382	ctz:CTB_5601
ko:K03644	ctz:CTB_5611
ko:K03222	ctz:CTB_5621
ko:K03223	ctz:CTB_5641
ko:K02409	ctz:CTB_7241
ko:K09710	ctz:CTB_7741
ko:K00240	ctz:CTB_5941
ko:K03424	ctz:CTB_5971
ko:K03562	ctz:CTB_5991
ko:K03641	ctz:CTB_6021
ko:K03640	ctz:CTB_6031
ko:K03648	ctz:CTB_6111
ko:K03657	ctz:CTB_6121
ko:K03092	ctz:CTB_6131
ko:K06137	ctz:CTB_6141
ko:K06890	ctz:CTB_8271
ko:K03110	ctz:CTB_8281
ko:K01903	ctz:CTB_8291
ko:K01902	ctz:CTB_8301
ko:K09760	ctz:CTB_8331
ko:K13941	ctz:CTB_6171
ko:K01633	ctz:CTB_6181
ko:K03086	ctz:CTB_6191
ko:K02968	ctz:CTB_6211
ko:K03980	ctz:CTB_6281
ko:K01151	ctz:CTB_6291
ko:K02986	ctz:CTB_6301
ko:K07146	ctz:CTB_6311
ko:K13789	ctz:CTB_6321
ko:K01929	ctz:CTB_7611
ko:K01000	ctz:CTB_7621
ko:K01925	ctz:CTB_7631
ko:K03588	ctz:CTB_7651
ko:K02563	ctz:CTB_7661
ko:K06960	ctz:CTB_7681
ko:K00791	ctz:CTB_7711
ko:K03439	ctz:CTB_8371
ko:K00075	ctz:CTB_8391
ko:K03625	ctz:CTB_8401
ko:K02520	ctz:CTB_8411
ko:K02916	ctz:CTB_8421
ko:K02887	ctz:CTB_8431
ko:K01889	ctz:CTB_8441
ko:K11720	ctz:CTB_8461
ko:K07091	ctz:CTB_8471
ko:K04075	ctz:CTB_8481
ko:K03798	ctz:CTB_8491
ko:K00962	ctz:CTB_8501
ko:K09458	ctz:CTB_7751
ko:K00263	ctz:CTB_7781
ko:K00655	ctz:CTB_7801
ko:K04066	ctz:CTB_7831
ko:K04567	ctz:CTB_7861
ko:K01883	ctz:CTB_7871
ko:K03536	ctz:CTB_7891
ko:K02914	ctz:CTB_7901
ko:K02919	ctz:CTB_7911
ko:K02954	ctz:CTB_7921
ko:K03703	ctz:CTB_7961
ko:K03555	ctz:CTB_7971
ko:K14164	ctz:CTB_8021
ko:K00995	ctz:CTB_8031
ko:K00703	ctz:CTB_8041
ko:K02897	ctz:CTB_8051
ko:K01056	ctz:CTB_8061
ko:K02990	ctz:CTB_8071
ko:K02963	ctz:CTB_8081
ko:K02939	ctz:CTB_8091
ko:K00919	ctz:CTB_8101
ko:K00630	ctz:CTB_8131
ko:K08301	ctz:CTB_8141
ko:K02911	ctz:CTB_8171
ko:K03621	ctz:CTB_8181
ko:K03321	ctz:CTB_8651
ko:K03073	ctz:CTB_3161
ko:K02358	ctz:CTB_3171
ko:K02518	ctz:CTB_3181
ko:K01803	ctz:CTB_3241
ko:K03601	ctz:CTB_3251
ko:K03602	ctz:CTB_3261
ko:K01662	ctz:CTB_3281
ko:K00873	ctz:CTB_3291
ko:K03701	ctz:CTB_3301
ko:K02343	ctz:CTB_3311
ko:K09747	ctz:CTB_3321
ko:K11381	ctz:CTB_3381
ko:K03686	ctz:CTB_3391
ko:K02970	ctz:CTB_3401
ko:K01338	ctz:CTB_3421
ko:K03733	ctz:CTB_3451
ko:K06287	ctz:CTB_3471
ko:K03075	ctz:CTB_3501
ko:K01462	ctz:CTB_3511
ko:K02528	ctz:CTB_3521
ko:K06888	ctz:CTB_3541
ko:K02493	ctz:CTB_0241
ko:K03106	ctz:CTB_0251
ko:K02959	ctz:CTB_0261
ko:K00554	ctz:CTB_0271
ko:K02884	ctz:CTB_0281
ko:K03470	ctz:CTB_0291
ko:K00942	ctz:CTB_0301
ko:K01874	ctz:CTB_0321
ko:K03581	ctz:CTB_0331
ko:K01494	ctz:CTB_0381
ko:K03551	ctz:CTB_0401
ko:K01255	ctz:CTB_0451
ko:K02340	ctz:CTB_0461
ko:K07056	ctz:CTB_0471
ko:K00164	ctz:CTB_0531
ko:K00658	ctz:CTB_0541
ko:K05810	ctz:CTB_0551
ko:K03526	ctz:CTB_0561
ko:K02400	ctz:CTB_0591
ko:K02405	ctz:CTB_0601
ko:K03226	ctz:CTB_5651
ko:K03228	ctz:CTB_5671
ko:K02455	ctz:CTB_5731
ko:K02453	ctz:CTB_5751
ko:K03572	ctz:CTB_5781
ko:K01868	ctz:CTB_5841
ko:K01867	ctz:CTB_5881
ko:K03702	ctz:CTB_5891
ko:K01689	ctz:CTB_5901
ko:K00794	ctz:CTB_7371
ko:K03310	ctz:CTB_7401
ko:K00231	ctz:CTB_7501
ko:K01599	ctz:CTB_7521
ko:K03723	ctz:CTB_7531
ko:K01872	ctz:CTB_7541
ko:K00615	ctz:CTB_7551
ko:K01241	ctz:CTB_7561
ko:K02356	ctz:CTB_7571
ko:K03431	ctz:CTB_8231
ko:K00820	ctz:CTB_8241
ko:K09013	ctz:CTB_6901
ko:K09015	ctz:CTB_6911
ko:K11717	ctz:CTB_6921
ko:K07220	ctz:CTB_6961
ko:K03306	ctz:CTB_6971
ko:K00927	ctz:CTB_6981
ko:K10773	ctz:CTB_7021
ko:K03650	ctz:CTB_7031
ko:K01613	ctz:CTB_7041
ko:K03070	ctz:CTB_7061
ko:K03977	ctz:CTB_7081
ko:K03544	ctz:CTB_7101
ko:K01358	ctz:CTB_7111
ko:K03545	ctz:CTB_7121
ko:K03569	ctz:CTB_7141
ko:K00057	ctz:CTB_7191
ko:K02412	ctz:CTB_7221
ko:K02411	ctz:CTB_7231
ko:K03466	ctz:CTB_7441
ko:K00351	ctz:CTB_7451
ko:K03210	ctz:CTB_7461
ko:K08998	ctz:CTB_4751
ko:K01890	ctz:CTB_4771
ko:K01698	ctz:CTB_6371
ko:K00346	ctz:CTB_6381
ko:K03582	ctz:CTB_6431
ko:K03583	ctz:CTB_6441
ko:K03168	ctz:CTB_6471
ko:K02221	ctz:CTB_6491
ko:K03581	ctz:CTB_6561
ko:K06861	ctz:CTB_6581
ko:K01627	ctz:CTB_6601
ko:K02956	ctz:CTB_8511
ko:K01265	ctz:CTB_8601
ko:K03495	ctz:CTB_5011
ko:K01159	ctz:CTB_5051
ko:K03800	ctz:CTB_5021
ko:K00940	ctz:CTB_5031
ko:K03550	ctz:CTB_5041
ko:K00134	ctz:CTB_5081
ko:K02879	ctz:CTB_5091
ko:K03040	ctz:CTB_5101
ko:K02948	ctz:CTB_5111
ko:K02952	ctz:CTB_5121
ko:K03076	ctz:CTB_5131
ko:K02876	ctz:CTB_5141
ko:K02988	ctz:CTB_5151
ko:K02881	ctz:CTB_5161
ko:K02933	ctz:CTB_5171
ko:K02994	ctz:CTB_5181
ko:K02931	ctz:CTB_5191
ko:K02895	ctz:CTB_5201
ko:K02874	ctz:CTB_5211
ko:K02961	ctz:CTB_5221
ko:K02904	ctz:CTB_5231
ko:K02878	ctz:CTB_5241
ko:K02982	ctz:CTB_5251
ko:K02890	ctz:CTB_5261
ko:K02965	ctz:CTB_5271
ko:K02886	ctz:CTB_5281
ko:K02892	ctz:CTB_5291
ko:K02034	ctz:CTB_4801
ko:K01772	ctz:CTB_4871
ko:K07099	ctz:CTB_4901
ko:K00975	ctz:CTB_4911
ko:K03628	ctz:CTB_4931
ko:K00859	ctz:CTB_4941
ko:K03301	ctz:CTB_4971
ko:K04487	ctz:CTB_7261
ko:K06178	ctz:CTB_7281
ko:K03524	ctz:CTB_7301
ko:K05837	ctz:CTB_7311
ko:K01875	ctz:CTB_7341
ko:K11752	ctz:CTB_7351
ko:K00995	ctz:CTB_4981
ko:K06180	ctz:CTB_6631
ko:K06960	ctz:CTB_6641
ko:K02469	ctz:CTB_6651
ko:K02470	ctz:CTB_6661
ko:K02492	ctz:CTB_6671
ko:K03224	ctz:CTB_6741
ko:K02417	ctz:CTB_6771
ko:K03219	ctz:CTB_6791
ko:K02838	ctz:CTB_6821
ko:K09903	ctz:CTB_6831
ko:K02357	ctz:CTB_6841
ko:K02967	ctz:CTB_6851
ko:K13819	ctz:CTB_7251
ko:K07058	ctz:CTB_1311
ko:K06999	ctz:CTB_1351
ko:K07566	ctz:CTB_1361
ko:K09125	ctz:CTB_1391
ko:K07039	ctz:CTB_1401
ko:K01972	ctz:CTB_1451
ko:K02913	ctz:CTB_1491
ko:K09808	ctz:CTB_1501
ko:K03720	ctz:CTB_1631
ko:K01695	ctz:CTB_1651
ko:K19405	ctz:CTB_6801
ko:K09810	ctz:CTB_1511
ko:K07052	ctz:CTB_2491
ko:K00970	ctz:CTB_4091
ko:K01802	ctz:CTB_5441
ko:K03162	ctz:CTB_6861
ko:K07033	ctz:CTB_6891
ko:K07125	ctz:CTB_3201
ko:K08719	ctz:CTB_7181
ko:K14652	ctz:CTB_7361
ko:K15582	ctz:CTB_1941
ko:K03611	ctz:CTB_1701
ko:K15580	ctz:CTB_1921
ko:K01834	ctz:CTB_7271
ko:K15581	ctz:CTB_1931
ko:K15583	ctz:CTB_1961
ko:K10823	ctz:CTB_1951
ko:K02428	ctz:CTB_6091
ko:K01921	ctz:CTB_7671
ko:K01924	ctz:CTB_7671
ko:K01840	ctz:CTB_2901
ko:K11645	ctz:CTB_2091
ko:K00850	ctz:CTB_1991
ko:K02035	ctz:CTB_1381
ko:K06889	ctz:CTB_1481
ko:K02035	ctz:CTB_1691
ko:K02049	ctz:CTB_1741
ko:K03856	ctz:CTB_3801
ko:K03227	ctz:CTB_5661
ko:K02454	ctz:CTB_5741
ko:K01262	ctz:CTB_5771
ko:K07315	ctz:CTB_5911
ko:K03386	ctz:CTB_6061
ko:K02433	ctz:CTB_0031
ko:K03471	ctz:CTB_0081
ko:K04763	ctz:CTB_8751
ko:K00700	ctz:CTB_8771
ko:K00813	ctz:CTB_6411
ko:K01934	ctz:CTB_6531
ko:K00970	ctz:CTB_7091
ko:K01596	ctz:CTB_7151
ko:K00972	ctz:CTB_7201
ko:K07714	ctz:CTB_4701
ko:K01409	ctz:CTB_1911
ko:K06889	ctz:CTB_2001
ko:K00059	ctz:CTB_2321
ko:K09815	ctz:CTB_4141
ko:K01719	ctz:CTB_4341
ko:K00380	ctz:CTB_4361
ko:K01885	ctz:CTB_4471
ko:K00033	ctz:CTB_0621
ko:K02342	ctz:CTB_2561
ko:K02806	ctz:CTB_2851
ko:K02806	ctz:CTB_2861
ko:K07098	ctz:CTB_4631
ko:K00567	ctz:CTB_4791
ko:K02033	ctz:CTB_4811
ko:K02035	ctz:CTB_4821
ko:K02030	ctz:CTB_4881
ko:K06910	ctz:CTB_7411
ko:K07117	ctz:CTB_7421
ko:K01507	ctz:CTB_7771
ko:K01082	ctz:CTB_7791
ko:K03177	ctz:CTB_0931
ko:K06179	ctz:CTB_1051
ko:K00939	ctz:CTB_1271
ko:K02342	ctz:CTB_5391
ko:K07258	ctz:CTB_5541
ko:K02124	ctz:CTB_2991
ko:K02123	ctz:CTB_3001
ko:K02120	ctz:CTB_3011
ko:K02118	ctz:CTB_3021
ko:K02117	ctz:CTB_3031
ko:K02121	ctz:CTB_3051
ko:K00616	ctz:CTB_3081
ko:K08483	ctz:CTB_3331
ko:K11189	ctz:CTB_3341
ko:K00784	ctz:CTB_3441
ko:K01909	ctz:CTB_7811
ko:K00652	ctz:CTB_7821
ko:K01408	ctz:CTB_8121
ko:K00895	ctz:CTB_2011
ko:K11709	ctz:CTB_0691
ko:K11708	ctz:CTB_0681
ko:K11710	ctz:CTB_0671
ko:K03559	ctz:CTB_6001
ko:K02028	ctz:CTB_1291
ko:K17103	ctz:CTB_8341
ko:K04084	ctz:CTB_5981
ko:K06972	ctz:CTB_8321
ko:K07081	ctz:CTB_4281
ko:K08275	ctz:CTB_0791
ko:K08274	ctz:CTB_3751
ko:K01829	ctz:CTB_7851
ko:K01829	ctz:CTB_7881
ko:K03309	ctz:CTB_4001
ko:K01214	ctz:CTB_0421
ko:K03825	ctz:CTB_4601
ko:K03496	ctz:CTB_5851
ko:K03497	ctz:CTB_6931
ko:K03111	ctz:CTB_0441
ko:K02626	ctz:CTB_3711
ko:K11991	ctz:CTB_8521
ko:K04771	ctz:CTB_8311
ko:K19411	ctz:CTB_6811
ko:K02031	ctz:CTB_6951
ko:K22100	ctz:CTB_3231
ko:K12132	ctz:CTB_2961
ko:K20265	ctz:CTB_2101
ko:K20074	ctz:CTB_2541
ko:K11749	ctz:CTB_0711
ko:K22099	ctz:CTB_6151
ko:K00526	ctz:CTB_8361
ko:K02335	ctz:CTB_4951
ko:K01520	ctz:CTB_2871
ko:K02314	ctz:CTB_5001
ko:K00287	ctz:CTB_6161
ko:K03553	ctz:CTB_6541
ko:K02316	ctz:CTB_7991
ko:K02032	ctz:CTB_6941
ko:K00525	ctz:CTB_8351
ko:K02051	ctz:CTB_8631
ko:K02050	ctz:CTB_8631
ko:K01534	ctz:CTB_7321
ko:K16239	ctz:CTB_0841
