ko:K18919	elp:P12B_c1512
ko:K14170	elp:P12B_c2693
ko:K14187	elp:P12B_c2694
ko:K01626	elp:P12B_c2695
ko:K07237	elp:P12B_c3445
ko:K07236	elp:P12B_c3446
ko:K07235	elp:P12B_c3447
ko:K03745	elp:P12B_c3450
ko:K03775	elp:P12B_c3451
ko:K00855	elp:P12B_c3455
ko:K07397	elp:P12B_c3456
ko:K04095	elp:P12B_c3461
ko:K06141	elp:P12B_c3463
ko:K00362	elp:P12B_c3464
ko:K00363	elp:P12B_c3465
ko:K02598	elp:P12B_c3466
ko:K02302	elp:P12B_c3467
ko:K10709	elp:P12B_c3471
ko:K10711	elp:P12B_c3473
ko:K01867	elp:P12B_c3482
ko:K01091	elp:P12B_c3483
ko:K01783	elp:P12B_c3484
ko:K03112	elp:P12B_c3486
ko:K01735	elp:P12B_c3487
ko:K00891	elp:P12B_c3488
ko:K02507	elp:P12B_c3490
ko:K12291	elp:P12B_c3491
ko:K12290	elp:P12B_c3492
ko:K12289	elp:P12B_c3493
ko:K10109	elp:P12B_c4139
ko:K10110	elp:P12B_c4138
ko:K16053	elp:P12B_c0560
ko:K12288	elp:P12B_c3494
ko:K05366	elp:P12B_c3495
ko:K08312	elp:P12B_c3496
ko:K07703	elp:P12B_c4227
ko:K07701	elp:P12B_c4228
ko:K04567	elp:P12B_c4229
ko:K03305	elp:P12B_c4230
ko:K03765	elp:P12B_c4233
ko:K04084	elp:P12B_c4235
ko:K03926	elp:P12B_c4236
ko:K07791	elp:P12B_c4237
ko:K01744	elp:P12B_c4238
ko:K07113	elp:P12B_c4239
ko:K04077	elp:P12B_c4241
ko:K02356	elp:P12B_c4245
ko:K03098	elp:P12B_c4248
ko:K00246	elp:P12B_c4251
ko:K04568	elp:P12B_c4254
ko:K01613	elp:P12B_c4257
ko:K06949	elp:P12B_c4258
ko:K06925	elp:P12B_c4263
ko:K01448	elp:P12B_c4264
ko:K03572	elp:P12B_c4265
ko:K00791	elp:P12B_c4266
ko:K03666	elp:P12B_c4268
ko:K03665	elp:P12B_c4269
ko:K04088	elp:P12B_c4270
ko:K04087	elp:P12B_c4271
ko:K01939	elp:P12B_c4272
ko:K13771	elp:P12B_c4273
ko:K03218	elp:P12B_c4275
ko:K14223	elp:P12B_t0010
ko:K14223	elp:P12B_t0011
ko:K07666	elp:P12B_c3125
ko:K11750	elp:P12B_c0267
ko:K11926	elp:P12B_c0268
ko:K00931	elp:P12B_c0270
ko:K00147	elp:P12B_c0271
ko:K06946	elp:P12B_c0280
ko:K03799	elp:P12B_c0283
ko:K03672	elp:P12B_c0286
ko:K13993	elp:P12B_c0291
ko:K03798	elp:P12B_c0292
ko:K03696	elp:P12B_c0293
ko:K13993	elp:P12B_c0294
ko:K02415	elp:P12B_c1077
ko:K02413	elp:P12B_c1079
ko:K02412	elp:P12B_c1080
ko:K02411	elp:P12B_c1081
ko:K02410	elp:P12B_c1082
ko:K02409	elp:P12B_c1083
ko:K02408	elp:P12B_c1084
ko:K07112	elp:P12B_c1132
ko:K00963	elp:P12B_c1903
ko:K07001	elp:P12B_c1905
ko:K09858	elp:P12B_c1906
ko:K01433	elp:P12B_c1907
ko:K00373	elp:P12B_c1909
ko:K00371	elp:P12B_c1910
ko:K00370	elp:P12B_c1911
ko:K07673	elp:P12B_c1913
ko:K07300	elp:P12B_c1919
ko:K01627	elp:P12B_c1920
ko:K02493	elp:P12B_c1923
ko:K02835	elp:P12B_c1924
ko:K02492	elp:P12B_c1925
ko:K02494	elp:P12B_c1926
ko:K00919	elp:P12B_c1927
ko:K00948	elp:P12B_c1928
ko:K03321	elp:P12B_c1929
ko:K01056	elp:P12B_c1931
ko:K06942	elp:P12B_c1932
ko:K05880	elp:P12B_c1934
ko:K05878	elp:P12B_c1935
ko:K05879	elp:P12B_c1936
ko:K05881	elp:P12B_c1937
ko:K01194	elp:P12B_c1938
ko:K08308	elp:P12B_c1941
ko:K01775	elp:P12B_c1944
ko:K00285	elp:P12B_c1945
ko:K03603	elp:P12B_c1947
ko:K03314	elp:P12B_c1948
ko:K03611	elp:P12B_c1949
ko:K02884	elp:P12B_c2700
ko:K00554	elp:P12B_c2701
ko:K02860	elp:P12B_c2702
ko:K02959	elp:P12B_c2703
ko:K03106	elp:P12B_c2704
ko:K03687	elp:P12B_c2708
ko:K00858	elp:P12B_c2709
ko:K03631	elp:P12B_c2710
ko:K06186	elp:P12B_c2711
ko:K03664	elp:P12B_c2713
ko:K04762	elp:P12B_c3499
ko:K04083	elp:P12B_c3500
ko:K01610	elp:P12B_c3502
ko:K07638	elp:P12B_c3503
ko:K07659	elp:P12B_c3504
ko:K04760	elp:P12B_c3505
ko:K06959	elp:P12B_c3508
ko:K04758	elp:P12B_c3509
ko:K04759	elp:P12B_c3510
ko:K07490	elp:P12B_c3511
ko:K02170	elp:P12B_c3513
ko:K07400	elp:P12B_c3515
ko:K06155	elp:P12B_c3516
ko:K00705	elp:P12B_c3517
ko:K00688	elp:P12B_c3518
ko:K03556	elp:P12B_c3519
ko:K14415	elp:P12B_c3521
ko:K14414	elp:P12B_c3522
ko:K02444	elp:P12B_c3523
ko:K02439	elp:P12B_c3525
ko:K00111	elp:P12B_c3526
ko:K02040	elp:P12B_c3528
ko:K02040	elp:P12B_c3529
ko:K00688	elp:P12B_c3530
ko:K00703	elp:P12B_c3531
ko:K00975	elp:P12B_c3532
ko:K00133	elp:P12B_c3535
ko:K06156	elp:P12B_c3537
ko:K06145	elp:P12B_c3539
ko:K06911	elp:P12B_c3540
ko:K01126	elp:P12B_c3547
ko:K01685	elp:P12B_c4279
ko:K09980	elp:P12B_c4280
ko:K08989	elp:P12B_c4283
ko:K09456	elp:P12B_c4286
ko:K03477	elp:P12B_c4289
ko:K02990	elp:P12B_c4296
ko:K02686	elp:P12B_c4297
ko:K02963	elp:P12B_c4298
ko:K07269	elp:P12B_c4312
ko:K03773	elp:P12B_c4314
ko:K11737	elp:P12B_c4315
ko:K07322	elp:P12B_c4316
ko:K07109	elp:P12B_c4323
ko:K07278	elp:P12B_c4327
ko:K09800	elp:P12B_c4328
ko:K14219	elp:P12B_t0006
ko:K14236	elp:P12B_t0034
ko:K14236	elp:P12B_t0035
ko:K14236	elp:P12B_t0072
ko:K00782	elp:P12B_c0328
ko:K02167	elp:P12B_c0332
ko:K00926	elp:P12B_c0342
ko:K13979	elp:P12B_c0344
ko:K03329	elp:P12B_c0346
ko:K02688	elp:P12B_c0347
ko:K01720	elp:P12B_c0351
ko:K01908	elp:P12B_c0352
ko:K10974	elp:P12B_c0353
ko:K11921	elp:P12B_c0356
ko:K01673	elp:P12B_c0357
ko:K01725	elp:P12B_c0358
ko:K03449	elp:P12B_c0359
ko:K02532	elp:P12B_c0361
ko:K05818	elp:P12B_c0364
ko:K01666	elp:P12B_c0370
ko:K05819	elp:P12B_c0375
ko:K09912	elp:P12B_c0376
ko:K01070	elp:P12B_c0377
ko:K02423	elp:P12B_c1135
ko:K02422	elp:P12B_c1136
ko:K02407	elp:P12B_c1137
ko:K02406	elp:P12B_c1138
ko:K02405	elp:P12B_c1140
ko:K02425	elp:P12B_c1143
ko:K02424	elp:P12B_c1145
ko:K10009	elp:P12B_c1147
ko:K10010	elp:P12B_c1148
ko:K16076	elp:P12B_c0751
ko:K11922	elp:P12B_c0700
ko:K11198	elp:P12B_c0701
ko:K11199	elp:P12B_c0701
ko:K11200	elp:P12B_c0701
ko:K00426	elp:P12B_c0704
ko:K07107	elp:P12B_c0705
ko:K03562	elp:P12B_c0706
ko:K03641	elp:P12B_c0709
ko:K03640	elp:P12B_c0710
ko:K03517	elp:P12B_c0712
ko:K03811	elp:P12B_c0713
ko:K01626	elp:P12B_c0716
ko:K00849	elp:P12B_c0719
ko:K00965	elp:P12B_c0720
ko:K05776	elp:P12B_c0723
ko:K02019	elp:P12B_c0724
ko:K02020	elp:P12B_c0725
ko:K02018	elp:P12B_c0726
ko:K03319	elp:P12B_c0732
ko:K01681	elp:P12B_c0733
ko:K01051	elp:P12B_c0734
ko:K06077	elp:P12B_c0746
ko:K03704	elp:P12B_c1521
ko:K01284	elp:P12B_c1539
ko:K15268	elp:P12B_c1544
ko:K13630	elp:P12B_c1545
ko:K13632	elp:P12B_c1546
ko:K03712	elp:P12B_c1547
ko:K08159	elp:P12B_c1549
ko:K08324	elp:P12B_c1552
ko:K01425	elp:P12B_c1553
ko:K00041	elp:P12B_c1556
ko:K08321	elp:P12B_c1559
ko:K10555	elp:P12B_c1560
ko:K10557	elp:P12B_c1561
ko:K10556	elp:P12B_c1562
ko:K10558	elp:P12B_c1563
ko:K11531	elp:P12B_c1564
ko:K11216	elp:P12B_c1565
ko:K01126	elp:P12B_c2332
ko:K02445	elp:P12B_c2333
ko:K00111	elp:P12B_c2334
ko:K00112	elp:P12B_c2335
ko:K00113	elp:P12B_c2336
ko:K12660	elp:P12B_c2339
ko:K12661	elp:P12B_c2341
ko:K07806	elp:P12B_c2347
ko:K10012	elp:P12B_c2348
ko:K10011	elp:P12B_c2349
ko:K13014	elp:P12B_c2351
ko:K07264	elp:P12B_c2352
ko:K12962	elp:P12B_c2353
ko:K12963	elp:P12B_c2354
ko:K01911	elp:P12B_c2355
ko:K01661	elp:P12B_c2357
ko:K02551	elp:P12B_c2359
ko:K00343	elp:P12B_c2370
ko:K00342	elp:P12B_c2371
ko:K00341	elp:P12B_c2372
ko:K00340	elp:P12B_c2373
ko:K00339	elp:P12B_c2374
ko:K00338	elp:P12B_c2375
ko:K00337	elp:P12B_c2376
ko:K00334	elp:P12B_c2379
ko:K02622	elp:P12B_c3130
ko:K07000	elp:P12B_c3131
ko:K03651	elp:P12B_c3132
ko:K09920	elp:P12B_c3133
ko:K12340	elp:P12B_c3135
ko:K07238	elp:P12B_c3139
ko:K03272	elp:P12B_c3148
ko:K00982	elp:P12B_c3149
ko:K07184	elp:P12B_c3151
ko:K01633	elp:P12B_c3154
ko:K08591	elp:P12B_c3155
ko:K03780	elp:P12B_c3158
ko:K11106	elp:P12B_c3159
ko:K02970	elp:P12B_c3161
ko:K03086	elp:P12B_c3163
ko:K12687	elp:P12B_c3169
ko:K06946	elp:P12B_c3172
ko:K09689	elp:P12B_c3178
ko:K02805	elp:P12B_c3920
ko:K12582	elp:P12B_c3923
ko:K02853	elp:P12B_c3924
ko:K06871	elp:P12B_c3927
ko:K02498	elp:P12B_c3928
ko:K02496	elp:P12B_c3929
ko:K01749	elp:P12B_c3931
ko:K05851	elp:P12B_c3932
ko:K06202	elp:P12B_c3933
ko:K01778	elp:P12B_c3934
ko:K09921	elp:P12B_c3935
ko:K03733	elp:P12B_c3936
ko:K03657	elp:P12B_c3938
ko:K03284	elp:P12B_c3940
ko:K05786	elp:P12B_c3943
ko:K01058	elp:P12B_c3945
ko:K03654	elp:P12B_c3946
ko:K05835	elp:P12B_c3947
ko:K05834	elp:P12B_c3948
ko:K03576	elp:P12B_c3952
ko:K00549	elp:P12B_c3953
ko:K00757	elp:P12B_c3955
ko:K09760	elp:P12B_c3956
ko:K03183	elp:P12B_c3957
ko:K03690	elp:P12B_c3958
ko:K03688	elp:P12B_c3959
ko:K03116	elp:P12B_c3960
ko:K03117	elp:P12B_c3961
ko:K03118	elp:P12B_c3962
ko:K03424	elp:P12B_c3963
ko:K03182	elp:P12B_c3965
ko:K05368	elp:P12B_c3966
ko:K01825	elp:P12B_c3968
ko:K07689	elp:P12B_c1150
ko:K03703	elp:P12B_c1151
ko:K00995	elp:P12B_c1152
ko:K02406	elp:P12B_c1162
ko:K07039	elp:P12B_c1180
ko:K03834	elp:P12B_c1181
ko:K02217	elp:P12B_c1182
ko:K02255	elp:P12B_c1186
ko:K10537	elp:P12B_c1187
ko:K10539	elp:P12B_c1188
ko:K09160	elp:P12B_c1953
ko:K09902	elp:P12B_c1955
ko:K03610	elp:P12B_c1958
ko:K03609	elp:P12B_c1959
ko:K03608	elp:P12B_c1960
ko:K00031	elp:P12B_c1970
ko:K06181	elp:P12B_c1971
ko:K12152	elp:P12B_c1972
ko:K00566	elp:P12B_c1973
ko:K07153	elp:P12B_c1974
ko:K01756	elp:P12B_c1975
ko:K07637	elp:P12B_c1977
ko:K12410	elp:P12B_c1986
ko:K09808	elp:P12B_c1988
ko:K09808	elp:P12B_c1990
ko:K03723	elp:P12B_c1992
ko:K12151	elp:P12B_c1995
ko:K03885	elp:P12B_c1998
ko:K07000	elp:P12B_c1999
ko:K01207	elp:P12B_c2000
ko:K07251	elp:P12B_c2001
ko:K07337	elp:P12B_c2002
ko:K15737	elp:P12B_c2768
ko:K15736	elp:P12B_c2769
ko:K11735	elp:P12B_c2772
ko:K15735	elp:P12B_c2773
ko:K02000	elp:P12B_c2785
ko:K02001	elp:P12B_c2786
ko:K02002	elp:P12B_c2787
ko:K15974	elp:P12B_c2791
ko:K03543	elp:P12B_c2792
ko:K03446	elp:P12B_c2793
ko:K07173	elp:P12B_c2794
ko:K01919	elp:P12B_c2795
ko:K03563	elp:P12B_c2797
ko:K01872	elp:P12B_c2798
ko:K03565	elp:P12B_c2799
ko:K02781	elp:P12B_c2805
ko:K05813	elp:P12B_c3551
ko:K01996	elp:P12B_c3552
ko:K01995	elp:P12B_c3553
ko:K01998	elp:P12B_c3554
ko:K01997	elp:P12B_c3555
ko:K01999	elp:P12B_c3556
ko:K01999	elp:P12B_c3558
ko:K03089	elp:P12B_c3559
ko:K09811	elp:P12B_c3560
ko:K09812	elp:P12B_c3561
ko:K03110	elp:P12B_c3562
ko:K01534	elp:P12B_c3566
ko:K09125	elp:P12B_c3568
ko:K06133	elp:P12B_c3572
ko:K15584	elp:P12B_c3573
ko:K15585	elp:P12B_c3574
ko:K15586	elp:P12B_c3575
ko:K15587	elp:P12B_c3576
ko:K10824	elp:P12B_c3577
ko:K07722	elp:P12B_c3578
ko:K13926	elp:P12B_c3586
ko:K01993	elp:P12B_c3587
ko:K07644	elp:P12B_c3593
ko:K07156	elp:P12B_c3596
ko:K07233	elp:P12B_c3597
ko:K02057	elp:P12B_c4335
ko:K02057	elp:P12B_c4336
ko:K03841	elp:P12B_c4337
ko:K02558	elp:P12B_c4338
ko:K09889	elp:P12B_c4339
ko:K03592	elp:P12B_c4340
ko:K15536	elp:P12B_c4341
ko:K02818	elp:P12B_c4346
ko:K02819	elp:P12B_c4346
ko:K03485	elp:P12B_c4347
ko:K01531	elp:P12B_c4348
ko:K00610	elp:P12B_c4350
ko:K00609	elp:P12B_c4351
ko:K00611	elp:P12B_c4358
ko:K09893	elp:P12B_c4360
ko:K03828	elp:P12B_c4361
ko:K01873	elp:P12B_c4365
ko:K02339	elp:P12B_c4366
ko:K01255	elp:P12B_c4367
ko:K07091	elp:P12B_c4368
ko:K11720	elp:P12B_c4369
ko:K06915	elp:P12B_c4370
ko:K06146	elp:P12B_c4371
ko:K06157	elp:P12B_c4372
ko:K00098	elp:P12B_c4374
ko:K12957	elp:P12B_c4376
ko:K07154	elp:P12B_c1572
ko:K13378	elp:P12B_c2380
ko:K15551	elp:P12B_c0383
ko:K15552	elp:P12B_c0385
ko:K03119	elp:P12B_c0386
ko:K01698	elp:P12B_c0387
ko:K01921	elp:P12B_c0397
ko:K00286	elp:P12B_c0402
ko:K09768	elp:P12B_c0403
ko:K00891	elp:P12B_c0404
ko:K14591	elp:P12B_c0405
ko:K03554	elp:P12B_c0406
ko:K00847	elp:P12B_c0407
ko:K03547	elp:P12B_c0410
ko:K07636	elp:P12B_c0412
ko:K03311	elp:P12B_c0413
ko:K11736	elp:P12B_c0414
ko:K08682	elp:P12B_c0416
ko:K07568	elp:P12B_c0417
ko:K00773	elp:P12B_c0418
ko:K03210	elp:P12B_c0419
ko:K03072	elp:P12B_c0420
ko:K03074	elp:P12B_c0421
ko:K05517	elp:P12B_c0423
ko:K07738	elp:P12B_c0425
ko:K11752	elp:P12B_c0426
ko:K00794	elp:P12B_c0427
ko:K03625	elp:P12B_c0428
ko:K00946	elp:P12B_c0429
ko:K01095	elp:P12B_c0430
ko:K01662	elp:P12B_c0432
ko:K10538	elp:P12B_c1189
ko:K01087	elp:P12B_c1190
ko:K00697	elp:P12B_c1191
ko:K14064	elp:P12B_c1192
ko:K02403	elp:P12B_c1193
