ko:K18928	bpsm:BBQ_5878
ko:K00411	bpsm:BBQ_171
ko:K00412	bpsm:BBQ_172
ko:K00413	bpsm:BBQ_173
ko:K03599	bpsm:BBQ_174
ko:K03600	bpsm:BBQ_175
ko:K03707	bpsm:BBQ_179
ko:K11892	bpsm:BBQ_181
ko:K11893	bpsm:BBQ_182
ko:K11906	bpsm:BBQ_183
ko:K11901	bpsm:BBQ_185
ko:K11900	bpsm:BBQ_186
ko:K11903	bpsm:BBQ_187
ko:K11897	bpsm:BBQ_188
ko:K11896	bpsm:BBQ_189
ko:K11895	bpsm:BBQ_190
ko:K11907	bpsm:BBQ_191
ko:K11902	bpsm:BBQ_192
ko:K03286	bpsm:BBQ_193
ko:K11890	bpsm:BBQ_194
ko:K11891	bpsm:BBQ_195
ko:K00762	bpsm:BBQ_40
ko:K00029	bpsm:BBQ_41
ko:K04090	bpsm:BBQ_42
ko:K00457	bpsm:BBQ_44
ko:K03719	bpsm:BBQ_45
ko:K02613	bpsm:BBQ_49
ko:K02612	bpsm:BBQ_50
ko:K02611	bpsm:BBQ_51
ko:K02610	bpsm:BBQ_52
ko:K12340	bpsm:BBQ_198
ko:K13409	bpsm:BBQ_199
ko:K13408	bpsm:BBQ_200
ko:K01256	bpsm:BBQ_203
ko:K09941	bpsm:BBQ_208
ko:K04046	bpsm:BBQ_212
ko:K03704	bpsm:BBQ_213
ko:K03186	bpsm:BBQ_216
ko:K07390	bpsm:BBQ_217
ko:K02493	bpsm:BBQ_218
ko:K02835	bpsm:BBQ_219
ko:K02609	bpsm:BBQ_53
ko:K02358	bpsm:BBQ_64
ko:K03073	bpsm:BBQ_66
ko:K02601	bpsm:BBQ_67
ko:K02867	bpsm:BBQ_68
ko:K02863	bpsm:BBQ_69
ko:K02864	bpsm:BBQ_70
ko:K02935	bpsm:BBQ_71
ko:K03043	bpsm:BBQ_72
ko:K03046	bpsm:BBQ_73
ko:K03654	bpsm:BBQ_74
ko:K02950	bpsm:BBQ_75
ko:K02992	bpsm:BBQ_76
ko:K02355	bpsm:BBQ_77
ko:K02358	bpsm:BBQ_78
ko:K02946	bpsm:BBQ_79
ko:K02906	bpsm:BBQ_80
ko:K02926	bpsm:BBQ_81
ko:K02892	bpsm:BBQ_82
ko:K02886	bpsm:BBQ_83
ko:K02965	bpsm:BBQ_84
ko:K02890	bpsm:BBQ_85
ko:K02982	bpsm:BBQ_86
ko:K02878	bpsm:BBQ_87
ko:K02904	bpsm:BBQ_88
ko:K02961	bpsm:BBQ_89
ko:K02874	bpsm:BBQ_90
ko:K02895	bpsm:BBQ_91
ko:K02931	bpsm:BBQ_92
ko:K02954	bpsm:BBQ_93
ko:K02994	bpsm:BBQ_94
ko:K02933	bpsm:BBQ_95
ko:K02881	bpsm:BBQ_96
ko:K02988	bpsm:BBQ_97
ko:K02907	bpsm:BBQ_98
ko:K02492	bpsm:BBQ_220
ko:K01262	bpsm:BBQ_222
ko:K01560	bpsm:BBQ_224
ko:K01126	bpsm:BBQ_227
ko:K11735	bpsm:BBQ_229
ko:K06942	bpsm:BBQ_233
ko:K03981	bpsm:BBQ_237
ko:K01118	bpsm:BBQ_239
ko:K03648	bpsm:BBQ_240
ko:K01609	bpsm:BBQ_242
ko:K00766	bpsm:BBQ_243
ko:K01658	bpsm:BBQ_244
ko:K01657	bpsm:BBQ_245
ko:K01091	bpsm:BBQ_246
ko:K01783	bpsm:BBQ_247
ko:K06195	bpsm:BBQ_248
ko:K08304	bpsm:BBQ_250
ko:K01912	bpsm:BBQ_251
ko:K02614	bpsm:BBQ_252
ko:K15866	bpsm:BBQ_253
ko:K01692	bpsm:BBQ_256
ko:K01897	bpsm:BBQ_264
ko:K06134	bpsm:BBQ_266
ko:K02527	bpsm:BBQ_650
ko:K03189	bpsm:BBQ_651
ko:K03188	bpsm:BBQ_652
ko:K03187	bpsm:BBQ_653
ko:K01428	bpsm:BBQ_654
ko:K01429	bpsm:BBQ_655
ko:K01430	bpsm:BBQ_656
ko:K03190	bpsm:BBQ_657
ko:K11963	bpsm:BBQ_658
ko:K11962	bpsm:BBQ_659
ko:K11961	bpsm:BBQ_660
ko:K11960	bpsm:BBQ_661
ko:K11959	bpsm:BBQ_662
ko:K00822	bpsm:BBQ_663
ko:K00573	bpsm:BBQ_665
ko:K06940	bpsm:BBQ_668
ko:K06153	bpsm:BBQ_670
ko:K03439	bpsm:BBQ_671
ko:K06199	bpsm:BBQ_676
ko:K02221	bpsm:BBQ_678
ko:K06895	bpsm:BBQ_682
ko:K03182	bpsm:BBQ_683
ko:K03625	bpsm:BBQ_686
ko:K00794	bpsm:BBQ_687
ko:K14652	bpsm:BBQ_688
ko:K00793	bpsm:BBQ_689
ko:K11752	bpsm:BBQ_690
ko:K01845	bpsm:BBQ_691
ko:K07552	bpsm:BBQ_694
ko:K02028	bpsm:BBQ_697
ko:K10009	bpsm:BBQ_698
ko:K02424	bpsm:BBQ_699
ko:K00845	bpsm:BBQ_700
ko:K01057	bpsm:BBQ_701
ko:K07687	bpsm:BBQ_1512
ko:K07677	bpsm:BBQ_1513
ko:K00128	bpsm:BBQ_1525
ko:K02055	bpsm:BBQ_1527
ko:K02054	bpsm:BBQ_1528
ko:K02053	bpsm:BBQ_1529
ko:K02052	bpsm:BBQ_1530
ko:K00135	bpsm:BBQ_1532
ko:K13472	bpsm:BBQ_1539
ko:K12541	bpsm:BBQ_1540
ko:K12542	bpsm:BBQ_1541
ko:K00860	bpsm:BBQ_1544
ko:K01745	bpsm:BBQ_1553
ko:K01712	bpsm:BBQ_1555
ko:K09703	bpsm:BBQ_1556
ko:K01466	bpsm:BBQ_1558
ko:K06016	bpsm:BBQ_1559
ko:K03088	bpsm:BBQ_1561
ko:K15977	bpsm:BBQ_1564
ko:K05825	bpsm:BBQ_2361
ko:K07240	bpsm:BBQ_2365
ko:K06016	bpsm:BBQ_2367
ko:K02621	bpsm:BBQ_2373
ko:K02622	bpsm:BBQ_2374
ko:K15738	bpsm:BBQ_2375
ko:K02518	bpsm:BBQ_2380
ko:K15125	bpsm:BBQ_2390
ko:K07262	bpsm:BBQ_2394
ko:K08276	bpsm:BBQ_2395
ko:K06910	bpsm:BBQ_2400
ko:K08169	bpsm:BBQ_2401
ko:K00697	bpsm:BBQ_2404
ko:K02049	bpsm:BBQ_2407
ko:K02050	bpsm:BBQ_2408
ko:K07638	bpsm:BBQ_2411
ko:K07659	bpsm:BBQ_2412
ko:K02409	bpsm:BBQ_3199
ko:K02410	bpsm:BBQ_3200
ko:K02411	bpsm:BBQ_3201
ko:K02412	bpsm:BBQ_3202
ko:K02413	bpsm:BBQ_3203
ko:K02414	bpsm:BBQ_3204
ko:K09456	bpsm:BBQ_3206
ko:K00154	bpsm:BBQ_3207
ko:K08224	bpsm:BBQ_3211
ko:K00477	bpsm:BBQ_3217
ko:K00789	bpsm:BBQ_3219
ko:K02517	bpsm:BBQ_3220
ko:K01778	bpsm:BBQ_3221
ko:K09921	bpsm:BBQ_3222
ko:K03733	bpsm:BBQ_3223
ko:K06969	bpsm:BBQ_3224
ko:K06204	bpsm:BBQ_3226
ko:K01419	bpsm:BBQ_3227
ko:K03667	bpsm:BBQ_3228
ko:K15012	bpsm:BBQ_3229
ko:K15011	bpsm:BBQ_3230
ko:K00930	bpsm:BBQ_3232
ko:K05501	bpsm:BBQ_3234
ko:K00641	bpsm:BBQ_3235
ko:K08218	bpsm:BBQ_3237
ko:K13979	bpsm:BBQ_3240
ko:K01142	bpsm:BBQ_3241
ko:K02434	bpsm:BBQ_3243
ko:K02433	bpsm:BBQ_3244
ko:K02435	bpsm:BBQ_3245
ko:K03569	bpsm:BBQ_3246
ko:K03570	bpsm:BBQ_3247
ko:K03571	bpsm:BBQ_3248
ko:K05515	bpsm:BBQ_3249
ko:K05837	bpsm:BBQ_3250
ko:K03925	bpsm:BBQ_267
ko:K03438	bpsm:BBQ_268
ko:K03586	bpsm:BBQ_269
ko:K03587	bpsm:BBQ_270
ko:K01928	bpsm:BBQ_271
ko:K01929	bpsm:BBQ_272
ko:K01000	bpsm:BBQ_273
ko:K01925	bpsm:BBQ_274
ko:K00036	bpsm:BBQ_702
ko:K17315	bpsm:BBQ_703
ko:K17316	bpsm:BBQ_704
ko:K17317	bpsm:BBQ_705
ko:K10112	bpsm:BBQ_706
ko:K00384	bpsm:BBQ_709
ko:K03466	bpsm:BBQ_710
ko:K03634	bpsm:BBQ_711
ko:K07478	bpsm:BBQ_712
ko:K01875	bpsm:BBQ_714
ko:K03610	bpsm:BBQ_719
ko:K03609	bpsm:BBQ_720
ko:K03608	bpsm:BBQ_721
ko:K02841	bpsm:BBQ_725
ko:K03832	bpsm:BBQ_728
ko:K02428	bpsm:BBQ_733
ko:K00989	bpsm:BBQ_734
ko:K00942	bpsm:BBQ_736
ko:K03060	bpsm:BBQ_737
ko:K04760	bpsm:BBQ_741
ko:K03704	bpsm:BBQ_744
ko:K02342	bpsm:BBQ_745
ko:K04093	bpsm:BBQ_746
ko:K02014	bpsm:BBQ_749
ko:K03841	bpsm:BBQ_756
ko:K03576	bpsm:BBQ_757
ko:K09930	bpsm:BBQ_1566
ko:K01434	bpsm:BBQ_1570
ko:K00612	bpsm:BBQ_1571
ko:K01620	bpsm:BBQ_1574
ko:K01755	bpsm:BBQ_1575
ko:K01738	bpsm:BBQ_1576
ko:K01755	bpsm:BBQ_1580
ko:K01940	bpsm:BBQ_1581
ko:K03408	bpsm:BBQ_1590
ko:K00666	bpsm:BBQ_1593
ko:K05845	bpsm:BBQ_1596
ko:K05846	bpsm:BBQ_1597
ko:K05847	bpsm:BBQ_1598
ko:K05846	bpsm:BBQ_1600
ko:K03758	bpsm:BBQ_1602
ko:K01478	bpsm:BBQ_1603
ko:K00611	bpsm:BBQ_1604
ko:K00926	bpsm:BBQ_1605
ko:K03449	bpsm:BBQ_1614
ko:K05936	bpsm:BBQ_1616
ko:K05895	bpsm:BBQ_1617
ko:K02188	bpsm:BBQ_1618
ko:K06911	bpsm:BBQ_2414
ko:K10014	bpsm:BBQ_2415
ko:K10016	bpsm:BBQ_2416
ko:K10015	bpsm:BBQ_2417
ko:K10017	bpsm:BBQ_2419
ko:K04751	bpsm:BBQ_2421
ko:K01950	bpsm:BBQ_2422
ko:K09919	bpsm:BBQ_2423
ko:K07461	bpsm:BBQ_2425
ko:K01507	bpsm:BBQ_2426
ko:K00128	bpsm:BBQ_2427
ko:K00059	bpsm:BBQ_2428
ko:K02498	bpsm:BBQ_2430
ko:K01749	bpsm:BBQ_2432
ko:K01595	bpsm:BBQ_2433
ko:K07346	bpsm:BBQ_2438
ko:K07347	bpsm:BBQ_2439
ko:K01755	bpsm:BBQ_2440
ko:K01584	bpsm:BBQ_2443
ko:K01494	bpsm:BBQ_2444
ko:K03593	bpsm:BBQ_2446
ko:K01874	bpsm:BBQ_2448
ko:K09800	bpsm:BBQ_2451
ko:K05896	bpsm:BBQ_2454
ko:K01918	bpsm:BBQ_2455
ko:K01579	bpsm:BBQ_2456
ko:K15977	bpsm:BBQ_2458
ko:K02232	bpsm:BBQ_2459
ko:K02231	bpsm:BBQ_2460
ko:K02227	bpsm:BBQ_2461
ko:K02225	bpsm:BBQ_2462
ko:K02016	bpsm:BBQ_2463
ko:K01630	bpsm:BBQ_3252
ko:K01737	bpsm:BBQ_3253
ko:K06920	bpsm:BBQ_3255
ko:K03500	bpsm:BBQ_3260
ko:K03799	bpsm:BBQ_3261
ko:K00604	bpsm:BBQ_3263
ko:K01462	bpsm:BBQ_3264
ko:K04096	bpsm:BBQ_3265
ko:K00058	bpsm:BBQ_3269
ko:K12251	bpsm:BBQ_3292
ko:K02055	bpsm:BBQ_3294
ko:K03086	bpsm:BBQ_3298
ko:K01919	bpsm:BBQ_3299
ko:K01247	bpsm:BBQ_3300
ko:K10778	bpsm:BBQ_3301
ko:K08234	bpsm:BBQ_3303
ko:K00549	bpsm:BBQ_758
ko:K01256	bpsm:BBQ_759
ko:K01487	bpsm:BBQ_762
ko:K06901	bpsm:BBQ_763
ko:K07402	bpsm:BBQ_765
ko:K03611	bpsm:BBQ_766
ko:K02433	bpsm:BBQ_767
ko:K00126	bpsm:BBQ_772
ko:K00123	bpsm:BBQ_773
ko:K00124	bpsm:BBQ_774
ko:K00127	bpsm:BBQ_775
ko:K00568	bpsm:BBQ_780
ko:K03286	bpsm:BBQ_781
ko:K02469	bpsm:BBQ_782
ko:K09924	bpsm:BBQ_783
ko:K00831	bpsm:BBQ_784
ko:K14170	bpsm:BBQ_785
ko:K00800	bpsm:BBQ_786
ko:K00945	bpsm:BBQ_787
ko:K02945	bpsm:BBQ_788
ko:K05788	bpsm:BBQ_789
ko:K00012	bpsm:BBQ_792
ko:K03274	bpsm:BBQ_794
ko:K02237	bpsm:BBQ_795
ko:K12339	bpsm:BBQ_796
ko:K08305	bpsm:BBQ_797
ko:K02071	bpsm:BBQ_800
ko:K02072	bpsm:BBQ_801
ko:K02073	bpsm:BBQ_802
ko:K03521	bpsm:BBQ_803
ko:K03522	bpsm:BBQ_804
ko:K00285	bpsm:BBQ_806
ko:K03719	bpsm:BBQ_807
ko:K02959	bpsm:BBQ_811
ko:K00595	bpsm:BBQ_1619
ko:K02229	bpsm:BBQ_1620
ko:K06042	bpsm:BBQ_1621
ko:K03394	bpsm:BBQ_1622
ko:K13541	bpsm:BBQ_1623
ko:K01183	bpsm:BBQ_1624
ko:K06999	bpsm:BBQ_1626
ko:K13580	bpsm:BBQ_1627
ko:K03405	bpsm:BBQ_1628
ko:K02230	bpsm:BBQ_1629
ko:K02234	bpsm:BBQ_1630
ko:K07241	bpsm:BBQ_1631
ko:K02189	bpsm:BBQ_1632
ko:K02224	bpsm:BBQ_1634
ko:K02014	bpsm:BBQ_1636
ko:K10531	bpsm:BBQ_1637
ko:K06160	bpsm:BBQ_1640
ko:K02016	bpsm:BBQ_1642
ko:K13255	bpsm:BBQ_1643
ko:K02015	bpsm:BBQ_1644
ko:K02013	bpsm:BBQ_1645
ko:K03088	bpsm:BBQ_1648
ko:K00854	bpsm:BBQ_1650
ko:K00008	bpsm:BBQ_1651
ko:K10440	bpsm:BBQ_1652
ko:K10441	bpsm:BBQ_1653
ko:K10439	bpsm:BBQ_1654
ko:K07345	bpsm:BBQ_1660
ko:K07346	bpsm:BBQ_1661
ko:K07347	bpsm:BBQ_1662
ko:K07345	bpsm:BBQ_1663
ko:K18095	bpsm:BBQ_1666
ko:K18094	bpsm:BBQ_1667
ko:K18129	bpsm:BBQ_1668
ko:K02226	bpsm:BBQ_2465
ko:K02233	bpsm:BBQ_2466
ko:K00768	bpsm:BBQ_2467
ko:K02013	bpsm:BBQ_2468
ko:K02015	bpsm:BBQ_2469
ko:K16092	bpsm:BBQ_2470
ko:K09888	bpsm:BBQ_2472
ko:K13292	bpsm:BBQ_2475
ko:K01687	bpsm:BBQ_2477
ko:K08738	bpsm:BBQ_2478
ko:K02339	bpsm:BBQ_2480
ko:K01255	bpsm:BBQ_2481
ko:K07091	bpsm:BBQ_2482
ko:K11720	bpsm:BBQ_2483
ko:K02303	bpsm:BBQ_2485
ko:K00956	bpsm:BBQ_2486
ko:K00957	bpsm:BBQ_2487
ko:K00390	bpsm:BBQ_2488
ko:K00381	bpsm:BBQ_2490
ko:K13634	bpsm:BBQ_2491
ko:K03427	bpsm:BBQ_2496
ko:K01154	bpsm:BBQ_2497
ko:K01153	bpsm:BBQ_2499
ko:K01628	bpsm:BBQ_2507
ko:K01714	bpsm:BBQ_2508
ko:K07156	bpsm:BBQ_2513
ko:K06183	bpsm:BBQ_2514
ko:K02014	bpsm:BBQ_4282
ko:K07004	bpsm:BBQ_4287
ko:K03606	bpsm:BBQ_4298
ko:K00012	bpsm:BBQ_4299
ko:K01104	bpsm:BBQ_4300
ko:K01991	bpsm:BBQ_4301
ko:K16692	bpsm:BBQ_4302
ko:K03772	bpsm:BBQ_4309
ko:K07044	bpsm:BBQ_4310
ko:K00826	bpsm:BBQ_4322
ko:K04073	bpsm:BBQ_4324
ko:K01666	bpsm:BBQ_4325
ko:K03269	bpsm:BBQ_1084
ko:K03768	bpsm:BBQ_1085
ko:K03767	bpsm:BBQ_1086
ko:K01883	bpsm:BBQ_1088
ko:K01247	bpsm:BBQ_1089
ko:K01962	bpsm:BBQ_1090
ko:K04075	bpsm:BBQ_1091
ko:K00928	bpsm:BBQ_1092
ko:K00860	bpsm:BBQ_1099
ko:K03119	bpsm:BBQ_1105
ko:K00615	bpsm:BBQ_1109
ko:K00615	bpsm:BBQ_1110
ko:K00831	bpsm:BBQ_1113
ko:K00957	bpsm:BBQ_1115
ko:K01755	bpsm:BBQ_1118
ko:K01265	bpsm:BBQ_1120
ko:K05524	bpsm:BBQ_1122
ko:K03639	bpsm:BBQ_1123
ko:K00528	bpsm:BBQ_1124
ko:K00208	bpsm:BBQ_1127
ko:K13893	bpsm:BBQ_1128
ko:K13894	bpsm:BBQ_1129
ko:K13895	bpsm:BBQ_1130
ko:K13896	bpsm:BBQ_1131
ko:K07001	bpsm:BBQ_1133
ko:K01885	bpsm:BBQ_1134
ko:K11896	bpsm:BBQ_1932
ko:K04618	bpsm:BBQ_1934
ko:K05973	bpsm:BBQ_1952
ko:K16147	bpsm:BBQ_1953
ko:K05343	bpsm:BBQ_1954
ko:K00700	bpsm:BBQ_1955
ko:K01236	bpsm:BBQ_1957
ko:K00705	bpsm:BBQ_1958
ko:K06044	bpsm:BBQ_1959
ko:K00375	bpsm:BBQ_1962
ko:K06153	bpsm:BBQ_1981
ko:K01895	bpsm:BBQ_1985
ko:K07516	bpsm:BBQ_2778
ko:K08310	bpsm:BBQ_2782
ko:K01876	bpsm:BBQ_2783
ko:K03688	bpsm:BBQ_2787
ko:K03690	bpsm:BBQ_2788
ko:K03183	bpsm:BBQ_2790
ko:K01754	bpsm:BBQ_2794
ko:K06879	bpsm:BBQ_2795
ko:K06015	bpsm:BBQ_2797
ko:K01753	bpsm:BBQ_2799
ko:K05520	bpsm:BBQ_2800
ko:K01991	bpsm:BBQ_2808
ko:K03606	bpsm:BBQ_2809
ko:K01192	bpsm:BBQ_2816
ko:K11896	bpsm:BBQ_3628
ko:K11895	bpsm:BBQ_3629
ko:K11902	bpsm:BBQ_3630
ko:K11904	bpsm:BBQ_3635
ko:K11891	bpsm:BBQ_3637
ko:K11892	bpsm:BBQ_3638
ko:K11893	bpsm:BBQ_3639
ko:K11906	bpsm:BBQ_3640
ko:K11903	bpsm:BBQ_3641
ko:K11900	bpsm:BBQ_3642
ko:K11901	bpsm:BBQ_3643
ko:K11892	bpsm:BBQ_3645
ko:K07345	bpsm:BBQ_3646
ko:K07347	bpsm:BBQ_3647
ko:K15540	bpsm:BBQ_3648
ko:K07345	bpsm:BBQ_3649
ko:K02274	bpsm:BBQ_3655
ko:K03671	bpsm:BBQ_3658
ko:K11069	bpsm:BBQ_3667
ko:K11070	bpsm:BBQ_3668
ko:K11071	bpsm:BBQ_3669
ko:K01114	bpsm:BBQ_3674
ko:K10126	bpsm:BBQ_3679
ko:K10125	bpsm:BBQ_3680
ko:K03701	bpsm:BBQ_3685
ko:K03088	bpsm:BBQ_3686
ko:K08995	bpsm:BBQ_3688
ko:K07240	bpsm:BBQ_3691
ko:K08195	bpsm:BBQ_3696
ko:K01607	bpsm:BBQ_3697
ko:K01055	bpsm:BBQ_3698
ko:K01857	bpsm:BBQ_3699
ko:K01032	bpsm:BBQ_3700
ko:K01031	bpsm:BBQ_3701
ko:K00481	bpsm:BBQ_3702
ko:K01495	bpsm:BBQ_3704
ko:K00640	bpsm:BBQ_3706
ko:K01053	bpsm:BBQ_3709
ko:K05596	bpsm:BBQ_3714
ko:K06895	bpsm:BBQ_3715
ko:K09930	bpsm:BBQ_3719
ko:K01574	bpsm:BBQ_3727
ko:K00019	bpsm:BBQ_3728
ko:K07001	bpsm:BBQ_3729
ko:K00799	bpsm:BBQ_3731
ko:K16135	bpsm:BBQ_3733
ko:K07246	bpsm:BBQ_3734
ko:K09958	bpsm:BBQ_3736
ko:K00060	bpsm:BBQ_3739
ko:K00639	bpsm:BBQ_3740
ko:K00537	bpsm:BBQ_3750
ko:K03088	bpsm:BBQ_3752
ko:K03410	bpsm:BBQ_3756
ko:K06045	bpsm:BBQ_3760
ko:K10036	bpsm:BBQ_3762
ko:K10037	bpsm:BBQ_3763
ko:K10038	bpsm:BBQ_3764
ko:K01607	bpsm:BBQ_3767
ko:K04754	bpsm:BBQ_3768
ko:K07003	bpsm:BBQ_3769
ko:K02003	bpsm:BBQ_3774
ko:K02004	bpsm:BBQ_3775
ko:K02480	bpsm:BBQ_3785
ko:K03825	bpsm:BBQ_3790
ko:K01426	bpsm:BBQ_3792
ko:K05366	bpsm:BBQ_3797
ko:K07002	bpsm:BBQ_3807
ko:K03119	bpsm:BBQ_3810
ko:K03556	bpsm:BBQ_3813
ko:K00666	bpsm:BBQ_3814
ko:K13993	bpsm:BBQ_3816
ko:K07028	bpsm:BBQ_3821
ko:K03333	bpsm:BBQ_3826
ko:K00166	bpsm:BBQ_3831
ko:K00167	bpsm:BBQ_3832
ko:K09699	bpsm:BBQ_3833
ko:K00382	bpsm:BBQ_3834
ko:K06133	bpsm:BBQ_3839
ko:K00240	bpsm:BBQ_3843
ko:K01613	bpsm:BBQ_3844
ko:K06147	bpsm:BBQ_3846
ko:K00612	bpsm:BBQ_3851
