ko:K14229	hpyc:HPOKI112_00055
ko:K01783	hpyc:HPOKI112_07875
ko:K03841	hpyc:HPOKI112_07880
ko:K02357	hpyc:HPOKI112_07900
ko:K02967	hpyc:HPOKI112_07905
ko:K02406	hpyc:HPOKI112_00865
ko:K03168	hpyc:HPOKI112_00870
ko:K01868	hpyc:HPOKI112_00900
ko:K02520	hpyc:HPOKI112_00905
ko:K02916	hpyc:HPOKI112_00910
ko:K02887	hpyc:HPOKI112_00915
ko:K01752	hpyc:HPOKI112_00940
ko:K03837	hpyc:HPOKI112_00945
ko:K01626	hpyc:HPOKI112_00955
ko:K03564	hpyc:HPOKI112_00970
ko:K00782	hpyc:HPOKI112_00975
ko:K18929	hpyc:HPOKI112_00980
ko:K18928	hpyc:HPOKI112_00985
ko:K03303	hpyc:HPOKI112_00990
ko:K03303	hpyc:HPOKI112_00995
ko:K03575	hpyc:HPOKI112_01000
ko:K09477	hpyc:HPOKI112_01005
ko:K00404	hpyc:HPOKI112_01010
ko:K00405	hpyc:HPOKI112_01015
ko:K00407	hpyc:HPOKI112_01020
ko:K00406	hpyc:HPOKI112_01025
ko:K11785	hpyc:HPOKI112_01055
ko:K01689	hpyc:HPOKI112_01065
ko:K00891	hpyc:HPOKI112_01080
ko:K07126	hpyc:HPOKI112_01095
ko:K01698	hpyc:HPOKI112_01115
ko:K02484	hpyc:HPOKI112_01120
ko:K08303	hpyc:HPOKI112_01140
ko:K03496	hpyc:HPOKI112_05280
ko:K19157	hpyc:HPOKI112_05305
ko:K03205	hpyc:HPOKI112_05310
ko:K12048	hpyc:HPOKI112_05350
ko:K03204	hpyc:HPOKI112_05355
ko:K03168	hpyc:HPOKI112_05365
ko:K01585	hpyc:HPOKI112_05450
ko:K15257	hpyc:HPOKI112_05465
ko:K01772	hpyc:HPOKI112_05470
ko:K01874	hpyc:HPOKI112_05475
ko:K00574	hpyc:HPOKI112_05480
ko:K16052	hpyc:HPOKI112_05485
ko:K15846	hpyc:HPOKI112_05520
ko:K01951	hpyc:HPOKI112_05525
ko:K02483	hpyc:HPOKI112_00430
ko:K04485	hpyc:HPOKI112_01415
ko:K12267	hpyc:HPOKI112_01420
ko:K07090	hpyc:HPOKI112_01425
ko:K03321	hpyc:HPOKI112_01435
ko:K00979	hpyc:HPOKI112_01450
ko:K03981	hpyc:HPOKI112_01455
ko:K07126	hpyc:HPOKI112_01475
ko:K01749	hpyc:HPOKI112_01485
ko:K01881	hpyc:HPOKI112_01490
ko:K02492	hpyc:HPOKI112_01495
ko:K02523	hpyc:HPOKI112_01500
ko:K04047	hpyc:HPOKI112_01515
ko:K07710	hpyc:HPOKI112_01520
ko:K02394	hpyc:HPOKI112_01530
ko:K05592	hpyc:HPOKI112_01535
ko:K13896	hpyc:HPOKI112_01550
ko:K13895	hpyc:HPOKI112_01555
ko:K01939	hpyc:HPOKI112_01575
ko:K11749	hpyc:HPOKI112_01590
ko:K03601	hpyc:HPOKI112_01595
ko:K03695	hpyc:HPOKI112_01610
ko:K06196	hpyc:HPOKI112_01615
ko:K01465	hpyc:HPOKI112_01620
ko:K06168	hpyc:HPOKI112_01635
ko:K09778	hpyc:HPOKI112_01640
ko:K06940	hpyc:HPOKI112_01660
ko:K01609	hpyc:HPOKI112_01670
ko:K01524	hpyc:HPOKI112_01680
ko:K07126	hpyc:HPOKI112_05800
ko:K01625	hpyc:HPOKI112_05805
ko:K01690	hpyc:HPOKI112_05810
ko:K00036	hpyc:HPOKI112_05815
ko:K01057	hpyc:HPOKI112_05820
ko:K00845	hpyc:HPOKI112_05825
ko:K13979	hpyc:HPOKI112_05830
ko:K00172	hpyc:HPOKI112_05855
ko:K00171	hpyc:HPOKI112_05860
ko:K00169	hpyc:HPOKI112_05865
ko:K00170	hpyc:HPOKI112_05870
ko:K01756	hpyc:HPOKI112_05875
ko:K03702	hpyc:HPOKI112_05885
ko:K07126	hpyc:HPOKI112_05915
ko:K00681	hpyc:HPOKI112_05920
ko:K02396	hpyc:HPOKI112_05925
ko:K03775	hpyc:HPOKI112_05950
ko:K03640	hpyc:HPOKI112_05960
ko:K03641	hpyc:HPOKI112_05965
ko:K03559	hpyc:HPOKI112_05975
ko:K02114	hpyc:HPOKI112_05985
ko:K02112	hpyc:HPOKI112_05990
ko:K02115	hpyc:HPOKI112_05995
ko:K02111	hpyc:HPOKI112_06000
ko:K02113	hpyc:HPOKI112_06005
ko:K02109	hpyc:HPOKI112_06010
ko:K02109	hpyc:HPOKI112_06015
ko:K03497	hpyc:HPOKI112_06020
ko:K03496	hpyc:HPOKI112_06025
ko:K03524	hpyc:HPOKI112_06030
ko:K00604	hpyc:HPOKI112_06035
ko:K03296	hpyc:HPOKI112_04005
ko:K07447	hpyc:HPOKI112_01975
ko:K07126	hpyc:HPOKI112_01985
ko:K06180	hpyc:HPOKI112_02000
ko:K07462	hpyc:HPOKI112_02005
ko:K01937	hpyc:HPOKI112_02010
ko:K02409	hpyc:HPOKI112_02020
ko:K02410	hpyc:HPOKI112_02025
ko:K02411	hpyc:HPOKI112_02030
ko:K01662	hpyc:HPOKI112_02035
ko:K03596	hpyc:HPOKI112_02040
ko:K02392	hpyc:HPOKI112_02060
ko:K03761	hpyc:HPOKI112_02065
ko:K03466	hpyc:HPOKI112_02075
ko:K00615	hpyc:HPOKI112_02085
ko:K11753	hpyc:HPOKI112_02090
ko:K06442	hpyc:HPOKI112_02095
ko:K00609	hpyc:HPOKI112_02105
ko:K11085	hpyc:HPOKI112_02115
ko:K07241	hpyc:HPOKI112_02140
ko:K17686	hpyc:HPOKI112_02165
ko:K17103	hpyc:HPOKI112_02170
ko:K03798	hpyc:HPOKI112_02180
ko:K02687	hpyc:HPOKI112_02185
ko:K03413	hpyc:HPOKI112_02190
ko:K06950	hpyc:HPOKI112_02210
ko:K03501	hpyc:HPOKI112_02215
ko:K07568	hpyc:HPOKI112_02220
ko:K03118	hpyc:HPOKI112_02225
ko:K03117	hpyc:HPOKI112_02230
ko:K03551	hpyc:HPOKI112_02235
ko:K00606	hpyc:HPOKI112_02240
ko:K02950	hpyc:HPOKI112_06320
ko:K13797	hpyc:HPOKI112_06325
ko:K02935	hpyc:HPOKI112_06335
ko:K02864	hpyc:HPOKI112_06340
ko:K02863	hpyc:HPOKI112_06345
ko:K02867	hpyc:HPOKI112_06350
ko:K02601	hpyc:HPOKI112_06355
ko:K03073	hpyc:HPOKI112_06360
ko:K02913	hpyc:HPOKI112_06370
ko:K02358	hpyc:HPOKI112_06375
ko:K07318	hpyc:HPOKI112_06410
ko:K02110	hpyc:HPOKI112_06435
ko:K00962	hpyc:HPOKI112_06440
ko:K04744	hpyc:HPOKI112_06450
ko:K01945	hpyc:HPOKI112_06460
ko:K01990	hpyc:HPOKI112_06485
ko:K00806	hpyc:HPOKI112_06490
ko:K18930	hpyc:HPOKI112_06495
ko:K01719	hpyc:HPOKI112_06505
ko:K06199	hpyc:HPOKI112_06510
ko:K08311	hpyc:HPOKI112_06525
ko:K00928	hpyc:HPOKI112_06530
ko:K02341	hpyc:HPOKI112_06540
ko:K00796	hpyc:HPOKI112_06545
ko:K09804	hpyc:HPOKI112_06565
ko:K01956	hpyc:HPOKI112_06570
ko:K01455	hpyc:HPOKI112_06575
ko:K08602	hpyc:HPOKI112_02530
ko:K03455	hpyc:HPOKI112_02535
ko:K02020	hpyc:HPOKI112_02545
ko:K02018	hpyc:HPOKI112_02550
ko:K02017	hpyc:HPOKI112_02555
ko:K01885	hpyc:HPOKI112_02560
ko:K06207	hpyc:HPOKI112_02580
ko:K03781	hpyc:HPOKI112_02615
ko:K01159	hpyc:HPOKI112_02645
ko:K02014	hpyc:HPOKI112_02650
ko:K03781	hpyc:HPOKI112_02655
ko:K06193	hpyc:HPOKI112_02670
ko:K01521	hpyc:HPOKI112_02675
ko:K02390	hpyc:HPOKI112_02680
ko:K04651	hpyc:HPOKI112_02685
ko:K00748	hpyc:HPOKI112_02695
ko:K03624	hpyc:HPOKI112_02700
ko:K03525	hpyc:HPOKI112_02720
ko:K09792	hpyc:HPOKI112_02725
ko:K03273	hpyc:HPOKI112_02730
ko:K03274	hpyc:HPOKI112_02735
ko:K03272	hpyc:HPOKI112_02740
ko:K03271	hpyc:HPOKI112_02745
ko:K00364	hpyc:HPOKI112_02755
ko:K09805	hpyc:HPOKI112_02765
ko:K03427	hpyc:HPOKI112_02775
ko:K01154	hpyc:HPOKI112_02780
ko:K01153	hpyc:HPOKI112_02785
ko:K03811	hpyc:HPOKI112_06845
ko:K00949	hpyc:HPOKI112_06850
ko:K02879	hpyc:HPOKI112_06860
ko:K03040	hpyc:HPOKI112_06865
ko:K02986	hpyc:HPOKI112_06870
ko:K02948	hpyc:HPOKI112_06875
ko:K02952	hpyc:HPOKI112_06880
ko:K02518	hpyc:HPOKI112_06885
ko:K01265	hpyc:HPOKI112_06890
ko:K03076	hpyc:HPOKI112_06895
ko:K02876	hpyc:HPOKI112_06900
ko:K02988	hpyc:HPOKI112_06905
ko:K02881	hpyc:HPOKI112_06910
ko:K02933	hpyc:HPOKI112_06915
ko:K02994	hpyc:HPOKI112_06920
ko:K02954	hpyc:HPOKI112_06925
ko:K02931	hpyc:HPOKI112_06930
ko:K02895	hpyc:HPOKI112_06935
ko:K02874	hpyc:HPOKI112_06940
ko:K02961	hpyc:HPOKI112_06945
ko:K02904	hpyc:HPOKI112_06950
ko:K02878	hpyc:HPOKI112_06955
ko:K02982	hpyc:HPOKI112_06960
ko:K02890	hpyc:HPOKI112_06965
ko:K02965	hpyc:HPOKI112_06970
ko:K02886	hpyc:HPOKI112_06975
ko:K02892	hpyc:HPOKI112_06980
ko:K02926	hpyc:HPOKI112_06985
ko:K02906	hpyc:HPOKI112_06990
ko:K02946	hpyc:HPOKI112_06995
ko:K07133	hpyc:HPOKI112_07000
ko:K03470	hpyc:HPOKI112_07010
ko:K01679	hpyc:HPOKI112_07020
ko:K07787	hpyc:HPOKI112_07040
ko:K03686	hpyc:HPOKI112_07055
ko:K00566	hpyc:HPOKI112_07065
ko:K00969	hpyc:HPOKI112_07075
ko:K07722	hpyc:HPOKI112_07080
ko:K03561	hpyc:HPOKI112_07085
ko:K03559	hpyc:HPOKI112_07090
ko:K03832	hpyc:HPOKI112_07095
ko:K03625	hpyc:HPOKI112_00005
ko:K00794	hpyc:HPOKI112_00010
ko:K01627	hpyc:HPOKI112_00015
ko:K01673	hpyc:HPOKI112_00020
ko:K01591	hpyc:HPOKI112_00025
ko:K01918	hpyc:HPOKI112_00030
ko:K15845	hpyc:HPOKI112_00065
ko:K04077	hpyc:HPOKI112_00070
ko:K04078	hpyc:HPOKI112_00075
ko:K00566	hpyc:HPOKI112_00090
ko:K09859	hpyc:HPOKI112_00115
ko:K03415	hpyc:HPOKI112_00120
ko:K13747	hpyc:HPOKI112_00125
ko:K12977	hpyc:HPOKI112_00130
ko:K01647	hpyc:HPOKI112_00160
ko:K00031	hpyc:HPOKI112_00165
ko:K01935	hpyc:HPOKI112_00175
ko:K06891	hpyc:HPOKI112_00190
ko:K03694	hpyc:HPOKI112_00195
ko:K01579	hpyc:HPOKI112_00200
ko:K09747	hpyc:HPOKI112_00205
ko:K12051	hpyc:HPOKI112_00220
ko:K12050	hpyc:HPOKI112_00225
ko:K12049	hpyc:HPOKI112_00230
ko:K12048	hpyc:HPOKI112_00235
ko:K00971	hpyc:HPOKI112_00240
ko:K01711	hpyc:HPOKI112_00245
ko:K02377	hpyc:HPOKI112_00250
ko:K04655	hpyc:HPOKI112_00260
ko:K04656	hpyc:HPOKI112_00265
ko:K03279	hpyc:HPOKI112_00285
ko:K12095	hpyc:HPOKI112_04410
ko:K12094	hpyc:HPOKI112_04415
ko:K12093	hpyc:HPOKI112_04420
ko:K12092	hpyc:HPOKI112_04425
ko:K12091	hpyc:HPOKI112_04435
ko:K03196	hpyc:HPOKI112_04440
ko:K12090	hpyc:HPOKI112_04445
ko:K12088	hpyc:HPOKI112_04455
ko:K12086	hpyc:HPOKI112_04465
ko:K07126	hpyc:HPOKI112_04470
ko:K03667	hpyc:HPOKI112_04485
ko:K01419	hpyc:HPOKI112_04490
ko:K02939	hpyc:HPOKI112_04495
ko:K01915	hpyc:HPOKI112_04510
ko:K00215	hpyc:HPOKI112_04525
ko:K00104	hpyc:HPOKI112_04530
ko:K08077	hpyc:HPOKI112_04540
ko:K02470	hpyc:HPOKI112_04555
ko:K02338	hpyc:HPOKI112_04560
ko:K01058	hpyc:HPOKI112_04565
ko:K03308	hpyc:HPOKI112_04570
ko:K03308	hpyc:HPOKI112_04575
ko:K07107	hpyc:HPOKI112_04580
ko:K01925	hpyc:HPOKI112_04590
ko:K01000	hpyc:HPOKI112_04595
ko:K15846	hpyc:HPOKI112_04600
ko:K02902	hpyc:HPOKI112_04605
ko:K10716	hpyc:HPOKI112_04615
ko:K03550	hpyc:HPOKI112_04640
ko:K03980	hpyc:HPOKI112_04650
ko:K01883	hpyc:HPOKI112_04655
ko:K02013	hpyc:HPOKI112_04675
ko:K02015	hpyc:HPOKI112_04680
ko:K07501	hpyc:HPOKI112_03595
ko:K07501	hpyc:HPOKI112_03610
ko:K04759	hpyc:HPOKI112_03615
ko:K16091	hpyc:HPOKI112_03620
ko:K02419	hpyc:HPOKI112_03625
ko:K04042	hpyc:HPOKI112_03630
ko:K13016	hpyc:HPOKI112_03660
ko:K07090	hpyc:HPOKI112_03665
ko:K00567	hpyc:HPOKI112_03670
ko:K04763	hpyc:HPOKI112_03675
ko:K00812	hpyc:HPOKI112_03690
ko:K01736	hpyc:HPOKI112_03725
ko:K03685	hpyc:HPOKI112_03730
ko:K03469	hpyc:HPOKI112_03735
ko:K02434	hpyc:HPOKI112_03750
ko:K11784	hpyc:HPOKI112_03760
ko:K07277	hpyc:HPOKI112_03765
ko:K18285	hpyc:HPOKI112_03770
ko:K02217	hpyc:HPOKI112_03775
ko:K01079	hpyc:HPOKI112_03780
ko:K01744	hpyc:HPOKI112_03795
ko:K00790	hpyc:HPOKI112_03800
ko:K00963	hpyc:HPOKI112_03810
ko:K08309	hpyc:HPOKI112_03815
ko:K02221	hpyc:HPOKI112_03820
ko:K01885	hpyc:HPOKI112_03825
ko:K00970	hpyc:HPOKI112_03845
ko:K06920	hpyc:HPOKI112_03850
ko:K03313	hpyc:HPOKI112_07920
ko:K03210	hpyc:HPOKI112_07925
ko:K03072	hpyc:HPOKI112_07930
ko:K03074	hpyc:HPOKI112_07935
ko:K01869	hpyc:HPOKI112_07945
ko:K11754	hpyc:HPOKI112_07955
ko:K03723	hpyc:HPOKI112_07975
ko:K00411	hpyc:HPOKI112_07980
ko:K00412	hpyc:HPOKI112_07985
ko:K00413	hpyc:HPOKI112_07990
ko:K03587	hpyc:HPOKI112_08015
ko:K02408	hpyc:HPOKI112_08020
ko:K02388	hpyc:HPOKI112_08025
ko:K02387	hpyc:HPOKI112_08030
ko:K02016	hpyc:HPOKI112_08040
ko:K02016	hpyc:HPOKI112_08045
ko:K03386	hpyc:HPOKI112_08050
ko:K02073	hpyc:HPOKI112_08055
ko:K05515	hpyc:HPOKI112_08060
ko:K03978	hpyc:HPOKI112_08070
ko:K09774	hpyc:HPOKI112_08075
ko:K03270	hpyc:HPOKI112_08085
ko:K03642	hpyc:HPOKI112_08090
ko:K08307	hpyc:HPOKI112_08095
ko:K03424	hpyc:HPOKI112_08100
ko:K00793	hpyc:HPOKI112_08105
ko:K04061	hpyc:HPOKI112_08110
ko:K02071	hpyc:HPOKI112_08115
ko:K02072	hpyc:HPOKI112_08120
ko:K03474	hpyc:HPOKI112_08140
ko:K00097	hpyc:HPOKI112_08145
ko:K01409	hpyc:HPOKI112_08155
ko:K02392	hpyc:HPOKI112_08160
ko:K03190	hpyc:HPOKI112_00590
ko:K03189	hpyc:HPOKI112_00595
ko:K03188	hpyc:HPOKI112_00600
ko:K03187	hpyc:HPOKI112_00605
ko:K03191	hpyc:HPOKI112_00610
ko:K01428	hpyc:HPOKI112_00620
ko:K14048	hpyc:HPOKI112_00625
ko:K03101	hpyc:HPOKI112_00635
ko:K03431	hpyc:HPOKI112_00640
ko:K02968	hpyc:HPOKI112_00645
ko:K02835	hpyc:HPOKI112_00650
ko:K03406	hpyc:HPOKI112_00685
ko:K02996	hpyc:HPOKI112_00695
ko:K02871	hpyc:HPOKI112_00700
ko:K00116	hpyc:HPOKI112_00710
ko:K03086	hpyc:HPOKI112_00720
ko:K18284	hpyc:HPOKI112_00725
ko:K09805	hpyc:HPOKI112_00740
ko:K01733	hpyc:HPOKI112_00775
ko:K03406	hpyc:HPOKI112_00780
ko:K09765	hpyc:HPOKI112_00785
ko:K03406	hpyc:HPOKI112_00800
ko:K01119	hpyc:HPOKI112_00810
ko:K07173	hpyc:HPOKI112_00815
ko:K01760	hpyc:HPOKI112_00820
ko:K01738	hpyc:HPOKI112_00825
ko:K04043	hpyc:HPOKI112_00835
ko:K03687	hpyc:HPOKI112_00840
ko:K03705	hpyc:HPOKI112_00845
ko:K01628	hpyc:HPOKI112_00850
ko:K00783	hpyc:HPOKI112_05015
ko:K01963	hpyc:HPOKI112_05020
ko:K03743	hpyc:HPOKI112_05030
ko:K13292	hpyc:HPOKI112_05045
ko:K06179	hpyc:HPOKI112_05050
ko:K02527	hpyc:HPOKI112_05055
ko:K07164	hpyc:HPOKI112_05060
ko:K00057	hpyc:HPOKI112_05075
ko:K15726	hpyc:HPOKI112_05105
ko:K01879	hpyc:HPOKI112_05120
ko:K15633	hpyc:HPOKI112_05130
ko:K02435	hpyc:HPOKI112_05135
ko:K00833	hpyc:HPOKI112_05140
ko:K03770	hpyc:HPOKI112_05145
ko:K03590	hpyc:HPOKI112_05150
ko:K03531	hpyc:HPOKI112_05155
ko:K03442	hpyc:HPOKI112_05175
ko:K01465	hpyc:HPOKI112_04140
ko:K01491	hpyc:HPOKI112_04160
ko:K03100	hpyc:HPOKI112_04165
ko:K01808	hpyc:HPOKI112_04175
ko:K00759	hpyc:HPOKI112_04185
ko:K01255	hpyc:HPOKI112_04195
ko:K06942	hpyc:HPOKI112_04200
ko:K01778	hpyc:HPOKI112_04215
ko:K02970	hpyc:HPOKI112_04235
ko:K00059	hpyc:HPOKI112_04240
ko:K02078	hpyc:HPOKI112_04245
ko:K09458	hpyc:HPOKI112_04255
ko:K01962	hpyc:HPOKI112_04260
ko:K03218	hpyc:HPOKI112_04285
ko:K07056	hpyc:HPOKI112_04290
ko:K02909	hpyc:HPOKI112_04295
ko:K03628	hpyc:HPOKI112_04300
ko:K01776	hpyc:HPOKI112_04305
ko:K15842	hpyc:HPOKI112_04315
ko:K12110	hpyc:HPOKI112_04325
ko:K12109	hpyc:HPOKI112_04330
ko:K12108	hpyc:HPOKI112_04335
ko:K12107	hpyc:HPOKI112_04340
ko:K12105	hpyc:HPOKI112_04350
ko:K12104	hpyc:HPOKI112_04355
ko:K12103	hpyc:HPOKI112_04360
ko:K12102	hpyc:HPOKI112_04365
ko:K12101	hpyc:HPOKI112_04370
ko:K12098	hpyc:HPOKI112_04395
ko:K12097	hpyc:HPOKI112_04400
ko:K12096	hpyc:HPOKI112_04405
ko:K03605	hpyc:HPOKI112_03875
ko:K03620	hpyc:HPOKI112_03880
ko:K05922	hpyc:HPOKI112_03885
ko:K05927	hpyc:HPOKI112_03890
ko:K03923	hpyc:HPOKI112_03895
ko:K07126	hpyc:HPOKI112_03910
ko:K00674	hpyc:HPOKI112_03915
ko:K03526	hpyc:HPOKI112_03920
ko:K01924	hpyc:HPOKI112_03930
ko:K07456	hpyc:HPOKI112_03940
ko:K01507	hpyc:HPOKI112_03945
ko:K07270	hpyc:HPOKI112_03955
ko:K00939	hpyc:HPOKI112_03960
ko:K01876	hpyc:HPOKI112_03965
ko:K03415	hpyc:HPOKI112_03970
ko:K01972	hpyc:HPOKI112_03975
ko:K01992	hpyc:HPOKI112_03990
ko:K01599	hpyc:HPOKI112_04020
ko:K07457	hpyc:HPOKI112_04030
ko:K02406	hpyc:HPOKI112_04035
ko:K00652	hpyc:HPOKI112_04050
ko:K05366	hpyc:HPOKI112_04055
ko:K03611	hpyc:HPOKI112_04070
ko:K00177	hpyc:HPOKI112_04085
ko:K00175	hpyc:HPOKI112_04090
ko:K00174	hpyc:HPOKI112_04095
ko:K00176	hpyc:HPOKI112_04100
ko:K07082	hpyc:HPOKI112_04105
ko:K10773	hpyc:HPOKI112_04120
ko:K02417	hpyc:HPOKI112_04125
ko:K02836	hpyc:HPOKI112_01150
ko:K03750	hpyc:HPOKI112_01155
ko:K02421	hpyc:HPOKI112_01160
ko:K01624	hpyc:HPOKI112_01180
ko:K02356	hpyc:HPOKI112_01185
ko:K15898	hpyc:HPOKI112_01195
ko:K02003	hpyc:HPOKI112_01200
ko:K03820	hpyc:HPOKI112_01205
ko:K03558	hpyc:HPOKI112_01210
ko:K04567	hpyc:HPOKI112_01215
ko:K00600	hpyc:HPOKI112_01220
ko:K00245	hpyc:HPOKI112_01245
ko:K00244	hpyc:HPOKI112_01250
ko:K00246	hpyc:HPOKI112_01255
ko:K01803	hpyc:HPOKI112_01260
ko:K00208	hpyc:HPOKI112_01265
ko:K02536	hpyc:HPOKI112_01270
ko:K00789	hpyc:HPOKI112_01275
