ko:K19504	seno:AU37_22215
ko:K00848	seno:AU37_19850
ko:K02855	seno:AU37_19855
ko:K02854	seno:AU37_19860
ko:K02856	seno:AU37_19865
ko:K04564	seno:AU37_19890
ko:K07640	seno:AU37_19910
ko:K06006	seno:AU37_19920
ko:K13283	seno:AU37_19925
ko:K00850	seno:AU37_19930
ko:K02048	seno:AU37_19935
ko:K01521	seno:AU37_19940
ko:K00847	seno:AU37_19950
ko:K11216	seno:AU37_19980
ko:K11531	seno:AU37_19985
ko:K10558	seno:AU37_19990
ko:K10556	seno:AU37_19995
ko:K10557	seno:AU37_20000
ko:K10555	seno:AU37_20005
ko:K08321	seno:AU37_20010
ko:K11530	seno:AU37_20015
ko:K01783	seno:AU37_20020
ko:K01803	seno:AU37_20025
ko:K00528	seno:AU37_20040
ko:K02446	seno:AU37_20045
ko:K00864	seno:AU37_20050
ko:K02440	seno:AU37_20055
ko:K09892	seno:AU37_20060
ko:K02553	seno:AU37_20065
ko:K02548	seno:AU37_20070
ko:K01154	seno:AU37_22110
ko:K03427	seno:AU37_22115
ko:K03427	seno:AU37_22140
ko:K09803	seno:AU37_22160
ko:K01002	seno:AU37_22225
ko:K02317	seno:AU37_22240
ko:K13255	seno:AU37_22270
ko:K00564	seno:AU37_22300
ko:K02344	seno:AU37_22305
ko:K03789	seno:AU37_22310
ko:K08723	seno:AU37_22315
ko:K02837	seno:AU37_22320
ko:K04065	seno:AU37_22325
ko:K03424	seno:AU37_22340
ko:K01619	seno:AU37_22355
ko:K00758	seno:AU37_22360
ko:K01839	seno:AU37_22365
ko:K03784	seno:AU37_22370
ko:K03800	seno:AU37_22380
ko:K07186	seno:AU37_22385
ko:K01079	seno:AU37_22390
ko:K04485	seno:AU37_22395
ko:K01953	seno:AU37_03315
ko:K02566	seno:AU37_03320
ko:K02565	seno:AU37_03325
ko:K01443	seno:AU37_03330
ko:K02564	seno:AU37_03335
ko:K02802	seno:AU37_03340
ko:K02803	seno:AU37_03340
ko:K02804	seno:AU37_03340
ko:K01886	seno:AU37_03345
ko:K03288	seno:AU37_03360
ko:K13795	seno:AU37_03365
ko:K13796	seno:AU37_03370
ko:K13794	seno:AU37_03375
ko:K03711	seno:AU37_03380
ko:K03839	seno:AU37_03385
ko:K03645	seno:AU37_03400
ko:K01835	seno:AU37_03405
ko:K03756	seno:AU37_03415
ko:K01581	seno:AU37_03420
ko:K07667	seno:AU37_03430
ko:K07646	seno:AU37_03435
ko:K01548	seno:AU37_03440
ko:K01547	seno:AU37_03445
ko:K01546	seno:AU37_03450
ko:K01669	seno:AU37_03465
ko:K03305	seno:AU37_03470
ko:K07160	seno:AU37_03490
ko:K05522	seno:AU37_03495
ko:K07120	seno:AU37_03500
ko:K01647	seno:AU37_03505
ko:K00241	seno:AU37_03510
ko:K00242	seno:AU37_03515
ko:K00239	seno:AU37_03520
ko:K00240	seno:AU37_03525
ko:K00164	seno:AU37_03530
ko:K00658	seno:AU37_03535
ko:K01903	seno:AU37_03540
ko:K01902	seno:AU37_03545
ko:K00425	seno:AU37_03560
ko:K00426	seno:AU37_03565
ko:K07107	seno:AU37_03580
ko:K03562	seno:AU37_03585
ko:K03560	seno:AU37_03590
ko:K03646	seno:AU37_03595
ko:K03641	seno:AU37_03600
ko:K03640	seno:AU37_03605
ko:K00657	seno:AU37_08000
ko:K07309	seno:AU37_08015
ko:K07310	seno:AU37_08020
ko:K07307	seno:AU37_08025
ko:K07312	seno:AU37_08030
ko:K05846	seno:AU37_08040
ko:K05845	seno:AU37_08045
ko:K05846	seno:AU37_08050
ko:K05847	seno:AU37_08055
ko:K03281	seno:AU37_08060
ko:K01935	seno:AU37_08065
ko:K15545	seno:AU37_08070
ko:K08224	seno:AU37_08080
ko:K04775	seno:AU37_08095
ko:K11742	seno:AU37_08100
ko:K11743	seno:AU37_08105
ko:K11744	seno:AU37_08115
ko:K00325	seno:AU37_08120
ko:K00324	seno:AU37_08125
ko:K03758	seno:AU37_08135
ko:K07661	seno:AU37_08145
ko:K14062	seno:AU37_08155
ko:K07639	seno:AU37_08165
ko:K10748	seno:AU37_08170
ko:K01679	seno:AU37_08175
ko:K01676	seno:AU37_08180
ko:K01809	seno:AU37_08185
ko:K01488	seno:AU37_08200
ko:K03617	seno:AU37_08225
ko:K03616	seno:AU37_08230
ko:K03615	seno:AU37_08235
ko:K03614	seno:AU37_08240
ko:K03612	seno:AU37_08245
ko:K03613	seno:AU37_08250
ko:K10773	seno:AU37_08255
ko:K03305	seno:AU37_08260
ko:K00799	seno:AU37_08265
ko:K00868	seno:AU37_08270
ko:K01866	seno:AU37_08275
ko:K00275	seno:AU37_08280
ko:K03500	seno:AU37_16715
ko:K03499	seno:AU37_16720
ko:K03282	seno:AU37_16725
ko:K02879	seno:AU37_16740
ko:K03040	seno:AU37_16745
ko:K02986	seno:AU37_16750
ko:K02948	seno:AU37_16755
ko:K02952	seno:AU37_16760
ko:K03076	seno:AU37_16765
ko:K02876	seno:AU37_16770
ko:K02907	seno:AU37_16775
ko:K02988	seno:AU37_16780
ko:K02881	seno:AU37_16785
ko:K02933	seno:AU37_16790
ko:K02994	seno:AU37_16795
ko:K02954	seno:AU37_16800
ko:K02931	seno:AU37_16805
ko:K02895	seno:AU37_16810
ko:K02874	seno:AU37_16815
ko:K02961	seno:AU37_16820
ko:K02904	seno:AU37_16825
ko:K02878	seno:AU37_16830
ko:K02982	seno:AU37_16835
ko:K02890	seno:AU37_16840
ko:K02965	seno:AU37_16845
ko:K02886	seno:AU37_16850
ko:K02892	seno:AU37_16855
ko:K02926	seno:AU37_16860
ko:K02906	seno:AU37_16865
ko:K02946	seno:AU37_16870
ko:K02506	seno:AU37_16875
ko:K03594	seno:AU37_16880
ko:K02192	seno:AU37_16885
ko:K02358	seno:AU37_16890
ko:K02355	seno:AU37_16895
ko:K02992	seno:AU37_16900
ko:K02950	seno:AU37_16905
ko:K07237	seno:AU37_16910
ko:K07236	seno:AU37_16915
ko:K07235	seno:AU37_16920
ko:K03772	seno:AU37_16930
ko:K03745	seno:AU37_16935
ko:K03775	seno:AU37_16940
ko:K07070	seno:AU37_16945
ko:K11747	seno:AU37_16950
ko:K11748	seno:AU37_16955
ko:K06158	seno:AU37_16960
ko:K07019	seno:AU37_16975
ko:K09898	seno:AU37_16980
ko:K01972	seno:AU37_18375
ko:K00942	seno:AU37_18380
ko:K03060	seno:AU37_18385
ko:K00556	seno:AU37_18395
ko:K03655	seno:AU37_18400
ko:K03312	seno:AU37_18405
ko:K16345	seno:AU37_18410
ko:K01811	seno:AU37_18420
ko:K03292	seno:AU37_18425
ko:K12678	seno:AU37_18465
ko:K01531	seno:AU37_18495
ko:K07507	seno:AU37_18500
ko:K17463	seno:AU37_18515
ko:K17468	seno:AU37_18520
ko:K17467	seno:AU37_18525
ko:K17466	seno:AU37_18530
ko:K17465	seno:AU37_18535
ko:K17464	seno:AU37_18540
ko:K17473	seno:AU37_18545
ko:K01223	seno:AU37_18555
ko:K07726	seno:AU37_18570
ko:K07784	seno:AU37_18585
ko:K07783	seno:AU37_18590
ko:K07675	seno:AU37_18595
ko:K02429	seno:AU37_18610
ko:K00852	seno:AU37_18615
ko:K11534	seno:AU37_18620
ko:K01653	seno:AU37_18625
ko:K01652	seno:AU37_18630
ko:K08154	seno:AU37_18645
ko:K13636	seno:AU37_18655
ko:K13629	seno:AU37_18660
ko:K01753	seno:AU37_18665
ko:K02358	seno:AU37_20365
ko:K03073	seno:AU37_20370
ko:K02601	seno:AU37_20375
ko:K02867	seno:AU37_20380
ko:K02863	seno:AU37_20385
ko:K02864	seno:AU37_20390
ko:K02935	seno:AU37_20395
ko:K03043	seno:AU37_20400
ko:K03046	seno:AU37_20405
ko:K03150	seno:AU37_20430
ko:K03149	seno:AU37_20435
ko:K03154	seno:AU37_20440
ko:K03148	seno:AU37_20445
ko:K00788	seno:AU37_20450
ko:K03147	seno:AU37_20455
ko:K07740	seno:AU37_20460
ko:K03426	seno:AU37_20465
ko:K01599	seno:AU37_20470
ko:K05982	seno:AU37_20475
ko:K09891	seno:AU37_20480
ko:K05787	seno:AU37_20485
ko:K07803	seno:AU37_20495
ko:K07709	seno:AU37_20500
ko:K01945	seno:AU37_20510
ko:K00602	seno:AU37_20515
ko:K03827	seno:AU37_20540
ko:K00651	seno:AU37_20545
ko:K01638	seno:AU37_20550
ko:K01637	seno:AU37_20555
ko:K00906	seno:AU37_20560
ko:K13641	seno:AU37_20570
ko:K00548	seno:AU37_20575
ko:K03324	seno:AU37_20580
ko:K05995	seno:AU37_20585
ko:K09912	seno:AU37_20590
ko:K06182	seno:AU37_20595
ko:K01673	seno:AU37_22720
ko:K07491	seno:AU37_22785
ko:K19163	seno:AU37_22835
ko:K19164	seno:AU37_22840
ko:K03635	seno:AU37_03885
ko:K06890	seno:AU37_03890
ko:K06890	seno:AU37_03895
ko:K07027	seno:AU37_03910
ko:K01993	seno:AU37_03945
ko:K11927	seno:AU37_03955
ko:K06970	seno:AU37_03980
ko:K10038	seno:AU37_03995
ko:K10037	seno:AU37_04000
ko:K10036	seno:AU37_04005
ko:K04047	seno:AU37_04015
ko:K11939	seno:AU37_04020
ko:K11934	seno:AU37_04025
ko:K11924	seno:AU37_04040
ko:K19235	seno:AU37_04050
ko:K07757	seno:AU37_04075
ko:K00656	seno:AU37_04080
ko:K04069	seno:AU37_04085
ko:K03750	seno:AU37_04095
ko:K13051	seno:AU37_04100
ko:K13892	seno:AU37_04105
ko:K13889	seno:AU37_04110
ko:K13890	seno:AU37_04115
ko:K13891	seno:AU37_04120
ko:K14441	seno:AU37_04125
ko:K03521	seno:AU37_04140
ko:K03522	seno:AU37_04145
ko:K09709	seno:AU37_04150
ko:K00311	seno:AU37_04160
ko:K03219	seno:AU37_08555
ko:K14978	seno:AU37_08565
ko:K14979	seno:AU37_08570
ko:K13041	seno:AU37_08595
ko:K13040	seno:AU37_08600
ko:K08358	seno:AU37_08605
ko:K08359	seno:AU37_08610
ko:K08357	seno:AU37_08615
ko:K01259	seno:AU37_08630
ko:K00873	seno:AU37_08640
ko:K06078	seno:AU37_08645
ko:K06078	seno:AU37_08650
ko:K19234	seno:AU37_08655
ko:K02426	seno:AU37_08660
ko:K11717	seno:AU37_08665
ko:K09015	seno:AU37_08670
ko:K09013	seno:AU37_08675
ko:K09014	seno:AU37_08680
ko:K05997	seno:AU37_08685
ko:K06956	seno:AU37_08690
ko:K19222	seno:AU37_08700
ko:K05887	seno:AU37_08730
ko:K03785	seno:AU37_08735
ko:K00313	seno:AU37_08765
ko:K12507	seno:AU37_08775
ko:K09773	seno:AU37_08790
ko:K01626	seno:AU37_08795
ko:K08997	seno:AU37_08805
ko:K06074	seno:AU37_08820
ko:K00432	seno:AU37_08825
ko:K06073	seno:AU37_08830
ko:K04764	seno:AU37_08835
ko:K01890	seno:AU37_08840
ko:K01889	seno:AU37_08845
ko:K04016	seno:AU37_20945
ko:K04017	seno:AU37_20950
ko:K04018	seno:AU37_20955
ko:K11102	seno:AU37_20960
ko:K07126	seno:AU37_20965
ko:K09994	seno:AU37_20985
ko:K04750	seno:AU37_20990
ko:K06193	seno:AU37_20995
ko:K03762	seno:AU37_21000
ko:K07643	seno:AU37_21010
ko:K07771	seno:AU37_21015
ko:K03760	seno:AU37_21020
ko:K03759	seno:AU37_21025
ko:K03755	seno:AU37_21030
ko:K01584	seno:AU37_21035
ko:K07406	seno:AU37_21045
ko:K11104	seno:AU37_21050
ko:K01676	seno:AU37_21055
ko:K07792	seno:AU37_21060
ko:K07703	seno:AU37_21065
ko:K07701	seno:AU37_21070
ko:K07306	seno:AU37_21075
ko:K07307	seno:AU37_21080
ko:K07308	seno:AU37_21085
ko:K09474	seno:AU37_21135
ko:K04084	seno:AU37_21155
ko:K03926	seno:AU37_21160
ko:K07791	seno:AU37_21165
ko:K01744	seno:AU37_21170
ko:K07113	seno:AU37_21175
ko:K16263	seno:AU37_21180
ko:K04078	seno:AU37_21185
ko:K04077	seno:AU37_21190
ko:K02356	seno:AU37_21210
ko:K16347	seno:AU37_21215
ko:K16348	seno:AU37_21220
ko:K11741	seno:AU37_21230
ko:K03098	seno:AU37_21235
ko:K11746	seno:AU37_00425
ko:K01525	seno:AU37_00440
ko:K06195	seno:AU37_00445
ko:K02528	seno:AU37_00450
ko:K00097	seno:AU37_00455
ko:K03771	seno:AU37_00460
ko:K04744	seno:AU37_00465
ko:K05801	seno:AU37_00470
ko:K06177	seno:AU37_00475
ko:K03580	seno:AU37_00480
ko:K02336	seno:AU37_00485
ko:K01804	seno:AU37_00505
ko:K00853	seno:AU37_00510
ko:K02099	seno:AU37_00515
ko:K02062	seno:AU37_00525
ko:K02063	seno:AU37_00530
ko:K02064	seno:AU37_00535
ko:K11925	seno:AU37_00540
ko:K01704	seno:AU37_00555
ko:K01703	seno:AU37_00560
ko:K00052	seno:AU37_00565
ko:K01649	seno:AU37_00570
ko:K05798	seno:AU37_00575
ko:K01652	seno:AU37_00580
ko:K01653	seno:AU37_00585
ko:K03435	seno:AU37_00590
ko:K03925	seno:AU37_00595
ko:K03438	seno:AU37_00600
ko:K03586	seno:AU37_00605
ko:K03587	seno:AU37_00610
ko:K01928	seno:AU37_00615
ko:K01929	seno:AU37_00620
ko:K01000	seno:AU37_00625
ko:K01925	seno:AU37_00630
ko:K03588	seno:AU37_00635
ko:K02563	seno:AU37_00640
ko:K01924	seno:AU37_00645
ko:K01921	seno:AU37_00650
ko:K03589	seno:AU37_00655
ko:K03590	seno:AU37_00660
ko:K03531	seno:AU37_00665
ko:K02535	seno:AU37_00670
ko:K13301	seno:AU37_00675
ko:K03070	seno:AU37_00680
ko:K03574	seno:AU37_00685
ko:K03809	seno:AU37_05055
ko:K13821	seno:AU37_05075
ko:K11928	seno:AU37_05080
ko:K03307	seno:AU37_05100
ko:K01788	seno:AU37_05105
ko:K17948	seno:AU37_05110
ko:K06887	seno:AU37_05170
ko:K11911	seno:AU37_05175
ko:K11891	seno:AU37_05180
ko:K07126	seno:AU37_05200
ko:K07126	seno:AU37_05205
ko:K07483	seno:AU37_05210
ko:K03704	seno:AU37_05235
ko:K06950	seno:AU37_05250
ko:K07458	seno:AU37_05260
ko:K09781	seno:AU37_05270
ko:K07026	seno:AU37_05285
ko:K07781	seno:AU37_05300
ko:K02421	seno:AU37_05305
ko:K02420	seno:AU37_05310
ko:K02419	seno:AU37_05315
ko:K02418	seno:AU37_05320
ko:K02417	seno:AU37_05325
ko:K02416	seno:AU37_05330
ko:K02415	seno:AU37_05335
ko:K02388	seno:AU37_09700
ko:K02387	seno:AU37_09705
ko:K02386	seno:AU37_09710
ko:K02398	seno:AU37_09715
ko:K02399	seno:AU37_09720
ko:K03980	seno:AU37_09725
ko:K03810	seno:AU37_09730
ko:K09915	seno:AU37_09735
ko:K03790	seno:AU37_09740
ko:K08162	seno:AU37_09745
ko:K03675	seno:AU37_09750
ko:K01465	seno:AU37_09760
ko:K12149	seno:AU37_09765
ko:K12148	seno:AU37_09770
ko:K02846	seno:AU37_09775
ko:K07146	seno:AU37_09795
ko:K02517	seno:AU37_09800
ko:K08161	seno:AU37_09805
ko:K12147	seno:AU37_09810
ko:K03669	seno:AU37_09820
ko:K03670	seno:AU37_09825
ko:K11941	seno:AU37_09830
ko:K04334	seno:AU37_09850
ko:K04335	seno:AU37_09855
ko:K04337	seno:AU37_09865
ko:K04338	seno:AU37_09870
ko:K06214	seno:AU37_09875
ko:K04477	seno:AU37_09890
ko:K12972	seno:AU37_09895
ko:K09933	seno:AU37_09935
ko:K01733	seno:AU37_00010
ko:K09861	seno:AU37_00015
ko:K03310	seno:AU37_00020
ko:K00616	seno:AU37_00025
ko:K03831	seno:AU37_00030
ko:K07034	seno:AU37_00035
ko:K04043	seno:AU37_00050
ko:K03686	seno:AU37_00055
ko:K07347	seno:AU37_00105
ko:K16013	seno:AU37_04460
ko:K00384	seno:AU37_04465
ko:K03719	seno:AU37_04470
ko:K03466	seno:AU37_04475
ko:K03634	seno:AU37_04480
ko:K07478	seno:AU37_04485
ko:K01875	seno:AU37_04490
ko:K07306	seno:AU37_04495
ko:K07307	seno:AU37_04500
ko:K07308	seno:AU37_04505
ko:K08219	seno:AU37_04510
ko:K04069	seno:AU37_04520
ko:K00656	seno:AU37_04535
ko:K06212	seno:AU37_04540
ko:K09136	seno:AU37_04545
ko:K00831	seno:AU37_04560
ko:K00800	seno:AU37_04565
ko:K07387	seno:AU37_04570
ko:K00945	seno:AU37_04575
ko:K02945	seno:AU37_04580
ko:K05788	seno:AU37_04585
ko:K02238	seno:AU37_04590
ko:K11085	seno:AU37_04595
ko:K00912	seno:AU37_04600
ko:K09927	seno:AU37_04605
ko:K09791	seno:AU37_04610
ko:K00979	seno:AU37_04615
ko:K06219	seno:AU37_04630
ko:K03633	seno:AU37_04635
ko:K03804	seno:AU37_04640
ko:K03632	seno:AU37_04645
ko:K00813	seno:AU37_04665
ko:K09476	seno:AU37_04670
ko:K01893	seno:AU37_04675
ko:K01751	seno:AU37_04685
ko:K03310	seno:AU37_04690
ko:K00763	seno:AU37_04695
ko:K01256	seno:AU37_04755
ko:K01792	seno:AU37_09140
ko:K06871	seno:AU37_09150
ko:K07180	seno:AU37_09160
ko:K09786	seno:AU37_09165
ko:K19055	seno:AU37_09180
ko:K03449	seno:AU37_09200
ko:K09712	seno:AU37_09215
ko:K11250	seno:AU37_09240
ko:K04093	seno:AU37_09245
ko:K02034	seno:AU37_09300
ko:K02033	seno:AU37_09305
ko:K02035	seno:AU37_09310
ko:K04080	seno:AU37_09330
ko:K07804	seno:AU37_09355
ko:K00031	seno:AU37_09385
ko:K06181	seno:AU37_09390
ko:K12152	seno:AU37_09400
ko:K00566	seno:AU37_09405
ko:K07153	seno:AU37_09410
ko:K01756	seno:AU37_09415
ko:K07660	seno:AU37_09420
ko:K07637	seno:AU37_09425
ko:K18850	seno:AU37_09430
ko:K01258	seno:AU37_09440
ko:K09862	seno:AU37_00700
ko:K18778	seno:AU37_00705
ko:K00859	seno:AU37_00710
ko:K00364	seno:AU37_00715
ko:K02505	seno:AU37_00720
ko:K02504	seno:AU37_00725
ko:K02682	seno:AU37_00730
ko:K00767	seno:AU37_00735
ko:K03806	seno:AU37_00740
ko:K03807	seno:AU37_00745
ko:K11734	seno:AU37_00760
ko:K00163	seno:AU37_00770
ko:K00627	seno:AU37_00775
ko:K00382	seno:AU37_00780
ko:K01682	seno:AU37_00805
ko:K09910	seno:AU37_00820
ko:K02526	seno:AU37_00825
ko:K01611	seno:AU37_00845
ko:K00797	seno:AU37_00850
ko:K14588	seno:AU37_00860
ko:K00117	seno:AU37_00865
ko:K00760	seno:AU37_00870
ko:K01673	seno:AU37_00875
ko:K01990	seno:AU37_00880
ko:K01992	seno:AU37_00885
ko:K07347	seno:AU37_00895
ko:K01579	seno:AU37_00920
ko:K01918	seno:AU37_00925
ko:K00606	seno:AU37_00930
ko:K00950	seno:AU37_00935
ko:K00970	seno:AU37_00940
ko:K01894	seno:AU37_00945
ko:K06204	seno:AU37_00950
ko:K06206	seno:AU37_00955
ko:K01975	seno:AU37_00960
ko:K03579	seno:AU37_00965
ko:K02414	seno:AU37_05340
ko:K02413	seno:AU37_05345
ko:K02412	seno:AU37_05350
ko:K02411	seno:AU37_05355
ko:K02410	seno:AU37_05360
ko:K02409	seno:AU37_05365
ko:K02408	seno:AU37_05370
ko:K07112	seno:AU37_05385
ko:K01176	seno:AU37_05395
ko:K02423	seno:AU37_05400
ko:K02422	seno:AU37_05405
ko:K02407	seno:AU37_05410
ko:K02406	seno:AU37_05420
ko:K18475	seno:AU37_05425
ko:K02405	seno:AU37_05430
ko:K02425	seno:AU37_05435
ko:K02424	seno:AU37_05440
ko:K05396	seno:AU37_05445
ko:K10009	seno:AU37_05450
ko:K10010	seno:AU37_05455
ko:K07782	seno:AU37_05460
ko:K07689	seno:AU37_05475
ko:K03703	seno:AU37_05480
ko:K00995	seno:AU37_05485
ko:K07039	seno:AU37_05515
ko:K03834	seno:AU37_05520
ko:K02217	seno:AU37_05530
ko:K02255	seno:AU37_05545
ko:K10538	seno:AU37_05555
ko:K01087	seno:AU37_05560
ko:K00697	seno:AU37_05565
ko:K14064	seno:AU37_05570
ko:K02403	seno:AU37_05575
ko:K02402	seno:AU37_05580
ko:K02556	seno:AU37_05585
ko:K02557	seno:AU37_05590
ko:K03407	seno:AU37_05595
ko:K03408	seno:AU37_05600
ko:K00575	seno:AU37_05610
ko:K03412	seno:AU37_05615
ko:K03413	seno:AU37_05620
ko:K03746	seno:AU37_10065
ko:K07733	seno:AU37_10090
ko:K07126	seno:AU37_10110
ko:K01241	seno:AU37_10135
ko:K16291	seno:AU37_10170
ko:K00768	seno:AU37_10175
ko:K02233	seno:AU37_10180
ko:K02231	seno:AU37_10185
ko:K02232	seno:AU37_10190
ko:K02006	seno:AU37_10195
ko:K02008	seno:AU37_10200
ko:K02009	seno:AU37_10205
ko:K02007	seno:AU37_10210
ko:K03394	seno:AU37_10215
ko:K02190	seno:AU37_10220
ko:K05895	seno:AU37_10225
ko:K02189	seno:AU37_10235
ko:K05936	seno:AU37_10240
ko:K02191	seno:AU37_10245
ko:K03399	seno:AU37_10250
ko:K02188	seno:AU37_10255
ko:K06042	seno:AU37_10260
ko:K02227	seno:AU37_10265
ko:K02224	seno:AU37_10270
ko:K08289	seno:AU37_05790
ko:K09918	seno:AU37_05795
ko:K01354	seno:AU37_05810
ko:K10857	seno:AU37_05815
ko:K02345	seno:AU37_05825
ko:K07156	seno:AU37_05830
ko:K07245	seno:AU37_05835
ko:K01699	seno:AU37_10295
ko:K13919	seno:AU37_10300
ko:K13920	seno:AU37_10305
ko:K13923	seno:AU37_10330
ko:K13922	seno:AU37_10350
ko:K13921	seno:AU37_10355
ko:K04031	seno:AU37_10370
ko:K04029	seno:AU37_10375
ko:K16651	seno:AU37_10385
ko:K00286	seno:AU37_01870
ko:K09768	seno:AU37_01875
ko:K00891	seno:AU37_01880
ko:K14591	seno:AU37_01890
ko:K09913	seno:AU37_01895
ko:K03554	seno:AU37_01900
ko:K00847	seno:AU37_01905
ko:K03547	seno:AU37_01920
ko:K07657	seno:AU37_01930
ko:K07636	seno:AU37_01935
ko:K03311	seno:AU37_01940
ko:K11736	seno:AU37_01945
ko:K01187	seno:AU37_01950
ko:K03386	seno:AU37_01955
ko:K08682	seno:AU37_01960
ko:K07568	seno:AU37_01965
ko:K00773	seno:AU37_01970
ko:K03210	seno:AU37_01975
ko:K03072	seno:AU37_01980
ko:K03074	seno:AU37_01985
ko:K06996	seno:AU37_01990
ko:K18862	seno:AU37_02005
ko:K05517	seno:AU37_02010
ko:K07738	seno:AU37_02020
ko:K11752	seno:AU37_02025
ko:K00794	seno:AU37_02030
ko:K03625	seno:AU37_02035
ko:K00946	seno:AU37_02040
ko:K01095	seno:AU37_02045
ko:K01662	seno:AU37_02055
ko:K00795	seno:AU37_02060
ko:K03602	seno:AU37_02065
ko:K03151	seno:AU37_02070
ko:K11082	seno:AU37_02075
ko:K11083	seno:AU37_02080
ko:K11084	seno:AU37_02085
ko:K11081	seno:AU37_02090
ko:K03430	seno:AU37_02105
ko:K05306	seno:AU37_02110
ko:K03152	seno:AU37_02115
ko:K00077	seno:AU37_02120
ko:K09767	seno:AU37_02125
ko:K07684	seno:AU37_06520
ko:K07673	seno:AU37_06525
ko:K02575	seno:AU37_06530
ko:K00370	seno:AU37_06535
ko:K00371	seno:AU37_06540
ko:K00373	seno:AU37_06545
ko:K00374	seno:AU37_06550
ko:K07126	seno:AU37_06560
ko:K01433	seno:AU37_06580
ko:K09858	seno:AU37_06585
ko:K07001	seno:AU37_06590
ko:K00963	seno:AU37_06600
ko:K03746	seno:AU37_06605
ko:K04072	seno:AU37_06615
ko:K15580	seno:AU37_06625
ko:K15581	seno:AU37_06630
ko:K15582	seno:AU37_06635
ko:K15583	seno:AU37_06640
ko:K10823	seno:AU37_06645
ko:K10716	seno:AU37_06650
ko:K09901	seno:AU37_06655
ko:K06131	seno:AU37_06660
ko:K09780	seno:AU37_06665
ko:K03832	seno:AU37_06670
ko:K10806	seno:AU37_06675
ko:K06190	seno:AU37_06680
ko:K06940	seno:AU37_06690
ko:K07275	seno:AU37_06695
ko:K07217	seno:AU37_06700
ko:K01695	seno:AU37_06720
ko:K01696	seno:AU37_06725
ko:K13498	seno:AU37_06730
ko:K13497	seno:AU37_06735
ko:K01657	seno:AU37_06740
ko:K07053	seno:AU37_06745
ko:K06178	seno:AU37_06755
ko:K19221	seno:AU37_06760
ko:K04774	seno:AU37_06770
ko:K03168	seno:AU37_06780
ko:K13634	seno:AU37_06785
ko:K01681	seno:AU37_06800
ko:K00882	seno:AU37_11120
ko:K02768	seno:AU37_11125
ko:K11183	seno:AU37_11125
ko:K03291	seno:AU37_11135
ko:K06940	seno:AU37_11145
ko:K02356	seno:AU37_11150
ko:K13694	seno:AU37_11165
ko:K13893	seno:AU37_11175
ko:K13894	seno:AU37_11180
ko:K13895	seno:AU37_11185
ko:K13896	seno:AU37_11190
ko:K07552	seno:AU37_11200
ko:K06183	seno:AU37_11205
ko:K02897	seno:AU37_11215
ko:K06899	seno:AU37_11225
ko:K09904	seno:AU37_11230
ko:K07014	seno:AU37_11235
ko:K15353	seno:AU37_11250
ko:K07685	seno:AU37_11280
ko:K02200	seno:AU37_11285
ko:K02199	seno:AU37_11290
