ko:K07456	ppq:PPSQR21_026280
ko:K04759	ppq:PPSQR21_043270
ko:K00854	ppq:PPSQR21_043280
ko:K01805	ppq:PPSQR21_043290
ko:K00384	ppq:PPSQR21_043320
ko:K07238	ppq:PPSQR21_043330
ko:K03809	ppq:PPSQR21_043350
ko:K01534	ppq:PPSQR21_043380
ko:K01534	ppq:PPSQR21_043400
ko:K02300	ppq:PPSQR21_043430
ko:K02299	ppq:PPSQR21_043440
ko:K02827	ppq:PPSQR21_043450
ko:K02297	ppq:PPSQR21_043460
ko:K05350	ppq:PPSQR21_043480
ko:K15923	ppq:PPSQR21_043490
ko:K17318	ppq:PPSQR21_043500
ko:K17320	ppq:PPSQR21_043510
ko:K17319	ppq:PPSQR21_043520
ko:K16012	ppq:PPSQR21_043550
ko:K16013	ppq:PPSQR21_043560
ko:K00426	ppq:PPSQR21_043570
ko:K00425	ppq:PPSQR21_043580
ko:K07720	ppq:PPSQR21_043590
ko:K07718	ppq:PPSQR21_043600
ko:K01462	ppq:PPSQR21_043610
ko:K00820	ppq:PPSQR21_044720
ko:K03431	ppq:PPSQR21_044730
ko:K03088	ppq:PPSQR21_044770
ko:K01595	ppq:PPSQR21_044780
ko:K06294	ppq:PPSQR21_044990
ko:K03593	ppq:PPSQR21_045000
ko:K01448	ppq:PPSQR21_045010
ko:K00958	ppq:PPSQR21_045020
ko:K00390	ppq:PPSQR21_045030
ko:K02996	ppq:PPSQR21_045040
ko:K02871	ppq:PPSQR21_045050
ko:K06173	ppq:PPSQR21_045060
ko:K02879	ppq:PPSQR21_045070
ko:K03040	ppq:PPSQR21_045080
ko:K02948	ppq:PPSQR21_045090
ko:K02952	ppq:PPSQR21_045100
ko:K02919	ppq:PPSQR21_045110
ko:K02518	ppq:PPSQR21_045120
ko:K01265	ppq:PPSQR21_045140
ko:K00939	ppq:PPSQR21_045150
ko:K03076	ppq:PPSQR21_045160
ko:K02876	ppq:PPSQR21_045170
ko:K02907	ppq:PPSQR21_045180
ko:K07692	ppq:PPSQR21_046720
ko:K07777	ppq:PPSQR21_046730
ko:K00789	ppq:PPSQR21_046780
ko:K02851	ppq:PPSQR21_046860
ko:K05946	ppq:PPSQR21_046870
ko:K01835	ppq:PPSQR21_046900
ko:K02372	ppq:PPSQR21_046910
ko:K02392	ppq:PPSQR21_046930
ko:K02392	ppq:PPSQR21_046940
ko:K03569	ppq:PPSQR21_046950
ko:K06283	ppq:PPSQR21_046960
ko:K06386	ppq:PPSQR21_046970
ko:K06381	ppq:PPSQR21_046980
ko:K00790	ppq:PPSQR21_046990
ko:K02114	ppq:PPSQR21_047020
ko:K02112	ppq:PPSQR21_047030
ko:K02115	ppq:PPSQR21_047040
ko:K02111	ppq:PPSQR21_047050
ko:K02113	ppq:PPSQR21_047060
ko:K02109	ppq:PPSQR21_047070
ko:K02110	ppq:PPSQR21_047080
ko:K02108	ppq:PPSQR21_047090
ko:K02116	ppq:PPSQR21_047100
ko:K01791	ppq:PPSQR21_047120
ko:K00761	ppq:PPSQR21_047130
ko:K10117	ppq:PPSQR21_047140
ko:K10119	ppq:PPSQR21_047150
ko:K10118	ppq:PPSQR21_047160
ko:K00600	ppq:PPSQR21_047170
ko:K02016	ppq:PPSQR21_009130
ko:K01491	ppq:PPSQR21_009160
ko:K10255	ppq:PPSQR21_009170
ko:K07778	ppq:PPSQR21_009180
ko:K07693	ppq:PPSQR21_009190
ko:K15518	ppq:PPSQR21_009200
ko:K15519	ppq:PPSQR21_009210
ko:K14415	ppq:PPSQR21_009240
ko:K00014	ppq:PPSQR21_009250
ko:K03785	ppq:PPSQR21_009290
ko:K00891	ppq:PPSQR21_009300
ko:K01738	ppq:PPSQR21_009350
ko:K07074	ppq:PPSQR21_009400
ko:K03424	ppq:PPSQR21_009430
ko:K16925	ppq:PPSQR21_009440
ko:K16786	ppq:PPSQR21_009450
ko:K16787	ppq:PPSQR21_009450
ko:K16785	ppq:PPSQR21_009460
ko:K02071	ppq:PPSQR21_009470
ko:K02072	ppq:PPSQR21_009480
ko:K02073	ppq:PPSQR21_009490
ko:K05349	ppq:PPSQR21_009540
ko:K01201	ppq:PPSQR21_009550
ko:K01714	ppq:PPSQR21_010220
ko:K09955	ppq:PPSQR21_010270
ko:K03088	ppq:PPSQR21_010310
ko:K02529	ppq:PPSQR21_010340
ko:K17319	ppq:PPSQR21_010350
ko:K17320	ppq:PPSQR21_010360
ko:K17318	ppq:PPSQR21_010370
ko:K06147	ppq:PPSQR21_010400
ko:K08153	ppq:PPSQR21_010430
ko:K07720	ppq:PPSQR21_010470
ko:K10439	ppq:PPSQR21_010490
ko:K07406	ppq:PPSQR21_010500
ko:K07979	ppq:PPSQR21_010530
ko:K01990	ppq:PPSQR21_010540
ko:K01992	ppq:PPSQR21_010550
ko:K02040	ppq:PPSQR21_010570
ko:K03649	ppq:PPSQR21_010600
ko:K00259	ppq:PPSQR21_010610
ko:K09684	ppq:PPSQR21_010620
ko:K00849	ppq:PPSQR21_010640
ko:K03406	ppq:PPSQR21_010680
ko:K07273	ppq:PPSQR21_011510
ko:K03701	ppq:PPSQR21_011550
ko:K06936	ppq:PPSQR21_011580
ko:K00612	ppq:PPSQR21_011640
ko:K00645	ppq:PPSQR21_011660
ko:K02035	ppq:PPSQR21_011690
ko:K02033	ppq:PPSQR21_011700
ko:K02034	ppq:PPSQR21_011710
ko:K01129	ppq:PPSQR21_011720
ko:K01975	ppq:PPSQR21_011760
ko:K01449	ppq:PPSQR21_011770
ko:K01034	ppq:PPSQR21_012340
ko:K01574	ppq:PPSQR21_012350
ko:K00626	ppq:PPSQR21_012360
ko:K06925	ppq:PPSQR21_012380
ko:K03789	ppq:PPSQR21_012400
ko:K01409	ppq:PPSQR21_012410
ko:K06158	ppq:PPSQR21_012430
ko:K01934	ppq:PPSQR21_012440
ko:K03637	ppq:PPSQR21_012450
ko:K03116	ppq:PPSQR21_012470
ko:K03118	ppq:PPSQR21_012480
ko:K04078	ppq:PPSQR21_012490
ko:K04077	ppq:PPSQR21_012500
ko:K05814	ppq:PPSQR21_012610
ko:K05815	ppq:PPSQR21_012620
ko:K05813	ppq:PPSQR21_012630
ko:K01993	ppq:PPSQR21_012650
ko:K02000	ppq:PPSQR21_012680
ko:K03929	ppq:PPSQR21_012700
ko:K03406	ppq:PPSQR21_012710
ko:K01938	ppq:PPSQR21_012780
ko:K01775	ppq:PPSQR21_012830
ko:K00059	ppq:PPSQR21_024030
ko:K02529	ppq:PPSQR21_024090
ko:K17320	ppq:PPSQR21_025190
ko:K17319	ppq:PPSQR21_025200
ko:K17318	ppq:PPSQR21_025210
ko:K07720	ppq:PPSQR21_025220
ko:K07718	ppq:PPSQR21_025230
ko:K00274	ppq:PPSQR21_025300
ko:K03671	ppq:PPSQR21_025310
ko:K12308	ppq:PPSQR21_025330
ko:K01218	ppq:PPSQR21_025410
ko:K01198	ppq:PPSQR21_025450
ko:K01198	ppq:PPSQR21_025460
ko:K10119	ppq:PPSQR21_025470
ko:K10118	ppq:PPSQR21_025480
ko:K10117	ppq:PPSQR21_025500
ko:K07718	ppq:PPSQR21_025510
ko:K07720	ppq:PPSQR21_025520
ko:K09992	ppq:PPSQR21_025580
ko:K05340	ppq:PPSQR21_025610
ko:K07407	ppq:PPSQR21_025620
ko:K02028	ppq:PPSQR21_026720
ko:K02029	ppq:PPSQR21_026730
ko:K02030	ppq:PPSQR21_026730
ko:K00703	ppq:PPSQR21_026760
ko:K00700	ppq:PPSQR21_026770
ko:K00975	ppq:PPSQR21_026780
ko:K02041	ppq:PPSQR21_026820
ko:K07025	ppq:PPSQR21_026850
ko:K00266	ppq:PPSQR21_026870
ko:K00382	ppq:PPSQR21_026900
ko:K00627	ppq:PPSQR21_026910
ko:K00162	ppq:PPSQR21_026920
ko:K00161	ppq:PPSQR21_026930
ko:K01104	ppq:PPSQR21_026950
ko:K00949	ppq:PPSQR21_026960
ko:K03149	ppq:PPSQR21_027000
ko:K03154	ppq:PPSQR21_027010
ko:K03153	ppq:PPSQR21_027020
ko:K10810	ppq:PPSQR21_027030
ko:K02283	ppq:PPSQR21_027110
ko:K06968	ppq:PPSQR21_027160
ko:K02013	ppq:PPSQR21_027170
ko:K01151	ppq:PPSQR21_027200
ko:K03665	ppq:PPSQR21_027730
ko:K06413	ppq:PPSQR21_027740
ko:K03666	ppq:PPSQR21_027780
ko:K00791	ppq:PPSQR21_027790
ko:K03572	ppq:PPSQR21_027810
ko:K03555	ppq:PPSQR21_027820
ko:K06328	ppq:PPSQR21_027840
ko:K16263	ppq:PPSQR21_027860
ko:K02050	ppq:PPSQR21_027880
ko:K02049	ppq:PPSQR21_027890
ko:K02051	ppq:PPSQR21_027900
ko:K01299	ppq:PPSQR21_027910
ko:K01673	ppq:PPSQR21_027920
ko:K03839	ppq:PPSQR21_028050
ko:K06969	ppq:PPSQR21_028060
ko:K06180	ppq:PPSQR21_028070
ko:K02621	ppq:PPSQR21_028110
ko:K02622	ppq:PPSQR21_028120
ko:K08289	ppq:PPSQR21_028190
ko:K06147	ppq:PPSQR21_028210
ko:K00432	ppq:PPSQR21_028230
ko:K01734	ppq:PPSQR21_028770
ko:K00215	ppq:PPSQR21_028780
ko:K03088	ppq:PPSQR21_028910
ko:K04517	ppq:PPSQR21_028920
ko:K00817	ppq:PPSQR21_028930
ko:K01695	ppq:PPSQR21_028940
ko:K01696	ppq:PPSQR21_028950
ko:K01817	ppq:PPSQR21_028960
ko:K01609	ppq:PPSQR21_028970
ko:K00766	ppq:PPSQR21_028980
ko:K01657	ppq:PPSQR21_028990
ko:K06208	ppq:PPSQR21_029000
ko:K01735	ppq:PPSQR21_029010
ko:K01736	ppq:PPSQR21_029020
ko:K00575	ppq:PPSQR21_029030
ko:K00940	ppq:PPSQR21_029040
ko:K00805	ppq:PPSQR21_029050
ko:K11782	ppq:PPSQR21_029060
ko:K03186	ppq:PPSQR21_029070
ko:K03179	ppq:PPSQR21_029080
ko:K03183	ppq:PPSQR21_029090
ko:K00805	ppq:PPSQR21_029100
ko:K06285	ppq:PPSQR21_029120
ko:K03530	ppq:PPSQR21_029140
ko:K02057	ppq:PPSQR21_029150
ko:K02056	ppq:PPSQR21_029160
ko:K02058	ppq:PPSQR21_029170
ko:K06398	ppq:PPSQR21_029180
ko:K00057	ppq:PPSQR21_029220
ko:K08591	ppq:PPSQR21_029230
ko:K03977	ppq:PPSQR21_029240
ko:K01874	ppq:PPSQR21_030250
ko:K08998	ppq:PPSQR21_030260
ko:K02076	ppq:PPSQR21_030270
ko:K04069	ppq:PPSQR21_030290
ko:K00656	ppq:PPSQR21_030300
ko:K04072	ppq:PPSQR21_030310
ko:K02099	ppq:PPSQR21_030410
ko:K01209	ppq:PPSQR21_030420
ko:K03810	ppq:PPSQR21_030450
ko:K12267	ppq:PPSQR21_030480
ko:K03693	ppq:PPSQR21_030550
ko:K02346	ppq:PPSQR21_030560
ko:K02346	ppq:PPSQR21_030570
ko:K02346	ppq:PPSQR21_030600
ko:K13979	ppq:PPSQR21_030610
ko:K05340	ppq:PPSQR21_030650
ko:K03292	ppq:PPSQR21_030670
ko:K03655	ppq:PPSQR21_030690
ko:K07030	ppq:PPSQR21_030710
ko:K02902	ppq:PPSQR21_030720
ko:K01783	ppq:PPSQR21_030740
ko:K06949	ppq:PPSQR21_030750
ko:K15313	ppq:PPSQR21_031840
ko:K15312	ppq:PPSQR21_031850
ko:K15311	ppq:PPSQR21_031860
ko:K00646	ppq:PPSQR21_031870
ko:K15337	ppq:PPSQR21_031880
ko:K02601	ppq:PPSQR21_031900
ko:K03623	ppq:PPSQR21_031930
ko:K00657	ppq:PPSQR21_031950
ko:K02221	ppq:PPSQR21_033370
ko:K09772	ppq:PPSQR21_033380
ko:K06997	ppq:PPSQR21_033390
ko:K05810	ppq:PPSQR21_033400
ko:K03091	ppq:PPSQR21_033420
ko:K03091	ppq:PPSQR21_033430
ko:K06383	ppq:PPSQR21_033440
ko:K03531	ppq:PPSQR21_033450
ko:K03590	ppq:PPSQR21_033460
ko:K03589	ppq:PPSQR21_033470
ko:K00790	ppq:PPSQR21_033480
ko:K00075	ppq:PPSQR21_033490
ko:K02563	ppq:PPSQR21_033500
ko:K03588	ppq:PPSQR21_033510
ko:K01925	ppq:PPSQR21_033520
ko:K01000	ppq:PPSQR21_033530
ko:K01929	ppq:PPSQR21_033540
ko:K01928	ppq:PPSQR21_033550
ko:K08384	ppq:PPSQR21_033560
ko:K08724	ppq:PPSQR21_033570
ko:K03438	ppq:PPSQR21_033590
ko:K03925	ppq:PPSQR21_033600
ko:K01251	ppq:PPSQR21_033610
ko:K10823	ppq:PPSQR21_033630
ko:K15582	ppq:PPSQR21_033640
ko:K15581	ppq:PPSQR21_033650
ko:K15580	ppq:PPSQR21_033660
ko:K00077	ppq:PPSQR21_033670
ko:K06314	ppq:PPSQR21_033680
ko:K07175	ppq:PPSQR21_033700
ko:K06207	ppq:PPSQR21_033720
ko:K03151	ppq:PPSQR21_033760
ko:K04487	ppq:PPSQR21_033770
ko:K06327	ppq:PPSQR21_033830
ko:K03596	ppq:PPSQR21_034370
ko:K06385	ppq:PPSQR21_034390
ko:K06012	ppq:PPSQR21_034400
ko:K02968	ppq:PPSQR21_034410
ko:K02340	ppq:PPSQR21_034420
ko:K03088	ppq:PPSQR21_034440
ko:K02238	ppq:PPSQR21_034450
ko:K02237	ppq:PPSQR21_034470
ko:K02239	ppq:PPSQR21_034480
ko:K01869	ppq:PPSQR21_034490
ko:K00243	ppq:PPSQR21_034520
ko:K09710	ppq:PPSQR21_034530
ko:K00969	ppq:PPSQR21_034550
ko:K07574	ppq:PPSQR21_034560
ko:K00014	ppq:PPSQR21_034570
ko:K06948	ppq:PPSQR21_034580
ko:K07015	ppq:PPSQR21_034590
ko:K03924	ppq:PPSQR21_034620
ko:K06407	ppq:PPSQR21_034630
ko:K06406	ppq:PPSQR21_034640
ko:K06405	ppq:PPSQR21_034650
ko:K07038	ppq:PPSQR21_034670
ko:K17318	ppq:PPSQR21_034700
ko:K17320	ppq:PPSQR21_034710
ko:K17319	ppq:PPSQR21_034720
ko:K03091	ppq:PPSQR21_034790
ko:K02433	ppq:PPSQR21_034850
ko:K07718	ppq:PPSQR21_035890
ko:K05989	ppq:PPSQR21_035990
ko:K03406	ppq:PPSQR21_036040
ko:K01223	ppq:PPSQR21_036120
ko:K02755	ppq:PPSQR21_036130
ko:K02756	ppq:PPSQR21_036130
ko:K02757	ppq:PPSQR21_036130
ko:K03488	ppq:PPSQR21_036140
ko:K07696	ppq:PPSQR21_003740
ko:K10851	ppq:PPSQR21_003750
ko:K10117	ppq:PPSQR21_003810
ko:K10118	ppq:PPSQR21_003820
ko:K10119	ppq:PPSQR21_003830
ko:K07720	ppq:PPSQR21_003850
ko:K03186	ppq:PPSQR21_003870
ko:K01752	ppq:PPSQR21_003930
ko:K01752	ppq:PPSQR21_003940
ko:K02033	ppq:PPSQR21_003980
ko:K02034	ppq:PPSQR21_003990
ko:K02035	ppq:PPSQR21_004000
ko:K10040	ppq:PPSQR21_004020
ko:K10040	ppq:PPSQR21_004030
ko:K10039	ppq:PPSQR21_004040
ko:K10041	ppq:PPSQR21_004050
ko:K09705	ppq:PPSQR21_004060
ko:K07284	ppq:PPSQR21_004070
ko:K06284	ppq:PPSQR21_048210
ko:K00549	ppq:PPSQR21_048240
ko:K10947	ppq:PPSQR21_048260
