ko:K18138	seec:CFSAN002050_08980
ko:K04654	seec:CFSAN002050_20585
ko:K15836	seec:CFSAN002050_20595
ko:K11605	seec:CFSAN002050_20615
ko:K11606	seec:CFSAN002050_20620
ko:K03221	seec:CFSAN002050_20665
ko:K02078	seec:CFSAN002050_20705
ko:K04762	seec:CFSAN002050_24445
ko:K04083	seec:CFSAN002050_24450
ko:K01610	seec:CFSAN002050_24460
ko:K07638	seec:CFSAN002050_24465
ko:K07659	seec:CFSAN002050_24470
ko:K04760	seec:CFSAN002050_24475
ko:K06959	seec:CFSAN002050_24480
ko:K04758	seec:CFSAN002050_24485
ko:K04759	seec:CFSAN002050_24490
ko:K07490	seec:CFSAN002050_24495
ko:K02170	seec:CFSAN002050_24505
ko:K07400	seec:CFSAN002050_24515
ko:K06155	seec:CFSAN002050_24520
ko:K00705	seec:CFSAN002050_24525
ko:K00688	seec:CFSAN002050_24530
ko:K03556	seec:CFSAN002050_24535
ko:K14415	seec:CFSAN002050_24550
ko:K14414	seec:CFSAN002050_24560
ko:K02444	seec:CFSAN002050_24565
ko:K02439	seec:CFSAN002050_24575
ko:K00111	seec:CFSAN002050_24580
ko:K02040	seec:CFSAN002050_24590
ko:K02040	seec:CFSAN002050_24595
ko:K00005	seec:CFSAN002050_24600
ko:K01687	seec:CFSAN002050_24610
ko:K00688	seec:CFSAN002050_24625
ko:K00703	seec:CFSAN002050_24630
ko:K00975	seec:CFSAN002050_24635
ko:K00133	seec:CFSAN002050_24650
ko:K06156	seec:CFSAN002050_24655
ko:K06145	seec:CFSAN002050_24665
ko:K06911	seec:CFSAN002050_24670
ko:K17467	seec:CFSAN002050_01750
ko:K07643	seec:CFSAN002050_04705
ko:K07771	seec:CFSAN002050_04710
ko:K03760	seec:CFSAN002050_04715
ko:K03759	seec:CFSAN002050_04720
ko:K03755	seec:CFSAN002050_04725
ko:K01584	seec:CFSAN002050_04735
ko:K07406	seec:CFSAN002050_04745
ko:K01676	seec:CFSAN002050_04755
ko:K07703	seec:CFSAN002050_04765
ko:K07701	seec:CFSAN002050_04770
ko:K09474	seec:CFSAN002050_04915
ko:K01153	seec:CFSAN002050_04930
ko:K01154	seec:CFSAN002050_04935
ko:K03427	seec:CFSAN002050_04940
ko:K03430	seec:CFSAN002050_08760
ko:K05306	seec:CFSAN002050_08765
ko:K03152	seec:CFSAN002050_08770
ko:K00077	seec:CFSAN002050_08775
ko:K09767	seec:CFSAN002050_08780
ko:K02300	seec:CFSAN002050_08810
ko:K02299	seec:CFSAN002050_08815
ko:K02298	seec:CFSAN002050_08820
ko:K02297	seec:CFSAN002050_08825
ko:K08218	seec:CFSAN002050_08830
ko:K07286	seec:CFSAN002050_08835
ko:K05527	seec:CFSAN002050_08840
ko:K03545	seec:CFSAN002050_08845
ko:K01358	seec:CFSAN002050_08850
ko:K03544	seec:CFSAN002050_08855
ko:K01338	seec:CFSAN002050_08860
ko:K03530	seec:CFSAN002050_08865
ko:K03770	seec:CFSAN002050_08870
ko:K02237	seec:CFSAN002050_08875
ko:K12500	seec:CFSAN002050_08880
ko:K06920	seec:CFSAN002050_08885
ko:K11938	seec:CFSAN002050_08895
ko:K01738	seec:CFSAN002050_08900
ko:K05800	seec:CFSAN002050_08905
ko:K04752	seec:CFSAN002050_08920
ko:K03320	seec:CFSAN002050_08925
ko:K10805	seec:CFSAN002050_08930
ko:K09914	seec:CFSAN002050_08935
ko:K07443	seec:CFSAN002050_08940
ko:K02909	seec:CFSAN002050_08950
ko:K02919	seec:CFSAN002050_08955
ko:K03577	seec:CFSAN002050_08990
ko:K05802	seec:CFSAN002050_08995
ko:K03449	seec:CFSAN002050_12780
ko:K09786	seec:CFSAN002050_12815
ko:K07180	seec:CFSAN002050_12820
ko:K06871	seec:CFSAN002050_12830
ko:K01792	seec:CFSAN002050_12840
ko:K00134	seec:CFSAN002050_12850
ko:K09916	seec:CFSAN002050_12860
ko:K08281	seec:CFSAN002050_12865
ko:K04773	seec:CFSAN002050_12875
ko:K01008	seec:CFSAN002050_12885
ko:K07347	seec:CFSAN002050_08280
ko:K00262	seec:CFSAN002050_12895
ko:K08320	seec:CFSAN002050_12905
ko:K01142	seec:CFSAN002050_12910
ko:K00840	seec:CFSAN002050_12915
ko:K00673	seec:CFSAN002050_12920
ko:K06447	seec:CFSAN002050_12925
ko:K01484	seec:CFSAN002050_12930
ko:K05526	seec:CFSAN002050_12935
ko:K05984	seec:CFSAN002050_12945
ko:K04064	seec:CFSAN002050_12955
ko:K02760	seec:CFSAN002050_12960
ko:K02761	seec:CFSAN002050_12965
ko:K02759	seec:CFSAN002050_12970
ko:K03490	seec:CFSAN002050_12975
ko:K03781	seec:CFSAN002050_12990
ko:K15722	seec:CFSAN002050_12995
ko:K06956	seec:CFSAN002050_13000
ko:K07038	seec:CFSAN002050_13005
ko:K03704	seec:CFSAN002050_16790
ko:K09933	seec:CFSAN002050_16825
ko:K01241	seec:CFSAN002050_16915
ko:K07458	seec:CFSAN002050_17000
ko:K01551	seec:CFSAN002050_17015
ko:K00768	seec:CFSAN002050_17040
ko:K02233	seec:CFSAN002050_17045
ko:K03225	seec:CFSAN002050_20755
ko:K03230	seec:CFSAN002050_20780
ko:K07314	seec:CFSAN002050_20835
ko:K03555	seec:CFSAN002050_20860
ko:K03186	seec:CFSAN002050_20920
ko:K06194	seec:CFSAN002050_20940
ko:K00573	seec:CFSAN002050_20945
ko:K03787	seec:CFSAN002050_20950
ko:K06176	seec:CFSAN002050_20955
ko:K01770	seec:CFSAN002050_20960
ko:K00991	seec:CFSAN002050_20965
ko:K09936	seec:CFSAN002050_24700
ko:K01126	seec:CFSAN002050_24720
ko:K05813	seec:CFSAN002050_24740
ko:K07341	seec:CFSAN002050_24745
ko:K01996	seec:CFSAN002050_24755
ko:K01995	seec:CFSAN002050_24760
ko:K01998	seec:CFSAN002050_24765
ko:K01997	seec:CFSAN002050_24770
ko:K01999	seec:CFSAN002050_24775
ko:K01999	seec:CFSAN002050_24785
ko:K03089	seec:CFSAN002050_24790
ko:K09811	seec:CFSAN002050_24795
ko:K09812	seec:CFSAN002050_24800
ko:K03110	seec:CFSAN002050_24805
ko:K08993	seec:CFSAN002050_24815
ko:K01534	seec:CFSAN002050_24830
ko:K09125	seec:CFSAN002050_24845
ko:K06133	seec:CFSAN002050_24865
ko:K07722	seec:CFSAN002050_24870
ko:K13926	seec:CFSAN002050_24880
ko:K01993	seec:CFSAN002050_24885
ko:K07007	seec:CFSAN002050_24890
ko:K16322	seec:CFSAN002050_24895
ko:K06144	seec:CFSAN002050_24900
ko:K03305	seec:CFSAN002050_24910
ko:K15984	seec:CFSAN002050_24915
ko:K01414	seec:CFSAN002050_24920
ko:K07345	seec:CFSAN002050_08290
ko:K00425	seec:CFSAN002050_08385
ko:K00426	seec:CFSAN002050_08390
ko:K03329	seec:CFSAN002050_08410
ko:K02688	seec:CFSAN002050_08425
ko:K01720	seec:CFSAN002050_08440
ko:K01908	seec:CFSAN002050_08445
ko:K01698	seec:CFSAN002050_08450
ko:K01921	seec:CFSAN002050_08495
ko:K02389	seec:CFSAN002050_12270
ko:K02390	seec:CFSAN002050_12275
ko:K02391	seec:CFSAN002050_12280
ko:K02392	seec:CFSAN002050_12285
ko:K02393	seec:CFSAN002050_12290
ko:K02394	seec:CFSAN002050_12295
ko:K02395	seec:CFSAN002050_12300
ko:K02396	seec:CFSAN002050_12305
ko:K02397	seec:CFSAN002050_12310
ko:K08300	seec:CFSAN002050_12315
ko:K07040	seec:CFSAN002050_12340
ko:K02911	seec:CFSAN002050_12345
ko:K03621	seec:CFSAN002050_12350
ko:K00648	seec:CFSAN002050_12355
ko:K00645	seec:CFSAN002050_12360
ko:K02078	seec:CFSAN002050_12370
ko:K09458	seec:CFSAN002050_12375
ko:K07082	seec:CFSAN002050_12385
ko:K00943	seec:CFSAN002050_12390
ko:K02341	seec:CFSAN002050_12395
ko:K03424	seec:CFSAN002050_12400
ko:K16088	seec:CFSAN002050_12410
ko:K02503	seec:CFSAN002050_12415
ko:K07337	seec:CFSAN002050_12425
ko:K07251	seec:CFSAN002050_12430
ko:K01207	seec:CFSAN002050_12435
ko:K07000	seec:CFSAN002050_12440
ko:K03885	seec:CFSAN002050_12445
ko:K12151	seec:CFSAN002050_12460
ko:K03723	seec:CFSAN002050_12470
ko:K09808	seec:CFSAN002050_12475
ko:K09810	seec:CFSAN002050_12480
ko:K09808	seec:CFSAN002050_12485
ko:K12410	seec:CFSAN002050_12495
ko:K07136	seec:CFSAN002050_16340
ko:K15256	seec:CFSAN002050_16345
ko:K15257	seec:CFSAN002050_16350
ko:K09907	seec:CFSAN002050_16360
ko:K01887	seec:CFSAN002050_16365
ko:K05515	seec:CFSAN002050_16370
ko:K15532	seec:CFSAN002050_16375
ko:K03516	seec:CFSAN002050_16380
ko:K02400	seec:CFSAN002050_16385
ko:K02401	seec:CFSAN002050_16390
ko:K03414	seec:CFSAN002050_16395
ko:K03413	seec:CFSAN002050_16400
ko:K03412	seec:CFSAN002050_16405
ko:K03408	seec:CFSAN002050_16420
ko:K03407	seec:CFSAN002050_16425
ko:K02557	seec:CFSAN002050_16430
ko:K02556	seec:CFSAN002050_16435
ko:K02402	seec:CFSAN002050_16440
ko:K02403	seec:CFSAN002050_16445
ko:K14064	seec:CFSAN002050_16450
ko:K00697	seec:CFSAN002050_16455
ko:K01087	seec:CFSAN002050_16460
ko:K02255	seec:CFSAN002050_16475
ko:K02217	seec:CFSAN002050_16490
ko:K03834	seec:CFSAN002050_16500
ko:K07039	seec:CFSAN002050_16505
ko:K15736	seec:CFSAN002050_20235
ko:K11735	seec:CFSAN002050_20250
ko:K15735	seec:CFSAN002050_20255
ko:K00375	seec:CFSAN002050_20305
ko:K02000	seec:CFSAN002050_20340
ko:K02001	seec:CFSAN002050_20345
ko:K02002	seec:CFSAN002050_20350
ko:K15974	seec:CFSAN002050_20360
ko:K03543	seec:CFSAN002050_20365
ko:K03446	seec:CFSAN002050_20370
ko:K07173	seec:CFSAN002050_20380
ko:K01919	seec:CFSAN002050_20385
ko:K03563	seec:CFSAN002050_20425
ko:K01872	seec:CFSAN002050_20430
ko:K03565	seec:CFSAN002050_20435
ko:K02781	seec:CFSAN002050_20470
ko:K02468	seec:CFSAN002050_20485
ko:K02992	seec:CFSAN002050_24200
ko:K02950	seec:CFSAN002050_24205
ko:K07237	seec:CFSAN002050_24210
ko:K07236	seec:CFSAN002050_24215
ko:K07235	seec:CFSAN002050_24220
ko:K03745	seec:CFSAN002050_24235
ko:K03775	seec:CFSAN002050_24240
ko:K07070	seec:CFSAN002050_24245
ko:K06158	seec:CFSAN002050_24260
ko:K00855	seec:CFSAN002050_24285
ko:K07397	seec:CFSAN002050_24290
ko:K04095	seec:CFSAN002050_24315
ko:K06141	seec:CFSAN002050_24330
ko:K00362	seec:CFSAN002050_24335
ko:K00363	seec:CFSAN002050_24340
ko:K02598	seec:CFSAN002050_24345
ko:K02302	seec:CFSAN002050_24350
ko:K12516	seec:CFSAN002050_24355
ko:K01867	seec:CFSAN002050_24365
ko:K01091	seec:CFSAN002050_24370
ko:K01783	seec:CFSAN002050_24375
ko:K03112	seec:CFSAN002050_24385
ko:K01735	seec:CFSAN002050_24390
ko:K00891	seec:CFSAN002050_24395
ko:K02507	seec:CFSAN002050_24400
ko:K12291	seec:CFSAN002050_24405
ko:K12290	seec:CFSAN002050_24410
ko:K12289	seec:CFSAN002050_24415
ko:K12288	seec:CFSAN002050_24420
ko:K05366	seec:CFSAN002050_24425
ko:K08312	seec:CFSAN002050_24430
ko:K01653	seec:CFSAN002050_01850
ko:K01652	seec:CFSAN002050_01855
ko:K08154	seec:CFSAN002050_01870
ko:K13629	seec:CFSAN002050_01885
ko:K01753	seec:CFSAN002050_01890
ko:K06871	seec:CFSAN002050_01895
ko:K07085	seec:CFSAN002050_01920
ko:K04081	seec:CFSAN002050_01925
ko:K04080	seec:CFSAN002050_01930
ko:K02199	seec:CFSAN002050_01955
ko:K02198	seec:CFSAN002050_01960
ko:K02197	seec:CFSAN002050_01965
ko:K02196	seec:CFSAN002050_01970
ko:K02195	seec:CFSAN002050_01975
ko:K02194	seec:CFSAN002050_01980
ko:K00428	seec:CFSAN002050_01990
ko:K03533	seec:CFSAN002050_01995
ko:K07811	seec:CFSAN002050_02000
ko:K03532	seec:CFSAN002050_02005
ko:K11930	seec:CFSAN002050_02015
ko:K07647	seec:CFSAN002050_02020
ko:K01684	seec:CFSAN002050_02030
ko:K01631	seec:CFSAN002050_02035
ko:K00883	seec:CFSAN002050_02040
ko:K02470	seec:CFSAN002050_02070
ko:K03629	seec:CFSAN002050_02075
ko:K02338	seec:CFSAN002050_02080
ko:K02313	seec:CFSAN002050_02085
ko:K03536	seec:CFSAN002050_02090
ko:K03217	seec:CFSAN002050_02095
ko:K03650	seec:CFSAN002050_02100
ko:K09982	seec:CFSAN002050_06010
ko:K01867	seec:CFSAN002050_06045
ko:K01779	seec:CFSAN002050_06060
ko:K01305	seec:CFSAN002050_06070
ko:K02317	seec:CFSAN002050_06205
ko:K13255	seec:CFSAN002050_06235
ko:K01953	seec:CFSAN002050_10015
ko:K02565	seec:CFSAN002050_10025
ko:K01443	seec:CFSAN002050_10030
ko:K02802	seec:CFSAN002050_10040
ko:K02803	seec:CFSAN002050_10040
ko:K02804	seec:CFSAN002050_10040
ko:K01886	seec:CFSAN002050_10045
ko:K03288	seec:CFSAN002050_10060
ko:K07075	seec:CFSAN002050_00285
ko:K00954	seec:CFSAN002050_01545
ko:K02913	seec:CFSAN002050_01555
ko:K02902	seec:CFSAN002050_01560
ko:K03630	seec:CFSAN002050_01565
ko:K13038	seec:CFSAN002050_01570
ko:K03841	seec:CFSAN002050_05480
ko:K02558	seec:CFSAN002050_05485
ko:K03337	seec:CFSAN002050_05515
ko:K00140	seec:CFSAN002050_05520
ko:K03335	seec:CFSAN002050_05530
ko:K01201	seec:CFSAN002050_05540
ko:K06606	seec:CFSAN002050_05545
ko:K03338	seec:CFSAN002050_05555
ko:K03336	seec:CFSAN002050_05565
ko:K06606	seec:CFSAN002050_05580
ko:K06605	seec:CFSAN002050_05585
ko:K09889	seec:CFSAN002050_05590
ko:K03592	seec:CFSAN002050_05595
ko:K15536	seec:CFSAN002050_05600
ko:K01465	seec:CFSAN002050_05630
ko:K01042	seec:CFSAN002050_05635
ko:K02818	seec:CFSAN002050_05690
ko:K02819	seec:CFSAN002050_05690
ko:K03485	seec:CFSAN002050_05695
ko:K01531	seec:CFSAN002050_05700
ko:K00610	seec:CFSAN002050_05715
ko:K00609	seec:CFSAN002050_05720
ko:K06048	seec:CFSAN002050_09525
ko:K02362	seec:CFSAN002050_09530
ko:K02364	seec:CFSAN002050_09550
ko:K02013	seec:CFSAN002050_09560
ko:K02015	seec:CFSAN002050_09565
ko:K02015	seec:CFSAN002050_09570
ko:K02016	seec:CFSAN002050_09580
ko:K02361	seec:CFSAN002050_09585
ko:K02363	seec:CFSAN002050_09590
ko:K01252	seec:CFSAN002050_09595
ko:K00216	seec:CFSAN002050_09600
ko:K06200	seec:CFSAN002050_09610
ko:K08317	seec:CFSAN002050_09620
ko:K14287	seec:CFSAN002050_09625
ko:K03805	seec:CFSAN002050_09645
ko:K03387	seec:CFSAN002050_09655
ko:K11932	seec:CFSAN002050_09680
ko:K06140	seec:CFSAN002050_09690
ko:K01169	seec:CFSAN002050_09695
ko:K05964	seec:CFSAN002050_09710
ko:K01643	seec:CFSAN002050_09715
ko:K01644	seec:CFSAN002050_09720
ko:K01646	seec:CFSAN002050_09725
ko:K01910	seec:CFSAN002050_09730
ko:K07700	seec:CFSAN002050_09735
ko:K07702	seec:CFSAN002050_09740
ko:K12973	seec:CFSAN002050_09750
ko:K03704	seec:CFSAN002050_09755
ko:K00793	seec:CFSAN002050_13525
ko:K00574	seec:CFSAN002050_13530
ko:K04564	seec:CFSAN002050_13555
ko:K07390	seec:CFSAN002050_13565
ko:K03683	seec:CFSAN002050_13570
ko:K10680	seec:CFSAN002050_13580
ko:K16137	seec:CFSAN002050_13585
ko:K06077	seec:CFSAN002050_13620
ko:K09001	seec:CFSAN002050_13625
ko:K00275	seec:CFSAN002050_13635
ko:K01866	seec:CFSAN002050_13640
ko:K00868	seec:CFSAN002050_13645
ko:K03305	seec:CFSAN002050_13655
ko:K10773	seec:CFSAN002050_13660
ko:K14155	seec:CFSAN002050_13720
ko:K01809	seec:CFSAN002050_13730
ko:K01676	seec:CFSAN002050_13735
ko:K07639	seec:CFSAN002050_13750
ko:K01991	seec:CFSAN002050_17525
ko:K07289	seec:CFSAN002050_17535
ko:K01494	seec:CFSAN002050_17540
ko:K00876	seec:CFSAN002050_17545
ko:K01247	seec:CFSAN002050_17555
ko:K04046	seec:CFSAN002050_17560
ko:K07799	seec:CFSAN002050_17565
ko:K07788	seec:CFSAN002050_17570
ko:K07789	seec:CFSAN002050_17575
ko:K07642	seec:CFSAN002050_17585
ko:K07664	seec:CFSAN002050_17590
ko:K08303	seec:CFSAN002050_17690
ko:K00941	seec:CFSAN002050_17725
ko:K00878	seec:CFSAN002050_17730
ko:K07347	seec:CFSAN002050_17745
ko:K13795	seec:CFSAN002050_10065
ko:K13796	seec:CFSAN002050_10070
ko:K13794	seec:CFSAN002050_10075
ko:K03839	seec:CFSAN002050_10085
ko:K03645	seec:CFSAN002050_10100
ko:K01581	seec:CFSAN002050_10120
ko:K07667	seec:CFSAN002050_10130
ko:K07646	seec:CFSAN002050_10135
ko:K01548	seec:CFSAN002050_10140
ko:K01547	seec:CFSAN002050_10145
ko:K01546	seec:CFSAN002050_10150
ko:K01669	seec:CFSAN002050_10165
ko:K03305	seec:CFSAN002050_10170
ko:K07160	seec:CFSAN002050_10190
ko:K01647	seec:CFSAN002050_10205
ko:K00242	seec:CFSAN002050_10215
ko:K00239	seec:CFSAN002050_10220
ko:K00240	seec:CFSAN002050_10225
ko:K00164	seec:CFSAN002050_10230
ko:K00658	seec:CFSAN002050_10235
ko:K01903	seec:CFSAN002050_10240
ko:K08324	seec:CFSAN002050_14025
ko:K01425	seec:CFSAN002050_14030
ko:K04651	seec:CFSAN002050_14055
ko:K03618	seec:CFSAN002050_14065
ko:K03619	seec:CFSAN002050_14070
ko:K04653	seec:CFSAN002050_14075
ko:K03620	seec:CFSAN002050_14085
ko:K02529	seec:CFSAN002050_14170
ko:K03315	seec:CFSAN002050_14175
ko:K14155	seec:CFSAN002050_14180
ko:K06044	seec:CFSAN002050_14190
ko:K02972	seec:CFSAN002050_14220
ko:K08349	seec:CFSAN002050_14240
ko:K01151	seec:CFSAN002050_18020
ko:K02769	seec:CFSAN002050_18025
ko:K02770	seec:CFSAN002050_18025
ko:K02768	seec:CFSAN002050_18035
ko:K11183	seec:CFSAN002050_18035
ko:K03291	seec:CFSAN002050_18045
ko:K02356	seec:CFSAN002050_18055
ko:K13694	seec:CFSAN002050_18070
ko:K13893	seec:CFSAN002050_18080
ko:K13894	seec:CFSAN002050_18085
ko:K13895	seec:CFSAN002050_18090
ko:K13896	seec:CFSAN002050_18095
ko:K07552	seec:CFSAN002050_18105
ko:K02897	seec:CFSAN002050_18120
ko:K06899	seec:CFSAN002050_18130
ko:K09904	seec:CFSAN002050_18135
ko:K07014	seec:CFSAN002050_18140
ko:K07685	seec:CFSAN002050_18160
ko:K02199	seec:CFSAN002050_18170
ko:K02198	seec:CFSAN002050_18175
ko:K02197	seec:CFSAN002050_18180
ko:K02196	seec:CFSAN002050_18185
ko:K02195	seec:CFSAN002050_18190
ko:K02194	seec:CFSAN002050_18195
ko:K02568	seec:CFSAN002050_18210
ko:K02573	seec:CFSAN002050_18220
ko:K02567	seec:CFSAN002050_18225
ko:K02570	seec:CFSAN002050_18230
ko:K02572	seec:CFSAN002050_18235
ko:K08276	seec:CFSAN002050_18240
ko:K06159	seec:CFSAN002050_18245
ko:K03919	seec:CFSAN002050_18250
ko:K10778	seec:CFSAN002050_18255
ko:K03734	seec:CFSAN002050_18260
ko:K09475	seec:CFSAN002050_18265
ko:K07644	seec:CFSAN002050_22020
ko:K07156	seec:CFSAN002050_22035
ko:K07233	seec:CFSAN002050_22040
ko:K07787	seec:CFSAN002050_22080
ko:K07798	seec:CFSAN002050_22085
ko:K07644	seec:CFSAN002050_22105
ko:K03823	seec:CFSAN002050_22175
ko:K03893	seec:CFSAN002050_22200
ko:K07154	seec:CFSAN002050_01335
ko:K05795	seec:CFSAN002050_01395
ko:K05795	seec:CFSAN002050_01400
ko:K04084	seec:CFSAN002050_05025
ko:K03926	seec:CFSAN002050_05030
ko:K07791	seec:CFSAN002050_05035
ko:K04567	seec:CFSAN002050_21550
ko:K02836	seec:CFSAN002050_21555
ko:K07462	seec:CFSAN002050_21560
ko:K03981	seec:CFSAN002050_21565
ko:K03840	seec:CFSAN002050_21575
ko:K09159	seec:CFSAN002050_21585
ko:K06980	seec:CFSAN002050_21595
ko:K11068	seec:CFSAN002050_21600
ko:K09900	seec:CFSAN002050_21605
ko:K01223	seec:CFSAN002050_21610
ko:K00281	seec:CFSAN002050_21620
