ko:K00887	lcx:LCA12A_0848
ko:K02004	lcx:LCA12A_2241
ko:K07023	lcx:LCA12A_2242
ko:K03702	lcx:LCA12A_2243
ko:K03701	lcx:LCA12A_2244
ko:K06958	lcx:LCA12A_2246
ko:K09762	lcx:LCA12A_2248
ko:K01358	lcx:LCA12A_2250
ko:K05311	lcx:LCA12A_2253
ko:K00134	lcx:LCA12A_2254
ko:K00927	lcx:LCA12A_2255
ko:K01803	lcx:LCA12A_2256
ko:K01689	lcx:LCA12A_2257
ko:K03075	lcx:LCA12A_2261
ko:K03928	lcx:LCA12A_2262
ko:K12573	lcx:LCA12A_2263
ko:K03664	lcx:LCA12A_2264
ko:K01187	lcx:LCA12A_2266
ko:K00691	lcx:LCA12A_2268
ko:K01838	lcx:LCA12A_2269
ko:K10112	lcx:LCA12A_2270
ko:K15770	lcx:LCA12A_2273
ko:K15771	lcx:LCA12A_2274
ko:K07407	lcx:LCA12A_2329
ko:K06209	lcx:LCA12A_2337
ko:K03502	lcx:LCA12A_2340
ko:K10804	lcx:LCA12A_2343
ko:K03657	lcx:LCA12A_2345
ko:K01972	lcx:LCA12A_2346
ko:K02435	lcx:LCA12A_2348
ko:K02433	lcx:LCA12A_2349
ko:K02434	lcx:LCA12A_2350
ko:K07029	lcx:LCA12A_2351
ko:K03215	lcx:LCA12A_2352
ko:K07386	lcx:LCA12A_2356
ko:K07273	lcx:LCA12A_2362
ko:K02759	lcx:LCA12A_2367
ko:K03654	lcx:LCA12A_2370
ko:K03975	lcx:LCA12A_0661
ko:K03768	lcx:LCA12A_0664
ko:K07570	lcx:LCA12A_0665
ko:K03091	lcx:LCA12A_0001
ko:K19002	lcx:LCA12A_0003
ko:K13678	lcx:LCA12A_0004
ko:K07027	lcx:LCA12A_0005
ko:K00841	lcx:LCA12A_0007
ko:K09825	lcx:LCA12A_0011
ko:K00789	lcx:LCA12A_1202
ko:K02440	lcx:LCA12A_1692
ko:K00105	lcx:LCA12A_1693
ko:K00864	lcx:LCA12A_1694
ko:K00849	lcx:LCA12A_1696
ko:K01784	lcx:LCA12A_1697
ko:K00965	lcx:LCA12A_1698
ko:K02529	lcx:LCA12A_1699
ko:K01785	lcx:LCA12A_1700
ko:K00917	lcx:LCA12A_1708
ko:K01635	lcx:LCA12A_1709
ko:K01819	lcx:LCA12A_1710
ko:K01819	lcx:LCA12A_1711
ko:K02530	lcx:LCA12A_1712
ko:K03547	lcx:LCA12A_1714
ko:K13993	lcx:LCA12A_1717
ko:K03575	lcx:LCA12A_1718
ko:K00941	lcx:LCA12A_1724
ko:K07118	lcx:LCA12A_1727
ko:K05349	lcx:LCA12A_1728
ko:K01989	lcx:LCA12A_1729
ko:K01989	lcx:LCA12A_1730
ko:K05832	lcx:LCA12A_1731
ko:K05833	lcx:LCA12A_1732
ko:K02313	lcx:LCA12A_0617
ko:K02338	lcx:LCA12A_0618
ko:K03629	lcx:LCA12A_0620
ko:K02470	lcx:LCA12A_0621
ko:K02469	lcx:LCA12A_0622
ko:K01619	lcx:LCA12A_0623
ko:K03111	lcx:LCA12A_0624
ko:K02990	lcx:LCA12A_0625
ko:K03111	lcx:LCA12A_0626
ko:K02963	lcx:LCA12A_0627
ko:K00425	lcx:LCA12A_0628
ko:K07052	lcx:LCA12A_0634
ko:K02004	lcx:LCA12A_0637
ko:K02003	lcx:LCA12A_0638
ko:K07090	lcx:LCA12A_0643
ko:K03322	lcx:LCA12A_0649
ko:K08659	lcx:LCA12A_0982
ko:K14983	lcx:LCA12A_1738
ko:K14982	lcx:LCA12A_1739
ko:K01574	lcx:LCA12A_1743
ko:K01356	lcx:LCA12A_1755
ko:K07088	lcx:LCA12A_1757
ko:K01934	lcx:LCA12A_1761
ko:K03284	lcx:LCA12A_1763
ko:K07088	lcx:LCA12A_1766
ko:K11065	lcx:LCA12A_1767
ko:K00940	lcx:LCA12A_1774
ko:K01259	lcx:LCA12A_1776
ko:K01091	lcx:LCA12A_1780
ko:K06889	lcx:LCA12A_1782
ko:K03647	lcx:LCA12A_1783
ko:K07052	lcx:LCA12A_0990
ko:K01625	lcx:LCA12A_0991
ko:K06994	lcx:LCA12A_0997
ko:K05846	lcx:LCA12A_1000
ko:K05845	lcx:LCA12A_1001
ko:K05846	lcx:LCA12A_1002
ko:K05847	lcx:LCA12A_1003
ko:K07052	lcx:LCA12A_1004
ko:K01534	lcx:LCA12A_1006
ko:K07052	lcx:LCA12A_1010
ko:K02003	lcx:LCA12A_1011
ko:K02768	lcx:LCA12A_1014
ko:K15524	lcx:LCA12A_1015
ko:K01223	lcx:LCA12A_1017
ko:K01695	lcx:LCA12A_1019
ko:K01696	lcx:LCA12A_1020
ko:K01817	lcx:LCA12A_1021
ko:K01609	lcx:LCA12A_1022
ko:K00766	lcx:LCA12A_1023
ko:K00215	lcx:LCA12A_1031
ko:K15772	lcx:LCA12A_2275
ko:K07729	lcx:LCA12A_2277
ko:K12574	lcx:LCA12A_2278
ko:K02027	lcx:LCA12A_2279
ko:K02026	lcx:LCA12A_2280
ko:K02025	lcx:LCA12A_2281
ko:K10112	lcx:LCA12A_2282
ko:K03648	lcx:LCA12A_2286
ko:K00625	lcx:LCA12A_2287
ko:K06925	lcx:LCA12A_2288
ko:K01990	lcx:LCA12A_2290
ko:K01992	lcx:LCA12A_2291
ko:K02342	lcx:LCA12A_2292
ko:K01142	lcx:LCA12A_2293
ko:K00075	lcx:LCA12A_2294
ko:K03316	lcx:LCA12A_2295
ko:K11072	lcx:LCA12A_2297
ko:K11071	lcx:LCA12A_2298
ko:K11070	lcx:LCA12A_2299
ko:K11069	lcx:LCA12A_2300
ko:K01990	lcx:LCA12A_2306
ko:K18672	lcx:LCA12A_2307
ko:K03431	lcx:LCA12A_2309
ko:K00820	lcx:LCA12A_2311
ko:K02243	lcx:LCA12A_2315
ko:K02244	lcx:LCA12A_2316
ko:K02245	lcx:LCA12A_2317
ko:K02246	lcx:LCA12A_2318
ko:K02248	lcx:LCA12A_2320
ko:K01714	lcx:LCA12A_1032
ko:K05823	lcx:LCA12A_1033
ko:K05822	lcx:LCA12A_1034
ko:K01586	lcx:LCA12A_1035
ko:K00928	lcx:LCA12A_1036
ko:K01778	lcx:LCA12A_1037
ko:K00133	lcx:LCA12A_1038
ko:K02939	lcx:LCA12A_1045
ko:K02808	lcx:LCA12A_1048
ko:K02809	lcx:LCA12A_1048
ko:K02810	lcx:LCA12A_1048
ko:K07106	lcx:LCA12A_1049
ko:K02003	lcx:LCA12A_1052
ko:K02004	lcx:LCA12A_1053
ko:K01939	lcx:LCA12A_1055
ko:K01534	lcx:LCA12A_1056
ko:K01535	lcx:LCA12A_1058
ko:K01990	lcx:LCA12A_1064
ko:K01992	lcx:LCA12A_1065
ko:K01921	lcx:LCA12A_1077
ko:K03778	lcx:LCA12A_1079
ko:K07010	lcx:LCA12A_2449
ko:K01915	lcx:LCA12A_2450
ko:K07045	lcx:LCA12A_2451
ko:K01223	lcx:LCA12A_2458
ko:K02759	lcx:LCA12A_2459
ko:K02761	lcx:LCA12A_2460
ko:K02760	lcx:LCA12A_2461
ko:K03491	lcx:LCA12A_2462
ko:K07284	lcx:LCA12A_2465
ko:K01990	lcx:LCA12A_2466
ko:K01256	lcx:LCA12A_2472
ko:K08996	lcx:LCA12A_2474
ko:K00014	lcx:LCA12A_2478
ko:K00014	lcx:LCA12A_2480
ko:K00651	lcx:LCA12A_2481
ko:K01738	lcx:LCA12A_2482
ko:K01760	lcx:LCA12A_2484
ko:K02424	lcx:LCA12A_2485
ko:K10009	lcx:LCA12A_2486
ko:K03311	lcx:LCA12A_2488
ko:K08987	lcx:LCA12A_1083
ko:K06901	lcx:LCA12A_1085
ko:K09004	lcx:LCA12A_1086
ko:K10831	lcx:LCA12A_1088
ko:K15551	lcx:LCA12A_1089
