ko:K03046	smg:SMGWSS_056
ko:K01893	smg:SMGWSS_163
ko:K02338	smg:SMGWSS_005
ko:K00175	smg:SMGWSS_048
ko:K02548	smg:SMGWSS_138
ko:K01714	smg:SMGWSS_174
ko:K02836	smg:SMGWSS_176
ko:K03100	smg:SMGWSS_178
ko:K02970	smg:SMGWSS_179
ko:K00014	smg:SMGWSS_180
ko:K03979	smg:SMGWSS_181
ko:K00382	smg:SMGWSS_182
ko:K00164	smg:SMGWSS_186
ko:K03118	smg:SMGWSS_188
ko:K03664	smg:SMGWSS_189
ko:K04077	smg:SMGWSS_192
ko:K04078	smg:SMGWSS_193
ko:K09014	smg:SMGWSS_195
ko:K09013	smg:SMGWSS_196
ko:K09015	smg:SMGWSS_197
ko:K02519	smg:SMGWSS_199
ko:K00133	smg:SMGWSS_202
ko:K02968	smg:SMGWSS_203
ko:K00800	smg:SMGWSS_205
ko:K02959	smg:SMGWSS_206
ko:K03501	smg:SMGWSS_209
ko:K03086	smg:SMGWSS_213
ko:K00962	smg:SMGWSS_214
ko:K02956	smg:SMGWSS_215
ko:K03183	smg:SMGWSS_216
ko:K02909	smg:SMGWSS_217
ko:K02950	smg:SMGWSS_218
ko:K02992	smg:SMGWSS_219
ko:K02355	smg:SMGWSS_220
ko:K02946	smg:SMGWSS_221
ko:K02906	smg:SMGWSS_222
ko:K02926	smg:SMGWSS_223
ko:K02886	smg:SMGWSS_225
ko:K02965	smg:SMGWSS_226
ko:K02890	smg:SMGWSS_227
ko:K02982	smg:SMGWSS_228
ko:K02878	smg:SMGWSS_229
ko:K02961	smg:SMGWSS_230
ko:K01704	smg:SMGWSS_041
ko:K01890	smg:SMGWSS_006
ko:K00826	smg:SMGWSS_098
ko:K00174	smg:SMGWSS_158
ko:K03555	smg:SMGWSS_085
ko:K01755	smg:SMGWSS_252
ko:K01338	smg:SMGWSS_129
ko:K03801	smg:SMGWSS_001
ko:K01873	smg:SMGWSS_002
ko:K03798	smg:SMGWSS_004
ko:K01735	smg:SMGWSS_007
ko:K02469	smg:SMGWSS_008
ko:K03885	smg:SMGWSS_011
ko:K03628	smg:SMGWSS_012
ko:K02835	smg:SMGWSS_013
ko:K09458	smg:SMGWSS_015
ko:K02078	smg:SMGWSS_016
ko:K02112	smg:SMGWSS_018
ko:K02528	smg:SMGWSS_019
ko:K03101	smg:SMGWSS_021
ko:K01886	smg:SMGWSS_023
ko:K03495	smg:SMGWSS_024
ko:K07056	smg:SMGWSS_026
ko:K00948	smg:SMGWSS_028
ko:K02897	smg:SMGWSS_029
ko:K02115	smg:SMGWSS_031
ko:K02111	smg:SMGWSS_032
ko:K02110	smg:SMGWSS_036
ko:K02108	smg:SMGWSS_037
ko:K00928	smg:SMGWSS_038
ko:K01649	smg:SMGWSS_043
ko:K01866	smg:SMGWSS_045
ko:K01869	smg:SMGWSS_046
ko:K01875	smg:SMGWSS_049
ko:K02902	smg:SMGWSS_050
ko:K02913	smg:SMGWSS_051
ko:K06180	smg:SMGWSS_054
ko:K06173	smg:SMGWSS_055
ko:K02935	smg:SMGWSS_058
ko:K07277	smg:SMGWSS_162
ko:K02945	smg:SMGWSS_010
ko:K05595	smg:SMGWSS_039
ko:K13043	smg:SMGWSS_114
ko:K02109	smg:SMGWSS_035
ko:K04518	smg:SMGWSS_201
ko:K04487	smg:SMGWSS_127
ko:K11717	smg:SMGWSS_198
ko:K00185	smg:SMGWSS_070
ko:K02114	smg:SMGWSS_017
ko:K01940	smg:SMGWSS_109
ko:K06168	smg:SMGWSS_194
ko:K02911	smg:SMGWSS_211
ko:K02963	smg:SMGWSS_171
ko:K12524	smg:SMGWSS_141
ko:K04516	smg:SMGWSS_200
ko:K14219	smg:SMGWSS_168
ko:K14233	smg:SMGWSS_164
ko:K14218	smg:SMGWSS_078
ko:K00215	smg:SMGWSS_177
ko:K14226	smg:SMGWSS_053
ko:K14233	smg:SMGWSS_131
ko:K14219	smg:SMGWSS_142
ko:K14228	smg:SMGWSS_087
ko:K14232	smg:SMGWSS_143
ko:K14219	smg:SMGWSS_253
ko:K14223	smg:SMGWSS_207
ko:K14220	smg:SMGWSS_022
ko:K14237	smg:SMGWSS_107
ko:K14234	smg:SMGWSS_064
ko:K00674	smg:SMGWSS_097
ko:K14231	smg:SMGWSS_047
ko:K01985	smg:SMGWSS_080
ko:K14229	smg:SMGWSS_118
ko:K14228	smg:SMGWSS_183
ko:K02113	smg:SMGWSS_033
ko:K07052	smg:SMGWSS_155
ko:K01653	smg:SMGWSS_263
ko:K14221	smg:SMGWSS_117
ko:K14224	smg:SMGWSS_204
ko:K14228	smg:SMGWSS_156
ko:K14230	smg:SMGWSS_020
ko:K01977	smg:SMGWSS_076
ko:K01980	smg:SMGWSS_079
ko:K14234	smg:SMGWSS_067
ko:K14230	smg:SMGWSS_165
ko:K14227	smg:SMGWSS_077
ko:K14222	smg:SMGWSS_027
ko:K14236	smg:SMGWSS_066
ko:K14228	smg:SMGWSS_157
ko:K14230	smg:SMGWSS_185
ko:K14225	smg:SMGWSS_065
ko:K14235	smg:SMGWSS_062
ko:K14233	smg:SMGWSS_144
ko:K14225	smg:SMGWSS_086
ko:K15862	smg:SMGWSS_148
ko:K15035	smg:SMGWSS_169
ko:K01696	smg:SMGWSS_122
ko:K01817	smg:SMGWSS_122
ko:K00184	smg:SMGWSS_069
ko:K01978	smg:SMGWSS_266
ko:K17686	smg:SMGWSS_150
ko:K18707	smg:SMGWSS_134
ko:K00821	smg:SMGWSS_111
