ko:K19744	pael:T223_05460
ko:K09774	pael:T223_24715
ko:K06861	pael:T223_24720
ko:K03092	pael:T223_24725
ko:K05808	pael:T223_24730
ko:K02806	pael:T223_24735
ko:K06958	pael:T223_24740
ko:K11189	pael:T223_24745
ko:K07238	pael:T223_24750
ko:K04564	pael:T223_24755
ko:K01679	pael:T223_24765
ko:K03592	pael:T223_24775
ko:K09889	pael:T223_24780
ko:K03568	pael:T223_24785
ko:K08301	pael:T223_24800
ko:K06140	pael:T223_28980
ko:K06202	pael:T223_28990
ko:K01586	pael:T223_29000
ko:K01778	pael:T223_29005
ko:K09921	pael:T223_29010
ko:K03733	pael:T223_29015
ko:K03320	pael:T223_29050
ko:K04752	pael:T223_29055
ko:K09806	pael:T223_29060
ko:K07391	pael:T223_29065
ko:K02168	pael:T223_29070
ko:K03327	pael:T223_29085
ko:K03656	pael:T223_29095
ko:K00156	pael:T223_29100
ko:K03816	pael:T223_29105
ko:K01775	pael:T223_29125
ko:K00285	pael:T223_29135
ko:K09978	pael:T223_29140
ko:K12254	pael:T223_29175
ko:K00822	pael:T223_29180
ko:K06995	pael:T223_29185
ko:K02913	pael:T223_29190
ko:K02902	pael:T223_29195
ko:K02035	pael:T223_29200
ko:K03630	pael:T223_29210
ko:K13038	pael:T223_29215
ko:K15778	pael:T223_29225
ko:K00930	pael:T223_29230
ko:K02860	pael:T223_06090
ko:K00554	pael:T223_06095
ko:K02884	pael:T223_06100
ko:K04763	pael:T223_06120
ko:K03981	pael:T223_06125
ko:K00003	pael:T223_06130
ko:K01733	pael:T223_06135
ko:K09980	pael:T223_06155
ko:K07462	pael:T223_06190
ko:K07687	pael:T223_06250
ko:K00316	pael:T223_06255
ko:K13487	pael:T223_06280
ko:K13488	pael:T223_06285
ko:K13486	pael:T223_06290
ko:K13489	pael:T223_06295
ko:K11444	pael:T223_06310
ko:K04567	pael:T223_06320
ko:K06889	pael:T223_06345
ko:K09986	pael:T223_10640
ko:K00311	pael:T223_10645
ko:K03521	pael:T223_10650
ko:K03522	pael:T223_10655
ko:K00209	pael:T223_10660
ko:K05936	pael:T223_10670
ko:K02189	pael:T223_10675
ko:K02234	pael:T223_10690
ko:K02230	pael:T223_10695
ko:K01626	pael:T223_10700
ko:K03405	pael:T223_10705
ko:K13580	pael:T223_10710
ko:K10680	pael:T223_10755
ko:K10017	pael:T223_10790
ko:K10015	pael:T223_10795
ko:K10016	pael:T223_10800
ko:K03406	pael:T223_10820
ko:K02015	pael:T223_10850
ko:K02016	pael:T223_10855
ko:K02013	pael:T223_10860
ko:K02014	pael:T223_10865
ko:K05895	pael:T223_10875
ko:K02188	pael:T223_10880
ko:K00595	pael:T223_10885
ko:K02229	pael:T223_10890
ko:K06042	pael:T223_10895
ko:K03394	pael:T223_10900
ko:K13541	pael:T223_10905
ko:K00131	pael:T223_15235
ko:K03299	pael:T223_15245
ko:K00851	pael:T223_15250
ko:K06145	pael:T223_15255
ko:K06995	pael:T223_15260
ko:K09471	pael:T223_15265
ko:K03119	pael:T223_15300
ko:K02051	pael:T223_15305
ko:K02049	pael:T223_15310
ko:K02050	pael:T223_15315
ko:K03710	pael:T223_15355
ko:K02051	pael:T223_15370
ko:K02050	pael:T223_15375
ko:K02049	pael:T223_15380
ko:K07267	pael:T223_15395
ko:K00117	pael:T223_15400
ko:K02014	pael:T223_15405
ko:K03893	pael:T223_15460
ko:K13979	pael:T223_15475
ko:K13639	pael:T223_15485
ko:K03587	pael:T223_15490
ko:K02299	pael:T223_19760
ko:K02298	pael:T223_19765
ko:K02297	pael:T223_19770
ko:K05306	pael:T223_19800
ko:K03430	pael:T223_19805
ko:K01354	pael:T223_19835
ko:K03100	pael:T223_19840
ko:K16087	pael:T223_19845
ko:K03088	pael:T223_19855
ko:K09160	pael:T223_19860
ko:K09902	pael:T223_19880
ko:K03684	pael:T223_19885
ko:K06901	pael:T223_19900
ko:K07127	pael:T223_19905
ko:K01477	pael:T223_19920
ko:K01483	pael:T223_19925
ko:K11903	pael:T223_19935
ko:K03639	pael:T223_19965
ko:K01608	pael:T223_19985
ko:K00873	pael:T223_20005
ko:K08717	pael:T223_20010
ko:K10716	pael:T223_20015
ko:K02048	pael:T223_20030
ko:K04023	pael:T223_20040
ko:K09947	pael:T223_24270
ko:K00763	pael:T223_24285
ko:K06199	pael:T223_24325
ko:K04077	pael:T223_24335
ko:K04078	pael:T223_24340
ko:K07113	pael:T223_24345
ko:K07226	pael:T223_24350
ko:K00059	pael:T223_24355
ko:K07443	pael:T223_24370
ko:K08218	pael:T223_24375
ko:K03442	pael:T223_24380
ko:K09767	pael:T223_24385
ko:K00077	pael:T223_24395
ko:K00798	pael:T223_24405
ko:K03574	pael:T223_24410
ko:K00620	pael:T223_24420
ko:K03070	pael:T223_24425
ko:K02535	pael:T223_24440
ko:K03531	pael:T223_24445
ko:K03590	pael:T223_24450
ko:K03589	pael:T223_24455
ko:K01921	pael:T223_24460
ko:K01924	pael:T223_24465
ko:K02563	pael:T223_24470
ko:K03588	pael:T223_24475
ko:K01925	pael:T223_24480
ko:K01000	pael:T223_24485
ko:K01929	pael:T223_24490
ko:K01928	pael:T223_24495
ko:K03587	pael:T223_24500
ko:K03586	pael:T223_24505
ko:K03438	pael:T223_24510
ko:K03925	pael:T223_24515
ko:K07056	pael:T223_24525
ko:K07121	pael:T223_24530
ko:K03185	pael:T223_28715
ko:K01262	pael:T223_28720
ko:K09895	pael:T223_28725
ko:K09888	pael:T223_28735
ko:K01934	pael:T223_28740
ko:K13926	pael:T223_28760
ko:K01993	pael:T223_28765
ko:K02415	pael:T223_28770
ko:K02445	pael:T223_28780
ko:K03182	pael:T223_28790
ko:K03628	pael:T223_28800
ko:K03671	pael:T223_28805
ko:K01524	pael:T223_28810
ko:K00937	pael:T223_28815
ko:K01698	pael:T223_28820
ko:K09768	pael:T223_28840
ko:K07243	pael:T223_28845
ko:K05834	pael:T223_28850
ko:K06158	pael:T223_28865
ko:K03773	pael:T223_28880
ko:K07740	pael:T223_28885
ko:K03611	pael:T223_28890
ko:K02498	pael:T223_28895
ko:K02496	pael:T223_28900
ko:K01719	pael:T223_28905
ko:K01749	pael:T223_28910
ko:K08083	pael:T223_28915
ko:K08082	pael:T223_28920
ko:K01755	pael:T223_28925
ko:K11903	pael:T223_28945
ko:K03284	pael:T223_28950
ko:K02030	pael:T223_28960
ko:K05851	pael:T223_28970
ko:K19746	pael:T223_05455
ko:K13877	pael:T223_15875
ko:K02558	pael:T223_04680
ko:K03186	pael:T223_04685
ko:K07157	pael:T223_04720
ko:K03652	pael:T223_04730
ko:K00147	pael:T223_04745
ko:K00969	pael:T223_04750
ko:K09710	pael:T223_04755
ko:K00783	pael:T223_04760
ko:K05515	pael:T223_04765
ko:K05837	pael:T223_04770
ko:K08305	pael:T223_04775
ko:K03642	pael:T223_04780
ko:K07258	pael:T223_04785
ko:K09158	pael:T223_04790
ko:K03801	pael:T223_04795
ko:K03644	pael:T223_04800
ko:K09890	pael:T223_04825
ko:K02340	pael:T223_04830
ko:K03643	pael:T223_04835
ko:K01869	pael:T223_04840
ko:K03820	pael:T223_04855
ko:K06189	pael:T223_04860
ko:K07042	pael:T223_04865
ko:K06168	pael:T223_04875
ko:K07126	pael:T223_04885
ko:K01845	pael:T223_04890
ko:K00788	pael:T223_04895
ko:K00941	pael:T223_04900
ko:K09456	pael:T223_04915
ko:K01241	pael:T223_04925
ko:K06181	pael:T223_04940
ko:K09919	pael:T223_09225
ko:K03767	pael:T223_09240
ko:K01118	pael:T223_09260
ko:K06878	pael:T223_09270
ko:K02067	pael:T223_09310
ko:K02065	pael:T223_09315
ko:K02066	pael:T223_09320
ko:K03498	pael:T223_09325
ko:K06940	pael:T223_09330
ko:K09780	pael:T223_09365
ko:K06190	pael:T223_09370
ko:K07053	pael:T223_09375
ko:K05896	pael:T223_09385
ko:K06024	pael:T223_09390
ko:K00134	pael:T223_09405
ko:K01690	pael:T223_09410
ko:K00845	pael:T223_09415
ko:K17315	pael:T223_09435
ko:K17316	pael:T223_09440
ko:K17317	pael:T223_09445
ko:K10112	pael:T223_09450
ko:K07267	pael:T223_09455
ko:K00036	pael:T223_09470
ko:K01057	pael:T223_09475
ko:K01625	pael:T223_09480
ko:K03574	pael:T223_09485
ko:K06178	pael:T223_09490
ko:K03101	pael:T223_13825
ko:K01534	pael:T223_13830
ko:K12055	pael:T223_13890
ko:K07733	pael:T223_13895
ko:K07679	pael:T223_13910
ko:K03607	pael:T223_13915
ko:K03923	pael:T223_13930
ko:K00453	pael:T223_13935
ko:K07078	pael:T223_13955
ko:K00496	pael:T223_13960
ko:K03406	pael:T223_13965
ko:K03321	pael:T223_14010
ko:K03406	pael:T223_14020
ko:K07507	pael:T223_14045
ko:K00666	pael:T223_14050
ko:K01895	pael:T223_14060
ko:K00626	pael:T223_14070
ko:K05794	pael:T223_14095
ko:K01782	pael:T223_18370
ko:K00626	pael:T223_18375
ko:K07088	pael:T223_18385
ko:K07395	pael:T223_18395
ko:K05349	pael:T223_18430
ko:K03223	pael:T223_18435
ko:K03222	pael:T223_18445
ko:K03221	pael:T223_18465
ko:K03220	pael:T223_18475
ko:K03219	pael:T223_18480
ko:K03230	pael:T223_18545
ko:K04058	pael:T223_18570
ko:K03224	pael:T223_18575
ko:K03225	pael:T223_18590
ko:K03226	pael:T223_18595
ko:K03227	pael:T223_18600
ko:K03228	pael:T223_18605
ko:K03229	pael:T223_18610
ko:K00797	pael:T223_18625
ko:K01247	pael:T223_18630
ko:K06203	pael:T223_22850
ko:K01114	pael:T223_22860
ko:K16137	pael:T223_22885
ko:K00432	pael:T223_22890
ko:K03775	pael:T223_22895
ko:K00925	pael:T223_22900
ko:K13788	pael:T223_22905
ko:K07044	pael:T223_23025
ko:K06991	pael:T223_23085
ko:K01560	pael:T223_23120
ko:K03322	pael:T223_23125
ko:K06949	pael:T223_27330
ko:K02557	pael:T223_27335
ko:K02556	pael:T223_27340
ko:K01011	pael:T223_27350
ko:K01613	pael:T223_27355
ko:K01079	pael:T223_27370
ko:K09857	pael:T223_27385
ko:K02621	pael:T223_27390
ko:K06985	pael:T223_27395
ko:K02622	pael:T223_27405
ko:K07000	pael:T223_27410
ko:K03651	pael:T223_27415
ko:K09920	pael:T223_27420
ko:K01515	pael:T223_27425
ko:K03147	pael:T223_27435
ko:K12340	pael:T223_27440
ko:K00355	pael:T223_27445
ko:K12252	pael:T223_27450
ko:K15866	pael:T223_27470
ko:K02205	pael:T223_27475
ko:K02030	pael:T223_27485
ko:K02055	pael:T223_27500
ko:K02527	pael:T223_27515
ko:K01953	pael:T223_27555
ko:K03272	pael:T223_27560
ko:K11085	pael:T223_27565
ko:K00612	pael:T223_27605
ko:K03182	pael:T223_01260
ko:K11903	pael:T223_01305
ko:K00135	pael:T223_01315
ko:K14268	pael:T223_01320
ko:K00375	pael:T223_01335
ko:K03449	pael:T223_01360
ko:K07387	pael:T223_01380
ko:K07090	pael:T223_01385
ko:K02045	pael:T223_01395
ko:K02047	pael:T223_01400
ko:K02046	pael:T223_01405
ko:K02048	pael:T223_01410
ko:K03307	pael:T223_01430
ko:K10536	pael:T223_01455
ko:K12251	pael:T223_01460
ko:K01915	pael:T223_01475
ko:K07010	pael:T223_01480
ko:K01915	pael:T223_01485
ko:K12256	pael:T223_01490
ko:K11073	pael:T223_01495
ko:K11073	pael:T223_01500
ko:K11076	pael:T223_01505
ko:K11075	pael:T223_01510
ko:K11074	pael:T223_01515
ko:K01649	pael:T223_05815
ko:K02014	pael:T223_05825
ko:K08641	pael:T223_05870
ko:K03601	pael:T223_05895
ko:K07090	pael:T223_05905
ko:K00088	pael:T223_05930
ko:K01951	pael:T223_05935
ko:K09965	pael:T223_05985
ko:K01952	pael:T223_05995
ko:K02803	pael:T223_06005
ko:K02804	pael:T223_06005
ko:K11189	pael:T223_06010
ko:K00820	pael:T223_06015
ko:K01443	pael:T223_06020
ko:K03710	pael:T223_06025
ko:K06938	pael:T223_06050
ko:K08289	pael:T223_06055
ko:K01356	pael:T223_10370
ko:K01207	pael:T223_10380
ko:K03723	pael:T223_10395
ko:K00134	pael:T223_10400
ko:K11734	pael:T223_10405
ko:K00346	pael:T223_10410
ko:K00347	pael:T223_10415
ko:K00348	pael:T223_10420
ko:K00349	pael:T223_10425
ko:K00350	pael:T223_10430
ko:K00351	pael:T223_10435
ko:K03734	pael:T223_10440
ko:K05952	pael:T223_10445
ko:K00322	pael:T223_10450
ko:K01126	pael:T223_10455
ko:K09808	pael:T223_10470
ko:K09810	pael:T223_10475
ko:K09808	pael:T223_10480
ko:K09928	pael:T223_10485
ko:K02238	pael:T223_10490
ko:K03561	pael:T223_10495
ko:K03559	pael:T223_10500
ko:K00912	pael:T223_10505
ko:K09791	pael:T223_10510
ko:K00979	pael:T223_10515
ko:K01104	pael:T223_10520
ko:K00075	pael:T223_10525
ko:K08300	pael:T223_10530
ko:K06179	pael:T223_10535
ko:K01091	pael:T223_10540
ko:K04773	pael:T223_10545
ko:K07040	pael:T223_10555
ko:K02911	pael:T223_10560
ko:K03621	pael:T223_10565
ko:K00645	pael:T223_10570
ko:K00059	pael:T223_10575
ko:K02078	pael:T223_10580
ko:K09458	pael:T223_10585
ko:K02619	pael:T223_10590
ko:K00943	pael:T223_10600
ko:K02341	pael:T223_10605
ko:K02676	pael:T223_10610
ko:K03424	pael:T223_10615
ko:K11907	pael:T223_14995
ko:K11895	pael:T223_15000
ko:K11896	pael:T223_15005
ko:K11903	pael:T223_15015
ko:K11900	pael:T223_15020
ko:K11901	pael:T223_15025
ko:K11893	pael:T223_15035
ko:K11892	pael:T223_15040
ko:K11891	pael:T223_15045
ko:K11902	pael:T223_15050
ko:K00299	pael:T223_15065
ko:K04091	pael:T223_15070
ko:K06916	pael:T223_15085
ko:K01126	pael:T223_15090
ko:K02072	pael:T223_15095
ko:K02071	pael:T223_15100
ko:K02073	pael:T223_15105
ko:K17218	pael:T223_15125
ko:K00847	pael:T223_15130
ko:K00854	pael:T223_15135
ko:K00045	pael:T223_15140
ko:K10111	pael:T223_15145
ko:K10229	pael:T223_15150
ko:K10228	pael:T223_15155
ko:K10227	pael:T223_15160
ko:K02014	pael:T223_15175
ko:K02049	pael:T223_15205
ko:K02051	pael:T223_15210
ko:K02050	pael:T223_15215
ko:K03825	pael:T223_19485
ko:K00906	pael:T223_19490
ko:K03473	pael:T223_19495
ko:K09458	pael:T223_19505
ko:K06134	pael:T223_03235
ko:K02503	pael:T223_03240
ko:K07124	pael:T223_03250
ko:K00459	pael:T223_03260
ko:K08973	pael:T223_03265
ko:K00145	pael:T223_03270
ko:K15724	pael:T223_03285
ko:K09001	pael:T223_03290
ko:K01866	pael:T223_03300
ko:K03524	pael:T223_03330
ko:K03525	pael:T223_03335
ko:K02358	pael:T223_03360
ko:K03073	pael:T223_03370
ko:K02601	pael:T223_03375
ko:K02867	pael:T223_03380
ko:K02863	pael:T223_03385
ko:K02864	pael:T223_03390
ko:K02935	pael:T223_03395
ko:K03043	pael:T223_03400
ko:K03046	pael:T223_03405
ko:K02950	pael:T223_03410
ko:K02992	pael:T223_03415
ko:K02355	pael:T223_03420
ko:K02358	pael:T223_03425
ko:K02946	pael:T223_03430
ko:K02906	pael:T223_03435
ko:K02926	pael:T223_03440
ko:K02892	pael:T223_03445
ko:K02886	pael:T223_03450
ko:K02965	pael:T223_03455
ko:K02890	pael:T223_03460
ko:K02982	pael:T223_03465
ko:K02878	pael:T223_03470
ko:K02904	pael:T223_03475
ko:K02961	pael:T223_03480
ko:K02874	pael:T223_03485
ko:K02895	pael:T223_03490
ko:K02931	pael:T223_03495
ko:K02954	pael:T223_03500
ko:K02994	pael:T223_03505
ko:K02933	pael:T223_03510
ko:K02881	pael:T223_03515
ko:K02988	pael:T223_03520
ko:K02907	pael:T223_03525
ko:K02876	pael:T223_03530
ko:K09898	pael:T223_07985
ko:K01953	pael:T223_08005
ko:K07090	pael:T223_08015
ko:K15461	pael:T223_08020
ko:K09915	pael:T223_08035
ko:K00116	pael:T223_08040
ko:K15553	pael:T223_08055
ko:K15554	pael:T223_08060
ko:K00299	pael:T223_08070
ko:K15553	pael:T223_08075
ko:K02454	pael:T223_12360
ko:K02455	pael:T223_12365
ko:K02456	pael:T223_12370
ko:K02456	pael:T223_12375
ko:K02458	pael:T223_12380
ko:K02459	pael:T223_12385
ko:K01737	pael:T223_12415
ko:K12266	pael:T223_12420
ko:K05916	pael:T223_12425
ko:K07234	pael:T223_12435
ko:K03406	pael:T223_12480
ko:K07084	pael:T223_12485
ko:K03406	pael:T223_12490
ko:K14415	pael:T223_12500
ko:K00343	pael:T223_12510
ko:K00342	pael:T223_12515
ko:K00341	pael:T223_12520
ko:K00340	pael:T223_12525
ko:K00339	pael:T223_12530
ko:K00338	pael:T223_12535
ko:K00337	pael:T223_12540
ko:K00334	pael:T223_12555
ko:K13378	pael:T223_12560
ko:K00331	pael:T223_12565
ko:K00330	pael:T223_12570
ko:K07093	pael:T223_12580
ko:K01637	pael:T223_12585
ko:K01756	pael:T223_12610
ko:K07153	pael:T223_12620
ko:K00566	pael:T223_12625
ko:K00451	pael:T223_16925
ko:K01555	pael:T223_16930
ko:K08195	pael:T223_16940
ko:K00019	pael:T223_16955
ko:K02106	pael:T223_16960
ko:K00626	pael:T223_16965
ko:K01029	pael:T223_16970
ko:K01028	pael:T223_16975
ko:K17737	pael:T223_16980
ko:K01907	pael:T223_16985
ko:K03769	pael:T223_16990
ko:K09957	pael:T223_17000
ko:K06139	pael:T223_17025
ko:K06138	pael:T223_17030
ko:K06137	pael:T223_17035
ko:K06136	pael:T223_17040
ko:K06135	pael:T223_17045
ko:K03760	pael:T223_17115
ko:K03311	pael:T223_17120
ko:K01826	pael:T223_17145
ko:K01118	pael:T223_17170
ko:K06153	pael:T223_17185
ko:K03811	pael:T223_17190
ko:K00243	pael:T223_21480
ko:K06147	pael:T223_21495
ko:K06182	pael:T223_21520
ko:K02413	pael:T223_21545
ko:K02412	pael:T223_21550
ko:K02411	pael:T223_21555
ko:K02410	pael:T223_21560
ko:K02409	pael:T223_21565
ko:K02408	pael:T223_21570
ko:K10942	pael:T223_21580
ko:K10941	pael:T223_21585
ko:K02422	pael:T223_21595
