ko:K19405	ctrn:L3404_00711
ko:K03551	ctrn:L3404_00042
ko:K01255	ctrn:L3404_00047
ko:K02340	ctrn:L3404_00049
ko:K07056	ctrn:L3404_00050
ko:K01265	ctrn:L3404_00905
ko:K03321	ctrn:L3404_00912
ko:K03527	ctrn:L3404_00915
ko:K00164	ctrn:L3404_00056
ko:K00658	ctrn:L3404_00057
ko:K05810	ctrn:L3404_00058
ko:K03526	ctrn:L3404_00059
ko:K02400	ctrn:L3404_00063
ko:K02405	ctrn:L3404_00064
ko:K01866	ctrn:L3404_00065
ko:K03596	ctrn:L3404_00067
ko:K03301	ctrn:L3404_00068
ko:K00099	ctrn:L3404_00074
ko:K03629	ctrn:L3404_00077
ko:K02338	ctrn:L3404_00078
ko:K03664	ctrn:L3404_00079
ko:K03734	ctrn:L3404_00080
ko:K01491	ctrn:L3404_00081
ko:K02902	ctrn:L3404_00087
ko:K00705	ctrn:L3404_00088
ko:K04058	ctrn:L3404_00090
ko:K03230	ctrn:L3404_00091
ko:K03229	ctrn:L3404_00092
ko:K06942	ctrn:L3404_00093
ko:K11753	ctrn:L3404_00094
ko:K02834	ctrn:L3404_00096
ko:K02519	ctrn:L3404_00097
ko:K02600	ctrn:L3404_00098
ko:K02945	ctrn:L3404_00099
ko:K00384	ctrn:L3404_00100
ko:K00997	ctrn:L3404_00101
ko:K00208	ctrn:L3404_00105
ko:K03575	ctrn:L3404_00108
ko:K04077	ctrn:L3404_00111
ko:K04078	ctrn:L3404_00112
ko:K08602	ctrn:L3404_00114
ko:K03695	ctrn:L3404_00115
ko:K01783	ctrn:L3404_00123
ko:K02356	ctrn:L3404_00124
ko:K02160	ctrn:L3404_00125
ko:K01961	ctrn:L3404_00126
ko:K02871	ctrn:L3404_00127
ko:K02996	ctrn:L3404_00128
ko:K02029	ctrn:L3404_00131
ko:K07058	ctrn:L3404_00134
ko:K06999	ctrn:L3404_00138
ko:K07566	ctrn:L3404_00139
ko:K09125	ctrn:L3404_00142
ko:K07039	ctrn:L3404_00143
ko:K01972	ctrn:L3404_00150
ko:K02913	ctrn:L3404_00154
ko:K09808	ctrn:L3404_00155
ko:K09810	ctrn:L3404_00156
ko:K02874	ctrn:L3404_00545
ko:K02961	ctrn:L3404_00546
ko:K02904	ctrn:L3404_00547
ko:K02878	ctrn:L3404_00548
ko:K02982	ctrn:L3404_00549
ko:K02890	ctrn:L3404_00550
ko:K02965	ctrn:L3404_00551
ko:K02886	ctrn:L3404_00552
ko:K02892	ctrn:L3404_00553
ko:K02926	ctrn:L3404_00554
ko:K02906	ctrn:L3404_00555
ko:K00604	ctrn:L3404_00557
ko:K00677	ctrn:L3404_00558
ko:K02372	ctrn:L3404_00559
ko:K02535	ctrn:L3404_00560
ko:K03820	ctrn:L3404_00561
ko:K06925	ctrn:L3404_00564
ko:K03671	ctrn:L3404_00567
ko:K03216	ctrn:L3404_00568
ko:K01876	ctrn:L3404_00570
ko:K01892	ctrn:L3404_00571
ko:K07783	ctrn:L3404_00572
ko:K02337	ctrn:L3404_00573
ko:K03311	ctrn:L3404_00582
ko:K00382	ctrn:L3404_00585
ko:K03644	ctrn:L3404_00586
ko:K03222	ctrn:L3404_00587
ko:K03223	ctrn:L3404_00589
ko:K03226	ctrn:L3404_00590
ko:K03228	ctrn:L3404_00592
ko:K02455	ctrn:L3404_00598
ko:K02453	ctrn:L3404_00600
ko:K03572	ctrn:L3404_00603
ko:K01868	ctrn:L3404_00609
ko:K01867	ctrn:L3404_00613
ko:K03702	ctrn:L3404_00614
ko:K01689	ctrn:L3404_00615
ko:K00240	ctrn:L3404_00619
ko:K00239	ctrn:L3404_00620
ko:K03424	ctrn:L3404_00623
ko:K03562	ctrn:L3404_00625
ko:K03641	ctrn:L3404_00628
ko:K03640	ctrn:L3404_00629
ko:K03648	ctrn:L3404_00638
ko:K03657	ctrn:L3404_00639
ko:K03092	ctrn:L3404_00640
ko:K06137	ctrn:L3404_00641
ko:K13941	ctrn:L3404_00644
ko:K01633	ctrn:L3404_00645
ko:K03086	ctrn:L3404_00646
ko:K02968	ctrn:L3404_00648
ko:K03720	ctrn:L3404_00169
ko:K01696	ctrn:L3404_00170
ko:K01695	ctrn:L3404_00171
ko:K03611	ctrn:L3404_00175
ko:K00979	ctrn:L3404_00183
ko:K01937	ctrn:L3404_00184
ko:K07447	ctrn:L3404_00185
ko:K00036	ctrn:L3404_00186
ko:K01057	ctrn:L3404_00187
ko:K02343	ctrn:L3404_00188
ko:K00943	ctrn:L3404_00189
ko:K02469	ctrn:L3404_00190
ko:K02470	ctrn:L3404_00191
ko:K00773	ctrn:L3404_00194
ko:K06213	ctrn:L3404_00195
ko:K15580	ctrn:L3404_00199
ko:K15581	ctrn:L3404_00200
ko:K03319	ctrn:L3404_00205
ko:K00850	ctrn:L3404_00206
ko:K00895	ctrn:L3404_00208
ko:K02527	ctrn:L3404_00211
ko:K01869	ctrn:L3404_00212
ko:K01845	ctrn:L3404_00213
ko:K07735	ctrn:L3404_00214
ko:K08999	ctrn:L3404_00215
ko:K01807	ctrn:L3404_00216
ko:K03787	ctrn:L3404_00221
ko:K03179	ctrn:L3404_00222
ko:K03186	ctrn:L3404_00223
ko:K03308	ctrn:L3404_00236
ko:K02078	ctrn:L3404_00241
ko:K00645	ctrn:L3404_00243
ko:K00648	ctrn:L3404_00244
ko:K06187	ctrn:L3404_00245
ko:K07277	ctrn:L3404_00246
ko:K06142	ctrn:L3404_00247
ko:K02536	ctrn:L3404_00248
ko:K00161	ctrn:L3404_00250
ko:K00162	ctrn:L3404_00251
ko:K00627	ctrn:L3404_00252
ko:K00688	ctrn:L3404_00253
ko:K02313	ctrn:L3404_00255
ko:K03217	ctrn:L3404_00256
ko:K04487	ctrn:L3404_00263
ko:K07083	ctrn:L3404_00267
ko:K01962	ctrn:L3404_00270
ko:K03980	ctrn:L3404_00655
ko:K01151	ctrn:L3404_00656
ko:K02986	ctrn:L3404_00657
ko:K07146	ctrn:L3404_00658
ko:K13789	ctrn:L3404_00659
ko:K01698	ctrn:L3404_00665
ko:K00346	ctrn:L3404_00666
ko:K03582	ctrn:L3404_00672
ko:K03583	ctrn:L3404_00673
ko:K03168	ctrn:L3404_00676
ko:K02221	ctrn:L3404_00678
ko:K03581	ctrn:L3404_00685
ko:K01448	ctrn:L3404_00273
ko:K01928	ctrn:L3404_00274
ko:K03587	ctrn:L3404_00275
ko:K03438	ctrn:L3404_00277
ko:K02313	ctrn:L3404_00280
ko:K00347	ctrn:L3404_00283
ko:K00348	ctrn:L3404_00284
ko:K00349	ctrn:L3404_00285
ko:K00350	ctrn:L3404_00286
ko:K02437	ctrn:L3404_00287
ko:K03800	ctrn:L3404_00290
ko:K03696	ctrn:L3404_00291
ko:K00566	ctrn:L3404_00292
ko:K01963	ctrn:L3404_00298
ko:K04564	ctrn:L3404_00299
ko:K03685	ctrn:L3404_00302
ko:K04485	ctrn:L3404_00303
ko:K01749	ctrn:L3404_00304
ko:K01873	ctrn:L3404_00307
ko:K03046	ctrn:L3404_00319
ko:K03043	ctrn:L3404_00320
ko:K02935	ctrn:L3404_00321
ko:K02864	ctrn:L3404_00322
ko:K02863	ctrn:L3404_00323
ko:K02867	ctrn:L3404_00324
ko:K02601	ctrn:L3404_00325
ko:K06861	ctrn:L3404_00687
ko:K01627	ctrn:L3404_00689
ko:K06180	ctrn:L3404_00693
ko:K06960	ctrn:L3404_00694
ko:K02469	ctrn:L3404_00695
ko:K02470	ctrn:L3404_00696
ko:K02492	ctrn:L3404_00697
ko:K03224	ctrn:L3404_00704
ko:K02417	ctrn:L3404_00707
ko:K03219	ctrn:L3404_00709
ko:K02838	ctrn:L3404_00715
ko:K09903	ctrn:L3404_00716
ko:K02357	ctrn:L3404_00717
ko:K02967	ctrn:L3404_00718
ko:K03162	ctrn:L3404_00720
ko:K09013	ctrn:L3404_00724
ko:K09015	ctrn:L3404_00725
ko:K11717	ctrn:L3404_00726
ko:K07220	ctrn:L3404_00730
ko:K03306	ctrn:L3404_00731
ko:K00927	ctrn:L3404_00732
ko:K10773	ctrn:L3404_00736
ko:K03650	ctrn:L3404_00737
ko:K01613	ctrn:L3404_00738
ko:K03070	ctrn:L3404_00740
ko:K03977	ctrn:L3404_00742
ko:K03544	ctrn:L3404_00744
ko:K01358	ctrn:L3404_00745
ko:K03545	ctrn:L3404_00746
ko:K03569	ctrn:L3404_00749
ko:K00057	ctrn:L3404_00754
ko:K02412	ctrn:L3404_00757
ko:K02411	ctrn:L3404_00758
ko:K02409	ctrn:L3404_00759
ko:K13819	ctrn:L3404_00760
ko:K04487	ctrn:L3404_00761
ko:K06178	ctrn:L3404_00763
ko:K03524	ctrn:L3404_00765
ko:K05837	ctrn:L3404_00766
ko:K01875	ctrn:L3404_00769
ko:K11752	ctrn:L3404_00770
ko:K14652	ctrn:L3404_00771
ko:K00794	ctrn:L3404_00772
ko:K03310	ctrn:L3404_00775
ko:K03466	ctrn:L3404_00779
ko:K00351	ctrn:L3404_00784
ko:K03210	ctrn:L3404_00785
ko:K00231	ctrn:L3404_00789
ko:K01599	ctrn:L3404_00791
ko:K03723	ctrn:L3404_00792
ko:K01872	ctrn:L3404_00793
ko:K03073	ctrn:L3404_00326
ko:K02358	ctrn:L3404_00328
ko:K02518	ctrn:L3404_00330
ko:K01803	ctrn:L3404_00338
ko:K03601	ctrn:L3404_00339
ko:K03602	ctrn:L3404_00340
ko:K01662	ctrn:L3404_00342
ko:K00873	ctrn:L3404_00343
ko:K03701	ctrn:L3404_00344
ko:K02343	ctrn:L3404_00345
ko:K09747	ctrn:L3404_00346
ko:K11381	ctrn:L3404_00352
ko:K03686	ctrn:L3404_00353
ko:K02970	ctrn:L3404_00354
ko:K01338	ctrn:L3404_00356
ko:K03733	ctrn:L3404_00359
ko:K06287	ctrn:L3404_00361
ko:K03075	ctrn:L3404_00364
ko:K01462	ctrn:L3404_00365
ko:K02528	ctrn:L3404_00366
ko:K06888	ctrn:L3404_00368
ko:K03523	ctrn:L3404_00372
ko:K01714	ctrn:L3404_00375
ko:K00928	ctrn:L3404_00376
ko:K00133	ctrn:L3404_00377
ko:K00215	ctrn:L3404_00378
ko:K00800	ctrn:L3404_00380
ko:K00891	ctrn:L3404_00381
ko:K01736	ctrn:L3404_00382
ko:K01735	ctrn:L3404_00383
ko:K13832	ctrn:L3404_00384
ko:K03758	ctrn:L3404_00388
ko:K00024	ctrn:L3404_00390
ko:K01810	ctrn:L3404_00392
ko:K03665	ctrn:L3404_00393
ko:K06167	ctrn:L3404_00394
ko:K09996	ctrn:L3404_00395
ko:K06966	ctrn:L3404_00402
ko:K09131	ctrn:L3404_00403
ko:K10206	ctrn:L3404_00405
ko:K01881	ctrn:L3404_00408
ko:K03705	ctrn:L3404_00409
ko:K03687	ctrn:L3404_00410
ko:K04043	ctrn:L3404_00411
ko:K12573	ctrn:L3404_00412
ko:K07164	ctrn:L3404_00413
ko:K06041	ctrn:L3404_00414
ko:K00658	ctrn:L3404_00415
ko:K00912	ctrn:L3404_00417
ko:K03437	ctrn:L3404_00418
ko:K06969	ctrn:L3404_00419
ko:K00793	ctrn:L3404_00420
ko:K07738	ctrn:L3404_00421
ko:K06204	ctrn:L3404_00422
ko:K03101	ctrn:L3404_00423
ko:K03310	ctrn:L3404_00424
ko:K00748	ctrn:L3404_00426
ko:K09817	ctrn:L3404_00432
ko:K09816	ctrn:L3404_00433
ko:K03979	ctrn:L3404_00434
ko:K02899	ctrn:L3404_00435
ko:K03559	ctrn:L3404_00626
ko:K00615	ctrn:L3404_00797
ko:K01241	ctrn:L3404_00798
ko:K02356	ctrn:L3404_00799
ko:K01929	ctrn:L3404_00804
ko:K01000	ctrn:L3404_00805
ko:K01925	ctrn:L3404_00806
ko:K03588	ctrn:L3404_00808
ko:K02563	ctrn:L3404_00809
ko:K06960	ctrn:L3404_00811
ko:K00791	ctrn:L3404_00814
ko:K09710	ctrn:L3404_00817
ko:K09458	ctrn:L3404_00818
ko:K00263	ctrn:L3404_00821
ko:K00655	ctrn:L3404_00823
ko:K04066	ctrn:L3404_00826
ko:K04567	ctrn:L3404_00829
ko:K01883	ctrn:L3404_00830
ko:K03536	ctrn:L3404_00832
ko:K02919	ctrn:L3404_00833
ko:K02954	ctrn:L3404_00834
ko:K03703	ctrn:L3404_00838
ko:K03555	ctrn:L3404_00839
ko:K14164	ctrn:L3404_00843
ko:K00995	ctrn:L3404_00844
ko:K00703	ctrn:L3404_00845
ko:K02897	ctrn:L3404_00847
ko:K01056	ctrn:L3404_00848
ko:K02888	ctrn:L3404_00436
ko:K07042	ctrn:L3404_00441
ko:K03183	ctrn:L3404_00447
ko:K01778	ctrn:L3404_00449
ko:K01358	ctrn:L3404_00450
ko:K00600	ctrn:L3404_00451
ko:K01770	ctrn:L3404_00453
ko:K02946	ctrn:L3404_00455
ko:K02355	ctrn:L3404_00456
ko:K02992	ctrn:L3404_00457
ko:K02950	ctrn:L3404_00458
ko:K03797	ctrn:L3404_00460
ko:K07462	ctrn:L3404_00467
ko:K12257	ctrn:L3404_00468
ko:K00806	ctrn:L3404_00470
ko:K00981	ctrn:L3404_00471
ko:K00945	ctrn:L3404_00472
ko:K00655	ctrn:L3404_00473
ko:K01887	ctrn:L3404_00474
ko:K00790	ctrn:L3404_00475
ko:K02836	ctrn:L3404_00479
ko:K00991	ctrn:L3404_00482
ko:K06173	ctrn:L3404_00483
ko:K07710	ctrn:L3404_00488
ko:K07714	ctrn:L3404_00489
ko:K02028	ctrn:L3404_00132
ko:K14220	ctrn:L3404_00039
ko:K15035	ctrn:L3404_00020
ko:K14222	ctrn:L3404_00803
ko:K01977	ctrn:L3404_00781
ko:K01977	ctrn:L3404_00794
ko:K01985	ctrn:L3404_00783
ko:K01985	ctrn:L3404_00796
ko:K01980	ctrn:L3404_00782
ko:K01980	ctrn:L3404_00795
ko:K17103	ctrn:L3404_00878
ko:K02428	ctrn:L3404_00636
ko:K03386	ctrn:L3404_00632
ko:K02433	ctrn:L3404_00004
ko:K03471	ctrn:L3404_00009
ko:K01679	ctrn:L3404_00911
ko:K06179	ctrn:L3404_00107
ko:K00939	ctrn:L3404_00130
ko:K02035	ctrn:L3404_00141
ko:K06889	ctrn:L3404_00153
ko:K00972	ctrn:L3404_00755
ko:K01834	ctrn:L3404_00762
ko:K06910	ctrn:L3404_00776
ko:K07117	ctrn:L3404_00777
ko:K00616	ctrn:L3404_00318
ko:K08483	ctrn:L3404_00347
ko:K11189	ctrn:L3404_00348
ko:K00784	ctrn:L3404_00358
ko:K07098	ctrn:L3404_00481
ko:K00567	ctrn:L3404_00500
ko:K02033	ctrn:L3404_00502
ko:K02035	ctrn:L3404_00503
ko:K02030	ctrn:L3404_00511
ko:K00813	ctrn:L3404_00670
ko:K01934	ctrn:L3404_00682
ko:K02035	ctrn:L3404_00174
ko:K02049	ctrn:L3404_00179
ko:K01409	ctrn:L3404_00198
ko:K15582	ctrn:L3404_00201
ko:K10823	ctrn:L3404_00202
ko:K15583	ctrn:L3404_00203
ko:K06889	ctrn:L3404_00207
ko:K02342	ctrn:L3404_00563
ko:K07258	ctrn:L3404_00579
ko:K01507	ctrn:L3404_00820
ko:K01082	ctrn:L3404_00822
ko:K01909	ctrn:L3404_00824
ko:K00652	ctrn:L3404_00825
ko:K01408	ctrn:L3404_00855
ko:K00033	ctrn:L3404_00066
ko:K11707	ctrn:L3404_00070
ko:K11710	ctrn:L3404_00071
ko:K11708	ctrn:L3404_00072
ko:K11709	ctrn:L3404_00073
ko:K03177	ctrn:L3404_00095
ko:K04763	ctrn:L3404_00922
ko:K00700	ctrn:L3404_00924
ko:K03856	ctrn:L3404_00396
ko:K00970	ctrn:L3404_00425
ko:K02342	ctrn:L3404_00266
ko:K02806	ctrn:L3404_00295
ko:K02806	ctrn:L3404_00296
ko:K02124	ctrn:L3404_00309
ko:K02123	ctrn:L3404_00310
ko:K02120	ctrn:L3404_00311
ko:K02118	ctrn:L3404_00312
ko:K02117	ctrn:L3404_00313
ko:K02121	ctrn:L3404_00315
ko:K09815	ctrn:L3404_00431
ko:K01719	ctrn:L3404_00452
ko:K00380	ctrn:L3404_00454
ko:K01885	ctrn:L3404_00465
ko:K00970	ctrn:L3404_00743
ko:K01596	ctrn:L3404_00750
ko:K03227	ctrn:L3404_00591
ko:K02454	ctrn:L3404_00599
ko:K01262	ctrn:L3404_00602
ko:K07315	ctrn:L3404_00616
ko:K00241	ctrn:L3404_00621
ko:K00059	ctrn:L3404_00242
ko:K07052	ctrn:L3404_00259
ko:K14228	ctrn:L3404_00486
ko:K14233	ctrn:L3404_00522
ko:K14219	ctrn:L3404_00633
ko:K04084	ctrn:L3404_00624
ko:K14236	ctrn:L3404_00145
ko:K14227	ctrn:L3404_00180
ko:K14218	ctrn:L3404_00669
ko:K14230	ctrn:L3404_00209
ko:K14230	ctrn:L3404_00336
ko:K14235	ctrn:L3404_00327
ko:K14233	ctrn:L3404_00369
ko:K14231	ctrn:L3404_00437
ko:K14221	ctrn:L3404_00225
ko:K14233	ctrn:L3404_00430
ko:K14228	ctrn:L3404_00530
ko:K14228	ctrn:L3404_00566
ko:K14219	ctrn:L3404_00490
ko:K14219	ctrn:L3404_00690
ko:K14232	ctrn:L3404_00663
ko:K14229	ctrn:L3404_00713
ko:K14224	ctrn:L3404_00714
ko:K14226	ctrn:L3404_00780
ko:K14223	ctrn:L3404_00846
ko:K14218	ctrn:L3404_00181
ko:K14234	ctrn:L3404_00710
ko:K14225	ctrn:L3404_00719
ko:K14228	ctrn:L3404_00494
ko:K14228	ctrn:L3404_00920
ko:K14232	ctrn:L3404_00062
ko:K14237	ctrn:L3404_00226
ko:K14230	ctrn:L3404_00210
ko:K14234	ctrn:L3404_00144
ko:K14234	ctrn:L3404_00329
ko:K14225	ctrn:L3404_00747
ko:K14237	ctrn:L3404_00881
ko:K01840	ctrn:L3404_00300
ko:K06972	ctrn:L3404_00876
ko:K07081	ctrn:L3404_00446
ko:K07125	ctrn:L3404_00332
ko:K03625	ctrn:L3404_00884
ko:K01679	ctrn:L3404_00909
ko:K01802	ctrn:L3404_00569
ko:K08275	ctrn:L3404_00082
ko:K08719	ctrn:L3404_00753
ko:K08274	ctrn:L3404_00391
ko:K01829	ctrn:L3404_00828
ko:K01829	ctrn:L3404_00831
ko:K03309	ctrn:L3404_00416
ko:K07033	ctrn:L3404_00723
ko:K01214	ctrn:L3404_00044
ko:K03825	ctrn:L3404_00478
ko:K03496	ctrn:L3404_00610
ko:K03497	ctrn:L3404_00727
ko:K03111	ctrn:L3404_00046
ko:K03496	ctrn:L3404_pLN_7
ko:K02626	ctrn:L3404_00387
ko:K11991	ctrn:L3404_00897
ko:K04771	ctrn:L3404_00875
ko:K19411	ctrn:L3404_00712
ko:K02031	ctrn:L3404_00729
ko:K22100	ctrn:L3404_00337
ko:K12132	ctrn:L3404_00306
ko:K20265	ctrn:L3404_00219
ko:K20074	ctrn:L3404_00264
ko:K11749	ctrn:L3404_00075
ko:K22099	ctrn:L3404_00642
ko:K00526	ctrn:L3404_00880
ko:K02314	ctrn:L3404_00523
ko:K00287	ctrn:L3404_00643
ko:K03553	ctrn:L3404_00683
ko:K02316	ctrn:L3404_00840
ko:K02314	ctrn:L3404_pLN_3
ko:K02335	ctrn:L3404_00518
ko:K01520	ctrn:L3404_00297
ko:K02032	ctrn:L3404_00728
ko:K00525	ctrn:L3404_00879
ko:K02050	ctrn:L3404_00908
ko:K02051	ctrn:L3404_00908
ko:K01534	ctrn:L3404_00767
ko:K16239	ctrn:L3404_00086
