ko:K02030	bsx:C663_2279
ko:K02800	bsx:C663_0391
ko:K02798	bsx:C663_0392
ko:K00158	bsx:C663_0428
ko:K09167	bsx:C663_0457
ko:K08981	bsx:C663_0458
ko:K07315	bsx:C663_0468
ko:K03090	bsx:C663_0471
ko:K05518	bsx:C663_0472
ko:K03095	bsx:C663_0478
ko:K15976	bsx:C663_0530
ko:K06994	bsx:C663_0548
ko:K01077	bsx:C663_0557
ko:K03492	bsx:C663_0568
ko:K01409	bsx:C663_0577
ko:K07052	bsx:C663_0584
ko:K03294	bsx:C663_1324
ko:K01297	bsx:C663_1335
ko:K07404	bsx:C663_1339
ko:K09763	bsx:C663_2200
ko:K03768	bsx:C663_2211
ko:K07258	bsx:C663_2224
ko:K03783	bsx:C663_2225
ko:K04763	bsx:C663_2227
ko:K03711	bsx:C663_2229
ko:K00027	bsx:C663_2232
ko:K01424	bsx:C663_2235
ko:K01515	bsx:C663_2239
ko:K07017	bsx:C663_3060
ko:K13628	bsx:C663_3074
ko:K03317	bsx:C663_3076
ko:K01466	bsx:C663_3099
ko:K03299	bsx:C663_3923
ko:K00033	bsx:C663_3924
ko:K03386	bsx:C663_3925
ko:K01156	bsx:C663_3934
ko:K07316	bsx:C663_3935
ko:K00819	bsx:C663_3951
ko:K07652	bsx:C663_3958
ko:K07668	bsx:C663_3959
ko:K07098	bsx:C663_1376
ko:K00567	bsx:C663_1394
ko:K08969	bsx:C663_1399
ko:K06889	bsx:C663_2243
ko:K00867	bsx:C663_2256
ko:K00784	bsx:C663_2265
ko:K00033	bsx:C663_2267
ko:K01966	bsx:C663_2273
ko:K00929	bsx:C663_2288
ko:K09684	bsx:C663_3100
ko:K10118	bsx:C663_3118
ko:K04488	bsx:C663_3127
ko:K06329	bsx:C663_3974
ko:K15986	bsx:C663_3976
ko:K03325	bsx:C663_4002
ko:K07052	bsx:C663_4011
ko:K01759	bsx:C663_4015
ko:K06346	bsx:C663_4032
ko:K03697	bsx:C663_1411
ko:K11189	bsx:C663_1433
ko:K08483	bsx:C663_1434
ko:K03406	bsx:C663_1438
ko:K00841	bsx:C663_1443
ko:K07098	bsx:C663_1449
ko:K00626	bsx:C663_2298
ko:K01262	bsx:C663_2329
ko:K13280	bsx:C663_2346
ko:K00059	bsx:C663_3153
ko:K07770	bsx:C663_3163
ko:K01679	bsx:C663_3167
ko:K11618	bsx:C663_3172
ko:K11617	bsx:C663_3173
ko:K01569	bsx:C663_3192
ko:K02004	bsx:C663_3194
ko:K02005	bsx:C663_3196
ko:K05822	bsx:C663_1460
ko:K03635	bsx:C663_1472
ko:K06147	bsx:C663_1474
ko:K06147	bsx:C663_1475
ko:K02005	bsx:C663_1477
ko:K02004	bsx:C663_1479
ko:K03436	bsx:C663_1480
ko:K00882	bsx:C663_1481
ko:K03499	bsx:C663_1494
ko:K01092	bsx:C663_1511
ko:K02249	bsx:C663_2350
ko:K02248	bsx:C663_2351
ko:K02246	bsx:C663_2353
ko:K02245	bsx:C663_2354
ko:K02243	bsx:C663_2356
ko:K16509	bsx:C663_2361
ko:K00845	bsx:C663_2369
ko:K01934	bsx:C663_2373
ko:K02076	bsx:C663_2392
ko:K13300	bsx:C663_2401
ko:K03316	bsx:C663_3211
ko:K00380	bsx:C663_3213
ko:K07213	bsx:C663_3221
ko:K00059	bsx:C663_3230
ko:K05595	bsx:C663_3254
ko:K06324	bsx:C663_0649
ko:K01958	bsx:C663_1530
ko:K02274	bsx:C663_1534
ko:K02862	bsx:C663_1537
ko:K07177	bsx:C663_1549
ko:K08724	bsx:C663_1560
ko:K01489	bsx:C663_2412
ko:K02238	bsx:C663_2441
ko:K06948	bsx:C663_2451
ko:K00033	bsx:C663_2457
ko:K15770	bsx:C663_3296
ko:K07094	bsx:C663_0684
ko:K03307	bsx:C663_0690
ko:K02433	bsx:C663_0692
ko:K02824	bsx:C663_1592
ko:K02823	bsx:C663_1597
ko:K00949	bsx:C663_1624
ko:K06414	bsx:C663_1625
ko:K00657	bsx:C663_2496
ko:K09815	bsx:C663_2519
ko:K03929	bsx:C663_3319
ko:K01182	bsx:C663_3342
ko:K00691	bsx:C663_3343
ko:K15770	bsx:C663_3348
ko:K00090	bsx:C663_3355
ko:K02004	bsx:C663_3356
ko:K09762	bsx:C663_3363
ko:K07720	bsx:C663_0723
ko:K02025	bsx:C663_0725
ko:K14338	bsx:C663_0751
ko:K01560	bsx:C663_0759
ko:K03294	bsx:C663_0760
ko:K07030	bsx:C663_1628
ko:K00059	bsx:C663_1635
ko:K09787	bsx:C663_1641
ko:K02414	bsx:C663_1672
ko:K00121	bsx:C663_2530
ko:K01607	bsx:C663_2534
ko:K14338	bsx:C663_2550
ko:K01243	bsx:C663_2564
ko:K06023	bsx:C663_3389
ko:K02564	bsx:C663_3391
ko:K06603	bsx:C663_3421
ko:K11637	bsx:C663_0781
ko:K01226	bsx:C663_0803
ko:K03486	bsx:C663_0804
ko:K01104	bsx:C663_0810
ko:K09764	bsx:C663_1710
ko:K03177	bsx:C663_1712
ko:K00059	bsx:C663_1731
ko:K10041	bsx:C663_2580
ko:K00010	bsx:C663_2618
ko:K07105	bsx:C663_2630
ko:K02242	bsx:C663_3431
ko:K02240	bsx:C663_3433
ko:K07692	bsx:C663_3435
ko:K02851	bsx:C663_3438
ko:K09693	bsx:C663_3458
ko:K00088	bsx:C663_0011
ko:K07258	bsx:C663_0012
ko:K07104	bsx:C663_0846
ko:K00639	bsx:C663_1743
ko:K15329	bsx:C663_1755
ko:K15312	bsx:C663_1759
ko:K03647	bsx:C663_1786
ko:K03713	bsx:C663_1794
ko:K04518	bsx:C663_2631
ko:K07584	bsx:C663_2637
ko:K06402	bsx:C663_2639
ko:K02236	bsx:C663_2649
ko:K04076	bsx:C663_2664
ko:K02428	bsx:C663_2680
ko:K00852	bsx:C663_3487
ko:K10439	bsx:C663_3491
ko:K06325	bsx:C663_3500
ko:K01104	bsx:C663_3515
ko:K09685	bsx:C663_0048
ko:K02499	bsx:C663_0059
ko:K07586	bsx:C663_0890
ko:K11085	bsx:C663_0891
ko:K09825	bsx:C663_0895
ko:K06377	bsx:C663_0898
ko:K00854	bsx:C663_1816
ko:K09976	bsx:C663_1844
ko:K06196	bsx:C663_1846
ko:K00241	bsx:C663_2689
ko:K01209	bsx:C663_2695
ko:K03471	bsx:C663_2707
ko:K01759	bsx:C663_2715
ko:K01209	bsx:C663_2717
ko:K00853	bsx:C663_2724
ko:K07114	bsx:C663_3569
ko:K07114	bsx:C663_3572
ko:K02116	bsx:C663_3587
ko:K01835	bsx:C663_0954
ko:K02480	bsx:C663_0956
ko:K07114	bsx:C663_0066
ko:K02619	bsx:C663_0077
ko:K03708	bsx:C663_0085
ko:K07067	bsx:C663_0090
ko:K09698	bsx:C663_0094
ko:K00564	bsx:C663_0107
ko:K01077	bsx:C663_0964
ko:K02443	bsx:C663_0950
ko:K03294	bsx:C663_0969
ko:K00666	bsx:C663_1882
ko:K00059	bsx:C663_1913
ko:K07025	bsx:C663_2739
ko:K11144	bsx:C663_2743
ko:K03346	bsx:C663_2744
ko:K10563	bsx:C663_2753
ko:K07658	bsx:C663_2756
ko:K00027	bsx:C663_2767
ko:K08234	bsx:C663_3601
ko:K00027	bsx:C663_3604
ko:K02446	bsx:C663_3609
ko:K00616	bsx:C663_3611
ko:K03048	bsx:C663_3616
ko:K06147	bsx:C663_3623
ko:K00374	bsx:C663_3626
ko:K00939	bsx:C663_0136
ko:K16786	bsx:C663_0144
ko:K16787	bsx:C663_0145
ko:K03593	bsx:C663_0153
ko:K01233	bsx:C663_2522
ko:K06421	bsx:C663_1386
ko:K16202	bsx:C663_1333
ko:K13614	bsx:C663_1770
ko:K13611	bsx:C663_1762
ko:K00128	bsx:C663_3704
ko:K11620	bsx:C663_3176
ko:K13037	bsx:C663_3676
ko:K13274	bsx:C663_1101
ko:K15656	bsx:C663_0343
ko:K06337	bsx:C663_2939
ko:K08166	bsx:C663_3662
ko:K06344	bsx:C663_1202
ko:K06343	bsx:C663_1203
ko:K16962	bsx:C663_3869
ko:K07315	bsx:C663_3291
ko:K03339	bsx:C663_3886
ko:K16706	bsx:C663_3441
ko:K16699	bsx:C663_3439
ko:K13276	bsx:C663_1574
ko:K16043	bsx:C663_1108
ko:K16593	bsx:C663_2864
ko:K00128	bsx:C663_3906
ko:K06389	bsx:C663_1320
ko:K15657	bsx:C663_0344
ko:K16247	bsx:C663_0632
ko:K06359	bsx:C663_1275
ko:K11440	bsx:C663_2956
ko:K06290	bsx:C663_3171
ko:K06339	bsx:C663_1240
ko:K16170	bsx:C663_3101
ko:K11195	bsx:C663_2540
ko:K13615	bsx:C663_1771
ko:K06331	bsx:C663_2941
ko:K06321	bsx:C663_2036
ko:K06319	bsx:C663_2037
ko:K06322	bsx:C663_2035
ko:K16044	bsx:C663_3223
ko:K06338	bsx:C663_2940
ko:K13277	bsx:C663_3750
ko:K06376	bsx:C663_1405
ko:K11639	bsx:C663_0785
ko:K06362	bsx:C663_3533
ko:K04757	bsx:C663_0470
ko:K00980	bsx:C663_3465
ko:K02277	bsx:C663_1536
ko:K09681	bsx:C663_1909
ko:K06320	bsx:C663_2038
ko:K06336	bsx:C663_2345
ko:K06340	bsx:C663_1206
ko:K07698	bsx:C663_1492
ko:K11814	bsx:C663_1780
ko:K11815	bsx:C663_1779
ko:K06323	bsx:C663_2034
ko:K06352	bsx:C663_1276
ko:K06360	bsx:C663_3565
ko:K06364	bsx:C663_3647
ko:K06366	bsx:C663_0710
ko:K06368	bsx:C663_0273
ko:K06372	bsx:C663_2343
ko:K15327	bsx:C663_1753
ko:K15468	bsx:C663_1772
ko:K06292	bsx:C663_3475
ko:K13613	bsx:C663_1769
ko:K16248	bsx:C663_0634
ko:K06293	bsx:C663_3476
ko:K06361	bsx:C663_0370
ko:K10009	bsx:C663_0327
ko:K02424	bsx:C663_0328
ko:K01906	bsx:C663_2869
ko:K06388	bsx:C663_1321
ko:K12263	bsx:C663_3412
ko:K06351	bsx:C663_0403
ko:K06113	bsx:C663_2727
ko:K03483	bsx:C663_0411
ko:K07705	bsx:C663_2737
ko:K15328	bsx:C663_1754
ko:K16899	bsx:C663_1086
ko:K16786	bsx:C663_1361
ko:K16787	bsx:C663_1361
ko:K16785	bsx:C663_1360
ko:K11991	bsx:C663_0020
ko:K07979	bsx:C663_2893
ko:K03794	bsx:C663_1606
ko:K16918	bsx:C663_2888
ko:K16920	bsx:C663_2889
ko:K16919	bsx:C663_2891
ko:K16919	bsx:C663_2890
ko:K16921	bsx:C663_2892
ko:K15555	bsx:C663_0906
ko:K02303	bsx:C663_1605
ko:K06113	bsx:C663_3852
ko:K03417	bsx:C663_2293
ko:K00951	bsx:C663_2600
ko:K14166	bsx:C663_0388
ko:K07246	bsx:C663_0394
ko:K03100	bsx:C663_0395
ko:K07160	bsx:C663_0400
ko:K06350	bsx:C663_0404
ko:K03817	bsx:C663_0415
ko:K03322	bsx:C663_0431
ko:K07217	bsx:C663_0438
ko:K11692	bsx:C663_0441
ko:K11103	bsx:C663_0442
ko:K01921	bsx:C663_0454
ko:K01929	bsx:C663_0455
ko:K05592	bsx:C663_0456
ko:K00997	bsx:C663_0460
ko:K01775	bsx:C663_0462
ko:K07723	bsx:C663_0463
ko:K06959	bsx:C663_0476
ko:K10255	bsx:C663_0487
ko:K03704	bsx:C663_0488
ko:K07736	bsx:C663_0489
ko:K13653	bsx:C663_0492
ko:K00375	bsx:C663_0498
ko:K07002	bsx:C663_0500
ko:K03893	bsx:C663_0508
ko:K07150	bsx:C663_0527
ko:K15975	bsx:C663_0531
ko:K15977	bsx:C663_0532
ko:K13993	bsx:C663_0537
ko:K02503	bsx:C663_0542
ko:K11737	bsx:C663_0546
ko:K07552	bsx:C663_0551
ko:K07090	bsx:C663_0552
ko:K06885	bsx:C663_0561
ko:K02760	bsx:C663_0564
ko:K02759	bsx:C663_0565
ko:K02761	bsx:C663_0566
ko:K01223	bsx:C663_0567
ko:K00847	bsx:C663_0569
ko:K01809	bsx:C663_0570
ko:K07217	bsx:C663_0572
ko:K00946	bsx:C663_0573
ko:K06925	bsx:C663_0574
ko:K03789	bsx:C663_0576
ko:K06158	bsx:C663_0578
ko:K03637	bsx:C663_0579
ko:K01926	bsx:C663_0580
ko:K03116	bsx:C663_0581
ko:K03118	bsx:C663_0582
ko:K04078	bsx:C663_0585
ko:K04077	bsx:C663_0586
ko:K07217	bsx:C663_1281
ko:K03088	bsx:C663_1290
ko:K03306	bsx:C663_1322
ko:K07220	bsx:C663_1323
ko:K15975	bsx:C663_1325
ko:K00286	bsx:C663_1329
ko:K16203	bsx:C663_1330
ko:K16200	bsx:C663_1331
ko:K16201	bsx:C663_1332
ko:K05916	bsx:C663_1342
ko:K07775	bsx:C663_2189
ko:K07399	bsx:C663_2191
ko:K06178	bsx:C663_2193
ko:K06374	bsx:C663_2194
ko:K06373	bsx:C663_2195
ko:K06024	bsx:C663_2198
ko:K05896	bsx:C663_2199
ko:K02859	bsx:C663_2201
ko:K00794	bsx:C663_2202
ko:K14652	bsx:C663_2203
ko:K00793	bsx:C663_2204
ko:K11752	bsx:C663_2205
ko:K03100	bsx:C663_2207
ko:K01586	bsx:C663_2213
ko:K06408	bsx:C663_2214
ko:K06407	bsx:C663_2216
ko:K06406	bsx:C663_2217
ko:K06405	bsx:C663_2218
ko:K06404	bsx:C663_2219
ko:K06403	bsx:C663_2220
ko:K03091	bsx:C663_2221
ko:K06379	bsx:C663_2222
ko:K01839	bsx:C663_2226
ko:K03315	bsx:C663_2233
ko:K01744	bsx:C663_2234
ko:K03466	bsx:C663_3047
ko:K00259	bsx:C663_3052
ko:K04780	bsx:C663_3055
ko:K01252	bsx:C663_3056
ko:K02363	bsx:C663_3057
ko:K02361	bsx:C663_3058
ko:K00216	bsx:C663_3059
ko:K03523	bsx:C663_3062
ko:K07084	bsx:C663_3063
ko:K01255	bsx:C663_3064
ko:K09775	bsx:C663_3065
ko:K03885	bsx:C663_3069
ko:K00364	bsx:C663_3071
ko:K07734	bsx:C663_3072
ko:K01778	bsx:C663_3075
ko:K03885	bsx:C663_3078
ko:K00872	bsx:C663_3082
ko:K01733	bsx:C663_3083
ko:K00003	bsx:C663_3084
ko:K03644	bsx:C663_3091
ko:K07090	bsx:C663_3096
ko:K03387	bsx:C663_3926
ko:K01223	bsx:C663_3928
ko:K03489	bsx:C663_3930
ko:K04041	bsx:C663_3933
ko:K03657	bsx:C663_3937
ko:K00783	bsx:C663_3938
ko:K01476	bsx:C663_3949
ko:K02205	bsx:C663_3950
ko:K06714	bsx:C663_3952
ko:K01939	bsx:C663_3960
ko:K03449	bsx:C663_3967
ko:K02939	bsx:C663_3969
ko:K01433	bsx:C663_1349
ko:K00931	bsx:C663_1350
ko:K00147	bsx:C663_1351
ko:K00549	bsx:C663_1357
ko:K16916	bsx:C663_3931
ko:K16917	bsx:C663_3932
ko:K13275	bsx:C663_1358
ko:K06213	bsx:C663_1369
ko:K10979	bsx:C663_1380
ko:K03093	bsx:C663_1384
ko:K03799	bsx:C663_1388
ko:K13533	bsx:C663_1393
ko:K08963	bsx:C663_1396
ko:K00899	bsx:C663_1397
ko:K02346	bsx:C663_2250
ko:K01753	bsx:C663_2257
ko:K07124	bsx:C663_2258
ko:K00286	bsx:C663_2260
ko:K02913	bsx:C663_2264
ko:K00036	bsx:C663_2266
ko:K02346	bsx:C663_2268
ko:K03217	bsx:C663_2270
ko:K09166	bsx:C663_2271
ko:K05606	bsx:C663_2274
ko:K09699	bsx:C663_2284
ko:K00167	bsx:C663_2285
ko:K00166	bsx:C663_2286
ko:K00382	bsx:C663_2287
ko:K00263	bsx:C663_2289
ko:K01720	bsx:C663_2294
ko:K01647	bsx:C663_2295
ko:K07127	bsx:C663_3104
ko:K07141	bsx:C663_3109
ko:K02083	bsx:C663_3112
ko:K10711	bsx:C663_3115
ko:K10710	bsx:C663_3116
ko:K10119	bsx:C663_3117
ko:K10117	bsx:C663_3119
ko:K10708	bsx:C663_3120
ko:K00285	bsx:C663_3122
ko:K09014	bsx:C663_3126
ko:K11717	bsx:C663_3128
ko:K09015	bsx:C663_3129
ko:K09013	bsx:C663_3130
ko:K02073	bsx:C663_3133
ko:K02072	bsx:C663_3134
ko:K02071	bsx:C663_3135
ko:K07476	bsx:C663_3139
ko:K02437	bsx:C663_3141
ko:K07516	bsx:C663_3145
ko:K00318	bsx:C663_3147
ko:K08224	bsx:C663_3984
ko:K08369	bsx:C663_4013
ko:K01142	bsx:C663_4017
ko:K02990	bsx:C663_4019
ko:K06942	bsx:C663_4020
ko:K03501	bsx:C663_4029
ko:K03495	bsx:C663_4030
ko:K03650	bsx:C663_4031
ko:K08965	bsx:C663_1400
ko:K08966	bsx:C663_1401
ko:K08967	bsx:C663_1403
ko:K13532	bsx:C663_1407
ko:K15973	bsx:C663_1408
ko:K02557	bsx:C663_1409
ko:K06920	bsx:C663_1413
ko:K01737	bsx:C663_1414
ko:K10026	bsx:C663_1415
ko:K09457	bsx:C663_1416
ko:K01449	bsx:C663_1423
ko:K01534	bsx:C663_1426
ko:K03480	bsx:C663_1431
ko:K06315	bsx:C663_1435
ko:K03716	bsx:C663_1436
ko:K02491	bsx:C663_1442
ko:K03415	bsx:C663_1445
ko:K09776	bsx:C663_1453
ko:K00074	bsx:C663_2297
ko:K01126	bsx:C663_2299
ko:K01448	bsx:C663_2300
ko:K07699	bsx:C663_2304
ko:K03631	bsx:C663_2306
ko:K03402	bsx:C663_2307
ko:K06442	bsx:C663_2308
ko:K01662	bsx:C663_2309
ko:K13789	bsx:C663_2310
ko:K03602	bsx:C663_2312
ko:K03601	bsx:C663_2313
ko:K01491	bsx:C663_2314
ko:K03625	bsx:C663_2315
ko:K01961	bsx:C663_2317
ko:K02160	bsx:C663_2318
ko:K06397	bsx:C663_2319
ko:K06396	bsx:C663_2320
ko:K06395	bsx:C663_2321
ko:K06394	bsx:C663_2322
ko:K06393	bsx:C663_2323
ko:K06392	bsx:C663_2324
ko:K06391	bsx:C663_2325
ko:K06390	bsx:C663_2326
ko:K02356	bsx:C663_2328
ko:K03786	bsx:C663_2330
ko:K07001	bsx:C663_2334
ko:K03800	bsx:C663_2336
ko:K00283	bsx:C663_2338
ko:K00282	bsx:C663_2339
ko:K00605	bsx:C663_2340
ko:K02013	bsx:C663_3156
ko:K04047	bsx:C663_3160
ko:K07650	bsx:C663_3164
ko:K11622	bsx:C663_3174
ko:K11621	bsx:C663_3175
ko:K11619	bsx:C663_3177
ko:K02013	bsx:C663_3181
ko:K02015	bsx:C663_3182
ko:K02016	bsx:C663_3183
ko:K02003	bsx:C663_3195
ko:K02013	bsx:C663_3197
ko:K02015	bsx:C663_3198
ko:K02016	bsx:C663_3200
ko:K03758	bsx:C663_3202
ko:K07038	bsx:C663_3204
ko:K03217	bsx:C663_4033
ko:K03536	bsx:C663_4034
ko:K16925	bsx:C663_1362
ko:K03839	bsx:C663_1457
ko:K03839	bsx:C663_1459
ko:K05823	bsx:C663_1461
ko:K03752	bsx:C663_1468
ko:K03750	bsx:C663_1470
ko:K03636	bsx:C663_1473
ko:K02003	bsx:C663_1478
ko:K02768	bsx:C663_1482
ko:K02769	bsx:C663_1482
ko:K02770	bsx:C663_1482
ko:K03100	bsx:C663_1483
ko:K00077	bsx:C663_1487
ko:K03569	bsx:C663_1490
ko:K01486	bsx:C663_1495
ko:K00161	bsx:C663_1501
ko:K00162	bsx:C663_1502
ko:K00627	bsx:C663_1503
ko:K00382	bsx:C663_1504
ko:K02247	bsx:C663_2352
ko:K01308	bsx:C663_2367
ko:K02036	bsx:C663_2378
ko:K02036	bsx:C663_2379
ko:K02038	bsx:C663_2380
ko:K02037	bsx:C663_2381
ko:K02040	bsx:C663_2382
ko:K08222	bsx:C663_2384
ko:K04564	bsx:C663_2385
ko:K09793	bsx:C663_2386
ko:K05967	bsx:C663_2391
ko:K01151	bsx:C663_2395
ko:K03527	bsx:C663_2398
ko:K06967	bsx:C663_2400
ko:K03086	bsx:C663_2402
ko:K07219	bsx:C663_3206
ko:K02020	bsx:C663_3207
ko:K02018	bsx:C663_3208
ko:K00381	bsx:C663_3212
ko:K03657	bsx:C663_3214
ko:K03611	bsx:C663_3217
ko:K01534	bsx:C663_3219
ko:K03664	bsx:C663_3231
ko:K12573	bsx:C663_3232
ko:K03928	bsx:C663_3233
ko:K03075	bsx:C663_3234
ko:K05846	bsx:C663_3244
ko:K05845	bsx:C663_3245
ko:K05846	bsx:C663_3246
ko:K05847	bsx:C663_3247
ko:K05846	bsx:C663_3249
ko:K05845	bsx:C663_3250
ko:K05846	bsx:C663_3251
ko:K05847	bsx:C663_3252
ko:K00847	bsx:C663_0635
ko:K03969	bsx:C663_0636
ko:K06872	bsx:C663_0638
ko:K11735	bsx:C663_0650
ko:K03924	bsx:C663_0652
ko:K03088	bsx:C663_1517
ko:K06207	bsx:C663_1521
ko:K07175	bsx:C663_1525
ko:K01425	bsx:C663_1527
ko:K03588	bsx:C663_1529
ko:K02275	bsx:C663_1533
ko:K02276	bsx:C663_1535
ko:K00954	bsx:C663_1546
ko:K07001	bsx:C663_1548
ko:K07040	bsx:C663_1551
ko:K00077	bsx:C663_1554
ko:K03925	bsx:C663_1556
ko:K03438	bsx:C663_1557
ko:K08384	bsx:C663_1561
ko:K01928	bsx:C663_1562
ko:K01000	bsx:C663_1563
ko:K01925	bsx:C663_1564
ko:K03588	bsx:C663_1565
ko:K02563	bsx:C663_1566
ko:K00075	bsx:C663_1567
ko:K03589	bsx:C663_1568
ko:K03531	bsx:C663_1573
ko:K09768	bsx:C663_2404
ko:K09773	bsx:C663_2405
ko:K01879	bsx:C663_2407
ko:K01878	bsx:C663_2408
ko:K03584	bsx:C663_2409
ko:K07042	bsx:C663_2414
ko:K07037	bsx:C663_2415
ko:K06438	bsx:C663_2417
ko:K07403	bsx:C663_2421
ko:K09117	bsx:C663_2422
ko:K02970	bsx:C663_2423
ko:K03324	bsx:C663_2424
ko:K09761	bsx:C663_2426
ko:K02687	bsx:C663_2427
ko:K03686	bsx:C663_2428
ko:K04043	bsx:C663_2429
ko:K03687	bsx:C663_2430
ko:K03705	bsx:C663_2431
ko:K06385	bsx:C663_2435
ko:K06012	bsx:C663_2436
ko:K02968	bsx:C663_2437
ko:K02340	bsx:C663_2438
ko:K02237	bsx:C663_2443
ko:K02239	bsx:C663_2444
ko:K09710	bsx:C663_2446
ko:K00969	bsx:C663_2448
ko:K07574	bsx:C663_2449
