ko:K03293	spyo:STAB901_06830
ko:K07566	spyo:STAB901_04955
ko:K00600	spyo:STAB901_04965
ko:K00016	spyo:STAB901_04995
ko:K08234	spyo:STAB901_05010
ko:K11068	spyo:STAB901_05025
ko:K14540	spyo:STAB901_05035
ko:K03470	spyo:STAB901_05040
ko:K04096	spyo:STAB901_05045
ko:K03168	spyo:STAB901_05050
ko:K04094	spyo:STAB901_05055
ko:K01571	spyo:STAB901_05060
ko:K05966	spyo:STAB901_05085
ko:K01572	spyo:STAB901_05110
ko:K02822	spyo:STAB901_01025
ko:K02821	spyo:STAB901_01030
ko:K03476	spyo:STAB901_01055
ko:K02000	spyo:STAB901_01060
ko:K06929	spyo:STAB901_01075
ko:K09825	spyo:STAB901_01080
ko:K00767	spyo:STAB901_01125
ko:K00773	spyo:STAB901_01145
ko:K03523	spyo:STAB901_01155
ko:K11991	spyo:STAB901_01165
ko:K01810	spyo:STAB901_01185
ko:K00963	spyo:STAB901_01210
ko:K00057	spyo:STAB901_01215
ko:K09765	spyo:STAB901_01235
ko:K04485	spyo:STAB901_01245
ko:K01673	spyo:STAB901_01250
ko:K07707	spyo:STAB901_01275
ko:K03536	spyo:STAB901_01280
ko:K06346	spyo:STAB901_01290
ko:K02914	spyo:STAB901_01295
ko:K01788	spyo:STAB901_01300
ko:K02027	spyo:STAB901_01305
ko:K02761	spyo:STAB901_05660
ko:K02759	spyo:STAB901_05670
ko:K02760	spyo:STAB901_05675
ko:K09963	spyo:STAB901_05685
ko:K01223	spyo:STAB901_05690
ko:K03979	spyo:STAB901_05705
ko:K06183	spyo:STAB901_05725
ko:K03215	spyo:STAB901_05755
ko:K00891	spyo:STAB901_05765
ko:K00800	spyo:STAB901_05770
ko:K07058	spyo:STAB901_05775
ko:K01265	spyo:STAB901_05780
ko:K00790	spyo:STAB901_05800
ko:K00789	spyo:STAB901_05805
ko:K03524	spyo:STAB901_05815
ko:K02343	spyo:STAB901_05820
ko:K00876	spyo:STAB901_05840
ko:K00131	spyo:STAB901_05855
ko:K08483	spyo:STAB901_05860
ko:K11189	spyo:STAB901_05865
ko:K07052	spyo:STAB901_05905
ko:K07729	spyo:STAB901_05915
ko:K01872	spyo:STAB901_05920
ko:K06201	spyo:STAB901_01920
ko:K01142	spyo:STAB901_01935
ko:K01361	spyo:STAB901_01945
ko:K01874	spyo:STAB901_01960
ko:K03647	spyo:STAB901_01975
ko:K02445	spyo:STAB901_02080
ko:K04042	spyo:STAB901_02085
ko:K01515	spyo:STAB901_02090
ko:K01243	spyo:STAB901_02100
ko:K03767	spyo:STAB901_02135
ko:K03466	spyo:STAB901_02140
ko:K02867	spyo:STAB901_02150
ko:K02863	spyo:STAB901_02155
ko:K09903	spyo:STAB901_02165
ko:K02838	spyo:STAB901_02170
ko:K00243	spyo:STAB901_02175
ko:K07304	spyo:STAB901_02180
ko:K03856	spyo:STAB901_06475
ko:K01735	spyo:STAB901_06480
ko:K00014	spyo:STAB901_06500
ko:K01190	spyo:STAB901_06505
ko:K07720	spyo:STAB901_06510
ko:K07718	spyo:STAB901_06515
ko:K17320	spyo:STAB901_06530
ko:K17319	spyo:STAB901_06535
ko:K05350	spyo:STAB901_06550
ko:K01197	spyo:STAB901_06555
ko:K09704	spyo:STAB901_06565
ko:K01191	spyo:STAB901_06570
ko:K07706	spyo:STAB901_06575
ko:K03565	spyo:STAB901_06585
ko:K07586	spyo:STAB901_06590
ko:K01738	spyo:STAB901_06675
ko:K07570	spyo:STAB901_06680
ko:K03768	spyo:STAB901_06685
ko:K11618	spyo:STAB901_06690
ko:K11617	spyo:STAB901_06695
ko:K03500	spyo:STAB901_06715
ko:K00604	spyo:STAB901_06720
ko:K03060	spyo:STAB901_06730
ko:K18682	spyo:STAB901_06740
ko:K18891	spyo:STAB901_01225
ko:K01595	spyo:STAB901_02795
ko:K02358	spyo:STAB901_02810
ko:K01803	spyo:STAB901_02815
ko:K06885	spyo:STAB901_02840
ko:K02747	spyo:STAB901_02865
ko:K02746	spyo:STAB901_02870
ko:K18581	spyo:STAB901_02880
ko:K02744	spyo:STAB901_02885
ko:K00046	spyo:STAB901_02890
ko:K00874	spyo:STAB901_02900
ko:K01625	spyo:STAB901_02905
ko:K02836	spyo:STAB901_02920
ko:K09812	spyo:STAB901_02925
ko:K09811	spyo:STAB901_02930
ko:K01893	spyo:STAB901_02955
ko:K09762	spyo:STAB901_02970
ko:K08659	spyo:STAB901_02975
ko:K09815	spyo:STAB901_02980
ko:K03710	spyo:STAB901_02985
ko:K02082	spyo:STAB901_02990
ko:K02909	spyo:STAB901_02995
ko:K04516	spyo:STAB901_03010
ko:K02884	spyo:STAB901_03020
ko:K01689	spyo:STAB901_03055
ko:K03687	spyo:STAB901_07270
ko:K03705	spyo:STAB901_07275
ko:K02434	spyo:STAB901_07305
ko:K02433	spyo:STAB901_07310
ko:K02435	spyo:STAB901_07315
ko:K01006	spyo:STAB901_07320
ko:K03706	spyo:STAB901_07330
ko:K14260	spyo:STAB901_07335
ko:K01992	spyo:STAB901_07355
ko:K01990	spyo:STAB901_07360
ko:K16786	spyo:STAB901_07375
ko:K16787	spyo:STAB901_07375
ko:K16785	spyo:STAB901_07380
ko:K16926	spyo:STAB901_07385
ko:K02015	spyo:STAB901_07405
ko:K02016	spyo:STAB901_07410
ko:K00997	spyo:STAB901_07440
ko:K03070	spyo:STAB901_07445
ko:K01809	spyo:STAB901_07450
ko:K00847	spyo:STAB901_07455
ko:K02808	spyo:STAB901_07465
ko:K02809	spyo:STAB901_07465
ko:K02810	spyo:STAB901_07465
ko:K01193	spyo:STAB901_07470
ko:K03484	spyo:STAB901_07475
ko:K03625	spyo:STAB901_07480
ko:K02356	spyo:STAB901_07490
ko:K01262	spyo:STAB901_07500
ko:K03701	spyo:STAB901_07505
ko:K03284	spyo:STAB901_07510
ko:K02963	spyo:STAB901_07520
ko:K02990	spyo:STAB901_07530
ko:K00938	spyo:STAB901_03685
ko:K01823	spyo:STAB901_03690
ko:K01641	spyo:STAB901_03700
ko:K04086	spyo:STAB901_03735
ko:K01807	spyo:STAB901_03740
ko:K01839	spyo:STAB901_03745
ko:K00537	spyo:STAB901_03750
ko:K03783	spyo:STAB901_03755
ko:K03784	spyo:STAB901_03760
ko:K01591	spyo:STAB901_03780
ko:K00762	spyo:STAB901_03785
ko:K01426	spyo:STAB901_03790
ko:K10009	spyo:STAB901_03800
ko:K03648	spyo:STAB901_03805
ko:K01465	spyo:STAB901_03810
ko:K08591	spyo:STAB901_03815
ko:K02621	spyo:STAB901_03825
ko:K00826	spyo:STAB901_03830
ko:K02945	spyo:STAB901_03850
ko:K07146	spyo:STAB901_03865
ko:K00799	spyo:STAB901_03870
ko:K00791	spyo:STAB901_03885
ko:K03665	spyo:STAB901_03890
ko:K00784	spyo:STAB901_03900
ko:K07124	spyo:STAB901_03905
ko:K00759	spyo:STAB901_03915
ko:K02086	spyo:STAB901_03920
ko:K10773	spyo:STAB901_03925
ko:K06967	spyo:STAB901_03930
ko:K00640	spyo:STAB901_08075
ko:K00962	spyo:STAB901_08085
ko:K00616	spyo:STAB901_08090
ko:K03475	spyo:STAB901_08095
ko:K02822	spyo:STAB901_08100
ko:K02956	spyo:STAB901_08110
ko:K01462	spyo:STAB901_08125
ko:K03763	spyo:STAB901_08140
ko:K11749	spyo:STAB901_08150
ko:K00806	spyo:STAB901_08160
ko:K10112	spyo:STAB901_08190
ko:K07560	spyo:STAB901_08205
ko:K00951	spyo:STAB901_08210
ko:K03647	spyo:STAB901_08220
ko:K06896	spyo:STAB901_08225
ko:K02687	spyo:STAB901_08240
ko:K03574	spyo:STAB901_08245
ko:K01658	spyo:STAB901_08265
ko:K07478	spyo:STAB901_08270
ko:K02035	spyo:STAB901_08305
ko:K02034	spyo:STAB901_08315
ko:K09815	spyo:STAB901_08340
ko:K02025	spyo:STAB901_01310
ko:K02026	spyo:STAB901_01315
ko:K01639	spyo:STAB901_01325
ko:K03424	spyo:STAB901_01340
ko:K05985	spyo:STAB901_01345
ko:K02528	spyo:STAB901_01350
ko:K06949	spyo:STAB901_01355
ko:K01783	spyo:STAB901_01360
ko:K09760	spyo:STAB901_01370
ko:K03698	spyo:STAB901_01375
ko:K09685	spyo:STAB901_01380
ko:K02950	spyo:STAB901_01390
ko:K02992	spyo:STAB901_01395
ko:K02355	spyo:STAB901_01400
ko:K00134	spyo:STAB901_01405
ko:K17076	spyo:STAB901_01415
ko:K06153	spyo:STAB901_01430
ko:K16511	spyo:STAB901_01435
ko:K09013	spyo:STAB901_01450
ko:K09015	spyo:STAB901_01455
ko:K11717	spyo:STAB901_01460
ko:K04488	spyo:STAB901_01465
ko:K15583	spyo:STAB901_01500
ko:K10823	spyo:STAB901_01505
ko:K07015	spyo:STAB901_01555
ko:K06948	spyo:STAB901_01560
ko:K07574	spyo:STAB901_01565
ko:K09710	spyo:STAB901_01580
ko:K02030	spyo:STAB901_01600
ko:K08602	spyo:STAB901_05940
ko:K06198	spyo:STAB901_05945
ko:K06183	spyo:STAB901_05950
ko:K02564	spyo:STAB901_05955
ko:K07568	spyo:STAB901_05960
ko:K04564	spyo:STAB901_05985
ko:K02340	spyo:STAB901_05990
ko:K02340	spyo:STAB901_05995
ko:K02340	spyo:STAB901_06000
ko:K00655	spyo:STAB901_06015
ko:K07461	spyo:STAB901_06025
ko:K05592	spyo:STAB901_06035
ko:K02837	spyo:STAB901_06040
ko:K01929	spyo:STAB901_06050
ko:K06187	spyo:STAB901_06060
ko:K16788	spyo:STAB901_06075
ko:K07105	spyo:STAB901_06085
ko:K01834	spyo:STAB901_06090
ko:K00226	spyo:STAB901_06095
ko:K01534	spyo:STAB901_06105
ko:K03530	spyo:STAB901_06110
ko:K03402	spyo:STAB901_06135
ko:K06442	spyo:STAB901_06140
ko:K13789	spyo:STAB901_06145
ko:K03602	spyo:STAB901_06150
ko:K01491	spyo:STAB901_06160
ko:K02028	spyo:STAB901_06175
ko:K02029	spyo:STAB901_06180
ko:K03697	spyo:STAB901_06190
ko:K03574	spyo:STAB901_06195
ko:K02904	spyo:STAB901_00440
ko:K02961	spyo:STAB901_00445
ko:K02874	spyo:STAB901_00450
ko:K02895	spyo:STAB901_00455
ko:K02931	spyo:STAB901_00460
ko:K02954	spyo:STAB901_00465
ko:K02994	spyo:STAB901_00470
ko:K02933	spyo:STAB901_00475
ko:K02881	spyo:STAB901_00480
ko:K02988	spyo:STAB901_00485
ko:K02907	spyo:STAB901_00490
ko:K02876	spyo:STAB901_00495
ko:K00939	spyo:STAB901_00505
ko:K02518	spyo:STAB901_00510
ko:K02919	spyo:STAB901_00515
ko:K02952	spyo:STAB901_00520
ko:K02948	spyo:STAB901_00525
ko:K03040	spyo:STAB901_00530
ko:K02879	spyo:STAB901_00535
ko:K00919	spyo:STAB901_00630
ko:K00919	spyo:STAB901_00635
ko:K09816	spyo:STAB901_00650
ko:K03693	spyo:STAB901_00665
ko:K03043	spyo:STAB901_00670
ko:K03046	spyo:STAB901_00675
ko:K02245	spyo:STAB901_00695
ko:K02246	spyo:STAB901_00700
ko:K02248	spyo:STAB901_00710
ko:K00925	spyo:STAB901_00725
ko:K00286	spyo:STAB901_00735
ko:K01646	spyo:STAB901_05120
ko:K01643	spyo:STAB901_05130
ko:K05964	spyo:STAB901_05135
ko:K01571	spyo:STAB901_05140
ko:K03106	spyo:STAB901_05165
ko:K03710	spyo:STAB901_05175
ko:K00868	spyo:STAB901_05205
ko:K06131	spyo:STAB901_05220
ko:K03800	spyo:STAB901_05230
ko:K01598	spyo:STAB901_05270
ko:K01835	spyo:STAB901_05280
ko:K02057	spyo:STAB901_05290
ko:K02056	spyo:STAB901_05295
ko:K07335	spyo:STAB901_05300
ko:K01489	spyo:STAB901_05305
ko:K02968	spyo:STAB901_05325
ko:K14982	spyo:STAB901_05330
ko:K02039	spyo:STAB901_05345
ko:K02036	spyo:STAB901_05350
ko:K02036	spyo:STAB901_05355
ko:K02038	spyo:STAB901_05360
ko:K02037	spyo:STAB901_05365
ko:K02040	spyo:STAB901_05370
ko:K01092	spyo:STAB901_05380
ko:K07042	spyo:STAB901_02210
ko:K10563	spyo:STAB901_02310
ko:K06915	spyo:STAB901_02320
ko:K03075	spyo:STAB901_02330
ko:K03664	spyo:STAB901_02340
ko:K01304	spyo:STAB901_02350
ko:K01759	spyo:STAB901_02370
ko:K02529	spyo:STAB901_02385
ko:K01868	spyo:STAB901_02405
ko:K01990	spyo:STAB901_02410
ko:K01992	spyo:STAB901_02415
ko:K01992	spyo:STAB901_02420
ko:K00626	spyo:STAB901_02430
ko:K01897	spyo:STAB901_02435
ko:K07668	spyo:STAB901_02445
ko:K07652	spyo:STAB901_02450
ko:K03685	spyo:STAB901_02460
ko:K03529	spyo:STAB901_02470
ko:K01034	spyo:STAB901_06755
ko:K01035	spyo:STAB901_06760
ko:K00019	spyo:STAB901_06765
ko:K07173	spyo:STAB901_06775
ko:K07444	spyo:STAB901_06785
ko:K03700	spyo:STAB901_06805
ko:K05366	spyo:STAB901_06810
ko:K01372	spyo:STAB901_06815
ko:K01916	spyo:STAB901_06820
ko:K00763	spyo:STAB901_06825
ko:K00384	spyo:STAB901_06835
ko:K02028	spyo:STAB901_06845
ko:K02029	spyo:STAB901_06850
ko:K18692	spyo:STAB901_06855
ko:K01000	spyo:STAB901_06860
ko:K03438	spyo:STAB901_06875
ko:K00147	spyo:STAB901_06890
ko:K00931	spyo:STAB901_06895
ko:K01992	spyo:STAB901_06900
ko:K00615	spyo:STAB901_06915
ko:K00616	spyo:STAB901_06920
ko:K02440	spyo:STAB901_06935
ko:K00105	spyo:STAB901_06940
ko:K01879	spyo:STAB901_06960
ko:K01878	spyo:STAB901_06965
ko:K01443	spyo:STAB901_06980
ko:K03324	spyo:STAB901_06985
ko:K11046	spyo:STAB901_03085
ko:K01990	spyo:STAB901_03115
ko:K07004	spyo:STAB901_03130
ko:K02110	spyo:STAB901_03150
ko:K02108	spyo:STAB901_03155
ko:K02109	spyo:STAB901_03160
ko:K02113	spyo:STAB901_03165
ko:K02111	spyo:STAB901_03170
ko:K02115	spyo:STAB901_03175
ko:K02112	spyo:STAB901_03180
ko:K02114	spyo:STAB901_03185
ko:K00790	spyo:STAB901_03195
ko:K01889	spyo:STAB901_03205
ko:K01890	spyo:STAB901_03210
ko:K02004	spyo:STAB901_03225
ko:K07054	spyo:STAB901_03235
ko:K02970	spyo:STAB901_03255
ko:K03282	spyo:STAB901_03260
ko:K03086	spyo:STAB901_03270
ko:K00067	spyo:STAB901_03280
ko:K01790	spyo:STAB901_03950
ko:K01197	spyo:STAB901_04235
ko:K02003	spyo:STAB901_08405
ko:K15051	spyo:STAB901_08470
ko:K00005	spyo:STAB901_08480
ko:K00656	spyo:STAB901_08490
ko:K02761	spyo:STAB901_08495
ko:K02760	spyo:STAB901_08500
ko:K02759	spyo:STAB901_08505
ko:K03073	spyo:STAB901_08530
ko:K04077	spyo:STAB901_08570
ko:K04078	spyo:STAB901_08575
ko:K03708	spyo:STAB901_08585
ko:K03704	spyo:STAB901_08590
ko:K03386	spyo:STAB901_08600
ko:K03387	spyo:STAB901_08605
ko:K01712	spyo:STAB901_08615
ko:K00603	spyo:STAB901_08620
ko:K12996	spyo:STAB901_03285
ko:K12997	spyo:STAB901_03290
ko:K01992	spyo:STAB901_03295
ko:K01990	spyo:STAB901_03300
ko:K07272	spyo:STAB901_03310
ko:K09153	spyo:STAB901_03325
ko:K01258	spyo:STAB901_03340
ko:K05337	spyo:STAB901_03350
ko:K00945	spyo:STAB901_03360
ko:K03575	spyo:STAB901_07540
ko:K03671	spyo:STAB901_07550
ko:K03100	spyo:STAB901_07580
ko:K02346	spyo:STAB901_07595
ko:K00656	spyo:STAB901_07600
ko:K02440	spyo:STAB901_07620
ko:K01281	spyo:STAB901_07635
ko:K09747	spyo:STAB901_07650
ko:K02342	spyo:STAB901_07660
ko:K07007	spyo:STAB901_07690
ko:K01619	spyo:STAB901_07695
ko:K03317	spyo:STAB901_07700
ko:K00757	spyo:STAB901_07705
ko:K02954	spyo:STAB901_07715
ko:K01409	spyo:STAB901_07720
ko:K03789	spyo:STAB901_07725
ko:K12574	spyo:STAB901_07740
ko:K03713	spyo:STAB901_07750
ko:K00927	spyo:STAB901_07760
ko:K02902	spyo:STAB901_07785
ko:K01624	spyo:STAB901_07790
ko:K06889	spyo:STAB901_07800
ko:K01937	spyo:STAB901_07805
ko:K02313	spyo:STAB901_00005
ko:K02338	spyo:STAB901_00010
ko:K06942	spyo:STAB901_00020
ko:K01056	spyo:STAB901_00025
ko:K01467	spyo:STAB901_00045
ko:K00760	spyo:STAB901_00055
ko:K03798	spyo:STAB901_00060
ko:K07258	spyo:STAB901_04740
ko:K01495	spyo:STAB901_04755
ko:K01633	spyo:STAB901_04765
ko:K00950	spyo:STAB901_04770
ko:K00075	spyo:STAB901_04775
ko:K11072	spyo:STAB901_04780
ko:K11071	spyo:STAB901_04785
ko:K11070	spyo:STAB901_04790
ko:K11069	spyo:STAB901_04795
ko:K00027	spyo:STAB901_04815
ko:K18369	spyo:STAB901_04820
ko:K03788	spyo:STAB901_04825
ko:K01421	spyo:STAB901_08915
ko:K02986	spyo:STAB901_08930
ko:K00566	spyo:STAB901_08960
ko:K01752	spyo:STAB901_08970
ko:K01752	spyo:STAB901_08975
ko:K16787	spyo:STAB901_08990
ko:K16786	spyo:STAB901_08995
ko:K00995	spyo:STAB901_09000
ko:K00752	spyo:STAB901_09020
ko:K00963	spyo:STAB901_09030
ko:K05340	spyo:STAB901_09045
ko:K00088	spyo:STAB901_09050
ko:K01867	spyo:STAB901_09055
ko:K02073	spyo:STAB901_01605
ko:K02072	spyo:STAB901_01615
ko:K03311	spyo:STAB901_01620
ko:K07862	spyo:STAB901_01625
ko:K03499	spyo:STAB901_01630
ko:K03501	spyo:STAB901_01640
ko:K03744	spyo:STAB901_01645
ko:K03799	spyo:STAB901_01650
ko:K07040	spyo:STAB901_01660
ko:K07738	spyo:STAB901_01675
ko:K11144	spyo:STAB901_01685
ko:K03977	spyo:STAB901_01690
ko:K01261	spyo:STAB901_00740
ko:K06878	spyo:STAB901_00760
ko:K04083	spyo:STAB901_00780
ko:K07284	spyo:STAB901_00800
ko:K03100	spyo:STAB901_00810
ko:K02106	spyo:STAB901_00850
ko:K02106	spyo:STAB901_00855
ko:K02106	spyo:STAB901_00860
ko:K00626	spyo:STAB901_00870
ko:K01034	spyo:STAB901_00875
ko:K01035	spyo:STAB901_00880
ko:K02123	spyo:STAB901_00905
ko:K02124	spyo:STAB901_00910
ko:K02121	spyo:STAB901_00915
ko:K02119	spyo:STAB901_00920
ko:K02122	spyo:STAB901_00925
ko:K02117	spyo:STAB901_00935
ko:K02118	spyo:STAB901_00940
ko:K02120	spyo:STAB901_00945
ko:K01939	spyo:STAB901_00960
ko:K02601	spyo:STAB901_00970
ko:K01869	spyo:STAB901_01015
ko:K03475	spyo:STAB901_01020
ko:K16509	spyo:STAB901_05385
ko:K11753	spyo:STAB901_05390
ko:K02004	spyo:STAB901_05415
ko:K02003	spyo:STAB901_05420
ko:K03657	spyo:STAB901_05470
ko:K03310	spyo:STAB901_05475
ko:K02030	spyo:STAB901_05490
ko:K02028	spyo:STAB901_05495
ko:K02029	spyo:STAB901_05500
ko:K06193	spyo:STAB901_05505
ko:K00820	spyo:STAB901_05510
ko:K00873	spyo:STAB901_05520
ko:K00850	spyo:STAB901_05525
ko:K00688	spyo:STAB901_05560
ko:K00705	spyo:STAB901_05565
ko:K02529	spyo:STAB901_05570
ko:K15770	spyo:STAB901_05575
ko:K15771	spyo:STAB901_05580
ko:K15772	spyo:STAB901_05585
ko:K14188	spyo:STAB901_05610
ko:K03367	spyo:STAB901_05620
ko:K02028	spyo:STAB901_05640
ko:K01924	spyo:STAB901_01705
ko:K01512	spyo:STAB901_01730
ko:K06950	spyo:STAB901_01740
ko:K06890	spyo:STAB901_01745
ko:K09976	spyo:STAB901_01750
ko:K01776	spyo:STAB901_01755
ko:K02428	spyo:STAB901_01760
ko:K07095	spyo:STAB901_01765
ko:K06024	spyo:STAB901_01785
ko:K06178	spyo:STAB901_01790
ko:K08998	spyo:STAB901_01795
ko:K03216	spyo:STAB901_01800
ko:K07139	spyo:STAB901_01815
ko:K04069	spyo:STAB901_01830
ko:K15986	spyo:STAB901_01835
ko:K02015	spyo:STAB901_01845
ko:K02015	spyo:STAB901_01850
ko:K02013	spyo:STAB901_01860
ko:K00761	spyo:STAB901_01875
ko:K01358	spyo:STAB901_01880
ko:K01870	spyo:STAB901_06205
ko:K04074	spyo:STAB901_06210
ko:K02221	spyo:STAB901_06220
ko:K09772	spyo:STAB901_06225
ko:K03531	spyo:STAB901_06235
ko:K03590	spyo:STAB901_06240
ko:K02563	spyo:STAB901_06250
ko:K06207	spyo:STAB901_06265
ko:K00845	spyo:STAB901_06275
ko:K04047	spyo:STAB901_06285
ko:K02236	spyo:STAB901_06290
ko:K00954	spyo:STAB901_06315
ko:K08316	spyo:STAB901_06320
ko:K01914	spyo:STAB901_06325
ko:K00926	spyo:STAB901_06330
ko:K00611	spyo:STAB901_06345
ko:K01478	spyo:STAB901_06355
ko:K03402	spyo:STAB901_06365
ko:K07718	spyo:STAB901_06380
ko:K12267	spyo:STAB901_06390
ko:K06196	spyo:STAB901_06400
ko:K07012	spyo:STAB901_06440
ko:K01873	spyo:STAB901_06445
ko:K01989	spyo:STAB901_04300
ko:K05832	spyo:STAB901_04305
ko:K05833	spyo:STAB901_04310
ko:K03930	spyo:STAB901_04320
ko:K06158	spyo:STAB901_04330
ko:K00161	spyo:STAB901_04335
ko:K00162	spyo:STAB901_04340
ko:K00382	spyo:STAB901_04355
ko:K03800	spyo:STAB901_04365
ko:K01928	spyo:STAB901_04375
ko:K18672	spyo:STAB901_04380
ko:K03431	spyo:STAB901_04390
ko:K00940	spyo:STAB901_04440
ko:K00940	spyo:STAB901_04445
ko:K03596	spyo:STAB901_04450
ko:K07305	spyo:STAB901_04460
ko:K02793	spyo:STAB901_04470
ko:K02794	spyo:STAB901_04475
ko:K02795	spyo:STAB901_04480
ko:K07720	spyo:STAB901_04495
ko:K03650	spyo:STAB901_04525
ko:K02864	spyo:STAB901_04530
ko:K02935	spyo:STAB901_04535
ko:K01938	spyo:STAB901_08630
ko:K01745	spyo:STAB901_08645
ko:K01479	spyo:STAB901_08650
ko:K02967	spyo:STAB901_08660
ko:K02357	spyo:STAB901_08665
ko:K07386	spyo:STAB901_08670
ko:K01226	spyo:STAB901_08675
ko:K02817	spyo:STAB901_08680
ko:K02818	spyo:STAB901_08680
ko:K02819	spyo:STAB901_08680
ko:K03486	spyo:STAB901_08685
ko:K09861	spyo:STAB901_08700
ko:K03810	spyo:STAB901_08715
ko:K07447	spyo:STAB901_08745
ko:K03742	spyo:STAB901_08775
ko:K01246	spyo:STAB901_08780
ko:K03550	spyo:STAB901_08785
ko:K08152	spyo:STAB901_08790
ko:K03572	spyo:STAB901_08795
ko:K03555	spyo:STAB901_08800
ko:K03402	spyo:STAB901_08810
ko:K01887	spyo:STAB901_08815
ko:K01876	spyo:STAB901_08840
ko:K01892	spyo:STAB901_08845
ko:K02911	spyo:STAB901_08850
ko:K02913	spyo:STAB901_08855
ko:K00789	spyo:STAB901_02505
ko:K03488	spyo:STAB901_02655
ko:K02755	spyo:STAB901_02660
ko:K02756	spyo:STAB901_02660
ko:K02757	spyo:STAB901_02660
ko:K01223	spyo:STAB901_02665
ko:K08986	spyo:STAB901_02670
ko:K06959	spyo:STAB901_02685
ko:K03095	spyo:STAB901_02690
ko:K06023	spyo:STAB901_02700
ko:K13292	spyo:STAB901_02705
ko:K08303	spyo:STAB901_02730
ko:K04567	spyo:STAB901_02745
ko:K07025	spyo:STAB901_02750
ko:K03976	spyo:STAB901_02760
ko:K16789	spyo:STAB901_02765
ko:K07273	spyo:STAB901_02770
ko:K01635	spyo:STAB901_07020
ko:K00917	spyo:STAB901_07025
ko:K01819	spyo:STAB901_07035
ko:K02530	spyo:STAB901_07055
ko:K17686	spyo:STAB901_07065
ko:K02834	spyo:STAB901_07080
ko:K07742	spyo:STAB901_07095
ko:K02600	spyo:STAB901_07100
ko:K09748	spyo:STAB901_07105
ko:K03439	spyo:STAB901_07115
ko:K01992	spyo:STAB901_07125
ko:K01990	spyo:STAB901_07130
ko:K02503	spyo:STAB901_07135
ko:K06925	spyo:STAB901_07155
ko:K06901	spyo:STAB901_07160
ko:K02793	spyo:STAB901_07170
ko:K02794	spyo:STAB901_07170
ko:K02795	spyo:STAB901_07175
ko:K01875	spyo:STAB901_07190
ko:K01962	spyo:STAB901_07195
ko:K01963	spyo:STAB901_07200
ko:K01961	spyo:STAB901_07205
ko:K02372	spyo:STAB901_07210
ko:K02160	spyo:STAB901_07215
ko:K09458	spyo:STAB901_07220
ko:K00059	spyo:STAB901_07225
ko:K00645	spyo:STAB901_07230
ko:K02371	spyo:STAB901_07235
ko:K02078	spyo:STAB901_07240
ko:K00648	spyo:STAB901_07245
ko:K18474	spyo:STAB901_07255
ko:K03686	spyo:STAB901_07260
ko:K04043	spyo:STAB901_07265
ko:K02520	spyo:STAB901_03365
ko:K02887	spyo:STAB901_03375
ko:K03785	spyo:STAB901_03390
ko:K00383	spyo:STAB901_03405
ko:K11754	spyo:STAB901_03410
ko:K04487	spyo:STAB901_03420
ko:K03151	spyo:STAB901_03425
ko:K02888	spyo:STAB901_03435
ko:K07584	spyo:STAB901_03440
