ko:K03560	rra:RPO_02385
ko:K00228	rra:RPO_07550
ko:K08973	rra:RPO_07565
ko:K01772	rra:RPO_07570
ko:K01599	rra:RPO_07575
ko:K06187	rra:RPO_03430
ko:K00858	rra:RPO_03460
ko:K00057	rra:RPO_03470
ko:K07088	rra:RPO_03475
ko:K00384	rra:RPO_03485
ko:K03657	rra:RPO_03525
ko:K01754	rra:RPO_03550
ko:K01338	rra:RPO_03555
ko:K01491	rra:RPO_03610
ko:K00384	rra:RPO_03615
ko:K00791	rra:RPO_03710
ko:K06861	rra:RPO_03725
ko:K09774	rra:RPO_03730
ko:K11719	rra:RPO_03735
ko:K06041	rra:RPO_03740
ko:K00962	rra:RPO_03745
ko:K02956	rra:RPO_03750
ko:K07058	rra:RPO_03775
ko:K01915	rra:RPO_03780
ko:K09773	rra:RPO_00005
ko:K03671	rra:RPO_00010
ko:K00677	rra:RPO_00035
ko:K02372	rra:RPO_00040
ko:K02536	rra:RPO_00045
ko:K07001	rra:RPO_00060
ko:K06925	rra:RPO_00095
ko:K02109	rra:RPO_00155
ko:K02109	rra:RPO_00160
ko:K02110	rra:RPO_00165
ko:K02108	rra:RPO_00170
ko:K07736	rra:RPO_00185
ko:K03629	rra:RPO_00200
ko:K06137	rra:RPO_00205
ko:K13941	rra:RPO_00220
ko:K07152	rra:RPO_00260
ko:K07735	rra:RPO_00265
ko:K00023	rra:RPO_00330
ko:K01000	rra:RPO_05080
ko:K01929	rra:RPO_05085
ko:K01928	rra:RPO_05090
ko:K03723	rra:RPO_05095
ko:K09159	rra:RPO_05100
ko:K02313	rra:RPO_05110
ko:K06942	rra:RPO_05175
ko:K01056	rra:RPO_05190
ko:K02897	rra:RPO_05195
ko:K02916	rra:RPO_05205
ko:K02887	rra:RPO_05210
ko:K02914	rra:RPO_05215
ko:K03536	rra:RPO_05220
ko:K03284	rra:RPO_05245
ko:K13598	rra:RPO_05275
ko:K02970	rra:RPO_05285
ko:K01870	rra:RPO_05310
ko:K05939	rra:RPO_05350
ko:K09816	rra:RPO_05360
ko:K00604	rra:RPO_01580
ko:K06916	rra:RPO_01595
ko:K07568	rra:RPO_01600
ko:K00425	rra:RPO_01630
ko:K00426	rra:RPO_01635
ko:K01923	rra:RPO_01660
ko:K01868	rra:RPO_01670
ko:K09991	rra:RPO_01735
ko:K02622	rra:RPO_01750
ko:K03797	rra:RPO_01755
ko:K07716	rra:RPO_01760
ko:K02871	rra:RPO_01780
ko:K02996	rra:RPO_01785
ko:K08641	rra:RPO_01790
ko:K08311	rra:RPO_01815
ko:K02356	rra:RPO_01825
ko:K01613	rra:RPO_01840
ko:K03543	rra:RPO_01850
ko:K05527	rra:RPO_01870
ko:K07726	rra:RPO_06750
ko:K00339	rra:RPO_06755
ko:K00340	rra:RPO_06760
ko:K00341	rra:RPO_06765
ko:K00342	rra:RPO_06770
ko:K00338	rra:RPO_06780
ko:K00337	rra:RPO_06785
ko:K01681	rra:RPO_06800
ko:K02114	rra:RPO_06805
ko:K02112	rra:RPO_06810
ko:K02115	rra:RPO_06815
ko:K02111	rra:RPO_06820
ko:K02113	rra:RPO_06825
ko:K00382	rra:RPO_06830
ko:K04047	rra:RPO_06835
ko:K05366	rra:RPO_06865
ko:K06168	rra:RPO_06870
ko:K09710	rra:RPO_06920
ko:K02518	rra:RPO_06985
ko:K06287	rra:RPO_06990
ko:K06204	rra:RPO_06995
ko:K03733	rra:RPO_07000
ko:K03182	rra:RPO_07025
ko:K00242	rra:RPO_00970
ko:K00239	rra:RPO_00975
ko:K02950	rra:RPO_00985
ko:K02992	rra:RPO_00990
ko:K02355	rra:RPO_00995
ko:K03073	rra:RPO_01000
ko:K02601	rra:RPO_01005
ko:K02867	rra:RPO_01010
ko:K02863	rra:RPO_01015
ko:K02864	rra:RPO_01020
ko:K02935	rra:RPO_01025
ko:K03043	rra:RPO_01030
ko:K03046	rra:RPO_01035
ko:K01255	rra:RPO_01050
ko:K01876	rra:RPO_01065
ko:K06890	rra:RPO_01075
ko:K00215	rra:RPO_01080
ko:K02434	rra:RPO_01095
ko:K02435	rra:RPO_01105
ko:K02838	rra:RPO_01115
ko:K09903	rra:RPO_01120
ko:K05569	rra:RPO_01125
ko:K07277	rra:RPO_01150
ko:K11749	rra:RPO_01155
ko:K03625	rra:RPO_01160
ko:K09761	rra:RPO_01190
ko:K09779	rra:RPO_01195
ko:K03530	rra:RPO_01205
ko:K02341	rra:RPO_01210
ko:K03106	rra:RPO_01215
ko:K05349	rra:RPO_06100
ko:K04764	rra:RPO_06110
ko:K03564	rra:RPO_06120
ko:K02517	rra:RPO_06125
ko:K00912	rra:RPO_06130
ko:K07115	rra:RPO_06140
ko:K01972	rra:RPO_06145
ko:K00773	rra:RPO_06155
ko:K09985	rra:RPO_06210
ko:K00859	rra:RPO_06220
ko:K00645	rra:RPO_06250
ko:K03821	rra:RPO_06320
ko:K07042	rra:RPO_06345
ko:K03644	rra:RPO_06360
ko:K00600	rra:RPO_06365
ko:K06999	rra:RPO_06370
ko:K07390	rra:RPO_06375
ko:K10773	rra:RPO_06380
ko:K07056	rra:RPO_06425
ko:K03168	rra:RPO_02530
ko:K04096	rra:RPO_02540
ko:K07447	rra:RPO_02565
ko:K00067	rra:RPO_02580
ko:K02986	rra:RPO_02640
ko:K02860	rra:RPO_02670
ko:K03602	rra:RPO_02680
ko:K03652	rra:RPO_02705
ko:K08998	rra:RPO_02720
ko:K00334	rra:RPO_02725
ko:K00333	rra:RPO_02730
ko:K00332	rra:RPO_02735
ko:K00331	rra:RPO_02740
ko:K00330	rra:RPO_02745
ko:K00208	rra:RPO_02785
ko:K03820	rra:RPO_02790
ko:K05810	rra:RPO_03785
ko:K01462	rra:RPO_03790
ko:K03523	rra:RPO_03840
ko:K11754	rra:RPO_03845
ko:K04564	rra:RPO_03850
ko:K03524	rra:RPO_03875
ko:K02520	rra:RPO_03905
ko:K00627	rra:RPO_03910
ko:K02835	rra:RPO_03915
ko:K07462	rra:RPO_03920
ko:K03628	rra:RPO_03930
ko:K04773	rra:RPO_03935
ko:K05788	rra:RPO_03940
ko:K09861	rra:RPO_03960
ko:K01867	rra:RPO_03995
ko:K00655	rra:RPO_04000
ko:K07018	rra:RPO_04020
ko:K06895	rra:RPO_04040
ko:K08218	rra:RPO_04050
ko:K02523	rra:RPO_04075
ko:K03695	rra:RPO_00365
ko:K02990	rra:RPO_00390
ko:K02963	rra:RPO_00395
ko:K02939	rra:RPO_00400
ko:K04075	rra:RPO_00405
ko:K03798	rra:RPO_00410
ko:K00240	rra:RPO_00425
ko:K13292	rra:RPO_00440
ko:K03217	rra:RPO_00455
ko:K00995	rra:RPO_00460
ko:K01462	rra:RPO_00485
ko:K03301	rra:RPO_00490
ko:K02445	rra:RPO_00495
ko:K00940	rra:RPO_00500
ko:K03495	rra:RPO_00505
ko:K03501	rra:RPO_00510
ko:K01627	rra:RPO_00535
ko:K01129	rra:RPO_00555
ko:K01887	rra:RPO_00560
ko:K02621	rra:RPO_00570
ko:K01494	rra:RPO_00590
ko:K03071	rra:RPO_00595
ko:K13584	rra:RPO_00600
ko:K06879	rra:RPO_00605
ko:K09987	rra:RPO_00610
ko:K00325	rra:RPO_00615
ko:K07275	rra:RPO_00620
ko:K03762	rra:RPO_00630
ko:K04077	rra:RPO_05385
ko:K04078	rra:RPO_05390
ko:K00989	rra:RPO_05430
ko:K03687	rra:RPO_05435
ko:K02968	rra:RPO_05490
ko:K02879	rra:RPO_05495
ko:K03040	rra:RPO_05500
ko:K02948	rra:RPO_05505
ko:K02952	rra:RPO_05510
ko:K03076	rra:RPO_05520
ko:K02876	rra:RPO_05525
ko:K02907	rra:RPO_05530
ko:K02988	rra:RPO_05535
ko:K02881	rra:RPO_05540
ko:K02933	rra:RPO_05545
ko:K02994	rra:RPO_05550
ko:K02954	rra:RPO_05555
ko:K02931	rra:RPO_05560
ko:K02895	rra:RPO_05565
ko:K02874	rra:RPO_05570
ko:K02961	rra:RPO_05575
ko:K02904	rra:RPO_05580
ko:K02878	rra:RPO_05585
ko:K02982	rra:RPO_05590
ko:K02890	rra:RPO_05595
ko:K02965	rra:RPO_05600
ko:K02886	rra:RPO_05605
ko:K02892	rra:RPO_05610
ko:K02926	rra:RPO_05615
ko:K02906	rra:RPO_05620
ko:K02946	rra:RPO_05625
ko:K02358	rra:RPO_05635
ko:K03218	rra:RPO_05640
ko:K03531	rra:RPO_05665
ko:K01924	rra:RPO_01880
ko:K00075	rra:RPO_01885
ko:K01921	rra:RPO_01890
ko:K03589	rra:RPO_01895
ko:K03590	rra:RPO_01900
ko:K02535	rra:RPO_01920
ko:K08300	rra:RPO_01930
ko:K02259	rra:RPO_01935
ko:K01142	rra:RPO_01960
ko:K00161	rra:RPO_01965
ko:K00162	rra:RPO_01970
ko:K06207	rra:RPO_01975
ko:K00031	rra:RPO_02000
ko:K05571	rra:RPO_02005
ko:K05566	rra:RPO_02010
ko:K02194	rra:RPO_02015
ko:K00411	rra:RPO_02025
ko:K00412	rra:RPO_02030
ko:K00413	rra:RPO_02040
ko:K02836	rra:RPO_02075
ko:K03596	rra:RPO_02080
ko:K05837	rra:RPO_02145
ko:K01354	rra:RPO_02150
ko:K05567	rra:RPO_02180
ko:K03466	rra:RPO_07050
ko:K01265	rra:RPO_07060
ko:K03630	rra:RPO_07070
ko:K02195	rra:RPO_07100
ko:K09817	rra:RPO_07125
ko:K03701	rra:RPO_07160
ko:K09131	rra:RPO_07190
ko:K04079	rra:RPO_07195
ko:K00643	rra:RPO_07200
ko:K03545	rra:RPO_07210
ko:K03979	rra:RPO_07215
ko:K01647	rra:RPO_07220
ko:K06180	rra:RPO_07235
ko:K02493	rra:RPO_07250
ko:K07566	rra:RPO_07255
ko:K01879	rra:RPO_07260
ko:K01878	rra:RPO_07265
ko:K09765	rra:RPO_07280
ko:K01872	rra:RPO_07310
ko:K06173	rra:RPO_07315
ko:K03086	rra:RPO_07320
ko:K03624	rra:RPO_07335
ko:K00324	rra:RPO_07340
ko:K02275	rra:RPO_03130
ko:K03101	rra:RPO_03140
ko:K01925	rra:RPO_03150
ko:K03588	rra:RPO_03155
ko:K02563	rra:RPO_03160
ko:K01778	rra:RPO_03260
ko:K01889	rra:RPO_03270
ko:K01890	rra:RPO_03275
ko:K02338	rra:RPO_03280
ko:K01869	rra:RPO_03300
ko:K03684	rra:RPO_03310
ko:K00981	rra:RPO_03320
ko:K00806	rra:RPO_03325
ko:K07638	rra:RPO_03330
ko:K07659	rra:RPO_03335
ko:K00826	rra:RPO_03340
ko:K01714	rra:RPO_03345
ko:K03664	rra:RPO_03350
ko:K01902	rra:RPO_03360
ko:K01903	rra:RPO_03365
ko:K02834	rra:RPO_03415
ko:K12340	rra:RPO_01730
ko:K08738	rra:RPO_01910
ko:K06179	rra:RPO_01940
ko:K05568	rra:RPO_02155
ko:K05568	rra:RPO_02170
ko:K05568	rra:RPO_02175
ko:K05524	rra:RPO_07095
ko:K06910	rra:RPO_07120
ko:K09815	rra:RPO_00100
ko:K00970	rra:RPO_00105
ko:K02116	rra:RPO_00175
ko:K01965	rra:RPO_05335
ko:K01966	rra:RPO_05340
ko:K07343	rra:RPO_05355
ko:K02533	rra:RPO_00915
ko:K03593	rra:RPO_00940
ko:K00241	rra:RPO_00965
ko:K15383	rra:RPO_05735
ko:K10563	rra:RPO_05790
ko:K06147	rra:RPO_06010
ko:K01885	rra:RPO_02525
ko:K03386	rra:RPO_02545
ko:K04763	rra:RPO_02770
ko:K01989	rra:RPO_02805
ko:K05832	rra:RPO_02810
ko:K05833	rra:RPO_02815
ko:K01409	rra:RPO_00375
ko:K00568	rra:RPO_05365
ko:K01885	rra:RPO_05370
ko:K00939	rra:RPO_05515
ko:K01679	rra:RPO_05650
ko:K00674	rra:RPO_01385
ko:K06147	rra:RPO_01520
ko:K00059	rra:RPO_06550
ko:K05794	rra:RPO_06730
ko:K01724	rra:RPO_01800
ko:K01092	rra:RPO_01830
ko:K02193	rra:RPO_06775
ko:K03455	rra:RPO_06915
ko:K01082	rra:RPO_02265
ko:K02258	rra:RPO_02305
ko:K03294	rra:RPO_02325
ko:K01439	rra:RPO_07450
ko:K11528	rra:RPO_04390
ko:K02433	rra:RPO_01100
ko:K02427	rra:RPO_01165
ko:K01322	rra:RPO_01220
ko:K02067	rra:RPO_06195
ko:K03469	rra:RPO_06205
ko:K09949	rra:RPO_06215
ko:K02342	rra:RPO_06225
ko:K03574	rra:RPO_02975
ko:K11085	rra:RPO_03025
ko:K07258	rra:RPO_03035
ko:K01297	rra:RPO_03100
ko:K00799	rra:RPO_03830
ko:K01262	rra:RPO_04080
ko:K03294	rra:RPO_04085
ko:K02274	rra:RPO_03120
ko:K00567	rra:RPO_04875
ko:K03769	rra:RPO_04920
ko:K01507	rra:RPO_05015
ko:K00135	rra:RPO_03505
ko:K03177	rra:RPO_03755
ko:K09691	rra:RPO_00015
ko:K13628	rra:RPO_04100
ko:K04488	rra:RPO_04105
ko:K01823	rra:RPO_04180
ko:K01934	rra:RPO_04320
ko:K05570	rra:RPO_04775
ko:K03301	rra:RPO_03760
ko:K03301	rra:RPO_06325
ko:K14235	rra:RPO_t07590
ko:K14232	rra:RPO_t07642
ko:K16053	rra:RPO_00450
ko:K01840	rra:RPO_03720
ko:K12262	rra:RPO_03385
ko:K12262	rra:RPO_03390
ko:K14230	rra:RPO_t07640
ko:K14222	rra:RPO_t07598
ko:K14223	rra:RPO_t07610
ko:K07323	rra:RPO_00720
ko:K14229	rra:RPO_t07600
ko:K14227	rra:RPO_t07602
ko:K14221	rra:RPO_t07604
ko:K14233	rra:RPO_t07606
ko:K14219	rra:RPO_t07608
ko:K14223	rra:RPO_t07612
ko:K14218	rra:RPO_t07614
ko:K14237	rra:RPO_t07616
ko:K14233	rra:RPO_t07618
ko:K14218	rra:RPO_t07622
ko:K14228	rra:RPO_t07624
ko:K14237	rra:RPO_t07628
ko:K14236	rra:RPO_t07632
ko:K14226	rra:RPO_t07636
ko:K14233	rra:RPO_t07638
ko:K01980	rra:RPO_r07654
ko:K01985	rra:RPO_r07650
ko:K14220	rra:RPO_t07596
ko:K01977	rra:RPO_r07652
ko:K14230	rra:RPO_t07588
ko:K14228	rra:RPO_t07646
ko:K14225	rra:RPO_t07626
ko:K14231	rra:RPO_t07582
ko:K14224	rra:RPO_t07584
ko:K14234	rra:RPO_t07648
ko:K14219	rra:RPO_t07620
ko:K14219	rra:RPO_t07644
ko:K14228	rra:RPO_t07634
ko:K14225	rra:RPO_t07630
ko:K14234	rra:RPO_t07586
ko:K14234	rra:RPO_t07592
ko:K14230	rra:RPO_t07594
ko:K00335	rra:RPO_00890
ko:K02030	rra:RPO_01090
ko:K17717	rra:RPO_07010
ko:K17716	rra:RPO_02585
ko:K14998	rra:RPO_06230
ko:K09810	rra:RPO_06030
ko:K02488	rra:RPO_01820
ko:K02028	rra:RPO_07410
ko:K17103	rra:RPO_01845
ko:K08316	rra:RPO_04535
ko:K05540	rra:RPO_00080
ko:K00971	rra:RPO_05795
ko:K01791	rra:RPO_02590
ko:K12574	rra:RPO_03465
ko:K15270	rra:RPO_00625
ko:K06867	rra:RPO_01745
ko:K06900	rra:RPO_05145
ko:K04096	rra:RPO_02535
ko:K00567	rra:RPO_04855
ko:K02022	rra:RPO_02410
ko:K03446	rra:RPO_01130
ko:K18588	rra:RPO_01180
ko:K18587	rra:RPO_05290
ko:K18707	rra:RPO_03265
ko:K06147	rra:RPO_01620
ko:K07171	rra:RPO_00030
ko:K03204	rra:RPO_02185
ko:K03203	rra:RPO_02190
ko:K03111	rra:RPO_07165
ko:K03203	rra:RPO_02200
ko:K03204	rra:RPO_02205
ko:K03196	rra:RPO_02215
ko:K03205	rra:RPO_02220
ko:K07473	rra:RPO_07425
ko:K03496	rra:RPO_00515
ko:K03497	rra:RPO_00520
ko:K03201	rra:RPO_00815
ko:K03201	rra:RPO_00820
ko:K03201	rra:RPO_00825
ko:K03201	rra:RPO_00830
ko:K03201	rra:RPO_00835
ko:K03496	rra:RPO_01055
ko:K16898	rra:RPO_06235
ko:K16899	rra:RPO_03105
ko:K19157	rra:RPO_07430
ko:K19159	rra:RPO_00705
ko:K07062	rra:RPO_07270
ko:K00336	rra:RPO_06790
ko:K04771	rra:RPO_00955
ko:K09690	rra:RPO_00020
ko:K00525	rra:RPO_03675
ko:K09796	rra:RPO_04845
ko:K00507	rra:RPO_00380
ko:K03198	rra:RPO_00805
ko:K03199	rra:RPO_06720
ko:K04755	rra:RPO_01480
ko:K03195	rra:RPO_02210
ko:K03199	rra:RPO_00810
ko:K00287	rra:RPO_00210
ko:K00558	rra:RPO_00415
ko:K06197	rra:RPO_01320
ko:K03676	rra:RPO_01505
ko:K03553	rra:RPO_06545
ko:K01185	rra:RPO_07180
ko:K02316	rra:RPO_07325
ko:K03465	rra:RPO_02290
ko:K01520	rra:RPO_03085
ko:K06223	rra:RPO_04340
ko:K02314	rra:RPO_04500
ko:K06889	rra:RPO_02620
ko:K06148	rra:RPO_02415
ko:K00526	rra:RPO_03685
ko:K02335	rra:RPO_06640
ko:K21498	rra:RPO_02095
ko:K21498	rra:RPO_02570
ko:K10026	rra:RPO_05200
ko:K21929	rra:RPO_07230
ko:K03595	rra:RPO_00905
ko:K11991	rra:RPO_07105
ko:K02257	rra:RPO_02645
