ko:K22220	mabl:MMASJCM_2557
ko:K01011	mabl:MMASJCM_0074
ko:K06978	mabl:MMASJCM_0487
ko:K01784	mabl:MMASJCM_0489
ko:K09153	mabl:MMASJCM_0490
ko:K05794	mabl:MMASJCM_0497
ko:K00122	mabl:MMASJCM_0913
ko:K18481	mabl:MMASJCM_0918
ko:K02067	mabl:MMASJCM_0923
ko:K02066	mabl:MMASJCM_0925
ko:K02066	mabl:MMASJCM_0926
ko:K15525	mabl:MMASJCM_1342
ko:K00545	mabl:MMASJCM_1345
ko:K11779	mabl:MMASJCM_1346
ko:K00219	mabl:MMASJCM_1352
ko:K00294	mabl:MMASJCM_1358
ko:K00318	mabl:MMASJCM_1359
ko:K12429	mabl:MMASJCM_1360
ko:K00674	mabl:MMASJCM_1363
ko:K01439	mabl:MMASJCM_1364
ko:K08223	mabl:MMASJCM_1366
ko:K11731	mabl:MMASJCM_1769
ko:K00688	mabl:MMASJCM_1772
ko:K16907	mabl:MMASJCM_1776
ko:K16906	mabl:MMASJCM_1777
ko:K16905	mabl:MMASJCM_1778
ko:K00153	mabl:MMASJCM_1787
ko:K04793	mabl:MMASJCM_2204
ko:K14699	mabl:MMASJCM_2209
ko:K14698	mabl:MMASJCM_2210
ko:K03762	mabl:MMASJCM_2211
ko:K10674	mabl:MMASJCM_2212
ko:K06720	mabl:MMASJCM_2213
ko:K00836	mabl:MMASJCM_2214
ko:K06718	mabl:MMASJCM_2215
ko:K15733	mabl:MMASJCM_2219
ko:K03449	mabl:MMASJCM_2222
ko:K06994	mabl:MMASJCM_2224
ko:K09251	mabl:MMASJCM_2228
ko:K01693	mabl:MMASJCM_2634
ko:K00278	mabl:MMASJCM_2639
ko:K03517	mabl:MMASJCM_2640
ko:K00116	mabl:MMASJCM_2647
ko:K01012	mabl:MMASJCM_2650
ko:K01935	mabl:MMASJCM_2652
ko:K00652	mabl:MMASJCM_2653
ko:K00833	mabl:MMASJCM_2654
ko:K01754	mabl:MMASJCM_2657
ko:K02337	mabl:MMASJCM_2661
ko:K05786	mabl:MMASJCM_2662
ko:K06180	mabl:MMASJCM_2663
ko:K03101	mabl:MMASJCM_2664
ko:K01424	mabl:MMASJCM_2665
ko:K01710	mabl:MMASJCM_3793
ko:K15982	mabl:MMASJCM_0083
ko:K01077	mabl:MMASJCM_0090
ko:K07044	mabl:MMASJCM_0092
ko:K00265	mabl:MMASJCM_0094
ko:K00266	mabl:MMASJCM_0095
ko:K01265	mabl:MMASJCM_0098
ko:K13671	mabl:MMASJCM_0100
ko:K04477	mabl:MMASJCM_0101
ko:K01507	mabl:MMASJCM_0505
ko:K07259	mabl:MMASJCM_0506
ko:K04075	mabl:MMASJCM_0508
ko:K00760	mabl:MMASJCM_0510
ko:K09807	mabl:MMASJCM_0511
ko:K09807	mabl:MMASJCM_0512
ko:K03798	mabl:MMASJCM_0520
ko:K01495	mabl:MMASJCM_0521
ko:K00796	mabl:MMASJCM_0522
ko:K01633	mabl:MMASJCM_0523
ko:K00950	mabl:MMASJCM_0524
ko:K01918	mabl:MMASJCM_0528
ko:K01579	mabl:MMASJCM_0529
ko:K03525	mabl:MMASJCM_0530
ko:K04567	mabl:MMASJCM_0531
ko:K03733	mabl:MMASJCM_0942
ko:K00948	mabl:MMASJCM_0955
ko:K03574	mabl:MMASJCM_0957
ko:K06966	mabl:MMASJCM_1368
ko:K06966	mabl:MMASJCM_1369
ko:K00666	mabl:MMASJCM_1370
ko:K00796	mabl:MMASJCM_1373
ko:K13693	mabl:MMASJCM_1374
ko:K01246	mabl:MMASJCM_1377
ko:K16148	mabl:MMASJCM_1379
ko:K00975	mabl:MMASJCM_1380
ko:K01992	mabl:MMASJCM_1382
ko:K01990	mabl:MMASJCM_1383
ko:K03088	mabl:MMASJCM_1386
ko:K03117	mabl:MMASJCM_1389
ko:K03593	mabl:MMASJCM_1390
ko:K01644	mabl:MMASJCM_1393
ko:K18472	mabl:MMASJCM_1794
ko:K11609	mabl:MMASJCM_1795
ko:K02078	mabl:MMASJCM_1796
ko:K00645	mabl:MMASJCM_1797
ko:K16937	mabl:MMASJCM_1800
ko:K00163	mabl:MMASJCM_1802
ko:K03386	mabl:MMASJCM_1805
ko:K14257	mabl:MMASJCM_2233
ko:K02945	mabl:MMASJCM_2245
ko:K00859	mabl:MMASJCM_2247
ko:K06994	mabl:MMASJCM_2250
ko:K06994	mabl:MMASJCM_2252
ko:K09146	mabl:MMASJCM_2256
ko:K03702	mabl:MMASJCM_2257
ko:K13639	mabl:MMASJCM_2258
ko:K02346	mabl:MMASJCM_2666
ko:K01870	mabl:MMASJCM_2668
ko:K07182	mabl:MMASJCM_2671
ko:K07588	mabl:MMASJCM_2673
ko:K01847	mabl:MMASJCM_2674
ko:K01847	mabl:MMASJCM_2675
ko:K01772	mabl:MMASJCM_2685
ko:K11611	mabl:MMASJCM_2686
ko:K11610	mabl:MMASJCM_2687
ko:K07114	mabl:MMASJCM_2688
ko:K03924	mabl:MMASJCM_2690
ko:K00615	mabl:MMASJCM_2725
ko:K00616	mabl:MMASJCM_2726
ko:K00036	mabl:MMASJCM_2727
ko:K01057	mabl:MMASJCM_2729
ko:K03075	mabl:MMASJCM_2733
ko:K07054	mabl:MMASJCM_2734
ko:K01803	mabl:MMASJCM_2736
ko:K00927	mabl:MMASJCM_2737
ko:K00134	mabl:MMASJCM_2738
ko:K09762	mabl:MMASJCM_2740
ko:K06958	mabl:MMASJCM_2742
ko:K03703	mabl:MMASJCM_2743
ko:K02020	mabl:MMASJCM_2746
ko:K00681	mabl:MMASJCM_2747
ko:K03736	mabl:MMASJCM_2748
ko:K03735	mabl:MMASJCM_2749
ko:K00138	mabl:MMASJCM_2751
ko:K00794	mabl:MMASJCM_2754
ko:K14652	mabl:MMASJCM_2755
ko:K00793	mabl:MMASJCM_2756
ko:K02072	mabl:MMASJCM_2761
ko:K02071	mabl:MMASJCM_2762
ko:K02073	mabl:MMASJCM_2763
ko:K14954	mabl:MMASJCM_2765
ko:K11752	mabl:MMASJCM_2767
ko:K01783	mabl:MMASJCM_2768
ko:K03500	mabl:MMASJCM_2769
ko:K00604	mabl:MMASJCM_2770
ko:K04518	mabl:MMASJCM_0137
ko:K00156	mabl:MMASJCM_0139
ko:K07507	mabl:MMASJCM_0148
ko:K01875	mabl:MMASJCM_0155
ko:K03218	mabl:MMASJCM_0561
ko:K01126	mabl:MMASJCM_0562
ko:K07160	mabl:MMASJCM_0563
ko:K02075	mabl:MMASJCM_0564
ko:K02074	mabl:MMASJCM_0565
ko:K02077	mabl:MMASJCM_0566
ko:K15983	mabl:MMASJCM_0572
ko:K16047	mabl:MMASJCM_0573
ko:K16049	mabl:MMASJCM_0574
ko:K01455	mabl:MMASJCM_0576
ko:K10536	mabl:MMASJCM_0577
ko:K06188	mabl:MMASJCM_0578
ko:K18687	mabl:MMASJCM_0585
ko:K00059	mabl:MMASJCM_0587
ko:K10533	mabl:MMASJCM_1005
ko:K00059	mabl:MMASJCM_1007
ko:K15866	mabl:MMASJCM_1009
ko:K00626	mabl:MMASJCM_1014
ko:K00626	mabl:MMASJCM_1016
ko:K00666	mabl:MMASJCM_1018
ko:K05592	mabl:MMASJCM_1422
ko:K00104	mabl:MMASJCM_1425
ko:K06147	mabl:MMASJCM_1433
ko:K06147	mabl:MMASJCM_1434
ko:K08296	mabl:MMASJCM_1438
ko:K00145	mabl:MMASJCM_2285
ko:K00620	mabl:MMASJCM_2286
ko:K00930	mabl:MMASJCM_2287
ko:K00611	mabl:MMASJCM_2289
ko:K03402	mabl:MMASJCM_2290
ko:K01940	mabl:MMASJCM_2291
ko:K01755	mabl:MMASJCM_2292
ko:K03822	mabl:MMASJCM_2297
ko:K03652	mabl:MMASJCM_2301
ko:K01866	mabl:MMASJCM_2303
ko:K06442	mabl:MMASJCM_2308
ko:K00858	mabl:MMASJCM_2309
ko:K03631	mabl:MMASJCM_2310
ko:K01937	mabl:MMASJCM_2313
ko:K02259	mabl:MMASJCM_2719
ko:K03457	mabl:MMASJCM_2774
ko:K01464	mabl:MMASJCM_2776
ko:K12343	mabl:MMASJCM_2778
ko:K00789	mabl:MMASJCM_2779
ko:K13038	mabl:MMASJCM_2780
ko:K03060	mabl:MMASJCM_2781
ko:K00942	mabl:MMASJCM_2782
ko:K01591	mabl:MMASJCM_2785
ko:K01955	mabl:MMASJCM_2786
ko:K01956	mabl:MMASJCM_2787
ko:K01465	mabl:MMASJCM_2789
ko:K00609	mabl:MMASJCM_2790
ko:K02825	mabl:MMASJCM_2791
ko:K03625	mabl:MMASJCM_2795
ko:K02356	mabl:MMASJCM_2796
ko:K07032	mabl:MMASJCM_2828
ko:K01892	mabl:MMASJCM_2831
ko:K03768	mabl:MMASJCM_2833
ko:K17836	mabl:MMASJCM_2834
ko:K00951	mabl:MMASJCM_2835
ko:K00759	mabl:MMASJCM_2836
ko:K02035	mabl:MMASJCM_2837
ko:K03074	mabl:MMASJCM_2838
ko:K03072	mabl:MMASJCM_2839
ko:K03210	mabl:MMASJCM_2840
ko:K03551	mabl:MMASJCM_2841
ko:K03550	mabl:MMASJCM_2842
ko:K01159	mabl:MMASJCM_2843
ko:K08681	mabl:MMASJCM_2848
ko:K10805	mabl:MMASJCM_2849
ko:K06215	mabl:MMASJCM_2850
ko:K09803	mabl:MMASJCM_2914
ko:K02342	mabl:MMASJCM_0321
ko:K02963	mabl:MMASJCM_0323
ko:K02954	mabl:MMASJCM_0324
ko:K02913	mabl:MMASJCM_0325
ko:K02902	mabl:MMASJCM_0326
ko:K02909	mabl:MMASJCM_0328
ko:K01649	mabl:MMASJCM_0329
ko:K00928	mabl:MMASJCM_0334
ko:K00133	mabl:MMASJCM_0335
ko:K09922	mabl:MMASJCM_0341
ko:K03781	mabl:MMASJCM_0342
ko:K00074	mabl:MMASJCM_0751
ko:K08369	mabl:MMASJCM_0763
ko:K00252	mabl:MMASJCM_0770
ko:K09684	mabl:MMASJCM_0773
ko:K03545	mabl:MMASJCM_1603
ko:K01358	mabl:MMASJCM_1604
ko:K01358	mabl:MMASJCM_1605
ko:K03544	mabl:MMASJCM_1606
ko:K00174	mabl:MMASJCM_1617
ko:K00175	mabl:MMASJCM_1618
ko:K03752	mabl:MMASJCM_1621
ko:K01873	mabl:MMASJCM_1627
ko:K11754	mabl:MMASJCM_1628
ko:K00940	mabl:MMASJCM_1630
ko:K00059	mabl:MMASJCM_2042
ko:K00645	mabl:MMASJCM_2044
ko:K06994	mabl:MMASJCM_2048
ko:K08224	mabl:MMASJCM_2049
ko:K06910	mabl:MMASJCM_2052
ko:K00254	mabl:MMASJCM_2053
ko:K06153	mabl:MMASJCM_2057
ko:K01082	mabl:MMASJCM_2064
ko:K15526	mabl:MMASJCM_2065
ko:K04791	mabl:MMASJCM_2068
ko:K03781	mabl:MMASJCM_2477
ko:K16234	mabl:MMASJCM_2482
ko:K10536	mabl:MMASJCM_2484
ko:K12251	mabl:MMASJCM_2485
ko:K03921	mabl:MMASJCM_2489
ko:K00567	mabl:MMASJCM_3014
ko:K09930	mabl:MMASJCM_3024
ko:K07058	mabl:MMASJCM_3027
ko:K03087	mabl:MMASJCM_3030
ko:K03709	mabl:MMASJCM_3031
ko:K00322	mabl:MMASJCM_3035
ko:K07738	mabl:MMASJCM_3040
ko:K12433	mabl:MMASJCM_3151
ko:K06994	mabl:MMASJCM_3153
ko:K02224	mabl:MMASJCM_3159
ko:K03404	mabl:MMASJCM_3161
ko:K02348	mabl:MMASJCM_3162
ko:K00116	mabl:MMASJCM_3163
ko:K02232	mabl:MMASJCM_3167
ko:K01265	mabl:MMASJCM_3168
ko:K06976	mabl:MMASJCM_3172
ko:K03526	mabl:MMASJCM_3173
ko:K00052	mabl:MMASJCM_3310
ko:K00058	mabl:MMASJCM_3311
ko:K00053	mabl:MMASJCM_3320
ko:K01653	mabl:MMASJCM_3321
ko:K01652	mabl:MMASJCM_3322
ko:K03718	mabl:MMASJCM_3326
ko:K00480	mabl:MMASJCM_3329
ko:K15977	mabl:MMASJCM_3331
ko:K02434	mabl:MMASJCM_3333
ko:K03929	mabl:MMASJCM_3335
ko:K02433	mabl:MMASJCM_3340
ko:K02435	mabl:MMASJCM_3341
ko:K01972	mabl:MMASJCM_3344
ko:K01692	mabl:MMASJCM_3349
ko:K04719	mabl:MMASJCM_3350
ko:K06901	mabl:MMASJCM_3352
ko:K03921	mabl:MMASJCM_3353
ko:K03921	mabl:MMASJCM_3354
ko:K00566	mabl:MMASJCM_3356
ko:K04487	mabl:MMASJCM_3357
ko:K07258	mabl:MMASJCM_3682
ko:K07058	mabl:MMASJCM_3683
ko:K01867	mabl:MMASJCM_3684
ko:K01142	mabl:MMASJCM_3685
ko:K00031	mabl:MMASJCM_3687
ko:K01740	mabl:MMASJCM_3688
ko:K00641	mabl:MMASJCM_3689
ko:K01491	mabl:MMASJCM_3693
ko:K07118	mabl:MMASJCM_3698
ko:K03216	mabl:MMASJCM_3701
ko:K14162	mabl:MMASJCM_3702
ko:K06889	mabl:MMASJCM_3703
ko:K09167	mabl:MMASJCM_3707
ko:K14161	mabl:MMASJCM_3712
ko:K01951	mabl:MMASJCM_3718
ko:K03333	mabl:MMASJCM_3719
ko:K00088	mabl:MMASJCM_3720
ko:K00088	mabl:MMASJCM_3721
ko:K03088	mabl:MMASJCM_3724
ko:K02066	mabl:MMASJCM_4111
ko:K02066	mabl:MMASJCM_4112
ko:K02067	mabl:MMASJCM_4114
ko:K02067	mabl:MMASJCM_4115
ko:K02067	mabl:MMASJCM_4118
ko:K07776	mabl:MMASJCM_4131
ko:K07768	mabl:MMASJCM_4132
ko:K01834	mabl:MMASJCM_4133
ko:K15521	mabl:MMASJCM_4141
ko:K00075	mabl:MMASJCM_4150
ko:K14953	mabl:MMASJCM_4158
ko:K01619	mabl:MMASJCM_4162
ko:K11263	mabl:MMASJCM_4594
ko:K01969	mabl:MMASJCM_4595
ko:K01687	mabl:MMASJCM_4600
ko:K03088	mabl:MMASJCM_4608
ko:K07032	mabl:MMASJCM_4610
ko:K03744	mabl:MMASJCM_4612
ko:K00121	mabl:MMASJCM_4615
ko:K06911	mabl:MMASJCM_4616
ko:K02067	mabl:MMASJCM_4622
ko:K00666	mabl:MMASJCM_4624
ko:K00666	mabl:MMASJCM_4625
ko:K00325	mabl:MMASJCM_4633
ko:K00324	mabl:MMASJCM_4634
ko:K00324	mabl:MMASJCM_4635
ko:K07393	mabl:MMASJCM_4636
ko:K01692	mabl:MMASJCM_4644
ko:K11537	mabl:MMASJCM_4646
ko:K06048	mabl:MMASJCM_2499
ko:K01596	mabl:MMASJCM_2502
ko:K01673	mabl:MMASJCM_2505
ko:K00626	mabl:MMASJCM_4504
ko:K00059	mabl:MMASJCM_4505
ko:K02048	mabl:MMASJCM_4508
ko:K03321	mabl:MMASJCM_4509
ko:K07044	mabl:MMASJCM_4512
ko:K01207	mabl:MMASJCM_4519
ko:K03088	mabl:MMASJCM_4520
ko:K16648	mabl:MMASJCM_4530
ko:K05845	mabl:MMASJCM_0259
ko:K05847	mabl:MMASJCM_0260
ko:K15268	mabl:MMASJCM_0669
ko:K01945	mabl:MMASJCM_0674
ko:K01756	mabl:MMASJCM_0679
ko:K01923	mabl:MMASJCM_0681
ko:K01354	mabl:MMASJCM_0682
ko:K00432	mabl:MMASJCM_0685
ko:K06986	mabl:MMASJCM_0686
ko:K07077	mabl:MMASJCM_0687
ko:K01952	mabl:MMASJCM_0689
ko:K01952	mabl:MMASJCM_0690
ko:K07223	mabl:MMASJCM_0692
ko:K07653	mabl:MMASJCM_1102
ko:K08372	mabl:MMASJCM_1103
ko:K03282	mabl:MMASJCM_1109
ko:K01934	mabl:MMASJCM_1112
ko:K00963	mabl:MMASJCM_1113
ko:K03750	mabl:MMASJCM_1114
ko:K03790	mabl:MMASJCM_1115
ko:K07090	mabl:MMASJCM_1120
ko:K07006	mabl:MMASJCM_1123
ko:K07044	mabl:MMASJCM_1126
ko:K01776	mabl:MMASJCM_1501
ko:K11533	mabl:MMASJCM_1531
ko:K00997	mabl:MMASJCM_1532
ko:K03564	mabl:MMASJCM_1534
ko:K06994	mabl:MMASJCM_1539
ko:K06221	mabl:MMASJCM_1547
ko:K01255	mabl:MMASJCM_1962
ko:K00605	mabl:MMASJCM_1963
ko:K00826	mabl:MMASJCM_1964
ko:K02233	mabl:MMASJCM_1966
ko:K00768	mabl:MMASJCM_1967
ko:K02231	mabl:MMASJCM_1968
ko:K00865	mabl:MMASJCM_1970
ko:K00856	mabl:MMASJCM_1973
ko:K01953	mabl:MMASJCM_1974
ko:K02275	mabl:MMASJCM_1975
ko:K03891	mabl:MMASJCM_1980
ko:K03890	mabl:MMASJCM_1981
ko:K03889	mabl:MMASJCM_1982
ko:K02276	mabl:MMASJCM_1983
ko:K00766	mabl:MMASJCM_1984
ko:K02342	mabl:MMASJCM_1985
ko:K06153	mabl:MMASJCM_2394
ko:K02045	mabl:MMASJCM_2405
ko:K02051	mabl:MMASJCM_2406
ko:K02050	mabl:MMASJCM_2407
ko:K03891	mabl:MMASJCM_2413
ko:K03891	mabl:MMASJCM_2414
ko:K03782	mabl:MMASJCM_2417
ko:K01548	mabl:MMASJCM_3257
ko:K01547	mabl:MMASJCM_3258
ko:K01546	mabl:MMASJCM_3259
ko:K10563	mabl:MMASJCM_3261
ko:K03685	mabl:MMASJCM_3262
ko:K07040	mabl:MMASJCM_3263
ko:K00954	mabl:MMASJCM_3265
ko:K14953	mabl:MMASJCM_3267
ko:K01061	mabl:MMASJCM_3271
ko:K08316	mabl:MMASJCM_3273
ko:K01958	mabl:MMASJCM_3274
ko:K18958	mabl:MMASJCM_3529
ko:K03657	mabl:MMASJCM_3532
ko:K18917	mabl:MMASJCM_3533
ko:K03426	mabl:MMASJCM_3534
ko:K10716	mabl:MMASJCM_3535
ko:K03657	mabl:MMASJCM_3536
ko:K01719	mabl:MMASJCM_3541
ko:K00363	mabl:MMASJCM_3542
ko:K00362	mabl:MMASJCM_3543
ko:K02575	mabl:MMASJCM_3544
ko:K03496	mabl:MMASJCM_3554
ko:K02361	mabl:MMASJCM_3556
ko:K03088	mabl:MMASJCM_3565
ko:K03976	mabl:MMASJCM_3566
ko:K00800	mabl:MMASJCM_3568
ko:K06949	mabl:MMASJCM_3569
ko:K00508	mabl:MMASJCM_3570
ko:K03070	mabl:MMASJCM_3575
ko:K00574	mabl:MMASJCM_3898
ko:K00111	mabl:MMASJCM_3899
ko:K00803	mabl:MMASJCM_3901
ko:K07029	mabl:MMASJCM_3902
ko:K03088	mabl:MMASJCM_3905
ko:K02863	mabl:MMASJCM_3909
ko:K02867	mabl:MMASJCM_3910
ko:K02601	mabl:MMASJCM_3911
ko:K03073	mabl:MMASJCM_3912
ko:K02913	mabl:MMASJCM_3916
ko:K04047	mabl:MMASJCM_3917
ko:K05520	mabl:MMASJCM_3918
ko:K07028	mabl:MMASJCM_3919
ko:K09767	mabl:MMASJCM_3930
ko:K00057	mabl:MMASJCM_3934
ko:K15983	mabl:MMASJCM_3937
ko:K18939	mabl:MMASJCM_3943
ko:K02029	mabl:MMASJCM_4324
ko:K06994	mabl:MMASJCM_4326
ko:K10764	mabl:MMASJCM_4329
ko:K08289	mabl:MMASJCM_4332
ko:K03316	mabl:MMASJCM_4334
ko:K01669	mabl:MMASJCM_4337
ko:K07071	mabl:MMASJCM_4338
ko:K00574	mabl:MMASJCM_4340
ko:K09701	mabl:MMASJCM_4342
ko:K00574	mabl:MMASJCM_4343
ko:K03088	mabl:MMASJCM_4345
ko:K01939	mabl:MMASJCM_4348
ko:K01624	mabl:MMASJCM_4353
ko:K03975	mabl:MMASJCM_4355
ko:K07107	mabl:MMASJCM_4356
ko:K00762	mabl:MMASJCM_4360
ko:K07124	mabl:MMASJCM_4361
ko:K06994	mabl:MMASJCM_4363
ko:K03695	mabl:MMASJCM_4365
ko:K13640	mabl:MMASJCM_4369
ko:K03686	mabl:MMASJCM_4370
ko:K03687	mabl:MMASJCM_4371
ko:K04043	mabl:MMASJCM_4372
ko:K07001	mabl:MMASJCM_4812
ko:K07001	mabl:MMASJCM_4819
ko:K01421	mabl:MMASJCM_4822
ko:K01569	mabl:MMASJCM_4826
ko:K06994	mabl:MMASJCM_4828
ko:K07506	mabl:MMASJCM_4852
ko:K03320	mabl:MMASJCM_0348
ko:K00847	mabl:MMASJCM_0351
ko:K01443	mabl:MMASJCM_0354
ko:K00820	mabl:MMASJCM_0355
ko:K01919	mabl:MMASJCM_0361
ko:K18912	mabl:MMASJCM_0362
ko:K07008	mabl:MMASJCM_0363
ko:K18911	mabl:MMASJCM_0364
ko:K18913	mabl:MMASJCM_0365
ko:K07250	mabl:MMASJCM_0769
ko:K01692	mabl:MMASJCM_0781
ko:K00626	mabl:MMASJCM_0782
ko:K01796	mabl:MMASJCM_0790
ko:K14267	mabl:MMASJCM_0792
ko:K00626	mabl:MMASJCM_0796
ko:K01782	mabl:MMASJCM_0797
ko:K14952	mabl:MMASJCM_0158
