ko:K13967	bmee:DK62_3016
ko:K02970	bmee:DK62_2489
ko:K02072	bmee:DK62_2493
ko:K02071	bmee:DK62_2494
ko:K02073	bmee:DK62_2495
ko:K01998	bmee:DK62_2497
ko:K01997	bmee:DK62_2498
ko:K01996	bmee:DK62_2499
ko:K01995	bmee:DK62_2500
ko:K01999	bmee:DK62_2501
ko:K09969	bmee:DK62_2507
ko:K01266	bmee:DK62_2508
ko:K01652	bmee:DK62_2510
ko:K01687	bmee:DK62_2514
ko:K00883	bmee:DK62_2515
ko:K01631	bmee:DK62_2516
ko:K10546	bmee:DK62_2517
ko:K10546	bmee:DK62_2518
ko:K10548	bmee:DK62_2519
ko:K10547	bmee:DK62_2520
ko:K00824	bmee:DK62_2521
ko:K09975	bmee:DK62_2522
ko:K01712	bmee:DK62_2523
ko:K01479	bmee:DK62_2524
ko:K01745	bmee:DK62_2525
ko:K01468	bmee:DK62_2526
ko:K05836	bmee:DK62_2528
ko:K00822	bmee:DK62_2529
ko:K00285	bmee:DK62_2531
ko:K02232	bmee:DK62_116
ko:K02231	bmee:DK62_119
ko:K02234	bmee:DK62_120
ko:K02230	bmee:DK62_121
ko:K08978	bmee:DK62_124
ko:K07090	bmee:DK62_123
ko:K02189	bmee:DK62_126
ko:K05936	bmee:DK62_128
ko:K05895	bmee:DK62_127
ko:K02188	bmee:DK62_129
ko:K02188	bmee:DK62_130
ko:K02303	bmee:DK62_131
ko:K02224	bmee:DK62_132
ko:K02225	bmee:DK62_133
ko:K02227	bmee:DK62_135
ko:K01999	bmee:DK62_134
ko:K13786	bmee:DK62_136
ko:K13541	bmee:DK62_139
ko:K03394	bmee:DK62_140
ko:K06042	bmee:DK62_141
ko:K02229	bmee:DK62_142
ko:K00595	bmee:DK62_143
ko:K16079	bmee:DK62_144
ko:K03630	bmee:DK62_145
ko:K01265	bmee:DK62_146
ko:K06206	bmee:DK62_147
ko:K09956	bmee:DK62_148
ko:K14261	bmee:DK62_153
ko:K00003	bmee:DK62_154
ko:K11532	bmee:DK62_155
ko:K01921	bmee:DK62_156
ko:K07462	bmee:DK62_157
ko:K01759	bmee:DK62_159
ko:K03704	bmee:DK62_160
ko:K09005	bmee:DK62_161
ko:K00640	bmee:DK62_164
ko:K00919	bmee:DK62_1000
ko:K03470	bmee:DK62_1004
ko:K02109	bmee:DK62_1005
ko:K02109	bmee:DK62_1006
ko:K02110	bmee:DK62_1007
ko:K02108	bmee:DK62_1008
ko:K02116	bmee:DK62_1009
ko:K04046	bmee:DK62_1011
ko:K03977	bmee:DK62_1012
ko:K17938	bmee:DK62_1015
ko:K10778	bmee:DK62_1019
ko:K00404	bmee:DK62_1024
ko:K00405	bmee:DK62_1025
ko:K00407	bmee:DK62_1026
ko:K00406	bmee:DK62_1027
ko:K01533	bmee:DK62_1030
ko:K01487	bmee:DK62_1033
ko:K07402	bmee:DK62_1036
ko:K13482	bmee:DK62_1037
ko:K13481	bmee:DK62_1038
ko:K14977	bmee:DK62_1041
ko:K02480	bmee:DK62_1046
ko:K03327	bmee:DK62_1048
ko:K01092	bmee:DK62_1838
ko:K02356	bmee:DK62_1839
ko:K07126	bmee:DK62_1840
ko:K00788	bmee:DK62_1841
ko:K13592	bmee:DK62_1843
ko:K01159	bmee:DK62_1844
ko:K03550	bmee:DK62_1845
ko:K03551	bmee:DK62_1846
ko:K07107	bmee:DK62_1847
ko:K03562	bmee:DK62_1848
ko:K03560	bmee:DK62_1849
ko:K03641	bmee:DK62_1851
ko:K03640	bmee:DK62_1852
ko:K04075	bmee:DK62_1855
ko:K03798	bmee:DK62_1856
ko:K03431	bmee:DK62_1857
ko:K03453	bmee:DK62_1859
ko:K00831	bmee:DK62_1860
ko:K00058	bmee:DK62_1861
ko:K01939	bmee:DK62_1863
ko:K05800	bmee:DK62_1870
ko:K13888	bmee:DK62_1872
ko:K05685	bmee:DK62_1873
ko:K03832	bmee:DK62_1876
ko:K03559	bmee:DK62_1877
ko:K03561	bmee:DK62_1878
ko:K03088	bmee:DK62_1886
ko:K03711	bmee:DK62_1891
ko:K02015	bmee:DK62_2692
ko:K02013	bmee:DK62_2693
ko:K02026	bmee:DK62_2696
ko:K02025	bmee:DK62_2697
ko:K02027	bmee:DK62_2698
ko:K10112	bmee:DK62_2700
ko:K02000	bmee:DK62_2704
ko:K02001	bmee:DK62_2705
ko:K02002	bmee:DK62_2706
ko:K01915	bmee:DK62_2710
ko:K00605	bmee:DK62_2715
ko:K02437	bmee:DK62_2716
ko:K00281	bmee:DK62_2717
ko:K03719	bmee:DK62_2718
ko:K13821	bmee:DK62_2719
ko:K02012	bmee:DK62_2720
ko:K02011	bmee:DK62_2721
ko:K02010	bmee:DK62_2722
ko:K01092	bmee:DK62_2723
ko:K03337	bmee:DK62_2724
ko:K03335	bmee:DK62_2725
ko:K03336	bmee:DK62_2726
ko:K03338	bmee:DK62_2727
ko:K00010	bmee:DK62_2729
ko:K04761	bmee:DK62_2731
ko:K03386	bmee:DK62_2732
ko:K04756	bmee:DK62_2733
ko:K14588	bmee:DK62_2736
ko:K02010	bmee:DK62_2740
ko:K02012	bmee:DK62_2741
ko:K02011	bmee:DK62_2742
ko:K03218	bmee:DK62_172
ko:K02358	bmee:DK62_175
ko:K03073	bmee:DK62_177
ko:K02601	bmee:DK62_178
ko:K02867	bmee:DK62_179
ko:K02863	bmee:DK62_180
ko:K02864	bmee:DK62_181
ko:K02935	bmee:DK62_182
ko:K03043	bmee:DK62_183
ko:K03046	bmee:DK62_184
ko:K02950	bmee:DK62_186
ko:K02992	bmee:DK62_187
ko:K02355	bmee:DK62_188
ko:K02358	bmee:DK62_189
ko:K02946	bmee:DK62_190
ko:K02906	bmee:DK62_191
ko:K02926	bmee:DK62_192
ko:K02892	bmee:DK62_193
ko:K02886	bmee:DK62_194
ko:K02965	bmee:DK62_195
ko:K02890	bmee:DK62_196
ko:K02982	bmee:DK62_197
ko:K02878	bmee:DK62_198
ko:K02904	bmee:DK62_199
ko:K02961	bmee:DK62_200
ko:K02874	bmee:DK62_201
ko:K02895	bmee:DK62_202
ko:K02931	bmee:DK62_203
ko:K02954	bmee:DK62_204
ko:K02994	bmee:DK62_205
ko:K02933	bmee:DK62_206
ko:K02881	bmee:DK62_207
ko:K02988	bmee:DK62_208
ko:K02907	bmee:DK62_209
ko:K02876	bmee:DK62_210
ko:K03076	bmee:DK62_211
ko:K00939	bmee:DK62_212
ko:K02952	bmee:DK62_213
ko:K02948	bmee:DK62_214
ko:K03040	bmee:DK62_215
ko:K02879	bmee:DK62_216
ko:K07478	bmee:DK62_218
ko:K01872	bmee:DK62_222
ko:K01077	bmee:DK62_223
ko:K01077	bmee:DK62_224
ko:K00031	bmee:DK62_225
ko:K05520	bmee:DK62_227
ko:K02533	bmee:DK62_228
ko:K13747	bmee:DK62_1051
ko:K00528	bmee:DK62_1053
ko:K00606	bmee:DK62_1054
ko:K01918	bmee:DK62_1055
ko:K06518	bmee:DK62_1058
ko:K00643	bmee:DK62_1065
ko:K03282	bmee:DK62_1066
ko:K01259	bmee:DK62_1069
ko:K00254	bmee:DK62_1072
ko:K01494	bmee:DK62_1077
ko:K10764	bmee:DK62_1078
ko:K06195	bmee:DK62_1079
ko:K04083	bmee:DK62_1080
ko:K13583	bmee:DK62_1083
ko:K07636	bmee:DK62_1084
ko:K02030	bmee:DK62_1087
ko:K18138	bmee:DK62_1089
ko:K03585	bmee:DK62_1090
ko:K03577	bmee:DK62_1091
ko:K01897	bmee:DK62_1092
ko:K01091	bmee:DK62_1093
ko:K06987	bmee:DK62_1095
ko:K01810	bmee:DK62_1096
ko:K17723	bmee:DK62_1099
ko:K06180	bmee:DK62_1894
ko:K03089	bmee:DK62_1895
ko:K03823	bmee:DK62_1896
ko:K01638	bmee:DK62_1897
ko:K01894	bmee:DK62_1898
ko:K01247	bmee:DK62_1899
ko:K00135	bmee:DK62_1903
ko:K17207	bmee:DK62_1913
ko:K17206	bmee:DK62_1914
ko:K17205	bmee:DK62_1915
ko:K05878	bmee:DK62_1918
ko:K05879	bmee:DK62_1919
ko:K05878	bmee:DK62_1920
ko:K05879	bmee:DK62_1921
ko:K16079	bmee:DK62_1924
ko:K00076	bmee:DK62_1928
ko:K01637	bmee:DK62_1931
ko:K07110	bmee:DK62_1933
ko:K11073	bmee:DK62_1934
ko:K11076	bmee:DK62_1935
ko:K11075	bmee:DK62_1936
ko:K11074	bmee:DK62_1937
ko:K07289	bmee:DK62_1938
ko:K07270	bmee:DK62_1941
ko:K13584	bmee:DK62_1946
ko:K02379	bmee:DK62_2746
ko:K00794	bmee:DK62_2745
ko:K17315	bmee:DK62_2747
ko:K17316	bmee:DK62_2748
ko:K17317	bmee:DK62_2749
ko:K10112	bmee:DK62_2750
ko:K02427	bmee:DK62_2753
ko:K01524	bmee:DK62_2754
ko:K10010	bmee:DK62_2755
ko:K10009	bmee:DK62_2756
ko:K02424	bmee:DK62_2757
ko:K01469	bmee:DK62_2758
ko:K02013	bmee:DK62_2760
ko:K02015	bmee:DK62_2761
ko:K02015	bmee:DK62_2762
ko:K02016	bmee:DK62_2763
ko:K00128	bmee:DK62_2764
ko:K07077	bmee:DK62_2766
ko:K07090	bmee:DK62_2767
ko:K00826	bmee:DK62_2768
ko:K06901	bmee:DK62_2772
ko:K05816	bmee:DK62_2775
ko:K05815	bmee:DK62_2776
ko:K05814	bmee:DK62_2777
ko:K05813	bmee:DK62_2778
ko:K01273	bmee:DK62_2779
ko:K01486	bmee:DK62_2781
ko:K01996	bmee:DK62_2780
ko:K01995	bmee:DK62_2782
ko:K01998	bmee:DK62_2783
ko:K01997	bmee:DK62_2784
ko:K01999	bmee:DK62_2785
ko:K01857	bmee:DK62_2786
ko:K00448	bmee:DK62_2787
ko:K00449	bmee:DK62_2788
ko:K01607	bmee:DK62_2789
ko:K01055	bmee:DK62_2790
ko:K02623	bmee:DK62_2791
ko:K00481	bmee:DK62_2792
ko:K01776	bmee:DK62_229
ko:K07080	bmee:DK62_230
ko:K01847	bmee:DK62_233
ko:K01965	bmee:DK62_234
ko:K01966	bmee:DK62_235
ko:K09457	bmee:DK62_240
ko:K01752	bmee:DK62_249
ko:K06891	bmee:DK62_253
ko:K03694	bmee:DK62_254
ko:K02503	bmee:DK62_255
ko:K09919	bmee:DK62_256
ko:K02967	bmee:DK62_261
ko:K02357	bmee:DK62_262
ko:K09903	bmee:DK62_263
ko:K02838	bmee:DK62_264
ko:K00806	bmee:DK62_265
ko:K00981	bmee:DK62_266
ko:K11749	bmee:DK62_267
ko:K07277	bmee:DK62_268
ko:K02536	bmee:DK62_269
ko:K02372	bmee:DK62_270
ko:K00677	bmee:DK62_271
ko:K09949	bmee:DK62_272
ko:K00748	bmee:DK62_273
ko:K01647	bmee:DK62_274
ko:K01885	bmee:DK62_275
ko:K01356	bmee:DK62_279
ko:K03750	bmee:DK62_281
ko:K03637	bmee:DK62_282
ko:K01609	bmee:DK62_283
ko:K00766	bmee:DK62_284
ko:K03770	bmee:DK62_285
ko:K06016	bmee:DK62_1103
ko:K01464	bmee:DK62_1104
ko:K03189	bmee:DK62_1110
ko:K03188	bmee:DK62_1111
ko:K03187	bmee:DK62_1112
ko:K01428	bmee:DK62_1113
ko:K01429	bmee:DK62_1114
ko:K01430	bmee:DK62_1116
ko:K03190	bmee:DK62_1117
ko:K00790	bmee:DK62_1127
ko:K00013	bmee:DK62_1129
ko:K02518	bmee:DK62_1132
ko:K06287	bmee:DK62_1133
ko:K09862	bmee:DK62_1134
ko:K02395	bmee:DK62_1155
ko:K13588	bmee:DK62_1947
ko:K06975	bmee:DK62_1949
ko:K00566	bmee:DK62_1953
ko:K12368	bmee:DK62_1956
ko:K12368	bmee:DK62_1957
ko:K12369	bmee:DK62_1958
ko:K12370	bmee:DK62_1959
ko:K12371	bmee:DK62_1960
ko:K12372	bmee:DK62_1961
ko:K02000	bmee:DK62_1962
ko:K02001	bmee:DK62_1963
ko:K02002	bmee:DK62_1964
ko:K03719	bmee:DK62_1969
ko:K13503	bmee:DK62_1970
ko:K01649	bmee:DK62_1972
ko:K07275	bmee:DK62_1975
ko:K07393	bmee:DK62_1976
ko:K03924	bmee:DK62_1981
ko:K09986	bmee:DK62_1982
ko:K00970	bmee:DK62_1984
ko:K03824	bmee:DK62_1987
ko:K00228	bmee:DK62_1988
ko:K03216	bmee:DK62_1991
ko:K00411	bmee:DK62_1995
ko:K00412	bmee:DK62_1996
ko:K00413	bmee:DK62_1997
ko:K00759	bmee:DK62_1999
ko:K02624	bmee:DK62_2794
ko:K01031	bmee:DK62_2796
ko:K01032	bmee:DK62_2797
ko:K02030	bmee:DK62_2803
ko:K02030	bmee:DK62_2804
ko:K02030	bmee:DK62_2805
ko:K00285	bmee:DK62_2806
ko:K00285	bmee:DK62_2807
ko:K02342	bmee:DK62_2811
ko:K02346	bmee:DK62_2819
ko:K06140	bmee:DK62_2820
ko:K11443	bmee:DK62_2822
ko:K02488	bmee:DK62_2823
ko:K02913	bmee:DK62_2824
ko:K12573	bmee:DK62_2828
ko:K03168	bmee:DK62_2829
ko:K04096	bmee:DK62_2831
ko:K08591	bmee:DK62_2832
ko:K01465	bmee:DK62_2833
ko:K00609	bmee:DK62_2834
ko:K09456	bmee:DK62_2836
ko:K07447	bmee:DK62_2835
ko:K02435	bmee:DK62_2838
ko:K02433	bmee:DK62_2839
ko:K02622	bmee:DK62_2841
ko:K03801	bmee:DK62_2843
ko:K01803	bmee:DK62_286
ko:K03075	bmee:DK62_287
ko:K01937	bmee:DK62_289
ko:K01627	bmee:DK62_290
ko:K01689	bmee:DK62_291
ko:K00161	bmee:DK62_294
ko:K00162	bmee:DK62_295
ko:K00627	bmee:DK62_296
ko:K00382	bmee:DK62_297
ko:K03644	bmee:DK62_298
ko:K18588	bmee:DK62_300
ko:K03743	bmee:DK62_301
ko:K12506	bmee:DK62_302
ko:K07708	bmee:DK62_304
ko:K07712	bmee:DK62_305
ko:K13598	bmee:DK62_306
ko:K13599	bmee:DK62_307
ko:K03499	bmee:DK62_308
ko:K03666	bmee:DK62_310
ko:K03665	bmee:DK62_311
ko:K01358	bmee:DK62_312
ko:K03544	bmee:DK62_313
ko:K01338	bmee:DK62_314
ko:K03530	bmee:DK62_315
ko:K03701	bmee:DK62_316
ko:K02043	bmee:DK62_320
ko:K05774	bmee:DK62_321
ko:K05595	bmee:DK62_322
ko:K02469	bmee:DK62_323
ko:K00954	bmee:DK62_326
ko:K07568	bmee:DK62_329
ko:K00773	bmee:DK62_330
ko:K03585	bmee:DK62_332
ko:K18138	bmee:DK62_333
ko:K00252	bmee:DK62_337
ko:K18334	bmee:DK62_1168
ko:K18335	bmee:DK62_1170
ko:K03534	bmee:DK62_1173
ko:K10112	bmee:DK62_1175
ko:K02026	bmee:DK62_1176
ko:K02027	bmee:DK62_1179
ko:K00305	bmee:DK62_1182
ko:K00303	bmee:DK62_1187
ko:K00262	bmee:DK62_1188
ko:K05845	bmee:DK62_1191
ko:K05846	bmee:DK62_1192
ko:K05847	bmee:DK62_1193
ko:K05846	bmee:DK62_1194
ko:K00941	bmee:DK62_1198
ko:K03153	bmee:DK62_1199
ko:K03154	bmee:DK62_1200
ko:K03149	bmee:DK62_1201
ko:K00788	bmee:DK62_1202
ko:K15598	bmee:DK62_1203
ko:K03707	bmee:DK62_1204
ko:K15599	bmee:DK62_1205
ko:K06147	bmee:DK62_1208
ko:K06147	bmee:DK62_1209
ko:K02529	bmee:DK62_1210
ko:K09959	bmee:DK62_1211
ko:K06942	bmee:DK62_2002
ko:K01056	bmee:DK62_2003
ko:K02897	bmee:DK62_2004
ko:K06915	bmee:DK62_2005
ko:K00948	bmee:DK62_2006
ko:K05810	bmee:DK62_2009
ko:K13292	bmee:DK62_2011
ko:K06878	bmee:DK62_2014
ko:K07638	bmee:DK62_2015
ko:K07659	bmee:DK62_2016
ko:K03702	bmee:DK62_2024
ko:K10806	bmee:DK62_2026
ko:K09922	bmee:DK62_2028
ko:K03624	bmee:DK62_2031
ko:K12989	bmee:DK62_2032
ko:K03498	bmee:DK62_2034
ko:K00384	bmee:DK62_2035
ko:K00812	bmee:DK62_2039
ko:K00799	bmee:DK62_2040
ko:K03704	bmee:DK62_2041
ko:K02471	bmee:DK62_2043
ko:K01955	bmee:DK62_2044
ko:K03438	bmee:DK62_1
ko:K06915	bmee:DK62_838
ko:K03449	bmee:DK62_840
ko:K03449	bmee:DK62_841
ko:K03284	bmee:DK62_843
ko:K07341	bmee:DK62_846
ko:K02167	bmee:DK62_848
ko:K02529	bmee:DK62_855
ko:K00854	bmee:DK62_856
ko:K01805	bmee:DK62_857
ko:K10439	bmee:DK62_860
ko:K10440	bmee:DK62_861
ko:K10441	bmee:DK62_862
ko:K10441	bmee:DK62_863
ko:K12995	bmee:DK62_864
ko:K00971	bmee:DK62_866
ko:K01840	bmee:DK62_867
ko:K01711	bmee:DK62_879
ko:K09780	bmee:DK62_1681
ko:K00057	bmee:DK62_1682
ko:K01409	bmee:DK62_1683
ko:K01749	bmee:DK62_1684
ko:K01719	bmee:DK62_1685
ko:K02498	bmee:DK62_1687
ko:K00568	bmee:DK62_1696
ko:K00928	bmee:DK62_1697
ko:K08484	bmee:DK62_1698
ko:K02835	bmee:DK62_1699
ko:K02493	bmee:DK62_1700
ko:K03695	bmee:DK62_1702
ko:K02888	bmee:DK62_1718
ko:K02899	bmee:DK62_1719
ko:K03979	bmee:DK62_1723
ko:K00931	bmee:DK62_1724
ko:K00147	bmee:DK62_1725
ko:K00969	bmee:DK62_1726
ko:K09710	bmee:DK62_1727
ko:K00783	bmee:DK62_1728
ko:K03797	bmee:DK62_1731
ko:K08311	bmee:DK62_1732
ko:K01775	bmee:DK62_2532
ko:K00101	bmee:DK62_2535
ko:K03710	bmee:DK62_2541
ko:K00820	bmee:DK62_2542
ko:K01443	bmee:DK62_2543
ko:K01433	bmee:DK62_2545
ko:K00128	bmee:DK62_2546
ko:K06959	bmee:DK62_2550
ko:K10680	bmee:DK62_2553
ko:K01476	bmee:DK62_2555
ko:K06886	bmee:DK62_2557
ko:K05838	bmee:DK62_2561
ko:K07157	bmee:DK62_2562
ko:K09791	bmee:DK62_2564
ko:K00052	bmee:DK62_2565
ko:K10778	bmee:DK62_2566
ko:K00133	bmee:DK62_2568
ko:K01704	bmee:DK62_2572
ko:K01644	bmee:DK62_2573
ko:K01284	bmee:DK62_2576
ko:K06213	bmee:DK62_2577
ko:K06207	bmee:DK62_2578
ko:K03841	bmee:DK62_2581
ko:K01624	bmee:DK62_2582
ko:K03587	bmee:DK62_3
ko:K01928	bmee:DK62_4
ko:K01929	bmee:DK62_5
ko:K01000	bmee:DK62_6
ko:K01925	bmee:DK62_7
ko:K03588	bmee:DK62_8
ko:K02563	bmee:DK62_9
ko:K01924	bmee:DK62_10
ko:K00075	bmee:DK62_11
ko:K01921	bmee:DK62_12
ko:K03589	bmee:DK62_13
ko:K03590	bmee:DK62_14
ko:K03531	bmee:DK62_15
ko:K02535	bmee:DK62_16
ko:K05807	bmee:DK62_17
ko:K03631	bmee:DK62_18
ko:K01972	bmee:DK62_19
ko:K07054	bmee:DK62_2047
ko:K01956	bmee:DK62_2048
ko:K09117	bmee:DK62_2049
ko:K03324	bmee:DK62_2050
ko:K03086	bmee:DK62_2052
ko:K09160	bmee:DK62_2054
ko:K14205	bmee:DK62_2848
ko:K06196	bmee:DK62_2849
ko:K04042	bmee:DK62_2850
ko:K00820	bmee:DK62_2851
ko:K03655	bmee:DK62_2852
ko:K09159	bmee:DK62_2853
ko:K03723	bmee:DK62_2854
ko:K02035	bmee:DK62_2857
ko:K11940	bmee:DK62_2859
ko:K03185	bmee:DK62_2860
ko:K01004	bmee:DK62_2861
ko:K02056	bmee:DK62_2864
ko:K02057	bmee:DK62_2865
ko:K02057	bmee:DK62_2866
ko:K02058	bmee:DK62_2867
ko:K14441	bmee:DK62_2868
ko:K03594	bmee:DK62_2869
ko:K13772	bmee:DK62_2872
ko:K07039	bmee:DK62_2880
ko:K00012	bmee:DK62_2888
ko:K15580	bmee:DK62_2894
ko:K15580	bmee:DK62_2895
ko:K15581	bmee:DK62_2896
ko:K15582	bmee:DK62_2897
ko:K10823	bmee:DK62_2898
ko:K15583	bmee:DK62_2898
ko:K03919	bmee:DK62_2899
ko:K07001	bmee:DK62_347
ko:K01496	bmee:DK62_348
ko:K01495	bmee:DK62_349
ko:K08998	bmee:DK62_351
ko:K01868	bmee:DK62_354
ko:K04765	bmee:DK62_358
ko:K01262	bmee:DK62_21
ko:K02687	bmee:DK62_22
ko:K07152	bmee:DK62_23
ko:K05805	bmee:DK62_25
ko:K03657	bmee:DK62_26
ko:K09985	bmee:DK62_35
ko:K07552	bmee:DK62_37
ko:K04088	bmee:DK62_41
ko:K04087	bmee:DK62_42
ko:K09937	bmee:DK62_43
ko:K07007	bmee:DK62_45
ko:K01079	bmee:DK62_46
ko:K00791	bmee:DK62_47
ko:K01652	bmee:DK62_48
ko:K01653	bmee:DK62_49
ko:K03474	bmee:DK62_52
ko:K03549	bmee:DK62_53
ko:K00053	bmee:DK62_55
ko:K07127	bmee:DK62_894
ko:K01483	bmee:DK62_895
ko:K03523	bmee:DK62_896
ko:K01006	bmee:DK62_902
ko:K06996	bmee:DK62_903
ko:K16264	bmee:DK62_904
ko:K03529	bmee:DK62_905
ko:K03575	bmee:DK62_909
ko:K01560	bmee:DK62_910
ko:K03281	bmee:DK62_912
ko:K01733	bmee:DK62_917
ko:K03790	bmee:DK62_919
ko:K07735	bmee:DK62_921
ko:K03469	bmee:DK62_924
ko:K02204	bmee:DK62_925
ko:K03527	bmee:DK62_926
ko:K14998	bmee:DK62_927
ko:K02276	bmee:DK62_929
ko:K02258	bmee:DK62_930
ko:K02274	bmee:DK62_933
ko:K02275	bmee:DK62_934
ko:K03568	bmee:DK62_936
ko:K00942	bmee:DK62_937
ko:K07082	bmee:DK62_939
ko:K09458	bmee:DK62_940
ko:K02078	bmee:DK62_941
ko:K00059	bmee:DK62_942
ko:K00645	bmee:DK62_943
ko:K00140	bmee:DK62_1736
ko:K00868	bmee:DK62_1738
ko:K01673	bmee:DK62_1739
ko:K03106	bmee:DK62_1741
ko:K04092	bmee:DK62_1742
ko:K02959	bmee:DK62_1743
ko:K03744	bmee:DK62_1744
ko:K06872	bmee:DK62_1745
ko:K08988	bmee:DK62_1746
ko:K15371	bmee:DK62_1747
ko:K06902	bmee:DK62_1748
ko:K00602	bmee:DK62_1749
ko:K03500	bmee:DK62_1751
ko:K03799	bmee:DK62_1752
ko:K01895	bmee:DK62_1754
ko:K06997	bmee:DK62_1757
ko:K01869	bmee:DK62_1758
ko:K03643	bmee:DK62_1759
ko:K00616	bmee:DK62_1760
ko:K04066	bmee:DK62_1761
ko:K02113	bmee:DK62_1763
ko:K02111	bmee:DK62_1764
ko:K02115	bmee:DK62_1765
ko:K02112	bmee:DK62_1766
ko:K02114	bmee:DK62_1767
ko:K06075	bmee:DK62_1768
ko:K00285	bmee:DK62_1770
ko:K12658	bmee:DK62_1771
ko:K01997	bmee:DK62_1772
ko:K01998	bmee:DK62_1773
ko:K01995	bmee:DK62_1774
ko:K01996	bmee:DK62_1775
ko:K01999	bmee:DK62_1777
ko:K01999	bmee:DK62_1779
ko:K01958	bmee:DK62_1780
ko:K00019	bmee:DK62_1782
ko:K00795	bmee:DK62_1784
ko:K03814	bmee:DK62_1785
ko:K00862	bmee:DK62_2589
ko:K17204	bmee:DK62_2591
ko:K17203	bmee:DK62_2592
ko:K17202	bmee:DK62_2593
ko:K07043	bmee:DK62_2606
ko:K01153	bmee:DK62_2607
ko:K01154	bmee:DK62_2608
ko:K03427	bmee:DK62_2609
ko:K00459	bmee:DK62_2618
