ko:K18929	hpyb:HPOKI102_00985
ko:K01872	hpyb:HPOKI102_06580
ko:K09794	hpyb:HPOKI102_06585
ko:K02963	hpyb:HPOKI102_06600
ko:K02990	hpyb:HPOKI102_06610
ko:K02340	hpyb:HPOKI102_06620
ko:K13016	hpyb:HPOKI102_03625
ko:K07090	hpyb:HPOKI102_03630
ko:K00567	hpyb:HPOKI102_03635
ko:K04763	hpyb:HPOKI102_03640
ko:K00812	hpyb:HPOKI102_03655
ko:K11473	hpyb:HPOKI102_03680
ko:K01736	hpyb:HPOKI102_03695
ko:K03685	hpyb:HPOKI102_03700
ko:K03469	hpyb:HPOKI102_03705
ko:K02434	hpyb:HPOKI102_03720
ko:K11784	hpyb:HPOKI102_03730
ko:K07277	hpyb:HPOKI102_03735
ko:K18285	hpyb:HPOKI102_03740
ko:K02217	hpyb:HPOKI102_03745
ko:K01079	hpyb:HPOKI102_03750
ko:K01744	hpyb:HPOKI102_03765
ko:K00790	hpyb:HPOKI102_03770
ko:K00963	hpyb:HPOKI102_03780
ko:K08309	hpyb:HPOKI102_03785
ko:K02221	hpyb:HPOKI102_03790
ko:K01885	hpyb:HPOKI102_03795
ko:K00970	hpyb:HPOKI102_03815
ko:K06920	hpyb:HPOKI102_03820
ko:K03605	hpyb:HPOKI102_03845
ko:K03620	hpyb:HPOKI102_03850
ko:K05922	hpyb:HPOKI102_03855
ko:K05927	hpyb:HPOKI102_03860
ko:K03923	hpyb:HPOKI102_03865
ko:K07126	hpyb:HPOKI102_03880
ko:K00674	hpyb:HPOKI102_03885
ko:K00413	hpyb:HPOKI102_07965
ko:K03587	hpyb:HPOKI102_07990
ko:K02408	hpyb:HPOKI102_07995
ko:K02388	hpyb:HPOKI102_08000
ko:K02387	hpyb:HPOKI102_08005
ko:K03588	hpyb:HPOKI102_08010
ko:K02016	hpyb:HPOKI102_08015
ko:K02016	hpyb:HPOKI102_08020
ko:K03386	hpyb:HPOKI102_08025
ko:K02073	hpyb:HPOKI102_08030
ko:K05515	hpyb:HPOKI102_08035
ko:K03978	hpyb:HPOKI102_08045
ko:K09774	hpyb:HPOKI102_08050
ko:K03270	hpyb:HPOKI102_08060
ko:K03642	hpyb:HPOKI102_08065
ko:K08307	hpyb:HPOKI102_08070
ko:K03424	hpyb:HPOKI102_08075
ko:K00793	hpyb:HPOKI102_08080
ko:K04061	hpyb:HPOKI102_08085
ko:K02071	hpyb:HPOKI102_08090
ko:K02072	hpyb:HPOKI102_08095
ko:K03474	hpyb:HPOKI102_08115
ko:K00097	hpyb:HPOKI102_08120
ko:K01409	hpyb:HPOKI102_08130
ko:K02392	hpyb:HPOKI102_08135
ko:K03321	hpyb:HPOKI102_01440
ko:K00979	hpyb:HPOKI102_01455
ko:K03981	hpyb:HPOKI102_01460
ko:K07126	hpyb:HPOKI102_01480
ko:K01749	hpyb:HPOKI102_01490
ko:K01881	hpyb:HPOKI102_01495
ko:K02492	hpyb:HPOKI102_01500
ko:K02523	hpyb:HPOKI102_01505
ko:K04047	hpyb:HPOKI102_01520
ko:K07710	hpyb:HPOKI102_01525
ko:K02394	hpyb:HPOKI102_01535
ko:K05592	hpyb:HPOKI102_01540
ko:K13896	hpyb:HPOKI102_01555
ko:K13895	hpyb:HPOKI102_01560
ko:K01939	hpyb:HPOKI102_01580
ko:K11749	hpyb:HPOKI102_01595
ko:K03601	hpyb:HPOKI102_01600
ko:K01465	hpyb:HPOKI102_01635
ko:K06168	hpyb:HPOKI102_01650
ko:K09778	hpyb:HPOKI102_01655
ko:K06940	hpyb:HPOKI102_01675
ko:K01609	hpyb:HPOKI102_01685
ko:K01524	hpyb:HPOKI102_01695
ko:K02841	hpyb:HPOKI102_01700
ko:K02517	hpyb:HPOKI102_01705
ko:K00773	hpyb:HPOKI102_01710
ko:K09944	hpyb:HPOKI102_01715
ko:K00172	hpyb:HPOKI102_05830
ko:K00171	hpyb:HPOKI102_05835
ko:K00169	hpyb:HPOKI102_05840
ko:K00170	hpyb:HPOKI102_05845
ko:K01756	hpyb:HPOKI102_05850
ko:K03702	hpyb:HPOKI102_05860
ko:K07126	hpyb:HPOKI102_05885
ko:K02396	hpyb:HPOKI102_05900
ko:K03775	hpyb:HPOKI102_05925
ko:K03640	hpyb:HPOKI102_05935
ko:K03641	hpyb:HPOKI102_05940
ko:K03559	hpyb:HPOKI102_05950
ko:K02114	hpyb:HPOKI102_05960
ko:K02112	hpyb:HPOKI102_05965
ko:K02115	hpyb:HPOKI102_05970
ko:K02111	hpyb:HPOKI102_05975
ko:K02113	hpyb:HPOKI102_05980
ko:K02109	hpyb:HPOKI102_05985
ko:K02109	hpyb:HPOKI102_05990
ko:K03524	hpyb:HPOKI102_06005
ko:K00604	hpyb:HPOKI102_06010
ko:K02884	hpyb:HPOKI102_06050
ko:K00554	hpyb:HPOKI102_06055
ko:K02860	hpyb:HPOKI102_06060
ko:K06960	hpyb:HPOKI102_06065
ko:K02959	hpyb:HPOKI102_06070
ko:K07391	hpyb:HPOKI102_03085
ko:K01534	hpyb:HPOKI102_03090
ko:K01154	hpyb:HPOKI102_03095
ko:K02004	hpyb:HPOKI102_03110
ko:K03070	hpyb:HPOKI102_03115
ko:K03634	hpyb:HPOKI102_03120
ko:K01682	hpyb:HPOKI102_03145
ko:K11782	hpyb:HPOKI102_03150
ko:K09903	hpyb:HPOKI102_03155
ko:K03060	hpyb:HPOKI102_03160
ko:K01866	hpyb:HPOKI102_03170
ko:K00459	hpyb:HPOKI102_03175
ko:K01448	hpyb:HPOKI102_03180
ko:K02401	hpyb:HPOKI102_03190
ko:K03752	hpyb:HPOKI102_03195
ko:K03639	hpyb:HPOKI102_03200
ko:K06940	hpyb:HPOKI102_03220
ko:K03110	hpyb:HPOKI102_03225
ko:K07084	hpyb:HPOKI102_03250
ko:K12251	hpyb:HPOKI102_03260
ko:K02422	hpyb:HPOKI102_03280
ko:K02407	hpyb:HPOKI102_03285
ko:K06603	hpyb:HPOKI102_03290
ko:K09811	hpyb:HPOKI102_03300
ko:K09812	hpyb:HPOKI102_03305
ko:K03439	hpyb:HPOKI102_03310
ko:K06180	hpyb:HPOKI102_03320
ko:K00948	hpyb:HPOKI102_03345
ko:K00826	hpyb:HPOKI102_07420
ko:K02242	hpyb:HPOKI102_07445
ko:K00943	hpyb:HPOKI102_07450
ko:K00954	hpyb:HPOKI102_07455
ko:K03186	hpyb:HPOKI102_07460
ko:K02386	hpyb:HPOKI102_07465
ko:K03657	hpyb:HPOKI102_07470
ko:K01875	hpyb:HPOKI102_07480
ko:K03602	hpyb:HPOKI102_07490
ko:K03183	hpyb:HPOKI102_07495
ko:K08973	hpyb:HPOKI102_07500
ko:K01992	hpyb:HPOKI102_07515
ko:K01993	hpyb:HPOKI102_07520
ko:K03306	hpyb:HPOKI102_07535
ko:K01928	hpyb:HPOKI102_07550
ko:K00616	hpyb:HPOKI102_07555
ko:K02897	hpyb:HPOKI102_07560
ko:K01056	hpyb:HPOKI102_07565
ko:K11720	hpyb:HPOKI102_07570
ko:K09943	hpyb:HPOKI102_07590
ko:K17686	hpyb:HPOKI102_07595
ko:K11752	hpyb:HPOKI102_07605
ko:K03312	hpyb:HPOKI102_07610
ko:K00290	hpyb:HPOKI102_07615
ko:K08591	hpyb:HPOKI102_07625
ko:K01633	hpyb:HPOKI102_07630
ko:K02014	hpyb:HPOKI102_07640
ko:K01042	hpyb:HPOKI102_07650
ko:K02600	hpyb:HPOKI102_07655
ko:K03106	hpyb:HPOKI102_06075
ko:K01873	hpyb:HPOKI102_06080
ko:K03455	hpyb:HPOKI102_02545
ko:K02020	hpyb:HPOKI102_02555
ko:K02018	hpyb:HPOKI102_02560
ko:K02017	hpyb:HPOKI102_02565
ko:K01885	hpyb:HPOKI102_02570
ko:K06207	hpyb:HPOKI102_02590
ko:K03781	hpyb:HPOKI102_02620
ko:K01159	hpyb:HPOKI102_02650
ko:K02014	hpyb:HPOKI102_02655
ko:K03781	hpyb:HPOKI102_02660
ko:K01521	hpyb:HPOKI102_02685
ko:K02390	hpyb:HPOKI102_02690
ko:K04651	hpyb:HPOKI102_02695
ko:K00748	hpyb:HPOKI102_02705
ko:K03624	hpyb:HPOKI102_02710
ko:K03525	hpyb:HPOKI102_02730
ko:K09792	hpyb:HPOKI102_02735
ko:K03273	hpyb:HPOKI102_02740
ko:K03274	hpyb:HPOKI102_02745
ko:K03272	hpyb:HPOKI102_02750
ko:K03271	hpyb:HPOKI102_02755
ko:K00364	hpyb:HPOKI102_02765
ko:K09805	hpyb:HPOKI102_02775
ko:K03427	hpyb:HPOKI102_02785
ko:K01154	hpyb:HPOKI102_02790
ko:K01153	hpyb:HPOKI102_02795
ko:K00878	hpyb:HPOKI102_02800
ko:K00941	hpyb:HPOKI102_02805
ko:K00788	hpyb:HPOKI102_02810
ko:K01265	hpyb:HPOKI102_06880
ko:K03076	hpyb:HPOKI102_06885
ko:K02876	hpyb:HPOKI102_06890
ko:K02988	hpyb:HPOKI102_06895
ko:K02881	hpyb:HPOKI102_06900
ko:K02933	hpyb:HPOKI102_06905
ko:K02994	hpyb:HPOKI102_06910
ko:K02954	hpyb:HPOKI102_06915
ko:K02931	hpyb:HPOKI102_06920
ko:K02895	hpyb:HPOKI102_06925
ko:K02874	hpyb:HPOKI102_06930
ko:K02961	hpyb:HPOKI102_06935
ko:K02904	hpyb:HPOKI102_06940
ko:K02878	hpyb:HPOKI102_06945
ko:K02982	hpyb:HPOKI102_06950
ko:K02890	hpyb:HPOKI102_06955
ko:K02965	hpyb:HPOKI102_06960
ko:K02886	hpyb:HPOKI102_06965
ko:K02892	hpyb:HPOKI102_06970
ko:K02926	hpyb:HPOKI102_06975
ko:K02906	hpyb:HPOKI102_06980
ko:K02946	hpyb:HPOKI102_06985
ko:K07133	hpyb:HPOKI102_06990
ko:K03470	hpyb:HPOKI102_07000
ko:K01679	hpyb:HPOKI102_07010
ko:K07787	hpyb:HPOKI102_07030
ko:K03686	hpyb:HPOKI102_07045
ko:K00566	hpyb:HPOKI102_07055
ko:K00969	hpyb:HPOKI102_07065
ko:K07722	hpyb:HPOKI102_07070
ko:K03561	hpyb:HPOKI102_07075
ko:K03559	hpyb:HPOKI102_07080
ko:K03832	hpyb:HPOKI102_07085
ko:K03284	hpyb:HPOKI102_07100
ko:K00927	hpyb:HPOKI102_07105
ko:K00134	hpyb:HPOKI102_07110
ko:K03648	hpyb:HPOKI102_07115
ko:K00655	hpyb:HPOKI102_07120
ko:K03797	hpyb:HPOKI102_07130
ko:K07058	hpyb:HPOKI102_00345
ko:K01012	hpyb:HPOKI102_00350
ko:K01156	hpyb:HPOKI102_00360
ko:K01173	hpyb:HPOKI102_00370
ko:K04517	hpyb:HPOKI102_00375
ko:K01338	hpyb:HPOKI102_00380
ko:K05807	hpyb:HPOKI102_00385
ko:K13626	hpyb:HPOKI102_00395
ko:K02372	hpyb:HPOKI102_00400
ko:K00677	hpyb:HPOKI102_00405
ko:K03544	hpyb:HPOKI102_00410
ko:K03569	hpyb:HPOKI102_00415
ko:K03570	hpyb:HPOKI102_00420
ko:K02484	hpyb:HPOKI102_00440
ko:K02238	hpyb:HPOKI102_00455
ko:K03179	hpyb:HPOKI102_00460
ko:K01613	hpyb:HPOKI102_00475
ko:K03517	hpyb:HPOKI102_00480
ko:K00767	hpyb:HPOKI102_00485
ko:K11928	hpyb:HPOKI102_00535
ko:K13821	hpyb:HPOKI102_00540
ko:K03190	hpyb:HPOKI102_00595
ko:K03189	hpyb:HPOKI102_00600
ko:K03188	hpyb:HPOKI102_00605
ko:K02389	hpyb:HPOKI102_04750
ko:K02390	hpyb:HPOKI102_04755
ko:K03657	hpyb:HPOKI102_04770
ko:K15843	hpyb:HPOKI102_04780
ko:K15844	hpyb:HPOKI102_04785
ko:K02014	hpyb:HPOKI102_04795
ko:K01955	hpyb:HPOKI102_04805
ko:K00134	hpyb:HPOKI102_04815
ko:K01821	hpyb:HPOKI102_04830
ko:K06187	hpyb:HPOKI102_04835
ko:K06176	hpyb:HPOKI102_04840
ko:K03799	hpyb:HPOKI102_04845
ko:K01495	hpyb:HPOKI102_04850
ko:K00795	hpyb:HPOKI102_04855
ko:K03787	hpyb:HPOKI102_04860
ko:K01737	hpyb:HPOKI102_04870
ko:K10009	hpyb:HPOKI102_04900
ko:K02424	hpyb:HPOKI102_04905
ko:K01775	hpyb:HPOKI102_04910
ko:K03310	hpyb:HPOKI102_04915
ko:K00285	hpyb:HPOKI102_04920
ko:K09022	hpyb:HPOKI102_04925
ko:K00783	hpyb:HPOKI102_04970
ko:K01963	hpyb:HPOKI102_04975
ko:K03743	hpyb:HPOKI102_04985
ko:K13292	hpyb:HPOKI102_05000
ko:K01868	hpyb:HPOKI102_00905
ko:K02520	hpyb:HPOKI102_00910
ko:K02916	hpyb:HPOKI102_00915
ko:K02887	hpyb:HPOKI102_00920
ko:K01752	hpyb:HPOKI102_00945
ko:K03837	hpyb:HPOKI102_00950
ko:K01626	hpyb:HPOKI102_00960
ko:K03564	hpyb:HPOKI102_00975
ko:K00782	hpyb:HPOKI102_00980
ko:K03303	hpyb:HPOKI102_00995
ko:K03303	hpyb:HPOKI102_01000
ko:K03575	hpyb:HPOKI102_01005
ko:K09477	hpyb:HPOKI102_01010
ko:K00404	hpyb:HPOKI102_01015
ko:K00405	hpyb:HPOKI102_01020
ko:K00407	hpyb:HPOKI102_01025
ko:K00406	hpyb:HPOKI102_01030
ko:K11785	hpyb:HPOKI102_01060
ko:K01689	hpyb:HPOKI102_01070
ko:K00891	hpyb:HPOKI102_01085
ko:K03279	hpyb:HPOKI102_01095
ko:K07126	hpyb:HPOKI102_01100
ko:K01698	hpyb:HPOKI102_01120
ko:K02484	hpyb:HPOKI102_01125
ko:K08303	hpyb:HPOKI102_01145
ko:K02836	hpyb:HPOKI102_01155
ko:K03750	hpyb:HPOKI102_01160
ko:K02421	hpyb:HPOKI102_01165
ko:K12048	hpyb:HPOKI102_05305
ko:K03168	hpyb:HPOKI102_05320
ko:K01585	hpyb:HPOKI102_05410
ko:K15257	hpyb:HPOKI102_05425
ko:K01772	hpyb:HPOKI102_05430
ko:K01874	hpyb:HPOKI102_05435
ko:K00574	hpyb:HPOKI102_05440
ko:K16052	hpyb:HPOKI102_05445
ko:K15846	hpyb:HPOKI102_05480
ko:K01951	hpyb:HPOKI102_05485
ko:K02503	hpyb:HPOKI102_05515
ko:K01889	hpyb:HPOKI102_05520
ko:K01890	hpyb:HPOKI102_05525
ko:K00800	hpyb:HPOKI102_05530
ko:K03527	hpyb:HPOKI102_05535
ko:K02945	hpyb:HPOKI102_05540
ko:K00058	hpyb:HPOKI102_05550
ko:K03625	hpyb:HPOKI102_00005
ko:K00794	hpyb:HPOKI102_00010
ko:K01627	hpyb:HPOKI102_00015
ko:K01673	hpyb:HPOKI102_00020
ko:K01591	hpyb:HPOKI102_00025
ko:K01255	hpyb:HPOKI102_04165
ko:K06942	hpyb:HPOKI102_04170
ko:K01778	hpyb:HPOKI102_04185
ko:K02970	hpyb:HPOKI102_04205
ko:K00059	hpyb:HPOKI102_04210
ko:K02078	hpyb:HPOKI102_04215
ko:K09458	hpyb:HPOKI102_04220
ko:K01962	hpyb:HPOKI102_04225
ko:K03218	hpyb:HPOKI102_04250
ko:K07056	hpyb:HPOKI102_04255
ko:K02909	hpyb:HPOKI102_04260
ko:K03628	hpyb:HPOKI102_04265
ko:K01776	hpyb:HPOKI102_04270
ko:K15842	hpyb:HPOKI102_04280
ko:K12110	hpyb:HPOKI102_04290
ko:K12109	hpyb:HPOKI102_04295
ko:K12108	hpyb:HPOKI102_04300
ko:K12107	hpyb:HPOKI102_04305
ko:K12105	hpyb:HPOKI102_04315
ko:K12104	hpyb:HPOKI102_04320
ko:K12103	hpyb:HPOKI102_04325
ko:K12102	hpyb:HPOKI102_04330
ko:K12101	hpyb:HPOKI102_04335
ko:K12098	hpyb:HPOKI102_04355
ko:K12097	hpyb:HPOKI102_04360
ko:K12096	hpyb:HPOKI102_04365
ko:K12095	hpyb:HPOKI102_04370
ko:K12094	hpyb:HPOKI102_04375
ko:K12093	hpyb:HPOKI102_04380
ko:K12092	hpyb:HPOKI102_04385
ko:K12091	hpyb:HPOKI102_04395
ko:K12090	hpyb:HPOKI102_04405
ko:K12088	hpyb:HPOKI102_04415
ko:K12086	hpyb:HPOKI102_04425
ko:K07126	hpyb:HPOKI102_04430
ko:K01924	hpyb:HPOKI102_03900
ko:K07456	hpyb:HPOKI102_03910
ko:K01507	hpyb:HPOKI102_03915
ko:K07270	hpyb:HPOKI102_03920
ko:K07270	hpyb:HPOKI102_03925
ko:K00939	hpyb:HPOKI102_03930
ko:K01876	hpyb:HPOKI102_03935
ko:K03415	hpyb:HPOKI102_03940
ko:K01972	hpyb:HPOKI102_03945
ko:K01992	hpyb:HPOKI102_03960
ko:K01599	hpyb:HPOKI102_03990
ko:K07457	hpyb:HPOKI102_04000
ko:K02406	hpyb:HPOKI102_04005
ko:K00652	hpyb:HPOKI102_04020
ko:K05366	hpyb:HPOKI102_04025
ko:K03611	hpyb:HPOKI102_04040
ko:K00177	hpyb:HPOKI102_04055
ko:K00175	hpyb:HPOKI102_04060
ko:K00174	hpyb:HPOKI102_04065
ko:K00176	hpyb:HPOKI102_04070
ko:K07082	hpyb:HPOKI102_04075
ko:K10773	hpyb:HPOKI102_04090
ko:K02417	hpyb:HPOKI102_04095
ko:K01465	hpyb:HPOKI102_04110
ko:K01491	hpyb:HPOKI102_04130
ko:K03100	hpyb:HPOKI102_04135
ko:K01808	hpyb:HPOKI102_04145
ko:K00759	hpyb:HPOKI102_04155
ko:K02535	hpyb:HPOKI102_02280
ko:K00872	hpyb:HPOKI102_02290
ko:K02519	hpyb:HPOKI102_02300
ko:K02834	hpyb:HPOKI102_02305
ko:K09748	hpyb:HPOKI102_02310
ko:K01895	hpyb:HPOKI102_02315
ko:K07098	hpyb:HPOKI102_02320
ko:K02400	hpyb:HPOKI102_02335
ko:K02956	hpyb:HPOKI102_02340
ko:K03786	hpyb:HPOKI102_02350
ko:K01262	hpyb:HPOKI102_02355
ko:K00950	hpyb:HPOKI102_02360
ko:K02404	hpyb:HPOKI102_02365
ko:K04562	hpyb:HPOKI102_02370
ko:K02405	hpyb:HPOKI102_02380
ko:K02416	hpyb:HPOKI102_02385
ko:K02417	hpyb:HPOKI102_02390
ko:K03711	hpyb:HPOKI102_02405
ko:K07478	hpyb:HPOKI102_02410
ko:K13640	hpyb:HPOKI102_02415
ko:K05516	hpyb:HPOKI102_02420
ko:K12506	hpyb:HPOKI102_02445
ko:K16235	hpyb:HPOKI102_02455
ko:K00995	hpyb:HPOKI102_02460
ko:K00076	hpyb:HPOKI102_02470
ko:K01714	hpyb:HPOKI102_02475
ko:K00254	hpyb:HPOKI102_02485
ko:K00937	hpyb:HPOKI102_02490
ko:K01154	hpyb:HPOKI102_02500
ko:K03427	hpyb:HPOKI102_02505
ko:K08602	hpyb:HPOKI102_02540
ko:K12573	hpyb:HPOKI102_06625
ko:K00014	hpyb:HPOKI102_06630
ko:K13894	hpyb:HPOKI102_06640
ko:K13893	hpyb:HPOKI102_06645
ko:K01867	hpyb:HPOKI102_06650
ko:K02169	hpyb:HPOKI102_06655
ko:K03075	hpyb:HPOKI102_06660
ko:K02838	hpyb:HPOKI102_06665
ko:K00762	hpyb:HPOKI102_06670
ko:K12410	hpyb:HPOKI102_06680
ko:K00330	hpyb:HPOKI102_06685
ko:K00331	hpyb:HPOKI102_06690
ko:K00332	hpyb:HPOKI102_06695
ko:K00333	hpyb:HPOKI102_06700
ko:K00334	hpyb:HPOKI102_06705
ko:K00337	hpyb:HPOKI102_06720
ko:K00338	hpyb:HPOKI102_06725
ko:K00339	hpyb:HPOKI102_06730
ko:K00340	hpyb:HPOKI102_06735
ko:K00341	hpyb:HPOKI102_06740
ko:K00342	hpyb:HPOKI102_06745
ko:K00343	hpyb:HPOKI102_06750
ko:K15778	hpyb:HPOKI102_06760
ko:K01695	hpyb:HPOKI102_06770
ko:K01696	hpyb:HPOKI102_06775
ko:K13498	hpyb:HPOKI102_06780
ko:K00766	hpyb:HPOKI102_06785
ko:K01658	hpyb:HPOKI102_06790
ko:K01657	hpyb:HPOKI102_06795
ko:K03707	hpyb:HPOKI102_06815
ko:K03811	hpyb:HPOKI102_06830
ko:K00949	hpyb:HPOKI102_06835
ko:K02879	hpyb:HPOKI102_06845
ko:K03040	hpyb:HPOKI102_06850
ko:K02986	hpyb:HPOKI102_06855
ko:K02948	hpyb:HPOKI102_06860
ko:K02952	hpyb:HPOKI102_06865
ko:K02919	hpyb:HPOKI102_06870
ko:K02518	hpyb:HPOKI102_06875
ko:K01735	hpyb:HPOKI102_01720
ko:K01586	hpyb:HPOKI102_01755
ko:K04093	hpyb:HPOKI102_01760
ko:K01163	hpyb:HPOKI102_01765
ko:K03342	hpyb:HPOKI102_01770
ko:K01426	hpyb:HPOKI102_01775
ko:K02397	hpyb:HPOKI102_01780
ko:K02888	hpyb:HPOKI102_01785
ko:K02899	hpyb:HPOKI102_01790
ko:K12368	hpyb:HPOKI102_01795
ko:K12369	hpyb:HPOKI102_01800
ko:K12370	hpyb:HPOKI102_01805
ko:K12371	hpyb:HPOKI102_01810
ko:K12372	hpyb:HPOKI102_01815
ko:K03979	hpyb:HPOKI102_01820
ko:K01845	hpyb:HPOKI102_01835
ko:K07226	hpyb:HPOKI102_01895
ko:K01887	hpyb:HPOKI102_01900
ko:K03116	hpyb:HPOKI102_01905
ko:K00942	hpyb:HPOKI102_01910
ko:K02393	hpyb:HPOKI102_01935
ko:K15896	hpyb:HPOKI102_01950
ko:K00912	hpyb:HPOKI102_01955
ko:K01916	hpyb:HPOKI102_01960
ko:K03609	hpyb:HPOKI102_01975
ko:K03608	hpyb:HPOKI102_01980
ko:K04096	hpyb:HPOKI102_01985
ko:K07447	hpyb:HPOKI102_01990
ko:K07126	hpyb:HPOKI102_02000
ko:K02563	hpyb:HPOKI102_06090
ko:K00286	hpyb:HPOKI102_06105
ko:K04095	hpyb:HPOKI102_06110
ko:K07042	hpyb:HPOKI102_06125
ko:K03839	hpyb:HPOKI102_06130
ko:K00384	hpyb:HPOKI102_06145
ko:K01810	hpyb:HPOKI102_06155
ko:K06200	hpyb:HPOKI102_06165
ko:K02029	hpyb:HPOKI102_06170
ko:K02029	hpyb:HPOKI102_06175
ko:K02028	hpyb:HPOKI102_06180
ko:K02030	hpyb:HPOKI102_06185
ko:K02429	hpyb:HPOKI102_06195
ko:K06901	hpyb:HPOKI102_06200
ko:K03784	hpyb:HPOKI102_06220
ko:K01839	hpyb:HPOKI102_06225
ko:K03317	hpyb:HPOKI102_06230
ko:K08159	hpyb:HPOKI102_06260
ko:K01674	hpyb:HPOKI102_06265
ko:K00133	hpyb:HPOKI102_06275
ko:K01892	hpyb:HPOKI102_06280
ko:K02843	hpyb:HPOKI102_06285
ko:K02355	hpyb:HPOKI102_06305
ko:K02992	hpyb:HPOKI102_06310
ko:K02950	hpyb:HPOKI102_06315
ko:K13797	hpyb:HPOKI102_06320
ko:K02935	hpyb:HPOKI102_06325
ko:K02864	hpyb:HPOKI102_06330
ko:K02863	hpyb:HPOKI102_06335
ko:K02867	hpyb:HPOKI102_06340
ko:K02601	hpyb:HPOKI102_06345
ko:K03073	hpyb:HPOKI102_06350
ko:K13038	hpyb:HPOKI102_02820
ko:K15894	hpyb:HPOKI102_02825
ko:K09860	hpyb:HPOKI102_02840
ko:K03530	hpyb:HPOKI102_02855
ko:K03977	hpyb:HPOKI102_02860
ko:K00797	hpyb:HPOKI102_02870
ko:K00859	hpyb:HPOKI102_02875
ko:K02433	hpyb:HPOKI102_02880
ko:K00088	hpyb:HPOKI102_02885
ko:K02108	hpyb:HPOKI102_02890
ko:K07270	hpyb:HPOKI102_02905
ko:K00384	hpyb:HPOKI102_02915
ko:K03671	hpyb:HPOKI102_02920
ko:K07460	hpyb:HPOKI102_02925
ko:K00003	hpyb:HPOKI102_02930
ko:K03703	hpyb:HPOKI102_02935
ko:K05847	hpyb:HPOKI102_02950
ko:K05845	hpyb:HPOKI102_02955
ko:K05846	hpyb:HPOKI102_02955
ko:K02557	hpyb:HPOKI102_02965
ko:K02556	hpyb:HPOKI102_02970
ko:K02415	hpyb:HPOKI102_03000
ko:K00997	hpyb:HPOKI102_03005
ko:K16091	hpyb:HPOKI102_03010
ko:K07043	hpyb:HPOKI102_03015
ko:K07270	hpyb:HPOKI102_03020
ko:K14652	hpyb:HPOKI102_03025
ko:K01929	hpyb:HPOKI102_03355
ko:K01921	hpyb:HPOKI102_03365
ko:K01095	hpyb:HPOKI102_03370
ko:K00769	hpyb:HPOKI102_03380
ko:K04075	hpyb:HPOKI102_03410
ko:K05540	hpyb:HPOKI102_03415
ko:K15848	hpyb:HPOKI102_03425
ko:K07791	hpyb:HPOKI102_03430
ko:K01424	hpyb:HPOKI102_03435
ko:K06895	hpyb:HPOKI102_03450
ko:K02343	hpyb:HPOKI102_03455
ko:K06925	hpyb:HPOKI102_03460
ko:K06861	hpyb:HPOKI102_03465
ko:K03092	hpyb:HPOKI102_03470
ko:K07023	hpyb:HPOKI102_03475
ko:K03438	hpyb:HPOKI102_03495
