ko:K09796	nmd:NMBG2136_1428
ko:K04564	nmd:NMBG2136_0823
ko:K03675	nmd:NMBG2136_1606
ko:K12340	nmd:NMBG2136_1609
ko:K11003	nmd:NMBG2136_1610
ko:K02169	nmd:NMBG2136_1626
ko:K09789	nmd:NMBG2136_1627
ko:K03319	nmd:NMBG2136_1630
ko:K01876	nmd:NMBG2136_1634
ko:K01058	nmd:NMBG2136_1636
ko:K02968	nmd:NMBG2136_1637
ko:K01776	nmd:NMBG2136_1642
ko:K06925	nmd:NMBG2136_1643
ko:K01448	nmd:NMBG2136_1644
ko:K00997	nmd:NMBG2136_1649
ko:K07090	nmd:NMBG2136_1650
ko:K03474	nmd:NMBG2136_1653
ko:K03584	nmd:NMBG2136_1654
ko:K14170	nmd:NMBG2136_1655
ko:K07552	nmd:NMBG2136_1656
ko:K06966	nmd:NMBG2136_0284
ko:K01756	nmd:NMBG2136_0285
ko:K01951	nmd:NMBG2136_0299
ko:K00645	nmd:NMBG2136_0301
ko:K00648	nmd:NMBG2136_0304
ko:K03621	nmd:NMBG2136_0308
ko:K07101	nmd:NMBG2136_0309
ko:K02911	nmd:NMBG2136_0310
ko:K07040	nmd:NMBG2136_0311
ko:K02471	nmd:NMBG2136_1049
ko:K02291	nmd:NMBG2136_1056
ko:K04044	nmd:NMBG2136_1057
ko:K04755	nmd:NMBG2136_1060
ko:K04762	nmd:NMBG2136_1063
ko:K01962	nmd:NMBG2136_1064
ko:K04075	nmd:NMBG2136_1065
ko:K03437	nmd:NMBG2136_1066
ko:K02558	nmd:NMBG2136_1070
ko:K01012	nmd:NMBG2136_1071
ko:K01687	nmd:NMBG2136_1074
ko:K00381	nmd:NMBG2136_1075
ko:K00957	nmd:NMBG2136_1078
ko:K00390	nmd:NMBG2136_1079
ko:K02302	nmd:NMBG2136_1080
ko:K06207	nmd:NMBG2136_1083
ko:K12573	nmd:NMBG2136_1087
ko:K00990	nmd:NMBG2136_1089
ko:K03594	nmd:NMBG2136_1091
ko:K03594	nmd:NMBG2136_1092
ko:K04077	nmd:NMBG2136_1865
ko:K04078	nmd:NMBG2136_1866
ko:K03308	nmd:NMBG2136_1869
ko:K01586	nmd:NMBG2136_1870
ko:K06202	nmd:NMBG2136_1872
ko:K07173	nmd:NMBG2136_1873
ko:K03650	nmd:NMBG2136_1879
ko:K02016	nmd:NMBG2136_1881
ko:K02015	nmd:NMBG2136_1882
ko:K02015	nmd:NMBG2136_1883
ko:K02013	nmd:NMBG2136_1885
ko:K04751	nmd:NMBG2136_1887
ko:K01952	nmd:NMBG2136_1888
ko:K06213	nmd:NMBG2136_1891
ko:K04083	nmd:NMBG2136_1892
ko:K09812	nmd:NMBG2136_0007
ko:K09811	nmd:NMBG2136_0008
ko:K00620	nmd:NMBG2136_1897
ko:K03578	nmd:NMBG2136_1899
ko:K03578	nmd:NMBG2136_1903
ko:K07458	nmd:NMBG2136_1904
ko:K00927	nmd:NMBG2136_0010
ko:K00790	nmd:NMBG2136_0011
ko:K09943	nmd:NMBG2136_0014
ko:K02527	nmd:NMBG2136_0015
ko:K08987	nmd:NMBG2136_0463
ko:K01207	nmd:NMBG2136_0466
ko:K10773	nmd:NMBG2136_0469
ko:K02429	nmd:NMBG2136_0471
ko:K03315	nmd:NMBG2136_0472
ko:K06189	nmd:NMBG2136_0473
ko:K07042	nmd:NMBG2136_0474
ko:K01749	nmd:NMBG2136_0475
ko:K03303	nmd:NMBG2136_0479
ko:K03269	nmd:NMBG2136_0480
ko:K03529	nmd:NMBG2136_0481
ko:K02655	nmd:NMBG2136_0483
ko:K13888	nmd:NMBG2136_0484
ko:K05685	nmd:NMBG2136_0485
ko:K03981	nmd:NMBG2136_0486
ko:K04066	nmd:NMBG2136_0487
ko:K04043	nmd:NMBG2136_0490
ko:K15724	nmd:NMBG2136_0493
ko:K03688	nmd:NMBG2136_0495
ko:K00640	nmd:NMBG2136_0496
ko:K03687	nmd:NMBG2136_0497
ko:K05952	nmd:NMBG2136_0498
ko:K03734	nmd:NMBG2136_0499
ko:K00351	nmd:NMBG2136_0500
ko:K00350	nmd:NMBG2136_0501
ko:K00349	nmd:NMBG2136_0502
ko:K00348	nmd:NMBG2136_0503
ko:K00347	nmd:NMBG2136_0504
ko:K00346	nmd:NMBG2136_0505
ko:K09790	nmd:NMBG2136_0507
ko:K09941	nmd:NMBG2136_0508
ko:K00605	nmd:NMBG2136_0510
ko:K02437	nmd:NMBG2136_0511
ko:K02492	nmd:NMBG2136_0512
ko:K11004	nmd:NMBG2136_1297
ko:K01256	nmd:NMBG2136_1307
ko:K07501	nmd:NMBG2136_1308
ko:K02517	nmd:NMBG2136_1310
ko:K01159	nmd:NMBG2136_1311
ko:K03557	nmd:NMBG2136_1312
ko:K04567	nmd:NMBG2136_1317
ko:K03624	nmd:NMBG2136_1321
ko:K00800	nmd:NMBG2136_1322
ko:K00782	nmd:NMBG2136_1327
ko:K01588	nmd:NMBG2136_1329
ko:K03572	nmd:NMBG2136_1333
ko:K02343	nmd:NMBG2136_1334
ko:K09747	nmd:NMBG2136_1335
ko:K03785	nmd:NMBG2136_1338
ko:K03656	nmd:NMBG2136_1339
ko:K02346	nmd:NMBG2136_1340
ko:K00528	nmd:NMBG2136_1343
ko:K00459	nmd:NMBG2136_1347
ko:K09926	nmd:NMBG2136_1348
ko:K00609	nmd:NMBG2136_0100
ko:K00610	nmd:NMBG2136_0101
ko:K01462	nmd:NMBG2136_0104
ko:K00604	nmd:NMBG2136_0105
ko:K03500	nmd:NMBG2136_0106
ko:K04096	nmd:NMBG2136_0110
ko:K03168	nmd:NMBG2136_0112
ko:K02358	nmd:NMBG2136_0121
ko:K03073	nmd:NMBG2136_0123
ko:K02601	nmd:NMBG2136_0124
ko:K02520	nmd:NMBG2136_0669
ko:K02916	nmd:NMBG2136_0670
ko:K02887	nmd:NMBG2136_0671
ko:K01889	nmd:NMBG2136_0673
ko:K07458	nmd:NMBG2136_0674
ko:K01890	nmd:NMBG2136_0677
ko:K04764	nmd:NMBG2136_0678
ko:K07113	nmd:NMBG2136_0680
ko:K00833	nmd:NMBG2136_0682
ko:K01935	nmd:NMBG2136_0683
ko:K03181	nmd:NMBG2136_0684
ko:K03179	nmd:NMBG2136_0685
ko:K06958	nmd:NMBG2136_0688
ko:K14540	nmd:NMBG2136_0689
ko:K06024	nmd:NMBG2136_0690
ko:K03631	nmd:NMBG2136_0691
ko:K03183	nmd:NMBG2136_0696
ko:K00950	nmd:NMBG2136_0698
ko:K03666	nmd:NMBG2136_0701
ko:K07262	nmd:NMBG2136_0702
ko:K03564	nmd:NMBG2136_0703
ko:K02192	nmd:NMBG2136_0705
ko:K00067	nmd:NMBG2136_0707
ko:K01923	nmd:NMBG2136_0708
ko:K00962	nmd:NMBG2136_0709
ko:K09792	nmd:NMBG2136_0710
ko:K01778	nmd:NMBG2136_0712
ko:K01738	nmd:NMBG2136_0714
ko:K03100	nmd:NMBG2136_0716
ko:K03596	nmd:NMBG2136_0717
ko:K02670	nmd:NMBG2136_0719
ko:K02341	nmd:NMBG2136_0720
ko:K00432	nmd:NMBG2136_1502
ko:K03760	nmd:NMBG2136_1508
ko:K00831	nmd:NMBG2136_1510
ko:K09748	nmd:NMBG2136_1511
ko:K02600	nmd:NMBG2136_1512
ko:K02519	nmd:NMBG2136_1513
ko:K11068	nmd:NMBG2136_1516
ko:K03310	nmd:NMBG2136_1517
ko:K03611	nmd:NMBG2136_1519
ko:K01775	nmd:NMBG2136_1521
ko:K09157	nmd:NMBG2136_1522
ko:K07166	nmd:NMBG2136_1523
ko:K07320	nmd:NMBG2136_1525
ko:K02237	nmd:NMBG2136_1528
ko:K13038	nmd:NMBG2136_1534
ko:K03060	nmd:NMBG2136_1536
ko:K00942	nmd:NMBG2136_1537
ko:K00759	nmd:NMBG2136_1538
ko:K08303	nmd:NMBG2136_1540
ko:K03808	nmd:NMBG2136_1545
ko:K06192	nmd:NMBG2136_1546
ko:K09857	nmd:NMBG2136_1547
ko:K01246	nmd:NMBG2136_1548
ko:K00281	nmd:NMBG2136_1551
ko:K01955	nmd:NMBG2136_0363
ko:K01956	nmd:NMBG2136_0369
ko:K01938	nmd:NMBG2136_0378
ko:K06942	nmd:NMBG2136_0379
ko:K01866	nmd:NMBG2136_0381
ko:K11753	nmd:NMBG2136_0382
ko:K01870	nmd:NMBG2136_0383
ko:K03101	nmd:NMBG2136_0384
ko:K03527	nmd:NMBG2136_0385
ko:K01091	nmd:NMBG2136_0386
ko:K07043	nmd:NMBG2136_0232
ko:K07160	nmd:NMBG2136_0234
ko:K03657	nmd:NMBG2136_0237
ko:K00330	nmd:NMBG2136_0243
ko:K00331	nmd:NMBG2136_0244
ko:K00332	nmd:NMBG2136_0245
ko:K00333	nmd:NMBG2136_0246
ko:K00334	nmd:NMBG2136_0247
ko:K00337	nmd:NMBG2136_0251
ko:K00338	nmd:NMBG2136_0252
ko:K00339	nmd:NMBG2136_0253
ko:K00340	nmd:NMBG2136_0254
ko:K04095	nmd:NMBG2136_0255
ko:K00341	nmd:NMBG2136_0257
ko:K03701	nmd:NMBG2136_0935
ko:K01613	nmd:NMBG2136_0936
ko:K00766	nmd:NMBG2136_0939
ko:K00325	nmd:NMBG2136_0949
ko:K00324	nmd:NMBG2136_0951
ko:K01079	nmd:NMBG2136_0952
ko:K01448	nmd:NMBG2136_0961
ko:K03777	nmd:NMBG2136_0976
ko:K05541	nmd:NMBG2136_0978
ko:K00826	nmd:NMBG2136_1762
ko:K00208	nmd:NMBG2136_1763
ko:K01810	nmd:NMBG2136_1765
ko:K02654	nmd:NMBG2136_1767
ko:K00859	nmd:NMBG2136_1768
ko:K09862	nmd:NMBG2136_1769
ko:K02652	nmd:NMBG2136_1770
ko:K02523	nmd:NMBG2136_1773
ko:K02888	nmd:NMBG2136_1774
ko:K02899	nmd:NMBG2136_1775
ko:K02913	nmd:NMBG2136_1777
ko:K02902	nmd:NMBG2136_1778
ko:K03446	nmd:NMBG2136_1779
ko:K03543	nmd:NMBG2136_1780
ko:K09457	nmd:NMBG2136_1781
ko:K09125	nmd:NMBG2136_1782
ko:K08973	nmd:NMBG2136_1788
ko:K01626	nmd:NMBG2136_1791
ko:K02237	nmd:NMBG2136_1797
ko:K03106	nmd:NMBG2136_1804
ko:K03673	nmd:NMBG2136_1805
ko:K07078	nmd:NMBG2136_1808
ko:K15977	nmd:NMBG2136_1809
ko:K01669	nmd:NMBG2136_1811
ko:K02337	nmd:NMBG2136_0389
ko:K07053	nmd:NMBG2136_0392
ko:K00835	nmd:NMBG2136_0393
ko:K11752	nmd:NMBG2136_0402
ko:K07738	nmd:NMBG2136_0403
ko:K01735	nmd:NMBG2136_0405
ko:K00891	nmd:NMBG2136_0406
ko:K00655	nmd:NMBG2136_1199
ko:K08307	nmd:NMBG2136_1202
ko:K00945	nmd:NMBG2136_1205
ko:K02945	nmd:NMBG2136_1206
ko:K05788	nmd:NMBG2136_1207
ko:K01070	nmd:NMBG2136_1210
ko:K06916	nmd:NMBG2136_1211
ko:K00940	nmd:NMBG2136_1212
ko:K06941	nmd:NMBG2136_1213
ko:K02656	nmd:NMBG2136_1214
ko:K01358	nmd:NMBG2136_1216
ko:K03545	nmd:NMBG2136_1217
ko:K03466	nmd:NMBG2136_1218
ko:K02939	nmd:NMBG2136_1225
ko:K02963	nmd:NMBG2136_1226
ko:K02686	nmd:NMBG2136_1227
ko:K02990	nmd:NMBG2136_1228
ko:K00384	nmd:NMBG2136_1229
ko:K03703	nmd:NMBG2136_1231
ko:K03439	nmd:NMBG2136_1233
ko:K03702	nmd:NMBG2136_1234
ko:K03797	nmd:NMBG2136_1235
ko:K05805	nmd:NMBG2136_1237
ko:K07735	nmd:NMBG2136_1238
ko:K07447	nmd:NMBG2136_1239
ko:K01881	nmd:NMBG2136_1241
ko:K00163	nmd:NMBG2136_1242
ko:K00627	nmd:NMBG2136_1243
ko:K00382	nmd:NMBG2136_1244
ko:K07862	nmd:NMBG2136_2023
ko:K09800	nmd:NMBG2136_2025
ko:K03305	nmd:NMBG2136_2026
ko:K02836	nmd:NMBG2136_2027
ko:K07001	nmd:NMBG2136_2028
ko:K15977	nmd:NMBG2136_2029
ko:K09930	nmd:NMBG2136_2031
ko:K09929	nmd:NMBG2136_2032
ko:K03088	nmd:NMBG2136_2033
ko:K07566	nmd:NMBG2136_2037
ko:K01945	nmd:NMBG2136_2038
ko:K03522	nmd:NMBG2136_2041
ko:K03521	nmd:NMBG2136_2042
ko:K02841	nmd:NMBG2136_2043
ko:K08281	nmd:NMBG2136_2044
ko:K00134	nmd:NMBG2136_2046
ko:K03555	nmd:NMBG2136_2047
ko:K18842	nmd:NMBG2136_0878
ko:K11749	nmd:NMBG2136_0179
ko:K00099	nmd:NMBG2136_0180
ko:K00981	nmd:NMBG2136_0181
ko:K00806	nmd:NMBG2136_0182
ko:K02838	nmd:NMBG2136_0183
ko:K03501	nmd:NMBG2136_0187
ko:K03470	nmd:NMBG2136_0189
ko:K03495	nmd:NMBG2136_0190
ko:K03310	nmd:NMBG2136_0191
ko:K00097	nmd:NMBG2136_0192
ko:K08300	nmd:NMBG2136_0193
ko:K00748	nmd:NMBG2136_0195
ko:K00215	nmd:NMBG2136_0198
ko:K06186	nmd:NMBG2136_0199
ko:K00684	nmd:NMBG2136_0201
ko:K00134	nmd:NMBG2136_0202
ko:K08084	nmd:NMBG2136_0825
ko:K02671	nmd:NMBG2136_0826
ko:K02672	nmd:NMBG2136_0827
ko:K02673	nmd:NMBG2136_0828
ko:K02655	nmd:NMBG2136_0829
ko:K14267	nmd:NMBG2136_0832
ko:K09861	nmd:NMBG2136_0833
ko:K07341	nmd:NMBG2136_0880
ko:K07234	nmd:NMBG2136_1661
ko:K13771	nmd:NMBG2136_1663
ko:K00925	nmd:NMBG2136_1665
ko:K08641	nmd:NMBG2136_1669
ko:K06901	nmd:NMBG2136_1672
ko:K03531	nmd:NMBG2136_1674
ko:K03590	nmd:NMBG2136_1675
ko:K03589	nmd:NMBG2136_1676
ko:K01921	nmd:NMBG2136_1677
ko:K01924	nmd:NMBG2136_1679
ko:K02563	nmd:NMBG2136_1680
ko:K03588	nmd:NMBG2136_1681
ko:K01925	nmd:NMBG2136_1682
ko:K01000	nmd:NMBG2136_1684
ko:K01929	nmd:NMBG2136_1686
ko:K01928	nmd:NMBG2136_1688
ko:K03587	nmd:NMBG2136_1689
ko:K03586	nmd:NMBG2136_1690
ko:K03438	nmd:NMBG2136_1691
ko:K03925	nmd:NMBG2136_1692
ko:K06153	nmd:NMBG2136_1696
ko:K03673	nmd:NMBG2136_1697
ko:K07391	nmd:NMBG2136_1699
ko:K13821	nmd:NMBG2136_1702
ko:K01142	nmd:NMBG2136_1704
ko:K00767	nmd:NMBG2136_1706
ko:K03517	nmd:NMBG2136_1708
ko:K07056	nmd:NMBG2136_0313
ko:K03217	nmd:NMBG2136_0314
ko:K08998	nmd:NMBG2136_0315
ko:K03536	nmd:NMBG2136_0316
ko:K02914	nmd:NMBG2136_0317
ko:K02313	nmd:NMBG2136_0318
ko:K02338	nmd:NMBG2136_0319
ko:K00937	nmd:NMBG2136_0321
ko:K01869	nmd:NMBG2136_0324
ko:K07726	nmd:NMBG2136_0329
ko:K03075	nmd:NMBG2136_0332
ko:K01803	nmd:NMBG2136_0333
ko:K00573	nmd:NMBG2136_0335
ko:K03644	nmd:NMBG2136_1093
ko:K03801	nmd:NMBG2136_1094
ko:K09158	nmd:NMBG2136_1095
ko:K03648	nmd:NMBG2136_1099
ko:K06158	nmd:NMBG2136_1105
ko:K00003	nmd:NMBG2136_1107
ko:K03530	nmd:NMBG2136_1109
ko:K01338	nmd:NMBG2136_1110
ko:K03581	nmd:NMBG2136_1112
ko:K09808	nmd:NMBG2136_1114
ko:K06187	nmd:NMBG2136_1116
ko:K03770	nmd:NMBG2136_1117
ko:K03551	nmd:NMBG2136_1123
ko:K01783	nmd:NMBG2136_1124
ko:K06923	nmd:NMBG2136_1126
ko:K00793	nmd:NMBG2136_1127
ko:K03752	nmd:NMBG2136_1128
ko:K07673	nmd:NMBG2136_1129
ko:K01933	nmd:NMBG2136_1131
ko:K14652	nmd:NMBG2136_1136
ko:K07478	nmd:NMBG2136_1138
ko:K01733	nmd:NMBG2136_1144
ko:K00954	nmd:NMBG2136_1918
ko:K00783	nmd:NMBG2136_1921
ko:K09710	nmd:NMBG2136_1922
ko:K00969	nmd:NMBG2136_1923
ko:K01673	nmd:NMBG2136_1924
ko:K02204	nmd:NMBG2136_1927
ko:K03835	nmd:NMBG2136_1929
ko:K03273	nmd:NMBG2136_1933
ko:K00655	nmd:NMBG2136_1934
ko:K07043	nmd:NMBG2136_1935
ko:K06173	nmd:NMBG2136_1937
ko:K03147	nmd:NMBG2136_1941
ko:K00760	nmd:NMBG2136_1948
ko:K09760	nmd:NMBG2136_1951
ko:K00413	nmd:NMBG2136_1952
ko:K00412	nmd:NMBG2136_1953
ko:K00411	nmd:NMBG2136_1954
ko:K03576	nmd:NMBG2136_1956
ko:K02996	nmd:NMBG2136_1957
ko:K02871	nmd:NMBG2136_1958
ko:K09888	nmd:NMBG2136_1959
ko:K00057	nmd:NMBG2136_1961
ko:K01595	nmd:NMBG2136_1962
ko:K03745	nmd:NMBG2136_1964
ko:K07084	nmd:NMBG2136_1965
ko:K02493	nmd:NMBG2136_1966
ko:K03568	nmd:NMBG2136_1967
ko:K02535	nmd:NMBG2136_0025
ko:K01874	nmd:NMBG2136_0031
ko:K00820	nmd:NMBG2136_0032
ko:K08304	nmd:NMBG2136_0034
ko:K07243	nmd:NMBG2136_0035
ko:K07224	nmd:NMBG2136_0036
ko:K06193	nmd:NMBG2136_0038
ko:K04042	nmd:NMBG2136_0039
ko:K02064	nmd:NMBG2136_0041
ko:K07218	nmd:NMBG2136_0514
ko:K00311	nmd:NMBG2136_0517
ko:K02884	nmd:NMBG2136_0527
ko:K00554	nmd:NMBG2136_0528
ko:K02860	nmd:NMBG2136_0529
ko:K02959	nmd:NMBG2136_0530
ko:K06287	nmd:NMBG2136_0536
ko:K03118	nmd:NMBG2136_0537
ko:K03117	nmd:NMBG2136_0538
ko:K03116	nmd:NMBG2136_0539
ko:K02503	nmd:NMBG2136_0540
ko:K03210	nmd:NMBG2136_0544
ko:K03072	nmd:NMBG2136_0545
ko:K03074	nmd:NMBG2136_0546
ko:K02956	nmd:NMBG2136_0547
ko:K11076	nmd:NMBG2136_0549
ko:K11075	nmd:NMBG2136_0550
ko:K11074	nmd:NMBG2136_0551
ko:K03320	nmd:NMBG2136_0553
ko:K03628	nmd:NMBG2136_0555
ko:K09773	nmd:NMBG2136_0557
ko:K03634	nmd:NMBG2136_0561
ko:K11073	nmd:NMBG2136_0562
ko:K00615	nmd:NMBG2136_1350
ko:K01524	nmd:NMBG2136_1360
ko:K01867	nmd:NMBG2136_1363
ko:K03695	nmd:NMBG2136_1364
ko:K14260	nmd:NMBG2136_1365
ko:K01821	nmd:NMBG2136_1366
ko:K00260	nmd:NMBG2136_1368
ko:K01091	nmd:NMBG2136_1369
ko:K03565	nmd:NMBG2136_1370
ko:K06194	nmd:NMBG2136_1372
ko:K03787	nmd:NMBG2136_1373
ko:K06200	nmd:NMBG2136_1378
ko:K00928	nmd:NMBG2136_1382
ko:K00989	nmd:NMBG2136_1383
ko:K05896	nmd:NMBG2136_1386
ko:K00763	nmd:NMBG2136_1387
ko:K01887	nmd:NMBG2136_1388
ko:K01807	nmd:NMBG2136_1392
ko:K01770	nmd:NMBG2136_1393
ko:K00991	nmd:NMBG2136_1394
ko:K02867	nmd:NMBG2136_0125
ko:K02863	nmd:NMBG2136_0126
ko:K02864	nmd:NMBG2136_0127
ko:K02935	nmd:NMBG2136_0128
ko:K03043	nmd:NMBG2136_0129
ko:K03046	nmd:NMBG2136_0130
ko:K02950	nmd:NMBG2136_0131
ko:K02992	nmd:NMBG2136_0132
ko:K02355	nmd:NMBG2136_0133
ko:K02946	nmd:NMBG2136_0135
ko:K02906	nmd:NMBG2136_0138
ko:K02926	nmd:NMBG2136_0139
ko:K02892	nmd:NMBG2136_0140
ko:K02886	nmd:NMBG2136_0141
ko:K02965	nmd:NMBG2136_0142
ko:K02890	nmd:NMBG2136_0143
ko:K02982	nmd:NMBG2136_0144
ko:K02878	nmd:NMBG2136_0145
ko:K02904	nmd:NMBG2136_0146
ko:K02961	nmd:NMBG2136_0147
ko:K02874	nmd:NMBG2136_0148
ko:K02895	nmd:NMBG2136_0149
ko:K02931	nmd:NMBG2136_0150
ko:K02954	nmd:NMBG2136_0151
ko:K02994	nmd:NMBG2136_0152
ko:K02676	nmd:NMBG2136_0721
ko:K03424	nmd:NMBG2136_0722
ko:K09712	nmd:NMBG2136_0723
ko:K07390	nmd:NMBG2136_0724
ko:K00761	nmd:NMBG2136_0725
ko:K02496	nmd:NMBG2136_0729
ko:K02498	nmd:NMBG2136_0730
ko:K01599	nmd:NMBG2136_0731
ko:K04485	nmd:NMBG2136_0732
ko:K03582	nmd:NMBG2136_0735
ko:K07223	nmd:NMBG2136_0736
ko:K15778	nmd:NMBG2136_0740
ko:K14445	nmd:NMBG2136_0742
ko:K01056	nmd:NMBG2136_0744
ko:K09801	nmd:NMBG2136_0745
ko:K03798	nmd:NMBG2136_0747
ko:K01698	nmd:NMBG2136_0750
ko:K09007	nmd:NMBG2136_0752
ko:K06182	nmd:NMBG2136_0754
ko:K00858	nmd:NMBG2136_0755
ko:K00075	nmd:NMBG2136_0759
ko:K03327	nmd:NMBG2136_0760
ko:K02502	nmd:NMBG2136_0761
ko:K01939	nmd:NMBG2136_0762
ko:K03799	nmd:NMBG2136_0763
ko:K01591	nmd:NMBG2136_0765
ko:K03274	nmd:NMBG2136_0769
ko:K03694	nmd:NMBG2136_0770
ko:K06891	nmd:NMBG2136_0771
ko:K00832	nmd:NMBG2136_1554
ko:K01736	nmd:NMBG2136_1556
ko:K02622	nmd:NMBG2136_1558
ko:K08311	nmd:NMBG2136_1559
ko:K01875	nmd:NMBG2136_1560
ko:K03778	nmd:NMBG2136_1561
ko:K02835	nmd:NMBG2136_1562
ko:K03424	nmd:NMBG2136_1563
ko:K03431	nmd:NMBG2136_1566
ko:K00796	nmd:NMBG2136_1567
ko:K03182	nmd:NMBG2136_1570
ko:K09458	nmd:NMBG2136_1575
ko:K03308	nmd:NMBG2136_1579
ko:K00262	nmd:NMBG2136_1583
ko:K03585	nmd:NMBG2136_1589
ko:K03577	nmd:NMBG2136_1590
ko:K03583	nmd:NMBG2136_1593
ko:K00405	nmd:NMBG2136_1596
ko:K00404	nmd:NMBG2136_1597
ko:K03561	nmd:NMBG2136_1601
ko:K02666	nmd:NMBG2136_0407
ko:K02662	nmd:NMBG2136_0411
ko:K05366	nmd:NMBG2136_0412
ko:K03978	nmd:NMBG2136_0413
ko:K07399	nmd:NMBG2136_0415
ko:K02517	nmd:NMBG2136_0418
ko:K00789	nmd:NMBG2136_0419
ko:K07259	nmd:NMBG2136_0420
ko:K03300	nmd:NMBG2136_0422
ko:K08301	nmd:NMBG2136_0425
ko:K03071	nmd:NMBG2136_0427
ko:K03655	nmd:NMBG2136_0428
ko:K00145	nmd:NMBG2136_0429
ko:K15125	nmd:NMBG2136_0437
ko:K07058	nmd:NMBG2136_0458
ko:K06920	nmd:NMBG2136_0460
ko:K01737	nmd:NMBG2136_0462
ko:K09977	nmd:NMBG2136_1249
ko:K03500	nmd:NMBG2136_1250
ko:K08324	nmd:NMBG2136_1252
ko:K02435	nmd:NMBG2136_1254
ko:K09824	nmd:NMBG2136_1256
ko:K02434	nmd:NMBG2136_1257
ko:K00275	nmd:NMBG2136_1259
ko:K06178	nmd:NMBG2136_1260
ko:K03601	nmd:NMBG2136_1262
ko:K07322	nmd:NMBG2136_1264
ko:K03671	nmd:NMBG2136_1265
ko:K06969	nmd:NMBG2136_1266
ko:K03544	nmd:NMBG2136_1271
ko:K02834	nmd:NMBG2136_1272
ko:K13643	nmd:NMBG2136_1277
ko:K04487	nmd:NMBG2136_1278
ko:K09890	nmd:NMBG2136_1282
ko:K04082	nmd:NMBG2136_1283
ko:K02469	nmd:NMBG2136_1284
ko:K01810	nmd:NMBG2136_1286
ko:K01057	nmd:NMBG2136_1289
ko:K00036	nmd:NMBG2136_1290
ko:K01690	nmd:NMBG2136_1291
ko:K01625	nmd:NMBG2136_1292
ko:K03575	nmd:NMBG2136_1294
ko:K09688	nmd:NMBG2136_0070
ko:K10107	nmd:NMBG2136_0071
ko:K01991	nmd:NMBG2136_0072
ko:K01790	nmd:NMBG2136_0082
ko:K07266	nmd:NMBG2136_0083
ko:K07265	nmd:NMBG2136_0084
ko:K03312	nmd:NMBG2136_0086
ko:K00873	nmd:NMBG2136_0091
ko:K00943	nmd:NMBG2136_0617
ko:K00029	nmd:NMBG2136_0618
ko:K00912	nmd:NMBG2136_0619
ko:K00342	nmd:NMBG2136_0258
ko:K00343	nmd:NMBG2136_0259
ko:K00795	nmd:NMBG2136_0261
ko:K03602	nmd:NMBG2136_0262
ko:K06949	nmd:NMBG2136_0263
ko:K03550	nmd:NMBG2136_0265
ko:K03642	nmd:NMBG2136_0267
ko:K03216	nmd:NMBG2136_0268
ko:K02170	nmd:NMBG2136_0270
