ko:K22350	ppun:PP4_25610
ko:K00799	ppun:PP4_01810
ko:K01719	ppun:PP4_01850
ko:K02030	ppun:PP4_03060
ko:K02028	ppun:PP4_03070
ko:K02004	ppun:PP4_02080
ko:K02051	ppun:PP4_02190
ko:K02050	ppun:PP4_02200
ko:K02049	ppun:PP4_02210
ko:K02014	ppun:PP4_02290
ko:K10831	ppun:PP4_02510
ko:K04091	ppun:PP4_02570
ko:K01507	ppun:PP4_06100
ko:K01585	ppun:PP4_06390
ko:K00059	ppun:PP4_06540
ko:K00626	ppun:PP4_06550
ko:K05844	ppun:PP4_02670
ko:K01082	ppun:PP4_02820
ko:K02014	ppun:PP4_02880
ko:K00254	ppun:PP4_37540
ko:K00020	ppun:PP4_06800
ko:K03111	ppun:PP4_05180
ko:K03111	ppun:PP4_18110
ko:K18138	ppun:PP4_09340
ko:K18968	ppun:PP4_10960
ko:K12262	ppun:PP4_29320
ko:K12262	ppun:PP4_50480
ko:K07577	ppun:PP4_10500
ko:K00131	ppun:PP4_28550
ko:K20542	ppun:PP4_32190
ko:K18297	ppun:PP4_29910
ko:K16234	ppun:PP4_19420
ko:K18981	ppun:PP4_11170
ko:K08316	ppun:PP4_51800
ko:K15555	ppun:PP4_02240
ko:K06075	ppun:PP4_01720
ko:K01800	ppun:PP4_07420
ko:K15555	ppun:PP4_33390
ko:K03559	ppun:PP4_38890
ko:K03559	ppun:PP4_53680
ko:K06075	ppun:PP4_13050
ko:K03779	ppun:PP4_33120
ko:K00265	ppun:PP4_51410
ko:K03417	ppun:PP4_34850
ko:K01708	ppun:PP4_22260
ko:K03535	ppun:PP4_22270
ko:K02028	ppun:PP4_22300
ko:K02030	ppun:PP4_22340
ko:K01835	ppun:PP4_22480
ko:K02014	ppun:PP4_22510
ko:K11312	ppun:PP4_22630
ko:K02454	ppun:PP4_23780
ko:K06147	ppun:PP4_23910
ko:K00666	ppun:PP4_24000
ko:K12981	ppun:PP4_24130
ko:K00567	ppun:PP4_24140
ko:K03769	ppun:PP4_24240
ko:K03769	ppun:PP4_24300
ko:K14162	ppun:PP4_24900
ko:K01784	ppun:PP4_25010
ko:K03606	ppun:PP4_25140
ko:K06889	ppun:PP4_25300
ko:K00058	ppun:PP4_26660
ko:K15982	ppun:PP4_26740
ko:K00626	ppun:PP4_26800
ko:K00059	ppun:PP4_26820
ko:K00626	ppun:PP4_26850
ko:K01692	ppun:PP4_26880
ko:K01692	ppun:PP4_26900
ko:K01039	ppun:PP4_26920
ko:K02030	ppun:PP4_27550
ko:K09471	ppun:PP4_27560
ko:K03768	ppun:PP4_29160
ko:K07116	ppun:PP4_29180
ko:K02055	ppun:PP4_29490
ko:K02463	ppun:PP4_42610
ko:K02454	ppun:PP4_42690
ko:K00088	ppun:PP4_42850
ko:K07126	ppun:PP4_44110
ko:K00380	ppun:PP4_44140
ko:K13628	ppun:PP4_44310
ko:K04488	ppun:PP4_44320
ko:K01092	ppun:PP4_44370
ko:K02427	ppun:PP4_47000
ko:K03711	ppun:PP4_47110
ko:K00101	ppun:PP4_47170
ko:K02030	ppun:PP4_47250
ko:K02028	ppun:PP4_47280
ko:K02014	ppun:PP4_47320
ko:K01297	ppun:PP4_48660
ko:K07258	ppun:PP4_48700
ko:K08305	ppun:PP4_48720
ko:K05595	ppun:PP4_48920
ko:K02014	ppun:PP4_49080
ko:K02030	ppun:PP4_50200
ko:K02348	ppun:PP4_50210
ko:K03316	ppun:PP4_50390
ko:K02030	ppun:PP4_50450
ko:K00274	ppun:PP4_50490
ko:K02487	ppun:PP4_50550
ko:K06596	ppun:PP4_50550
ko:K02660	ppun:PP4_50560
ko:K02659	ppun:PP4_50570
ko:K02658	ppun:PP4_50580
ko:K02657	ppun:PP4_50590
ko:K00595	ppun:PP4_49000
ko:K03406	ppun:PP4_31970
ko:K04091	ppun:PP4_33320
ko:K02014	ppun:PP4_33350
ko:K02014	ppun:PP4_33360
ko:K00598	ppun:PP4_33530
ko:K02004	ppun:PP4_35020
ko:K03776	ppun:PP4_35320
ko:K00616	ppun:PP4_36800
ko:K07114	ppun:PP4_38060
ko:K07114	ppun:PP4_38070
ko:K02441	ppun:PP4_38210
ko:K00219	ppun:PP4_38270
ko:K08086	ppun:PP4_38410
ko:K06889	ppun:PP4_39500
ko:K00799	ppun:PP4_39580
ko:K03406	ppun:PP4_39600
ko:K16841	ppun:PP4_14560
ko:K06889	ppun:PP4_18280
ko:K13953	ppun:PP4_18430
ko:K02017	ppun:PP4_18520
ko:K00383	ppun:PP4_18620
ko:K03386	ppun:PP4_18630
ko:K09471	ppun:PP4_18730
ko:K02014	ppun:PP4_18780
ko:K09471	ppun:PP4_18880
ko:K02510	ppun:PP4_18930
ko:K01826	ppun:PP4_18960
ko:K10440	ppun:PP4_19060
ko:K00852	ppun:PP4_19080
ko:K05712	ppun:PP4_19460
ko:K02014	ppun:PP4_19540
ko:K00274	ppun:PP4_19560
ko:K02014	ppun:PP4_19570
ko:K10531	ppun:PP4_20100
ko:K01759	ppun:PP4_20220
ko:K02228	ppun:PP4_20250
ko:K00575	ppun:PP4_20280
ko:K00626	ppun:PP4_20340
ko:K00799	ppun:PP4_20550
ko:K00010	ppun:PP4_21500
ko:K02030	ppun:PP4_21600
ko:K03406	ppun:PP4_22740
ko:K00666	ppun:PP4_22790
ko:K02014	ppun:PP4_33880
ko:K02014	ppun:PP4_34010
ko:K15727	ppun:PP4_34050
ko:K15725	ppun:PP4_34060
ko:K03406	ppun:PP4_35390
ko:K00666	ppun:PP4_35540
ko:K00626	ppun:PP4_35740
ko:K01262	ppun:PP4_35810
ko:K06889	ppun:PP4_35830
ko:K06149	ppun:PP4_37160
ko:K03406	ppun:PP4_37290
ko:K06147	ppun:PP4_37300
ko:K04085	ppun:PP4_37330
ko:K03776	ppun:PP4_37370
ko:K06177	ppun:PP4_37380
ko:K01885	ppun:PP4_38550
ko:K02619	ppun:PP4_38710
ko:K00059	ppun:PP4_38740
ko:K06179	ppun:PP4_38820
ko:K01104	ppun:PP4_38850
ko:K02238	ppun:PP4_38910
ko:K00568	ppun:PP4_40060
ko:K01679	ppun:PP4_40160
ko:K09898	ppun:PP4_40230
ko:K00121	ppun:PP4_41520
ko:K03316	ppun:PP4_41800
ko:K00674	ppun:PP4_41830
ko:K01439	ppun:PP4_41880
ko:K10112	ppun:PP4_42990
ko:K00845	ppun:PP4_43050
ko:K01478	ppun:PP4_43150
ko:K06970	ppun:PP4_43330
ko:K01243	ppun:PP4_25860
ko:K16049	ppun:PP4_26930
ko:K00666	ppun:PP4_26980
ko:K00059	ppun:PP4_27020
ko:K16050	ppun:PP4_27040
ko:K15983	ppun:PP4_27180
ko:K16051	ppun:PP4_27190
ko:K16047	ppun:PP4_27210
ko:K01426	ppun:PP4_27220
ko:K00076	ppun:PP4_27250
ko:K02028	ppun:PP4_27320
ko:K02030	ppun:PP4_27350
ko:K02014	ppun:PP4_28000
ko:K02035	ppun:PP4_28060
ko:K02033	ppun:PP4_28070
ko:K04091	ppun:PP4_28120
ko:K02014	ppun:PP4_28130
ko:K03406	ppun:PP4_28210
ko:K00851	ppun:PP4_28230
ko:K03299	ppun:PP4_28240
ko:K02051	ppun:PP4_28330
ko:K03406	ppun:PP4_29580
ko:K07114	ppun:PP4_31000
ko:K07114	ppun:PP4_31010
ko:K02052	ppun:PP4_32290
ko:K02055	ppun:PP4_32360
ko:K07665	ppun:PP4_44810
ko:K00882	ppun:PP4_44890
ko:K02653	ppun:PP4_46240
ko:K03153	ppun:PP4_46370
ko:K02342	ppun:PP4_47510
ko:K06889	ppun:PP4_47650
ko:K01916	ppun:PP4_49380
ko:K01496	ppun:PP4_50810
ko:K01523	ppun:PP4_50820
ko:K03406	ppun:PP4_50870
ko:K02303	ppun:PP4_37590
ko:K03286	ppun:PP4_37600
ko:K06445	ppun:PP4_38960
ko:K07305	ppun:PP4_39110
ko:K00569	ppun:PP4_39140
ko:K02014	ppun:PP4_39330
ko:K01692	ppun:PP4_39340
ko:K06177	ppun:PP4_40450
ko:K02055	ppun:PP4_40500
ko:K02052	ppun:PP4_40540
ko:K00939	ppun:PP4_42050
ko:K06889	ppun:PP4_42120
ko:K02055	ppun:PP4_42270
ko:K02052	ppun:PP4_42280
ko:K04763	ppun:PP4_42430
ko:K02067	ppun:PP4_43480
ko:K11189	ppun:PP4_43600
ko:K01679	ppun:PP4_43640
ko:K02433	ppun:PP4_43770
ko:K03406	ppun:PP4_44990
ko:K00666	ppun:PP4_45140
ko:K00564	ppun:PP4_45160
ko:K02824	ppun:PP4_45340
ko:K07028	ppun:PP4_46620
ko:K00970	ppun:PP4_46760
ko:K03177	ppun:PP4_46900
ko:K02806	ppun:PP4_43580
ko:K01081	ppun:PP4_19590
ko:K00058	ppun:PP4_19640
ko:K00799	ppun:PP4_19680
ko:K00059	ppun:PP4_19720
ko:K05794	ppun:PP4_19790
ko:K02052	ppun:PP4_19810
ko:K02055	ppun:PP4_19840
ko:K09815	ppun:PP4_20050
ko:K01474	ppun:PP4_20630
ko:K02004	ppun:PP4_20880
ko:K02030	ppun:PP4_20930
ko:K03451	ppun:PP4_21100
ko:K01607	ppun:PP4_21750
ko:K03406	ppun:PP4_21830
ko:K02049	ppun:PP4_21910
ko:K02051	ppun:PP4_21920
ko:K02050	ppun:PP4_21930
ko:K02030	ppun:PP4_22050
ko:K01474	ppun:PP4_23250
ko:K03405	ppun:PP4_23340
ko:K06910	ppun:PP4_24320
ko:K02014	ppun:PP4_24380
ko:K01426	ppun:PP4_24780
ko:K01692	ppun:PP4_26090
ko:K02030	ppun:PP4_50910
ko:K01259	ppun:PP4_50950
ko:K01479	ppun:PP4_50960
ko:K03406	ppun:PP4_50880
ko:K00058	ppun:PP4_52200
ko:K02030	ppun:PP4_52300
ko:K02028	ppun:PP4_52310
ko:K02454	ppun:PP4_52620
ko:K07657	ppun:PP4_53810
ko:K01959	ppun:PP4_54080
ko:K03455	ppun:PP4_54170
ko:K02028	ppun:PP4_50890
ko:K04750	ppun:PP4_28560
ko:K11209	ppun:PP4_28760
ko:K01426	ppun:PP4_28770
ko:K00721	ppun:PP4_28850
ko:K07027	ppun:PP4_30470
ko:K03560	ppun:PP4_30500
ko:K01480	ppun:PP4_31380
ko:K13636	ppun:PP4_31530
ko:K02014	ppun:PP4_33070
ko:K04091	ppun:PP4_33170
ko:K02035	ppun:PP4_33180
ko:K04091	ppun:PP4_33210
ko:K02033	ppun:PP4_33240
ko:K02035	ppun:PP4_33250
ko:K04091	ppun:PP4_33260
ko:K00548	ppun:PP4_34400
ko:K07346	ppun:PP4_34600
ko:K01692	ppun:PP4_35980
ko:K00626	ppun:PP4_36000
ko:K01480	ppun:PP4_36200
ko:K02014	ppun:PP4_36230
ko:K00124	ppun:PP4_36320
ko:K00127	ppun:PP4_36330
ko:K07126	ppun:PP4_48530
ko:K01011	ppun:PP4_49740
ko:K01515	ppun:PP4_49860
ko:K11085	ppun:PP4_49990
ko:K11105	ppun:PP4_51290
ko:K02428	ppun:PP4_51650
ko:K01262	ppun:PP4_52720
ko:K01934	ppun:PP4_52760
ko:K07232	ppun:PP4_52840
ko:K09806	ppun:PP4_53100
ko:K02116	ppun:PP4_54410
ko:K04765	ppun:PP4_41110
ko:K05812	ppun:PP4_41340
ko:K03743	ppun:PP4_41400
ko:K05524	ppun:PP4_41430
ko:K03087	ppun:PP4_41450
ko:K12255	ppun:PP4_12970
ko:K16922	ppun:PP4_31170
ko:K19609	ppun:PP4_05690
ko:K19611	ppun:PP4_35490
ko:K02484	ppun:PP4_24050
ko:K01897	ppun:PP4_12700
ko:K01897	ppun:PP4_12710
ko:K03088	ppun:PP4_06070
ko:K16087	ppun:PP4_06080
ko:K09933	ppun:PP4_06110
ko:K03975	ppun:PP4_06120
ko:K03736	ppun:PP4_06140
ko:K03735	ppun:PP4_06150
ko:K02558	ppun:PP4_06190
ko:K03186	ppun:PP4_06200
ko:K00627	ppun:PP4_06250
ko:K01961	ppun:PP4_06300
ko:K02160	ppun:PP4_06310
ko:K03786	ppun:PP4_06320
ko:K04084	ppun:PP4_06330
ko:K03113	ppun:PP4_06380
ko:K03327	ppun:PP4_06410
ko:K06894	ppun:PP4_06420
ko:K05367	ppun:PP4_06440
ko:K02278	ppun:PP4_06470
ko:K06219	ppun:PP4_06510
ko:K02048	ppun:PP4_14620
ko:K10716	ppun:PP4_14630
ko:K08717	ppun:PP4_14640
ko:K00873	ppun:PP4_14650
ko:K01608	ppun:PP4_14690
ko:K09781	ppun:PP4_14720
ko:K01483	ppun:PP4_14790
ko:K07127	ppun:PP4_14820
ko:K06901	ppun:PP4_14830
ko:K06188	ppun:PP4_14850
ko:K07402	ppun:PP4_14870
ko:K13482	ppun:PP4_14880
ko:K13481	ppun:PP4_14890
ko:K03529	ppun:PP4_14910
ko:K03528	ppun:PP4_14920
ko:K01972	ppun:PP4_14930
ko:K02343	ppun:PP4_15030
ko:K09747	ppun:PP4_15040
ko:K06187	ppun:PP4_15050
ko:K00759	ppun:PP4_15060
ko:K09792	ppun:PP4_15090
ko:K09926	ppun:PP4_15120
ko:K00406	ppun:PP4_15140
ko:K00407	ppun:PP4_15150
ko:K00826	ppun:PP4_23280
ko:K02234	ppun:PP4_23320
ko:K02230	ppun:PP4_23330
ko:K13580	ppun:PP4_23350
ko:K08303	ppun:PP4_23380
ko:K06967	ppun:PP4_23570
ko:K13929	ppun:PP4_23620
ko:K13930	ppun:PP4_23630
ko:K13931	ppun:PP4_23640
ko:K13932	ppun:PP4_23650
ko:K00951	ppun:PP4_41120
ko:K00151	ppun:PP4_18980
ko:K13933	ppun:PP4_23660
ko:K13934	ppun:PP4_23670
ko:K13935	ppun:PP4_23680
ko:K07152	ppun:PP4_23730
ko:K01714	ppun:PP4_32170
ko:K00694	ppun:PP4_32210
ko:K02054	ppun:PP4_32300
ko:K02053	ppun:PP4_32310
ko:K00303	ppun:PP4_32350
ko:K02624	ppun:PP4_32370
ko:K00014	ppun:PP4_32380
ko:K11891	ppun:PP4_32420
ko:K08191	ppun:PP4_32490
ko:K03797	ppun:PP4_40570
ko:K03773	ppun:PP4_40620
ko:K02623	ppun:PP4_40630
ko:K00363	ppun:PP4_40650
ko:K00362	ppun:PP4_40660
ko:K01265	ppun:PP4_40690
ko:K03554	ppun:PP4_40710
ko:K03453	ppun:PP4_40720
ko:K09760	ppun:PP4_40770
ko:K06076	ppun:PP4_40810
ko:K00432	ppun:PP4_40860
ko:K02233	ppun:PP4_40900
ko:K00768	ppun:PP4_40920
ko:K02231	ppun:PP4_40930
ko:K02232	ppun:PP4_40940
ko:K02225	ppun:PP4_40950
ko:K02227	ppun:PP4_40960
ko:K04719	ppun:PP4_40970
ko:K02224	ppun:PP4_40980
ko:K10763	ppun:PP4_41030
ko:K13541	ppun:PP4_48960
ko:K03394	ppun:PP4_48970
ko:K06042	ppun:PP4_48980
ko:K02229	ppun:PP4_48990
ko:K02188	ppun:PP4_49010
ko:K05895	ppun:PP4_49020
ko:K07340	ppun:PP4_49030
ko:K11737	ppun:PP4_49100
ko:K11959	ppun:PP4_49110
ko:K11960	ppun:PP4_49120
ko:K11961	ppun:PP4_49130
ko:K11962	ppun:PP4_49140
ko:K11963	ppun:PP4_49150
ko:K03823	ppun:PP4_49160
ko:K05516	ppun:PP4_49180
ko:K04046	ppun:PP4_49190
ko:K04064	ppun:PP4_49250
ko:K03594	ppun:PP4_49260
ko:K07290	ppun:PP4_49270
ko:K01996	ppun:PP4_49320
ko:K01995	ppun:PP4_49330
ko:K01998	ppun:PP4_49340
ko:K01997	ppun:PP4_49350
ko:K01999	ppun:PP4_49360
ko:K00763	ppun:PP4_49370
ko:K06966	ppun:PP4_49400
ko:K02939	ppun:PP4_49450
ko:K04567	ppun:PP4_42160
ko:K02836	ppun:PP4_42170
ko:K11444	ppun:PP4_42190
ko:K13491	ppun:PP4_42200
ko:K13490	ppun:PP4_42210
ko:K13489	ppun:PP4_42220
ko:K13486	ppun:PP4_42230
ko:K13488	ppun:PP4_42240
ko:K13487	ppun:PP4_42250
ko:K02054	ppun:PP4_42290
ko:K02053	ppun:PP4_42300
ko:K00137	ppun:PP4_42310
ko:K07462	ppun:PP4_42330
ko:K01733	ppun:PP4_42400
ko:K00003	ppun:PP4_42410
ko:K03981	ppun:PP4_42420
ko:K02884	ppun:PP4_42460
ko:K02651	ppun:PP4_07600
ko:K16091	ppun:PP4_07630
ko:K03088	ppun:PP4_07650
ko:K03088	ppun:PP4_07690
ko:K03543	ppun:PP4_07850
ko:K16081	ppun:PP4_07960
ko:K09861	ppun:PP4_08010
ko:K07175	ppun:PP4_08030
ko:K03637	ppun:PP4_08040
ko:K03636	ppun:PP4_08050
ko:K03732	ppun:PP4_08070
ko:K06999	ppun:PP4_08080
ko:K09969	ppun:PP4_08090
ko:K09970	ppun:PP4_08100
ko:K09971	ppun:PP4_08110
ko:K09972	ppun:PP4_08120
ko:K04691	ppun:PP4_08130
ko:K00343	ppun:PP4_16250
ko:K00342	ppun:PP4_16260
ko:K00341	ppun:PP4_16270
ko:K00340	ppun:PP4_16280
ko:K00339	ppun:PP4_16290
ko:K00338	ppun:PP4_16300
ko:K00337	ppun:PP4_16310
ko:K00334	ppun:PP4_16340
ko:K13378	ppun:PP4_16350
ko:K00331	ppun:PP4_16360
ko:K00330	ppun:PP4_16370
ko:K01637	ppun:PP4_16390
ko:K03321	ppun:PP4_16420
ko:K02355	ppun:PP4_16430
ko:K11735	ppun:PP4_16480
ko:K03306	ppun:PP4_16520
ko:K03703	ppun:PP4_16580
ko:K00995	ppun:PP4_16590
ko:K03230	ppun:PP4_16640
ko:K03225	ppun:PP4_16680
ko:K01028	ppun:PP4_24930
ko:K01029	ppun:PP4_24940
ko:K02106	ppun:PP4_24950
ko:K01991	ppun:PP4_24970
ko:K00640	ppun:PP4_25080
ko:K01752	ppun:PP4_25160
ko:K01915	ppun:PP4_25200
ko:K08324	ppun:PP4_25230
ko:K02000	ppun:PP4_25320
ko:K02001	ppun:PP4_25330
ko:K02002	ppun:PP4_25340
ko:K05549	ppun:PP4_25370
ko:K05550	ppun:PP4_25380
ko:K05784	ppun:PP4_25390
ko:K05783	ppun:PP4_25400
ko:K05548	ppun:PP4_25410
ko:K05782	ppun:PP4_25420
ko:K07038	ppun:PP4_25440
ko:K10679	ppun:PP4_33700
ko:K08159	ppun:PP4_33740
ko:K13979	ppun:PP4_33760
ko:K00355	ppun:PP4_33790
ko:K03088	ppun:PP4_33800
ko:K16088	ppun:PP4_33820
ko:K01975	ppun:PP4_33830
ko:K02016	ppun:PP4_33900
ko:K02015	ppun:PP4_33910
ko:K02013	ppun:PP4_33920
ko:K03762	ppun:PP4_34030
ko:K15726	ppun:PP4_34040
ko:K03786	ppun:PP4_34070
ko:K00014	ppun:PP4_34090
ko:K15977	ppun:PP4_34140
ko:K09929	ppun:PP4_34150
ko:K09930	ppun:PP4_34160
ko:K02336	ppun:PP4_34220
ko:K00554	ppun:PP4_42470
ko:K02860	ppun:PP4_42480
ko:K02959	ppun:PP4_42490
ko:K03106	ppun:PP4_42500
ko:K08289	ppun:PP4_42540
ko:K06938	ppun:PP4_42560
ko:K09761	ppun:PP4_50520
ko:K11068	ppun:PP4_50530
ko:K06598	ppun:PP4_50540
ko:K01920	ppun:PP4_50600
ko:K03832	ppun:PP4_50610
ko:K07735	ppun:PP4_50620
ko:K07447	ppun:PP4_50630
ko:K02825	ppun:PP4_50640
ko:K00609	ppun:PP4_50650
ko:K01465	ppun:PP4_50660
ko:K01419	ppun:PP4_50670
ko:K03667	ppun:PP4_50680
ko:K03821	ppun:PP4_50700
ko:K03821	ppun:PP4_50720
ko:K03183	ppun:PP4_50780
ko:K03690	ppun:PP4_50790
ko:K03688	ppun:PP4_50800
ko:K03116	ppun:PP4_50830
ko:K03117	ppun:PP4_50840
ko:K03118	ppun:PP4_50850
ko:K02029	ppun:PP4_50900
ko:K03669	ppun:PP4_50920
ko:K03670	ppun:PP4_50930
ko:K07560	ppun:PP4_50940
ko:K01468	ppun:PP4_50970
ko:K01745	ppun:PP4_50990
ko:K01712	ppun:PP4_51000
ko:K09975	ppun:PP4_51010
ko:K05836	ppun:PP4_51020
ko:K05603	ppun:PP4_51030
ko:K07552	ppun:PP4_06620
ko:K00822	ppun:PP4_06690
ko:K00140	ppun:PP4_06700
ko:K03583	ppun:PP4_06710
ko:K03582	ppun:PP4_06720
ko:K03581	ppun:PP4_06730
ko:K00140	ppun:PP4_06790
ko:K06995	ppun:PP4_06810
ko:K00981	ppun:PP4_06840
ko:K00995	ppun:PP4_06890
ko:K07090	ppun:PP4_06910
ko:K03923	ppun:PP4_06930
ko:K00449	ppun:PP4_06990
ko:K00448	ppun:PP4_07000
ko:K00405	ppun:PP4_15160
ko:K00404	ppun:PP4_15170
ko:K00406	ppun:PP4_15180
ko:K00407	ppun:PP4_15190
ko:K00405	ppun:PP4_15200
ko:K00404	ppun:PP4_15210
ko:K07020	ppun:PP4_15220
ko:K09913	ppun:PP4_15230
ko:K03088	ppun:PP4_15270
ko:K03805	ppun:PP4_15290
ko:K04084	ppun:PP4_15310
ko:K07402	ppun:PP4_15350
ko:K07141	ppun:PP4_15360
ko:K00836	ppun:PP4_15410
ko:K05685	ppun:PP4_15490
ko:K13888	ppun:PP4_15500
ko:K03088	ppun:PP4_15510
ko:K00311	ppun:PP4_15540
ko:K03521	ppun:PP4_15550
ko:K03522	ppun:PP4_15560
ko:K06940	ppun:PP4_15620
ko:K01647	ppun:PP4_15640
ko:K00242	ppun:PP4_15660
ko:K00239	ppun:PP4_15670
ko:K00240	ppun:PP4_15680
ko:K02453	ppun:PP4_23830
ko:K02456	ppun:PP4_23840
ko:K02456	ppun:PP4_23850
ko:K04337	ppun:PP4_23870
ko:K04338	ppun:PP4_23880
ko:K06214	ppun:PP4_23890
ko:K06871	ppun:PP4_23970
ko:K03752	ppun:PP4_24010
ko:K03585	ppun:PP4_24030
ko:K11739	ppun:PP4_24080
ko:K11740	ppun:PP4_24090
ko:K01754	ppun:PP4_24110
ko:K08276	ppun:PP4_24250
ko:K00019	ppun:PP4_24260
ko:K13895	ppun:PP4_24270
ko:K13894	ppun:PP4_24280
ko:K13893	ppun:PP4_24290
ko:K01626	ppun:PP4_24310
ko:K07088	ppun:PP4_24350
ko:K02044	ppun:PP4_32610
ko:K02041	ppun:PP4_32620
ko:K02042	ppun:PP4_32630
ko:K02445	ppun:PP4_32650
ko:K05306	ppun:PP4_32670
ko:K03786	ppun:PP4_32760
ko:K00014	ppun:PP4_32770
ko:K00077	ppun:PP4_32810
ko:K06911	ppun:PP4_33000
ko:K03088	ppun:PP4_33020
ko:K16088	ppun:PP4_33040
ko:K03088	ppun:PP4_33090
ko:K11103	ppun:PP4_33110
ko:K03780	ppun:PP4_33130
ko:K09938	ppun:PP4_41050
ko:K01933	ppun:PP4_41060
ko:K11175	ppun:PP4_41070
ko:K09912	ppun:PP4_41100
ko:K03215	ppun:PP4_41130
ko:K12339	ppun:PP4_41140
ko:K07678	ppun:PP4_41170
ko:K03778	ppun:PP4_41180
ko:K03809	ppun:PP4_41230
ko:K14058	ppun:PP4_41260
ko:K02742	ppun:PP4_41280
ko:K00528	ppun:PP4_41290
ko:K00901	ppun:PP4_41310
ko:K06966	ppun:PP4_41370
ko:K03565	ppun:PP4_41380
ko:K03555	ppun:PP4_41420
ko:K06194	ppun:PP4_41460
ko:K00573	ppun:PP4_41470
ko:K03787	ppun:PP4_41480
ko:K06176	ppun:PP4_41490
ko:K01770	ppun:PP4_41500
ko:K01070	ppun:PP4_41510
ko:K00991	ppun:PP4_41540
ko:K05589	ppun:PP4_41550
ko:K01689	ppun:PP4_41560
ko:K01627	ppun:PP4_41570
ko:K02963	ppun:PP4_49470
ko:K02990	ppun:PP4_49480
ko:K03218	ppun:PP4_49490
ko:K12573	ppun:PP4_49500
ko:K02012	ppun:PP4_49510
ko:K02011	ppun:PP4_49520
ko:K01939	ppun:PP4_49550
ko:K02502	ppun:PP4_49560
ko:K04087	ppun:PP4_49570
ko:K04088	ppun:PP4_49580
ko:K03665	ppun:PP4_49590
ko:K03666	ppun:PP4_49600
ko:K00791	ppun:PP4_49610
ko:K03572	ppun:PP4_49620
ko:K01448	ppun:PP4_49630
ko:K06925	ppun:PP4_49640
ko:K13288	ppun:PP4_49690
ko:K06949	ppun:PP4_49700
ko:K02557	ppun:PP4_49710
ko:K02556	ppun:PP4_49720
ko:K01613	ppun:PP4_49750
ko:K01079	ppun:PP4_49760
ko:K09857	ppun:PP4_49780
ko:K02621	ppun:PP4_49790
ko:K06985	ppun:PP4_49800
ko:K02622	ppun:PP4_49820
ko:K07000	ppun:PP4_49830
ko:K03651	ppun:PP4_49840
ko:K09920	ppun:PP4_49850
ko:K03147	ppun:PP4_49890
ko:K12340	ppun:PP4_49900
ko:K02527	ppun:PP4_49910
ko:K02313	ppun:PP4_00010
ko:K02338	ppun:PP4_00020
ko:K03629	ppun:PP4_00030
ko:K02470	ppun:PP4_00040
ko:K00957	ppun:PP4_08150
ko:K00955	ppun:PP4_08160
ko:K01761	ppun:PP4_08180
ko:K09908	ppun:PP4_08190
ko:K07018	ppun:PP4_08200
ko:K01867	ppun:PP4_08210
ko:K06916	ppun:PP4_08220
ko:K02871	ppun:PP4_08250
ko:K02996	ppun:PP4_08260
ko:K00411	ppun:PP4_08270
ko:K00412	ppun:PP4_08280
ko:K00413	ppun:PP4_08290
ko:K03599	ppun:PP4_08300
ko:K03600	ppun:PP4_08310
ko:K03271	ppun:PP4_08340
ko:K07460	ppun:PP4_08350
ko:K07121	ppun:PP4_08360
