ko:K01212	ppy:PPE_00682
ko:K07011	ppy:PPE_04324
ko:K14233	ppy:PPE_03644
ko:K14233	ppy:PPE_03986
ko:K14228	ppy:PPE_03973
ko:K14228	ppy:PPE_03636
ko:K14228	ppy:PPE_00364
ko:K14228	ppy:PPE_01738
ko:K14221	ppy:PPE_00157
ko:K14221	ppy:PPE_00357
ko:K14221	ppy:PPE_03640
ko:K14221	ppy:PPE_03982
ko:K14224	ppy:PPE_00354
ko:K14224	ppy:PPE_01229
ko:K14224	ppy:PPE_03985
ko:K14224	ppy:PPE_04230
ko:K14224	ppy:PPE_03643
ko:K14232	ppy:PPE_00368
ko:K14232	ppy:PPE_04223
ko:K14232	ppy:PPE_03635
ko:K14234	ppy:PPE_00480
ko:K14232	ppy:PPE_01347
ko:K14229	ppy:PPE_01604
ko:K14229	ppy:PPE_00160
ko:K14229	ppy:PPE_00363
ko:K14229	ppy:PPE_01230
ko:K14229	ppy:PPE_03639
ko:K14229	ppy:PPE_04227
ko:K14220	ppy:PPE_00351
ko:K14220	ppy:PPE_04232
ko:K14220	ppy:PPE_03987
ko:K14220	ppy:PPE_03645
ko:K14220	ppy:PPE_01225
ko:K14230	ppy:PPE_03641
ko:K14230	ppy:PPE_03983
ko:K14230	ppy:PPE_00356
ko:K14237	ppy:PPE_03642
ko:K14237	ppy:PPE_04229
ko:K14237	ppy:PPE_03984
ko:K14237	ppy:PPE_00155
ko:K14237	ppy:PPE_00355
ko:K06378	ppy:PPE_02807
ko:K14222	ppy:PPE_03974
ko:K07979	ppy:PPE_01002
ko:K01181	ppy:PPE_01657
ko:K09145	ppy:PPE_02604
ko:K01179	ppy:PPE_03461
ko:K10907	ppy:PPE_01395
ko:K11632	ppy:PPE_04800
ko:K02520	ppy:PPE_01487
ko:K02013	ppy:PPE_02206
ko:K07979	ppy:PPE_00296
ko:K01190	ppy:PPE_00233
ko:K01179	ppy:PPE_03499
ko:K11629	ppy:PPE_04798
ko:K11631	ppy:PPE_04799
ko:K11630	ppy:PPE_04797
ko:K14226	ppy:PPE_00361
ko:K14226	ppy:PPE_03977
ko:K01992	ppy:PPE_00584
ko:K01271	ppy:PPE_01297
ko:K19551	ppy:PPE_00899
ko:K10190	ppy:PPE_00234
ko:K14237	ppy:PPE_02977
ko:K10119	ppy:PPE_04639
ko:K10118	ppy:PPE_04640
ko:K14228	ppy:PPE_04226
ko:K03574	ppy:PPE_01319
ko:K05499	ppy:PPE_00859
ko:K00290	ppy:PPE_01639
ko:K03436	ppy:PPE_01617
ko:K14235	ppy:PPE_03978
ko:K01182	ppy:PPE_00435
ko:K15312	ppy:PPE_03014
ko:K15313	ppy:PPE_03013
ko:K14415	ppy:PPE_03487
ko:K02056	ppy:PPE_01365
ko:K13275	ppy:PPE_02044
ko:K09458	ppy:PPE_01747
ko:K13611	ppy:PPE_03012
ko:K01992	ppy:PPE_03776
ko:K14225	ppy:PPE_00369
ko:K14225	ppy:PPE_04222
ko:K14225	ppy:PPE_01379
ko:K01181	ppy:PPE_00963
ko:K14219	ppy:PPE_00367
ko:K14219	ppy:PPE_03637
ko:K14219	ppy:PPE_04224
ko:K22278	ppy:PPE_01196
ko:K22278	ppy:PPE_02778
ko:K14218	ppy:PPE_00150
ko:K14218	ppy:PPE_04234
ko:K14218	ppy:PPE_00350
ko:K14218	ppy:PPE_04317
ko:K14233	ppy:PPE_00153
ko:K14233	ppy:PPE_00353
ko:K14233	ppy:PPE_01226
ko:K14230	ppy:PPE_00154
ko:K14230	ppy:PPE_00352
ko:K02793	ppy:PPE_01463
ko:K14234	ppy:PPE_04231
ko:K03741	ppy:PPE_04146
ko:K01209	ppy:PPE_02888
ko:K14219	ppy:PPE_03693
ko:K14219	ppy:PPE_03739
ko:K04757	ppy:PPE_04019
ko:K07005	ppy:PPE_00650
ko:K05966	ppy:PPE_03593
ko:K04517	ppy:PPE_02734
ko:K01934	ppy:PPE_01182
ko:K02030	ppy:PPE_00957
ko:K05937	ppy:PPE_01821
ko:K01198	ppy:PPE_03085
ko:K02803	ppy:PPE_03703
ko:K02804	ppy:PPE_03703
ko:K02304	ppy:PPE_03680
ko:K03215	ppy:PPE_00813
ko:K08177	ppy:PPE_03530
ko:K02057	ppy:PPE_01366
ko:K02057	ppy:PPE_01367
ko:K01990	ppy:PPE_00583
ko:K14205	ppy:PPE_00466
ko:K02005	ppy:PPE_02341
ko:K14236	ppy:PPE_00159
ko:K14236	ppy:PPE_00360
ko:K14236	ppy:PPE_03979
ko:K14228	ppy:PPE_01231
ko:K14228	ppy:PPE_01237
ko:K00088	ppy:PPE_00088
ko:K07258	ppy:PPE_00089
ko:K02499	ppy:PPE_00045
ko:K07114	ppy:PPE_00054
ko:K01664	ppy:PPE_00066
ko:K02619	ppy:PPE_00067
ko:K03406	ppy:PPE_01800
ko:K03406	ppy:PPE_03579
ko:K13628	ppy:PPE_03904
ko:K05346	ppy:PPE_04131
ko:K01209	ppy:PPE_00320
ko:K10039	ppy:PPE_00400
ko:K01449	ppy:PPE_03078
ko:K01739	ppy:PPE_01407
ko:K06147	ppy:PPE_02481
ko:K01524	ppy:PPE_03887
ko:K19302	ppy:PPE_02224
ko:K14652	ppy:PPE_02794
ko:K01239	ppy:PPE_04610
ko:K06182	ppy:PPE_00100
ko:K02557	ppy:PPE_00101
ko:K00797	ppy:PPE_00120
ko:K01887	ppy:PPE_00126
ko:K02012	ppy:PPE_00130
ko:K02011	ppy:PPE_00131
ko:K01937	ppy:PPE_00135
ko:K02490	ppy:PPE_00136
ko:K01624	ppy:PPE_00137
ko:K00790	ppy:PPE_00138
ko:K03628	ppy:PPE_00139
ko:K02909	ppy:PPE_00141
ko:K02343	ppy:PPE_00143
ko:K09747	ppy:PPE_00144
ko:K06187	ppy:PPE_00145
ko:K01803	ppy:PPE_00197
ko:K01689	ppy:PPE_00199
ko:K03075	ppy:PPE_00201
ko:K12573	ppy:PPE_00202
ko:K03664	ppy:PPE_00203
ko:K15977	ppy:PPE_00206
ko:K15975	ppy:PPE_00207
ko:K06872	ppy:PPE_00214
ko:K01990	ppy:PPE_03853
ko:K01990	ppy:PPE_03778
ko:K00646	ppy:PPE_03016
ko:K01083	ppy:PPE_00217
ko:K14223	ppy:PPE_00362
ko:K14223	ppy:PPE_03976
ko:K14223	ppy:PPE_04228
ko:K14234	ppy:PPE_00156
ko:K14234	ppy:PPE_03980
ko:K14234	ppy:PPE_00359
ko:K01752	ppy:PPE_00390
ko:K02034	ppy:PPE_00395
ko:K14166	ppy:PPE_00412
ko:K07552	ppy:PPE_00415
ko:K07778	ppy:PPE_00886
ko:K13853	ppy:PPE_01034
ko:K03335	ppy:PPE_00858
ko:K10441	ppy:PPE_00861
ko:K13979	ppy:PPE_00873
ko:K01491	ppy:PPE_00883
ko:K10255	ppy:PPE_00885
ko:K07718	ppy:PPE_01051
ko:K05601	ppy:PPE_01053
ko:K10546	ppy:PPE_01065
ko:K10548	ppy:PPE_01066
ko:K10547	ppy:PPE_01067
ko:K08223	ppy:PPE_01072
ko:K09457	ppy:PPE_01077
ko:K10026	ppy:PPE_01078
ko:K01737	ppy:PPE_01079
ko:K06920	ppy:PPE_01080
ko:K01728	ppy:PPE_03469
ko:K08093	ppy:PPE_04673
ko:K14230	ppy:PPE_03098
ko:K01681	ppy:PPE_00714
ko:K01921	ppy:PPE_00716
ko:K11175	ppy:PPE_00770
ko:K00602	ppy:PPE_00771
ko:K01945	ppy:PPE_00772
ko:K02424	ppy:PPE_00774
ko:K10009	ppy:PPE_00775
ko:K07397	ppy:PPE_00777
ko:K11476	ppy:PPE_00458
ko:K01265	ppy:PPE_00459
ko:K08153	ppy:PPE_00468
ko:K07118	ppy:PPE_00472
ko:K05306	ppy:PPE_00475
ko:K03790	ppy:PPE_00495
ko:K01740	ppy:PPE_00501
ko:K03453	ppy:PPE_00511
ko:K03790	ppy:PPE_00513
ko:K07718	ppy:PPE_00515
ko:K08989	ppy:PPE_00526
ko:K01868	ppy:PPE_00545
ko:K07173	ppy:PPE_00547
ko:K02073	ppy:PPE_00549
ko:K07407	ppy:PPE_00551
ko:K07718	ppy:PPE_00552
ko:K06878	ppy:PPE_00558
ko:K03657	ppy:PPE_00559
ko:K03282	ppy:PPE_00566
ko:K03088	ppy:PPE_00568
ko:K06312	ppy:PPE_00607
ko:K06311	ppy:PPE_00608
ko:K06310	ppy:PPE_00609
ko:K00362	ppy:PPE_00610
ko:K00363	ppy:PPE_00611
ko:K06311	ppy:PPE_00616
ko:K06312	ppy:PPE_00617
ko:K13727	ppy:PPE_00619
ko:K01201	ppy:PPE_00621
ko:K13256	ppy:PPE_00626
ko:K00077	ppy:PPE_00629
ko:K12308	ppy:PPE_00639
ko:K00375	ppy:PPE_00649
ko:K00692	ppy:PPE_00681
ko:K07007	ppy:PPE_00688
ko:K00997	ppy:PPE_00693
ko:K03575	ppy:PPE_00694
ko:K07407	ppy:PPE_00697
ko:K04564	ppy:PPE_00700
ko:K03100	ppy:PPE_00702
ko:K01495	ppy:PPE_00706
ko:K04564	ppy:PPE_00708
ko:K03147	ppy:PPE_00711
ko:K07718	ppy:PPE_00721
ko:K01845	ppy:PPE_00730
ko:K03564	ppy:PPE_00735
ko:K01951	ppy:PPE_00740
ko:K05995	ppy:PPE_00742
ko:K06901	ppy:PPE_00748
ko:K00648	ppy:PPE_00752
ko:K01588	ppy:PPE_00759
ko:K01589	ppy:PPE_00760
ko:K01756	ppy:PPE_00761
ko:K01923	ppy:PPE_00763
ko:K01952	ppy:PPE_00764
ko:K01952	ppy:PPE_00765
ko:K01952	ppy:PPE_00766
ko:K00764	ppy:PPE_00767
ko:K01933	ppy:PPE_00769
ko:K02015	ppy:PPE_00779
ko:K02015	ppy:PPE_00780
ko:K02016	ppy:PPE_00781
ko:K06999	ppy:PPE_00788
ko:K06434	ppy:PPE_00789
ko:K01754	ppy:PPE_00793
ko:K02015	ppy:PPE_00795
ko:K02015	ppy:PPE_00796
ko:K02016	ppy:PPE_00797
ko:K07220	ppy:PPE_00804
ko:K03306	ppy:PPE_00805
ko:K03284	ppy:PPE_00808
ko:K02029	ppy:PPE_00958
ko:K02529	ppy:PPE_00978
ko:K02040	ppy:PPE_01006
ko:K00259	ppy:PPE_01011
ko:K00849	ppy:PPE_01014
ko:K07507	ppy:PPE_01023
ko:K03426	ppy:PPE_00538
ko:K01129	ppy:PPE_01111
ko:K07693	ppy:PPE_00887
ko:K00014	ppy:PPE_00893
ko:K03785	ppy:PPE_00897
ko:K00891	ppy:PPE_00898
ko:K01738	ppy:PPE_00904
ko:K07074	ppy:PPE_00908
ko:K03424	ppy:PPE_00911
ko:K02071	ppy:PPE_00915
ko:K02072	ppy:PPE_00916
ko:K14218	ppy:PPE_01603
ko:K10823	ppy:PPE_00265
ko:K01975	ppy:PPE_01115
ko:K01449	ppy:PPE_01116
ko:K00963	ppy:PPE_01123
ko:K00012	ppy:PPE_01134
ko:K02073	ppy:PPE_00917
ko:K01201	ppy:PPE_00923
ko:K02598	ppy:PPE_00932
ko:K05795	ppy:PPE_00940
ko:K05795	ppy:PPE_00941
ko:K02377	ppy:PPE_01143
ko:K01711	ppy:PPE_01144
ko:K05946	ppy:PPE_01149
ko:K00012	ppy:PPE_01150
ko:K06131	ppy:PPE_01159
ko:K01953	ppy:PPE_01163
ko:K10979	ppy:PPE_01169
ko:K06425	ppy:PPE_01171
ko:K01034	ppy:PPE_01173
ko:K01574	ppy:PPE_01174
ko:K06925	ppy:PPE_01177
ko:K03789	ppy:PPE_01179
ko:K06158	ppy:PPE_01181
ko:K14228	ppy:PPE_03066
ko:K03296	ppy:PPE_04435
ko:K03292	ppy:PPE_02048
ko:K03406	ppy:PPE_03338
ko:K07696	ppy:PPE_00371
ko:K07718	ppy:PPE_00380
ko:K03186	ppy:PPE_00383
ko:K01752	ppy:PPE_00389
ko:K03424	ppy:PPE_00420
ko:K06975	ppy:PPE_00336
ko:K08976	ppy:PPE_00337
ko:K00284	ppy:PPE_01118
ko:K02071	ppy:PPE_00439
ko:K02072	ppy:PPE_00440
ko:K03484	ppy:PPE_00282
ko:K01193	ppy:PPE_00283
ko:K03704	ppy:PPE_00290
ko:K06296	ppy:PPE_04565
ko:K01607	ppy:PPE_01622
ko:K02556	ppy:PPE_00102
ko:K13292	ppy:PPE_00164
ko:K06019	ppy:PPE_00165
ko:K02502	ppy:PPE_00173
ko:K00765	ppy:PPE_00174
ko:K00013	ppy:PPE_00175
ko:K01693	ppy:PPE_00176
ko:K02501	ppy:PPE_00177
ko:K01814	ppy:PPE_00178
ko:K02500	ppy:PPE_00179
ko:K11755	ppy:PPE_00180
ko:K04486	ppy:PPE_00181
ko:K00384	ppy:PPE_00183
ko:K06958	ppy:PPE_00186
ko:K11184	ppy:PPE_00189
ko:K09807	ppy:PPE_00190
ko:K01358	ppy:PPE_00192
ko:K05311	ppy:PPE_00194
ko:K00134	ppy:PPE_00195
ko:K00927	ppy:PPE_00196
ko:K09955	ppy:PPE_00219
ko:K09955	ppy:PPE_00225
ko:K07341	ppy:PPE_00227
ko:K00876	ppy:PPE_00239
ko:K06999	ppy:PPE_00245
ko:K07719	ppy:PPE_00256
ko:K07717	ppy:PPE_00257
ko:K11102	ppy:PPE_00258
ko:K08987	ppy:PPE_00260
ko:K02034	ppy:PPE_00263
ko:K02529	ppy:PPE_00304
ko:K06871	ppy:PPE_00315
ko:K04079	ppy:PPE_00321
ko:K01126	ppy:PPE_00323
ko:K00963	ppy:PPE_00325
ko:K13281	ppy:PPE_00718
ko:K01200	ppy:PPE_03536
ko:K01992	ppy:PPE_03796
ko:K01776	ppy:PPE_01673
ko:K01308	ppy:PPE_01674
ko:K07444	ppy:PPE_01680
ko:K01599	ppy:PPE_01683
ko:K01772	ppy:PPE_01684
ko:K00231	ppy:PPE_01685
ko:K01126	ppy:PPE_01687
ko:K07559	ppy:PPE_01504
ko:K07559	ppy:PPE_01505
ko:K06332	ppy:PPE_01553
ko:K06334	ppy:PPE_01555
ko:K02337	ppy:PPE_01571
ko:K01963	ppy:PPE_01574
ko:K01962	ppy:PPE_01575
ko:K00873	ppy:PPE_01576
ko:K02040	ppy:PPE_01578
ko:K02037	ppy:PPE_01579
ko:K02038	ppy:PPE_01580
ko:K02036	ppy:PPE_01581
ko:K07107	ppy:PPE_01583
ko:K07113	ppy:PPE_01584
ko:K01647	ppy:PPE_01586
ko:K00031	ppy:PPE_01587
ko:K00024	ppy:PPE_01588
ko:K07636	ppy:PPE_01591
ko:K02036	ppy:PPE_01594
ko:K02039	ppy:PPE_01595
ko:K02768	ppy:PPE_01619
ko:K02769	ppy:PPE_01619
ko:K02770	ppy:PPE_01619
ko:K04079	ppy:PPE_01637
ko:K13747	ppy:PPE_01640
ko:K03826	ppy:PPE_01644
ko:K07718	ppy:PPE_01651
ko:K08602	ppy:PPE_01694
ko:K03704	ppy:PPE_01697
ko:K00850	ppy:PPE_01700
ko:K03327	ppy:PPE_01702
ko:K05592	ppy:PPE_01706
ko:K11065	ppy:PPE_01710
ko:K06973	ppy:PPE_01713
ko:K01649	ppy:PPE_01719
ko:K02346	ppy:PPE_01720
ko:K08963	ppy:PPE_01537
ko:K00899	ppy:PPE_01538
ko:K04047	ppy:PPE_01539
ko:K09013	ppy:PPE_01540
ko:K09015	ppy:PPE_01541
ko:K11717	ppy:PPE_01542
ko:K09014	ppy:PPE_01544
ko:K07217	ppy:PPE_01546
ko:K01686	ppy:PPE_02410
ko:K00285	ppy:PPE_02423
ko:K00859	ppy:PPE_01599
ko:K08309	ppy:PPE_01600
ko:K07738	ppy:PPE_01602
ko:K02015	ppy:PPE_02478
ko:K02015	ppy:PPE_02479
ko:K02016	ppy:PPE_02480
ko:K10441	ppy:PPE_02485
ko:K06726	ppy:PPE_02486
ko:K02529	ppy:PPE_02488
ko:K07088	ppy:PPE_02492
ko:K03750	ppy:PPE_02499
ko:K03969	ppy:PPE_02506
ko:K02233	ppy:PPE_01291
ko:K02232	ppy:PPE_01292
ko:K06956	ppy:PPE_01295
ko:K09125	ppy:PPE_01296
ko:K03823	ppy:PPE_01299
ko:K00658	ppy:PPE_01350
ko:K00164	ppy:PPE_01349
ko:K01809	ppy:PPE_01353
ko:K07139	ppy:PPE_01355
ko:K03439	ppy:PPE_01357
ko:K02520	ppy:PPE_01361
ko:K02916	ppy:PPE_01362
ko:K02887	ppy:PPE_01363
ko:K07335	ppy:PPE_01364
ko:K01652	ppy:PPE_01370
ko:K01653	ppy:PPE_01371
ko:K00053	ppy:PPE_01372
ko:K01649	ppy:PPE_01373
ko:K01476	ppy:PPE_02368
ko:K01714	ppy:PPE_02370
ko:K02034	ppy:PPE_02432
ko:K03327	ppy:PPE_02434
ko:K03781	ppy:PPE_02435
ko:K00860	ppy:PPE_02436
ko:K01425	ppy:PPE_02442
ko:K04078	ppy:PPE_01187
ko:K04077	ppy:PPE_01188
ko:K05813	ppy:PPE_01200
ko:K00703	ppy:PPE_02515
ko:K01546	ppy:PPE_01240
ko:K01547	ppy:PPE_01241
ko:K01548	ppy:PPE_01242
ko:K03322	ppy:PPE_01243
ko:K07646	ppy:PPE_01254
ko:K02283	ppy:PPE_01257
ko:K12510	ppy:PPE_01258
ko:K12511	ppy:PPE_01259
ko:K02278	ppy:PPE_01264
ko:K07071	ppy:PPE_01266
ko:K01151	ppy:PPE_01267
ko:K01433	ppy:PPE_01268
ko:K01649	ppy:PPE_02450
ko:K00005	ppy:PPE_02457
ko:K01012	ppy:PPE_02458
ko:K06305	ppy:PPE_02460
ko:K03637	ppy:PPE_01183
ko:K03116	ppy:PPE_01185
ko:K03118	ppy:PPE_01186
ko:K00615	ppy:PPE_01269
ko:K09913	ppy:PPE_01270
ko:K01810	ppy:PPE_01272
ko:K02045	ppy:PPE_01276
ko:K06167	ppy:PPE_01277
ko:K03800	ppy:PPE_01281
ko:K02227	ppy:PPE_01283
ko:K01611	ppy:PPE_01306
ko:K06180	ppy:PPE_01308
ko:K03654	ppy:PPE_01309
ko:K06950	ppy:PPE_01324
ko:K00052	ppy:PPE_01374
ko:K01889	ppy:PPE_01383
ko:K01890	ppy:PPE_01384
ko:K08989	ppy:PPE_01388
ko:K08222	ppy:PPE_01390
ko:K06180	ppy:PPE_01399
ko:K00847	ppy:PPE_01402
ko:K01993	ppy:PPE_01202
ko:K02000	ppy:PPE_01205
ko:K01938	ppy:PPE_01216
ko:K01775	ppy:PPE_01219
ko:K07723	ppy:PPE_01220
ko:K03188	ppy:PPE_01236
ko:K00432	ppy:PPE_01238
ko:K02016	ppy:PPE_01286
ko:K02015	ppy:PPE_01287
ko:K02013	ppy:PPE_01288
ko:K00768	ppy:PPE_01289
ko:K02231	ppy:PPE_01290
ko:K12960	ppy:PPE_02707
ko:K14591	ppy:PPE_01437
ko:K10009	ppy:PPE_03491
ko:K06948	ppy:PPE_03243
ko:K06415	ppy:PPE_01444
ko:K14540	ppy:PPE_01864
ko:K11749	ppy:PPE_01924
ko:K10851	ppy:PPE_03384
ko:K14222	ppy:PPE_00366
ko:K02525	ppy:PPE_04634
ko:K06148	ppy:PPE_01168
ko:K01176	ppy:PPE_04705
ko:K00547	ppy:PPE_04768
ko:K02799	ppy:PPE_03542
ko:K02800	ppy:PPE_03542
ko:K02477	ppy:PPE_03531
ko:K00691	ppy:PPE_00249
ko:K14761	ppy:PPE_00003
ko:K16013	ppy:PPE_04083
ko:K16012	ppy:PPE_04082
ko:K03088	ppy:PPE_04357
ko:K03088	ppy:PPE_00312
ko:K00974	ppy:PPE_02715
ko:K08153	ppy:PPE_03971
ko:K01101	ppy:PPE_02560
ko:K03154	ppy:PPE_02541
ko:K03149	ppy:PPE_02540
ko:K01915	ppy:PPE_02598
ko:K08289	ppy:PPE_02648
ko:K01893	ppy:PPE_02698
ko:K00925	ppy:PPE_02699
ko:K00074	ppy:PPE_02700
ko:K06208	ppy:PPE_02742
ko:K01735	ppy:PPE_02743
ko:K01736	ppy:PPE_02744
ko:K00940	ppy:PPE_02746
ko:K03186	ppy:PPE_02749
ko:K03179	ppy:PPE_02750
ko:K03183	ppy:PPE_02751
ko:K00266	ppy:PPE_02526
ko:K00382	ppy:PPE_02529
ko:K00627	ppy:PPE_02530
ko:K00162	ppy:PPE_02531
ko:K00161	ppy:PPE_02532
ko:K02283	ppy:PPE_02549
ko:K06968	ppy:PPE_02555
ko:K02013	ppy:PPE_02556
ko:K01151	ppy:PPE_02558
ko:K08967	ppy:PPE_02563
ko:K01356	ppy:PPE_02568
ko:K03665	ppy:PPE_02601
ko:K06413	ppy:PPE_02602
ko:K03666	ppy:PPE_02606
ko:K00791	ppy:PPE_02607
ko:K03572	ppy:PPE_02609
ko:K03555	ppy:PPE_02610
ko:K06328	ppy:PPE_02612
ko:K01299	ppy:PPE_02619
ko:K01673	ppy:PPE_02620
ko:K06969	ppy:PPE_02635
ko:K06180	ppy:PPE_02636
ko:K02621	ppy:PPE_02640
ko:K02622	ppy:PPE_02641
ko:K10773	ppy:PPE_02653
ko:K01448	ppy:PPE_02655
ko:K01448	ppy:PPE_02656
ko:K01704	ppy:PPE_02657
ko:K01703	ppy:PPE_02658
ko:K05796	ppy:PPE_02670
ko:K05796	ppy:PPE_02672
ko:K01744	ppy:PPE_02673
ko:K03150	ppy:PPE_02675
ko:K01012	ppy:PPE_02676
ko:K00931	ppy:PPE_02686
ko:K00147	ppy:PPE_02687
ko:K00286	ppy:PPE_02688
ko:K08965	ppy:PPE_02689
ko:K08966	ppy:PPE_02690
ko:K01926	ppy:PPE_02708
ko:K01579	ppy:PPE_02711
ko:K01918	ppy:PPE_02712
ko:K00606	ppy:PPE_02713
ko:K03524	ppy:PPE_02714
ko:K01734	ppy:PPE_02718
ko:K00215	ppy:PPE_02719
ko:K03088	ppy:PPE_02731
ko:K00817	ppy:PPE_02735
ko:K01695	ppy:PPE_02736
ko:K01696	ppy:PPE_02737
ko:K01609	ppy:PPE_02739
ko:K00766	ppy:PPE_02740
ko:K01657	ppy:PPE_02741
ko:K06285	ppy:PPE_02754
ko:K02057	ppy:PPE_02757
ko:K06398	ppy:PPE_02762
ko:K00057	ppy:PPE_02766
ko:K08591	ppy:PPE_02767
ko:K03977	ppy:PPE_02768
ko:K02945	ppy:PPE_02770
ko:K00655	ppy:PPE_02771
ko:K00945	ppy:PPE_02772
ko:K07651	ppy:PPE_02782
ko:K07775	ppy:PPE_02783
ko:K06178	ppy:PPE_02784
ko:K06374	ppy:PPE_02785
ko:K06373	ppy:PPE_02786
ko:K00686	ppy:PPE_02788
ko:K03547	ppy:PPE_03195
ko:K06969	ppy:PPE_03198
ko:K09761	ppy:PPE_03203
ko:K02687	ppy:PPE_03205
ko:K03924	ppy:PPE_03247
ko:K06407	ppy:PPE_03248
ko:K06406	ppy:PPE_03249
ko:K06405	ppy:PPE_03250
ko:K07038	ppy:PPE_03252
ko:K11616	ppy:PPE_03210
ko:K11614	ppy:PPE_03212
ko:K03686	ppy:PPE_03213
ko:K04043	ppy:PPE_03215
ko:K03687	ppy:PPE_03216
ko:K03705	ppy:PPE_03217
ko:K03596	ppy:PPE_03220
ko:K06385	ppy:PPE_03222
ko:K06012	ppy:PPE_03223
ko:K02968	ppy:PPE_03225
ko:K02340	ppy:PPE_03226
ko:K03088	ppy:PPE_03228
ko:K02016	ppy:PPE_03229
ko:K02237	ppy:PPE_03232
ko:K02239	ppy:PPE_03233
ko:K01869	ppy:PPE_03234
ko:K00243	ppy:PPE_03237
ko:K09710	ppy:PPE_03238
ko:K00969	ppy:PPE_03240
ko:K07574	ppy:PPE_03241
ko:K00014	ppy:PPE_03242
ko:K07015	ppy:PPE_03244
ko:K03091	ppy:PPE_03262
ko:K01223	ppy:PPE_02237
ko:K07095	ppy:PPE_02238
ko:K10536	ppy:PPE_02239
ko:K12251	ppy:PPE_02240
ko:K02016	ppy:PPE_02245
ko:K02015	ppy:PPE_02246
ko:K06182	ppy:PPE_02252
ko:K00836	ppy:PPE_02294
ko:K02217	ppy:PPE_02303
ko:K01895	ppy:PPE_02308
ko:K03579	ppy:PPE_02013
ko:K00688	ppy:PPE_02063
ko:K00975	ppy:PPE_02062
ko:K01421	ppy:PPE_02065
ko:K00299	ppy:PPE_02074
ko:K02034	ppy:PPE_02086
ko:K02913	ppy:PPE_02122
ko:K02909	ppy:PPE_02124
ko:K07089	ppy:PPE_02127
ko:K02015	ppy:PPE_02129
ko:K02016	ppy:PPE_02130
ko:K09817	ppy:PPE_02131
ko:K09816	ppy:PPE_02132
ko:K04083	ppy:PPE_02148
ko:K00848	ppy:PPE_02153
ko:K00782	ppy:PPE_02157
ko:K07443	ppy:PPE_02163
ko:K02003	ppy:PPE_02167
ko:K04487	ppy:PPE_02187
