ko:K18917	cpg:Cp316_0652
ko:K04762	cpg:Cp316_1425
ko:K01754	cpg:Cp316_1428
ko:K02337	cpg:Cp316_1429
ko:K05786	cpg:Cp316_1430
ko:K06180	cpg:Cp316_1432
ko:K03101	cpg:Cp316_1433
ko:K02346	cpg:Cp316_1437
ko:K01870	cpg:Cp316_1438
ko:K02221	cpg:Cp316_1441
ko:K09772	cpg:Cp316_1442
ko:K05810	cpg:Cp316_1444
ko:K03531	cpg:Cp316_1445
ko:K03589	cpg:Cp316_1446
ko:K01924	cpg:Cp316_1447
ko:K03282	cpg:Cp316_0687
ko:K00963	cpg:Cp316_0690
ko:K03750	cpg:Cp316_0691
ko:K03790	cpg:Cp316_0692
ko:K15977	cpg:Cp316_0694
ko:K07056	cpg:Cp316_0700
ko:K01874	cpg:Cp316_0701
ko:K03424	cpg:Cp316_0702
ko:K00919	cpg:Cp316_0705
ko:K03811	cpg:Cp316_0710
ko:K00134	cpg:Cp316_0716
ko:K02837	cpg:Cp316_0720
ko:K01056	cpg:Cp316_0722
ko:K00459	cpg:Cp316_0723
ko:K01056	cpg:Cp316_0725
ko:K02897	cpg:Cp316_0726
ko:K00948	cpg:Cp316_0728
ko:K04042	cpg:Cp316_0729
ko:K03723	cpg:Cp316_0733
ko:K03758	cpg:Cp316_0735
ko:K01689	cpg:Cp316_0738
ko:K01880	cpg:Cp316_1557
ko:K00806	cpg:Cp316_1562
ko:K03584	cpg:Cp316_1563
ko:K00868	cpg:Cp316_1565
ko:K07042	cpg:Cp316_1567
ko:K09761	cpg:Cp316_1569
ko:K03686	cpg:Cp316_1570
ko:K03705	cpg:Cp316_1571
ko:K00705	cpg:Cp316_1575
ko:K01284	cpg:Cp316_1577
ko:K03311	cpg:Cp316_1584
ko:K07088	cpg:Cp316_1589
ko:K02034	cpg:Cp316_1592
ko:K06997	cpg:Cp316_1596
ko:K07112	cpg:Cp316_1597
ko:K03596	cpg:Cp316_1605
ko:K02968	cpg:Cp316_1607
ko:K00817	cpg:Cp316_0134
ko:K14445	cpg:Cp316_0135
ko:K03480	cpg:Cp316_0136
ko:K06996	cpg:Cp316_0139
ko:K04561	cpg:Cp316_0140
ko:K00375	cpg:Cp316_0142
ko:K06215	cpg:Cp316_0143
ko:K08681	cpg:Cp316_0144
ko:K00773	cpg:Cp316_0149
ko:K00098	cpg:Cp316_0153
ko:K02313	cpg:Cp316_0001
ko:K02338	cpg:Cp316_0003
ko:K03629	cpg:Cp316_0004
ko:K02470	cpg:Cp316_0006
ko:K02469	cpg:Cp316_0011
ko:K00782	cpg:Cp316_0855
ko:K03303	cpg:Cp316_0858
ko:K01887	cpg:Cp316_0859
ko:K01586	cpg:Cp316_0860
ko:K00003	cpg:Cp316_0861
ko:K00872	cpg:Cp316_0862
ko:K03628	cpg:Cp316_0865
ko:K02835	cpg:Cp316_0866
ko:K02493	cpg:Cp316_0867
ko:K02108	cpg:Cp316_0873
ko:K02110	cpg:Cp316_0874
ko:K02109	cpg:Cp316_0875
ko:K02113	cpg:Cp316_0876
ko:K02111	cpg:Cp316_0877
ko:K02115	cpg:Cp316_0878
ko:K02112	cpg:Cp316_0879
ko:K02114	cpg:Cp316_0880
ko:K05606	cpg:Cp316_0884
ko:K05838	cpg:Cp316_0886
ko:K02013	cpg:Cp316_0889
ko:K03521	cpg:Cp316_0892
ko:K03522	cpg:Cp316_0893
ko:K04487	cpg:Cp316_0894
ko:K00566	cpg:Cp316_0896
ko:K01972	cpg:Cp316_0899
ko:K02435	cpg:Cp316_0901
ko:K02015	cpg:Cp316_0907
ko:K02013	cpg:Cp316_0908
ko:K02217	cpg:Cp316_1725
ko:K02919	cpg:Cp316_1729
ko:K06199	cpg:Cp316_1742
ko:K06199	cpg:Cp316_1743
ko:K02003	cpg:Cp316_1745
ko:K00790	cpg:Cp316_1747
ko:K01738	cpg:Cp316_1751
ko:K00640	cpg:Cp316_1752
ko:K06975	cpg:Cp316_1753
ko:K00005	cpg:Cp316_1754
ko:K00425	cpg:Cp316_1755
ko:K00426	cpg:Cp316_1756
ko:K02039	cpg:Cp316_1761
ko:K02036	cpg:Cp316_1763
ko:K02038	cpg:Cp316_1764
ko:K09747	cpg:Cp316_0159
ko:K06187	cpg:Cp316_0160
ko:K01649	cpg:Cp316_0172
ko:K05346	cpg:Cp316_0173
ko:K01935	cpg:Cp316_1018
ko:K03305	cpg:Cp316_1019
ko:K00833	cpg:Cp316_1020
ko:K01935	cpg:Cp316_1021
ko:K06024	cpg:Cp316_1022
ko:K06178	cpg:Cp316_1023
ko:K00945	cpg:Cp316_1024
ko:K03977	cpg:Cp316_1025
ko:K02016	cpg:Cp316_1030
ko:K02015	cpg:Cp316_1032
ko:K02013	cpg:Cp316_1033
ko:K09858	cpg:Cp316_1036
ko:K03070	cpg:Cp316_1039
ko:K08999	cpg:Cp316_1042
ko:K03885	cpg:Cp316_1053
ko:K00574	cpg:Cp316_1054
ko:K03820	cpg:Cp316_1061
ko:K07113	cpg:Cp316_1062
ko:K02230	cpg:Cp316_1063
ko:K02229	cpg:Cp316_1064
ko:K06042	cpg:Cp316_1065
ko:K05895	cpg:Cp316_1067
ko:K05936	cpg:Cp316_1068
ko:K05571	cpg:Cp316_1874
ko:K06048	cpg:Cp316_1876
ko:K01462	cpg:Cp316_1879
ko:K01142	cpg:Cp316_1881
ko:K06131	cpg:Cp316_1882
ko:K00925	cpg:Cp316_1889
ko:K13788	cpg:Cp316_1890
ko:K00528	cpg:Cp316_1891
ko:K08289	cpg:Cp316_1894
ko:K07101	cpg:Cp316_1895
ko:K07399	cpg:Cp316_1903
ko:K03385	cpg:Cp316_1905
ko:K15876	cpg:Cp316_1906
ko:K01939	cpg:Cp316_1907
ko:K01624	cpg:Cp316_1919
ko:K00762	cpg:Cp316_1922
ko:K00111	cpg:Cp316_1925
ko:K02343	cpg:Cp316_0158
ko:K00928	cpg:Cp316_0182
ko:K00133	cpg:Cp316_0185
ko:K03088	cpg:Cp316_0186
ko:K03781	cpg:Cp316_0187
ko:K02011	cpg:Cp316_0194
ko:K02012	cpg:Cp316_0195
ko:K02445	cpg:Cp316_0196
ko:K05571	cpg:Cp316_0199
ko:K05569	cpg:Cp316_0201
ko:K05567	cpg:Cp316_0203
ko:K09117	cpg:Cp316_0208
ko:K10773	cpg:Cp316_0216
ko:K02283	cpg:Cp316_0225
ko:K12510	cpg:Cp316_0226
ko:K03704	cpg:Cp316_0232
ko:K03168	cpg:Cp316_0233
ko:K03118	cpg:Cp316_1073
ko:K03116	cpg:Cp316_1074
ko:K01938	cpg:Cp316_1085
ko:K01744	cpg:Cp316_1086
ko:K07791	cpg:Cp316_1088
ko:K00765	cpg:Cp316_1090
ko:K06153	cpg:Cp316_1096
ko:K05881	cpg:Cp316_1103
ko:K05879	cpg:Cp316_1104
ko:K05878	cpg:Cp316_1105
ko:K01772	cpg:Cp316_1119
ko:K01681	cpg:Cp316_1122
ko:K01951	cpg:Cp316_1124
ko:K07166	cpg:Cp316_1125
ko:K03695	cpg:Cp316_1932
ko:K03312	cpg:Cp316_1936
ko:K02003	cpg:Cp316_1942
ko:K03686	cpg:Cp316_1952
ko:K03687	cpg:Cp316_1953
ko:K04043	cpg:Cp316_1954
ko:K03306	cpg:Cp316_1963
ko:K02013	cpg:Cp316_1969
ko:K02015	cpg:Cp316_1970
ko:K02016	cpg:Cp316_1971
ko:K03190	cpg:Cp316_1973
ko:K03189	cpg:Cp316_1974
ko:K03188	cpg:Cp316_1975
ko:K03187	cpg:Cp316_1976
ko:K01428	cpg:Cp316_1977
ko:K01429	cpg:Cp316_1978
ko:K01430	cpg:Cp316_1979
ko:K14260	cpg:Cp316_1982
ko:K04567	cpg:Cp316_1984
ko:K02341	cpg:Cp316_0236
ko:K00973	cpg:Cp316_0241
ko:K00382	cpg:Cp316_0249
ko:K07110	cpg:Cp316_0250
ko:K00239	cpg:Cp316_0252
ko:K00240	cpg:Cp316_0253
ko:K04069	cpg:Cp316_0259
ko:K00656	cpg:Cp316_0261
ko:K00075	cpg:Cp316_0264
ko:K00286	cpg:Cp316_0273
ko:K02492	cpg:Cp316_0281
ko:K01749	cpg:Cp316_0282
ko:K13542	cpg:Cp316_0283
ko:K01698	cpg:Cp316_0284
ko:K01599	cpg:Cp316_0287
ko:K00231	cpg:Cp316_0288
ko:K01845	cpg:Cp316_0290
ko:K09157	cpg:Cp316_1126
ko:K11717	cpg:Cp316_1134
ko:K09013	cpg:Cp316_1135
ko:K09015	cpg:Cp316_1137
ko:K09014	cpg:Cp316_1138
ko:K02259	cpg:Cp316_1143
ko:K00615	cpg:Cp316_1145
ko:K00036	cpg:Cp316_1147
ko:K01057	cpg:Cp316_1149
ko:K03075	cpg:Cp316_1150
ko:K01595	cpg:Cp316_1151
ko:K01803	cpg:Cp316_1152
ko:K00927	cpg:Cp316_1153
ko:K00134	cpg:Cp316_1154
ko:K06958	cpg:Cp316_1157
ko:K03703	cpg:Cp316_1158
ko:K00794	cpg:Cp316_1160
ko:K14652	cpg:Cp316_1161
ko:K00793	cpg:Cp316_1162
ko:K11752	cpg:Cp316_1163
ko:K01783	cpg:Cp316_1164
ko:K03500	cpg:Cp316_1165
ko:K00604	cpg:Cp316_1166
ko:K01462	cpg:Cp316_1167
ko:K04066	cpg:Cp316_1168
ko:K00789	cpg:Cp316_1169
ko:K13038	cpg:Cp316_1170
ko:K03060	cpg:Cp316_1171
ko:K00942	cpg:Cp316_1172
ko:K01591	cpg:Cp316_1175
ko:K01955	cpg:Cp316_1176
ko:K01956	cpg:Cp316_1177
ko:K01465	cpg:Cp316_1178
ko:K00609	cpg:Cp316_1179
ko:K00012	cpg:Cp316_1988
ko:K01494	cpg:Cp316_1989
ko:K01207	cpg:Cp316_1992
ko:K03439	cpg:Cp316_2001
ko:K01126	cpg:Cp316_2024
ko:K02445	cpg:Cp316_2025
ko:K02013	cpg:Cp316_2027
ko:K02015	cpg:Cp316_2028
ko:K02016	cpg:Cp316_2029
ko:K01875	cpg:Cp316_2034
ko:K03710	cpg:Cp316_2035
ko:K01265	cpg:Cp316_0403
ko:K02518	cpg:Cp316_0406
ko:K02952	cpg:Cp316_0407
ko:K02948	cpg:Cp316_0408
ko:K02986	cpg:Cp316_0409
ko:K03040	cpg:Cp316_0410
ko:K02879	cpg:Cp316_0411
ko:K06173	cpg:Cp316_0412
ko:K03466	cpg:Cp316_0417
ko:K02871	cpg:Cp316_0421
ko:K02996	cpg:Cp316_0422
ko:K03431	cpg:Cp316_0424
ko:K01775	cpg:Cp316_0429
ko:K06925	cpg:Cp316_0430
ko:K07085	cpg:Cp316_0433
ko:K03789	cpg:Cp316_0436
ko:K04078	cpg:Cp316_0438
ko:K04077	cpg:Cp316_0439
ko:K03088	cpg:Cp316_0443
ko:K01951	cpg:Cp316_0449
ko:K02072	cpg:Cp316_0456
ko:K02071	cpg:Cp316_0457
ko:K02073	cpg:Cp316_0458
ko:K02073	cpg:Cp316_0460
ko:K00299	cpg:Cp316_1289
ko:K03665	cpg:Cp316_1291
ko:K01778	cpg:Cp316_1294
ko:K00791	cpg:Cp316_1295
ko:K06168	cpg:Cp316_1300
ko:K03565	cpg:Cp316_1301
ko:K03523	cpg:Cp316_1304
ko:K00995	cpg:Cp316_1310
ko:K03466	cpg:Cp316_1313
ko:K01714	cpg:Cp316_1316
ko:K00215	cpg:Cp316_1318
ko:K00962	cpg:Cp316_1319
ko:K02956	cpg:Cp316_1320
ko:K11753	cpg:Cp316_1322
ko:K02834	cpg:Cp316_1328
ko:K02519	cpg:Cp316_1329
ko:K07742	cpg:Cp316_1330
ko:K02600	cpg:Cp316_1331
ko:K09748	cpg:Cp316_1332
ko:K01881	cpg:Cp316_1334
ko:K09861	cpg:Cp316_1335
ko:K13498	cpg:Cp316_2148
ko:K01696	cpg:Cp316_2150
ko:K01695	cpg:Cp316_2151
ko:K14347	cpg:Cp316_2153
ko:K07735	cpg:Cp316_2157
ko:K03980	cpg:Cp316_2161
ko:K03088	cpg:Cp316_2162
ko:K00384	cpg:Cp316_2163
ko:K03671	cpg:Cp316_2164
ko:K01448	cpg:Cp316_2165
ko:K03501	cpg:Cp316_2169
ko:K03217	cpg:Cp316_2170
ko:K08998	cpg:Cp316_2171
ko:K03536	cpg:Cp316_2172
ko:K02914	cpg:Cp316_2173
ko:K11738	cpg:Cp316_0583
ko:K02836	cpg:Cp316_0591
ko:K09812	cpg:Cp316_0595
ko:K09811	cpg:Cp316_0596
ko:K03664	cpg:Cp316_0597
ko:K01673	cpg:Cp316_0601
ko:K02016	cpg:Cp316_0603
ko:K02015	cpg:Cp316_0604
ko:K02015	cpg:Cp316_0605
ko:K02013	cpg:Cp316_0606
ko:K03704	cpg:Cp316_0614
ko:K06901	cpg:Cp316_0619
ko:K00831	cpg:Cp316_0623
ko:K01647	cpg:Cp316_0625
ko:K02563	cpg:Cp316_1449
ko:K03588	cpg:Cp316_1450
ko:K01925	cpg:Cp316_1451
ko:K01000	cpg:Cp316_1452
ko:K01929	cpg:Cp316_1453
ko:K01928	cpg:Cp316_1454
ko:K03587	cpg:Cp316_1455
ko:K03438	cpg:Cp316_1457
ko:K03925	cpg:Cp316_1458
ko:K00297	cpg:Cp316_1464
ko:K01626	cpg:Cp316_1469
ko:K00655	cpg:Cp316_1472
ko:K02276	cpg:Cp316_1483
ko:K02275	cpg:Cp316_1485
ko:K01953	cpg:Cp316_1487
ko:K02231	cpg:Cp316_1491
ko:K00768	cpg:Cp316_1492
ko:K02233	cpg:Cp316_1493
ko:K00826	cpg:Cp316_1494
ko:K01255	cpg:Cp316_1495
ko:K00658	cpg:Cp316_1497
ko:K00281	cpg:Cp316_1498
ko:K00605	cpg:Cp316_1499
ko:K02437	cpg:Cp316_1500
ko:K01524	cpg:Cp316_0742
ko:K03624	cpg:Cp316_0747
ko:K00600	cpg:Cp316_0754
ko:K03823	cpg:Cp316_0760
ko:K03602	cpg:Cp316_0767
ko:K03601	cpg:Cp316_0768
ko:K03527	cpg:Cp316_0769
ko:K06942	cpg:Cp316_0772
ko:K06193	cpg:Cp316_0775
ko:K09781	cpg:Cp316_0779
ko:K00077	cpg:Cp316_0780
ko:K06207	cpg:Cp316_0795
ko:K02340	cpg:Cp316_1610
ko:K02237	cpg:Cp316_1612
ko:K09710	cpg:Cp316_1615
ko:K00969	cpg:Cp316_1616
ko:K00147	cpg:Cp316_1617
ko:K07085	cpg:Cp316_1620
ko:K00931	cpg:Cp316_1621
ko:K03979	cpg:Cp316_1622
ko:K02899	cpg:Cp316_1623
ko:K02888	cpg:Cp316_1624
ko:K00940	cpg:Cp316_1628
ko:K11754	cpg:Cp316_1631
ko:K01873	cpg:Cp316_1632
ko:K00024	cpg:Cp316_1633
ko:K03544	cpg:Cp316_1636
ko:K13950	cpg:Cp316_1637
ko:K01358	cpg:Cp316_1638
ko:K01358	cpg:Cp316_1639
ko:K03545	cpg:Cp316_1640
ko:K06911	cpg:Cp316_1644
ko:K01808	cpg:Cp316_1645
ko:K01256	cpg:Cp316_1648
ko:K06886	cpg:Cp316_1651
ko:K07107	cpg:Cp316_1654
ko:K09136	cpg:Cp316_1660
ko:K02057	cpg:Cp316_0018
ko:K02013	cpg:Cp316_0033
ko:K02015	cpg:Cp316_0034
ko:K02015	cpg:Cp316_0035
ko:K02016	cpg:Cp316_0036
ko:K02016	cpg:Cp316_0048
ko:K06213	cpg:Cp316_0053
ko:K05343	cpg:Cp316_0054
ko:K03088	cpg:Cp316_0060
ko:K05846	cpg:Cp316_0065
ko:K05846	cpg:Cp316_0066
ko:K05847	cpg:Cp316_0067
ko:K02016	cpg:Cp316_0909
ko:K02434	cpg:Cp316_0912
ko:K06895	cpg:Cp316_0914
ko:K05596	cpg:Cp316_0915
ko:K01687	cpg:Cp316_0918
ko:K01652	cpg:Cp316_0922
ko:K01653	cpg:Cp316_0923
ko:K00053	cpg:Cp316_0924
ko:K00052	cpg:Cp316_0929
ko:K02361	cpg:Cp316_0934
ko:K01012	cpg:Cp316_0939
ko:K01703	cpg:Cp316_0942
ko:K01704	cpg:Cp316_0943
ko:K00057	cpg:Cp316_0946
ko:K01921	cpg:Cp316_0947
ko:K00946	cpg:Cp316_0949
ko:K03648	cpg:Cp316_0950
ko:K03655	cpg:Cp316_0952
ko:K00954	cpg:Cp316_0955
ko:K07090	cpg:Cp316_0956
