ko:K02470	bapf:BUMPF009_CDS00576
ko:K01920	bapf:BUMPF009_CDS00056
ko:K07447	bapf:BUMPF009_CDS00055
ko:K03439	bapf:BUMPF009_CDS00052
ko:K03575	bapf:BUMPF009_CDS00051
ko:K01776	bapf:BUMPF009_CDS00049
ko:K01141	bapf:BUMPF009_CDS00048
ko:K09802	bapf:BUMPF009_CDS00047
ko:K00762	bapf:BUMPF009_CDS00046
ko:K01082	bapf:BUMPF009_CDS00044
ko:K02939	bapf:BUMPF009_CDS00043
ko:K02963	bapf:BUMPF009_CDS00042
ko:K02990	bapf:BUMPF009_CDS00041
ko:K12573	bapf:BUMPF009_CDS00040
ko:K01939	bapf:BUMPF009_CDS00039
ko:K04087	bapf:BUMPF009_CDS00038
ko:K04088	bapf:BUMPF009_CDS00037
ko:K00791	bapf:BUMPF009_CDS00036
ko:K03572	bapf:BUMPF009_CDS00035
ko:K04077	bapf:BUMPF009_CDS00568
ko:K00602	bapf:BUMPF009_CDS00555
ko:K02317	bapf:BUMPF009_CDS00564
ko:K02935	bapf:BUMPF009_CDS00551
ko:K00145	bapf:BUMPF009_CDS00542
ko:K00974	bapf:BUMPF009_CDS00529
ko:K02410	bapf:BUMPF009_CDS00519
ko:K09800	bapf:BUMPF009_CDS00507
ko:K00013	bapf:BUMPF009_CDS00495
ko:K01866	bapf:BUMPF009_CDS00475
ko:K04764	bapf:BUMPF009_CDS00465
ko:K08316	bapf:BUMPF009_CDS00563
ko:K02864	bapf:BUMPF009_CDS00550
ko:K00930	bapf:BUMPF009_CDS00541
ko:K06153	bapf:BUMPF009_CDS00528
ko:K02411	bapf:BUMPF009_CDS00518
ko:K01507	bapf:BUMPF009_CDS00506
ko:K00817	bapf:BUMPF009_CDS00494
ko:K00793	bapf:BUMPF009_CDS00484
ko:K05997	bapf:BUMPF009_CDS00474
ko:K07568	bapf:BUMPF009_CDS00464
ko:K03771	bapf:BUMPF009_CDS00455
ko:K01870	bapf:BUMPF009_CDS00446
ko:K02914	bapf:BUMPF009_CDS00573
ko:K03650	bapf:BUMPF009_CDS00570
ko:K03536	bapf:BUMPF009_CDS00572
ko:K03217	bapf:BUMPF009_CDS00571
ko:K04078	bapf:BUMPF009_CDS00569
ko:K01265	bapf:BUMPF009_CDS00364
ko:K02967	bapf:BUMPF009_CDS00363
ko:K02357	bapf:BUMPF009_CDS00362
ko:K09903	bapf:BUMPF009_CDS00361
ko:K02838	bapf:BUMPF009_CDS00360
ko:K00099	bapf:BUMPF009_CDS00359
ko:K00806	bapf:BUMPF009_CDS00358
ko:K07277	bapf:BUMPF009_CDS00357
ko:K02372	bapf:BUMPF009_CDS00356
ko:K02337	bapf:BUMPF009_CDS00355
ko:K01881	bapf:BUMPF009_CDS00354
ko:K02401	bapf:BUMPF009_CDS00353
ko:K02400	bapf:BUMPF009_CDS00352
ko:K01887	bapf:BUMPF009_CDS00351
ko:K01069	bapf:BUMPF009_CDS00350
ko:K02342	bapf:BUMPF009_CDS00347
ko:K03271	bapf:BUMPF009_CDS00346
ko:K00769	bapf:BUMPF009_CDS00345
ko:K03687	bapf:BUMPF009_CDS00344
ko:K09801	bapf:BUMPF009_CDS00343
ko:K03664	bapf:BUMPF009_CDS00342
ko:K11991	bapf:BUMPF009_CDS00341
ko:K00997	bapf:BUMPF009_CDS00340
ko:K03685	bapf:BUMPF009_CDS00338
ko:K03100	bapf:BUMPF009_CDS00337
ko:K03596	bapf:BUMPF009_CDS00336
ko:K00566	bapf:BUMPF009_CDS00335
ko:K07153	bapf:BUMPF009_CDS00334
ko:K01756	bapf:BUMPF009_CDS00333
ko:K00208	bapf:BUMPF009_CDS00331
ko:K01147	bapf:BUMPF009_CDS00330
ko:K03801	bapf:BUMPF009_CDS00328
ko:K03644	bapf:BUMPF009_CDS00327
ko:K01591	bapf:BUMPF009_CDS00326
ko:K01497	bapf:BUMPF009_CDS00325
ko:K06131	bapf:BUMPF009_CDS00324
ko:K10806	bapf:BUMPF009_CDS00323
ko:K06190	bapf:BUMPF009_CDS00322
ko:K01695	bapf:BUMPF009_CDS00320
ko:K01696	bapf:BUMPF009_CDS00319
ko:K13498	bapf:BUMPF009_CDS00318
ko:K00766	bapf:BUMPF009_CDS00317
ko:K06178	bapf:BUMPF009_CDS00315
ko:K04774	bapf:BUMPF009_CDS00314
ko:K03168	bapf:BUMPF009_CDS00313
ko:K01092	bapf:BUMPF009_CDS00312
ko:K06941	bapf:BUMPF009_CDS00311
ko:K00600	bapf:BUMPF009_CDS00308
ko:K01935	bapf:BUMPF009_CDS00307
ko:K01012	bapf:BUMPF009_CDS00306
ko:K00833	bapf:BUMPF009_CDS00305
ko:K07404	bapf:BUMPF009_CDS00304
ko:K03723	bapf:BUMPF009_CDS00303
ko:K09808	bapf:BUMPF009_CDS00302
ko:K09810	bapf:BUMPF009_CDS00301
ko:K09808	bapf:BUMPF009_CDS00300
ko:K00134	bapf:BUMPF009_CDS00299
ko:K06879	bapf:BUMPF009_CDS00298
ko:K03839	bapf:BUMPF009_CDS00297
ko:K01669	bapf:BUMPF009_CDS00296
ko:K00164	bapf:BUMPF009_CDS00294
ko:K00658	bapf:BUMPF009_CDS00293
ko:K01834	bapf:BUMPF009_CDS00292
ko:K00850	bapf:BUMPF009_CDS00291
ko:K02440	bapf:BUMPF009_CDS00290
ko:K01803	bapf:BUMPF009_CDS00289
ko:K05788	bapf:BUMPF009_CDS00288
ko:K02945	bapf:BUMPF009_CDS00287
ko:K00800	bapf:BUMPF009_CDS00284
ko:K00831	bapf:BUMPF009_CDS00283
ko:K01875	bapf:BUMPF009_CDS00282
ko:K00384	bapf:BUMPF009_CDS00281
ko:K02518	bapf:BUMPF009_CDS00280
ko:K01876	bapf:BUMPF009_CDS00279
ko:K09816	bapf:BUMPF009_CDS00278
ko:K09817	bapf:BUMPF009_CDS00277
ko:K00873	bapf:BUMPF009_CDS00273
ko:K00036	bapf:BUMPF009_CDS00272
ko:K03799	bapf:BUMPF009_CDS00271
ko:K03608	bapf:BUMPF009_CDS00268
ko:K03609	bapf:BUMPF009_CDS00267
ko:K03610	bapf:BUMPF009_CDS00266
ko:K00564	bapf:BUMPF009_CDS00265
ko:K03286	bapf:BUMPF009_CDS00264
ko:K03980	bapf:BUMPF009_CDS00263
ko:K01465	bapf:BUMPF009_CDS00262
ko:K02399	bapf:BUMPF009_CDS00261
ko:K02386	bapf:BUMPF009_CDS00260
ko:K02387	bapf:BUMPF009_CDS00259
ko:K02388	bapf:BUMPF009_CDS00258
ko:K02389	bapf:BUMPF009_CDS00257
ko:K02390	bapf:BUMPF009_CDS00256
ko:K02391	bapf:BUMPF009_CDS00255
ko:K02392	bapf:BUMPF009_CDS00254
ko:K02393	bapf:BUMPF009_CDS00253
ko:K01872	bapf:BUMPF009_CDS00194
ko:K03563	bapf:BUMPF009_CDS00193
ko:K01919	bapf:BUMPF009_CDS00192
ko:K00789	bapf:BUMPF009_CDS00191
ko:K09761	bapf:BUMPF009_CDS00189
ko:K01934	bapf:BUMPF009_CDS00188
ko:K01807	bapf:BUMPF009_CDS00187
ko:K01886	bapf:BUMPF009_CDS00186
ko:K01937	bapf:BUMPF009_CDS00185
ko:K01689	bapf:BUMPF009_CDS00184
ko:K10026	bapf:BUMPF009_CDS00183
ko:K01737	bapf:BUMPF009_CDS00182
ko:K06194	bapf:BUMPF009_CDS00181
ko:K01770	bapf:BUMPF009_CDS00180
ko:K00991	bapf:BUMPF009_CDS00179
ko:K05589	bapf:BUMPF009_CDS00178
ko:K00860	bapf:BUMPF009_CDS00177
ko:K00956	bapf:BUMPF009_CDS00176
ko:K00957	bapf:BUMPF009_CDS00175
ko:K02302	bapf:BUMPF009_CDS00174
ko:K00390	bapf:BUMPF009_CDS00173
ko:K00381	bapf:BUMPF009_CDS00172
ko:K00380	bapf:BUMPF009_CDS00171
ko:K03555	bapf:BUMPF009_CDS00170
ko:K03673	bapf:BUMPF009_CDS00169
ko:K03978	bapf:BUMPF009_CDS00167
ko:K06207	bapf:BUMPF009_CDS00166
ko:K00942	bapf:BUMPF009_CDS00165
ko:K06980	bapf:BUMPF009_CDS00164
ko:K02836	bapf:BUMPF009_CDS00163
ko:K04567	bapf:BUMPF009_CDS00162
ko:K01586	bapf:BUMPF009_CDS00161
ko:K13292	bapf:BUMPF009_CDS00160
ko:K06168	bapf:BUMPF009_CDS00158
ko:K07042	bapf:BUMPF009_CDS00157
ko:K06189	bapf:BUMPF009_CDS00156
ko:K01869	bapf:BUMPF009_CDS00155
ko:K02340	bapf:BUMPF009_CDS00154
ko:K04085	bapf:BUMPF009_CDS00152
ko:K00133	bapf:BUMPF009_CDS00151
ko:K00927	bapf:BUMPF009_CDS00149
ko:K01624	bapf:BUMPF009_CDS00148
ko:K03442	bapf:BUMPF009_CDS00147
ko:K03583	bapf:BUMPF009_CDS00146
ko:K03582	bapf:BUMPF009_CDS00145
ko:K03581	bapf:BUMPF009_CDS00144
ko:K14682	bapf:BUMPF009_CDS00143
ko:K00009	bapf:BUMPF009_CDS00034
ko:K02798	bapf:BUMPF009_CDS00033
ko:K02799	bapf:BUMPF009_CDS00033
ko:K02800	bapf:BUMPF009_CDS00033
ko:K01810	bapf:BUMPF009_CDS00032
ko:K13288	bapf:BUMPF009_CDS00031
ko:K01448	bapf:BUMPF009_CDS00030
ko:K02909	bapf:BUMPF009_CDS00029
ko:K01419	bapf:BUMPF009_CDS00027
ko:K03667	bapf:BUMPF009_CDS00026
ko:K04080	bapf:BUMPF009_CDS00025
ko:K00528	bapf:BUMPF009_CDS00024
ko:K04568	bapf:BUMPF009_CDS00023
ko:K00954	bapf:BUMPF009_CDS00022
ko:K15984	bapf:BUMPF009_CDS00019
ko:K16322	bapf:BUMPF009_CDS00018
ko:K08224	bapf:BUMPF009_CDS00017
ko:K01778	bapf:BUMPF009_CDS00016
ko:K06202	bapf:BUMPF009_CDS00015
ko:K01749	bapf:BUMPF009_CDS00014
ko:K01719	bapf:BUMPF009_CDS00013
ko:K03628	bapf:BUMPF009_CDS00012
ko:K03671	bapf:BUMPF009_CDS00011
ko:K03656	bapf:BUMPF009_CDS00010
ko:K00053	bapf:BUMPF009_CDS00009
ko:K01687	bapf:BUMPF009_CDS00008
ko:K04487	bapf:BUMPF009_CDS00007
ko:K04488	bapf:BUMPF009_CDS00006
ko:K04082	bapf:BUMPF009_CDS00005
ko:K04044	bapf:BUMPF009_CDS00004
ko:K04755	bapf:BUMPF009_CDS00003
ko:K03977	bapf:BUMPF009_CDS00002
ko:K01649	bapf:BUMPF009pLeu00004
ko:K00052	bapf:BUMPF009pLeu00005
ko:K01703	bapf:BUMPF009pLeu00006
ko:K01704	bapf:BUMPF009pLeu00007
ko:K01892	bapf:BUMPF009_CDS00309
ko:K02394	bapf:BUMPF009_CDS00252
ko:K02395	bapf:BUMPF009_CDS00251
ko:K02396	bapf:BUMPF009_CDS00250
ko:K08300	bapf:BUMPF009_CDS00249
ko:K06179	bapf:BUMPF009_CDS00248
ko:K02911	bapf:BUMPF009_CDS00247
ko:K00645	bapf:BUMPF009_CDS00246
ko:K00059	bapf:BUMPF009_CDS00245
ko:K02078	bapf:BUMPF009_CDS00244
ko:K00943	bapf:BUMPF009_CDS00243
ko:K02341	bapf:BUMPF009_CDS00242
ko:K03424	bapf:BUMPF009_CDS00241
ko:K02778	bapf:BUMPF009_CDS00240
ko:K02779	bapf:BUMPF009_CDS00240
ko:K02503	bapf:BUMPF009_CDS00239
ko:K07337	bapf:BUMPF009_CDS00238
ko:K09476	bapf:BUMPF009_CDS00237
ko:K01893	bapf:BUMPF009_CDS00236
ko:K00763	bapf:BUMPF009_CDS00235
ko:K00254	bapf:BUMPF009_CDS00234
ko:K12297	bapf:BUMPF009_CDS00233
ko:K15738	bapf:BUMPF009_CDS00232
ko:K07146	bapf:BUMPF009_CDS00231
ko:K01873	bapf:BUMPF009_CDS00230
ko:K01255	bapf:BUMPF009_CDS00229
ko:K00611	bapf:BUMPF009_CDS00228
ko:K00609	bapf:BUMPF009_CDS00227
ko:K00610	bapf:BUMPF009_CDS00226
ko:K09022	bapf:BUMPF009_CDS00225
ko:K05592	bapf:BUMPF009_CDS00224
ko:K00962	bapf:BUMPF009_CDS00223
ko:K02956	bapf:BUMPF009_CDS00222
ko:K03177	bapf:BUMPF009_CDS00221
ko:K02834	bapf:BUMPF009_CDS00220
ko:K02519	bapf:BUMPF009_CDS00219
ko:K02600	bapf:BUMPF009_CDS00218
ko:K03075	bapf:BUMPF009_CDS00217
ko:K03431	bapf:BUMPF009_CDS00216
ko:K03798	bapf:BUMPF009_CDS00215
ko:K02427	bapf:BUMPF009_CDS00214
ko:K03624	bapf:BUMPF009_CDS00213
ko:K00790	bapf:BUMPF009_CDS00211
ko:K02888	bapf:BUMPF009_CDS00210
ko:K02899	bapf:BUMPF009_CDS00209
ko:K03979	bapf:BUMPF009_CDS00208
ko:K05787	bapf:BUMPF009_CDS00554
ko:K00075	bapf:BUMPF009_CDS00545
ko:K01409	bapf:BUMPF009_CDS00532
ko:K02356	bapf:BUMPF009_CDS00566
ko:K03046	bapf:BUMPF009_CDS00553
ko:K00297	bapf:BUMPF009_CDS00544
ko:K02858	bapf:BUMPF009_CDS00531
ko:K02408	bapf:BUMPF009_CDS00521
ko:K02913	bapf:BUMPF009_CDS00509
ko:K00337	bapf:BUMPF009_CDS00435
ko:K00338	bapf:BUMPF009_CDS00434
ko:K00339	bapf:BUMPF009_CDS00433
ko:K00340	bapf:BUMPF009_CDS00432
ko:K00341	bapf:BUMPF009_CDS00431
ko:K00342	bapf:BUMPF009_CDS00430
ko:K00343	bapf:BUMPF009_CDS00429
ko:K11754	bapf:BUMPF009_CDS00427
ko:K00948	bapf:BUMPF009_CDS00426
ko:K00919	bapf:BUMPF009_CDS00425
ko:K02835	bapf:BUMPF009_CDS00424
ko:K02493	bapf:BUMPF009_CDS00423
ko:K01916	bapf:BUMPF009_CDS00421
ko:K00925	bapf:BUMPF009_CDS00420
ko:K13788	bapf:BUMPF009_CDS00419
ko:K03043	bapf:BUMPF009_CDS00552
ko:K01438	bapf:BUMPF009_CDS00543
ko:K03272	bapf:BUMPF009_CDS00530
ko:K02409	bapf:BUMPF009_CDS00520
ko:K02902	bapf:BUMPF009_CDS00508
ko:K00765	bapf:BUMPF009_CDS00496
ko:K04075	bapf:BUMPF009_CDS00485
ko:K02469	bapf:BUMPF009_CDS00415
ko:K09945	bapf:BUMPF009_CDS00414
ko:K03386	bapf:BUMPF009_CDS00413
ko:K03648	bapf:BUMPF009_CDS00412
ko:K03687	bapf:BUMPF009_CDS00411
ko:K00858	bapf:BUMPF009_CDS00410
ko:K06186	bapf:BUMPF009_CDS00409
ko:K07390	bapf:BUMPF009_CDS00408
ko:K03683	bapf:BUMPF009_CDS00407
ko:K04564	bapf:BUMPF009_CDS00406
ko:K01056	bapf:BUMPF009_CDS00405
ko:K06942	bapf:BUMPF009_CDS00404
ko:K01733	bapf:BUMPF009_CDS00403
ko:K00872	bapf:BUMPF009_CDS00402
ko:K12524	bapf:BUMPF009_CDS00401
ko:K00760	bapf:BUMPF009_CDS00400
ko:K01918	bapf:BUMPF009_CDS00399
ko:K00606	bapf:BUMPF009_CDS00398
ko:K06204	bapf:BUMPF009_CDS00397
ko:K03070	bapf:BUMPF009_CDS00393
ko:K03574	bapf:BUMPF009_CDS00392
ko:K00859	bapf:BUMPF009_CDS00391
ko:K00364	bapf:BUMPF009_CDS00390
ko:K00163	bapf:BUMPF009_CDS00389
ko:K00627	bapf:BUMPF009_CDS00388
ko:K00382	bapf:BUMPF009_CDS00387
ko:K01611	bapf:BUMPF009_CDS00386
ko:K00797	bapf:BUMPF009_CDS00385
ko:K01243	bapf:BUMPF009_CDS00384
ko:K15724	bapf:BUMPF009_CDS00383
ko:K03531	bapf:BUMPF009_CDS00382
ko:K03590	bapf:BUMPF009_CDS00381
ko:K01921	bapf:BUMPF009_CDS00380
ko:K01924	bapf:BUMPF009_CDS00379
ko:K02563	bapf:BUMPF009_CDS00378
ko:K03588	bapf:BUMPF009_CDS00377
ko:K01925	bapf:BUMPF009_CDS00376
ko:K01000	bapf:BUMPF009_CDS00375
ko:K01929	bapf:BUMPF009_CDS00374
ko:K01928	bapf:BUMPF009_CDS00373
ko:K03587	bapf:BUMPF009_CDS00372
ko:K03438	bapf:BUMPF009_CDS00370
ko:K01653	bapf:BUMPF009_CDS00369
ko:K01652	bapf:BUMPF009_CDS00368
ko:K03734	bapf:BUMPF009_CDS00367
ko:K00674	bapf:BUMPF009_CDS00365
ko:K14218	bapf:BUMPF009_tRNA1
ko:K14237	bapf:BUMPF009_tRNA26
ko:K14237	bapf:BUMPF009_tRNA25
ko:K14218	bapf:BUMPF009_tRNA3
ko:K14227	bapf:BUMPF009_tRNA2
ko:K14221	bapf:BUMPF009_tRNA4
ko:K14228	bapf:BUMPF009_tRNA24
ko:K14228	bapf:BUMPF009_tRNA22
ko:K14228	bapf:BUMPF009_tRNA20
ko:K14222	bapf:BUMPF009_tRNA23
ko:K14233	bapf:BUMPF009_tRNA5
ko:K14233	bapf:BUMPF009_tRNA6
ko:K14219	bapf:BUMPF009_tRNA7
ko:K14219	bapf:BUMPF009_tRNA12
ko:K14223	bapf:BUMPF009_tRNA21
ko:K14230	bapf:BUMPF009_tRNA19
ko:K14230	bapf:BUMPF009_tRNA18
ko:K03089	bapf:BUMPF009_CDS00561
ko:K02867	bapf:BUMPF009_CDS00548
ko:K01755	bapf:BUMPF009_CDS00539
ko:K08483	bapf:BUMPF009_CDS00526
ko:K02413	bapf:BUMPF009_CDS00516
ko:K07056	bapf:BUMPF009_CDS00504
ko:K02501	bapf:BUMPF009_CDS00492
ko:K03616	bapf:BUMPF009_CDS00482
ko:K01626	bapf:BUMPF009_CDS00472
ko:K03210	bapf:BUMPF009_CDS00462
ko:K01525	bapf:BUMPF009_CDS00453
ko:K11753	bapf:BUMPF009_CDS00445
ko:K00820	bapf:BUMPF009_CDS00560
ko:K02601	bapf:BUMPF009_CDS00547
ko:K02784	bapf:BUMPF009_CDS00525
ko:K00647	bapf:BUMPF009_CDS00503
ko:K01814	bapf:BUMPF009_CDS00491
ko:K03615	bapf:BUMPF009_CDS00481
ko:K01868	bapf:BUMPF009_CDS00471
ko:K01879	bapf:BUMPF009_CDS00461
ko:K02968	bapf:BUMPF009_CDS00444
ko:K04042	bapf:BUMPF009_CDS00559
ko:K03073	bapf:BUMPF009_CDS00546
ko:K03071	bapf:BUMPF009_CDS00537
ko:K01738	bapf:BUMPF009_CDS00524
ko:K02414	bapf:BUMPF009_CDS00514
ko:K00616	bapf:BUMPF009_CDS00502
ko:K02500	bapf:BUMPF009_CDS00490
ko:K03614	bapf:BUMPF009_CDS00480
ko:K02520	bapf:BUMPF009_CDS00470
ko:K01878	bapf:BUMPF009_CDS00460
ko:K01955	bapf:BUMPF009_CDS00451
ko:K03686	bapf:BUMPF009_CDS00443
ko:K00640	bapf:BUMPF009_CDS00536
ko:K01972	bapf:BUMPF009_CDS00523
ko:K00615	bapf:BUMPF009_CDS00501
ko:K11755	bapf:BUMPF009_CDS00489
ko:K03612	bapf:BUMPF009_CDS00479
ko:K02916	bapf:BUMPF009_CDS00469
ko:K01495	bapf:BUMPF009_CDS00459
ko:K01956	bapf:BUMPF009_CDS00450
ko:K04043	bapf:BUMPF009_CDS00442
ko:K03576	bapf:BUMPF009_CDS00557
ko:K03086	bapf:BUMPF009_CDS00535
ko:K02419	bapf:BUMPF009_CDS00512
ko:K01439	bapf:BUMPF009_CDS00500
ko:K00033	bapf:BUMPF009_CDS00488
ko:K03613	bapf:BUMPF009_CDS00478
ko:K02887	bapf:BUMPF009_CDS00468
ko:K01151	bapf:BUMPF009_CDS00458
ko:K00215	bapf:BUMPF009_CDS00449
ko:K00330	bapf:BUMPF009_CDS00441
ko:K00549	bapf:BUMPF009_CDS00556
ko:K02420	bapf:BUMPF009_CDS00511
ko:K01714	bapf:BUMPF009_CDS00499
ko:K01494	bapf:BUMPF009_CDS00487
ko:K10773	bapf:BUMPF009_CDS00477
ko:K01889	bapf:BUMPF009_CDS00467
ko:K02897	bapf:BUMPF009_CDS00457
ko:K03527	bapf:BUMPF009_CDS00448
ko:K00331	bapf:BUMPF009_CDS00440
ko:K02970	bapf:BUMPF009_CDS00533
ko:K01885	bapf:BUMPF009_CDS00522
ko:K02421	bapf:BUMPF009_CDS00510
ko:K01736	bapf:BUMPF009_CDS00498
ko:K01874	bapf:BUMPF009_CDS00486
ko:K04066	bapf:BUMPF009_CDS00476
ko:K01890	bapf:BUMPF009_CDS00466
ko:K03101	bapf:BUMPF009_CDS00447
ko:K13378	bapf:BUMPF009_CDS00439
ko:K02111	bapf:BUMPF009_CDS00580
ko:K14231	bapf:BUMPF009_tRNA32
ko:K14234	bapf:BUMPF009_tRNA31
ko:K14234	bapf:BUMPF009_tRNA28
ko:K14225	bapf:BUMPF009_tRNA30
ko:K14225	bapf:BUMPF009_tRNA10
ko:K14236	bapf:BUMPF009_tRNA29
ko:K14229	bapf:BUMPF009_tRNA27
ko:K14233	bapf:BUMPF009_tRNA8
ko:K14219	bapf:BUMPF009_tRNA17
ko:K14230	bapf:BUMPF009_tRNA9
ko:K14224	bapf:BUMPF009_tRNA16
ko:K14220	bapf:BUMPF009_tRNA15
ko:K14232	bapf:BUMPF009_tRNA14
ko:K14226	bapf:BUMPF009_tRNA13
ko:K14235	bapf:BUMPF009_tRNA11
ko:K01977	bapf:BUMPF009_rRNA2
ko:K01985	bapf:BUMPF009_rRNA3
ko:K01980	bapf:BUMPF009_rRNA1
ko:K02416	bapf:BUMPF009_CDS00513
ko:K18889	bapf:BUMPF009_CDS00120
ko:K07790	bapf:BUMPF009_CDS00316
ko:K03111	bapf:BUMPF009_CDS00058
ko:K00335	bapf:BUMPF009_CDS00437
ko:K03526	bapf:BUMPF009_CDS00310
ko:K14742	bapf:BUMPF009_CDS00269
ko:K02777	bapf:BUMPF009_CDS00527
ko:K04771	bapf:BUMPF009_CDS00366
ko:K01498	bapf:BUMPF009_CDS00139
ko:K00336	bapf:BUMPF009_CDS00436
ko:K19304	bapf:BUMPF009_CDS00274
ko:K19810	bapf:BUMPF009_CDS00567
ko:K18890	bapf:BUMPF009_CDS00119
ko:K00821	bapf:BUMPF009_CDS00069
ko:K00525	bapf:BUMPF009_CDS00416
ko:K00526	bapf:BUMPF009_CDS00417
ko:K00560	bapf:BUMPF009_CDS00159
ko:K02314	bapf:BUMPF009_CDS00057
