ko:K11707	chr:Cpsi_4291
ko:K00820	chr:Cpsi_7761
ko:K03431	chr:Cpsi_7771
ko:K00748	chr:Cpsi_7791
ko:K03621	chr:Cpsi_7921
ko:K02911	chr:Cpsi_7931
ko:K00630	chr:Cpsi_7961
ko:K00919	chr:Cpsi_7991
ko:K02939	chr:Cpsi_8001
ko:K02963	chr:Cpsi_8011
ko:K02990	chr:Cpsi_8021
ko:K01056	chr:Cpsi_8031
ko:K02897	chr:Cpsi_8041
ko:K00703	chr:Cpsi_8061
ko:K00995	chr:Cpsi_8071
ko:K14164	chr:Cpsi_8081
ko:K03555	chr:Cpsi_8141
ko:K03703	chr:Cpsi_8151
ko:K02954	chr:Cpsi_8181
ko:K02919	chr:Cpsi_8191
ko:K03536	chr:Cpsi_8201
ko:K01883	chr:Cpsi_8221
ko:K04567	chr:Cpsi_8231
ko:K04066	chr:Cpsi_8261
ko:K03572	chr:Cpsi_9371
ko:K01868	chr:Cpsi_9431
ko:K01867	chr:Cpsi_9471
ko:K03702	chr:Cpsi_9481
ko:K01689	chr:Cpsi_9491
ko:K00240	chr:Cpsi_9531
ko:K00239	chr:Cpsi_9541
ko:K03424	chr:Cpsi_9561
ko:K03562	chr:Cpsi_9581
ko:K03641	chr:Cpsi_9611
ko:K03640	chr:Cpsi_9621
ko:K03648	chr:Cpsi_9701
ko:K03657	chr:Cpsi_9711
ko:K03092	chr:Cpsi_9721
ko:K03168	chr:Cpsi_9741
ko:K02221	chr:Cpsi_9761
ko:K06137	chr:Cpsi_9821
ko:K13941	chr:Cpsi_9851
ko:K01633	chr:Cpsi_9861
ko:K03086	chr:Cpsi_9871
ko:K02968	chr:Cpsi_9891
ko:K03581	chr:Cpsi_9911
ko:K00655	chr:Cpsi_8291
ko:K00263	chr:Cpsi_8311
ko:K09458	chr:Cpsi_8341
ko:K09710	chr:Cpsi_8351
ko:K00791	chr:Cpsi_8391
ko:K03926	chr:Cpsi_8421
ko:K06960	chr:Cpsi_8431
ko:K02563	chr:Cpsi_8451
ko:K03588	chr:Cpsi_8461
ko:K01925	chr:Cpsi_8481
ko:K01929	chr:Cpsi_8501
ko:K02356	chr:Cpsi_8551
ko:K01241	chr:Cpsi_8561
ko:K00615	chr:Cpsi_8571
ko:K01872	chr:Cpsi_8581
ko:K03723	chr:Cpsi_8591
ko:K01599	chr:Cpsi_8601
ko:K00231	chr:Cpsi_8621
ko:K03210	chr:Cpsi_8661
ko:K00351	chr:Cpsi_8671
ko:K03466	chr:Cpsi_8721
ko:K03310	chr:Cpsi_8761
ko:K00794	chr:Cpsi_8791
ko:K13789	chr:Cpsi_9951
ko:K01698	chr:Cpsi_0061
ko:K00346	chr:Cpsi_0071
ko:K03582	chr:Cpsi_0131
ko:K03583	chr:Cpsi_0141
ko:K07146	chr:Cpsi_0161
ko:K02986	chr:Cpsi_0171
ko:K01151	chr:Cpsi_0181
ko:K03980	chr:Cpsi_0191
ko:K06861	chr:Cpsi_0251
ko:K07783	chr:Cpsi_0861
ko:K01892	chr:Cpsi_0881
ko:K01876	chr:Cpsi_0891
ko:K03216	chr:Cpsi_0911
ko:K03671	chr:Cpsi_0921
ko:K06925	chr:Cpsi_0951
ko:K03820	chr:Cpsi_0981
ko:K02535	chr:Cpsi_0991
ko:K02372	chr:Cpsi_1001
ko:K00677	chr:Cpsi_1011
ko:K00604	chr:Cpsi_1021
ko:K02906	chr:Cpsi_1041
ko:K02926	chr:Cpsi_1051
ko:K02892	chr:Cpsi_1061
ko:K02886	chr:Cpsi_1071
ko:K02965	chr:Cpsi_1081
ko:K02890	chr:Cpsi_1091
ko:K02982	chr:Cpsi_1101
ko:K02878	chr:Cpsi_1111
ko:K02904	chr:Cpsi_1121
ko:K02961	chr:Cpsi_1131
ko:K02874	chr:Cpsi_1141
ko:K02895	chr:Cpsi_1151
ko:K02931	chr:Cpsi_1161
ko:K02994	chr:Cpsi_1171
ko:K02933	chr:Cpsi_1181
ko:K02881	chr:Cpsi_1191
ko:K02988	chr:Cpsi_1201
ko:K02876	chr:Cpsi_1211
ko:K03076	chr:Cpsi_1221
ko:K02952	chr:Cpsi_1231
ko:K02948	chr:Cpsi_1241
ko:K03040	chr:Cpsi_1251
ko:K02879	chr:Cpsi_1261
ko:K00134	chr:Cpsi_1271
ko:K01159	chr:Cpsi_1311
ko:K03550	chr:Cpsi_1321
ko:K00940	chr:Cpsi_1331
ko:K03800	chr:Cpsi_1341
ko:K03495	chr:Cpsi_1351
ko:K00995	chr:Cpsi_1381
ko:K03301	chr:Cpsi_1391
ko:K00859	chr:Cpsi_1421
ko:K02950	chr:Cpsi_2021
ko:K02992	chr:Cpsi_2031
ko:K02355	chr:Cpsi_2041
ko:K02946	chr:Cpsi_2051
ko:K01770	chr:Cpsi_2071
ko:K02888	chr:Cpsi_2091
ko:K02899	chr:Cpsi_2101
ko:K03979	chr:Cpsi_2111
ko:K09816	chr:Cpsi_2121
ko:K09817	chr:Cpsi_2131
ko:K00788	chr:Cpsi_2161
ko:K00878	chr:Cpsi_2171
ko:K03310	chr:Cpsi_2221
ko:K03101	chr:Cpsi_2231
ko:K06204	chr:Cpsi_2241
ko:K07738	chr:Cpsi_2251
ko:K00793	chr:Cpsi_2261
ko:K06969	chr:Cpsi_2271
ko:K03437	chr:Cpsi_2281
ko:K00912	chr:Cpsi_2291
ko:K00658	chr:Cpsi_2311
ko:K06041	chr:Cpsi_2321
ko:K07164	chr:Cpsi_2331
ko:K00600	chr:Cpsi_2371
ko:K01358	chr:Cpsi_2381
ko:K01778	chr:Cpsi_2391
ko:K03183	chr:Cpsi_2411
ko:K07042	chr:Cpsi_2471
ko:K03652	chr:Cpsi_2511
ko:K12573	chr:Cpsi_2521
ko:K04043	chr:Cpsi_2531
ko:K03687	chr:Cpsi_2541
ko:K03705	chr:Cpsi_2551
ko:K01881	chr:Cpsi_2561
ko:K09131	chr:Cpsi_2591
ko:K01448	chr:Cpsi_3691
ko:K01962	chr:Cpsi_3731
ko:K07083	chr:Cpsi_3761
ko:K00208	chr:Cpsi_3811
ko:K03575	chr:Cpsi_3851
ko:K04487	chr:Cpsi_3931
ko:K01494	chr:Cpsi_3971
ko:K03551	chr:Cpsi_3981
ko:K01255	chr:Cpsi_4031
ko:K02340	chr:Cpsi_4051
ko:K07056	chr:Cpsi_4061
ko:K00164	chr:Cpsi_4121
ko:K00658	chr:Cpsi_4131
ko:K05810	chr:Cpsi_4141
ko:K03526	chr:Cpsi_4151
ko:K02400	chr:Cpsi_4211
ko:K02405	chr:Cpsi_4221
ko:K01866	chr:Cpsi_4231
ko:K07058	chr:Cpsi_5411
ko:K01783	chr:Cpsi_5441
ko:K02356	chr:Cpsi_5451
ko:K02160	chr:Cpsi_5461
ko:K01961	chr:Cpsi_5471
ko:K01951	chr:Cpsi_5601
ko:K09125	chr:Cpsi_5671
ko:K00773	chr:Cpsi_5681
ko:K03611	chr:Cpsi_5721
ko:K00979	chr:Cpsi_5811
ko:K01937	chr:Cpsi_5821
ko:K07447	chr:Cpsi_5831
ko:K15581	chr:Cpsi_5871
ko:K03319	chr:Cpsi_5921
ko:K02527	chr:Cpsi_5981
ko:K01869	chr:Cpsi_5991
ko:K01627	chr:Cpsi_0271
ko:K06960	chr:Cpsi_0291
ko:K06180	chr:Cpsi_0301
ko:K02469	chr:Cpsi_0331
ko:K02470	chr:Cpsi_0341
ko:K02492	chr:Cpsi_0351
ko:K03224	chr:Cpsi_0431
ko:K02417	chr:Cpsi_0461
ko:K03219	chr:Cpsi_0481
ko:K02838	chr:Cpsi_0541
ko:K09903	chr:Cpsi_0551
ko:K02357	chr:Cpsi_0561
ko:K02967	chr:Cpsi_0571
ko:K03162	chr:Cpsi_0591
ko:K09013	chr:Cpsi_0631
ko:K09015	chr:Cpsi_0641
ko:K11717	chr:Cpsi_0651
ko:K07220	chr:Cpsi_0711
ko:K03306	chr:Cpsi_0721
ko:K00927	chr:Cpsi_0731
ko:K02337	chr:Cpsi_0851
ko:K03628	chr:Cpsi_1431
ko:K00762	chr:Cpsi_1451
ko:K00975	chr:Cpsi_1461
ko:K07099	chr:Cpsi_1471
ko:K01772	chr:Cpsi_1501
ko:K02034	chr:Cpsi_1551
ko:K01890	chr:Cpsi_1581
ko:K08998	chr:Cpsi_1601
ko:K07710	chr:Cpsi_1701
ko:K06173	chr:Cpsi_1751
ko:K00991	chr:Cpsi_1761
ko:K02836	chr:Cpsi_1791
ko:K00790	chr:Cpsi_1841
ko:K01887	chr:Cpsi_1851
ko:K00655	chr:Cpsi_1861
ko:K00945	chr:Cpsi_1871
ko:K00981	chr:Cpsi_1881
ko:K00806	chr:Cpsi_1891
ko:K12257	chr:Cpsi_1911
ko:K07462	chr:Cpsi_1921
ko:K03797	chr:Cpsi_1991
ko:K10206	chr:Cpsi_2611
ko:K06966	chr:Cpsi_2641
ko:K09996	chr:Cpsi_2721
ko:K06167	chr:Cpsi_2741
ko:K03665	chr:Cpsi_2751
ko:K09779	chr:Cpsi_2921
ko:K02435	chr:Cpsi_2931
ko:K02434	chr:Cpsi_2951
ko:K06888	chr:Cpsi_3061
ko:K02528	chr:Cpsi_3081
ko:K01662	chr:Cpsi_3091
ko:K03602	chr:Cpsi_3111
ko:K03601	chr:Cpsi_3121
ko:K01803	chr:Cpsi_3131
ko:K03075	chr:Cpsi_3141
ko:K01462	chr:Cpsi_3151
ko:K03301	chr:Cpsi_4271
ko:K00099	chr:Cpsi_4331
ko:K03629	chr:Cpsi_4361
ko:K02338	chr:Cpsi_4371
ko:K03664	chr:Cpsi_4381
ko:K03734	chr:Cpsi_4391
ko:K01491	chr:Cpsi_4401
ko:K02902	chr:Cpsi_4471
ko:K00705	chr:Cpsi_4481
ko:K04058	chr:Cpsi_4501
ko:K03230	chr:Cpsi_4511
ko:K03229	chr:Cpsi_4521
ko:K06942	chr:Cpsi_4531
ko:K11753	chr:Cpsi_4541
ko:K02834	chr:Cpsi_4561
ko:K02519	chr:Cpsi_4571
ko:K02600	chr:Cpsi_4581
ko:K02945	chr:Cpsi_4591
ko:K00384	chr:Cpsi_4601
ko:K00997	chr:Cpsi_4611
ko:K03217	chr:Cpsi_4641
ko:K02313	chr:Cpsi_4651
ko:K00688	chr:Cpsi_4671
ko:K00627	chr:Cpsi_4681
ko:K00162	chr:Cpsi_4691
ko:K00161	chr:Cpsi_4701
ko:K02536	chr:Cpsi_4721
ko:K06142	chr:Cpsi_4731
ko:K07277	chr:Cpsi_4741
ko:K06187	chr:Cpsi_4751
ko:K00648	chr:Cpsi_4761
ko:K00645	chr:Cpsi_4771
ko:K02078	chr:Cpsi_4791
ko:K01972	chr:Cpsi_6031
ko:K03695	chr:Cpsi_6131
ko:K02065	chr:Cpsi_6161
ko:K02066	chr:Cpsi_6171
ko:K01845	chr:Cpsi_6181
ko:K07735	chr:Cpsi_6191
ko:K08999	chr:Cpsi_6201
ko:K01807	chr:Cpsi_6211
ko:K08602	chr:Cpsi_6261
ko:K04078	chr:Cpsi_6271
ko:K04077	chr:Cpsi_6281
ko:K03581	chr:Cpsi_6341
ko:K01874	chr:Cpsi_6351
ko:K00942	chr:Cpsi_6371
ko:K03470	chr:Cpsi_6381
ko:K02884	chr:Cpsi_6391
ko:K00554	chr:Cpsi_6401
ko:K02959	chr:Cpsi_6411
ko:K03106	chr:Cpsi_6421
ko:K02493	chr:Cpsi_6431
ko:K02835	chr:Cpsi_6441
ko:K02909	chr:Cpsi_6451
ko:K03100	chr:Cpsi_6471
ko:K01870	chr:Cpsi_6481
ko:K07175	chr:Cpsi_6501
ko:K00426	chr:Cpsi_6541
ko:K00425	chr:Cpsi_6551
ko:K02517	chr:Cpsi_6581
ko:K03758	chr:Cpsi_7151
ko:K00024	chr:Cpsi_7181
ko:K01810	chr:Cpsi_7201
ko:K03527	chr:Cpsi_7291
ko:K03321	chr:Cpsi_7321
ko:K01265	chr:Cpsi_7381
ko:K02956	chr:Cpsi_7471
ko:K00962	chr:Cpsi_7481
ko:K03798	chr:Cpsi_7491
ko:K04075	chr:Cpsi_7501
ko:K07091	chr:Cpsi_7511
ko:K11720	chr:Cpsi_7521
ko:K01889	chr:Cpsi_7551
ko:K02887	chr:Cpsi_7561
ko:K02916	chr:Cpsi_7571
ko:K02520	chr:Cpsi_7581
ko:K03625	chr:Cpsi_7591
ko:K00075	chr:Cpsi_7601
ko:K03439	chr:Cpsi_7631
ko:K09760	chr:Cpsi_7671
ko:K01902	chr:Cpsi_7711
ko:K14652	chr:Cpsi_8801
ko:K11752	chr:Cpsi_8811
ko:K01875	chr:Cpsi_8821
ko:K05837	chr:Cpsi_8851
ko:K03524	chr:Cpsi_8861
ko:K06178	chr:Cpsi_8881
ko:K04487	chr:Cpsi_8901
ko:K13819	chr:Cpsi_8911
ko:K02409	chr:Cpsi_8921
ko:K02411	chr:Cpsi_8931
ko:K02412	chr:Cpsi_8941
ko:K00057	chr:Cpsi_8971
ko:K03569	chr:Cpsi_9021
ko:K03545	chr:Cpsi_9051
ko:K01358	chr:Cpsi_9061
ko:K03544	chr:Cpsi_9071
ko:K03977	chr:Cpsi_9091
ko:K03070	chr:Cpsi_9111
ko:K01613	chr:Cpsi_9131
ko:K03650	chr:Cpsi_9141
ko:K10773	chr:Cpsi_9151
ko:K01985	chr:Cpsi_8682
ko:K14228	chr:Cpsi_7231
ko:K14223	chr:Cpsi_8051
ko:K01840	chr:Cpsi_3401
ko:K11645	chr:Cpsi_4911
ko:K15583	chr:Cpsi_5901
ko:K00939	chr:Cpsi_5281
ko:K14221	chr:Cpsi_5111
ko:K00850	chr:Cpsi_5931
ko:K01409	chr:Cpsi_5351
ko:K04763	chr:Cpsi_7211
ko:K01679	chr:Cpsi_7331
ko:K00972	chr:Cpsi_8961
ko:K01596	chr:Cpsi_9011
ko:K00970	chr:Cpsi_9081
ko:K03227	chr:Cpsi_9251
ko:K00088	chr:Cpsi_5611
ko:K02049	chr:Cpsi_5761
ko:K02035	chr:Cpsi_5841
ko:K02035	chr:Cpsi_5851
ko:K02035	chr:Cpsi_5861
ko:K15582	chr:Cpsi_5881
ko:K06889	chr:Cpsi_5941
ko:K06889	chr:Cpsi_6001
ko:K02124	chr:Cpsi_6641
ko:K02123	chr:Cpsi_6651
ko:K02120	chr:Cpsi_6661
ko:K02118	chr:Cpsi_6671
ko:K02117	chr:Cpsi_6681
ko:K02121	chr:Cpsi_6701
ko:K00616	chr:Cpsi_6731
ko:K00652	chr:Cpsi_7031
ko:K00970	chr:Cpsi_7781
ko:K01408	chr:Cpsi_7971
ko:K02454	chr:Cpsi_9331
ko:K01262	chr:Cpsi_9361
ko:K07315	chr:Cpsi_9501
ko:K00241	chr:Cpsi_9551
ko:K03386	chr:Cpsi_9651
ko:K02428	chr:Cpsi_9681
ko:K01934	chr:Cpsi_9801
ko:K00652	chr:Cpsi_8271
ko:K01909	chr:Cpsi_8281
ko:K01082	chr:Cpsi_8301
ko:K01507	chr:Cpsi_8321
ko:K07117	chr:Cpsi_8741
ko:K06910	chr:Cpsi_8751
ko:K10823	chr:Cpsi_5891
ko:K01834	chr:Cpsi_8891
ko:K07714	chr:Cpsi_1681
ko:K08719	chr:Cpsi_8981
ko:K02067	chr:Cpsi_6151
ko:K11709	chr:Cpsi_4321
ko:K11708	chr:Cpsi_4311
ko:K11710	chr:Cpsi_4301
ko:K14233	chr:Cpsi_7541
ko:K03559	chr:Cpsi_9591
ko:K14219	chr:Cpsi_0281
ko:K14227	chr:Cpsi_5771
ko:K09810	chr:Cpsi_5231
ko:K14234	chr:Cpsi_5151
ko:K02028	chr:Cpsi_5381
ko:K14233	chr:Cpsi_2151
ko:K14220	chr:Cpsi_6301
ko:K14224	chr:Cpsi_0531
ko:K17103	chr:Cpsi_7661
ko:K14219	chr:Cpsi_1671
ko:K04084	chr:Cpsi_9571
ko:K14231	chr:Cpsi_2081
ko:K14218	chr:Cpsi_0101
ko:K14218	chr:Cpsi_5781
ko:K14234	chr:Cpsi_0491
ko:K14229	chr:Cpsi_0521
ko:K14225	chr:Cpsi_0581
ko:K14228	chr:Cpsi_0931
ko:K14228	chr:Cpsi_1291
ko:K14228	chr:Cpsi_1721
ko:K14228	chr:Cpsi_1621
ko:K14233	chr:Cpsi_1371
ko:K14233	chr:Cpsi_3051
ko:K14219	chr:Cpsi_3701
ko:K14232	chr:Cpsi_4201
ko:K14232	chr:Cpsi_9961
ko:K14236	chr:Cpsi_5161
ko:K14230	chr:Cpsi_5961
ko:K14230	chr:Cpsi_5971
ko:K14230	chr:Cpsi_6881
ko:K14235	chr:Cpsi_6821
ko:K14222	chr:Cpsi_8511
ko:K14225	chr:Cpsi_9041
ko:K14234	chr:Cpsi_6841
ko:K14237	chr:Cpsi_7621
ko:K06972	chr:Cpsi_7681
ko:K07081	chr:Cpsi_2421
ko:K04077	chr:Cpsi_9661
ko:K08275	chr:Cpsi_4421
ko:K08274	chr:Cpsi_7191
ko:K18707	chr:Cpsi_2761
ko:K03497	chr:Cpsi_0681
ko:K03111	chr:Cpsi_4021
ko:K03825	chr:Cpsi_1801
ko:K03496	chr:Cpsi_9441
ko:K03496	chr:Cpsi_p07
ko:K02626	chr:Cpsi_7141
ko:K11991	chr:Cpsi_7461
ko:K04771	chr:Cpsi_7701
ko:K19405	chr:Cpsi_0501
ko:K19411	chr:Cpsi_0511
ko:K00500	chr:Cpsi_6981
ko:K11749	chr:Cpsi_4341
ko:K07033	chr:Cpsi_0621
ko:K01802	chr:Cpsi_0901
ko:K03309	chr:Cpsi_2301
ko:K12132	chr:Cpsi_6611
ko:K20074	chr:Cpsi_3921
ko:K20265	chr:Cpsi_4901
ko:K15035	chr:tmRNA
ko:K01214	chr:Cpsi_4001
ko:K22099	chr:Cpsi_9831
ko:K00526	chr:Cpsi_7641
ko:K01520	chr:Cpsi_3431
ko:K02335	chr:Cpsi_1411
ko:K02316	chr:Cpsi_8131
ko:K00287	chr:Cpsi_9841
ko:K02314	chr:Cpsi_p03
ko:K03553	chr:Cpsi_9811
ko:K02314	chr:Cpsi_1361
ko:K02031	chr:Cpsi_0701
ko:K00525	chr:Cpsi_7651
ko:K02050	chr:Cpsi_7341
ko:K02051	chr:Cpsi_7341
ko:K01829	chr:Cpsi_8211
ko:K01534	chr:Cpsi_8841
ko:K16239	chr:Cpsi_4461
