ko:K03457	abb:ABBFA_002160
ko:K03558	abb:ABBFA_001188
ko:K00764	abb:ABBFA_001189
ko:K09117	abb:ABBFA_001194
ko:K02970	abb:ABBFA_001195
ko:K01409	abb:ABBFA_001196
ko:K06923	abb:ABBFA_001198
ko:K10004	abb:ABBFA_001992
ko:K10002	abb:ABBFA_001993
ko:K10003	abb:ABBFA_001994
ko:K10001	abb:ABBFA_001995
ko:K02073	abb:ABBFA_002000
ko:K02073	abb:ABBFA_002001
ko:K02071	abb:ABBFA_002002
ko:K02072	abb:ABBFA_002003
ko:K06942	abb:ABBFA_002004
ko:K08289	abb:ABBFA_002012
ko:K00990	abb:ABBFA_002013
ko:K00432	abb:ABBFA_002017
ko:K07305	abb:ABBFA_002018
ko:K03177	abb:ABBFA_000354
ko:K03923	abb:ABBFA_000363
ko:K08160	abb:ABBFA_000365
ko:K04565	abb:ABBFA_000367
ko:K03808	abb:ABBFA_001244
ko:K03808	abb:ABBFA_001245
ko:K06192	abb:ABBFA_001246
ko:K09857	abb:ABBFA_001247
ko:K07127	abb:ABBFA_001248
ko:K07644	abb:ABBFA_001251
ko:K03098	abb:ABBFA_001252
ko:K00507	abb:ABBFA_001253
ko:K09701	abb:ABBFA_001255
ko:K00574	abb:ABBFA_001256
ko:K00574	abb:ABBFA_001258
ko:K11103	abb:ABBFA_001270
ko:K02072	abb:ABBFA_001273
ko:K02071	abb:ABBFA_001274
ko:K02073	abb:ABBFA_001275
ko:K01945	abb:ABBFA_001276
ko:K07044	abb:ABBFA_000424
ko:K03978	abb:ABBFA_000425
ko:K05916	abb:ABBFA_000427
ko:K06915	abb:ABBFA_000428
ko:K02906	abb:ABBFA_000432
ko:K02926	abb:ABBFA_000433
ko:K02892	abb:ABBFA_000434
ko:K02886	abb:ABBFA_000435
ko:K02965	abb:ABBFA_000436
ko:K02890	abb:ABBFA_000437
ko:K01928	abb:ABBFA_000314
ko:K03823	abb:ABBFA_001963
ko:K01885	abb:ABBFA_000308
ko:K02048	abb:ABBFA_000310
ko:K03438	abb:ABBFA_000311
ko:K03586	abb:ABBFA_000312
ko:K03587	abb:ABBFA_000313
ko:K00140	abb:ABBFA_001208
ko:K03312	abb:ABBFA_001222
ko:K01159	abb:ABBFA_001966
ko:K01012	abb:ABBFA_001969
ko:K07345	abb:ABBFA_001972
ko:K07347	abb:ABBFA_001974
ko:K00261	abb:ABBFA_000376
ko:K00840	abb:ABBFA_000377
ko:K00673	abb:ABBFA_000378
ko:K06447	abb:ABBFA_000379
ko:K01484	abb:ABBFA_000380
ko:K05526	abb:ABBFA_000381
ko:K01879	abb:ABBFA_000392
ko:K01878	abb:ABBFA_000393
ko:K08151	abb:ABBFA_000394
ko:K00014	abb:ABBFA_000402
ko:K01662	abb:ABBFA_000405
ko:K02065	abb:ABBFA_000409
ko:K06923	abb:ABBFA_001228
ko:K07347	abb:ABBFA_001236
ko:K03557	abb:ABBFA_001278
ko:K02687	abb:ABBFA_001280
ko:K03495	abb:ABBFA_001282
ko:K06446	abb:ABBFA_002133
ko:K06446	abb:ABBFA_002144
ko:K05306	abb:ABBFA_002146
ko:K03430	abb:ABBFA_002147
ko:K02011	abb:ABBFA_002149
ko:K02012	abb:ABBFA_002151
ko:K00481	abb:ABBFA_002153
ko:K01118	abb:ABBFA_002155
ko:K00135	abb:ABBFA_002158
ko:K01640	abb:ABBFA_002172
ko:K02982	abb:ABBFA_000438
ko:K02878	abb:ABBFA_000439
ko:K02904	abb:ABBFA_000440
ko:K02961	abb:ABBFA_000441
ko:K02874	abb:ABBFA_000442
ko:K02895	abb:ABBFA_000443
ko:K02931	abb:ABBFA_000444
ko:K02954	abb:ABBFA_000445
ko:K02994	abb:ABBFA_000446
ko:K02933	abb:ABBFA_000447
ko:K02881	abb:ABBFA_000448
ko:K02988	abb:ABBFA_000449
ko:K02907	abb:ABBFA_000450
ko:K02876	abb:ABBFA_000451
ko:K03076	abb:ABBFA_000452
ko:K02919	abb:ABBFA_000453
ko:K02952	abb:ABBFA_000454
ko:K02948	abb:ABBFA_000455
ko:K02986	abb:ABBFA_000456
ko:K03040	abb:ABBFA_000457
ko:K02879	abb:ABBFA_000458
ko:K09159	abb:ABBFA_000461
ko:K07070	abb:ABBFA_000467
ko:K01414	abb:ABBFA_000468
ko:K07395	abb:ABBFA_001288
ko:K01775	abb:ABBFA_001289
ko:K02314	abb:ABBFA_001290
ko:K02939	abb:ABBFA_001291
ko:K02963	abb:ABBFA_001292
ko:K02990	abb:ABBFA_001293
ko:K02300	abb:ABBFA_001295
ko:K02299	abb:ABBFA_001296
ko:K02298	abb:ABBFA_001297
ko:K02297	abb:ABBFA_001298
ko:K01007	abb:ABBFA_001300
ko:K09773	abb:ABBFA_001301
ko:K03578	abb:ABBFA_002372
ko:K03387	abb:ABBFA_002377
ko:K07004	abb:ABBFA_002380
ko:K03439	abb:ABBFA_002381
ko:K01465	abb:ABBFA_002385
ko:K00609	abb:ABBFA_002386
ko:K03695	abb:ABBFA_002391
ko:K10914	abb:ABBFA_002395
ko:K01939	abb:ABBFA_002399
ko:K02502	abb:ABBFA_002400
ko:K00134	abb:ABBFA_002402
ko:K01872	abb:ABBFA_002403
ko:K00928	abb:ABBFA_002404
ko:K03563	abb:ABBFA_002405
ko:K03470	abb:ABBFA_002406
ko:K06901	abb:ABBFA_002410
ko:K03269	abb:ABBFA_001357
ko:K01886	abb:ABBFA_001359
ko:K01951	abb:ABBFA_001361
ko:K03736	abb:ABBFA_001362
ko:K03735	abb:ABBFA_001363
ko:K00878	abb:ABBFA_001371
ko:K01256	abb:ABBFA_001374
ko:K09780	abb:ABBFA_000541
ko:K06190	abb:ABBFA_000542
ko:K07053	abb:ABBFA_000543
ko:K08994	abb:ABBFA_000544
ko:K03630	abb:ABBFA_000545
ko:K03074	abb:ABBFA_000547
ko:K03072	abb:ABBFA_000548
ko:K03210	abb:ABBFA_000549
ko:K00773	abb:ABBFA_000550
ko:K03744	abb:ABBFA_000551
ko:K03773	abb:ABBFA_003463
ko:K03980	abb:ABBFA_003464
ko:K03806	abb:ABBFA_003465
ko:K00767	abb:ABBFA_003466
ko:K01114	abb:ABBFA_003467
ko:K00989	abb:ABBFA_003469
ko:K03673	abb:ABBFA_003474
ko:K03187	abb:ABBFA_002594
ko:K01428	abb:ABBFA_002595
ko:K01429	abb:ABBFA_002596
ko:K01430	abb:ABBFA_002597
ko:K03190	abb:ABBFA_002598
ko:K01637	abb:ABBFA_002602
ko:K03300	abb:ABBFA_002605
ko:K09965	abb:ABBFA_002607
ko:K00957	abb:ABBFA_002609
ko:K04567	abb:ABBFA_002612
ko:K03610	abb:ABBFA_002733
ko:K03609	abb:ABBFA_002734
ko:K03608	abb:ABBFA_002735
ko:K03466	abb:ABBFA_002738
ko:K00384	abb:ABBFA_002739
ko:K00684	abb:ABBFA_002740
ko:K03789	abb:ABBFA_002742
ko:K07044	abb:ABBFA_002743
ko:K07044	abb:ABBFA_002744
ko:K02355	abb:ABBFA_002747
ko:K03426	abb:ABBFA_002496
ko:K07240	abb:ABBFA_002029
ko:K07240	abb:ABBFA_002030
ko:K03325	abb:ABBFA_002032
ko:K07044	abb:ABBFA_001633
ko:K03710	abb:ABBFA_001656
ko:K10026	abb:ABBFA_000906
ko:K01477	abb:ABBFA_000126
ko:K07506	abb:ABBFA_001783
ko:K01270	abb:ABBFA_001170
ko:K11928	abb:ABBFA_001947
ko:K01840	abb:ABBFA_003446
ko:K05358	abb:ABBFA_001573
ko:K03768	abb:ABBFA_001358
ko:K00108	abb:ABBFA_002684
ko:K11311	abb:ABBFA_001748
ko:K05600	abb:ABBFA_001747
ko:K05599	abb:ABBFA_001746
ko:K01950	abb:ABBFA_002755
ko:K01894	abb:ABBFA_003285
ko:K01609	abb:ABBFA_001082
ko:K00970	abb:ABBFA_002977
ko:K00029	abb:ABBFA_001103
ko:K07666	abb:ABBFA_000718
ko:K03588	abb:ABBFA_003286
ko:K01925	abb:ABBFA_003287
ko:K04759	abb:ABBFA_003289
ko:K04758	abb:ABBFA_003290
ko:K04763	abb:ABBFA_003291
ko:K03981	abb:ABBFA_003292
ko:K00003	abb:ABBFA_003293
ko:K01733	abb:ABBFA_003294
ko:K07262	abb:ABBFA_003295
ko:K02668	abb:ABBFA_003297
ko:K02667	abb:ABBFA_003298
ko:K03797	abb:ABBFA_003299
ko:K01255	abb:ABBFA_003304
ko:K02339	abb:ABBFA_003305
ko:K00793	abb:ABBFA_003308
ko:K07738	abb:ABBFA_003311
ko:K03320	abb:ABBFA_003312
ko:K04752	abb:ABBFA_003313
ko:K07391	abb:ABBFA_003315
ko:K00375	abb:ABBFA_003316
ko:K01714	abb:ABBFA_003318
ko:K03631	abb:ABBFA_003216
ko:K07735	abb:ABBFA_003217
ko:K07447	abb:ABBFA_003218
ko:K00995	abb:ABBFA_003224
ko:K03703	abb:ABBFA_003226
ko:K07002	abb:ABBFA_003233
ko:K04079	abb:ABBFA_003239
ko:K07275	abb:ABBFA_003241
ko:K07084	abb:ABBFA_003242
ko:K03046	abb:ABBFA_003247
ko:K03043	abb:ABBFA_003248
ko:K02935	abb:ABBFA_003249
ko:K02864	abb:ABBFA_003250
ko:K02863	abb:ABBFA_003251
ko:K02867	abb:ABBFA_003252
ko:K02601	abb:ABBFA_003253
ko:K03073	abb:ABBFA_003254
ko:K02358	abb:ABBFA_003256
ko:K01657	abb:ABBFA_003261
ko:K01091	abb:ABBFA_003262
ko:K03746	abb:ABBFA_003266
ko:K07107	abb:ABBFA_003267
ko:K02621	abb:ABBFA_003326
ko:K08369	abb:ABBFA_003327
ko:K09858	abb:ABBFA_003329
ko:K06966	abb:ABBFA_003331
ko:K02346	abb:ABBFA_003334
ko:K01738	abb:ABBFA_003343
ko:K02014	abb:ABBFA_003352
ko:K01462	abb:ABBFA_003354
ko:K04096	abb:ABBFA_003356
ko:K07566	abb:ABBFA_003357
ko:K00432	abb:ABBFA_003362
ko:K02114	abb:ABBFA_003364
ko:K02112	abb:ABBFA_003365
ko:K02115	abb:ABBFA_003366
ko:K01507	abb:ABBFA_003322
ko:K06911	abb:ABBFA_002415
ko:K01707	abb:ABBFA_002443
ko:K01706	abb:ABBFA_002445
ko:K00154	abb:ABBFA_002450
ko:K00673	abb:ABBFA_002454
ko:K03704	abb:ABBFA_002517
ko:K01887	abb:ABBFA_003380
ko:K06911	abb:ABBFA_003384
ko:K00984	abb:ABBFA_003387
ko:K01951	abb:ABBFA_003388
ko:K03975	abb:ABBFA_003391
ko:K05527	abb:ABBFA_003396
ko:K02111	abb:ABBFA_003367
ko:K02113	abb:ABBFA_003368
ko:K02109	abb:ABBFA_003369
ko:K02110	abb:ABBFA_003370
ko:K02108	abb:ABBFA_003371
ko:K09815	abb:ABBFA_003373
ko:K09823	abb:ABBFA_003374
ko:K09817	abb:ABBFA_003375
ko:K09816	abb:ABBFA_003376
ko:K07223	abb:ABBFA_003378
ko:K01940	abb:ABBFA_002476
ko:K01465	abb:ABBFA_002478
ko:K03683	abb:ABBFA_002479
ko:K02014	abb:ABBFA_002481
ko:K07460	abb:ABBFA_002499
ko:K07056	abb:ABBFA_002500
ko:K05596	abb:ABBFA_002502
ko:K03185	abb:ABBFA_002509
ko:K09895	abb:ABBFA_002512
ko:K01338	abb:ABBFA_002579
ko:K00783	abb:ABBFA_002580
ko:K03616	abb:ABBFA_002584
ko:K00939	abb:ABBFA_002586
ko:K05515	abb:ABBFA_002589
ko:K03192	abb:ABBFA_002591
ko:K03189	abb:ABBFA_002592
ko:K03188	abb:ABBFA_002593
ko:K03777	abb:ABBFA_003442
ko:K00101	abb:ABBFA_003443
ko:K00427	abb:ABBFA_003445
ko:K01810	abb:ABBFA_003447
ko:K00012	abb:ABBFA_003448
ko:K00963	abb:ABBFA_003449
ko:K01991	abb:ABBFA_003459
ko:K00140	abb:ABBFA_003416
ko:K01775	abb:ABBFA_003421
ko:K00285	abb:ABBFA_003422
ko:K02014	abb:ABBFA_003425
ko:K06177	abb:ABBFA_003428
ko:K04761	abb:ABBFA_002618
ko:K00937	abb:ABBFA_002620
ko:K03814	abb:ABBFA_002621
ko:K02003	abb:ABBFA_002624
ko:K01673	abb:ABBFA_002626
ko:K03306	abb:ABBFA_002637
ko:K00548	abb:ABBFA_002639
ko:K00615	abb:ABBFA_002640
ko:K00615	abb:ABBFA_002641
ko:K08223	abb:ABBFA_002647
ko:K01425	abb:ABBFA_002649
ko:K01870	abb:ABBFA_003490
ko:K03101	abb:ABBFA_003491
ko:K03774	abb:ABBFA_003492
ko:K03687	abb:ABBFA_003504
ko:K04043	abb:ABBFA_003505
ko:K01676	abb:ABBFA_003053
ko:K02616	abb:ABBFA_002191
ko:K01912	abb:ABBFA_002192
ko:K02613	abb:ABBFA_002197
ko:K02612	abb:ABBFA_002198
ko:K02611	abb:ABBFA_002199
ko:K02610	abb:ABBFA_002200
ko:K02609	abb:ABBFA_002201
ko:K02618	abb:ABBFA_002202
ko:K01752	abb:ABBFA_002203
ko:K09712	abb:ABBFA_002214
ko:K09765	abb:ABBFA_002216
ko:K09927	abb:ABBFA_002218
ko:K03449	abb:ABBFA_002219
ko:K07568	abb:ABBFA_000553
ko:K00982	abb:ABBFA_000556
ko:K00826	abb:ABBFA_000557
ko:K01876	abb:ABBFA_000568
ko:K02014	abb:ABBFA_000570
ko:K07664	abb:ABBFA_000579
ko:K00507	abb:ABBFA_000581
ko:K01126	abb:ABBFA_000583
ko:K00798	abb:ABBFA_000584
ko:K01817	abb:ABBFA_000586
ko:K01531	abb:ABBFA_001407
ko:K07507	abb:ABBFA_001408
ko:K05782	abb:ABBFA_001409
ko:K11250	abb:ABBFA_001411
ko:K00616	abb:ABBFA_001412
ko:K02343	abb:ABBFA_001420
ko:K01114	abb:ABBFA_001421
ko:K07107	abb:ABBFA_001422
ko:K00075	abb:ABBFA_001426
ko:K05820	abb:ABBFA_001434
ko:K02160	abb:ABBFA_001437
ko:K03786	abb:ABBFA_001438
ko:K03502	abb:ABBFA_001439
ko:K00362	abb:ABBFA_001441
ko:K00372	abb:ABBFA_001443
ko:K03752	abb:ABBFA_001444
ko:K03639	abb:ABBFA_001446
ko:K03635	abb:ABBFA_001447
ko:K03750	abb:ABBFA_001449
ko:K11179	abb:ABBFA_001453
ko:K07235	abb:ABBFA_001456
ko:K00425	abb:ABBFA_002052
ko:K00426	abb:ABBFA_002053
ko:K07734	abb:ABBFA_002070
ko:K00375	abb:ABBFA_002071
ko:K01696	abb:ABBFA_000587
ko:K07044	abb:ABBFA_000590
ko:K01695	abb:ABBFA_000592
ko:K01963	abb:ABBFA_000593
ko:K03070	abb:ABBFA_000599
ko:K11068	abb:ABBFA_000602
ko:K06980	abb:ABBFA_000638
ko:K06193	abb:ABBFA_000641
ko:K01881	abb:ABBFA_000643
ko:K01679	abb:ABBFA_001458
ko:K00285	abb:ABBFA_001462
ko:K01770	abb:ABBFA_001464
ko:K07712	abb:ABBFA_001468
ko:K07708	abb:ABBFA_001469
ko:K09903	abb:ABBFA_001472
ko:K02838	abb:ABBFA_001473
ko:K00806	abb:ABBFA_001474
ko:K00099	abb:ABBFA_001475
ko:K07277	abb:ABBFA_001477
ko:K06142	abb:ABBFA_001478
ko:K02536	abb:ABBFA_001479
ko:K02372	abb:ABBFA_001480
ko:K00677	abb:ABBFA_001481
ko:K03565	abb:ABBFA_001483
ko:K03553	abb:ABBFA_001484
ko:K04762	abb:ABBFA_001485
ko:K01556	abb:ABBFA_001492
ko:K02769	abb:ABBFA_001504
ko:K02770	abb:ABBFA_001504
ko:K06925	abb:ABBFA_001350
ko:K03572	abb:ABBFA_001351
ko:K00791	abb:ABBFA_001352
ko:K03666	abb:ABBFA_001353
ko:K10679	abb:ABBFA_001355
ko:K09767	abb:ABBFA_000537
ko:K10806	abb:ABBFA_000535
ko:K02337	abb:ABBFA_002022
ko:K00640	abb:ABBFA_002024
ko:K03981	abb:ABBFA_000637
ko:K07267	abb:ABBFA_000612
ko:K00381	abb:ABBFA_000615
ko:K08084	abb:ABBFA_000620
ko:K06207	abb:ABBFA_000627
ko:K03282	abb:ABBFA_000628
ko:K10563	abb:ABBFA_000631
ko:K03652	abb:ABBFA_000632
ko:K02014	abb:ABBFA_000633
ko:K07088	abb:ABBFA_000635
ko:K02768	abb:ABBFA_001506
ko:K08483	abb:ABBFA_001506
ko:K11183	abb:ABBFA_001506
ko:K03311	abb:ABBFA_001510
ko:K01265	abb:ABBFA_001511
ko:K02050	abb:ABBFA_002243
ko:K02049	abb:ABBFA_002244
ko:K02051	abb:ABBFA_002245
ko:K07722	abb:ABBFA_002247
ko:K09967	abb:ABBFA_002252
ko:K09967	abb:ABBFA_002253
ko:K07160	abb:ABBFA_002265
ko:K04044	abb:ABBFA_001869
ko:K03723	abb:ABBFA_001873
ko:K07223	abb:ABBFA_001875
ko:K02553	abb:ABBFA_001877
ko:K02968	abb:ABBFA_001879
ko:K02034	abb:ABBFA_001885
ko:K02033	abb:ABBFA_001886
ko:K02014	abb:ABBFA_001891
ko:K03832	abb:ABBFA_001892
ko:K03561	abb:ABBFA_001893
ko:K03559	abb:ABBFA_001894
ko:K03559	abb:ABBFA_001895
ko:K01638	abb:ABBFA_001896
ko:K06916	abb:ABBFA_001897
ko:K01591	abb:ABBFA_001901
ko:K05788	abb:ABBFA_001903
ko:K02945	abb:ABBFA_001904
ko:K00945	abb:ABBFA_001905
ko:K02168	abb:ABBFA_000183
ko:K03701	abb:ABBFA_000186
ko:K08987	abb:ABBFA_000189
ko:K03707	abb:ABBFA_000191
ko:K09799	abb:ABBFA_000192
ko:K03111	abb:ABBFA_000194
ko:K10857	abb:ABBFA_001133
ko:K00600	abb:ABBFA_001136
ko:K10016	abb:ABBFA_001142
ko:K10015	abb:ABBFA_001143
ko:K10017	abb:ABBFA_001144
ko:K08303	abb:ABBFA_001147
ko:K00528	abb:ABBFA_001150
ko:K02454	abb:ABBFA_001153
ko:K07645	abb:ABBFA_001156
ko:K05365	abb:ABBFA_001160
ko:K00858	abb:ABBFA_001161
ko:K09916	abb:ABBFA_001162
ko:K11103	abb:ABBFA_001164
ko:K03648	abb:ABBFA_001909
ko:K09936	abb:ABBFA_001660
ko:K00322	abb:ABBFA_001112
ko:K08224	abb:ABBFA_000243
ko:K03549	abb:ABBFA_000260
ko:K06188	abb:ABBFA_000266
ko:K02500	abb:ABBFA_000269
ko:K02204	abb:ABBFA_000270
ko:K01814	abb:ABBFA_000275
ko:K02501	abb:ABBFA_000278
ko:K01693	abb:ABBFA_000279
ko:K07638	abb:ABBFA_000285
ko:K06959	abb:ABBFA_000287
ko:K01673	abb:ABBFA_000288
ko:K01740	abb:ABBFA_000290
ko:K02015	abb:ABBFA_001056
ko:K02013	abb:ABBFA_001057
ko:K02016	abb:ABBFA_001058
ko:K02014	abb:ABBFA_001059
ko:K02363	abb:ABBFA_001062
ko:K01252	abb:ABBFA_001063
ko:K01590	abb:ABBFA_001064
ko:K02361	abb:ABBFA_001070
ko:K01599	abb:ABBFA_001072
ko:K01495	abb:ABBFA_001077
ko:K07402	abb:ABBFA_001080
ko:K00766	abb:ABBFA_001084
ko:K00496	abb:ABBFA_001858
ko:K03770	abb:ABBFA_001860
ko:K03530	abb:ABBFA_001861
ko:K04488	abb:ABBFA_001866
ko:K04082	abb:ABBFA_001868
ko:K01929	abb:ABBFA_000315
ko:K00563	abb:ABBFA_000317
ko:K05366	abb:ABBFA_000318
ko:K02662	abb:ABBFA_000319
ko:K02665	abb:ABBFA_000322
ko:K02666	abb:ABBFA_000323
ko:K00891	abb:ABBFA_000324
ko:K01735	abb:ABBFA_000325
ko:K00266	abb:ABBFA_000328
ko:K07044	abb:ABBFA_000329
ko:K03744	abb:ABBFA_000330
ko:K06872	abb:ABBFA_000331
ko:K00375	abb:ABBFA_000199
ko:K00135	abb:ABBFA_000201
ko:K06911	abb:ABBFA_000204
ko:K09936	abb:ABBFA_001661
ko:K03543	abb:ABBFA_001662
ko:K03555	abb:ABBFA_002293
ko:K02658	abb:ABBFA_000648
ko:K02660	abb:ABBFA_000650
ko:K01439	abb:ABBFA_000655
ko:K02992	abb:ABBFA_002748
ko:K02950	abb:ABBFA_002749
ko:K08973	abb:ABBFA_002752
ko:K06911	abb:ABBFA_002753
ko:K00135	abb:ABBFA_002759
ko:K01462	abb:ABBFA_002650
ko:K01652	abb:ABBFA_002654
ko:K06989	abb:ABBFA_002656
ko:K03811	abb:ABBFA_002668
ko:K03517	abb:ABBFA_002904
ko:K07233	abb:ABBFA_002909
ko:K01783	abb:ABBFA_002913
ko:K00817	abb:ABBFA_002928
ko:K07678	abb:ABBFA_002985
ko:K01816	abb:ABBFA_002988
ko:K09710	abb:ABBFA_002989
ko:K00325	abb:ABBFA_002991
ko:K00324	abb:ABBFA_002992
ko:K00324	abb:ABBFA_002993
ko:K05539	abb:ABBFA_002997
ko:K01681	abb:ABBFA_003002
ko:K03424	abb:ABBFA_003003
ko:K02837	abb:ABBFA_003006
ko:K01589	abb:ABBFA_003510
ko:K01588	abb:ABBFA_003511
ko:K09922	abb:ABBFA_003512
ko:K02558	abb:ABBFA_003513
ko:K00760	abb:ABBFA_003522
ko:K03981	abb:ABBFA_003524
ko:K03650	abb:ABBFA_003527
ko:K03217	abb:ABBFA_003528
ko:K08998	abb:ABBFA_003529
ko:K03536	abb:ABBFA_003530
ko:K02914	abb:ABBFA_003531
ko:K00681	abb:ABBFA_002705
ko:K03543	abb:ABBFA_002707
ko:K01698	abb:ABBFA_002709
ko:K03153	abb:ABBFA_002710
ko:K03547	abb:ABBFA_002714
ko:K03546	abb:ABBFA_002715
ko:K06997	abb:ABBFA_002716
ko:K02669	abb:ABBFA_002717
ko:K02670	abb:ABBFA_002718
ko:K06186	abb:ABBFA_002720
ko:K09801	abb:ABBFA_002721
ko:K00930	abb:ABBFA_002726
ko:K01520	abb:ABBFA_002728
ko:K03656	abb:ABBFA_002729
ko:K03545	abb:ABBFA_003058
ko:K07336	abb:ABBFA_003060
ko:K01649	abb:ABBFA_003061
ko:K00641	abb:ABBFA_003062
ko:K03116	abb:ABBFA_003067
ko:K03117	abb:ABBFA_003068
ko:K03118	abb:ABBFA_003069
ko:K07093	abb:ABBFA_003070
ko:K07093	abb:ABBFA_003071
ko:K00560	abb:ABBFA_003076
ko:K00287	abb:ABBFA_003077
ko:K03559	abb:ABBFA_003080
ko:K03561	abb:ABBFA_003081
ko:K03832	abb:ABBFA_003082
ko:K01433	abb:ABBFA_003083
ko:K00154	abb:ABBFA_003085
ko:K02902	abb:ABBFA_003086
ko:K02913	abb:ABBFA_003087
ko:K03455	abb:ABBFA_003088
ko:K03657	abb:ABBFA_003093
ko:K09862	abb:ABBFA_003153
ko:K01772	abb:ABBFA_003155
ko:K01776	abb:ABBFA_003157
ko:K09986	abb:ABBFA_003158
ko:K00311	abb:ABBFA_003159
ko:K06189	abb:ABBFA_003162
ko:K03820	abb:ABBFA_003163
ko:K06878	abb:ABBFA_003164
ko:K11103	abb:ABBFA_002675
ko:K02168	abb:ABBFA_002680
ko:K02168	abb:ABBFA_002681
ko:K02167	abb:ABBFA_002682
ko:K00116	abb:ABBFA_002685
ko:K03758	abb:ABBFA_002688
ko:K01714	abb:ABBFA_002693
ko:K03424	abb:ABBFA_002699
ko:K03451	abb:ABBFA_002762
ko:K00954	abb:ABBFA_002768
ko:K03664	abb:ABBFA_002769
ko:K05810	abb:ABBFA_002771
ko:K06180	abb:ABBFA_002772
ko:K05807	abb:ABBFA_002773
ko:K02316	abb:ABBFA_002774
ko:K02492	abb:ABBFA_002775
ko:K02494	abb:ABBFA_002777
ko:K00919	abb:ABBFA_002778
ko:K00053	abb:ABBFA_003011
ko:K01653	abb:ABBFA_003012
ko:K01652	abb:ABBFA_003013
ko:K01869	abb:ABBFA_003015
ko:K03643	abb:ABBFA_003016
ko:K02340	abb:ABBFA_003017
ko:K00208	abb:ABBFA_003021
ko:K06949	abb:ABBFA_003024
ko:K03676	abb:ABBFA_003026
ko:K03071	abb:ABBFA_003027
ko:K03977	abb:ABBFA_003029
ko:K01892	abb:ABBFA_003032
ko:K02656	abb:ABBFA_003035
ko:K06941	abb:ABBFA_003036
ko:K00940	abb:ABBFA_003037
ko:K03797	abb:ABBFA_003041
ko:K00147	abb:ABBFA_003045
ko:K00851	abb:ABBFA_003047
ko:K03299	abb:ABBFA_003048
ko:K00925	abb:ABBFA_003051
ko:K03544	abb:ABBFA_003056
ko:K00948	abb:ABBFA_002783
ko:K02897	abb:ABBFA_002784
ko:K01056	abb:ABBFA_002785
ko:K01579	abb:ABBFA_002786
ko:K02858	abb:ABBFA_002789
ko:K01091	abb:ABBFA_002790
ko:K02078	abb:ABBFA_002793
