ko:K00984	senn:SN31241_23340
ko:K05837	senn:SN31241_16450
ko:K05515	senn:SN31241_16460
ko:K00783	senn:SN31241_16470
ko:K09710	senn:SN31241_16480
ko:K00969	senn:SN31241_16510
ko:K02340	senn:SN31241_16520
ko:K03643	senn:SN31241_16530
ko:K02426	senn:SN31241_24460
ko:K00873	senn:SN31241_24500
ko:K03219	senn:SN31241_24650
ko:K03220	senn:SN31241_24660
ko:K03221	senn:SN31241_24760
ko:K03222	senn:SN31241_24790
ko:K03230	senn:SN31241_24840
ko:K03224	senn:SN31241_24850
ko:K03225	senn:SN31241_24880
ko:K03226	senn:SN31241_24890
ko:K03228	senn:SN31241_24900
ko:K03229	senn:SN31241_24910
ko:K03327	senn:SN31241_24920
ko:K00793	senn:SN31241_24930
ko:K00574	senn:SN31241_24940
ko:K05541	senn:SN31241_32860
ko:K16165	senn:SN31241_32890
ko:K00450	senn:SN31241_32900
ko:K08195	senn:SN31241_32910
ko:K10542	senn:SN31241_33010
ko:K02529	senn:SN31241_33030
ko:K07148	senn:SN31241_33040
ko:K01495	senn:SN31241_33050
ko:K01070	senn:SN31241_33060
ko:K01752	senn:SN31241_33080
ko:K07783	senn:SN31241_33100
ko:K16089	senn:SN31241_33110
ko:K11733	senn:SN31241_33120
ko:K01151	senn:SN31241_33160
ko:K02769	senn:SN31241_33170
ko:K02770	senn:SN31241_33170
ko:K02768	senn:SN31241_33190
ko:K11183	senn:SN31241_33190
ko:K03291	senn:SN31241_33220
ko:K06940	senn:SN31241_33250
ko:K02356	senn:SN31241_33260
ko:K13694	senn:SN31241_33290
ko:K13893	senn:SN31241_33310
ko:K13894	senn:SN31241_33320
ko:K13895	senn:SN31241_33330
ko:K13896	senn:SN31241_33340
ko:K11534	senn:SN31241_820
ko:K02429	senn:SN31241_840
ko:K07675	senn:SN31241_870
ko:K07783	senn:SN31241_880
ko:K02773	senn:SN31241_920
ko:K02774	senn:SN31241_930
ko:K01223	senn:SN31241_1030
ko:K17465	senn:SN31241_1080
ko:K17466	senn:SN31241_1090
ko:K17467	senn:SN31241_1100
ko:K17468	senn:SN31241_1110
ko:K07507	senn:SN31241_1150
ko:K01531	senn:SN31241_1170
ko:K01811	senn:SN31241_1280
ko:K16345	senn:SN31241_1300
ko:K03312	senn:SN31241_1310
ko:K03655	senn:SN31241_1330
ko:K00556	senn:SN31241_1340
ko:K03060	senn:SN31241_1360
ko:K00942	senn:SN31241_1370
ko:K07641	senn:SN31241_9660
ko:K06143	senn:SN31241_9670
ko:K07347	senn:SN31241_9700
ko:K07773	senn:SN31241_9750
ko:K12524	senn:SN31241_9770
ko:K00872	senn:SN31241_9780
ko:K01733	senn:SN31241_9790
ko:K09861	senn:SN31241_9800
ko:K03310	senn:SN31241_9810
ko:K03831	senn:SN31241_9830
ko:K04043	senn:SN31241_9880
ko:K03686	senn:SN31241_9890
ko:K07347	senn:SN31241_10000
ko:K06871	senn:SN31241_10140
ko:K03313	senn:SN31241_10170
ko:K03717	senn:SN31241_10180
ko:K01811	senn:SN31241_10190
ko:K02968	senn:SN31241_10210
ko:K01468	senn:SN31241_18360
ko:K05836	senn:SN31241_18380
ko:K01712	senn:SN31241_18390
ko:K01745	senn:SN31241_18400
ko:K00833	senn:SN31241_18420
ko:K01012	senn:SN31241_18430
ko:K02169	senn:SN31241_18450
ko:K01935	senn:SN31241_18460
ko:K03702	senn:SN31241_18470
ko:K03639	senn:SN31241_18500
ko:K03638	senn:SN31241_18510
ko:K03637	senn:SN31241_18520
ko:K03636	senn:SN31241_18530
ko:K06890	senn:SN31241_18550
ko:K06890	senn:SN31241_18560
ko:K00373	senn:SN31241_26540
ko:K00675	senn:SN31241_26570
ko:K11738	senn:SN31241_26590
ko:K03823	senn:SN31241_26650
ko:K09936	senn:SN31241_26660
ko:K00137	senn:SN31241_26720
ko:K08641	senn:SN31241_26740
ko:K08303	senn:SN31241_26780
ko:K05782	senn:SN31241_26800
ko:K16868	senn:SN31241_26820
ko:K03304	senn:SN31241_26830
ko:K03817	senn:SN31241_26850
ko:K02774	senn:SN31241_26870
ko:K02773	senn:SN31241_26900
ko:K05876	senn:SN31241_27000
ko:K07090	senn:SN31241_34900
ko:K07261	senn:SN31241_34910
ko:K01736	senn:SN31241_34920
ko:K07320	senn:SN31241_34930
ko:K08296	senn:SN31241_34950
ko:K06076	senn:SN31241_34990
ko:K04754	senn:SN31241_35000
ko:K11382	senn:SN31241_35070
ko:K12974	senn:SN31241_35100
ko:K14261	senn:SN31241_35120
ko:K03322	senn:SN31241_35180
ko:K11535	senn:SN31241_35190
ko:K11537	senn:SN31241_35260
ko:K03815	senn:SN31241_35270
ko:K14347	senn:SN31241_35300
ko:K09954	senn:SN31241_35310
ko:K01972	senn:SN31241_35320
ko:K03528	senn:SN31241_35330
ko:K06203	senn:SN31241_35340
ko:K01738	senn:SN31241_35350
ko:K01993	senn:SN31241_3040
ko:K13926	senn:SN31241_3050
ko:K07722	senn:SN31241_3070
ko:K06133	senn:SN31241_3080
ko:K09125	senn:SN31241_3120
ko:K01534	senn:SN31241_3160
ko:K08993	senn:SN31241_3190
ko:K03110	senn:SN31241_3210
ko:K09812	senn:SN31241_3220
ko:K09811	senn:SN31241_3230
ko:K03089	senn:SN31241_3240
ko:K01999	senn:SN31241_3250
ko:K01999	senn:SN31241_3280
ko:K01997	senn:SN31241_3290
ko:K01998	senn:SN31241_3300
ko:K01995	senn:SN31241_3310
ko:K01996	senn:SN31241_3320
ko:K07341	senn:SN31241_3340
ko:K05813	senn:SN31241_3350
ko:K01126	senn:SN31241_3390
ko:K09936	senn:SN31241_3430
ko:K06911	senn:SN31241_3490
ko:K06145	senn:SN31241_3500
ko:K06156	senn:SN31241_3520
ko:K00133	senn:SN31241_3540
ko:K03579	senn:SN31241_11790
ko:K05365	senn:SN31241_11800
ko:K02013	senn:SN31241_11830
ko:K02016	senn:SN31241_11840
ko:K02015	senn:SN31241_11850
ko:K01845	senn:SN31241_11960
ko:K03281	senn:SN31241_11970
ko:K15724	senn:SN31241_11980
ko:K01129	senn:SN31241_12020
ko:K02647	senn:SN31241_12040
ko:K00990	senn:SN31241_12080
ko:K01265	senn:SN31241_12090
ko:K02967	senn:SN31241_12100
ko:K02357	senn:SN31241_12110
ko:K09903	senn:SN31241_12120
ko:K02838	senn:SN31241_12130
ko:K00099	senn:SN31241_12140
ko:K00806	senn:SN31241_12150
ko:K00981	senn:SN31241_12160
ko:K11749	senn:SN31241_12170
ko:K07277	senn:SN31241_12190
ko:K06142	senn:SN31241_12200
ko:K14228	senn:SN31241_t440
ko:K14228	senn:SN31241_t860
ko:K14228	senn:SN31241_t840
ko:K14228	senn:SN31241_t850
ko:K14219	senn:SN31241_t420
ko:K14235	senn:SN31241_t410
ko:K14221	senn:SN31241_t100
ko:K14221	senn:SN31241_t90
ko:K14221	senn:SN31241_t400
ko:K01992	senn:SN31241_11620
ko:K02536	senn:SN31241_12210
ko:K02372	senn:SN31241_12220
ko:K00677	senn:SN31241_12230
ko:K00748	senn:SN31241_12240
ko:K03470	senn:SN31241_12250
ko:K02337	senn:SN31241_12260
ko:K01962	senn:SN31241_12270
ko:K04075	senn:SN31241_12310
ko:K01893	senn:SN31241_20150
ko:K01751	senn:SN31241_20180
ko:K03310	senn:SN31241_20200
ko:K00763	senn:SN31241_20210
ko:K03620	senn:SN31241_28730
ko:K03619	senn:SN31241_28750
ko:K03618	senn:SN31241_28760
ko:K00425	senn:SN31241_28770
ko:K00426	senn:SN31241_28780
ko:K00261	senn:SN31241_28790
ko:K01194	senn:SN31241_28810
ko:K08308	senn:SN31241_28840
ko:K01775	senn:SN31241_28870
ko:K00285	senn:SN31241_28880
ko:K03603	senn:SN31241_28900
ko:K03314	senn:SN31241_28910
ko:K03611	senn:SN31241_28920
ko:K09160	senn:SN31241_28970
ko:K09902	senn:SN31241_28990
ko:K03610	senn:SN31241_29000
ko:K03609	senn:SN31241_29010
ko:K03608	senn:SN31241_29020
ko:K03684	senn:SN31241_29030
ko:K07285	senn:SN31241_29050
ko:K09917	senn:SN31241_29090
ko:K01665	senn:SN31241_29100
ko:K01752	senn:SN31241_29120
ko:K00563	senn:SN31241_29200
ko:K03587	senn:SN31241_29210
ko:K14232	senn:SN31241_t10
ko:K14228	senn:SN31241_t60
ko:K14230	senn:SN31241_t770
ko:K14230	senn:SN31241_t810
ko:K14233	senn:SN31241_t750
ko:K14233	senn:SN31241_t760
ko:K14233	senn:SN31241_t210
ko:K14237	senn:SN31241_t740
ko:K14237	senn:SN31241_t730
ko:K14228	senn:SN31241_t720
ko:K14222	senn:SN31241_t710
ko:K14232	senn:SN31241_t290
ko:K14219	senn:SN31241_t300
ko:K14219	senn:SN31241_t650
ko:K14225	senn:SN31241_t580
ko:K14230	senn:SN31241_t380
ko:K00928	senn:SN31241_5370
ko:K01810	senn:SN31241_5380
ko:K13256	senn:SN31241_5430
ko:K10110	senn:SN31241_5440
ko:K10109	senn:SN31241_5450
ko:K10108	senn:SN31241_5470
ko:K10111	senn:SN31241_5480
ko:K02024	senn:SN31241_5490
ko:K05775	senn:SN31241_5500
ko:K03181	senn:SN31241_5510
ko:K03179	senn:SN31241_5520
ko:K00631	senn:SN31241_5530
ko:K00901	senn:SN31241_5540
ko:K01356	senn:SN31241_5550
ko:K03327	senn:SN31241_5560
ko:K09823	senn:SN31241_5590
ko:K05539	senn:SN31241_5610
ko:K01775	senn:SN31241_5650
ko:K00832	senn:SN31241_5660
ko:K03788	senn:SN31241_5670
ko:K03701	senn:SN31241_5720
ko:K00847	senn:SN31241_13910
ko:K03547	senn:SN31241_13940
ko:K07636	senn:SN31241_13970
ko:K03311	senn:SN31241_13990
ko:K11736	senn:SN31241_14000
ko:K08682	senn:SN31241_14030
ko:K07568	senn:SN31241_14040
ko:K00773	senn:SN31241_14050
ko:K03210	senn:SN31241_14060
ko:K03072	senn:SN31241_14070
ko:K03074	senn:SN31241_14080
ko:K06996	senn:SN31241_14090
ko:K05517	senn:SN31241_14130
ko:K07738	senn:SN31241_14160
ko:K11752	senn:SN31241_14170
ko:K00794	senn:SN31241_14180
ko:K03625	senn:SN31241_14190
ko:K00946	senn:SN31241_14200
ko:K01095	senn:SN31241_14210
ko:K01662	senn:SN31241_14230
ko:K00795	senn:SN31241_14240
ko:K03602	senn:SN31241_14250
ko:K03151	senn:SN31241_14260
ko:K11082	senn:SN31241_14270
ko:K11083	senn:SN31241_14280
ko:K11084	senn:SN31241_14290
ko:K11081	senn:SN31241_14300
ko:K03430	senn:SN31241_14320
ko:K05306	senn:SN31241_14330
ko:K03152	senn:SN31241_14340
ko:K00077	senn:SN31241_14350
ko:K09767	senn:SN31241_14360
ko:K02300	senn:SN31241_14410
ko:K03675	senn:SN31241_22330
ko:K08162	senn:SN31241_22340
ko:K03790	senn:SN31241_22350
ko:K09915	senn:SN31241_22360
ko:K03980	senn:SN31241_22380
ko:K02399	senn:SN31241_22390
ko:K02398	senn:SN31241_22400
ko:K02386	senn:SN31241_22410
ko:K02387	senn:SN31241_22420
ko:K02388	senn:SN31241_22430
ko:K02389	senn:SN31241_22440
ko:K02390	senn:SN31241_22450
ko:K02391	senn:SN31241_22460
ko:K02392	senn:SN31241_22470
ko:K02393	senn:SN31241_22480
ko:K02394	senn:SN31241_22490
ko:K02395	senn:SN31241_22500
ko:K02396	senn:SN31241_22510
ko:K02397	senn:SN31241_22520
ko:K08300	senn:SN31241_22530
ko:K07040	senn:SN31241_22580
ko:K03621	senn:SN31241_22600
ko:K00648	senn:SN31241_22610
ko:K00645	senn:SN31241_22620
ko:K02078	senn:SN31241_22640
ko:K09458	senn:SN31241_22650
ko:K07082	senn:SN31241_22670
ko:K00943	senn:SN31241_22680
ko:K02341	senn:SN31241_22690
ko:K03424	senn:SN31241_22700
ko:K16088	senn:SN31241_22720
ko:K02503	senn:SN31241_22730
ko:K07337	senn:SN31241_22750
ko:K07251	senn:SN31241_22760
ko:K01207	senn:SN31241_22770
ko:K07000	senn:SN31241_22780
ko:K03885	senn:SN31241_22790
ko:K12151	senn:SN31241_22820
ko:K03723	senn:SN31241_22840
ko:K09808	senn:SN31241_22850
ko:K07781	senn:SN31241_30810
ko:K07026	senn:SN31241_30840
ko:K09781	senn:SN31241_30870
ko:K07458	senn:SN31241_30890
ko:K06950	senn:SN31241_30910
ko:K03704	senn:SN31241_30950
ko:K09933	senn:SN31241_30990
ko:K01241	senn:SN31241_31070
ko:K01551	senn:SN31241_31120
ko:K00768	senn:SN31241_31170
ko:K02233	senn:SN31241_31180
ko:K02231	senn:SN31241_31190
ko:K02232	senn:SN31241_31200
ko:K02006	senn:SN31241_31210
ko:K02008	senn:SN31241_31220
ko:K02007	senn:SN31241_31240
ko:K03394	senn:SN31241_31250
ko:K05895	senn:SN31241_31270
ko:K02189	senn:SN31241_31290
ko:K03215	senn:SN31241_40670
ko:K07678	senn:SN31241_40680
ko:K00865	senn:SN31241_40690
ko:K01706	senn:SN31241_40700
ko:K13918	senn:SN31241_40710
ko:K06175	senn:SN31241_40750
ko:K15723	senn:SN31241_40770
ko:K06879	senn:SN31241_40780
ko:K14228	senn:SN31241_t560
ko:K01977	senn:SN31241_r210
ko:K01977	senn:SN31241_r170
ko:K01977	senn:SN31241_r200
ko:K01977	senn:SN31241_r220
ko:K01980	senn:SN31241_r100
ko:K01980	senn:SN31241_r150
ko:K01980	senn:SN31241_r110
ko:K01980	senn:SN31241_r140
ko:K01980	senn:SN31241_r90
ko:K01980	senn:SN31241_r120
ko:K01980	senn:SN31241_r130
ko:K01985	senn:SN31241_r40
ko:K01985	senn:SN31241_r80
ko:K01985	senn:SN31241_r70
ko:K01985	senn:SN31241_r30
ko:K01985	senn:SN31241_r50
ko:K01985	senn:SN31241_r20
ko:K01985	senn:SN31241_r10
ko:K01985	senn:SN31241_r60
ko:K14231	senn:SN31241_t870
ko:K14231	senn:SN31241_t370
ko:K14225	senn:SN31241_t30
ko:K14225	senn:SN31241_t40
ko:K14225	senn:SN31241_t700
ko:K14225	senn:SN31241_t50
ko:K14225	senn:SN31241_t520
ko:K14227	senn:SN31241_t70
ko:K14227	senn:SN31241_t480
ko:K14227	senn:SN31241_t460
ko:K14218	senn:SN31241_t80
ko:K14218	senn:SN31241_t490
ko:K14218	senn:SN31241_t470
ko:K14218	senn:SN31241_t670
ko:K14218	senn:SN31241_t660
ko:K14234	senn:SN31241_t110
ko:K14234	senn:SN31241_t200
ko:K14234	senn:SN31241_t550
ko:K14234	senn:SN31241_t500
ko:K14223	senn:SN31241_t800
ko:K14223	senn:SN31241_t790
ko:K14228	senn:SN31241_t780
ko:K14229	senn:SN31241_t130
ko:K14229	senn:SN31241_t170
ko:K14229	senn:SN31241_t180
ko:K14229	senn:SN31241_t160
ko:K14229	senn:SN31241_t340
ko:K14229	senn:SN31241_t150
ko:K14237	senn:SN31241_t140
ko:K14237	senn:SN31241_t310
ko:K14237	senn:SN31241_t330
ko:K14237	senn:SN31241_t320
ko:K14220	senn:SN31241_t190
ko:K14220	senn:SN31241_t260
ko:K14220	senn:SN31241_t680
ko:K14220	senn:SN31241_t280
ko:K14220	senn:SN31241_t270
ko:K14219	senn:SN31241_t230
ko:K14233	senn:SN31241_t690
ko:K14233	senn:SN31241_t590
ko:K14230	senn:SN31241_t350
ko:K14230	senn:SN31241_t570
ko:K14230	senn:SN31241_t360
ko:K14232	senn:SN31241_t450
ko:K14226	senn:SN31241_t430
ko:K01977	senn:SN31241_r190
ko:K06966	senn:SN31241_40790
ko:K03837	senn:SN31241_40800
ko:K01752	senn:SN31241_40810
ko:K01146	senn:SN31241_40820
ko:K00048	senn:SN31241_40830
ko:K01628	senn:SN31241_40840
ko:K02429	senn:SN31241_40870
ko:K01818	senn:SN31241_40880
ko:K02431	senn:SN31241_40900
ko:K02430	senn:SN31241_40910
ko:K06968	senn:SN31241_40920
ko:K01766	senn:SN31241_40960
ko:K02426	senn:SN31241_40970
ko:K08304	senn:SN31241_41000
ko:K01448	senn:SN31241_41010
ko:K14682	senn:SN31241_41020
ko:K03581	senn:SN31241_41030
ko:K03582	senn:SN31241_41040
ko:K01407	senn:SN31241_41050
ko:K03583	senn:SN31241_41060
ko:K02681	senn:SN31241_41070
ko:K02680	senn:SN31241_41090
ko:K02679	senn:SN31241_41100
ko:K13292	senn:SN31241_41130
ko:K08484	senn:SN31241_41140
ko:K08311	senn:SN31241_41150
ko:K02669	senn:SN31241_42220
ko:K06997	senn:SN31241_42230
ko:K02221	senn:SN31241_42240
ko:K09131	senn:SN31241_42250
ko:K09923	senn:SN31241_42320
ko:K03439	senn:SN31241_42330
ko:K03575	senn:SN31241_42340
ko:K08306	senn:SN31241_42360
ko:K01581	senn:SN31241_42390
ko:K07150	senn:SN31241_42410
ko:K06871	senn:SN31241_42470
ko:K06995	senn:SN31241_42520
ko:K11903	senn:SN31241_42570
ko:K08191	senn:SN31241_42610
ko:K01686	senn:SN31241_42620
ko:K01812	senn:SN31241_42640
ko:K01460	senn:SN31241_42660
ko:K02020	senn:SN31241_42680
ko:K02016	senn:SN31241_42690
ko:K04653	senn:SN31241_42700
ko:K04651	senn:SN31241_42710
ko:K02066	senn:SN31241_44350
ko:K02065	senn:SN31241_44360
ko:K07301	senn:SN31241_44370
ko:K06041	senn:SN31241_44380
ko:K03270	senn:SN31241_44390
ko:K11719	senn:SN31241_44400
ko:K09774	senn:SN31241_44410
ko:K06861	senn:SN31241_44420
ko:K03092	senn:SN31241_44430
ko:K05808	senn:SN31241_44440
ko:K06958	senn:SN31241_44460
ko:K03814	senn:SN31241_44490
ko:K07648	senn:SN31241_44510
ko:K07139	senn:SN31241_44520
ko:K00266	senn:SN31241_44540
ko:K10974	senn:SN31241_44570
ko:K00885	senn:SN31241_44600
ko:K03290	senn:SN31241_44620
ko:K03600	senn:SN31241_44650
ko:K03599	senn:SN31241_44660
ko:K02996	senn:SN31241_44680
ko:K02871	senn:SN31241_44690
ko:K06916	senn:SN31241_44700
ko:K09908	senn:SN31241_44710
ko:K04691	senn:SN31241_44730
ko:K01573	senn:SN31241_44770
ko:K03780	senn:SN31241_44780
ko:K00024	senn:SN31241_44830
ko:K03402	senn:SN31241_44840
ko:K03534	senn:SN31241_46900
ko:K02379	senn:SN31241_46970
ko:K00123	senn:SN31241_46990
ko:K02380	senn:SN31241_47020
ko:K07560	senn:SN31241_47090
ko:K07058	senn:SN31241_47100
ko:K08318	senn:SN31241_47150
ko:K01671	senn:SN31241_47160
ko:K07090	senn:SN31241_47190
ko:K15922	senn:SN31241_47200
ko:K06207	senn:SN31241_47260
ko:K01915	senn:SN31241_47270
ko:K07708	senn:SN31241_47280
ko:K07712	senn:SN31241_47290
ko:K09894	senn:SN31241_47310
ko:K03978	senn:SN31241_47320
ko:K03673	senn:SN31241_47360
ko:K09896	senn:SN31241_47380
ko:K03752	senn:SN31241_47390
ko:K03753	senn:SN31241_47400
ko:K02558	senn:SN31241_8050
ko:K09889	senn:SN31241_8060
ko:K03592	senn:SN31241_8070
ko:K15536	senn:SN31241_8080
ko:K01465	senn:SN31241_8150
ko:K01042	senn:SN31241_8160
ko:K02818	senn:SN31241_8250
ko:K02819	senn:SN31241_8250
ko:K03485	senn:SN31241_8270
ko:K01531	senn:SN31241_8280
ko:K00610	senn:SN31241_8300
ko:K00609	senn:SN31241_8310
ko:K00611	senn:SN31241_8350
ko:K00926	senn:SN31241_8360
ko:K00611	senn:SN31241_8390
ko:K09893	senn:SN31241_8400
ko:K06169	senn:SN31241_8410
ko:K03828	senn:SN31241_8440
ko:K01873	senn:SN31241_8460
ko:K02339	senn:SN31241_8470
ko:K01255	senn:SN31241_8480
ko:K07091	senn:SN31241_8490
ko:K11720	senn:SN31241_8500
ko:K06146	senn:SN31241_8510
ko:K06157	senn:SN31241_8520
ko:K00098	senn:SN31241_8540
ko:K12957	senn:SN31241_8560
ko:K01869	senn:SN31241_16540
ko:K16849	senn:SN31241_16550
ko:K16850	senn:SN31241_16560
ko:K04045	senn:SN31241_16650
ko:K10004	senn:SN31241_16680
ko:K10002	senn:SN31241_16690
ko:K10003	senn:SN31241_16700
ko:K10001	senn:SN31241_16710
ko:K03820	senn:SN31241_16720
ko:K06189	senn:SN31241_16730
ko:K07042	senn:SN31241_16740
ko:K06168	senn:SN31241_16760
ko:K03184	senn:SN31241_16770
ko:K01953	senn:SN31241_16790
ko:K02565	senn:SN31241_16810
ko:K01443	senn:SN31241_16820
ko:K02802	senn:SN31241_16840
ko:K02803	senn:SN31241_16840
ko:K02804	senn:SN31241_16840
ko:K01886	senn:SN31241_16850
ko:K03288	senn:SN31241_16880
ko:K13795	senn:SN31241_16890
ko:K13796	senn:SN31241_16900
ko:K13794	senn:SN31241_16910
ko:K03839	senn:SN31241_16930
ko:K03645	senn:SN31241_16970
ko:K04564	senn:SN31241_24980
ko:K07390	senn:SN31241_25000
ko:K03683	senn:SN31241_25010
ko:K10680	senn:SN31241_25030
ko:K16137	senn:SN31241_25040
ko:K06938	senn:SN31241_25050
ko:K06077	senn:SN31241_25120
ko:K09001	senn:SN31241_25130
ko:K00275	senn:SN31241_25150
ko:K01866	senn:SN31241_25160
ko:K00868	senn:SN31241_25180
ko:K03305	senn:SN31241_25200
ko:K10773	senn:SN31241_25210
ko:K01809	senn:SN31241_25350
ko:K01676	senn:SN31241_25360
ko:K07639	senn:SN31241_25390
ko:K07661	senn:SN31241_25440
ko:K03758	senn:SN31241_25460
ko:K00324	senn:SN31241_25480
ko:K07552	senn:SN31241_33360
ko:K02897	senn:SN31241_33390
ko:K06899	senn:SN31241_33410
ko:K09904	senn:SN31241_33420
ko:K07014	senn:SN31241_33430
ko:K07685	senn:SN31241_33500
ko:K01250	senn:SN31241_16670
ko:K02199	senn:SN31241_33520
ko:K02198	senn:SN31241_33530
ko:K02197	senn:SN31241_33540
ko:K02196	senn:SN31241_33550
ko:K02195	senn:SN31241_33560
ko:K02194	senn:SN31241_33570
ko:K02568	senn:SN31241_33600
ko:K02573	senn:SN31241_33620
ko:K02567	senn:SN31241_33630
ko:K02570	senn:SN31241_33640
ko:K02572	senn:SN31241_33660
ko:K08276	senn:SN31241_33670
ko:K06159	senn:SN31241_33680
ko:K03919	senn:SN31241_33690
ko:K10778	senn:SN31241_33700
ko:K03734	senn:SN31241_33710
ko:K09475	senn:SN31241_33720
ko:K07676	senn:SN31241_33740
ko:K07687	senn:SN31241_33750
ko:K07677	senn:SN31241_33760
ko:K02469	senn:SN31241_33770
ko:K11107	senn:SN31241_33840
ko:K01972	senn:SN31241_1390
ko:K00989	senn:SN31241_1450
ko:K00762	senn:SN31241_1460
ko:K05501	senn:SN31241_1470
ko:K13038	senn:SN31241_1490
ko:K03630	senn:SN31241_1500
ko:K02902	senn:SN31241_1510
ko:K02913	senn:SN31241_1520
ko:K00954	senn:SN31241_1540
ko:K02527	senn:SN31241_1550
ko:K02844	senn:SN31241_1580
ko:K02848	senn:SN31241_1590
ko:K02840	senn:SN31241_1610
ko:K02850	senn:SN31241_1640
ko:K02847	senn:SN31241_1670
ko:K02841	senn:SN31241_1680
ko:K03274	senn:SN31241_1700
