ko:K18137	abx:ABK1_2568
ko:K07088	abx:ABK1_0510
ko:K00641	abx:ABK1_0514
ko:K01649	abx:ABK1_0515
ko:K03545	abx:ABK1_0518
ko:K01358	abx:ABK1_0519
ko:K03544	abx:ABK1_0520
ko:K01676	abx:ABK1_0523
ko:K13788	abx:ABK1_0524
ko:K00925	abx:ABK1_0525
ko:K01690	abx:ABK1_0526
ko:K01625	abx:ABK1_0527
ko:K00147	abx:ABK1_0531
ko:K01207	abx:ABK1_0534
ko:K03797	abx:ABK1_0535
ko:K00940	abx:ABK1_0539
ko:K06941	abx:ABK1_0540
ko:K02656	abx:ABK1_0541
ko:K01892	abx:ABK1_0544
ko:K03977	abx:ABK1_0547
ko:K02078	abx:ABK1_0552
ko:K02078	abx:ABK1_0553
ko:K01745	abx:ABK1_0559
ko:K13652	abx:ABK1_1442
ko:K00878	abx:ABK1_1443
ko:K01256	abx:ABK1_1446
ko:K03824	abx:ABK1_1460
ko:K07275	abx:ABK1_1462
ko:K01531	abx:ABK1_1471
ko:K00375	abx:ABK1_1908
ko:K07734	abx:ABK1_1909
ko:K13929	abx:ABK1_1914
ko:K13930	abx:ABK1_1915
ko:K13931	abx:ABK1_1916
ko:K13932	abx:ABK1_1917
ko:K13933	abx:ABK1_1918
ko:K13934	abx:ABK1_1919
ko:K13935	abx:ABK1_1920
ko:K13928	abx:ABK1_1923
ko:K00426	abx:ABK1_1926
ko:K00425	abx:ABK1_1927
ko:K03885	abx:ABK1_2387
ko:K03781	abx:ABK1_2400
ko:K06169	abx:ABK1_2845
ko:K03474	abx:ABK1_2846
ko:K03584	abx:ABK1_2847
ko:K03100	abx:ABK1_2852
ko:K03596	abx:ABK1_2853
ko:K07107	abx:ABK1_2854
ko:K00278	abx:ABK1_2856
ko:K00943	abx:ABK1_2858
ko:K07082	abx:ABK1_2859
ko:K02048	abx:ABK1_2861
ko:K07002	abx:ABK1_2862
ko:K02046	abx:ABK1_2863
ko:K02047	abx:ABK1_2864
ko:K02045	abx:ABK1_2865
ko:K13635	abx:ABK1_2866
ko:K10026	abx:ABK1_2869
ko:K06920	abx:ABK1_2870
ko:K03564	abx:ABK1_2873
ko:K01414	abx:ABK1_3292
ko:K07070	abx:ABK1_3293
ko:K09159	abx:ABK1_3299
ko:K02879	abx:ABK1_3302
ko:K03040	abx:ABK1_3303
ko:K02986	abx:ABK1_3304
ko:K02948	abx:ABK1_3305
ko:K02952	abx:ABK1_3306
ko:K02919	abx:ABK1_3307
ko:K03076	abx:ABK1_3308
ko:K02876	abx:ABK1_3309
ko:K02907	abx:ABK1_3310
ko:K02988	abx:ABK1_3311
ko:K02881	abx:ABK1_3312
ko:K02933	abx:ABK1_3313
ko:K02994	abx:ABK1_3314
ko:K02954	abx:ABK1_3315
ko:K02931	abx:ABK1_3316
ko:K02895	abx:ABK1_3317
ko:K02874	abx:ABK1_3318
ko:K02961	abx:ABK1_3319
ko:K02904	abx:ABK1_3320
ko:K02878	abx:ABK1_3321
ko:K03981	abx:ABK1_3754
ko:K15726	abx:ABK1_3463
ko:K15984	abx:ABK1_0682
ko:K01070	abx:ABK1_0684
ko:K09956	abx:ABK1_0685
ko:K01783	abx:ABK1_0686
ko:K07233	abx:ABK1_0690
ko:K00620	abx:ABK1_0694
ko:K03517	abx:ABK1_0695
ko:K00252	abx:ABK1_0699
ko:K08196	abx:ABK1_0700
ko:K13795	abx:ABK1_0702
ko:K13796	abx:ABK1_0703
ko:K13794	abx:ABK1_0704
ko:K03288	abx:ABK1_0706
ko:K00549	abx:ABK1_0715
ko:K09024	abx:ABK1_0716
ko:K05358	abx:ABK1_0725
ko:K02338	abx:ABK1_0013
ko:K02313	abx:ABK1_0014
ko:K02914	abx:ABK1_0015
ko:K03536	abx:ABK1_0016
ko:K08998	abx:ABK1_0017
ko:K03217	abx:ABK1_0018
ko:K03650	abx:ABK1_0019
ko:K03981	abx:ABK1_0022
ko:K00760	abx:ABK1_0024
ko:K02558	abx:ABK1_0032
ko:K09922	abx:ABK1_0033
ko:K01588	abx:ABK1_0034
ko:K01589	abx:ABK1_0035
ko:K04043	abx:ABK1_0040
ko:K03687	abx:ABK1_0041
ko:K03774	abx:ABK1_0050
ko:K03101	abx:ABK1_0051
ko:K01870	abx:ABK1_0052
ko:K11753	abx:ABK1_0053
ko:K15554	abx:ABK1_0058
ko:K15553	abx:ABK1_0060
ko:K15553	abx:ABK1_0061
ko:K14682	abx:ABK1_0062
ko:K04567	abx:ABK1_0984
ko:K00957	abx:ABK1_0986
ko:K09965	abx:ABK1_0988
ko:K03300	abx:ABK1_0990
ko:K01637	abx:ABK1_0994
ko:K03190	abx:ABK1_0998
ko:K01430	abx:ABK1_0999
ko:K01429	abx:ABK1_1000
ko:K01428	abx:ABK1_1001
ko:K03187	abx:ABK1_1002
ko:K03188	abx:ABK1_1003
ko:K03189	abx:ABK1_1004
ko:K03192	abx:ABK1_1005
ko:K05515	abx:ABK1_1007
ko:K10773	abx:ABK1_1011
ko:K00262	abx:ABK1_1013
ko:K00783	abx:ABK1_1016
ko:K01338	abx:ABK1_1017
ko:K08995	abx:ABK1_1676
ko:K01883	abx:ABK1_1678
ko:K06041	abx:ABK1_1679
ko:K03270	abx:ABK1_1680
ko:K11719	abx:ABK1_1681
ko:K09774	abx:ABK1_1682
ko:K06861	abx:ABK1_1683
ko:K12541	abx:ABK1_1685
ko:K12542	abx:ABK1_1686
ko:K03555	abx:ABK1_1694
ko:K02517	abx:ABK1_1699
ko:K08195	abx:ABK1_1701
ko:K02233	abx:ABK1_2149
ko:K01626	abx:ABK1_2150
ko:K07090	abx:ABK1_2151
ko:K00748	abx:ABK1_2156
ko:K01993	abx:ABK1_2158
ko:K02503	abx:ABK1_2166
ko:K03760	abx:ABK1_3055
ko:K06076	abx:ABK1_3075
ko:K02203	abx:ABK1_3076
ko:K00390	abx:ABK1_3077
ko:K08301	abx:ABK1_3080
ko:K06287	abx:ABK1_3081
ko:K03571	abx:ABK1_3082
ko:K03570	abx:ABK1_3083
ko:K03569	abx:ABK1_3084
ko:K07347	abx:ABK1_2005
ko:K07345	abx:ABK1_2007
ko:K01012	abx:ABK1_2011
ko:K03823	abx:ABK1_2017
ko:K07113	abx:ABK1_2021
ko:K00789	abx:ABK1_2024
ko:K00449	abx:ABK1_2463
ko:K08195	abx:ABK1_2465
ko:K01055	abx:ABK1_2466
ko:K01857	abx:ABK1_2467
ko:K01032	abx:ABK1_2469
ko:K01031	abx:ABK1_2470
ko:K00991	abx:ABK1_2471
ko:K05589	abx:ABK1_2472
ko:K01689	abx:ABK1_2474
ko:K01627	abx:ABK1_2475
ko:K01937	abx:ABK1_2476
ko:K07044	abx:ABK1_2478
ko:K01626	abx:ABK1_2485
ko:K09771	abx:ABK1_2486
ko:K03694	abx:ABK1_2487
ko:K06891	abx:ABK1_2488
ko:K00145	abx:ABK1_2490
ko:K04485	abx:ABK1_2933
ko:K04568	abx:ABK1_2936
ko:K03473	abx:ABK1_2937
ko:K02379	abx:ABK1_2939
ko:K00865	abx:ABK1_2942
ko:K07124	abx:ABK1_2943
ko:K07044	abx:ABK1_2946
ko:K04760	abx:ABK1_2951
ko:K14058	abx:ABK1_2954
ko:K03799	abx:ABK1_2956
ko:K01126	abx:ABK1_2959
ko:K01484	abx:ABK1_3379
ko:K06447	abx:ABK1_3380
ko:K00673	abx:ABK1_3381
ko:K00840	abx:ABK1_3382
ko:K00261	abx:ABK1_3383
ko:K08160	abx:ABK1_3395
ko:K03923	abx:ABK1_3397
ko:K11939	abx:ABK1_3402
ko:K11939	abx:ABK1_3403
ko:K02435	abx:ABK1_3085
ko:K02434	abx:ABK1_3087
ko:K05520	abx:ABK1_3089
ko:K01754	abx:ABK1_3094
ko:K07001	abx:ABK1_3095
ko:K03310	abx:ABK1_3096
ko:K07552	abx:ABK1_3100
ko:K08224	abx:ABK1_3519
ko:K06911	abx:ABK1_3523
ko:K00823	abx:ABK1_3527
ko:K00375	abx:ABK1_3528
ko:K09799	abx:ABK1_3535
ko:K03707	abx:ABK1_3536
ko:K02442	abx:ABK1_3537
ko:K08987	abx:ABK1_3538
ko:K03701	abx:ABK1_3541
ko:K02168	abx:ABK1_3544
ko:K07566	abx:ABK1_0195
ko:K04096	abx:ABK1_0196
ko:K01462	abx:ABK1_0198
ko:K01738	abx:ABK1_0205
ko:K02346	abx:ABK1_0214
ko:K06966	abx:ABK1_0217
ko:K09858	abx:ABK1_0220
ko:K08369	abx:ABK1_0222
ko:K02621	abx:ABK1_0223
ko:K01714	abx:ABK1_0230
ko:K01628	abx:ABK1_0231
ko:K00375	abx:ABK1_0232
ko:K03733	abx:ABK1_0246
ko:K03642	abx:ABK1_1170
ko:K05837	abx:ABK1_1172
ko:K06879	abx:ABK1_1174
ko:K10857	abx:ABK1_1178
ko:K00600	abx:ABK1_1181
ko:K10016	abx:ABK1_1187
ko:K10015	abx:ABK1_1188
ko:K10017	abx:ABK1_1189
ko:K08303	abx:ABK1_1192
ko:K00528	abx:ABK1_1195
ko:K05365	abx:ABK1_1205
ko:K00858	abx:ABK1_1206
ko:K09916	abx:ABK1_1207
ko:K11103	abx:ABK1_1209
ko:K14170	abx:ABK1_1212
ko:K07018	abx:ABK1_1217
ko:K09861	abx:ABK1_1218
ko:K03149	abx:ABK1_1220
ko:K03154	abx:ABK1_1221
ko:K03089	abx:ABK1_1223
ko:K03449	abx:ABK1_1764
ko:K09927	abx:ABK1_1765
ko:K09765	abx:ABK1_1767
ko:K13639	abx:ABK1_1769
ko:K09712	abx:ABK1_1770
ko:K12658	abx:ABK1_1774
ko:K01752	abx:ABK1_1782
ko:K02618	abx:ABK1_1783
ko:K02609	abx:ABK1_1784
ko:K02610	abx:ABK1_1785
ko:K02611	abx:ABK1_1786
ko:K02612	abx:ABK1_1787
ko:K02613	abx:ABK1_1788
ko:K01029	abx:ABK1_2228
ko:K01028	abx:ABK1_2229
ko:K00019	abx:ABK1_2233
ko:K01061	abx:ABK1_2236
ko:K02019	abx:ABK1_2245
ko:K02020	abx:ABK1_2246
ko:K02018	abx:ABK1_2247
ko:K00216	abx:ABK1_2249
ko:K00937	abx:ABK1_2253
ko:K06136	abx:ABK1_2254
ko:K06138	abx:ABK1_2256
ko:K06139	abx:ABK1_2257
ko:K01273	abx:ABK1_2258
ko:K03897	abx:ABK1_2699
ko:K02016	abx:ABK1_2701
ko:K02013	abx:ABK1_2702
ko:K02015	abx:ABK1_2703
ko:K02015	abx:ABK1_2704
ko:K06911	abx:ABK1_2711
ko:K08368	abx:ABK1_2718
ko:K04030	abx:ABK1_2726
ko:K11068	abx:ABK1_3160
ko:K03070	abx:ABK1_3163
ko:K11754	abx:ABK1_3168
ko:K01963	abx:ABK1_3169
ko:K01695	abx:ABK1_3170
ko:K07044	abx:ABK1_3172
ko:K01696	abx:ABK1_3175
ko:K01817	abx:ABK1_3176
ko:K00798	abx:ABK1_3179
ko:K01126	abx:ABK1_3180
ko:K07664	abx:ABK1_3184
ko:K07642	abx:ABK1_3185
ko:K01477	abx:ABK1_3606
ko:K01483	abx:ABK1_3607
ko:K02622	abx:ABK1_3608
ko:K07000	abx:ABK1_3609
ko:K03611	abx:ABK1_3616
ko:K01919	abx:ABK1_3617
ko:K14287	abx:ABK1_3621
ko:K03075	abx:ABK1_0374
ko:K09748	abx:ABK1_0375
ko:K02600	abx:ABK1_0376
ko:K02519	abx:ABK1_0377
ko:K02834	abx:ABK1_0378
ko:K05564	abx:ABK1_0379
ko:K05563	abx:ABK1_0380
ko:K05562	abx:ABK1_0381
ko:K05561	abx:ABK1_0382
ko:K05560	abx:ABK1_0383
ko:K05559	abx:ABK1_0384
ko:K11755	abx:ABK1_0387
ko:K03688	abx:ABK1_0389
ko:K03690	abx:ABK1_0390
ko:K03183	abx:ABK1_0391
ko:K03583	abx:ABK1_0395
ko:K03582	abx:ABK1_0396
ko:K03581	abx:ABK1_0397
ko:K02956	abx:ABK1_0399
ko:K00962	abx:ABK1_0400
ko:K05516	abx:ABK1_0403
ko:K04083	abx:ABK1_0405
ko:K04066	abx:ABK1_0407
ko:K02455	abx:ABK1_0408
ko:K02456	abx:ABK1_0409
ko:K06878	abx:ABK1_0413
ko:K03820	abx:ABK1_0414
ko:K06189	abx:ABK1_0415
ko:K00311	abx:ABK1_0417
ko:K09986	abx:ABK1_0418
ko:K01776	abx:ABK1_0419
ko:K01772	abx:ABK1_0421
ko:K09862	abx:ABK1_0423
ko:K07007	abx:ABK1_0425
ko:K06199	abx:ABK1_0427
ko:K02909	abx:ABK1_0429
ko:K03327	abx:ABK1_0433
ko:K09936	abx:ABK1_0434
ko:K01895	abx:ABK1_1342
ko:K01633	abx:ABK1_1346
ko:K00950	abx:ABK1_1347
ko:K01546	abx:ABK1_1348
ko:K01547	abx:ABK1_1349
ko:K01548	abx:ABK1_1350
ko:K07646	abx:ABK1_1351
ko:K07667	abx:ABK1_1352
ko:K09470	abx:ABK1_1353
ko:K03530	abx:ABK1_1360
ko:K04090	abx:ABK1_1852
ko:K01640	abx:ABK1_1854
ko:K01968	abx:ABK1_1855
ko:K13766	abx:ABK1_1856
ko:K01969	abx:ABK1_1857
ko:K15256	abx:ABK1_1861
ko:K03781	abx:ABK1_1873
ko:K00297	abx:ABK1_2327
ko:K00948	abx:ABK1_2330
ko:K02013	abx:ABK1_2334
ko:K02015	abx:ABK1_2335
ko:K02016	abx:ABK1_2336
ko:K13979	abx:ABK1_2338
ko:K03580	abx:ABK1_2791
ko:K01845	abx:ABK1_2794
ko:K00788	abx:ABK1_2795
ko:K06956	abx:ABK1_2802
ko:K00031	abx:ABK1_2807
ko:K06181	abx:ABK1_2808
ko:K00031	abx:ABK1_2809
ko:K03885	abx:ABK1_2812
ko:K03775	abx:ABK1_2813
ko:K01669	abx:ABK1_2814
ko:K03665	abx:ABK1_3244
ko:K02528	abx:ABK1_3249
ko:K00097	abx:ABK1_3250
ko:K02871	abx:ABK1_3251
ko:K02996	abx:ABK1_3252
ko:K03599	abx:ABK1_3253
ko:K03600	abx:ABK1_3254
ko:K13777	abx:ABK1_3256
ko:K13779	abx:ABK1_3257
ko:K11731	abx:ABK1_3258
ko:K13778	abx:ABK1_3259
ko:K13774	abx:ABK1_3260
ko:K01246	abx:ABK1_3687
ko:K12957	abx:ABK1_3688
ko:K06222	abx:ABK1_3692
ko:K00215	abx:ABK1_3695
ko:K03686	abx:ABK1_3697
ko:K01595	abx:ABK1_3703
ko:K07090	abx:ABK1_3706
ko:K01687	abx:ABK1_3708
ko:K00604	abx:ABK1_3709
ko:K03500	abx:ABK1_3710
ko:K07107	abx:ABK1_0560
ko:K09458	abx:ABK1_0568
ko:K06133	abx:ABK1_0570
ko:K03071	abx:ABK1_0571
ko:K06949	abx:ABK1_0574
ko:K13288	abx:ABK1_0575
ko:K00208	abx:ABK1_0577
ko:K05685	abx:ABK1_0579
ko:K13888	abx:ABK1_0580
ko:K02340	abx:ABK1_0581
ko:K03643	abx:ABK1_0582
ko:K01869	abx:ABK1_0583
ko:K01652	abx:ABK1_0585
ko:K01653	abx:ABK1_0586
ko:K00053	abx:ABK1_0587
ko:K02837	abx:ABK1_0593
ko:K03424	abx:ABK1_0596
ko:K01681	abx:ABK1_0597
ko:K05539	abx:ABK1_0603
ko:K00324	abx:ABK1_0607
ko:K00324	abx:ABK1_0608
ko:K00325	abx:ABK1_0609
ko:K09710	abx:ABK1_0611
ko:K07678	abx:ABK1_0615
ko:K12339	abx:ABK1_0616
ko:K07501	abx:ABK1_0617
ko:K00384	abx:ABK1_0862
ko:K03466	abx:ABK1_0863
ko:K03608	abx:ABK1_0867
ko:K03609	abx:ABK1_0868
ko:K03610	abx:ABK1_0869
ko:K03656	abx:ABK1_0873
ko:K15778	abx:ABK1_0875
ko:K00930	abx:ABK1_0876
ko:K09801	abx:ABK1_0881
ko:K06186	abx:ABK1_0882
ko:K02670	abx:ABK1_0884
ko:K02669	abx:ABK1_0885
ko:K06997	abx:ABK1_0886
ko:K03547	abx:ABK1_0888
ko:K06996	abx:ABK1_0890
ko:K07071	abx:ABK1_0892
ko:K01698	abx:ABK1_0894
ko:K03543	abx:ABK1_0896
ko:K03446	abx:ABK1_0897
ko:K08369	abx:ABK1_0903
ko:K01714	abx:ABK1_0904
ko:K03758	abx:ABK1_0909
ko:K00116	abx:ABK1_0912
ko:K02167	abx:ABK1_0915
ko:K02168	abx:ABK1_0916
ko:K02168	abx:ABK1_0917
ko:K11103	abx:ABK1_0922
ko:K07397	abx:ABK1_1617
ko:K03695	abx:ABK1_1620
ko:K12297	abx:ABK1_1623
ko:K00609	abx:ABK1_1625
ko:K01465	abx:ABK1_1626
ko:K03439	abx:ABK1_1630
ko:K03387	abx:ABK1_1634
ko:K03578	abx:ABK1_1639
ko:K05548	abx:ABK1_1642
ko:K05782	abx:ABK1_1643
ko:K05783	abx:ABK1_1644
ko:K05784	abx:ABK1_1645
ko:K07102	abx:ABK1_2054
ko:K06916	abx:ABK1_2085
ko:K01638	abx:ABK1_2086
ko:K03561	abx:ABK1_2090
ko:K03832	abx:ABK1_2091
ko:K02034	abx:ABK1_2097
ko:K02968	abx:ABK1_2103
ko:K02553	abx:ABK1_2105
ko:K07223	abx:ABK1_2107
ko:K03723	abx:ABK1_2109
ko:K04755	abx:ABK1_2112
ko:K04044	abx:ABK1_2113
ko:K04082	abx:ABK1_2114
ko:K03565	abx:ABK1_2550
ko:K00677	abx:ABK1_2552
ko:K02372	abx:ABK1_2553
ko:K02536	abx:ABK1_2554
ko:K06142	abx:ABK1_2555
ko:K07277	abx:ABK1_2556
ko:K11749	abx:ABK1_2557
ko:K00099	abx:ABK1_2558
ko:K00806	abx:ABK1_2560
ko:K02838	abx:ABK1_2561
ko:K09903	abx:ABK1_2562
ko:K14441	abx:ABK1_2563
ko:K07708	abx:ABK1_2565
ko:K07712	abx:ABK1_2566
ko:K01770	abx:ABK1_2571
ko:K00285	abx:ABK1_2573
ko:K07235	abx:ABK1_2579
ko:K07146	abx:ABK1_3016
ko:K07039	abx:ABK1_3018
ko:K03086	abx:ABK1_3020
ko:K09158	abx:ABK1_3021
ko:K03801	abx:ABK1_3022
ko:K03216	abx:ABK1_3028
ko:K02302	abx:ABK1_3029
ko:K01875	abx:ABK1_3030
ko:K03634	abx:ABK1_3032
ko:K02899	abx:ABK1_3033
ko:K02888	abx:ABK1_3034
ko:K02523	abx:ABK1_3035
ko:K03585	abx:ABK1_3038
ko:K01735	abx:ABK1_3439
ko:K01740	abx:ABK1_3471
ko:K01673	abx:ABK1_3473
ko:K06959	abx:ABK1_3474
ko:K07659	abx:ABK1_3475
ko:K03215	abx:ABK1_0618
ko:K07507	abx:ABK1_1472
ko:K05782	abx:ABK1_1473
ko:K11250	abx:ABK1_1475
ko:K02343	abx:ABK1_1485
ko:K01114	abx:ABK1_1487
ko:K07107	abx:ABK1_1488
ko:K00075	abx:ABK1_1492
ko:K15551	abx:ABK1_1936
ko:K15552	abx:ABK1_1938
ko:K03119	abx:ABK1_1939
ko:K07240	abx:ABK1_1951
ko:K07240	abx:ABK1_1952
ko:K03387	abx:ABK1_1953
ko:K00640	abx:ABK1_1956
ko:K15396	abx:ABK1_1957
ko:K02337	abx:ABK1_1958
ko:K05597	abx:ABK1_1959
ko:K14260	abx:ABK1_1961
ko:K00432	abx:ABK1_1963
ko:K00154	abx:ABK1_2405
ko:K02688	abx:ABK1_2410
ko:K03464	abx:ABK1_2424
ko:K03381	abx:ABK1_2425
ko:K01055	abx:ABK1_2429
ko:K01434	abx:ABK1_2430
ko:K03685	abx:ABK1_2850
ko:K07552	abx:ABK1_2879
ko:K01952	abx:ABK1_2880
ko:K01129	abx:ABK1_2881
ko:K03550	abx:ABK1_2882
ko:K03551	abx:ABK1_2883
ko:K07107	abx:ABK1_2885
ko:K03562	abx:ABK1_2886
ko:K03641	abx:ABK1_2889
ko:K03640	abx:ABK1_2890
ko:K03841	abx:ABK1_2892
ko:K03437	abx:ABK1_2893
ko:K03088	abx:ABK1_2894
ko:K10763	abx:ABK1_2901
ko:K02982	abx:ABK1_3322
ko:K02890	abx:ABK1_3323
ko:K02965	abx:ABK1_3324
ko:K02886	abx:ABK1_3325
ko:K02892	abx:ABK1_3326
ko:K02926	abx:ABK1_3327
ko:K02906	abx:ABK1_3328
ko:K02946	abx:ABK1_3329
ko:K06915	abx:ABK1_3332
ko:K05916	abx:ABK1_3333
ko:K13771	abx:ABK1_3334
ko:K03978	abx:ABK1_3335
ko:K07044	abx:ABK1_3336
ko:K10805	abx:ABK1_3338
ko:K00631	abx:ABK1_3339
ko:K03655	abx:ABK1_3342
ko:K06966	abx:ABK1_3345
ko:K03284	abx:ABK1_3346
ko:K07323	abx:ABK1_3348
ko:K02066	abx:ABK1_3350
ko:K07638	abx:ABK1_3476
ko:K01693	abx:ABK1_3480
ko:K02501	abx:ABK1_3481
ko:K01814	abx:ABK1_3484
ko:K02204	abx:ABK1_3489
ko:K02500	abx:ABK1_3490
ko:K03673	abx:ABK1_0068
ko:K00989	abx:ABK1_0073
ko:K01114	abx:ABK1_0075
ko:K00767	abx:ABK1_0077
ko:K03806	abx:ABK1_0078
ko:K03980	abx:ABK1_0079
ko:K03773	abx:ABK1_0080
ko:K01991	abx:ABK1_0084
ko:K02474	abx:ABK1_0085
ko:K00963	abx:ABK1_0100
ko:K00012	abx:ABK1_0101
ko:K01810	abx:ABK1_0102
ko:K00427	abx:ABK1_0105
ko:K14348	abx:ABK1_0106
ko:K03777	abx:ABK1_0108
ko:K00832	abx:ABK1_0109
ko:K00285	abx:ABK1_0129
ko:K01775	abx:ABK1_0130
ko:K09895	abx:ABK1_1097
ko:K03185	abx:ABK1_1099
ko:K06895	abx:ABK1_1105
ko:K05596	abx:ABK1_1106
ko:K07160	abx:ABK1_1716
ko:K09967	abx:ABK1_1727
ko:K09967	abx:ABK1_1728
ko:K11746	abx:ABK1_1730
ko:K10764	abx:ABK1_2175
ko:K09747	abx:ABK1_2177
ko:K06187	abx:ABK1_2178
ko:K03684	abx:ABK1_2179
ko:K09902	abx:ABK1_2183
ko:K09989	abx:ABK1_2186
ko:K06001	abx:ABK1_2187
ko:K07320	abx:ABK1_2188
ko:K01736	abx:ABK1_2189
ko:K03644	abx:ABK1_2193
ko:K00627	abx:ABK1_2196
ko:K00382	abx:ABK1_2197
ko:K09790	abx:ABK1_3106
ko:K09977	abx:ABK1_3107
ko:K01881	abx:ABK1_3119
ko:K09946	abx:ABK1_3120
ko:K06193	abx:ABK1_3121
ko:K06980	abx:ABK1_3124
ko:K03981	abx:ABK1_3125
ko:K07088	abx:ABK1_3127
ko:K14393	abx:ABK1_3546
ko:K00299	abx:ABK1_3551
ko:K01895	abx:ABK1_3555
ko:K02527	abx:ABK1_3559
ko:K02836	abx:ABK1_3562
ko:K07462	abx:ABK1_3564
ko:K00275	abx:ABK1_3565
ko:K03431	abx:ABK1_3566
ko:K06940	abx:ABK1_3568
ko:K07391	abx:ABK1_0268
ko:K04752	abx:ABK1_0270
ko:K03320	abx:ABK1_0271
ko:K07738	abx:ABK1_0272
ko:K11752	abx:ABK1_0273
ko:K00793	abx:ABK1_0275
ko:K02339	abx:ABK1_0278
ko:K01255	abx:ABK1_0279
