ko:K02058	mhal:N220_07840
ko:K02051	mhal:N220_00680
ko:K08234	mhal:N220_00735
ko:K03299	mhal:N220_00805
ko:K02200	mhal:N220_00945
ko:K00867	mhal:N220_00960
ko:K02010	mhal:N220_00990
ko:K00851	mhal:N220_01115
ko:K03299	mhal:N220_01120
ko:K00135	mhal:N220_01140
ko:K00010	mhal:N220_01185
ko:K01206	mhal:N220_01205
ko:K00674	mhal:N220_01295
ko:K08680	mhal:N220_01415
ko:K07491	mhal:N220_01450
ko:K10540	mhal:N220_01460
ko:K10541	mhal:N220_01470
ko:K00819	mhal:N220_01495
ko:K11607	mhal:N220_02695
ko:K11604	mhal:N220_02700
ko:K10914	mhal:N220_01575
ko:K09898	mhal:N220_01580
ko:K02574	mhal:N220_01690
ko:K02569	mhal:N220_01700
ko:K02571	mhal:N220_01710
ko:K01515	mhal:N220_01755
ko:K08978	mhal:N220_01770
ko:K04015	mhal:N220_02800
ko:K04018	mhal:N220_02820
ko:K02067	mhal:N220_02840
ko:K02784	mhal:N220_02020
ko:K08483	mhal:N220_02025
ko:K06212	mhal:N220_03195
ko:K00939	mhal:N220_03235
ko:K00548	mhal:N220_03275
ko:K00058	mhal:N220_02215
ko:K02033	mhal:N220_02275
ko:K02035	mhal:N220_02280
ko:K02014	mhal:N220_02325
ko:K10440	mhal:N220_02365
ko:K01784	mhal:N220_03335
ko:K02342	mhal:N220_03480
ko:K03617	mhal:N220_03505
ko:K03616	mhal:N220_03510
ko:K03615	mhal:N220_03515
ko:K03614	mhal:N220_03525
ko:K03612	mhal:N220_03530
ko:K03613	mhal:N220_03535
ko:K02521	mhal:N220_04255
ko:K01338	mhal:N220_04260
ko:K11752	mhal:N220_04270
ko:K00793	mhal:N220_04275
ko:K14652	mhal:N220_04280
ko:K00794	mhal:N220_04285
ko:K03820	mhal:N220_04290
ko:K06189	mhal:N220_04295
ko:K01151	mhal:N220_04315
ko:K13694	mhal:N220_04320
ko:K03648	mhal:N220_04335
ko:K07340	mhal:N220_04345
ko:K03578	mhal:N220_04355
ko:K03687	mhal:N220_04370
ko:K03327	mhal:N220_04380
ko:K03582	mhal:N220_04385
ko:K04760	mhal:N220_04390
ko:K07751	mhal:N220_04395
ko:K13888	mhal:N220_04405
ko:K01649	mhal:N220_04415
ko:K03088	mhal:N220_04420
ko:K03597	mhal:N220_04425
ko:K03598	mhal:N220_04430
ko:K00761	mhal:N220_04445
ko:K02528	mhal:N220_04450
ko:K03771	mhal:N220_04455
ko:K02825	mhal:N220_04460
ko:K03272	mhal:N220_04465
ko:K03977	mhal:N220_04470
ko:K02492	mhal:N220_04475
ko:K00099	mhal:N220_04485
ko:K03315	mhal:N220_04490
ko:K03685	mhal:N220_08850
ko:K03100	mhal:N220_08855
ko:K03596	mhal:N220_08860
ko:K15977	mhal:N220_08885
ko:K09930	mhal:N220_08895
ko:K09929	mhal:N220_08900
ko:K03457	mhal:N220_08920
ko:K01595	mhal:N220_08925
ko:K04744	mhal:N220_08930
ko:K09894	mhal:N220_08945
ko:K09910	mhal:N220_08950
ko:K03427	mhal:N220_08960
ko:K01154	mhal:N220_08965
ko:K01153	mhal:N220_08970
ko:K00982	mhal:N220_08975
ko:K09780	mhal:N220_08980
ko:K10806	mhal:N220_08985
ko:K06190	mhal:N220_08990
ko:K09899	mhal:N220_09000
ko:K03078	mhal:N220_13360
ko:K00865	mhal:N220_13365
ko:K02647	mhal:N220_13375
ko:K02961	mhal:N220_13405
ko:K02904	mhal:N220_13410
ko:K02878	mhal:N220_13415
ko:K02982	mhal:N220_13420
ko:K02890	mhal:N220_13425
ko:K02965	mhal:N220_13430
ko:K02886	mhal:N220_13435
ko:K02892	mhal:N220_13440
ko:K02926	mhal:N220_13445
ko:K02906	mhal:N220_13450
ko:K02946	mhal:N220_13455
ko:K01586	mhal:N220_13475
ko:K03568	mhal:N220_13485
ko:K02687	mhal:N220_13490
ko:K00246	mhal:N220_13530
ko:K04568	mhal:N220_13545
ko:K05786	mhal:N220_13550
ko:K08223	mhal:N220_13555
ko:K02168	mhal:N220_13570
ko:K03980	mhal:N220_13580
ko:K02968	mhal:N220_13585
ko:K03282	mhal:N220_13590
ko:K00604	mhal:N220_13610
ko:K07391	mhal:N220_01410
ko:K02551	mhal:N220_01420
ko:K10542	mhal:N220_01465
ko:K13821	mhal:N220_01485
ko:K03315	mhal:N220_01490
ko:K02679	mhal:N220_01515
ko:K02680	mhal:N220_01520
ko:K02681	mhal:N220_01530
ko:K03583	mhal:N220_01535
ko:K01407	mhal:N220_01540
ko:K12368	mhal:N220_01545
ko:K16087	mhal:N220_01550
ko:K03524	mhal:N220_01565
ko:K00075	mhal:N220_01570
ko:K05501	mhal:N220_01585
ko:K13038	mhal:N220_01610
ko:K03630	mhal:N220_01615
ko:K02913	mhal:N220_01625
ko:K02526	mhal:N220_01640
ko:K00836	mhal:N220_01650
ko:K13745	mhal:N220_01655
ko:K01147	mhal:N220_06145
ko:K00208	mhal:N220_06160
ko:K01872	mhal:N220_06175
ko:K03563	mhal:N220_06180
ko:K00963	mhal:N220_06185
ko:K03633	mhal:N220_06190
ko:K03804	mhal:N220_06195
ko:K03632	mhal:N220_06200
ko:K08159	mhal:N220_06210
ko:K07014	mhal:N220_06215
ko:K09904	mhal:N220_06220
ko:K01951	mhal:N220_06255
ko:K09908	mhal:N220_06260
ko:K02871	mhal:N220_06265
ko:K02996	mhal:N220_06270
ko:K03629	mhal:N220_10565
ko:K14187	mhal:N220_10570
ko:K01626	mhal:N220_10575
ko:K12982	mhal:N220_10580
ko:K00873	mhal:N220_10585
ko:K08296	mhal:N220_10590
ko:K03557	mhal:N220_10600
ko:K16087	mhal:N220_10605
ko:K03683	mhal:N220_10615
ko:K00950	mhal:N220_10645
ko:K06204	mhal:N220_10655
ko:K02064	mhal:N220_10660
ko:K00979	mhal:N220_10675
ko:K00384	mhal:N220_10680
ko:K05878	mhal:N220_10685
ko:K05879	mhal:N220_10690
ko:K05881	mhal:N220_10695
ko:K05838	mhal:N220_10700
ko:K02439	mhal:N220_10705
ko:K03561	mhal:N220_10710
ko:K03832	mhal:N220_10720
ko:K06203	mhal:N220_10725
ko:K03528	mhal:N220_10730
ko:K01972	mhal:N220_10735
ko:K05851	mhal:N220_10755
ko:K05775	mhal:N220_10765
ko:K02024	mhal:N220_10770
ko:K10111	mhal:N220_10775
ko:K10108	mhal:N220_10780
ko:K10109	mhal:N220_10785
ko:K10110	mhal:N220_10790
ko:K03556	mhal:N220_10800
ko:K00688	mhal:N220_10805
ko:K00705	mhal:N220_10810
ko:K07085	mhal:N220_10815
ko:K07084	mhal:N220_10820
ko:K01142	mhal:N220_10825
ko:K11719	mhal:N220_10830
ko:K09774	mhal:N220_10835
ko:K14234	mhal:N220_00965
ko:K14234	mhal:N220_13295
ko:K14226	mhal:N220_12960
ko:K03501	mhal:N220_00015
ko:K02445	mhal:N220_00030
ko:K01126	mhal:N220_00035
ko:K02445	mhal:N220_00040
ko:K00111	mhal:N220_00045
ko:K00880	mhal:N220_00065
ko:K01053	mhal:N220_00070
ko:K10441	mhal:N220_00085
ko:K08092	mhal:N220_00120
ko:K01804	mhal:N220_00125
ko:K01955	mhal:N220_00130
ko:K01956	mhal:N220_00135
ko:K02108	mhal:N220_00145
ko:K02110	mhal:N220_00150
ko:K02109	mhal:N220_00155
ko:K02572	mhal:N220_01670
ko:K02570	mhal:N220_01675
ko:K02567	mhal:N220_01680
ko:K02573	mhal:N220_01685
ko:K02568	mhal:N220_01695
ko:K03651	mhal:N220_01705
ko:K01992	mhal:N220_03565
ko:K02199	mhal:N220_02810
ko:K02065	mhal:N220_02830
ko:K02066	mhal:N220_02835
ko:K07323	mhal:N220_02845
ko:K07122	mhal:N220_02850
ko:K00790	mhal:N220_02860
ko:K01159	mhal:N220_02865
ko:K08310	mhal:N220_02880
ko:K01893	mhal:N220_07535
ko:K02356	mhal:N220_07550
ko:K01886	mhal:N220_07570
ko:K00262	mhal:N220_07580
ko:K06186	mhal:N220_07585
ko:K06899	mhal:N220_07590
ko:K05810	mhal:N220_07600
ko:K07733	mhal:N220_07615
ko:K02344	mhal:N220_11945
ko:K03789	mhal:N220_11950
ko:K06207	mhal:N220_11955
ko:K06997	mhal:N220_11960
ko:K03270	mhal:N220_11965
ko:K09803	mhal:N220_11970
ko:K03089	mhal:N220_11985
ko:K00640	mhal:N220_12035
ko:K00057	mhal:N220_12040
ko:K03071	mhal:N220_12045
ko:K03545	mhal:N220_12055
ko:K02358	mhal:N220_12060
ko:K02355	mhal:N220_12065
ko:K02992	mhal:N220_12070
ko:K02950	mhal:N220_12075
ko:K02841	mhal:N220_12080
ko:K02237	mhal:N220_12100
ko:K01613	mhal:N220_12105
ko:K01153	mhal:N220_12110
ko:K03427	mhal:N220_12115
ko:K01154	mhal:N220_12140
ko:K01919	mhal:N220_12145
ko:K01803	mhal:N220_12170
ko:K06176	mhal:N220_12175
ko:K03787	mhal:N220_12180
ko:K06194	mhal:N220_12200
ko:K01246	mhal:N220_12210
ko:K02078	mhal:N220_12215
ko:K01783	mhal:N220_12220
ko:K02113	mhal:N220_00160
ko:K02111	mhal:N220_00165
ko:K02115	mhal:N220_00170
ko:K02112	mhal:N220_00175
ko:K02114	mhal:N220_00180
ko:K01914	mhal:N220_00185
ko:K06205	mhal:N220_00200
ko:K03564	mhal:N220_04535
ko:K03273	mhal:N220_04540
ko:K06879	mhal:N220_04545
ko:K09001	mhal:N220_04550
ko:K07106	mhal:N220_04565
ko:K07320	mhal:N220_04570
ko:K07154	mhal:N220_04605
ko:K01792	mhal:N220_04615
ko:K01347	mhal:N220_04620
ko:K09896	mhal:N220_04630
ko:K03673	mhal:N220_04635
ko:K01935	mhal:N220_04765
ko:K02169	mhal:N220_04770
ko:K09789	mhal:N220_04775
ko:K00833	mhal:N220_04785
ko:K01613	mhal:N220_04790
ko:K03773	mhal:N220_04795
ko:K00931	mhal:N220_04805
ko:K03750	mhal:N220_09265
ko:K07133	mhal:N220_09275
ko:K06158	mhal:N220_09280
ko:K08990	mhal:N220_09305
ko:K05541	mhal:N220_09310
ko:K08984	mhal:N220_09315
ko:K05801	mhal:N220_09320
ko:K03640	mhal:N220_09335
ko:K03641	mhal:N220_09340
ko:K03562	mhal:N220_09355
ko:K07107	mhal:N220_09360
ko:K00426	mhal:N220_09375
ko:K00425	mhal:N220_09380
ko:K04077	mhal:N220_09390
ko:K04078	mhal:N220_09395
ko:K03070	mhal:N220_09415
ko:K05776	mhal:N220_13615
ko:K02015	mhal:N220_13625
ko:K02013	mhal:N220_13635
ko:K03644	mhal:N220_13645
ko:K03801	mhal:N220_13650
ko:K09158	mhal:N220_13655
ko:K03642	mhal:N220_13665
ko:K05837	mhal:N220_13670
ko:K05515	mhal:N220_13675
ko:K00783	mhal:N220_13680
ko:K09710	mhal:N220_13685
ko:K01686	mhal:N220_13695
ko:K00874	mhal:N220_13730
ko:K01625	mhal:N220_13735
ko:K03555	mhal:N220_13745
ko:K02237	mhal:N220_13755
ko:K03773	mhal:N220_13760
ko:K03650	mhal:N220_13785
ko:K04075	mhal:N220_13790
ko:K01776	mhal:N220_13835
ko:K03181	mhal:N220_13845
ko:K00757	mhal:N220_13855
ko:K03788	mhal:N220_13860
ko:K01881	mhal:N220_13875
ko:K04079	mhal:N220_13885
ko:K03532	mhal:N220_01715
ko:K07811	mhal:N220_01720
ko:K03533	mhal:N220_01725
ko:K13256	mhal:N220_01760
ko:K06133	mhal:N220_01765
ko:K03313	mhal:N220_01775
ko:K14392	mhal:N220_01780
ko:K03764	mhal:N220_01790
ko:K04754	mhal:N220_01795
ko:K02558	mhal:N220_01800
ko:K04761	mhal:N220_01845
ko:K01733	mhal:N220_01855
ko:K01734	mhal:N220_01860
ko:K03808	mhal:N220_01880
ko:K00053	mhal:N220_01885
ko:K01923	mhal:N220_01890
ko:K00765	mhal:N220_01895
ko:K00013	mhal:N220_01900
ko:K03621	mhal:N220_01905
ko:K02911	mhal:N220_01910
ko:K07040	mhal:N220_01915
ko:K03308	mhal:N220_01930
ko:K09861	mhal:N220_06295
ko:K06956	mhal:N220_06315
ko:K01889	mhal:N220_06330
ko:K01890	mhal:N220_06335
ko:K04764	mhal:N220_06340
ko:K04691	mhal:N220_06350
ko:K00945	mhal:N220_06355
ko:K02945	mhal:N220_06360
ko:K05788	mhal:N220_06365
ko:K01591	mhal:N220_06380
ko:K03113	mhal:N220_06385
ko:K08309	mhal:N220_06390
ko:K09748	mhal:N220_06405
ko:K02600	mhal:N220_06410
ko:K02519	mhal:N220_06415
ko:K02834	mhal:N220_06420
ko:K11991	mhal:N220_06440
ko:K05592	mhal:N220_06445
ko:K05803	mhal:N220_06450
ko:K00962	mhal:N220_06455
ko:K07636	mhal:N220_06460
ko:K02036	mhal:N220_06470
ko:K02038	mhal:N220_06475
ko:K02037	mhal:N220_06480
ko:K02040	mhal:N220_06485
ko:K02621	mhal:N220_06490
ko:K00928	mhal:N220_06495
ko:K02803	mhal:N220_06500
ko:K02804	mhal:N220_06500
ko:K09802	mhal:N220_06505
ko:K01524	mhal:N220_06510
ko:K00901	mhal:N220_06530
ko:K07862	mhal:N220_06535
ko:K07568	mhal:N220_06555
ko:K15125	mhal:N220_06565
ko:K06861	mhal:N220_10840
ko:K06958	mhal:N220_10850
ko:K09811	mhal:N220_10870
ko:K09812	mhal:N220_10875
ko:K03110	mhal:N220_10880
ko:K09901	mhal:N220_10890
ko:K16868	mhal:N220_10900
ko:K01933	mhal:N220_10905
ko:K01744	mhal:N220_10915
ko:K03656	mhal:N220_10920
ko:K15581	mhal:N220_10940
ko:K16087	mhal:N220_10960
ko:K02016	mhal:N220_10965
ko:K02015	mhal:N220_10970
ko:K02013	mhal:N220_10975
ko:K11175	mhal:N220_10980
ko:K16087	mhal:N220_10985
ko:K16087	mhal:N220_10990
ko:K00600	mhal:N220_11000
ko:K00549	mhal:N220_11015
ko:K00858	mhal:N220_11025
ko:K03214	mhal:N220_11030
ko:K01662	mhal:N220_11040
ko:K03424	mhal:N220_11050
ko:K03523	mhal:N220_11060
ko:K01868	mhal:N220_11070
ko:K09808	mhal:N220_11075
ko:K09810	mhal:N220_11080
ko:K09808	mhal:N220_11085
ko:K01627	mhal:N220_11095
ko:K02493	mhal:N220_11105
ko:K14225	mhal:N220_02655
ko:K14225	mhal:N220_02675
ko:K14225	mhal:N220_02665
ko:K14225	mhal:N220_08035
ko:K14222	mhal:N220_08030
ko:K14230	mhal:N220_07605
ko:K14230	mhal:N220_06395
ko:K14230	mhal:N220_08465
ko:K14230	mhal:N220_11170
ko:K14219	mhal:N220_07450
ko:K14219	mhal:N220_09605
ko:K14219	mhal:N220_11750
ko:K14219	mhal:N220_11755
ko:K14235	mhal:N220_05535
ko:K14235	mhal:N220_07335
ko:K14237	mhal:N220_11725
ko:K14237	mhal:N220_11740
ko:K14237	mhal:N220_11735
ko:K14237	mhal:N220_11730
ko:K14223	mhal:N220_11180
ko:K14223	mhal:N220_11185
ko:K14218	mhal:N220_11715
ko:K14218	mhal:N220_10285
ko:K14218	mhal:N220_12940
ko:K14218	mhal:N220_13820
ko:K14229	mhal:N220_12695
ko:K14229	mhal:N220_12700
ko:K14229	mhal:N220_12705
ko:K14227	mhal:N220_10290
ko:K14227	mhal:N220_12945
ko:K14227	mhal:N220_13825
ko:K14235	mhal:N220_13495
ko:K14221	mhal:N220_03385
ko:K14221	mhal:N220_13800
ko:K14221	mhal:N220_13500
ko:K01985	mhal:N220_13805
ko:K14238	mhal:N220_00295
ko:K14231	mhal:N220_00755
ko:K14231	mhal:N220_00765
ko:K14233	mhal:N220_00890
ko:K14233	mhal:N220_00895
ko:K14236	mhal:N220_00970
ko:K14225	mhal:N220_00975
ko:K14234	mhal:N220_00980
ko:K14228	mhal:N220_02660
ko:K14228	mhal:N220_02670
ko:K14228	mhal:N220_08660
ko:K14228	mhal:N220_08455
ko:K01876	mhal:N220_03170
ko:K02346	mhal:N220_03180
ko:K03799	mhal:N220_03185
ko:K00656	mhal:N220_03200
ko:K04069	mhal:N220_03210
ko:K01414	mhal:N220_03215
ko:K14170	mhal:N220_03220
ko:K09794	mhal:N220_03225
ko:K16088	mhal:N220_03240
ko:K02015	mhal:N220_03250
ko:K02016	mhal:N220_03260
ko:K02013	mhal:N220_03265
ko:K08218	mhal:N220_03270
ko:K01154	mhal:N220_03285
ko:K02013	mhal:N220_03300
ko:K02015	mhal:N220_03305
ko:K00297	mhal:N220_03325
ko:K09791	mhal:N220_03340
ko:K00912	mhal:N220_03345
ko:K03544	mhal:N220_03370
ko:K01358	mhal:N220_03375
ko:K02426	mhal:N220_03380
ko:K00766	mhal:N220_03395
ko:K00760	mhal:N220_07730
ko:K03592	mhal:N220_07735
ko:K09889	mhal:N220_07740
ko:K07150	mhal:N220_07750
ko:K03186	mhal:N220_07755
ko:K09979	mhal:N220_07760
ko:K00773	mhal:N220_07810
ko:K03704	mhal:N220_07825
ko:K02057	mhal:N220_07850
ko:K02057	mhal:N220_07855
ko:K07112	mhal:N220_07865
ko:K07738	mhal:N220_07905
ko:K09902	mhal:N220_07910
ko:K02016	mhal:N220_07920
ko:K02015	mhal:N220_07925
ko:K02015	mhal:N220_07930
ko:K02013	mhal:N220_07945
ko:K00990	mhal:N220_07950
ko:K07301	mhal:N220_07955
ko:K00831	mhal:N220_07960
ko:K07220	mhal:N220_07965
ko:K03306	mhal:N220_07970
ko:K07184	mhal:N220_07975
ko:K00800	mhal:N220_07980
ko:K00817	mhal:N220_07985
ko:K03798	mhal:N220_07995
ko:K02909	mhal:N220_12225
ko:K02919	mhal:N220_12230
ko:K02424	mhal:N220_12235
ko:K10009	mhal:N220_12240
ko:K10010	mhal:N220_12245
ko:K02221	mhal:N220_12250
ko:K09923	mhal:N220_12255
ko:K03439	mhal:N220_12260
ko:K00648	mhal:N220_12265
ko:K01698	mhal:N220_12270
ko:K03118	mhal:N220_12275
ko:K03117	mhal:N220_12280
ko:K03116	mhal:N220_12285
ko:K03688	mhal:N220_12290
ko:K03690	mhal:N220_12300
ko:K03183	mhal:N220_12305
ko:K03284	mhal:N220_12310
ko:K01661	mhal:N220_12325
ko:K05365	mhal:N220_12330
ko:K04047	mhal:N220_12335
ko:K00611	mhal:N220_12345
ko:K15977	mhal:N220_12360
ko:K02899	mhal:N220_12385
ko:K02888	mhal:N220_12390
ko:K02523	mhal:N220_12395
ko:K09765	mhal:N220_12400
ko:K00645	mhal:N220_12405
ko:K03311	mhal:N220_12420
ko:K07560	mhal:N220_12430
ko:K07058	mhal:N220_12435
ko:K00147	mhal:N220_12440
ko:K03572	mhal:N220_12445
ko:K00791	mhal:N220_12465
ko:K03666	mhal:N220_12470
ko:K03665	mhal:N220_12475
ko:K00885	mhal:N220_00285
ko:K01042	mhal:N220_00300
ko:K00275	mhal:N220_00305
ko:K03833	mhal:N220_00320
ko:K07080	mhal:N220_00325
ko:K03500	mhal:N220_00340
ko:K08996	mhal:N220_00350
ko:K07248	mhal:N220_00355
ko:K00048	mhal:N220_00360
ko:K10441	mhal:N220_00380
ko:K01628	mhal:N220_00385
ko:K02431	mhal:N220_00390
ko:K01818	mhal:N220_00400
ko:K02430	mhal:N220_00405
ko:K16087	mhal:N220_00410
ko:K01952	mhal:N220_00425
ko:K17247	mhal:N220_00470
ko:K03088	mhal:N220_00480
ko:K07648	mhal:N220_05010
ko:K06076	mhal:N220_05020
ko:K13643	mhal:N220_05025
ko:K04487	mhal:N220_05030
ko:K04082	mhal:N220_05045
ko:K04044	mhal:N220_05060
ko:K04755	mhal:N220_05070
ko:K03304	mhal:N220_05080
ko:K10773	mhal:N220_05090
ko:K07090	mhal:N220_05095
ko:K04485	mhal:N220_05110
ko:K05527	mhal:N220_09440
ko:K07286	mhal:N220_09445
ko:K09761	mhal:N220_09460
ko:K07735	mhal:N220_09465
ko:K07447	mhal:N220_09470
ko:K03310	mhal:N220_09485
ko:K13409	mhal:N220_09500
ko:K13408	mhal:N220_09510
ko:K01766	mhal:N220_09575
ko:K00850	mhal:N220_09580
ko:K03151	mhal:N220_09590
ko:K01491	mhal:N220_09595
ko:K03655	mhal:N220_13900
ko:K07265	mhal:N220_13915
ko:K07266	mhal:N220_13920
ko:K02472	mhal:N220_13930
ko:K01991	mhal:N220_13955
ko:K10107	mhal:N220_13960
ko:K09688	mhal:N220_13965
ko:K09689	mhal:N220_13970
ko:K05590	mhal:N220_01945
ko:K03673	mhal:N220_01965
ko:K09896	mhal:N220_01970
ko:K01347	mhal:N220_01980
ko:K03841	mhal:N220_01985
ko:K01792	mhal:N220_01990
ko:K06911	mhal:N220_01995
ko:K09125	mhal:N220_02000
ko:K01265	mhal:N220_02005
ko:K02062	mhal:N220_02010
ko:K02063	mhal:N220_02015
ko:K06168	mhal:N220_02035
ko:K00847	mhal:N220_02040
ko:K01193	mhal:N220_02045
ko:K03484	mhal:N220_02050
ko:K03060	mhal:N220_02060
ko:K01772	mhal:N220_02075
ko:K02914	mhal:N220_02080
ko:K08998	mhal:N220_02085
ko:K15724	mhal:N220_02090
ko:K00785	mhal:N220_02100
ko:K02970	mhal:N220_02150
ko:K03086	mhal:N220_02160
ko:K02548	mhal:N220_02170
ko:K06188	mhal:N220_02185
ko:K03775	mhal:N220_02195
ko:K01754	mhal:N220_02200
ko:K03431	mhal:N220_02205
ko:K01807	mhal:N220_02210
ko:K07773	mhal:N220_02225
ko:K05685	mhal:N220_06620
ko:K01963	mhal:N220_06655
ko:K11754	mhal:N220_06660
ko:K06957	mhal:N220_06670
