ko:K06896	stw:Y1U_C0182
ko:K06878	stw:Y1U_C1732
ko:K00286	stw:Y1U_C1736
ko:K00925	stw:Y1U_C1742
ko:K03046	stw:Y1U_C1752
ko:K03043	stw:Y1U_C1753
ko:K01866	stw:Y1U_C1755
ko:K00053	stw:Y1U_C1756
ko:K01653	stw:Y1U_C1757
ko:K01652	stw:Y1U_C1758
ko:K01687	stw:Y1U_C1759
ko:K01733	stw:Y1U_C1764
ko:K04072	stw:Y1U_C1767
ko:K02768	stw:Y1U_C0392
ko:K02769	stw:Y1U_C0392
ko:K02770	stw:Y1U_C0392
ko:K11754	stw:Y1U_C0394
ko:K04487	stw:Y1U_C0396
ko:K03151	stw:Y1U_C0397
ko:K02888	stw:Y1U_C0401
ko:K02899	stw:Y1U_C0402
ko:K00215	stw:Y1U_C0407
ko:K15738	stw:Y1U_C0409
ko:K06940	stw:Y1U_C1248
ko:K02003	stw:Y1U_C1250
ko:K03816	stw:Y1U_C1253
ko:K03327	stw:Y1U_C1256
ko:K12267	stw:Y1U_C1257
ko:K03311	stw:Y1U_C1258
ko:K01809	stw:Y1U_C1259
ko:K01809	stw:Y1U_C1260
ko:K07078	stw:Y1U_C1263
ko:K02761	stw:Y1U_C1268
ko:K10682	stw:Y1U_C1277
ko:K02003	stw:Y1U_C1289
ko:K07095	stw:Y1U_C0246
ko:K05896	stw:Y1U_C0249
ko:K06024	stw:Y1U_C0250
ko:K06178	stw:Y1U_C0251
ko:K08998	stw:Y1U_C0252
ko:K03216	stw:Y1U_C0255
ko:K01430	stw:Y1U_C0267
ko:K01429	stw:Y1U_C0268
ko:K01428	stw:Y1U_C0269
ko:K03187	stw:Y1U_C0270
ko:K03188	stw:Y1U_C0271
ko:K03189	stw:Y1U_C0272
ko:K03190	stw:Y1U_C0273
ko:K02073	stw:Y1U_C0283
ko:K02071	stw:Y1U_C0287
ko:K02072	stw:Y1U_C0288
ko:K07862	stw:Y1U_C0289
ko:K00615	stw:Y1U_C0294
ko:K03501	stw:Y1U_C0297
ko:K07040	stw:Y1U_C0298
ko:K07738	stw:Y1U_C0301
ko:K00013	stw:Y1U_C1139
ko:K00765	stw:Y1U_C1140
ko:K02502	stw:Y1U_C1141
ko:K00817	stw:Y1U_C1142
ko:K04486	stw:Y1U_C1149
ko:K01790	stw:Y1U_C1159
ko:K00973	stw:Y1U_C1160
ko:K07238	stw:Y1U_C1163
ko:K06967	stw:Y1U_C1165
ko:K03431	stw:Y1U_C1167
ko:K01928	stw:Y1U_C1170
ko:K14205	stw:Y1U_C1172
ko:K06158	stw:Y1U_C1174
ko:K00876	stw:Y1U_C1175
ko:K00031	stw:Y1U_C1182
ko:K01647	stw:Y1U_C1183
ko:K01681	stw:Y1U_C1184
ko:K00297	stw:Y1U_C0754
ko:K06330	stw:Y1U_C0760
ko:K00790	stw:Y1U_C0763
ko:K10040	stw:Y1U_C0767
ko:K10039	stw:Y1U_C0768
ko:K09790	stw:Y1U_C0773
ko:K02836	stw:Y1U_C0783
ko:K09812	stw:Y1U_C0784
ko:K09811	stw:Y1U_C0785
ko:K03100	stw:Y1U_C0789
ko:K00945	stw:Y1U_C0795
ko:K02520	stw:Y1U_C0796
ko:K02916	stw:Y1U_C0797
ko:K02887	stw:Y1U_C0798
ko:K01821	stw:Y1U_C0801
ko:K01807	stw:Y1U_C0806
ko:K01839	stw:Y1U_C0807
ko:K01951	stw:Y1U_C0811
ko:K01626	stw:Y1U_C1618
ko:K01626	stw:Y1U_C1619
ko:K03070	stw:Y1U_C1620
ko:K01809	stw:Y1U_C1622
ko:K00847	stw:Y1U_C1623
ko:K01193	stw:Y1U_C1625
ko:K03484	stw:Y1U_C1626
ko:K03625	stw:Y1U_C1627
ko:K02356	stw:Y1U_C1629
ko:K03701	stw:Y1U_C1634
ko:K03284	stw:Y1U_C1635
ko:K02963	stw:Y1U_C1638
ko:K02990	stw:Y1U_C1640
ko:K03575	stw:Y1U_C1643
ko:K07456	stw:Y1U_C1649
ko:K03100	stw:Y1U_C1653
ko:K03581	stw:Y1U_C1654
ko:K03789	stw:Y1U_C1658
ko:K01915	stw:Y1U_C1664
ko:K00927	stw:Y1U_C1670
ko:K07560	stw:Y1U_C0136
ko:K01754	stw:Y1U_C0140
ko:K01462	stw:Y1U_C0141
ko:K02956	stw:Y1U_C0145
ko:K06153	stw:Y1U_C0150
ko:K09013	stw:Y1U_C0153
ko:K09015	stw:Y1U_C0154
ko:K11717	stw:Y1U_C0155
ko:K09014	stw:Y1U_C0157
ko:K15580	stw:Y1U_C0160
ko:K15581	stw:Y1U_C0161
ko:K04083	stw:Y1U_C0171
ko:K09817	stw:Y1U_C0175
ko:K09816	stw:Y1U_C0176
ko:K07088	stw:Y1U_C0177
ko:K01810	stw:Y1U_C0183
ko:K01893	stw:Y1U_C1037
ko:K02057	stw:Y1U_C1043
ko:K02057	stw:Y1U_C1044
ko:K07335	stw:Y1U_C1046
ko:K00756	stw:Y1U_C1050
ko:K00756	stw:Y1U_C1051
ko:K02968	stw:Y1U_C1055
ko:K01938	stw:Y1U_C1067
ko:K00789	stw:Y1U_C1074
ko:K03524	stw:Y1U_C1075
ko:K02343	stw:Y1U_C1077
ko:K00791	stw:Y1U_C1079
ko:K02884	stw:Y1U_C1081
ko:K02939	stw:Y1U_C1885
ko:K03495	stw:Y1U_C1887
ko:K00566	stw:Y1U_C1889
ko:K00995	stw:Y1U_C1896
ko:K03629	stw:Y1U_C1901
ko:K01867	stw:Y1U_C1903
ko:K00783	stw:Y1U_C1908
ko:K07089	stw:Y1U_C0641
ko:K06959	stw:Y1U_C0643
ko:K13292	stw:Y1U_C0646
ko:K08303	stw:Y1U_C0651
ko:K03523	stw:Y1U_C0652
ko:K03322	stw:Y1U_C0655
ko:K04567	stw:Y1U_C0661
ko:K01153	stw:Y1U_C0674
ko:K01154	stw:Y1U_C0677
ko:K03427	stw:Y1U_C0680
ko:K03744	stw:Y1U_C0683
ko:K03799	stw:Y1U_C0684
ko:K01595	stw:Y1U_C0687
ko:K02340	stw:Y1U_C0688
ko:K04564	stw:Y1U_C0689
ko:K04047	stw:Y1U_C0692
ko:K06207	stw:Y1U_C0696
ko:K09710	stw:Y1U_C1513
ko:K00969	stw:Y1U_C1515
ko:K07574	stw:Y1U_C1516
ko:K07015	stw:Y1U_C1518
ko:K02434	stw:Y1U_C1521
ko:K02435	stw:Y1U_C1523
ko:K02073	stw:Y1U_C1527
ko:K03706	stw:Y1U_C1529
ko:K14260	stw:Y1U_C1530
ko:K04069	stw:Y1U_C1535
ko:K02013	stw:Y1U_C1537
ko:K07139	stw:Y1U_C1541
ko:K00954	stw:Y1U_C1543
ko:K00384	stw:Y1U_C1545
ko:K02029	stw:Y1U_C1548
ko:K02346	stw:Y1U_C1551
ko:K00656	stw:Y1U_C1552
ko:K01154	stw:Y1U_C1555
ko:K02069	stw:Y1U_C1557
ko:K02068	stw:Y1U_C1558
ko:K02440	stw:Y1U_C1563
ko:K02078	stw:Y1U_C0029
ko:K01923	stw:Y1U_C0030
ko:K01952	stw:Y1U_C0031
ko:K00764	stw:Y1U_C0032
ko:K01933	stw:Y1U_C0033
ko:K11175	stw:Y1U_C0034
ko:K00602	stw:Y1U_C0035
ko:K01945	stw:Y1U_C0040
ko:K01588	stw:Y1U_C0041
ko:K01589	stw:Y1U_C0042
ko:K01756	stw:Y1U_C0045
ko:K01887	stw:Y1U_C0047
ko:K03402	stw:Y1U_C0048
ko:K03555	stw:Y1U_C0050
ko:K03572	stw:Y1U_C0053
ko:K03550	stw:Y1U_C0055
ko:K01246	stw:Y1U_C0056
ko:K03763	stw:Y1U_C0060
ko:K02967	stw:Y1U_C0068
ko:K02357	stw:Y1U_C0069
ko:K03696	stw:Y1U_C0072
ko:K15342	stw:Y1U_C0930
ko:K03152	stw:Y1U_C0934
ko:K01091	stw:Y1U_C0945
ko:K01772	stw:Y1U_C0950
ko:K01772	stw:Y1U_C0951
ko:K01652	stw:Y1U_C0958
ko:K03596	stw:Y1U_C0965
ko:K00940	stw:Y1U_C0969
ko:K04094	stw:Y1U_C0971
ko:K03168	stw:Y1U_C0975
ko:K04096	stw:Y1U_C0976
ko:K03470	stw:Y1U_C0978
ko:K14540	stw:Y1U_C0979
ko:K11102	stw:Y1U_C1783
ko:K01624	stw:Y1U_C1796
ko:K02879	stw:Y1U_C1802
ko:K03040	stw:Y1U_C1803
ko:K02948	stw:Y1U_C1804
ko:K02952	stw:Y1U_C1805
ko:K02919	stw:Y1U_C1806
ko:K02518	stw:Y1U_C1807
ko:K03076	stw:Y1U_C1809
ko:K02876	stw:Y1U_C1810
ko:K02907	stw:Y1U_C1811
ko:K02988	stw:Y1U_C1812
ko:K02881	stw:Y1U_C1813
ko:K02933	stw:Y1U_C1814
ko:K02994	stw:Y1U_C1815
ko:K02954	stw:Y1U_C1816
ko:K02931	stw:Y1U_C1817
ko:K02895	stw:Y1U_C1818
ko:K02874	stw:Y1U_C1819
ko:K02961	stw:Y1U_C1820
ko:K02904	stw:Y1U_C1821
ko:K02878	stw:Y1U_C1822
ko:K02982	stw:Y1U_C1823
ko:K02890	stw:Y1U_C1824
ko:K02965	stw:Y1U_C1825
ko:K02886	stw:Y1U_C1826
ko:K02892	stw:Y1U_C1827
ko:K02926	stw:Y1U_C1828
ko:K02906	stw:Y1U_C1829
ko:K02946	stw:Y1U_C1830
ko:K00262	stw:Y1U_C0412
ko:K01462	stw:Y1U_C0413
ko:K09903	stw:Y1U_C0420
ko:K02838	stw:Y1U_C0421
ko:K00243	stw:Y1U_C0422
ko:K01874	stw:Y1U_C0433
ko:K08602	stw:Y1U_C0437
ko:K01872	stw:Y1U_C0441
ko:K00145	stw:Y1U_C0446
ko:K00620	stw:Y1U_C0447
ko:K00930	stw:Y1U_C0448
ko:K00003	stw:Y1U_C0451
ko:K00872	stw:Y1U_C0452
ko:K05786	stw:Y1U_C0453
ko:K01873	stw:Y1U_C0459
ko:K02110	stw:Y1U_C0460
ko:K02108	stw:Y1U_C0461
ko:K02109	stw:Y1U_C0462
ko:K02113	stw:Y1U_C0463
ko:K02111	stw:Y1U_C0464
ko:K02115	stw:Y1U_C0465
ko:K02112	stw:Y1U_C0466
ko:K02114	stw:Y1U_C0467
ko:K03588	stw:Y1U_C0468
ko:K02358	stw:Y1U_C0469
ko:K03547	stw:Y1U_C1304
ko:K00965	stw:Y1U_C1309
ko:K00849	stw:Y1U_C1310
ko:K02529	stw:Y1U_C1311
ko:K01919	stw:Y1U_C1319
ko:K03466	stw:Y1U_C1320
ko:K00554	stw:Y1U_C1322
ko:K02860	stw:Y1U_C1323
ko:K10716	stw:Y1U_C1327
ko:K03500	stw:Y1U_C1330
ko:K00604	stw:Y1U_C1331
ko:K04066	stw:Y1U_C1332
ko:K03060	stw:Y1U_C1333
ko:K00942	stw:Y1U_C1334
ko:K03110	stw:Y1U_C1335
ko:K15581	stw:Y1U_C1344
ko:K15580	stw:Y1U_C1347
ko:K08177	stw:Y1U_C1351
ko:K03977	stw:Y1U_C0304
ko:K01875	stw:Y1U_C0313
ko:K06901	stw:Y1U_C0320
ko:K06925	stw:Y1U_C0321
ko:K09748	stw:Y1U_C0324
ko:K02600	stw:Y1U_C0325
ko:K07742	stw:Y1U_C0326
ko:K02519	stw:Y1U_C0328
ko:K02834	stw:Y1U_C0329
ko:K06966	stw:Y1U_C0330
ko:K06966	stw:Y1U_C0331
ko:K14155	stw:Y1U_C0338
ko:K00761	stw:Y1U_C0341
ko:K01358	stw:Y1U_C0342
ko:K01999	stw:Y1U_C0345
ko:K01997	stw:Y1U_C0346
ko:K01998	stw:Y1U_C0347
ko:K01995	stw:Y1U_C0348
ko:K01996	stw:Y1U_C0349
ko:K01738	stw:Y1U_C0352
ko:K05808	stw:Y1U_C0356
ko:K02469	stw:Y1U_C1196
ko:K01890	stw:Y1U_C1207
ko:K01889	stw:Y1U_C1209
ko:K03529	stw:Y1U_C1210
ko:K03685	stw:Y1U_C1211
ko:K01714	stw:Y1U_C1212
ko:K00133	stw:Y1U_C1213
ko:K03823	stw:Y1U_C1214
ko:K06131	stw:Y1U_C1218
ko:K03703	stw:Y1U_C1219
ko:K05846	stw:Y1U_C1222
ko:K05847	stw:Y1U_C1223
ko:K05845	stw:Y1U_C1224
ko:K05846	stw:Y1U_C1225
ko:K01745	stw:Y1U_C1226
ko:K09703	stw:Y1U_C1227
ko:K01712	stw:Y1U_C1228
ko:K01752	stw:Y1U_C1229
ko:K07778	stw:Y1U_C1237
ko:K03453	stw:Y1U_C1242
ko:K00012	stw:Y1U_C0821
ko:K00067	stw:Y1U_C0826
ko:K01790	stw:Y1U_C0827
ko:K12990	stw:Y1U_C0828
ko:K12990	stw:Y1U_C0829
ko:K01223	stw:Y1U_C0857
ko:K01223	stw:Y1U_C0858
ko:K01223	stw:Y1U_C0859
ko:K03688	stw:Y1U_C0861
ko:K03648	stw:Y1U_C0866
ko:K01465	stw:Y1U_C0867
ko:K00161	stw:Y1U_C0871
ko:K00162	stw:Y1U_C0872
ko:K00627	stw:Y1U_C0873
ko:K00134	stw:Y1U_C1676
ko:K02355	stw:Y1U_C1677
ko:K02992	stw:Y1U_C1678
ko:K02950	stw:Y1U_C1679
ko:K09760	stw:Y1U_C1683
ko:K01783	stw:Y1U_C1685
ko:K06949	stw:Y1U_C1686
ko:K02528	stw:Y1U_C1687
ko:K05985	stw:Y1U_C1688
ko:K03424	stw:Y1U_C1689
ko:K06929	stw:Y1U_C1690
ko:K03671	stw:Y1U_C1691
ko:K00773	stw:Y1U_C1696
ko:K02914	stw:Y1U_C1697
ko:K03217	stw:Y1U_C1699
ko:K03536	stw:Y1U_C1700
ko:K01755	stw:Y1U_C1701
ko:K01940	stw:Y1U_C1702
ko:K02863	stw:Y1U_C1705
ko:K02867	stw:Y1U_C1706
ko:K01673	stw:Y1U_C1708
ko:K04485	stw:Y1U_C1709
ko:K00057	stw:Y1U_C1719
ko:K00963	stw:Y1U_C1720
ko:K03210	stw:Y1U_C0185
ko:K00806	stw:Y1U_C0186
ko:K00981	stw:Y1U_C0187
ko:K11749	stw:Y1U_C0188
ko:K01881	stw:Y1U_C0189
ko:K04078	stw:Y1U_C0192
ko:K04077	stw:Y1U_C0193
ko:K06180	stw:Y1U_C0204
ko:K03073	stw:Y1U_C0206
ko:K02601	stw:Y1U_C0207
ko:K01869	stw:Y1U_C0211
ko:K00763	stw:Y1U_C0215
ko:K05366	stw:Y1U_C0220
ko:K07444	stw:Y1U_C0224
ko:K01924	stw:Y1U_C0228
ko:K07082	stw:Y1U_C0230
ko:K03624	stw:Y1U_C0231
ko:K03217	stw:Y1U_C0234
ko:K01512	stw:Y1U_C0235
ko:K03437	stw:Y1U_C0236
ko:K06950	stw:Y1U_C0237
ko:K06890	stw:Y1U_C0238
ko:K01586	stw:Y1U_C0241
ko:K01776	stw:Y1U_C0244
ko:K00873	stw:Y1U_C1099
ko:K00850	stw:Y1U_C1100
ko:K02337	stw:Y1U_C1101
ko:K01704	stw:Y1U_C1103
ko:K01703	stw:Y1U_C1104
ko:K00052	stw:Y1U_C1105
ko:K01649	stw:Y1U_C1106
ko:K03530	stw:Y1U_C1111
ko:K03631	stw:Y1U_C1115
ko:K03402	stw:Y1U_C1116
ko:K06442	stw:Y1U_C1117
ko:K13789	stw:Y1U_C1118
ko:K03602	stw:Y1U_C1119
ko:K03601	stw:Y1U_C1120
ko:K10773	stw:Y1U_C1123
ko:K00651	stw:Y1U_C1125
ko:K00759	stw:Y1U_C1126
ko:K07462	stw:Y1U_C1127
ko:K07124	stw:Y1U_C1128
ko:K03665	stw:Y1U_C1131
ko:K05837	stw:Y1U_C1132
ko:K02500	stw:Y1U_C1135
ko:K01814	stw:Y1U_C1136
ko:K02501	stw:Y1U_C1137
ko:K01693	stw:Y1U_C1138
ko:K01803	stw:Y1U_C0470
ko:K00943	stw:Y1U_C0471
ko:K02341	stw:Y1U_C0472
ko:K07056	stw:Y1U_C0475
ko:K03320	stw:Y1U_C0476
ko:K04751	stw:Y1U_C0477
ko:K03324	stw:Y1U_C0482
ko:K01443	stw:Y1U_C0483
ko:K01878	stw:Y1U_C0484
ko:K01879	stw:Y1U_C0485
ko:K03101	stw:Y1U_C0498
ko:K06180	stw:Y1U_C0499
ko:K02825	stw:Y1U_C0500
ko:K00609	stw:Y1U_C0502
ko:K01956	stw:Y1U_C0503
ko:K01955	stw:Y1U_C0504
ko:K02864	stw:Y1U_C0511
ko:K02935	stw:Y1U_C0512
ko:K07568	stw:Y1U_C0516
ko:K07146	stw:Y1U_C0523
ko:K06180	stw:Y1U_C1356
ko:K00858	stw:Y1U_C1357
ko:K00948	stw:Y1U_C1360
ko:K04487	stw:Y1U_C1361
ko:K01926	stw:Y1U_C1363
ko:K07010	stw:Y1U_C1364
ko:K03630	stw:Y1U_C1365
ko:K00067	stw:Y1U_C1376
ko:K03086	stw:Y1U_C1382
ko:K03282	stw:Y1U_C1384
ko:K02970	stw:Y1U_C1385
ko:K03702	stw:Y1U_C1391
ko:K03979	stw:Y1U_C1396
ko:K00259	stw:Y1U_C0530
ko:K09962	stw:Y1U_C0532
ko:K04042	stw:Y1U_C0538
ko:K01868	stw:Y1U_C0548
ko:K11068	stw:Y1U_C0551
ko:K03544	stw:Y1U_C0558
ko:K03978	stw:Y1U_C0559
ko:K08591	stw:Y1U_C0564
ko:K02622	stw:Y1U_C0565
ko:K02621	stw:Y1U_C0566
ko:K00826	stw:Y1U_C0567
ko:K02945	stw:Y1U_C0569
ko:K00611	stw:Y1U_C0578
ko:K01079	stw:Y1U_C1413
ko:K02470	stw:Y1U_C1415
ko:K00831	stw:Y1U_C1424
ko:K00075	stw:Y1U_C1432
ko:K00950	stw:Y1U_C1433
ko:K01633	stw:Y1U_C1434
ko:K00796	stw:Y1U_C1436
ko:K01495	stw:Y1U_C1437
ko:K11754	stw:Y1U_C1439
ko:K06960	stw:Y1U_C1440
ko:K02959	stw:Y1U_C1441
ko:K01142	stw:Y1U_C1445
ko:K01972	stw:Y1U_C1448
ko:K07058	stw:Y1U_C1450
ko:K01265	stw:Y1U_C1451
ko:K00790	stw:Y1U_C1454
ko:K02237	stw:Y1U_C1456
ko:K16209	stw:Y1U_C1306
ko:K01834	stw:Y1U_C1108
ko:K14237	stw:Y1U_Ct002
ko:K01739	stw:Y1U_C0337
ko:K14226	stw:Y1U_Ct029
ko:K14230	stw:Y1U_Ct014
ko:K16509	stw:Y1U_C0902
ko:K14233	stw:Y1U_Ct013
ko:K14233	stw:Y1U_Ct024
ko:K03699	stw:Y1U_C1536
ko:K14231	stw:Y1U_Ct015
ko:K14231	stw:Y1U_Ct026
ko:K14224	stw:Y1U_Ct023
ko:K14224	stw:Y1U_Ct056
ko:K14224	stw:Y1U_Ct047
ko:K14224	stw:Y1U_Ct041
ko:K14236	stw:Y1U_Ct027
ko:K14236	stw:Y1U_Ct042
ko:K16511	stw:Y1U_C0151
ko:K16264	stw:Y1U_C0952
ko:K02428	stw:Y1U_C0245
ko:K03498	stw:Y1U_C0253
ko:K03499	stw:Y1U_C0254
ko:K03499	stw:Y1U_C0295
ko:K03346	stw:Y1U_C0302
ko:K07009	stw:Y1U_C1171
ko:K08483	stw:Y1U_C1180
ko:K11189	stw:Y1U_C1181
ko:K08234	stw:Y1U_C1194
ko:K11209	stw:Y1U_C0715
ko:K01488	stw:Y1U_C0716
ko:K06147	stw:Y1U_C0725
ko:K03342	stw:Y1U_C0738
ko:K01281	stw:Y1U_C1564
ko:K07706	stw:Y1U_C1580
ko:K12556	stw:Y1U_C1596
ko:K01424	stw:Y1U_C1613
ko:K02824	stw:Y1U_C0501
ko:K02004	stw:Y1U_C0508
ko:K02004	stw:Y1U_C0509
ko:K02564	stw:Y1U_C0517
ko:K07729	stw:Y1U_C0524
ko:K00625	stw:Y1U_C1355
ko:K07816	stw:Y1U_C1358
ko:K07272	stw:Y1U_C1366
ko:K12997	stw:Y1U_C1370
ko:K12996	stw:Y1U_C1371
ko:K09153	stw:Y1U_C1374
ko:K12999	stw:Y1U_C1378
ko:K03574	stw:Y1U_C1390
ko:K06183	stw:Y1U_C1398
ko:K14237	stw:Y1U_Ct020
ko:K14237	stw:Y1U_Ct036
ko:K01784	stw:Y1U_C0761
ko:K11144	stw:Y1U_C0303
ko:K02795	stw:Y1U_C0316
ko:K02793	stw:Y1U_C0317
ko:K02794	stw:Y1U_C0317
ko:K05362	stw:Y1U_C0334
ko:K04767	stw:Y1U_C0350
ko:K04767	stw:Y1U_C0351
ko:K02240	stw:Y1U_C0354
ko:K02242	stw:Y1U_C0355
ko:K00016	stw:Y1U_C1197
