ko:K19504	senv:AU39_22235
ko:K07458	senv:AU39_05260
ko:K09781	senv:AU39_05270
ko:K07026	senv:AU39_05285
ko:K07781	senv:AU39_05300
ko:K02421	senv:AU39_05305
ko:K02420	senv:AU39_05310
ko:K02419	senv:AU39_05315
ko:K02418	senv:AU39_05320
ko:K02417	senv:AU39_05325
ko:K02416	senv:AU39_05330
ko:K02415	senv:AU39_05335
ko:K02414	senv:AU39_05340
ko:K02413	senv:AU39_05345
ko:K02412	senv:AU39_05350
ko:K02411	senv:AU39_05355
ko:K02410	senv:AU39_05360
ko:K02409	senv:AU39_05365
ko:K02408	senv:AU39_05370
ko:K07112	senv:AU39_05385
ko:K01176	senv:AU39_05395
ko:K02423	senv:AU39_05400
ko:K02422	senv:AU39_05405
ko:K02407	senv:AU39_05410
ko:K02406	senv:AU39_05420
ko:K18475	senv:AU39_05425
ko:K02405	senv:AU39_05430
ko:K02425	senv:AU39_05435
ko:K02424	senv:AU39_05440
ko:K05396	senv:AU39_05445
ko:K10009	senv:AU39_05450
ko:K10010	senv:AU39_05455
ko:K07782	senv:AU39_05460
ko:K07689	senv:AU39_05475
ko:K04334	senv:AU39_09855
ko:K04335	senv:AU39_09860
ko:K04337	senv:AU39_09870
ko:K04338	senv:AU39_09875
ko:K06214	senv:AU39_09880
ko:K04477	senv:AU39_09895
ko:K12972	senv:AU39_09900
ko:K09933	senv:AU39_09940
ko:K03746	senv:AU39_10065
ko:K07733	senv:AU39_10090
ko:K07126	senv:AU39_10110
ko:K01241	senv:AU39_10135
ko:K01628	senv:AU39_14320
ko:K02429	senv:AU39_14325
ko:K01818	senv:AU39_14330
ko:K00879	senv:AU39_14335
ko:K02431	senv:AU39_14340
ko:K02430	senv:AU39_14345
ko:K06968	senv:AU39_14350
ko:K03566	senv:AU39_14360
ko:K07347	senv:AU39_00105
ko:K06871	senv:AU39_00180
ko:K03313	senv:AU39_00195
ko:K03717	senv:AU39_00200
ko:K01811	senv:AU39_00205
ko:K00946	senv:AU39_02045
ko:K01095	senv:AU39_02050
ko:K01662	senv:AU39_02060
ko:K00795	senv:AU39_02065
ko:K03602	senv:AU39_02070
ko:K03151	senv:AU39_02075
ko:K11082	senv:AU39_02080
ko:K11083	senv:AU39_02085
ko:K11084	senv:AU39_02090
ko:K11081	senv:AU39_02095
ko:K03430	senv:AU39_02110
ko:K05306	senv:AU39_02115
ko:K03152	senv:AU39_02120
ko:K00077	senv:AU39_02125
ko:K09767	senv:AU39_02130
ko:K02300	senv:AU39_02155
ko:K02299	senv:AU39_02160
ko:K02298	senv:AU39_02165
ko:K02297	senv:AU39_02170
ko:K08218	senv:AU39_02175
ko:K07286	senv:AU39_02180
ko:K08160	senv:AU39_04210
ko:K07085	senv:AU39_04230
ko:K03674	senv:AU39_04240
ko:K05844	senv:AU39_04255
ko:K11073	senv:AU39_04265
ko:K11076	senv:AU39_04270
ko:K11075	senv:AU39_04275
ko:K11074	senv:AU39_04280
ko:K03212	senv:AU39_04290
ko:K03475	senv:AU39_04295
ko:K02822	senv:AU39_04300
ko:K09996	senv:AU39_04310
ko:K09998	senv:AU39_04315
ko:K09999	senv:AU39_04320
ko:K09997	senv:AU39_04325
ko:K10000	senv:AU39_04330
ko:K01425	senv:AU39_07890
ko:K08324	senv:AU39_07895
ko:K08159	senv:AU39_07905
ko:K05595	senv:AU39_07910
ko:K03712	senv:AU39_07915
ko:K13632	senv:AU39_07920
ko:K13630	senv:AU39_07925
ko:K15268	senv:AU39_07930
ko:K01284	senv:AU39_07960
ko:K16066	senv:AU39_07965
ko:K00040	senv:AU39_07980
ko:K08173	senv:AU39_07985
ko:K08322	senv:AU39_07990
ko:K08323	senv:AU39_07995
ko:K09771	senv:AU39_08000
ko:K00657	senv:AU39_08010
ko:K07309	senv:AU39_08025
ko:K07310	senv:AU39_08030
ko:K07307	senv:AU39_08035
ko:K07312	senv:AU39_08040
ko:K05846	senv:AU39_08050
ko:K05845	senv:AU39_08055
ko:K05846	senv:AU39_08060
ko:K05847	senv:AU39_08065
ko:K03281	senv:AU39_08070
ko:K01935	senv:AU39_08075
ko:K15545	senv:AU39_08080
ko:K08224	senv:AU39_08090
ko:K04775	senv:AU39_08105
ko:K11742	senv:AU39_08110
ko:K11743	senv:AU39_08115
ko:K11744	senv:AU39_08125
ko:K00325	senv:AU39_08130
ko:K00324	senv:AU39_08135
ko:K03758	senv:AU39_08145
ko:K07661	senv:AU39_08155
ko:K04022	senv:AU39_12395
ko:K04024	senv:AU39_12400
ko:K04021	senv:AU39_12405
ko:K04028	senv:AU39_12410
ko:K04027	senv:AU39_12415
ko:K04020	senv:AU39_12420
ko:K04032	senv:AU39_12425
ko:K04030	senv:AU39_12430
ko:K04029	senv:AU39_12435
ko:K04031	senv:AU39_12440
ko:K00029	senv:AU39_12445
ko:K00616	senv:AU39_12450
ko:K00615	senv:AU39_12455
ko:K12945	senv:AU39_12470
ko:K07674	senv:AU39_12485
ko:K18324	senv:AU39_12490
ko:K01439	senv:AU39_12500
ko:K06957	senv:AU39_12510
ko:K07054	senv:AU39_12515
ko:K01923	senv:AU39_12520
ko:K07287	senv:AU39_12525
ko:K01714	senv:AU39_12530
ko:K03567	senv:AU39_12535
ko:K03564	senv:AU39_12540
ko:K00865	senv:AU39_12545
ko:K03299	senv:AU39_12550
ko:K02647	senv:AU39_12555
ko:K03548	senv:AU39_12560
ko:K00537	senv:AU39_12570
ko:K10763	senv:AU39_12575
ko:K02824	senv:AU39_12580
ko:K00761	senv:AU39_12585
ko:K01933	senv:AU39_12590
ko:K11175	senv:AU39_12595
ko:K00937	senv:AU39_12600
ko:K01524	senv:AU39_12605
ko:K01951	senv:AU39_12630
ko:K00088	senv:AU39_12635
ko:K03601	senv:AU39_12640
ko:K02906	senv:AU39_16870
ko:K02946	senv:AU39_16875
ko:K02506	senv:AU39_16880
ko:K03594	senv:AU39_16885
ko:K02192	senv:AU39_16890
ko:K02358	senv:AU39_16895
ko:K02355	senv:AU39_16900
ko:K02992	senv:AU39_16905
ko:K02950	senv:AU39_16910
ko:K07237	senv:AU39_16915
ko:K07236	senv:AU39_16920
ko:K07235	senv:AU39_16925
ko:K03772	senv:AU39_16935
ko:K03745	senv:AU39_16940
ko:K03775	senv:AU39_16945
ko:K07070	senv:AU39_16950
ko:K11747	senv:AU39_16955
ko:K11748	senv:AU39_16960
ko:K06158	senv:AU39_16965
ko:K07019	senv:AU39_16980
ko:K09898	senv:AU39_16985
ko:K00855	senv:AU39_16990
ko:K07397	senv:AU39_16995
ko:K10914	senv:AU39_17000
ko:K01664	senv:AU39_17015
ko:K04095	senv:AU39_17020
ko:K03767	senv:AU39_17030
ko:K06141	senv:AU39_17035
ko:K00362	senv:AU39_17040
ko:K00363	senv:AU39_17045
ko:K02598	senv:AU39_17050
ko:K02302	senv:AU39_17055
ko:K12516	senv:AU39_17060
ko:K01867	senv:AU39_17070
ko:K01091	senv:AU39_17075
ko:K01783	senv:AU39_17080
ko:K03112	senv:AU39_17090
ko:K01735	senv:AU39_17095
ko:K00891	senv:AU39_17100
ko:K02507	senv:AU39_17105
ko:K12291	senv:AU39_17110
ko:K12290	senv:AU39_17115
ko:K12289	senv:AU39_17120
ko:K12288	senv:AU39_17125
ko:K05366	senv:AU39_17130
ko:K08312	senv:AU39_17135
ko:K10716	senv:AU39_21420
ko:K08989	senv:AU39_21430
ko:K09456	senv:AU39_21445
ko:K06889	senv:AU39_21460
ko:K03477	senv:AU39_21465
ko:K03476	senv:AU39_21470
ko:K01766	senv:AU39_14370
ko:K02426	senv:AU39_14375
ko:K08304	senv:AU39_14390
ko:K01448	senv:AU39_14400
ko:K14682	senv:AU39_14405
ko:K03581	senv:AU39_14410
ko:K03582	senv:AU39_14415
ko:K03583	senv:AU39_14425
ko:K02681	senv:AU39_14430
ko:K02680	senv:AU39_14440
ko:K02679	senv:AU39_14445
ko:K13292	senv:AU39_14460
ko:K08484	senv:AU39_14465
ko:K08311	senv:AU39_14470
ko:K03573	senv:AU39_14475
ko:K08227	senv:AU39_14495
ko:K05939	senv:AU39_14500
ko:K02529	senv:AU39_14505
ko:K01586	senv:AU39_14515
ko:K02100	senv:AU39_14530
ko:K00065	senv:AU39_14535
ko:K01815	senv:AU39_14540
ko:K00626	senv:AU39_14545
ko:K02470	senv:AU39_18845
ko:K03629	senv:AU39_18850
ko:K02338	senv:AU39_18855
ko:K02313	senv:AU39_18860
ko:K03536	senv:AU39_18865
ko:K03217	senv:AU39_18870
ko:K03650	senv:AU39_18875
ko:K08163	senv:AU39_18880
ko:K06901	senv:AU39_18900
ko:K02039	senv:AU39_18910
ko:K02036	senv:AU39_18915
ko:K02038	senv:AU39_18920
ko:K02037	senv:AU39_18925
ko:K02040	senv:AU39_18930
ko:K02769	senv:AU39_18935
ko:K02770	senv:AU39_18935
ko:K00014	senv:AU39_18940
ko:K00820	senv:AU39_18950
ko:K04042	senv:AU39_18955
ko:K06890	senv:AU39_18965
ko:K02114	senv:AU39_18975
ko:K02112	senv:AU39_18980
ko:K02115	senv:AU39_18985
ko:K02111	senv:AU39_18990
ko:K02113	senv:AU39_18995
ko:K02109	senv:AU39_19000
ko:K02110	senv:AU39_19005
ko:K02108	senv:AU39_19010
ko:K02116	senv:AU39_19015
ko:K03501	senv:AU39_19020
ko:K03495	senv:AU39_19025
ko:K06205	senv:AU39_19030
ko:K03718	senv:AU39_19035
ko:K01914	senv:AU39_19040
ko:K03924	senv:AU39_19050
ko:K03549	senv:AU39_19055
ko:K06726	senv:AU39_19060
ko:K10441	senv:AU39_19065
ko:K10440	senv:AU39_19070
ko:K10439	senv:AU39_19075
ko:K00852	senv:AU39_19080
ko:K02529	senv:AU39_19085
ko:K03475	senv:AU39_21475
ko:K02822	senv:AU39_21480
ko:K02821	senv:AU39_21485
ko:K03078	senv:AU39_21490
ko:K03079	senv:AU39_21495
ko:K03077	senv:AU39_21500
ko:K02990	senv:AU39_21510
ko:K02686	senv:AU39_21515
ko:K02963	senv:AU39_21520
ko:K02939	senv:AU39_21525
ko:K07269	senv:AU39_21535
ko:K03773	senv:AU39_21540
ko:K11737	senv:AU39_21545
ko:K07322	senv:AU39_21560
ko:K01119	senv:AU39_21580
ko:K01082	senv:AU39_21585
ko:K07109	senv:AU39_21590
ko:K07304	senv:AU39_21605
ko:K07278	senv:AU39_21610
ko:K09800	senv:AU39_21615
ko:K01507	senv:AU39_21635
ko:K03841	senv:AU39_21640
ko:K02558	senv:AU39_21645
ko:K09889	senv:AU39_21650
ko:K03592	senv:AU39_21655
ko:K15536	senv:AU39_21660
ko:K01465	senv:AU39_21690
ko:K01042	senv:AU39_21695
ko:K02528	senv:AU39_00450
ko:K00097	senv:AU39_00455
ko:K03771	senv:AU39_00460
ko:K04744	senv:AU39_00465
ko:K05801	senv:AU39_00470
ko:K06177	senv:AU39_00475
ko:K03580	senv:AU39_00480
ko:K02336	senv:AU39_00485
ko:K01804	senv:AU39_00505
ko:K00853	senv:AU39_00510
ko:K02099	senv:AU39_00515
ko:K02062	senv:AU39_00525
ko:K02063	senv:AU39_00530
ko:K02064	senv:AU39_00535
ko:K11925	senv:AU39_00540
ko:K01704	senv:AU39_00555
ko:K01703	senv:AU39_00560
ko:K00052	senv:AU39_00565
ko:K01649	senv:AU39_00570
ko:K05798	senv:AU39_00575
ko:K00926	senv:AU39_02615
ko:K01589	senv:AU39_02620
ko:K01588	senv:AU39_02625
ko:K03269	senv:AU39_02630
ko:K03768	senv:AU39_02635
ko:K01883	senv:AU39_02640
ko:K07038	senv:AU39_02655
ko:K14761	senv:AU39_02660
ko:K01491	senv:AU39_02665
ko:K07345	senv:AU39_02670
ko:K07351	senv:AU39_02675
ko:K07346	senv:AU39_02680
ko:K07347	senv:AU39_02685
ko:K07350	senv:AU39_02690
ko:K07348	senv:AU39_02695
ko:K07688	senv:AU39_02700
ko:K08088	senv:AU39_02705
ko:K08087	senv:AU39_02710
ko:K00254	senv:AU39_04760
ko:K18657	senv:AU39_04765
ko:K07140	senv:AU39_04770
ko:K12297	senv:AU39_04775
ko:K15738	senv:AU39_04780
ko:K01703	senv:AU39_01590
ko:K07347	senv:AU39_01630
ko:K07345	senv:AU39_01640
ko:K18139	senv:AU39_01690
ko:K07213	senv:AU39_01715
ko:K08178	senv:AU39_01720
ko:K07316	senv:AU39_01725
ko:K01156	senv:AU39_01730
ko:K00425	senv:AU39_01735
ko:K00426	senv:AU39_01740
ko:K02014	senv:AU39_01755
ko:K03329	senv:AU39_01760
ko:K01479	senv:AU39_03805
ko:K05836	senv:AU39_03810
ko:K01712	senv:AU39_03815
ko:K01745	senv:AU39_03820
ko:K06910	senv:AU39_03825
ko:K00833	senv:AU39_03830
ko:K01012	senv:AU39_03835
ko:K00652	senv:AU39_03840
ko:K02169	senv:AU39_03845
ko:K01935	senv:AU39_03850
ko:K03702	senv:AU39_03855
ko:K03639	senv:AU39_03870
ko:K03638	senv:AU39_03875
ko:K03637	senv:AU39_03880
ko:K03636	senv:AU39_03885
ko:K03635	senv:AU39_03890
ko:K06890	senv:AU39_03895
ko:K06890	senv:AU39_03900
ko:K07027	senv:AU39_03915
ko:K11065	senv:AU39_06960
ko:K14054	senv:AU39_06970
ko:K15580	senv:AU39_06975
ko:K16052	senv:AU39_07060
ko:K14055	senv:AU39_07070
ko:K00567	senv:AU39_07080
ko:K16074	senv:AU39_07095
ko:K05591	senv:AU39_07100
ko:K14058	senv:AU39_07105
ko:K18919	senv:AU39_07170
ko:K03297	senv:AU39_07225
ko:K14061	senv:AU39_07230
ko:K03737	senv:AU39_07240
ko:K03668	senv:AU39_07250
ko:K03778	senv:AU39_07255
ko:K09978	senv:AU39_07270
ko:K01118	senv:AU39_07280
ko:K12962	senv:AU39_11555
ko:K12963	senv:AU39_11560
ko:K19238	senv:AU39_11565
ko:K01911	senv:AU39_11570
ko:K02549	senv:AU39_11575
ko:K01661	senv:AU39_11580
ko:K08680	senv:AU39_11585
ko:K02551	senv:AU39_11590
ko:K02552	senv:AU39_11595
ko:K05594	senv:AU39_11600
ko:K02348	senv:AU39_11605
ko:K00784	senv:AU39_11610
ko:K03415	senv:AU39_11615
ko:K07114	senv:AU39_11620
ko:K00343	senv:AU39_11630
ko:K00342	senv:AU39_11635
ko:K00341	senv:AU39_11640
ko:K00340	senv:AU39_11645
ko:K00339	senv:AU39_11650
ko:K00338	senv:AU39_11655
ko:K00337	senv:AU39_11660
ko:K00336	senv:AU39_11665
ko:K00335	senv:AU39_11670
ko:K00334	senv:AU39_11675
ko:K13378	senv:AU39_11680
ko:K00331	senv:AU39_11685
ko:K00330	senv:AU39_11690
ko:K14260	senv:AU39_11705
ko:K08722	senv:AU39_11710
ko:K09161	senv:AU39_11725
ko:K09899	senv:AU39_11730
ko:K00925	senv:AU39_11735
ko:K13788	senv:AU39_11740
ko:K00615	senv:AU39_11750
ko:K00615	senv:AU39_11755
ko:K03475	senv:AU39_11760
ko:K02822	senv:AU39_11765
ko:K02821	senv:AU39_11770
ko:K07095	senv:AU39_11790
ko:K07071	senv:AU39_11805
ko:K10017	senv:AU39_11810
ko:K10015	senv:AU39_11815
ko:K10016	senv:AU39_11820
ko:K10014	senv:AU39_11825
ko:K08303	senv:AU39_16025
ko:K03835	senv:AU39_16050
ko:K05592	senv:AU39_16055
ko:K05803	senv:AU39_16060
ko:K00962	senv:AU39_16065
ko:K02956	senv:AU39_16070
ko:K03177	senv:AU39_16075
ko:K02834	senv:AU39_16080
ko:K02519	senv:AU39_16085
ko:K02600	senv:AU39_16090
ko:K09748	senv:AU39_16095
ko:K01940	senv:AU39_16105
ko:K03075	senv:AU39_16120
ko:K03431	senv:AU39_16125
ko:K00796	senv:AU39_16130
ko:K03798	senv:AU39_16135
ko:K02427	senv:AU39_16140
ko:K07574	senv:AU39_16145
ko:K03624	senv:AU39_16150
ko:K07259	senv:AU39_16160
ko:K03979	senv:AU39_16165
ko:K02899	senv:AU39_16175
ko:K02888	senv:AU39_16180
ko:K02523	senv:AU39_16185
ko:K07724	senv:AU39_16190
ko:K00790	senv:AU39_16195
ko:K07122	senv:AU39_16205
ko:K07323	senv:AU39_16210
ko:K02067	senv:AU39_16215
ko:K02066	senv:AU39_16220
ko:K02065	senv:AU39_16225
ko:K07301	senv:AU39_16230
ko:K06041	senv:AU39_16235
ko:K03270	senv:AU39_16240
ko:K11719	senv:AU39_16245
ko:K09774	senv:AU39_16250
ko:K06861	senv:AU39_16255
ko:K03092	senv:AU39_16260
ko:K05808	senv:AU39_16265
ko:K02806	senv:AU39_16270
ko:K06958	senv:AU39_16275
ko:K08485	senv:AU39_16280
ko:K03814	senv:AU39_16290
ko:K00602	senv:AU39_20535
ko:K03827	senv:AU39_20560
ko:K00651	senv:AU39_20565
ko:K01638	senv:AU39_20570
ko:K01637	senv:AU39_20575
ko:K00906	senv:AU39_20580
ko:K13641	senv:AU39_20590
ko:K00548	senv:AU39_20595
ko:K03324	senv:AU39_20600
ko:K05995	senv:AU39_20605
ko:K09912	senv:AU39_20610
ko:K06182	senv:AU39_20615
ko:K00928	senv:AU39_20665
ko:K01810	senv:AU39_20670
ko:K13256	senv:AU39_20695
ko:K10110	senv:AU39_20700
ko:K10109	senv:AU39_20705
ko:K10108	senv:AU39_20710
ko:K10111	senv:AU39_20715
ko:K02024	senv:AU39_20720
ko:K05775	senv:AU39_20725
ko:K03181	senv:AU39_20730
ko:K03179	senv:AU39_20735
ko:K00631	senv:AU39_20740
ko:K00901	senv:AU39_20745
ko:K01356	senv:AU39_20750
ko:K03327	senv:AU39_20755
ko:K09823	senv:AU39_20770
ko:K05539	senv:AU39_20780
ko:K01775	senv:AU39_20800
ko:K00832	senv:AU39_20805
ko:K03788	senv:AU39_20810
ko:K03808	senv:AU39_04785
ko:K06192	senv:AU39_04790
ko:K03812	senv:AU39_04800
ko:K01716	senv:AU39_04805
ko:K04770	senv:AU39_04810
ko:K09911	senv:AU39_04815
ko:K03286	senv:AU39_04820
ko:K13053	senv:AU39_04825
ko:K07343	senv:AU39_04830
ko:K03658	senv:AU39_04845
ko:K01734	senv:AU39_04850
ko:K09909	senv:AU39_04855
ko:K06929	senv:AU39_04860
ko:K11940	senv:AU39_04865
ko:K06969	senv:AU39_04870
ko:K06910	senv:AU39_04875
ko:K01512	senv:AU39_04885
ko:K11179	senv:AU39_04890
ko:K05526	senv:AU39_08995
ko:K01484	senv:AU39_09000
ko:K06447	senv:AU39_09005
ko:K00673	senv:AU39_09010
ko:K00840	senv:AU39_09015
ko:K01142	senv:AU39_09020
ko:K08320	senv:AU39_09025
ko:K00262	senv:AU39_09035
ko:K03169	senv:AU39_09040
ko:K01008	senv:AU39_09045
ko:K04773	senv:AU39_09055
ko:K01424	senv:AU39_09060
ko:K08281	senv:AU39_09065
ko:K08369	senv:AU39_09070
ko:K18471	senv:AU39_09080
ko:K08369	senv:AU39_09100
ko:K09916	senv:AU39_09125
ko:K07305	senv:AU39_09130
ko:K00134	senv:AU39_09135
ko:K01792	senv:AU39_09145
ko:K06871	senv:AU39_09155
ko:K07180	senv:AU39_09165
ko:K09786	senv:AU39_09170
ko:K19055	senv:AU39_09185
ko:K03449	senv:AU39_09205
ko:K09712	senv:AU39_09220
ko:K11250	senv:AU39_09245
ko:K04093	senv:AU39_09250
ko:K07173	senv:AU39_13515
ko:K01919	senv:AU39_13520
ko:K03563	senv:AU39_13560
ko:K01872	senv:AU39_13565
ko:K03565	senv:AU39_13570
ko:K03743	senv:AU39_13580
ko:K08305	senv:AU39_13585
ko:K02783	senv:AU39_13590
ko:K02782	senv:AU39_13595
ko:K02783	senv:AU39_13595
ko:K02781	senv:AU39_13600
ko:K00068	senv:AU39_13605
ko:K02466	senv:AU39_13610
ko:K02468	senv:AU39_13615
ko:K02467	senv:AU39_13620
ko:K12266	senv:AU39_13625
ko:K12264	senv:AU39_13630
ko:K12265	senv:AU39_13635
ko:K04656	senv:AU39_13640
ko:K05796	senv:AU39_13645
ko:K08315	senv:AU39_13655
ko:K15834	senv:AU39_13660
ko:K15832	senv:AU39_13665
ko:K15831	senv:AU39_13670
ko:K15830	senv:AU39_13675
ko:K15829	senv:AU39_13680
ko:K15828	senv:AU39_13685
ko:K15827	senv:AU39_13690
ko:K15833	senv:AU39_13695
ko:K04651	senv:AU39_13700
ko:K04652	senv:AU39_13705
ko:K04653	senv:AU39_13710
ko:K04654	senv:AU39_13715
ko:K04655	senv:AU39_13720
ko:K15836	senv:AU39_13725
ko:K11604	senv:AU39_13735
ko:K11607	senv:AU39_13740
ko:K11605	senv:AU39_13745
ko:K11606	senv:AU39_13750
ko:K08598	senv:AU39_13755
ko:K03796	senv:AU39_17995
ko:K01176	senv:AU39_18005
ko:K00835	senv:AU39_18010
ko:K08092	senv:AU39_18025
ko:K00880	senv:AU39_18055
ko:K09955	senv:AU39_18080
ko:K00138	senv:AU39_18085
ko:K03833	senv:AU39_18095
ko:K01042	senv:AU39_18100
ko:K02798	senv:AU39_18110
ko:K02799	senv:AU39_18110
ko:K02800	senv:AU39_18110
ko:K00009	senv:AU39_18115
ko:K02562	senv:AU39_18120
ko:K14762	senv:AU39_18130
ko:K00427	senv:AU39_18145
ko:K14348	senv:AU39_18150
ko:K00101	senv:AU39_18155
ko:K03216	senv:AU39_18160
ko:K06145	senv:AU39_18165
ko:K03535	senv:AU39_18175
ko:K00640	senv:AU39_18180
ko:K00057	senv:AU39_18185
ko:K03071	senv:AU39_18190
ko:K15633	senv:AU39_18205
ko:K09798	senv:AU39_18215
ko:K00060	senv:AU39_18225
ko:K00639	senv:AU39_18230
ko:K03274	senv:AU39_18235
ko:K02843	senv:AU39_18240
ko:K02841	senv:AU39_18245
ko:K02847	senv:AU39_18250
ko:K03280	senv:AU39_18255
ko:K12981	senv:AU39_18260
ko:K02850	senv:AU39_18265
ko:K19164	senv:AU39_22620
ko:K19163	senv:AU39_22625
ko:K07491	senv:AU39_22675
ko:K01673	senv:AU39_22740
ko:K03497	senv:AU39_22780
ko:K03502	senv:AU39_22785
ko:K03503	senv:AU39_22790
ko:K03497	senv:AU39_22795
ko:K12068	senv:AU39_22860
ko:K12067	senv:AU39_22865
ko:K12066	senv:AU39_22870
ko:K12065	senv:AU39_22875
ko:K12064	senv:AU39_22885
ko:K19000	senv:AU39_01210
ko:K15034	senv:AU39_01225
ko:K06079	senv:AU39_01230
ko:K01881	senv:AU39_01235
ko:K06080	senv:AU39_01245
ko:K02073	senv:AU39_01250
ko:K02072	senv:AU39_01255
ko:K02071	senv:AU39_01260
ko:K03273	senv:AU39_01265
ko:K06222	senv:AU39_01300
ko:K08307	senv:AU39_01325
ko:K01069	senv:AU39_01330
ko:K01835	senv:AU39_03410
ko:K03756	senv:AU39_03420
ko:K01581	senv:AU39_03425
ko:K07667	senv:AU39_03435
ko:K07646	senv:AU39_03440
ko:K01548	senv:AU39_03445
ko:K01547	senv:AU39_03450
ko:K01546	senv:AU39_03455
ko:K01669	senv:AU39_03470
ko:K03305	senv:AU39_03475
ko:K07160	senv:AU39_03495
ko:K05522	senv:AU39_03500
ko:K07120	senv:AU39_03505
ko:K01647	senv:AU39_03510
ko:K00241	senv:AU39_03515
ko:K00242	senv:AU39_03520
ko:K00239	senv:AU39_03525
ko:K00240	senv:AU39_03530
ko:K00164	senv:AU39_03535
ko:K00658	senv:AU39_03540
ko:K01903	senv:AU39_03545
ko:K11392	senv:AU39_06105
ko:K03808	senv:AU39_06115
ko:K03607	senv:AU39_06125
ko:K03797	senv:AU39_06130
ko:K03799	senv:AU39_06135
ko:K08169	senv:AU39_06140
ko:K03704	senv:AU39_06170
ko:K03587	senv:AU39_06175
ko:K00563	senv:AU39_06180
ko:K02795	senv:AU39_06200
ko:K02793	senv:AU39_06205
ko:K02794	senv:AU39_06205
ko:K01752	senv:AU39_06220
ko:K01665	senv:AU39_06230
ko:K09917	senv:AU39_06235
ko:K14742	senv:AU39_06250
ko:K07285	senv:AU39_06255
ko:K01897	senv:AU39_06260
ko:K03684	senv:AU39_06265
ko:K03608	senv:AU39_06270
ko:K03609	senv:AU39_06275
ko:K03610	senv:AU39_06280
ko:K09902	senv:AU39_06285
ko:K09160	senv:AU39_06295
ko:K03611	senv:AU39_06315
ko:K03314	senv:AU39_06320
ko:K03603	senv:AU39_06325
ko:K00285	senv:AU39_06335
ko:K01775	senv:AU39_06340
ko:K11105	senv:AU39_06345
ko:K01297	senv:AU39_06350
ko:K08308	senv:AU39_06355
ko:K01194	senv:AU39_06370
ko:K00261	senv:AU39_06375
ko:K01991	senv:AU39_10695
ko:K07289	senv:AU39_10705
ko:K01494	senv:AU39_10710
ko:K00876	senv:AU39_10715
ko:K01247	senv:AU39_10725
