ko:K03741	fpw:IA04_07650
ko:K03218	fpw:IA04_06380
ko:K07478	fpw:IA04_06390
ko:K07025	fpw:IA04_06400
ko:K03630	fpw:IA04_06405
ko:K02558	fpw:IA04_06410
ko:K03979	fpw:IA04_06430
ko:K03699	fpw:IA04_06440
ko:K00939	fpw:IA04_06445
ko:K00760	fpw:IA04_06450
ko:K01589	fpw:IA04_06460
ko:K01588	fpw:IA04_06465
ko:K01284	fpw:IA04_06470
ko:K00281	fpw:IA04_06505
ko:K06886	fpw:IA04_06510
ko:K00648	fpw:IA04_06515
ko:K02066	fpw:IA04_06535
ko:K02065	fpw:IA04_06540
ko:K00971	fpw:IA04_06550
ko:K00627	fpw:IA04_06565
ko:K00161	fpw:IA04_06570
ko:K01489	fpw:IA04_06575
ko:K01929	fpw:IA04_06595
ko:K02968	fpw:IA04_06605
ko:K02655	fpw:IA04_11270
ko:K06142	fpw:IA04_11275
ko:K02653	fpw:IA04_11350
ko:K00128	fpw:IA04_11405
ko:K00946	fpw:IA04_11410
ko:K00833	fpw:IA04_11420
ko:K01935	fpw:IA04_11425
ko:K00748	fpw:IA04_11430
ko:K03787	fpw:IA04_11440
ko:K03797	fpw:IA04_11445
ko:K02238	fpw:IA04_11450
ko:K03305	fpw:IA04_11465
ko:K03305	fpw:IA04_11470
ko:K01278	fpw:IA04_11475
ko:K00054	fpw:IA04_11485
ko:K03797	fpw:IA04_11510
ko:K01759	fpw:IA04_11515
ko:K03814	fpw:IA04_11520
ko:K00684	fpw:IA04_11545
ko:K01246	fpw:IA04_11555
ko:K03177	fpw:IA04_11570
ko:K06153	fpw:IA04_11575
ko:K00263	fpw:IA04_02575
ko:K03625	fpw:IA04_02580
ko:K03210	fpw:IA04_02590
ko:K01591	fpw:IA04_02595
ko:K11754	fpw:IA04_02615
ko:K03561	fpw:IA04_02620
ko:K03559	fpw:IA04_02625
ko:K05794	fpw:IA04_02630
ko:K01915	fpw:IA04_02635
ko:K03088	fpw:IA04_02650
ko:K07114	fpw:IA04_02660
ko:K07000	fpw:IA04_02675
ko:K06158	fpw:IA04_02705
ko:K03327	fpw:IA04_02765
ko:K07588	fpw:IA04_02780
ko:K08223	fpw:IA04_02785
ko:K00104	fpw:IA04_02790
ko:K00428	fpw:IA04_02815
ko:K03070	fpw:IA04_02825
ko:K02003	fpw:IA04_02840
ko:K15738	fpw:IA04_02860
ko:K00658	fpw:IA04_02875
ko:K00077	fpw:IA04_07560
ko:K00626	fpw:IA04_07580
ko:K14652	fpw:IA04_07600
ko:K07091	fpw:IA04_07605
ko:K03466	fpw:IA04_07615
ko:K00901	fpw:IA04_07620
ko:K11065	fpw:IA04_07625
ko:K02536	fpw:IA04_07655
ko:K01911	fpw:IA04_07660
ko:K07052	fpw:IA04_07665
ko:K00537	fpw:IA04_07670
ko:K01679	fpw:IA04_07685
ko:K02429	fpw:IA04_07695
ko:K05786	fpw:IA04_07700
ko:K07391	fpw:IA04_07705
ko:K00134	fpw:IA04_07720
ko:K00850	fpw:IA04_07725
ko:K01409	fpw:IA04_07735
ko:K09761	fpw:IA04_07740
ko:K08641	fpw:IA04_07770
ko:K01665	fpw:IA04_07780
ko:K04075	fpw:IA04_07785
ko:K04084	fpw:IA04_07790
ko:K00674	fpw:IA04_07795
ko:K03718	fpw:IA04_03845
ko:K06966	fpw:IA04_03855
ko:K03701	fpw:IA04_03875
ko:K02014	fpw:IA04_03885
ko:K01840	fpw:IA04_03900
ko:K02517	fpw:IA04_03935
ko:K09807	fpw:IA04_03945
ko:K04043	fpw:IA04_03955
ko:K03657	fpw:IA04_03980
ko:K01354	fpw:IA04_03990
ko:K01697	fpw:IA04_03995
ko:K02836	fpw:IA04_04005
ko:K01620	fpw:IA04_04010
ko:K09747	fpw:IA04_04015
ko:K07462	fpw:IA04_04020
ko:K15726	fpw:IA04_04040
ko:K15727	fpw:IA04_04045
ko:K01752	fpw:IA04_04060
ko:K00606	fpw:IA04_04070
ko:K06180	fpw:IA04_04080
ko:K00128	fpw:IA04_04085
ko:K02887	fpw:IA04_04105
ko:K02916	fpw:IA04_04110
ko:K02520	fpw:IA04_04115
ko:K01868	fpw:IA04_04120
ko:K03702	fpw:IA04_04140
ko:K01903	fpw:IA04_04165
ko:K00088	fpw:IA04_08770
ko:K01640	fpw:IA04_08790
ko:K00254	fpw:IA04_08795
ko:K07636	fpw:IA04_08835
ko:K00859	fpw:IA04_08840
ko:K01081	fpw:IA04_08870
ko:K01714	fpw:IA04_08885
ko:K05807	fpw:IA04_08890
ko:K13038	fpw:IA04_08900
ko:K03631	fpw:IA04_08910
ko:K00209	fpw:IA04_08915
ko:K01972	fpw:IA04_08935
ko:K02939	fpw:IA04_08945
ko:K02963	fpw:IA04_08950
ko:K02990	fpw:IA04_08955
ko:K04066	fpw:IA04_08965
ko:K07058	fpw:IA04_08975
ko:K00767	fpw:IA04_08980
ko:K05916	fpw:IA04_08985
ko:K13771	fpw:IA04_08990
ko:K00783	fpw:IA04_09000
ko:K00951	fpw:IA04_09030
ko:K03437	fpw:IA04_09035
ko:K00031	fpw:IA04_09065
ko:K02884	fpw:IA04_09075
ko:K00554	fpw:IA04_09080
ko:K00927	fpw:IA04_00020
ko:K08307	fpw:IA04_00025
ko:K02348	fpw:IA04_00030
ko:K07146	fpw:IA04_00040
ko:K05366	fpw:IA04_00055
ko:K01028	fpw:IA04_00060
ko:K01029	fpw:IA04_00085
ko:K07501	fpw:IA04_00095
ko:K00567	fpw:IA04_00100
ko:K08738	fpw:IA04_00105
ko:K01698	fpw:IA04_00110
ko:K00228	fpw:IA04_00120
ko:K03790	fpw:IA04_00130
ko:K01599	fpw:IA04_00140
ko:K01719	fpw:IA04_00145
ko:K01749	fpw:IA04_00150
ko:K02492	fpw:IA04_00155
ko:K01772	fpw:IA04_00165
ko:K08973	fpw:IA04_00170
ko:K01715	fpw:IA04_00180
ko:K06950	fpw:IA04_00185
ko:K03921	fpw:IA04_00190
ko:K00655	fpw:IA04_00195
ko:K07025	fpw:IA04_00205
ko:K01874	fpw:IA04_00210
ko:K01297	fpw:IA04_00225
ko:K07460	fpw:IA04_00230
ko:K02557	fpw:IA04_00240
ko:K01142	fpw:IA04_00245
ko:K00058	fpw:IA04_00255
ko:K00286	fpw:IA04_00265
ko:K06213	fpw:IA04_00270
ko:K02528	fpw:IA04_00275
ko:K01875	fpw:IA04_00295
ko:K03322	fpw:IA04_00315
ko:K03709	fpw:IA04_00320
ko:K06167	fpw:IA04_05115
ko:K03564	fpw:IA04_05125
ko:K10773	fpw:IA04_05130
ko:K03088	fpw:IA04_05155
ko:K03701	fpw:IA04_05160
ko:K01424	fpw:IA04_05170
ko:K13282	fpw:IA04_05175
ko:K03802	fpw:IA04_05180
ko:K01278	fpw:IA04_05185
ko:K00876	fpw:IA04_05220
ko:K01847	fpw:IA04_05230
ko:K01847	fpw:IA04_05240
ko:K03100	fpw:IA04_05255
ko:K00215	fpw:IA04_05260
ko:K03497	fpw:IA04_05270
ko:K03496	fpw:IA04_05275
ko:K18707	fpw:IA04_05290
ko:K02909	fpw:IA04_05300
ko:K11085	fpw:IA04_05320
ko:K09888	fpw:IA04_05350
ko:K18682	fpw:IA04_05355
ko:K03572	fpw:IA04_05360
ko:K17686	fpw:IA04_05395
ko:K03921	fpw:IA04_05405
ko:K15862	fpw:IA04_05410
ko:K00406	fpw:IA04_05420
ko:K03590	fpw:IA04_10055
ko:K03589	fpw:IA04_10060
ko:K01924	fpw:IA04_10065
ko:K02563	fpw:IA04_10070
ko:K03588	fpw:IA04_10075
ko:K01925	fpw:IA04_10080
ko:K01000	fpw:IA04_10085
ko:K01928	fpw:IA04_10090
ko:K03587	fpw:IA04_10095
ko:K03438	fpw:IA04_10105
ko:K03925	fpw:IA04_10110
ko:K03978	fpw:IA04_10120
ko:K01916	fpw:IA04_10135
ko:K03088	fpw:IA04_10170
ko:K02523	fpw:IA04_10175
ko:K06941	fpw:IA04_10185
ko:K03116	fpw:IA04_10200
ko:K03544	fpw:IA04_10205
ko:K01358	fpw:IA04_10210
ko:K03545	fpw:IA04_10215
ko:K08972	fpw:IA04_10220
ko:K01990	fpw:IA04_10235
ko:K03474	fpw:IA04_10240
ko:K00858	fpw:IA04_10250
ko:K00806	fpw:IA04_10260
ko:K07277	fpw:IA04_10265
ko:K06142	fpw:IA04_10275
ko:K01776	fpw:IA04_10280
ko:K06888	fpw:IA04_10305
ko:K14742	fpw:IA04_10315
ko:K02276	fpw:IA04_10325
ko:K02276	fpw:IA04_10330
ko:K00942	fpw:IA04_01635
ko:K01760	fpw:IA04_01665
ko:K07658	fpw:IA04_01685
ko:K07636	fpw:IA04_01690
ko:K02040	fpw:IA04_01700
ko:K02037	fpw:IA04_01705
ko:K02038	fpw:IA04_01710
ko:K02036	fpw:IA04_01715
ko:K02039	fpw:IA04_01720
ko:K03439	fpw:IA04_01735
ko:K07443	fpw:IA04_01745
ko:K00184	fpw:IA04_01760
ko:K00185	fpw:IA04_01765
ko:K02275	fpw:IA04_01785
ko:K02274	fpw:IA04_01790
ko:K09946	fpw:IA04_01815
ko:K03502	fpw:IA04_01845
ko:K03503	fpw:IA04_01850
ko:K03555	fpw:IA04_01875
ko:K04773	fpw:IA04_01895
ko:K01448	fpw:IA04_01910
ko:K02527	fpw:IA04_01920
ko:K01784	fpw:IA04_01930
ko:K00645	fpw:IA04_01940
ko:K01881	fpw:IA04_06620
ko:K14441	fpw:IA04_06635
ko:K07636	fpw:IA04_06645
ko:K00940	fpw:IA04_06665
ko:K00432	fpw:IA04_06710
ko:K03270	fpw:IA04_06725
ko:K03179	fpw:IA04_06730
ko:K06287	fpw:IA04_06735
ko:K06173	fpw:IA04_06740
ko:K00796	fpw:IA04_06750
ko:K01803	fpw:IA04_06770
ko:K03110	fpw:IA04_06775
ko:K02913	fpw:IA04_06785
ko:K02902	fpw:IA04_06790
ko:K03742	fpw:IA04_06795
ko:K02342	fpw:IA04_06815
ko:K04762	fpw:IA04_06825
ko:K02825	fpw:IA04_06835
ko:K00891	fpw:IA04_06840
ko:K06443	fpw:IA04_06860
ko:K10027	fpw:IA04_06870
ko:K15746	fpw:IA04_06880
ko:K03088	fpw:IA04_06900
ko:K02014	fpw:IA04_06910
ko:K02226	fpw:IA04_06915
ko:K02233	fpw:IA04_06920
ko:K09811	fpw:IA04_11585
ko:K01869	fpw:IA04_11605
ko:K06973	fpw:IA04_11610
ko:K03624	fpw:IA04_11620
ko:K02503	fpw:IA04_11625
ko:K01372	fpw:IA04_11635
ko:K02014	fpw:IA04_11640
ko:K03269	fpw:IA04_11645
ko:K03718	fpw:IA04_11650
ko:K01610	fpw:IA04_11665
ko:K03536	fpw:IA04_11670
ko:K01961	fpw:IA04_11675
ko:K02160	fpw:IA04_11680
ko:K00648	fpw:IA04_11685
ko:K02911	fpw:IA04_11690
ko:K00097	fpw:IA04_11700
ko:K00793	fpw:IA04_11705
ko:K02426	fpw:IA04_11725
ko:K11717	fpw:IA04_11735
ko:K09015	fpw:IA04_11745
ko:K09013	fpw:IA04_11750
ko:K09014	fpw:IA04_11755
ko:K13628	fpw:IA04_11760
ko:K04755	fpw:IA04_11785
ko:K13789	fpw:IA04_11815
ko:K00164	fpw:IA04_11830
ko:K00658	fpw:IA04_11835
ko:K08151	fpw:IA04_11840
ko:K03665	fpw:IA04_11860
ko:K02004	fpw:IA04_11865
ko:K00602	fpw:IA04_11870
ko:K03569	fpw:IA04_11875
ko:K01495	fpw:IA04_02905
ko:K01883	fpw:IA04_02910
ko:K08998	fpw:IA04_02915
ko:K03524	fpw:IA04_02925
ko:K09710	fpw:IA04_02930
ko:K03798	fpw:IA04_02935
ko:K00981	fpw:IA04_02945
ko:K01613	fpw:IA04_02950
ko:K00773	fpw:IA04_02970
ko:K11720	fpw:IA04_02975
ko:K01962	fpw:IA04_02985
ko:K00384	fpw:IA04_02995
ko:K03549	fpw:IA04_03020
ko:K03088	fpw:IA04_03040
ko:K03650	fpw:IA04_03050
ko:K09810	fpw:IA04_03060
ko:K07304	fpw:IA04_03065
ko:K01495	fpw:IA04_03070
ko:K00058	fpw:IA04_03095
ko:K00831	fpw:IA04_03100
ko:K06942	fpw:IA04_03120
ko:K02014	fpw:IA04_03125
ko:K02622	fpw:IA04_03130
ko:K02621	fpw:IA04_03145
ko:K06180	fpw:IA04_03160
ko:K01921	fpw:IA04_03170
ko:K00954	fpw:IA04_03175
ko:K01711	fpw:IA04_07860
ko:K07566	fpw:IA04_07875
ko:K02259	fpw:IA04_07885
ko:K03111	fpw:IA04_07980
ko:K03575	fpw:IA04_07985
ko:K03530	fpw:IA04_07990
ko:K08301	fpw:IA04_07995
ko:K03593	fpw:IA04_08000
ko:K00384	fpw:IA04_08010
ko:K02551	fpw:IA04_08040
ko:K03823	fpw:IA04_08045
ko:K02687	fpw:IA04_08055
ko:K06891	fpw:IA04_08060
ko:K07112	fpw:IA04_08080
ko:K07112	fpw:IA04_08085
ko:K07646	fpw:IA04_08105
ko:K01548	fpw:IA04_08115
ko:K01547	fpw:IA04_08120
ko:K01546	fpw:IA04_08125
ko:K00812	fpw:IA04_08145
ko:K03386	fpw:IA04_04195
ko:K00405	fpw:IA04_04220
ko:K00404	fpw:IA04_04225
ko:K09810	fpw:IA04_04230
ko:K09808	fpw:IA04_04235
ko:K09858	fpw:IA04_04270
ko:K03585	fpw:IA04_04280
ko:K01895	fpw:IA04_04335
ko:K02342	fpw:IA04_04340
ko:K07182	fpw:IA04_04345
ko:K16053	fpw:IA04_04370
ko:K03574	fpw:IA04_04380
ko:K11755	fpw:IA04_04390
ko:K02500	fpw:IA04_04395
ko:K01814	fpw:IA04_04400
ko:K02501	fpw:IA04_04405
ko:K01089	fpw:IA04_04410
ko:K00817	fpw:IA04_04415
ko:K00013	fpw:IA04_04420
ko:K00765	fpw:IA04_04425
ko:K00059	fpw:IA04_04445
ko:K02343	fpw:IA04_04450
ko:K01524	fpw:IA04_04465
ko:K00937	fpw:IA04_04470
ko:K06147	fpw:IA04_09100
ko:K06871	fpw:IA04_09110
ko:K01284	fpw:IA04_09135
ko:K03664	fpw:IA04_09140
ko:K03790	fpw:IA04_09150
ko:K01951	fpw:IA04_09190
ko:K09954	fpw:IA04_09210
ko:K01937	fpw:IA04_09215
ko:K03217	fpw:IA04_09220
ko:K01939	fpw:IA04_09230
ko:K03711	fpw:IA04_09235
ko:K00573	fpw:IA04_09265
ko:K00074	fpw:IA04_09275
ko:K06997	fpw:IA04_09290
ko:K02342	fpw:IA04_09300
ko:K00791	fpw:IA04_09305
ko:K01258	fpw:IA04_09320
ko:K02835	fpw:IA04_09330
ko:K02014	fpw:IA04_09335
ko:K09939	fpw:IA04_09340
ko:K09001	fpw:IA04_09360
ko:K01270	fpw:IA04_09370
ko:K03885	fpw:IA04_09380
ko:K03088	fpw:IA04_09385
ko:K07394	fpw:IA04_00330
ko:K11749	fpw:IA04_00340
ko:K03111	fpw:IA04_00350
ko:K07386	fpw:IA04_00365
ko:K07152	fpw:IA04_00380
ko:K04758	fpw:IA04_00385
ko:K04759	fpw:IA04_00390
ko:K00241	fpw:IA04_00405
ko:K00239	fpw:IA04_00410
ko:K00240	fpw:IA04_00420
ko:K11031	fpw:IA04_00430
ko:K04485	fpw:IA04_00465
ko:K07017	fpw:IA04_00470
ko:K07027	fpw:IA04_00475
ko:K01579	fpw:IA04_00480
ko:K01918	fpw:IA04_00485
ko:K00703	fpw:IA04_00490
ko:K00820	fpw:IA04_00500
ko:K02112	fpw:IA04_00515
ko:K02114	fpw:IA04_00520
ko:K00652	fpw:IA04_00535
ko:K01889	fpw:IA04_00560
ko:K03558	fpw:IA04_00570
ko:K07114	fpw:IA04_00590
ko:K07114	fpw:IA04_00600
ko:K03924	fpw:IA04_00615
ko:K06193	fpw:IA04_00635
ko:K00057	fpw:IA04_00640
ko:K08325	fpw:IA04_00645
ko:K00969	fpw:IA04_00650
ko:K09792	fpw:IA04_05435
ko:K09794	fpw:IA04_05440
ko:K01681	fpw:IA04_05450
ko:K03924	fpw:IA04_05465
ko:K03771	fpw:IA04_05475
ko:K03771	fpw:IA04_05480
ko:K02837	fpw:IA04_05495
ko:K03046	fpw:IA04_05505
ko:K03043	fpw:IA04_05510
ko:K02935	fpw:IA04_05515
ko:K02864	fpw:IA04_05520
ko:K02863	fpw:IA04_05525
ko:K02867	fpw:IA04_05530
ko:K02601	fpw:IA04_05535
ko:K03073	fpw:IA04_05540
ko:K02358	fpw:IA04_05550
ko:K05808	fpw:IA04_05570
ko:K03733	fpw:IA04_05575
ko:K02970	fpw:IA04_05580
ko:K02342	fpw:IA04_05610
ko:K01697	fpw:IA04_05615
ko:K03470	fpw:IA04_05635
ko:K03801	fpw:IA04_05640
ko:K04567	fpw:IA04_05645
ko:K01845	fpw:IA04_05655
ko:K07107	fpw:IA04_05670
ko:K02313	fpw:IA04_05675
ko:K01104	fpw:IA04_05680
ko:K07056	fpw:IA04_05685
ko:K07082	fpw:IA04_05700
ko:K00657	fpw:IA04_05705
ko:K01778	fpw:IA04_05710
ko:K00134	fpw:IA04_05725
ko:K07152	fpw:IA04_10345
ko:K08976	fpw:IA04_10350
ko:K12340	fpw:IA04_10365
ko:K02005	fpw:IA04_10370
ko:K01619	fpw:IA04_10380
ko:K02437	fpw:IA04_10390
ko:K03550	fpw:IA04_10400
ko:K00029	fpw:IA04_10405
ko:K18979	fpw:IA04_10410
ko:K03551	fpw:IA04_10415
ko:K03294	fpw:IA04_10420
ko:K05995	fpw:IA04_10440
ko:K15633	fpw:IA04_10465
ko:K08151	fpw:IA04_10485
ko:K07316	fpw:IA04_10595
ko:K01810	fpw:IA04_00660
ko:K02897	fpw:IA04_00665
ko:K00948	fpw:IA04_00670
ko:K01262	fpw:IA04_00700
ko:K00639	fpw:IA04_00720
ko:K04564	fpw:IA04_00735
ko:K01866	fpw:IA04_00740
ko:K01465	fpw:IA04_00755
ko:K00721	fpw:IA04_00760
ko:K01719	fpw:IA04_00795
ko:K13766	fpw:IA04_00800
ko:K15034	fpw:IA04_00805
ko:K03811	fpw:IA04_00815
ko:K07094	fpw:IA04_00820
ko:K01251	fpw:IA04_00830
ko:K03723	fpw:IA04_00845
ko:K03642	fpw:IA04_00855
ko:K00764	fpw:IA04_00865
ko:K03469	fpw:IA04_00875
ko:K11175	fpw:IA04_00880
ko:K02078	fpw:IA04_00885
ko:K09458	fpw:IA04_00895
ko:K03685	fpw:IA04_00900
ko:K00873	fpw:IA04_00910
ko:K01159	fpw:IA04_00935
ko:K09793	fpw:IA04_00955
ko:K07164	fpw:IA04_05740
ko:K06182	fpw:IA04_05750
ko:K10716	fpw:IA04_05755
ko:K18831	fpw:IA04_05775
ko:K03442	fpw:IA04_05780
ko:K07137	fpw:IA04_05785
ko:K03654	fpw:IA04_05805
ko:K06041	fpw:IA04_05810
ko:K03118	fpw:IA04_05815
ko:K06861	fpw:IA04_05825
ko:K07273	fpw:IA04_05830
ko:K17103	fpw:IA04_05835
ko:K00640	fpw:IA04_05885
ko:K00640	fpw:IA04_05910
ko:K08068	fpw:IA04_05920
ko:K01991	fpw:IA04_06020
ko:K09808	fpw:IA04_10710
ko:K06940	fpw:IA04_10720
ko:K02040	fpw:IA04_10765
ko:K03832	fpw:IA04_10770
ko:K03561	fpw:IA04_10785
ko:K06915	fpw:IA04_10790
ko:K00486	fpw:IA04_10795
ko:K01434	fpw:IA04_10800
ko:K01480	fpw:IA04_10805
ko:K01556	fpw:IA04_10810
ko:K02899	fpw:IA04_10820
ko:K02888	fpw:IA04_10825
ko:K00343	fpw:IA04_10835
ko:K00342	fpw:IA04_10840
ko:K00341	fpw:IA04_10845
ko:K00340	fpw:IA04_10850
ko:K08289	fpw:IA04_01955
ko:K00812	fpw:IA04_01960
ko:K00508	fpw:IA04_01965
ko:K03501	fpw:IA04_01970
ko:K00294	fpw:IA04_01975
ko:K06195	fpw:IA04_01990
ko:K01265	fpw:IA04_02005
ko:K01534	fpw:IA04_02040
ko:K03154	fpw:IA04_02045
ko:K03147	fpw:IA04_02050
ko:K00788	fpw:IA04_02055
ko:K00941	fpw:IA04_02060
ko:K00788	fpw:IA04_02065
ko:K03149	fpw:IA04_02070
ko:K03150	fpw:IA04_02075
ko:K09903	fpw:IA04_02085
ko:K02838	fpw:IA04_02090
ko:K01754	fpw:IA04_02135
ko:K00053	fpw:IA04_02140
ko:K01653	fpw:IA04_02145
ko:K01652	fpw:IA04_02150
ko:K01687	fpw:IA04_02155
ko:K00826	fpw:IA04_02160
ko:K02357	fpw:IA04_02175
ko:K02967	fpw:IA04_02180
ko:K02996	fpw:IA04_02185
ko:K02871	fpw:IA04_02190
ko:K05595	fpw:IA04_02210
ko:K03797	fpw:IA04_02225
ko:K00768	fpw:IA04_06925
ko:K02231	fpw:IA04_06930
ko:K02016	fpw:IA04_06940
ko:K02015	fpw:IA04_06945
ko:K03088	fpw:IA04_06955
ko:K03832	fpw:IA04_06960
ko:K03644	fpw:IA04_06970
ko:K00134	fpw:IA04_06975
ko:K03783	fpw:IA04_06985
ko:K00912	fpw:IA04_06990
ko:K01491	fpw:IA04_07000
ko:K03106	fpw:IA04_07005
ko:K03734	fpw:IA04_07050
ko:K16091	fpw:IA04_07075
ko:K16089	fpw:IA04_07105
