ko:K07591	eok:G2583_3841
ko:K07404	eok:G2583_0933
ko:K16371	eok:G2583_3854
ko:K15548	eok:G2583_3961
ko:K03468	eok:G2583_3960
ko:K15831	eok:G2583_3368
ko:K00065	eok:G2583_3499
ko:K14057	eok:G2583_1687
ko:K14062	eok:G2583_1752
ko:K14064	eok:G2583_2346
ko:K14061	eok:G2583_1751
ko:K14056	eok:G2583_1646
ko:K14055	eok:G2583_1681
ko:K00821	eok:G2583_4065
ko:K04085	eok:G2583_4173
ko:K13650	eok:G2583_1034
ko:K01916	eok:G2583_2186
ko:K01048	eok:G2583_4625
ko:K01846	eok:G2583_0895
ko:K02062	eok:G2583_0069
ko:K13735	eok:G2583_2488
ko:K14054	eok:G2583_1673
ko:K14059	eok:G2583_1972
ko:K03719	eok:G2583_1126
ko:K14065	eok:G2583_4728
ko:K11139	eok:G2583_1442
ko:K10762	eok:G2583_1709
ko:K00758	eok:G2583_5242
ko:K07749	eok:G2583_2907
ko:K14059	eok:G2583_1695
ko:K14060	eok:G2583_5232
ko:K14052	eok:G2583_1643
ko:K14053	eok:G2583_1666
ko:K14058	eok:G2583_1694
ko:K14051	eok:G2583_1627
ko:K08173	eok:G2583_1910
ko:K13628	eok:G2583_3058
ko:K07483	eok:G2583_3629
ko:K13793	eok:G2583_0348
ko:K00568	eok:G2583_2770
ko:K07279	eok:G2583_2771
ko:K16693	eok:G2583_4586
ko:K02814	eok:G2583_4842
ko:K07052	eok:G2583_2462
ko:K13979	eok:G2583_0435
ko:K07666	eok:G2583_3746
ko:K07496	eok:G2583_2932
ko:K02423	eok:G2583_2377
ko:K02414	eok:G2583_2394
ko:K02483	eok:G2583_2419
ko:K06183	eok:G2583_2726
ko:K01838	eok:G2583_1664
ko:K02054	eok:G2583_1803
ko:K13243	eok:G2583_1852
ko:K07346	eok:G2583_1869
ko:K08324	eok:G2583_1890
ko:K07484	eok:G2583_3630
ko:K07484	eok:G2583_pO550104
ko:K00076	eok:G2583_2013
ko:K08997	eok:G2583_2103
ko:K01190	eok:G2583_0455
ko:K07352	eok:G2583_0650
ko:K08225	eok:G2583_0754
ko:K02778	eok:G2583_1361
ko:K02779	eok:G2583_1361
ko:K06884	eok:G2583_1598
ko:K01497	eok:G2583_1618
ko:K01096	eok:G2583_1619
ko:K03973	eok:G2583_1653
ko:K03972	eok:G2583_1655
ko:K02027	eok:G2583_1657
ko:K12340	eok:G2583_3761
ko:K12784	eok:G2583_4416
ko:K12788	eok:G2583_4419
ko:K12785	eok:G2583_4444
ko:K13743	eok:G2583_3204
ko:K03649	eok:G2583_3792
ko:K02315	eok:G2583_5163
ko:K01840	eok:G2583_2571
ko:K07471	eok:G2583_3744
ko:K02116	eok:G2583_4535
ko:K00557	eok:G2583_4780
ko:K07483	eok:G2583_3643
ko:K13631	eok:G2583_4887
ko:K13634	eok:G2583_1614
ko:K00970	eok:G2583_0147
ko:K06867	eok:G2583_0423
ko:K03782	eok:G2583_4754
ko:K01119	eok:G2583_5043
ko:K13638	eok:G2583_4010
ko:K01130	eok:G2583_4596
ko:K01813	eok:G2583_4708
ko:K02681	eok:G2583_3477
ko:K01792	eok:G2583_2227
ko:K13641	eok:G2583_4835
ko:K00104	eok:G2583_3698
ko:K05714	eok:G2583_0462
ko:K00951	eok:G2583_3436
ko:K13643	eok:G2583_3061
ko:K13694	eok:G2583_2718
ko:K11754	eok:G2583_2852
ko:K13821	eok:G2583_1247
ko:K01051	eok:G2583_0938
ko:K01160	eok:G2583_0683
ko:K01185	eok:G2583_0970
ko:K00652	eok:G2583_1004
ko:K14218	eok:G2583_2928
ko:K14218	eok:G2583_2929
ko:K01176	eok:G2583_4313
ko:K13938	eok:G2583_2000
ko:K03078	eok:G2583_5023
ko:K07354	eok:G2583_0652
ko:K07804	eok:G2583_3633
ko:K01524	eok:G2583_4572
ko:K13953	eok:G2583_1841
ko:K13954	eok:G2583_4325
ko:K14225	eok:G2583_2362
ko:K14225	eok:G2583_4991
ko:K14225	eok:G2583_4992
ko:K14225	eok:G2583_4990
ko:K00632	eok:G2583_2878
ko:K11535	eok:G2583_2926
ko:K01176	eok:G2583_2378
ko:K01545	eok:G2583_0857
ko:K02550	eok:G2583_3693
ko:K00666	eok:G2583_3701
ko:K01467	eok:G2583_4979
ko:K03077	eok:G2583_5025
ko:K02058	eok:G2583_5057
ko:K02056	eok:G2583_5058
ko:K13918	eok:G2583_3440
ko:K02057	eok:G2583_5060
ko:K05874	eok:G2583_5157
ko:K01002	eok:G2583_5161
ko:K04065	eok:G2583_5236
ko:K12787	eok:G2583_4417
ko:K01759	eok:G2583_2046
ko:K12687	eok:G2583_3661
ko:K03292	eok:G2583_4677
ko:K02057	eok:G2583_5059
ko:K09953	eok:G2583_0965
ko:K05835	eok:G2583_4623
ko:K00632	eok:G2583_4643
ko:K03292	eok:G2583_4676
ko:K03079	eok:G2583_5024
ko:K12068	eok:G2583_pO550024
ko:K13695	eok:G2583_2105
ko:K05799	eok:G2583_0117
ko:K02455	eok:G2583_3684
ko:K11477	eok:G2583_3695
ko:K10984	eok:G2583_3862
ko:K04028	eok:G2583_2978
ko:K08326	eok:G2583_2918
ko:K04027	eok:G2583_2979
ko:K06957	eok:G2583_2997
ko:K12136	eok:G2583_3004
ko:K12143	eok:G2583_3011
ko:K12144	eok:G2583_3012
ko:K12145	eok:G2583_3013
ko:K12146	eok:G2583_3014
ko:K03459	eok:G2583_3015
ko:K13639	eok:G2583_4888
ko:K13894	eok:G2583_2721
ko:K13896	eok:G2583_2723
ko:K00073	eok:G2583_0637
ko:K07675	eok:G2583_4459
ko:K02056	eok:G2583_3077
ko:K02058	eok:G2583_3078
ko:K13893	eok:G2583_2720
ko:K07684	eok:G2583_1493
ko:K11085	eok:G2583_1149
ko:K09476	eok:G2583_1164
ko:K09020	eok:G2583_1244
ko:K09017	eok:G2583_1246
ko:K11072	eok:G2583_1384
ko:K13891	eok:G2583_1060
ko:K14229	eok:G2583_0910
ko:K14229	eok:G2583_2938
ko:K14229	eok:G2583_0914
ko:K14229	eok:G2583_0912
ko:K14229	eok:G2583_5266
ko:K14229	eok:G2583_0915
ko:K13620	eok:G2583_2579
ko:K01784	eok:G2583_0925
ko:K02083	eok:G2583_0636
ko:K07356	eok:G2583_0653
ko:K11920	eok:G2583_0720
ko:K11904	eok:G2583_0730
ko:K07274	eok:G2583_2229
ko:K07782	eok:G2583_2367
ko:K02484	eok:G2583_2418
ko:K01011	eok:G2583_3050
ko:K07810	eok:G2583_0734
ko:K12262	eok:G2583_1779
ko:K02477	eok:G2583_2914
ko:K04021	eok:G2583_2977
ko:K14220	eok:G2583_2486
ko:K14220	eok:G2583_2493
ko:K14220	eok:G2583_2496
ko:K14220	eok:G2583_2499
ko:K00965	eok:G2583_0924
ko:K14238	eok:G2583_4395
ko:K14237	eok:G2583_0911
ko:K14237	eok:G2583_2937
ko:K14237	eok:G2583_2936
ko:K14237	eok:G2583_2935
ko:K14237	eok:G2583_0913
ko:K14232	eok:G2583_4282
ko:K14221	eok:G2583_0210
ko:K14221	eok:G2583_4556
ko:K14221	eok:G2583_0220
ko:K01983	eok:G2583_0567
ko:K14219	eok:G2583_0656
ko:K14219	eok:G2583_5270
ko:K14219	eok:G2583_5275
ko:K14228	eok:G2583_5095
ko:K14233	eok:G2583_3343
ko:K14228	eok:G2583_3899
ko:K14228	eok:G2583_0833
ko:K09933	eok:G2583_2485
ko:K01241	eok:G2583_2491
ko:K00768	eok:G2583_2501
ko:K02233	eok:G2583_2502
ko:K02231	eok:G2583_2503
ko:K07001	eok:G2583_2516
ko:K02000	eok:G2583_3325
ko:K02002	eok:G2583_3327
ko:K03543	eok:G2583_3332
ko:K03446	eok:G2583_3333
ko:K07173	eok:G2583_3334
ko:K01919	eok:G2583_3336
ko:K03563	eok:G2583_3344
ko:K01872	eok:G2583_3345
ko:K03565	eok:G2583_3346
ko:K02781	eok:G2583_3352
ko:K02468	eok:G2583_3355
ko:K02467	eok:G2583_3356
ko:K12266	eok:G2583_3357
ko:K12264	eok:G2583_3358
ko:K12265	eok:G2583_3359
ko:K04656	eok:G2583_3360
ko:K05796	eok:G2583_3361
ko:K03487	eok:G2583_3362
ko:K02752	eok:G2583_3363
ko:K02753	eok:G2583_3363
ko:K01223	eok:G2583_3364
ko:K08315	eok:G2583_3365
ko:K04651	eok:G2583_3375
ko:K07107	eok:G2583_4188
ko:K09458	eok:G2583_4195
ko:K06133	eok:G2583_4196
ko:K07722	eok:G2583_4202
ko:K02773	eok:G2583_4204
ko:K01141	eok:G2583_2531
ko:K07112	eok:G2583_2533
ko:K00765	eok:G2583_2540
ko:K00013	eok:G2583_2541
ko:K00817	eok:G2583_2542
ko:K01089	eok:G2583_2543
ko:K02501	eok:G2583_2544
ko:K01814	eok:G2583_2545
ko:K02500	eok:G2583_2546
ko:K11755	eok:G2583_2547
ko:K05789	eok:G2583_2548
ko:K00012	eok:G2583_2549
ko:K12452	eok:G2583_2551
ko:K02377	eok:G2583_2552
ko:K00963	eok:G2583_2564
ko:K04653	eok:G2583_3377
ko:K04654	eok:G2583_3378
ko:K03555	eok:G2583_3383
ko:K07314	eok:G2583_3384
ko:K03186	eok:G2583_3387
ko:K06194	eok:G2583_3390
ko:K00573	eok:G2583_3391
ko:K03787	eok:G2583_3392
ko:K06176	eok:G2583_3393
ko:K01770	eok:G2583_3394
ko:K00991	eok:G2583_3395
ko:K05589	eok:G2583_3396
ko:K00860	eok:G2583_3398
ko:K00957	eok:G2583_3400
ko:K09612	eok:G2583_3401
ko:K00390	eok:G2583_3412
ko:K00381	eok:G2583_3413
ko:K01737	eok:G2583_3415
ko:K00313	eok:G2583_3416
ko:K10026	eok:G2583_3426
ko:K03744	eok:G2583_3427
ko:K02015	eok:G2583_4241
ko:K02013	eok:G2583_4242
ko:K07507	eok:G2583_4243
ko:K00428	eok:G2583_4254
ko:K01194	eok:G2583_4255
ko:K07058	eok:G2583_4258
ko:K07290	eok:G2583_4260
ko:K00874	eok:G2583_4262
ko:K11103	eok:G2583_4264
ko:K00694	eok:G2583_4269
ko:K12372	eok:G2583_4277
ko:K12371	eok:G2583_4278
ko:K12370	eok:G2583_4279
ko:K12369	eok:G2583_4280
ko:K12368	eok:G2583_4281
ko:K12975	eok:G2583_4283
ko:K07347	eok:G2583_4286
ko:K01246	eok:G2583_4291
ko:K03826	eok:G2583_4292
ko:K07347	eok:G2583_5118
ko:K07348	eok:G2583_5119
ko:K07350	eok:G2583_5121
ko:K01686	eok:G2583_5123
ko:K01305	eok:G2583_5130
ko:K07559	eok:G2583_5133
ko:K03427	eok:G2583_5149
ko:K01153	eok:G2583_5150
ko:K02317	eok:G2583_5164
ko:K13255	eok:G2583_5169
ko:K02078	eok:G2583_4183
ko:K12573	eok:G2583_5006
ko:K03218	eok:G2583_5007
ko:K09980	eok:G2583_5008
ko:K08989	eok:G2583_5011
ko:K09456	eok:G2583_5014
ko:K03477	eok:G2583_5018
ko:K02990	eok:G2583_5027
ko:K02686	eok:G2583_5028
ko:K02963	eok:G2583_5029
ko:K02939	eok:G2583_5030
ko:K07269	eok:G2583_5036
ko:K03773	eok:G2583_5037
ko:K11737	eok:G2583_5038
ko:K07322	eok:G2583_5039
ko:K07109	eok:G2583_5046
ko:K07278	eok:G2583_5050
ko:K09800	eok:G2583_5051
ko:K02774	eok:G2583_4205
ko:K01993	eok:G2583_4214
ko:K07007	eok:G2583_4218
ko:K06144	eok:G2583_4220
ko:K03305	eok:G2583_4222
ko:K01414	eok:G2583_4224
ko:K07115	eok:G2583_4225
ko:K03893	eok:G2583_4228
ko:K07285	eok:G2583_4232
ko:K07225	eok:G2583_4234
ko:K02016	eok:G2583_4237
ko:K03841	eok:G2583_5061
ko:K02558	eok:G2583_5062
ko:K09889	eok:G2583_5063
ko:K03592	eok:G2583_5064
ko:K02818	eok:G2583_5069
ko:K02819	eok:G2583_5069
ko:K03485	eok:G2583_5070
ko:K01531	eok:G2583_5072
ko:K00610	eok:G2583_5074
ko:K00609	eok:G2583_5075
ko:K00611	eok:G2583_5084
ko:K09893	eok:G2583_5085
ko:K03828	eok:G2583_5086
ko:K01873	eok:G2583_5088
ko:K02339	eok:G2583_5089
ko:K01255	eok:G2583_5090
ko:K07091	eok:G2583_5091
ko:K11720	eok:G2583_5092
ko:K06915	eok:G2583_5093
ko:K12957	eok:G2583_5094
ko:K07454	eok:G2583_5098
ko:K07357	eok:G2583_5113
ko:K07345	eok:G2583_5115
ko:K07351	eok:G2583_5116
ko:K03827	eok:G2583_0719
ko:K11739	eok:G2583_0722
ko:K11740	eok:G2583_0723
ko:K07644	eok:G2583_0731
ko:K07798	eok:G2583_0735
ko:K07787	eok:G2583_0736
ko:K01695	eok:G2583_1599
ko:K01696	eok:G2583_1600
ko:K13498	eok:G2583_1601
ko:K13497	eok:G2583_1602
ko:K01657	eok:G2583_1603
ko:K07053	eok:G2583_1605
ko:K06178	eok:G2583_1608
ko:K03168	eok:G2583_1613
ko:K04764	eok:G2583_2159
ko:K01890	eok:G2583_2160
ko:K01889	eok:G2583_2161
ko:K02887	eok:G2583_2163
ko:K02916	eok:G2583_2164
ko:K02520	eok:G2583_2165
ko:K01868	eok:G2583_2166
ko:K07038	eok:G2583_2174
ko:K06956	eok:G2583_2175
ko:K03781	eok:G2583_2178
ko:K03490	eok:G2583_2181
ko:K02759	eok:G2583_2182
ko:K02761	eok:G2583_2183
ko:K02760	eok:G2583_2184
ko:K04064	eok:G2583_2185
ko:K05984	eok:G2583_2187
ko:K09975	eok:G2583_2188
ko:K05526	eok:G2583_2190
ko:K01484	eok:G2583_2191
ko:K06447	eok:G2583_2192
ko:K00673	eok:G2583_2193
ko:K00840	eok:G2583_2194
ko:K01142	eok:G2583_2195
ko:K01923	eok:G2583_2999
ko:K07287	eok:G2583_3000
ko:K01682	eok:G2583_0122
ko:K09910	eok:G2583_0123
ko:K01611	eok:G2583_0124
ko:K00797	eok:G2583_0125
ko:K00117	eok:G2583_0128
ko:K00760	eok:G2583_0129
ko:K01673	eok:G2583_0130
ko:K01579	eok:G2583_0135
ko:K01918	eok:G2583_0137
ko:K00606	eok:G2583_0138
ko:K00950	eok:G2583_0146
ko:K01894	eok:G2583_0148
ko:K06204	eok:G2583_0149
ko:K06206	eok:G2583_0150
ko:K01975	eok:G2583_0151
ko:K03579	eok:G2583_0152
ko:K05365	eok:G2583_0153
ko:K02013	eok:G2583_0155
ko:K02016	eok:G2583_0156
ko:K02015	eok:G2583_0157
ko:K01845	eok:G2583_0158
ko:K03281	eok:G2583_0159
ko:K01129	eok:G2583_0164
ko:K02647	eok:G2583_0166
ko:K00990	eok:G2583_0169
ko:K01265	eok:G2583_0170
ko:K02967	eok:G2583_0172
ko:K02357	eok:G2583_0173
ko:K09903	eok:G2583_0174
ko:K06890	eok:G2583_1014
ko:K06890	eok:G2583_1015
ko:K01993	eok:G2583_1023
ko:K11927	eok:G2583_1025
ko:K13574	eok:G2583_1029
ko:K10037	eok:G2583_1038
ko:K10036	eok:G2583_1039
ko:K04047	eok:G2583_1040
ko:K11939	eok:G2583_1041
ko:K11934	eok:G2583_1042
ko:K11924	eok:G2583_1045
ko:K00656	eok:G2583_1051
ko:K04069	eok:G2583_1052
ko:K03750	eok:G2583_1055
ko:K13051	eok:G2583_1056
ko:K00868	eok:G2583_2950
ko:K12339	eok:G2583_2952
ko:K02045	eok:G2583_2953
ko:K02047	eok:G2583_2954
ko:K02046	eok:G2583_2955
ko:K02048	eok:G2583_2956
ko:K07106	eok:G2583_2959
ko:K11191	eok:G2583_2960
ko:K11192	eok:G2583_2960
ko:K07223	eok:G2583_2962
ko:K01448	eok:G2583_2966
ko:K00228	eok:G2583_2967
ko:K04033	eok:G2583_2968
ko:K04025	eok:G2583_2969
ko:K04026	eok:G2583_2970
ko:K03736	eok:G2583_2971
ko:K03735	eok:G2583_2972
ko:K04019	eok:G2583_2973
ko:K04023	eok:G2583_2974
ko:K04022	eok:G2583_2975
ko:K04024	eok:G2583_2976
ko:K04020	eok:G2583_2980
ko:K04032	eok:G2583_2981
ko:K04030	eok:G2583_2982
ko:K04029	eok:G2583_2983
ko:K04031	eok:G2583_2984
ko:K00029	eok:G2583_2985
ko:K00615	eok:G2583_2987
ko:K12945	eok:G2583_2989
ko:K07674	eok:G2583_2991
ko:K06999	eok:G2583_2996
ko:K07862	eok:G2583_3813
ko:K01685	eok:G2583_3815
ko:K01812	eok:G2583_3816
ko:K08191	eok:G2583_3817
ko:K06911	eok:G2583_3830
ko:K01752	eok:G2583_3834
ko:K00656	eok:G2583_3836
ko:K03838	eok:G2583_3838
ko:K01754	eok:G2583_3839
ko:K07592	eok:G2583_3840
ko:K00865	eok:G2583_3846
ko:K12299	eok:G2583_3849
ko:K02746	eok:G2583_3856
ko:K02747	eok:G2583_3857
ko:K02079	eok:G2583_3859
ko:K02082	eok:G2583_3860
ko:K10986	eok:G2583_3864
ko:K07090	eok:G2583_4679
ko:K08318	eok:G2583_4683
ko:K07058	eok:G2583_4687
ko:K07560	eok:G2583_4688
ko:K02380	eok:G2583_4695
ko:K02379	eok:G2583_4699
ko:K11202	eok:G2583_4703
ko:K11203	eok:G2583_4703
ko:K03534	eok:G2583_4706
ko:K00848	eok:G2583_4709
ko:K02854	eok:G2583_4711
ko:K04564	eok:G2583_4713
ko:K02526	eok:G2583_4714
ko:K06006	eok:G2583_4718
ko:K00850	eok:G2583_4720
ko:K02048	eok:G2583_4722
ko:K01521	eok:G2583_4723
ko:K01803	eok:G2583_4724
ko:K00528	eok:G2583_4729
ko:K00864	eok:G2583_4731
ko:K01714	eok:G2583_3001
ko:K03567	eok:G2583_3002
ko:K03564	eok:G2583_3003
ko:K12138	eok:G2583_3006
ko:K12140	eok:G2583_3008
ko:K12141	eok:G2583_3009
ko:K12142	eok:G2583_3010
ko:K10763	eok:G2583_3019
ko:K00761	eok:G2583_3021
ko:K01933	eok:G2583_3022
ko:K11175	eok:G2583_3023
ko:K00937	eok:G2583_3024
ko:K01951	eok:G2583_3031
ko:K03601	eok:G2583_3033
ko:K03977	eok:G2583_3035
ko:K01892	eok:G2583_3038
ko:K06941	eok:G2583_3042
ko:K00940	eok:G2583_3043
ko:K07306	eok:G2583_3047
ko:K05367	eok:G2583_3048
ko:K06894	eok:G2583_3049
ko:K07347	eok:G2583_3868
ko:K07056	eok:G2583_3870
ko:K07121	eok:G2583_3871
ko:K07460	eok:G2583_3872
ko:K07089	eok:G2583_3875
ko:K05520	eok:G2583_3877
ko:K09979	eok:G2583_3878
ko:K07461	eok:G2583_3879
ko:K03824	eok:G2583_3880
ko:K08303	eok:G2583_3882
ko:K03835	eok:G2583_3885
ko:K05592	eok:G2583_3886
ko:K05803	eok:G2583_3887
ko:K00962	eok:G2583_3888
ko:K02956	eok:G2583_3890
ko:K02834	eok:G2583_3892
ko:K02519	eok:G2583_3893
ko:K02600	eok:G2583_3894
ko:K09748	eok:G2583_3895
ko:K01940	eok:G2583_3897
ko:K03075	eok:G2583_3900
ko:K03431	eok:G2583_3901
ko:K00796	eok:G2583_3902
ko:K03798	eok:G2583_3903
ko:K07574	eok:G2583_3905
ko:K03624	eok:G2583_3906
ko:K07259	eok:G2583_3907
ko:K03979	eok:G2583_3908
ko:K02899	eok:G2583_3910
ko:K02888	eok:G2583_3911
ko:K02523	eok:G2583_3912
ko:K00790	eok:G2583_3914
ko:K07122	eok:G2583_3916
ko:K07323	eok:G2583_3917
ko:K02440	eok:G2583_4732
ko:K09892	eok:G2583_4733
ko:K02553	eok:G2583_4736
ko:K02548	eok:G2583_4737
ko:K03667	eok:G2583_4738
ko:K01419	eok:G2583_4739
ko:K03591	eok:G2583_4740
ko:K04066	eok:G2583_4742
ko:K02909	eok:G2583_4743
ko:K03764	eok:G2583_4750
ko:K12525	eok:G2583_4752
ko:K09974	eok:G2583_4756
ko:K00005	eok:G2583_4757
ko:K08483	eok:G2583_4759
ko:K11189	eok:G2583_4759
ko:K11201	eok:G2583_4759
ko:K11203	eok:G2583_4761
ko:K11202	eok:G2583_4762
ko:K00656	eok:G2583_4763
ko:K04069	eok:G2583_4764
ko:K11202	eok:G2583_4765
ko:K01595	eok:G2583_4768
ko:K01438	eok:G2583_4769
ko:K00145	eok:G2583_4770
ko:K00930	eok:G2583_4771
ko:K01755	eok:G2583_4772
ko:K04761	eok:G2583_4774
ko:K00322	eok:G2583_4775
ko:K01776	eok:G2583_4782
ko:K04043	eok:G2583_0014
ko:K03686	eok:G2583_0015
ko:K03313	eok:G2583_0017
ko:K03717	eok:G2583_0018
ko:K02968	eok:G2583_0024
ko:K11753	eok:G2583_0026
ko:K01870	eok:G2583_0027
ko:K03101	eok:G2583_0028
ko:K03774	eok:G2583_0029
ko:K03527	eok:G2583_0030
ko:K12700	eok:G2583_0031
ko:K00215	eok:G2583_0032
ko:K01956	eok:G2583_0033
ko:K01955	eok:G2583_0034
ko:K08277	eok:G2583_0036
ko:K02182	eok:G2583_0039
ko:K08298	eok:G2583_0040
ko:K08297	eok:G2583_0041
ko:K05245	eok:G2583_0042
ko:K03521	eok:G2583_0043
ko:K03522	eok:G2583_0044
ko:K00313	eok:G2583_0045
ko:K08368	eok:G2583_0047
ko:K11746	eok:G2583_0048
ko:K06195	eok:G2583_0054
ko:K02528	eok:G2583_0055
ko:K00097	eok:G2583_0056
ko:K03771	eok:G2583_0057
ko:K04744	eok:G2583_0058
ko:K05801	eok:G2583_0059
ko:K03580	eok:G2583_0062
ko:K02336	eok:G2583_0063
ko:K01804	eok:G2583_0065
ko:K00425	eok:G2583_0899
ko:K00426	eok:G2583_0900
ko:K07107	eok:G2583_0903
ko:K03562	eok:G2583_0904
ko:K03641	eok:G2583_0907
ko:K03640	eok:G2583_0908
ko:K03517	eok:G2583_0916
ko:K03811	eok:G2583_0917
ko:K01626	eok:G2583_0920
ko:K00849	eok:G2583_0923
ko:K05776	eok:G2583_0926
ko:K02019	eok:G2583_0927
ko:K02020	eok:G2583_0929
ko:K02018	eok:G2583_0930
ko:K03319	eok:G2583_0936
ko:K01681	eok:G2583_0937
ko:K07039	eok:G2583_2359
ko:K00995	eok:G2583_2363
ko:K03703	eok:G2583_2364
ko:K07689	eok:G2583_2365
ko:K10010	eok:G2583_2368
ko:K10009	eok:G2583_2369
ko:K02424	eok:G2583_2371
ko:K02425	eok:G2583_2372
ko:K02405	eok:G2583_2373
ko:K02406	eok:G2583_2374
ko:K02407	eok:G2583_2375
ko:K02422	eok:G2583_2376
ko:K07112	eok:G2583_2380
ko:K03829	eok:G2583_2383
ko:K02408	eok:G2583_2388
ko:K02409	eok:G2583_2389
ko:K02410	eok:G2583_2390
ko:K02411	eok:G2583_2391
ko:K02412	eok:G2583_2392
ko:K02413	eok:G2583_2393
