ko:K22220	mavr:LA63_17535
ko:K00800	mavr:LA63_19375
ko:K06949	mavr:LA63_19380
ko:K02548	mavr:LA63_21465
ko:K01749	mavr:LA63_21605
ko:K02492	mavr:LA63_21610
ko:K00574	mavr:LA63_21645
ko:K01784	mavr:LA63_21655
ko:K00286	mavr:LA63_21665
ko:K01524	mavr:LA63_21685
ko:K07776	mavr:LA63_21705
ko:K07768	mavr:LA63_21710
ko:K01834	mavr:LA63_21715
ko:K15521	mavr:LA63_21725
ko:K01992	mavr:LA63_23980
ko:K16146	mavr:LA63_23995
ko:K05343	mavr:LA63_24000
ko:K02355	mavr:LA63_24015
ko:K01577	mavr:LA63_24025
ko:K00128	mavr:LA63_24075
ko:K00605	mavr:LA63_10470
ko:K13787	mavr:LA63_10660
ko:K03925	mavr:LA63_10685
ko:K03438	mavr:LA63_10690
ko:K03587	mavr:LA63_10700
ko:K01928	mavr:LA63_10705
ko:K01929	mavr:LA63_10710
ko:K01000	mavr:LA63_10715
ko:K01925	mavr:LA63_10720
ko:K03588	mavr:LA63_10725
ko:K02563	mavr:LA63_10730
ko:K01924	mavr:LA63_10735
ko:K03589	mavr:LA63_10740
ko:K03531	mavr:LA63_10745
ko:K05810	mavr:LA63_10750
ko:K02275	mavr:LA63_10525
ko:K01915	mavr:LA63_10410
ko:K00826	mavr:LA63_10475
ko:K02233	mavr:LA63_10480
ko:K00768	mavr:LA63_10485
ko:K13668	mavr:LA63_10590
ko:K03644	mavr:LA63_10425
ko:K01897	mavr:LA63_10595
ko:K03801	mavr:LA63_10430
ko:K07071	mavr:LA63_10435
ko:K03891	mavr:LA63_10550
ko:K02231	mavr:LA63_10490
ko:K03890	mavr:LA63_10555
ko:K03889	mavr:LA63_10560
ko:K00865	mavr:LA63_10500
ko:K02276	mavr:LA63_10565
ko:K00766	mavr:LA63_10570
ko:K02342	mavr:LA63_10575
ko:K00655	mavr:LA63_10615
ko:K00856	mavr:LA63_10515
ko:K01255	mavr:LA63_10465
ko:K01953	mavr:LA63_10520
ko:K01421	mavr:LA63_07300
ko:K06446	mavr:LA63_07090
ko:K00059	mavr:LA63_07095
ko:K00626	mavr:LA63_07100
ko:K14470	mavr:LA63_07105
ko:K15866	mavr:LA63_07150
ko:K01714	mavr:LA63_07175
ko:K00666	mavr:LA63_07195
ko:K06994	mavr:LA63_14790
ko:K06994	mavr:LA63_14795
ko:K01990	mavr:LA63_14800
ko:K01992	mavr:LA63_14805
ko:K01992	mavr:LA63_14810
ko:K05303	mavr:LA63_14855
ko:K05303	mavr:LA63_14880
ko:K17947	mavr:LA63_14890
ko:K07588	mavr:LA63_14925
ko:K01847	mavr:LA63_14930
ko:K01847	mavr:LA63_14935
ko:K01772	mavr:LA63_14995
ko:K11611	mavr:LA63_15000
ko:K11610	mavr:LA63_15005
ko:K07114	mavr:LA63_15015
ko:K03924	mavr:LA63_15025
ko:K00338	mavr:LA63_18660
ko:K00339	mavr:LA63_18665
ko:K00340	mavr:LA63_18670
ko:K00341	mavr:LA63_18675
ko:K00342	mavr:LA63_18680
ko:K00343	mavr:LA63_18685
ko:K03924	mavr:LA63_18710
ko:K00274	mavr:LA63_18765
ko:K03412	mavr:LA63_18785
ko:K13924	mavr:LA63_18790
ko:K03412	mavr:LA63_18800
ko:K03781	mavr:LA63_18805
ko:K06997	mavr:LA63_10755
ko:K09772	mavr:LA63_10760
ko:K02221	mavr:LA63_10765
ko:K06910	mavr:LA63_10800
ko:K00254	mavr:LA63_10810
ko:K01082	mavr:LA63_10845
ko:K15526	mavr:LA63_10850
ko:K01652	mavr:LA63_10870
ko:K12433	mavr:LA63_10890
ko:K00794	mavr:LA63_15340
ko:K14652	mavr:LA63_15345
ko:K00793	mavr:LA63_15350
ko:K14954	mavr:LA63_15355
ko:K11752	mavr:LA63_15365
ko:K01783	mavr:LA63_15370
ko:K03500	mavr:LA63_15375
ko:K00604	mavr:LA63_15380
ko:K04066	mavr:LA63_15395
ko:K00789	mavr:LA63_15430
ko:K13038	mavr:LA63_15435
ko:K03060	mavr:LA63_15440
ko:K00942	mavr:LA63_15445
ko:K01591	mavr:LA63_15460
ko:K01955	mavr:LA63_15465
ko:K01956	mavr:LA63_15470
ko:K01465	mavr:LA63_15480
ko:K00609	mavr:LA63_15485
ko:K02825	mavr:LA63_15490
ko:K02049	mavr:LA63_15510
ko:K02050	mavr:LA63_15515
ko:K02051	mavr:LA63_15520
ko:K03710	mavr:LA63_15530
ko:K01584	mavr:LA63_15560
ko:K03625	mavr:LA63_15570
ko:K02356	mavr:LA63_15575
ko:K03786	mavr:LA63_15590
ko:K01735	mavr:LA63_15595
ko:K00891	mavr:LA63_15600
ko:K03885	mavr:LA63_18975
ko:K13993	mavr:LA63_18990
ko:K07044	mavr:LA63_19065
ko:K02067	mavr:LA63_19090
ko:K02067	mavr:LA63_19095
ko:K03799	mavr:LA63_21300
ko:K00805	mavr:LA63_21305
ko:K03183	mavr:LA63_21320
ko:K12583	mavr:LA63_21330
ko:K02551	mavr:LA63_21340
ko:K02549	mavr:LA63_21350
ko:K00666	mavr:LA63_21360
ko:K01661	mavr:LA63_21380
ko:K03306	mavr:LA63_21395
ko:K01911	mavr:LA63_21410
ko:K09931	mavr:LA63_21420
ko:K00038	mavr:LA63_23745
ko:K00325	mavr:LA63_23765
ko:K00324	mavr:LA63_23770
ko:K00324	mavr:LA63_23775
ko:K09958	mavr:LA63_23780
ko:K01104	mavr:LA63_23790
ko:K00128	mavr:LA63_23800
ko:K06911	mavr:LA63_23825
ko:K04047	mavr:LA63_23830
ko:K03437	mavr:LA63_14190
ko:K02887	mavr:LA63_14195
ko:K02916	mavr:LA63_14200
ko:K02520	mavr:LA63_14205
ko:K04567	mavr:LA63_14210
ko:K03701	mavr:LA63_14245
ko:K14340	mavr:LA63_14260
ko:K07507	mavr:LA63_14265
ko:K03702	mavr:LA63_14275
ko:K09146	mavr:LA63_14300
ko:K10563	mavr:LA63_14310
ko:K00859	mavr:LA63_14320
ko:K02945	mavr:LA63_14325
ko:K00464	mavr:LA63_14330
ko:K00425	mavr:LA63_14380
ko:K00426	mavr:LA63_14385
ko:K16013	mavr:LA63_14390
ko:K16012	mavr:LA63_14395
ko:K10805	mavr:LA63_14405
ko:K00873	mavr:LA63_14410
ko:K01695	mavr:LA63_14425
ko:K01696	mavr:LA63_14430
ko:K01609	mavr:LA63_14435
ko:K01657	mavr:LA63_14445
ko:K03564	mavr:LA63_14450
ko:K07300	mavr:LA63_14455
ko:K01496	mavr:LA63_14460
ko:K01835	mavr:LA63_18340
ko:K06199	mavr:LA63_18345
ko:K06199	mavr:LA63_18350
ko:K01644	mavr:LA63_18370
ko:K03664	mavr:LA63_18465
ko:K09811	mavr:LA63_18470
ko:K09812	mavr:LA63_18475
ko:K02836	mavr:LA63_18490
ko:K00528	mavr:LA63_18495
ko:K02878	mavr:LA63_20725
ko:K02982	mavr:LA63_20730
ko:K02890	mavr:LA63_20735
ko:K02965	mavr:LA63_20740
ko:K02886	mavr:LA63_20745
ko:K02892	mavr:LA63_20750
ko:K02926	mavr:LA63_20755
ko:K02906	mavr:LA63_20760
ko:K02946	mavr:LA63_20765
ko:K00101	mavr:LA63_20790
ko:K01092	mavr:LA63_20825
ko:K02358	mavr:LA63_20850
ko:K02355	mavr:LA63_20855
ko:K01652	mavr:LA63_23105
ko:K00135	mavr:LA63_23110
ko:K07048	mavr:LA63_23130
ko:K00128	mavr:LA63_23160
ko:K01692	mavr:LA63_23185
ko:K02867	mavr:LA63_21005
ko:K02601	mavr:LA63_21010
ko:K03073	mavr:LA63_21015
ko:K02913	mavr:LA63_21040
ko:K01692	mavr:LA63_21070
ko:K07001	mavr:LA63_21085
ko:K01725	mavr:LA63_21090
ko:K00574	mavr:LA63_21105
ko:K03583	mavr:LA63_21110
ko:K03582	mavr:LA63_21115
ko:K03581	mavr:LA63_21120
ko:K02067	mavr:LA63_21130
ko:K02067	mavr:LA63_21135
ko:K02067	mavr:LA63_21140
ko:K02067	mavr:LA63_21145
ko:K05349	mavr:LA63_23390
ko:K03088	mavr:LA63_23410
ko:K06911	mavr:LA63_23430
ko:K18481	mavr:LA63_23450
ko:K18481	mavr:LA63_23455
ko:K18481	mavr:LA63_23460
ko:K18481	mavr:LA63_23465
ko:K02067	mavr:LA63_23470
ko:K02067	mavr:LA63_23475
ko:K02067	mavr:LA63_23480
ko:K02067	mavr:LA63_23485
ko:K02067	mavr:LA63_23490
ko:K02067	mavr:LA63_23495
ko:K02066	mavr:LA63_23500
ko:K02066	mavr:LA63_23505
ko:K00666	mavr:LA63_23510
ko:K16051	mavr:LA63_13690
ko:K15982	mavr:LA63_13760
ko:K01953	mavr:LA63_13850
ko:K03977	mavr:LA63_13885
ko:K00945	mavr:LA63_13890
ko:K06178	mavr:LA63_13895
ko:K06024	mavr:LA63_13900
ko:K05896	mavr:LA63_13905
ko:K03647	mavr:LA63_18075
ko:K02346	mavr:LA63_18095
ko:K06200	mavr:LA63_18165
ko:K02518	mavr:LA63_20420
ko:K01790	mavr:LA63_20440
ko:K00140	mavr:LA63_20490
ko:K00817	mavr:LA63_20510
ko:K00648	mavr:LA63_20515
ko:K01652	mavr:LA63_20525
ko:K02003	mavr:LA63_20530
ko:K02004	mavr:LA63_20535
ko:K16839	mavr:LA63_20550
ko:K03088	mavr:LA63_20560
ko:K01265	mavr:LA63_20565
ko:K00939	mavr:LA63_20570
ko:K02902	mavr:LA63_22810
ko:K02913	mavr:LA63_22815
ko:K07089	mavr:LA63_22825
ko:K00666	mavr:LA63_22895
ko:K02575	mavr:LA63_22905
ko:K02016	mavr:LA63_22915
ko:K02575	mavr:LA63_22930
ko:K01719	mavr:LA63_22935
ko:K01692	mavr:LA63_02815
ko:K00626	mavr:LA63_02840
ko:K15981	mavr:LA63_02845
ko:K02554	mavr:LA63_02890
ko:K04073	mavr:LA63_02895
ko:K01666	mavr:LA63_02900
ko:K15982	mavr:LA63_02930
ko:K00626	mavr:LA63_02945
ko:K07068	mavr:LA63_02955
ko:K16046	mavr:LA63_02970
ko:K01692	mavr:LA63_02980
ko:K07045	mavr:LA63_02995
ko:K01652	mavr:LA63_03000
ko:K00666	mavr:LA63_03015
ko:K05337	mavr:LA63_03030
ko:K00059	mavr:LA63_03035
ko:K02066	mavr:LA63_03040
ko:K02066	mavr:LA63_03045
ko:K02067	mavr:LA63_03050
ko:K02067	mavr:LA63_03055
ko:K02067	mavr:LA63_03060
ko:K02067	mavr:LA63_03065
ko:K02067	mavr:LA63_03070
ko:K02067	mavr:LA63_03075
ko:K18481	mavr:LA63_03080
ko:K18481	mavr:LA63_03085
ko:K06986	mavr:LA63_03425
ko:K07077	mavr:LA63_03430
ko:K01952	mavr:LA63_03445
ko:K01952	mavr:LA63_03450
ko:K03710	mavr:LA63_03460
ko:K07223	mavr:LA63_03475
ko:K01952	mavr:LA63_03490
ko:K07052	mavr:LA63_03495
ko:K00764	mavr:LA63_03505
ko:K01933	mavr:LA63_03510
ko:K06980	mavr:LA63_03520
ko:K02619	mavr:LA63_03525
ko:K01011	mavr:LA63_03550
ko:K15520	mavr:LA63_03575
ko:K02037	mavr:LA63_03585
ko:K02038	mavr:LA63_03590
ko:K02036	mavr:LA63_03595
ko:K02039	mavr:LA63_03600
ko:K03921	mavr:LA63_03615
ko:K03704	mavr:LA63_03705
ko:K08641	mavr:LA63_03710
ko:K05337	mavr:LA63_04020
ko:K01607	mavr:LA63_04100
ko:K18481	mavr:LA63_04125
ko:K18481	mavr:LA63_04130
ko:K02066	mavr:LA63_04165
ko:K02066	mavr:LA63_04170
ko:K02067	mavr:LA63_04180
ko:K02067	mavr:LA63_04185
ko:K18481	mavr:LA63_04210
ko:K18481	mavr:LA63_04215
ko:K02164	mavr:LA63_04240
ko:K02192	mavr:LA63_04290
ko:K01796	mavr:LA63_04305
ko:K14267	mavr:LA63_04320
ko:K00626	mavr:LA63_04325
ko:K01782	mavr:LA63_04330
ko:K10843	mavr:LA63_04375
ko:K03637	mavr:LA63_04390
ko:K03635	mavr:LA63_04400
ko:K03639	mavr:LA63_04415
ko:K03704	mavr:LA63_04425
ko:K07393	mavr:LA63_04435
ko:K00831	mavr:LA63_04490
ko:K00528	mavr:LA63_04500
ko:K04750	mavr:LA63_04505
ko:K01647	mavr:LA63_04510
ko:K00275	mavr:LA63_04515
ko:K01647	mavr:LA63_04520
ko:K07655	mavr:LA63_04535
ko:K07671	mavr:LA63_04540
ko:K01962	mavr:LA63_04565
ko:K01963	mavr:LA63_04565
ko:K01692	mavr:LA63_04570
ko:K16168	mavr:LA63_05800
ko:K16167	mavr:LA63_05805
ko:K07052	mavr:LA63_05815
ko:K01692	mavr:LA63_05820
ko:K01796	mavr:LA63_05825
ko:K06994	mavr:LA63_05840
ko:K12410	mavr:LA63_05850
ko:K13669	mavr:LA63_05895
ko:K01724	mavr:LA63_05900
ko:K03574	mavr:LA63_05910
ko:K00370	mavr:LA63_05915
ko:K00371	mavr:LA63_05920
ko:K00373	mavr:LA63_05925
ko:K00374	mavr:LA63_05930
ko:K06207	mavr:LA63_05935
ko:K15525	mavr:LA63_05950
ko:K11779	mavr:LA63_05960
ko:K12432	mavr:LA63_05990
ko:K00860	mavr:LA63_06015
ko:K00958	mavr:LA63_06020
ko:K12423	mavr:LA63_06030
ko:K00294	mavr:LA63_06045
ko:K00318	mavr:LA63_06050
ko:K12429	mavr:LA63_06110
ko:K00674	mavr:LA63_06120
ko:K01439	mavr:LA63_06135
ko:K06966	mavr:LA63_06145
ko:K00666	mavr:LA63_06150
ko:K00796	mavr:LA63_06155
ko:K13693	mavr:LA63_06160
ko:K01246	mavr:LA63_06170
ko:K16148	mavr:LA63_06175
ko:K00975	mavr:LA63_06180
ko:K06978	mavr:LA63_06185
ko:K01992	mavr:LA63_06195
ko:K01990	mavr:LA63_06200
ko:K03088	mavr:LA63_06215
ko:K03117	mavr:LA63_06230
ko:K03593	mavr:LA63_06235
ko:K02027	mavr:LA63_06265
ko:K02025	mavr:LA63_06270
ko:K02026	mavr:LA63_06275
ko:K10112	mavr:LA63_06280
ko:K03284	mavr:LA63_06290
ko:K00024	mavr:LA63_06295
ko:K00027	mavr:LA63_06300
ko:K01616	mavr:LA63_06320
ko:K05592	mavr:LA63_06405
ko:K00104	mavr:LA63_06425
ko:K01426	mavr:LA63_06460
ko:K06147	mavr:LA63_06495
ko:K06147	mavr:LA63_06500
ko:K08296	mavr:LA63_06515
ko:K02035	mavr:LA63_06540
ko:K02031	mavr:LA63_06545
ko:K02032	mavr:LA63_06545
ko:K02034	mavr:LA63_06550
ko:K02033	mavr:LA63_06555
ko:K01673	mavr:LA63_06560
ko:K00957	mavr:LA63_06570
ko:K00955	mavr:LA63_06575
ko:K07491	mavr:LA63_06725
ko:K01887	mavr:LA63_06780
ko:K01586	mavr:LA63_06785
ko:K00003	mavr:LA63_06790
ko:K01733	mavr:LA63_06795
ko:K00872	mavr:LA63_06800
ko:K03628	mavr:LA63_06805
ko:K02909	mavr:LA63_06810
ko:K02835	mavr:LA63_06815
ko:K02493	mavr:LA63_06820
ko:K02851	mavr:LA63_06830
ko:K02108	mavr:LA63_06840
ko:K02110	mavr:LA63_06845
ko:K02109	mavr:LA63_06850
ko:K02111	mavr:LA63_06860
ko:K02115	mavr:LA63_06865
ko:K02112	mavr:LA63_06870
ko:K02114	mavr:LA63_06875
ko:K00790	mavr:LA63_06890
ko:K00567	mavr:LA63_06915
ko:K13529	mavr:LA63_06920
ko:K07503	mavr:LA63_06945
ko:K05606	mavr:LA63_06955
ko:K00626	mavr:LA63_06960
ko:K00700	mavr:LA63_06970
ko:K05838	mavr:LA63_06965
ko:K16147	mavr:LA63_06975
ko:K00688	mavr:LA63_06980
ko:K00763	mavr:LA63_06990
ko:K06891	mavr:LA63_06995
ko:K01776	mavr:LA63_07015
ko:K00989	mavr:LA63_07025
ko:K02428	mavr:LA63_07030
ko:K14698	mavr:LA63_07065
ko:K14699	mavr:LA63_07070
