ko:K03741	fpc:FPSM_01215
ko:K00748	fpc:FPSM_02456
ko:K03787	fpc:FPSM_02458
ko:K03797	fpc:FPSM_02459
ko:K02238	fpc:FPSM_02460
ko:K03305	fpc:FPSM_02463
ko:K03305	fpc:FPSM_02464
ko:K01278	fpc:FPSM_02465
ko:K00054	fpc:FPSM_02467
ko:K03797	fpc:FPSM_02473
ko:K01759	fpc:FPSM_02474
ko:K03814	fpc:FPSM_02475
ko:K01262	fpc:FPSM_00169
ko:K00639	fpc:FPSM_00174
ko:K04564	fpc:FPSM_00176
ko:K01866	fpc:FPSM_00177
ko:K01465	fpc:FPSM_00180
ko:K00721	fpc:FPSM_00181
ko:K01719	fpc:FPSM_00204
ko:K13766	fpc:FPSM_00205
ko:K15034	fpc:FPSM_00206
ko:K03811	fpc:FPSM_00208
ko:K07094	fpc:FPSM_00210
ko:K01251	fpc:FPSM_00212
ko:K03723	fpc:FPSM_00215
ko:K03642	fpc:FPSM_00218
ko:K00764	fpc:FPSM_00220
ko:K07017	fpc:FPSM_01049
ko:K02428	fpc:FPSM_01050
ko:K01462	fpc:FPSM_01052
ko:K00116	fpc:FPSM_01053
ko:K07447	fpc:FPSM_01054
ko:K09164	fpc:FPSM_01058
ko:K03424	fpc:FPSM_01059
ko:K00826	fpc:FPSM_01064
ko:K04761	fpc:FPSM_01067
ko:K00382	fpc:FPSM_01070
ko:K03719	fpc:FPSM_01071
ko:K01761	fpc:FPSM_01072
ko:K03782	fpc:FPSM_01075
ko:K03386	fpc:FPSM_01076
ko:K07516	fpc:FPSM_01082
ko:K00681	fpc:FPSM_01084
ko:K01897	fpc:FPSM_01085
ko:K07305	fpc:FPSM_01086
ko:K07305	fpc:FPSM_01087
ko:K06902	fpc:FPSM_01091
ko:K01338	fpc:FPSM_01092
ko:K00945	fpc:FPSM_01094
ko:K11537	fpc:FPSM_01095
ko:K00809	fpc:FPSM_01097
ko:K01585	fpc:FPSM_01098
ko:K00684	fpc:FPSM_02480
ko:K01246	fpc:FPSM_02482
ko:K03177	fpc:FPSM_02485
ko:K06153	fpc:FPSM_02486
ko:K02338	fpc:FPSM_02005
ko:K11927	fpc:FPSM_02006
ko:K01465	fpc:FPSM_02008
ko:K06999	fpc:FPSM_02010
ko:K06167	fpc:FPSM_02012
ko:K03564	fpc:FPSM_02014
ko:K10773	fpc:FPSM_02015
ko:K03088	fpc:FPSM_02021
ko:K03701	fpc:FPSM_02022
ko:K01424	fpc:FPSM_02024
ko:K13282	fpc:FPSM_02025
ko:K03802	fpc:FPSM_02026
ko:K01278	fpc:FPSM_02027
ko:K00876	fpc:FPSM_02032
ko:K01847	fpc:FPSM_02034
ko:K01847	fpc:FPSM_02036
ko:K03100	fpc:FPSM_02039
ko:K00215	fpc:FPSM_02040
ko:K02909	fpc:FPSM_02047
ko:K11085	fpc:FPSM_02051
ko:K09888	fpc:FPSM_02057
ko:K09811	fpc:FPSM_02488
ko:K01869	fpc:FPSM_02492
ko:K06973	fpc:FPSM_02493
ko:K03624	fpc:FPSM_02495
ko:K02503	fpc:FPSM_02496
ko:K01372	fpc:FPSM_02498
ko:K02014	fpc:FPSM_02499
ko:K03269	fpc:FPSM_02500
ko:K03718	fpc:FPSM_02501
ko:K01610	fpc:FPSM_02504
ko:K03536	fpc:FPSM_02505
ko:K01961	fpc:FPSM_02506
ko:K02160	fpc:FPSM_02507
ko:K00648	fpc:FPSM_02508
ko:K02911	fpc:FPSM_02509
ko:K00097	fpc:FPSM_02511
ko:K00793	fpc:FPSM_02512
ko:K02426	fpc:FPSM_02517
ko:K11717	fpc:FPSM_02519
ko:K09015	fpc:FPSM_02521
ko:K09013	fpc:FPSM_02522
ko:K09014	fpc:FPSM_02523
ko:K13628	fpc:FPSM_02524
ko:K04755	fpc:FPSM_02529
ko:K02342	fpc:FPSM_01343
ko:K07182	fpc:FPSM_01344
ko:K03574	fpc:FPSM_01351
ko:K01669	fpc:FPSM_01413
ko:K16053	fpc:FPSM_01349
ko:K06158	fpc:FPSM_01777
ko:K02500	fpc:FPSM_01354
ko:K11755	fpc:FPSM_01353
ko:K01814	fpc:FPSM_01355
ko:K02501	fpc:FPSM_01356
ko:K00024	fpc:FPSM_01809
ko:K02470	fpc:FPSM_01810
ko:K01953	fpc:FPSM_01811
ko:K00133	fpc:FPSM_01813
ko:K02014	fpc:FPSM_01815
ko:K15633	fpc:FPSM_00651
ko:K05995	fpc:FPSM_00655
ko:K03294	fpc:FPSM_00659
ko:K03551	fpc:FPSM_00660
ko:K00029	fpc:FPSM_00662
ko:K03572	fpc:FPSM_02059
ko:K17686	fpc:FPSM_02065
ko:K03921	fpc:FPSM_02067
ko:K15862	fpc:FPSM_02068
ko:K00406	fpc:FPSM_02070
ko:K09794	fpc:FPSM_02074
ko:K01681	fpc:FPSM_02076
ko:K16216	fpc:FPSM_02077
ko:K03924	fpc:FPSM_02078
ko:K03771	fpc:FPSM_02080
ko:K03771	fpc:FPSM_02081
ko:K02837	fpc:FPSM_02085
ko:K03046	fpc:FPSM_02088
ko:K03043	fpc:FPSM_02089
ko:K02935	fpc:FPSM_02090
ko:K02864	fpc:FPSM_02091
ko:K02863	fpc:FPSM_02092
ko:K02867	fpc:FPSM_02093
ko:K02601	fpc:FPSM_02094
ko:K03073	fpc:FPSM_02095
ko:K02358	fpc:FPSM_02096
ko:K05808	fpc:FPSM_02097
ko:K03733	fpc:FPSM_02098
ko:K02970	fpc:FPSM_02099
ko:K02342	fpc:FPSM_02105
ko:K01697	fpc:FPSM_02106
ko:K03585	fpc:FPSM_01331
ko:K01658	fpc:FPSM_01826
ko:K01657	fpc:FPSM_01825
ko:K09812	fpc:FPSM_01819
ko:K00766	fpc:FPSM_01827
ko:K03469	fpc:FPSM_00222
ko:K11175	fpc:FPSM_00223
ko:K02078	fpc:FPSM_00225
ko:K09458	fpc:FPSM_00227
ko:K03685	fpc:FPSM_00228
ko:K00873	fpc:FPSM_00230
ko:K01159	fpc:FPSM_00235
ko:K09793	fpc:FPSM_00239
ko:K01870	fpc:FPSM_00243
ko:K03101	fpc:FPSM_00245
ko:K01934	fpc:FPSM_00246
ko:K06987	fpc:FPSM_00247
ko:K03703	fpc:FPSM_00248
ko:K07001	fpc:FPSM_00249
ko:K03294	fpc:FPSM_00250
ko:K00451	fpc:FPSM_00251
ko:K00457	fpc:FPSM_00252
ko:K00453	fpc:FPSM_00254
ko:K01056	fpc:FPSM_00256
ko:K11753	fpc:FPSM_00259
ko:K01012	fpc:FPSM_00260
ko:K05606	fpc:FPSM_00262
ko:K02834	fpc:FPSM_00263
ko:K09808	fpc:FPSM_00264
ko:K07568	fpc:FPSM_00265
ko:K00800	fpc:FPSM_00266
ko:K07461	fpc:FPSM_00268
ko:K07560	fpc:FPSM_00274
ko:K06949	fpc:FPSM_00275
ko:K01735	fpc:FPSM_01099
ko:K00318	fpc:FPSM_01100
ko:K00784	fpc:FPSM_01101
ko:K00275	fpc:FPSM_01102
ko:K03744	fpc:FPSM_01104
ko:K11927	fpc:FPSM_01105
ko:K01479	fpc:FPSM_01106
ko:K01873	fpc:FPSM_01108
ko:K00812	fpc:FPSM_01111
ko:K01546	fpc:FPSM_01116
ko:K01547	fpc:FPSM_01117
ko:K01548	fpc:FPSM_01118
ko:K07646	fpc:FPSM_01120
ko:K07112	fpc:FPSM_01124
ko:K07112	fpc:FPSM_01125
ko:K06891	fpc:FPSM_01129
ko:K02687	fpc:FPSM_01130
ko:K03823	fpc:FPSM_01131
ko:K02551	fpc:FPSM_01132
ko:K00384	fpc:FPSM_01138
ko:K03593	fpc:FPSM_01140
ko:K08301	fpc:FPSM_01141
ko:K03530	fpc:FPSM_01142
ko:K03575	fpc:FPSM_01143
ko:K13789	fpc:FPSM_02534
ko:K00164	fpc:FPSM_02537
ko:K00658	fpc:FPSM_02538
ko:K03665	fpc:FPSM_02543
ko:K02004	fpc:FPSM_02544
ko:K00602	fpc:FPSM_02545
ko:K03569	fpc:FPSM_02546
ko:K03570	fpc:FPSM_02547
ko:K05515	fpc:FPSM_02549
ko:K05837	fpc:FPSM_02550
ko:K01173	fpc:FPSM_02552
ko:K01880	fpc:FPSM_02559
ko:K03770	fpc:FPSM_02560
ko:K03525	fpc:FPSM_02564
ko:K04096	fpc:FPSM_02567
ko:K00973	fpc:FPSM_02583
ko:K03550	fpc:FPSM_00663
ko:K02437	fpc:FPSM_00667
ko:K01619	fpc:FPSM_00669
ko:K02005	fpc:FPSM_00671
ko:K12340	fpc:FPSM_00672
ko:K08976	fpc:FPSM_00676
ko:K07152	fpc:FPSM_00677
ko:K02276	fpc:FPSM_00680
ko:K02276	fpc:FPSM_00681
ko:K06888	fpc:FPSM_00685
ko:K01776	fpc:FPSM_00690
ko:K06142	fpc:FPSM_00691
ko:K07277	fpc:FPSM_00693
ko:K00806	fpc:FPSM_00694
ko:K00858	fpc:FPSM_00696
ko:K03474	fpc:FPSM_00698
ko:K01990	fpc:FPSM_00699
ko:K08972	fpc:FPSM_00702
ko:K03545	fpc:FPSM_00703
ko:K01358	fpc:FPSM_00705
ko:K03544	fpc:FPSM_00706
ko:K03116	fpc:FPSM_00707
ko:K06941	fpc:FPSM_00710
ko:K02523	fpc:FPSM_00712
ko:K03088	fpc:FPSM_00713
ko:K03470	fpc:FPSM_02110
ko:K03801	fpc:FPSM_02111
ko:K04567	fpc:FPSM_02112
ko:K01609	fpc:FPSM_01828
ko:K02836	fpc:FPSM_01500
ko:K01697	fpc:FPSM_01502
ko:K14286	fpc:FPSM_01510
ko:K04043	fpc:FPSM_01511
ko:K00626	fpc:FPSM_01545
ko:K07462	fpc:FPSM_01497
ko:K13653	fpc:FPSM_01537
ko:K09747	fpc:FPSM_01498
ko:K01620	fpc:FPSM_01499
ko:K03701	fpc:FPSM_01528
ko:K01745	fpc:FPSM_01539
ko:K00605	fpc:FPSM_01542
ko:K06966	fpc:FPSM_01531
ko:K09807	fpc:FPSM_01514
ko:K01840	fpc:FPSM_01523
ko:K03718	fpc:FPSM_01533
ko:K09792	fpc:FPSM_02073
ko:K01354	fpc:FPSM_01503
ko:K02014	fpc:FPSM_01526
ko:K02517	fpc:FPSM_01517
ko:K03657	fpc:FPSM_01505
ko:K01736	fpc:FPSM_01552
ko:K02067	fpc:FPSM_01564
ko:K01448	fpc:FPSM_01565
ko:K09022	fpc:FPSM_01567
ko:K02469	fpc:FPSM_01569
ko:K03696	fpc:FPSM_01570
ko:K05844	fpc:FPSM_01571
ko:K07054	fpc:FPSM_01573
ko:K06169	fpc:FPSM_01576
ko:K00819	fpc:FPSM_01579
ko:K03215	fpc:FPSM_01584
ko:K07444	fpc:FPSM_01589
ko:K07106	fpc:FPSM_01594
ko:K09861	fpc:FPSM_01602
ko:K03628	fpc:FPSM_01603
ko:K04487	fpc:FPSM_01613
ko:K07504	fpc:FPSM_01608
ko:K00382	fpc:FPSM_01615
ko:K03500	fpc:FPSM_01624
ko:K07095	fpc:FPSM_01612
ko:K01845	fpc:FPSM_02114
ko:K07107	fpc:FPSM_02117
ko:K02313	fpc:FPSM_02118
ko:K01104	fpc:FPSM_02119
ko:K07056	fpc:FPSM_02120
ko:K07082	fpc:FPSM_02123
ko:K00657	fpc:FPSM_02124
ko:K01778	fpc:FPSM_02125
ko:K00134	fpc:FPSM_02127
ko:K07164	fpc:FPSM_02130
ko:K06182	fpc:FPSM_02132
ko:K10716	fpc:FPSM_02133
ko:K03442	fpc:FPSM_02138
ko:K07137	fpc:FPSM_02139
ko:K03654	fpc:FPSM_02143
ko:K06041	fpc:FPSM_02145
ko:K03118	fpc:FPSM_02146
ko:K06861	fpc:FPSM_02148
ko:K07273	fpc:FPSM_02149
ko:K17103	fpc:FPSM_02150
ko:K00640	fpc:FPSM_02159
ko:K01695	fpc:FPSM_01832
ko:K04516	fpc:FPSM_00276
ko:K04518	fpc:FPSM_00278
ko:K01990	fpc:FPSM_00279
ko:K12524	fpc:FPSM_00282
ko:K00641	fpc:FPSM_00283
ko:K01740	fpc:FPSM_00284
ko:K03671	fpc:FPSM_00287
ko:K00789	fpc:FPSM_00299
ko:K03584	fpc:FPSM_00300
ko:K00262	fpc:FPSM_00302
ko:K01876	fpc:FPSM_00306
ko:K03704	fpc:FPSM_00307
ko:K01662	fpc:FPSM_00310
ko:K01129	fpc:FPSM_00316
ko:K07098	fpc:FPSM_00327
ko:K03671	fpc:FPSM_00328
ko:K02259	fpc:FPSM_01164
ko:K07566	fpc:FPSM_01166
ko:K01711	fpc:FPSM_01169
ko:K00674	fpc:FPSM_01182
ko:K04084	fpc:FPSM_01184
ko:K04075	fpc:FPSM_01185
ko:K01665	fpc:FPSM_01186
ko:K08641	fpc:FPSM_01189
ko:K09761	fpc:FPSM_01195
ko:K01409	fpc:FPSM_01196
ko:K00850	fpc:FPSM_01198
ko:K00134	fpc:FPSM_01199
ko:K07391	fpc:FPSM_01202
ko:K05786	fpc:FPSM_01203
ko:K02429	fpc:FPSM_01204
ko:K02014	fpc:FPSM_02591
ko:K02115	fpc:FPSM_02592
ko:K02111	fpc:FPSM_02593
ko:K02113	fpc:FPSM_02594
ko:K02109	fpc:FPSM_02595
ko:K02110	fpc:FPSM_02597
ko:K02108	fpc:FPSM_02598
ko:K02613	fpc:FPSM_02604
ko:K00761	fpc:FPSM_02607
ko:K01945	fpc:FPSM_02609
ko:K03606	fpc:FPSM_02612
ko:K00067	fpc:FPSM_02614
ko:K01790	fpc:FPSM_02615
ko:K03116	fpc:FPSM_02620
ko:K06959	fpc:FPSM_02621
ko:K16264	fpc:FPSM_02622
ko:K01808	fpc:FPSM_02624
ko:K12573	fpc:FPSM_02625
ko:K01633	fpc:FPSM_02628
ko:K01886	fpc:FPSM_02629
ko:K01885	fpc:FPSM_02634
ko:K01916	fpc:FPSM_00720
ko:K03978	fpc:FPSM_00723
ko:K03925	fpc:FPSM_00725
ko:K03438	fpc:FPSM_00726
ko:K03587	fpc:FPSM_00728
ko:K01928	fpc:FPSM_00729
ko:K01000	fpc:FPSM_00730
ko:K01925	fpc:FPSM_00731
ko:K03588	fpc:FPSM_00732
ko:K02563	fpc:FPSM_00733
ko:K01924	fpc:FPSM_00734
ko:K03589	fpc:FPSM_00735
ko:K03590	fpc:FPSM_00736
ko:K03531	fpc:FPSM_00737
ko:K09117	fpc:FPSM_00739
ko:K09933	fpc:FPSM_00741
ko:K01783	fpc:FPSM_00740
ko:K03086	fpc:FPSM_00742
ko:K00962	fpc:FPSM_00744
ko:K02956	fpc:FPSM_00746
ko:K01669	fpc:FPSM_00748
ko:K06876	fpc:FPSM_00749
ko:K01669	fpc:FPSM_00751
ko:K01673	fpc:FPSM_00763
ko:K03975	fpc:FPSM_00764
ko:K11752	fpc:FPSM_00767
ko:K03828	fpc:FPSM_00768
ko:K02493	fpc:FPSM_00769
ko:K02004	fpc:FPSM_00770
ko:K00640	fpc:FPSM_02164
ko:K08068	fpc:FPSM_02166
ko:K02805	fpc:FPSM_02177
ko:K01991	fpc:FPSM_02187
ko:K00648	fpc:FPSM_02192
ko:K00648	fpc:FPSM_02194
ko:K01696	fpc:FPSM_01830
ko:K03543	fpc:FPSM_01836
ko:K03446	fpc:FPSM_01837
ko:K01627	fpc:FPSM_01838
ko:K03270	fpc:FPSM_01891
ko:K03179	fpc:FPSM_01892
ko:K06287	fpc:FPSM_01893
ko:K06173	fpc:FPSM_01894
ko:K00796	fpc:FPSM_01896
ko:K01803	fpc:FPSM_01900
ko:K03110	fpc:FPSM_01901
ko:K02913	fpc:FPSM_01903
ko:K00432	fpc:FPSM_01888
ko:K06207	fpc:FPSM_01867
ko:K01881	fpc:FPSM_01869
ko:K14441	fpc:FPSM_01872
ko:K07636	fpc:FPSM_01874
ko:K02548	fpc:FPSM_01864
ko:K02902	fpc:FPSM_01904
ko:K01661	fpc:FPSM_01865
ko:K00243	fpc:FPSM_01866
ko:K02968	fpc:FPSM_01868
ko:K00940	fpc:FPSM_01878
ko:K01817	fpc:FPSM_01829
ko:K01791	fpc:FPSM_02197
ko:K17716	fpc:FPSM_02200
ko:K00973	fpc:FPSM_02205
ko:K00012	fpc:FPSM_02207
ko:K02474	fpc:FPSM_02208
ko:K02473	fpc:FPSM_02209
ko:K01993	fpc:FPSM_00331
ko:K03841	fpc:FPSM_00334
ko:K07387	fpc:FPSM_00335
ko:K00928	fpc:FPSM_00337
ko:K01126	fpc:FPSM_00344
ko:K07007	fpc:FPSM_00345
ko:K01597	fpc:FPSM_00347
ko:K00869	fpc:FPSM_00349
ko:K03179	fpc:FPSM_00350
ko:K06178	fpc:FPSM_00351
ko:K01963	fpc:FPSM_00358
ko:K01624	fpc:FPSM_00359
ko:K03437	fpc:FPSM_00361
ko:K03183	fpc:FPSM_00363
ko:K08999	fpc:FPSM_00370
ko:K03522	fpc:FPSM_00371
ko:K03521	fpc:FPSM_00372
ko:K00162	fpc:FPSM_00373
ko:K01507	fpc:FPSM_00375
ko:K02337	fpc:FPSM_00378
ko:K02959	fpc:FPSM_00381
ko:K02860	fpc:FPSM_00382
ko:K15460	fpc:FPSM_00383
ko:K00252	fpc:FPSM_00384
ko:K01679	fpc:FPSM_01207
ko:K00537	fpc:FPSM_01211
ko:K07052	fpc:FPSM_01212
ko:K01911	fpc:FPSM_01213
ko:K02536	fpc:FPSM_01214
ko:K11065	fpc:FPSM_01219
ko:K00901	fpc:FPSM_01220
ko:K03466	fpc:FPSM_01221
ko:K07091	fpc:FPSM_01223
ko:K14652	fpc:FPSM_01224
ko:K00626	fpc:FPSM_01228
ko:K00077	fpc:FPSM_01232
ko:K00606	fpc:FPSM_01234
ko:K07107	fpc:FPSM_01235
ko:K03657	fpc:FPSM_01253
ko:K03655	fpc:FPSM_01260
ko:K01892	fpc:FPSM_00772
ko:K04763	fpc:FPSM_00773
ko:K03786	fpc:FPSM_00775
ko:K00790	fpc:FPSM_00779
ko:K09158	fpc:FPSM_00781
ko:K03654	fpc:FPSM_00783
ko:K00604	fpc:FPSM_00784
ko:K03530	fpc:FPSM_00785
ko:K07735	fpc:FPSM_00786
ko:K00826	fpc:FPSM_00787
ko:K00794	fpc:FPSM_00789
ko:K03629	fpc:FPSM_00791
ko:K01953	fpc:FPSM_00795
ko:K00075	fpc:FPSM_00796
ko:K02013	fpc:FPSM_00797
ko:K03216	fpc:FPSM_00798
ko:K06181	fpc:FPSM_00799
ko:K09760	fpc:FPSM_00800
ko:K08715	fpc:FPSM_00803
ko:K01955	fpc:FPSM_00804
ko:K04077	fpc:FPSM_00807
ko:K04078	fpc:FPSM_00810
ko:K03075	fpc:FPSM_00811
ko:K06168	fpc:FPSM_00816
ko:K03168	fpc:FPSM_00821
ko:K01991	fpc:FPSM_02211
ko:K06187	fpc:FPSM_02212
ko:K06929	fpc:FPSM_02214
ko:K01647	fpc:FPSM_02219
ko:K01689	fpc:FPSM_02220
ko:K01956	fpc:FPSM_02222
ko:K02879	fpc:FPSM_02223
ko:K03040	fpc:FPSM_02224
ko:K02986	fpc:FPSM_02225
ko:K02948	fpc:FPSM_02226
ko:K02952	fpc:FPSM_02227
ko:K02919	fpc:FPSM_02228
ko:K02518	fpc:FPSM_02229
ko:K03076	fpc:FPSM_02230
ko:K02876	fpc:FPSM_02231
ko:K02876	fpc:FPSM_02232
ko:K02907	fpc:FPSM_02233
ko:K02988	fpc:FPSM_02234
ko:K02881	fpc:FPSM_02235
ko:K02933	fpc:FPSM_02236
ko:K02994	fpc:FPSM_02237
ko:K02954	fpc:FPSM_02238
ko:K02931	fpc:FPSM_02239
ko:K02895	fpc:FPSM_02240
ko:K02874	fpc:FPSM_02241
ko:K02961	fpc:FPSM_02242
ko:K02904	fpc:FPSM_02243
ko:K02878	fpc:FPSM_02244
ko:K02982	fpc:FPSM_02245
ko:K02890	fpc:FPSM_02246
ko:K02965	fpc:FPSM_02247
ko:K02886	fpc:FPSM_02248
ko:K02892	fpc:FPSM_02249
ko:K02926	fpc:FPSM_02250
ko:K02906	fpc:FPSM_02251
ko:K02946	fpc:FPSM_02252
ko:K02355	fpc:FPSM_02253
ko:K02992	fpc:FPSM_02254
ko:K02950	fpc:FPSM_02255
ko:K03218	fpc:FPSM_02260
ko:K07478	fpc:FPSM_02262
ko:K07025	fpc:FPSM_02264
ko:K01933	fpc:FPSM_01636
ko:K00942	fpc:FPSM_00385
ko:K01760	fpc:FPSM_00391
ko:K07658	fpc:FPSM_00395
ko:K07636	fpc:FPSM_00396
ko:K02040	fpc:FPSM_00398
ko:K02037	fpc:FPSM_00399
ko:K06158	fpc:FPSM_00829
ko:K03977	fpc:FPSM_00833
ko:K01712	fpc:FPSM_00838
ko:K00500	fpc:FPSM_00841
ko:K06147	fpc:FPSM_00845
ko:K06872	fpc:FPSM_00852
ko:K03744	fpc:FPSM_00854
ko:K01872	fpc:FPSM_00857
ko:K11942	fpc:FPSM_00858
ko:K03088	fpc:FPSM_00867
ko:K03885	fpc:FPSM_00868
ko:K01270	fpc:FPSM_00870
ko:K09001	fpc:FPSM_00872
ko:K09939	fpc:FPSM_00876
ko:K02014	fpc:FPSM_00877
ko:K02835	fpc:FPSM_00878
ko:K01258	fpc:FPSM_00880
ko:K03630	fpc:FPSM_02265
ko:K02558	fpc:FPSM_02266
ko:K03979	fpc:FPSM_02270
ko:K03699	fpc:FPSM_02271
ko:K00939	fpc:FPSM_02272
ko:K00760	fpc:FPSM_02273
ko:K01589	fpc:FPSM_02275
ko:K01588	fpc:FPSM_02276
ko:K00954	fpc:FPSM_01669
ko:K01921	fpc:FPSM_01670
ko:K06180	fpc:FPSM_01672
ko:K02621	fpc:FPSM_01674
ko:K02622	fpc:FPSM_01677
ko:K02014	fpc:FPSM_01678
ko:K06942	fpc:FPSM_01680
ko:K00831	fpc:FPSM_01684
ko:K00058	fpc:FPSM_01685
ko:K01495	fpc:FPSM_01690
ko:K07304	fpc:FPSM_01691
ko:K09810	fpc:FPSM_01692
ko:K03650	fpc:FPSM_01695
ko:K03088	fpc:FPSM_01705
ko:K03549	fpc:FPSM_01709
ko:K00384	fpc:FPSM_01716
ko:K01962	fpc:FPSM_01719
ko:K03495	fpc:FPSM_00003
ko:K06142	fpc:FPSM_00005
ko:K02341	fpc:FPSM_00012
ko:K00927	fpc:FPSM_00019
ko:K08307	fpc:FPSM_00020
ko:K02348	fpc:FPSM_00021
ko:K07146	fpc:FPSM_00023
ko:K05366	fpc:FPSM_00026
ko:K01028	fpc:FPSM_00027
ko:K01029	fpc:FPSM_00031
ko:K07501	fpc:FPSM_00034
ko:K00567	fpc:FPSM_00035
ko:K08738	fpc:FPSM_00036
ko:K01698	fpc:FPSM_00037
ko:K00228	fpc:FPSM_00039
ko:K01599	fpc:FPSM_00043
ko:K01719	fpc:FPSM_00044
ko:K01749	fpc:FPSM_00045
ko:K02492	fpc:FPSM_00046
ko:K01772	fpc:FPSM_00048
ko:K08973	fpc:FPSM_00049
ko:K01715	fpc:FPSM_00051
ko:K06950	fpc:FPSM_00052
ko:K03921	fpc:FPSM_00053
ko:K00655	fpc:FPSM_00054
ko:K07025	fpc:FPSM_00056
ko:K00791	fpc:FPSM_00882
ko:K02342	fpc:FPSM_00883
ko:K06997	fpc:FPSM_00885
ko:K00074	fpc:FPSM_00888
ko:K00573	fpc:FPSM_00890
ko:K03711	fpc:FPSM_00896
ko:K01939	fpc:FPSM_00897
ko:K03217	fpc:FPSM_00899
ko:K01937	fpc:FPSM_00900
ko:K09954	fpc:FPSM_00902
ko:K01951	fpc:FPSM_00906
ko:K03664	fpc:FPSM_00916
ko:K01284	fpc:FPSM_00917
ko:K06871	fpc:FPSM_00921
ko:K06147	fpc:FPSM_00923
ko:K00554	fpc:FPSM_00926
ko:K02884	fpc:FPSM_00927
ko:K00031	fpc:FPSM_00928
ko:K03437	fpc:FPSM_00933
ko:K00951	fpc:FPSM_00934
ko:K02040	fpc:FPSM_02319
ko:K03832	fpc:FPSM_02320
ko:K03561	fpc:FPSM_02323
ko:K00486	fpc:FPSM_02326
ko:K01434	fpc:FPSM_02327
ko:K01480	fpc:FPSM_02328
ko:K01556	fpc:FPSM_02329
ko:K02899	fpc:FPSM_02332
ko:K02888	fpc:FPSM_02333
ko:K00343	fpc:FPSM_02334
ko:K00342	fpc:FPSM_02335
ko:K00341	fpc:FPSM_02336
ko:K00340	fpc:FPSM_02337
ko:K00339	fpc:FPSM_02338
ko:K00338	fpc:FPSM_02339
ko:K00337	fpc:FPSM_02340
ko:K00334	fpc:FPSM_02344
ko:K00333	fpc:FPSM_02345
