ko:K00130	bsut:BSUB_03320
ko:K09825	bsut:BSUB_00947
ko:K06377	bsut:BSUB_00969
ko:K03147	bsut:BSUB_00973
ko:K03781	bsut:BSUB_00976
ko:K15555	bsut:BSUB_00977
ko:K15553	bsut:BSUB_00978
ko:K15554	bsut:BSUB_00979
ko:K04091	bsut:BSUB_00980
ko:K02954	bsut:BSUB_00982
ko:K03216	bsut:BSUB_00989
ko:K07180	bsut:BSUB_00993
ko:K09786	bsut:BSUB_00994
ko:K03809	bsut:BSUB_00998
ko:K06410	bsut:BSUB_01805
ko:K06411	bsut:BSUB_01806
ko:K00133	bsut:BSUB_01807
ko:K00928	bsut:BSUB_01808
ko:K01714	bsut:BSUB_01809
ko:K12574	bsut:BSUB_01810
ko:K03466	bsut:BSUB_01813
ko:K03710	bsut:BSUB_01814
ko:K08221	bsut:BSUB_01815
ko:K00059	bsut:BSUB_01818
ko:K00995	bsut:BSUB_01823
ko:K03742	bsut:BSUB_01824
ko:K18682	bsut:BSUB_01827
ko:K09769	bsut:BSUB_01828
ko:K06416	bsut:BSUB_01829
ko:K00060	bsut:BSUB_01830
ko:K00639	bsut:BSUB_01831
ko:K06168	bsut:BSUB_01832
ko:K06328	bsut:BSUB_01834
ko:K03555	bsut:BSUB_01835
ko:K03572	bsut:BSUB_01836
ko:K15328	bsut:BSUB_01842
ko:K15329	bsut:BSUB_01843
ko:K15337	bsut:BSUB_01844
ko:K00646	bsut:BSUB_01845
ko:K15311	bsut:BSUB_01846
ko:K15312	bsut:BSUB_01847
ko:K15313	bsut:BSUB_01848
ko:K17734	bsut:BSUB_01857
ko:K05967	bsut:BSUB_02686
ko:K02076	bsut:BSUB_02687
ko:K01151	bsut:BSUB_02690
ko:K18692	bsut:BSUB_02691
ko:K03527	bsut:BSUB_02693
ko:K06967	bsut:BSUB_02695
ko:K13300	bsut:BSUB_02696
ko:K03086	bsut:BSUB_02697
ko:K09768	bsut:BSUB_02699
ko:K09773	bsut:BSUB_02700
ko:K01879	bsut:BSUB_02702
ko:K01878	bsut:BSUB_02703
ko:K03584	bsut:BSUB_02704
ko:K01489	bsut:BSUB_02707
ko:K07042	bsut:BSUB_02709
ko:K07037	bsut:BSUB_02710
ko:K06438	bsut:BSUB_02712
ko:K07403	bsut:BSUB_02716
ko:K09117	bsut:BSUB_02717
ko:K02970	bsut:BSUB_02718
ko:K03324	bsut:BSUB_02719
ko:K18707	bsut:BSUB_02720
ko:K09761	bsut:BSUB_02721
ko:K02687	bsut:BSUB_02722
ko:K03686	bsut:BSUB_02723
ko:K04043	bsut:BSUB_02724
ko:K03687	bsut:BSUB_02725
ko:K03705	bsut:BSUB_02726
ko:K03596	bsut:BSUB_02728
ko:K06385	bsut:BSUB_02730
ko:K06012	bsut:BSUB_02731
ko:K02968	bsut:BSUB_02732
ko:K02340	bsut:BSUB_02733
ko:K02238	bsut:BSUB_02735
ko:K02237	bsut:BSUB_02737
ko:K07516	bsut:BSUB_03505
ko:K00318	bsut:BSUB_03507
ko:K00059	bsut:BSUB_03513
ko:K00059	bsut:BSUB_03514
ko:K02013	bsut:BSUB_03517
ko:K04047	bsut:BSUB_03522
ko:K07770	bsut:BSUB_03524
ko:K07650	bsut:BSUB_03525
ko:K01679	bsut:BSUB_03528
ko:K06290	bsut:BSUB_03532
ko:K11618	bsut:BSUB_03533
ko:K11617	bsut:BSUB_03534
ko:K11622	bsut:BSUB_03535
ko:K11621	bsut:BSUB_03536
ko:K11619	bsut:BSUB_03538
ko:K02013	bsut:BSUB_03541
ko:K02015	bsut:BSUB_03542
ko:K02016	bsut:BSUB_03543
ko:K01569	bsut:BSUB_03551
ko:K02004	bsut:BSUB_03553
ko:K02003	bsut:BSUB_03554
ko:K02005	bsut:BSUB_03555
ko:K02013	bsut:BSUB_03556
ko:K02015	bsut:BSUB_03557
ko:K02015	bsut:BSUB_03558
ko:K01990	bsut:BSUB_04316
ko:K08224	bsut:BSUB_04320
ko:K06888	bsut:BSUB_04336
ko:K07052	bsut:BSUB_04337
ko:K08369	bsut:BSUB_04338
ko:K00661	bsut:BSUB_04339
ko:K01759	bsut:BSUB_04340
ko:K01142	bsut:BSUB_04342
ko:K02963	bsut:BSUB_04343
ko:K02990	bsut:BSUB_04345
ko:K06942	bsut:BSUB_04346
ko:K03501	bsut:BSUB_04355
ko:K03495	bsut:BSUB_04356
ko:K03650	bsut:BSUB_04357
ko:K06346	bsut:BSUB_04358
ko:K03217	bsut:BSUB_04359
ko:K03536	bsut:BSUB_04360
ko:K02914	bsut:BSUB_04361
ko:K09698	bsut:BSUB_00120
ko:K00640	bsut:BSUB_00121
ko:K01883	bsut:BSUB_00122
ko:K11145	bsut:BSUB_00123
ko:K03218	bsut:BSUB_00124
ko:K06962	bsut:BSUB_00125
ko:K03091	bsut:BSUB_00126
ko:K02913	bsut:BSUB_00127
ko:K03073	bsut:BSUB_00128
ko:K02601	bsut:BSUB_00129
ko:K02867	bsut:BSUB_00130
ko:K02863	bsut:BSUB_00131
ko:K02864	bsut:BSUB_00132
ko:K03535	bsut:BSUB_00296
ko:K01706	bsut:BSUB_00297
ko:K01708	bsut:BSUB_00299
ko:K01449	bsut:BSUB_00308
ko:K01113	bsut:BSUB_00311
ko:K03116	bsut:BSUB_00312
ko:K03118	bsut:BSUB_00313
ko:K01304	bsut:BSUB_00314
ko:K01424	bsut:BSUB_00318
ko:K07039	bsut:BSUB_00321
ko:K09697	bsut:BSUB_00324
ko:K09696	bsut:BSUB_00325
ko:K00034	bsut:BSUB_00332
ko:K01182	bsut:BSUB_00333
ko:K09815	bsut:BSUB_00334
ko:K09817	bsut:BSUB_00335
ko:K09816	bsut:BSUB_00336
ko:K05795	bsut:BSUB_00339
ko:K05795	bsut:BSUB_00340
ko:K08369	bsut:BSUB_00344
ko:K02000	bsut:BSUB_00347
ko:K02001	bsut:BSUB_00348
ko:K02002	bsut:BSUB_00349
ko:K14665	bsut:BSUB_00350
ko:K01953	bsut:BSUB_01176
ko:K02291	bsut:BSUB_01178
ko:K16043	bsut:BSUB_01182
ko:K06895	bsut:BSUB_01184
ko:K00860	bsut:BSUB_01188
ko:K00958	bsut:BSUB_01189
ko:K00390	bsut:BSUB_01190
ko:K05979	bsut:BSUB_01191
ko:K08097	bsut:BSUB_01192
ko:K08221	bsut:BSUB_01195
ko:K09767	bsut:BSUB_01199
ko:K00243	bsut:BSUB_01200
ko:K08777	bsut:BSUB_01207
ko:K06889	bsut:BSUB_01213
ko:K00145	bsut:BSUB_01218
ko:K00620	bsut:BSUB_01219
ko:K00930	bsut:BSUB_01220
ko:K01956	bsut:BSUB_01222
ko:K01955	bsut:BSUB_01223
ko:K00611	bsut:BSUB_01224
ko:K05519	bsut:BSUB_01229
ko:K02254	bsut:BSUB_01230
ko:K00274	bsut:BSUB_02048
ko:K06878	bsut:BSUB_02050
ko:K08976	bsut:BSUB_02060
ko:K10255	bsut:BSUB_02064
ko:K07778	bsut:BSUB_02065
ko:K07693	bsut:BSUB_02066
ko:K03654	bsut:BSUB_02068
ko:K01118	bsut:BSUB_02069
ko:K13993	bsut:BSUB_02073
ko:K00128	bsut:BSUB_02078
ko:K18115	bsut:BSUB_02079
ko:K04564	bsut:BSUB_02080
ko:K03308	bsut:BSUB_02081
ko:K03453	bsut:BSUB_02082
ko:K00658	bsut:BSUB_02083
ko:K00164	bsut:BSUB_02084
ko:K03327	bsut:BSUB_02092
ko:K05786	bsut:BSUB_02097
ko:K03299	bsut:BSUB_02100
ko:K06999	bsut:BSUB_02104
ko:K15975	bsut:BSUB_02105
ko:K03307	bsut:BSUB_02107
ko:K03797	bsut:BSUB_02108
ko:K07260	bsut:BSUB_02111
ko:K03784	bsut:BSUB_02112
ko:K01243	bsut:BSUB_02909
ko:K17462	bsut:BSUB_02910
ko:K03624	bsut:BSUB_02914
ko:K00876	bsut:BSUB_02915
ko:K08303	bsut:BSUB_02916
ko:K08303	bsut:BSUB_02917
ko:K07082	bsut:BSUB_02919
ko:K07447	bsut:BSUB_02921
ko:K01872	bsut:BSUB_02923
ko:K10041	bsut:BSUB_02925
ko:K10039	bsut:BSUB_02926
ko:K10040	bsut:BSUB_02927
ko:K10040	bsut:BSUB_02928
ko:K03581	bsut:BSUB_02932
ko:K00566	bsut:BSUB_02934
ko:K04487	bsut:BSUB_02935
ko:K17472	bsut:BSUB_02936
ko:K07478	bsut:BSUB_02937
ko:K01876	bsut:BSUB_02939
ko:K01892	bsut:BSUB_02940
ko:K01448	bsut:BSUB_02942
ko:K07560	bsut:BSUB_02943
ko:K00951	bsut:BSUB_02944
ko:K00759	bsut:BSUB_02945
ko:K07462	bsut:BSUB_02946
ko:K07228	bsut:BSUB_02948
ko:K12257	bsut:BSUB_02949
ko:K06409	bsut:BSUB_02951
ko:K03210	bsut:BSUB_02954
ko:K00773	bsut:BSUB_02955
ko:K07568	bsut:BSUB_02956
ko:K03551	bsut:BSUB_02958
ko:K03550	bsut:BSUB_02959
ko:K06318	bsut:BSUB_02960
ko:K00010	bsut:BSUB_02962
ko:K02500	bsut:BSUB_03717
ko:K01814	bsut:BSUB_03718
ko:K02501	bsut:BSUB_03719
ko:K01693	bsut:BSUB_03720
ko:K00013	bsut:BSUB_03721
ko:K00765	bsut:BSUB_03722
ko:K02502	bsut:BSUB_03723
ko:K06019	bsut:BSUB_03727
ko:K13292	bsut:BSUB_03729
ko:K06023	bsut:BSUB_03730
ko:K01443	bsut:BSUB_03731
ko:K02564	bsut:BSUB_03732
ko:K03710	bsut:BSUB_03733
ko:K08972	bsut:BSUB_03740
ko:K02406	bsut:BSUB_03745
ko:K03701	bsut:BSUB_03746
ko:K03702	bsut:BSUB_03747
ko:K03797	bsut:BSUB_03754
ko:K09811	bsut:BSUB_03755
ko:K09812	bsut:BSUB_03756
ko:K12263	bsut:BSUB_03757
ko:K02836	bsut:BSUB_03759
ko:K03070	bsut:BSUB_03760
ko:K02423	bsut:BSUB_03763
ko:K02422	bsut:BSUB_03764
ko:K02407	bsut:BSUB_03765
ko:K06603	bsut:BSUB_03766
ko:K02406	bsut:BSUB_03767
ko:K03563	bsut:BSUB_03768
ko:K13626	bsut:BSUB_03769
ko:K02935	bsut:BSUB_00133
ko:K00564	bsut:BSUB_00134
ko:K03043	bsut:BSUB_00135
ko:K03046	bsut:BSUB_00136
ko:K07590	bsut:BSUB_00137
ko:K02950	bsut:BSUB_00138
ko:K02992	bsut:BSUB_00139
ko:K02355	bsut:BSUB_00140
ko:K02358	bsut:BSUB_00141
ko:K02946	bsut:BSUB_00143
ko:K02906	bsut:BSUB_00144
ko:K02926	bsut:BSUB_00145
ko:K02892	bsut:BSUB_00146
ko:K02886	bsut:BSUB_00147
ko:K02965	bsut:BSUB_00148
ko:K02890	bsut:BSUB_00149
ko:K02982	bsut:BSUB_00150
ko:K02878	bsut:BSUB_00151
ko:K02904	bsut:BSUB_00152
ko:K02961	bsut:BSUB_00153
ko:K02874	bsut:BSUB_00154
ko:K02895	bsut:BSUB_00155
ko:K02931	bsut:BSUB_00156
ko:K02954	bsut:BSUB_00157
ko:K02994	bsut:BSUB_00158
ko:K02933	bsut:BSUB_00159
ko:K02881	bsut:BSUB_00160
ko:K02988	bsut:BSUB_00161
ko:K02907	bsut:BSUB_00162
ko:K02876	bsut:BSUB_00163
ko:K03076	bsut:BSUB_00164
ko:K00939	bsut:BSUB_00165
ko:K01265	bsut:BSUB_00166
ko:K02518	bsut:BSUB_00168
ko:K02919	bsut:BSUB_00169
ko:K02952	bsut:BSUB_00170
ko:K02948	bsut:BSUB_00171
ko:K03040	bsut:BSUB_00172
ko:K02879	bsut:BSUB_00173
ko:K16786	bsut:BSUB_00174
ko:K16787	bsut:BSUB_00175
ko:K16785	bsut:BSUB_00176
ko:K06173	bsut:BSUB_00177
ko:K01990	bsut:BSUB_01003
ko:K01992	bsut:BSUB_01005
ko:K03704	bsut:BSUB_01006
ko:K02073	bsut:BSUB_01007
ko:K06956	bsut:BSUB_01009
ko:K07284	bsut:BSUB_01015
ko:K06180	bsut:BSUB_01016
ko:K02443	bsut:BSUB_01022
ko:K02440	bsut:BSUB_01023
ko:K00864	bsut:BSUB_01024
ko:K00111	bsut:BSUB_01025
ko:K01835	bsut:BSUB_01026
ko:K02480	bsut:BSUB_01027
ko:K03206	bsut:BSUB_01029
ko:K13771	bsut:BSUB_01033
ko:K01077	bsut:BSUB_01036
ko:K01647	bsut:BSUB_01039
ko:K03294	bsut:BSUB_01041
ko:K03308	bsut:BSUB_01042
ko:K00375	bsut:BSUB_01043
ko:K03088	bsut:BSUB_01047
ko:K00655	bsut:BSUB_01049
ko:K11358	bsut:BSUB_01052
ko:K06199	bsut:BSUB_01055
ko:K06199	bsut:BSUB_01056
ko:K01126	bsut:BSUB_01057
ko:K00791	bsut:BSUB_01864
ko:K03666	bsut:BSUB_01865
ko:K03647	bsut:BSUB_01868
ko:K01448	bsut:BSUB_01872
ko:K06413	bsut:BSUB_01873
ko:K03665	bsut:BSUB_01874
ko:K03713	bsut:BSUB_01876
ko:K01915	bsut:BSUB_01877
ko:K03292	bsut:BSUB_01889
ko:K01198	bsut:BSUB_01890
ko:K01805	bsut:BSUB_01892
ko:K00854	bsut:BSUB_01893
ko:K01775	bsut:BSUB_01896
ko:K03116	bsut:BSUB_01906
ko:K06310	bsut:BSUB_01911
ko:K06311	bsut:BSUB_01912
ko:K06312	bsut:BSUB_01913
ko:K11210	bsut:BSUB_01920
ko:K02239	bsut:BSUB_02738
ko:K09710	bsut:BSUB_02740
ko:K00969	bsut:BSUB_02742
ko:K07574	bsut:BSUB_02743
ko:K00014	bsut:BSUB_02744
ko:K06948	bsut:BSUB_02745
ko:K07015	bsut:BSUB_02746
ko:K06371	bsut:BSUB_02747
ko:K00033	bsut:BSUB_02751
ko:K03325	bsut:BSUB_02757
ko:K09190	bsut:BSUB_02760
ko:K02016	bsut:BSUB_03559
ko:K03758	bsut:BSUB_03561
ko:K06427	bsut:BSUB_03562
ko:K07038	bsut:BSUB_03563
ko:K07219	bsut:BSUB_03565
ko:K02020	bsut:BSUB_03566
ko:K02018	bsut:BSUB_03567
ko:K03316	bsut:BSUB_03570
ko:K00381	bsut:BSUB_03571
ko:K00380	bsut:BSUB_03572
ko:K03657	bsut:BSUB_03573
ko:K03611	bsut:BSUB_03575
ko:K01534	bsut:BSUB_03577
ko:K17686	bsut:BSUB_03578
ko:K07213	bsut:BSUB_03579
ko:K01118	bsut:BSUB_03582
ko:K00059	bsut:BSUB_03587
ko:K03664	bsut:BSUB_03588
ko:K12573	bsut:BSUB_03589
ko:K03928	bsut:BSUB_03590
ko:K03075	bsut:BSUB_03591
ko:K03406	bsut:BSUB_03597
ko:K05846	bsut:BSUB_03598
ko:K05845	bsut:BSUB_03599
ko:K05846	bsut:BSUB_03600
ko:K05847	bsut:BSUB_03601
ko:K05846	bsut:BSUB_03608
ko:K05845	bsut:BSUB_03609
ko:K05846	bsut:BSUB_03610
ko:K00648	bsut:BSUB_01232
ko:K17763	bsut:BSUB_02093
ko:K02871	bsut:BSUB_00178
ko:K02996	bsut:BSUB_00179
ko:K01448	bsut:BSUB_00182
ko:K03593	bsut:BSUB_00183
ko:K06294	bsut:BSUB_00184
ko:K06349	bsut:BSUB_00185
ko:K03321	bsut:BSUB_00202
ko:K02015	bsut:BSUB_00205
ko:K02015	bsut:BSUB_00206
ko:K02016	bsut:BSUB_00207
ko:K01207	bsut:BSUB_00210
ko:K02809	bsut:BSUB_00212
ko:K02810	bsut:BSUB_00212
ko:K07106	bsut:BSUB_00214
ko:K03088	bsut:BSUB_00222
ko:K18672	bsut:BSUB_00224
ko:K03431	bsut:BSUB_00226
ko:K00820	bsut:BSUB_00227
ko:K01247	bsut:BSUB_00229
ko:K13530	bsut:BSUB_00230
ko:K13531	bsut:BSUB_00231
ko:K05577	bsut:BSUB_00232
ko:K09822	bsut:BSUB_00233
ko:K16052	bsut:BSUB_01059
ko:K12410	bsut:BSUB_01060
ko:K00824	bsut:BSUB_01062
ko:K03315	bsut:BSUB_01063
ko:K03455	bsut:BSUB_01080
ko:K07228	bsut:BSUB_01081
ko:K01990	bsut:BSUB_01085
ko:K01992	bsut:BSUB_01086
ko:K03698	bsut:BSUB_01089
ko:K07533	bsut:BSUB_01091
ko:K09682	bsut:BSUB_01095
ko:K00831	bsut:BSUB_01099
ko:K02503	bsut:BSUB_01100
ko:K01990	bsut:BSUB_01101
ko:K01992	bsut:BSUB_01102
ko:K12555	bsut:BSUB_01108
ko:K01599	bsut:BSUB_01109
ko:K01772	bsut:BSUB_01110
ko:K00231	bsut:BSUB_01111
ko:K01421	bsut:BSUB_01113
ko:K00648	bsut:BSUB_01114
ko:K01356	bsut:BSUB_01921
ko:K00615	bsut:BSUB_01925
ko:K09976	bsut:BSUB_01927
ko:K06196	bsut:BSUB_01929
ko:K03413	bsut:BSUB_01930
ko:K06335	bsut:BSUB_01933
ko:K06433	bsut:BSUB_01934
ko:K06432	bsut:BSUB_01935
ko:K01681	bsut:BSUB_01936
ko:K06431	bsut:BSUB_01939
ko:K06434	bsut:BSUB_01940
ko:K07107	bsut:BSUB_01941
ko:K08591	bsut:BSUB_01944
ko:K02622	bsut:BSUB_01946
ko:K02621	bsut:BSUB_01947
ko:K03310	bsut:BSUB_01950
ko:K15924	bsut:BSUB_01953
ko:K15921	bsut:BSUB_01954
ko:K00963	bsut:BSUB_01956
ko:K01640	bsut:BSUB_01961
ko:K02160	bsut:BSUB_01962
ko:K01961	bsut:BSUB_01963
ko:K00666	bsut:BSUB_01964
ko:K07259	bsut:BSUB_01973
ko:K13256	bsut:BSUB_02820
ko:K07148	bsut:BSUB_02823
ko:K07090	bsut:BSUB_02828
ko:K08153	bsut:BSUB_02838
ko:K00657	bsut:BSUB_02839
ko:K07222	bsut:BSUB_02844
ko:K16264	bsut:BSUB_02845
ko:K03311	bsut:BSUB_02849
ko:K05847	bsut:BSUB_03611
ko:K05595	bsut:BSUB_03613
ko:K01689	bsut:BSUB_03618
ko:K15633	bsut:BSUB_03619
ko:K01803	bsut:BSUB_03620
ko:K00927	bsut:BSUB_03621
ko:K00134	bsut:BSUB_03622
ko:K05311	bsut:BSUB_03623
ko:K02103	bsut:BSUB_03625
ko:K00782	bsut:BSUB_03631
ko:K07693	bsut:BSUB_03634
ko:K07778	bsut:BSUB_03635
ko:K01992	bsut:BSUB_03636
