ko:K03704	cun:Cul210932_0672
ko:K01679	cun:Cul210932_0821
ko:K02446	cun:Cul210932_0823
ko:K03602	cun:Cul210932_0825
ko:K03601	cun:Cul210932_0826
ko:K03527	cun:Cul210932_0827
ko:K06942	cun:Cul210932_0830
ko:K00058	cun:Cul210932_0988
ko:K00052	cun:Cul210932_0989
ko:K07182	cun:Cul210932_0990
ko:K02342	cun:Cul210932_0991
ko:K02361	cun:Cul210932_0995
ko:K01885	cun:Cul210932_0996
ko:K03932	cun:Cul210932_0997
ko:K02033	cun:Cul210932_1005
ko:K02034	cun:Cul210932_1006
ko:K02035	cun:Cul210932_1009
ko:K01012	cun:Cul210932_1010
ko:K01703	cun:Cul210932_1013
ko:K01704	cun:Cul210932_1014
ko:K03574	cun:Cul210932_1015
ko:K00057	cun:Cul210932_1016
ko:K01921	cun:Cul210932_1017
ko:K00946	cun:Cul210932_1019
ko:K03648	cun:Cul210932_1020
ko:K07030	cun:Cul210932_1021
ko:K03655	cun:Cul210932_1022
ko:K08316	cun:Cul210932_1024
ko:K00954	cun:Cul210932_1025
ko:K07090	cun:Cul210932_1026
ko:K02028	cun:Cul210932_1028
ko:K02029	cun:Cul210932_1029
ko:K02030	cun:Cul210932_1030
ko:K08974	cun:Cul210932_1031
ko:K02945	cun:Cul210932_1036
ko:K02755	cun:Cul210932_1037
ko:K02756	cun:Cul210932_1037
ko:K02757	cun:Cul210932_1037
ko:K01681	cun:Cul210932_1192
ko:K01951	cun:Cul210932_1194
ko:K07166	cun:Cul210932_1195
ko:K09157	cun:Cul210932_1196
ko:K06901	cun:Cul210932_0677
ko:K06193	cun:Cul210932_0832
ko:K09781	cun:Cul210932_0836
ko:K00077	cun:Cul210932_0837
ko:K16925	cun:Cul210932_0838
ko:K16786	cun:Cul210932_0839
ko:K16787	cun:Cul210932_0839
ko:K16785	cun:Cul210932_0840
ko:K15580	cun:Cul210932_0843
ko:K15581	cun:Cul210932_0844
ko:K15582	cun:Cul210932_0845
ko:K02031	cun:Cul210932_0846
ko:K02032	cun:Cul210932_0846
ko:K02003	cun:Cul210932_0848
ko:K02004	cun:Cul210932_0849
ko:K00537	cun:Cul210932_0851
ko:K09146	cun:Cul210932_0852
ko:K06207	cun:Cul210932_0854
ko:K15525	cun:Cul210932_0856
ko:K16237	cun:Cul210932_0862
ko:K00674	cun:Cul210932_0863
ko:K16237	cun:Cul210932_0864
ko:K00674	cun:Cul210932_0865
ko:K01439	cun:Cul210932_0866
ko:K06966	cun:Cul210932_0867
ko:K00796	cun:Cul210932_0868
ko:K13693	cun:Cul210932_0869
ko:K00563	cun:Cul210932_0872
ko:K01193	cun:Cul210932_0873
ko:K01575	cun:Cul210932_0874
ko:K16148	cun:Cul210932_0875
ko:K00975	cun:Cul210932_0876
ko:K03088	cun:Cul210932_0878
ko:K03117	cun:Cul210932_0880
ko:K00859	cun:Cul210932_1038
ko:K03702	cun:Cul210932_1040
ko:K03701	cun:Cul210932_1045
ko:K02520	cun:Cul210932_1046
ko:K02916	cun:Cul210932_1047
ko:K02887	cun:Cul210932_1048
ko:K03437	cun:Cul210932_1050
ko:K01889	cun:Cul210932_1051
ko:K01890	cun:Cul210932_1052
ko:K00145	cun:Cul210932_1053
ko:K00620	cun:Cul210932_1054
ko:K00930	cun:Cul210932_1055
ko:K00611	cun:Cul210932_1057
ko:K03402	cun:Cul210932_1058
ko:K01940	cun:Cul210932_1059
ko:K01755	cun:Cul210932_1060
ko:K09791	cun:Cul210932_1061
ko:K01866	cun:Cul210932_1062
ko:K06442	cun:Cul210932_1070
ko:K00858	cun:Cul210932_1071
ko:K03631	cun:Cul210932_1072
ko:K01515	cun:Cul210932_1076
ko:K04763	cun:Cul210932_1077
ko:K05896	cun:Cul210932_1079
ko:K01935	cun:Cul210932_1080
ko:K03305	cun:Cul210932_1081
ko:K00833	cun:Cul210932_1082
ko:K01935	cun:Cul210932_1083
ko:K06024	cun:Cul210932_1084
ko:K06178	cun:Cul210932_1085
ko:K00945	cun:Cul210932_1086
ko:K03977	cun:Cul210932_1087
ko:K07792	cun:Cul210932_1088
ko:K04488	cun:Cul210932_1254
ko:K11717	cun:Cul210932_1255
ko:K09013	cun:Cul210932_1256
ko:K09015	cun:Cul210932_1258
ko:K09014	cun:Cul210932_1259
ko:K14339	cun:Cul210932_1261
ko:K01990	cun:Cul210932_1262
ko:K01992	cun:Cul210932_1263
ko:K02259	cun:Cul210932_1264
ko:K00615	cun:Cul210932_1266
ko:K00616	cun:Cul210932_1267
ko:K00036	cun:Cul210932_1268
ko:K01057	cun:Cul210932_1270
ko:K03075	cun:Cul210932_1271
ko:K01595	cun:Cul210932_1272
ko:K01803	cun:Cul210932_1273
ko:K00927	cun:Cul210932_1274
ko:K00134	cun:Cul210932_1275
ko:K09762	cun:Cul210932_1276
ko:K06958	cun:Cul210932_1278
ko:K03703	cun:Cul210932_1279
ko:K00794	cun:Cul210932_1281
ko:K14652	cun:Cul210932_1282
ko:K00793	cun:Cul210932_1283
ko:K11752	cun:Cul210932_1284
ko:K01783	cun:Cul210932_1285
ko:K03500	cun:Cul210932_1286
ko:K00604	cun:Cul210932_1287
ko:K01462	cun:Cul210932_1288
ko:K04066	cun:Cul210932_1289
ko:K00995	cun:Cul210932_1437
ko:K09780	cun:Cul210932_1438
ko:K05794	cun:Cul210932_1439
ko:K03466	cun:Cul210932_1441
ko:K12574	cun:Cul210932_1443
ko:K01714	cun:Cul210932_1444
ko:K00215	cun:Cul210932_1446
ko:K00962	cun:Cul210932_1447
ko:K02956	cun:Cul210932_1448
ko:K11753	cun:Cul210932_1450
ko:K03177	cun:Cul210932_1451
ko:K02834	cun:Cul210932_1456
ko:K02519	cun:Cul210932_1457
ko:K07742	cun:Cul210932_1458
ko:K02600	cun:Cul210932_1459
ko:K09748	cun:Cul210932_1460
ko:K01881	cun:Cul210932_1462
ko:K09861	cun:Cul210932_1463
ko:K02303	cun:Cul210932_1464
ko:K00567	cun:Cul210932_1467
ko:K02224	cun:Cul210932_1468
ko:K13580	cun:Cul210932_1470
ko:K03404	cun:Cul210932_1471
ko:K00116	cun:Cul210932_1472
ko:K17883	cun:Cul210932_1475
ko:K02232	cun:Cul210932_1477
ko:K01265	cun:Cul210932_1478
ko:K02437	cun:Cul210932_1627
ko:K03801	cun:Cul210932_1629
ko:K03644	cun:Cul210932_1630
ko:K02013	cun:Cul210932_1632
ko:K02015	cun:Cul210932_1633
ko:K02015	cun:Cul210932_1634
ko:K02016	cun:Cul210932_1635
ko:K01915	cun:Cul210932_1639
ko:K07035	cun:Cul210932_1642
ko:K00088	cun:Cul210932_1643
ko:K07084	cun:Cul210932_1645
ko:K01733	cun:Cul210932_1648
ko:K00982	cun:Cul210932_1653
ko:K01915	cun:Cul210932_1654
ko:K00849	cun:Cul210932_1659
ko:K07164	cun:Cul210932_1662
ko:K00817	cun:Cul210932_1664
ko:K01104	cun:Cul210932_1666
ko:K02227	cun:Cul210932_1668
ko:K00163	cun:Cul210932_1671
ko:K02078	cun:Cul210932_1673
ko:K02566	cun:Cul210932_1674
ko:K00831	cun:Cul210932_0681
ko:K01647	cun:Cul210932_0682
ko:K01962	cun:Cul210932_0684
ko:K01963	cun:Cul210932_0684
ko:K01692	cun:Cul210932_0688
ko:K14393	cun:Cul210932_0690
ko:K03327	cun:Cul210932_0696
ko:K01697	cun:Cul210932_0697
ko:K01586	cun:Cul210932_0698
ko:K02035	cun:Cul210932_0701
ko:K02033	cun:Cul210932_0702
ko:K02034	cun:Cul210932_0703
ko:K02031	cun:Cul210932_0704
ko:K02032	cun:Cul210932_0704
ko:K02228	cun:Cul210932_0709
ko:K01082	cun:Cul210932_0713
ko:K03724	cun:Cul210932_0714
ko:K03649	cun:Cul210932_0715
ko:K05522	cun:Cul210932_0716
ko:K01810	cun:Cul210932_0718
ko:K00135	cun:Cul210932_0719
ko:K04093	cun:Cul210932_0720
ko:K03657	cun:Cul210932_0721
ko:K11175	cun:Cul210932_0724
ko:K00602	cun:Cul210932_0725
ko:K10008	cun:Cul210932_0726
ko:K10005	cun:Cul210932_0727
ko:K10006	cun:Cul210932_0728
ko:K03593	cun:Cul210932_0881
ko:K01616	cun:Cul210932_0885
ko:K00014	cun:Cul210932_0888
ko:K03929	cun:Cul210932_0889
ko:K03307	cun:Cul210932_0895
ko:K00965	cun:Cul210932_0897
ko:K00849	cun:Cul210932_0898
ko:K05592	cun:Cul210932_0899
ko:K04750	cun:Cul210932_0901
ko:K11928	cun:Cul210932_0904
ko:K00782	cun:Cul210932_0916
ko:K03303	cun:Cul210932_0919
ko:K01887	cun:Cul210932_0920
ko:K01586	cun:Cul210932_0921
ko:K00003	cun:Cul210932_0922
ko:K00872	cun:Cul210932_0923
ko:K00666	cun:Cul210932_0925
ko:K03628	cun:Cul210932_0926
ko:K02835	cun:Cul210932_0927
ko:K02493	cun:Cul210932_0928
ko:K02851	cun:Cul210932_0930
ko:K02016	cun:Cul210932_1092
ko:K02015	cun:Cul210932_1094
ko:K02013	cun:Cul210932_1095
ko:K09858	cun:Cul210932_1101
ko:K06889	cun:Cul210932_1102
ko:K07397	cun:Cul210932_1102
ko:K03070	cun:Cul210932_1103
ko:K08999	cun:Cul210932_1106
ko:K00033	cun:Cul210932_1113
ko:K03284	cun:Cul210932_1115
ko:K03885	cun:Cul210932_1120
ko:K00574	cun:Cul210932_1121
ko:K03453	cun:Cul210932_1124
ko:K00721	cun:Cul210932_1129
ko:K03820	cun:Cul210932_1130
ko:K07113	cun:Cul210932_1131
ko:K02230	cun:Cul210932_1132
ko:K02229	cun:Cul210932_1133
ko:K06042	cun:Cul210932_1134
ko:K13540	cun:Cul210932_1135
ko:K05895	cun:Cul210932_1137
ko:K05936	cun:Cul210932_1138
ko:K00595	cun:Cul210932_1139
ko:K00789	cun:Cul210932_1290
ko:K13038	cun:Cul210932_1291
ko:K03060	cun:Cul210932_1292
ko:K00942	cun:Cul210932_1293
ko:K01591	cun:Cul210932_1295
ko:K01955	cun:Cul210932_1296
ko:K01956	cun:Cul210932_1297
ko:K01465	cun:Cul210932_1298
ko:K00609	cun:Cul210932_1299
ko:K02825	cun:Cul210932_1300
ko:K07071	cun:Cul210932_1301
ko:K03625	cun:Cul210932_1304
ko:K02356	cun:Cul210932_1305
ko:K03786	cun:Cul210932_1307
ko:K01735	cun:Cul210932_1308
ko:K00891	cun:Cul210932_1309
ko:K01736	cun:Cul210932_1310
ko:K02654	cun:Cul210932_1311
ko:K00014	cun:Cul210932_1312
ko:K07082	cun:Cul210932_1313
ko:K07447	cun:Cul210932_1314
ko:K01872	cun:Cul210932_1315
ko:K07478	cun:Cul210932_1316
ko:K01876	cun:Cul210932_1318
ko:K07054	cun:Cul210932_1319
ko:K01421	cun:Cul210932_1321
ko:K00299	cun:Cul210932_1324
ko:K01752	cun:Cul210932_1325
ko:K01892	cun:Cul210932_1327
ko:K11065	cun:Cul210932_1329
ko:K03768	cun:Cul210932_1330
ko:K00951	cun:Cul210932_1332
ko:K00759	cun:Cul210932_1333
ko:K02035	cun:Cul210932_1335
ko:K03074	cun:Cul210932_1336
ko:K00099	cun:Cul210932_1483
ko:K06941	cun:Cul210932_1485
ko:K00981	cun:Cul210932_1487
ko:K02838	cun:Cul210932_1488
ko:K09903	cun:Cul210932_1489
ko:K02357	cun:Cul210932_1490
ko:K02967	cun:Cul210932_1491
ko:K03733	cun:Cul210932_1493
ko:K04096	cun:Cul210932_1494
ko:K07391	cun:Cul210932_1495
ko:K07460	cun:Cul210932_1496
ko:K03147	cun:Cul210932_1497
ko:K00788	cun:Cul210932_1498
ko:K03153	cun:Cul210932_1499
ko:K03154	cun:Cul210932_1500
ko:K03149	cun:Cul210932_1501
ko:K00941	cun:Cul210932_1503
ko:K03470	cun:Cul210932_1505
ko:K03100	cun:Cul210932_1506
ko:K02884	cun:Cul210932_1507
ko:K06959	cun:Cul210932_1508
ko:K02768	cun:Cul210932_1509
ko:K02769	cun:Cul210932_1509
ko:K02770	cun:Cul210932_1509
ko:K00554	cun:Cul210932_1511
ko:K02860	cun:Cul210932_1512
ko:K02959	cun:Cul210932_1514
ko:K03106	cun:Cul210932_1515
ko:K00990	cun:Cul210932_1516
ko:K04751	cun:Cul210932_1517
ko:K03110	cun:Cul210932_1518
ko:K03529	cun:Cul210932_1520
ko:K01512	cun:Cul210932_1521
ko:K03310	cun:Cul210932_1522
ko:K10563	cun:Cul210932_1523
ko:K03685	cun:Cul210932_1524
ko:K07040	cun:Cul210932_1525
ko:K00259	cun:Cul210932_1528
ko:K00262	cun:Cul210932_1529
ko:K00865	cun:Cul210932_1530
ko:K00820	cun:Cul210932_1683
ko:K01129	cun:Cul210932_1687
ko:K01880	cun:Cul210932_1692
ko:K03711	cun:Cul210932_1695
ko:K00806	cun:Cul210932_1697
ko:K03584	cun:Cul210932_1698
ko:K00868	cun:Cul210932_1700
ko:K07042	cun:Cul210932_1702
ko:K09761	cun:Cul210932_1704
ko:K03686	cun:Cul210932_1705
ko:K03705	cun:Cul210932_1706
ko:K01897	cun:Cul210932_1710
ko:K00705	cun:Cul210932_1711
ko:K01284	cun:Cul210932_1714
ko:K01823	cun:Cul210932_1716
ko:K06147	cun:Cul210932_1720
ko:K03311	cun:Cul210932_1721
ko:K07088	cun:Cul210932_1726
ko:K00790	cun:Cul210932_1881
ko:K01738	cun:Cul210932_1884
ko:K00640	cun:Cul210932_1885
ko:K06975	cun:Cul210932_1886
ko:K00005	cun:Cul210932_1889
ko:K00425	cun:Cul210932_1893
ko:K00426	cun:Cul210932_1894
ko:K16013	cun:Cul210932_1895
ko:K16012	cun:Cul210932_1896
ko:K18118	cun:Cul210932_1897
ko:K02039	cun:Cul210932_1899
ko:K02036	cun:Cul210932_1901
ko:K02038	cun:Cul210932_1902
ko:K02037	cun:Cul210932_1903
ko:K02040	cun:Cul210932_1904
ko:K15520	cun:Cul210932_1905
ko:K02619	cun:Cul210932_1909
ko:K06980	cun:Cul210932_1910
ko:K01933	cun:Cul210932_1912
ko:K00764	cun:Cul210932_1913
ko:K03647	cun:Cul210932_1915
ko:K11068	cun:Cul210932_1917
ko:K01952	cun:Cul210932_1918
ko:K01952	cun:Cul210932_1919
ko:K01952	cun:Cul210932_1920
ko:K00432	cun:Cul210932_1923
ko:K01354	cun:Cul210932_1924
ko:K00111	cun:Cul210932_2075
ko:K07284	cun:Cul210932_2079
ko:K07284	cun:Cul210932_2083
ko:K03695	cun:Cul210932_2084
ko:K01990	cun:Cul210932_2085
ko:K01992	cun:Cul210932_2086
ko:K03312	cun:Cul210932_2089
ko:K02004	cun:Cul210932_2097
ko:K02003	cun:Cul210932_2098
ko:K02005	cun:Cul210932_2099
ko:K13953	cun:Cul210932_2102
ko:K00138	cun:Cul210932_2103
ko:K13640	cun:Cul210932_2106
ko:K03686	cun:Cul210932_2107
ko:K03687	cun:Cul210932_2108
ko:K04043	cun:Cul210932_2109
ko:K07284	cun:Cul210932_2112
ko:K02031	cun:Cul210932_2115
ko:K02034	cun:Cul210932_2115
ko:K02033	cun:Cul210932_2116
ko:K02035	cun:Cul210932_2117
ko:K03306	cun:Cul210932_2118
ko:K02013	cun:Cul210932_2123
ko:K02108	cun:Cul210932_0933
ko:K02110	cun:Cul210932_0934
ko:K02109	cun:Cul210932_0935
ko:K02113	cun:Cul210932_0936
ko:K02111	cun:Cul210932_0937
ko:K02115	cun:Cul210932_0938
ko:K02112	cun:Cul210932_0939
ko:K02114	cun:Cul210932_0940
ko:K07503	cun:Cul210932_0942
ko:K05606	cun:Cul210932_0943
ko:K05838	cun:Cul210932_0945
ko:K00700	cun:Cul210932_0946
ko:K16147	cun:Cul210932_0947
ko:K02013	cun:Cul210932_0948
ko:K03521	cun:Cul210932_0951
ko:K03522	cun:Cul210932_0952
ko:K04487	cun:Cul210932_0953
ko:K00566	cun:Cul210932_0955
ko:K02342	cun:Cul210932_0957
ko:K01972	cun:Cul210932_0958
ko:K02435	cun:Cul210932_0960
ko:K02433	cun:Cul210932_0961
ko:K02015	cun:Cul210932_0965
ko:K02013	cun:Cul210932_0966
ko:K02016	cun:Cul210932_0967
ko:K02434	cun:Cul210932_0971
ko:K06895	cun:Cul210932_0973
ko:K05596	cun:Cul210932_0974
ko:K07393	cun:Cul210932_0975
ko:K01687	cun:Cul210932_0978
ko:K01652	cun:Cul210932_0981
ko:K01653	cun:Cul210932_0982
ko:K00053	cun:Cul210932_0983
ko:K16264	cun:Cul210932_0985
ko:K03727	cun:Cul210932_1144
ko:K03118	cun:Cul210932_1145
ko:K03116	cun:Cul210932_1146
ko:K13573	cun:Cul210932_1147
ko:K13571	cun:Cul210932_1149
ko:K13570	cun:Cul210932_1150
ko:K13527	cun:Cul210932_1152
ko:K07442	cun:Cul210932_1153
ko:K01267	cun:Cul210932_1154
ko:K01938	cun:Cul210932_1157
ko:K01744	cun:Cul210932_1158
ko:K07791	cun:Cul210932_1159
ko:K00765	cun:Cul210932_1160
ko:K01523	cun:Cul210932_1161
ko:K00548	cun:Cul210932_1163
ko:K15526	cun:Cul210932_1165
ko:K06153	cun:Cul210932_1166
ko:K00254	cun:Cul210932_1169
ko:K06910	cun:Cul210932_1172
ko:K05881	cun:Cul210932_1173
ko:K05879	cun:Cul210932_1174
ko:K05878	cun:Cul210932_1175
ko:K18230	cun:Cul210932_1177
ko:K07588	cun:Cul210932_1180
ko:K01847	cun:Cul210932_1181
ko:K01847	cun:Cul210932_1182
ko:K01772	cun:Cul210932_1189
ko:K03072	cun:Cul210932_1337
ko:K03210	cun:Cul210932_1338
ko:K03551	cun:Cul210932_1339
ko:K03550	cun:Cul210932_1340
ko:K01159	cun:Cul210932_1341
ko:K10805	cun:Cul210932_1343
ko:K08256	cun:Cul210932_1348
ko:K00995	cun:Cul210932_1350
ko:K01868	cun:Cul210932_1352
ko:K07156	cun:Cul210932_1355
ko:K16647	cun:Cul210932_1370
ko:K07305	cun:Cul210932_1371
ko:K03684	cun:Cul210932_1374
ko:K01662	cun:Cul210932_1375
ko:K01092	cun:Cul210932_1382
ko:K00886	cun:Cul210932_1384
ko:K03086	cun:Cul210932_1385
ko:K00688	cun:Cul210932_1535
ko:K00873	cun:Cul210932_1537
ko:K01609	cun:Cul210932_1539
ko:K01496	cun:Cul210932_1541
ko:K02500	cun:Cul210932_1542
ko:K01092	cun:Cul210932_1543
ko:K01814	cun:Cul210932_1544
ko:K01817	cun:Cul210932_1544
ko:K02501	cun:Cul210932_1545
ko:K01693	cun:Cul210932_1548
ko:K00817	cun:Cul210932_1549
ko:K00013	cun:Cul210932_1550
ko:K02342	cun:Cul210932_1556
ko:K04762	cun:Cul210932_1560
ko:K01754	cun:Cul210932_1563
ko:K05786	cun:Cul210932_1565
ko:K06180	cun:Cul210932_1567
ko:K03101	cun:Cul210932_1568
ko:K01424	cun:Cul210932_1571
ko:K02346	cun:Cul210932_1572
ko:K01870	cun:Cul210932_1573
ko:K02221	cun:Cul210932_1576
ko:K09772	cun:Cul210932_1577
ko:K05810	cun:Cul210932_1578
ko:K03531	cun:Cul210932_1579
ko:K03589	cun:Cul210932_1580
ko:K02035	cun:Cul210932_1727
ko:K02033	cun:Cul210932_1728
ko:K02034	cun:Cul210932_1729
ko:K02031	cun:Cul210932_1730
ko:K02032	cun:Cul210932_1730
ko:K06997	cun:Cul210932_1733
ko:K07112	cun:Cul210932_1734
ko:K02035	cun:Cul210932_1738
ko:K03596	cun:Cul210932_1743
ko:K02968	cun:Cul210932_1745
ko:K05835	cun:Cul210932_1746
ko:K02340	cun:Cul210932_1748
ko:K02238	cun:Cul210932_1749
ko:K02237	cun:Cul210932_1750
ko:K09710	cun:Cul210932_1753
ko:K00969	cun:Cul210932_1754
ko:K00147	cun:Cul210932_1755
ko:K09790	cun:Cul210932_1757
ko:K07085	cun:Cul210932_1758
ko:K00931	cun:Cul210932_1759
ko:K03979	cun:Cul210932_1760
ko:K02899	cun:Cul210932_1762
ko:K02888	cun:Cul210932_1763
ko:K00940	cun:Cul210932_1766
ko:K11754	cun:Cul210932_1769
ko:K01873	cun:Cul210932_1770
ko:K00024	cun:Cul210932_1771
ko:K03544	cun:Cul210932_1773
ko:K13950	cun:Cul210932_1774
ko:K01923	cun:Cul210932_1926
ko:K01756	cun:Cul210932_1927
ko:K03499	cun:Cul210932_1928
ko:K01945	cun:Cul210932_1930
ko:K02484	cun:Cul210932_1933
ko:K08167	cun:Cul210932_1935
ko:K00156	cun:Cul210932_1940
ko:K00697	cun:Cul210932_1953
ko:K01087	cun:Cul210932_1955
ko:K03218	cun:Cul210932_1957
ko:K01883	cun:Cul210932_1958
ko:K01770	cun:Cul210932_1959
ko:K00991	cun:Cul210932_1960
ko:K07736	cun:Cul210932_1961
ko:K04485	cun:Cul210932_1964
ko:K01673	cun:Cul210932_1966
ko:K03575	cun:Cul210932_1967
ko:K03696	cun:Cul210932_1970
ko:K02015	cun:Cul210932_2124
ko:K02016	cun:Cul210932_2125
ko:K03190	cun:Cul210932_2128
ko:K03189	cun:Cul210932_2129
ko:K03188	cun:Cul210932_2130
ko:K03187	cun:Cul210932_2131
ko:K01428	cun:Cul210932_2132
ko:K01429	cun:Cul210932_2133
ko:K01430	cun:Cul210932_2134
ko:K14260	cun:Cul210932_2136
ko:K04567	cun:Cul210932_2138
ko:K00012	cun:Cul210932_2142
ko:K00135	cun:Cul210932_2146
ko:K01207	cun:Cul210932_2148
ko:K16648	cun:Cul210932_2150
ko:K01596	cun:Cul210932_2156
ko:K03439	cun:Cul210932_2157
ko:K06860	cun:Cul210932_2158
ko:K12437	cun:Cul210932_2164
ko:K12428	cun:Cul210932_2165
ko:K13671	cun:Cul210932_2169
ko:K13687	cun:Cul210932_2171
ko:K14136	cun:Cul210932_2172
ko:K07735	cun:Cul210932_2324
ko:K00970	cun:Cul210932_2325
ko:K03980	cun:Cul210932_2329
ko:K03088	cun:Cul210932_2330
ko:K00384	cun:Cul210932_2332
ko:K03671	cun:Cul210932_2333
ko:K01448	cun:Cul210932_2334
ko:K03501	cun:Cul210932_2338
ko:K03217	cun:Cul210932_2340
ko:K03536	cun:Cul210932_2342
ko:K02914	cun:Cul210932_2343
ko:K07560	cun:Cul210932_1391
ko:K03087	cun:Cul210932_1392
ko:K03709	cun:Cul210932_1393
ko:K01784	cun:Cul210932_1394
ko:K04756	cun:Cul210932_1398
ko:K03386	cun:Cul210932_1400
ko:K04761	cun:Cul210932_1402
ko:K03578	cun:Cul210932_1404
ko:K07738	cun:Cul210932_1405
ko:K01356	cun:Cul210932_1407
ko:K03436	cun:Cul210932_1408
ko:K08483	cun:Cul210932_1409
ko:K03436	cun:Cul210932_1410
ko:K00882	cun:Cul210932_1411
ko:K02768	cun:Cul210932_1412
ko:K02769	cun:Cul210932_1412
ko:K02770	cun:Cul210932_1412
ko:K11189	cun:Cul210932_1413
ko:K00299	cun:Cul210932_1415
ko:K03665	cun:Cul210932_1418
ko:K01778	cun:Cul210932_1421
ko:K00791	cun:Cul210932_1422
ko:K06168	cun:Cul210932_1427
ko:K03565	cun:Cul210932_1428
ko:K03523	cun:Cul210932_1431
ko:K16784	cun:Cul210932_1432
ko:K03743	cun:Cul210932_1436
ko:K01924	cun:Cul210932_1581
ko:K02563	cun:Cul210932_1582
ko:K03588	cun:Cul210932_1583
ko:K01925	cun:Cul210932_1584
ko:K01000	cun:Cul210932_1585
ko:K01929	cun:Cul210932_1586
ko:K01928	cun:Cul210932_1587
ko:K03587	cun:Cul210932_1588
ko:K03438	cun:Cul210932_1590
ko:K03925	cun:Cul210932_1591
ko:K00297	cun:Cul210932_1596
ko:K13787	cun:Cul210932_1597
ko:K14337	cun:Cul210932_1598
ko:K01626	cun:Cul210932_1601
ko:K00655	cun:Cul210932_1604
ko:K00845	cun:Cul210932_1605
ko:K13668	cun:Cul210932_1606
ko:K03891	cun:Cul210932_1609
ko:K03890	cun:Cul210932_1610
ko:K03889	cun:Cul210932_1611
ko:K02276	cun:Cul210932_1612
ko:K02275	cun:Cul210932_1614
ko:K01953	cun:Cul210932_1615
ko:K02231	cun:Cul210932_1618
ko:K00768	cun:Cul210932_1619
ko:K02233	cun:Cul210932_1620
ko:K00826	cun:Cul210932_1621
ko:K01255	cun:Cul210932_1622
ko:K00658	cun:Cul210932_1624
ko:K00281	cun:Cul210932_1625
ko:K00605	cun:Cul210932_1626
ko:K01358	cun:Cul210932_1775
ko:K01358	cun:Cul210932_1776
ko:K03545	cun:Cul210932_1777
ko:K06911	cun:Cul210932_1782
ko:K01808	cun:Cul210932_1783
ko:K01256	cun:Cul210932_1785
ko:K06886	cun:Cul210932_1787
ko:K09936	cun:Cul210932_1788
ko:K07107	cun:Cul210932_1790
ko:K09136	cun:Cul210932_1795
ko:K09136	cun:Cul210932_1801
ko:K01992	cun:Cul210932_1802
ko:K01990	cun:Cul210932_1803
ko:K02351	cun:Cul210932_1804
ko:K07245	cun:Cul210932_1804
ko:K06200	cun:Cul210932_1805
ko:K14645	cun:Cul210932_1810
ko:K07124	cun:Cul210932_1812
ko:K13288	cun:Cul210932_1813
ko:K01714	cun:Cul210932_1815
ko:K08281	cun:Cul210932_1819
ko:K03564	cun:Cul210932_1822
ko:K00997	cun:Cul210932_1824
ko:K11533	cun:Cul210932_1825
ko:K04567	cun:Cul210932_1978
ko:K02168	cun:Cul210932_1983
ko:K01918	cun:Cul210932_1985
ko:K00950	cun:Cul210932_1989
ko:K01633	cun:Cul210932_1990
ko:K00796	cun:Cul210932_1991
ko:K01495	cun:Cul210932_1992
ko:K03798	cun:Cul210932_1993
ko:K00760	cun:Cul210932_1994
