ko:K01006	lml:lmo4a_1925
ko:K01951	lml:lmo4a_1098
ko:K03827	lml:lmo4a_1107
ko:K01358	lml:lmo4a_1121
ko:K02304	lml:lmo4a_1124
ko:K04031	lml:lmo4a_1127
ko:K03101	lml:lmo4a_1901
ko:K06901	lml:lmo4a_1902
ko:K03327	lml:lmo4a_1903
ko:K03797	lml:lmo4a_1909
ko:K11068	lml:lmo4a_1922
ko:K09773	lml:lmo4a_1924
ko:K00563	lml:lmo4a_1930
ko:K15738	lml:lmo4a_1933
ko:K01938	lml:lmo4a_1934
ko:K03704	lml:lmo4a_1936
ko:K02954	lml:lmo4a_1939
ko:K03816	lml:lmo4a_1942
ko:K01299	lml:lmo4a_1943
ko:K07444	lml:lmo4a_1944
ko:K05366	lml:lmo4a_1949
ko:K10773	lml:lmo4a_1951
ko:K02358	lml:lmo4a_2717
ko:K02355	lml:lmo4a_2718
ko:K02992	lml:lmo4a_2719
ko:K02950	lml:lmo4a_2720
ko:K01129	lml:lmo4a_2721
ko:K01783	lml:lmo4a_2723
ko:K00615	lml:lmo4a_2724
ko:K01783	lml:lmo4a_2725
ko:K01808	lml:lmo4a_2726
ko:K02774	lml:lmo4a_2730
ko:K02773	lml:lmo4a_2731
ko:K01808	lml:lmo4a_2736
ko:K07667	lml:lmo4a_2740
ko:K07646	lml:lmo4a_2741
ko:K01548	lml:lmo4a_2742
ko:K01547	lml:lmo4a_2743
ko:K01546	lml:lmo4a_2744
ko:K02760	lml:lmo4a_2745
ko:K02761	lml:lmo4a_2746
ko:K02759	lml:lmo4a_2747
ko:K01531	lml:lmo4a_2750
ko:K00943	lml:lmo4a_2756
ko:K05878	lml:lmo4a_2758
ko:K05879	lml:lmo4a_2759
ko:K00691	lml:lmo4a_2182
ko:K15780	lml:lmo4a_0235
ko:K14234	lml:lmo4a_tRNA03
ko:K14234	lml:lmo4a_tRNA37
ko:K05995	lml:lmo4a_0379
ko:K06193	lml:lmo4a_0383
ko:K02761	lml:lmo4a_0386
ko:K02760	lml:lmo4a_0387
ko:K06608	lml:lmo4a_0395
ko:K00140	lml:lmo4a_0396
ko:K03337	lml:lmo4a_0397
ko:K03338	lml:lmo4a_0398
ko:K03336	lml:lmo4a_0399
ko:K03648	lml:lmo4a_0403
ko:K01652	lml:lmo4a_2057
ko:K07718	lml:lmo4a_2062
ko:K03704	lml:lmo4a_2067
ko:K01778	lml:lmo4a_2069
ko:K01870	lml:lmo4a_2070
ko:K04074	lml:lmo4a_2071
ko:K04487	lml:lmo4a_2073
ko:K00278	lml:lmo4a_2074
ko:K00767	lml:lmo4a_2075
ko:K03517	lml:lmo4a_2076
ko:K02221	lml:lmo4a_2078
ko:K09772	lml:lmo4a_2079
ko:K06997	lml:lmo4a_2080
ko:K03531	lml:lmo4a_2081
ko:K03590	lml:lmo4a_2082
ko:K03589	lml:lmo4a_2083
ko:K02563	lml:lmo4a_2084
ko:K01925	lml:lmo4a_2085
ko:K01000	lml:lmo4a_2086
ko:K01928	lml:lmo4a_2087
ko:K03438	lml:lmo4a_2090
ko:K03925	lml:lmo4a_2091
ko:K00077	lml:lmo4a_2095
ko:K02911	lml:lmo4a_2096
ko:K07040	lml:lmo4a_2097
ko:K00954	lml:lmo4a_2101
ko:K03501	lml:lmo4a_2865
ko:K03495	lml:lmo4a_2875
ko:K03650	lml:lmo4a_2876
ko:K08170	lml:lmo4a_2884
ko:K00831	lml:lmo4a_2891
ko:K07078	lml:lmo4a_2895
ko:K00865	lml:lmo4a_2898
ko:K03534	lml:lmo4a_2912
ko:K07726	lml:lmo4a_0751
ko:K15975	lml:lmo4a_0771
ko:K06999	lml:lmo4a_0772
ko:K03665	lml:lmo4a_0774
ko:K03800	lml:lmo4a_0776
ko:K01118	lml:lmo4a_0793
ko:K07150	lml:lmo4a_0800
ko:K07118	lml:lmo4a_0801
ko:K05786	lml:lmo4a_0802
ko:K03978	lml:lmo4a_1614
ko:K01868	lml:lmo4a_1615
ko:K07738	lml:lmo4a_1618
ko:K00859	lml:lmo4a_1619
ko:K00031	lml:lmo4a_1622
ko:K01647	lml:lmo4a_1623
ko:K07113	lml:lmo4a_1625
ko:K00873	lml:lmo4a_1626
ko:K00850	lml:lmo4a_1627
ko:K01962	lml:lmo4a_1628
ko:K01963	lml:lmo4a_1629
ko:K02337	lml:lmo4a_1630
ko:K00259	lml:lmo4a_1635
ko:K00925	lml:lmo4a_1637
ko:K07124	lml:lmo4a_1640
ko:K11065	lml:lmo4a_1644
ko:K04773	lml:lmo4a_1646
ko:K00858	lml:lmo4a_1647
ko:K00611	lml:lmo4a_1648
ko:K00930	lml:lmo4a_1650
ko:K00620	lml:lmo4a_1651
ko:K00145	lml:lmo4a_1652
ko:K03151	lml:lmo4a_1653
ko:K04487	lml:lmo4a_1654
ko:K02986	lml:lmo4a_1657
ko:K01866	lml:lmo4a_1658
ko:K02529	lml:lmo4a_1659
ko:K13853	lml:lmo4a_1660
ko:K07090	lml:lmo4a_2409
ko:K09014	lml:lmo4a_2412
ko:K11717	lml:lmo4a_2414
ko:K09015	lml:lmo4a_2415
ko:K09013	lml:lmo4a_2416
ko:K02073	lml:lmo4a_2418
ko:K02072	lml:lmo4a_2419
ko:K02071	lml:lmo4a_2420
ko:K02437	lml:lmo4a_2426
ko:K05837	lml:lmo4a_2428
ko:K05837	lml:lmo4a_2429
ko:K02013	lml:lmo4a_2430
ko:K02015	lml:lmo4a_2431
ko:K02016	lml:lmo4a_2432
ko:K03664	lml:lmo4a_2451
ko:K12573	lml:lmo4a_2452
ko:K03696	lml:lmo4a_0248
ko:K04485	lml:lmo4a_0249
ko:K00991	lml:lmo4a_0251
ko:K01770	lml:lmo4a_0252
ko:K00640	lml:lmo4a_0254
ko:K01883	lml:lmo4a_0255
ko:K11145	lml:lmo4a_0256
ko:K03218	lml:lmo4a_0257
ko:K06962	lml:lmo4a_0258
ko:K03091	lml:lmo4a_0259
ko:K02913	lml:lmo4a_0260
ko:K03073	lml:lmo4a_0261
ko:K02601	lml:lmo4a_0262
ko:K02867	lml:lmo4a_0264
ko:K02863	lml:lmo4a_0265
ko:K02864	lml:lmo4a_0266
ko:K02935	lml:lmo4a_0267
ko:K00690	lml:lmo4a_0281
ko:K03043	lml:lmo4a_0282
ko:K03046	lml:lmo4a_0283
ko:K15975	lml:lmo4a_0288
ko:K02034	lml:lmo4a_0290
ko:K04029	lml:lmo4a_1128
ko:K02231	lml:lmo4a_1130
ko:K02233	lml:lmo4a_1131
ko:K13919	lml:lmo4a_1137
ko:K13920	lml:lmo4a_1138
ko:K04024	lml:lmo4a_1144
ko:K13922	lml:lmo4a_1148
ko:K02440	lml:lmo4a_1150
ko:K00925	lml:lmo4a_1151
ko:K04019	lml:lmo4a_1157
ko:K03735	lml:lmo4a_1158
ko:K03736	lml:lmo4a_1159
ko:K04026	lml:lmo4a_1160
ko:K04032	lml:lmo4a_1164
ko:K04023	lml:lmo4a_1169
ko:K04030	lml:lmo4a_1170
ko:K02224	lml:lmo4a_1173
ko:K02227	lml:lmo4a_1174
ko:K06042	lml:lmo4a_1175
ko:K02188	lml:lmo4a_1176
ko:K02191	lml:lmo4a_1178
ko:K05936	lml:lmo4a_1179
ko:K01893	lml:lmo4a_1953
ko:K00812	lml:lmo4a_1954
ko:K01579	lml:lmo4a_1957
ko:K01918	lml:lmo4a_1958
ko:K00606	lml:lmo4a_1959
ko:K03524	lml:lmo4a_1961
ko:K01734	lml:lmo4a_1963
ko:K00215	lml:lmo4a_1964
ko:K00656	lml:lmo4a_1974
ko:K07007	lml:lmo4a_1975
ko:K06973	lml:lmo4a_1976
ko:K00800	lml:lmo4a_1980
ko:K00817	lml:lmo4a_1982
ko:K06208	lml:lmo4a_1983
ko:K01735	lml:lmo4a_1984
ko:K01736	lml:lmo4a_1985
ko:K00940	lml:lmo4a_1986
ko:K03183	lml:lmo4a_1988
ko:K01495	lml:lmo4a_1990
ko:K03530	lml:lmo4a_1991
ko:K00057	lml:lmo4a_1993
ko:K03977	lml:lmo4a_1994
ko:K02945	lml:lmo4a_1995
ko:K00945	lml:lmo4a_1996
ko:K03654	lml:lmo4a_1999
ko:K06187	lml:lmo4a_2765
ko:K09747	lml:lmo4a_2766
ko:K02343	lml:lmo4a_2767
ko:K02761	lml:lmo4a_2771
ko:K00426	lml:lmo4a_2780
ko:K00425	lml:lmo4a_2781
ko:K01895	lml:lmo4a_2783
ko:K02768	lml:lmo4a_2796
ko:K02769	lml:lmo4a_2796
ko:K02770	lml:lmo4a_2796
ko:K00865	lml:lmo4a_2799
ko:K12410	lml:lmo4a_2802
ko:K01875	lml:lmo4a_2810
ko:K01126	lml:lmo4a_0632
ko:K07090	lml:lmo4a_0637
ko:K01534	lml:lmo4a_0654
ko:K03284	lml:lmo4a_0661
ko:K01421	lml:lmo4a_0663
ko:K08976	lml:lmo4a_0669
ko:K00868	lml:lmo4a_0677
ko:K09768	lml:lmo4a_1512
ko:K09773	lml:lmo4a_1513
ko:K01879	lml:lmo4a_1514
ko:K01878	lml:lmo4a_1515
ko:K03584	lml:lmo4a_1516
ko:K07042	lml:lmo4a_1521
ko:K07037	lml:lmo4a_1522
ko:K09117	lml:lmo4a_1524
ko:K02970	lml:lmo4a_1525
ko:K09761	lml:lmo4a_1526
ko:K02687	lml:lmo4a_1527
ko:K03686	lml:lmo4a_1528
ko:K04043	lml:lmo4a_1529
ko:K03687	lml:lmo4a_1530
ko:K03705	lml:lmo4a_1531
ko:K03596	lml:lmo4a_1535
ko:K02968	lml:lmo4a_1536
ko:K02340	lml:lmo4a_1537
ko:K02237	lml:lmo4a_1540
ko:K09710	lml:lmo4a_1542
ko:K00969	lml:lmo4a_1544
ko:K07574	lml:lmo4a_1545
ko:K00014	lml:lmo4a_1546
ko:K07015	lml:lmo4a_1548
ko:K03624	lml:lmo4a_1552
ko:K00876	lml:lmo4a_1553
ko:K07082	lml:lmo4a_1555
ko:K07447	lml:lmo4a_1558
ko:K01872	lml:lmo4a_1560
ko:K02003	lml:lmo4a_1561
ko:K07220	lml:lmo4a_2309
ko:K03306	lml:lmo4a_2310
ko:K06901	lml:lmo4a_2315
ko:K05520	lml:lmo4a_2317
ko:K02759	lml:lmo4a_2319
ko:K02250	lml:lmo4a_2330
ko:K02768	lml:lmo4a_2332
ko:K02769	lml:lmo4a_2332
ko:K02770	lml:lmo4a_2332
ko:K00299	lml:lmo4a_2348
ko:K01421	lml:lmo4a_2357
ko:K07282	lml:lmo4a_0524
ko:K15342	lml:lmo4a_0531
ko:K08987	lml:lmo4a_0533
ko:K07166	lml:lmo4a_0548
ko:K09157	lml:lmo4a_0549
ko:K02083	lml:lmo4a_0552
ko:K02016	lml:lmo4a_0556
ko:K02781	lml:lmo4a_0557
ko:K08325	lml:lmo4a_0569
ko:K03305	lml:lmo4a_0570
ko:K02356	lml:lmo4a_1412
ko:K02160	lml:lmo4a_1413
ko:K01961	lml:lmo4a_1414
ko:K03625	lml:lmo4a_1416
ko:K01491	lml:lmo4a_1417
ko:K03601	lml:lmo4a_1418
ko:K03602	lml:lmo4a_1419
ko:K13789	lml:lmo4a_1420
ko:K03704	lml:lmo4a_1421
ko:K01662	lml:lmo4a_1422
ko:K06442	lml:lmo4a_1423
ko:K03402	lml:lmo4a_1424
ko:K03631	lml:lmo4a_1425
ko:K00382	lml:lmo4a_1428
ko:K00166	lml:lmo4a_1429
ko:K00167	lml:lmo4a_1430
ko:K09699	lml:lmo4a_1431
ko:K03217	lml:lmo4a_1436
ko:K01512	lml:lmo4a_1438
ko:K07146	lml:lmo4a_1441
ko:K03466	lml:lmo4a_1443
ko:K00286	lml:lmo4a_1444
ko:K07335	lml:lmo4a_1445
ko:K02057	lml:lmo4a_1447
ko:K02057	lml:lmo4a_1448
ko:K00995	lml:lmo4a_1453
ko:K03823	lml:lmo4a_1457
ko:K09769	lml:lmo4a_1458
ko:K03710	lml:lmo4a_2205
ko:K03671	lml:lmo4a_2213
ko:K08177	lml:lmo4a_2231
ko:K08600	lml:lmo4a_2242
ko:K02013	lml:lmo4a_2243
ko:K02015	lml:lmo4a_2244
ko:K02016	lml:lmo4a_2245
ko:K08602	lml:lmo4a_2249
ko:K15581	lml:lmo4a_2256
ko:K02828	lml:lmo4a_0015
ko:K02829	lml:lmo4a_0016
ko:K01223	lml:lmo4a_0017
ko:K02529	lml:lmo4a_0030
ko:K02761	lml:lmo4a_0033
ko:K03975	lml:lmo4a_0035
ko:K02990	lml:lmo4a_0037
ko:K02963	lml:lmo4a_0039
ko:K07813	lml:lmo4a_0041
ko:K07707	lml:lmo4a_0044
ko:K02939	lml:lmo4a_0046
ko:K01939	lml:lmo4a_0049
ko:K03466	lml:lmo4a_0055
ko:K10778	lml:lmo4a_0061
ko:K02761	lml:lmo4a_0918
ko:K02760	lml:lmo4a_0930
ko:K02761	lml:lmo4a_0931
ko:K02759	lml:lmo4a_0932
ko:K01223	lml:lmo4a_0933
ko:K07089	lml:lmo4a_0936
ko:K03652	lml:lmo4a_0943
ko:K03800	lml:lmo4a_0946
ko:K03216	lml:lmo4a_0950
ko:K04079	lml:lmo4a_0957
ko:K04047	lml:lmo4a_0958
ko:K03449	lml:lmo4a_0962
ko:K03790	lml:lmo4a_1755
ko:K07058	lml:lmo4a_1764
ko:K01265	lml:lmo4a_1767
ko:K03839	lml:lmo4a_1768
ko:K03569	lml:lmo4a_1771
ko:K02759	lml:lmo4a_1777
ko:K02760	lml:lmo4a_1778
ko:K02529	lml:lmo4a_1782
ko:K05349	lml:lmo4a_1784
ko:K00266	lml:lmo4a_1788
ko:K08317	lml:lmo4a_1792
ko:K02029	lml:lmo4a_1795
ko:K01486	lml:lmo4a_1797
ko:K02003	lml:lmo4a_1802
ko:K00891	lml:lmo4a_1804
ko:K13678	lml:lmo4a_2555
ko:K01937	lml:lmo4a_2560
ko:K01887	lml:lmo4a_2562
ko:K01821	lml:lmo4a_2565
ko:K06885	lml:lmo4a_2566
ko:K08281	lml:lmo4a_2573
ko:K02003	lml:lmo4a_2583
ko:K02379	lml:lmo4a_2587
ko:K00123	lml:lmo4a_2589
ko:K01448	lml:lmo4a_2600
ko:K00286	lml:lmo4a_0409
ko:K03306	lml:lmo4a_0418
ko:K07238	lml:lmo4a_0425
ko:K03088	lml:lmo4a_0433
ko:K02818	lml:lmo4a_1311
ko:K02819	lml:lmo4a_1311
ko:K00147	lml:lmo4a_1315
ko:K00931	lml:lmo4a_1316
ko:K03545	lml:lmo4a_1321
ko:K03544	lml:lmo4a_1322
ko:K03100	lml:lmo4a_1323
ko:K03100	lml:lmo4a_1324
ko:K03100	lml:lmo4a_1325
ko:K14540	lml:lmo4a_1326
ko:K03470	lml:lmo4a_1327
ko:K04096	lml:lmo4a_1328
ko:K03168	lml:lmo4a_1329
ko:K04094	lml:lmo4a_1330
ko:K03733	lml:lmo4a_1331
ko:K01419	lml:lmo4a_1332
ko:K03667	lml:lmo4a_1333
ko:K03706	lml:lmo4a_1334
ko:K07107	lml:lmo4a_1335
ko:K08591	lml:lmo4a_1338
ko:K02622	lml:lmo4a_1340
ko:K02621	lml:lmo4a_1341
ko:K07173	lml:lmo4a_1342
ko:K01126	lml:lmo4a_1348
ko:K00111	lml:lmo4a_1349
ko:K00791	lml:lmo4a_1350
ko:K03666	lml:lmo4a_1351
ko:K02259	lml:lmo4a_2107
ko:K14166	lml:lmo4a_2111
ko:K03282	lml:lmo4a_2113
ko:K01442	lml:lmo4a_2118
ko:K04077	lml:lmo4a_2119
ko:K04078	lml:lmo4a_2120
ko:K01926	lml:lmo4a_2123
ko:K06158	lml:lmo4a_2124
ko:K03789	lml:lmo4a_2127
ko:K06925	lml:lmo4a_2129
ko:K06199	lml:lmo4a_2132
ko:K06199	lml:lmo4a_2133
ko:K01940	lml:lmo4a_2148
ko:K01755	lml:lmo4a_2149
ko:K01628	lml:lmo4a_2152
ko:K02774	lml:lmo4a_2155
ko:K02773	lml:lmo4a_2156
ko:K00848	lml:lmo4a_2915
ko:K03217	lml:lmo4a_2920
ko:K03536	lml:lmo4a_2921
ko:K02914	lml:lmo4a_2922
ko:K07124	lml:lmo4a_0822
ko:K00847	lml:lmo4a_0826
ko:K03324	lml:lmo4a_0838
ko:K03737	lml:lmo4a_0839
ko:K04041	lml:lmo4a_0840
ko:K07088	lml:lmo4a_0841
ko:K13256	lml:lmo4a_0847
ko:K01924	lml:lmo4a_1665
ko:K03466	lml:lmo4a_1666
ko:K06878	lml:lmo4a_1667
ko:K03439	lml:lmo4a_1675
ko:K00824	lml:lmo4a_1679
ko:K01695	lml:lmo4a_1687
ko:K01696	lml:lmo4a_1688
ko:K01817	lml:lmo4a_1689
ko:K01609	lml:lmo4a_1690
ko:K00766	lml:lmo4a_1691
ko:K01657	lml:lmo4a_1693
ko:K04072	lml:lmo4a_1694
ko:K01246	lml:lmo4a_1699
ko:K01681	lml:lmo4a_1701
ko:K03547	lml:lmo4a_1706
ko:K00655	lml:lmo4a_1707
ko:K02357	lml:lmo4a_1715
ko:K03928	lml:lmo4a_2453
ko:K03075	lml:lmo4a_2454
ko:K01689	lml:lmo4a_2458
ko:K15633	lml:lmo4a_2459
ko:K01803	lml:lmo4a_2460
ko:K00927	lml:lmo4a_2461
ko:K00134	lml:lmo4a_2462
ko:K05311	lml:lmo4a_2463
ko:K03092	lml:lmo4a_2464
ko:K01273	lml:lmo4a_2465
ko:K01358	lml:lmo4a_2471
ko:K06958	lml:lmo4a_2476
ko:K00384	lml:lmo4a_2480
ko:K06019	lml:lmo4a_2483
ko:K13292	lml:lmo4a_2484
ko:K08972	lml:lmo4a_2486
ko:K03701	lml:lmo4a_2490
ko:K03702	lml:lmo4a_2491
ko:K07023	lml:lmo4a_2493
ko:K02039	lml:lmo4a_2496
ko:K02036	lml:lmo4a_2497
ko:K02036	lml:lmo4a_2498
ko:K02038	lml:lmo4a_2499
ko:K02037	lml:lmo4a_2500
ko:K02040	lml:lmo4a_2501
ko:K07636	lml:lmo4a_2502
ko:K02072	lml:lmo4a_0308
ko:K02071	lml:lmo4a_0309
ko:K02073	lml:lmo4a_0310
ko:K00783	lml:lmo4a_0318
ko:K02761	lml:lmo4a_0321
ko:K02760	lml:lmo4a_0322
ko:K02759	lml:lmo4a_0324
ko:K03707	lml:lmo4a_0335
ko:K00878	lml:lmo4a_0336
ko:K00941	lml:lmo4a_0337
ko:K00788	lml:lmo4a_0338
ko:K01223	lml:lmo4a_0339
ko:K02189	lml:lmo4a_1180
ko:K05895	lml:lmo4a_1182
ko:K13542	lml:lmo4a_1183
ko:K03394	lml:lmo4a_1185
ko:K02007	lml:lmo4a_1186
ko:K02232	lml:lmo4a_1190
ko:K09936	lml:lmo4a_1192
ko:K09936	lml:lmo4a_1193
ko:K03437	lml:lmo4a_1198
ko:K01889	lml:lmo4a_1201
ko:K01890	lml:lmo4a_1202
ko:K02003	lml:lmo4a_1203
ko:K03648	lml:lmo4a_1207
ko:K09888	lml:lmo4a_1209
ko:K02347	lml:lmo4a_1211
ko:K07456	lml:lmo4a_1212
ko:K03671	lml:lmo4a_1213
ko:K03703	lml:lmo4a_1214
ko:K00928	lml:lmo4a_1215
ko:K01776	lml:lmo4a_1217
ko:K00989	lml:lmo4a_1218
ko:K07095	lml:lmo4a_1220
ko:K07651	lml:lmo4a_2004
ko:K07775	lml:lmo4a_2005
ko:K06178	lml:lmo4a_2006
ko:K06024	lml:lmo4a_2007
ko:K05896	lml:lmo4a_2008
ko:K01586	lml:lmo4a_2009
ko:K01839	lml:lmo4a_2011
ko:K02015	lml:lmo4a_2014
ko:K02015	lml:lmo4a_2015
ko:K02016	lml:lmo4a_2016
ko:K02013	lml:lmo4a_2017
ko:K02346	lml:lmo4a_2026
ko:K07124	lml:lmo4a_2027
ko:K00036	lml:lmo4a_2029
ko:K01687	lml:lmo4a_2034
ko:K01652	lml:lmo4a_2035
ko:K01653	lml:lmo4a_2036
ko:K00053	lml:lmo4a_2037
ko:K01649	lml:lmo4a_2038
ko:K00052	lml:lmo4a_2039
ko:K01703	lml:lmo4a_2040
ko:K01704	lml:lmo4a_2041
ko:K01754	lml:lmo4a_2042
ko:K01575	lml:lmo4a_2043
ko:K00756	lml:lmo4a_2044
ko:K02529	lml:lmo4a_2045
ko:K05346	lml:lmo4a_2047
ko:K06978	lml:lmo4a_2821
ko:K03654	lml:lmo4a_2823
ko:K02760	lml:lmo4a_2828
ko:K02761	lml:lmo4a_2829
ko:K02759	lml:lmo4a_2831
ko:K01919	lml:lmo4a_2836
ko:K02003	lml:lmo4a_2837
ko:K06942	lml:lmo4a_2845
ko:K02759	lml:lmo4a_2846
ko:K05349	lml:lmo4a_2847
ko:K02760	lml:lmo4a_2848
ko:K02761	lml:lmo4a_2849
ko:K03781	lml:lmo4a_2851
ko:K02419	lml:lmo4a_0692
ko:K02420	lml:lmo4a_0693
ko:K02421	lml:lmo4a_0694
ko:K02401	lml:lmo4a_0695
ko:K02400	lml:lmo4a_0696
ko:K02404	lml:lmo4a_0697
ko:K02392	lml:lmo4a_0698
ko:K02556	lml:lmo4a_0701
ko:K02557	lml:lmo4a_0702
ko:K03415	lml:lmo4a_0705
ko:K02406	lml:lmo4a_0706
ko:K03413	lml:lmo4a_0707
ko:K03407	lml:lmo4a_0708
ko:K02417	lml:lmo4a_0709
ko:K02389	lml:lmo4a_0712
ko:K02390	lml:lmo4a_0713
ko:K02417	lml:lmo4a_0714
ko:K02416	lml:lmo4a_0715
ko:K02417	lml:lmo4a_0716
ko:K09770	lml:lmo4a_0719
ko:K02396	lml:lmo4a_0721
ko:K02397	lml:lmo4a_0722
ko:K02407	lml:lmo4a_0723
ko:K02422	lml:lmo4a_0724
ko:K02387	lml:lmo4a_0726
ko:K02388	lml:lmo4a_0727
ko:K02408	lml:lmo4a_0728
ko:K02409	lml:lmo4a_0729
ko:K02410	lml:lmo4a_0730
ko:K02411	lml:lmo4a_0731
ko:K02412	lml:lmo4a_0732
ko:K00820	lml:lmo4a_0743
ko:K03581	lml:lmo4a_1565
ko:K00566	lml:lmo4a_1568
ko:K04487	lml:lmo4a_1569
ko:K07478	lml:lmo4a_1570
ko:K03320	lml:lmo4a_1572
ko:K04751	lml:lmo4a_1573
ko:K01876	lml:lmo4a_1575
ko:K01892	lml:lmo4a_1576
ko:K01448	lml:lmo4a_1577
ko:K07560	lml:lmo4a_1578
ko:K00759	lml:lmo4a_1580
ko:K07462	lml:lmo4a_1581
ko:K12257	lml:lmo4a_1583
ko:K03210	lml:lmo4a_1585
ko:K00773	lml:lmo4a_1586
ko:K07568	lml:lmo4a_1587
ko:K03551	lml:lmo4a_1588
ko:K03550	lml:lmo4a_1589
ko:K03979	lml:lmo4a_1593
ko:K00864	lml:lmo4a_1594
