ko:K20265	bni:BANAN_02305
ko:K03588	bni:BANAN_05855
ko:K01925	bni:BANAN_05860
ko:K01000	bni:BANAN_05865
ko:K01929	bni:BANAN_05870
ko:K03587	bni:BANAN_05880
ko:K03438	bni:BANAN_05890
ko:K03925	bni:BANAN_05895
ko:K07738	bni:BANAN_05910
ko:K01356	bni:BANAN_05920
ko:K03665	bni:BANAN_05935
ko:K03578	bni:BANAN_05945
ko:K01915	bni:BANAN_05950
ko:K02501	bni:BANAN_05965
ko:K01693	bni:BANAN_05975
ko:K00817	bni:BANAN_05980
ko:K00013	bni:BANAN_05985
ko:K02337	bni:BANAN_05990
ko:K06180	bni:BANAN_06000
ko:K03101	bni:BANAN_06005
ko:K02221	bni:BANAN_06015
ko:K09772	bni:BANAN_06020
ko:K03531	bni:BANAN_06025
ko:K08303	bni:BANAN_01715
ko:K01304	bni:BANAN_01730
ko:K01626	bni:BANAN_01745
ko:K01626	bni:BANAN_01755
ko:K02040	bni:BANAN_01775
ko:K02037	bni:BANAN_01780
ko:K02038	bni:BANAN_01785
ko:K02036	bni:BANAN_01790
ko:K02040	bni:BANAN_01795
ko:K02036	bni:BANAN_01810
ko:K06901	bni:BANAN_01815
ko:K02864	bni:BANAN_01860
ko:K02935	bni:BANAN_01865
ko:K03790	bni:BANAN_01900
ko:K04078	bni:BANAN_01910
ko:K02913	bni:BANAN_01915
ko:K00075	bni:BANAN_01920
ko:K02346	bni:BANAN_01940
ko:K01880	bni:BANAN_06035
ko:K00878	bni:BANAN_06040
ko:K14153	bni:BANAN_06045
ko:K02529	bni:BANAN_06055
ko:K02532	bni:BANAN_06060
ko:K01193	bni:BANAN_06065
ko:K00806	bni:BANAN_06100
ko:K03584	bni:BANAN_06105
ko:K00099	bni:BANAN_06120
ko:K03657	bni:BANAN_06150
ko:K07053	bni:BANAN_06165
ko:K01778	bni:BANAN_06175
ko:K01776	bni:BANAN_06180
ko:K02029	bni:BANAN_06210
ko:K02072	bni:BANAN_06220
ko:K02071	bni:BANAN_06225
ko:K02073	bni:BANAN_06230
ko:K00077	bni:BANAN_06235
ko:K10907	bni:BANAN_04180
ko:K14260	bni:BANAN_04190
ko:K03075	bni:BANAN_04200
ko:K01803	bni:BANAN_04205
ko:K00927	bni:BANAN_04210
ko:K06958	bni:BANAN_04220
ko:K00014	bni:BANAN_04225
ko:K03703	bni:BANAN_04230
ko:K03701	bni:BANAN_04235
ko:K06999	bni:BANAN_04250
ko:K01442	bni:BANAN_04270
ko:K00384	bni:BANAN_04285
ko:K01338	bni:BANAN_04355
ko:K00762	bni:BANAN_04365
ko:K01591	bni:BANAN_04380
ko:K01465	bni:BANAN_04385
ko:K00610	bni:BANAN_04390
ko:K00609	bni:BANAN_04395
ko:K00982	bni:BANAN_04405
ko:K00297	bni:BANAN_04410
ko:K00549	bni:BANAN_04415
ko:K08296	bni:BANAN_04420
ko:K02013	bni:BANAN_04430
ko:K03564	bni:BANAN_04440
ko:K00705	bni:BANAN_01960
ko:K02871	bni:BANAN_01965
ko:K02996	bni:BANAN_01970
ko:K04072	bni:BANAN_01985
ko:K02946	bni:BANAN_01995
ko:K02906	bni:BANAN_02000
ko:K02926	bni:BANAN_02005
ko:K02892	bni:BANAN_02010
ko:K02886	bni:BANAN_02015
ko:K02965	bni:BANAN_02020
ko:K02890	bni:BANAN_02025
ko:K02982	bni:BANAN_02030
ko:K02878	bni:BANAN_02035
ko:K02904	bni:BANAN_02040
ko:K02961	bni:BANAN_02045
ko:K02874	bni:BANAN_02050
ko:K02895	bni:BANAN_02055
ko:K02931	bni:BANAN_02060
ko:K02954	bni:BANAN_02065
ko:K02994	bni:BANAN_02070
ko:K02933	bni:BANAN_02075
ko:K02881	bni:BANAN_02080
ko:K02988	bni:BANAN_02085
ko:K02907	bni:BANAN_02090
ko:K02876	bni:BANAN_02095
ko:K03076	bni:BANAN_02100
ko:K02518	bni:BANAN_02110
ko:K02919	bni:BANAN_02115
ko:K02952	bni:BANAN_02120
ko:K02948	bni:BANAN_02125
ko:K03040	bni:BANAN_02130
ko:K02879	bni:BANAN_02135
ko:K06173	bni:BANAN_02145
ko:K02600	bni:BANAN_02155
ko:K02519	bni:BANAN_02160
ko:K02834	bni:BANAN_02165
ko:K11753	bni:BANAN_02175
ko:K04485	bni:BANAN_02180
ko:K01807	bni:BANAN_02190
ko:K01875	bni:BANAN_02200
ko:K03969	bni:BANAN_06320
ko:K01870	bni:BANAN_06330
ko:K01919	bni:BANAN_06390
ko:K03601	bni:BANAN_06420
ko:K03602	bni:BANAN_06425
ko:K07458	bni:BANAN_06445
ko:K01462	bni:BANAN_06460
ko:K03431	bni:BANAN_06465
ko:K01256	bni:BANAN_06470
ko:K01714	bni:BANAN_06480
ko:K00215	bni:BANAN_06485
ko:K03657	bni:BANAN_06500
ko:K03924	bni:BANAN_06520
ko:K04567	bni:BANAN_02270
ko:K02548	bni:BANAN_02320
ko:K01809	bni:BANAN_02340
ko:K02039	bni:BANAN_02355
ko:K00831	bni:BANAN_02360
ko:K03439	bni:BANAN_02405
ko:K02529	bni:BANAN_02480
ko:K03046	bni:BANAN_06545
ko:K03043	bni:BANAN_06550
ko:K03575	bni:BANAN_06560
ko:K03216	bni:BANAN_06565
ko:K09157	bni:BANAN_06570
ko:K07166	bni:BANAN_06575
ko:K00849	bni:BANAN_06585
ko:K00965	bni:BANAN_06590
ko:K03800	bni:BANAN_06630
ko:K00052	bni:BANAN_06645
ko:K01354	bni:BANAN_06650
ko:K02437	bni:BANAN_06660
ko:K03426	bni:BANAN_06665
ko:K00973	bni:BANAN_06700
ko:K12990	bni:BANAN_06740
ko:K00012	bni:BANAN_06760
ko:K03322	bni:BANAN_06780
ko:K06215	bni:BANAN_06790
ko:K08681	bni:BANAN_06795
ko:K06287	bni:BANAN_06810
ko:K02313	bni:BANAN_00005
ko:K02338	bni:BANAN_00010
ko:K03629	bni:BANAN_00015
ko:K02470	bni:BANAN_00025
ko:K02469	bni:BANAN_00030
ko:K11068	bni:BANAN_00045
ko:K00262	bni:BANAN_00050
ko:K03282	bni:BANAN_00075
ko:K07043	bni:BANAN_00085
ko:K03655	bni:BANAN_00095
ko:K03701	bni:BANAN_00105
ko:K09384	bni:BANAN_00220
ko:K06950	bni:BANAN_00250
ko:K04047	bni:BANAN_00275
ko:K01673	bni:BANAN_00285
ko:K00266	bni:BANAN_04450
ko:K03596	bni:BANAN_04465
ko:K02968	bni:BANAN_04470
ko:K00826	bni:BANAN_04480
ko:K02897	bni:BANAN_04485
ko:K00325	bni:BANAN_04495
ko:K00324	bni:BANAN_04500
ko:K00324	bni:BANAN_04505
ko:K07042	bni:BANAN_04535
ko:K02503	bni:BANAN_04545
ko:K07259	bni:BANAN_02530
ko:K04075	bni:BANAN_02535
ko:K00760	bni:BANAN_02540
ko:K03798	bni:BANAN_02545
ko:K13940	bni:BANAN_02550
ko:K10805	bni:BANAN_02560
ko:K01462	bni:BANAN_02570
ko:K01740	bni:BANAN_02575
ko:K02909	bni:BANAN_02595
ko:K01805	bni:BANAN_02600
ko:K02529	bni:BANAN_02610
ko:K01198	bni:BANAN_02630
ko:K05970	bni:BANAN_02635
ko:K02835	bni:BANAN_02665
ko:K02493	bni:BANAN_02670
ko:K13288	bni:BANAN_02690
ko:K01881	bni:BANAN_02710
ko:K01265	bni:BANAN_02730
ko:K01647	bni:BANAN_02735
ko:K00783	bni:BANAN_02740
ko:K02836	bni:BANAN_02750
ko:K09812	bni:BANAN_02755
ko:K09811	bni:BANAN_02760
ko:K03664	bni:BANAN_02770
ko:K02029	bni:BANAN_02785
ko:K15342	bni:BANAN_06850
ko:K00872	bni:BANAN_06885
ko:K00003	bni:BANAN_06890
ko:K01586	bni:BANAN_06895
ko:K01887	bni:BANAN_06900
ko:K01201	bni:BANAN_06905
ko:K05838	bni:BANAN_06930
ko:K02114	bni:BANAN_06955
ko:K02112	bni:BANAN_06960
ko:K02115	bni:BANAN_06965
ko:K02111	bni:BANAN_06970
ko:K02113	bni:BANAN_06975
ko:K02109	bni:BANAN_06980
ko:K02110	bni:BANAN_06985
ko:K02108	bni:BANAN_06990
ko:K00651	bni:BANAN_06995
ko:K07088	bni:BANAN_07020
ko:K10773	bni:BANAN_07065
ko:K01873	bni:BANAN_07080
ko:K04092	bni:BANAN_07090
ko:K09761	bni:BANAN_04550
ko:K00975	bni:BANAN_04560
ko:K11717	bni:BANAN_04575
ko:K09013	bni:BANAN_04580
ko:K09015	bni:BANAN_04585
ko:K09014	bni:BANAN_04590
ko:K01937	bni:BANAN_04605
ko:K03786	bni:BANAN_04625
ko:K13829	bni:BANAN_04630
ko:K01736	bni:BANAN_04635
ko:K02654	bni:BANAN_04640
ko:K07082	bni:BANAN_04645
ko:K07447	bni:BANAN_04650
ko:K01872	bni:BANAN_04655
ko:K08972	bni:BANAN_04675
ko:K02986	bni:BANAN_04680
ko:K03657	bni:BANAN_04685
ko:K03816	bni:BANAN_04690
ko:K14155	bni:BANAN_04710
ko:K00820	bni:BANAN_02810
ko:K03525	bni:BANAN_02825
ko:K02034	bni:BANAN_02840
ko:K01697	bni:BANAN_02860
ko:K03654	bni:BANAN_02865
ko:K07341	bni:BANAN_02935
ko:K08317	bni:BANAN_02950
ko:K07173	bni:BANAN_02955
ko:K01775	bni:BANAN_02965
ko:K01662	bni:BANAN_02985
ko:K01588	bni:BANAN_02990
ko:K01589	bni:BANAN_02995
ko:K01945	bni:BANAN_03015
ko:K01933	bni:BANAN_03020
ko:K00764	bni:BANAN_03025
ko:K01952	bni:BANAN_03050
ko:K01923	bni:BANAN_03055
ko:K08289	bni:BANAN_03060
ko:K01620	bni:BANAN_03070
ko:K03628	bni:BANAN_07100
ko:K02434	bni:BANAN_07120
ko:K02435	bni:BANAN_07130
ko:K03695	bni:BANAN_07165
ko:K06997	bni:BANAN_07195
ko:K02440	bni:BANAN_07205
ko:K02939	bni:BANAN_07230
ko:K02963	bni:BANAN_07235
ko:K02990	bni:BANAN_07245
ko:K00948	bni:BANAN_07250
ko:K02529	bni:BANAN_07270
ko:K10547	bni:BANAN_00305
ko:K10548	bni:BANAN_00310
ko:K10546	bni:BANAN_00315
ko:K01804	bni:BANAN_00355
ko:K01595	bni:BANAN_00365
ko:K01867	bni:BANAN_00375
ko:K00688	bni:BANAN_00395
ko:K00563	bni:BANAN_00490
ko:K00528	bni:BANAN_00510
ko:K00773	bni:BANAN_00530
ko:K03799	bni:BANAN_00535
ko:K07010	bni:BANAN_04730
ko:K01951	bni:BANAN_04795
ko:K13788	bni:BANAN_04805
ko:K00925	bni:BANAN_04810
ko:K00800	bni:BANAN_04815
ko:K00873	bni:BANAN_04855
ko:K03702	bni:BANAN_04865
ko:K00859	bni:BANAN_04870
ko:K02945	bni:BANAN_04875
ko:K01491	bni:BANAN_04880
ko:K01770	bni:BANAN_04900
ko:K07736	bni:BANAN_04905
ko:K03466	bni:BANAN_04960
ko:K11068	bni:BANAN_04975
ko:K03624	bni:BANAN_04980
ko:K02950	bni:BANAN_03080
ko:K02992	bni:BANAN_03085
ko:K02355	bni:BANAN_03090
ko:K02358	bni:BANAN_03095
ko:K02356	bni:BANAN_03110
ko:K03625	bni:BANAN_03115
ko:K01956	bni:BANAN_03120
ko:K01955	bni:BANAN_03125
ko:K01591	bni:BANAN_03130
ko:K00942	bni:BANAN_03135
ko:K01687	bni:BANAN_03140
ko:K03060	bni:BANAN_03145
ko:K00789	bni:BANAN_03150
ko:K00574	bni:BANAN_03155
ko:K04066	bni:BANAN_03160
ko:K00604	bni:BANAN_03165
ko:K01079	bni:BANAN_03170
ko:K03530	bni:BANAN_03205
ko:K01756	bni:BANAN_03215
ko:K03924	bni:BANAN_03255
ko:K03648	bni:BANAN_03260
ko:K03704	bni:BANAN_03270
ko:K04077	bni:BANAN_03275
ko:K03704	bni:BANAN_03300
ko:K03696	bni:BANAN_03320
ko:K01876	bni:BANAN_03325
ko:K01892	bni:BANAN_03330
ko:K10008	bni:BANAN_03345
ko:K10005	bni:BANAN_03350
ko:K10006	bni:BANAN_03355
ko:K06950	bni:BANAN_07370
ko:K03549	bni:BANAN_07380
ko:K03424	bni:BANAN_07385
ko:K07407	bni:BANAN_07390
ko:K01874	bni:BANAN_07420
ko:K07056	bni:BANAN_07435
ko:K03975	bni:BANAN_07450
ko:K05349	bni:BANAN_07460
ko:K03686	bni:BANAN_07490
ko:K03687	bni:BANAN_07495
ko:K04043	bni:BANAN_07500
ko:K05343	bni:BANAN_07545
ko:K00705	bni:BANAN_07550
ko:K01950	bni:BANAN_07610
ko:K01624	bni:BANAN_00645
ko:K01939	bni:BANAN_00650
ko:K06199	bni:BANAN_00655
ko:K06199	bni:BANAN_00660
ko:K01997	bni:BANAN_00665
ko:K01998	bni:BANAN_00670
ko:K01995	bni:BANAN_00675
ko:K01996	bni:BANAN_00680
ko:K01999	bni:BANAN_00685
ko:K03484	bni:BANAN_00690
ko:K00690	bni:BANAN_00695
ko:K00053	bni:BANAN_00740
ko:K05970	bni:BANAN_00750
ko:K02068	bni:BANAN_00790
ko:K02069	bni:BANAN_00795
ko:K02003	bni:BANAN_00810
ko:K01752	bni:BANAN_04990
ko:K01524	bni:BANAN_05000
ko:K01689	bni:BANAN_05015
ko:K15553	bni:BANAN_05025
ko:K03723	bni:BANAN_05035
ko:K01056	bni:BANAN_05040
ko:K03823	bni:BANAN_05045
ko:K01207	bni:BANAN_05055
ko:K06200	bni:BANAN_05065
ko:K01744	bni:BANAN_05090
ko:K04758	bni:BANAN_05095
ko:K04759	bni:BANAN_05100
ko:K00036	bni:BANAN_05110
ko:K01057	bni:BANAN_05120
ko:K05995	bni:BANAN_05130
ko:K03311	bni:BANAN_05135
ko:K12267	bni:BANAN_05140
ko:K07124	bni:BANAN_05150
ko:K06942	bni:BANAN_05185
ko:K00286	bni:BANAN_05190
ko:K02003	bni:BANAN_05215
ko:K01740	bni:BANAN_05235
ko:K00868	bni:BANAN_05240
ko:K07460	bni:BANAN_05245
ko:K07391	bni:BANAN_05250
ko:K01421	bni:BANAN_00890
ko:K01421	bni:BANAN_00895
ko:K08659	bni:BANAN_00990
ko:K03110	bni:BANAN_01000
ko:K03320	bni:BANAN_01005
ko:K04751	bni:BANAN_01010
ko:K00990	bni:BANAN_01015
ko:K03688	bni:BANAN_01040
ko:K00761	bni:BANAN_01050
ko:K00937	bni:BANAN_01065
ko:K02283	bni:BANAN_01075
ko:K12510	bni:BANAN_01080
ko:K02343	bni:BANAN_01105
ko:K06187	bni:BANAN_01110
ko:K00928	bni:BANAN_01115
ko:K00928	bni:BANAN_01120
ko:K00133	bni:BANAN_01125
ko:K01649	bni:BANAN_01135
ko:K04096	bni:BANAN_05255
ko:K00239	bni:BANAN_05260
ko:K00240	bni:BANAN_05265
ko:K06966	bni:BANAN_05275
ko:K03313	bni:BANAN_05280
ko:K14155	bni:BANAN_05285
ko:K03544	bni:BANAN_05290
ko:K01358	bni:BANAN_05295
ko:K01358	bni:BANAN_05300
ko:K03545	bni:BANAN_05310
ko:K03684	bni:BANAN_05315
ko:K04069	bni:BANAN_05320
ko:K00656	bni:BANAN_05325
ko:K01950	bni:BANAN_05335
ko:K02072	bni:BANAN_05345
ko:K02071	bni:BANAN_05350
ko:K02073	bni:BANAN_05355
ko:K02469	bni:BANAN_05395
ko:K03724	bni:BANAN_05405
ko:K02470	bni:BANAN_05425
ko:K03086	bni:BANAN_05430
ko:K00655	bni:BANAN_05450
ko:K00766	bni:BANAN_05460
ko:K03070	bni:BANAN_05465
ko:K03565	bni:BANAN_05480
ko:K00995	bni:BANAN_05505
ko:K10007	bni:BANAN_03360
ko:K07478	bni:BANAN_03375
ko:K03707	bni:BANAN_03410
ko:K07574	bni:BANAN_03415
ko:K00886	bni:BANAN_03435
ko:K01972	bni:BANAN_03460
ko:K01915	bni:BANAN_03470
ko:K00382	bni:BANAN_03480
ko:K02003	bni:BANAN_03525
ko:K03437	bni:BANAN_03540
ko:K01889	bni:BANAN_03545
ko:K01890	bni:BANAN_03550
ko:K00145	bni:BANAN_03560
ko:K00620	bni:BANAN_03565
ko:K00930	bni:BANAN_03570
ko:K00611	bni:BANAN_03580
ko:K03402	bni:BANAN_03585
ko:K01940	bni:BANAN_03590
ko:K01755	bni:BANAN_03595
ko:K06950	bni:BANAN_03610
ko:K01866	bni:BANAN_03615
ko:K06442	bni:BANAN_03630
ko:K00858	bni:BANAN_03645
ko:K03631	bni:BANAN_03650
ko:K01733	bni:BANAN_03660
ko:K12410	bni:BANAN_07625
ko:K01754	bni:BANAN_07630
ko:K10117	bni:BANAN_07680
ko:K07407	bni:BANAN_07690
ko:K06999	bni:BANAN_07705
ko:K01494	bni:BANAN_07715
ko:K03218	bni:BANAN_07725
ko:K02528	bni:BANAN_07765
ko:K00919	bni:BANAN_07770
ko:K03980	bni:BANAN_07795
ko:K00384	bni:BANAN_07800
ko:K03501	bni:BANAN_07815
ko:K03217	bni:BANAN_07825
ko:K08998	bni:BANAN_07830
ko:K03536	bni:BANAN_07835
ko:K02914	bni:BANAN_07840
ko:K00147	bni:BANAN_03665
ko:K00969	bni:BANAN_03675
ko:K00948	bni:BANAN_03680
ko:K04042	bni:BANAN_03685
ko:K09710	bni:BANAN_03690
ko:K07006	bni:BANAN_03705
ko:K03284	bni:BANAN_03715
ko:K01869	bni:BANAN_03725
ko:K02237	bni:BANAN_03730
ko:K02340	bni:BANAN_03740
ko:K06925	bni:BANAN_03745
ko:K03789	bni:BANAN_03755
ko:K00031	bni:BANAN_03785
ko:K01462	bni:BANAN_03805
ko:K02967	bni:BANAN_03810
ko:K02357	bni:BANAN_03815
ko:K09903	bni:BANAN_03820
ko:K02838	bni:BANAN_03825
ko:K00981	bni:BANAN_03830
ko:K06941	bni:BANAN_03835
ko:K02500	bni:BANAN_03860
ko:K01657	bni:BANAN_03870
ko:K01696	bni:BANAN_03900
ko:K01695	bni:BANAN_03905
ko:K01858	bni:BANAN_01145
ko:K03168	bni:BANAN_01155
ko:K00943	bni:BANAN_01160
ko:K02341	bni:BANAN_01165
ko:K08659	bni:BANAN_01180
ko:K01938	bni:BANAN_01185
ko:K01703	bni:BANAN_01255
ko:K01704	bni:BANAN_01260
ko:K00790	bni:BANAN_01275
ko:K00057	bni:BANAN_01285
ko:K01921	bni:BANAN_01290
ko:K11358	bni:BANAN_01325
ko:K02902	bni:BANAN_01365
ko:K03655	bni:BANAN_01370
ko:K00554	bni:BANAN_01380
ko:K02860	bni:BANAN_01385
ko:K06960	bni:BANAN_01390
ko:K02959	bni:BANAN_01395
ko:K03106	bni:BANAN_01415
ko:K03466	bni:BANAN_05510
ko:K00791	bni:BANAN_05515
ko:K06168	bni:BANAN_05520
ko:K06890	bni:BANAN_05530
ko:K01681	bni:BANAN_05580
ko:K01142	bni:BANAN_05610
ko:K03733	bni:BANAN_05645
ko:K02003	bni:BANAN_05650
ko:K14170	bni:BANAN_05670
ko:K06207	bni:BANAN_05680
ko:K08369	bni:BANAN_05685
ko:K02887	bni:BANAN_05705
ko:K02916	bni:BANAN_05710
ko:K02520	bni:BANAN_05715
ko:K00134	bni:BANAN_05725
ko:K03527	bni:BANAN_05735
ko:K03088	bni:BANAN_05750
ko:K01928	bni:BANAN_05755
ko:K11754	bni:BANAN_05765
ko:K01783	bni:BANAN_03915
ko:K00765	bni:BANAN_03925
ko:K01834	bni:BANAN_03710
ko:K14225	bni:BANAN_t07867
ko:K14227	bni:BANAN_t07849
ko:K14224	bni:BANAN_t07857
ko:K14233	bni:BANAN_t07879
ko:K14237	bni:BANAN_t07931
ko:K14230	bni:BANAN_t07941
ko:K01977	bni:BANAN_r07959
ko:K01977	bni:BANAN_r07963
ko:K01977	bni:BANAN_r07961
ko:K01977	bni:BANAN_r07957
ko:K07749	bni:BANAN_07000
ko:K09762	bni:BANAN_04215
ko:K03386	bni:BANAN_04280
ko:K02823	bni:BANAN_04375
ko:K07442	bni:BANAN_04425
ko:K03727	bni:BANAN_03985
ko:K08256	bni:BANAN_04070
ko:K00616	bni:BANAN_04170
ko:K06889	bni:BANAN_04490
ko:K04488	bni:BANAN_04570
ko:K01176	bni:BANAN_04620
ko:K01176	bni:BANAN_04725
ko:K02056	bni:BANAN_00325
ko:K01209	bni:BANAN_00340
ko:K01664	bni:BANAN_00430
ko:K01278	bni:BANAN_00470
ko:K08372	bni:BANAN_00520
ko:K14231	bni:BANAN_t07889
ko:K14226	bni:BANAN_t07895
ko:K14228	bni:BANAN_t07851
ko:K16209	bni:BANAN_02470
ko:K01507	bni:BANAN_04780
ko:K01515	bni:BANAN_04850
ko:K05794	bni:BANAN_04860
ko:K02077	bni:BANAN_04885
ko:K02074	bni:BANAN_04890
ko:K00700	bni:BANAN_04910
ko:K00567	bni:BANAN_00570
ko:K01607	bni:BANAN_00580
ko:K06889	bni:BANAN_00590
ko:K11263	bni:BANAN_00725
ko:K05350	bni:BANAN_00760
ko:K02004	bni:BANAN_00815
ko:K06147	bni:BANAN_00850
ko:K09009	bni:BANAN_05005
ko:K09118	bni:BANAN_05050
ko:K00033	bni:BANAN_05125
ko:K02004	bni:BANAN_05210
ko:K06147	bni:BANAN_00855
ko:K09815	bni:BANAN_00915
ko:K07009	bni:BANAN_01030
ko:K13787	bni:BANAN_05440
ko:K03743	bni:BANAN_05500
ko:K01048	bni:BANAN_00480
ko:K06910	bni:BANAN_01170
ko:K01885	bni:BANAN_01240
ko:K02004	bni:BANAN_05655
ko:K04517	bni:BANAN_05665
ko:K04763	bni:BANAN_05700
ko:K00949	bni:BANAN_05720
ko:K02428	bni:BANAN_01505
ko:K12554	bni:BANAN_01510
ko:K01439	bni:BANAN_01570
ko:K11263	bni:BANAN_01640
ko:K00016	bni:BANAN_01665
ko:K01262	bni:BANAN_05790
ko:K02033	bni:BANAN_05830
ko:K02035	bni:BANAN_05835
ko:K00058	bni:BANAN_05905
ko:K00016	bni:BANAN_05930
ko:K01814	bni:BANAN_05960
ko:K01817	bni:BANAN_05960
ko:K03699	bni:BANAN_00280
ko:K01834	bni:BANAN_02325
ko:K03647	bni:BANAN_01700
ko:K01372	bni:BANAN_01740
ko:K01243	bni:BANAN_01760
ko:K07768	bni:BANAN_01765
ko:K07776	bni:BANAN_01770
ko:K02077	bni:BANAN_01855
ko:K01934	bni:BANAN_01895
ko:K03294	bni:BANAN_01925
ko:K07177	bni:BANAN_06140
ko:K08969	bni:BANAN_06215
ko:K02342	bni:BANAN_06245
ko:K00939	bni:BANAN_02105
ko:K03177	bni:BANAN_02170
ko:K03469	bni:BANAN_02195
ko:K01835	bni:BANAN_02210
ko:K01104	bni:BANAN_06345
ko:K06147	bni:BANAN_06360
ko:K01372	bni:BANAN_02300
ko:K10254	bni:BANAN_02330
ko:K01104	bni:BANAN_02395
ko:K01784	bni:BANAN_02400
ko:K01081	bni:BANAN_02415
ko:K01560	bni:BANAN_02485
ko:K00721	bni:BANAN_06605
ko:K12992	bni:BANAN_06750
ko:K01104	bni:BANAN_06820
ko:K03929	bni:BANAN_02640
ko:K00854	bni:BANAN_02650
ko:K00088	bni:BANAN_02685
ko:K07386	bni:BANAN_02720
ko:K00674	bni:BANAN_02745
ko:K07503	bni:BANAN_06950
ko:K01577	bni:BANAN_07025
ko:K01507	bni:BANAN_07050
ko:K16264	bni:BANAN_05925
ko:K06177	bni:BANAN_02815
ko:K02035	bni:BANAN_02830
ko:K02033	bni:BANAN_02835
ko:K03711	bni:BANAN_03000
ko:K02433	bni:BANAN_07125
ko:K01885	bni:BANAN_07200
ko:K00852	bni:BANAN_07255
ko:K01854	bni:BANAN_07280
ko:K13527	bni:BANAN_03180
ko:K01092	bni:BANAN_03190
ko:K13570	bni:BANAN_03195
ko:K13571	bni:BANAN_03200
ko:K07114	bni:BANAN_03235
ko:K06889	bni:BANAN_03340
ko:K13640	bni:BANAN_07485
ko:K07025	bni:BANAN_07520
ko:K16784	bni:BANAN_03445
ko:K03593	bni:BANAN_03465
ko:K03499	bni:BANAN_03640
ko:K01182	bni:BANAN_07650
ko:K03316	bni:BANAN_07700
ko:K00970	bni:BANAN_07780
ko:K06346	bni:BANAN_07820
ko:K02238	bni:BANAN_03735
ko:K01409	bni:BANAN_03760
ko:K00088	bni:BANAN_03790
ko:K01496	bni:BANAN_03865
ko:K01523	bni:BANAN_03920
ko:K14219	bni:BANAN_t07939
ko:K14220	bni:BANAN_t07903
ko:K14220	bni:BANAN_t07905
ko:K14222	bni:BANAN_t07915
ko:K01985	bni:BANAN_r07951
ko:K01985	bni:BANAN_r07955
ko:K01985	bni:BANAN_r07953
ko:K14225	bni:BANAN_t07909
ko:K14225	bni:BANAN_t07917
ko:K14225	bni:BANAN_t07935
ko:K14225	bni:BANAN_t07853
ko:K14219	bni:BANAN_t07937
ko:K14219	bni:BANAN_t07893
ko:K14230	bni:BANAN_t07873
ko:K14230	bni:BANAN_t07891
ko:K14229	bni:BANAN_t07943
ko:K14229	bni:BANAN_t07855
ko:K14233	bni:BANAN_t07945
ko:K14233	bni:BANAN_t07875
ko:K14233	bni:BANAN_t07877
