ko:K01991	bmw:BMNI_II0380
ko:K00384	bmw:BMNI_I1002
ko:K00796	bmw:BMNI_I1004
ko:K01633	bmw:BMNI_I1005
ko:K00950	bmw:BMNI_I1006
ko:K08990	bmw:BMNI_I1008
ko:K06918	bmw:BMNI_I1009
ko:K08296	bmw:BMNI_I1010
ko:K06204	bmw:BMNI_I1011
ko:K03695	bmw:BMNI_I1776
ko:K02493	bmw:BMNI_I1778
ko:K02835	bmw:BMNI_I1779
ko:K08484	bmw:BMNI_I1780
ko:K00928	bmw:BMNI_I1781
ko:K02498	bmw:BMNI_I1791
ko:K01749	bmw:BMNI_I1794
ko:K00057	bmw:BMNI_I1796
ko:K09780	bmw:BMNI_I1797
ko:K03466	bmw:BMNI_I1802
ko:K03320	bmw:BMNI_I1803
ko:K10805	bmw:BMNI_I1804
ko:K03185	bmw:BMNI_I1805
ko:K00240	bmw:BMNI_I1807
ko:K00239	bmw:BMNI_I1808
ko:K00242	bmw:BMNI_I1809
ko:K01703	bmw:BMNI_I1812
ko:K02884	bmw:BMNI_I1813
ko:K07090	bmw:BMNI_I1816
ko:K00012	bmw:BMNI_II0508
ko:K07039	bmw:BMNI_II0517
ko:K13772	bmw:BMNI_II0526
ko:K03594	bmw:BMNI_II0529
ko:K14441	bmw:BMNI_II0530
ko:K02057	bmw:BMNI_II0532
ko:K02057	bmw:BMNI_II0534
ko:K01004	bmw:BMNI_II0538
ko:K03185	bmw:BMNI_II0539
ko:K11940	bmw:BMNI_II0540
ko:K03723	bmw:BMNI_II0545
ko:K09159	bmw:BMNI_II0546
ko:K06996	bmw:BMNI_I0510
ko:K03523	bmw:BMNI_I0516
ko:K01483	bmw:BMNI_I0517
ko:K07127	bmw:BMNI_I0518
ko:K01711	bmw:BMNI_I0530
ko:K12995	bmw:BMNI_I0549
ko:K10441	bmw:BMNI_I0551
ko:K01805	bmw:BMNI_I0557
ko:K02529	bmw:BMNI_I0559
ko:K02167	bmw:BMNI_I0564
ko:K01928	bmw:BMNI_I1389
ko:K03587	bmw:BMNI_I1390
ko:K03438	bmw:BMNI_I1392
ko:K03322	bmw:BMNI_I1393
ko:K05801	bmw:BMNI_I1397
ko:K07088	bmw:BMNI_I1402
ko:K00297	bmw:BMNI_I1403
ko:K09988	bmw:BMNI_I1411
ko:K00479	bmw:BMNI_I1412
ko:K06193	bmw:BMNI_I1414
ko:K08281	bmw:BMNI_I1415
ko:K09799	bmw:BMNI_I1416
ko:K01442	bmw:BMNI_I1418
ko:K09807	bmw:BMNI_I1424
ko:K09160	bmw:BMNI_I1426
ko:K03086	bmw:BMNI_I1428
ko:K03324	bmw:BMNI_I1430
ko:K09117	bmw:BMNI_I1431
ko:K01956	bmw:BMNI_I1432
ko:K01955	bmw:BMNI_I1436
ko:K02471	bmw:BMNI_I1439
ko:K03704	bmw:BMNI_I1441
ko:K00812	bmw:BMNI_I1443
ko:K02417	bmw:BMNI_II0120
ko:K02416	bmw:BMNI_II0122
ko:K02556	bmw:BMNI_II0123
ko:K02391	bmw:BMNI_II0125
ko:K02412	bmw:BMNI_II0126
ko:K02387	bmw:BMNI_II0144
ko:K02388	bmw:BMNI_II0145
ko:K02408	bmw:BMNI_II0146
ko:K02392	bmw:BMNI_II0147
ko:K02386	bmw:BMNI_II0148
ko:K02394	bmw:BMNI_II0149
ko:K02393	bmw:BMNI_II0151
ko:K02415	bmw:BMNI_II0152
ko:K02419	bmw:BMNI_II0153
ko:K01644	bmw:BMNI_II0160
ko:K09794	bmw:BMNI_II0168
ko:K11472	bmw:BMNI_II0173
ko:K11473	bmw:BMNI_II0174
ko:K06999	bmw:BMNI_II0931
ko:K15736	bmw:BMNI_II0948
ko:K02034	bmw:BMNI_II0954
ko:K08169	bmw:BMNI_II0960
ko:K02914	bmw:BMNI_II0963
ko:K03536	bmw:BMNI_II0964
ko:K03217	bmw:BMNI_II0965
ko:K03978	bmw:BMNI_II0966
ko:K00930	bmw:BMNI_II0967
ko:K06966	bmw:BMNI_II0969
ko:K06173	bmw:BMNI_II0974
ko:K00604	bmw:BMNI_II0975
ko:K01462	bmw:BMNI_II0976
ko:K09760	bmw:BMNI_II0977
ko:K07401	bmw:BMNI_II0978
ko:K07461	bmw:BMNI_II0979
ko:K03655	bmw:BMNI_II0547
ko:K00820	bmw:BMNI_II0548
ko:K04042	bmw:BMNI_II0549
ko:K14205	bmw:BMNI_II0551
ko:K03801	bmw:BMNI_II0555
ko:K07341	bmw:BMNI_I0567
ko:K03284	bmw:BMNI_I0569
ko:K03449	bmw:BMNI_I0571
ko:K06915	bmw:BMNI_I0573
ko:K04564	bmw:BMNI_I0576
ko:K01354	bmw:BMNI_I0578
ko:K02426	bmw:BMNI_I0584
ko:K11357	bmw:BMNI_I0586
ko:K05366	bmw:BMNI_I0592
ko:K02197	bmw:BMNI_I0612
ko:K02198	bmw:BMNI_I0613
ko:K00982	bmw:BMNI_I0618
ko:K07716	bmw:BMNI_I0620
ko:K00847	bmw:BMNI_I0116
ko:K03684	bmw:BMNI_I0121
ko:K05592	bmw:BMNI_I0124
ko:K02470	bmw:BMNI_I0125
ko:K01070	bmw:BMNI_I0127
ko:K03579	bmw:BMNI_I0133
ko:K15011	bmw:BMNI_I0135
ko:K15012	bmw:BMNI_I0137
ko:K01867	bmw:BMNI_I0142
ko:K03980	bmw:BMNI_I0143
ko:K00990	bmw:BMNI_I0144
ko:K00029	bmw:BMNI_I0145
ko:K00029	bmw:BMNI_I0146
ko:K03555	bmw:BMNI_I0147
ko:K03101	bmw:BMNI_I0149
ko:K03437	bmw:BMNI_I0150
ko:K06969	bmw:BMNI_I0151
ko:K06969	bmw:BMNI_I0152
ko:K05788	bmw:BMNI_I0154
ko:K04773	bmw:BMNI_I0155
ko:K11719	bmw:BMNI_I0156
ko:K09774	bmw:BMNI_I0157
ko:K06861	bmw:BMNI_I0158
ko:K03092	bmw:BMNI_I0159
ko:K10773	bmw:BMNI_I0165
ko:K06203	bmw:BMNI_I0166
ko:K03687	bmw:BMNI_I0169
ko:K03705	bmw:BMNI_I0170
ko:K13587	bmw:BMNI_I1013
ko:K07007	bmw:BMNI_I1014
ko:K03809	bmw:BMNI_I1023
ko:K01754	bmw:BMNI_I1024
ko:K11927	bmw:BMNI_I1025
ko:K01738	bmw:BMNI_I1026
ko:K03446	bmw:BMNI_I1032
ko:K03543	bmw:BMNI_I1033
ko:K14347	bmw:BMNI_I1037
ko:K01868	bmw:BMNI_I1043
ko:K08998	bmw:BMNI_I1046
ko:K01495	bmw:BMNI_I1048
ko:K07001	bmw:BMNI_I1050
ko:K00252	bmw:BMNI_I1059
ko:K00773	bmw:BMNI_I1065
ko:K07568	bmw:BMNI_I1066
ko:K00554	bmw:BMNI_I1821
ko:K02860	bmw:BMNI_I1822
ko:K03733	bmw:BMNI_I1823
ko:K09973	bmw:BMNI_I1824
ko:K00382	bmw:BMNI_I1825
ko:K00658	bmw:BMNI_I1829
ko:K00164	bmw:BMNI_I1830
ko:K01902	bmw:BMNI_I1831
ko:K01903	bmw:BMNI_I1832
ko:K00024	bmw:BMNI_I1833
ko:K06916	bmw:BMNI_I1834
ko:K01778	bmw:BMNI_I1836
ko:K03110	bmw:BMNI_I1838
ko:K06190	bmw:BMNI_I1839
ko:K00620	bmw:BMNI_I1845
ko:K03070	bmw:BMNI_I1847
ko:K03760	bmw:BMNI_I1851
ko:K02029	bmw:BMNI_I1857
ko:K02029	bmw:BMNI_I1858
ko:K01744	bmw:BMNI_I1861
ko:K09972	bmw:BMNI_I1862
ko:K01761	bmw:BMNI_I1869
ko:K01738	bmw:BMNI_I1871
ko:K00074	bmw:BMNI_I1873
ko:K02622	bmw:BMNI_II0557
ko:K02435	bmw:BMNI_II0560
ko:K07447	bmw:BMNI_II0562
ko:K09456	bmw:BMNI_II0563
ko:K00609	bmw:BMNI_II0564
ko:K01465	bmw:BMNI_II0565
ko:K08591	bmw:BMNI_II0566
ko:K04096	bmw:BMNI_II0567
ko:K03168	bmw:BMNI_II0569
ko:K12573	bmw:BMNI_II0570
ko:K02913	bmw:BMNI_II0574
ko:K11443	bmw:BMNI_II0576
ko:K02346	bmw:BMNI_II0580
ko:K01032	bmw:BMNI_II0591
ko:K01031	bmw:BMNI_II0592
ko:K02624	bmw:BMNI_II0593
ko:K00481	bmw:BMNI_II0595
ko:K12989	bmw:BMNI_I1449
ko:K03624	bmw:BMNI_I1450
ko:K09922	bmw:BMNI_I1453
ko:K10806	bmw:BMNI_I1455
ko:K03702	bmw:BMNI_I1457
ko:K03704	bmw:BMNI_I1459
ko:K07659	bmw:BMNI_I1467
ko:K07638	bmw:BMNI_I1468
ko:K06878	bmw:BMNI_I1470
ko:K13292	bmw:BMNI_I1473
ko:K05810	bmw:BMNI_I1475
ko:K00948	bmw:BMNI_I1478
ko:K06915	bmw:BMNI_I1479
ko:K02897	bmw:BMNI_I1480
ko:K01056	bmw:BMNI_I1481
ko:K06942	bmw:BMNI_I1482
ko:K00759	bmw:BMNI_I1485
ko:K00413	bmw:BMNI_I1486
ko:K00412	bmw:BMNI_I1487
ko:K00411	bmw:BMNI_I1488
ko:K03216	bmw:BMNI_I1491
ko:K00228	bmw:BMNI_I1494
ko:K03824	bmw:BMNI_I1495
ko:K09986	bmw:BMNI_I1500
ko:K01246	bmw:BMNI_II0178
ko:K01892	bmw:BMNI_II0180
ko:K02502	bmw:BMNI_II0181
ko:K00765	bmw:BMNI_II0182
ko:K02429	bmw:BMNI_II0183
ko:K15977	bmw:BMNI_II0185
ko:K04077	bmw:BMNI_II0188
ko:K04078	bmw:BMNI_II0189
ko:K11753	bmw:BMNI_II0191
ko:K01870	bmw:BMNI_II0192
ko:K06178	bmw:BMNI_II0196
ko:K07001	bmw:BMNI_II0200
ko:K01256	bmw:BMNI_I0621
ko:K03592	bmw:BMNI_II0202
ko:K09778	bmw:BMNI_II0205
ko:K02527	bmw:BMNI_II0206
ko:K00912	bmw:BMNI_II0207
ko:K03572	bmw:BMNI_II0209
ko:K08196	bmw:BMNI_II0210
ko:K06446	bmw:BMNI_II0211
ko:K00074	bmw:BMNI_II0214
ko:K03734	bmw:BMNI_II0223
ko:K03596	bmw:BMNI_II0981
ko:K06153	bmw:BMNI_II0983
ko:K07261	bmw:BMNI_II0988
ko:K01734	bmw:BMNI_II0989
ko:K00215	bmw:BMNI_II0992
ko:K04719	bmw:BMNI_II0996
ko:K00154	bmw:BMNI_II1000
ko:K06131	bmw:BMNI_II1003
ko:K02837	bmw:BMNI_II1006
ko:K13038	bmw:BMNI_II1007
ko:K03688	bmw:BMNI_II1008
ko:K03183	bmw:BMNI_II1009
ko:K00761	bmw:BMNI_II1010
ko:K03745	bmw:BMNI_II1011
ko:K02034	bmw:BMNI_II1021
ko:K00627	bmw:BMNI_II1024
ko:K11381	bmw:BMNI_II1026
ko:K00074	bmw:BMNI_II1027
ko:K06446	bmw:BMNI_II1029
ko:K01434	bmw:BMNI_II1030
ko:K00384	bmw:BMNI_I1446
ko:K00449	bmw:BMNI_II0599
ko:K00448	bmw:BMNI_II0600
ko:K01857	bmw:BMNI_II0601
ko:K01999	bmw:BMNI_II0602
ko:K01997	bmw:BMNI_II0603
ko:K01998	bmw:BMNI_II0604
ko:K01995	bmw:BMNI_II0605
ko:K01996	bmw:BMNI_II0606
ko:K01486	bmw:BMNI_II0607
ko:K01273	bmw:BMNI_II0608
ko:K02623	bmw:BMNI_II0596
ko:K00311	bmw:BMNI_I0625
ko:K01241	bmw:BMNI_I0627
ko:K00817	bmw:BMNI_I0638
ko:K08309	bmw:BMNI_I0647
ko:K01714	bmw:BMNI_I0648
ko:K03664	bmw:BMNI_I0649
ko:K03060	bmw:BMNI_I0652
ko:K00762	bmw:BMNI_I0654
ko:K08223	bmw:BMNI_I0657
ko:K09928	bmw:BMNI_I0659
ko:K00997	bmw:BMNI_I0660
ko:K03100	bmw:BMNI_I0661
ko:K03685	bmw:BMNI_I0662
ko:K03584	bmw:BMNI_I0664
ko:K06980	bmw:BMNI_I0667
ko:K01465	bmw:BMNI_I0668
ko:K06895	bmw:BMNI_I0674
ko:K01883	bmw:BMNI_I0675
ko:K01649	bmw:BMNI_I0676
ko:K05786	bmw:BMNI_I0677
ko:K02528	bmw:BMNI_I0679
ko:K03924	bmw:BMNI_I1501
ko:K07275	bmw:BMNI_I1507
ko:K01649	bmw:BMNI_I1510
ko:K13503	bmw:BMNI_I1512
ko:K02002	bmw:BMNI_I1520
ko:K02001	bmw:BMNI_I1521
ko:K02000	bmw:BMNI_I1522
ko:K12372	bmw:BMNI_I1523
ko:K12371	bmw:BMNI_I1524
ko:K12370	bmw:BMNI_I1525
ko:K12369	bmw:BMNI_I1526
ko:K12368	bmw:BMNI_I1527
ko:K12368	bmw:BMNI_I1528
ko:K00566	bmw:BMNI_I1531
ko:K13588	bmw:BMNI_I1537
ko:K13584	bmw:BMNI_I1538
ko:K07270	bmw:BMNI_I1543
ko:K07289	bmw:BMNI_I1546
ko:K11074	bmw:BMNI_I1547
ko:K00989	bmw:BMNI_I0171
ko:K07056	bmw:BMNI_I0176
ko:K07460	bmw:BMNI_I0177
ko:K02302	bmw:BMNI_I0178
ko:K00381	bmw:BMNI_I0180
ko:K00390	bmw:BMNI_I0181
ko:K00957	bmw:BMNI_I0190
ko:K00955	bmw:BMNI_I0191
ko:K02444	bmw:BMNI_I0196
ko:K00111	bmw:BMNI_I0197
ko:K09959	bmw:BMNI_I0201
ko:K02529	bmw:BMNI_I0202
ko:K03707	bmw:BMNI_I0208
ko:K15598	bmw:BMNI_I0209
ko:K00788	bmw:BMNI_I0210
ko:K03149	bmw:BMNI_I0211
ko:K03154	bmw:BMNI_I0212
ko:K00941	bmw:BMNI_I0214
ko:K05846	bmw:BMNI_I0218
ko:K05847	bmw:BMNI_I0219
ko:K05846	bmw:BMNI_I0220
ko:K05845	bmw:BMNI_I0221
ko:K00262	bmw:BMNI_I0223
ko:K00303	bmw:BMNI_I0224
ko:K00954	bmw:BMNI_I1069
ko:K02469	bmw:BMNI_I1072
ko:K05774	bmw:BMNI_I1074
ko:K02043	bmw:BMNI_I1075
ko:K03701	bmw:BMNI_I1077
ko:K03530	bmw:BMNI_I1078
ko:K01338	bmw:BMNI_I1079
ko:K03544	bmw:BMNI_I1080
ko:K01358	bmw:BMNI_I1081
ko:K03665	bmw:BMNI_I1082
ko:K03666	bmw:BMNI_I1083
ko:K13599	bmw:BMNI_I1086
ko:K13598	bmw:BMNI_I1087
ko:K07712	bmw:BMNI_I1088
ko:K07708	bmw:BMNI_I1089
ko:K12506	bmw:BMNI_I1091
ko:K03644	bmw:BMNI_I1095
ko:K00382	bmw:BMNI_I1097
ko:K00627	bmw:BMNI_I1098
ko:K00162	bmw:BMNI_I1099
ko:K00161	bmw:BMNI_I1100
ko:K01689	bmw:BMNI_I1103
ko:K01627	bmw:BMNI_I1104
ko:K01937	bmw:BMNI_I1105
ko:K03075	bmw:BMNI_I1107
ko:K01803	bmw:BMNI_I1108
ko:K03770	bmw:BMNI_I1109
ko:K00766	bmw:BMNI_I1110
ko:K01609	bmw:BMNI_I1111
ko:K03637	bmw:BMNI_I1112
ko:K03750	bmw:BMNI_I1113
ko:K01356	bmw:BMNI_I1114
ko:K01647	bmw:BMNI_I1118
ko:K00748	bmw:BMNI_I1119
ko:K03522	bmw:BMNI_I1874
ko:K03521	bmw:BMNI_I1875
ko:K06920	bmw:BMNI_I1876
ko:K01737	bmw:BMNI_I1877
ko:K10026	bmw:BMNI_I1878
ko:K07058	bmw:BMNI_I1882
ko:K09768	bmw:BMNI_I1883
ko:K11076	bmw:BMNI_I1549
ko:K11073	bmw:BMNI_I1550
ko:K07110	bmw:BMNI_I1551
ko:K01637	bmw:BMNI_I1553
ko:K02164	bmw:BMNI_II0233
ko:K02305	bmw:BMNI_II0235
ko:K04561	bmw:BMNI_II0236
ko:K02448	bmw:BMNI_II0239
ko:K03435	bmw:BMNI_II0250
ko:K00039	bmw:BMNI_II0254
ko:K00376	bmw:BMNI_II0261
ko:K00376	bmw:BMNI_II0262
ko:K07218	bmw:BMNI_II0263
ko:K03734	bmw:BMNI_II0268
ko:K07234	bmw:BMNI_II0271
ko:K08303	bmw:BMNI_II0278
ko:K03182	bmw:BMNI_II0280
ko:K03186	bmw:BMNI_II0281
ko:K00373	bmw:BMNI_II0285
ko:K00371	bmw:BMNI_II0286
ko:K00370	bmw:BMNI_II0287
ko:K02575	bmw:BMNI_II0288
ko:K02034	bmw:BMNI_II1040
ko:K01845	bmw:BMNI_II1050
ko:K01628	bmw:BMNI_II1053
ko:K03777	bmw:BMNI_II1056
ko:K09817	bmw:BMNI_II1064
ko:K09816	bmw:BMNI_II1065
ko:K09823	bmw:BMNI_II1066
ko:K02421	bmw:BMNI_II1072
ko:K02400	bmw:BMNI_II1073
ko:K02400	bmw:BMNI_II1074
ko:K02420	bmw:BMNI_II1075
ko:K02389	bmw:BMNI_II1076
ko:K06601	bmw:BMNI_II1077
ko:K06602	bmw:BMNI_II1078
ko:K02397	bmw:BMNI_II1079
ko:K02396	bmw:BMNI_II1080
ko:K02390	bmw:BMNI_II1081
ko:K11075	bmw:BMNI_I1548
ko:K01755	bmw:BMNI_I1885
ko:K01586	bmw:BMNI_I1887
ko:K00760	bmw:BMNI_I1889
ko:K00817	bmw:BMNI_I1891
ko:K00220	bmw:BMNI_I1892
ko:K02221	bmw:BMNI_I1895
ko:K00655	bmw:BMNI_I1897
ko:K09811	bmw:BMNI_I1899
ko:K09812	bmw:BMNI_I1900
ko:K06188	bmw:BMNI_I1902
ko:K01142	bmw:BMNI_I1904
ko:K09125	bmw:BMNI_I1916
ko:K02902	bmw:BMNI_I1917
ko:K01534	bmw:BMNI_I1920
ko:K09883	bmw:BMNI_I1922
ko:K05527	bmw:BMNI_I1925
ko:K01735	bmw:BMNI_I1927
ko:K00891	bmw:BMNI_I1928
ko:K05813	bmw:BMNI_II0610
ko:K06901	bmw:BMNI_II0617
ko:K00826	bmw:BMNI_II0622
ko:K07090	bmw:BMNI_II0623
ko:K02016	bmw:BMNI_II0628
ko:K02015	bmw:BMNI_II0629
ko:K02015	bmw:BMNI_II0630
ko:K02013	bmw:BMNI_II0631
ko:K01524	bmw:BMNI_II0637
ko:K00794	bmw:BMNI_II0645
ko:K02379	bmw:BMNI_II0646
ko:K02011	bmw:BMNI_II0649
ko:K02012	bmw:BMNI_II0650
ko:K14588	bmw:BMNI_II0655
ko:K04756	bmw:BMNI_II0658
ko:K04761	bmw:BMNI_II0660
ko:K00097	bmw:BMNI_I0680
ko:K03771	bmw:BMNI_I0681
ko:K04744	bmw:BMNI_I0682
ko:K11720	bmw:BMNI_I0683
ko:K07091	bmw:BMNI_I0684
ko:K01255	bmw:BMNI_I0685
ko:K02339	bmw:BMNI_I0686
ko:K06158	bmw:BMNI_I0688
ko:K00940	bmw:BMNI_I0690
ko:K09914	bmw:BMNI_I0691
ko:K03636	bmw:BMNI_I0693
ko:K03703	bmw:BMNI_I0695
ko:K07115	bmw:BMNI_I0702
ko:K11175	bmw:BMNI_I0706
ko:K01933	bmw:BMNI_I0707
ko:K03303	bmw:BMNI_I0714
ko:K05879	bmw:BMNI_I1564
ko:K05878	bmw:BMNI_I1565
ko:K05879	bmw:BMNI_I1566
ko:K05878	bmw:BMNI_I1567
ko:K01247	bmw:BMNI_I1582
ko:K01894	bmw:BMNI_I1583
ko:K01638	bmw:BMNI_I1584
ko:K03823	bmw:BMNI_I1585
ko:K03089	bmw:BMNI_I1586
ko:K06180	bmw:BMNI_I1587
ko:K03088	bmw:BMNI_I1594
ko:K03561	bmw:BMNI_I1602
ko:K03832	bmw:BMNI_I1604
ko:K02529	bmw:BMNI_II0290
ko:K03610	bmw:BMNI_II0304
ko:K03609	bmw:BMNI_II0305
ko:K03608	bmw:BMNI_II0306
ko:K02053	bmw:BMNI_II0312
ko:K03585	bmw:BMNI_II0317
ko:K01425	bmw:BMNI_II0322
ko:K01425	bmw:BMNI_II0323
ko:K04761	bmw:BMNI_II0335
ko:K03781	bmw:BMNI_II0336
ko:K03500	bmw:BMNI_II0340
ko:K10564	bmw:BMNI_II1085
ko:K02557	bmw:BMNI_II1086
ko:K02409	bmw:BMNI_II1088
ko:K02409	bmw:BMNI_II1089
ko:K02406	bmw:BMNI_II1090
ko:K10543	bmw:BMNI_II1094
ko:K10545	bmw:BMNI_II1095
ko:K02509	bmw:BMNI_II1101
ko:K01999	bmw:BMNI_II1116
ko:K01997	bmw:BMNI_II1117
ko:K01995	bmw:BMNI_II1119
ko:K01998	bmw:BMNI_II1119
ko:K01996	bmw:BMNI_II1120
ko:K07090	bmw:BMNI_II1122
ko:K03710	bmw:BMNI_II1124
ko:K00305	bmw:BMNI_I0227
ko:K03534	bmw:BMNI_I0235
ko:K02395	bmw:BMNI_I0254
ko:K09862	bmw:BMNI_I0276
ko:K06287	bmw:BMNI_I0277
ko:K02518	bmw:BMNI_I0278
ko:K00013	bmw:BMNI_I0281
ko:K00677	bmw:BMNI_I1121
ko:K02372	bmw:BMNI_I1122
ko:K02536	bmw:BMNI_I1123
ko:K07277	bmw:BMNI_I1124
ko:K11749	bmw:BMNI_I1125
ko:K00981	bmw:BMNI_I1126
ko:K00806	bmw:BMNI_I1127
ko:K02838	bmw:BMNI_I1128
ko:K09903	bmw:BMNI_I1129
ko:K02357	bmw:BMNI_I1130
ko:K02967	bmw:BMNI_I1131
ko:K09919	bmw:BMNI_I1136
ko:K02503	bmw:BMNI_I1137
ko:K03694	bmw:BMNI_I1138
ko:K06891	bmw:BMNI_I1139
ko:K01752	bmw:BMNI_I1143
ko:K09457	bmw:BMNI_I1151
ko:K07080	bmw:BMNI_I1161
ko:K01776	bmw:BMNI_I1162
ko:K05520	bmw:BMNI_I1164
ko:K00031	bmw:BMNI_I1166
ko:K01872	bmw:BMNI_I1169
ko:K07478	bmw:BMNI_I1174
ko:K01962	bmw:BMNI_I1931
ko:K02529	bmw:BMNI_I1949
ko:K02340	bmw:BMNI_I1955
ko:K03501	bmw:BMNI_I1958
ko:K03495	bmw:BMNI_I1959
ko:K03650	bmw:BMNI_I1960
ko:K06888	bmw:BMNI_I1962
ko:K03628	bmw:BMNI_I1964
ko:K08973	bmw:BMNI_I1966
ko:K01599	bmw:BMNI_I1967
ko:K09773	bmw:BMNI_I1968
ko:K06287	bmw:BMNI_I1969
ko:K00014	bmw:BMNI_I1970
ko:K00859	bmw:BMNI_I1971
ko:K03071	bmw:BMNI_I1973
ko:K07113	bmw:BMNI_I1974
ko:K08304	bmw:BMNI_I1976
ko:K03667	bmw:BMNI_I1980
ko:K01419	bmw:BMNI_I1981
ko:K01693	bmw:BMNI_I1983
ko:K03338	bmw:BMNI_II0664
ko:K03336	bmw:BMNI_II0665
ko:K03335	bmw:BMNI_II0666
ko:K03337	bmw:BMNI_II0667
ko:K02011	bmw:BMNI_II0670
ko:K02012	bmw:BMNI_II0671
ko:K13821	bmw:BMNI_II0672
ko:K00281	bmw:BMNI_II0674
ko:K02437	bmw:BMNI_II0675
ko:K00605	bmw:BMNI_II0676
ko:K01915	bmw:BMNI_II0681
ko:K02002	bmw:BMNI_II0686
ko:K02001	bmw:BMNI_II0687
ko:K02000	bmw:BMNI_II0688
ko:K02013	bmw:BMNI_II0698
ko:K02015	bmw:BMNI_II0699
ko:K02016	bmw:BMNI_II0700
ko:K09761	bmw:BMNI_II0705
ko:K01919	bmw:BMNI_II0706
ko:K03601	bmw:BMNI_II0707
ko:K01915	bmw:BMNI_II0712
ko:K09969	bmw:BMNI_I0739
ko:K09970	bmw:BMNI_I0740
ko:K09971	bmw:BMNI_I0742
ko:K09972	bmw:BMNI_I0743
ko:K00937	bmw:BMNI_I0746
ko:K01524	bmw:BMNI_I0747
ko:K03684	bmw:BMNI_I0748
ko:K01876	bmw:BMNI_I0749
ko:K02621	bmw:BMNI_I0751
ko:K01698	bmw:BMNI_I0754
ko:K00600	bmw:BMNI_I0760
ko:K07738	bmw:BMNI_I0761
ko:K11752	bmw:BMNI_I0762
ko:K00793	bmw:BMNI_I0763
ko:K00794	bmw:BMNI_I0764
ko:K03625	bmw:BMNI_I0765
ko:K15987	bmw:BMNI_I0766
ko:K03621	bmw:BMNI_I0770
ko:K00648	bmw:BMNI_I0771
ko:K04764	bmw:BMNI_I0772
ko:K01991	bmw:BMNI_I0776
ko:K02259	bmw:BMNI_I0779
ko:K00145	bmw:BMNI_I0780
ko:K02996	bmw:BMNI_I0782
ko:K02871	bmw:BMNI_I0783
ko:K05685	bmw:BMNI_I1607
ko:K05685	bmw:BMNI_I1608
ko:K13888	bmw:BMNI_I1609
ko:K05800	bmw:BMNI_I1611
ko:K01939	bmw:BMNI_I1619
