ko:K19296	ppb:PPUBIRD1_4283
ko:K00167	ppb:PPUBIRD1_1440
ko:K00166	ppb:PPUBIRD1_1441
ko:K01915	ppb:PPUBIRD1_1443
ko:K02399	ppb:PPUBIRD1_1446
ko:K02398	ppb:PPUBIRD1_1447
ko:K02386	ppb:PPUBIRD1_1448
ko:K03415	ppb:PPUBIRD1_1449
ko:K02387	ppb:PPUBIRD1_1451
ko:K02388	ppb:PPUBIRD1_1452
ko:K02389	ppb:PPUBIRD1_1453
ko:K02390	ppb:PPUBIRD1_1454
ko:K02391	ppb:PPUBIRD1_1456
ko:K02392	ppb:PPUBIRD1_1457
ko:K02393	ppb:PPUBIRD1_1458
ko:K02394	ppb:PPUBIRD1_1459
ko:K02395	ppb:PPUBIRD1_1460
ko:K02396	ppb:PPUBIRD1_1461
ko:K02397	ppb:PPUBIRD1_1462
ko:K00648	ppb:PPUBIRD1_1463
ko:K02406	ppb:PPUBIRD1_1465
ko:K02407	ppb:PPUBIRD1_1467
ko:K02422	ppb:PPUBIRD1_1468
ko:K10941	ppb:PPUBIRD1_1470
ko:K07152	ppb:PPUBIRD1_2305
ko:K02453	ppb:PPUBIRD1_2315
ko:K02456	ppb:PPUBIRD1_2316
ko:K02456	ppb:PPUBIRD1_2317
ko:K04337	ppb:PPUBIRD1_2319
ko:K04338	ppb:PPUBIRD1_2320
ko:K06214	ppb:PPUBIRD1_2321
ko:K06871	ppb:PPUBIRD1_2331
ko:K03752	ppb:PPUBIRD1_2335
ko:K03585	ppb:PPUBIRD1_2337
ko:K11739	ppb:PPUBIRD1_2342
ko:K11740	ppb:PPUBIRD1_2343
ko:K01754	ppb:PPUBIRD1_2345
ko:K00457	ppb:PPUBIRD1_2355
ko:K01821	ppb:PPUBIRD1_3180
ko:K04764	ppb:PPUBIRD1_3207
ko:K01890	ppb:PPUBIRD1_3208
ko:K01889	ppb:PPUBIRD1_3209
ko:K02887	ppb:PPUBIRD1_3210
ko:K02916	ppb:PPUBIRD1_3211
ko:K02520	ppb:PPUBIRD1_3212
ko:K01868	ppb:PPUBIRD1_3213
ko:K03704	ppb:PPUBIRD1_3215
ko:K06726	ppb:PPUBIRD1_3219
ko:K02529	ppb:PPUBIRD1_3221
ko:K10441	ppb:PPUBIRD1_3223
ko:K05597	ppb:PPUBIRD1_3225
ko:K01725	ppb:PPUBIRD1_3227
ko:K01150	ppb:PPUBIRD1_3230
ko:K11749	ppb:PPUBIRD1_4017
ko:K00099	ppb:PPUBIRD1_4018
ko:K00981	ppb:PPUBIRD1_4019
ko:K00806	ppb:PPUBIRD1_4020
ko:K02838	ppb:PPUBIRD1_4021
ko:K09903	ppb:PPUBIRD1_4022
ko:K02357	ppb:PPUBIRD1_4023
ko:K02967	ppb:PPUBIRD1_4024
ko:K01265	ppb:PPUBIRD1_4025
ko:K00990	ppb:PPUBIRD1_4026
ko:K14267	ppb:PPUBIRD1_4027
ko:K01766	ppb:PPUBIRD1_4031
ko:K02426	ppb:PPUBIRD1_4032
ko:K00563	ppb:PPUBIRD1_4036
ko:K03704	ppb:PPUBIRD1_4038
ko:K00631	ppb:PPUBIRD1_4040
ko:K09914	ppb:PPUBIRD1_4041
ko:K15984	ppb:PPUBIRD1_4046
ko:K01595	ppb:PPUBIRD1_4054
ko:K04567	ppb:PPUBIRD1_4063
ko:K02836	ppb:PPUBIRD1_4064
ko:K11444	ppb:PPUBIRD1_4065
ko:K13491	ppb:PPUBIRD1_4066
ko:K13489	ppb:PPUBIRD1_4068
ko:K13486	ppb:PPUBIRD1_4069
ko:K03149	ppb:PPUBIRD1_4893
ko:K03154	ppb:PPUBIRD1_4894
ko:K03814	ppb:PPUBIRD1_4896
ko:K03089	ppb:PPUBIRD1_4897
ko:K09811	ppb:PPUBIRD1_4898
ko:K09812	ppb:PPUBIRD1_4899
ko:K03110	ppb:PPUBIRD1_4900
ko:K00154	ppb:PPUBIRD1_4910
ko:K00954	ppb:PPUBIRD1_4913
ko:K06969	ppb:PPUBIRD1_4917
ko:K01687	ppb:PPUBIRD1_4918
ko:K06956	ppb:PPUBIRD1_4921
ko:K02012	ppb:PPUBIRD1_4925
ko:K02011	ppb:PPUBIRD1_4926
ko:K01534	ppb:PPUBIRD1_4929
ko:K13292	ppb:PPUBIRD1_4933
ko:K08484	ppb:PPUBIRD1_4936
ko:K08311	ppb:PPUBIRD1_4937
ko:K01754	ppb:PPUBIRD1_4940
ko:K01807	ppb:PPUBIRD1_4941
ko:K18138	ppb:PPUBIRD1_4175
ko:K14229	ppb:PPUBIRD1_t0009
ko:K14229	ppb:PPUBIRD1_t0011
ko:K16092	ppb:PPUBIRD1_0566
ko:K16091	ppb:PPUBIRD1_0918
ko:K14232	ppb:PPUBIRD1_t0054
ko:K16090	ppb:PPUBIRD1_0912
ko:K16088	ppb:PPUBIRD1_3161
ko:K16088	ppb:PPUBIRD1_3580
ko:K16147	ppb:PPUBIRD1_1763
ko:K16088	ppb:PPUBIRD1_1632
ko:K03301	ppb:PPUBIRD1_2527
ko:K16088	ppb:PPUBIRD1_0575
ko:K16088	ppb:PPUBIRD1_3262
ko:K16088	ppb:PPUBIRD1_0868
ko:K16090	ppb:PPUBIRD1_2177
ko:K01652	ppb:PPUBIRD1_2415
ko:K02014	ppb:PPUBIRD1_0190
ko:K02014	ppb:PPUBIRD1_3090
ko:K02014	ppb:PPUBIRD1_0385
ko:K02014	ppb:PPUBIRD1_4625
ko:K00130	ppb:PPUBIRD1_4852
ko:K02014	ppb:PPUBIRD1_3458
ko:K02014	ppb:PPUBIRD1_2697
ko:K13788	ppb:PPUBIRD1_0820
ko:K03775	ppb:PPUBIRD1_0821
ko:K00432	ppb:PPUBIRD1_0822
ko:K06203	ppb:PPUBIRD1_0828
ko:K00767	ppb:PPUBIRD1_0831
ko:K03806	ppb:PPUBIRD1_0833
ko:K03807	ppb:PPUBIRD1_0834
ko:K03424	ppb:PPUBIRD1_0835
ko:K03435	ppb:PPUBIRD1_0836
ko:K02769	ppb:PPUBIRD1_0840
ko:K02770	ppb:PPUBIRD1_0840
ko:K09954	ppb:PPUBIRD1_0841
ko:K03415	ppb:PPUBIRD1_0848
ko:K12542	ppb:PPUBIRD1_0849
ko:K12541	ppb:PPUBIRD1_0850
ko:K12543	ppb:PPUBIRD1_0851
ko:K12266	ppb:PPUBIRD1_0853
ko:K05916	ppb:PPUBIRD1_0854
ko:K03611	ppb:PPUBIRD1_0855
ko:K02297	ppb:PPUBIRD1_0856
ko:K02298	ppb:PPUBIRD1_0857
ko:K02299	ppb:PPUBIRD1_0858
ko:K02300	ppb:PPUBIRD1_0859
ko:K14261	ppb:PPUBIRD1_0861
ko:K06940	ppb:PPUBIRD1_0863
ko:K03088	ppb:PPUBIRD1_0866
ko:K06917	ppb:PPUBIRD1_0871
ko:K01008	ppb:PPUBIRD1_0872
ko:K02044	ppb:PPUBIRD1_0873
ko:K02041	ppb:PPUBIRD1_0874
ko:K02042	ppb:PPUBIRD1_0875
ko:K02042	ppb:PPUBIRD1_0876
ko:K07646	ppb:PPUBIRD1_1694
ko:K07667	ppb:PPUBIRD1_1695
ko:K13896	ppb:PPUBIRD1_1699
ko:K13895	ppb:PPUBIRD1_1700
ko:K13894	ppb:PPUBIRD1_1701
ko:K13893	ppb:PPUBIRD1_1702
ko:K13893	ppb:PPUBIRD1_1703
ko:K08307	ppb:PPUBIRD1_1704
ko:K01584	ppb:PPUBIRD1_1710
ko:K00343	ppb:PPUBIRD1_1719
ko:K00342	ppb:PPUBIRD1_1720
ko:K00341	ppb:PPUBIRD1_1721
ko:K00340	ppb:PPUBIRD1_1722
ko:K00339	ppb:PPUBIRD1_1723
ko:K00338	ppb:PPUBIRD1_1724
ko:K00337	ppb:PPUBIRD1_1725
ko:K00334	ppb:PPUBIRD1_1728
ko:K13378	ppb:PPUBIRD1_1729
ko:K00331	ppb:PPUBIRD1_1730
ko:K00330	ppb:PPUBIRD1_1731
ko:K01637	ppb:PPUBIRD1_1734
ko:K02355	ppb:PPUBIRD1_1739
ko:K08324	ppb:PPUBIRD1_2581
ko:K01915	ppb:PPUBIRD1_2584
ko:K01752	ppb:PPUBIRD1_2588
ko:K00640	ppb:PPUBIRD1_2596
ko:K01991	ppb:PPUBIRD1_2608
ko:K02106	ppb:PPUBIRD1_2611
ko:K01029	ppb:PPUBIRD1_2612
ko:K01028	ppb:PPUBIRD1_2613
ko:K14161	ppb:PPUBIRD1_2617
ko:K01356	ppb:PPUBIRD1_2619
ko:K08195	ppb:PPUBIRD1_2621
ko:K03430	ppb:PPUBIRD1_3442
ko:K05306	ppb:PPUBIRD1_3443
ko:K08303	ppb:PPUBIRD1_3445
ko:K07233	ppb:PPUBIRD1_3447
ko:K06916	ppb:PPUBIRD1_3452
ko:K06169	ppb:PPUBIRD1_3463
ko:K00126	ppb:PPUBIRD1_3465
ko:K00123	ppb:PPUBIRD1_3466
ko:K03607	ppb:PPUBIRD1_3469
ko:K07010	ppb:PPUBIRD1_3472
ko:K01915	ppb:PPUBIRD1_3473
ko:K13652	ppb:PPUBIRD1_3479
ko:K05539	ppb:PPUBIRD1_3485
ko:K04754	ppb:PPUBIRD1_3491
ko:K03088	ppb:PPUBIRD1_4303
ko:K09918	ppb:PPUBIRD1_4311
ko:K00263	ppb:PPUBIRD1_4312
ko:K01555	ppb:PPUBIRD1_4315
ko:K00451	ppb:PPUBIRD1_4316
ko:K06205	ppb:PPUBIRD1_4322
ko:K09932	ppb:PPUBIRD1_4326
ko:K13938	ppb:PPUBIRD1_4327
ko:K09948	ppb:PPUBIRD1_4328
ko:K00549	ppb:PPUBIRD1_4334
ko:K06200	ppb:PPUBIRD1_4337
ko:K04485	ppb:PPUBIRD1_4340
ko:K03282	ppb:PPUBIRD1_4341
ko:K00528	ppb:PPUBIRD1_4342
ko:K07107	ppb:PPUBIRD1_0330
ko:K02002	ppb:PPUBIRD1_0333
ko:K01273	ppb:PPUBIRD1_0338
ko:K03522	ppb:PPUBIRD1_0342
ko:K03521	ppb:PPUBIRD1_0343
ko:K00479	ppb:PPUBIRD1_0344
ko:K01620	ppb:PPUBIRD1_0351
ko:K00600	ppb:PPUBIRD1_0353
ko:K00303	ppb:PPUBIRD1_0354
ko:K00305	ppb:PPUBIRD1_0357
ko:K01433	ppb:PPUBIRD1_0358
ko:K07663	ppb:PPUBIRD1_0364
ko:K07641	ppb:PPUBIRD1_0365
ko:K06143	ppb:PPUBIRD1_0366
ko:K00627	ppb:PPUBIRD1_0371
ko:K00163	ppb:PPUBIRD1_0372
ko:K00982	ppb:PPUBIRD1_0374
ko:K02841	ppb:PPUBIRD1_0376
ko:K02844	ppb:PPUBIRD1_0377
ko:K02848	ppb:PPUBIRD1_0378
ko:K01652	ppb:PPUBIRD1_1200
ko:K07039	ppb:PPUBIRD1_1206
ko:K07006	ppb:PPUBIRD1_1208
ko:K07661	ppb:PPUBIRD1_1222
ko:K07639	ppb:PPUBIRD1_1223
ko:K02362	ppb:PPUBIRD1_1224
ko:K07637	ppb:PPUBIRD1_1228
ko:K11103	ppb:PPUBIRD1_1229
ko:K06182	ppb:PPUBIRD1_1232
ko:K03827	ppb:PPUBIRD1_1233
ko:K14441	ppb:PPUBIRD1_1234
ko:K03549	ppb:PPUBIRD1_1236
ko:K14205	ppb:PPUBIRD1_1238
ko:K02346	ppb:PPUBIRD1_1239
ko:K01881	ppb:PPUBIRD1_1241
ko:K03745	ppb:PPUBIRD1_1245
ko:K03704	ppb:PPUBIRD1_1246
ko:K04047	ppb:PPUBIRD1_1247
ko:K06158	ppb:PPUBIRD1_2097
ko:K08281	ppb:PPUBIRD1_2129
ko:K01142	ppb:PPUBIRD1_2965
ko:K00549	ppb:PPUBIRD1_2975
ko:K07395	ppb:PPUBIRD1_2988
ko:K01753	ppb:PPUBIRD1_2990
ko:K06138	ppb:PPUBIRD1_2994
ko:K09689	ppb:PPUBIRD1_3804
ko:K10107	ppb:PPUBIRD1_3805
ko:K01991	ppb:PPUBIRD1_3806
ko:K01627	ppb:PPUBIRD1_3810
ko:K06041	ppb:PPUBIRD1_3813
ko:K07266	ppb:PPUBIRD1_3815
ko:K07265	ppb:PPUBIRD1_3816
ko:K07266	ppb:PPUBIRD1_3820
ko:K00973	ppb:PPUBIRD1_3825
ko:K00067	ppb:PPUBIRD1_3826
ko:K13007	ppb:PPUBIRD1_3829
ko:K05789	ppb:PPUBIRD1_3836
ko:K05788	ppb:PPUBIRD1_3839
ko:K02945	ppb:PPUBIRD1_3841
ko:K00945	ppb:PPUBIRD1_3842
ko:K14170	ppb:PPUBIRD1_3844
ko:K00831	ppb:PPUBIRD1_3845
ko:K02469	ppb:PPUBIRD1_3846
ko:K08963	ppb:PPUBIRD1_3847
ko:K07396	ppb:PPUBIRD1_3854
ko:K02012	ppb:PPUBIRD1_4671
ko:K02011	ppb:PPUBIRD1_4672
ko:K01939	ppb:PPUBIRD1_4676
ko:K02502	ppb:PPUBIRD1_4677
ko:K04087	ppb:PPUBIRD1_4678
ko:K04088	ppb:PPUBIRD1_4679
ko:K03665	ppb:PPUBIRD1_4680
ko:K03666	ppb:PPUBIRD1_4681
ko:K00791	ppb:PPUBIRD1_4682
ko:K03572	ppb:PPUBIRD1_4683
ko:K01448	ppb:PPUBIRD1_4684
ko:K06925	ppb:PPUBIRD1_4685
ko:K13288	ppb:PPUBIRD1_4689
ko:K06949	ppb:PPUBIRD1_4690
ko:K02557	ppb:PPUBIRD1_4691
ko:K02556	ppb:PPUBIRD1_4692
ko:K01613	ppb:PPUBIRD1_4695
ko:K01079	ppb:PPUBIRD1_4696
ko:K09857	ppb:PPUBIRD1_4698
ko:K02621	ppb:PPUBIRD1_4699
ko:K06985	ppb:PPUBIRD1_4700
ko:K02622	ppb:PPUBIRD1_4702
ko:K07000	ppb:PPUBIRD1_4703
ko:K03651	ppb:PPUBIRD1_4704
ko:K09920	ppb:PPUBIRD1_4705
ko:K03147	ppb:PPUBIRD1_4709
ko:K12340	ppb:PPUBIRD1_4710
ko:K02527	ppb:PPUBIRD1_4711
ko:K03272	ppb:PPUBIRD1_4717
ko:K00600	ppb:PPUBIRD1_0711
ko:K00262	ppb:PPUBIRD1_0715
ko:K03773	ppb:PPUBIRD1_0725
ko:K06193	ppb:PPUBIRD1_0727
ko:K02523	ppb:PPUBIRD1_0728
ko:K02888	ppb:PPUBIRD1_0729
ko:K02899	ppb:PPUBIRD1_0730
ko:K03979	ppb:PPUBIRD1_0731
ko:K00931	ppb:PPUBIRD1_0732
ko:K05805	ppb:PPUBIRD1_0733
ko:K03789	ppb:PPUBIRD1_0738
ko:K08223	ppb:PPUBIRD1_0742
ko:K03088	ppb:PPUBIRD1_0746
ko:K01247	ppb:PPUBIRD1_0747
ko:K10778	ppb:PPUBIRD1_0748
ko:K02343	ppb:PPUBIRD1_1587
ko:K09747	ppb:PPUBIRD1_1588
ko:K06187	ppb:PPUBIRD1_1589
ko:K00759	ppb:PPUBIRD1_1590
ko:K09792	ppb:PPUBIRD1_1593
ko:K09926	ppb:PPUBIRD1_1596
ko:K00406	ppb:PPUBIRD1_1598
ko:K00407	ppb:PPUBIRD1_1599
ko:K00405	ppb:PPUBIRD1_1600
ko:K00406	ppb:PPUBIRD1_1603
ko:K00407	ppb:PPUBIRD1_1604
ko:K00405	ppb:PPUBIRD1_1605
ko:K00404	ppb:PPUBIRD1_1606
ko:K07020	ppb:PPUBIRD1_1607
ko:K09913	ppb:PPUBIRD1_1608
ko:K03088	ppb:PPUBIRD1_1612
ko:K03805	ppb:PPUBIRD1_1616
ko:K04084	ppb:PPUBIRD1_1618
ko:K07402	ppb:PPUBIRD1_1622
ko:K07141	ppb:PPUBIRD1_1623
ko:K00836	ppb:PPUBIRD1_1626
ko:K06160	ppb:PPUBIRD1_1634
ko:K09964	ppb:PPUBIRD1_2466
ko:K01193	ppb:PPUBIRD1_2469
ko:K00847	ppb:PPUBIRD1_2475
ko:K07112	ppb:PPUBIRD1_2476
ko:K02616	ppb:PPUBIRD1_2486
ko:K15866	ppb:PPUBIRD1_2489
ko:K00074	ppb:PPUBIRD1_2490
ko:K01912	ppb:PPUBIRD1_2493
ko:K02609	ppb:PPUBIRD1_2494
ko:K02610	ppb:PPUBIRD1_2495
ko:K02611	ppb:PPUBIRD1_2496
ko:K02612	ppb:PPUBIRD1_2497
ko:K02613	ppb:PPUBIRD1_2498
ko:K14393	ppb:PPUBIRD1_2500
ko:K02618	ppb:PPUBIRD1_2502
ko:K01737	ppb:PPUBIRD1_3344
ko:K06938	ppb:PPUBIRD1_3345
ko:K01682	ppb:PPUBIRD1_3347
ko:K01720	ppb:PPUBIRD1_3348
ko:K01665	ppb:PPUBIRD1_3357
ko:K00390	ppb:PPUBIRD1_3358
ko:K13634	ppb:PPUBIRD1_3359
ko:K00077	ppb:PPUBIRD1_3361
ko:K01626	ppb:PPUBIRD1_3362
ko:K06975	ppb:PPUBIRD1_3363
ko:K10804	ppb:PPUBIRD1_3367
ko:K02003	ppb:PPUBIRD1_3368
ko:K04760	ppb:PPUBIRD1_3370
ko:K15977	ppb:PPUBIRD1_3372
ko:K03424	ppb:PPUBIRD1_3374
ko:K07001	ppb:PPUBIRD1_3380
ko:K03770	ppb:PPUBIRD1_3381
ko:K03530	ppb:PPUBIRD1_3382
ko:K01338	ppb:PPUBIRD1_3383
ko:K03544	ppb:PPUBIRD1_3384
ko:K01358	ppb:PPUBIRD1_3385
ko:K03545	ppb:PPUBIRD1_3386
ko:K01491	ppb:PPUBIRD1_3388
ko:K01055	ppb:PPUBIRD1_4180
ko:K01857	ppb:PPUBIRD1_4181
ko:K07823	ppb:PPUBIRD1_4183
ko:K08195	ppb:PPUBIRD1_4185
ko:K02624	ppb:PPUBIRD1_4186
ko:K06915	ppb:PPUBIRD1_4190
ko:K01433	ppb:PPUBIRD1_4195
ko:K01141	ppb:PPUBIRD1_4197
ko:K00873	ppb:PPUBIRD1_4200
ko:K04077	ppb:PPUBIRD1_4201
ko:K04078	ppb:PPUBIRD1_4202
ko:K07113	ppb:PPUBIRD1_4203
ko:K07226	ppb:PPUBIRD1_4204
ko:K07443	ppb:PPUBIRD1_4206
ko:K08218	ppb:PPUBIRD1_4207
ko:K08160	ppb:PPUBIRD1_4208
ko:K09767	ppb:PPUBIRD1_4210
ko:K00077	ppb:PPUBIRD1_4211
ko:K00798	ppb:PPUBIRD1_4213
ko:K00620	ppb:PPUBIRD1_4216
