ko:K10747	xfu:XFF4834R_chr31600
ko:K11183	xfu:XFF4834R_chr24970
ko:K00882	xfu:XFF4834R_chr24980
ko:K02769	xfu:XFF4834R_chr24990
ko:K02770	xfu:XFF4834R_chr24990
ko:K07267	xfu:XFF4834R_chr25000
ko:K03074	xfu:XFF4834R_chr25210
ko:K03072	xfu:XFF4834R_chr25220
ko:K03210	xfu:XFF4834R_chr25230
ko:K00773	xfu:XFF4834R_chr25240
ko:K07568	xfu:XFF4834R_chr25250
ko:K09801	xfu:XFF4834R_chr30000
ko:K03664	xfu:XFF4834R_chr30020
ko:K01669	xfu:XFF4834R_chr30200
ko:K01953	xfu:XFF4834R_chr30230
ko:K00799	xfu:XFF4834R_chr30240
ko:K00252	xfu:XFF4834R_chr30260
ko:K03424	xfu:XFF4834R_chr30290
ko:K06077	xfu:XFF4834R_chr30320
ko:K03704	xfu:XFF4834R_chr30330
ko:K09793	xfu:XFF4834R_chr30340
ko:K01058	xfu:XFF4834R_chr30350
ko:K01673	xfu:XFF4834R_chr30360
ko:K00799	xfu:XFF4834R_chr30370
ko:K01676	xfu:XFF4834R_chr30380
ko:K06147	xfu:XFF4834R_chr30390
ko:K00528	xfu:XFF4834R_chr30400
ko:K00432	xfu:XFF4834R_chr30410
ko:K01284	xfu:XFF4834R_chr30420
ko:K15974	xfu:XFF4834R_chr30430
ko:K06975	xfu:XFF4834R_chr30450
ko:K17103	xfu:XFF4834R_chr34600
ko:K01881	xfu:XFF4834R_chr34620
ko:K02066	xfu:XFF4834R_chr34650
ko:K02065	xfu:XFF4834R_chr34660
ko:K02067	xfu:XFF4834R_chr34670
ko:K00311	xfu:XFF4834R_chr34700
ko:K01029	xfu:XFF4834R_chr34710
ko:K01028	xfu:XFF4834R_chr34720
ko:K15778	xfu:XFF4834R_chr34730
ko:K00012	xfu:XFF4834R_chr34750
ko:K00067	xfu:XFF4834R_chr34760
ko:K01790	xfu:XFF4834R_chr34770
ko:K00973	xfu:XFF4834R_chr34780
ko:K03521	xfu:XFF4834R_chr34800
ko:K03522	xfu:XFF4834R_chr34810
ko:K10012	xfu:XFF4834R_chr34830
ko:K01711	xfu:XFF4834R_chr34900
ko:K01758	xfu:XFF4834R_chr34960
ko:K01697	xfu:XFF4834R_chr34970
ko:K02670	xfu:XFF4834R_chr35010
ko:K16171	xfu:XFF4834R_chr35030
ko:K11927	xfu:XFF4834R_chr35040
ko:K01301	xfu:XFF4834R_chr35050
ko:K02014	xfu:XFF4834R_chr35060
ko:K01255	xfu:XFF4834R_chr38510
ko:K09992	xfu:XFF4834R_chr38560
ko:K07693	xfu:XFF4834R_chr38570
ko:K07778	xfu:XFF4834R_chr38580
ko:K02003	xfu:XFF4834R_chr38620
ko:K02004	xfu:XFF4834R_chr38630
ko:K02004	xfu:XFF4834R_chr38640
ko:K05786	xfu:XFF4834R_chr38660
ko:K01867	xfu:XFF4834R_chr38710
ko:K01476	xfu:XFF4834R_chr38750
ko:K07131	xfu:XFF4834R_chr38760
ko:K06945	xfu:XFF4834R_chr38790
ko:K00943	xfu:XFF4834R_chr38800
ko:K03525	xfu:XFF4834R_chr38830
ko:K03524	xfu:XFF4834R_chr38840
ko:K09933	xfu:XFF4834R_chr38860
ko:K07637	xfu:XFF4834R_chr38890
ko:K07660	xfu:XFF4834R_chr38900
ko:K05539	xfu:XFF4834R_chr38920
ko:K03781	xfu:XFF4834R_chr38960
ko:K06177	xfu:XFF4834R_chr41940
ko:K09958	xfu:XFF4834R_chr42040
ko:K03581	xfu:XFF4834R_chr42140
ko:K03582	xfu:XFF4834R_chr42150
ko:K03583	xfu:XFF4834R_chr42160
ko:K02065	xfu:XFF4834R_chr42240
ko:K02066	xfu:XFF4834R_chr42250
ko:K02067	xfu:XFF4834R_chr42260
ko:K07323	xfu:XFF4834R_chr42270
ko:K07122	xfu:XFF4834R_chr42280
ko:K04754	xfu:XFF4834R_chr42290
ko:K00432	xfu:XFF4834R_chr42310
ko:K09760	xfu:XFF4834R_chr42330
ko:K00799	xfu:XFF4834R_chr42360
ko:K02313	xfu:XFF4834R_chr00010
ko:K02338	xfu:XFF4834R_chr00020
ko:K03629	xfu:XFF4834R_chr00030
ko:K02470	xfu:XFF4834R_chr00040
ko:K07052	xfu:XFF4834R_chr00050
ko:K03832	xfu:XFF4834R_chr00080
ko:K03561	xfu:XFF4834R_chr00090
ko:K03559	xfu:XFF4834R_chr00100
ko:K03559	xfu:XFF4834R_chr00110
ko:K03559	xfu:XFF4834R_chr00120
ko:K03474	xfu:XFF4834R_chr00130
ko:K06131	xfu:XFF4834R_chr00150
ko:K06076	xfu:XFF4834R_chr00200
ko:K00058	xfu:XFF4834R_chr00230
ko:K03797	xfu:XFF4834R_chr00240
ko:K13979	xfu:XFF4834R_chr00320
ko:K00266	xfu:XFF4834R_chr00340
ko:K00265	xfu:XFF4834R_chr00350
ko:K07502	xfu:XFF4834R_chr00480
ko:K06877	xfu:XFF4834R_chr00490
ko:K11068	xfu:XFF4834R_chr00500
ko:K00297	xfu:XFF4834R_chr03050
ko:K09765	xfu:XFF4834R_chr03060
ko:K03576	xfu:XFF4834R_chr03070
ko:K00299	xfu:XFF4834R_chr03080
ko:K00549	xfu:XFF4834R_chr03100
ko:K02526	xfu:XFF4834R_chr03110
ko:K01687	xfu:XFF4834R_chr03280
ko:K06940	xfu:XFF4834R_chr03300
ko:K00481	xfu:XFF4834R_chr03400
ko:K00864	xfu:XFF4834R_chr03420
ko:K02440	xfu:XFF4834R_chr03430
ko:K00111	xfu:XFF4834R_chr03440
ko:K02444	xfu:XFF4834R_chr03450
ko:K01039	xfu:XFF4834R_chr03480
ko:K01040	xfu:XFF4834R_chr03490
ko:K07823	xfu:XFF4834R_chr03500
ko:K00449	xfu:XFF4834R_chr03510
ko:K00448	xfu:XFF4834R_chr03520
ko:K02904	xfu:XFF4834R_chr09860
ko:K02961	xfu:XFF4834R_chr09870
ko:K02874	xfu:XFF4834R_chr09880
ko:K02895	xfu:XFF4834R_chr09890
ko:K02931	xfu:XFF4834R_chr09900
ko:K02954	xfu:XFF4834R_chr09910
ko:K02994	xfu:XFF4834R_chr09920
ko:K02933	xfu:XFF4834R_chr09930
ko:K02881	xfu:XFF4834R_chr09940
ko:K02988	xfu:XFF4834R_chr09950
ko:K02907	xfu:XFF4834R_chr09960
ko:K02876	xfu:XFF4834R_chr09970
ko:K03076	xfu:XFF4834R_chr09980
ko:K02952	xfu:XFF4834R_chr09990
ko:K02948	xfu:XFF4834R_chr10000
ko:K02986	xfu:XFF4834R_chr10010
ko:K03040	xfu:XFF4834R_chr10020
ko:K02879	xfu:XFF4834R_chr10030
ko:K03611	xfu:XFF4834R_chr10040
ko:K01626	xfu:XFF4834R_chr10060
ko:K01426	xfu:XFF4834R_chr10080
ko:K06207	xfu:XFF4834R_chr10100
ko:K03768	xfu:XFF4834R_chr10110
ko:K00024	xfu:XFF4834R_chr10120
ko:K00799	xfu:XFF4834R_chr10130
ko:K00219	xfu:XFF4834R_chr10160
ko:K03286	xfu:XFF4834R_chr10180
ko:K06178	xfu:XFF4834R_chr10200
ko:K00639	xfu:XFF4834R_chr10220
ko:K02048	xfu:XFF4834R_chr10230
ko:K02046	xfu:XFF4834R_chr10240
ko:K02047	xfu:XFF4834R_chr10250
ko:K02045	xfu:XFF4834R_chr10260
ko:K00060	xfu:XFF4834R_chr10280
ko:K01114	xfu:XFF4834R_chr10300
ko:K11754	xfu:XFF4834R_chr10330
ko:K00891	xfu:XFF4834R_chr16170
ko:K00275	xfu:XFF4834R_chr16180
ko:K09980	xfu:XFF4834R_chr16190
ko:K10716	xfu:XFF4834R_chr16210
ko:K08989	xfu:XFF4834R_chr16230
ko:K13639	xfu:XFF4834R_chr16280
ko:K07782	xfu:XFF4834R_chr16450
ko:K01728	xfu:XFF4834R_chr16490
ko:K01273	xfu:XFF4834R_chr16530
ko:K00425	xfu:XFF4834R_chr16540
ko:K00426	xfu:XFF4834R_chr16550
ko:K06213	xfu:XFF4834R_chr16570
ko:K08483	xfu:XFF4834R_chr16590
ko:K11189	xfu:XFF4834R_chr16600
ko:K02821	xfu:XFF4834R_chr16610
ko:K06958	xfu:XFF4834R_chr16630
ko:K06023	xfu:XFF4834R_chr16640
ko:K02806	xfu:XFF4834R_chr16650
ko:K02238	xfu:XFF4834R_chr21900
ko:K03561	xfu:XFF4834R_chr21910
ko:K03559	xfu:XFF4834R_chr21920
ko:K11085	xfu:XFF4834R_chr21930
ko:K00912	xfu:XFF4834R_chr21940
ko:K00979	xfu:XFF4834R_chr21950
ko:K01104	xfu:XFF4834R_chr21960
ko:K03703	xfu:XFF4834R_chr21980
ko:K00995	xfu:XFF4834R_chr21990
ko:K02474	xfu:XFF4834R_chr22040
ko:K03772	xfu:XFF4834R_chr22060
ko:K07146	xfu:XFF4834R_chr22080
ko:K08300	xfu:XFF4834R_chr22100
ko:K06179	xfu:XFF4834R_chr22110
ko:K07238	xfu:XFF4834R_chr22130
ko:K03832	xfu:XFF4834R_chr22140
ko:K01724	xfu:XFF4834R_chr22150
ko:K07400	xfu:XFF4834R_chr22160
ko:K01695	xfu:XFF4834R_chr27120
ko:K01696	xfu:XFF4834R_chr27140
ko:K01817	xfu:XFF4834R_chr27160
ko:K06173	xfu:XFF4834R_chr27170
ko:K06996	xfu:XFF4834R_chr27180
ko:K08086	xfu:XFF4834R_chr27190
ko:K00133	xfu:XFF4834R_chr27200
ko:K00090	xfu:XFF4834R_chr27210
ko:K01736	xfu:XFF4834R_chr27220
ko:K07320	xfu:XFF4834R_chr27230
ko:K07152	xfu:XFF4834R_chr27240
ko:K01613	xfu:XFF4834R_chr27250
ko:K08307	xfu:XFF4834R_chr27260
ko:K06915	xfu:XFF4834R_chr27270
ko:K04760	xfu:XFF4834R_chr27310
ko:K14441	xfu:XFF4834R_chr27320
ko:K01805	xfu:XFF4834R_chr27360
ko:K00854	xfu:XFF4834R_chr27370
ko:K15923	xfu:XFF4834R_chr27380
ko:K01811	xfu:XFF4834R_chr27390
ko:K05970	xfu:XFF4834R_chr27410
ko:K01631	xfu:XFF4834R_chr27460
ko:K01684	xfu:XFF4834R_chr27470
ko:K00883	xfu:XFF4834R_chr27490
ko:K05524	xfu:XFF4834R_chr27500
ko:K01714	xfu:XFF4834R_chr27520
ko:K03567	xfu:XFF4834R_chr27530
ko:K03564	xfu:XFF4834R_chr27550
ko:K07175	xfu:XFF4834R_chr27560
ko:K00941	xfu:XFF4834R_chr27590
ko:K03215	xfu:XFF4834R_chr31720
ko:K03584	xfu:XFF4834R_chr31740
ko:K03685	xfu:XFF4834R_chr31760
ko:K03100	xfu:XFF4834R_chr31780
ko:K03596	xfu:XFF4834R_chr31790
ko:K03088	xfu:XFF4834R_chr31820
ko:K01782	xfu:XFF4834R_chr31830
ko:K16264	xfu:XFF4834R_chr31890
ko:K00140	xfu:XFF4834R_chr31940
ko:K01224	xfu:XFF4834R_chr31970
ko:K01190	xfu:XFF4834R_chr31980
ko:K01206	xfu:XFF4834R_chr32000
ko:K03630	xfu:XFF4834R_chr32200
ko:K03183	xfu:XFF4834R_chr06520
ko:K00121	xfu:XFF4834R_chr06610
ko:K00856	xfu:XFF4834R_chr06640
ko:K03569	xfu:XFF4834R_chr06650
ko:K03570	xfu:XFF4834R_chr06660
ko:K03571	xfu:XFF4834R_chr06670
ko:K05515	xfu:XFF4834R_chr06680
ko:K05837	xfu:XFF4834R_chr06690
ko:K08305	xfu:XFF4834R_chr06710
ko:K03642	xfu:XFF4834R_chr06720
ko:K07258	xfu:XFF4834R_chr06730
ko:K09158	xfu:XFF4834R_chr06750
ko:K03801	xfu:XFF4834R_chr06760
ko:K03644	xfu:XFF4834R_chr06770
ko:K03797	xfu:XFF4834R_chr06780
ko:K07090	xfu:XFF4834R_chr06790
ko:K00033	xfu:XFF4834R_chr06890
ko:K00950	xfu:XFF4834R_chr06950
ko:K03793	xfu:XFF4834R_chr06960
ko:K03214	xfu:XFF4834R_chr13260
ko:K03929	xfu:XFF4834R_chr13270
ko:K01187	xfu:XFF4834R_chr13280
ko:K02529	xfu:XFF4834R_chr13310
ko:K03282	xfu:XFF4834R_chr13330
ko:K03439	xfu:XFF4834R_chr13370
ko:K03149	xfu:XFF4834R_chr13380
ko:K03154	xfu:XFF4834R_chr13390
ko:K12686	xfu:XFF4834R_chr13400
ko:K04793	xfu:XFF4834R_chr13430
ko:K07154	xfu:XFF4834R_chr13480
ko:K12524	xfu:XFF4834R_chr19650
ko:K00872	xfu:XFF4834R_chr19660
ko:K01733	xfu:XFF4834R_chr19680
ko:K01892	xfu:XFF4834R_chr19710
ko:K00765	xfu:XFF4834R_chr19730
ko:K00013	xfu:XFF4834R_chr19740
ko:K00817	xfu:XFF4834R_chr19750
ko:K01089	xfu:XFF4834R_chr19760
ko:K02501	xfu:XFF4834R_chr19770
ko:K01814	xfu:XFF4834R_chr19780
ko:K02500	xfu:XFF4834R_chr19790
ko:K11755	xfu:XFF4834R_chr19800
ko:K09880	xfu:XFF4834R_chr19830
ko:K08967	xfu:XFF4834R_chr19840
ko:K08964	xfu:XFF4834R_chr19850
ko:K03294	xfu:XFF4834R_chr19860
ko:K03294	xfu:XFF4834R_chr19870
ko:K00058	xfu:XFF4834R_chr19890
ko:K02356	xfu:XFF4834R_chr19940
ko:K01640	xfu:XFF4834R_chr19960
ko:K13766	xfu:XFF4834R_chr19980
ko:K04758	xfu:XFF4834R_chr19990
ko:K04759	xfu:XFF4834R_chr20000
ko:K05825	xfu:XFF4834R_chr20030
ko:K01083	xfu:XFF4834R_chr25300
ko:K00761	xfu:XFF4834R_chr25320
ko:K00954	xfu:XFF4834R_chr25370
ko:K08316	xfu:XFF4834R_chr25380
ko:K04079	xfu:XFF4834R_chr25390
ko:K09955	xfu:XFF4834R_chr25480
ko:K08677	xfu:XFF4834R_chr25560
ko:K03110	xfu:XFF4834R_chr25750
ko:K03575	xfu:XFF4834R_chr25770
ko:K03305	xfu:XFF4834R_chr30480
ko:K05349	xfu:XFF4834R_chr30500
ko:K03446	xfu:XFF4834R_chr30520
ko:K03543	xfu:XFF4834R_chr30530
ko:K02621	xfu:XFF4834R_chr30570
ko:K00569	xfu:XFF4834R_chr30580
ko:K03594	xfu:XFF4834R_chr30590
ko:K02014	xfu:XFF4834R_chr30610
ko:K01953	xfu:XFF4834R_chr30630
ko:K01439	xfu:XFF4834R_chr30640
ko:K00674	xfu:XFF4834R_chr30660
ko:K00990	xfu:XFF4834R_chr30670
ko:K01265	xfu:XFF4834R_chr30680
ko:K07346	xfu:XFF4834R_chr30700
ko:K07347	xfu:XFF4834R_chr30710
ko:K07346	xfu:XFF4834R_chr30740
ko:K02967	xfu:XFF4834R_chr30750
ko:K02357	xfu:XFF4834R_chr30760
ko:K09903	xfu:XFF4834R_chr30780
ko:K02838	xfu:XFF4834R_chr30790
ko:K00806	xfu:XFF4834R_chr30800
ko:K00981	xfu:XFF4834R_chr30810
ko:K00099	xfu:XFF4834R_chr30820
ko:K11749	xfu:XFF4834R_chr30830
ko:K07277	xfu:XFF4834R_chr30840
ko:K02536	xfu:XFF4834R_chr30860
ko:K02372	xfu:XFF4834R_chr30870
ko:K00677	xfu:XFF4834R_chr30880
ko:K00748	xfu:XFF4834R_chr30890
ko:K03470	xfu:XFF4834R_chr30900
ko:K02337	xfu:XFF4834R_chr30910
ko:K01962	xfu:XFF4834R_chr30920
ko:K08973	xfu:XFF4834R_chr30950
ko:K01737	xfu:XFF4834R_chr35090
ko:K01935	xfu:XFF4834R_chr35130
ko:K07017	xfu:XFF4834R_chr35160
ko:K01091	xfu:XFF4834R_chr35180
ko:K02346	xfu:XFF4834R_chr35190
ko:K01857	xfu:XFF4834R_chr03530
ko:K01055	xfu:XFF4834R_chr03540
ko:K01607	xfu:XFF4834R_chr03550
ko:K02624	xfu:XFF4834R_chr03580
ko:K07178	xfu:XFF4834R_chr03590
ko:K03495	xfu:XFF4834R_chr03630
ko:K01754	xfu:XFF4834R_chr03650
ko:K02169	xfu:XFF4834R_chr03690
ko:K00059	xfu:XFF4834R_chr03700
ko:K02170	xfu:XFF4834R_chr03710
ko:K00652	xfu:XFF4834R_chr03730
ko:K01012	xfu:XFF4834R_chr03740
ko:K03179	xfu:XFF4834R_chr03760
ko:K03220	xfu:XFF4834R_chr03880
ko:K03227	xfu:XFF4834R_chr03900
ko:K03226	xfu:XFF4834R_chr03910
ko:K03225	xfu:XFF4834R_chr03920
ko:K18381	xfu:XFF4834R_chr03930
ko:K03230	xfu:XFF4834R_chr03940
ko:K03229	xfu:XFF4834R_chr03950
ko:K18374	xfu:XFF4834R_chr03970
ko:K03222	xfu:XFF4834R_chr03980
ko:K03558	xfu:XFF4834R_chr10350
ko:K00764	xfu:XFF4834R_chr10360
ko:K03269	xfu:XFF4834R_chr10400
ko:K01524	xfu:XFF4834R_chr10430
ko:K00937	xfu:XFF4834R_chr10440
ko:K07636	xfu:XFF4834R_chr10450
ko:K07657	xfu:XFF4834R_chr10460
ko:K00030	xfu:XFF4834R_chr10500
ko:K03545	xfu:XFF4834R_chr10580
ko:K01358	xfu:XFF4834R_chr10590
ko:K03544	xfu:XFF4834R_chr10600
ko:K01338	xfu:XFF4834R_chr10610
ko:K03530	xfu:XFF4834R_chr10620
ko:K03770	xfu:XFF4834R_chr10660
ko:K08307	xfu:XFF4834R_chr10670
ko:K01069	xfu:XFF4834R_chr10680
ko:K03469	xfu:XFF4834R_chr10700
ko:K02342	xfu:XFF4834R_chr10710
ko:K12982	xfu:XFF4834R_chr10750
ko:K11211	xfu:XFF4834R_chr10760
ko:K03639	xfu:XFF4834R_chr10780
ko:K03637	xfu:XFF4834R_chr10800
ko:K03636	xfu:XFF4834R_chr10810
ko:K03635	xfu:XFF4834R_chr10820
ko:K05808	xfu:XFF4834R_chr16660
ko:K03092	xfu:XFF4834R_chr16670
ko:K01716	xfu:XFF4834R_chr35200
ko:K00647	xfu:XFF4834R_chr35210
ko:K01414	xfu:XFF4834R_chr35230
ko:K01738	xfu:XFF4834R_chr35240
ko:K07233	xfu:XFF4834R_chr35270
ko:K01759	xfu:XFF4834R_chr35280
ko:K00820	xfu:XFF4834R_chr35330
ko:K02005	xfu:XFF4834R_chr35340
ko:K02003	xfu:XFF4834R_chr35350
ko:K02004	xfu:XFF4834R_chr35360
ko:K02004	xfu:XFF4834R_chr35370
ko:K04042	xfu:XFF4834R_chr35410
ko:K04093	xfu:XFF4834R_chr35430
ko:K02114	xfu:XFF4834R_chr35440
ko:K02112	xfu:XFF4834R_chr35450
ko:K02115	xfu:XFF4834R_chr35460
ko:K02111	xfu:XFF4834R_chr35470
ko:K02113	xfu:XFF4834R_chr35480
ko:K02109	xfu:XFF4834R_chr35490
ko:K02110	xfu:XFF4834R_chr35500
ko:K02108	xfu:XFF4834R_chr35510
ko:K00014	xfu:XFF4834R_chr39000
ko:K00380	xfu:XFF4834R_chr39020
ko:K01173	xfu:XFF4834R_chr39030
ko:K01698	xfu:XFF4834R_chr39060
ko:K01278	xfu:XFF4834R_chr39110
ko:K03832	xfu:XFF4834R_chr39180
ko:K09696	xfu:XFF4834R_chr39190
ko:K09697	xfu:XFF4834R_chr39200
ko:K07729	xfu:XFF4834R_chr39220
ko:K01198	xfu:XFF4834R_chr39240
ko:K02014	xfu:XFF4834R_chr39280
ko:K13633	xfu:XFF4834R_chr39300
ko:K01990	xfu:XFF4834R_chr39320
ko:K01992	xfu:XFF4834R_chr39330
ko:K00077	xfu:XFF4834R_chr39340
ko:K03671	xfu:XFF4834R_chr39380
ko:K09799	xfu:XFF4834R_chr39430
ko:K06213	xfu:XFF4834R_chr39450
ko:K01674	xfu:XFF4834R_chr39470
ko:K11747	xfu:XFF4834R_chr39480
ko:K00865	xfu:XFF4834R_chr42840
ko:K01273	xfu:XFF4834R_chr42860
ko:K06969	xfu:XFF4834R_chr42880
ko:K05794	xfu:XFF4834R_chr42890
ko:K01126	xfu:XFF4834R_chr42910
ko:K02014	xfu:XFF4834R_chr42920
ko:K00059	xfu:XFF4834R_chr00540
ko:K00355	xfu:XFF4834R_chr00590
ko:K04090	xfu:XFF4834R_chr00660
ko:K05845	xfu:XFF4834R_chr00710
ko:K05846	xfu:XFF4834R_chr00710
ko:K05847	xfu:XFF4834R_chr00720
ko:K02013	xfu:XFF4834R_chr00750
ko:K07001	xfu:XFF4834R_chr00770
ko:K16088	xfu:XFF4834R_chr00780
ko:K03719	xfu:XFF4834R_chr00790
ko:K00500	xfu:XFF4834R_chr00800
ko:K01808	xfu:XFF4834R_chr00830
ko:K00065	xfu:XFF4834R_chr00840
ko:K01815	xfu:XFF4834R_chr00850
ko:K02529	xfu:XFF4834R_chr00860
ko:K02554	xfu:XFF4834R_chr00910
ko:K03929	xfu:XFF4834R_chr00930
ko:K00064	xfu:XFF4834R_chr00940
ko:K07095	xfu:XFF4834R_chr00950
ko:K00700	xfu:XFF4834R_chr00960
ko:K05343	xfu:XFF4834R_chr00970
ko:K16147	xfu:XFF4834R_chr00980
ko:K00600	xfu:XFF4834R_chr07510
ko:K07738	xfu:XFF4834R_chr07520
ko:K11752	xfu:XFF4834R_chr07540
ko:K00793	xfu:XFF4834R_chr07560
ko:K14652	xfu:XFF4834R_chr07570
ko:K00794	xfu:XFF4834R_chr07580
ko:K03625	xfu:XFF4834R_chr07590
ko:K00946	xfu:XFF4834R_chr07600
ko:K01546	xfu:XFF4834R_chr07640
ko:K01547	xfu:XFF4834R_chr07650
ko:K01548	xfu:XFF4834R_chr07660
ko:K07646	xfu:XFF4834R_chr07670
ko:K07667	xfu:XFF4834R_chr07680
ko:K03777	xfu:XFF4834R_chr07690
ko:K07038	xfu:XFF4834R_chr07700
ko:K07460	xfu:XFF4834R_chr07710
ko:K07121	xfu:XFF4834R_chr07720
ko:K07056	xfu:XFF4834R_chr07730
ko:K03925	xfu:XFF4834R_chr07750
ko:K03438	xfu:XFF4834R_chr07760
ko:K03586	xfu:XFF4834R_chr07770
ko:K03587	xfu:XFF4834R_chr07780
ko:K01928	xfu:XFF4834R_chr07790
ko:K01929	xfu:XFF4834R_chr07800
ko:K01000	xfu:XFF4834R_chr07810
ko:K03588	xfu:XFF4834R_chr07820
ko:K02563	xfu:XFF4834R_chr07830
ko:K01924	xfu:XFF4834R_chr07840
ko:K01921	xfu:XFF4834R_chr07850
ko:K03589	xfu:XFF4834R_chr07860
ko:K03590	xfu:XFF4834R_chr07870
ko:K03531	xfu:XFF4834R_chr07880
ko:K02535	xfu:XFF4834R_chr07890
