ko:K19079	saud:CH52_02460
ko:K03217	saud:CH52_08505
ko:K06950	saud:CH52_08510
ko:K06131	saud:CH52_08515
ko:K05837	saud:CH52_08535
ko:K01921	saud:CH52_08540
ko:K01929	saud:CH52_08545
ko:K05592	saud:CH52_08550
ko:K07667	saud:CH52_08560
ko:K07646	saud:CH52_08565
ko:K01546	saud:CH52_08575
ko:K01547	saud:CH52_08580
ko:K01548	saud:CH52_08585
ko:K08981	saud:CH52_08595
ko:K09167	saud:CH52_08600
ko:K00997	saud:CH52_08605
ko:K01775	saud:CH52_08610
ko:K07315	saud:CH52_08625
ko:K04749	saud:CH52_08630
ko:K04757	saud:CH52_08635
ko:K03090	saud:CH52_08640
ko:K06959	saud:CH52_08645
ko:K03095	saud:CH52_08650
ko:K01754	saud:CH52_08690
ko:K01704	saud:CH52_08695
ko:K01703	saud:CH52_08700
ko:K00052	saud:CH52_08705
ko:K01649	saud:CH52_08710
ko:K00053	saud:CH52_08715
ko:K01653	saud:CH52_08720
ko:K01652	saud:CH52_08725
ko:K01687	saud:CH52_08730
ko:K06925	saud:CH52_08740
ko:K03789	saud:CH52_08750
ko:K01409	saud:CH52_08755
ko:K06158	saud:CH52_08765
ko:K01926	saud:CH52_08770
ko:K07112	saud:CH52_08775
ko:K03320	saud:CH52_08785
ko:K03484	saud:CH52_08790
ko:K01193	saud:CH52_08795
ko:K00847	saud:CH52_08800
ko:K07707	saud:CH52_08805
ko:K07706	saud:CH52_08810
ko:K07095	saud:CH52_13335
ko:K02428	saud:CH52_13340
ko:K01776	saud:CH52_13345
ko:K00240	saud:CH52_13350
ko:K00239	saud:CH52_13355
ko:K00241	saud:CH52_13360
ko:K00765	saud:CH52_05615
ko:K00013	saud:CH52_05620
ko:K00817	saud:CH52_05625
ko:K01693	saud:CH52_05630
ko:K02501	saud:CH52_05635
ko:K01814	saud:CH52_05640
ko:K02500	saud:CH52_05645
ko:K11755	saud:CH52_05650
ko:K11936	saud:CH52_05675
ko:K01104	saud:CH52_05695
ko:K07304	saud:CH52_05705
ko:K03076	saud:CH52_05740
ko:K12268	saud:CH52_05745
ko:K12269	saud:CH52_05750
ko:K12270	saud:CH52_05755
ko:K03070	saud:CH52_05760
ko:K01421	saud:CH52_05790
ko:K01809	saud:CH52_05795
ko:K02768	saud:CH52_05800
ko:K02769	saud:CH52_05800
ko:K02770	saud:CH52_05800
ko:K01401	saud:CH52_05820
ko:K01478	saud:CH52_05830
ko:K00611	saud:CH52_05835
ko:K03758	saud:CH52_05840
ko:K00926	saud:CH52_05845
ko:K14192	saud:CH52_05855
ko:K01077	saud:CH52_05875
ko:K13853	saud:CH52_10420
ko:K02529	saud:CH52_10425
ko:K04768	saud:CH52_10430
ko:K04766	saud:CH52_10435
ko:K01895	saud:CH52_10440
ko:K01938	saud:CH52_10445
ko:K12551	saud:CH52_10460
ko:K11476	saud:CH52_06465
ko:K00851	saud:CH52_06470
ko:K03299	saud:CH52_06475
ko:K13732	saud:CH52_06485
ko:K00963	saud:CH52_06495
ko:K01835	saud:CH52_06535
ko:K03574	saud:CH52_06540
ko:K12942	saud:CH52_06620
ko:K15584	saud:CH52_06650
ko:K15585	saud:CH52_06655
ko:K15586	saud:CH52_06660
ko:K15587	saud:CH52_06665
ko:K10824	saud:CH52_06670
ko:K02068	saud:CH52_06710
ko:K02069	saud:CH52_06715
ko:K03929	saud:CH52_06725
ko:K05847	saud:CH52_06740
ko:K05846	saud:CH52_06745
ko:K05845	saud:CH52_06750
ko:K05846	saud:CH52_06755
ko:K00845	saud:CH52_11335
ko:K02243	saud:CH52_11350
ko:K02244	saud:CH52_11355
ko:K02245	saud:CH52_11360
ko:K02246	saud:CH52_11365
ko:K00891	saud:CH52_11380
ko:K00605	saud:CH52_11385
ko:K00282	saud:CH52_11390
ko:K00283	saud:CH52_11395
ko:K03800	saud:CH52_11405
ko:K01262	saud:CH52_11420
ko:K02356	saud:CH52_11425
ko:K02160	saud:CH52_11430
ko:K01961	saud:CH52_11435
ko:K03625	saud:CH52_11445
ko:K03601	saud:CH52_11450
ko:K03602	saud:CH52_11455
ko:K13789	saud:CH52_11460
ko:K03402	saud:CH52_11465
ko:K03631	saud:CH52_11470
ko:K00382	saud:CH52_11475
ko:K00166	saud:CH52_11480
ko:K00167	saud:CH52_11485
ko:K09699	saud:CH52_11490
ko:K00033	saud:CH52_11520
ko:K01187	saud:CH52_11540
ko:K00036	saud:CH52_11550
ko:K00784	saud:CH52_11555
ko:K00286	saud:CH52_11560
ko:K07124	saud:CH52_11565
ko:K01515	saud:CH52_11580
ko:K03711	saud:CH52_11585
ko:K04763	saud:CH52_11590
ko:K09763	saud:CH52_11595
ko:K05896	saud:CH52_11600
ko:K06024	saud:CH52_11605
ko:K06178	saud:CH52_11610
ko:K07775	saud:CH52_11615
ko:K07651	saud:CH52_11620
ko:K07106	saud:CH52_04765
ko:K09963	saud:CH52_04770
ko:K03311	saud:CH52_04795
ko:K00819	saud:CH52_04800
ko:K00145	saud:CH52_04805
ko:K00620	saud:CH52_04810
ko:K00930	saud:CH52_04815
ko:K08996	saud:CH52_04820
ko:K00122	saud:CH52_04840
ko:K02050	saud:CH52_04855
ko:K02051	saud:CH52_04860
ko:K02049	saud:CH52_04865
ko:K16264	saud:CH52_04885
ko:K00128	saud:CH52_04890
ko:K09790	saud:CH52_04895
ko:K07145	saud:CH52_04900
ko:K01791	saud:CH52_04905
ko:K02472	saud:CH52_04910
ko:K01784	saud:CH52_04915
ko:K13012	saud:CH52_04920
ko:K01791	saud:CH52_04950
ko:K17716	saud:CH52_04960
ko:K01104	saud:CH52_04970
ko:K04072	saud:CH52_04985
ko:K02044	saud:CH52_05010
ko:K02041	saud:CH52_05015
ko:K02042	saud:CH52_05020
ko:K02042	saud:CH52_05025
ko:K01839	saud:CH52_05030
ko:K01619	saud:CH52_05035
ko:K01265	saud:CH52_09485
ko:K07681	saud:CH52_09500
ko:K07694	saud:CH52_09505
ko:K07058	saud:CH52_09510
ko:K01104	saud:CH52_09520
ko:K05520	saud:CH52_09550
ko:K04478	saud:CH52_09555
ko:K03565	saud:CH52_09560
ko:K09693	saud:CH52_09570
ko:K07038	saud:CH52_09580
ko:K03575	saud:CH52_09585
ko:K07586	saud:CH52_09590
ko:K11085	saud:CH52_09595
ko:K01845	saud:CH52_09605
ko:K03564	saud:CH52_09610
ko:K09825	saud:CH52_09620
ko:K07035	saud:CH52_09785
ko:K02029	saud:CH52_09790
ko:K02030	saud:CH52_09790
ko:K02028	saud:CH52_09795
ko:K01866	saud:CH52_10465
ko:K00655	saud:CH52_10475
ko:K02803	saud:CH52_10480
ko:K02804	saud:CH52_10480
ko:K00058	saud:CH52_10490
ko:K01126	saud:CH52_10505
ko:K02986	saud:CH52_10510
ko:K06286	saud:CH52_10520
ko:K04487	saud:CH52_10525
ko:K03151	saud:CH52_10530
ko:K07090	saud:CH52_10535
ko:K11065	saud:CH52_10540
ko:K00925	saud:CH52_10550
ko:K00259	saud:CH52_10560
ko:K02337	saud:CH52_10595
ko:K00027	saud:CH52_10600
ko:K01963	saud:CH52_10605
ko:K01962	saud:CH52_10610
ko:K00850	saud:CH52_10615
ko:K00873	saud:CH52_10620
ko:K11737	saud:CH52_10625
ko:K01647	saud:CH52_10630
ko:K00031	saud:CH52_10635
ko:K07658	saud:CH52_10640
ko:K07636	saud:CH52_10645
ko:K10563	saud:CH52_10660
ko:K00859	saud:CH52_10665
ko:K00134	saud:CH52_10670
ko:K07738	saud:CH52_10675
ko:K03346	saud:CH52_10680
ko:K11144	saud:CH52_10685
ko:K01868	saud:CH52_10690
ko:K11733	saud:CH52_10695
ko:K02520	saud:CH52_10700
ko:K02916	saud:CH52_10705
ko:K02887	saud:CH52_10710
ko:K14234	saud:CH52_03235
ko:K14234	saud:CH52_09735
ko:K14234	saud:CH52_09655
ko:K00948	saud:CH52_03335
ko:K04042	saud:CH52_03340
ko:K06412	saud:CH52_03345
ko:K09022	saud:CH52_03350
ko:K09685	saud:CH52_03355
ko:K00919	saud:CH52_03360
ko:K02528	saud:CH52_03370
ko:K05985	saud:CH52_03375
ko:K03424	saud:CH52_03380
ko:K01874	saud:CH52_03385
ko:K07056	saud:CH52_03390
ko:K07461	saud:CH52_03395
ko:K02341	saud:CH52_03415
ko:K00943	saud:CH52_03425
ko:K06187	saud:CH52_03450
ko:K09747	saud:CH52_03455
ko:K02343	saud:CH52_03460
ko:K03486	saud:CH52_03470
ko:K01226	saud:CH52_03475
ko:K02818	saud:CH52_03480
ko:K02819	saud:CH52_03480
ko:K00266	saud:CH52_03490
ko:K00265	saud:CH52_03495
ko:K02073	saud:CH52_03535
ko:K02072	saud:CH52_03540
ko:K02071	saud:CH52_03545
ko:K17217	saud:CH52_03550
ko:K17216	saud:CH52_03555
ko:K03308	saud:CH52_03560
ko:K03928	saud:CH52_03565
ko:K09822	saud:CH52_03580
ko:K05577	saud:CH52_03585
ko:K01727	saud:CH52_07940
ko:K12410	saud:CH52_07960
ko:K02530	saud:CH52_07965
ko:K01819	saud:CH52_07970
ko:K01819	saud:CH52_07975
ko:K00917	saud:CH52_07980
ko:K01635	saud:CH52_07985
ko:K02786	saud:CH52_07990
ko:K02787	saud:CH52_07995
ko:K02788	saud:CH52_07995
ko:K01220	saud:CH52_08000
ko:K02016	saud:CH52_08060
ko:K02015	saud:CH52_08065
ko:K02015	saud:CH52_08070
ko:K07038	saud:CH52_08085
ko:K11068	saud:CH52_08095
ko:K03593	saud:CH52_08115
ko:K01476	saud:CH52_08165
ko:K18672	saud:CH52_08170
ko:K03431	saud:CH52_08180
ko:K00009	saud:CH52_08190
ko:K02798	saud:CH52_08195
ko:K02799	saud:CH52_08205
ko:K09692	saud:CH52_09575
ko:K02800	saud:CH52_08205
ko:K00820	saud:CH52_08210
ko:K02013	saud:CH52_08215
ko:K00981	saud:CH52_12780
ko:K00806	saud:CH52_12785
ko:K02838	saud:CH52_12790
ko:K09903	saud:CH52_12795
ko:K02357	saud:CH52_12800
ko:K02967	saud:CH52_12805
ko:K03706	saud:CH52_12810
ko:K03667	saud:CH52_12815
ko:K01419	saud:CH52_12820
ko:K03733	saud:CH52_12825
ko:K04094	saud:CH52_12830
ko:K03168	saud:CH52_12835
ko:K04096	saud:CH52_12840
ko:K01902	saud:CH52_12855
ko:K01903	saud:CH52_12860
ko:K03470	saud:CH52_12865
ko:K14540	saud:CH52_12870
ko:K02884	saud:CH52_12880
ko:K00554	saud:CH52_12885
ko:K02860	saud:CH52_12890
ko:K02959	saud:CH52_12895
ko:K03106	saud:CH52_12900
ko:K09787	saud:CH52_12905
ko:K03110	saud:CH52_12910
ko:K03529	saud:CH52_12915
ko:K03685	saud:CH52_12920
ko:K02078	saud:CH52_12925
ko:K00059	saud:CH52_12930
ko:K00645	saud:CH52_12935
ko:K03621	saud:CH52_12940
ko:K03655	saud:CH52_12950
ko:K07030	saud:CH52_12955
ko:K02902	saud:CH52_12965
ko:K01783	saud:CH52_12975
ko:K06949	saud:CH52_12980
ko:K06941	saud:CH52_12995
ko:K03500	saud:CH52_13000
ko:K00604	saud:CH52_13005
ko:K01462	saud:CH52_13010
ko:K04066	saud:CH52_13025
ko:K13038	saud:CH52_13030
ko:K03060	saud:CH52_13035
ko:K00942	saud:CH52_13040
ko:K07171	saud:CH52_08620
ko:K03311	saud:CH52_04195
ko:K03466	saud:CH52_04285
ko:K01992	saud:CH52_04325
ko:K01992	saud:CH52_04330
ko:K01990	saud:CH52_04335
ko:K01442	saud:CH52_04345
ko:K02529	saud:CH52_04365
ko:K06216	saud:CH52_04370
ko:K06726	saud:CH52_04375
ko:K00852	saud:CH52_04380
ko:K01223	saud:CH52_04395
ko:K03489	saud:CH52_04405
ko:K05339	saud:CH52_04410
ko:K05338	saud:CH52_04415
ko:K07705	saud:CH52_04420
ko:K07704	saud:CH52_04425
ko:K07322	saud:CH52_04430
ko:K05352	saud:CH52_04465
ko:K07800	saud:CH52_08815
ko:K07813	saud:CH52_08820
ko:K07078	saud:CH52_08835
ko:K07052	saud:CH52_08845
ko:K04078	saud:CH52_08850
ko:K04077	saud:CH52_08855
ko:K01439	saud:CH52_08865
ko:K01114	saud:CH52_08880
ko:K00938	saud:CH52_02800
ko:K01597	saud:CH52_02805
ko:K00869	saud:CH52_02810
ko:K16869	saud:CH52_02815
ko:K00625	saud:CH52_02820
ko:K03648	saud:CH52_02855
ko:K00868	saud:CH52_02860
ko:K00626	saud:CH52_02880
ko:K03762	saud:CH52_02890
ko:K08094	saud:CH52_02900
ko:K08093	saud:CH52_02905
ko:K02564	saud:CH52_02910
ko:K09007	saud:CH52_02925
ko:K00712	saud:CH52_02930
ko:K00712	saud:CH52_02935
ko:K14194	saud:CH52_02940
ko:K14194	saud:CH52_02945
ko:K14194	saud:CH52_02950
ko:K11991	saud:CH52_02965
ko:K15518	saud:CH52_02970
ko:K15519	saud:CH52_02975
ko:K01091	saud:CH52_02980
ko:K00826	saud:CH52_02985
ko:K00853	saud:CH52_02995
ko:K05523	saud:CH52_03000
ko:K00639	saud:CH52_03005
ko:K02358	saud:CH52_03015
ko:K02355	saud:CH52_03020
ko:K02992	saud:CH52_03025
ko:K02950	saud:CH52_03030
ko:K07590	saud:CH52_03035
ko:K03046	saud:CH52_03040
ko:K03043	saud:CH52_03045
ko:K03481	saud:CH52_07350
ko:K02749	saud:CH52_07355
ko:K02750	saud:CH52_07355
ko:K03453	saud:CH52_07365
ko:K07052	saud:CH52_07405
ko:K00123	saud:CH52_07425
ko:K09940	saud:CH52_07460
ko:K03315	saud:CH52_07470
ko:K03190	saud:CH52_07500
ko:K03189	saud:CH52_07505
ko:K03188	saud:CH52_07510
ko:K03187	saud:CH52_07515
ko:K01428	saud:CH52_07520
ko:K01429	saud:CH52_07525
ko:K01430	saud:CH52_07530
ko:K08717	saud:CH52_07535
ko:K02016	saud:CH52_07545
ko:K03523	saud:CH52_07555
ko:K02379	saud:CH52_07565
ko:K02020	saud:CH52_07570
ko:K02018	saud:CH52_07575
ko:K02017	saud:CH52_07580
ko:K03638	saud:CH52_07590
ko:K03637	saud:CH52_07595
ko:K03750	saud:CH52_07600
ko:K03753	saud:CH52_07605
ko:K03635	saud:CH52_07610
ko:K03636	saud:CH52_07615
ko:K01609	saud:CH52_12215
ko:K00766	saud:CH52_12220
ko:K01658	saud:CH52_12225
ko:K01657	saud:CH52_12230
ko:K04517	saud:CH52_12240
ko:K01821	saud:CH52_12250
ko:K07304	saud:CH52_12260
ko:K14205	saud:CH52_12265
ko:K03480	saud:CH52_12280
ko:K03310	saud:CH52_12285
ko:K02621	saud:CH52_12290
ko:K02622	saud:CH52_12295
ko:K08591	saud:CH52_12300
ko:K07107	saud:CH52_12310
ko:K01681	saud:CH52_12315
ko:K05020	saud:CH52_12320
ko:K03282	saud:CH52_12325
ko:K03547	saud:CH52_12335
ko:K09976	saud:CH52_12345
ko:K00615	saud:CH52_12350
ko:K01356	saud:CH52_12365
ko:K00364	saud:CH52_12380
ko:K02954	saud:CH52_12385
ko:K02913	saud:CH52_12390
ko:K03781	saud:CH52_12395
ko:K00872	saud:CH52_12415
ko:K01733	saud:CH52_12420
ko:K00003	saud:CH52_12425
ko:K00928	saud:CH52_12430
ko:K07778	saud:CH52_12460
ko:K01992	saud:CH52_12465
ko:K01990	saud:CH52_12470
ko:K06131	saud:CH52_12475
ko:K01620	saud:CH52_12485
ko:K03784	saud:CH52_05045
ko:K04564	saud:CH52_05060
ko:K01784	saud:CH52_05085
ko:K03366	saud:CH52_05090
ko:K01586	saud:CH52_05105
ko:K02016	saud:CH52_05145
ko:K02015	saud:CH52_05150
ko:K02015	saud:CH52_05155
ko:K14196	saud:CH52_05165
ko:K03303	saud:CH52_05170
ko:K10254	saud:CH52_05190
ko:K03324	saud:CH52_05195
ko:K08170	saud:CH52_05200
ko:K01771	saud:CH52_05240
ko:K07090	saud:CH52_05300
ko:K00783	saud:CH52_05320
ko:K03216	saud:CH52_09805
ko:K01679	saud:CH52_09825
ko:K06180	saud:CH52_09830
ko:K03698	saud:CH52_09870
ko:K07533	saud:CH52_09875
ko:K02503	saud:CH52_09890
ko:K01990	saud:CH52_09895
ko:K01992	saud:CH52_09900
ko:K01599	saud:CH52_09910
ko:K01772	saud:CH52_09915
ko:K00231	saud:CH52_09920
ko:K07002	saud:CH52_09925
ko:K03427	saud:CH52_10090
ko:K01154	saud:CH52_10095
ko:K00432	saud:CH52_05905
ko:K00380	saud:CH52_05910
ko:K02304	saud:CH52_05915
ko:K03300	saud:CH52_05920
ko:K03451	saud:CH52_05935
ko:K01895	saud:CH52_05965
ko:K00116	saud:CH52_05970
ko:K01623	saud:CH52_05975
ko:K00823	saud:CH52_05985
ko:K03294	saud:CH52_05990
ko:K00016	saud:CH52_05995
ko:K01575	saud:CH52_06000
ko:K00077	saud:CH52_06005
ko:K00606	saud:CH52_06010
ko:K01918	saud:CH52_06015
ko:K01579	saud:CH52_06020
ko:K06978	saud:CH52_06035
ko:K04750	saud:CH52_06045
ko:K09765	saud:CH52_06050
ko:K00226	saud:CH52_06060
ko:K07045	saud:CH52_06105
ko:K07032	saud:CH52_06130
ko:K07035	saud:CH52_06150
ko:K03545	saud:CH52_10725
ko:K03544	saud:CH52_10730
ko:K03978	saud:CH52_10735
ko:K02492	saud:CH52_10740
ko:K02497	saud:CH52_10745
ko:K01749	saud:CH52_10750
ko:K01719	saud:CH52_10755
ko:K01698	saud:CH52_10760
ko:K01845	saud:CH52_10765
ko:K07120	saud:CH52_10770
ko:K01246	saud:CH52_10775
ko:K01873	saud:CH52_10780
ko:K11754	saud:CH52_10785
ko:K02236	saud:CH52_10790
ko:K03630	saud:CH52_10795
ko:K03570	saud:CH52_10820
ko:K03571	saud:CH52_10825
ko:K02888	saud:CH52_10830
ko:K07584	saud:CH52_10835
ko:K02899	saud:CH52_10840
ko:K03979	saud:CH52_10845
ko:K06209	saud:CH52_10850
ko:K03550	saud:CH52_10855
ko:K03551	saud:CH52_10860
ko:K07568	saud:CH52_10865
ko:K00773	saud:CH52_10870
ko:K03210	saud:CH52_10875
ko:K12257	saud:CH52_10880
ko:K07462	saud:CH52_10885
ko:K00759	saud:CH52_10890
ko:K00951	saud:CH52_10895
ko:K07560	saud:CH52_10900
ko:K01448	saud:CH52_10905
ko:K01892	saud:CH52_10910
ko:K01876	saud:CH52_10915
ko:K07478	saud:CH52_10925
ko:K17472	saud:CH52_10930
ko:K04487	saud:CH52_10950
ko:K00566	saud:CH52_10955
ko:K03581	saud:CH52_10970
ko:K01872	saud:CH52_10975
ko:K07447	saud:CH52_10985
ko:K08303	saud:CH52_11005
ko:K00876	saud:CH52_11010
ko:K03624	saud:CH52_11015
ko:K07723	saud:CH52_08615
ko:K10026	saud:CH52_02215
ko:K16937	saud:CH52_02230
ko:K10682	saud:CH52_02235
ko:K10681	saud:CH52_02240
ko:K01443	saud:CH52_02260
ko:K02768	saud:CH52_02265
ko:K02769	saud:CH52_02265
ko:K02770	saud:CH52_02265
ko:K00882	saud:CH52_02270
ko:K03436	saud:CH52_02275
ko:K03976	saud:CH52_02280
ko:K06934	saud:CH52_02295
ko:K01669	saud:CH52_02310
ko:K16012	saud:CH52_02340
ko:K16013	saud:CH52_02345
ko:K06153	saud:CH52_02350
ko:K09768	saud:CH52_02360
ko:K06966	saud:CH52_02365
ko:K09793	saud:CH52_02395
ko:K09705	saud:CH52_02415
ko:K06890	saud:CH52_02435
ko:K03306	saud:CH52_02445
ko:K07220	saud:CH52_02450
ko:K08170	saud:CH52_06760
ko:K00077	saud:CH52_06765
ko:K11737	saud:CH52_06790
ko:K00865	saud:CH52_06820
ko:K06147	saud:CH52_06835
ko:K06147	saud:CH52_06840
ko:K01935	saud:CH52_06845
ko:K00833	saud:CH52_06850
ko:K01012	saud:CH52_06855
ko:K00652	saud:CH52_06860
ko:K14197	saud:CH52_06890
ko:K01834	saud:CH52_06900
ko:K02424	saud:CH52_06915
ko:K10009	saud:CH52_06920
ko:K10010	saud:CH52_06925
ko:K09815	saud:CH52_06955
ko:K00362	saud:CH52_06985
ko:K00363	saud:CH52_06990
ko:K02303	saud:CH52_06995
ko:K00370	saud:CH52_07000
ko:K00371	saud:CH52_07005
ko:K00373	saud:CH52_07010
ko:K00374	saud:CH52_07015
ko:K10851	saud:CH52_07020
ko:K07683	saud:CH52_07025
ko:K07696	saud:CH52_07030
ko:K10850	saud:CH52_07045
ko:K05337	saud:CH52_11660
ko:K03654	saud:CH52_11670
ko:K01424	saud:CH52_11685
ko:K00945	saud:CH52_11690
ko:K02945	saud:CH52_11695
ko:K03977	saud:CH52_11700
ko:K00057	saud:CH52_11705
ko:K03530	saud:CH52_11710
ko:K03183	saud:CH52_11720
ko:K00805	saud:CH52_11725
ko:K00940	saud:CH52_11730
ko:K01736	saud:CH52_11740
ko:K01735	saud:CH52_11745
ko:K00800	saud:CH52_11750
ko:K06973	saud:CH52_11770
ko:K00974	saud:CH52_11785
ko:K03524	saud:CH52_11790
ko:K01893	saud:CH52_11800
ko:K02086	saud:CH52_11805
ko:K10773	saud:CH52_11810
ko:K05366	saud:CH52_11820
ko:K03700	saud:CH52_11825
ko:K07444	saud:CH52_11850
ko:K00259	saud:CH52_11875
ko:K01754	saud:CH52_11880
ko:K03294	saud:CH52_11885
ko:K08170	saud:CH52_11890
ko:K03469	saud:CH52_11900
ko:K01154	saud:CH52_03680
ko:K03427	saud:CH52_03685
ko:K11042	saud:CH52_03730
ko:K08987	saud:CH52_03740
ko:K01951	saud:CH52_03765
ko:K00088	saud:CH52_03770
ko:K16169	saud:CH52_03775
ko:K03816	saud:CH52_03780
ko:K06956	saud:CH52_03800
ko:K03386	saud:CH52_03810
ko:K03387	saud:CH52_03815
ko:K01834	saud:CH52_03840
ko:K02963	saud:CH52_03890
ko:K02990	saud:CH52_03900
ko:K06942	saud:CH52_03910
ko:K16264	saud:CH52_08230
ko:K01809	saud:CH52_08245
ko:K04047	saud:CH52_08265
ko:K03784	saud:CH52_08270
ko:K01619	saud:CH52_08275
ko:K00756	saud:CH52_08280
ko:K07173	saud:CH52_08290
ko:K09680	saud:CH52_08310
ko:K03048	saud:CH52_08320
ko:K01937	saud:CH52_08325
ko:K01624	saud:CH52_08335
ko:K00790	saud:CH52_08340
ko:K00128	saud:CH52_08350
ko:K03628	saud:CH52_08355
ko:K02909	saud:CH52_08360
ko:K02835	saud:CH52_08370
ko:K02493	saud:CH52_08375
ko:K07566	saud:CH52_08380
ko:K01104	saud:CH52_08385
ko:K00600	saud:CH52_08395
ko:K00761	saud:CH52_08400
ko:K01791	saud:CH52_08405
ko:K02116	saud:CH52_08410
ko:K02108	saud:CH52_08415
ko:K02110	saud:CH52_08420
ko:K02109	saud:CH52_08425
ko:K02113	saud:CH52_08430
ko:K02111	saud:CH52_08435
ko:K02115	saud:CH52_08440
ko:K02112	saud:CH52_08445
ko:K02114	saud:CH52_08450
ko:K00790	saud:CH52_08460
ko:K02372	saud:CH52_08465
ko:K03707	saud:CH52_08485
ko:K00941	saud:CH52_08490
ko:K00878	saud:CH52_08495
ko:K00788	saud:CH52_08500
ko:K00762	saud:CH52_13060
