ko:K18917	coi:CpCIP5297_0642
ko:K01358	coi:CpCIP5297_1612
ko:K01358	coi:CpCIP5297_1613
ko:K03545	coi:CpCIP5297_1614
ko:K06911	coi:CpCIP5297_1618
ko:K01808	coi:CpCIP5297_1619
ko:K01256	coi:CpCIP5297_1621
ko:K06886	coi:CpCIP5297_1624
ko:K09936	coi:CpCIP5297_1625
ko:K00928	coi:CpCIP5297_0179
ko:K00133	coi:CpCIP5297_0182
ko:K03088	coi:CpCIP5297_0183
ko:K03781	coi:CpCIP5297_0184
ko:K02011	coi:CpCIP5297_0191
ko:K02012	coi:CpCIP5297_0192
ko:K02445	coi:CpCIP5297_0193
ko:K05571	coi:CpCIP5297_0196
ko:K05569	coi:CpCIP5297_0198
ko:K05567	coi:CpCIP5297_0200
ko:K09117	coi:CpCIP5297_0206
ko:K10773	coi:CpCIP5297_0214
ko:K02283	coi:CpCIP5297_0223
ko:K12510	coi:CpCIP5297_0224
ko:K03704	coi:CpCIP5297_0230
ko:K03168	coi:CpCIP5297_0231
ko:K03284	coi:CpCIP5297_1024
ko:K03885	coi:CpCIP5297_1026
ko:K00574	coi:CpCIP5297_1027
ko:K03820	coi:CpCIP5297_1034
ko:K07113	coi:CpCIP5297_1035
ko:K02230	coi:CpCIP5297_1036
ko:K02229	coi:CpCIP5297_1037
ko:K06042	coi:CpCIP5297_1038
ko:K05895	coi:CpCIP5297_1040
ko:K05936	coi:CpCIP5297_1041
ko:K03118	coi:CpCIP5297_1046
ko:K03116	coi:CpCIP5297_1047
ko:K01938	coi:CpCIP5297_1058
ko:K01744	coi:CpCIP5297_1059
ko:K07791	coi:CpCIP5297_1061
ko:K00765	coi:CpCIP5297_1063
ko:K04077	coi:CpCIP5297_1827
ko:K05567	coi:CpCIP5297_1833
ko:K05569	coi:CpCIP5297_1835
ko:K05571	coi:CpCIP5297_1837
ko:K06048	coi:CpCIP5297_1839
ko:K01462	coi:CpCIP5297_1842
ko:K01142	coi:CpCIP5297_1844
ko:K06131	coi:CpCIP5297_1845
ko:K00925	coi:CpCIP5297_1852
ko:K13788	coi:CpCIP5297_1853
ko:K00528	coi:CpCIP5297_1854
ko:K07101	coi:CpCIP5297_1858
ko:K07399	coi:CpCIP5297_1866
ko:K03385	coi:CpCIP5297_1868
ko:K15876	coi:CpCIP5297_1869
ko:K01939	coi:CpCIP5297_1870
ko:K00602	coi:CpCIP5297_0657
ko:K10008	coi:CpCIP5297_0658
ko:K10005	coi:CpCIP5297_0659
ko:K10006	coi:CpCIP5297_0660
ko:K10007	coi:CpCIP5297_0661
ko:K01644	coi:CpCIP5297_0662
ko:K02963	coi:CpCIP5297_0665
ko:K02954	coi:CpCIP5297_0666
ko:K02913	coi:CpCIP5297_0667
ko:K02902	coi:CpCIP5297_0668
ko:K02909	coi:CpCIP5297_0669
ko:K02911	coi:CpCIP5297_0670
ko:K03282	coi:CpCIP5297_0676
ko:K00963	coi:CpCIP5297_0679
ko:K03750	coi:CpCIP5297_0680
ko:K15977	coi:CpCIP5297_0683
ko:K07056	coi:CpCIP5297_0693
ko:K01874	coi:CpCIP5297_0694
ko:K03424	coi:CpCIP5297_0695
ko:K02528	coi:CpCIP5297_0697
ko:K00919	coi:CpCIP5297_0698
ko:K03811	coi:CpCIP5297_0703
ko:K07084	coi:CpCIP5297_1485
ko:K01733	coi:CpCIP5297_1488
ko:K00982	coi:CpCIP5297_1492
ko:K01915	coi:CpCIP5297_1493
ko:K00849	coi:CpCIP5297_1497
ko:K07164	coi:CpCIP5297_1500
ko:K00817	coi:CpCIP5297_1502
ko:K02227	coi:CpCIP5297_1506
ko:K00163	coi:CpCIP5297_1509
ko:K02078	coi:CpCIP5297_1511
ko:K00820	coi:CpCIP5297_1519
ko:K01129	coi:CpCIP5297_1522
ko:K03076	coi:CpCIP5297_0395
ko:K02518	coi:CpCIP5297_0400
ko:K02952	coi:CpCIP5297_0401
ko:K02948	coi:CpCIP5297_0402
ko:K02986	coi:CpCIP5297_0403
ko:K03040	coi:CpCIP5297_0404
ko:K02879	coi:CpCIP5297_0405
ko:K06173	coi:CpCIP5297_0406
ko:K03466	coi:CpCIP5297_0411
ko:K02871	coi:CpCIP5297_0415
ko:K02996	coi:CpCIP5297_0416
ko:K03431	coi:CpCIP5297_0417
ko:K01775	coi:CpCIP5297_0422
ko:K06925	coi:CpCIP5297_0423
ko:K07085	coi:CpCIP5297_0425
ko:K03789	coi:CpCIP5297_0428
ko:K04078	coi:CpCIP5297_0430
ko:K04077	coi:CpCIP5297_0431
ko:K03088	coi:CpCIP5297_0434
ko:K01951	coi:CpCIP5297_0440
ko:K01662	coi:CpCIP5297_1218
ko:K00886	coi:CpCIP5297_1226
ko:K03086	coi:CpCIP5297_1227
ko:K07560	coi:CpCIP5297_1233
ko:K04756	coi:CpCIP5297_1241
ko:K04761	coi:CpCIP5297_1243
ko:K03578	coi:CpCIP5297_1245
ko:K07738	coi:CpCIP5297_1246
ko:K02768	coi:CpCIP5297_1253
ko:K02769	coi:CpCIP5297_1253
ko:K02770	coi:CpCIP5297_1253
ko:K03665	coi:CpCIP5297_1259
ko:K01778	coi:CpCIP5297_1262
ko:K00791	coi:CpCIP5297_1263
ko:K06168	coi:CpCIP5297_1268
ko:K03565	coi:CpCIP5297_1269
ko:K07146	coi:CpCIP5297_2035
ko:K03217	coi:CpCIP5297_2038
ko:K09125	coi:CpCIP5297_2040
ko:K02939	coi:CpCIP5297_2058
ko:K02990	coi:CpCIP5297_2060
ko:K07146	coi:CpCIP5297_2070
ko:K04047	coi:CpCIP5297_2072
ko:K01869	coi:CpCIP5297_2077
ko:K02003	coi:CpCIP5297_2081
ko:K01858	coi:CpCIP5297_0076
ko:K06966	coi:CpCIP5297_0084
ko:K07090	coi:CpCIP5297_0091
ko:K03579	coi:CpCIP5297_0094
ko:K03919	coi:CpCIP5297_0095
ko:K01246	coi:CpCIP5297_0096
ko:K06996	coi:CpCIP5297_0100
ko:K00864	coi:CpCIP5297_0103
ko:K02440	coi:CpCIP5297_0104
ko:K05845	coi:CpCIP5297_0109
ko:K02361	coi:CpCIP5297_0921
ko:K01012	coi:CpCIP5297_0925
ko:K01703	coi:CpCIP5297_0928
ko:K01704	coi:CpCIP5297_0929
ko:K00057	coi:CpCIP5297_0932
ko:K01921	coi:CpCIP5297_0933
ko:K00946	coi:CpCIP5297_0935
ko:K03648	coi:CpCIP5297_0936
ko:K03655	coi:CpCIP5297_0938
ko:K00954	coi:CpCIP5297_0941
ko:K07090	coi:CpCIP5297_0942
ko:K02029	coi:CpCIP5297_0945
ko:K02945	coi:CpCIP5297_0951
ko:K00859	coi:CpCIP5297_0954
ko:K03702	coi:CpCIP5297_0956
ko:K03701	coi:CpCIP5297_0961
ko:K02520	coi:CpCIP5297_0962
ko:K02916	coi:CpCIP5297_0963
ko:K02887	coi:CpCIP5297_0964
ko:K03437	coi:CpCIP5297_0966
ko:K01889	coi:CpCIP5297_0967
ko:K00426	coi:CpCIP5297_1721
ko:K02039	coi:CpCIP5297_1726
ko:K02036	coi:CpCIP5297_1728
ko:K02037	coi:CpCIP5297_1730
ko:K06980	coi:CpCIP5297_1737
ko:K01933	coi:CpCIP5297_1739
ko:K00764	coi:CpCIP5297_1740
ko:K11068	coi:CpCIP5297_1744
ko:K01952	coi:CpCIP5297_1745
ko:K01952	coi:CpCIP5297_1746
ko:K01952	coi:CpCIP5297_1747
ko:K00432	coi:CpCIP5297_1748
ko:K01354	coi:CpCIP5297_1749
ko:K01923	coi:CpCIP5297_1751
ko:K01756	coi:CpCIP5297_1752
ko:K01945	coi:CpCIP5297_1755
ko:K00156	coi:CpCIP5297_1765
ko:K00697	coi:CpCIP5297_1770
ko:K03657	coi:CpCIP5297_0555
ko:K03426	coi:CpCIP5297_0557
ko:K03657	coi:CpCIP5297_0558
ko:K07043	coi:CpCIP5297_0560
ko:K11738	coi:CpCIP5297_0577
ko:K09812	coi:CpCIP5297_0589
ko:K09811	coi:CpCIP5297_0590
ko:K03664	coi:CpCIP5297_0591
ko:K01673	coi:CpCIP5297_0593
ko:K02016	coi:CpCIP5297_0594
ko:K02015	coi:CpCIP5297_0595
ko:K02015	coi:CpCIP5297_0596
ko:K02013	coi:CpCIP5297_0597
ko:K01609	coi:CpCIP5297_1372
ko:K02500	coi:CpCIP5297_1375
ko:K02501	coi:CpCIP5297_1378
ko:K01693	coi:CpCIP5297_1381
ko:K00817	coi:CpCIP5297_1382
ko:K00013	coi:CpCIP5297_1383
ko:K04762	coi:CpCIP5297_1394
ko:K01754	coi:CpCIP5297_1397
ko:K02337	coi:CpCIP5297_1398
ko:K05786	coi:CpCIP5297_1399
ko:K06180	coi:CpCIP5297_1401
ko:K03101	coi:CpCIP5297_1402
ko:K02346	coi:CpCIP5297_1406
ko:K01870	coi:CpCIP5297_1407
ko:K02221	coi:CpCIP5297_1412
ko:K09772	coi:CpCIP5297_1413
ko:K05810	coi:CpCIP5297_1414
ko:K03531	coi:CpCIP5297_1415
ko:K03589	coi:CpCIP5297_1416
ko:K01924	coi:CpCIP5297_1417
ko:K02563	coi:CpCIP5297_1418
ko:K03588	coi:CpCIP5297_1419
ko:K01925	coi:CpCIP5297_1420
ko:K01000	coi:CpCIP5297_1421
ko:K02313	coi:CpCIP5297_0001
ko:K02338	coi:CpCIP5297_0003
ko:K03629	coi:CpCIP5297_0004
ko:K02470	coi:CpCIP5297_0006
ko:K02469	coi:CpCIP5297_0011
ko:K02057	coi:CpCIP5297_0017
ko:K00014	coi:CpCIP5297_0818
ko:K00965	coi:CpCIP5297_0826
ko:K00849	coi:CpCIP5297_0827
ko:K05592	coi:CpCIP5297_0828
ko:K00782	coi:CpCIP5297_0843
ko:K03303	coi:CpCIP5297_0846
ko:K01887	coi:CpCIP5297_0847
ko:K01586	coi:CpCIP5297_0848
ko:K00003	coi:CpCIP5297_0849
ko:K00872	coi:CpCIP5297_0850
ko:K02835	coi:CpCIP5297_0855
ko:K02493	coi:CpCIP5297_0856
ko:K02108	coi:CpCIP5297_0860
ko:K02110	coi:CpCIP5297_0861
ko:K02109	coi:CpCIP5297_0862
ko:K02113	coi:CpCIP5297_0863
ko:K02111	coi:CpCIP5297_0864
ko:K07107	coi:CpCIP5297_1627
ko:K09136	coi:CpCIP5297_1631
ko:K09136	coi:CpCIP5297_1637
ko:K06200	coi:CpCIP5297_1642
ko:K14645	coi:CpCIP5297_1644
ko:K07124	coi:CpCIP5297_1646
ko:K13288	coi:CpCIP5297_1647
ko:K01714	coi:CpCIP5297_1648
ko:K08281	coi:CpCIP5297_1651
ko:K03564	coi:CpCIP5297_1654
ko:K00997	coi:CpCIP5297_1656
ko:K11533	coi:CpCIP5297_1658
ko:K00989	coi:CpCIP5297_1668
ko:K01776	coi:CpCIP5297_1670
ko:K06891	coi:CpCIP5297_1673
ko:K00763	coi:CpCIP5297_1674
ko:K02341	coi:CpCIP5297_0235
ko:K00973	coi:CpCIP5297_0239
ko:K00382	coi:CpCIP5297_0246
ko:K07110	coi:CpCIP5297_0247
ko:K00239	coi:CpCIP5297_0249
ko:K00240	coi:CpCIP5297_0250
ko:K04069	coi:CpCIP5297_0256
ko:K00656	coi:CpCIP5297_0258
ko:K00075	coi:CpCIP5297_0261
ko:K00286	coi:CpCIP5297_0270
ko:K02492	coi:CpCIP5297_0279
ko:K01749	coi:CpCIP5297_0280
ko:K13542	coi:CpCIP5297_0281
ko:K01698	coi:CpCIP5297_0282
ko:K06153	coi:CpCIP5297_1069
ko:K05881	coi:CpCIP5297_1076
ko:K05879	coi:CpCIP5297_1077
ko:K05878	coi:CpCIP5297_1078
ko:K01772	coi:CpCIP5297_1091
ko:K01681	coi:CpCIP5297_1094
ko:K01951	coi:CpCIP5297_1096
ko:K07166	coi:CpCIP5297_1097
ko:K09157	coi:CpCIP5297_1098
ko:K11717	coi:CpCIP5297_1106
ko:K09013	coi:CpCIP5297_1107
ko:K09015	coi:CpCIP5297_1108
ko:K09014	coi:CpCIP5297_1109
ko:K02259	coi:CpCIP5297_1114
ko:K00615	coi:CpCIP5297_1116
ko:K00036	coi:CpCIP5297_1118
ko:K01057	coi:CpCIP5297_1120
ko:K01624	coi:CpCIP5297_1881
ko:K00762	coi:CpCIP5297_1884
ko:K00111	coi:CpCIP5297_1887
ko:K02003	coi:CpCIP5297_1912
ko:K03686	coi:CpCIP5297_1923
ko:K03687	coi:CpCIP5297_1924
ko:K04043	coi:CpCIP5297_1925
ko:K00134	coi:CpCIP5297_0709
ko:K02837	coi:CpCIP5297_0712
ko:K01056	coi:CpCIP5297_0714
ko:K01056	coi:CpCIP5297_0717
ko:K02897	coi:CpCIP5297_0718
ko:K00948	coi:CpCIP5297_0720
ko:K04042	coi:CpCIP5297_0721
ko:K03723	coi:CpCIP5297_0725
ko:K03758	coi:CpCIP5297_0727
ko:K01689	coi:CpCIP5297_0730
ko:K01524	coi:CpCIP5297_0733
ko:K03624	coi:CpCIP5297_0737
ko:K00600	coi:CpCIP5297_0744
ko:K03823	coi:CpCIP5297_0750
ko:K03602	coi:CpCIP5297_0756
ko:K03601	coi:CpCIP5297_0757
ko:K01880	coi:CpCIP5297_1527
ko:K02072	coi:CpCIP5297_0447
ko:K02071	coi:CpCIP5297_0448
ko:K02073	coi:CpCIP5297_0449
ko:K02073	coi:CpCIP5297_0450
ko:K03216	coi:CpCIP5297_0457
ko:K01491	coi:CpCIP5297_0458
ko:K00641	coi:CpCIP5297_0461
ko:K02016	coi:CpCIP5297_0464
ko:K02015	coi:CpCIP5297_0465
ko:K02013	coi:CpCIP5297_0466
ko:K01740	coi:CpCIP5297_0468
ko:K00031	coi:CpCIP5297_0469
ko:K01142	coi:CpCIP5297_0472
ko:K01867	coi:CpCIP5297_0474
ko:K07058	coi:CpCIP5297_0475
ko:K00761	coi:CpCIP5297_0481
ko:K00382	coi:CpCIP5297_0485
ko:K06287	coi:CpCIP5297_0495
ko:K03523	coi:CpCIP5297_1272
ko:K00995	coi:CpCIP5297_1278
ko:K09780	coi:CpCIP5297_1280
ko:K03466	coi:CpCIP5297_1283
ko:K01714	coi:CpCIP5297_1287
ko:K00215	coi:CpCIP5297_1289
ko:K00962	coi:CpCIP5297_1290
ko:K02956	coi:CpCIP5297_1291
ko:K11753	coi:CpCIP5297_1293
ko:K02834	coi:CpCIP5297_1299
ko:K02519	coi:CpCIP5297_1300
ko:K07742	coi:CpCIP5297_1301
ko:K02600	coi:CpCIP5297_1302
ko:K09748	coi:CpCIP5297_1303
ko:K01881	coi:CpCIP5297_1305
ko:K09861	coi:CpCIP5297_1306
ko:K02224	coi:CpCIP5297_1311
ko:K13580	coi:CpCIP5297_1313
ko:K00116	coi:CpCIP5297_1315
ko:K02232	coi:CpCIP5297_1319
ko:K01443	coi:CpCIP5297_2089
ko:K01714	coi:CpCIP5297_2097
ko:K01792	coi:CpCIP5297_2101
ko:K09946	coi:CpCIP5297_2104
ko:K01657	coi:CpCIP5297_2111
ko:K00766	coi:CpCIP5297_2113
ko:K13498	coi:CpCIP5297_2114
ko:K01696	coi:CpCIP5297_2115
ko:K01695	coi:CpCIP5297_2116
ko:K14347	coi:CpCIP5297_2118
ko:K07735	coi:CpCIP5297_2122
ko:K03980	coi:CpCIP5297_2126
ko:K03088	coi:CpCIP5297_2127
ko:K00384	coi:CpCIP5297_2129
ko:K03671	coi:CpCIP5297_2130
ko:K01448	coi:CpCIP5297_2131
ko:K00806	coi:CpCIP5297_1532
ko:K03584	coi:CpCIP5297_1533
ko:K00868	coi:CpCIP5297_1535
ko:K07042	coi:CpCIP5297_1537
ko:K09761	coi:CpCIP5297_1539
ko:K03686	coi:CpCIP5297_1540
ko:K03705	coi:CpCIP5297_1541
ko:K00705	coi:CpCIP5297_1546
ko:K03311	coi:CpCIP5297_1556
ko:K07088	coi:CpCIP5297_1561
ko:K02034	coi:CpCIP5297_1564
ko:K06997	coi:CpCIP5297_1568
ko:K07112	coi:CpCIP5297_1569
ko:K00817	coi:CpCIP5297_0130
ko:K14445	coi:CpCIP5297_0131
ko:K03480	coi:CpCIP5297_0132
ko:K06996	coi:CpCIP5297_0135
ko:K04561	coi:CpCIP5297_0136
ko:K00375	coi:CpCIP5297_0138
ko:K06215	coi:CpCIP5297_0139
ko:K08681	coi:CpCIP5297_0140
ko:K00773	coi:CpCIP5297_0145
ko:K00098	coi:CpCIP5297_0150
ko:K02343	coi:CpCIP5297_0155
ko:K09747	coi:CpCIP5297_0156
ko:K06187	coi:CpCIP5297_0157
ko:K01649	coi:CpCIP5297_0169
ko:K05346	coi:CpCIP5297_0170
ko:K01890	coi:CpCIP5297_0968
ko:K00145	coi:CpCIP5297_0969
ko:K00930	coi:CpCIP5297_0971
ko:K00611	coi:CpCIP5297_0973
ko:K03402	coi:CpCIP5297_0974
ko:K01940	coi:CpCIP5297_0975
ko:K01755	coi:CpCIP5297_0976
ko:K09791	coi:CpCIP5297_0977
ko:K01866	coi:CpCIP5297_0978
ko:K06442	coi:CpCIP5297_0983
ko:K00858	coi:CpCIP5297_0984
ko:K03631	coi:CpCIP5297_0985
ko:K05896	coi:CpCIP5297_0991
ko:K01935	coi:CpCIP5297_0992
ko:K03305	coi:CpCIP5297_0993
ko:K00833	coi:CpCIP5297_0994
ko:K01935	coi:CpCIP5297_0995
ko:K06024	coi:CpCIP5297_0996
ko:K06178	coi:CpCIP5297_0997
ko:K00945	coi:CpCIP5297_0998
ko:K03977	coi:CpCIP5297_0999
ko:K02016	coi:CpCIP5297_1004
ko:K02015	coi:CpCIP5297_1006
ko:K02013	coi:CpCIP5297_1007
ko:K09858	coi:CpCIP5297_1010
ko:K03070	coi:CpCIP5297_1012
ko:K08999	coi:CpCIP5297_1015
ko:K01087	coi:CpCIP5297_1772
ko:K03218	coi:CpCIP5297_1775
ko:K01883	coi:CpCIP5297_1776
ko:K01770	coi:CpCIP5297_1777
ko:K00991	coi:CpCIP5297_1778
ko:K07736	coi:CpCIP5297_1779
ko:K01673	coi:CpCIP5297_1786
ko:K03575	coi:CpCIP5297_1787
ko:K03696	coi:CpCIP5297_1790
ko:K04567	coi:CpCIP5297_1796
ko:K02168	coi:CpCIP5297_1801
ko:K01918	coi:CpCIP5297_1803
ko:K00950	coi:CpCIP5297_1807
ko:K01633	coi:CpCIP5297_1808
ko:K00796	coi:CpCIP5297_1809
ko:K01495	coi:CpCIP5297_1810
ko:K03798	coi:CpCIP5297_1811
ko:K00760	coi:CpCIP5297_1812
ko:K04075	coi:CpCIP5297_1813
ko:K07259	coi:CpCIP5297_1814
ko:K11103	coi:CpCIP5297_1817
ko:K03704	coi:CpCIP5297_0605
ko:K06901	coi:CpCIP5297_0610
ko:K00831	coi:CpCIP5297_0614
ko:K01647	coi:CpCIP5297_0616
ko:K14393	coi:CpCIP5297_0624
ko:K03327	coi:CpCIP5297_0629
ko:K01697	coi:CpCIP5297_0630
ko:K01586	coi:CpCIP5297_0631
ko:K02034	coi:CpCIP5297_0636
ko:K03724	coi:CpCIP5297_0646
ko:K01810	coi:CpCIP5297_0650
ko:K03657	coi:CpCIP5297_0653
ko:K01929	coi:CpCIP5297_1422
ko:K01928	coi:CpCIP5297_1423
ko:K03587	coi:CpCIP5297_1424
ko:K03438	coi:CpCIP5297_1426
ko:K03925	coi:CpCIP5297_1427
ko:K00297	coi:CpCIP5297_1433
ko:K02276	coi:CpCIP5297_1451
ko:K02275	coi:CpCIP5297_1453
ko:K01953	coi:CpCIP5297_1454
ko:K02231	coi:CpCIP5297_1457
ko:K00768	coi:CpCIP5297_1458
ko:K02233	coi:CpCIP5297_1459
ko:K00826	coi:CpCIP5297_1460
ko:K01255	coi:CpCIP5297_1461
ko:K00281	coi:CpCIP5297_1464
ko:K00605	coi:CpCIP5297_1465
ko:K02437	coi:CpCIP5297_1466
ko:K03801	coi:CpCIP5297_1468
ko:K03644	coi:CpCIP5297_1469
ko:K01915	coi:CpCIP5297_1472
ko:K01599	coi:CpCIP5297_0285
ko:K00231	coi:CpCIP5297_0286
ko:K01845	coi:CpCIP5297_0288
ko:K07399	coi:CpCIP5297_0292
ko:K02013	coi:CpCIP5297_0294
ko:K02016	coi:CpCIP5297_0295
ko:K02015	coi:CpCIP5297_0296
ko:K02548	coi:CpCIP5297_0300
ko:K01911	coi:CpCIP5297_0301
ko:K01661	coi:CpCIP5297_0302
ko:K02551	coi:CpCIP5297_0305
ko:K03183	coi:CpCIP5297_0308
ko:K03073	coi:CpCIP5297_0312
ko:K02601	coi:CpCIP5297_0313
ko:K02867	coi:CpCIP5297_0314
ko:K02863	coi:CpCIP5297_0315
ko:K02935	coi:CpCIP5297_0320
ko:K03043	coi:CpCIP5297_0328
ko:K03046	coi:CpCIP5297_0329
ko:K03075	coi:CpCIP5297_1121
ko:K01595	coi:CpCIP5297_1122
ko:K01803	coi:CpCIP5297_1123
ko:K00927	coi:CpCIP5297_1124
ko:K00134	coi:CpCIP5297_1125
ko:K06958	coi:CpCIP5297_1128
ko:K03703	coi:CpCIP5297_1129
ko:K00794	coi:CpCIP5297_1131
ko:K14652	coi:CpCIP5297_1132
ko:K00793	coi:CpCIP5297_1133
ko:K11752	coi:CpCIP5297_1134
ko:K01783	coi:CpCIP5297_1135
ko:K03500	coi:CpCIP5297_1136
ko:K00604	coi:CpCIP5297_1137
ko:K01462	coi:CpCIP5297_1138
ko:K04066	coi:CpCIP5297_1139
ko:K00789	coi:CpCIP5297_1140
ko:K13038	coi:CpCIP5297_1141
ko:K03060	coi:CpCIP5297_1142
ko:K00942	coi:CpCIP5297_1143
ko:K01591	coi:CpCIP5297_1146
ko:K01955	coi:CpCIP5297_1147
ko:K01956	coi:CpCIP5297_1148
ko:K01465	coi:CpCIP5297_1149
ko:K00609	coi:CpCIP5297_1150
ko:K02825	coi:CpCIP5297_1151
ko:K07071	coi:CpCIP5297_1152
ko:K03625	coi:CpCIP5297_1155
ko:K02356	coi:CpCIP5297_1156
ko:K03786	coi:CpCIP5297_1158
ko:K01735	coi:CpCIP5297_1159
ko:K00891	coi:CpCIP5297_1160
ko:K01736	coi:CpCIP5297_1161
ko:K00014	coi:CpCIP5297_1163
ko:K07082	coi:CpCIP5297_1164
ko:K07447	coi:CpCIP5297_1165
ko:K01872	coi:CpCIP5297_1167
ko:K07478	coi:CpCIP5297_1168
ko:K01876	coi:CpCIP5297_1170
ko:K03306	coi:CpCIP5297_1934
ko:K02013	coi:CpCIP5297_1940
ko:K02015	coi:CpCIP5297_1941
ko:K02016	coi:CpCIP5297_1942
ko:K03190	coi:CpCIP5297_1943
ko:K03189	coi:CpCIP5297_1944
ko:K03188	coi:CpCIP5297_1945
ko:K03187	coi:CpCIP5297_1946
ko:K01428	coi:CpCIP5297_1947
ko:K01429	coi:CpCIP5297_1948
ko:K01430	coi:CpCIP5297_1949
ko:K14260	coi:CpCIP5297_1952
ko:K02013	coi:CpCIP5297_0030
ko:K02015	coi:CpCIP5297_0031
ko:K02015	coi:CpCIP5297_0032
ko:K02016	coi:CpCIP5297_0033
ko:K02016	coi:CpCIP5297_0045
ko:K06213	coi:CpCIP5297_0050
ko:K05343	coi:CpCIP5297_0052
ko:K03088	coi:CpCIP5297_0059
ko:K05846	coi:CpCIP5297_0063
ko:K05846	coi:CpCIP5297_0064
ko:K05847	coi:CpCIP5297_0065
ko:K01012	coi:CpCIP5297_0069
ko:K01241	coi:CpCIP5297_0072
ko:K02115	coi:CpCIP5297_0865
ko:K02112	coi:CpCIP5297_0866
ko:K02114	coi:CpCIP5297_0867
ko:K05606	coi:CpCIP5297_0871
ko:K05838	coi:CpCIP5297_0873
ko:K02013	coi:CpCIP5297_0876
ko:K03521	coi:CpCIP5297_0879
ko:K03522	coi:CpCIP5297_0880
ko:K04487	coi:CpCIP5297_0881
ko:K00566	coi:CpCIP5297_0883
ko:K01972	coi:CpCIP5297_0886
ko:K02435	coi:CpCIP5297_0888
ko:K02015	coi:CpCIP5297_0894
ko:K02013	coi:CpCIP5297_0895
ko:K02016	coi:CpCIP5297_0896
ko:K02434	coi:CpCIP5297_0898
ko:K06895	coi:CpCIP5297_0901
ko:K05596	coi:CpCIP5297_0902
ko:K01687	coi:CpCIP5297_0905
ko:K01652	coi:CpCIP5297_0909
ko:K01653	coi:CpCIP5297_0910
ko:K00053	coi:CpCIP5297_0911
ko:K00052	coi:CpCIP5297_0916
ko:K01079	coi:CpCIP5297_1677
ko:K02217	coi:CpCIP5297_1690
ko:K02919	coi:CpCIP5297_1694
ko:K06199	coi:CpCIP5297_1706
ko:K06199	coi:CpCIP5297_1707
ko:K02003	coi:CpCIP5297_1709
ko:K00790	coi:CpCIP5297_1711
ko:K01738	coi:CpCIP5297_1715
ko:K00640	coi:CpCIP5297_1716
ko:K06975	coi:CpCIP5297_1717
ko:K00005	coi:CpCIP5297_1718
ko:K00425	coi:CpCIP5297_1720
ko:K04567	coi:CpCIP5297_1954
ko:K00012	coi:CpCIP5297_1958
ko:K01494	coi:CpCIP5297_1959
ko:K01207	coi:CpCIP5297_1962
ko:K03439	coi:CpCIP5297_1972
ko:K02529	coi:CpCIP5297_0497
ko:K03524	coi:CpCIP5297_0501
ko:K01589	coi:CpCIP5297_0503
ko:K03527	coi:CpCIP5297_0758
ko:K06942	coi:CpCIP5297_0761
ko:K06193	coi:CpCIP5297_0764
ko:K09781	coi:CpCIP5297_0768
